mogert,	মগের্ট,	মোজার্ট,	
vange,	ভঙ্গে,	ভাঙ্গে,	
prokolpow,	প্রকল্প,	প্রকল্পও,	
ganjana,	গঞ্জনা,	গঞ্জনা,	
towbaar,	তবার,	তওবার,	
onektai,	অনেকটাই,	অনেকটাই,	
bhumija,	ভূমিজা,	ভূমিজ,	
gorur,	গরুর,	গরুর,	
protisthasoho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
marketin,	মার্কেটিন,	মার্কেটিং,	
auxfordey,	অক্সপোর্ডে,	অক্সফোর্ডে,	
telakucha,	তেলুকুছ,	তেলাকুচা,	
shikarey,	শিকারে,	শিকারে,	
akrup,	একরুপ,	একরূপ,	
meloonborroner,	মেলন্বরেরণের,	মেলবোর্নের,	
keu,	কিউ,	কেউ,	
carzer,	কার্জের,	চার্জের,	
fokskon,	ফক্ষণ,	ফক্সকন,	
laesensh,	লেসেন্স,	লাইসেন্স,	
goora,	গোর,	গোর,	
qor,	কোর,	কর,	
cholo,	চললো,	চলো,	
uponeeshod,	উপনিশদদ,	উপনিষদ,	
prostototo,	প্রস্ততত,	প্রস্ত্তত,	
dakticket,	ডাক্টিকেট,	ডাকটিকিট,	
orthanitike,	অর্থনীতিকে,	অর্থনীতিকে,	
mozlishpur,	মজলিস্পুর,	মজলিশপুর,	
chashe,	চাষে,	চেস,	
batsmani,	বাতসমনি,	ব্যাটসম্যানই,	
iyanki,	আইনজি,	ইয়াংকি,	
lumbinee,	লুম্বিনী,	লুম্বিনী,	
manobmoner,	মানবনের,	মানবমনের,	
pustio,	পুস্টিও,	পুষ্টি,	
elaakaasoho,	এলাকাশহ,	এলাকাসহ,	
akabar,	একাবার,	আকাবার,	
meghe,	মেঘে,	মেঘে,	
sakkhatkarer,	সাক্ষাৎকারের,	সাক্ষাৎকারের,	
domone,	দমনে,	দমনে,	
shomratder,	সমর্দদের,	সম্রাটদের,	
baasate,	বাসাতে,	বাসাতে,	
uddhritir,	উদ্ধৃতির,	উদ্ধৃতির,	
larshon,	লার্সন,	লারসন,	
mathew,	মেথ,	ম্যাথিউ,	
satarkabhabe,	সতর্কভাবে,	সতর্কভাবে,	
bonnypran,	বননিপ্রাণ,	বন্যপ্রাণ,	
superheror,	সুপারেরার,	সুপারহিরোর,	
haj,	হজ,	হয,	
silabhara,	সিলভর,	সিলভার,	
sobrakomer,	সব্রাকের,	সবরকমের,	
bachhaikrito,	বাচ্চাকৃত,	বাছাইকৃত,	
ingrezra,	ইংরেজ্রা,	ইংরেজরা,	
puroheetra,	পুরাহিত্রা,	পুরোহিতরা,	
ooeepoka,	উইপক,	উইপোকা,	
sharther,	সার্থের,	স্বার্থের,	
poscime,	পশ্চিমে,	পশ্চিমে,	
oshovyo,	অসভ্য,	অসভ্য,	
geja,	গেজ,	গেজ,	
garora,	গারারা,	গারোরা,	
utkhaat,	উৎ্থাত,	উত্খাত,	
cheerontan,	চিরত্ন,	চিরন্তন,	
prokalpagulor,	প্রকলপপুলোর,	প্রকল্পগুলোর,	
kottar,	কোটার,	কট্টর,	
tikka,	টীক্ক,	টিক্কা,	
bikretara,	বিক্রেটার,	বিক্রেতারা,	
shaantaa,	সান্তা,	সান্তা,	
inshtant,	ইন্সট্যান্ট,	ইনস্ট্যান্ট,	
renoo,	রেনু,	রেনো,	
fixing,	ফিকিস,	ফিক্সিং,	
shoya,	শোয়া,	সোয়া,	
bondhubhabapanno,	বন্ধুবাবপন্ন,	বন্ধুভাবাপন্ন,	
skalarasipa,	স্কলারশিপ,	স্কলারশিপ,	
khali,	খালি,	খালি,	
dhos,	ধোষ,	ধস,	
sheekarke,	শিকারকে,	শিকারকে,	
ikbaaler,	ইকবালের,	ইকবালের,	
drissogoolote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
omittrakkhor,	অমিত্রক্ষকর,	অমিত্রাক্ষর,	
rakibul,	রাকিবুল,	রকিবুল,	
lyandim,	ল্যান্ডিং,	ল্যান্ডিং,	
riphleksa,	রাইফেল্কস,	রিফ্লেক্স,	
goori,	গুরি,	গোরি,	
tegara,	টেগার,	টাইগার,	
oboshore,	অবসরে,	অবসরে,	
chalochchitrogulor,	চলচিত্রগুলোর,	চলচ্চিত্রগুলোর,	
kobootorer,	কবুতরের,	কবুতরের,	
gej,	গেজ,	গেজ,	
neutrina,	নিউট্রিন,	নিউট্রিনো,	
hotochokeeto,	হতচচকিত,	হতচকিত,	
dibya,	দিব্যা,	দিব্যা,	
kathmandute,	কঠন্ডুদে,	কাঠমান্ডুতে,	
gabeshonar,	গবেষণার,	গবেষনার,	
avereste,	অভয়ের্টিস,	এভারেস্টে,	
ched,	চেদ,	ছেদ,	
cantan,	কন্টান,	ক্যান্টন,	
nadnodeer,	নাদ্নদীর,	নদনদীর,	
chhatogalpe,	ছোটোলগে,	ছোটগল্পে,	
bheenisa,	ভেনিস,	ভেনিস,	
bondhuderkey,	বন্ধুদেরকে,	বন্ধুদেরকে,	
cholochchitrogulor,	চলচিত্রগুলোর,	চলচ্চিত্রগুলোর,	
lyanda,	ল্যান্ড,	ল্যান্ড,	
osocheton,	অসচেতন,	অসচেতন,	
bastuvad,	বস্তুবাদ,	বস্তুবাদ,	
marekting,	মেরেকটিং,	মার্কেটিং,	
maricha,	মেরিকা,	মরিচা,	
ddhake,	ঢাকে,	ঢেকে,	
soource,	সোর্স,	সোর্স,	
anuchcheder,	অনুচ্ছেদের,	অনুচ্ছেদের,	
raunanganey,	রণাঙ্গনে,	রণাঙ্গনে,	
sharifer,	শরীফের,	শরিফের,	
tigre,	টিগ্রে,	টাইগার,	
birder,	বীর্ডার,	বার্ডের,	
sotorkobhabey,	সতর্কভাবে,	সতর্কভাবে,	
samajeri,	সমাজেরি,	সমাজেরই,	
hoteltee,	হটেলটি,	হোটেলটি,	
protijogiitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
sikkhokbreendo,	শিক্ষুবৃন্দ,	শিক্ষকবৃন্দ,	
bufar,	বুফার,	বাফার,	
noubihar,	নৌবিহার,	নৌবিহার,	
ghurchen,	ঘুরেছেন,	ঘুরেছেন,	
ekoirokom,	একরকম,	একইরকম,	
okkhorke,	অক্ষরকে,	অক্ষরকে,	
stoone,	স্টুনে,	স্টোন,	
novel,	নেভেল,	নভেল,	
devolapar,	ডেভললার,	ডেভলপার,	
craze,	ক্রেজ,	ক্রেজ,	
torokareer,	তরকারির,	তরকারীর,	
poste,	পোস্টে,	পোস্টে,	
evil,	এভিল,	ইভিল,	
potkaa,	পটকা,	পটকা,	
gaadha,	গাধা,	গাধা,	
sqolastiq,	স্কলাস্টিক,	স্কলাস্টিক,	
gononanatyo,	গণনানাত্য,	গণনাট্য,	
bee,	বি,	বি,	
admiral,	অ্যাডমিরাল,	এডমিরাল,	
dule,	দুলে,	ডালে,	
bishnoo,	বিষ্ণু,	বিষ্ণু,	
ssumita,	সুমিত,	সুমিতা,	
paare,	পারে,	পাড়ে,	
mandape,	মন্ডপে,	মন্ডপে,	
hepataitisha,	হেপটিটিস,	হেপাটাইটিস,	
spancer,	স্প্যান্সার,	স্পেন্সার,	
keyuyi,	কেউই,	কেউই,	
gronthoo,	গ্রন্থু,	গ্রন্থও,	
monzile,	মঞ্জিলে,	মঞ্জিলে,	
ahang,	আহং,	অহং,	
capshule,	কপসুলে,	ক্যাপসুল,	
torcarir,	তরকারীর,	তরকারীর,	
sumi,	সুমি,	সুমি,	
ankeeta,	অংকেত,	অঙ্কিতা,	
samudrotatey,	সমুদ্রতাতে,	সমুদ্রতটে,	
bytes,	বিটেস,	বাইটস,	
zibonnogor,	জীবন্নগর,	জীবননগর,	
cholochchitreo,	চলচিত্রেও,	চলচ্চিত্রেও,	
jahor,	জহহর,	জহর,	
ivir,	আইভির,	এভার,	
ajeem,	আজিম,	আজিম,	
odure,	অদূরে,	অদুরে,	
rajbandi,	রাজবন্দি,	রাজবন্দী,	
nadigulir,	নাদিগুলির,	নদীগুলির,	
pragresha,	প্রগ্রেস,	প্রগ্রেস,	
baibosthar,	ব্যবস্থার,	ব্যবস্থার,	
bishwasho,	বিশ্বাস,	বিশ্বাসও,	
khudey,	খুডে,	ক্ষুদে,	
ashor,	আসোর,	আসর,	
bharadwaja,	ভারদ্যোজ,	ভরদ্বাজ,	
ancholti,	আঞ্চলটি,	অঞ্চলটি,	
sastra,	সাস্ট্র,	শাস্ত্র,	
banijyikvittite,	বানিজ্যিকৃত্তিতে,	বাণিজ্যিকভিত্তিতে,	
rezidens,	রেজিডেন্স,	রেসিডেন্স,	
pujita,	পুজিত,	পূজিতা,	
muhammadi,	মুহাম্মাদি,	মুহাম্মদী,	
modhumotii,	মধুমতি,	মধুমতী,	
vabani,	ভবনী,	ভবানী,	
anan,	আনন,	আনান,	
obikol,	অবিক্যল,	অবিকল,	
patzat,	পাতজাত,	পাটজাত,	
beetlaser,	বিটলসের,	বিটলসের,	
ekla,	একলা,	একলা,	
matriroop,	মাতৃরূপ,	মাতৃরূপ,	
ancholtike,	অঞ্চলটিকে,	অঞ্চলটিকে,	
sharthe,	শার্থে,	স্বার্থে,	
zesh,	যেস,	জেস,	
sektara,	সেক্টর,	সেক্টর,	
daakten,	ডাকতেন,	ডাকতেন,	
suchorita,	সূচরিত,	সুচরিতা,	
khoor,	খুর,	ক্ষুর,	
jarmaniteo,	জর্মানিতেও,	জার্মানিতেও,	
ciima,	কিম,	সীমা,	
annimated,	অনিমেতেদ,	এনিমেটেড,	
cheess,	চেস,	চেস,	
kayartara,	কায়ার্টার,	কোয়ার্টার,	
jini,	জিনি,	যিনি,	
phulkapi,	ফুলকাপি,	ফুলকপি,	
nirapottamulak,	নিরপ্ততামূলক,	নিরাপত্তামূলক,	
manjurul,	মনযুজুরুল,	মনজুরুল,	
carlosh,	চার্লস,	কার্লোস,	
bahjya,	বাহ্য,	বাহ্য,	
dwipei,	দ্বিপেই,	দ্বীপেই,	
qoyeri,	কোয়েরি,	কোয়েরি,	
siddhantogulo,	সিদ্ধান্ুগুলো,	সিদ্ধান্তগুলো,	
kolkarkhana,	কলকারখানা,	কলকারখানা,	
nilkamal,	নীলকাল,	নীলকমল,	
daackticketer,	ডাক্টিক্টেটের,	ডাকটিকিটের,	
shkalarashhipa,	স্কলারশিপ,	স্কলারশিপ,	
dii,	দি,	দিই,	
iuro,	ইউরো,	ইউরো,	
firth,	ফার্থ,	ফার্থ,	
atwobishvashi,	আত্মব্যবস্বাসী,	আত্মবিশ্বাসী,	
dhhaabi,	ঢাবি,	ঢাবি,	
mahish,	মহিশ,	মহিষ,	
shenior,	সেনিয়ার,	সিনিয়র,	
deubande,	দিউবন্ডে,	দেওবন্দে,	
foxer,	ফক্সের,	ফক্সের,	
utsahamulok,	উত্তাহমূলক,	উৎসাহমূলক,	
jacqson,	জকক্,	জ্যাকসন,	
lohaar,	লোহার,	লোহার,	
ostheesandhi,	অস্থিধান্ধী,	অস্থিসন্ধি,	
krom,	ক্রোম,	ক্রম,	
donat,	দোনাট,	ডোনাট,	
zzojyota,	যোজ্যতা,	যোজ্যতা,	
militarite,	মিলিটারিতে,	মিলিটারিতে,	
pishach,	পিশাচ,	পিশাচ,	
upanishad,	উপনিশাদ,	উপনিষদ,	
gulen,	গুলেন,	গুলেন,	
ashonka,	আশঙ্ক,	আশঙ্কা,	
amoor,	আমুর,	আমর,	
phaksha,	ফক্ষ,	ফক্স,	
kaalniir,	কালনীর,	কালনীর,	
pravu,	প্রভূ,	প্রভু,	
dharmi,	ধর্মী,	ধর্মী,	
stanehenge,	স্টনেহেঙ্জ,	স্টোনহেঞ্জ,	
lishensh,	লিসেন্স,	লাইসেন্স,	
poshte,	পোষ্টে,	পোষ্টে,	
pingnaa,	পিঙ্ন,	পিংনা,	
nirmolotaa,	নির্মলতা,	নির্মলতা,	
nagnyo,	নাগ্ন,	নগণ্য,	
nepchuner,	নেপচুনের,	নেপচুনের,	
bosstonte,	বসস্তন্তে,	বসন্তে,	
samudratatey,	সমুদ্রতাতে,	সমুদ্রতটে,	
ganoporibahan,	গণপরিবহন,	গণপরিবহন,	
taale,	টুলে,	তালে,	
janapoth,	জনপথ,	জনপথ,	
scholarship,	স্কলারশিপ,	স্কলারশিপ,	
twakei,	ত্বাকেই,	ত্বকেই,	
raktaksharaney,	রক্তক্ষণারে,	রক্তক্ষরণে,	
marmaraa,	মার্মার,	মারমারা,	
koode,	কুডে,	কোড,	
chalochchitra,	চলচিত্র,	চলচ্চিত্র,	
naraphooka,	নরফুক,	নরফোক,	
naazi,	নাজি,	নাত্সি,	
akatwa,	একাত্য,	একাত্ব,	
jonosomaj,	জনসমাজ,	জনসমাজ,	
tyuner,	টিউনের,	টিউনার,	
bhittiteo,	ভিত্তিওেও,	ভিত্তিতেও,	
ghoorte,	ঘুরতে,	ঘুরতে,	
sikkhakbrinda,	শিক্ষাবিন্দা,	শিক্ষকবৃন্দ,	
braqe,	ব্র্যাকে,	ব্রেক,	
masazida,	মসাজিদা,	মসজিদ,	
jetei,	যেতেই,	যেতেই,	
nabhela,	নেভেল,	নভেল,	
sikhra,	শিখরা,	শিখরা,	
mitroyo,	মিট্রোও,	মিত্রও,	
machgulo,	মাছগুলো,	মাছগুলো,	
pachak,	পাচক,	পাচক,	
mandope,	মন্ডপে,	মন্ডপে,	
parbatya,	পার্বত্য,	পার্বত্য,	
sabbir,	সববির,	সাব্বির,	
aap,	আপ,	আপ,	
zoneete,	যোনিতে,	যোনীতে,	
soheensotar,	সহিংস্তর,	সহিংসতার,	
osthisondhi,	অস্থিধন্ধি,	অস্থিসন্ধি,	
imirgincy,	এমের্জিনজি,	এমার্জেন্সি,	
heenna,	হেন্না,	হেনা,	
panctaar,	পাঁচটার,	পাঁচটার,	
bhartuky,	ভার্তুকি,	ভর্তুকি,	
meghkey,	মেঘকে,	মেঘকে,	
totokson,	ততক্ষণ,	ততক্ষন,	
granthotike,	গ্রন্থটিকে,	গ্রন্থটিকে,	
poriikkhateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
suma,	সুমা,	সুমো,	
gonjona,	গঞ্জনা,	গঞ্জনা,	
kormi,	কর্মী,	কর্মই,	
harja,	হার্জ,	হার্জ,	
graambasheeo,	গ্রামবাসীও,	গ্রামবাসীও,	
chalchhe,	চলছে,	চলছে,	
rekhapat,	রেখাপাত,	রেখাপাত,	
rajotwa,	রজজত্ব,	রাজত্ব,	
pachchen,	পাচছেন,	পাচ্ছেন,	
sarbhaarer,	সার্ভারের,	সার্ভারের,	
moshjid,	মসজিদ,	মসজিদ,	
ostader,	অস্টাদের,	ওস্তাদের,	
ancholtee,	অঞ্চলটি,	অঞ্চলটি,	
phiqsim,	ফিক্সিং,	ফিক্সিং,	
valobasey,	ভালবাসে,	ভালোবাসে,	
gronthotike,	গ্রন্থটিকে,	গ্রন্থটিকে,	
laisensa,	লাইসেন্স,	লাইসেন্স,	
abhidhaaneek,	অভিধানিক,	অভিধানিক,	
lohaa,	লোহা,	লোহা,	
tate,	তাতে,	তাতে,	
faranyata,	ফরণ্যতা,	ফরম্যাট,	
chikittsar,	চিকিৎসার,	চিকিত্সার,	
dinar,	দীনার,	ডিনার,	
ghurtey,	ঘুরেতে,	ঘুরতে,	
hepatitis,	হেপপিটিস,	হেপাটাইটিস,	
chiranton,	চিরান্তন,	চিরন্তন,	
lyaand,	ল্যান্ড,	ল্যান্ড,	
ssosha,	শশা,	শশা,	
poper,	পপার,	পোপের,	
bhandaare,	ভান্ডারে,	ভাণ্ডারে,	
jibnagore,	জীবনগরে,	জীবননগর,	
kada,	কাদা,	কোড,	
rakshanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
nathibhookta,	নথিভুক্ত,	নথিভুক্ত,	
bagichar,	বাগিচার,	বাগিচার,	
foltir,	ফলটির,	ফলটির,	
iukyaliptasa,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
jwor,	জুর,	জ্বর,	
hiragana,	হিরাগানা,	হিরাগানা,	
unitshoho,	উনিটশসহ,	ইউনিটসহ,	
teennis,	টেনিস,	টেনিস,	
udichi,	উদিছি,	উদীচী,	
machhe,	মাছে,	মাছে,	
chirota,	চিরতা,	চিরতা,	
moushumeo,	মৌসুমেও,	মৌসুমেও,	
rupantarer,	রূপান্তরের,	রুপান্তরের,	
sachindra,	সচীন্দ্র,	শচীন্দ্র,	
dhyanastha,	ধ্বানস্থা,	ধ্যানস্থ,	
harbour,	হার্বোর,	হারবার,	
kishti,	কিষ্টি,	কিস্তি,	
dackop,	ডকক,	দাকোপ,	
kanaflikta,	কনফালিক্ট,	কনফ্লিক্ট,	
agrodoot,	আগ্রদূত,	অগ্রদূত,	
pathachari,	পাঠচারি,	পথচারী,	
mastarsa,	মোস্টার্স,	মাস্টার্স,	
samashtigata,	সমস্তিগত,	সমষ্টিগত,	
atyachari,	অত্যাচারী,	অত্যাচারী,	
ongkita,	অংকিত,	অঙ্কিতা,	
eekbalke,	একবললকে,	ইকবালকে,	
dolgulo,	দলগুলো,	দলগুলো,	
rajatta,	রাজত্ব,	রাজত্ব,	
ancholsomuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
darada,	দারদা,	দারদা,	
bagach,	বাগচ,	বটগাছ,	
sarano,	সরানো,	সরানো,	
grantha,	গ্রন্থ,	গ্রন্থ,	
ranodeep,	রণোদীপ,	রণদীপ,	
kandy,	কান্ডি,	ক্যান্ডি,	
chalochchitrai,	চলচিত্রাই,	চলচ্চিত্রই,	
gajiipur,	গজিপুর,	গাজীপুর,	
rightsh,	রাইটস,	রাইটস,	
nyata,	ন্যাট,	ম্যাট,	
mosjidti,	মসজিদটি,	মসজিদটি,	
cyphy,	সিফি,	সাইফাই,	
siropa,	শিরপা,	শিরোপা,	
suraropeeto,	সুরারপপিত,	সুরারোপিত,	
tuner,	টুনের,	টিউনার,	
bhorodwaj,	ভরদদ্যাজ,	ভরদ্বাজ,	
chitronattakar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
kooshumba,	কুশুম্ব,	কুশুম্বা,	
proshtutkarok,	প্রস্তুতকারক,	প্রস্তুতকারক,	
inashtyanta,	ইনাস্ট্যন্ট,	ইনস্ট্যান্ট,	
agara,	আগার,	আগোরা,	
chopal,	চপাল,	চপল,	
janosomaj,	জনসমাজ,	জনসমাজ,	
mukhabandha,	মুখবন্ধ,	মুখবন্ধ,	
bibechyo,	বিবেচ্য,	বিবেচ্য,	
eemarjeensi,	এমার্জেন্সি,	এমার্জেন্সি,	
potchitra,	পতিচত্র,	পটচিত্র,	
bbosonte,	বসন্তে,	বসন্তে,	
gobeshonagar,	গবেষণাগার,	গবেষনাগার,	
ddhila,	ঢিলা,	ঢিলা,	
relance,	রেল্যান্স,	রিলায়েন্স,	
galpokar,	গল্পকার,	গল্পকার,	
nagarik,	নাগরিক,	নাগরিক,	
shcholastic,	স্কলাস্টিক,	স্কলাস্টিক,	
taap,	টুপ,	ট্যাপ,	
bohoodeen,	বহুদিন,	বহুদিন,	
braille,	ব্রেলে,	ব্রেইল,	
chef,	চেফ,	শেফ,	
ragi,	রাগী,	রাগী,	
vittimul,	ভিটিতমূল,	ভিত্তিমূল,	
sammatir,	সম্মতির,	সম্মতির,	
mookhomaundol,	মুখমন্ডল,	মুখমণ্ডল,	
konphlict,	কনফ্লিক্ট,	কনফ্লিক্ট,	
nobom,	নবম,	নবম,	
vumir,	ভূমির,	ভূমির,	
asamanyo,	অসমান্য,	অসামান্য,	
sanghorshik,	সংঘর্ষিক,	সাংঘর্ষিক,	
porobortii,	পরবর্তী,	পরর্বতী,	
byatikramdharmi,	ব্যাতিক্রমধ্রমী,	ব্যতিক্রমধর্মী,	
songkoloney,	সংকোলে,	সংকলনে,	
samajeek,	সামাজিক,	সামাজিক,	
mukhobandho,	মুখবন্ধ,	মুখবন্ধ,	
akeeb,	আকীব,	আকিব,	
songosthatike,	সংস্থাটটিকে,	সংস্থাটিকে,	
foridi,	ফরীদি,	ফরিদী,	
plus,	প্লাস,	প্লাস,	
shikare,	শিকারে,	শিকারে,	
abhidhaaner,	অভিধানের,	অভিধানের,	
sampadaner,	সম্পাদনের,	সম্পাদনের,	
estoonia,	এস্টুনিয়া,	এস্তোনিয়া,	
sulfate,	সুলফাটে,	সালফেট,	
ganohatyar,	গণহাত্যার,	গণহত্যার,	
majuter,	মজুটের,	মজুতের,	
reesideensa,	রেসিডেন্স,	রেসিডেন্স,	
kara,	কারা,	কর,	
gezeteda,	গেজেটেদ,	গেজেটেড,	
sakshatkarer,	সাক্ষাৎকারের,	সাক্ষাৎকারের,	
boother,	বুঠের,	বুথের,	
tet,	টেট,	টেট,	
ishiyatika,	ইসিয়েটিক,	এশিয়াটিক,	
basuki,	বসুকি,	বাসুকি,	
kokein,	কোকেন,	কোকেইন,	
shasankarta,	শাসনকর্তা,	শাসনকর্তা,	
durotomm,	দুরতম,	দূরতম,	
nathibhukteer,	নথিভূক্তির,	নথিভুক্তির,	
bronzer,	ব্র্ঞ্জের,	ব্রোঞ্জের,	
adhyattikotar,	আধ্যাত্বিকতার,	আধ্যাত্মিকতার,	
ekshor,	একশর,	একশোর,	
anis,	আনিশ,	আনিস,	
sarboshokteeman,	সর্বস্কতিমন,	সর্বশক্তিমান,	
firozaa,	ফিরোজা,	ফিরোজা,	
somabeshke,	সমবেষকে,	সমাবেশকে,	
shiropa,	শিরপা,	শিরোপা,	
anhu,	আনু,	আনহু,	
swosti,	স্বস্তি,	স্বস্তি,	
silwar,	সিলভার,	সিলভার,	
songkoloner,	সংকলনের,	সংকলনের,	
parser,	পারসের,	পার্শ্বের,	
shrabostee,	শ্রববস্তি,	শ্রাবস্তী,	
votar,	ভোটার,	ভোটার,	
astheesandhi,	অস্থিনসন্ধি,	অস্থিসন্ধি,	
alympic,	অলিম্পিক,	অলিম্পিক,	
kaaru,	কারু,	কারু,	
valobasa,	ভালবাসা,	ভালোবাসা,	
jounatar,	যওনতার,	যৌনতার,	
lumbini,	লুম্বীনী,	লুম্বিনী,	
sikkhartheerao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
bagicha,	বাগিচা,	বাগিচা,	
malaika,	মালাইকা,	মালাইকা,	
progreess,	প্রগ্রেস,	প্রগ্রেস,	
charrjer,	চার্যের,	চার্জের,	
deambakriti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
modele,	মোডেলে,	মডেলে,	
pade,	পদে,	পাড়ে,	
angshogragon,	অংশগ্রগণ,	অংশগ্রহন,	
cheekitshar,	চিকিৎসার,	চিকিত্সার,	
mukhomandal,	মুখমন্ডল,	মুখমণ্ডল,	
ispredsiit,	ইসপ্রেসেট,	স্প্রেডশীট,	
sushri,	সুশ্রী,	সুশ্রী,	
toubaar,	তবার,	তওবার,	
ancholgulote,	আঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
kansater,	কাংসাতের,	কানসাটের,	
nadimatrik,	নাদিমাত্রিক,	নদীমাতৃক,	
deputi,	দেপুতি,	ডেপুটি,	
seguloi,	সেগুলোই,	সেগুলোই,	
dhojovongo,	ধভবঙঙ্গ,	ধ্বজভঙ্গ,	
byabasthar,	ব্যবস্থার,	ব্যবস্থার,	
caaling,	কালিং,	কুলিং,	
mohish,	মহিশ,	মহিষ,	
dibbay,	দিব্বাই,	দিব্যা,	
seshardhe,	শেষার্ধে,	শেষার্ধে,	
silver,	সিলভের,	সিলভার,	
clintoner,	ক্লিন্তনের,	ক্লিনটনের,	
shhepha,	শেফ,	শেফ,	
alpakichudin,	অল্পকিছিদিন,	অল্পকিছুদিন,	
konroop,	কনরূপ,	কোনরূপ,	
bbiswashe,	বিশ্বাসে,	বিশ্বাসে,	
phoolkopi,	ফুলকপি,	ফুলকপি,	
manab,	মানব,	মানব,	
turkider,	টুর্কীদের,	তুর্কিদের,	
builder,	বিল্ডের,	বিল্ডার,	
gabeshona,	গবেষণা,	গবেষনা,	
sthaponagulo,	স্থাপনগুলো,	স্থাপনাগুলো,	
roja,	রোজা,	রোযা,	
udvabaker,	উদ্ভাবকের,	উদ্ভাবকের,	
rooshod,	রুশদ,	রুশদ,	
asocietes,	অসযাকিসেট,	এসোসিয়েটস,	
lyanding,	ল্যান্ডিং,	ল্যান্ডিং,	
roopdan,	রূপদান,	রুপদান,	
masharraf,	মাশাররফ,	মশাররফ,	
santa,	সান্টা,	সান্তা,	
ducktickete,	ডাক্টিকেট,	ডাকটিকিটে,	
manushder,	মানুষদের,	মানুষদের,	
grambasee,	গ্রাম্বাসী,	গ্রামবাসী,	
bbonyopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
torangunj,	তরঙাঙ্গজ,	তোরাবগঞ্জ,	
inamila,	ইনামিলা,	এনামেল,	
shajano,	সাজান,	সাজানো,	
iukyaliptasha,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
kyandi,	ক্যান্ডি,	ক্যান্ডি,	
bisnoo,	বিষ্ণু,	বিষ্ণু,	
fatakesto,	ফটকেষ্ট,	ফাটাকেষ্ট,	
madrasake,	মাদ্রাসাকে,	মাদ্রাসাকে,	
cs,	এিএস,	সিএস,	
hyaloyin,	হ্যালোইন,	হ্যালোইন,	
rokibul,	রোকিবুল,	রকিবুল,	
aabahon,	আবাহন,	আবাহন,	
antorbhukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
kalam,	কলম,	কালাম,	
dharai,	ধারাই,	ধারাই,	
shamijir,	সমীজির,	স্বামীজীর,	
shikha,	শিখা,	শিখ,	
zillul,	জিল্লুল,	জিল্লুল,	
norton,	নর্তন,	নর্টন,	
soshej,	সসেজ,	সসেজ,	
govornorer,	গভর্নরের,	গভর্ণরের,	
sikkharthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
elakashaho,	এলাকাহহ,	এলাকাসহ,	
asamonjoshyopurno,	অসম্যন্যবার্পূর্ণ,	অসামঞ্জস্যপূর্ণ,	
brittakarey,	বৃত্তককারে,	বৃত্তাকারে,	
baugey,	বৌগে,	বাগে,	
sibiai,	সিবিই,	সিবিআই,	
apargota,	অপরগতত,	অপারগতা,	
rubyo,	রুব্য,	রুবিও,	
gajipur,	গজিপুর,	গাজীপুর,	
gobeshona,	গবেষণা,	গবেষনা,	
madrajer,	মাদরাজের,	মাদ্রাজের,	
hitakar,	হিতাকার,	হিতকর,	
bolechiley,	বলেছিলে,	বলেছিলে,	
mausumer,	মৌসমের,	মৌসুমের,	
shomrat,	সমরাত,	সম্রাট,	
prakalpaguli,	প্রকল্পগুলি,	প্রকল্পগুলি,	
horeener,	হরিনের,	হরিণের,	
foreex,	ফরেক্স,	ফরেক্স,	
jolatongko,	জলাতঙ্ক,	জলাতঙ্ক,	
sakar,	সাকার,	সাকার,	
mousumeo,	মৌসমেও,	মৌসুমেও,	
samaptir,	সমা্পতির,	সমাপ্তির,	
as,	আস,	অস,	
nations,	নেটিং,	নেশনস,	
chitranatyakar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
aansarir,	আনসারির,	আনসারীর,	
bonvumitey,	বনভূমিতে,	বনভূমিতে,	
shpredshiit,	স্প্রেসিট,	স্প্রেডশীট,	
shfingtar,	স্ফিঙ্টার,	স্ফিংটার,	
samoshtigato,	সমস্তিগত,	সমষ্টিগত,	
servere,	সার্ভারে,	সার্ভারে,	
nothibhookteer,	নথিভুক্তির,	নথিভুক্তির,	
shooter,	শুটার,	শ্যুটার,	
dharabahikbhabey,	ধারাবিকভাবে,	ধারাবাহিকভাবে,	
mosjidke,	মসজিদকে,	মসজিদকে,	
kram,	ক্রম,	ক্রম,	
plusey,	প্লাসে,	প্লাসে,	
nickel,	নিকেল,	নিকেল,	
vabnake,	ভব্নাকে,	ভাবনাকে,	
aalaa,	আলা,	আলা,	
