digrike,	ডিগ্রীকে,	ডিগ্রিকে,	
oiteejyer,	ঐতিজ্যের,	ঐতিহ্যের,	
huqa,	হুক,	হুক,	
istan,	ইস্টান,	স্টোন,	
tate,	তাতে,	তাতে,	
ramonar,	রমনার,	রমনার,	
dana,	ডানা,	ডায়না,	
grambashi,	গ্রামবাশী,	গ্রামবাসী,	
dii,	দিও,	দিই,	
kheylechen,	খেলেছেল,	খেলেছেন,	
jakser,	যক্ষের,	যক্ষের,	
emarzensi,	এমর্জেন্সি,	এমার্জেন্সি,	
chhootochhuti,	ছুট্ছটি,	ছুটোছুটি,	
beekargrasta,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
charukola,	চরুকুলা,	চারুকলা,	
dumaa,	দুমা,	দুমা,	
sarollo,	সররল্ল,	সারল্য,	
kule,	কোলে,	কুলে,	
oojbekistan,	উজ্বিক্ষতন,	উজবেকিস্তান,	
lutheren,	লুথারন,	লুথেরান,	
rajtantra,	রাজটন্ত্রা,	রাজতন্ত্র,	
bisshaso,	বিশ্বাস,	বিশ্বাসও,	
prokolpou,	প্রকল্প,	প্রকল্পও,	
ovisongson,	অভিসংস,	অভিশংসন,	
surarop,	সুরারোপ,	সুরারোপ,	
yak,	যাক,	ইয়াক,	
voterer,	ভোতারের,	ভোটারের,	
prodip,	প্রদীপ,	প্রদীপ,	
tintike,	তিনটিকে,	তিনটিকে,	
maladoobha,	মালাডভা,	মলদোভা,	
toufiq,	তৌফিক,	তৌফিক,	
duckticketer,	ডাকিকটকেটের,	ডাকটিকিটের,	
azibonoer,	আজীবনের,	আজীবনের,	
mumtaj,	মমতাজ,	মুমতাজ,	
narikei,	নারীকে,	নারীকেই,	
jeebjontu,	জীবনযুত্ত,	জীবজন্তু,	
don,	ডোন,	দোন,	
chhutochhuti,	ছুট্ছুটি,	ছুটোছুটি,	
veniser,	ভেনিসের,	ভেনিসের,	
oxfordey,	অক্োর্ডে,	অক্সফোর্ডে,	
dhanche,	ধ্ঁচে,	ধাঁচে,	
bunat,	বানত,	বুনট,	
anchalgulote,	অঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
bujhechhilo,	বুঝেছিল,	বুঝেছিল,	
gostigoolo,	গাসিতাগুলো,	গোষ্ঠীগুলো,	
rabe,	রবে,	রবে,	
shoilee,	শৈলী,	শৈলী,	
marodeho,	মারদেহ,	মরদেহ,	
longhon,	লঙ্ঘন,	লংঘন,	
baikalya,	বৈকল্য,	বৈকল্য,	
skalarashipa,	স্কলারশিপ,	স্কলারশিপ,	
esiyatika,	এসিটিয়া,	এশিয়াটিক,	
safin,	সেফিন,	সাফিন,	
ralf,	রলফ,	রালফ,	
hunayin,	হানইন,	হুনাইন,	
soomo,	সুম,	সুমো,	
mookhomaundol,	মুখমন্ডল,	মুখমণ্ডল,	
graambasheeo,	গ্রামাবাসী,	গ্রামবাসীও,	
drissotir,	দৃষ্টটির,	দৃশ্যটির,	
babna,	বাবা,	বাবনা,	
gaadha,	গাধা,	গাধা,	
juktarashtrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
loukikataa,	লৌকিকতা,	লৌকিকতা,	
nischitarupey,	নিশ্চিতূরুপে,	নিশ্চিতরূপে,	
janamukhi,	জনমাখুখী,	জনমুখী,	
samajikotar,	সমমাজিকতার,	সামাজিকতার,	
rilayeensa,	রিলেন্স,	রিলায়েন্স,	
mmehonoti,	মেহনাটি,	মেহনতি,	
eucalyptush,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
rohosyo,	রহহস্য,	রহস্য,	
starcer,	স্টার্সের,	স্টার্কের,	
bibadey,	বিবদে,	বিবাদে,	
obdee,	অব্দি,	অব্দি,	
ester,	এস্টের,	ইস্টার,	
tale,	তোলে,	তালে,	
dhhaaby,	ঢাবি,	ঢাবি,	
difinisian,	ডিফিনিশন,	ডেফিনেশন,	
phastara,	ফাস্টার,	ফস্টার,	
anyarup,	অন্যারূপ,	অন্যরূপ,	
armeniyana,	আরমেনিয়ান,	আর্মেনিয়ান,	
deilee,	দেলী,	ডেইলি,	
rashider,	রাশীদের,	রশিদের,	
jalrong,	জলরাং,	জলরঙ,	
ashor,	অশোর,	আসর,	
annorup,	অন্যরূপ,	অন্যরূপ,	
zoneete,	যোনিতে,	যোনীতে,	
kaptai,	কপতাই,	কাপ্তাই,	
shchalastik,	স্কালাস্কটিক,	স্কলাস্টিক,	
bisheshyer,	বিশেষ্যের,	বিশেষ্যের,	
juktorastrey,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
graambaasi,	গ্রামাবাসী,	গ্রামবাসী,	
shlok,	শ্লক,	শ্লোক,	
prithibir,	পৃথীবীর,	পৃথবীর,	
inasiyinta,	ইনসাইন্ট,	এনসিয়েন্ট,	
cholochchitrake,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
jhalkathy,	ঝালকাঠি,	ঝালকাঠী,	
tala,	তাল,	তালা,	
stonehenge,	স্টোহানেগে,	স্টোনহেঞ্জ,	
qyandi,	ক্যান্ডি,	ক্যান্ডি,	
batsmani,	বৎসমানি,	ব্যাটসম্যানই,	
bosobben,	বসবিবেন,	বসবেন,	
shaalehaa,	সালেহা,	সালেহা,	
shringo,	শ্রীঙ্গ,	শৃঙ্গ,	
proteesthasoho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
dijnii,	ডিজনই,	ডিজনী,	
khamba,	খেম্বা,	খাম্বা,	
chhootee,	ছুটি,	ছুটি,	
riphleksa,	রাইলেলক্স,	রিফ্লেক্স,	
pyaleshtainer,	প্যাসলেট্টানের,	প্যালেস্টাইনের,	
zubokder,	যুবকদের,	যুবকদের,	
taholo,	তহল,	তাহলো,	
bonoshree,	বনসারী,	বনশ্রী,	
gudamjat,	গুদ্মজাত,	গুদামজাত,	
siddhantoo,	সিদ্ধান্ত,	সিদ্ধান্তও,	
lat,	লত,	লাট,	
khijir,	খিজির,	খিজির,	
temas,	টেমাস,	টাইমস্,	
shomser,	শমসের,	সমশের,	
bisringkhola,	বিশৃঙ্খলা,	বিশৃঙ্খলা,	
baabul,	বাবুল,	বাবুল,	
madal,	মাদাল,	মাদল,	
nishchitrupe,	নিশ্চিতূপে,	নিশ্চিতরূপে,	
khappar,	খাপার,	খপ্পর,	
mg,	এম,	এমজি,	
vaibonera,	ভৈবনেরা,	ভাইবোনেরা,	
shoccer,	শকার,	সকার,	
fansi,	ফাঁসি,	ফাঁসী,	
dovaar,	ডোভার,	ডোভার,	
ajeempur,	অজিমপুর,	আজিমপুর,	
saahocorrzo,	সাহাচর্য,	সাহচর্য,	
bosano,	বসান,	বসানো,	
muhammada,	মুহাম্মাদা,	মুহাম্মদ,	
jak,	যাক,	জাঁক,	
agiboner,	আগীনের,	আজীবনের,	
hirani,	হিরানী,	হিরানি,	
easter,	ইস্টের,	ইস্টের,	
awrbit,	অর্বিত,	অরবিট,	
brindabane,	ব্রিনদাবনে,	বৃন্দাবনে,	
ghenshe,	ঘেঁেস,	ঘেঁষে,	
ever,	ইভার,	এভার,	
cholocchitroi,	চলচিত্রী,	চলচ্চিত্রই,	
soorarop,	সুরারাপ,	সুরারোপ,	
shrishri,	শৃষ্রী,	শ্রীশ্রী,	
meeseenjar,	মিশেঞ্জার,	মেসেঞ্জার,	
moushumei,	মৌসুমেই,	মৌসুমেই,	
chalachchitrai,	চলচিত্রী,	চলচ্চিত্রই,	
faltu,	ফলত্টু,	ফালতু,	
paltechhey,	পালেটেে,	পাল্টেছে,	
pustir,	পুষ্তির,	পুষ্টির,	
grameroi,	গ্রামরই,	গ্রামেরই,	
institutioner,	ইন্সটিটিউশনের,	ইনস্টিটিউশনের,	
pothchari,	পথচারী,	পথচারী,	
teemothee,	তীমথথী,	টিমোথি,	
hafej,	হাফেজ,	হাফেয,	
change,	চ্যা,	চেঞ্জ,	
tukrokey,	টুকরাকে,	টুকরোকে,	
bairey,	বারে,	বাইরে,	
besorkarikoron,	বেসরকারীকরণ,	বেসরকারিকরণ,	
ghatkey,	ঘাতকে,	ঘাটকে,	
aazan,	আজন,	আজান,	
ekeerokom,	একরকমক,	একইরকম,	
sikkhagoto,	শিক্ষাগত,	শিক্ষাগত,	
beeseshyo,	বিশেষ্য,	বিশেষ্য,	
sangbadmadhyomgulote,	সংবাধমামদুলতে,	সংবাদমাধ্যমগুলোতে,	
ottacharer,	অত্যাচারের,	অত্যাচারের,	
spreadsheet,	স্প্রেডসিট,	স্প্রেডশীট,	
fuzz,	ফাউজ,	ফাজ,	
taunashipa,	টাউন্সিপ,	টাউনশিপ,	
riphleeksa,	রাইলেল্স,	রিফ্লেক্স,	
saqara,	সাকারা,	সাকার,	
gronthoti,	গ্রন্থাথি,	গ্রন্থটি,	
upobashee,	উপবহাই,	উপবাসী,	
pratisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
valobasakey,	ভালবাসকে,	ভালোবাসাকে,	
masjid,	মাসিজদ,	মসজিদ,	
dwibidh,	দ্বিধি,	দ্বিবিধ,	
nagarikderkey,	নাগারীকদেরকে,	নাগরিকদেরকে,	
azijer,	আজিজের,	আজিজের,	
candi,	চণ্ডি,	ক্যান্ডি,	
nirvachakder,	নির্বাচকদের,	নির্বাচকদের,	
utsaho,	উত্সাহ,	উৎসাহ,	
shanstha,	সংস্থ,	সংস্থা,	
ssahosikotar,	সাহিশকতার,	সাহসিকতার,	
shilpajata,	শিল্পজতা,	শিল্পজাত,	
noditi,	নদীতী,	নদীটি,	
teuning,	টিউনিং,	টিউনিং,	
laaiseens,	লাইেস্স,	লাইসেন্স,	
laiceensee,	লেসেেসন্স,	লাইসেন্স,	
banijyikvittey,	বানিজ্যিকৃত্বি,	বাণিজ্যিকভিত্তিতে,	
parisankhanbid,	পরিষণখান্বিদ,	পরিসংখ্যানবিদ,	
tenish,	টেনিস,	টেনিস,	
kkomatei,	কমতেই,	কমাতেই,	
chirohorith,	চিরোরারহ,	চিরহরিৎ,	
sattoki,	সত্যকী,	সাত্যকি,	
maaktoome,	মাকতমে,	মাকতুম,	
potchitrer,	পতচিত্রের,	পটচিত্রের,	
ohong,	অগং,	অহং,	
nirantar,	নিরান্তর,	নিরন্তর,	
atto,	আত্ব,	আত্ম,	
monjushree,	মন্যুরেজী,	মঞ্জুশ্রী,	
horeedwar,	হরিদ্বর,	হরিদ্বার,	
gemser,	গেমসের,	জেমসের,	
arthonitite,	অর্থনীতিতে,	অর্থনীতিতে,	
lisense,	লিসনস্স,	লাইসেন্স,	
annarup,	অন্যারূপ,	অন্যরূপ,	
auncholo,	অঞ্চলও,	অঞ্চলও,	
nothibhukta,	নথিভুক্ত,	নথিভুক্ত,	
lyaandeeng,	ল্যান্ডিং,	ল্যান্ডিং,	
hori,	হররি,	হরি,	
kyamone,	ক্যামনে,	কেমনে,	
enasiyenta,	এনশেন্টিয়া,	এনসিয়েন্ট,	
janaalo,	জানালো,	জানালো,	
wodka,	উদকা,	ভদকা,	
janoikaa,	জানিকা,	জনৈকা,	
langhaner,	লঙ্ঘনের,	লংঘনের,	
jeebonjapon,	জীবনযাপন,	জীবনযাপন,	
valobasar,	ভালবাসার,	ভালোবাসার,	
grameri,	গ্রামারী,	গ্রামেরই,	
mousumeo,	মৌসুমেও,	মৌসুমেও,	
bhenisha,	ভেনিশা,	ভেনিস,	
foks,	ফক্স,	ফক্স,	
resorte,	রিসর্টে,	রিসোর্টে,	
gazetted,	গাজেটদের,	গেজেটেড,	
batsmaner,	বাসমামের,	ব্যাটসম্যানের,	
sukhma,	সুখমা,	সুক্ষ্ম,	
johnsh,	জনসস,	জন্স,	
hotochokeeto,	হতচচকেত,	হতচকিত,	
antarvukto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
cetholic,	ক্যাথলিক,	ক্যাথলিক,	
mulgato,	মুলগত,	মূলগত,	
rubidiyam,	রুবিডিয়াম,	রুবিডিয়াম,	
benis,	বেনিস,	ভেনিস,	
holdin,	হলদিন,	হোল্ডিং,	
dinesh,	দিনেশ,	দীনেশ,	
arjara,	অর্জার,	আর্যরা,	
jockey,	জকে,	জকি,	
ganakantho,	গণকণ্ঠ,	গণকণ্ঠ,	
atwobishvashi,	অত্বশিব্যাসী,	আত্মবিশ্বাসী,	
sanaktakaraner,	সনাক্তকরণের,	সনাক্তকরণের,	
abhidhaaneec,	অভিধানিক,	অভিধানিক,	
kul,	ক্লু,	কুল,	
soasage,	স্াাজেজ,	সসেজ,	
chhotogolpe,	ছোটোগল্পে,	ছোটগল্পে,	
liseens,	লিসেন্স,	লাইসেন্স,	
kaaleo,	কালেও,	কালেও,	
second,	সেকন্ড,	সেকেণ্ড,	
mail,	মেল,	মাইল,	
osthisandhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
carpet,	কর্পট,	কার্পেট,	
mukharji,	মুখার্জি,	মুখার্জী,	
ceramiker,	সারামিকের,	সিরামিকের,	
brekethru,	ব্রেকথিরু,	ব্রেকথ্রু,	
mit,	মিট,	মিট,	
obheegomon,	অভিগম্যম,	অভিগমন,	
senior,	সেনিয়র,	সিনিয়র,	
bidghutey,	বিধ্যুতে,	বিদঘুটে,	
transapharma,	ট্রান্সমার্ম,	ট্রান্সফর্ম,	
artherer,	অর্থারের,	আর্থারের,	
dholeshwari,	ধলেেশারী,	ধলেশ্বরী,	
tyuner,	টিউনের,	টিউনার,	
esasiyetasa,	এসোস্যাইটস,	এসোসিয়েটস,	
byaboharkarike,	ব্যাবহারকারীকে,	ব্যবহারকারীকে,	
loha,	লোহ,	লোহা,	
sorano,	সরণনা,	সরানো,	
chaity,	চাইটি,	চৈতি,	
mukhobondho,	মুখন্ধ্ধ,	মুখবন্ধ,	
abasan,	আবাসন,	অবসান,	
obhigomon,	অভিগমন,	অভিগমন,	
thaii,	থাঁই,	থাই,	
granthatyke,	গ্রন্থাথকে,	গ্রন্থটিকে,	
thaakeni,	থাকেনি,	থাকেনি,	
bondhuvabaponyo,	বন্ধভবনূণ্,	বন্ধুভাবাপন্ন,	
aansarir,	আনসারির,	আনসারীর,	
tempaleta,	টেম্পালেট,	টেম্পলেট,	
labanaktotar,	লবনাক্ততা,	লবণাক্ততার,	
grambasi,	গ্রামাবাসী,	গ্রামবাসী,	
gosthiti,	গস্থিতি,	গোষ্ঠীটি,	
poddhotitei,	পদ্ধতিতেই,	পদ্ধতিতেই,	
vaisaha,	বাইসাহ,	ভাইসহ,	
bhaabaaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
setite,	সেটিতে,	সেটিতে,	
goshthiti,	গোষ্ঠিতি,	গোষ্ঠীটি,	
sanbadmadhyamer,	সংবাবধাম্মমের,	সংবাদমাধ্যমের,	
gaujano,	গৌজনা,	গজানো,	
konader,	কোনদের,	কণাদের,	
tochhnochh,	তচ্ছন,	তছনছ,	
aziboner,	আজীবনের,	আজীবনের,	
kode,	কোড,	কোড,	
meshenjar,	মেশেঞ্জার,	মেসেঞ্জার,	
phutanto,	ফুটন্ত,	ফুটন্ত,	
ojowno,	অজুন্য,	অযৌন,	
sibraz,	শিবরাজ,	শিবরাজ,	
joneser,	জোনসের,	জোন্সের,	
tenishe,	টেনিসে,	টেনিসে,	
satarkakaree,	সতাতরকারী,	সতর্ককারী,	
mukhbaundho,	মুখনুদ্ধ,	মুখবন্ধ,	
ishton,	ইস্টান,	স্টোন,	
metroopalitana,	মেট্রোপলিটান,	মেট্রোপলিটন,	
carlosh,	কার্লস,	কার্লোস,	
antarvuktimulak,	অন্তরুমুলিতকমূলক,	অন্তর্ভুক্তিমূলক,	
bard,	বার্ড,	বার্ড,	
procharonamulok,	প্রচারণামূলক,	প্রচারণামূলক,	
maunchostho,	মঞ্চস্থ,	মঞ্চস্থ,	
qingdom,	কিংদম,	কিংডম,	
songbadmadhyamgulote,	সংবাধমামদুলতে,	সংবাদমাধ্যমগুলোতে,	
puroheetra,	পুরোহতত্রা,	পুরোহিতরা,	
brindo,	বৃদ্যু,	বৃন্দ,	
trans,	ট্রান্স,	ট্রান্স,	
definishian,	ডেফিনিশন,	ডেফিনেশন,	
technocrat,	টেকনচরত,	টেকনোক্র্যাট,	
transafarma,	ট্রান্সমফার্ম,	ট্রান্সফর্ম,	
aaeerese,	আইরসে,	আইরেসে,	
militaryr,	মিলিটারীর,	মিলিটারির,	
chhatogolper,	ছোটোগল্পের,	ছোটগল্পের,	
harisoner,	হারিশনের,	হ্যারিসনের,	
yuro,	ইউরো,	ইউরো,	
narider,	নারীদের,	নারীদের,	
tecno,	টেকন,	টেকনো,	
naker,	নাকের,	নেকের,	
vashik,	ভাষিক,	ভাষিক,	
graambashio,	গ্রামাবাষ্,	গ্রামবাসীও,	
antarctica,	অন্টর্্কটিকা,	অ্যান্টার্কটিকা,	
rushd,	রুশদ,	রুশদ,	
banger,	বঙ্গের,	ব্যাঙের,	
degree,	ডিগ্রী,	ডিগ্রি,	
sifi,	সিফি,	সাইফাই,	
gajano,	গাজনা,	গজানো,	
hamburger,	হামবার্গের,	হামবুর্গের,	
phimela,	ফাইমেলা,	ফিমেল,	
mauhajote,	মহাজাতে,	মহাজোট,	
debdebee,	দেবদেবী,	দেবদেবী,	
cloud,	ক্লদ,	ক্লাউড,	
stoneeheengee,	স্থোতিনহিগ,	স্টোনহেঞ্জ,	
skarrt,	স্কার্ট,	স্কার্ট,	
sausage,	সৌশাগেজ,	সসেজ,	
bihar,	বিহার,	বিহার,	
neurology,	নেরোোলি,	নিউরোলজি,	
benj,	বেঁজ,	বেঞ্জ,	
chalochchitrotike,	চলচিতিত্রকে,	চলচ্চিত্রটিকে,	
dhormi,	ধর্মী,	ধর্মী,	
ase,	আসি,	আসে,	
shhikha,	শিখ্যা,	শিখ,	
adhyattik,	আধ্যাত্ত্বিক,	আধ্যাত্মিক,	
muscut,	মাসকাত,	মাস্কাট,	
sikhechi,	শিখেছি,	শিখেছি,	
sumi,	সুমি,	সুমি,	
ghesei,	ঘেসেই,	ঘেঁষেই,	
jatee,	জাতি,	যাতি,	
seatey,	সেটে,	সিটে,	
drishi,	ড্রীসি,	দৃশ্যই,	
nodimaatrik,	নদিমাতরিক,	নদীমাতৃক,	
porikhar,	পরীক্ষার,	পরিখার,	
boorana,	বররানা,	বোরন,	
judge,	জজ,	জাজ,	
geeja,	গেজ,	গেজ,	
prakalpotike,	প্রকালপতিকে,	প্রকল্পটিকে,	
addhatikota,	আধ্যাতিকতা,	আধ্যাত্মিকতা,	
nikate,	নিকটে,	নিকটে,	
bizepi,	বিজেপি,	বিজেপি,	
iuqyaliptasa,	ইউক্যালিপটাস্,	ইউক্যালিপ্টাস,	
avatara,	অভতারা,	অবতার,	
advanced,	অ্যাডভেন্দে,	অ্যাডভান্সড,	
definishion,	ডেফিনিশন,	ডেফিনেশন,	
silabhara,	সিলভার,	সিলভার,	
grambashee,	গ্রামবাশী,	গ্রামবাসী,	
guzober,	গুজোের,	গুজবের,	
sahazlabhbhatar,	সহজভলভাতার,	সহজলভ্যতার,	
heriken,	হ্রিকেন,	হ্যারিকেন,	
vejano,	ভেজানো,	ভেজানো,	
biswashke,	বিশ্বাসকে,	বিশ্বাসকে,	
kakhonyoba,	কখনোভাব,	কখনওবা,	
flask,	ফ্লাযাক্স,	ফ্লাস্ক,	
prottokhobhabe,	প্রত্যাখভাবে,	প্রত্যক্ষভাবে,	
harrisoner,	হ্রাসিরেন,	হ্যারিসনের,	
seat,	সেট,	সিট,	
trup,	ট্রুপ,	ট্রুপ,	
chaanu,	চানু,	চানু,	
eenjeel,	এঞ্জেল,	ইঞ্জিল,	
abadamoner,	আবাদমনের,	অবদমনের,	
aedipus,	এডিডাপ,	ইডিপাস,	
mojuter,	মজুতের,	মজুতের,	
schalastic,	স্কালাস্কটিক,	স্কলাস্টিক,	
sarbopori,	সর্বোপরি,	সর্বোপরী,	
kulo,	কুলো,	কুলো,	
dharavahikbhabe,	ধারাবাহিকাবে,	ধারাবাহিকভাবে,	
bishod,	বিশদ,	বিষদ,	
lumbini,	লুমবিনি,	লুম্বিনী,	
kriita,	কৃষ,	ক্রীট,	
karadonde,	কারাদন্ডে,	কারাদণ্ডে,	
bharatey,	ভারতে,	ভারতে,	
shkirt,	স্কার্ট,	স্কার্ট,	
arthanitir,	অর্থনীতির,	অর্থনীতির,	
eksathe,	একথসে,	একসাথে,	
oindreela,	ওইন্ড্রেল,	ঐন্দ্রিলা,	
bhandar,	ভান্ডার,	ভাণ্ডার,	
bohoodeen,	বহুদীন,	বহুদিন,	
dhwajbhanga,	ধ্বংভাগ্যা,	ধ্বজভঙ্গ,	
sansthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
eucalyptushh,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
gosthii,	গোষ্ঠী,	গোষ্ঠীই,	
bechaa,	বেচা,	বেচা,	
nirbaaho,	নির্বাহ,	নির্বাহ,	
karoo,	কারু,	কারো,	
saatzon,	সাতজন,	সাতজন,	
otyacharita,	অত্যাচারীত,	অত্যাচারিত,	
karo,	কারও,	কারো,	
soros,	সররস,	সরস,	
ovishongshon,	অবিশংস,	অভিশংসন,	
foster,	ফোস্টার,	ফস্টার,	
snepara,	স্পেনার,	স্নাইপার,	
bhangey,	ভাঙ্গে,	ভাঙ্গে,	
si,	সি,	এসআই,	
bondi,	বন্দি,	বন্দী,	
ingrejiteo,	ইংরেজিতেও,	ইংরেজিতেও,	
mohiboor,	মহিবুর,	মহিবুর,	
difinishion,	ডিফিনিশন,	ডেফিনেশন,	
johny,	জনি,	জনি,	
yatharthabhabe,	যথারথভাবে,	যথার্থভাবে,	
mukherjee,	মুখার্জি,	মুখার্জী,	
dayraa,	দৈরা,	ডেরা,	
chopol,	চোপল,	চপল,	
bikaargrasta,	বিকর্রগস্ত,	বিকারগ্রস্ত,	
aanis,	আনিশ,	আনিস,	
biswashi,	বিশ্বাসী,	বিশ্বাসী,	
jati,	জাতি,	যাতি,	
kromo,	ক্রম,	ক্রম,	
grambasee,	গ্রামাবাসী,	গ্রামবাসী,	
antorbhukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
shkarta,	স্কার্ট,	স্কার্ট,	
monu,	মণু,	মনু,	
torkareer,	তরকারীর,	তরকারীর,	
dhaleshwari,	ধােেশারী,	ধলেশ্বরী,	
devolapar,	ডেভলপপার,	ডেভলপার,	
tochnoch,	তচচন,	তছনছ,	
meg,	মেগ,	মেগ,	
loukik,	লৌকিক,	লৌকিক,	
iraner,	ইরানের,	ইরানের,	
themey,	থেমে,	থিমে,	
serup,	শেরুপ,	সেরুপ,	
chalachchitrogulor,	চলচ্চিত্রলোর,	চলচ্চিত্রগুলোর,	
harysoner,	হররিসনের,	হ্যারিসনের,	
jatook,	যতকক,	জাতক,	
jeess,	জেস,	জেস,	
katbey,	কাটবে,	কাটবে,	
choopi,	চুপি,	চুপি,	
mousum,	মৌসুম,	মৌসুম,	
rilayensa,	রিলেন্স,	রিলায়েন্স,	
shkolashtic,	স্কালাস্কটি,	স্কলাস্টিক,	
pratisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
hooldim,	হোল্ডিং,	হোল্ডিং,	
obdi,	অব্দি,	অব্দি,	
juktorastroshoho,	যুক্তরাস্ট্রস,	যুক্তরাষ্ট্রসহ,	
uponishad,	উপনিষাদ,	উপনিষদ,	
chyeta,	চ্যাটা,	চ্যাট,	
sthaponar,	স্থাপনার,	স্থাপনার,	
grambaasee,	গ্রামবাশী,	গ্রামবাসী,	
machher,	মাছের,	মাছের,	
zhalkatthi,	ঝালকাঠি,	ঝালকাঠী,	
madeling,	ম্যাডেলিং,	মডেলিং,	
notikotar,	নতিকতাতার,	নৈতিকতার,	
balaruma,	বলরুম,	বলরুম,	
farmat,	ফারমত,	ফরম্যাট,	
dharabahiktite,	ধার্বাহিত্কে,	ধারাবাহিকটিতে,	
arakaner,	আরকানের,	আরাকানের,	
america,	অ্যামেরিকা,	আমেরিকা,	
pratisthanikvabe,	প্রতিস্তিনভাবে,	প্রাতিষ্ঠানিকভাবে,	
tegara,	টেগার,	টাইগার,	
protijogiir,	প্রতিযোগীর,	প্রতিযোগীতার,	
rohosyer,	রহসি্যের,	রহস্যের,	
xpose,	একপসে,	এক্সপোজ,	
orohan,	ওরোহান,	ওরহান,	
proshtotto,	প্রষ্ততত্ত,	প্রস্ত্তত,	
bee,	বি,	বি,	
abarta,	অবার্ত,	আবর্ত,	
baasaate,	বাসাতে,	বাসাতে,	
ansarir,	আনসারির,	আনসারীর,	
societykey,	সোসিটিকে,	সোসাইটিকে,	
sofyr,	সফির,	সোফির,	
chittronattokar,	চিত্রনাট্রকার,	চিত্রনাট্যকার,	
ganonatya,	গণণা্য,	গণনাট্য,	
drishyer,	দৃষ্যের,	দৃশ্যের,	
satorkovabe,	সতকতরাভাবে,	সতর্কভাবে,	
lyaanding,	ল্যান্ডিং,	ল্যান্ডিং,	
ducktickete,	ডাকিতিকেতে,	ডাকটিকিটে,	
superheiro,	সুপারেহীর়া,	সুপারহিরো,	
ooipoka,	উপিকা,	উইপোকা,	
infarmatian,	ইনফর্মেশন,	ইনফরমেশন,	
gatibege,	গেটিগেগে,	গতিবেগে,	
gandogol,	গণ্ডগল,	গন্ডগোল,	
colahol,	কলালাহল,	কোলাহল,	
conflict,	কান্লিক্ট,	কনফ্লিক্ট,	
ghensha,	ঘেন্স,	ঘেঁষা,	
germanyteo,	জার্মানিতেও,	জার্মানিতেও,	
durgatsabe,	দুর্গটসাবে,	দুর্গোৎসবে,	
augustin,	অগাস্তিন,	অগাস্টিন,	
brindaboner,	ব্রিনদবনের,	বৃন্দাবনের,	
samajeek,	সামজজিক,	সামাজিক,	
dharabahiktir,	ধার্বাহিত্কীর,	ধারাবাহিকটির,	
baaraak,	বারাক,	বারাক,	
rayyaleti,	রায়ালেটলি,	রয়্যালটি,	
zeebonjaapon,	জীবনযাপন,	জীবনযাপন,	
tottoraat,	তত্তরাত,	তওরাত,	
parpel,	পার্পেল,	পার্পেল,	
thime,	থাইমা,	থিমে,	
aashanka,	আসাঙ্ক,	আশংকা,	
engreziteo,	ইংরেজিতেও,	ইংরেজিতেও,	
jeelyand,	জিল্যান্ড,	জিল্যান্ড,	
bodh,	বধ,	বোধ,	
platey,	প্লটে,	প্লেটে,	
umedpur,	উমেপদুর,	উমেদপুর,	
plena,	প্লেন,	প্লেন,	
sarolyo,	সরর্লো,	সারল্য,	
galpokar,	গল্পকার,	গল্পকার,	
baghdad,	বাগদাদদ,	বাগদাদ,	
mitar,	মিতার,	মিত্র,	
toubar,	তবার,	তওবার,	
krisenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
nirvachaker,	নির্বাচকের,	নির্বাচকের,	
bosstonto,	বসস্তন্ত,	বসন্ত,	
inapharameshhana,	ইনফর্মেশন,	ইনফরমেশন,	
phirati,	ফিরতি,	ফিরতি,	
shaatjon,	সাতজন,	সাতজন,	
anodhikar,	অনোধিকার,	অনধিকার,	
jerusalemer,	জেরুশামেলার,	জেরুজালেমের,	
mathieu,	মাথিও,	ম্যাথিউ,	
duckticket,	ডাকিকটকেট,	ডাকটিকিট,	
jani,	জানি,	জনি,	
aakik,	আকিক,	আকিক,	
akkharke,	আক্ষরকে,	অক্ষরকে,	
omorendro,	অমেন্দ্র,	অমরেন্দ্র,	
through,	থ্রুথ,	থ্রু,	
lambate,	লম্বাতে,	লম্বাটে,	
badhadan,	বাধাাদন,	বাধাদান,	
sabrakomer,	সবরককমের,	সবরকমের,	
uchchotaro,	উচ্চতর,	উচ্চতর,	
sabaner,	সবানের,	সাবানের,	
vimshen,	ভীমশেম,	ভীমসেন,	
sachetanatamulok,	সচেতনামতালমক,	সচেতনতামূলক,	
paakshenara,	পাক্সিনার,	পাকসেনারা,	
