laisensim,	লেইসেং্সিং,	লাইসেন্সিং,	
vault,	ভোল্ট,	ভল্ট,	
firojer,	ফিরোজের,	ফিরোজের,	
transformerer,	ট্রান্সফোর্মের,	ট্রান্সফরমারের,	
advanshd,	অডভান্ডস,	অ্যাডভান্সড,	
mootar,	মোটর,	মুতার,	
koordider,	কুর্দিদের,	কুর্দিদের,	
irish,	আইরিশ,	আইরিস,	
makhmoley,	মখকমলে,	মখমলে,	
chowdhuryder,	চৌধুরিদের,	চৌধুরীদের,	
segulor,	সেগুলোর,	সেগুলোর,	
weenis,	উইনিস,	ভেনিস,	
udbodhaner,	উদ্বোধনের,	উদ্বোধনের,	
kool,	কোল,	কুল,	
miley,	মিলে,	মিলে,	
baikalya,	বাইকাল্য,	বৈকল্য,	
estooniya,	স্টোশিনিয়া,	এস্তোনিয়া,	
croak,	ক্রোক,	ক্রোক,	
cinematographar,	সিনোম্ট্গাফর,	সিনেমাটোগ্রাফার,	
moshjidtike,	মসজিদদিকে,	মসজিদটিকে,	
plane,	প্লেন,	প্লেন,	
zerusalemer,	জেরুসলামের,	জেরুজালেমের,	
sampadankari,	সম্পাদনকারী,	সম্পাদনকারী,	
expresion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
rakkhanvag,	রক্ষণভাগ,	রক্ষণভাগ,	
roktokkoron,	রক্তকরণ,	রক্তক্ষরণের,	
sectore,	সেক্টর,	সেক্টরে,	
nirbaahi,	নির্বাহী,	নির্বাহি,	
panctaar,	প্যাক্টর,	পাঁচটার,	
zibonnogor,	জীবন্নগর,	জীবননগর,	
koreempur,	করিমপুর,	করিমপুর,	
chikitshar,	চিকিৎসার,	চিকিত্সার,	
protisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
uponisod,	উপনিসদ,	উপনিষদ,	
messengerer,	মেসেন্জারের,	মেসেঞ্জারের,	
narsaari,	নার্সারী,	নার্সারি,	
mahasova,	মহাসভ,	মহাসভা,	
madhobike,	মাধবীকে,	মাধবীকে,	
bishshaashi,	বিশ্বাসী,	বিশ্বাসই,	
daaoon,	ডাউন,	ডাউন,	
satarkatar,	সর্তকরতার,	সতর্কতার,	
dormetori,	ডরমেটরি,	ডরমিটরি,	
palta,	পাল্টা,	পালটা,	
keui,	কেউই,	কেউই,	
hijrite,	হিজরিতে,	হিজরীতে,	
qiuti,	কিউটি,	কিউটি,	
ekpaashe,	একপাশে,	একপাশে,	
madrasi,	মাদরাস্,	মাদ্রাজি,	
masti,	মস্তি,	মাস্তি,	
lagto,	লাগত,	লাগতো,	
teemothi,	তিমথি,	টিমোথি,	
khuni,	খুনি,	খুনি,	
rakhtokkharone,	রক্তক্ষণে,	রক্তক্ষরণে,	
protista,	প্রতিষ্টা,	প্রতিষ্টা,	
anektai,	অনেকটিই,	অনেকটাই,	
priti,	প্রীতি,	প্রিটি,	
dhyan,	ধ্বন,	ধ্যান,	
growth,	গ্রুথ,	গ্রোথ,	
chalochchitroi,	চলচিত্রই,	চলচ্চিত্রই,	
sikkhakke,	শিক্ষককে,	শিক্ষককে,	
poojito,	পূজিত,	পুজিত,	
jaistha,	জৈষ্ঠ্য,	জ্যৈষ্ঠ,	
stain,	স্টেইন,	স্টেন,	
qoyartara,	কোর্টার,	কোয়ার্টার,	
kraim,	ক্রিম,	ক্রাইম,	
niuroolaji,	নিউরোলজি,	নিউরোলজি,	
shooter,	শুটের,	শ্যুটার,	
sur,	শুর,	সুর,	
deebug,	দেবুগ,	ডিবাগ,	
rinattak,	ঋণাত্মক,	ঋনাত্মক,	
serverty,	সের্ভারটি,	সার্ভারটি,	
samratra,	সম্রত্র,	সম্রাটরা,	
siropa,	শিরপা,	শিরোপা,	
kaaferder,	কাফেরদের,	কাফেরদের,	
janosamaj,	জনসমাজ,	জনসমাজ,	
prachurzer,	প্রচার্যের,	প্রাচুর্যের,	
bonnopraan,	বন্যপ্রাণ,	বন্যপ্রাণ,	
alpoi,	অল্পই,	অল্পই,	
roopa,	রূপা,	রুপা,	
battery,	ব্যাটারি,	ব্যাটারী,	
onnoroop,	অন্যরূপ,	অন্যরূপ,	
agrodut,	অগ্রদুত,	অগ্রদূত,	
karadandey,	কারাদন্ডে,	কারাদণ্ডে,	
rob,	রব,	রব,	
bhalobasake,	ভালবাসাকে,	ভালোবাসাকে,	
niketon,	নিকেতন,	নিকেতন,	
sattoki,	সত্যকি,	সাত্যকি,	
bbiswashe,	বিশ্বাসে,	বিশ্বাসে,	
ikbalke,	ইকবলকে,	ইকবালকে,	
konishtho,	কনিষ্ঠ,	কনিষ্ঠ,	
seat,	সিট,	সিট,	
shiqar,	শিকড়ার,	শিকার,	
romantika,	রোমান্টিক,	রোমান্টিক,	
durgotir,	দুর্গতির,	দুর্গটির,	
tafsherer,	তাফসেরের,	তাফসীরের,	
ramdhanu,	রামধানু,	রামধনু,	
cheshsh,	চেজ,	চেস,	
joubanbatee,	যৌবনবতি,	যৌবনবতী,	
akpaase,	একপাশে,	একপাশে,	
saarbharti,	সারবর্তি,	সার্ভারটি,	
chaudhurir,	চৌধুরির,	চৌধুরীর,	
tunar,	টুনার,	টিউনার,	
neemitto,	নিমিত্য,	নিমিত্ত,	
madrasakey,	মাদ্রসাকে,	মাদ্রাসাকে,	
giitikobitar,	গীতিকবিতার,	গীতিকবিতার,	
grambaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
torkaryr,	তরকারির,	তরকারীর,	
resort,	রিসর্ট,	রিসোর্ট,	
rupert,	রূপার্ট,	রুপার্ট,	
phixing,	ফিকিসিং,	ফিক্সিং,	
ooporostho,	উপরোস্থ,	উপরস্থ,	
ruble,	রুবেল,	রুবল,	
somoshtigoto,	সমস্তিগত,	সমষ্টিগত,	
paite,	পাইটে,	পাইতে,	
omittrakkhor,	অমিত্রক্ষর,	অমিত্রাক্ষর,	
danobder,	দানবদের,	দানবদের,	
jatota,	যতটা,	যতোটা,	
dolgulo,	দলগুলো,	দলগুলোও,	
hyundai,	হায়ান্ডাই,	হুন্দাই,	
toder,	তোদের,	তদের,	
kuary,	কুরি,	কোয়েরি,	
abheedhanic,	অভিধানিক,	অভিধানিক,	
natunatwa,	নতুনত্ব,	নতুনত্ব,	
hitakar,	হিতকার,	হিতকর,	
cbi,	সিবি,	সিবিআই,	
kushomva,	কুসম্ভা,	কুশুম্বা,	
hafsa,	হাসস,	হাফসা,	
horir,	হরির,	হরির,	
istoon,	স্টট,	স্টোন,	
pudding,	পুদ্দিং,	পুডিং,	
bishshashi,	বিশ্বাসী,	বিশ্বাসই,	
palki,	পলকি,	পাল্কি,	
phimel,	ফিমেল,	ফিমেল,	
shyooter,	শ্যুটের,	শ্যুটার,	
parjotaker,	পর্যটকের,	পর্যটকের,	
marekting,	মেরেক্টিং,	মার্কেটিং,	
vagirath,	ভাগীরথ,	ভগীরথ,	
gajiipur,	গাজীপুর,	গাজীপুর,	
megher,	মেঘের,	মেঘের,	
parker,	পার্কার,	পার্কের,	
phimela,	ফিমেল,	ফিমেল,	
yuqeliptas,	ইউ্কেলপিটাস,	ইউক্যালিপ্টাস,	
karadonde,	কারাদন্ডে,	কারাদণ্ডে,	
shomser,	শমসের,	সমশের,	
boikolyo,	বৈকল্য,	বৈকল্য,	
kada,	কাদা,	কোড,	
mausumeo,	মসুমেও,	মৌসুমেও,	
mufti,	মুফতী,	মুফতি,	
gabhaskar,	গভাষকার,	গাভাস্কার,	
babyloney,	বেবললনে,	ব্যাবিলনে,	
stalin,	স্ত্যালিন,	স্টালিন,	
karmojog,	কর্মযোগ,	কর্মযোগ,	
chamsky,	চামককী,	চমস্কি,	
munim,	মুনিং,	মুনিম,	
kanai,	কানই,	কানাই,	
window,	উইন্ডো,	উইন্ডো,	
paner,	পনের,	পনের,	
utkhaat,	উৎখাত,	উত্খাত,	
debholopar,	ডেভলপার,	ডেভলপার,	
sharifpur,	শরীপপুর,	শরিফপুর,	
hartz,	হার্ট,	হার্জ,	
totokhon,	ততক্ষণ,	ততক্ষন,	
ramantic,	রাম্যান্টিক,	রোমান্টিক,	
ebhara,	ইভার,	এভার,	
leetara,	লেটার,	লেটার,	
tarunderke,	তারুন্দ্রকে,	তরুণদেরকে,	
alubokhara,	অ্যুলবকরা,	আলুবোখারা,	
itastato,	ইতাস্ট,	ইতস্তত,	
ancholtitey,	অঞ্চলটিতে,	অঞ্চলটিতে,	
soinyosaho,	সৈন্যসহ,	সৈন্যসহ,	
ekla,	একলা,	একলা,	
bhiktara,	ভিক্টর,	ভিক্টর,	
towbaar,	তুবর,	তওবার,	
shefa,	সেফ,	শেফ,	
crescenter,	ক্রিস্টেন্টের,	ক্রিসেন্টের,	
grameri,	গ্রামেরি,	গ্রামেরই,	
avatar,	অভাটার,	অবতার,	
onnyorup,	অন্যরূপ,	অন্যরূপ,	
prokolpoguli,	প্রকোলপুলি,	প্রকল্পগুলি,	
uchchatara,	উচ্চতর,	উচ্চতর,	
darjeeling,	ডার্জেলিং,	দার্জিলিং,	
tiunar,	টিউনার,	টিউনার,	
boring,	বোরিং,	বোরিং,	
ceema,	সিম,	সীমা,	
dinner,	ডিনের,	ডিনার,	
ogobhir,	অগভীর,	অগভীর,	
nogonno,	নগন্ন,	নগণ্য,	
naitikatabodh,	নাতিকত্বধোধ,	নৈতিকতাবোধ,	
longhoner,	লঙ্ঘনের,	লংঘনের,	
auttacharer,	অট্চারারের,	অত্যাচারের,	
gemser,	গেমসের,	জেমসের,	
atak,	অটক,	আটক,	
bishwaashshke,	বিশ্বাসকে,	বিশ্বাসকে,	
tafsher,	তফসের,	তাফসীর,	
bazaareo,	বাজারেও,	বাজারেও,	
arifin,	আরিফিন,	আরিফিন,	
carzar,	কার্জার,	চার্জার,	
shukraanoo,	শুক্রাণু,	শুক্রানু,	
ajeem,	আজিম,	আজিম,	
euror,	ইউরোর,	ইউরোর,	
swajaner,	স্বজনের,	স্বজনের,	
machher,	মাছের,	মাছের,	
chedon,	ছেদন,	ছেদন,	
delibhara,	দেলিভার,	ডেলিভার,	
henna,	হেনা,	হেনা,	
chocchitrei,	চচ্চিত্রেই,	চলচ্চিত্রেই,	
vittiti,	ভিত্টিটি,	ভিত্তিটি,	
tookrotey,	টুকরতে,	টুকরোতে,	
porijon,	পরিজন,	পরিজন,	
tistaar,	টিস্টার,	তিস্তার,	
elakao,	এলাকাও,	এলাকাও,	
onekeri,	অনেকইরই,	অনেকেরই,	
prakalpatike,	প্রকলপটিকে,	প্রকল্পটিকে,	
agoora,	অগোর,	আগোরা,	
bisringkhola,	বিশৃঙ্খলা,	বিশৃঙ্খলা,	
mittrer,	মিত্রের,	মিত্রের,	
bolechile,	বলেছিলে,	বলেছিলে,	
dhnoka,	ধ্নকা,	ধোঁকা,	
strigon,	স্ত্রীগণ,	স্ত্রীগণ,	
rachanakal,	রচনাকল,	রচনাকাল,	
utsahi,	উত্সাহী,	উৎসাহী,	
songosthatir,	সংস্থাটির,	সংস্থাটির,	
se,	সেই,	সে,	
gronthoti,	গ্রন্থটি,	গ্রন্থটি,	
uponeeshoder,	উপনিশদের,	উপনিষদের,	
ibhila,	এভিল,	ইভিল,	
poriskoron,	পরিস্কোরণ,	পরিষ্করণ,	
taaler,	তালের,	তালের,	
goroor,	গরুর,	গরুর,	
karmosansthaner,	কর্মসংস্থানের,	কর্মসংস্থানের,	
garora,	গার়র,	গারোরা,	
priimo,	প্রীম,	প্রিমো,	
ponjjikar,	পঞ্জিকর,	পঞ্জিকার,	
sikare,	শিকারে,	শিকারে,	
khelafotey,	খেলাফটে,	খেলাফতে,	
senabahinio,	সেনাবাহিনীয়া,	সেনাবাহিনীও,	
monur,	মনুর,	মনুর,	
eidin,	এদিন,	এইদিন,	
lyaanding,	ল্যান্ডিং,	ল্যান্ডিং,	
aminar,	আমিনার,	আমিনার,	
male,	মেল,	মালে,	
dhonyi,	ধনই,	ধন্যি,	
modeley,	মোডেলে,	মডেলে,	
yoneetey,	যোনিতে,	যোনীতে,	
rikondison,	রিকন্ডিশন,	রিকন্ডিশন,	
jonmat,	জন্মাত,	জন্মাত,	
shansthaner,	সংস্থানের,	সংস্থানের,	
gobeshana,	গবেষণা,	গবেষনা,	
ganakantho,	গণকণ্ঠ,	গণকণ্ঠ,	
shainyader,	সৈন্যদের,	সৈন্যদের,	
shamooker,	শ্মুকের,	শামুকের,	
bishshaash,	বিশ্বাস,	বিশ্বাস,	
samanyoi,	সামান্যই,	সামান্যই,	
adbhanced,	অডভান্সেড,	অ্যাডভান্সড,	
chhatto,	ছাট্ত,	ছোট্ট,	
vogirath,	ভোগীরথ,	ভগীরথ,	
brittakar,	বৃত্তকার,	বৃত্তাকার,	
bishwaashshoi,	বিশ্বাসই,	বিশ্বাসই,	
moshzidti,	মসজিদদি,	মসজিদটি,	
gaaddaafee,	গাদ্ডাফী,	গাদ্দাফী,	
rights,	রাইটস,	রাইটস,	
proshikkhone,	প্রশিক্ষণে,	প্রশিক্ষণে,	
kona,	কোণা,	কোনা,	
alankaran,	অলংকরণ,	অলঙ্করণ,	
vittiteow,	ভিত্তিতেও,	ভিত্তিতেও,	
bibhonno,	বিভন্ন,	বিভন্ন,	
akram,	একরাম,	আকরাম,	
pushtee,	পুষ্টি,	পুষ্টি,	
sahosikotar,	সহসিকতার,	সাহসিকতার,	
pat,	পট,	পেত,	
nishader,	নিশাদের,	নিষাদের,	
japanira,	জাপানীরা,	জাপানিরা,	
soochonakal,	সূচনাকাল,	সূচনাকাল,	
puncho,	পুঁচ,	পুঞ্চ,	
odoore,	অদুরে,	অদুরে,	
aabahon,	আবাহন,	আবাহন,	
inastyanta,	ইনস্ট্যান্ট,	ইনস্ট্যান্ট,	
kiibord,	কিবোর্ড,	কীবোর্ড,	
moshjidtir,	মসজিদদির,	মসজিদটির,	
mesenjjar,	মেসেন্জার,	মেসেঞ্জার,	
kaaleo,	কালেও,	কালেও,	
cholochchitra,	চলচিত্র,	চলচ্চিত্র,	
suparahiroo,	সুপারহীরও,	সুপারহিরো,	
rothin,	রথিন,	রথীন,	
gobeshonagar,	গবেষণাগার,	গবেষনাগার,	
telakucha,	তেলাকুচা,	তেলাকুচা,	
dines,	ডাইনোস,	দীনেশ,	
shayatana,	সায়টন,	শয়তান,	
bamnii,	বামনী,	বামনী,	
jerujalem,	জেরুজাল,	জেরুজালেম,	
elakati,	এলাকাটি,	এলাকাটি,	
tersa,	তোর্স,	টেরেসা,	
definishion,	ডেফিনিশন,	ডেফিনেশন,	
post,	পোস্ট,	পোষ্ট,	
thailand,	থাইল্যান্ড,	থাইল্যান্ড,	
streegan,	স্ত্রীগণ,	স্ত্রীগণ,	
parther,	পার্থার,	পার্থের,	
jyaishtha,	জ্যোষ্ঠ্য,	জ্যৈষ্ঠ,	
parsher,	পর্ষের,	পার্শ্বের,	
inafarameshana,	ইনফরমেশন,	ইনফরমেশন,	
baarder,	ব্র্ডার,	বার্ডের,	
baarak,	ব্যারাক,	বারাক,	
onkeeta,	অনকেটা,	অঙ্কিতা,	
dana,	ডানা,	ডায়না,	
gasthigulo,	গোষ্ঠিগুলো,	গোষ্ঠীগুলো,	
definition,	ডেফিনিশন,	ডেফিনেশন,	
shahocharje,	শহচরাচ্যে,	সাহচর্যে,	
byabaharkariyi,	ব্যাহারকারিই,	ব্যবহারকারীই,	
categoryr,	ক্যাটেগরর,	ক্যাটাগরির,	
shrabosty,	শ্রবস্তী,	শ্রাবস্তী,	
monhputa,	মনফপুট,	মনঃপুত,	
zoojyota,	যোজ্যতা,	যোজ্যতা,	
doobate,	ডুবেত,	ডুবাতে,	
rajtantrakey,	রাজত্ত্্রকে,	রাজতন্ত্রকে,	
woter,	ওটার,	ভোটার,	
saafi,	সফি,	সাফি,	
dhormantor,	ধর্মান্তর,	ধর্মান্তর,	
sachindra,	সচিন্দ্র,	শচীন্দ্র,	
aalaaoler,	আলালের,	আলাওলের,	
phooloo,	ফুলো,	পোলো,	
krisenter,	ক্রিসেন্টার,	ক্রিসেন্টের,	
tyuner,	টুনের,	টিউনার,	
prastut,	প্রস্তুত,	প্রস্ত্তত,	
urur,	ঊরুর,	উরুর,	
chirontan,	চিরন্তন,	চিরন্তন,	
romantiqa,	রোম্ন্টিক,	রোমান্টিক,	
hunine,	হানিনে,	হুনাইন,	
mousumeo,	মওসুমেও,	মৌসুমেও,	
juktorastre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
bhotarer,	ভোটরের,	ভোটারের,	
dipan,	দীপন,	দীপন,	
teresha,	তেরেসা,	টেরেসা,	
byapoktor,	ব্যাপকক্তর,	ব্যাপকতর,	
oitijje,	ঐতিজ্যে,	ঐতিহ্যে,	
olongkaron,	অলংকরণ,	অলঙ্করণ,	
euqalyptus,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
teestar,	টিস্টার,	তিস্তার,	
blaker,	ব্লকের,	ব্ল্যাকের,	
manikyo,	মাণিক্য,	মানিক্য,	
hughkey,	হুককে,	হিউজকে,	
prokalpaguli,	প্রকালপুলি,	প্রকল্পগুলি,	
prasadhaner,	প্রসাধানের,	প্রসাধনের,	
talgaachh,	তালগাছ,	তালগাছ,	
otiiteo,	অতিতেও,	অতীতেও,	
meghachchanno,	মেঘাচ্ন,	মেঘাচ্ছন্ন,	
preti,	প্রতি,	প্রিটি,	
koilas,	কৈলাশ,	কৈলাস,	
abdoone,	আবদুনে,	আবদুন,	
chhayi,	ছাই,	ছাই,	
jothartho,	যথার্থ,	যথার্থ,	
tecnocrat,	টেকন্ক্রাট,	টেকনোক্র্যাট,	
gabeshakgon,	গবেষকণ,	গবেষকগণ,	
cholochchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
naitikata,	নাইতিকতা,	নৈতিকতা,	
janogananar,	জনগণনার,	জনগণনার,	
tourist,	টরিউস্ট,	টুরিস্ট,	
pratisthanikvabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
sachetanatamulak,	স্যাতেতনামূলক,	সচেতনতামূলক,	
bhenise,	ভেনিসে,	ভেনিসে,	
besarkarikaran,	বেসরকারিকরণ,	বেসরকারিকরণ,	
kins,	কিন্স,	কিংস,	
rohasyati,	রহসাযাটি,	রহস্যটি,	
musolmanera,	মুসল্মনেরা,	মুসলমানেরা,	
canal,	ক্যানেল,	ক্যানেল,	
definishhion,	ডেফিনিশন,	ডেফিনেশন,	
jani,	জেনি,	জনি,	
ula,	উল,	উল,	
paab,	পাব,	পাব,	
edaning,	ইডনিং,	ইদানিং,	
behramporer,	বাহরামপুরের,	বহরমপুরের,	
sangkoolan,	সংকুলন,	সংকুলান,	
nikeela,	নিকেলা,	নিকেল,	
beeswasee,	বিশ্বাসী,	বিশ্বাসে,	
nir,	নির,	নির,	
mondopey,	মন্ডপে,	মন্ডপে,	
pacchi,	পাচচি,	পাচ্ছি,	
mautke,	মতকে,	মতকে,	
janapoth,	জনপথ,	জনপথ,	
poschimey,	পশ্চিমে,	পশ্চিমে,	
lotheran,	লোথেরন,	লুথেরান,	
chalochchitrotike,	চলচ্চিত্রকে,	চলচ্চিত্রটিকে,	
overveu,	ওভারভু,	ওভারভিউ,	
duburyra,	দুবিরারা,	ডুবুরিরা,	
saseza,	সসেজ,	সসেজ,	
baibasthaar,	ব্যবস্থার,	ব্যবস্থার,	
categoryer,	ক্যাটেগরর,	ক্যাটাগরির,	
pactar,	প্যাক্টর,	পাঁচটার,	
pooshtee,	পুষ্টি,	পুষ্টি,	
sabhanetri,	সভবনেত্রী,	সভানেত্রী,	
eenameela,	ইনামেল,	এনামেল,	
jati,	জাতি,	যাতি,	
nilkuthir,	নীলকুঠির,	নীলকুঠির,	
sharok,	শ্বরক,	স্মারক,	
aieesa,	আইএএএস,	আইএএস,	
mohajote,	মহাজতে,	মহাজোট,	
longhan,	লঙ্ঘন,	লংঘন,	
prokolpotike,	প্রকলপটিকে,	প্রকল্পটিকে,	
kloj,	ক্লোজ,	ক্লজ,	
janachhe,	জনন্ছে,	জানাচ্ছে,	
jonite,	যোনিতে,	যোনীতে,	
deeputi,	দিপুতি,	ডেপুটি,	
soundorjyo,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
siddhantoke,	সিদ্বন্তকে,	সিদ্ধান্তকে,	
protijogiira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
alpo,	আল্প,	অল্প,	
emerjency,	এমার্জেন্সে,	এমার্জেন্সি,	
ekghorey,	একঘরে,	একঘরে,	
manmath,	মানমথ,	মন্মথ,	
shuchonakal,	সূচনাকাল,	সূচনাকাল,	
daebug,	দেবুগ,	ডিবাগ,	
borana,	বরাণা,	বোরন,	
cholochchitrai,	চলচিত্রই,	চলচ্চিত্রই,	
nongra,	নংগ্রা,	নোংরা,	
ja,	যা,	জ্যা,	
suparichito,	সুপরিচিত,	সুপরিচিত,	
jaanate,	জানাতে,	জানাতে,	
khargosher,	খর্গশের,	খরগোসের,	
aalkaatra,	আলকাত্র,	আলকাতরা,	
sthaponakey,	স্থাপনাকে,	স্থাপনাকে,	
noiteekotabodh,	নৈতিকোবধত,	নৈতিকতাবোধ,	
fiksa,	ফিক্স,	ফিক্স,	
torabgonj,	তরাবগঞ্জ,	তোরাবগঞ্জ,	
maail,	মেইল,	মাইল,	
dharavassokar,	ধারাভাষকার,	ধারাভাষ্যকার,	
shikkhakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
soceitytey,	সোেটিতে,	সোসাইটিতে,	
rata,	রোট,	রত,	
jacq,	যাযাক,	জ্যাক,	
rot,	রট,	রত,	
jockei,	যকেই,	জকি,	
panni,	পাননি,	পন্নী,	
zuktorastroshoho,	যুক্তরাস্ত্রসহ,	যুক্তরাষ্ট্রসহ,	
samanwitabhabe,	সমানভিবতাবে,	সমন্বিতভাবে,	
durgotsabe,	দুর্গত্বসে,	দুর্গোৎসবে,	
danata,	ডানাটা,	ডোনাট,	
byaboharkarie,	ব্যাহারকারি,	ব্যবহারকারীই,	
sakshatkarer,	সাক্ষাতকারের,	সাক্ষাত্কারের,	
easter,	ইস্টার,	ইস্টার,	
korim,	করিম,	করিম,	
byaboharkariyi,	ব্যাহারকারিই,	ব্যবহারকারীই,	
jinsa,	জিনস,	জিন্স,	
chashe,	চাষে,	চেস,	
korkotkraanti,	কর্কক্রান্তি,	কর্কটক্রান্তি,	
nathivukto,	নথিভুক্ত,	নথিভুক্ত,	
nirbachokder,	নির্বাচকদের,	নির্বাচকদের,	
sharif,	শেরিফ,	শরিফ,	
prrajanankaal,	প্রজননকাল,	প্রজননকাল,	
deebatee,	দিবাতি,	ডিবেট,	
shrabastee,	শ্রবস্তী,	শ্রাবস্তী,	
utshahi,	উত্সাহী,	উৎসাহী,	
rautine,	রাউটিন,	রুটিন,	
laaishenshh,	লাইসেন্স,	লাইসেন্স,	
quarter,	কোর্টার,	কোয়ার্টার,	
omarjeeto,	অমার্জিত,	অমার্জিত,	
chhidropothe,	ছিদ্রপথে,	ছিদ্রপথে,	
adhattikota,	আধ্যাতিকতা,	আধ্যাত্মিকতা,	
ewil,	এভিল,	ইভিল,	
utshahe,	উত্সাহে,	উৎসাহে,	
gronthatike,	গ্রন্থাটিকে,	গ্রন্থটিকে,	
komaatei,	কমাতেই,	কমাতেই,	
anchaltikey,	অঞ্চলটিকে,	অঞ্চলটিকে,	
elakatike,	এলাকাটিকে,	এলাকাটিকে,	
tukrotey,	টুকরতে,	টুকরোতে,	
elakatikay,	এলাকাটিকে,	এলাকাটিকে,	
oholla,	ওহল্লা,	অহল্যা,	
boorana,	বোরানা,	বোরন,	
durga,	দুর্গা,	দুর্গ,	
ongshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
atma,	আত্মা,	আত্ম,	
setite,	সেটিতে,	সেটিতে,	
daaun,	ডাউন,	ডাউন,	
bhuushito,	ভূষিত,	ভূষিত,	
petrol,	পেত্রোল,	পেট্রোল,	
si,	সি,	এসআই,	
ancholtee,	অঞ্চলটি,	অঞ্চলটি,	
gronthe,	গ্রন্থে,	গ্রন্থে,	
biseshyo,	বিশেষ্য,	বিশেষ্য,	
uchchataro,	উচ্চতর,	উচ্চতর,	
palkee,	পলকী,	পাল্কি,	
monchostho,	মঞ্চস্থ,	মঞ্চস্থ,	
donaat,	ডোনাত,	ডোনাট,	
faltir,	ফলটির,	ফলটির,	
bagdadii,	বাগদাদী,	বাগদাদী,	
marmaader,	মারমাদের,	মারমাদের,	
zinsa,	জিনস,	জিন্স,	
ingrezra,	ইংরেজরা,	ইংরেজরা,	
dhhabi,	ঢাবি,	ঢাবি,	
chanoo,	চানু,	চানু,	
parbatya,	পর্বত্ত,	পার্বত্য,	
uipokar,	উইপোকার,	উইপোকার,	
ganoporibahan,	গণপরিবহন,	গণপরিবহন,	
phood,	ফুড,	ফুড,	
dharagulo,	ধারাগুলো,	ধারাগুলো,	
raktaksharaner,	রক্তক্ষণের,	রক্তক্ষরণের,	
monzeele,	মঞ্জিলে,	মঞ্জিলে,	
renoo,	রেনো,	রেনো,	
harbar,	হারবার,	হারবার,	
bosturyi,	বস্তুরি,	বস্তুরই,	
halloween,	হলযুইন,	হ্যালোইন,	
shapod,	সপদ,	শ্বাপদ,	
juktorashtrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
homesh,	হোমেস,	হোমস,	
temas,	টেমাস,	টাইমস্,	
euro,	ইউরো,	ইউরো,	
vittiei,	ভিত্টেই,	ভিত্তিই,	
rijur,	রিজুর,	রিজুর,	
akshor,	অক্ষর,	একশোর,	
safi,	সফী,	সাফি,	
khoka,	খোক,	খোকা,	
nagarikera,	নাগরিকেরা,	নাগরিকেরা,	
subir,	সুবীর,	সুবীর,	
shangsthatikey,	সংস্থাটিকে,	সংস্থাটিকে,	
asbab,	আসবাব,	আসবাব,	
firoja,	ফিরোজ,	ফিরোজা,	
suraropito,	সুরারপিত,	সুরারোপিত,	
chalochchitreei,	চলচিত্রেই,	চলচ্চিত্রেই,	
purbanchole,	পূর্বাঞ্চলে,	পূর্বাঞ্চলে,	
iyutha,	ইউথ্থ,	ইয়ুথ,	
superheira,	সুপারইাাইর,	সুপারহিরো,	
skolastic,	স্কোস্টিক,	স্কলাস্টিক,	
tolemy,	টলেমি,	টলেমির,	
dharabahiker,	ধারাবাহিকের,	ধারাবাহিকের,	
somosto,	সমস্ত,	সমস্ত,	
bishnooke,	বিষ্ণুকে,	বিষ্ণুকে,	
janasamaj,	জনসমাজ,	জনসমাজ,	
neurology,	নেউরোলজি,	নিউরোলজি,	
chalochchitreo,	চলচিত্রেও,	চলচ্চিত্রেও,	
coolin,	কলিন,	কুলিং,	
pallar,	পোলার,	পাল্লার,	
browser,	ব্রাউসের,	ব্রাউজার,	
probesher,	প্রবেশের,	প্রবেশের,	
bagdade,	বাগদাদে,	বাগদাদে,	
rajballav,	রাজব্লাভ,	রাজবল্লভ,	
nabbata,	নব্বত,	নাব্যতা,	
dale,	দলে,	ডালে,	
uporoshtho,	উপরোষ্ঠ,	উপরস্থ,	
carloos,	কার্লস,	কার্লোস,	
khelechen,	খেলেছেন,	খেলেছেন,	
mozlishpur,	মজিলশুপুর,	মজলিশপুর,	
sarboshokteeman,	সর্বস্তাকিতন,	সর্বশক্তিমান,	
nirarthok,	নিরার্থক,	নিরর্থক,	
rooplal,	রোপলাল,	রূপলাল,	
hamburg,	হাযামবার্গ,	হামবুর্গ,	
abdi,	আব্দি,	অব্দি,	
tarani,	তররণী,	তরণী,	
jarool,	জরুল,	জারুল,	
shtona,	স্টন,	স্টোন,	
sumee,	সুমি,	সুমি,	
orbiit,	অর্বিত,	অরবিট,	
gobeshokgon,	গবেষকণ,	গবেষকগণ,	
soinyora,	সৈন্যরা,	সৈন্যরা,	
prosadhoner,	প্রসাধনের,	প্রসাধনের,	
