vedke,	ভেদকে,	বেদকে,	
vvimsenn,	ভিমসেন,	ভীমসেন,	
ispreedsheet,	ইসপ্রেদশেত,	স্প্রেডশীট,	
grambaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
sabche,	সবছে,	সবচে,	
sporsher,	স্পরসার,	স্পর্শের,	
palteche,	পললেছে,	পাল্টেছে,	
prokolpoguli,	প্রকল্পুুলি,	প্রকল্পগুলি,	
bonke,	বোঁকে,	বনকে,	
daun,	ডাউন,	ডাউন,	
byabaharkarike,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
prosadhoner,	প্রসাধানের,	প্রসাধনের,	
porishongkhanbid,	পরিসংখাযিদ,	পরিসংখ্যানবিদ,	
bait,	ব্যাট,	বাইট,	
prakalpati,	প্রকলপতি,	প্রকল্পটি,	
panchasjan,	পঞ্চাশজন,	পঞ্চাশজন,	
mogert,	মোগার্ট,	মোজার্ট,	
aaeerese,	আইরেসে,	আইরেসে,	
shombhobonao,	সম্ভাবনও,	সম্ভবনাও,	
uroor,	ইউরুর,	উরুর,	
monohputa,	মনোপ্যুত,	মনঃপুত,	
laagto,	লাগতো,	লাগতো,	
daakteekiter,	ডাকতিকেতের,	ডাকটিকিটের,	
daada,	ডাদা,	দাদা,	
prithbir,	পৃথ্বীর,	পৃথবীর,	
skolarseep,	স্কলারশিপ,	স্কলারশিপ,	
ponthaar,	পন্থার,	পন্থার,	
ancholtike,	আঞচলটিকে,	অঞ্চলটিকে,	
gayichhey,	গাছে,	গাইছে,	
sbajan,	স্বজন,	স্বজন,	
graambaasir,	গ্রামবাসীর,	গ্রামবাসীর,	
baet,	বেট,	বাইট,	
eder,	এদের,	এদের,	
ashok,	আশোক,	আশোক,	
porijon,	পরিজন,	পরিজন,	
majlish,	মজলিস,	মজলিশ,	
sausagee,	সাসগেজ,	সসেজ,	
gonoporeebohon,	গণপরিবহণ,	গণপরিবহন,	
purbanchale,	পূর্বাচলে,	পূর্বাঞ্চলে,	
dhikrito,	ধিক্রিত,	ধিকৃত,	
ide,	আইড,	আইডিই,	
cool,	কোল,	কুল,	
azimke,	আজিমকে,	আজিমকে,	
seat,	সিট,	সিট,	
nothivuktir,	নথিভুক্তির,	নথিভুক্তির,	
plena,	প্লেন,	প্লেন,	
udor,	উদর,	উদর,	
gosthigulo,	গোষ্ঠিগুলো,	গোষ্ঠীগুলো,	
gonohottar,	গণহো্তার,	গণহত্যার,	
segulo,	সেগুলো,	সেগুলো,	
bandra,	বন্দ্রা,	বন্দীরা,	
pyatarne,	প্যাটার্ন,	প্যাটার্নে,	
heriken,	হেরিকেন,	হ্যারিকেন,	
cruce,	ক্রুস,	ক্রুশ,	
chalochchitreer,	চালচিত্রের,	চলচ্চিত্রের,	
laala,	লালা,	লালা,	
chalochchitraeer,	চলচিত্রের,	চলচ্চিত্রের,	
granthatike,	গ্রন্থাটিকে,	গ্রন্থটিকে,	
cholochchitraeei,	চলচ্ত্রেই,	চলচ্চিত্রেই,	
seramiqs,	সেরামিক্স,	সিরামিকস,	
ispredshit,	ইসপ্রেদশিত,	স্প্রেডশীট,	
ghesei,	ঘেসেই,	ঘেঁষেই,	
nagoriker,	নাগরীকের,	নাগরিকের,	
dharabahiker,	ধারাবাহিকের,	ধারাবাহিকের,	
uul,	উউল,	উল,	
bhenom,	ভেনম,	ভেনম,	
makhmoley,	মাখমলে,	মখমলে,	
gunoman,	গুণমান,	গুণমান,	
aameenar,	আমিনার,	আমিনার,	
tale,	টেল,	তালে,	
samanwitovabe,	সমান্তিভাবে,	সমন্বিতভাবে,	
chalochchitraeei,	চলচ্ত্রেই,	চলচ্চিত্রেই,	
prosadhani,	প্রসাধানি,	প্রসাধনী,	
nilkomol,	নীলকমল,	নীলকমল,	
tigers,	টিইজার্স,	টাইগার্স,	
ooindos,	উইন্ডোস,	উইন্ডোস,	
anchalgulote,	আঞচলগুলোতে,	অঞ্চলগুলোতে,	
mitre,	মিত্রে,	মিত্র,	
chargito,	চার্গিত,	চার্জিত,	
brooklyn,	ব্রুকলিন,	ব্রুকলিন,	
jaistha,	জৈষ্ঠ,	জ্যৈষ্ঠ,	
superheror,	সুপারের,	সুপারহিরোর,	
kulo,	কুলো,	কুলো,	
steitt,	স্টেইট,	স্টেইট,	
chomoski,	চমস্কি,	চমস্কি,	
ganonatto,	গণনত্ত,	গণনাট্য,	
mohakobi,	মহাকবী,	মহাকবি,	
bhenisa,	ভেনিস,	ভেনিস,	
naji,	নাজি,	নাত্সি,	
bagichar,	বাগিচার,	বাগিচার,	
karuna,	করুনা,	করুণা,	
ghumacchilo,	ঘুমাচিল,	ঘুমাচ্ছিল,	
leadar,	লিডার,	লিডার,	
khilafot,	খিলাফট,	খিলাফত,	
fixin,	ফিক্সিন,	ফিক্সিং,	
dolguloo,	দলগুলো,	দলগুলোও,	
oitijjhe,	ঐতিহ্যে,	ঐতিহ্যে,	
niqela,	নাইকেল,	নিকেল,	
peengnaa,	পিন্গা,	পিংনা,	
gananatyo,	গণান্ত,	গণনাট্য,	
qaroo,	কারু,	কারো,	
ikbaaler,	ইকবালের,	ইকবালের,	
pratyokkhobhabe,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
euror,	ইউরোর,	ইউরোর,	
omittrakkhor,	অমিত্রাক্ষর,	অমিত্রাক্ষর,	
dimbacriti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
kaalniir,	কালনীর,	কালনীর,	
nothivookteer,	নথিভুক্তির,	নথিভুক্তির,	
toroonraa,	তরুনরা,	তরুণরা,	
emiratas,	এমেরটাস,	এমিরেটাস,	
bohudin,	বহুদিন,	বহুদিন,	
bhagini,	ভাগিনী,	ভগিনী,	
ingrejiteo,	ইংরেজিতেও,	ইংরেজিতেও,	
jaank,	যাঁক,	জাঁক,	
arsie,	আর্সি,	আরসিএ,	
amarjito,	অমার্জিত,	অমার্জিত,	
ulcer,	ইলসার,	আলসার,	
baman,	বামান,	বামন,	
samudratate,	সমুদ্রতাতে,	সমুদ্রতটে,	
heart,	হার্ট,	হার্ট,	
messengar,	মেশেঙ্গার,	মেসেঞ্জার,	
definishion,	ডেফিনিশন,	ডেফিনেশন,	
laaz,	লাজ,	লাজ,	
oiteejyo,	ঐতিহ্য,	ঐতিহ্য,	
ramantic,	রামান্টিক,	রোমান্টিক,	
nishad,	নিশদদ,	নিষাদ,	
haajarer,	হাজারের,	হাজারের,	
inphormation,	ইনফরমেশন,	ইনফরমেশন,	
maarmaader,	মার্মাদের,	মারমাদের,	
hughes,	হাঘেস,	হিউজেস,	
rubi,	রুবি,	রুবী,	
seekkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
dubate,	দুবতে,	ডুবাতে,	
itemer,	ইতেমের,	আইটেমের,	
landin,	লান্ডিন,	ল্যান্ডিং,	
imirgincy,	এমের্জিন্সি,	এমার্জেন্সি,	
turqmen,	টুর্কমেন,	তুর্কমেন,	
nikate,	নিকতে,	নিকটে,	
chetona,	চেটনা,	চেতনা,	
shector,	সেক্টর,	সেক্টর,	
kurdira,	কুর্দিরা,	কুর্দিরা,	
shakkhatkarer,	শাক্ষাতকারের,	সাক্ষাৎকারের,	
peeth,	পিথ,	পীঠ,	
mukhbondho,	মুখবন্ধ,	মুখবন্ধ,	
ixprission,	এক্সপ্রেশন,	এক্সপ্রেশন,	
ddheela,	ঢিলা,	ঢিলা,	
ganaparibahan,	গণপরিবহণ,	গণপরিবহন,	
utshahi,	উৎসাহী,	উৎসাহী,	
abhidhaneeck,	অভিধানিক,	অভিধানিক,	
nodiitei,	নদীতেই,	নদীতেই,	
papri,	পাপরি,	পাপরি,	
janamukhi,	জনমুখী,	জনমুখী,	
antarvukto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
sanaktokaron,	সনাক্তকরণ,	সনাক্তকরণ,	
saseeja,	সাসিজ,	সসেজ,	
chiroharit,	চিরহহরিত,	চিরহরিৎ,	
pyor,	পিয়র,	পিওর,	
akbakye,	আকবকে,	একবাক্যে,	
samley,	সামলে,	সামলে,	
murad,	মুরাদ,	মুরাদ,	
jakkher,	যক্ষের,	যক্ষের,	
ghantiti,	ঘানটিটি,	ঘাঁটিটি,	
larshon,	লার্সন,	লারসন,	
abhidhaner,	অভিধানের,	অভিধানের,	
asthishondhi,	অস্থিষন্ধি,	অস্থিসন্ধি,	
baaraak,	বারাক,	বারাক,	
byaboharkaree,	ব্যবহারকারী,	ব্যবহারকারী,	
mitroder,	মিত্রদের,	মিত্রদের,	
cheerokumari,	চিরকুমারি,	চিরকুমারী,	
madaul,	ম্যাডল,	মাদল,	
shkolashtik,	স্কলাশটিক,	স্কলাস্টিক,	
ashirbad,	আশীর্বাদ,	আশির্বাদ,	
lakkheryo,	লক্ষ্যেরও,	লক্ষেরও,	
zuktorastreo,	যুক্তরাস্ট্রেও,	যুক্তরাষ্ট্রেও,	
artilery,	আর্টিলেরি,	আর্টিলারি,	
jesh,	যেস,	জেস,	
poshte,	পোস্তে,	পোষ্টে,	
prasadhani,	প্রাসাধানি,	প্রসাধনী,	
koyeri,	কোয়রি,	কোয়েরি,	
mirakeela,	মিরকেল,	মিরাকেল,	
bomkesh,	বমকেশ,	ব্যোমকেশ,	
modeel,	মোদিল,	মডেল,	
vange,	ভঙ্গে,	ভাঙ্গে,	
khilaphat,	খিলাফাত,	খিলাফত,	
swartha,	স্বর্থ,	স্বার্থ,	
bhenama,	ভেনামা,	ভেনম,	
masti,	মস্তি,	মাস্তি,	
estaniya,	এস্টেনিয়া,	এস্তোনিয়া,	
bhenna,	ভেন্না,	ভেন্না,	
iyaqa,	ইয়কক,	ইয়াক,	
songbadmadhyomer,	সংবাদমাধ্যমের,	সংবাদমাধ্যমের,	
procharona,	প্রচারণা,	প্রচারণা,	
varma,	ভর্মা,	ভার্মা,	
phokshkon,	ফক্ষণ,	ফক্সকন,	
kanda,	কান্ড,	কাণ্ড,	
damanmulok,	দমানমূলক,	দমনমূলক,	
aieesha,	আইএসএ,	আইএএস,	
nodiigulo,	নদীগুলো,	নদীগুলো,	
prokalpeo,	প্রকালপেও,	প্রকল্পেও,	
chiranton,	চিরান্তন,	চিরন্তন,	
bhramaner,	ভ্রমাণের,	ভ্রমণের,	
laicense,	লেইসেন্স,	লাইসেন্স,	
phiksha,	ফিক্স,	ফিক্স,	
saoum,	সৌম,	সাওম,	
nottee,	নটটি,	নোটটি,	
tenish,	টেনিশ,	টেনিস,	
rubidium,	রিবিডিয়াম,	রুবিডিয়াম,	
joneser,	জনসের,	জোন্সের,	
arjara,	অর্জার,	আর্যরা,	
farid,	ফারিদ,	ফরিদ,	
metroopoolitan,	মেত্রুপুলিতান,	মেট্রোপলিটন,	
byaboharkareeke,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
food,	ফুড,	ফুড,	
black,	ব্লক,	ব্ল্যাক,	
creesceent,	ক্রেসেন্ট,	ক্রিসেন্ট,	
poste,	পোস্তে,	পোষ্টে,	
lambatey,	লম্বাতে,	লম্বাটে,	
afjal,	আফগাল,	আফজল,	
chhanake,	ছানাকে,	ছানাকে,	
mododpusto,	মদদপুষ্ট,	মদদপুষ্ট,	
uddhritto,	উদ্ধৃত্ত,	উদ্ধৃত,	
madal,	মদল,	মাদল,	
faltu,	ফালটটু,	ফালতু,	
suraarop,	সুরারোপ,	সুরারোপ,	
dooborira,	ডুবরীরা,	ডুবুরিরা,	
batsmani,	বৎসমানি,	ব্যাটসম্যানই,	
scolarship,	স্কলারশিপ,	স্কলারশিপ,	
engil,	এঞ্জিল,	ইঞ্জিল,	
nilkuthir,	নীলকুঠির,	নীলকুঠির,	
siter,	সাইটের,	সিটের,	
artilary,	আর্টিলারি,	আর্টিলারি,	
mosan,	মোসন,	মোশন,	
sqolastiq,	স্কোলাস্টিক,	স্কলাস্টিক,	
shpredshiit,	স্প্রেসদিত,	স্প্রেডশীট,	
kathhmandute,	কাঠমান্ডুতে,	কাঠমান্ডুতে,	
eshtonia,	এস্টোনিয়া,	এস্তোনিয়া,	
shaahoshikataar,	সাহশিকতার,	সাহসিকতার,	
eucalyptushh,	ইউক্যালিস,	ইউক্যালিপ্টাস,	
aabarto,	আবর্ত,	আবর্ত,	
akik,	একিক,	আকিক,	
aarakani,	আরাকানি,	আরাকানী,	
songasthatir,	সংস্থাটির,	সংস্থাটির,	
pacchi,	পাচচি,	পাচ্ছি,	
caaling,	ক্লাং,	কুলিং,	
neker,	নেকের,	নেকের,	
beshirbhaageyi,	বেশিরভাগেই,	বেশিরভাগেই,	
maile,	মেলে,	মাইল,	
graambashi,	গ্রামবাসী,	গ্রামবাসী,	
procharonamoolok,	প্রচারণামূলক,	প্রচারণামূলক,	
karima,	কারিমা,	করিম,	
firoza,	ফিরোজা,	ফিরোজা,	
satarko,	সতর্ক,	সতর্ক,	
attar,	আত্মার,	আত্তার,	
osthisandhi,	অস্থিষান্ধি,	অস্থিসন্ধি,	
daroda,	দারোদা,	দারদা,	
ekaar,	একার,	একার,	
veenicee,	ভেনিসে,	ভেনিস,	
shaswata,	শাস্বতা,	শাশ্বত,	
moithili,	মৈথিলী,	মৈথিলি,	
pravura,	প্রভূরা,	প্রভুরা,	
foreks,	ফোরেক্স,	ফরেক্স,	
toufik,	তৌফিক,	তৌফিক,	
provritir,	প্রভৃতির,	প্রভৃতির,	
dorgaho,	দরগগহ,	দরগাহ,	
votar,	ভোটার,	ভোটার,	
dibaag,	দিবাগ,	ডিবাগ,	
nischitorupey,	নিশ্চিতরূপে,	নিশ্চিতরূপে,	
udbodhoney,	উদ্বোধনে,	উদ্বোধনে,	
teestar,	টেস্টার,	তিস্তার,	
khogen,	খোগেন,	খগেন,	
sahocorjo,	সহচর্য,	সাহচর্য,	
plus,	প্লাস,	প্লাস,	
gunaman,	গুণামান,	গুণমান,	
treevuj,	ত্রুভুজ,	ত্রিভূজ,	
daackticket,	ডাক্িকেট,	ডাকটিকিট,	
totokhhon,	ততক্ষণ,	ততক্ষন,	
byaboharkarir,	ব্যবহারকারীর,	ব্যবহারকারীর,	
soshorire,	শশরীরে,	সশরীরে,	
bbosonte,	বসন্তে,	বসন্তে,	
damonmoolok,	দামনমূলক,	দমনমূলক,	
manbe,	মানবে,	মানবে,	
ekoirakom,	একরিকম,	একইরকম,	
laj,	লজ,	লাজ,	
jhankaar,	ঝংকার,	ঝঙ্কার,	
miley,	মিলে,	মাইলি,	
masjidke,	মাজিদকে,	মসজিদকে,	
tempaleta,	টেম্পলেট,	টেম্পলেট,	
meetar,	মেটার,	মিত্র,	
rakibul,	রাকিবুল,	রকিবুল,	
parshe,	পারসে,	পার্শ্বে,	
kaaferder,	কাফারদের,	কাফেরদের,	
buth,	বুঠ,	বুথ,	
sikkhakbrindo,	শিক্ষাবৃন্দ,	শিক্ষকবৃন্দ,	
hizritey,	হিজরিতে,	হিজরীতে,	
bishaashke,	বিশাষকে,	বিশ্বাসকে,	
mesenjar,	মেসেঞ্জার,	মেসেঞ্জার,	
drishtir,	দৃষ্টির,	দৃশ্যটির,	
sanaktokaroner,	সনাক্তকরণের,	সনাক্তকরণের,	
prokolpow,	প্রকলপু,	প্রকল্পও,	
smaraker,	স্মরকের,	স্মারকের,	
tuni,	টুনি,	টুনি,	
bhatar,	ভাটার,	ভাতার,	
shommotite,	সম্মতিতে,	সম্মতিতে,	
promothesh,	প্রমেেষ,	প্রমথেশ,	
norton,	নর্তন,	নর্টন,	
gazipore,	গাজীপরে,	গাজীপুর,	
aporishodhito,	অপরিষোধিত,	অপরিশোধিত,	
agomone,	আগমনে,	আগমনে,	
ingrejeeteo,	ইংরেজিতেও,	ইংরেজিতেও,	
sarbhare,	সার্ভারে,	সার্ভারে,	
soource,	সার্স,	সোর্স,	
falah,	ফলা,	ফালাহ,	
raagee,	রাগী,	রাগী,	
sow,	শও,	শো,	
steena,	স্টেন,	স্টেন,	
jonoshomaj,	জনসমাজ,	জনসমাজ,	
ajibonoer,	আজিবনের,	আজীবনের,	
chetanagoto,	চেতানগত,	চেতনাগত,	
shiropar,	শিরপার,	শিরোপার,	
joubanbatee,	যৌবনবাতী,	যৌবনবতী,	
mukhamandal,	মুখমন্ডল,	মুখমণ্ডল,	
ciima,	সিম,	সীমা,	
saahocorrze,	সাহকর্যে,	সাহচর্যে,	
eidhyaning,	এইধানিং,	ইদানীং,	
manabmoner,	মানবমনের,	মানবমনের,	
polo,	পোলো,	পোলো,	
shho,	শো,	শো,	
jamkaalo,	জামকাল,	জমকালো,	
byaboharkari,	ব্যবহারকারী,	ব্যবহারকারীই,	
bodh,	বোধ,	বোধ,	
keo,	কিও,	কেউ,	
shahabike,	সাহাবীকে,	সাহাবীকে,	
elaakati,	এলাকাটি,	এলাকাটি,	
lagche,	লাগছে,	লাগছে,	
qaferder,	কাফারদের,	কাফেরদের,	
debdeby,	দেবদেবী,	দেবদেবী,	
gananatya,	গণনত্য,	গণনাট্য,	
masjid,	মাজিদ,	মসজিদ,	
graambasio,	গ্রামবাসীও,	গ্রামবাসীও,	
amantrita,	আমন্ত্রিত,	আমন্ত্রিত,	
gunze,	গুঞ্জে,	গুঁজে,	
marmader,	মারমাদের,	মারমাদের,	
sansthatike,	সংস্থাতিকে,	সংস্থাটিকে,	
harisoner,	হারিসনের,	হ্যারিসনের,	
sanaktokoroner,	সনাক্তকরণের,	সনাক্তকরণের,	
manohputa,	মনোপ্ুত,	মনঃপুত,	
fooloo,	ফুলো,	পোলো,	
doltyagi,	দলত্যাগী,	দলত্যাগী,	
shilpojaat,	শিল্পজাত,	শিল্পজাত,	
chhereche,	ছেরেছে,	ছেড়েছে,	
monchostho,	মঞ্চস্থ,	মঞ্চস্থ,	
seater,	সিটের,	সিটের,	
anurbar,	অনুর্বার,	অনুর্বর,	
shotodha,	শতধা,	শতধা,	
sachetanvabe,	সচেতনভাবে,	সচেতনভাবে,	
dreeshtiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
karmokandeo,	কর্মকান্ডে,	কর্মকাণ্ডেও,	
teknokret,	টেকনক্রেট,	টেকনোক্র্যাট,	
bonshoke,	বংশকে,	বংশকে,	
ebham,	ইভাম,	ইভিএম,	
cholochchitreei,	চলচ্ত্রেই,	চলচ্চিত্রেই,	
koreemer,	করিমের,	করিমের,	
sikhar,	শিখর,	শিকার,	
karadonder,	কারাদন্ডের,	কারাদণ্ডের,	
sheepha,	সেফ,	শেফ,	
firoj,	ফিরজ,	ফিরোজ,	
hoilo,	হইল,	হইল,	
chotogolper,	ছোটোগলের,	ছোটগল্পের,	
karadando,	কারাদন্ড,	কারাদণ্ড,	
pharanyata,	ফরান্যতা,	ফরম্যাট,	
modeltigulo,	মোডেলগিলো,	মডেলগুলো,	
ceema,	সেম,	সীমা,	
hijriite,	হিজরিতে,	হিজরীতে,	
karadande,	কারাদন্ডে,	কারাদণ্ডে,	
rupantarer,	রূপান্তরের,	রুপান্তরের,	
abhidhaanic,	অভিধানিক,	অভিধানিক,	
utsahi,	উৎসাহী,	উৎসাহী,	
shikarke,	শিকারকে,	শিকারকে,	
golpokar,	গল্পকার,	গল্পকার,	
nafisa,	নাফিস,	নাফিসা,	
chhatogolper,	ছোটোগলের,	ছোটগল্পের,	
choudhurike,	চৌধুরিকে,	চৌধুরীকে,	
majdur,	মজদদুর,	মজদুর,	
licensedharii,	লিসেন্ধারী,	লাইসেন্সধারী,	
norfolk,	নরফলক,	নরফোক,	
aaminar,	আমিনার,	আমিনার,	
embaed,	এমবাইড,	এম্বেড,	
diyenes,	ডাইনেস,	ডিএনএস,	
eutey,	ইউটে,	ইইউতে,	
neck,	নিক,	নেক,	
beeswasi,	বিশ্বাসী,	বিশ্বাসই,	
show,	শও,	শো,	
favourite,	ফভোরিতে,	ফেভারিট,	
utsahomulak,	উৎসাহমূলক,	উৎসাহমূলক,	
bhabaaponno,	ভবাপন্য,	ভাবাপন্ন,	
jonite,	যোনিতে,	যোনীতে,	
syutara,	সুয়াটার,	শ্যুটার,	
townsip,	টাউন্সিপ,	টাউনশিপ,	
shhipa,	সিপ,	শিপ,	
bedey,	বেদে,	বেদে,	
porobortii,	পরবর্তী,	পরর্বতী,	
hazirhaat,	হাজিরহাট,	হাজিরহাট,	
vugoley,	ভুগোলে,	ভূগোলে,	
tenis,	টেনিস,	টেনিস,	
uddhriti,	উদ্ধৃতি,	উদ্ধৃতি,	
niro,	নিরো,	নির,	
jater,	যাতের,	জাতের,	
ganochin,	গণচীন,	গণচীন,	
coode,	কোড,	কোড,	
boron,	বরণ,	বোরন,	
uposthit,	উপস্থিত,	উপস্থিত,	
shift,	সিফট,	শিফট,	
dighal,	দিঘ্যাল,	দীঘল,	
dai,	দাই,	ডে,	
duckticketer,	ডাক্তিকেটের,	ডাকটিকিটের,	
alpokichudin,	আল্পকিছুনিদ,	অল্পকিছুদিন,	
lyataa,	ল্যাট,	ল্যাটা,	
parther,	পার্থের,	পার্থের,	
amitrakkhor,	অমিত্রাক্ষর,	অমিত্রাক্ষর,	
nepchooner,	নেপচুনের,	নেপচুনের,	
abotar,	অবতার,	অবতার,	
pratisthanikvabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
dinifitian,	ডিনিফিন,	ডেফিনেশন,	
dokaanei,	ডোকানেই,	দোকানেই,	
anish,	আনিস,	আনিস,	
armstrong,	আর্সম্রং,	আর্মস্ট্রং,	
grauth,	গ্রুথ,	গ্রোথ,	
formet,	ফোরমেট,	ফরম্যাট,	
ahong,	আহং,	অহং,	
janatey,	জনতে,	জানাতে,	
utsahe,	উৎসাহে,	উৎসাহে,	
hoolding,	হোল্ডিং,	হোল্ডিং,	
behramporer,	বেহরামপুরের,	বহরমপুরের,	
arashie,	আরাসি,	আরসিএ,	
gasthi,	গ্যাস্থি,	গোষ্ঠী,	
behrampurer,	বেহরামপুরের,	বহরমপুরের,	
sahojlovyotar,	সহজ্যভোল্যার,	সহজলভ্যতার,	
monohputo,	মনোপ্ত,	মনঃপুত,	
deubande,	দিউবান্ডে,	দেওবন্দে,	
naditei,	নদীতেই,	নদীতেই,	
eesa,	এসা,	আইএএস,	
deeares,	ডেয়ারেস,	ডিআরএস,	
jansha,	জাঁশ,	জন্স,	
nagorikderke,	নাগরীকদেরকে,	নাগরিকদেরকে,	
boother,	বুথের,	বুথের,	
byan,	ব্যান,	ব্যাং,	
ovinetar,	অভিনেতার,	অভিনেতার,	
prodan,	প্রদান,	প্রদাণ,	
cheekitshar,	চিকিৎসার,	চিকিত্সার,	
jatti,	জাতটি,	জাতটি,	
hundai,	হান্ডা,	হুন্দাই,	
uparjoner,	উপারজনের,	উপার্জনের,	
dibi,	দিবি,	দিবি,	
khelaphate,	খেলাফাতে,	খেলাফতে,	
kkomatei,	কমাতেই,	কমাতেই,	
dharabhashyakar,	ধারাভাষ্যকার,	ধারাভাষ্যকার,	
mittrota,	মিত্রতা,	মিত্রতা,	
oitihya,	ঐতিহ্য,	ঐতিহ্য,	
qloud,	ক্লাড,	ক্লাউড,	
mukhmondol,	মুখমন্ডল,	মুখমণ্ডল,	
dharagulo,	ধারাগুলো,	ধারাগুলো,	
matorom,	মতররম,	মাতরম,	
deliwer,	ডেলিভের,	ডেলিভার,	
enimeted,	ইনিমেটেড,	এনিমেটেড,	
petenter,	পেটেন্টের,	পেটেন্টের,	
phutbolarder,	ফুটবোল্ডের,	ফুটবলারদের,	
baireyo,	বারেও,	বাইরেও,	
antarcticar,	আন্টারকেটার,	অ্যান্টার্কটিকার,	
chashe,	চাষে,	চেস,	
mulgoto,	মুলগত,	মূলগত,	
deputee,	দিপুতি,	ডেপুটি,	
suparharo,	সুপারহারো,	সুপারহিরো,	
imarjinsi,	এমারজিনসি,	এমার্জেন্সি,	
ancholgulote,	আঞচলগুলোতে,	অঞ্চলগুলোতে,	
lyanda,	ল্যান্ড,	ল্যান্ড,	
kokhonoba,	কখনবা,	কখনওবা,	
baard,	বার্ড,	বার্ড,	
definition,	ডেফিনিশন,	ডেফিনেশন,	
attaar,	আত্মার,	আত্তার,	
daakteekite,	ডাকতিকেতে,	ডাকটিকিটে,	
uporzon,	উপরজন,	উপার্জন,	
graambasir,	গ্রামবাসীর,	গ্রামবাসীর,	
disney,	ডিজনি,	ডিজনী,	
kanisttha,	কনিষ্ঠ,	কনিষ্ঠ,	
bhugten,	ভুগতেন,	ভুগতেন,	
freedom,	ফ্রিডম,	ফ্রীডম,	
dhyaan,	ধাযান,	ধ্যান,	
vugol,	ভুগল,	ভূগোল,	
bhenisha,	ভেনিস,	ভেনিস,	
aazaadeer,	আজাদীর,	আজাদীর,	
choudhurir,	চৌধুরির,	চৌধুরীর,	
chenja,	চেঞ্জ,	চেঞ্জ,	
bhabna,	ভব্ন,	ভাবনা,	
nilkamol,	নীলকমল,	নীলকমল,	
aazan,	আজান,	আজান,	
chalochchitratike,	চলচ্চিত্রেকে,	চলচ্চিত্রটিকে,	
kar,	কার,	কর,	
abosore,	অবসরে,	অবসরে,	
sosoa,	শসা,	শশা,	
bhalobase,	ভালবাসে,	ভালোবাসে,	
azizur,	আজিজুর,	আজিজুর,	
antarbhuttirmulok,	অন্তর্ভূর্তূমূলক,	অন্তর্ভুক্তিমূলক,	
milekhanek,	মিলেখনেক,	মাইলখানেক,	
pleena,	প্লেন,	প্লেন,	
bordhitangsho,	বর্ধিতাংশ,	বর্ধিতাংশ,	
promotione,	প্রমোশনে,	প্রোমোশনে,	
ganokantho,	গণকণ্ঠ,	গণকণ্ঠ,	
engrejiteo,	ইংরেজিতেও,	ইংরেজিতেও,	
nathibhuktir,	নথিভুক্তির,	নথিভুক্তির,	
thanvee,	ঠানভী,	থানভী,	
kakhonyoba,	কখনোযবা,	কখনওবা,	
manobmoner,	মানবমনের,	মানবমনের,	
chittronattokar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
iukyaliptasha,	ইউক্যাপিটস,	ইউক্যালিপ্টাস,	
bouddha,	বৌদ্ধ,	বৌদ্ধ,	
pnouchute,	পৌঁছুতে,	পৌঁছুতে,	
meyiler,	মেইলের,	মেইলের,	
hajeerhat,	হাজিরহাট,	হাজিরহাট,	
safi,	সফফি,	সাফি,	
myakbeth,	ম্যাকবথ,	ম্যাকবেথ,	
oitijjho,	ঐতিহ্য,	ঐতিহ্য,	
homasa,	হোমস,	হোমস,	
shasankarta,	শাসনকার্ত,	শাসনকর্তা,	
salapheeta,	সালফেট,	সালফেট,	
miley,	মিলে,	মিলে,	
bosten,	বস্তেন,	বসতেন,	
lompot,	লম্পট,	লম্পট,	
hishabke,	হিসবাকে,	হিসাবকে,	
quary,	কুয়ারি,	কোয়েরি,	
dharavahiker,	ধারাবাহিকের,	ধারাবাহিকের,	
siramiqasa,	সিরামিকাস,	সিরামিকস,	
shuri,	সুরি,	সুরি,	
armstronz,	আর্সম্র্ঞ,	আর্মস্ট্রং,	
weelcomee,	উইলকমি,	ওয়েলকাম,	
amiratas,	আমিরতাস,	এমিরেটাস,	
eqsapreshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
grambaasee,	গ্রামবাসী,	গ্রামবাসী,	
nothibhookta,	নথিভুক্ত,	নথিভুক্ত,	
soros,	সরস,	সরস,	
nirorthok,	নিরর্থক,	নিরর্থক,	
udbodhoni,	উদ্বোধনী,	উদ্বোধনী,	
jaatti,	জাতটি,	জাতটি,	
manshe,	মাঁসে,	মানুষে,	
gyandas,	জ্ঞান্ডাস,	জ্ঞানদাস,	
balbo,	বালবো,	বলবো,	
kaantojir,	কান্তজীর,	কান্তজির,	
bhandare,	ভান্ডারে,	ভাণ্ডারে,	
motar,	মোটর,	মুতার,	
basaate,	বাসাতে,	বাসাতে,	
amorendra,	আমরেন্দ্র,	অমরেন্দ্র,	
munshi,	মুনসি,	মুন্সি,	
