zete,	জেতে,	যেতে,	
jathaarthotaa,	যথারথথা,	যথার্থতা,	
purohit,	পুরোহিত,	পুরোহিত,	
arizin,	অরিজিন,	অরিজিন,	
antorbhuktir,	অন্তর্ভূক্তির,	অন্তর্ভুক্তির,	
jaruler,	জারুলের,	জারুলের,	
guineete,	গুইনেতে,	গিনিতে,	
postmasterr,	পোস্টমাস্টের,	পোস্টমাস্টার,	
birshreshtha,	বিরশ্ষেষ্ঠ,	বীরশ্রেষ্ঠ,	
bidrohider,	বিদ্রোহীদের,	বিদ্রোহীদের,	
harts,	হার্টস,	হার্টস,	
giitikobi,	গীতিকবি,	গীতিকবি,	
sarkaase,	সরকাশে,	সার্কাসে,	
guinear,	গুইনের,	গিনির,	
boltei,	বলতেই,	বলতেই,	
sachakito,	সচকিত,	সচকিত,	
kodor,	কোদর,	কদর,	
shikkhaksaha,	শিক্ষকসহ,	শিক্ষকসহ,	
mesapatemiya,	মেসপোটেমিয়া,	মেসোপটেমিয়া,	
atyabassyak,	অত্যবাশ্যক,	অত্যাবশ্যক,	
andre,	অ্যান্ড্রে,	আঁদ্রে,	
themer,	থেমের,	থিমের,	
neext,	নেক্সট,	নেক্সট,	
nodiya,	নোডিয়া,	নদীও,	
sflintar,	স্ফ্লিন্টার,	স্প্লিন্টার,	
utkhat,	উৎখাত,	উৎখাত,	
bhaasari,	ভাষারী,	ভাষারই,	
buildinge,	বিল্ডিং,	বিল্ডিংএ,	
otyabassyok,	অত্যবাশ্যক,	অত্যাবশ্যক,	
heinan,	হেনন,	হেনান,	
pikaaso,	পিকাশ,	পিকাসো,	
udbhabok,	উদ্ভাবক,	উদ্ভাবক,	
maashtarpeeshh,	মাশতারপিশ,	মাস্টারপিস,	
shhecond,	সেকন্ড,	সেকেন্ড,	
parlam,	পারলাম,	পারলাম,	
gotheek,	গঠিক,	গথিক,	
noganyo,	নোগান্য,	নগন্য,	
boudhhek,	বৌদ্ধেক,	বৌদ্ধিক,	
bloger,	ব্লগের,	ব্লগার,	
charjing,	চার্জিং,	চার্জিং,	
naadir,	নাদির,	নদীর,	
mailey,	মেলে,	মেইলে,	
faculty,	ফ্যাকাটি,	ফ্যাকাল্টি,	
disisana,	ডিশিসন,	ডিসিশন,	
crucey,	ক্রুসে,	ক্রুশে,	
atmavishvaser,	আত্মবিশ্বাসের,	আত্মবিশ্বাসের,	
shiftey,	শিফতে,	শিফটে,	
grajuete,	গ্রাজওয়েটে,	গ্রাজুয়েট,	
proshto,	প্রষ্ট,	প্রস্থ,	
debaashees,	দেবাশিস,	দেবাশিস,	
suresher,	সুরেশের,	সুরেশের,	
anannyota,	অনান্যতা,	অনন্যতা,	
nadirr,	নাদীর,	নদীর,	
barancho,	বারাঞ্চ,	বরঞ্চ,	
jounotakey,	যৌনতাকে,	যৌনতাকে,	
danbir,	ডানবীর,	দানবীর,	
monzeeler,	মঞ্জিলের,	মঞ্জিলের,	
dongshoner,	দংশনের,	দংশনের,	
touhidoor,	তৌহিদুর,	তৌহিদুর,	
jachchena,	যাচ্ছেনা,	যাচ্ছেনা,	
shoshur,	শশুর,	শশুর,	
kuntir,	কুনটির,	কুন্তীর,	
reekardeeda,	রেকার্ডেড,	রেকর্ডেড,	
noroboleer,	নরবলীর,	নরবলির,	
chalachcheelo,	চালাচ্ছিল,	চালাচ্ছিল,	
khujchila,	খুজছিলা,	খুঁজছিল,	
goonfol,	গুণফল,	গুণফল,	
apodastho,	অপদস্থ,	অপদস্থ,	
liphlet,	লিইফলেট,	লিফলেট,	
pus,	পাশ,	পিউস,	
trekbal,	ট্রেকবাল,	ট্র্যাকবল,	
barsik,	বার্ষিক,	বার্ষিক,	
prosther,	প্রস্থের,	প্রস্থের,	
nani,	নানী,	নানী,	
manusher,	মানুসের,	মানুষের,	
azizke,	আজিজকে,	আজিজকে,	
falti,	ফলতি,	ফলটি,	
amur,	আমুর,	আমুর,	
songkolon,	সংকলন,	সংকলন,	
kosobha,	কোশভা,	কসোভো,	
kormokaandoi,	কর্মকান্ডই,	কর্মকাণ্ডই,	
swatantra,	স্বতন্ত্র,	স্বতন্ত্র,	
komdami,	কমদামী,	কমদামি,	
ribhishan,	রিভিশন,	রিভিশন,	
ganapurta,	গণপূর্ত,	গনপূর্ত,	
origan,	ওরিগান,	অরিজিন,	
olper,	ওলপের,	অল্পের,	
sahasa,	সহস,	সহসা,	
sujala,	সুজালা,	সুজলা,	
pai,	পাই,	পাই,	
gronthogulotey,	গ্রন্থগুলোতে,	গ্রন্থগুলোতে,	
biseshagga,	বিশেষজ্ঞ,	বিষেশজ্ঞ,	
everester,	ইভারেস্টের,	এভারেস্টের,	
shushi,	শুশি,	সুসি,	
shpokena,	স্পোকেন,	স্পোকেন,	
slum,	স্লাম,	স্লাম,	
urzentina,	আর্জেন্টিন,	আর্জেন্টিনা,	
fees,	ফেস,	ফিস,	
jonoheetokor,	জনহীতর,	জনহিতকর,	
ongshogrohonkari,	অংশগ্রহণকারী,	অংশগ্রহনকারী,	
sangosthake,	সংস্থাকে,	সংস্থাকে,	
britha,	বৃথ,	বৃথা,	
houk,	হাঁক,	হউক,	
prokolposhomuher,	প্রকল্পসমূহের,	প্রকল্পসমূহের,	
daltyag,	দলত্যাগ,	দলত্যাগ,	
everesht,	ইভারেস্ট,	এভারেস্ট,	
shangkulaaner,	শংকুলানের,	সংকুলানের,	
pipshhi,	পিপসি,	পেপসি,	
natasha,	নটাশ,	নাতাশা,	
alngkorone,	আলংকরণে,	অলঙ্করণে,	
tintiyi,	তিনটিই,	তিনটিই,	
tottenham,	তত্তেনহাম,	টটেনহাম,	
maly,	মালি,	মলি,	
sutorang,	সুতরাং,	সুতরাং,	
aksorgulo,	একসরগুলো,	অক্ষরগুলো,	
homeopethic,	হোমিপেটিক,	হোমিওপ্যাথিক,	
kormosuchi,	কর্মসূচী,	কর্মসুচি,	
sabrakom,	সবরকম,	সবরকম,	
chitrarup,	চিত্ররূপ,	চিত্ররূপ,	
granthoke,	গ্রন্থকে,	গ্রন্থকে,	
pathology,	পাথলোগি,	প্যাথলজি,	
kukari,	কুকারি,	কুকরী,	
raktadaan,	রক্তদান,	রক্তদান,	
toker,	তোকের,	ত্বকের,	
chirotar,	চিরতার,	চিরতার,	
ghatitey,	ঘটিতে,	ঘাঁটিতে,	
twaker,	ত্যাকের,	ত্বকের,	
bodher,	বোধের,	বোধের,	
aminoo,	আমিনো,	অ্যামিনো,	
jotharthai,	যথারথাই,	যথার্থই,	
hungari,	হাঙ্গারি,	হাঙ্গেরী,	
paika,	পাইক,	পাইক,	
guevara,	গুইভার,	গেভারা,	
handurase,	হ্যান্ডুরাস,	হন্ডুরাসে,	
batsmander,	বাসসম্দের,	ব্যাটসম্যানদের,	
jhure,	ঝুরে,	ঝুরে,	
karme,	কর্মে,	কর্মে,	
mailkey,	মেলকে,	মেইলকে,	
thhumri,	থুমরি,	ঠুমরী,	
shansthagulor,	সংস্থগুলোর,	সংস্থাগুলোর,	
bishannotar,	বিষন্নতার,	বিষণ্নতার,	
gandhii,	গানধী,	গান্ধী,	
mama,	মামা,	মাম,	
taalaar,	তালার,	তালার,	
nirash,	নিরস,	নিরস,	
pothochinho,	পথচিহ্ন,	পথচিহ্ন,	
alapha,	আলাফ,	আলফা,	
sakkhatkar,	সাক্ষাতকার,	সাক্ষাত্কার,	
spell,	স্পেল,	স্পেল,	
nepchoon,	নেপুন,	নেপচুন,	
hidena,	হিডেন,	হিডেন,	
bisheshagga,	বিশেষজ্ঞ,	বিষেশজ্ঞ,	
swalpata,	স্বলপত,	স্বল্পতা,	
zogodis,	জগদিশ,	জগদীশ,	
komey,	কমে,	কমে,	
cheerkute,	চিরকুতে,	চিরকুটে,	
ribhison,	রিভিশন,	রিভিশন,	
jadu,	যাদু,	যদু,	
pitar,	পিতার,	পিটার,	
sumitra,	সুমিত্রা,	সুমিত্রা,	
mozlisher,	মজলিসের,	মজলিশের,	
raajer,	রাজের,	রাজের,	
graambasike,	গ্রাম্বাসীকে,	গ্রামবাসীকে,	
shecand,	সিকান্ড,	সেকেন্ড,	
oshlil,	অসলিল,	অশ্লীল,	
carrjing,	কার্জিং,	চার্জিং,	
preparetory,	প্রেপারেটরি,	প্রিপারেটরি,	
tookrow,	তুকরর,	টুকরো,	
bbiswashti,	বিশ্বাসতি,	বিশ্বাসটি,	
falls,	ফলস,	ফলস,	
nekshata,	নেকশাটা,	নেক্সট,	
chaadar,	চাদার,	চাদর,	
rupantorita,	রূপান্তরিতা,	রুপান্তরিত,	
khamotaashiin,	ক্ষমতাশীন,	ক্ষমতাসীন,	
nikotei,	নিকটেই,	নিকটেই,	
boudhik,	বৌধিক,	বৌদ্ধিক,	
jammur,	জামর,	জম্মুর,	
asotorkotar,	অসতর্কতার,	অসতর্কতার,	
ghatir,	ঘটির,	ঘাঁটির,	
machhtir,	মাচটির,	মাছটির,	
sweeperer,	সুপারের,	সুইপারের,	
falsh,	ফলস,	ফলস,	
greenpiece,	গ্রেন্পাইস,	গ্রিনপিস,	
artilaryer,	আর্টিলার্র,	আর্টিলারির,	
attabassyok,	আত্মবাশ্যক,	অত্যাবশ্যক,	
parikha,	পরিক্ষা,	পরিখা,	
patel,	প্যাটেল,	পটেল,	
chilo,	চিল,	ছিলো,	
asim,	আসীম,	আসিম,	
shansthader,	সংস্থদের,	সংস্থাদের,	
alonkaroner,	আলংকরণের,	অলঙ্করণের,	
poshtmashter,	পোষ্টমাস্টের,	পোস্টমাস্টার,	
hyendbill,	হ্যান্ডবিল,	হ্যান্ডবিল,	
beekar,	বিকার,	বিকার,	
mashtarpeesh,	মস্তারপিশ,	মাস্টারপিস,	
bagdaaner,	বাগদানের,	বাগদানের,	
douny,	ডাউনি,	ডাউনি,	
ksamotadhor,	ক্ষমতাধর,	ক্ষমতাধর,	
sooch,	সুচ,	সূঁচ,	
odit,	অদিত,	অডিট,	
nobinbaron,	নবীনবরন,	নবীনবরণ,	
leephlet,	লিফলেট,	লিফলেট,	
washhing,	ওশিং,	ওয়াশিং,	
famina,	ফামিন,	ফেমিনা,	
theme,	থেমে,	থিম,	
byakaron,	ব্যাকরণ,	ব্যকরণ,	
braash,	ব্রাস,	ব্রাশ,	
prasesara,	প্রসেসর,	প্রসেসর,	
databeis,	ডাটাবেশ,	ডাটাবেজ,	
ponkhiraj,	পঞ্খিরাজ,	পঙ্খিরাজ,	
such,	সাচ,	সূঁচ,	
boudhhora,	বৌদ্ধরা,	বৌদ্ধরা,	
ichchhemoto,	ইচ্ছেমত,	ইচ্ছেমতো,	
balteyi,	বালতেই,	বলতেই,	
puroheeter,	পুরোহিতের,	পুরোহিতের,	
destraaer,	ডেস্ট্রের,	ডেস্ট্রয়ার,	
shheti,	সেটি,	সেটি,	
nitrogen,	নিট্রোজেন,	নাইট্রোজেন,	
biseshagya,	বিশেষজ্ঞ,	বিষেশজ্ঞ,	
chotoordosh,	চতুর্দশ,	চতুর্দশ,	
porissromer,	পরিশ্রমের,	পরিশ্রমের,	
zemasa,	জেমস,	জেমস,	
sheelmohor,	শিলমহর,	সিলমোহর,	
procheshtatei,	প্রচেষ্টাতেই,	প্রচেষ্টাতেই,	
blagaarader,	ব্লাগারাদের,	ব্লগারদের,	
jack,	জ্যাক,	জাক,	
kinaaraar,	কিনারার,	কিনারার,	
ulamagon,	উলামাগন,	উলামাগণ,	
razi,	রাজি,	রাজী,	
haramoni,	হরমানি,	হারমোনি,	
kkompo,	কম্প,	কম্প,	
sangitka,	সঙ্গীতকা,	সঙ্গীতকার,	
graambaaseeke,	গ্রামবাসীকে,	গ্রামবাসীকে,	
haindbook,	হাইন্ডবুক,	হ্যান্ডবুক,	
odhikrito,	অধিকৃত,	অধিকৃত,	
onupungkho,	অনুপুংখ,	অনুপুঙ্খ,	
chhanader,	ছানাদের,	ছানাদের,	
gramin,	গ্রামিং,	গ্রামীন,	
sastrik,	সাস্ত্রিক,	সস্ত্রীক,	
deleevari,	ডেলিভারি,	ডেলিভারী,	
nehroor,	নেহরুর,	নেহরুর,	
bangoposagar,	বাঙ্গোপোজার,	বঙ্গোপসাগর,	
chalachchitrotir,	চলাচিত্রটির,	চলচ্চিত্রটির,	
songasthader,	সংস্থাদের,	সংস্থাদের,	
gronthoi,	গ্রন্থই,	গ্রন্থই,	
opratistthanik,	অপ্রাতিষ্ঠানিক,	অপ্রাতিষ্ঠানিক,	
malakka,	মালক্ক,	মালাক্কা,	
janardan,	জনরদন,	জনার্দন,	
riform,	রিফর্ম,	রিফর্ম,	
stabdha,	স্তব্ধ,	স্তব্ধ,	
lebhanta,	লেভন্ট,	লেভান্ট,	
shociety,	সোকিয়েটি,	সোসাইটি,	
otite,	ওতিতে,	অতীতে,	
aru,	আরু,	আরু,	
pal,	পাল,	পাল,	
aditara,	আদিতার,	অডিটর,	
samajeekvabe,	সামাজিকভাবে,	সামাজিকভাবে,	
dongsoner,	দংসনের,	দংশনের,	
daka,	ডাকা,	ডক,	
dhonirayi,	ধনিরাই,	ধনীরাই,	
neherur,	নেহেরুর,	নেহরুর,	
asarer,	আসারের,	আসরের,	
sbatantro,	স্বতন্ত্র,	স্বতন্ত্র,	
shangkalon,	সংকলন,	সংকলন,	
ajanta,	অজন্ত,	অজন্তা,	
sutaran,	সুতারণ,	সুতরাং,	
mousumey,	মৌসুমে,	মৌসুমে,	
mohashunyo,	মহাশুন্য,	মহাশূন্য,	
iyarakraphata,	ইয়ারক্রাফট,	এয়ারক্রাফট,	
nirvaher,	নির্বাহের,	নির্বাহের,	
said,	সাইড,	সাইফ,	
rajke,	রাজকে,	রাজকে,	
khalider,	খালিদের,	খালিদের,	
noota,	নোটা,	নোট,	
porisodhe,	পরিসোধে,	পরিশোধে,	
sklerasisa,	স্ক্রেরসিস,	স্ক্লেরোসিস,	
haramooni,	হারামুনি,	হারমোনি,	
madrasagulo,	মাদ্রাসগুলো,	মাদ্রাসাগুলো,	
bhaandaree,	ভান্ডারী,	ভাণ্ডারী,	
destrayer,	ডেস্ট্রের,	ডেস্ট্রয়ার,	
splintar,	স্প্লিন্টার,	স্প্লিন্টার,	
sadosyogan,	সদস্যগণ,	সদস্যগন,	
asarey,	আসারে,	আসরে,	
vager,	ভাগের,	ভাগের,	
horidwarer,	হরিদ্বরের,	হরিদ্বারের,	
piipshii,	পিপসি,	পেপসি,	
chaudhuri,	চৌধুরি,	চৌধুরী,	
joonal,	জোনাল,	জোনাল,	
taalgachher,	তালগাছের,	তালগাছের,	
manasikata,	মানািকটা,	মানসিকতা,	
qaferra,	কাফেররা,	কাফেররা,	
prothou,	প্রথাও,	প্রথাও,	
shoodhoo,	সুধু,	শুধু,	
irsabodh,	ইরসাবোধ,	ঈর্ষাবোধ,	
inakripashana,	ইনক্রিপ্রিপশন,	এনক্রিপশন,	
meilke,	মেলকে,	মেইলকে,	
takhankar,	তখনকার,	তখনকার,	
anyotro,	অন্যত্র,	অন্যত্র,	
haroganga,	হারোগাঞ্,	হরগঙ্গা,	
ganeshke,	গণেষকে,	গণেশকে,	
praimara,	প্রাইমার,	প্রাইমার,	
daami,	দামি,	ডামি,	
uthechila,	উঠেছিলা,	উঠেছিলো,	
naritto,	নারীত্য,	নারীত্ব,	
lohaanee,	লোহনী,	লোহানী,	
asthisandhir,	অস্থিসন্ধীর,	অস্থিসন্ধির,	
jonosomaabesh,	জনসমাশ,	জনসমাবেশ,	
sahojlabhbha,	সহজলভভা,	সহজলভ্য,	
gointapur,	গৈন্তাপুর,	জৈন্তাপুর,	
ajey,	আজে,	এজে,	
golchipa,	গোলচিপা,	গলাচিপা,	
bishnur,	বিষ্ণুর,	বিষ্ণুর,	
destroaer,	ডেস্ট্রের,	ডেস্ট্রয়ার,	
seguli,	সেগুলি,	সেগুলি,	
sheekkhaar,	শিক্ষার,	শিক্ষার,	
jonir,	যোনির,	যোনীর,	
mohasoonner,	মহাসন্নের,	মহাশূন্যের,	
protyekeryi,	প্রত্যেকের্যী,	প্রত্যেকেরই,	
sanyaler,	সন্যালের,	সান্যালের,	
prakashanar,	প্রকাশনার,	প্রকাশনার,	
sangbadmadhyomke,	সংবাদমাধকে,	সংবাদমাধ্যমকে,	
udbhabaner,	উদ্ভবনের,	উদ্ভাবনের,	
grihoshtali,	গৃহস্তালী,	গৃহস্থালি,	
delivery,	ডেলিভারি,	ডেলিভারি,	
sahojlabhbhota,	সহজলভতা,	সহজলভ্যতা,	
bhata,	ভাটা,	ভাতা,	
uposthitio,	উপস্থিতিও,	উপস্থিতিও,	
shikkhaksoho,	শিক্ষকসহ,	শিক্ষকসহ,	
abosthantor,	অবস্থান্তর,	অবস্থান্তর,	
jeroosalemer,	জেরুসালের,	জেরুসালেমের,	
khilafoter,	খিলাফতের,	খিলাফতের,	
deobond,	ডিবব্দ,	দেওবন্দ,	
teen,	তিন,	তিন,	
kramdhara,	ক্রামধারা,	ক্রমধারা,	
hoiben,	হৈবেন,	হইবেন,	
salim,	সালিম,	সালিম,	
shiping,	শিপিং,	শিপিং,	
eekbal,	ইকবাল,	ইকবাল,	
vaiboner,	ভাইবনের,	ভাইবোনের,	
detector,	ডিটেক্টর,	ডিক্টেটর,	
falato,	ফলত,	ফলতঃ,	
hole,	হোল,	হোলে,	
bivrantikar,	বিভ্রান্তিকার,	বিভ্রান্তিকর,	
koushalgatobhabe,	কৌশলগতভাবে,	কৌশলগতভাবে,	
ebharesta,	ইভারেস্ট,	এভারেস্ট,	
obhidhaney,	অভিধানে,	অভিধানে,	
hils,	হিলস,	হিলস,	
deengee,	ডিঙ্গে,	ডিঙ্গি,	
damaner,	ডামানের,	দমনের,	
pratyokkho,	প্রত্যক্ষ,	প্রত্যক্ষ,	
denees,	ডেনিস,	ডেনিশ,	
soteen,	সতীন,	সতিন,	
sikarpur,	শিকারপুর,	শিকারপুর,	
billeter,	বিলেটের,	বিলেতের,	
jakkhar,	যাক্ষার,	যক্ষার,	
bibeker,	বিবেকের,	বিবেকের,	
hareecho,	হরিচ,	হারিছ,	
golacheepa,	গোলাচিপ,	গলাচিপা,	
nature,	নাচারে,	নেচার,	
sodkar,	সদকার,	সদকার,	
jommur,	জম্মুর,	জম্মুর,	
twakke,	ত্যাকে,	ত্বককে,	
kostokor,	কষ্টকর,	কষ্টকর,	
parimito,	পরিমিত,	পরিমিত,	
shatabdiro,	শতাব্দীরো,	শতাব্দীরও,	
dehomon,	ডিহমন,	দেহমন,	
resortti,	রেসর্তি,	রিসোর্টটি,	
chhatker,	ছাটকের,	ছাতকের,	
grazuyeta,	গ্রাজওয়েট,	গ্রাজুয়েট,	
rodreegez,	রোদ্রিগেজ,	রদ্রিগেজ,	
hoeebaar,	হৈবার,	হইবার,	
durante,	দুরান্তে,	দূরান্তে,	
bafoofe,	বাফুফে,	বাফুফে,	
karlayil,	কারলাইল,	কার্লাইল,	
harison,	হ্যারিশন,	হ্যারিসন,	
shoilite,	শৈলিতে,	শৈলীতে,	
liphaleta,	লিফলট,	লিফলেট,	
isootoope,	ইসোটুপে,	আইসোটোপ,	
spoqena,	স্পোকেন,	স্পোকেন,	
aajju,	আজ্যু,	আজ্জু,	
tafsire,	তাসসারে,	তাফসীরে,	
bishwaser,	বিশ্বাসের,	বিশ্বাসের,	
porbotmalar,	পর্বোতমালার,	পর্বতমালার,	
swiperer,	সুপারের,	সুইপারের,	
paan,	পান,	পান,	
dasbachar,	দশবছর,	দশবছর,	
nootes,	নোটেশ,	নোটস,	
reediyana,	রেডিয়ান,	রেডিয়ান,	
shikshabyabosthar,	শিক্ষাব্যবস্থার,	শিক্ষাব্যবস্থার,	
kamale,	কালে,	কমালে,	
chana,	চানা,	ছানা,	
pyoosh,	পুশ,	পিউস,	
onupate,	অনুপাতে,	অনুপাতে,	
basati,	বাসাতি,	বাসাটি,	
sachetonamulok,	সচেতনামূলক,	সচেতনামূলক,	
sorasori,	সরাসরী,	সরাসরী,	
sadosyagan,	সদস্যগণ,	সদস্যগন,	
cooli,	কুলি,	কুলী,	
bisnur,	বিষ্নুর,	বিষ্ণুর,	
shashta,	সষ্ত,	ষষ্ট,	
haridwarer,	হরিদ্বরের,	হরিদ্বারের,	
waarden,	ওয়ারদেন,	ওয়ার্ডেন,	
dhonuker,	ধনুকের,	ধনুকের,	
prakalpa,	প্রকল্প,	প্রকল্প,	
prashikkhano,	প্রশিক্ষন,	প্রশিক্ষণও,	
oyelasha,	ওয়েলস,	ওয়েলশ,	
elapizi,	এলাপিজি,	এলপিজি,	
mijanur,	মিজানুর,	মীজানুর,	
satthikvabe,	সাঠিকভাবে,	সঠিকভাবে,	
piqaaso,	পিকাশ,	পিকাসো,	
nagalandey,	নাগালান্ডে,	নাগাল্যান্ডে,	
raj,	রাজ,	রাজ,	
shommoti,	সম্মতি,	সম্মতি,	
mailasha,	মাইলস,	মাইলস,	
stobdha,	স্তব্ধ,	স্তব্ধ,	
diyena,	ডিএন,	ডিএনএ,	
majen,	মাজেন,	মাজেন,	
attabassyak,	আত্মবাশ্যক,	অত্যাবশ্যক,	
vatar,	ভাটার,	ভাঁটার,	
zaanai,	জানাই,	জানাই,	
baangkaare,	বাংকারে,	বাংকারে,	
tishti,	তিষ্টি,	তুষ্টির,	
crease,	ক্রিয়েস,	ক্রিস,	
namok,	নামক,	নামক,	
shaleh,	সালেহ,	সালেহ,	
jeenei,	জিনেই,	যিনিই,	
dolguloke,	দলগুলোকে,	দলগুলোকে,	
aesotop,	আসতোপ,	আইসোটোপ,	
hisab,	হিসাব,	হিসাব,	
arakani,	আরকানি,	আরাকানি,	
dhacher,	ধাঁের,	ধাঁচের,	
panchanan,	পঞ্চানান,	পঞ্চানন,	
eca,	এক,	একা,	
hankanor,	হাঁকানর,	হাঁকানোর,	
plainer,	প্লাইনের,	প্লেনের,	
lack,	লাক,	লক,	
patni,	পাটনি,	পাটনী,	
texash,	টেক্সাস,	টেক্সাস,	
sikhte,	শিখতে,	শিখতে,	
metre,	মেটারে,	মিটার,	
gothik,	গঠিক,	গথিক,	
sulk,	সালক,	শুল্ক,	
manobhitoishi,	মনোভিতেশী,	মানবহিতৈষী,	
sikkhai,	শিক্ষাই,	শিক্ষাই,	
musalamana,	মুসলমন,	মুসলমান,	
sphlinter,	স্ফ্লিন্টের,	স্প্লিন্টার,	
rodrigaga,	রোদ্রিগাগা,	রদ্রিগেজ,	
jaanalo,	জানালো,	জানাল,	
nodiite,	নদীতে,	নদীতে,	
kanthadan,	কন্ঠাদন,	কণ্ঠদান,	
shafiul,	সাফিউল,	শফিউল,	
arzentina,	আর্জেন্টিন,	আর্জেন্টিনা,	
hallisohor,	হলিশহর,	হালিশহর,	
rama,	রোম,	রামা,	
dokandaarer,	দোকান্দারের,	দোকানদারের,	
morrel,	মোর্লেল,	মোরেল,	
aaminaa,	আমিনা,	আমিনা,	
trackball,	ট্রাকবাল,	ট্র্যাকবল,	
nitrojen,	নিত্রোজেন,	নাইট্রোজেন,	
chotku,	চট্কু,	ছটকু,	
chorito,	চরিত,	চরিত,	
atker,	আতকের,	আটকের,	
kotreek,	কতৃর্ক,	কতৃক,	
neture,	নেচার,	নেচার,	
debashish,	ডেবাশিস,	দেবাশিস,	
aipie,	আইপিএ,	আইপিএ,	
navojaner,	নভোজনের,	নভোযানের,	
ganabidhwangsi,	গণবিধ্বাংশী,	গণবিধ্বংসী,	
morel,	মোরেল,	মোরেল,	
benefit,	বেনেফিত,	বেনিফিট,	
holude,	হলুডে,	হলুদে,	
monzu,	মঞ্জু,	মঞ্জু,	
delivari,	ডেলিভারি,	ডেলিভারি,	
harichho,	হরিক্ছ,	হারিছ,	
janmabe,	জনমাবে,	জন্মাবে,	
pathkrame,	পাঠক্রমে,	পাঠক্রমে,	
ghotle,	ঘটলে,	ঘটলে,	
booti,	বুটি,	বুটি,	
chalachchitrao,	চলচচিত্রা,	চলচ্চিত্রও,	
byaghro,	ব্যাঘ্র,	ব্যাঘ্র,	
atmabishvash,	আত্মবিশ্বাস,	আত্মবিশ্বাস,	
bidrohikey,	বিদ্রহীকে,	বিদ্রোহীকে,	
jaanale,	জানালে,	জানালে,	
parkeow,	পার্কেও,	পার্কেও,	
melborn,	মেলবর্ন,	মেলবোর্ন,	
astheesandhite,	অস্থিসন্ধিতে,	অস্থিসন্ধিতে,	
vashhing,	ভাশিং,	ওয়াশিং,	
uparzone,	উপার্জনে,	উপার্জনে,	
sedikey,	সেদিকে,	সেদিকে,	
ishtrojen,	ইস্ট্রোজেন,	ইস্ট্রোজেন,	
chotto,	চত্ত,	ছোট্টো,	
dongson,	দংসন,	দংশন,	
manumenta,	মনুমেন্ট,	মনুমেন্ট,	
biplobira,	বিপ্লবীরা,	বিপ্লবীরা,	
blogger,	ব্লগ্র,	ব্লগার,	
utkonthito,	উৎকন্ঠিত,	উৎকণ্ঠিত,	
parkke,	পার্কে,	পার্ককে,	
dibyo,	দিব্য,	দিব্য,	
manosikota,	মানসিকতা,	মানসিকতা,	
gaadhaar,	গাধার,	গাধার,	
drissoty,	দৃষ্টি,	দৃশ্যটি,	
botuta,	বতুতা,	বতুতা,	
preshidiyama,	প্রেসিডিয়াম,	প্রেসিডিয়াম,	
chalochchitroti,	চলচিত্রটি,	চলচ্চিত্রটি,	
sumishta,	সুমিষ্ঠ,	সুমিষ্ট,	
karmaa,	কর্মা,	কর্মা,	
symphony,	সিম্ফনি,	সিম্ফোনি,	
parinatir,	পরিনাটির,	পরিণতির,	
bissonather,	বিশনাথের,	বিশ্বনাথের,	
nechara,	নেচার,	নেচার,	
cookrii,	কুকরি,	কুকরী,	
byata,	ব্যাটা,	বেটা,	
khulechila,	খুলেছিলা,	খুলেছিল,	
tolemy,	টলেমি,	টলেমি,	
natni,	নাটনী,	নাতনী,	
vojsova,	ভোজসভা,	ভোজসভা,	
bonar,	বোনার,	বোনার,	
raaho,	রাহ,	রাহ,	
wahab,	বাহাব,	ওহাব,	
grantheo,	গ্রন্থেও,	গ্রন্থেও,	
the,	ঠা,	দি,	
labonaktata,	লবনাক্ততা,	লবণাক্ততা,	
palangshaak,	পালংশক,	পালংশাক,	
maner,	মানের,	মনের,	
badmintan,	ব্যাডমিন্টন,	ব্যাডমিন্টন,	
shoonch,	সুঁচ,	সূঁচ,	
eekadeemiya,	একাডেমিয়া,	একাডেমিয়া,	
fireche,	ফিরেছে,	ফিরেছে,	
attik,	আত্মিক,	আত্মিক,	
motamotke,	মোটামতকে,	মতামতকে,	
songosthao,	সংস্থাও,	সংস্থাও,	
nobomii,	নবমী,	নবমী,	
oyeeka,	ওয়েক,	ওয়েক,	
ersad,	এরসদ,	এরশাদ,	
jonmodaag,	জন্মদা,	জন্মদাগ,	
mandarin,	মান্ডারিন,	মান্দারিন,	
bhouto,	ভুতো,	ভৌত,	
bisoy,	বিসয়,	বিষয়,	
kolazen,	কলজেন,	কোলাজেন,	
anto,	আনত,	অন্তু,	
neerbaher,	নির্বাহের,	নির্বাহের,	
chalochchitraee,	চলচিত্রা,	চলচ্চিত্রে,	
maastarpiis,	মাস্টরপিশ,	মাস্টারপিস,	
kachh,	কাছ,	কাছ,	
botso,	বৎস,	বৎস,	
ista,	ইস্টা,	ইস্ট,	
tottoba,	তত্ত্ববা,	তওবা,	
rashidkey,	রাশিদকে,	রশিদকে,	
societi,	সোচিয়েটি,	সোসাইটি,	
bisheshoggo,	বিশেষজ্ঞ,	বিষেশজ্ঞ,	
aapey,	আপে,	আপে,	
switch,	সুইচ,	স্যুইচ,	
attoghati,	আত্মঘাটি,	আত্মঘাতী,	
phaarm,	ফার্ম,	ফর্ম,	
sahozlabhbhota,	সহজলভতা,	সহজলভ্যতা,	
korotee,	করতি,	করোটি,	
aamoo,	আমু,	আমু,	
khonjen,	খোনজেন,	খোঁজেন,	
