santoshe,	সান্ত্ষে,	সন্তোষে,	
gaphiloti,	গাফিলতি,	গাফিলতি,	
songkulan,	সংকুলন,	সংকুলান,	
vumija,	ভূমিজা,	ভূমিজ,	
dharabahikbhabe,	ধারাবাকিকভাবে,	ধারাবাহিকভাবে,	
enimeted,	ইনিমেটেড,	এনিমেটেড,	
kraima,	ক্রেইম,	ক্রাইম,	
shukna,	শুকনা,	শুকনা,	
avinetar,	অভিনতার,	অভিনেতার,	
korimpoor,	করিমপুর,	করিমপুর,	
machsaho,	মাচসহ,	মাছসহ,	
dera,	ডেরা,	ডেরা,	
ekatto,	একাত্ত,	একাত্ব,	
manohputo,	মনোপুত,	মনঃপুত,	
parisankhanbid,	পরিসংখনাদিদ,	পরিসংখ্যানবিদ,	
surti,	সুর্তি,	সুরটি,	
korecho,	করেছো,	করেছো,	
kruser,	ক্রাসের,	ক্রুশের,	
kanooner,	কানুনের,	কানুনের,	
nironjan,	নিরঞ্জন,	নিরঞ্জন,	
saamaanyai,	সাম্যান্যে,	সামান্যই,	
janagananar,	জনগণনার,	জনগণনার,	
shikkhakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
ganochien,	গণোচিয়,	গণচীন,	
taronee,	তারণী,	তরণী,	
iuqyaliptasa,	ইউক্যালিপ্ট,	ইউক্যালিপ্টাস,	
antorvukto,	অর্ন্তভুক্ত,	অন্তর্ভুক্ত,	
thyachara,	থ্যাচার,	থ্যাচার,	
parse,	পোর্স,	পার্শ্বে,	
dormitoree,	ডরমেটরি,	ডরমিটরি,	
daakope,	ডাকপে,	দাকোপ,	
longghoner,	লঙ্ঘনের,	লংঘনের,	
mitroyo,	মিত্রও,	মিত্রও,	
ghatir,	ঘটির,	ঘাটির,	
abheedhaaneek,	আভিধানিক,	অভিধানিক,	
sabyastha,	সাব্যস্থ,	সাব্যস্থ,	
soochonakal,	সূচনাকাল,	সূচনাকাল,	
konaan,	কোনান,	কোনান,	
uzbekistaner,	উজ্বেকিষ্তানের,	উজবেকিস্তানের,	
edaning,	এডনিং,	ইদানীং,	
arbit,	আরবিত,	অরবিট,	
keram,	কেরাম,	কেরাম,	
bongshi,	বংশী,	বংশী,	
shucharita,	সুচরিত,	সুচরিতা,	
stylish,	স্টাইলিস,	স্টাইলিশ,	
vastubad,	বাস্তুবাদ,	বস্তুবাদ,	
goteehin,	গতিহীন,	গতিহীন,	
moshjidtike,	মস্জিদিকে,	মসজিদটিকে,	
assoociates,	অ্যাসোসিয়েট,	এসোসিয়েটস,	
angshograhon,	অংশগ্রহণ,	অংশগ্রহন,	
aameenar,	আমিনার,	আমিনার,	
korley,	করলে,	করলে,	
qyapasula,	ক্যাপসুল,	ক্যাপসুল,	
meetropalitana,	মিট্রোপলিটান,	মেট্রোপলিটন,	
aloteo,	আলতেও,	আলোতেও,	
garjon,	গার্জন,	গর্জন,	
eshkol,	এসকল,	এসকল,	
treevuj,	ত্রিভুজ,	ত্রিভূজ,	
onkita,	অংকিত,	অঙ্কিতা,	
meetropolitan,	মিত্রোপলিতান,	মেট্রোপলিটন,	
bondikey,	বন্দিকে,	বন্দীকে,	
bojhaao,	বোঝাও,	বোঝাও,	
biplobir,	বিপ্লবির,	বিপ্লবীর,	
protisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
thime,	থাইম,	থিমে,	
hajjarer,	হজজারের,	হাজারের,	
cheekitshar,	চিকিৎসার,	চিকিত্সার,	
proshadhoner,	প্রসাধনের,	প্রসাধনের,	
goteerodh,	গতিরোধ,	গতিরোধ,	
gavashkar,	গভাস্কার,	গাভাস্কার,	
temani,	টেমানি,	তেমনই,	
bahal,	বহল,	বহাল,	
gadhaa,	গাধা,	গাধা,	
prabhur,	প্রভূর,	প্রভুর,	
promotione,	প্রমোশনে,	প্রোমোশনে,	
shcholastiq,	স্কল্যাস্টিক,	স্কলাস্টিক,	
ganaparibahan,	গণপরিবন,	গণপরিবহন,	
agovir,	অগভীর,	অগভীর,	
fal,	ফল,	ফল,	
idaning,	ইডনিং,	ইদানীং,	
bhenuser,	ভেনাইসের,	ভেনাসের,	
marketin,	মার্কটিন,	মার্কেটিং,	
baiqa,	বাইক,	বাইক,	
jotsna,	জতস্ন,	জ্যোৎস্না,	
marmaader,	মারমাদের,	মারমাদের,	
fatakasto,	ফটাকস্ট,	ফাটাকেষ্ট,	
nirmolota,	নির্মলতা,	নির্মলতা,	
mataram,	মাতারাম,	মাতরম,	
edmiral,	এডমিরাল,	এডমিরাল,	
qoyartara,	কোয়ার্টার,	কোয়ার্টার,	
baharampoorer,	বহরামপুরের,	বহরমপুরের,	
garmanyteo,	জার্মানিতেও,	জার্মানিতেও,	
marmara,	মার্মার,	মারমারা,	
shangkulaan,	শংকুলান,	সংকুলান,	
satarkobhabe,	সতার্কভাবে,	সতর্কভাবে,	
jockei,	জকি,	জকি,	
poshchate,	পশ্চচাতে,	পশ্চাতে,	
obharabhiu,	অভারভি,	ওভারভিউ,	
paare,	পারে,	পাড়ে,	
bishnuke,	বিষ্ণুকে,	বিষ্ণুকে,	
katbe,	কাটতে,	কাটবে,	
food,	ফুড,	ফুড,	
bodhirta,	বোধির্ত,	বধিরতা,	
chirohorit,	চিরহরিত,	চিরহরিৎ,	
siramiker,	সিরামিকের,	সিরামিকের,	
pratisthanikbhabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
haipar,	হাইপার,	হাইপার,	
emarjenshi,	এমার্জেন্সি,	এমার্জেন্সি,	
ponni,	পন্নী,	পন্নী,	
chaudhuriyo,	চৌধুরিয়,	চৌধুরীও,	
sbatantrata,	স্বতান্ত্রত,	স্বতন্ত্রতা,	
dhanche,	ধাঁছে,	ধাঁচে,	
torangunj,	তরণগঞ্জ,	তোরাবগঞ্জ,	
jolatonko,	জলাত্যক,	জলাতঙ্ক,	
asamanjashapurna,	অসাময্পসূর্ন,	অসামঞ্জস্যপূর্ণ,	
planee,	প্লেন,	প্লেন,	
goreeb,	গরীব,	গরিব,	
evar,	ইভার,	এভার,	
ghesei,	ঘেষেই,	ঘেঁষেই,	
ibhara,	ইভার,	এভার,	
romancho,	রোমাঞ্চ,	রোমাঞ্চ,	
mandonder,	মান্ডনের,	মানদণ্ডের,	
jatinkey,	জতিনকে,	যতীনকে,	
bishwaashshke,	বিশ্বাসকে,	বিশ্বাসকে,	
durgandha,	দুর্গন্ধ,	দুর্গন্ধ,	
bbosonte,	বসন্তে,	বসন্তে,	
mb,	এমএিএি,	এমবি,	
dankaan,	ডাঁকান,	ডানকান,	
mozlishpur,	মজজলিপপুর,	মজলিশপুর,	
chirontan,	চিরন্তন,	চিরন্তন,	
achish,	অচিস,	আছিস,	
vishad,	বিষদ,	বিষদ,	
joistha,	জৈষ্ঠ্য,	জ্যৈষ্ঠ,	
sheekare,	শিকারে,	শিকারে,	
gezetted,	গেজেটেড,	গেজেটেড,	
johns,	জনস,	জন্স,	
mugdha,	মুগ্ধ,	মুগ্ধ,	
fox,	ফক্স,	ফক্স,	
aalkatraa,	আলকত্র,	আলকাতরা,	
nischitvabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
laaisheesh,	লাইস,	লাইসেন্স,	
noteti,	নটটি,	নোটটি,	
shphingtar,	স্ফিংটার,	স্ফিংটার,	
rananganey,	রণাঙ্গনে,	রণাঙ্গনে,	
postar,	পোস্টার,	পোস্টের,	
shooter,	শুটের,	শ্যুটার,	
neshnosh,	নেশনোস,	নেশনস,	
hilse,	হিলসে,	হিলসে,	
kamiz,	কমিজ,	কামিজ,	
arkimidish,	আর্কিমিডিস,	আর্কিমিডিস,	
puroheetra,	পুরাহিত্রা,	পুরোহিতরা,	
hotodoreedro,	হতরদর্ত্র,	হতদরিদ্র,	
modele,	মোডেল,	মডেলে,	
modelder,	মোডেলদের,	মডেলদের,	
sakshatkarer,	সাক্ষাতকারের,	সাক্ষাত্কারের,	
asamonjoshyopurno,	অসাময্যসূর্ণ,	অসামঞ্জস্যপূর্ণ,	
sur,	সুর,	সুর,	
gosthyi,	গোষ্ঠ্য,	গোষ্ঠীই,	
paste,	পাস্টে,	পেষ্ট,	
deil,	ডেল,	ডেইল,	
mukhamandal,	মুখমন্ডল,	মুখমণ্ডল,	
zacksan,	জ্যাকশন,	জ্যাকসন,	
theland,	থ্যাল্ডান্ড,	থাইল্যান্ড,	
nirmolotaa,	নির্মলতা,	নির্মলতা,	
doover,	দুভের,	ডোভার,	
jilyanda,	জিল্যান্ড,	জিল্যান্ড,	
oitijhyo,	ঐতিহ্য,	ঐতিহ্য,	
kaash,	কাশ,	কাস,	
nothibhookto,	নথিভুক্ত,	নথিভুক্ত,	
navel,	নায়েল,	নভেল,	
jaqi,	জাকি,	জকি,	
oncolei,	অঁচলেই,	অঞ্চলেই,	
temanbhabe,	তেমানভাবে,	তেমনভাবে,	
byabaharkarie,	ব্যবহারকারী,	ব্যবহারকারীই,	
machhsoho,	মাছসহ,	মাছসহ,	
allahabade,	আল্লাহ্বাদে,	এলাহাবাদে,	
vagni,	ভাগ্নী,	ভগ্নী,	
suraaropito,	সুরারপিত,	সুরারোপিত,	
bohudeen,	বহুদিন,	বহুদিন,	
hunine,	হুনিন,	হুনাইন,	
aksathei,	একসাথেই,	একসাথেই,	
protizogiir,	প্রতিযোগীর,	প্রতিযোগীতার,	
sothikata,	সথিকতা,	সঠিকতা,	
tukrote,	টুকরোতে,	টুকরোতে,	
firoja,	ফিরজা,	ফিরোজা,	
gosthyti,	গোষ্ঠিতি,	গোষ্ঠীটি,	
dhonyi,	ধনই,	ধন্যি,	
source,	সোর্স,	সোর্স,	
bang,	বাং,	ব্যাং,	
krisenter,	ক্রিসেন্টের,	ক্রিসেন্টের,	
kyandi,	ক্যান্ডি,	ক্যান্ডি,	
information,	ইনফর্মেশন,	ইনফরমেশন,	
utpotti,	উৎপত্তি,	উতপত্তি,	
meghachchanno,	মেঘাচ্নন্ন,	মেঘাচ্ছন্ন,	
shaahocharje,	সৌহচার্যে,	সাহচর্যে,	
cholechi,	চলেছি,	চলেছি,	
dormetory,	ডরমেটরি,	ডরমিটরি,	
prodiiper,	প্রদ্বীপের,	প্রদীপের,	
abhidhaaneec,	আভিধানিক,	অভিধানিক,	
iviem,	ইভিএম,	ইভিএম,	
bronzer,	ব্রেঞ্জের,	ব্রোঞ্জের,	
naitikata,	নৈতিকতা,	নৈতিকতা,	
anchaltitey,	অঞ্চলটিতে,	অঞ্চলটিতে,	
votar,	ভোটার,	ভোটার,	
vezano,	ভেজান,	ভেজানো,	
mag,	ম্যাগ,	এমএজি,	
cheentai,	চিন্তাই,	ছিনতাই,	
mit,	মিট,	মিট,	
riphleqsa,	রিফ্লেক্স,	রিফ্লেক্স,	
porizoner,	পরিজনের,	পরিজনের,	
superhero,	সুপারহারও,	সুপারহিরো,	
anchalsamuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
tat,	তত,	তাত,	
elaakaatir,	এলাকাতির,	এলাকাটির,	
plaiin,	প্লেন,	প্লেন,	
poricchonnota,	পরিচ্ছন্যতা,	পরিচ্ছন্নতা,	
lyaandeeng,	ল্যান্ডিং,	ল্যান্ডিং,	
abheedhanick,	আভিধানিক,	অভিধানিক,	
brinda,	ব্রিন্ড,	বৃন্দা,	
shommotite,	সম্মতিতে,	সম্মতিতে,	
lokkhero,	লক্ষ্মেও,	লক্ষেরও,	
mukhomondole,	মুখমন্ডলে,	মুখমণ্ডলে,	
madrasakey,	মাদরাসকে,	মাদ্রাসাকে,	
porjotoker,	পর্যতকের,	পর্যটকের,	
samabeshti,	সমবেশ্তি,	সমাবেশটি,	
jokey,	জোকে,	জকি,	
ekar,	একার,	একার,	
latimer,	ল্যাটিমের,	লাটিমের,	
hepetaitisa,	হেপাইটিট,	হেপাটাইটিস,	
depooti,	দিপোতি,	ডেপুটি,	
ganaparibahaner,	গণপরিবনের,	গণপরিবহনের,	
ujobekeestaner,	উজবাকিক্তানের,	উজবেকিস্তানের,	
kale,	কালে,	কালে,	
militarite,	মিলিটারিতে,	মিলিটারিতে,	
aabarte,	আবার্তে,	আবর্তে,	
basturyi,	ব্যাস্তুরই,	বস্তুরই,	
shrabosty,	শ্রাবস্তি,	শ্রাবস্তী,	
pothnatok,	পথ্নতাক,	পথনাটক,	
notey,	নটে,	নোটে,	
porishromi,	পরিশ্রমী,	পরিশ্রমী,	
sahoocorzo,	সহুকর্য,	সাহচর্য,	
sthaponagulo,	স্থাপনাগুলো,	স্থাপনাগুলো,	
nirbaahe,	নির্বাহে,	নির্বাহে,	
khambaa,	খ্ষমবা,	খাম্বা,	
eemeergeency,	এমার্জেন্সি,	এমার্জেন্সি,	
patthkromer,	পাঠ্রক্রের,	পাঠক্রমের,	
bocchon,	বচ্চন,	বচ্চন,	
beshirbhaageyi,	বেশিরভাগেই,	বেশিরভাগেই,	
angshogragon,	অংশগ্রাণ,	অংশগ্রহন,	
dwibidh,	দ্বিবিধ,	দ্বিবিধ,	
dologulo,	দলগুলো,	দলগুলো,	
saarbhare,	সারভারে,	সার্ভারে,	
samratra,	সমরাত্র,	সম্রাটরা,	
saabbir,	সাব্যির,	সাব্বির,	
soommo,	সুম্য,	সুমো,	
paschater,	পশ্চচাতের,	পশ্চাতের,	
dada,	ডাড,	দাদা,	
hyarikeena,	হ্যারিকেন,	হ্যারিকেন,	
santoshpur,	সন্ত্্পপুর,	সন্তোষপুর,	
ganoporibohon,	গণপরিিনন,	গণপরিবহন,	
damonmulok,	দাননুলক,	দমনমূলক,	
scifi,	স্ফিফি,	সাইফাই,	
manur,	মানুর,	মনুর,	
tenis,	টেনিস,	টেনিস,	
bandhubhabaponno,	বন্ধুবপাপন্ন,	বন্ধুভাবাপন্ন,	
onchalti,	অঞ্চলটি,	অঞ্চলটি,	
residance,	রেসিডেন্স,	রেসিডেন্স,	
cholo,	চলও,	চলো,	
nirmankaz,	নির্মাণকা,	নির্মাণকাজ,	
advoot,	আদভুত,	অদ্ভুত,	
liseensee,	লিসেন্স,	লাইসেন্স,	
niutrino,	নিউট্রিন,	নিউট্রিনো,	
bhorkendra,	ভরকেন্দ্র,	ভরকেন্দ্র,	
eukalyptus,	ইউকালিপ্টস,	ইউক্যালিপ্টাস,	
sylvi,	সিলভি,	সিলভি,	
koieri,	কোয়রি,	কোয়েরি,	
amanisha,	অমানিশ,	অমানিশা,	
sollallhu,	সল্লাল্থু,	সল্লাল্লাহু,	
hert,	হার্ট,	হার্ট,	
daacktickete,	ডাকটিক্তেত,	ডাকটিকিটে,	
boorana,	বুরান,	বোরন,	
chalai,	চালাই,	চালাবে,	
jeshtha,	জেষ্ঠ্য,	জ্যেষ্ঠা,	
sniper,	স্নিপের,	স্নাইপার,	
cheerkoot,	চিরকুট,	চিরকুট,	
jibjontu,	জিজন্তু,	জীবজন্তু,	
adhattikota,	আধাত্যিকতা,	আধ্যাত্মিকতা,	
rizur,	রিজুর,	রিজুর,	
chalochchitragulor,	চলচ্চিত্রগুলোর,	চলচ্চিত্রগুলোর,	
bhagna,	ভাগনা,	ভগ্ন,	
phirati,	ফিরতি,	ফিরতি,	
pratishhta,	প্রতিষ্ট,	প্রতিষ্টা,	
orbeet,	অর্বিত,	অরবিট,	
indro,	ইন্দ্র,	ইন্দ্র,	
hock,	হক,	হুক,	
mukhomaundoley,	মুখমান্ডলে,	মুখমণ্ডলে,	
eling,	এলিং,	ইলিং,	
rajon,	রজন,	রাজন,	
punch,	পাঞ্চ,	পুঞ্চ,	
prokar,	প্রকার,	প্রকার,	
sheekarer,	শিকারের,	শিকারের,	
mufti,	মুফতি,	মুফতি,	
teenisa,	টেনিস,	টেনিস,	
juktorashtrosaha,	যুক্তরাস্টর,	যুক্তরাষ্ট্রসহ,	
aziz,	আজিজ,	আজিজ,	
dhouto,	ধৌত,	ধৌত,	
manabmaner,	মানাবমেনের,	মানবমনের,	
aidin,	আইদিন,	এইদিন,	
sudrissho,	সুদৃশ্য,	সুদৃশ্য,	
sudden,	সুদ্দেন,	সাডেন,	
summi,	সামি,	সুমি,	
gobeshakgon,	গবেষকণ,	গবেষকগণ,	
bhalobase,	ভালবাসে,	ভালোবাসে,	
bedkey,	বেদকে,	বেদকে,	
plata,	প্লট,	প্লেটো,	
shodhon,	সোধন,	শোধন,	
pratiyogider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
licensedhari,	লিসেন্ডধারি,	লাইসেন্সধারী,	
marri,	মেরি,	ম্যারি,	
miley,	মিলে,	মিলে,	
mithener,	মিঠেনের,	মিথেনের,	
nischitrupe,	নিশ্চিত্রপূপে,	নিশ্চিতরূপে,	
elaakasoho,	এলাকসহ,	এলাকাসহ,	
srimati,	শ্রীমতি,	শ্রীমতি,	
bomkesh,	বমকেশ,	ব্যোমকেশ,	
shilpajata,	শিল্পজতা,	শিল্পজাত,	
shikhbey,	শিখবে,	শিখবে,	
arashie,	আরাশি,	আরসিএ,	
onchalgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
chalochchitreo,	চলচিত্রেও,	চলচ্চিত্রেও,	
gardeen,	গার্ডিন,	গার্ডেন,	
khagen,	খাজেন,	খগেন,	
beetloser,	বিটলসের,	বিটলসের,	
ganana,	গানা,	গননা,	
dhyanostho,	ধ্যানস্থ,	ধ্যানস্থ,	
bizito,	বিজিত,	বিজিত,	
shansthatir,	সংস্থাতির,	সংস্থাটির,	
daaoon,	ডাউন,	ডাউন,	
lagic,	ল্যাজিক,	লজিক,	
baarak,	ব্যারক,	বারাক,	
debug,	দেবুগ,	ডিবাগ,	
provuder,	প্রভূদের,	প্রভুদের,	
janosangjog,	জনসংযোগ,	জনসংযোগ,	
sanbadmadhyame,	সংবদাধধ্যমে,	সংবাদমাধ্যমে,	
jalarong,	জলার,	জলরঙ,	
sonaktokaran,	সনাক্তকরণ,	সনাক্তকরণ,	
mach,	মাচ,	মাছ,	
turkeyder,	তুর্কীদের,	তুর্কিদের,	
meghacchonno,	মেঘাচচ্ন,	মেঘাচ্ছন্ন,	
brindaboner,	ব্রিদ্বনের,	বৃন্দাবনের,	
heena,	হেনা,	হেনা,	
gore,	গরে,	গোর,	
somraatder,	সমরাতদের,	সম্রাটদের,	
amarica,	অ্যামারিকা,	আমেরিকা,	
abheedhaanick,	আভিধানিক,	অভিধানিক,	
bolovodro,	বলভোদ্র,	বলভদ্র,	
chalche,	চলছে,	চলছে,	
baarder,	বার্ডের,	বার্ডের,	
jonite,	যোনিতে,	যোনীতে,	
uchchotaro,	উচ্চতর,	উচ্চতর,	
sardar,	সর্দার,	সরদার,	
azaadir,	আজাদির,	আজাদীর,	
uporitale,	উপরিতালে,	উপরিতলে,	
nirgun,	নির্গুণ,	নির্গুণ,	
brander,	ব্র্যান্ডের,	ব্রান্ডের,	
jyoistho,	জ্যিষ্ঠ,	জ্যৈষ্ঠ,	
ewil,	এভিল,	ইভিল,	
prachin,	প্রাচীন,	প্রাচীন,	
nir,	নির,	নির,	
disney,	ডিজনে,	ডিজনী,	
societyke,	সোচিতিকে,	সোসাইটিকে,	
hoteltite,	হটেলটিতে,	হোটেলটিতে,	
gazee,	গাজী,	গেজ,	
swartha,	স্বর্থ্থ,	স্বার্থ,	
maarmader,	মার্মদের,	মারমাদের,	
lumbini,	লুম্বিনী,	লুম্বিনী,	
nesons,	নেশন্স,	নেশনস,	
telaakucha,	তেলাকুচ,	তেলাকুচা,	
shelim,	সেলিং,	সেলিম,	
ronangane,	রণাঙ্গনে,	রণাঙ্গনে,	
juktarashtrasaha,	যুক্তরাস্টস,	যুক্তরাষ্ট্রসহ,	
kemonay,	কেমনে,	কেমনে,	
zoonite,	যুনিতে,	যোনীতে,	
melborroner,	মেলবর্নের,	মেলবোর্নের,	
mukhamandaley,	মুখমন্ডলে,	মুখমণ্ডলে,	
skara,	স্কার,	স্কোর,	
kingdom,	কিংগম,	কিংডম,	
vooter,	ভুটের,	ভোটার,	
aamude,	আমুদে,	আমুদে,	
kanuner,	কাননের,	কানুনের,	
elakashaho,	এলাকসহ,	এলাকাসহ,	
kande,	কাঁদে,	কাণ্ডে,	
hoj,	হজ,	হয,	
siropar,	শিরপার,	শিরোপার,	
spreeadsheet,	স্প্রেড্ডিট,	স্প্রেডশীট,	
bohorompurer,	বহরমপুরের,	বহরমপুরের,	
ancholgoolote,	আঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
bidghute,	বিদঘুতে,	বিদঘুটে,	
ispredshit,	ইস্পের্ডিত,	স্প্রেডশীট,	
ebhara,	ইভার,	এভার,	
stationey,	স্টেশনে,	ষ্টেশনে,	
gheshei,	ঘেষেই,	ঘেঁষেই,	
sangasthatir,	সংস্থতির,	সংস্থাটির,	
janosamaj,	জনসমাজ,	জনসমাজ,	
notunatwa,	নতুনত্ব,	নতুনত্ব,	
nothibhuktir,	নথিভুক্তির,	নথিভুক্তির,	
biplabeer,	বিপ্লবীর,	বিপ্লবীর,	
ekpaase,	একপাশে,	একপাশে,	
sikhbe,	শিখবে,	শিখবে,	
kool,	কুল,	কুল,	
chhutee,	ছুটি,	ছুটি,	
pooloo,	পুলু,	পোলো,	
otitkaley,	অতীতকালে,	অতীতকালে,	
larson,	লারসন,	লারসন,	
koordira,	কুর্ডিরা,	কুর্দিরা,	
olimpiker,	অলিম্পিকের,	অলিম্পিকের,	
sommoteer,	সম্মতির,	সম্মতির,	
baarnis,	বার্নিস,	বার্নিশ,	
saazanor,	সাজানোর,	সাজানোর,	
mmesenjarer,	মিসেনজারের,	মেসেঞ্জারের,	
breakthrough,	ব্রেক্রাঘ,	ব্রেকথ্রু,	
kaansaater,	কানসাতের,	কানসাটের,	
phake,	ফকে,	ফাকে,	
parqs,	পার্কস,	পার্কস,	
gosthi,	গোষ্ঠি,	গোষ্ঠী,	
armstronz,	আর্মস্ট্র্জ,	আর্মস্ট্রং,	
shikhechi,	শিখেছি,	শিখেছি,	
gabeshonagar,	গবেষণাগার,	গবেষনাগার,	
turqmen,	টার্কমিন,	তুর্কমেন,	
vedanta,	ভেদন্ত,	বেদান্ত,	
meiler,	মেইলের,	মেইলের,	
byataree,	ব্যতারী,	ব্যাটারী,	
auxfordey,	অক্সফোর্ডে,	অক্সফোর্ডে,	
udvabaney,	উদ্ভবনে,	উদ্ভাবনে,	
drishyagulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
bachchan,	বাচ্চন,	বচ্চন,	
jerujalem,	জেরুজালেম,	জেরুজালেম,	
spashtatai,	স্পস্টট,	স্পষ্টতই,	
mookhomaundol,	মুখমন্ডল,	মুখমণ্ডল,	
ingrejraa,	ইংরেজরা,	ইংরেজরা,	
ghomtaa,	ঘমটা,	ঘোমটা,	
moshjidtir,	মসজিদ্ির,	মসজিদটির,	
yura,	ইউরা,	ইউরো,	
omanisha,	অমানিশ,	অমানিশা,	
milekhanek,	মিলেখনেক,	মাইলখানেক,	
rightsh,	রাইটস,	রাইটস,	
neelkamal,	নিল্কমম,	নীলকমল,	
bbs,	বিএসএস,	বিবিএস,	
associatis,	অ্যাসোকিয়েস,	এসোসিয়েটস,	
anano,	আনানো,	আনানো,	
mawdeel,	মাডেল,	মডেল,	
folokti,	ফলকটি,	ফলকটি,	
ancient,	এনযান্টেন্ট,	এনসিয়েন্ট,	
horipur,	হরিপুর,	হরিপুর,	
alaoler,	আলালের,	আলাওলের,	
carymb,	ক্যারিম্ব,	করিম,	
degreeo,	ডিগ্রিও,	ডিগ্রিও,	
grambaasio,	গ্রাম্বাসীও,	গ্রামবাসীও,	
nischay,	নিশ্চে,	নিশ্চয়,	
marryir,	মেরির,	ম্যারির,	
deeliveer,	ডিলিভির,	ডেলিভার,	
jalrang,	জলরাং,	জলরঙ,	
pirujalee,	পিরাজালি,	পিরুজালী,	
sarbopori,	সর্বোপরি,	সর্বোপরী,	
chesa,	চেইস,	চেস,	
projanankaal,	প্রজননকাল,	প্রজননকাল,	
brindaaboner,	ব্রিদ্বনানের,	বৃন্দাবনের,	
ruteener,	রুটিনের,	রুটিনের,	
eiling,	ইলিং,	ইলিং,	
karpet,	কারপেট,	কার্পেট,	
garur,	গাুর,	গরুর,	
himi,	হিমি,	হিমি,	
seo,	সিও,	সেও,	
anuchcheder,	অনুচ্ছেদের,	অনুচ্ছেদের,	
cuti,	কুটি,	কিউটি,	
pragreesa,	প্রগ্রেস,	প্রগ্রেস,	
chalke,	চলকে,	চালকে,	
mohajot,	মহাজত,	মহাজোট,	
shuter,	শুটের,	শ্যুটার,	
atitkale,	আতীতকালে,	অতীতকালে,	
vortuki,	ভর্তুকি,	ভর্তুকি,	
transformerer,	ট্রান্সফার্মের,	ট্রান্সফরমারের,	
obheegomon,	অভিগমন,	অভিগমন,	
seector,	সিক্টর,	সেক্টর,	
crescenter,	ক্রিসেন্টের,	ক্রিসেন্টের,	
cheerota,	চিরতা,	চিরতা,	
prokolpow,	প্রকল্পও,	প্রকল্পও,	
garnaar,	গার্নার,	গার্নার,	
dakop,	ডাকপ,	দাকোপ,	
athar,	আঠার,	আতহার,	
gatibege,	গাতিবেগে,	গতিবেগে,	
gasthigulo,	গ্ষ্ঠিগুলো,	গোষ্ঠীগুলো,	
mojlishpur,	মজজলিপপুর,	মজলিশপুর,	
bolechile,	বলেছিলে,	বলেছিলে,	
maley,	মালে,	মালে,	
jati,	জাতি,	যাতি,	
breakthraugh,	ব্রেক্রাঘ,	ব্রেকথ্রু,	
grameryi,	গ্রামেরই,	গ্রামেরই,	
title,	টিটলে,	টাইটেল,	
maase,	মাসে,	মাসে,	
prottokkhovabe,	প্রত্যো্্যভাবে,	প্রত্যক্ষভাবে,	
vittiei,	ভিটিই,	ভিত্তিই,	
temon,	টেমন,	তেমন,	
nothibhukteer,	নথিভুক্তির,	নথিভুক্তির,	
bonnypran,	বনিযপ্রাণ,	বন্যপ্রাণ,	
koda,	কোড,	কোড,	
abhidhanic,	আভিধানিক,	অভিধানিক,	
pakhirai,	পাখিরাই,	পাখিরাই,	
dibaag,	দিবাগ,	ডিবাগ,	
playto,	প্লেট,	প্লেটো,	
loha,	লোহা,	লোহা,	
ruvbla,	রাববাল,	রুবল,	
besirbhaagi,	বেশিরভাগই,	বেশিরভাগই,	
melbourner,	মেলবার্নের,	মেলবোর্নের,	
scholarship,	স্কলারশিপ,	স্কলারশিপ,	
nopdnodir,	নদ্নদির,	নদনদীর,	
granthe,	গ্রন্থে,	গ্রন্থে,	
qeyboard,	কিবোর্ড,	কীবোর্ড,	
creedit,	ক্রিডিত,	ক্রেডিট,	
orrgho,	অর্ঘ,	অর্ঘ্য,	
sanaktakaroner,	সনাক্তকরণের,	সনাক্তকরণের,	
tennys,	টেনিস,	টেনিস,	
monjushri,	মন্যুস্রী,	মঞ্জুশ্রী,	
dazjo,	দজ্য,	দাহ্য,	
thaakeni,	থাকেনি,	থাকেনি,	
elaakaasoho,	এলাকাসহ,	এলাকাসহ,	
bhabaaponno,	ভবাপান্ন,	ভাবাপন্ন,	
prajanankal,	প্রজননকাল,	প্রজননকাল,	
ingrezeeteo,	ইংরেজিতেও,	ইংরেজিতেও,	
gabeshonar,	গবেষণার,	গবেষনার,	
bosoben,	বসবেন,	বসবেন,	
pratijogitamulak,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
shootar,	শূতার,	শ্যুটার,	
treend,	ট্রিন্ড,	ট্রেন্ড,	
nagarikderkey,	নাগরিকরকে,	নাগরিকদেরকে,	
duburyra,	দুবুরিরা,	ডুবুরিরা,	
aajeej,	আজিজ,	আজিজ,	
durgatsob,	দুর্গতশব,	দুর্গোৎসব,	
akmato,	একমত,	একমত,	
umedpoor,	উমেদপুর,	উমেদপুর,	
shulke,	শুলকে,	শুল্কে,	
totokkhon,	ততক্ষণ,	ততক্ষন,	
