sahosikotar,	সহসিকতার,	সাহসিকতার,	
votarer,	ভোটারের,	ভোটারের,	
landin,	লাযান্ডিন,	ল্যান্ডিং,	
eukalyptush,	ইউকিউপুক্ট,	ইউক্যালিপ্টাস,	
ansarir,	অনসরীর,	আনসারীর,	
sosar,	সসার,	সকার,	
bishashke,	বিশাসকে,	বিশ্বাসকে,	
vagni,	ভাগনি,	ভগ্নী,	
jyotsna,	জ্যা্তান,	জ্যোৎস্না,	
qota,	কোট,	কোটা,	
chasee,	চাসী,	চেস,	
jwar,	জ্বর,	জ্বর,	
amarica,	অমারিকা,	আমেরিকা,	
edipass,	এডিপশ,	ইডিপাস,	
jilyanda,	জিল্যন্দ,	জিল্যান্ড,	
phimel,	ফাইমেল,	ফিমেল,	
konagoolo,	কোনগুলো,	কণাগুলো,	
tafsir,	টাসসির,	তাফসীর,	
niropekkhotaar,	নিরপ্কতার,	নিরপেক্ষতার,	
traytey,	ট্রেইটে,	ট্রেতে,	
komtee,	কমতি,	কমতি,	
upobaasee,	উপবাসী,	উপবাসী,	
boney,	বনে,	বনে,	
goonoman,	গুমান,	গুণমান,	
majlishpur,	মাজলিপুর,	মজলিশপুর,	
badana,	বাদন,	বদনা,	
koyari,	কোয়ারি,	কোয়েরি,	
prosadhoner,	প্রশাধনের,	প্রসাধনের,	
sarbhaarti,	সর্ভারটি,	সার্ভারটি,	
azaadeer,	আজাদীর,	আজাদীর,	
torunra,	তরুণর,	তরুণরা,	
soores,	সুরেশ,	সুরেশ,	
lutheeran,	লুঠিন,	লুথেরান,	
sampadoner,	সম্পনদের,	সম্পাদনের,	
aashirbad,	আশির্বাদ,	আশির্বাদ,	
myathiou,	ম্যাথিও,	ম্যাথিউ,	
gotihin,	গতিহিন,	গতিহীন,	
satjon,	সাটন,	সাতজন,	
ajeeboner,	আজিবনের,	আজীবনের,	
sorajur,	সরাজুর,	সরযূর,	
saida,	সাইড,	সাইদা,	
pratijogi,	প্রতিযোগী,	প্রতিযোগী,	
nischay,	নিশ্যে,	নিশ্চয়,	
kaalki,	কালকি,	কালকি,	
dilam,	ডিলাম,	দিলাম,	
notikotar,	নতিকতার,	নৈতিকতার,	
bidrohiderkey,	বিদর্দীরীকে,	বিদ্রোহীদেরকে,	
chaiti,	চাইটি,	চৈতি,	
anchalke,	অঞ্চলকে,	অঞ্চলকে,	
projanankal,	প্রজননকাল,	প্রজননকাল,	
phakay,	ফাকে,	ফাকে,	
ivam,	ইভাম,	ইভিএম,	
baffer,	বাফের,	বাফার,	
serverer,	সার্ভারের,	সার্ভারের,	
lajiker,	লাজিকের,	লজিকের,	
bhowanipur,	ভবনিপুর,	ভবানীপুর,	
shilabhara,	সিলভার,	সিলভার,	
gripe,	গ্রীপে,	গ্রিপ,	
choudhoorider,	চৌধুদীরের,	চৌধুরীদের,	
carloos,	কার্লস,	কার্লোস,	
durotamo,	দুরতম,	দূরতম,	
akshoti,	অকশটি,	একশোটি,	
karima,	করিমা,	করিম,	
swajan,	স্যাজন,	স্বজন,	
asaborno,	অসবর্ণ,	অসবর্ণ,	
porishkaran,	পরিষ্কারণ,	পরিষ্করণ,	
noitikata,	নৈতিকাত,	নৈতিকতা,	
torkarir,	তরকারীর,	তরকারীর,	
falok,	ফাক,	ফলক,	
pirujali,	পিরুজালী,	পিরুজালী,	
charjara,	চারযারা,	চার্জার,	
ovishongshon,	অভিশংসন,	অভিশংসন,	
uindos,	উন্ডিস,	উইন্ডোস,	
elakaasoho,	এলাকাসহ,	এলাকাসহ,	
aaminar,	আমিনার,	আমিনার,	
juddhahato,	যুদ্ধাহত,	যুদ্ধাহত,	
conservetion,	কনসরেশেশন,	কনসারভেশন,	
potchitra,	পাটচিত্র,	পটচিত্র,	
zojyota,	যোজ্যতা,	যোজ্যতা,	
kormopontha,	কর্মপন্থা,	কর্মপন্থা,	
chaanu,	চানু,	চানু,	
jerusaleme,	জেরোসামেে,	জেরুসালেমে,	
anchalgulir,	অঞ্চলুলির,	অঞ্চলগুলির,	
monur,	মনুর,	মনুর,	
joistha,	যোবস্থা,	জ্যৈষ্ঠ,	
muhammadi,	মুহামমাদী,	মুহাম্মদী,	
janamukhi,	জনমুখি,	জনমুখী,	
mmehonoti,	মেহনতি,	মেহনতি,	
ajeejer,	অজিজের,	আজিজের,	
rob,	রো,	রব,	
muchir,	মুচির,	মুচির,	
amantrita,	অমান্ত্রি,	আমন্ত্রিত,	
arashie,	আরাশী,	আরসিএ,	
madhobi,	মাধবী,	মাধবীর,	
prokolpogulor,	প্রকোলপোগুর,	প্রকল্পগুলোর,	
hazat,	হাজাত,	হজত,	
scoree,	স্কোরি,	স্কোরে,	
charrjer,	চার্যের,	চার্জের,	
kande,	কাঁদে,	কাণ্ডে,	
soomitrar,	সুমিত্রার,	সুমিত্রার,	
gardeen,	গার্ডিন,	গার্ডেন,	
proteesthasoho,	প্রতিস্থাসহ,	প্রতিষ্ঠাসহ,	
zuktorastreo,	যুক্রোস্রেত্যে,	যুক্তরাষ্ট্রেও,	
asamarik,	অসামরিক,	অসামরিক,	
qraima,	ক্রেয়াম,	ক্রাইম,	
bishnuke,	বিষ্ণুকে,	বিষ্ণুকে,	
iyanqi,	ইয়ান্কি,	ইয়াংকি,	
dokkhinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
taat,	তাত,	তাত,	
totokshon,	তৎকরন,	ততক্ষন,	
sikhechi,	শিখেছি,	শিখেছি,	
daltagi,	ডালতগি,	দলত্যাগী,	
kaferderke,	কারারেকরে,	কাফেরদেরকে,	
trend,	ট্রেন্ড,	ট্রেন্ড,	
tukroke,	তুকর্কে,	টুকরোকে,	
fud,	ফুড,	ফুড,	
madhukori,	মাধুরী,	মাধুকরী,	
bhagna,	ভগ্ন,	ভগ্ন,	
amor,	অমর,	আমর,	
economics,	একোনেইিক,	ইকোনমিকস,	
palbongser,	পালবানশের,	পালবংশের,	
noitikatavodh,	নৈতিকভতা,	নৈতিকতাবোধ,	
zubokshoho,	যুবকস্থ,	যুবকসহ,	
shaatjon,	স্যাটন,	সাতজন,	
karka,	কার্ক,	কার্ক,	
konorup,	কনোরুপ,	কোনরূপ,	
ovishangsan,	অভিশাংশন,	অভিশংসন,	
bashoborty,	বাসবর্তী,	বশবর্তী,	
chirantan,	চিরন্নন,	চিরন্তন,	
teresa,	টেরেস,	টেরেসা,	
militaryr,	মিলিটির,	মিলিটারির,	
shayatana,	সাযানন,	শয়তান,	
babyloney,	ব্যাললেন,	ব্যাবিলনে,	
cholochchitrer,	চলচ্ছিতের,	চলচ্চিত্রের,	
bandhutwo,	বন্ধুত্ব,	বন্ধুত্ত্ব,	
dhaleshorii,	ধলেেশরি,	ধলেশ্বরী,	
directorete,	ডির্কেটরেটে,	ডিরেক্টরেট,	
daja,	দাজা,	ডোজো,	
erina,	এরিন,	এরিনা,	
konflikt,	কনফলিক্ট,	কনফ্লিক্ট,	
sombhobonaow,	সম্ভবনযো,	সম্ভবনাও,	
gazipore,	গাজিপরে,	গাজিপুর,	
folo,	ফলো,	পোলো,	
khele,	খেলে,	খেলে,	
ja,	জা,	জ্যা,	
shansthagulo,	সাস্থ্যগুলো,	সংস্থাগুলো,	
jaanachhe,	জানাচে,	জানাচ্ছে,	
modelder,	মদেল্ডের,	মডেলদের,	
foksher,	ফক্ষের,	ফক্সের,	
sibraj,	শিবরাজ,	শিবরাজ,	
futonta,	ফুটন্ট,	ফুটন্ত,	
onnyorup,	অন্যরপপ,	অন্যরূপ,	
upostheetir,	উপস্থিতির,	উপস্থিতির,	
dhani,	ধ্নই,	ধানি,	
akkhar,	অক্ষার,	অক্ষর,	
madol,	মাদল,	মাদল,	
nathibhukta,	নথিযুক্ত,	নথিভুক্ত,	
jahns,	জানস,	জন্স,	
sangharshik,	সংঘর্ষিক,	সাংঘর্ষিক,	
jomkalo,	জমকলা,	জমকালো,	
imirgincy,	এমিরিজিস,	এমার্জেন্সি,	
chhed,	ছেড,	ছেদ,	
ongkush,	অংশকু,	অংকুশ,	
basinay,	বাসিনে,	বেসিনে,	
koyeri,	কোয়রি,	কোয়েরি,	
falkser,	ফালসের,	ফক্সের,	
highcommissioney,	হিহোমিমেনে,	হাইকমিশনে,	
ivaner,	ইভানের,	ইভানের,	
antorbhukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
armstronj,	আর্সপ্র্জ্ন,	আর্মস্ট্রং,	
chalachchitra,	চলচিচ্ছ্র,	চলচ্চিত্র,	
duckten,	ডাক্েন,	ডাকতেন,	
hossain,	হোসিন,	হোসেইন,	
dunkan,	ডুনকন,	ডানকান,	
tap,	টাপ,	ট্যাপ,	
jonoikaa,	জনিকা,	জনৈকা,	
jyesttha,	জ্যাস্থ,	জ্যেষ্ঠা,	
baju,	বাজু,	বাজু,	
modelgulo,	মদেলগুলো,	মডেলগুলো,	
chess,	চেস,	চেস,	
ghumato,	ঘুমাত,	ঘুমাতো,	
lakkhero,	লক্ষেরও,	লক্ষেরও,	
hitakar,	হিতকার,	হিতকর,	
haluder,	হাজুদের,	হলুদের,	
asovya,	অসোব্য,	অসভ্য,	
ejenda,	এজেন্ড,	এজেন্ডা,	
jathaarthobhaabe,	যাথর্থভাবে,	যথার্থভাবে,	
bbonyopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
palestinea,	পালসসিটেই,	প্যালেস্টাইনে,	
shommotite,	সম্মতিতে,	সম্মতিতে,	
meetropalitana,	মিত্রোপাইনা,	মেট্রোপলিটন,	
saseza,	সাসেজ,	সসেজ,	
masjidti,	মাজসিদি,	মসজিদটি,	
zeans,	জিন্স,	জিন্স,	
progreess,	প্রোগ্রিস,	প্রগ্রেস,	
gaaddaafee,	গাদাাফি,	গাদ্দাফী,	
dipgulo,	দিপুগুলো,	দ্বীপগুলো,	
satarkabhabe,	সাতার্ভাবে,	সতর্কভাবে,	
songkulan,	সংকুলান,	সংকুলান,	
masjidtir,	মাজসিদির,	মসজিদটির,	
onektai,	অনেক্টেই,	অনেকটাই,	
probhritike,	প্রভরৃতিকে,	প্রভৃতিকে,	
monchostho,	মন্সস্থ,	মঞ্চস্থ,	
ghotlo,	ঘটট,	ঘটল,	
nikoter,	নিকোতের,	নিকটের,	
firti,	ফার্টি,	ফিরতি,	
khelafotey,	খেলাতে,	খেলাফতে,	
duckticket,	ডাক্টিকেক,	ডাকটিকিট,	
ashocheton,	অসোচেটন,	অসচেতন,	
anchaltitey,	অঞ্চলতিতে,	অঞ্চলটিতে,	
potchitro,	পাটচিত্র,	পটচিত্র,	
biswashe,	বিশ্বাসে,	বিশ্বাসে,	
daankan,	ডাঙ্কন,	ডানকান,	
kor,	কোর,	কর,	
rajballabh,	রাজলবলভ,	রাজবল্লভ,	
bbiswash,	বিশ্বাস,	বিশ্বাস,	
chalochchitra,	চলচ্ছিত্র,	চলচ্চিত্র,	
aazan,	আজন,	আজান,	
ketechilo,	কেটেছিল,	কেটেছিল,	
baysharkarikarone,	বাসরকররণকারী,	বেসরকারিকরণ,	
dokaan,	ডোকান,	দোকান,	
abdun,	আবদদুন,	আবদুন,	
dinesh,	ডিনেস,	দীনেশ,	
samratra,	সমরত্রা,	সম্রাটরা,	
dupleex,	ডাউপ্লেস্,	ডুপ্লে,	
shuchonakal,	শূন্চকাল,	সূচনাকাল,	
nathivukteer,	নথিযুক্তির,	নথিভুক্তির,	
moshan,	মোনান,	মোশন,	
helly,	হেলি,	হিলি,	
break,	ব্রিক,	ব্রেক,	
otyachari,	অত্যাচারি,	অত্যাচারী,	
laboni,	লবনী,	লাবনী,	
uponisoder,	উপনিসদের,	উপনিষদের,	
zansa,	জানস,	জন্স,	
tottorat,	তত্তর্ট,	তওরাত,	
beeswasoo,	বিশ্বাসও,	বিশ্বাসও,	
timoothi,	টিমুথি,	টিমোথি,	
udvabone,	উদ্ভবনে,	উদ্ভাবনে,	
chorbon,	চর্বন,	চর্বন,	
palbangsher,	পালবাশের,	পালবংশের,	
gafiloti,	গ্যালিপিত,	গাফিলতি,	
goshthiti,	গষ্ঠিতি,	গোষ্ঠীটি,	
marketim,	মার্কেটিং,	মার্কেটিং,	
victar,	ভিক্টর,	ভিক্টর,	
naaji,	নাজি,	নাত্সি,	
roy,	রো,	রায়,	
noiteek,	নৈতিক,	নৈতিক,	
gosti,	গষ্টি,	গোষ্ঠী,	
dhaloor,	ঢালুর,	ঢালুর,	
conserwation,	কনসরেশন,	কনসারভেশন,	
soceitytey,	স্যাকিতেই,	সোসাইটিতে,	
poripakey,	পরিপকে,	পরিপাকে,	
shima,	সিমা,	সীমা,	
strigon,	স্ত্রীগন,	স্ত্রীগণ,	
azizer,	আজিজের,	আজিজের,	
aamor,	আমর,	আমর,	
agom,	অগম,	আগম,	
phaksha,	ফক্স,	ফক্স,	
bondiike,	বন্দীকে,	বন্দীকে,	
skolaroship,	স্কলরাশিপ,	স্কলারশিপ,	
nadnadir,	নদ্নীদর,	নদনদীর,	
grambashi,	গ্রামাবাসী,	গ্রামবাসী,	
loukeek,	লৌকিক,	লৌকিক,	
bbiswashi,	বিশ্বাসী,	বিশ্বাসই,	
neker,	নেকের,	নেকের,	
hajareebag,	জাজারিজা,	হাজারিবাগ,	
timathy,	টিমাথি,	টিমোথি,	
zyakasana,	জ্যাকাসন,	জ্যাকসন,	
shilver,	সিলভের,	সিলভার,	
rayyalati,	রেজললটি,	রয়্যালটি,	
uponeeshoder,	উপনিশেদের,	উপনিষদের,	
gonosakkhorota,	গনশস্কতরর,	গণসাক্ষরতা,	
abdi,	আবদি,	অব্দি,	
shreeshree,	শ্রীষ্রী,	শ্রীশ্রী,	
footballerra,	ফুটবালার,	ফুটবলাররা,	
hijriite,	হিজরিতে,	হিজরীতে,	
elaakasoho,	এলাকাসহ,	এলাকাসহ,	
vaibon,	ভাবন,	ভাইবোন,	
monoputo,	মনোপুত,	মনঃপুত,	
ajeempoor,	অমিিপুর,	আজিমপুর,	
volte,	ভল্টে,	ভল্ট,	
cilahaati,	সিলাাতি,	চিলাহাটি,	
daloo,	দালো,	ডালু,	
ghurechen,	ঘুরেছেন,	ঘুরেছেন,	
lohaar,	লোহার,	লোহার,	
miley,	মিলে,	মাইলি,	
osontos,	অসন্তাস,	অসন্তোষ,	
teempaleeta,	টিমমাল্ট,	টেম্পলেট,	
prothar,	প্রথার,	প্রথার,	
manushtikey,	মানুষ্টিকে,	মানুষটিকে,	
noitikotabodh,	নৈতিকোতাব,	নৈতিকতাবোধ,	
mailkhanek,	মাইলনকেষক,	মাইলখানেক,	
rabeta,	রবেে,	রাবেতা,	
societykey,	স্যাকিটিকে,	সোসাইটিকে,	
abasane,	অবসানে,	অবসানে,	
tochnochh,	টচননচ,	তছনছ,	
shorifer,	শরীফের,	শরিফের,	
basaalt,	বাসাল্ট,	ব্যাসল্ট,	
attorkite,	অ্যাতর্তিকে,	অতর্কিতে,	
daaktikite,	দাক্িিকেতে,	ডাকটিকিটে,	
panctaar,	পাঁকটার,	পাঁচটার,	
dharabahiktir,	ধারাবাহিতির,	ধারাবাহিকটির,	
sooya,	সোয়া,	সোয়া,	
rupantarer,	রূপান্তের,	রুপান্তরের,	
juktorastroshoho,	যুদ্রসাস্রসসত,	যুক্তরাষ্ট্রসহ,	
sobrakamer,	সব্রামকের,	সবরকমের,	
sangosthagulo,	সংস্থগগুলো,	সংস্থাগুলো,	
bhortuky,	ভর্তুকি,	ভর্তুকি,	
madhabike,	মাধাবীকে,	মাধবীকে,	
kaaferderke,	কারারেকের,	কাফেরদেরকে,	
ovishangson,	অভিশংসন,	অভিশংসন,	
wenom,	ভেন,	ভেনম,	
bbosontoke,	বসন্তকে,	বসন্তকে,	
serverti,	সার্ভারটি,	সার্ভারটি,	
jerushalema,	জেরুফাে,	জেরুসালেম,	
orthanitike,	অর্থনিতিকে,	অর্থনীতিকে,	
podarthobid,	পদার্থবিদ,	পদার্থবিদ,	
harisher,	হারিসের,	হ্যারিসের,	
zeeland,	জিলান্ড,	জিল্যান্ড,	
netherlander,	নেটওয়ার্ন্ডের,	নেদারল্যান্ডের,	
kruser,	ক্রুসের,	ক্রুশের,	
dazjo,	দাজ্য,	দাহ্য,	
ssikkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
bisnuu,	বিষ্ণু,	বিষ্ণু,	
veda,	ভেদা,	বেদ,	
pratisthasoho,	প্রতিস্থাসহ,	প্রতিষ্ঠাসহ,	
soinyosaho,	সৈন্যসহহ,	সৈন্যসহ,	
bostubad,	বস্তুবাদ,	বস্তুবাদ,	
bagey,	বাগে,	বাগে,	
poster,	পষ্টের,	পোস্টের,	
pudim,	পুডিং,	পুডিং,	
sikkhartheerao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
bbiswashi,	বিশ্বাসী,	বিশ্বাসী,	
abheedhaaneek,	অভিযোধিক,	অভিধানিক,	
fastara,	ফাস্টার,	ফস্টার,	
aanaan,	আনান,	আনান,	
tetela,	টেটেল,	টাইটেল,	
hijrii,	হিজরী,	হিজরী,	
poorohitra,	পুরুহিত্র,	পুরোহিতরা,	
bhimsen,	ভিমেন,	ভীমসেন,	
orthanitite,	অর্থনিতিতে,	অর্থনীতিতে,	
obheegomon,	অভিগোমন,	অভিগমন,	
doover,	ডুভের,	ডোভার,	
edaning,	এডানিং,	ইদানিং,	
uzbekistaner,	উজবিক্ষানেতের,	উজবেকিস্তানের,	
saarbharti,	সার্ভর্টি,	সার্ভারটি,	
pleena,	প্লেয়ন,	প্লেন,	
konan,	কোনন,	কোনান,	
modeley,	মদেলে,	মডেলে,	
byapoktor,	ব্যাপক্তর,	ব্যাপকতর,	
falashrutiti,	ফাজার্তিতি,	ফলশ্রুতি,	
sakkhatkarer,	সাক্ষতাকের,	সাক্ষাৎকারের,	
si,	সি,	এসআই,	
milekhanek,	মিলেক্ষণে,	মাইলখানেক,	
spashtatai,	স্ষাপ্টটিই,	স্পষ্টতই,	
churger,	চুর্গের,	চার্জের,	
poddhotitei,	পদ্ধতিতে,	পদ্ধতিতেই,	
chatoke,	চাতকে,	ছাতকে,	
temas,	টেমাস,	টাইমস্,	
lesens,	লেসেন্স,	লাইসেন্স,	
jahora,	জারা,	যাহরা,	
fanda,	ফাঁদা,	ফান্ড,	
lazika,	লাজিকা,	লজিক,	
bordhitangso,	বর্ধিতংস,	বর্ধিতাংশ,	
beshirbhaagei,	বেশরিভাগে,	বেশিরভাগেই,	
laiseensa,	লাইসেন্স,	লাইসেন্স,	
bachai,	বাঁচই,	বাছাই,	
angurer,	অঙুগের,	আঙ্গুরের,	
mukhbondho,	মূখনবধ্ধ,	মুখবন্ধ,	
decke,	ডেকে,	ডেকে,	
modelin,	মডিলিন,	মডেলিং,	
iash,	এসএ,	আইএএস,	
bandhano,	বন্ধনু,	বাঁধানো,	
zinsa,	জিনসা,	জিন্স,	
abosan,	অবসন,	অবসান,	
itostata,	ইতসসততা,	ইতস্তত,	
pracharanamulak,	প্রচারণালালক,	প্রচারণামূলক,	
ghaghat,	ঘঘঘট,	ঘাঘট,	
nilabha,	নিলভা,	নীলাভ,	
natsi,	নাটসি,	নাত্সি,	
chhilonaa,	ছিলানা,	ছিলনা,	
tuneta,	টুনেট,	টুনাইট,	
duplee,	ডুপ্লি,	ডুপ্লে,	
bossoben,	বসবেন,	বসবেন,	
enginiirs,	এনিগিনির্স,	ইঞ্জিনিয়ার্স,	
ducktickete,	ডাক্িকেটে,	ডাকটিকিটে,	
uul,	উউল,	উল,	
dormetori,	ডরমেটরি,	ডরমিটরি,	
korimpur,	করিমপুর,	করিমপুর,	
alkatra,	আলোক্্র,	আলকাতরা,	
bharatey,	ভারতে,	ভারতে,	
baikalyo,	বৈকল্য,	বৈকল্য,	
phooloo,	ফুলো,	পোলো,	
krom,	ক্রোম,	ক্রম,	
uposhthitir,	উপস্থিতির,	উপস্থিতির,	
jor,	জোর,	জ্বর,	
estoonia,	এস্যোনিও,	এস্তোনিয়া,	
ronodeep,	রনদীপ,	রণদীপ,	
garmanyteo,	গার্মানেত,	জার্মানিতেও,	
woter,	ওয়াটার,	ভোটার,	
songkoloner,	সংকলনের,	সংকলনের,	
natneekey,	নানটিকে,	নাতনীকে,	
pchok,	প্ছক,	পাচক,	
shho,	শু,	শো,	
hantte,	হাঁতে,	হাঁটতে,	
dara,	দারা,	দারা,	
bagda,	বা্জা,	বাগদা,	
talaa,	তালা,	তালা,	
paab,	পাব,	পাব,	
drishyoke,	দৃশ্যকে,	দৃশ্যকে,	
tochhnoch,	তচনছু,	তছনছ,	
tarkarir,	তরকারীর,	তরকারীর,	
chirkut,	চিরকু,	চিরকুট,	
sulfatee,	সুলফাই,	সালফেট,	
awrbit,	অর্বিত,	অরবিট,	
drishi,	দৃরি,	দৃশ্যই,	
halloin,	হালিয়নন,	হ্যালোইন,	
baaraakpur,	বারাকুপর,	বারাকপুর,	
vandar,	ভান্ডার,	ভাণ্ডার,	
kandy,	কায়ন্ডি,	ক্যান্ডি,	
chaiten,	চাইতেন,	চাইতেন,	
hizriite,	হিজরিতে,	হিজরীতে,	
nirbachokder,	নির্বাচকদের,	নির্বাচকদের,	
bisheshyo,	বিশেষ্,	বিশেষ্য,	
chinto,	চিন্ত,	চিনতো,	
monzooshree,	মনোগ্সীর,	মঞ্জুশ্রী,	
saya,	সায়া,	সোয়া,	
gronther,	গ্রন্থের,	গ্রন্থের,	
saseeja,	সাসীজা,	সসেজ,	
kormoi,	কর্মই,	কর্মই,	
bi,	বি,	বি,	
licensin,	লিকেন্সিন,	লাইসেন্সিং,	
potocheetrer,	পথচিত্রের,	পটচিত্রের,	
aamontrito,	আমন্ত্রিত,	আমন্ত্রিত,	
location,	লোকেশন,	লোকেশন,	
wrighter,	রিঘটের,	রাইটের,	
koieri,	কৈয়রি,	কোয়েরি,	
rupart,	রূপার্ট,	রুপার্ট,	
saahocorrze,	সাহাচর্যে,	সাহচর্যে,	
rudrer,	রুদ্রের,	রুদ্রের,	
elaakaatike,	এলাকাতিকে,	এলাকাটিকে,	
khelaphate,	খেলাটে,	খেলাফতে,	
modelke,	মডেলকে,	মডেলকে,	
sikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
phund,	ফাউন্ড,	ফান্ড,	
suraarop,	সুরারপ,	সুরারোপ,	
shaddhii,	শা্ধী,	সাধ্বী,	
sheekarder,	শিকারদের,	শিকারদের,	
baasaa,	বাসা,	বাসা,	
durgotshob,	দুরদঘ্্ব,	দুর্গোৎসব,	
norfolq,	নরর্লক,	নরফোক,	
shhipa,	সিপ,	শিপ,	
gaddafee,	গদ্াাই,	গাদ্দাফী,	
rooby,	রুবি,	রুবি,	
janapoth,	জনপথ,	জনপথ,	
nikot,	নিকোত,	নিকট,	
silver,	সিলভের,	সিলভার,	
shikarer,	শিকের,	শিকারের,	
bodhirota,	বধিরতা,	বধিরতা,	
pathkramer,	পাঠকমের,	পাঠক্রমের,	
drishyogulote,	দৃশ্যুগুতে,	দৃশ্যগুলোতে,	
chalochchitreo,	চলচ্ছিত্র,	চলচ্চিত্রেও,	
gorur,	গরুর,	গরুর,	
uthane,	উঠানে,	উঠানে,	
batikromi,	ব্যাতির্মী,	ব্যতিক্রমী,	
chalesi,	চলেসি,	চলেছি,	
madhobir,	মাধবীর,	মাধবীর,	
chutochuti,	চুচটুটি,	ছুটোছুটি,	
baharamporer,	বহরাপররের,	বহরমপুরের,	
machhder,	মাছদের,	মাছদের,	
grambaaseer,	গ্রামাবাসীর,	গ্রামবাসীর,	
unit,	উনিত,	ইউনিট,	
maroofer,	মারুফের,	মারুফের,	
vorkendra,	রোণেক্র্র্র,	ভরকেন্দ্র,	
baireo,	বারেও,	বাইরেও,	
rajatta,	রাজত্ব,	রাজত্ব,	
nutunotto,	নূতনত্ব,	নতুনত্ব,	
bojhe,	বোঝে,	বোঝে,	
jack,	জাক,	জ্যাক,	
foreex,	ফরিক্স,	ফরেক্স,	
priimoo,	প্রুমো,	প্রিমো,	
itostato,	ইতসস্ট,	ইতস্ততঃ,	
nirmaankaj,	নির্মাজনক,	নির্মাণকাজ,	
rupantorer,	রূপান্তরের,	রুপান্তরের,	
ingrejder,	ইংর্জদেের,	ইংরেজদের,	
enjineers,	এনজিনার্স,	ইঞ্জিনিয়ার্স,	
antarctica,	অন্টার্কিক,	অ্যান্টার্কটিকার,	
jackson,	জাকসন,	জ্যাকসন,	
nojoder,	নজদের,	নজদের,	
chaalta,	চালতা,	চালতা,	
dosha,	দোস,	দোসা,	
durgo,	দুর্গ,	দুর্গ,	
bagichar,	বাগিচার,	বাগিচার,	
boudhher,	বৌদ্ধের,	বৌদ্ধের,	
karore,	কররে,	কারোর,	
nazi,	নাজি,	নাত্সি,	
noter,	নেটর,	নোটের,	
harza,	হার্জ,	হার্জ,	
prakalpoti,	প্রকালপিতি,	প্রকল্পটি,	
mulbhitti,	মুলগিতি,	মূলভিত্তি,	
gandhiike,	গানধিকে,	গান্ধীকে,	
mosjidsoho,	মস্বিহহ,	মসজিদসহ,	
janasangyog,	জনসঙ্গ্য,	জনসংযোগ,	
bongraam,	বংগরম,	বনগ্রাম,	
vumir,	ভূমির,	ভূমির,	
grantha,	গ্রন্থা,	গ্রন্থ,	
musalmanke,	মুসামম্নকে,	মুসলমানকে,	
oitijjho,	ঐতিয্য,	ঐতিহ্য,	
mb,	মে,	এমবি,	
khali,	খালি,	খালি,	
banijyikbhittik,	বানিজ্যিকিতিক্তিক,	বাণিজ্যিকভিত্তিতে,	
foshter,	ফস্টের,	ফস্টার,	
karam,	কররাম,	কেরাম,	
avijojan,	অভিযোজন,	অভিযোজন,	
larshon,	লারসন,	লারসন,	
makhmale,	মাখালে,	মখমলে,	
bhagno,	ভগ্ন,	ভগ্ন,	
prokalpati,	প্রকল্পাতি,	প্রকল্পটি,	
bojhao,	বোঝাও,	বোঝাও,	
nirbachoker,	নির্বাচকের,	নির্বাচকের,	
dito,	দিতো,	দিতো,	
nodiigulir,	নদিগুলির,	নদীগুলির,	
elaakaasoho,	এলাকাসহ,	এলাকাসহ,	
azaan,	অজান,	আজান,	
parikshateo,	পরিক্ষাতে,	পরীক্ষাতেও,	
kulim,	কুলিং,	কুলিং,	
parshe,	পার্সে,	পার্শ্বে,	
markeeting,	মার্কেইটিং,	মার্কেটিং,	
heze,	হেজে,	হেজ,	
rothin,	রথিন,	রথীন,	
agora,	অগরা,	আগোরা,	
cs,	কেস,	সিএস,	
neshanasa,	নেশানাস,	নেশনস,	
braqe,	ব্রাকে,	ব্রেক,	
shhashtra,	শাস্ত্র,	শাস্ত্র,	
wictor,	ভিকটর,	ভিক্টর,	
naitikatar,	নাইটিকতার,	নৈতিকতার,	
kaantojir,	কান্তজীর,	কান্তজির,	
teentir,	টিনটির,	তিনটির,	
tennise,	টিননসে,	টেনিসে,	
ghomtaa,	ঘোতটা,	ঘোমটা,	
samashtike,	সাসম্টিকে,	সমষ্টিকে,	
chaaka,	চাকা,	চাকা,	
chironton,	চিরন্নন,	চিরন্তন,	
birishirite,	বিরিষ্টিরই,	বিরিশিরিতে,	
pushti,	পুষ্টি,	পুষ্টি,	
manoharpur,	মনারপুর,	মনোহরপুর,	
salphat,	সালফত,	সালফেট,	
romantiq,	রোমান্টিক,	রোমান্টিক,	
bhenus,	ভেনাস,	ভেনাস,	
antarvukto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
byetasamyan,	ব্যাতমস্যান,	ব্যাটসম্যান,	
bunot,	বুনত,	বুনট,	
ameriqa,	অমেরিক,	আমেরিকা,	
konaan,	কোনান,	কোনান,	
tikta,	টিক্ট,	তিক্ত,	
mithener,	মিথেনের,	মিথেনের,	
deezni,	ডিজনি,	ডিজনী,	
farn,	ফার্ন,	ফার্ন,	
