chhatogalpe,	ছটটোগল্পে,	ছোটগল্পে,	
khorshed,	খর্ষেদ,	খোরশেদ,	
shibraj,	শিবরাজ,	শিবরাজ,	
formet,	ফরমেট,	ফরম্যাট,	
kiiborde,	কীবোর্ডে,	কীবোর্ড,	
chire,	চিরে,	চিরে,	
turky,	তুর্কী,	তুর্কি,	
huge,	হুগে,	হিউজ,	
indraa,	ইন্দ্রা,	ইন্দ্র,	
soros,	সরস,	সরস,	
srichoitonnodeb,	শ্রীচৈতন্যদেব,	শ্রীচৈতন্যদেব,	
bondhuvabaponyo,	বন্ধুবপন্প,	বন্ধুভাবাপন্ন,	
duncan,	ডাংচন,	ডানকান,	
baek,	ব্যাক,	বাইক,	
kloud,	ক্লদ,	ক্লাউড,	
chamski,	চামসিক,	চমস্কি,	
masjid,	মাসজিদ,	মসজিদ,	
surokarder,	সুরকর্ডের,	সুরকারদের,	
shiramikasha,	শিরামিকাশা,	সিরামিকস,	
uthhane,	উঠানে,	উঠানে,	
difinishion,	ডিফিনিশন,	ডেফিনেশন,	
chhanee,	ছানী,	ছানি,	
aholya,	আহল্য,	অহল্যা,	
somratder,	সম্রাত্যের,	সম্রাটদের,	
ministara,	মিনিস্টার,	মিনিস্টার,	
oshthad,	অষ্ঠাদ,	ওস্তাদ,	
rotheen,	রথিন,	রথীন,	
kanflict,	কানফিক্ট,	কনফ্লিক্ট,	
varotey,	ভারতে,	ভারতে,	
location,	লোকেশন,	লোকেশন,	
sajja,	সজ্জ,	সজ্জা,	
akkharkey,	অক্ষারকে,	অক্ষরকে,	
laat,	লাট,	লাট,	
palbongser,	পালবংশের,	পালবংশের,	
thaanobhi,	থানবী,	থানভী,	
abhinetar,	অভিনততার,	অভিনেতার,	
fanse,	ফেঁসে,	ফাঁসে,	
jokey,	যোকে,	জকি,	
barak,	বারক,	বারাক,	
samudrotate,	সমুদ্রতাতে,	সমুদ্রতটে,	
samaveshti,	সমভেষ্টি,	সমাবেশটি,	
bibhinno,	বিভিন্ন,	বিভন্ন,	
shatoker,	শতকের,	শতকের,	
siropa,	শিরপা,	শিরোপা,	
mukhamandaler,	মুখমন্ডলের,	মুখমণ্ডলের,	
mahasava,	মহাসাবা,	মহাসভা,	
ashongkai,	অসঙ্কই,	আশঙ্কাই,	
seekkhokder,	শিক্ষকদের,	শিক্ষকদের,	
bishesyer,	বিশেষের,	বিশেষ্যের,	
dajhya,	দাহ্য,	দাহ্য,	
assaciates,	অ্যাসোসিটেস,	এসোসিয়েটস,	
azibon,	আজিবন,	আজীবন,	
utkhaat,	উৎখায,	উত্খাত,	
muradke,	মুরাদকে,	মুরাদকে,	
bhaandaar,	ভান্ডার,	ভাণ্ডার,	
sansthatike,	সংস্থতীকে,	সংস্থাটিকে,	
pratishthanik,	প্রতিষ্ঠানিক,	প্রাতিষ্ঠানিক,	
ishtara,	ইস্টার,	ইস্টার,	
aswasteekor,	আস্বস্তিকর,	অস্বস্তিকর,	
kishti,	কিষ্টি,	কিস্তি,	
prokalpagulo,	প্রকালপুলো,	প্রকল্পগুলো,	
karka,	কর্ক,	কার্ক,	
abasan,	আবাসন,	অবসান,	
bashoborty,	বাসব্তী,	বশবর্তী,	
sirameeks,	সিরারিক্স,	সিরামিকস,	
jaandrel,	জান্দ্রেল,	জাঁদরেল,	
pchok,	পচ্ক,	পাচক,	
provritike,	প্রভূতিকে,	প্রভৃতিকে,	
songasthatir,	সংগ্ঠাটির,	সংস্থাটির,	
lidara,	লিডার,	লিডার,	
sumita,	সুমিত,	সুমিতা,	
adhyatmikatar,	আধ্যাতিকতার,	আধ্যাত্মিকতার,	
parker,	পার্কের,	পার্কের,	
dhhabi,	ঢববি,	ঢাবি,	
sikha,	শিখা,	শিখ,	
dhyanastha,	ধ্যনস্থ,	ধ্যানস্থ,	
laiseensa,	লেসেন্স,	লাইসেন্স,	
sothik,	সথিক,	সঠিক,	
arjara,	অর্জারা,	আর্যরা,	
olimpiker,	অলিম্পিকের,	অলিম্পিকের,	
platee,	প্লেট,	প্লেট,	
gondhe,	গন্ধে,	গন্ধে,	
pleena,	প্লেন,	প্লেন,	
deenesh,	ডিনেশ,	দীনেশ,	
armstranj,	আর্স্ট্রেজ,	আর্মস্ট্রং,	
protijogiitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
kharaar,	খারার,	খরার,	
biswashwo,	বিশ্বস্ব,	বিশ্বাসও,	
musolmanera,	মুসলমানেরা,	মুসলমানেরা,	
mesenjjarer,	মেসেঞ্জারের,	মেসেঞ্জারের,	
sharthe,	শর্থে,	স্বার্থে,	
horir,	হরির,	হরির,	
ogrodoot,	অগ্রদূত,	অগ্রদূত,	
pretti,	প্রেত্তি,	প্রিটি,	
chhuti,	ছুটি,	ছুটি,	
bonaa,	বোনা,	বোনা,	
sampadon,	সম্পাদন,	সম্পাদন,	
veniser,	ভেনিসের,	ভেনিসের,	
byabaharkarir,	ব্যবহারককারির,	ব্যবহারকারীর,	
nodiitei,	নদীতেই,	নদীতেই,	
phake,	ফেক,	ফাকে,	
thake,	থাকে,	থাকে,	
dharabiktir,	ধারাবিক্তির,	ধারাবাহিকটির,	
codey,	কোডে,	কোডে,	
byaboharkarir,	ব্যবহাহরককারির,	ব্যবহারকারীর,	
gaje,	গেজ,	গেজ,	
tochhnochh,	টক্ন,	তছনছ,	
palestine,	পলেস্টিন,	প্যালেস্টাইনে,	
bamon,	বামন,	বামন,	
chainge,	চেঙ্গে,	চেঞ্জ,	
horippur,	হরিপপুর,	হরিপুর,	
iuroo,	ইউরো,	ইউরো,	
bizit,	বিজিত,	বিজিত,	
mailkhanek,	মাইল্যানেক,	মাইলখানেক,	
samrat,	সমরত,	সম্রাট,	
phirth,	ফার্থ,	ফার্থ,	
landing,	লন্ডিং,	ল্যান্ডিং,	
nirvahi,	নির্বাহী,	নির্বাহি,	
ayantarketika,	আ্যান্টরক্টিক,	অ্যান্টার্কটিকা,	
korimkey,	করিমকে,	করিমকে,	
grambashee,	গ্রাম্বসী,	গ্রামবাসী,	
bishesyo,	বিশেষ্য,	বিশেষ্য,	
phiqsa,	ফিক্স,	ফিক্স,	
pramathesh,	প্রমথেশ,	প্রমথেশ,	
bossonto,	বসন্ত,	বসন্ত,	
kaamij,	কামিজ,	কামিজ,	
janosanjog,	জনসনযাগ,	জনসংযোগ,	
valobasakey,	ভালবাসকে,	ভালোবাসাকে,	
groth,	গ্রথ,	গ্রোথ,	
basatey,	বাসাতে,	বাসাতে,	
musalmanke,	মুসলমানকে,	মুসলমানকে,	
chetanagato,	চেতনাগত,	চেতনাগত,	
jyaqa,	জ্যাক,	জ্যাক,	
moushumti,	মৌসম্তি,	মৌসুমটি,	
aminar,	আমিনার,	আমিনার,	
jerusalem,	জেরুসালেম,	জেরুজালেম,	
badhadan,	বাধাদন,	বাধাদান,	
mulaadi,	মুলাদী,	মুলাদি,	
shatokei,	শতকেই,	শতকেই,	
arthonitite,	অর্থনীতিতে,	অর্থনীতিতে,	
roomantik,	রুমান্তিক,	রোমান্টিক,	
prithbir,	পৃথ্বীর,	পৃথবীর,	
favourite,	ফাউরিতে,	ফেভারিট,	
gaddafii,	গাদ্দাফী,	গাদ্দাফী,	
ramantic,	রামান্টিক,	রোমান্টিক,	
horidwar,	হরিদ্বর,	হরিদ্বার,	
jonosamaj,	জনসমাজ,	জনসমাজ,	
kindom,	কিন্দম,	কিংডম,	
rushod,	রুশদ,	রুশদ,	
ukeliptas,	উকেলিল্টাস,	ইউক্যালিপ্টাস,	
haridware,	হারিদ্য়েয়ার,	হরিদ্বারে,	
graambaasir,	গ্রামবাসীর,	গ্রামবাসীর,	
mmehonoti,	মেহনতী,	মেহনতি,	
parshwer,	পার্শের,	পার্শ্বের,	
adhyattikotar,	আধ্যাত্বিকতার,	আধ্যাত্মিকতার,	
godavari,	গদাভীর,	গোদাবরী,	
ponni,	পন্যী,	পন্নী,	
bongshi,	বংশী,	বংশী,	
hilse,	হিলসে,	হিলসে,	
fake,	ফেক,	ফাকে,	
sooraarop,	সুরারোপ,	সুরারোপ,	
prokalpao,	প্রকল্পও,	প্রকল্পও,	
sambhabanaow,	সম্ভবননও,	সম্ভবনাও,	
nagorikke,	নাগরিককে,	নাগরিককে,	
keengdom,	কিংগম,	কিংডম,	
bodhirata,	বোধিরতা,	বধিরতা,	
masjidtikey,	মাজসিদ্িকে,	মসজিদটিকে,	
hepatetisa,	হাইপোটেসিস,	হেপাটাইটিস,	
shhayatana,	শায়তন,	শয়তান,	
texaser,	টেক্সের,	টেক্সাসের,	
berubar,	বারুবার,	বেরুবার,	
ssumi,	সুমি,	সুমি,	
porbotmala,	পর্বতম্লা,	পর্বতমালা,	
taala,	তালা,	তালা,	
tuso,	টুসো,	তুসো,	
michhilti,	মিচিলটি,	মিছিলটি,	
foloshrutite,	ফলস্রুতিতে,	ফলশ্রুতিতে,	
nikataner,	নিকটনের,	নিকেতনের,	
fareksa,	ফরেক্স,	ফরেক্স,	
anurbar,	অনুরববার,	অনুর্বর,	
dinifition,	ডিনিফিশন,	ডেফিনেশন,	
sovanetree,	সভানেত্রী,	সভানেত্রী,	
purohitke,	পুরহহিকে,	পুরোহিতকে,	
pratiyogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
aarcie,	আর্চি,	আরসিএ,	
graambaasheeo,	গ্রামবাসীও,	গ্রামবাসীও,	
loukik,	লৌকিক,	লৌকিক,	
rajan,	রজন,	রাজন,	
vogiroth,	ভগিরথ,	ভগীরথ,	
rejidence,	রেজিডেন্স,	রেসিডেন্স,	
mujibur,	মুজিবুর,	মুজিবুর,	
gabhaaskaar,	গভষ্কার,	গাভাস্কার,	
chalke,	চলকে,	চালকে,	
ddhake,	ঢেকে,	ঢেকে,	
monzhoshtho,	মন্ঝস্থ,	মঞ্চস্থ,	
grambaseeo,	গ্রাম্বাসীও,	গ্রামবাসীও,	
duuma,	দুম,	দুমা,	
lesensim,	লেসনেসিং,	লাইসেন্সিং,	
aashtikotaa,	আস্তিকটা,	আস্তিকতা,	
roktokhorone,	রক্তকরণে,	রক্তক্ষরণে,	
janasangyog,	জনসংব্যগ,	জনসংযোগ,	
musalmanera,	মুসলমানের,	মুসলমানেরা,	
semai,	সেমাই,	সেমাই,	
sathikata,	সথিকতা,	সঠিকতা,	
ayantarqatiqa,	আ্যান্টরক্যিক,	অ্যান্টার্কটিকা,	
doula,	দৌল,	দৌলা,	
arasie,	আরাসি,	আরসিএ,	
quarter,	কোর্টের,	কোয়ার্টার,	
akabar,	আকাবার,	আকাবার,	
dwibidha,	দ্বিবিধ,	দ্বিবিধ,	
jaunatar,	যৌনতার,	যৌনতার,	
fund,	ফুন্ড,	ফান্ড,	
sushukkhar,	শুষুক্ষার,	সুশিক্ষার,	
ekghare,	একঘারে,	একঘরে,	
bastuvad,	বস্তুবাদ,	বস্তুবাদ,	
muhommoder,	মুহম্মদের,	মুহম্মদের,	
prasadhoni,	প্রসাধনী,	প্রসাধনী,	
prakalpagulo,	প্রকল্পগুলো,	প্রকল্পগুলো,	
potocheetro,	পতচিত্র,	পটচিত্র,	
pharanyeta,	ফরণ্যাত,	ফরম্যাট,	
daale,	ডালে,	ডালে,	
upobasee,	উপবাসী,	উপবাসী,	
panthaar,	পন্ঠার,	পন্থার,	
corymb,	করম্ব,	করিম,	
temonti,	টেমনটি,	তেমনটি,	
rajon,	রাজন,	রাজন,	
dajjho,	দজ্য,	দাহ্য,	
prasadhoner,	প্রসাধনের,	প্রসাধনের,	
jeteo,	জেতেও,	যেতেও,	
jwarer,	জ্বারের,	জ্বরের,	
jaanar,	যানার,	জানার,	
mojdoor,	মজদুর,	মজদুর,	
kailas,	কৈলাশ,	কৈলাস,	
shikarke,	শিকারকে,	শিকারকে,	
vagini,	ভাগিনী,	ভগিনী,	
bishwaashshke,	বিশ্বাসকে,	বিশ্বাসকে,	
nesons,	নেসন্স,	নেশনস,	
elaakaati,	এলাকাটি,	এলাকাটি,	
chalochchitreer,	চলচিত্রের,	চলচ্চিত্রের,	
pushteer,	পুষ্টির,	পুষ্টির,	
agomone,	আগোমনে,	আগমনে,	
aashor,	আশর,	আসর,	
gobeshanagar,	গবেষণাগার,	গবেষনাগার,	
bouddher,	বৌদ্ধের,	বৌদ্ধের,	
ghensha,	ঘেনস,	ঘেঁষা,	
ancholsomuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
black,	ব্লক,	ব্ল্যাক,	
chhotogolpe,	ছটটোগল্পে,	ছোটগল্পে,	
nobotom,	নবযতম,	নবতম,	
motabolombiira,	মতাবলম্বীরা,	মতাবলম্বীরা,	
nischitobhave,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
atohar,	আতোহর,	আতহার,	
tamplate,	তাম্পলেট,	টেম্পলেট,	
labanaktatar,	লবণাক্ততার,	লবণাক্ততার,	
debdeby,	দেবদেবি,	দেবদেবী,	
royalty,	রোয়টলি,	রয়্যালটি,	
chhatrorai,	ছাত্ররাই,	ছাত্ররাই,	
neemitto,	নিমিত্ব,	নিমিত্ত,	
hunayin,	হুনাইন,	হুনাইন,	
mmadhukkori,	মাধকক্রী,	মাধুকরী,	
fasi,	ফেসি,	ফাঁসী,	
moushum,	মৌসুম,	মৌসুম,	
bamni,	বাম্নি,	বামনী,	
agora,	আগোর,	আগোরা,	
odurey,	অদূরে,	অদুরে,	
harees,	হররিশ,	হ্যারিস,	
moshan,	মশান,	মোশন,	
notunotto,	নতুনত্ব,	নতুনত্ব,	
ekghore,	একঘরে,	একঘরে,	
upacharjo,	উপচার্য,	উপাচার্য,	
lesens,	লেসেন্স,	লাইসেন্স,	
sektara,	সেক্টর,	সেক্টর,	
creshcent,	ক্রেসেন্ট,	ক্রিসেন্ট,	
ancholgulote,	আঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
tempaleta,	টেম্পলেট,	টেম্পলেট,	
kartam,	করতম,	করতাম,	
byabaharkareeke,	ব্যবহারককারীকে,	ব্যবহারকারীকে,	
morathi,	মরাঠী,	মরাঠি,	
lutheren,	লুথারেন,	লুথেরান,	
bishaashke,	বিশ্বাসকে,	বিশ্বাসকে,	
advut,	আদ্ভুত,	অদ্ভুত,	
sane,	সেন,	সনে,	
bhaangchoor,	ভাঙচুর,	ভাংচুর,	
mookhomandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
maithili,	মৈথিল,	মৈথিলি,	
brail,	ব্রেল,	ব্রেইল,	
ganona,	গণনা,	গণনা,	
pabo,	পাব,	পাব,	
tourist,	টারিস্ট,	টুরিস্ট,	
elakatite,	এলাকাতিতে,	এলাকাটিকে,	
kemoney,	কেমনে,	কেমনে,	
dhaloor,	ঢালুর,	ঢালুর,	
niutrinoo,	নিউট্রি,	নিউট্রিনো,	
jokrit,	যকৃত,	যকৃৎ,	
oitijjher,	ঐতিহ্যের,	ঐতিহ্যের,	
moomtaj,	মমতাজ,	মুমতাজ,	
fulkopi,	ফুলকিপী,	ফুলকপি,	
salphat,	সালফাট,	সালফেট,	
nothibhuktir,	নথিভূক্তির,	নথিভুক্তির,	
bishnoo,	বিষ্ণ,	বিষ্ণু,	
prakalpeo,	প্রকল্পেও,	প্রকল্পেও,	
kortona,	কর্তনা,	করতনা,	
jojyota,	যোজ্যতা,	যোজ্যতা,	
maley,	মালে,	মালে,	
debdebi,	দেবদেবী,	দেবদেবী,	
farex,	ফারেক্স,	ফরেক্স,	
meghnadbadh,	মেঘন্দবাধ,	মেঘনাদবধ,	
maudeling,	মডডিলিং,	মডেলিং,	
phiqsim,	ফিক্সিং,	ফিক্সিং,	
iraner,	ইররনের,	ইরানের,	
sukkha,	সূক্ষ্ম,	সুক্ষ্ম,	
poripaker,	পরিপকের,	পরিপাকের,	
eksathei,	একসাথেই,	একসাথেই,	
deliver,	ডিলিভার,	ডেলিভার,	
debdebeer,	দেবদেবীর,	দেবদেবীর,	
spostotoi,	স্পষ্টতইই,	স্পষ্টতই,	
musalmanra,	মুসলম্নর,	মুসলমানরা,	
drissogulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
groowth,	গ্রুথ,	গ্রোথ,	
khude,	খুদে,	ক্ষুদে,	
satjon,	সাজজন,	সাতজন,	
abhidhaaneec,	অভিধানিক,	অভিধানিক,	
canal,	চ্যান,	ক্যানেল,	
oncolsoho,	অঞ্চলসহ,	অঞ্চলসহ,	
bhabuk,	ভাবুক,	ভাবুক,	
jealand,	জ্ল্যান্ড,	জিল্যান্ড,	
myat,	ম্যাট,	ম্যাট,	
breil,	ব্রেল,	ব্রেইল,	
pounchute,	পৌঁছুতে,	পৌঁছুতে,	
ghoomato,	ঘুমত,	ঘুমাতো,	
gaddafee,	গেদ্যাফী,	গাদ্দাফী,	
joluk,	জলুক,	জ্বলুক,	
harir,	হ্যারির,	হরির,	
somudrotote,	সমুদ্রততে,	সমুদ্রতটে,	
shalapheta,	সালফাইট,	সালফেট,	
gandhariir,	গান্ধারীর,	গান্ধারীর,	
kormi,	কর্মী,	কর্মই,	
sikkhakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
prasadhani,	প্রসাধানী,	প্রসাধনী,	
nabheela,	নেভেল,	নভেল,	
granthotike,	গ্রন্থটিকে,	গ্রন্থটিকে,	
khelafatey,	খেলাফাতে,	খেলাফতে,	
hoondayi,	হুন্ডই,	হুন্দাই,	
mohiboor,	মহিবুর,	মহিবুর,	
muhurto,	মুহূর্ত,	মুহুর্ত,	
ibhaner,	ইভানের,	ইভানের,	
janaar,	জানার,	জানার,	
aaeereshe,	আইরিশে,	আইরেসে,	
dubaate,	দুবাতে,	ডুবাতে,	
alexandarkey,	আলেক্সাদারকে,	আলেকজান্ডারকে,	
miitar,	মিটার,	মিত্র,	
karlasa,	কার্লস,	কার্লোস,	
tarunke,	তারুণকে,	তরুণকে,	
juboke,	যুবকে,	যুবকে,	
bamnii,	বাম্নী,	বামনী,	
armstrong,	আর্সম্ট্র,	আর্মস্ট্রং,	
turkamena,	তুরকামেন,	তুর্কমেন,	
bitlaser,	বিটলসের,	বিটলসের,	
bidghutey,	বিঘ্যুতে,	বিদঘুটে,	
kaushalgata,	কৌসলগত,	কৌশলগত,	
sqalastiqa,	স্কলস্টিক,	স্কলাস্টিক,	
chalochchitreeo,	চলচিত্রীও,	চলচ্চিত্রেও,	
jinsha,	জিনস,	জিন্স,	
chai,	চাই,	ছাই,	
parqing,	পার্কিং,	পার্কিং,	
potchitra,	পথিচ্র,	পটচিত্র,	
nagorikota,	নাগরিকতা,	নাগরিকতা,	
atto,	আত্ম,	আত্ম,	
phiksa,	ফিক্স,	ফিক্স,	
marketim,	মার্কাইটিং,	মার্কেটিং,	
benis,	বেনিস,	ভেনিস,	
sulke,	সুলকে,	শুল্কে,	
shayanaida,	সায়নোড,	সায়ানাইড,	
pathachari,	পাঠাচারী,	পথচারী,	
sten,	স্টেন,	স্টেন,	
abosorer,	অবসরের,	অবসরের,	
kakhonyoba,	কখনোববা,	কখনওবা,	
sompadonkaree,	সম্পাদকাারী,	সম্পাদনকারী,	
nisader,	নিশদের,	নিষাদের,	
drishtir,	দৃষ্টির,	দৃশ্যটির,	
imirgincy,	এমার্জিনসি,	এমার্জেন্সি,	
ronangane,	রণাঙ্গনে,	রণাঙ্গনে,	
bissashii,	বিশ্বাসী,	বিশ্বাসী,	
shosha,	শোষা,	শশা,	
bhaabaaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
mit,	মিট,	মিট,	
arthanitite,	অর্থনীতিতে,	অর্থনীতিতে,	
silbhi,	সিলভী,	সিলভি,	
kriita,	কৃত,	ক্রীট,	
hepatitish,	হাইপোটিসিস,	হেপাটাইটিস,	
cholochchitraeer,	চলচিত্রের,	চলচ্চিত্রের,	
puroheetra,	পুরোহিত্র,	পুরোহিতরা,	
hobu,	হবু,	হবু,	
saseja,	সাসেজা,	সসেজ,	
chirkut,	চিরকুত,	চিরকুট,	
chhotogalpe,	ছটটোগল্পে,	ছোটগল্পে,	
sures,	সুরেশ,	সুরেশ,	
promothesh,	প্রমথেষ,	প্রমথেশ,	
jounatar,	যৌনতার,	যৌনতার,	
asietic,	অসিটিক,	এশিয়াটিক,	
byan,	ব্যান,	ব্যাং,	
chittronattokar,	চিত্রনাট্যকর,	চিত্রনাট্যকার,	
graambaashee,	গ্রামবাসী,	গ্রামবাসী,	
prodiper,	প্রদিপের,	প্রদীপের,	
digrir,	ডিগ্রীর,	ডিগ্রির,	
stonehenje,	স্ট্যাহেঞ্জে,	স্টোনহেঞ্জ,	
plator,	প্লেটর,	প্লেটোর,	
somrat,	সমরত,	সম্রাট,	
kredita,	ক্রেডিট,	ক্রেডিট,	
soores,	সুরেশ,	সুরেশ,	
grantho,	গ্রন্থ,	গ্রন্থ,	
juktarashtrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
cinematographar,	সিন্নাটেগ্রাফ,	সিনেমাটোগ্রাফার,	
poorohitke,	পুরহহিক্,	পুরোহিতকে,	
mukhya,	মুখ্য,	মুখ্য,	
nesanasa,	নেসনসস,	নেশনস,	
digreeke,	ডিগ্রীকে,	ডিগ্রিকে,	
oiteejyer,	ঐতিজ্যের,	ঐতিহ্যের,	
azaadeer,	আজাদীর,	আজাদীর,	
lampat,	লম্পাত,	লম্পট,	
sahoocorzo,	সহুক্র্য,	সাহচর্য,	
chhaai,	ছাই,	ছাই,	
oshovyo,	অসভ্য,	অসভ্য,	
daakteekit,	ডাক্তিকিত,	ডাকটিকিট,	
arthonitike,	অর্থনীতিকে,	অর্থনীতিকে,	
bedke,	বেদকে,	বেদকে,	
ottacharer,	অত্মচারের,	অত্যাচারের,	
scorey,	স্কোর,	স্কোরে,	
aamoode,	আমুদে,	আমুদে,	
provuder,	প্রভূদের,	প্রভুদের,	
preti,	প্রতি,	প্রিটি,	
imarjinsi,	ইমার্জিস,	এমার্জেন্সি,	
jemi,	জেমি,	জেমি,	
nilabho,	নীলভ,	নীলাভ,	
nirmaankaaj,	নির্মানকাজ,	নির্মাণকাজ,	
abdur,	আবদুর,	আবদুর,	
silvee,	সিলভাই,	সিলভি,	
anhu,	আনু,	আনহু,	
billaho,	বিলাহ,	বিল্লাহ,	
kaareer,	কারীর,	কারীর,	
risort,	রিসর্ট,	রিসোর্ট,	
dajjha,	দজ্য,	দাহ্য,	
dhanyi,	ধ্যনি,	ধন্যি,	
daktickete,	ডাক্তিকেতে,	ডাকটিকিটে,	
amarica,	অমর্কা,	আমেরিকা,	
anchalsamuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
masterer,	মেস্টারের,	মাস্টারের,	
anchalsamuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
pattarn,	প্যাটার্ন,	প্যাটার্ন,	
jaubanbati,	যৌনবতী,	যৌবনবতী,	
saabyastha,	সাব্যস্থ,	সাব্যস্থ,	
daaktikite,	ডাক্তিকিতে,	ডাকটিকিটে,	
udvabani,	উদ্ভাবনী,	উদ্ভাবনী,	
addabaaj,	আদ্যাবাজ,	আড্ডাবাজ,	
dhhalur,	ঢালুর,	ঢালুর,	
hajareebag,	হাজারীবাগ,	হাজারিবাগ,	
sibraj,	শিবরাজ,	শিবরাজ,	
rubio,	রুবিও,	রুবিও,	
sahochorjey,	সহচর্যে,	সাহচর্যে,	
sthapona,	স্থাপনা,	স্থাপনা,	
probhritite,	প্রভূতিতে,	প্রভৃতিতে,	
shahanara,	শাহনারা,	শাহানারা,	
lag,	লাগ,	লগ,	
rubol,	রুবল,	রুবল,	
allubokhara,	অল্লববক্ষারা,	আলুবোখারা,	
zeebonnogor,	জীবনগনগর,	জীবননগর,	
khagen,	খাগেন,	খগেন,	
qloud,	ক্লদ,	ক্লাউড,	
shansthaner,	সংস্থানের,	সংস্থানের,	
chetanagoto,	চেতনাগত,	চেতনাগত,	
buffer,	বাফার,	বাফার,	
jacker,	জ্যাকার,	জ্যাকের,	
itastato,	ইতাস্তত,	ইতস্ততঃ,	
karmakarke,	কর্মকর্কে,	কর্মকারকে,	
elahabade,	এলাহাবাদে,	এলাহাবাদে,	
korleyi,	করলেই,	করলেই,	
mukhamandol,	মুখমন্ডল,	মুখমণ্ডল,	
ssumitrar,	সুমিত্রার,	সুমিত্রার,	
neurologi,	নেউরোলজি,	নিউরোলজি,	
jeten,	যেটেন,	জেতেন,	
alpai,	আলপাই,	অল্পই,	
ul,	উল,	উল,	
chintai,	চিন্তাই,	ছিনতাই,	
nodimatrik,	নদদীমাত্রিক,	নদীমাতৃক,	
peto,	পেতো,	পেত,	
katbey,	কাটবে,	কাটবে,	
gojano,	গজানো,	গজানো,	
cholochchitrai,	চলচিত্রে,	চলচ্চিত্রই,	
raitasha,	রেতসা,	রাইটস,	
miracle,	মিরাকল,	মিরাকেল,	
barbadoj,	বার্বোজোজ,	বার্বাডোজ,	
ivaner,	ইভানের,	ইভানের,	
bhalobaas,	ভালবাস,	ভালোবাসা,	
nischitabhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
emarjenshi,	এমার্মেস্সি,	এমার্জেন্সি,	
bachai,	বাঁচাই,	বাছাই,	
jonee,	জোন,	জনি,	
doorger,	দরগের,	দুর্গের,	
ghatir,	ঘাটির,	ঘাটির,	
taalaal,	তালাল,	তালাল,	
shoccar,	শক্চার,	সকার,	
basa,	বসা,	বাসা,	
norpholk,	নর্ফল,	নরফোক,	
jwor,	জ্বর,	জ্বর,	
vejano,	ভেজানো,	ভেজানো,	
pratisthanikbhabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
syutara,	স্যুটার,	শ্যুটার,	
hundai,	হান্ডই,	হুন্দাই,	
daktikite,	দাক্তিতিতে,	ডাকটিকিটে,	
pyatarne,	প্যাটার্নে,	প্যাটার্নে,	
blagaarara,	ব্লাগারার,	ব্লগাররা,	
babona,	বাবনা,	বাবনা,	
maailey,	মেলে,	মাইলে,	
chhuteete,	ছুটিতে,	ছুটিতে,	
pragresha,	প্রগ্রেস,	প্রগ্রেস,	
bamna,	বামনা,	বামনা,	
satarkakaree,	সতর্কাকারী,	সতর্ককারী,	
sheat,	শিট,	সিট,	
saalsa,	সালসা,	সালসা,	
domonmoolok,	দমমূলূকক,	দমনমূলক,	
pratimake,	প্রতিমাকে,	প্রতিমাকে,	
mukhobandha,	মুখবন্ধ,	মুখবন্ধ,	
bite,	বিটে,	বাইট,	
serup,	সেরুপ,	সেরূপ,	
pashaner,	পাশণের,	পাষাণের,	
remacry,	রেমক্রি,	রেমাক্রী,	
dakshinangsha,	দক্ষিণাংশ,	দক্ষিণাংশ,	
weelcomee,	ভিলকেম,	ওয়েলকাম,	
buffar,	বাফার,	বাফার,	
nischitrupe,	নিষ্চিত্রপে,	নিশ্চিতরূপে,	
aazadir,	আজাদীর,	আজাদীর,	
alpa,	আল্প,	অল্প,	
ghesha,	ঘেষা,	ঘেঁষা,	
heeli,	হিলি,	হিলি,	
shaddhi,	সদ্ধি,	সাধ্বী,	
victar,	ভিক্তার,	ভিক্টর,	
jonmaat,	জন্মট,	জন্মাত,	
holding,	হোল্ডিং,	হোল্ডিং,	
ekjoge,	একোোগে,	একযোগে,	
joni,	জনি,	জনি,	
siiter,	সীটের,	শীতের,	
mitrota,	মিত্রতা,	মিত্রতা,	
rahie,	রাহী,	রাহি,	
nodiike,	নোদীকে,	নদীকে,	
siniyara,	সিনিয়ার,	সিনিয়র,	
heeavy,	হেভি,	হেভি,	
atmabishvashi,	আত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
deejeejer,	ডিজিজের,	ডিজিজের,	
rightsh,	রাইটস,	রাইটস,	
jesa,	জেস,	জেস,	
thesiser,	থেসিসের,	থিসিসের,	
pulse,	পুলসে,	পালস,	
seemons,	সেমন্স,	সিমন্স,	
