tukror,	টুকরার,	টুকরোর,	
polashir,	পলাসীর,	পলাশীর,	
shahabike,	সাহাবীকে,	সাহাবীকে,	
parkim,	পার্কিং,	পার্কিং,	
rah,	রাহ,	রঃ,	
grambaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
bibechyo,	বিবেচ্য,	বিবেচ্য,	
zinsa,	জিনস,	জিন্স,	
si,	সি,	এসআই,	
oncolsoho,	অঞ্চলসহ,	অঞ্চলসহ,	
dokaanei,	ডোকানেই,	দোকানেই,	
chirota,	চিরতা,	চিরতা,	
amorendra,	অমরেন্দ্র,	অমরেন্দ্র,	
daver,	দেভার,	ডোভার,	
laishensh,	লেইসন্স,	লাইসেন্স,	
militari,	মিলিটারী,	মিলিটারি,	
kommandar,	কমান্ডার,	কমাণ্ডার,	
kadom,	কাদ,	কদম,	
provritir,	প্রভূতির,	প্রভৃতির,	
dharabhiko,	ধারাভিক,	ধারাবাহিকেও,	
blagarara,	ব্লগেরা,	ব্লগাররা,	
mukhobandha,	মুখবন্ধ,	মুখবন্ধ,	
arthonitir,	অর্থনীতির,	অর্থনীতির,	
halding,	হোলদিং,	হোল্ডিং,	
cheettronnatyokar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
nirbaho,	নির্বাহ,	নির্বাহ,	
chetana,	চেতনা,	চেতনা,	
artillary,	অর্টিলারি,	আর্টিলারি,	
huka,	হুক,	হুক,	
chal,	চল,	চাল,	
jhalkathy,	ঝালকাঠি,	ঝালকাঠী,	
monjeele,	মঞ্জিলে,	মঞ্জিলে,	
chattke,	ছটটকে,	ছাতকে,	
lokeshon,	লোকেশন,	লোকেশন,	
jerujalem,	জেরুজালেম,	জেরুসালেম,	
zerusaleme,	জেরুসামে,	জেরুসালেমে,	
nobotom,	নবোম,	নবতম,	
byaboharkarir,	ব্যবহারকারির,	ব্যবহারকারীর,	
saaralya,	সারল্য,	সারল্য,	
sahojlabhbhatar,	সহজলভভতার,	সহজলভ্যতার,	
plata,	প্লট,	প্লেটো,	
mawdeel,	মডিল,	মডেল,	
khur,	খুর,	ক্ষুর,	
deqe,	ডেকে,	ডেকে,	
ajuhath,	অযুহত,	অজুহাত,	
jomkalo,	জমকালো,	জমকালো,	
jolrong,	জলরং,	জলরঙ,	
joistho,	জৈষ্ঠ্য,	জ্যৈষ্ঠ,	
bandhuke,	বন্ধুকে,	বন্ধুকে,	
sangostha,	সংস্থ,	সংস্থা,	
temontee,	টেমনটি,	তেমনটি,	
deputii,	দেপুটি,	ডেপুটি,	
nirikha,	নিরীখ,	নিরিখ,	
faksa,	ফক্স,	ফক্স,	
tatira,	তািরা,	তাঁতিরা,	
amarjito,	অমার্জিত,	অমার্জিত,	
raiialati,	রাইলাটি,	রয়্যালটি,	
brindaa,	ব্র্ন্ডা,	বৃন্দা,	
teenej,	টিনেজ,	টিনেজ,	
grot,	গ্রোট,	গ্রোথ,	
aabahan,	আবাহন,	আবাহন,	
nationsh,	নেটংস,	নেশনস,	
bloggerra,	ব্লগোরা,	ব্লগাররা,	
abadamoner,	অবদামনের,	অবদমনের,	
kara,	কার,	কর,	
baabul,	বাবুল,	বাবুল,	
malaika,	মালাইকা,	মালাইকা,	
rajtontrokey,	রাজতান্ত্রকে,	রাজতন্ত্রকে,	
gatre,	গাত্রে,	গাত্রে,	
ganochiener,	গণচিনের,	গণচীনের,	
makong,	ম্যাক,	মেকং,	
jackshon,	জক্ষণ,	জ্যাকসন,	
soommitrar,	সুমিত্রার,	সুমিত্রার,	
puroheetder,	পুরোহতদদের,	পুরোহিতদের,	
deezni,	দিজনী,	ডিজনী,	
bomkesh,	বম্কেশ,	ব্যোমকেশ,	
enginearing,	এঞ্জিনিরিং,	ইঞ্জিনিয়ারিং,	
ralafa,	রাফা,	রালফ,	
nazi,	নাজি,	নাত্সি,	
goroor,	গরুর,	গরুর,	
vaskor,	ভাস্কর,	ভাস্কর,	
mukhamandal,	মুখমন্ডল,	মুখমণ্ডল,	
moonshi,	মুনশী,	মুন্সি,	
anekeri,	অনেকারি,	অনেকেরই,	
bishshashi,	বিশ্বাসী,	বিশ্বাসই,	
srabosty,	শ্রবস্তি,	শ্রাবস্তী,	
byapokotor,	ব্যাপকতার,	ব্যাপকতর,	
aarakani,	আরাকণি,	আরাকানী,	
shangstha,	সংস্থ,	সংস্থা,	
sangosthati,	সংস্থাটি,	সংস্থাটি,	
vabnakey,	ভব্নাকে,	ভাবনাকে,	
chhilonaa,	ছিলনা,	ছিলনা,	
prothati,	প্রথাটি,	প্রথাটি,	
drissoteer,	দৃশ্যতির,	দৃশ্যটির,	
taale,	তালে,	তালে,	
schalastic,	স্কলস্তিক,	স্কলাস্টিক,	
phiksim,	ফিকসিং,	ফিক্সিং,	
otyacharita,	অত্যাচারিত,	অত্যাচারিত,	
lettar,	ল্যাটার,	লেটার,	
jahar,	জাহার,	জহর,	
thela,	থেল,	ঠেলা,	
biswashe,	বিশ্বাসে,	বিশ্বাসে,	
iraner,	ইইরনের,	ইরানের,	
spredsheet,	স্প্রেডসেট,	স্প্রেডশীট,	
meetropalitana,	মেট্রোপলিটান,	মেট্রোপলিটন,	
manonitoder,	মনোনীতদের,	মনোনীতদের,	
aro,	আরো,	আরও,	
upobaashee,	উপব্যাসী,	উপবাসী,	
ancient,	অ্যানেসন্ট,	এনসিয়েন্ট,	
antorbhuktimulak,	অন্তর্ভূতিকমূলক,	অন্তর্ভুক্তিমূলক,	
foreex,	ফরিক্স,	ফরেক্স,	
madhumati,	মধুমতি,	মধুমতী,	
nesnosh,	নেশনস,	নেশনস,	
raiter,	রাইটের,	রাইটের,	
gandhariir,	গান্ধারীর,	গান্ধারীর,	
qyantana,	ক্যান্টন,	ক্যান্টন,	
bhabaponno,	ভবাপন্ন,	ভাবাপন্ন,	
gyate,	জ্ঞাতে,	গ্যেটে,	
sainyara,	সৈইন্যর,	সৈন্যরা,	
doorotaumo,	দূরোতাম,	দূরতম,	
patigonit,	পাতিগণিত,	পাটিগণিত,	
phimeela,	ফিমেলা,	ফিমেল,	
shhyutara,	স্যুটার,	শ্যুটার,	
billah,	বিলাহ,	বিল্লাহ,	
bonnopraan,	বন্যপ্রাণ,	বন্যপ্রাণ,	
mokhmoley,	মখমোলে,	মখমলে,	
dokanei,	ডোকানেই,	দোকানেই,	
bhenus,	ভেনাস,	ভেনাস,	
hijriite,	হিজরিতে,	হিজরীতে,	
taioyana,	তাইযান,	তাইওয়ান,	
korecho,	করেচো,	করেছ,	
babona,	বাবানা,	বাবনা,	
diyenes,	ডিএনএস,	ডিএনএস,	
ddhake,	ঢেকে,	ঢেকে,	
setitey,	সেটিতে,	সেটিতে,	
taala,	তালা,	তালা,	
jubokti,	যুবকটি,	যুবকটি,	
jibnagore,	জীবনগগরে,	জীবননগর,	
ranadip,	রণনীপ,	রণদীপ,	
dakteekite,	ডাক্তিকিতে,	ডাকটিকিটে,	
suporichiti,	সুপরিচিতি,	সুপরিচিতি,	
hondurus,	হন্দুরুস,	হন্ডুরাস,	
ujbekistaner,	উজবজেক্ষানের,	উজবেকিস্তানের,	
laaz,	লাগ,	লাজ,	
azibon,	আজিবন,	আজীবন,	
pratisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
pray,	প্রে,	প্রায়,	
dargah,	দরগাহ,	দরগাহ,	
becha,	বেচ,	বেচা,	
sbatantrota,	স্বতন্ত্রতা,	স্বতন্ত্রতা,	
agiboner,	এগিবানের,	আজীবনের,	
grootha,	গ্রুথ,	গ্রোথ,	
foks,	ফ্যাক্স,	ফক্স,	
injeel,	এঞ্জেল,	ইঞ্জিল,	
patthkromer,	পাঠ্রক্যমের,	পাঠক্রমের,	
kheylechen,	খেলেছেন,	খেলেছেন,	
engil,	এঞ্জেল,	ইঞ্জিল,	
skolastik,	স্কলাস্টিক,	স্কলাস্টিক,	
khappar,	খাপপার,	খপ্পর,	
phoster,	ফোস্টার,	ফস্টার,	
daackticketer,	ডাক্তিককেটের,	ডাকটিকিটের,	
primo,	প্রিমও,	প্রিমো,	
kkomandar,	কমান্ডার,	কমাণ্ডার,	
setikey,	সেটিকে,	সেটিকে,	
taurat,	তারৎ,	তওরাত,	
tenise,	টেনিসে,	টেনিসে,	
hizritey,	হিজরিতে,	হিজরীতে,	
angsogrohone,	অংশগ্রহণে,	অংশগ্রহনের,	
maradeha,	মারাদেহ,	মরদেহ,	
komtee,	কমটি,	কমতি,	
naitikatar,	নৈতিকতার,	নৈতিকতার,	
haphej,	হাফেজ,	হাফেয,	
noitikotar,	নৈিকতার,	নৈতিকতার,	
parishkaran,	পরিষ্কাণ,	পরিষ্করণ,	
traytey,	ট্রেটে,	ট্রেতে,	
kanflikt,	কানফাল্ট,	কনফ্লিক্ট,	
heavy,	হেভি,	হেভি,	
lutheereen,	লুঠিরেন,	লুথেরান,	
hizrite,	হিজরিতে,	হিজরীতে,	
templete,	টেম্পলেট,	টেম্পলেট,	
prapokke,	প্রপকককে,	প্রাপককে,	
khilafot,	খিলাফত,	খিলাফত,	
depootee,	ডিপোি,	ডেপুটি,	
potocheetro,	পতচিত্র,	পটচিত্র,	
shikshakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
mesenzar,	মেসেন্জার,	মেসেঞ্জার,	
ponera,	পনেরা,	পনের,	
bhalobasen,	ভালবাসেন,	ভালোবাসেন,	
probeshkari,	প্রবেশকারী,	প্রবেশকারী,	
motar,	মোটর,	মুতার,	
shahab,	সাহাব,	সাহাব,	
laaiseensh,	লেইসন,	লাইসেন্স,	
homasa,	হোমস,	হোমস,	
drissogoolote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
gaaddaafee,	গাদ্ডাফি,	গাদ্দাফী,	
manober,	মানবের,	মানবের,	
gyandaas,	জ্যান্ডাস,	জ্ঞানদাস,	
veenis,	ভিনিস,	ভেনিস,	
kalniir,	কালনীর,	কালনীর,	
ameriqa,	অ্যামেরিকা,	আমেরিকা,	
ingrezraa,	ইংরেজ্রা,	ইংরেজরা,	
alauler,	আলাউলের,	আলাওলের,	
kiibord,	কিবোর্ড,	কীবোর্ড,	
nabbata,	নব্বতা,	নাব্যতা,	
bhangle,	ভাঙলে,	ভাঙলে,	
bbiswashe,	বিশ্বাসে,	বিশ্বাসে,	
cholocchitroke,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
oitijjhey,	ঐতিহ্যে,	ঐতিহ্যে,	
botgach,	বটগা,	বটগাছ,	
nodnadeer,	নন্দাদীর,	নদনদীর,	
jaadrel,	জাদ্রেল,	জাঁদরেল,	
proteestha,	প্রতিষ্ঠা,	প্রতিষ্টা,	
sikarer,	শিকারের,	শিকারের,	
aansaareer,	আনসারির,	আনসারীর,	
prakalpagulor,	প্রকালপুলোর,	প্রকল্পগুলোর,	
dhos,	ধ্বস,	ধস,	
direektareeta,	ডিরেক্টরেট,	ডিরেক্টরেট,	
shpreadshhiit,	স্প্রিডসাসিট,	স্প্রেডশীট,	
hisabke,	হিসাবকে,	হিসাবকে,	
kinsa,	কিনস,	কিংস,	
gaandaas,	গানদাস,	জ্ঞানদাস,	
laishensha,	লেইনেস,	লাইসেন্স,	
byaboharkari,	ব্যবহারকারি,	ব্যবহারকারীই,	
utsahamulak,	উৎসামূলক,	উৎসাহমূলক,	
marpit,	মারপিট,	মারপিট,	
sotorkotar,	সর্তকতার,	সতর্কতার,	
homske,	হোমসকে,	হোমসকে,	
uttor,	উত্তর,	উওর,	
narsaari,	নার্সারী,	নার্সারি,	
ogrodut,	অগ্রদুত,	অগ্রদূত,	
deubande,	দিবদন্দে,	দেওবন্দে,	
shoccar,	সক্র,	সকার,	
estoniya,	এস্টোনিয়া,	এস্তোনিয়া,	
ghamtaa,	ঘামটা,	ঘোমটা,	
delivar,	দিলিভার,	ডেলিভার,	
jomaanor,	জমানোর,	জমানোর,	
oholla,	ওহলা,	অহল্যা,	
nickeel,	নিকেল,	নিকেল,	
odure,	অদূরে,	অদুরে,	
mulgoto,	মূলগত,	মূলগত,	
bosturyi,	বস্তুরি,	বস্তুরই,	
barbe,	বরবে,	বাড়বে,	
avatar,	আভতার,	অবতার,	
majhari,	মাঝারি,	মাঝারী,	
hoondayi,	হোনদে,	হুন্দাই,	
aazaan,	আজান,	আজান,	
idipas,	এডিপস,	ইডিপাস,	
armeniyana,	আরমেনিয়ান,	আর্মেনিয়ান,	
madla,	মডলা,	মাদলা,	
panctaar,	পাঁচার,	পাঁচটার,	
ganosakkhorota,	গণসক্ষরত,	গণসাক্ষরতা,	
nirikhe,	নিরীখে,	নিরিখ,	
phareksha,	ফোরেক্স,	ফরেক্স,	
liceencee,	লিসেন্স,	লাইসেন্স,	
parisankhanbid,	পরিসংখ্বিদ,	পরিসংখ্যানবিদ,	
olpo,	অল্প,	অল্প,	
omarendro,	অমরেন্দ্র,	অমরেন্দ্র,	
patzat,	পাযাজাত,	পাটজাত,	
arsie,	আর্সি,	আরসিএ,	
daebug,	দেবুগ,	ডিবাগ,	
rajtantroke,	রাজতান্ত্রকে,	রাজতন্ত্রকে,	
dokaneyi,	ডোকানেই,	দোকানেই,	
breil,	ব্রেইল,	ব্রেইল,	
siiteyi,	শিটেই,	শীতেই,	
samsher,	সমশের,	সমশের,	
phemale,	ফেমালে,	ফিমেল,	
oshamorik,	ওসামরিক,	অসামরিক,	
bbiswashke,	বিশ্বাসকে,	বিশ্বাসকে,	
khelaphatey,	খেলাফতে,	খেলাফতে,	
maudelti,	মডউললটি,	মডেলটি,	
tukrote,	টুকরোতে,	টুকরোতে,	
bamon,	বামন,	বামন,	
phartha,	ফোর্থ,	ফার্থ,	
shashoto,	শাষতও,	শাশ্বত,	
hyaloin,	হ্যালন,	হ্যালোইন,	
dhanchey,	ধাঁচে,	ধাঁচে,	
alaol,	আলাল,	আলাওল,	
korkat,	করকত,	কর্কট,	
priimo,	প্রাইমো,	প্রিমো,	
shepha,	সেফ,	শেফ,	
anchalgulote,	অঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
bonvumi,	বনভুমি,	বনভূমি,	
highcomissione,	হাইকমিশনে,	হাইকমিশনে,	
necker,	নেকের,	নেকের,	
jomkaalo,	জমকালো,	জমকালো,	
ahang,	অহং,	অহং,	
ekshor,	একশর,	একশোর,	
yuqeliptas,	ইউকেলিপ্টাস,	ইউক্যালিপ্টাস,	
morathi,	মোরাঠি,	মরাঠি,	
haipara,	হাইপার,	হাইপার,	
chalachchitratike,	চলচ্চিত্রাতিকে,	চলচ্চিত্রটিকে,	
koordider,	কুরদদির,	কুর্দিদের,	
ala,	আল্লা,	আলা,	
pratishhta,	প্রতিষ্ট,	প্রতিষ্টা,	
danob,	দানব,	দানব,	
samajikatar,	সামাজিকতার,	সামাজিকতার,	
moomtaj,	মমতাজ,	মুমতাজ,	
chhanee,	ছানি,	ছানি,	
chhidropothe,	ছিদ্রপথে,	ছিদ্রপথে,	
crescenter,	ক্রেসকেন্টার,	ক্রিসেন্টের,	
sqalastiqa,	স্কলস্টিক,	স্কলাস্টিক,	
chesha,	চেস,	চেস,	
sudrishya,	সুদৃশ্য,	সুদৃশ্য,	
sheramiksh,	সেরামিক্স,	সিরামিকস,	
tafasir,	তফসির,	তাফসীর,	
toroni,	তরণী,	তরণী,	
sahozlabhbhatar,	সহজলভভতার,	সহজলভ্যতার,	
janapoth,	জনপথ,	জনপথ,	
daltagi,	দাল্তাজী,	দলত্যাগী,	
jaanar,	জানার,	জানার,	
codeguli,	কদেগুলি,	কোডগুলি,	
osamorik,	অসামরিক,	অসামরিক,	
shikkhakke,	শিক্ষাকে,	শিক্ষককে,	
ohalyar,	অহল্যার,	অহল্যার,	
perry,	পেরি,	পেরি,	
chhatto,	ছট,	ছোট্ট,	
ishpredshhiit,	ইস্প্রেেশিত,	স্প্রেডশীট,	
veenus,	ভেনুস,	ভেনাস,	
nagorikderkey,	নাগরীকদেককে,	নাগরিকদেরকে,	
tirmiji,	তিরমিযী,	তিরমিজি,	
sommoteer,	সম্মতির,	সম্মতির,	
roomantic,	রোম্যান্টিক,	রোমান্টিক,	
samajeri,	সামাজারী,	সমাজেরই,	
wenish,	বিনিশ,	ভেনিস,	
karmosampadan,	কর্মসম্পন,	কর্মসম্পাদন,	
eenameela,	ইনামেলা,	এনামেল,	
bolechiley,	বলেছিলে,	বলেছিলে,	
labonaktatar,	লবনাক্ততা,	লবণাক্ততার,	
ghaghat,	ঘাঘাত,	ঘাঘট,	
suhasini,	সুহাসিনী,	সুহাসিনী,	
doorotomo,	দূরোতম,	দূরতম,	
shource,	সার্স,	সোর্স,	
phox,	ফ্যাক্স,	ফক্স,	
mozdur,	মজদুর,	মজদুর,	
sakar,	সকার,	সাকার,	
lojic,	লোজিক,	লজিক,	
harbour,	হারবার,	হারবার,	
mitre,	মিত্রে,	মিত্র,	
shansthatikey,	সংস্থাতিকে,	সংস্থাটিকে,	
homshke,	হমসকে,	হোমসকে,	
dhruboker,	ধ্রুবকের,	ধ্রুবকের,	
nirdeshika,	নির্দেশিকা,	নির্দেশিকা,	
taoonsheep,	তাউশীপ,	টাউনশিপ,	
danobder,	দানবদের,	দানবদের,	
bade,	বডড,	বাদে,	
sikkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
mashtersh,	ম্যাট্টার্স,	মাস্টার্স,	
odurey,	অদূরে,	অদুরে,	
themekey,	থেমেকে,	থিমকে,	
taufik,	তৌফিক,	তৌফিক,	
ovishongshon,	অভিষংষণ,	অভিশংসন,	
potthon,	পাঠন,	পঠন,	
dayitto,	দৈত্য,	দায়িত্ব,	
soinyoder,	সৈন্যদের,	সৈন্যদের,	
akkharke,	অক্ষরকে,	অক্ষরকে,	
volt,	ভোল্ট,	ভল্ট,	
nir,	নীর,	নির,	
bhaandare,	ভান্ডারে,	ভাণ্ডারে,	
enamel,	এনামেল,	এনামেল,	
bhagirath,	ভাগীরথ,	ভগীরথ,	
sur,	সুর,	সুর,	
rubi,	রুবি,	রুবি,	
shansthatir,	সংস্থতির,	সংস্থাটির,	
chowdhuryke,	চৌধুরিকে,	চৌধুরীকে,	
brittakare,	বৃত্তকারে,	বৃত্তাকারে,	
iraaner,	ইইরানের,	ইরানের,	
chalachchitroi,	চলচিত্রে,	চলচ্চিত্রই,	
pluck,	প্লক,	প্ল্যাক,	
daaktikite,	ডাক্তিকিতে,	ডাকটিকিটে,	
dhan,	ধন,	ধ্যান,	
postay,	পোস্টে,	পোষ্টে,	
maase,	মাসে,	মাসে,	
mukhya,	মূখ্য,	মুখ্য,	
sontoshe,	সন্তুষে,	সন্তোষে,	
mujibur,	মুজিবর,	মুজিবুর,	
dinara,	ডিনার,	ডিনার,	
daqop,	ডাকোপ,	দাকোপ,	
adhattikotar,	আধ্যতিকতিকার,	আধ্যাত্মিকতার,	
kompeeto,	কম্পিত,	কম্পিত,	
savanetri,	স্বানেত্রী,	সভানেত্রী,	
military,	মিলিটারী,	মিলিটারি,	
karlosha,	কারলস,	কার্লোস,	
shipa,	শিপ্পা,	শিপ,	
sotorkobhabey,	সতরকভাবে,	সতর্কভাবে,	
purohitder,	পুরোহিতদের,	পুরোহিতদের,	
baibasthaar,	ব্যবস্থার,	ব্যবস্থার,	
maudeler,	মডডেলের,	মডেলের,	
panero,	পনেরো,	পনের,	
uposthit,	উপস্থিত,	উপস্থিত,	
armeenian,	আরমেনিয়ান,	আর্মেনিয়ান,	
napper,	নাপ্যার,	ন্যাপের,	
sucharita,	সুচারিত,	সুচরিতা,	
totokshon,	ততক্ষণ,	ততক্ষন,	
fix,	ফিক্স,	ফিক্স,	
licenshe,	লাইসেনস,	লাইসেন্স,	
dhwajbhango,	ধ্বজভঙ্গ,	ধ্বজভঙ্গ,	
jalrong,	জ্যরল,	জলরঙ,	
choudhureeo,	চৌধুরিও,	চৌধুরীও,	
jolatonko,	জলাটন্ক,	জলাতঙ্ক,	
hertz,	হার্টজ,	হার্জ,	
sikkhakder,	শিক্ষাকদের,	শিক্ষকদের,	
chupi,	চুপি,	চুপি,	
yukeliptas,	ইউকেলিপ্টস,	ইউক্যালিপ্টাস,	
adhunikkaley,	আধুনিককালে,	আধুনিককালে,	
jonoikaa,	জননকা,	জনৈকা,	
oncolei,	অঞ্চলে,	অঞ্চলেই,	
nabyota,	নব্যতা,	নাব্যতা,	
ganoparibahan,	গণপরিবহন,	গণপরিবহন,	
somsher,	সমশের,	সমশের,	
miraclee,	মিরাকল,	মিরাকেল,	
parikhar,	পরিক্ষর,	পরিখার,	
cruce,	ক্রুস,	ক্রুশ,	
grambaasee,	গ্রাম্বাসী,	গ্রামবাসী,	
timothi,	তিমথি,	টিমোথি,	
modeley,	মোডলে,	মডেলে,	
cs,	সিএস,	সিএস,	
jillool,	জিল্লু,	জিল্লুল,	
venna,	ভেনা,	ভেন্না,	
somraat,	সম্রাত,	সম্রাট,	
jhalkathee,	ঝালকাঠি,	ঝালকাঠী,	
bongram,	বংগরাম,	বনগ্রাম,	
gaandas,	গ্নান্সাস,	জ্ঞানদাস,	
kushomva,	কুসম্ভ,	কুশুম্বা,	
dong,	ডং,	ডং,	
toder,	তোডের,	তদের,	
bisshaso,	বিশ্বসস,	বিশ্বাসও,	
uindoos,	উইন্ডোজ,	উইন্ডোস,	
cholochchitro,	চলচিত্র,	চলচ্চিত্র,	
danakana,	ডানাকন,	ডানকান,	
dokaangulotey,	দোকাগগুলোতে,	দোকানগুলোতে,	
rudrer,	রুদ্রের,	রুদ্রের,	
messenjer,	মেসেঞ্জের,	মেসেঞ্জার,	
hepatitish,	হেইপোটিটিস,	হেপাটাইটিস,	
parsher,	পারসের,	পার্শ্বের,	
janate,	জনতাতে,	জানাতে,	
manbe,	মানবে,	মানবে,	
protishta,	প্রতিষ্ট,	প্রতিষ্টা,	
purbanchaler,	পূর্বাঞ্চলের,	পূর্বাঞ্চলের,	
somonwitobhabey,	সমান্তভতভাবে,	সমন্বিতভাবে,	
xpresion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
rajshri,	রাজশরর,	রাজশ্রী,	
eparjonta,	এপার্জন্ত,	এপর্যন্ত,	
snepara,	স্নেপার,	স্নাইপার,	
oxfordey,	অক্সোর্ডে,	অক্সফোর্ডে,	
beeru,	বিরু,	বীরু,	
nirarthok,	নিরার্থক,	নিরর্থক,	
abheedhaaner,	অভিধানের,	অভিধানের,	
bangobandhu,	বঙ্গবন্ধু,	বঙ্গবন্ধু,	
udbhabon,	উদ্ভাবন,	উদ্ভাবন,	
bhabanipur,	ভবানীপুর,	ভবানীপুর,	
allahabadey,	অলাহাবাদে,	এলাহাবাদে,	
atorkitey,	অটর্কিতে,	অতর্কিতে,	
gronthotike,	গ্রন্থিতকে,	গ্রন্থটিকে,	
superhera,	সুপারহেরা,	সুপারহিরো,	
phutantoa,	ফুটন্ট,	ফুটন্ত,	
pretii,	প্রীতি,	প্রিটি,	
parqim,	পার্িম,	পার্কিং,	
mg,	এমএ,	এমজি,	
rajtantrake,	রাজতান্ত্রকে,	রাজতন্ত্রকে,	
jaksa,	যক্ষ,	যক্ষ,	
shrabasti,	শ্রবশ্তি,	শ্রাবস্তী,	
aborto,	আবর্ত,	আবর্ত,	
mogert,	মগের্ট,	মোজার্ট,	
hyaloyin,	হ্যালেন,	হ্যালোইন,	
gardeena,	গার্ডেন,	গার্ডেন,	
kabutarer,	কাবুতারের,	কবুতরের,	
injiniyarsa,	ইঞ্জিন্াারস,	ইঞ্জিনিয়ার্স,	
biswashi,	বিশ্বাসী,	বিশ্বাসই,	
bheemsen,	ভীমসেন,	ভীমসেন,	
fixing,	ফিকিং,	ফিক্সিং,	
bizito,	বিজিত,	বিজিত,	
talgachh,	তলগ্ছা,	তালগাছ,	
mukhomandal,	মুখমন্ডল,	মুখমণ্ডল,	
oitijhyer,	ঐতিহ্যের,	ঐতিহ্যের,	
muktoome,	মককতমে,	মাকতুম,	
byaboharkari,	ব্যবহারকারি,	ব্যবহারকারী,	
tecnokret,	টেকনোর্ট,	টেকনোক্র্যাট,	
soource,	সার্স,	সোর্স,	
longhoner,	লঙ্ঘনের,	লংঘনের,	
dipan,	দিপন,	দীপন,	
gunaman,	গুণাম,	গুণমান,	
ovarview,	ওভারভেব,	ওভারভিউ,	
selim,	সেলিম,	সেলিম,	
chowdhuryo,	চৌধুর্য,	চৌধুরীও,	
azaadeer,	আজাদীর,	আজাদীর,	
soomita,	সুমিতা,	সুমিতা,	
boneo,	বনেও,	বনেও,	
dweegulotey,	দ্বিগুলোতে,	দ্বীপগুলোতে,	
skolarsip,	স্কলারশিপ,	স্কলারশিপ,	
abasan,	আবাসন,	অবসান,	
jyaqasana,	জ্যাকশন,	জ্যাকসন,	
duckticket,	ডাক্তিকেট,	ডাকটিকিট,	
projanankaal,	প্রজননালক,	প্রজননকাল,	
itostato,	ইটস্টট,	ইতস্তত,	
obosane,	অবসানে,	অবসানে,	
bhaabaaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
utshahe,	উত্সাহে,	উৎসাহে,	
chalochchitro,	চলচিত্র,	চলচ্চিত্র,	
chetnagato,	চেতনগত,	চেতনাগত,	
koyeeri,	কোয়রি,	কোয়েরি,	
oncoleo,	অঞ্চলেও,	অঞ্চলেও,	
sarsa,	সার্স,	সোর্স,	
karmasampadan,	কর্মসম্পন,	কর্মসম্পাদন,	
directarate,	ডিরেক্টরতে,	ডিরেক্টরেট,	
alankaran,	অলংকরণ,	অলঙ্করণ,	
afzal,	আফজাল,	আফজল,	
sift,	সিফ্ট,	শিফট,	
adhit,	অধিত,	অধীত,	
bupher,	বুফার,	বাফার,	
batikromshali,	ব্যাতিক্রমশালী,	ব্যতিক্রমধর্মী,	
ko,	কো,	কেও,	
manir,	মণির,	মনির,	
byabasthar,	ব্যবস্থার,	ব্যবস্থার,	
miracle,	মিরাকল,	মিরাকেল,	
asirbad,	আশীর্বাদ,	আশির্বাদ,	
kooshumba,	কুসুমব,	কুশুম্বা,	
sedikei,	সেদিকেই,	সেদিকেই,	
suparichita,	সুপারিচিত,	সুপরিচিত,	
utsaho,	উত্সাহ,	উৎসাহ,	
farna,	ফররন,	ফার্ন,	
artilari,	অর্টিলারি,	আর্টিলারি,	
jonesh,	জোনস,	জোন্স,	
bamna,	বামনা,	বামনা,	
atwobishvashi,	অত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
kottor,	কত্টর,	কট্টর,	
sansthati,	সংস্থতি,	সংস্থাটি,	
model,	মোডেল,	মডেল,	
poorohitke,	পুরোহিতকে,	পুরোহিতকে,	
majlish,	মজলিস,	মজলিশ,	
senabahinio,	সেনাবাহিনী,	সেনাবাহিনীও,	
rupantorer,	রূপান্তরের,	রুপান্তরের,	
onchalti,	অঞ্চলটি,	অঞ্চলটি,	
goojober,	গুজবের,	গুজবের,	
juktarashtre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
utkhaat,	উৎখাত,	উত্খাত,	
mukhomaundoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
kaleo,	কালেও,	কালেও,	
arashie,	আরাসি,	আরসিএ,	
kandy,	কান্ডি,	ক্যান্ডি,	
shamook,	শামুক,	শামুক,	
dap,	ডপ,	ড্যাপ,	
chutochuti,	ছুটুচুটি,	ছুটোছুটি,	
aabarte,	আবর্তে,	আবর্তে,	
saatzoner,	সাতজনের,	সাতজনের,	
verma,	ভারামা,	ভার্মা,	
hantte,	হাঁততে,	হাঁটতে,	
thyachara,	থ্যাচার,	থ্যাচার,	
bjp,	বিএিপি,	বিজেপি,	
kortonaa,	কর্তনা,	করতনা,	
taffsherer,	তাফসারের,	তাফসীরের,	
otyachari,	অত্যাচারী,	অত্যাচারী,	
chowdhuryder,	চৌধুরিদের,	চৌধুরীদের,	
ateetkaale,	অতীতকালে,	অতীতকালে,	
