dibeta,	দিবিতা,	ডিবেট,	
ebhara,	এভার,	এভার,	
associates,	অ্যাসোসিয়েস,	এসোসিয়েটস,	
bhogini,	ভগীনী,	ভগিনী,	
bagdade,	বাগদাদে,	বাগদাদে,	
uinndo,	উইন্ডো,	উইন্ডো,	
dhanchey,	ধাঁচে,	ধাঁচে,	
shaddhii,	সাধ্ধি,	সাধ্বী,	
bona,	বোনা,	বোনা,	
horidbar,	হরিদবার,	হরিদ্বার,	
bishwash,	বিশ্বস,	বিশ্বাস,	
bhortuky,	ভর্তুকি,	ভর্তুকি,	
mahe,	মাহ,	মাহে,	
itostatah,	ইতসসতথা,	ইতস্ততঃ,	
seekkharthirao,	শিক্ষার্থীর,	শিক্ষার্থীরাও,	
shaahocharje,	সাহরর্যে,	সাহচর্যে,	
nuhash,	নুঃস,	নুহাশ,	
sonatani,	সোনাননি,	সনাতনী,	
somabeshti,	সমাবেষ্টি,	সমাবেশটি,	
dojo,	দজ,	ডোজো,	
jammu,	জাম্মু,	জম্মু,	
gazipore,	গাজীপুরে,	গাজিপুর,	
mugdal,	মুগদল,	মুগডাল,	
pratul,	প্রতুল,	প্রতুল,	
biplobi,	বিপ্লবি,	বিপ্লবী,	
waal,	ভাযাল,	উল,	
jeten,	জেতেন,	জেতেন,	
mitre,	মিত্রে,	মিত্র,	
choopi,	চুপি,	চুপি,	
aatto,	আত্ম,	আত্ম,	
kalam,	কালাম,	কালাম,	
nathivookteer,	নাথভভক্তুর,	নথিভুক্তির,	
bhenis,	ভেনিস,	ভেনিস,	
nothivukteer,	নথিভুক্তির,	নথিভুক্তির,	
drishi,	দ্রিসি,	দৃশ্যই,	
khogen,	খোগেন,	খগেন,	
bisnu,	বিষ্ণু,	বিষ্ণু,	
herisoner,	হেরিশনের,	হ্যারিসনের,	
purbanchale,	পূর্বনাচলে,	পূর্বাঞ্চলে,	
hotelteete,	হটেেলটি,	হোটেলটিতে,	
sbaajan,	স্বজন,	স্বজন,	
bhalobaas,	ভালবাস,	ভালোবাসা,	
baron,	বারণ,	ব্যারন,	
sanaktakaroner,	সন্ক্তকরণের,	সনাক্তকরণের,	
meghnabodh,	মেঘননভ,	মেঘনাদবধ,	
graambasi,	গ্রামবাসী,	গ্রামবাসী,	
nirmankaaj,	নির্মাণকা,	নির্মাণকাজ,	
soolke,	সুলকে,	শুল্কে,	
jeebjontu,	জীবনঞ্তু,	জীবজন্তু,	
liceensee,	লিসেন্স,	লাইসেন্স,	
ovijojan,	অভিযোজন,	অভিযোজন,	
kunntee,	কুনটি,	কুন্তী,	
bhuushito,	ভূষ্তিত,	ভূষিত,	
neelfamarir,	নীলফামারীর,	নীলফামারীর,	
blaker,	ব্লকের,	ব্ল্যাকের,	
kommandar,	কমান্ডার,	কমাণ্ডার,	
conserwation,	কনসারেেশন,	কনসারভেশন,	
bishshasho,	বিশ্বাস,	বিশ্বাসও,	
satarkabhabe,	সতররকভাবে,	সতর্কভাবে,	
nodiiteyi,	নদীতেই,	নদীতেই,	
kakhnoba,	ককনসা,	কখনওবা,	
aamor,	আমর,	আমর,	
sarboshokteeman,	সর্বস্কাষমত,	সর্বশক্তিমান,	
monzile,	মঞ্জিলে,	মঞ্জিলে,	
ghurte,	ঘুরতে,	ঘুরতে,	
swajaner,	স্বজনের,	স্বজনের,	
franco,	ফ্রাঙ্ক,	ফ্রাঙ্কো,	
bhardwaj,	ভার্দ্যযাজ,	ভরদ্বাজ,	
oitijhya,	ঐতিহ্য,	ঐতিহ্য,	
bongshoke,	বংশকে,	বংশকে,	
suparichita,	সুপারচচিত,	সুপরিচিত,	
jahns,	জাহস,	জন্স,	
kooda,	কোড,	কোড,	
khur,	ক্ষুর,	ক্ষুর,	
karloosa,	কার্লস,	কার্লোস,	
beeswasi,	বিশ্বাসী,	বিশ্বাসী,	
bhejaano,	ভেজানও,	ভেজানো,	
vandarey,	ভান্ডারে,	ভাণ্ডারে,	
sbatantrota,	স্বনতন্ত্রত,	স্বতন্ত্রতা,	
dokaangulote,	দোকানগুলোতে,	দোকানগুলোতে,	
munim,	মুনিম,	মুনিম,	
sohokari,	সহকারি,	সহকারী,	
poscate,	পোচচাটে,	পশ্চাতে,	
manshe,	মাংসে,	মানুষে,	
beekaargrasto,	বিকারগ্রাস্ত,	বিকারগ্রস্ত,	
shilpajata,	শিল্পজতা,	শিল্পজাত,	
turbiner,	টার্বিনের,	টারবাইনের,	
sikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
mookhomandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
kalniir,	কালনীর,	কালনীর,	
obharabhiu,	অভারভূভ,	ওভারভিউ,	
mondope,	মন্ডপে,	মন্ডপে,	
thela,	ঠেলা,	ঠেলা,	
poshte,	পোষ্টে,	পোষ্টে,	
farn,	ফার্ন,	ফার্ন,	
elakao,	এলাকাও,	এলাকাও,	
kanshater,	কংসটের,	কানসাটের,	
morathee,	মরাথী,	মরাঠি,	
uponeeshoder,	উপনিষেদের,	উপনিষদের,	
ralph,	রালফ,	রালফ,	
karpeeta,	কর্পিট,	কার্পেট,	
simmons,	সিমমন,	সিমন্স,	
forider,	ফরীদের,	ফরিদের,	
haraten,	হারাতেন,	হারাতেন,	
adhit,	অধিত,	অধীত,	
obosan,	অবসসন,	অবসান,	
parabortee,	পরবর্তী,	পরর্বতী,	
muchir,	মুচির,	মুচির,	
lutheren,	লুথারেন,	লুথেরান,	
jak,	যাক,	জাঁক,	
mozlishpoor,	মজলিসপুর,	মজলিশপুর,	
byomkes,	ব্যামকেস,	ব্যোমকেশ,	
antarctica,	অন্টারকেক,	অ্যান্টার্কটিকা,	
manbe,	মানে,	মানবে,	
bhenasa,	ভাইনাস,	ভেনাস,	
mett,	মেট,	ম্যাট,	
dosider,	দসিদের,	দোষীদের,	
chhintayikari,	ছিন্তাইকারী,	ছিনতাইকারী,	
gobhornorer,	গভর্নরের,	গভর্ণরের,	
rajotwa,	রাজত্ব,	রাজত্ব,	
nirapekkhotar,	নিরপ্কেস্তার,	নিরপেক্ষতার,	
minishtara,	মিনেস্টার,	মিনিস্টার,	
matrikar,	মাত্রিকার,	মাতৃকার,	
jathan,	যথান,	যথন,	
biswashi,	বিশ্বাসী,	বিশ্বাসী,	
danckan,	ডাঁকন,	ডানকান,	
carymb,	ক্যামবি,	করিম,	
protista,	প্রতিস্টা,	প্রতিষ্টা,	
kriseenta,	ক্রিস্টেন্ট,	ক্রিসেন্ট,	
krisenta,	ক্রিস্টেন্ট,	ক্রিসেন্ট,	
vromoner,	ভ্রমণের,	ভ্রমণের,	
oncolsoho,	অঞ্চলশহ,	অঞ্চলসহ,	
atitkaale,	অতীতকালে,	অতীতকালে,	
meetropolitan,	মিত্রোপলিটান,	মেট্রোপলিটন,	
maddhukkori,	মা্কুকরী,	মাধুকরী,	
uchhoshito,	উচ্চসিত,	উচ্ছসিত,	
gananatya,	গণনান্য,	গণনাট্য,	
heenna,	হিন্ন,	হেনা,	
taivan,	টাইভান,	তাইওয়ান,	
shookna,	শুকনা,	শুকনা,	
thai,	থাই,	থাই,	
meshenjar,	মেশেজ্জার,	মেসেঞ্জার,	
eksathei,	একসাথেই,	একসাথেই,	
gondho,	গন্ধ,	গন্ধ,	
tenisha,	টেনিস,	টেনিস,	
pragresa,	প্রগ্রেস,	প্রগ্রেস,	
muhammod,	মুহাম্মদ,	মুহম্মদ,	
digri,	ডিগ্রী,	ডিগ্রি,	
lutharan,	লুঠারণ,	লুথেরান,	
danakana,	ডানাকানা,	ডানকান,	
shulfate,	সুলফাটে,	সালফেট,	
napper,	নাপপের,	ন্যাপের,	
bonnopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
durtomo,	দুর্তম,	দূরতম,	
stalin,	স্টালিলিন,	স্টালিন,	
turqmen,	টার্কমেন,	তুর্কমেন,	
maudelke,	মাডেলকে,	মডেলকে,	
vorkendra,	ভার্কেন্দ্র,	ভরকেন্দ্র,	
bishnooke,	বিষ্ণুকে,	বিষ্ণুকে,	
musolmanera,	মুসলমমনার,	মুসলমানেরা,	
bojhar,	বোঝার,	বোঝার,	
antarvukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
bahya,	বাহ্য,	বাহ্য,	
mogert,	মগ্রে,	মোজার্ট,	
haran,	হরণ,	হারান,	
kalengga,	কালেঙ্গ,	কালেঙ্গা,	
baraakpur,	বাকারপুর,	বারাকপুর,	
samaveshti,	সমবেস্টি,	সমাবেশটি,	
alimpika,	অ্যালিম্প,	অলিম্পিক,	
seet,	সেট,	সিট,	
korimpoor,	করিমপুর,	করিমপুর,	
setike,	সেটিকে,	সেটিকে,	
kiandi,	ক্যান্ডি,	ক্যান্ডি,	
janosangyog,	জনসংঘ্ঞ,	জনসংযোগ,	
gyandas,	জ্যান্ডাস,	জ্ঞানদাস,	
byapokotor,	ব্যাপকতার,	ব্যাপকতর,	
samanwitovabe,	সমানভ্ভিতভাবে,	সমন্বিতভাবে,	
dekhbaar,	দেখবার,	দেখবার,	
lumbini,	লামবিনি,	লুম্বিনী,	
dighal,	দিওহাল,	দীঘল,	
murrayir,	মুরার,	ম্যারির,	
gazetted,	গ্যােেটেট,	গেজেটেড,	
chandrimaa,	চন্দ্রীমা,	চন্দ্রিমা,	
corymb,	করিম,	করিম,	
elgoridom,	এলগ্রোডম,	এলগরিদম,	
tobe,	তবে,	টবে,	
arakdal,	আরককদ,	আরেকদল,	
fern,	ফার্ন,	ফার্ন,	
yuroo,	ইউরু,	ইউরো,	
query,	কুউ়ি,	কোয়েরি,	
diana,	ডায়ান,	ডায়না,	
direktareta,	ডিরেক্টরে,	ডিরেক্টরেট,	
bujhleo,	বুঝলেও,	বুঝলেও,	
procharonamoolok,	প্রচারণামূলক,	প্রচারণামূলক,	
ved,	ভেদ,	বেদ,	
debdebier,	দেববেদের,	দেবদেবীর,	
antarvuktimulok,	অন্তর্ভূক্ভমূলক,	অন্তর্ভুক্তিমূলক,	
nikoter,	নিকটের,	নিকটের,	
kredita,	ক্রেতিতা,	ক্রেডিট,	
uttar,	উত্তর,	উওর,	
firoze,	ফিরজজ,	ফিরোজ,	
shooknaa,	শুকনা,	শুকনা,	
arjara,	অর্জার,	আর্যরা,	
chargito,	চার্গিত,	চার্জিত,	
manur,	মনুর,	মনুর,	
chhotogolper,	ছোটোগল্পের,	ছোটগল্পের,	
taholei,	তাহলেই,	তাহলেই,	
avishangsan,	অভিসংস,	অভিশংসন,	
durgandho,	দুর্ঘন্ধ,	দুর্গন্ধ,	
susama,	সুসম,	সুসম,	
steena,	স্টেন,	স্টেন,	
ispredseet,	এস্পেরসেড,	স্প্রেডশীট,	
jahora,	জাহরা,	যাহরা,	
sanaktakaran,	সন্ক্তকরণ,	সনাক্তকরণ,	
temanbhabe,	তেমনভাবে,	তেমনভাবে,	
bandhutwo,	বন্ধুত্ব,	বন্ধুত্ত্ব,	
edaning,	এডানিং,	ইদানীং,	
kommatei,	কমাতেই,	কমাতেই,	
township,	টাউন্পিপ,	টাউনশিপ,	
meghke,	মেঘকে,	মেঘকে,	
zubokera,	যুবকেরা,	যুবকেরা,	
infarmatian,	ইনফর্মেশন,	ইনফরমেশন,	
eukalyptush,	ইউক্লালিপটাস,	ইউক্যালিপ্টাস,	
phooloo,	ফুলও,	পোলো,	
pala,	পাল,	পোলো,	
trayte,	ট্রেটে,	ট্রেতে,	
emarjenshi,	এমার্জেন্সি,	এমার্জেন্সি,	
ekkoghore,	একঘরগে,	একঘরে,	
ooindo,	উইন্দ,	উইন্ডো,	
rupert,	রাপার্ট,	রুপার্ট,	
avijojan,	অভিযোজন,	অভিযোজন,	
dorji,	দরজি,	দরজি,	
andaman,	আন্দমান,	আন্দামান,	
dharagulo,	ধারগুুলো,	ধারাগুলো,	
kanasarabheshana,	কনসারেশন,	কনসারভেশন,	
morodeho,	মরদদেহ,	মরদেহ,	
olongkoron,	অলংকরণ,	অলঙ্করণ,	
bachchaner,	বাচ্ছনের,	বচ্চনের,	
fund,	ফাউন্ড,	ফান্ড,	
ganoporibahaner,	গণপরিবাননের,	গণপরিবহনের,	
bohubar,	বহুবার,	বহুবার,	
chalachchitragulor,	চলচ্চিত্রালুলার,	চলচ্চিত্রগুলোর,	
bbonyopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
drishyogulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
chhanake,	ছানকে,	ছানাকে,	
duma,	দুম,	দুমা,	
choudhoorir,	চৌধুরির,	চৌধুরীর,	
pattern,	প্যাটার্ন,	প্যাটার্ন,	
netherland,	নেদারল্যান্ড,	নেদারল্যান্ড,	
parther,	পার্থার,	পার্থের,	
pathkramer,	পথক্রমের,	পাঠক্রমের,	
darzi,	ডার্জি,	দরজি,	
sahabah,	সহহব,	সাহাবাহ,	
shuparahiro,	সুপারহহির,	সুপারহিরো,	
pragreesa,	প্রগ্রেস,	প্রগ্রেস,	
siddhantey,	সিদ্ধনতে,	সিদ্ধান্তে,	
panchasjon,	পঞ্চাশনন,	পঞ্চাশজন,	
mesenjarer,	মেসেজ্ঞারের,	মেসেঞ্জারের,	
meterey,	মেটারে,	মিটারে,	
ashok,	আসোক,	আশোক,	
shhcholashtik,	স্কলাসিত,	স্কলাস্টিক,	
seeramiker,	সিরামীকের,	সিরামিকের,	
manabmaner,	মানবমনের,	মানবমনের,	
udvabone,	উদ্ভাবনে,	উদ্ভাবনে,	
chalabe,	চালাবে,	চালাবে,	
sorjur,	সর্জুর,	সরযূর,	
gonocheen,	গণছিন,	গণচীন,	
degreeo,	ডিগ্রীও,	ডিগ্রিও,	
hilser,	হিলসের,	হিলসের,	
umedpur,	উমেদপুর,	উমেদপুর,	
seekkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
hoj,	হজ,	হয,	
salapheeta,	সালফীট,	সালফেট,	
jibjantu,	জীবনঞ্তু,	জীবজন্তু,	
arasie,	আরাসি,	আরসিএ,	
chhedon,	ছেদন,	ছেদন,	
ganoporibahan,	গণপরিবাহন,	গণপরিবহন,	
bima,	বিমা,	বিম,	
dharavahikeo,	ধারাভিহাকে,	ধারাবাহিকেও,	
nadnadeer,	নাদ্যাদির,	নদনদীর,	
ingrejraa,	ইংরেজ্রা,	ইংরেজরা,	
satarkakari,	সরারকাকারী,	সতর্ককারী,	
hiragana,	হিরাগান,	হিরাগানা,	
kanflikt,	কান্ফিকট,	কনফ্লিক্ট,	
marmaara,	মারমারা,	মারমারা,	
juboksoho,	যুবস্খ,	যুবকসহ,	
nariider,	নারীদের,	নারীদের,	
armeenian,	অর্মিনিয়ান,	আর্মেনিয়ান,	
fiksim,	ফিক্সিং,	ফিক্সিং,	
labonaktatar,	লবনাক্ততার,	লবণাক্ততার,	
tyapa,	ট্যাপ,	ট্যাপ,	
ganjana,	গঞ্জন,	গঞ্জনা,	
uporzon,	উপরজন,	উপার্জন,	
berubar,	বেরুবার,	বেরুবার,	
chapal,	চাপাল,	চপল,	
stena,	স্টেন,	স্টেন,	
peterkay,	পিটারকে,	পিটারকে,	
isan,	আইনন,	ঈশান,	
kalkarkhana,	কললক্রণা,	কলকারখানা,	
advut,	অদ্দুত,	অদ্ভুত,	
chhutee,	ছুটি,	ছুটি,	
vogno,	ভগ্ন,	ভগ্ন,	
tarkareer,	তরকারীর,	তরকারীর,	
zeans,	জিনস,	জিন্স,	
haajarer,	হাজারের,	হাজারের,	
sepha,	সেফ,	শেফ,	
jamkalo,	জামকাল,	জমকালো,	
madola,	মাদল,	মাদলা,	
asovvo,	অসবভ,	অসভ্য,	
chhatoke,	ছোটকে,	ছাতকে,	
lag,	লাগ,	লগ,	
folo,	ফলও,	পোলো,	
sqolastic,	স্কলাসিট্ক,	স্কলাস্টিক,	
chalachchitra,	চাচিচ্র্ত,	চলচ্চিত্র,	
hundai,	হান্দাই,	হুন্দাই,	
porikhar,	পরিক্ষার,	পরিখার,	
hoonayin,	হানাইয়েন,	হুনাইন,	
dobhaar,	দোভার,	ডোভার,	
mukhbaundho,	মুখবুন্ধ,	মুখবন্ধ,	
jatota,	যতটা,	যতোটা,	
bijit,	বিজিত,	বিজিত,	
songkulan,	সংকুলান,	সংকুলান,	
grovth,	গ্রল,	গ্রোথ,	
hiragaana,	হিরাগান,	হিরাগানা,	
haitasha,	হাইটাস,	হাইটস,	
utsaha,	উত্সাহ,	উৎসাহ,	
onodhikar,	অনধিকার,	অনধিকার,	
gronthowo,	গ্রন্থাভ,	গ্রন্থও,	
lokhindorer,	লোখিনদরদের,	লখিন্দরের,	
toroonderke,	তরুন্দররকে,	তরুণদেরকে,	
somudrotote,	সমুদ্রতে,	সমুদ্রতটে,	
mosjidsaha,	মসসিসদা,	মসজিদসহ,	
templete,	টেম্পললে,	টেম্পলেট,	
akram,	আকরাম,	আকরাম,	
bhromonkale,	ভ্রমণকালে,	ভ্রমণকালে,	
jolaatanko,	জলাতন্ত,	জলাতঙ্ক,	
elakaa,	এলাকা,	এলাকা,	
qyanela,	ক্যানেলা,	ক্যানেল,	
orthonitike,	অর্থনীতিকে,	অর্থনীতিকে,	
temanti,	টেমান্তি,	তেমনটি,	
bhabanir,	ভবনীীর,	ভবানীর,	
palestinea,	প্যালেস্টাইন,	প্যালেস্টাইনে,	
guzob,	গুজব,	গুজব,	
dacope,	ডাকোপে,	দাকোপ,	
maladabha,	মালাাা,	মলদোভা,	
bholapuka,	ভোলাপুকা,	ভোলাপুক,	
ajij,	অ্যাজিজ,	আজিজ,	
ojuhat,	অযুহ,	অজুহাত,	
stonaheenja,	স্তনাহহ্ঞ্,	স্টোনহেঞ্জ,	
tigar,	তিগার,	টাইগার,	
abhidhaaneec,	অভিধাধিন,	অভিধানিক,	
sampadankaree,	সম্পাদকারকী,	সম্পাদনকারী,	
toroonke,	তরর্কে,	তরুণকে,	
larson,	লারসন,	লারসন,	
santaa,	সান্তা,	সান্তা,	
somonwitobhabey,	সমনভনিভতভেবে,	সমন্বিতভাবে,	
drishyagulo,	দৃশ্যাগুলো,	দৃশ্যগুলো,	
tintir,	তিনটির,	তিনটির,	
choudhooreeder,	চৌরুদেরের,	চৌধুরীদের,	
naubom,	নবম,	নবম,	
siddharther,	সিদ্ধার্থের,	সিদ্ধার্থের,	
potochitrer,	পতিচিত্রের,	পটচিত্রের,	
satthik,	সাথিক,	সঠিক,	
koota,	কোট,	কোটা,	
promotione,	প্রমোশন,	প্রোমোশনে,	
shtona,	স্টোন,	স্টোন,	
chootite,	চুটিতে,	ছুটিতে,	
remacri,	রেমাক্রি,	রেমাক্রী,	
quata,	কোয়াট,	কোটা,	
bisheshshyo,	বিশেষও,	বিশেষ্য,	
pachchen,	পাচ্ছেন,	পাচ্ছেন,	
chaalaabi,	চালাবি,	চালাবে,	
jonoika,	জোনিকা,	জনৈকা,	
aatok,	আটক,	আটক,	
janmat,	জন্মাত,	জন্মাত,	
maahe,	মাহে,	মাহে,	
bhenicer,	ভেনিসের,	ভেনিসের,	
deraa,	দেরা,	ডেরা,	
patthon,	পাঠান,	পঠন,	
eucalyptus,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
aansareer,	আনসারির,	আনসারীর,	
jothartho,	যথার্থ,	যথার্থ,	
chainge,	চ্যাঙেজ,	চেঞ্জ,	
metropalitana,	মেট্রাপলিটান,	মেট্রোপলিটন,	
eenjil,	এঞ্জেল,	ইঞ্জিল,	
conservetion,	কনসারেেনন,	কনসারভেশন,	
kk,	কিক,	কেকে,	
fix,	ফিক্স,	ফিক্স,	
marryir,	মেরির,	ম্যারির,	
beekaargrasta,	বিকারগ্রাস্ত,	বিকারগ্রস্ত,	
baasate,	বাসাতে,	বাসাতে,	
blagarara,	ব্লাগারার,	ব্লগাররা,	
nirabota,	নিরবতা,	নিরবতা,	
bhalta,	ভাল্টা,	ভল্ট,	
idipas,	এডিপাশ,	ইডিপাস,	
kyapashula,	ক্যাপাুল,	ক্যাপসুল,	
upobaser,	উপবাসের,	উপবাসের,	
senior,	সেনিয়ার,	সিনিয়র,	
baharamporer,	বহরর্মপুরের,	বহরমপুরের,	
aarakaner,	আরাকনের,	আরাকানের,	
ghoshito,	ঘোষিত,	ঘোষিত,	
fiksa,	ফিক্স,	ফিক্স,	
treevuj,	ত্রিভুজ,	ত্রিভূজ,	
valobasake,	ভালবাসাকে,	ভালোবাসাকে,	
faranyata,	ফরর্যাত,	ফরম্যাট,	
madhoori,	মাধুরি,	মাধুরী,	
larshon,	লারসন,	লারসন,	
hachchilo,	হচ্ছিল,	হচ্ছিলো,	
artilari,	অর্টেলিরা,	আর্টিলারি,	
inshtol,	ইনস্টল,	ইন্সটল,	
transhform,	ট্রান্সফর্ম,	ট্রান্সফর্ম,	
bujhechhila,	বুঝেছিল,	বুঝেছিল,	
lokshero,	লক্ষ্যের,	লক্ষেরও,	
manushti,	মানুষ্টি,	মানুষটি,	
songasthatike,	সংস্থাটিকে,	সংস্থাটিকে,	
bajite,	বাজিতে,	বাজিতে,	
setikey,	সেটিকে,	সেটিকে,	
maudeling,	মাযাডলিজ,	মডেলিং,	
besooro,	বেসরু,	বেসুর,	
ganonanatto,	গণনানাত্য,	গণনাট্য,	
shahoshikatar,	শহসিকতার,	সাহসিকতার,	
scorey,	স্করে,	স্কোরে,	
hossne,	হোন্ন,	হোসনে,	
loha,	লোহা,	লোহা,	
sorsa,	সর্স,	সোর্স,	
rushd,	রুশ্ড,	রুশদ,	
jini,	জিনি,	যিনি,	
bangobandhu,	বা্গবন্ধু,	বঙ্গবন্ধু,	
bashitey,	বাসিতে,	বাঁশিতে,	
setitey,	সেটিতে,	সেটিতে,	
parbotto,	পর্বত্্ত্ব,	পার্বত্য,	
postake,	পোস্তাকে,	পোস্টকে,	
choudhurio,	চৌধুরিও,	চৌধুরীও,	
annorup,	অন্যরুপ,	অন্যরূপ,	
nutoner,	নতুনের,	নূতনের,	
nikel,	নিকেল,	নিকেল,	
durotaumo,	দুরতাতম,	দূরতম,	
daawn,	ডাউন,	ডাউন,	
dakshinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
parikha,	পরীক্ষা,	পরিখার,	
aloteo,	আলতেও,	আলোতেও,	
bhangley,	ভাঙলে,	ভাঙলে,	
khorsed,	খররেস,	খোরশেদ,	
amerikar,	অ্যামেরিকার,	আমেরিকার,	
elakate,	এলাকাতে,	এলাকাতে,	
shikkhao,	শিক্ষাও,	শিক্ষাও,	
diyi,	দিএ,	দিই,	
shangkalonti,	সংকালটন্তি,	সংকলনটি,	
gronthotyke,	গ্রন্থাতিকে,	গ্রন্থটিকে,	
parbatmala,	পর্বতমালা,	পর্বতমালা,	
keraam,	কিরাম,	কেরাম,	
mautke,	মটকে,	মতকে,	
rutina,	রুটিন,	রুটিন,	
gabeshonar,	গবেষণার,	গবেষনার,	
orhan,	ওরহান,	ওরহান,	
kada,	কাদ,	কোডা,	
saphallyar,	সফল্যযার,	সাফল্যের,	
jaygata,	জাগগ,	জায়গাটা,	
gandhiio,	গান্ধিও,	গান্ধীও,	
pothchari,	পথচারী,	পথচারী,	
shikhechi,	শিখেছি,	শিখেছি,	
meloonborrone,	মেলান্ররণে,	মেলবোর্নে,	
charrjer,	চার্জের,	চার্জের,	
machgulo,	মাছগুলো,	মাছগুলো,	
gobeshonar,	গবেষণার,	গবেষনার,	
sombhobonaow,	সম্ভবনওও,	সম্ভবনাও,	
alsara,	অল্সার,	আলসার,	
sahoocorzo,	সাহুর্জ্য,	সাহচর্য,	
baek,	বাইক,	বাইক,	
arik,	অরিক,	আরিক,	
bahaal,	বাহাল,	বহাল,	
indro,	ইন্দ্রো,	ইন্দ্র,	
sattweo,	সত্ত্বেও,	সত্ত্বেও,	
gutano,	গুটনও,	গুটানো,	
hol,	হল,	হোল,	
ghotlo,	ঘটতল,	ঘটল,	
arakaner,	অরাকনের,	আরাকানের,	
odure,	অদূরে,	অদুরে,	
taale,	তালে,	তালে,	
rajashri,	রাজার্সী,	রাজশ্রী,	
keke,	কেক,	কেকে,	
pravuder,	প্রভুডের,	প্রভুদের,	
gemi,	জেমি,	জেমি,	
futbolarer,	ফুটবললের,	ফুটবলারের,	
foksher,	ফক্ষের,	ফক্সের,	
pashaner,	পাশনের,	পাষাণের,	
udbodhone,	উদ্বোধনে,	উদ্বোধনে,	
protisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
planey,	প্লানে,	প্লেনে,	
pirujalee,	পিরুজালী,	পিরুজালী,	
moshjid,	মস্জিদ,	মসজিদ,	
mast,	মাস্ট,	মাস্ত,	
shima,	সিম,	সীমা,	
zesa,	জেস,	জেস,	
swasti,	স্বাস্তি,	স্বস্তি,	
gosthi,	গোষ্ঠি,	গোষ্ঠী,	
sobchey,	সবচে,	সবচে,	
joruri,	জরুরি,	জরূরী,	
bouddha,	বৌদ্ধ,	বৌদ্ধ,	
license,	লিসেন্স,	লাইসেন্স,	
rinattak,	ঋণাত্মক,	ঋনাত্মক,	
panjikar,	পাঞ্জিকার,	পঞ্জিকার,	
ohollar,	অহলার,	অহল্যার,	
gabeshanagar,	গবেষণাগার,	গবেষনাগার,	
nirgaman,	নির্জমান,	নির্গমন,	
poriikkhateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
baikalya,	বাকলল,	বৈকল্য,	
pooroheetra,	পুরিহেত্র,	পুরোহিতরা,	
akjoge,	অকযো,	একযোগে,	
path,	পাঠ,	পাথ,	
basa,	বসা,	বাসা,	
podarthobid,	পদার্থবিদ,	পদার্থবিদ,	
tinhazar,	তিনহাজার,	তিনহাজার,	
america,	অ্যামেরিকা,	আমেরিকা,	
oitijjho,	ঐতিহ্য,	ঐতিহ্য,	
noter,	নোটের,	নোটের,	
pray,	প্রে,	প্রায়,	
injeel,	ইঞ্জেল,	ইঞ্জিল,	
satarkotar,	সরারকতার,	সতর্কতার,	
hurricane,	হারিকেন,	হ্যারিকেন,	
rohosyer,	রহসের,	রহস্যের,	
ruplal,	রূপলল,	রূপলাল,	
pravritite,	প্রভৃতিতে,	প্রভৃতিতে,	
cloud,	ক্লাউড,	ক্লাউড,	
badei,	বাদেই,	বাদেই,	
sotorkotar,	সররকতার,	সতর্কতার,	
gemske,	জেমস্কে,	জেমসকে,	
showte,	সোটে,	শোতে,	
tochhnochh,	তথনছ,	তছনছ,	
tyunar,	টিউনার,	টিউনার,	
gafiloti,	গ্যাফিলটি,	গাফিলতি,	
ekatto,	একাত্ম,	একাত্ব,	
bade,	বাদে,	বাদে,	
alimpiqa,	অ্যালিম্প,	অলিম্পিক,	
laishensh,	লেসিন্স,	লাইসেন্স,	
jaqi,	জাকী,	জকি,	
oitihye,	ঐতিহে,	ঐতিহ্যে,	
shodhan,	সোধন,	শোধন,	
bipradas,	বিপ্রদাশ,	বিপ্রদাস,	
tyap,	ট্যাপ,	ট্যাপ,	
emarzensi,	এমারজেনন্সি,	এমার্জেন্সি,	
beshirbhaagei,	বেশিরভাগে,	বেশিরভাগেই,	
mit,	মিট,	এমআইটি,	
manee,	মেন,	মানে,	
sakar,	সাকার,	সকার,	
harbare,	হার্বারে,	হারবারে,	
lendl,	লেন্ডল,	লেন্ডল,	
rupantar,	রূপান্তর,	রুপান্তর,	
jons,	জনস,	জোন্স,	
gaugee,	গগগী,	গেজ,	
shchalastic,	স্কলাটিক,	স্কলাস্টিক,	
onektai,	অনেকটি,	অনেকটাই,	
station,	স্টেশন,	ষ্টেশন,	
tiger,	টিগের,	টাইগার,	
atyacharer,	অত্যাচারের,	অত্যাচারের,	
kurdira,	কুর্দিরা,	কুর্দিরা,	
ajauno,	অজান,	অযৌন,	
charchito,	চার্চিত,	চর্চিত,	
creshcent,	ক্রেস্সেন্ট,	ক্রিসেন্ট,	
naajii,	নাজি,	নাত্সি,	
