chalachchitrei,	চলচচচত্রে,	চলচ্চিত্রেই,	
ajija,	আজিজা,	আজিজা,	
obolokon,	অবলকক,	অবলোকন,	
buffer,	বুফের,	বাফার,	
goteerodh,	গতিরোধ,	গতিরোধ,	
muhamada,	মুহমাদ,	মুহাম্মদ,	
sudhuyi,	সুধুই,	শুধুই,	
samanya,	সামন্য,	সামান্য,	
dover,	ডভভে,	ডোভার,	
miley,	মিলে,	মিলে,	
loukikota,	লৌকিকত,	লৌকিকতা,	
shhip,	শিপ,	শিপ,	
kraima,	ক্রাইম,	ক্রাইম,	
saseja,	সাসেজ,	সসেজ,	
shikh,	শিখ,	শিখ,	
bondi,	বন্ডি,	বন্দী,	
bonyopran,	বন্যপ্র্ণ,	বন্যপ্রাণ,	
manahputo,	মাাপুপত,	মনঃপুত,	
americar,	আমেরেকিরা,	আমেরিকার,	
jeebjontu,	জীবননুত,	জীবজন্তু,	
shaahaabiike,	সাহাবিকে,	সাহাবীকে,	
shoori,	শুরি,	সুরি,	
sucre,	সাক্র,	সাকার,	
deembakriti,	ডিম্বককৃতি,	ডিম্বাকৃতি,	
chetonagoto,	ছেতনাগো,	চেতনাগত,	
simmons,	সিমন্স,	সিমন্স,	
reefleex,	রেফ্্ককস,	রিফ্লেক্স,	
spredashita,	স্প্রেডেশি,	স্প্রেডশীট,	
subadey,	সুবাে,	সুবাদে,	
aazaan,	আজান,	আজান,	
ul,	উল,	উল,	
karmosampadan,	কর্মস্্পপন,	কর্মসম্পাদন,	
peterer,	পেটেরের,	পিটারের,	
pakhirai,	পখখররা,	পাখিরাই,	
karuna,	করুণ,	করুণা,	
tolemyr,	টলেমি,	টলেমির,	
angsogrohon,	অংসগ্রহ,	অংশগ্রহন,	
ekatto,	একত্ত,	একাত্ব,	
daacktickete,	ডাক্কিকিকে,	ডাকটিকিটে,	
fala,	ফাল,	পোলো,	
dweepkey,	দ্বীপকে,	দ্বীপকে,	
udvaboni,	উদ্বববন,	উদ্ভাবনী,	
bufer,	বুফার,	বাফার,	
graambaasi,	গ্রামবাসীী,	গ্রামবাসী,	
parker,	পারককের,	পার্কের,	
dancan,	ডাঁকা,	ডানকান,	
hugheske,	হুঘেসকে,	হিউজকে,	
ekirokom,	একিরক,	একইরকম,	
sofy,	সফি,	সোফি,	
meghe,	মেঘে,	মেঘে,	
eenameel,	এনমেে,	এনামেল,	
odure,	অদুরে,	অদুরে,	
inapharamesana,	এনফররমেনন,	ইনফরমেশন,	
spreeadshiit,	স্প্রেডসেি,	স্প্রেডশীট,	
vastuvad,	ভস্তুভাদ,	বস্তুবাদ,	
atmabiswasi,	আত্তবিব্ববীী,	আত্মবিশ্বাসী,	
laala,	লালা,	লালা,	
carpeter,	কর্পেেরর,	কার্পেটের,	
teemothi,	তিমোি,	টিমোথি,	
bonobhumi,	ভনভূমি,	বনভূমি,	
gaddaafee,	গাদ্দাফ,	গাদ্দাফী,	
embed,	এমববব,	এম্বেড,	
baasa,	বাসা,	বাসা,	
kindama,	কিন্ডা,	কিংডম,	
proshadhoni,	প্রসাধনন,	প্রসাধনী,	
omanisha,	অমানস,	অমানিশা,	
dembakreeti,	দেম্বাকৃতত,	ডিম্বাকৃতি,	
gaandaas,	গান্ডসস,	জ্ঞানদাস,	
moshjid,	মস্জিদ,	মসজিদ,	
elakaai,	এলাকাই,	এলাকাই,	
moushum,	মৌশম,	মৌসুম,	
shikhbey,	শিখবে,	শিখবে,	
gostheeti,	গোষ্ঠিত,	গোষ্ঠীটি,	
meeseenjar,	মিশিঞ্জ,	মেসেঞ্জার,	
ballabh,	বললাভ,	বল্লভ,	
tenise,	টেনিসে,	টেনিসে,	
dajjho,	দাঝ্,	দাহ্য,	
ghotol,	ঘটল,	ঘটল,	
bondhubhabapanno,	বন্ধুবা্বনন,	বন্ধুভাবাপন্ন,	
byatikrami,	ব্যাতিক্রী,	ব্যতিক্রমী,	
durvagyo,	দুর্ভা্্,	দূর্ভাগ্য,	
gronthowo,	গ্রন্থ,	গ্রন্থও,	
bishshaash,	বিশ্বা,	বিশ্বাস,	
gripe,	গ্রীপে,	গ্রিপ,	
valobasakey,	ভালভসসাকে,	ভালোবাসাকে,	
shasonkarta,	শাসককর্ত,	শাসনকর্তা,	
kanda,	কা্ড,	কাণ্ড,	
expression,	এক্সপ্রেেন,	এক্সপ্রেশন,	
sotteo,	সত্তে,	সত্ত্বেও,	
byomkesh,	ব্যমককে,	ব্যোমকেশ,	
oviyojan,	অভিযাজন,	অভিযোজন,	
euroo,	আউর,	ইউরো,	
muscut,	মুসকুট,	মাস্কাট,	
iraner,	ইরাণের,	ইরানের,	
oporishodhito,	অপরিিিিি,	অপরিশোধিত,	
suparichito,	সুপররিত,	সুপরিচিত,	
ojuhat,	অযুহাত,	অজুহাত,	
tinti,	তিনটি,	তিনটি,	
udvabone,	উদ্ভববে,	উদ্ভাবনে,	
sabhanetri,	সভননে্তর,	সভানেত্রী,	
karmakarer,	কর্মকারের,	কর্মকারের,	
keyboard,	কেইোরর্ড,	কীবোর্ড,	
gaziipur,	গাজীপুর,	গাজীপুর,	
baikalyo,	বৈকল্য,	বৈকল্য,	
bagdadii,	বাগ্াদী,	বাগদাদী,	
eeraner,	ইরনেরর,	ইরানের,	
suparichiti,	সুপারিচিত,	সুপরিচিতি,	
dhhaaloor,	ঢালুর,	ঢালুর,	
aaireesh,	আইরিস,	আইরিস,	
ogrodut,	অগ্রুুত,	অগ্রদূত,	
protijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
thatcher,	থাঁেে,	থ্যাচার,	
zillul,	জিল্লু,	জিল্লুল,	
bhittiei,	ভিত্ই,	ভিত্তিই,	
asabhyaa,	অসভ্যা,	অসভ্য,	
choddo,	চদ্দ,	চোদ্দো,	
gatrey,	গাত্রে,	গাত্রে,	
holdin,	হল্ডিন,	হোল্ডিং,	
pratimake,	প্রতিমাকে,	প্রতিমাকে,	
suma,	সুমা,	সুমো,	
vaticaner,	ভাতিকানের,	ভ্যাটিকানের,	
tochnochh,	টোচনো,	তছনছ,	
bishasey,	বিশাসে,	বিশ্বাসে,	
sthaponatir,	স্থাপনাটির,	স্থাপনাটির,	
vabotarini,	ভবতররীীী,	ভবতারিণী,	
gronthotyke,	গ্রন্থিিকে,	গ্রন্থটিকে,	
khanonkaaj,	খননাকজ,	খননকাজ,	
durgoto,	দুর্গ,	দূর্গত,	
aagom,	আগম,	আগম,	
probesher,	প্রবেশের,	প্রবেশের,	
baire,	বায়ে,	বাইরে,	
sahocorrzo,	সহচরর্,	সাহচর্য,	
karlosh,	কার্ল,	কার্লোস,	
dankan,	দা্কা,	ডানকান,	
proteesthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
cal,	কায,	চাল,	
goshthiti,	গোষ্ঠিতি,	গোষ্ঠীটি,	
definishhion,	ডেফিনিশন,	ডেফিনেশন,	
soinyora,	সৈন্যর,	সৈন্যরা,	
upobaasher,	উপবাশের,	উপবাসের,	
sahapatheekey,	সহপাথীকে,	সহপাঠীকে,	
anadhikar,	অনাধিকার,	অনধিকার,	
komtee,	কমটি,	কমতি,	
dai,	দাই,	দিই,	
bongobondhu,	বঙ্ববুধধ,	বঙ্গবন্ধু,	
bisnooke,	বিষ্ণুকে,	বিষ্ণুকে,	
soccar,	সক্চার,	সকার,	
teto,	তে,	তেতো,	
hola,	হোল,	হোল,	
ssosha,	সোসা,	শশা,	
nagarikkey,	নাগররিকে,	নাগরিককে,	
hajeerhat,	হাহিরহ,	হাজিরহাট,	
sikkhaou,	শিক্ষাও,	শিক্ষাও,	
abhidhaanic,	অভিধানিক,	অভিধানিক,	
deliver,	ডেলিভের,	ডেলিভার,	
seektara,	সেক্টার,	সেক্টর,	
kuary,	কায়রি,	কোয়েরি,	
mukhomandol,	মুখমনডড,	মুখমণ্ডল,	
somabeshke,	সমবােেকে,	সমাবেশকে,	
kyashpar,	ক্যাসপার,	ক্যাসপার,	
roktokhorone,	রক্তকররণ,	রক্তক্ষরণে,	
moshjidtike,	মশসিিিিিকে,	মসজিদটিকে,	
upobaasee,	উপবাসী,	উপবাসী,	
dayna,	ডেনন,	ডায়না,	
bojhao,	বঝঝা,	বোঝাও,	
ishahak,	ইসাহক,	ইসাহাক,	
pchok,	প্চ,	পাচক,	
asbar,	আসবার,	আসবার,	
tonight,	টনিগ্,	টুনাইট,	
dupleks,	ডাপ্্ক্স,	ডুপ্লে,	
kousholgoto,	কৌললগ,	কৌশলগত,	
skarta,	স্কার্ট,	স্কার্ট,	
sazanor,	সাজানর,	সাজানোর,	
aoki,	আকিক,	এওকি,	
shukraanu,	শুক্রাণু,	শুক্রানু,	
muhammad,	মুহম্্াা,	মুহাম্মদ,	
bonnopraan,	বন্পপ্রান,	বন্যপ্রাণ,	
horippur,	হরিপপর,	হরিপুর,	
digreeke,	ডিগ্রিকে,	ডিগ্রিকে,	
madhabi,	মাধাবী,	মাধবী,	
armstranj,	আর্মস্ঞা্্,	আর্মস্ট্রং,	
dailee,	ডাইল,	ডেইলি,	
mathews,	ম্যাথেস,	ম্যাথিউস,	
turqamena,	টুরক্রেন,	তুর্কমেন,	
uporoshtho,	উপরস্থ,	উপরস্থ,	
miitar,	মিতার,	মিত্র,	
boudhheer,	বৌধ্ধির,	বৌদ্ধের,	
pnouchute,	পৌঁৌতে,	পৌঁছুতে,	
instant,	ইনস্টান্টট,	ইনস্ট্যান্ট,	
porishrom,	পরিশ্রম,	পরিশ্রম,	
vortuki,	ভরর্তুক,	ভর্তুকি,	
goroor,	গরুর,	গরুর,	
oitijjher,	ঐতিঝ্যের,	ঐতিহ্যের,	
pratisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
grambaasir,	গ্রামবাসীর,	গ্রামবাসীর,	
nagorikra,	নাগরককর,	নাগরিকরা,	
danab,	দাবা,	দানব,	
eshiyatiqa,	এসিযাটিক,	এশিয়াটিক,	
madhobir,	মাধবীর,	মাধবীর,	
gor,	গর,	গোর,	
bhezano,	ভেজান,	ভেজানো,	
hatodaridra,	হতদররদ্র,	হতদরিদ্র,	
hilse,	হিলসস,	হিলসে,	
leadar,	লেডার,	লিডার,	
abheedhaneek,	অভিধানিক,	অভিধানিক,	
hipar,	হিপার,	হাইপার,	
rupart,	রুপার্ট,	রুপার্ট,	
dhas,	ধাস,	ধস,	
pravu,	প্রভু,	প্রভু,	
bujhechilo,	বুঝেছিল,	বুঝেছিল,	
mookhomandoler,	মুখমনডডের,	মুখমণ্ডলের,	
anhu,	আনহু,	আনহু,	
liceensing,	লেসেস্সি,	লাইসেন্সিং,	
aparagata,	অপররগা,	অপারগতা,	
shangkulaan,	সংকুলান,	সংকুলান,	
nuton,	নুটন,	নূতন,	
duburyra,	দুবুরির,	ডুবুরিরা,	
utshahomulok,	উৎসসসূূকক,	উৎসাহমূলক,	
satarkakari,	সতররকককরী,	সতর্ককারী,	
mosjidkey,	মস্জিদকে,	মসজিদকে,	
durgotsob,	দুর্গসব,	দুর্গোৎসব,	
itostatoh,	ইতস্তাহ,	ইতস্ততঃ,	
meterey,	মেটের,	মিটারে,	
byaboharkariyi,	ব্যাহাররারী,	ব্যবহারকারীই,	
bhotarer,	ভতররের,	ভোটারের,	
cholochchitraeei,	চলচ্ততররর,	চলচ্চিত্রেই,	
jarusalem,	জারুসামে,	জেরুসালেম,	
daeel,	ডাল,	ডেইল,	
laga,	লাগ,	লগ,	
beshirbhaagi,	বেশারভাগী,	বেশিরভাগই,	
rabe,	রাব,	রবে,	
bibechyo,	বিবেছ্য,	বিবেচ্য,	
remacry,	রেমাক্রি,	রেমাক্রী,	
boshoborty,	বববর্তি,	বশবর্তী,	
rabo,	রাব,	রব,	
hood,	হুড,	হুড,	
monjiley,	মঞ্জিলে,	মঞ্জিলে,	
ponjeekar,	পঞ্জিকার,	পঞ্জিকার,	
gandhiio,	গা্ধীও,	গান্ধীও,	
foreex,	ফরিক্স,	ফরেক্স,	
bhaangchur,	ভাংচুর,	ভাংচুর,	
soranor,	সরাণোর,	সরানোর,	
badey,	বাডে,	বাদে,	
neelabh,	নিলাভ,	নীলাভ,	
jerujalem,	জেরুজােম,	জেরুসালেম,	
marodeha,	মারদেহ,	মরদেহ,	
spencer,	স্পেন্সের,	স্পেন্সার,	
neelkuthir,	নিলককঠির,	নীলকুঠির,	
moshzidke,	মসসজিককে,	মসজিদকে,	
bedke,	বেযকে,	বেদকে,	
mufti,	মুফটি,	মুফতি,	
dacope,	ডাকপে,	দাকোপ,	
candy,	ক্যান্ড,	ক্যান্ডি,	
mosharrof,	মোসারফ,	মশাররফ,	
mesenjjarer,	মেসেঞ্জজেের,	মেসেঞ্জারের,	
aastikota,	আস্তিকতা,	আস্তিকতা,	
ashanka,	আসং্ক,	আশংকা,	
asavyo,	অসভ্য,	অসভ্য,	
samosto,	সমস্ত,	সমস্ত,	
shoow,	সু,	শো,	
mehonoti,	মেহনিি,	মেহনতি,	
ghamta,	ঘম্ট,	ঘোমটা,	
naitikbhabey,	নৈতিককভবে,	নৈতিকভাবে,	
phoolkopi,	ফুলকপপি,	ফুলকপি,	
drishyogulotey,	দৃশ্যগুোোে,	দৃশ্যগুলোতে,	
shreechoitonyodeb,	শ্রীচীয্্ত্্ে,	শ্রীচৈতন্যদেব,	
danaqana,	ডনককন,	ডানকান,	
gosthike,	গোষ্ঠিকে,	গোষ্ঠীকে,	
shansthaner,	সংস্থানের,	সংস্থানের,	
ghoorte,	ঘুরতে,	ঘুরতে,	
siqh,	সিখ,	শিখ,	
hoteltee,	হটটললট,	হোটেলটি,	
enamela,	এনমেেল,	এনামেল,	
suchonakal,	সুকনালল,	সূচনাকাল,	
hosheyin,	হোসেই,	হোসেইন,	
texaser,	টেকেসেসর,	টেক্সাসের,	
janosomaj,	জনসাজ,	জনসমাজ,	
inapharameeshana,	ইনফররেেনন,	ইনফরমেশন,	
uporitaler,	উপরিতারর,	উপরিতলের,	
jeellool,	জিলুল,	জিল্লুল,	
teta,	টে,	টেটা,	
basano,	বাসাো,	বসানো,	
atyacharer,	আত্যাচারর,	অত্যাচারের,	
shringa,	শ্রীঙ,	শৃঙ্গ,	
ganonatyo,	গণণাত্,	গণনাট্য,	
krishenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
mousumeo,	মৌসুমও,	মৌসুমেও,	
puroheetke,	পুরহিতকে,	পুরোহিতকে,	
bbonyopran,	বন্যপ্র্ণ,	বন্যপ্রাণ,	
satarkotar,	সতর্কতর,	সতর্কতার,	
durg,	দার্গ,	দুর্গ,	
shansthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
samudrotatey,	সমুদ্রততে,	সমুদ্রতটে,	
monjooshree,	মন্জু্রী,	মঞ্জুশ্রী,	
bonyopraan,	বন্যপ্র্ণ,	বন্যপ্রাণ,	
nirmankaaj,	নির্মাককাজ,	নির্মাণকাজ,	
atak,	আটাক,	আটক,	
soceitykey,	সসিটিকে,	সোসাইটিকে,	
wedanta,	বেেন্ত,	বেদান্ত,	
artilari,	আর্টিলারি,	আর্টিলারি,	
durgotsabe,	দুর্গসসবব,	দুর্গোৎসবে,	
baaraakpur,	বারাকপুর,	বারাকপুর,	
notunatva,	নতুতত্ব,	নতুনত্ব,	
motabolombiira,	মতমালববববাা,	মতাবলম্বীরা,	
korecho,	করেছ,	করেছ,	
motkey,	মটকে,	মতকে,	
beetloser,	বিটলেসের,	বিটলসের,	
malaika,	মালাকক,	মালাইকা,	
towraat,	তৌরা,	তওরাত,	
kamiz,	কমিজ,	কামিজ,	
mandondo,	মন্ডন্,	মানদণ্ড,	
licenshing,	লেসেস্সং,	লাইসেন্সিং,	
deobonde,	ডিবনন্ডে,	দেওবন্দে,	
bharkendra,	ভার্কেন্দরর,	ভরকেন্দ্র,	
rajshri,	রাজস্র,	রাজশ্রী,	
provuder,	প্রভুদের,	প্রভুদের,	
landin,	লন্ডি,	ল্যান্ডিং,	
yankee,	যযকক,	ইয়াংকি,	
jibonto,	জীবন্ত,	জীবন্ত,	
trenda,	ট্রেন্ড,	ট্রেন্ড,	
toroon,	তররন,	তরুন,	
mahakabi,	মহাকাবী,	মহাকবি,	
dovaar,	দভার,	ডোভার,	
debagg,	দেবাগ,	ডিবাগ,	
syfy,	সিফি,	সাইফাই,	
jesha,	জেস,	জেস,	
jubokera,	যুবকের,	যুবকেরা,	
keo,	কিও,	কেও,	
basatey,	বাসাত,	বাসাতে,	
abarta,	আবররত,	আবর্ত,	
eukalyptus,	এককাপিপ্পস,	ইউক্যালিপ্টাস,	
zzonite,	জোনিতে,	যোনীতে,	
zohns,	জোসস,	জন্স,	
pragress,	প্রগ্রেস,	প্রগ্রেস,	
oitijjhe,	ঐতিঝ্য,	ঐতিহ্যে,	
sasharire,	সারররীে,	সশরীরে,	
abarte,	আবর্ত,	আবর্তে,	
yeaster,	ইইসাটের,	ইস্টের,	
planee,	প্লান,	প্লেন,	
shreemati,	শ্রীমটি,	শ্রীমতি,	
amanisa,	আমনিস,	অমানিশা,	
turki,	তুর্কি,	তুর্কি,	
pashaner,	পাশনের,	পাষাণের,	
bauger,	বাগের,	বাগের,	
soorsa,	সুর্স,	সোর্স,	
swarnali,	স্বর্ণলী,	স্বর্ণালী,	
tukroti,	তুক্রিি,	টুকরোটি,	
cantan,	কন্টন,	ক্যান্টন,	
chalachchitrai,	চলচচচততরর,	চলচ্চিত্রই,	
shangkalone,	সংকালনে,	সংকলনে,	
puding,	পুডিং,	পুডিং,	
soinyo,	সৈন্য,	সৈন্য,	
carpete,	কর্পেে,	কার্পেটে,	
dhonni,	ধ্নন,	ধন্যি,	
siddhantake,	সিদ্ধান্কে,	সিদ্ধান্তকে,	
vushi,	ভূষি,	ভুষি,	
karadondey,	কারাডন্ডড,	কারাদণ্ডে,	
korimpoor,	করিমপুর,	করিমপুর,	
taoonsheep,	তানসসপ,	টাউনশিপ,	
heights,	হেইসটস,	হাইটস,	
aabahon,	আবহহন,	আবাহন,	
udichi,	উদিচি,	উদীচী,	
laaiseensh,	লাইসেসস,	লাইসেন্স,	
gonohotyakey,	গণহত্্াকে,	গণহত্যাকে,	
samaptir,	সমপপতির,	সমাপ্তির,	
kanar,	কানার,	কণার,	
madhyastho,	মধ্যস্থ,	মধ্যস্থ,	
idaning,	ইডানি,	ইদানীং,	
sikkhagata,	শিক্ষাগা,	শিক্ষাগত,	
dharabhiko,	ধারািি,	ধারাবাহিকেও,	
besuro,	বেশুর,	বেসুর,	
boopon,	বুপন,	বপন,	
alonkaran,	আলক্করণ,	অলঙ্করণ,	
kkhur,	ক্ষুর,	ক্ষুর,	
koreemer,	করিমের,	করিমের,	
mataram,	মতরাা,	মাতারাম,	
bashite,	বাশিতে,	বাঁশিতে,	
farn,	ফারন,	ফার্ন,	
kolahol,	কলহহল,	কোলাহল,	
prokalpao,	প্রকাপপপ,	প্রকল্পও,	
sahokaree,	সহকারী,	সহকারী,	
karlosha,	কার্লস,	কার্লোস,	
orthonitite,	অর্থনিততত,	অর্থনীতিতে,	
asabhya,	অসভ্য,	অসভ্য,	
traytey,	ট্রেইে,	ট্রেতে,	
bijit,	বিজিত,	বিজিত,	
prothake,	প্রথাক,	প্রথাকে,	
jetei,	জেতেই,	যেতেই,	
minishtarer,	মিনিস্টারর,	মিনিস্টারের,	
chhai,	ছাই,	ছাই,	
saaeda,	সাডড,	সাইদা,	
estonia,	এস্টোনিযয,	এস্তোনিয়া,	
madeling,	ম্যাডেডিং,	মডেলিং,	
bagichaar,	বাগিচার,	বাগিচার,	
meghke,	মেঘকে,	মেঘকে,	
sho,	সো,	শো,	
associates,	অ্যাসসসসসসসেেস,	এসোসিয়েটস,	
pooshti,	পুষটি,	পুষ্টি,	
chakti,	চক্তি,	চাকতি,	
conservetion,	কনসাররেভে,	কনসারভেশন,	
chiraharit,	চিরারিত,	চিরহরিৎ,	
jemy,	জেমি,	জেমি,	
gandharir,	গানধারীর,	গান্ধারীর,	
parbottyo,	পার্বত্্,	পার্বত্য,	
chaudhurir,	চৌধুরির,	চৌধুরীর,	
crescenter,	ক্রেস্নেনেরর,	ক্রিসেন্টের,	
abheedhaanik,	অভিধানিক,	অভিধানিক,	
bosturoi,	বস্তুর,	বস্তুরই,	
aatmobishwasi,	আত্তবাশ্বাীী,	আত্মবিশ্বাসী,	
roktokshoroney,	রক্তককষরণে,	রক্তক্ষরণে,	
manikya,	মনিককযা,	মানিক্য,	
lokkhero,	লক্ষেষের,	লক্ষেরও,	
seekkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
muhurtati,	মুহুর্ততি,	মুহুর্তটি,	
jillul,	জিল্লু,	জিল্লুল,	
phiksim,	ফিক্সিম,	ফিক্সিং,	
pratijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
hotochokeeto,	হতককিত,	হতচকিত,	
boikollyo,	বৈকল্য,	বৈকল্য,	
brindabone,	বৃর্দাবনে,	বৃন্দাবনে,	
emargency,	এমার্জেসস,	এমার্জেন্সি,	
fal,	ফল,	ফল,	
khalid,	খলিি,	খালিদ,	
laat,	লাট,	লাট,	
poste,	পোসটত,	পোষ্টে,	
epiela,	এপিলা,	আইপিএল,	
graambaaseeo,	গ্রামবাসীও,	গ্রামবাসীও,	
sachindra,	সচীন্দ্র,	শচীন্দ্র,	
indrani,	ইন্দ্রানী,	ইন্দ্রাণী,	
noitikbhabey,	নৈতিককভবে,	নৈতিকভাবে,	
ivaner,	ইভানের,	ইভানের,	
laishenshim,	লেসসসসিং,	লাইসেন্সিং,	
cheettronnattokar,	চিত্রন্ত্াকার,	চিত্রনাট্যকার,	
elaakatite,	এলাকিিিে,	এলাকাটিকে,	
ponero,	পোেরো,	পনের,	
idyi,	ইদ্ই,	আইডিই,	
fanding,	ফা্ডড,	ফান্ডিং,	
sten,	স্টেন,	স্টেন,	
teter,	টেযের,	টেটের,	
dwipei,	দ্বীপে,	দ্বীপেই,	
ghumachchilo,	ঘুমাছিল,	ঘুমাচ্ছিল,	
baghdad,	বাঘাাদ,	বাগদাদ,	
rothin,	রথিন,	রথীন,	
vdp,	এিডিইি,	ভিডিপি,	
nodiiti,	নদীতি,	নদীটি,	
aakkas,	আককা,	আককাস,	
teemplatee,	টেমপপললটি,	টেম্পলেট,	
byabaharkari,	ব্যবহারকার,	ব্যবহারকারী,	
prachurzer,	প্রচচুর্যের,	প্রাচুর্যের,	
shommotite,	সম্মিিত,	সম্মতিতে,	
awrbit,	আররবিত,	অরবিট,	
hugeke,	হুগেকে,	হিউজকে,	
shtonahenja,	স্টোনাহেেজ,	স্টোনহেঞ্জ,	
juktarashtreo,	যুক্রররর্রেে,	যুক্তরাষ্ট্রেও,	
nirapekkhotaar,	নিরপপক্ষারর,	নিরপেক্ষতার,	
pacchi,	পাচ্ছ,	পাচ্ছি,	
boarana,	বোরান,	বোরন,	
musalmanderke,	মুসাান্্েককে,	মুসলমানদেরকে,	
nironjon,	নিরন্জ,	নিরঞ্জন,	
bytes,	বিইটেস,	বাইটস,	
varotey,	ভারতে,	ভারতে,	
turista,	তুরিস্ট,	টুরিস্ট,	
xpose,	ক্পপোস,	এক্সপোজ,	
niropekshtar,	নিরপপক্ষ্রর,	নিরপেক্ষতার,	
somaptir,	সমাপ্ির,	সমাপ্তির,	
militari,	মিলিটার,	মিলিটারি,	
palestiner,	পালেস্টিনের,	প্যালেস্টাইনের,	
kartona,	কর্তনা,	করতনা,	
shhcholashtic,	স্কলাসটটক,	স্কলাস্টিক,	
udor,	উদর,	উদর,	
creshcent,	ক্রেস্েে্ট,	ক্রিসেন্ট,	
johny,	জোহি,	জনি,	
gaj,	গাজ,	গেজ,	
blogarra,	ব্লোররর,	ব্লগাররা,	
aro,	আরো,	আরও,	
parishrami,	পরিশ্রাম,	পরিশ্রমী,	
gonohotyar,	গণহত্্রর,	গণহত্যার,	
wolapuk,	ভলাাপুক,	ভোলাপুক,	
madola,	মালো,	মাদলা,	
bim,	বিম,	বীম,	
lohaa,	লোহা,	লোহা,	
rohasyati,	রহসা্াতি,	রহস্যটি,	
baharampurer,	বহরররপুুররর,	বহরমপুরের,	
goora,	গুরা,	গোর,	
noitikotabodh,	নৈতিকাবাধধ,	নৈতিকতাবোধ,	
mehnotti,	মেহনতততি,	মেহনতি,	
moushumeo,	মৌশুমও,	মৌসুমেও,	
iyanqi,	ইযযানকি,	ইয়াংকি,	
cs,	এ্স,	সিএস,	
dholeshwari,	ধলেশববররী,	ধলেশ্বরী,	
prabhura,	প্রভূর,	প্রভুরা,	
angshogrohon,	অংশগ্রহ,	অংশগ্রহন,	
noitikotar,	নৈতিকাার,	নৈতিকতার,	
duuma,	ডুমম,	দুমা,	
muhommoder,	মুহম্দদের,	মুহম্মদের,	
kunntee,	কুন্টি,	কুন্তী,	
cholochchitratike,	চচচচচিরততিকে,	চলচ্চিত্রটিকে,	
iran,	ইরান,	ইরান,	
soundarjyo,	সৌন্দর্্্য,	সৌর্ন্দয্য,	
miracle,	মারাক্লে,	মিরাকেল,	
thailandshoho,	থাইনলসসসস,	থাইল্যান্ডসহ,	
nirbahey,	নির্বাহে,	নির্বাহে,	
baipash,	বাইপশশ,	বাইপাস,	
chai,	চাই,	ছাই,	
iqbaler,	ইকবালের,	ইকবালের,	
mukkho,	মুক্ষ,	মুখ্য,	
nirbaho,	নির্বাহ,	নির্বাহ,	
rajnaiteek,	রাজনাতিক,	রাজনৈতীক,	
sonaktokaran,	সনককতককণণ,	সনাক্তকরণ,	
cheentaikari,	চিন্তাকারী,	ছিনতাইকারী,	
bayii,	বাই,	বাঈ,	
goore,	গুরে,	গোর,	
obhijojon,	অভিযোজন,	অভিযোজন,	
rooplal,	রুপ্লল,	রূপলাল,	
chitranatyakar,	চিত্রনাত্াার,	চিত্রনাট্যকার,	
ralph,	রাফ,	রালফ,	
marjito,	মর্জিত,	মার্জিত,	
ajimpur,	আজিমপপর,	আজিমপুর,	
gotibege,	গতিবেগে,	গতিবেগে,	
cholochchitrei,	চলচ্ততররে,	চলচ্চিত্রেই,	
ssahocorzo,	সহহরর্য,	সাহচর্য,	
armeeniyana,	আর্মেন়়়ান,	আর্মেনিয়ান,	
mugdho,	মুগ্ধ,	মুগ্ধ,	
gabhaaskaar,	গভাসকার,	গাভাস্কার,	
jounotar,	যৌনতার,	যৌনতার,	
noitikatabodh,	নৈতিকাবাবো,	নৈতিকতাবোধ,	
sastra,	সস্ত্র,	শাস্ত্র,	
phiksa,	ফিক্স,	ফিক্স,	
prodip,	প্রদিপ,	প্রদীপ,	
stonahenja,	স্টোনাহ্জজ,	স্টোনহেঞ্জ,	
bisheshyer,	বিশেষ্যের,	বিশেষ্যের,	
jeten,	জেটেন,	জেতেন,	
vogni,	ভগ্নী,	ভগ্নী,	
ikbaler,	একবালের,	ইকবালের,	
naazee,	নাজী,	নাত্সি,	
zuktorastreo,	যুক্তররর্ররে,	যুক্তরাষ্ট্রেও,	
tirmiji,	তিরমিজি,	তিরমিজি,	
deily,	ডেলল,	ডেইলি,	
bishnu,	বিষ্ণু,	বিষ্ণু,	
sthapona,	স্থাপনা,	স্থাপনা,	
mousumti,	মৌসমমটি,	মৌসুমটি,	
pudinn,	পুডিন,	পুডিং,	
santani,	সন্তানী,	সনাতনী,	
falakti,	ফালকটি,	ফলকটি,	
baaik,	বাইক,	বাইক,	
rapto,	রাপত,	রপ্ত,	
jolaatanko,	জালাতকক,	জলাতঙ্ক,	
roshider,	রোশিদের,	রশিদের,	
ishpredshheet,	ইস্পরেডেিি,	স্প্রেডশীট,	
aarik,	আরিক,	আরিক,	
koilaash,	কৈলাস,	কৈলাস,	
arthonitite,	অর্থনিততত,	অর্থনীতিতে,	
teenej,	টিনেজ,	টিনেজ,	
nothivookteer,	নথুভকক্িির,	নথিভুক্তির,	
