poshchater,	পশচাতের,	পশ্চাতের,	
chaudhurio,	চৌধুরু,	চৌধুরীও,	
arakani,	আরককনি,	আরাকানী,	
pudding,	পুদিং,	পুডিং,	
swamijir,	স্বামীজীর,	স্বামীজীর,	
nischitabhave,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
sotorkokari,	সতররকাারী,	সতর্ককারী,	
shakar,	শকার,	সকার,	
deqe,	ডেকে,	ডেকে,	
jahns,	জাহস,	জন্স,	
rooshod,	রুশদ,	রুশদ,	
phuda,	ফুড,	ফুড,	
kathmandutey,	কথযান্দতুতে,	কাঠমান্ডুতে,	
daackticketer,	ডাক্কিতিকের,	ডাকটিকিটের,	
somosto,	সমস্ত,	সমস্ত,	
bonvumi,	বঙ্ভমি,	বনভূমি,	
uporitoler,	উপরিতলের,	উপরিতলের,	
dada,	ডাদ,	দাদা,	
biswashi,	বিশ্বাসী,	বিশ্বাসই,	
diares,	ড্যারেস,	ডিআরএস,	
graambaasio,	গ্রামবাসিও,	গ্রামবাসীও,	
bojhaao,	বোঝাও,	বোঝাও,	
shayatana,	সয়াতন,	শয়তান,	
vandare,	ভান্ডারে,	ভাণ্ডারে,	
aakkas,	আককাশ,	আককাস,	
pratishhta,	প্রতিষ্ঠ,	প্রতিষ্টা,	
upobasi,	উপবাসী,	উপবাসী,	
patthkromer,	পাঠকরমের,	পাঠক্রমের,	
dalee,	দালি,	ডালে,	
hillser,	হিলসের,	হিলসের,	
chhuti,	ছুটি,	ছুটি,	
plater,	প্লেটের,	প্লেটের,	
sachetanatamulak,	সাচাতনতনকূলক,	সচেতনতামূলক,	
olpoi,	অল্পই,	অল্পই,	
muhmmoder,	মুহমমদের,	মুহম্মদের,	
kakhanyoba,	কখনযাভা,	কখনওবা,	
cheelona,	চিলনা,	ছিলনা,	
baarnish,	বার্নিস,	বার্নিশ,	
ashshociatesh,	অ্যাসোসিয়েস,	এসোসিয়েটস,	
pooroheetke,	পুরহীতকে,	পুরোহিতকে,	
saseja,	সসজেজ,	সসেজ,	
bahjya,	বাহজ্য,	বাহ্য,	
taoonsheep,	তানশীপ,	টাউনশিপ,	
dharagulor,	ধারাগুলোর,	ধারাগুলোর,	
shartho,	সার্থ্থ,	স্বার্থ,	
moofti,	মুফটি,	মুফতি,	
addhatikota,	অধ্যাতিকতা,	আধ্যাত্মিকতা,	
phareqsa,	ফরেক্স,	ফরেক্স,	
pooshtee,	পুষ্টি,	পুষ্টি,	
shapod,	সপদ,	শ্বাপদ,	
jemser,	জেমসের,	জেমসের,	
corporation,	কর্পোরেশন,	করপোরেশন,	
jonmaat,	জন্মাত,	জন্মাত,	
dharavashyokar,	ধারাভাষ্কার,	ধারাভাষ্যকার,	
vaabnar,	ভাবনার,	ভাবনার,	
grambaashio,	গ্রমবাসী,	গ্রামবাসীও,	
nek,	নেক,	নেক,	
kraantikaale,	ক্রান্তিকালে,	ক্রান্তিকালে,	
nutunotto,	নতুনত্ব,	নতুনত্ব,	
arthonitir,	অর্থনীতির,	অর্থনীতির,	
chamke,	চামকে,	চমকে,	
vobani,	ভবানী,	ভবানী,	
prostototo,	প্রস্ততত,	প্রস্ত্তত,	
sainyader,	সৈন্যদের,	সৈন্যদের,	
spreeadshiit,	স্প্রেদশিত,	স্প্রেডশীট,	
hamburge,	হামবার্গে,	হামবুর্গে,	
turkmen,	টুর্কমিন,	তুর্কমেন,	
ghatir,	ঘটির,	ঘাটির,	
onekeri,	অনেকারী,	অনেকেরই,	
upobaasher,	উপবাসের,	উপবাসের,	
fanse,	ফাঁসে,	ফাঁসে,	
teteyer,	টেতের,	টেটের,	
up,	উপ,	আপ,	
cholocchitrigulor,	চলচিগিরগুলোর,	চলচ্চিত্রগুলোর,	
phokshkon,	ফক্সকান,	ফক্সকন,	
sima,	সিম,	সীমা,	
firozer,	ফিরোজের,	ফিরোজের,	
khanankaj,	খননকাজ,	খননকাজ,	
planeti,	প্লানেটি,	প্লেনটি,	
natnikey,	নত্নীকে,	নাতনীকে,	
nikot,	নিকট,	নিকট,	
shcore,	স্করর,	স্কোর,	
khele,	খেলে,	খেলে,	
jarool,	জারুল,	জারুল,	
milekhanek,	মিলেখানেক,	মাইলখানেক,	
taims,	টাইমস,	টাইমস্,	
gananatya,	গণনাত্য,	গণনাট্য,	
saramiks,	সারামিক্স,	সিরামিকস,	
phimela,	ফিমেল,	ফিমেল,	
brekthrough,	ব্রেক্রথো,	ব্রেকথ্রু,	
vaabna,	ভাবনা,	ভাবনা,	
sthaponagulo,	স্থাপনগুলো,	স্থাপনাগুলো,	
nirgomon,	নির্গমন,	নির্গমন,	
abheedhaneeck,	অভিধানিক,	অভিধানিক,	
dharabahikbhabe,	ধারাবাহিকভাবে,	ধারাবাহিকভাবে,	
vushito,	ভূষিত,	ভূষিত,	
yucalyptus,	ইউক্যালিপ্টস,	ইউক্যালিপ্টাস,	
toler,	তলের,	তালের,	
damonmoolok,	দামন্মলূক,	দমনমূলক,	
anisha,	অনিষ,	আনিস,	
korimpoor,	করিমপুর,	করিমপুর,	
osamorik,	অসামরিক,	অসামরিক,	
shipa,	শিপা,	শিপ,	
ingrejder,	ইংরেজের,	ইংরেজদের,	
aswasteekor,	অস্বস্তিকার,	অস্বস্তিকর,	
conan,	কোনান,	কোনান,	
monchostho,	মঞ্চস্থ,	মঞ্চস্থ,	
shikkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
neutrinoo,	নিউট্রিনু,	নিউট্রিনো,	
mukhabandha,	মুখবন্ধ,	মুখবন্ধ,	
tinage,	টিনেগে,	টিনেজ,	
charrjito,	চাররিত,	চার্জিত,	
abheedhaaneeck,	অভিধানিক,	অভিধানিক,	
agibon,	অগিবন,	আজীবন,	
nischitvabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
metere,	মেটেরে,	মিটারে,	
grambashio,	গ্রমবাসী,	গ্রামবাসীও,	
moogdal,	মুগদল,	মুগডাল,	
airesey,	আইরেসে,	আইরেসে,	
bondikey,	বন্দিকে,	বন্দীকে,	
prokalpati,	প্রকল্পতি,	প্রকল্পটি,	
shaahoshikataar,	সাহাশিকতার,	সাহসিকতার,	
eucalyptush,	ইউক্যালিপ্টস,	ইউক্যালিপ্টাস,	
khoor,	খুর,	ক্ষুর,	
shikara,	সিকার,	শিকার,	
atitkaale,	অতিতকালে,	অতীতকালে,	
inafarameshana,	ইনফারেশন,	ইনফরমেশন,	
marufer,	মারুফের,	মারুফের,	
postay,	পোস্তে,	পোস্টে,	
falah,	ফলাহ,	ফালাহ,	
ganachiner,	গণাচিনের,	গণচীনের,	
nirbaho,	নির্বাহ,	নির্বাহ,	
shef,	সেফ,	শেফ,	
bhimsen,	ভিমসন,	ভীমসেন,	
bosobben,	বসববেন,	বসবেন,	
jamkalo,	জামকালো,	জমকালো,	
patiganiter,	পতিগণিতের,	পাটিগণিতের,	
akten,	একটেন,	অকটেন,	
abortey,	আবরতে,	আবর্তে,	
bizepi,	বিজেপি,	বিজেপি,	
degreeo,	ডিগ্রীও,	ডিগ্রিও,	
depootee,	দিপতি,	ডেপুটি,	
tukror,	টুকরর,	টুকরোর,	
mousumei,	মৌসুমেই,	মৌসুমেই,	
bondhuvabaponyo,	বন্ধুভপনভূব,	বন্ধুভাবাপন্ন,	
alankaron,	অলংকরণ,	অলঙ্করণ,	
karlosh,	কার্লস,	কার্লোস,	
krantee,	ক্রান্তি,	ক্রান্তি,	
bhaisaho,	ভাইসহ,	ভাইসহ,	
deejeejer,	দিজিজের,	ডিজিজের,	
chirata,	চিরত,	চিরতা,	
sangkulaan,	সংকুলান,	সংকুলান,	
kiuti,	কিউটি,	কিউটি,	
obe,	ওবে,	ওবিই,	
fiksa,	ফিক্স,	ফিক্স,	
lobbytey,	লব্বিতে,	লবিতে,	
dobhar,	দভার,	ডোভার,	
proshadhoni,	প্রশাধননী,	প্রসাধনী,	
faksa,	ফক্স,	ফক্স,	
nyeta,	ন্যাত,	ম্যাট,	
manahputa,	মনাহপুত,	মনঃপুত,	
homser,	হমসের,	হোমসের,	
aanish,	আনিশ,	আনিস,	
madrajer,	মাদরাজের,	মাদ্রাজের,	
jatotaa,	যততা,	যতোটা,	
hola,	হলা,	হোল,	
krush,	ক্রাশ,	ক্রুশ,	
conseervation,	কনসারভেশন,	কনসারভেশন,	
bbiswashi,	বিশ্বাসী,	বিশ্বাসী,	
asocietes,	অসোকিটে,	এসোসিয়েটস,	
purbanchale,	পূর্বাঞ্চলে,	পূর্বাঞ্চলে,	
basturoi,	বস্তুরওই,	বস্তুরই,	
madhabike,	মাধবীকে,	মাধবীকে,	
idipas,	এডিপাস,	ইডিপাস,	
kailas,	কাইলস,	কৈলাস,	
manshe,	মাঁসে,	মানুষে,	
adhit,	অধিত,	অধীত,	
abdi,	আবদি,	অব্দি,	
kaantojir,	কান্তজীর,	কান্তজির,	
norton,	নর্তন,	নর্টন,	
prosadhoni,	প্রসাধনি,	প্রসাধনী,	
khalidke,	খালিদকে,	খালিদকে,	
wagadada,	ভাগাদাডা,	বাগদাদ,	
harbourey,	হার্বারে,	হারবারে,	
injiniyarim,	ইনজিনিরিয়াম,	ইঞ্জিনিয়ারিং,	
ekghore,	একঘরে,	একঘরে,	
debate,	দেবতে,	ডিবেট,	
baraakpur,	ব্যারাকপুর,	বারাকপুর,	
judge,	জজ,	জাজ,	
lesens,	লেসেন্স,	লাইসেন্স,	
sepha,	সেফ,	শেফ,	
norfolq,	নরফ্ল্ল,	নরফোক,	
batsmani,	বৎসমনি,	ব্যাটসম্যানই,	
muradke,	মুরদদকে,	মুরাদকে,	
dhaloor,	ঢালুর,	ঢালুর,	
mmadhukkori,	মাধুককরী,	মাধুকরী,	
irish,	আইরিশ,	আইরিস,	
minishtara,	মিনিস্টর,	মিনিস্টার,	
naraphoqa,	নরফাকো,	নরফোক,	
silbhee,	শিলভী,	সিলভি,	
land,	ল্যান্ড,	ল্যান্ড,	
mojdoor,	মজদুর,	মজদুর,	
kyathalika,	ক্যাথলিক,	ক্যাথলিক,	
abhiyojan,	অভিযোজন,	অভিযোজন,	
maryir,	মেরীর,	ম্যারির,	
dhyanastho,	ধ্যানস্থ,	ধ্যানস্থ,	
tonga,	টঙ্গ,	টোঙ্গা,	
jarusalem,	জারুসালেম,	জেরুসালেম,	
janogananar,	জনগণনার,	জনগণনার,	
tantira,	তানটিরা,	তাঁতিরা,	
lakhindarer,	লাকিন্দারের,	লখিন্দরের,	
ponchaashjon,	পঞ্চাশজন,	পঞ্চাশজন,	
pathanirdeshana,	পথন্রিদেশনা,	পথনির্দেশনা,	
bisnuke,	বিষণুকে,	বিষ্ণুকে,	
par,	পার,	পাব,	
iran,	আররন,	ইরান,	
proteemar,	প্রতীমার,	প্রতিমার,	
horeedware,	হরিদভারে,	হরিদ্বারে,	
kandey,	কাঁডে,	কাণ্ডে,	
janosonjog,	জনসনযোগ,	জনসংযোগ,	
shatjoner,	সতবজনের,	সাতজনের,	
sanghar,	সংঘার,	সংহার,	
tigers,	টিইগার্স,	টাইগার্স,	
sift,	সিফট,	শিফট,	
mozart,	মোজার্ট,	মোজার্ট,	
truup,	ট্রুপ,	ট্রুপ,	
jalrang,	জলরাল,	জলরঙ,	
attaar,	আত্মার,	আত্তার,	
ghurchen,	ঘুরছেন,	ঘুরেছেন,	
rakibul,	রকিবুল,	রকিবুল,	
ishiyatika,	এশিয়টিক,	এশিয়াটিক,	
iyutha,	ইউথাথ,	ইয়ুথ,	
muladee,	মুলাদী,	মুলাদি,	
gonosochetonota,	গণসচাতততনা,	গণসচেতনতা,	
muscat,	মাসকাট,	মাস্কাট,	
nadnadir,	নাদনদারি,	নদনদীর,	
benj,	বেঞজ,	বেঞ্জ,	
niranjon,	নিরানজন,	নিরঞ্জন,	
shiter,	শিটের,	শীতের,	
hotochokeeto,	হতচকিত,	হতচকিত,	
nirmolota,	নির্মলতা,	নির্মলতা,	
osontos,	অসন্তস,	অসন্তোষ,	
oitijjo,	ঐতিজ্য,	ঐতিহ্য,	
hool,	হুল,	হুল,	
tintike,	তিনটিকে,	তিনটিকে,	
idaningkale,	আদনিঙ্কলে,	ইদানীংকালে,	
dakticket,	ডাক্কিতিক,	ডাকটিকিট,	
bhotara,	ভোটর,	ভোটার,	
heeja,	হিজা,	হেজ,	
diyenes,	ডিয়েনিস,	ডিএনএস,	
byaboharkariderkey,	ব্যবহারারকারিরে,	ব্যবহারকারীদেরকে,	
bhenasa,	ভেনাস,	ভেনাস,	
patengar,	পটেেঙ্গর,	পতেঙ্গার,	
shaannaal,	সান্নাল,	সান্যাল,	
sahakari,	সহকারি,	সহকারী,	
botgach,	বোগাছ,	বটগাছ,	
khanonkaj,	খননকাজ,	খননকাজ,	
juktorashtre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
uponishad,	উপনিশাদ,	উপনিষদ,	
jworer,	যুবরের,	জ্বরের,	
elaakaa,	এলাকা,	এলাকা,	
bishasey,	বিশাে,	বিশ্বাসে,	
kingdam,	কিংডম,	কিংডম,	
ghatkey,	ঘটকে,	ঘাটকে,	
antarbhukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
baek,	ব্যাক,	বাইক,	
defineshana,	ডেফিনেশন,	ডেফিনেশন,	
nathivukto,	নথিভুক্ত,	নথিভুক্ত,	
mulbhitti,	মূলভিত্তি,	মূলভিত্তি,	
byabasthar,	ব্যবস্থার,	ব্যবস্থার,	
nilkamol,	নিল্কমল,	নীলকমল,	
tecnokret,	টেকনক্রেট,	টেকনোক্র্যাট,	
garora,	গররো,	গারোরা,	
soteciety,	সটেসটি,	সোসাইটিতে,	
gotirodh,	গতিরোধ,	গতিরোধ,	
tookrokey,	তুকরকে,	টুকরোকে,	
silbhi,	শিলভী,	সিলভি,	
protishta,	প্রতিষ্ট,	প্রতিষ্টা,	
choudhureer,	চৌধুরের,	চৌধুরীর,	
gaafiloti,	গাফিলতি,	গাফিলতি,	
bojhar,	বোঝার,	বোঝার,	
mookhomandol,	মুখমন্ডল,	মুখমণ্ডল,	
chapal,	চাপাল,	চপল,	
cocaine,	কোকেন,	কোকেইন,	
darjeeling,	ডার্জেলিং,	দার্জিলিং,	
poderthobid,	পদার্থবিদ,	পদার্থবিদ,	
hepetaitisa,	হেটপেটেট,	হেপাটাইটিস,	
simons,	সিমাংস,	সিমন্স,	
doorotaumo,	দূরততম,	দূরতম,	
vorkendra,	ওরকেন্দর্র,	ভরকেন্দ্র,	
chhidropothe,	ছিদ্রপথে,	ছিদ্রপথে,	
engineers,	এনজিনের্স,	ইঞ্জিনিয়ার্স,	
bedanta,	বেদন্ত,	বেদান্ত,	
baireyo,	বেরেও,	বাইরেও,	
sobche,	সবছে,	সবচে,	
schalarship,	স্কলারশীপ,	স্কলারশিপ,	
zilyanda,	জিল্যান্ড,	জিল্যান্ড,	
mmesenjarer,	মেসেনজারের,	মেসেঞ্জারের,	
songasthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
oncolsoho,	অঙ্ললসহ,	অঞ্চলসহ,	
karpet,	কর্পেট,	কার্পেট,	
noitikatar,	নৈতিকতার,	নৈতিকতার,	
tinhazar,	তিনহজার,	তিনহাজার,	
abhidhanick,	অভিধানিক,	অভিধানিক,	
biprodas,	বিপ্রদাস,	বিপ্রদাস,	
durotomm,	দুরতমম,	দূরতম,	
pleeto,	প্লিত,	প্লেটো,	
pathkrom,	পাঠকররম,	পাঠক্রম,	
naabyota,	নব্যতা,	নাব্যতা,	
shringe,	শ্রীঙে,	শৃঙ্গে,	
uthe,	উঠে,	উঠে,	
nutaner,	নুটানের,	নূতনের,	
samabeshke,	সমবেশকে,	সমাবেশকে,	
dipan,	ডিপন,	দীপন,	
hatochokito,	হতচকিত,	হতচকিত,	
dheke,	ঢেঁকে,	ঢেকে,	
sathikata,	সথীকতা,	সঠিকতা,	
udbhaban,	উদ্ভবন,	উদ্ভাবন,	
baron,	বারণ,	ব্যারন,	
drissogoolo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
murli,	মুর্লি,	মুরলী,	
chheelona,	ছিলানা,	ছিলনা,	
sonmukh,	সন্মুখ,	সন্মুখ,	
bypass,	বিপস,	বাইপাস,	
sajanor,	সাজানোর,	সাজানোর,	
taimash,	টাইমস,	টাইমস্,	
eporjanta,	এপর্যান্ত,	এপর্যন্ত,	
sanatoni,	সনতানী,	সনাতনী,	
uporzon,	উপরজন,	উপার্জন,	
munsi,	মুনসী,	মুন্সী,	
bharadwaj,	ভারদবাজ,	ভরদ্বাজ,	
valobasa,	ভালবাসা,	ভালোবাসা,	
rushad,	রুষাদ,	রুশদ,	
jilyand,	জিল্যান্ড,	জিল্যান্ড,	
tekno,	টেকনো,	টেকনো,	
sealvi,	সিলভি,	সিলভি,	
nischitobhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
definishion,	ডেফিনিশন,	ডেফিনেশন,	
eenjeel,	ইঞ্জেল,	ইঞ্জিল,	
dharabahikti,	ধারাবাকিতি,	ধারাবাহিকটি,	
heenna,	হিননা,	হেনা,	
uzbekistan,	উজবেমকস্তান,	উজবেকিস্তান,	
ranangone,	রণাঙ্গণে,	রণাঙ্গনে,	
adhyatmikata,	অধ্যাতমিকতা,	আধ্যাত্মিকতা,	
setio,	সেটিও,	সেটিও,	
patterne,	প্যাটর্নে,	প্যাটার্নে,	
mangolik,	মঙ্গলিক,	মাঙ্গলিক,	
inastyanta,	ইনস্তত্যন্ত,	ইনস্ট্যান্ট,	
rakshanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
ancholke,	আঞ্চলকে,	অঞ্চলকে,	
aminul,	আমিনীল,	আমিনুল,	
zackson,	জ্যাকসন,	জ্যাকসন,	
duma,	ডাম,	দুমা,	
brander,	ব্র্যান্ডের,	ব্রান্ডের,	
shasankarta,	শাসনকার্ত,	শাসনকর্তা,	
kiiborder,	কীবর্দের,	কীবোর্ডের,	
antorvuktimulok,	অন্তর্ভূমূতকাল,	অন্তর্ভুক্তিমূলক,	
subader,	সুবাদের,	সুবাদে,	
uchchatara,	উচ্চতার,	উচ্চতর,	
dhoka,	ঢোকা,	ধোঁকা,	
jaqi,	জাকি,	জকি,	
sompadonkaree,	সম্পাদনকারী,	সম্পাদনকারী,	
roopdaan,	রূপদন,	রুপদান,	
shringa,	শৃঙ্গ,	শৃঙ্গ,	
janoikaa,	জননকে,	জনৈকা,	
jamaanor,	জামানোর,	জমানোর,	
poddhotiteyi,	পদ্ধতিতেই,	পদ্ধতিতেই,	
moshjidtike,	মশিজদিতকে,	মসজিদটিকে,	
jaanalo,	জানালো,	জানালো,	
gorib,	গরিব,	গরিব,	
suresh,	সুরেশ,	সুরেশ,	
serverer,	সার্ভারের,	সার্ভারের,	
ganoporibohoner,	গণপরিবহণের,	গণপরিবহনের,	
dang,	ডং,	ডং,	
maadla,	মাদলা,	মাদলা,	
chetanagoto,	চেতানগত,	চেতনাগত,	
tiunara,	টিউনার,	টিউনার,	
bhadaqa,	ভাদাকা,	ভদকা,	
uthhane,	উঠানে,	উঠানে,	
jeesa,	জিস,	জেস,	
pattarn,	প্যাটর্ন,	প্যাটার্ন,	
senior,	সেনিওর,	সিনিয়র,	
sikkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
zoneser,	জনসের,	জোন্সের,	
munim,	মুনিং,	মুনিম,	
shanstha,	সংস্থা,	সংস্থা,	
mojdur,	মজদুর,	মজদুর,	
telaakucha,	তেলাকুচা,	তেলাকুচা,	
armstranj,	আর্মস্ররেঞ্জ,	আর্মস্ট্রং,	
saafi,	সাফি,	সাফি,	
ishtara,	ইস্টার,	ইস্টার,	
dee,	দি,	ডে,	
donate,	দোনতে,	ডোনাট,	
hanttey,	হাঁটে,	হাঁটতে,	
streegon,	স্ত্রীগণ,	স্ত্রীগণ,	
mosjid,	মসজিদ,	মসজিদ,	
bohoodeen,	বহুদিন,	বহুদিন,	
chhootir,	ছুটির,	ছুটির,	
barron,	বারন,	ব্যারন,	
prakalpoti,	প্রকল্পতি,	প্রকল্পটি,	
teestar,	টিস্টর,	তিস্তার,	
azim,	আজিম,	আজিম,	
carpeter,	কারপেটের,	কার্পেটের,	
turkmeen,	তুর্কমিন,	তুর্কমেন,	
oncholke,	অঞ্চলকে,	অঞ্চলকে,	
freedom,	ফ্রিমম,	ফ্রীডম,	
jyaishtha,	জ্যাস্থ,	জ্যৈষ্ঠ,	
zockey,	জকে,	জকি,	
maddhobir,	মধ্বীর,	মাধবীর,	
seekkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
joruri,	জরুরি,	জরূরী,	
bonovumite,	বনভূমিতে,	বনভূমিতে,	
falkati,	ফলকটি,	ফলকটি,	
peengnaa,	পিঙনা,	পিংনা,	
rilayensha,	রিলেন্স,	রিলায়েন্স,	
kamti,	কমটি,	কমতি,	
bipojjanak,	বিপজজনক,	বিপজ্জনক,	
goora,	গোরা,	গোর,	
chhai,	ছাই,	ছাই,	
aalaa,	আলা,	আলা,	
shansthaner,	সংস্থানের,	সংস্থানের,	
jadrel,	যাদ্ডেল,	জাঁদরেল,	
kraim,	ক্রাইম,	ক্রাইম,	
gaadha,	গাঁধা,	গাধা,	
vaskor,	ভাসকোর,	ভাস্কর,	
prachurzer,	প্রচচ্র্যের,	প্রাচুর্যের,	
diana,	ডিয়ান,	ডায়না,	
pisach,	পিসাচ,	পিশাচ,	
taranee,	তরনী,	তরণী,	
forma,	ফরমা,	ফর্মা,	
mohammadi,	মহমাম্মদী,	মুহাম্মদী,	
kodorer,	কোদরের,	কদরের,	
firth,	ফির্থ,	ফার্থ,	
sakkhatkarer,	সাক্ষাৎকারের,	সাক্ষাত্কারের,	
phareeksa,	ফরেক্স,	ফরেক্স,	
bhangchoor,	ভাঙচুর,	ভাংচুর,	
hitokar,	হিতকার,	হিতকর,	
gazee,	গেজী,	গেজ,	
mousumer,	মৌসুমের,	মৌসুমের,	
deeyenes,	ডিয়েনেভ,	ডিএনএস,	
rinattok,	ঋণাত্মক,	ঋনাত্মক,	
jibanta,	জীবন্ত,	জীবন্ত,	
kredita,	ক্রেদিত,	ক্রেডিট,	
infarmatian,	ইনফর্মেশন,	ইনফরমেশন,	
grambaasheeo,	গ্রমবাশীও,	গ্রামবাসীও,	
modelling,	মডেললিং,	মডেলিং,	
gronthotike,	গ্রন্থিতকে,	গ্রন্থটিকে,	
chirkoot,	চিরকুট,	চিরকুট,	
doover,	ডুভার,	ডোভার,	
plen,	প্লেন,	প্লেন,	
oindrila,	অন্ডর্ডেল,	ঐন্দ্রিলা,	
gaaddaafee,	গাদ্যাফি,	গাদ্দাফী,	
muktume,	মুকতুমে,	মাকতুম,	
sikarer,	শিকরের,	শিকারের,	
faridi,	ফরিদি,	ফরিদী,	
nathivookta,	নথিভুক্ত,	নথিভুক্ত,	
pujit,	পুজিত,	পুজিত,	
byomkesh,	ব্যমক্ষ,	ব্যোমকেশ,	
voolapuk,	ভুলাপুক,	ভোলাপুক,	
olongkaron,	অলংকরণ,	অলঙ্করণ,	
sifi,	সিফি,	সাইফাই,	
jokey,	জোকে,	জকি,	
pratisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
anan,	আনন,	আনান,	
manaber,	মানবের,	মানবের,	
pulse,	পুলসে,	পালস,	
bisheshya,	বিশেষ্য,	বিশেষ্য,	
veenus,	ভিনাস,	ভেনাস,	
bhabatarini,	ভাবাতীরীনী,	ভবতারিণী,	
russad,	রাশ্যদ,	রুশদ,	
sqarta,	স্কার্ট,	স্কার্ট,	
nopdnodir,	নপ্্নদীর,	নদনদীর,	
moshzidtike,	মশিজদিতকে,	মসজিদটিকে,	
peerry,	পেরি,	পেরি,	
jaadrel,	জাদ্রেল,	জাঁদরেল,	
arthanitike,	অর্থনীতিকে,	অর্থনীতিকে,	
mitro,	মিত্রো,	মিত্রও,	
somraatra,	সম্রাত্রা,	সম্রাটরা,	
kansater,	কাঁসাটের,	কানসাটের,	
arifin,	আরেফিন,	আরিফিন,	
aieesa,	আই়েস,	আইএএস,	
masjidke,	মসজজদিকে,	মসজিদকে,	
muhamada,	মুহমাদা,	মুহাম্মদ,	
jakkher,	যক্ষের,	যক্ষের,	
bimata,	বিমত,	বিমাতা,	
jathartha,	যথার্থ,	যথার্থ,	
konroop,	কনরুপ,	কোনরূপ,	
hoole,	হুলে,	হোল,	
maaktume,	মাকতুমে,	মাকতুম,	
grambaasee,	গ্রমবাসী,	গ্রামবাসী,	
dosheeder,	দশীদের,	দোষীদের,	
bhageroi,	ভাগেরই,	ভাগেরই,	
ssteit,	স্টেইট,	স্টেইট,	
suporichito,	সুপরিচিত,	সুপরিচিত,	
abhidhaanik,	অভিধানিক,	অভিধানিক,	
prabhuder,	প্রভূদের,	প্রভুদের,	
dorjee,	দর্জি,	দরজি,	
chhatke,	ছটকে,	ছাতকে,	
rajotwa,	রাজত্ব,	রাজত্ব,	
tyuner,	টিউনের,	টিউনার,	
objarvar,	অভাযবার,	অবজার্ভার,	
vimshen,	ভিমশেন,	ভীমসেন,	
gardeena,	গর্ডেন,	গার্ডেন,	
gosthigulo,	গোষ্থিগুলো,	গোষ্ঠীগুলো,	
jones,	জনস,	জোন্স,	
juktorastreo,	যুক্তরাস্ত্রে,	যুক্তরাষ্ট্রেও,	
durg,	ডার্গ,	দুর্গ,	
janatey,	জানাতে,	জানাতে,	
alexanderke,	আলেকনন্ডরেকে,	আলেকজান্ডারকে,	
rohoshyor,	রহস্যর,	রহস্যর,	
bhaabaaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
mucus,	মুকুস,	মিউকাস,	
heejee,	হিজি,	হেজ,	
poojito,	পুজিত,	পুজিত,	
oedipus,	ঐেদিপুস,	ইডিপাস,	
summi,	সামি,	সুমি,	
miraqela,	মিরককেল,	মিরাকেল,	
rajbandir,	রাজবন্দির,	রাজবন্দীর,	
azizer,	আজিজের,	আজিজের,	
kormokarer,	কর্মকারের,	কর্মকারের,	
ghomta,	ঘমত,	ঘোমটা,	
mahakabi,	মহাকাবি,	মহাকবি,	
haryken,	হারিকেন,	হ্যারিকেন,	
promosioney,	প্রমোশনে,	প্রোমোশনে,	
kakhnoba,	কখ্নবা,	কখনওবা,	
lyanding,	ল্যান্ডিং,	ল্যান্ডিং,	
suparahiro,	সুপারাহিরও,	সুপারহিরো,	
candy,	ক্যান্ডি,	ক্যান্ডি,	
gaddafii,	গদ্যাফি,	গাদ্দাফী,	
tempaleta,	টেম্পলেট,	টেম্পলেট,	
gabhaskar,	গভসস্কার,	গাভাস্কার,	
nirvahi,	নির্বাহী,	নির্বাহি,	
chaalaabi,	চালাবি,	চালাবে,	
august,	অগাস্ট,	আগষ্ট,	
nathibhukta,	নথিভুক্ত,	নথিভুক্ত,	
foxkon,	ফক্সন,	ফক্সকন,	
bondira,	বন্দিরা,	বন্দীরা,	
elaakaasoho,	এলাকাশহ,	এলাকাসহ,	
eksapreshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
neermol,	নির্মল,	নির্মল,	
baasaa,	বাসা,	বাসা,	
graambashio,	গ্রমবাসী,	গ্রামবাসীও,	
pratiyogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
ranangoney,	রণাঙ্গণে,	রণাঙ্গনে,	
roja,	রোজা,	রোযা,	
gasthike,	গাস্থীকে,	গোষ্ঠীকে,	
monmoth,	মন্মথ,	মন্মথ,	
dayna,	ডান,	ডায়না,	
edaning,	এডনিং,	ইদানিং,	
reesideencee,	রেসিডেন্স,	রেসিডেন্স,	
thai,	থাই,	থাই,	
inziniyarsa,	ইনজিনিয়ার্স,	ইঞ্জিনিয়ার্স,	
samratder,	সমর্তাদের,	সম্রাটদের,	
machgulo,	মাছগুলো,	মাছগুলো,	
