tokei,	তোকেই,	ত্বকেই,	
hul,	হাল,	হুল,	
suraarop,	সুরারোপ,	সুরারোপ,	
muradpur,	মুরাদপুর,	মুরাদপুর,	
boney,	বোনে,	বনে,	
hingsar,	হিংসার,	হিংসার,	
rubi,	রুবি,	রুবী,	
mahindra,	মহীন্দ্র,	মাহিন্দ্রা,	
delibhara,	ডিলিভার,	ডেলিভার,	
melobborner,	মেলবর্নের,	মেলবোর্নের,	
mugdha,	মুগ্ধ,	মুগ্ধ,	
ancholgoolir,	আঁচলগুলির,	অঞ্চলগুলির,	
satarkabhabey,	সত্রাকভাবে,	সতর্কভাবে,	
vogiroth,	ভগিরথ,	ভগীরথ,	
bhaangchoor,	ভাঙচুর,	ভাংচুর,	
choudhureeke,	চৌধুরিকে,	চৌধুরীকে,	
license,	লিসন্স,	লাইসেন্স,	
sima,	সিম,	সীমা,	
zohns,	জনস,	জন্স,	
atmabiswasi,	আত্মবিশাবাসী,	আত্মবিশ্বাসী,	
jyakasana,	জ্যাকশন,	জ্যাকসন,	
zerusalem,	জেরুসলেম,	জেরুসালেম,	
roy,	রো,	রায়,	
baasa,	বাসা,	বাসা,	
moshjidti,	মুশিদটি,	মসজিদটি,	
raiter,	রাইটার,	রাইটের,	
lendal,	লেন্ডাল,	লেন্ডল,	
okritakarjo,	অকৃতিকার্য,	অকৃতকার্য,	
fasi,	ফাঁসি,	ফাঁসী,	
prokare,	প্রকারে,	প্রকারে,	
shikkhakbrinda,	শিক্ষাকবৃন্দ,	শিক্ষকবৃন্দ,	
kampito,	কম্পিত,	কম্পিত,	
bivonno,	বিভন্ন,	বিভন্ন,	
horipur,	হরিপুর,	হরিপুর,	
charzara,	চারজারা,	চার্জার,	
majdur,	মজুদুর,	মজদুর,	
mosjidkey,	মস্বিদকে,	মসজিদকে,	
choudhurio,	চৌধুরিও,	চৌধুরীও,	
uindoo,	উইন্ডো,	উইন্ডো,	
bisnukey,	বিষ্ণুকে,	বিষ্ণুকে,	
eute,	ইউট,	ইইউতে,	
mozart,	মজার্ট,	মোজার্ট,	
donata,	ডোনাটা,	ডোনাট,	
muladee,	মুলাদী,	মুলাদি,	
protizogiita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
zonite,	যোনিতে,	যোনীতে,	
boudher,	বৌদের,	বৌদ্ধের,	
musalmanderkey,	মুসলামন্ডকের,	মুসলমানদেরকে,	
masjidtikey,	মাজিদদিকে,	মসজিদটিকে,	
phoksher,	ফক্সের,	ফক্সের,	
franco,	ফ্রাঙ্কো,	ফ্রাঙ্কো,	
ewil,	ইভিল,	ইভিল,	
golakritir,	গোলাকৃতির,	গোলাকৃতির,	
juktarashtrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
porbotmala,	পর্বতত্মল,	পর্বতমালা,	
bharkendra,	ভারকেন্দ্র,	ভরকেন্দ্র,	
harysoner,	হারিসনের,	হ্যারিসনের,	
tourisht,	টরিস্ট,	টুরিস্ট,	
mitra,	মিট্রো,	মিত্র,	
uparjan,	উপার্জন,	উপার্জন,	
phimel,	ফাইমেল,	ফিমেল,	
fotanor,	ফটানোর,	ফোটানোর,	
shelim,	সেলিম,	সেলিম,	
moricha,	মরিকা,	মরিচা,	
tafsirer,	তফসিরের,	তাফসীরের,	
sunagorik,	সুনাগরিক,	সুনাগরিক,	
totokhhon,	ততক্ষণ,	ততক্ষন,	
shoreefpur,	শরীপুর,	শরিফপুর,	
sotorkota,	সর্তকতা,	সতর্কতা,	
reflex,	রেফল্কেস,	রিফ্লেক্স,	
shailee,	সেলী,	শৈলী,	
antarvukto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
beshirbhagei,	বেশীরভাগই,	বেশিরভাগেই,	
cetholic,	কেটোলিক,	ক্যাথলিক,	
direectoratee,	ডিরেক্টোরেট,	ডিরেক্টরেট,	
taoonship,	তাউন্পিপ,	টাউনশিপ,	
shotodha,	শতধা,	শতধা,	
bishnoo,	বিষ্ণু,	বিষ্ণু,	
bojhe,	বজে,	বোঝে,	
peterkay,	পেটারকে,	পিটারকে,	
fatakeshto,	ফটাক্সটি,	ফাটাকেষ্ট,	
karmokarer,	কর্মকারের,	কর্মকারের,	
ogradut,	অগ্রাদুট,	অগ্রদূত,	
sangosthati,	সংস্থাটি,	সংস্থাটি,	
engreziteo,	ইংরেজিতেও,	ইংরেজিতেও,	
jolbe,	জলবে,	জ্বলবে,	
rajatwa,	রাজত্ব,	রাজত্ব,	
title,	তিতলে,	টাইটেল,	
bbiswasho,	বিশ্বাসও,	বিশ্বাসও,	
nopdnodir,	নদ্দদির,	নদনদীর,	
byatikramdharmi,	ব্যাতিকর্ধমীর,	ব্যতিক্রমধর্মী,	
chargito,	চারগিত,	চার্জিত,	
jeebnagore,	জীবনাগরে,	জীবননগর,	
geejeeteeda,	জেজেটেড,	গেজেটেড,	
paakshenara,	পাক্সনার,	পাকসেনারা,	
kanar,	কানার,	কণার,	
deputee,	দেপুিি,	ডেপুটি,	
puzita,	পূজিত,	পূজিতা,	
oncoleo,	অঞ্চলেও,	অঞ্চলেও,	
daaun,	ডাউন,	ডাউন,	
bm,	বিএমএম,	বিএম,	
prokolpow,	প্রকল্প,	প্রকল্পও,	
kaaru,	কারু,	কারু,	
porisromii,	পরিস্রমী,	পরিশ্রমী,	
deil,	দেল,	ডেইল,	
mukhmondol,	মুখমন্ডল,	মুখমণ্ডল,	
basaake,	বাসাকে,	বাসাকে,	
graambashee,	গ্রামাবাসী,	গ্রামবাসী,	
antorvuktimulak,	অন্তর্ভূতকমূলক,	অন্তর্ভুক্তিমূলক,	
charchita,	চার্চিত,	চর্চিত,	
eshtonia,	এ্্টোনিয়া,	এস্তোনিয়া,	
maile,	মেলে,	মাইল,	
bachhayi,	বাঁচাই,	বাছাই,	
prochondo,	প্রচন্ড,	প্রচণ্ড,	
hazat,	হজাত,	হজত,	
sniper,	স্নীপের,	স্নাইপার,	
laaiseensh,	লাইসন্স,	লাইসেন্স,	
shomsti,	শমস্তি,	সমষ্টি,	
kingdom,	কিংদম,	কিংডম,	
gotibege,	গতিবেগে,	গতিবেগে,	
bboponer,	বব্পনের,	বপনের,	
primoo,	প্রীমু,	প্রিমো,	
bhugole,	ভুগলে,	ভূগোলে,	
query,	কায়ারি,	কোয়েরি,	
tarokareer,	তারকারীর,	তরকারীর,	
bisringkhola,	বিশৃঙ্খলা,	বিশৃঙ্খলা,	
sakshatkarer,	সাক্ষাতকারের,	সাক্ষাত্কারের,	
sarbhaarti,	সার্ভারটি,	সার্ভারটি,	
niropekkhotaar,	নিরেপক্ষতার,	নিরপেক্ষতার,	
sohopatheekey,	সহপাঠিকে,	সহপাঠীকে,	
maailkhanek,	মাইল্খনক,	মাইলখানেক,	
heenna,	হিন্ন,	হেনা,	
aholar,	আহলার,	অহল্যার,	
kormoyi,	করমই,	কর্মই,	
shrabasti,	শ্রববাস্তি,	শ্রাবস্তী,	
aakabar,	আকাবার,	আকাবার,	
deezni,	ডিজনি,	ডিজনী,	
sthaponake,	স্থাপনাকে,	স্থাপনাকে,	
jonser,	জনসের,	জোন্সের,	
streegon,	স্ত্রীগণ,	স্ত্রীগণ,	
miraqela,	মির্কেল,	মিরাকেল,	
gorjon,	গর্জন,	গর্জন,	
aholla,	আহলা,	অহল্যা,	
rohoshyor,	রহস্যর,	রহস্যর,	
nirmankaz,	নির্মাণকাশ,	নির্মাণকাজ,	
archimedes,	আর্কিমেস,	আর্কিমিডিস,	
thishisher,	থিসিসের,	থিসিসের,	
state,	স্টেট,	স্টেইট,	
riphleksa,	রাইফেক্স,	রিফ্লেক্স,	
praima,	প্রাইমা,	প্রাইম,	
ovidhaner,	অভিধানের,	অভিধানের,	
pouch,	পৌচ,	পাউচ,	
transform,	ট্রান্সফোর্ম,	ট্রান্সফর্ম,	
uru,	উরু,	উরু,	
mulgato,	মুলগত,	মূলগত,	
paab,	পাব,	পাব,	
plena,	প্লেন,	প্লেন,	
horidar,	হরিদার,	হরিদ্বার,	
sumeetrar,	সুমিত্ররার,	সুমিত্রার,	
shakara,	সকেরা,	সকার,	
chitranattakar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
adhatik,	আধ্যাতিক,	আধ্যাত্মিক,	
bagdadii,	বাগদাদী,	বাগদাদী,	
baard,	বার্ড,	বার্ড,	
ekla,	একলা,	একলা,	
nogore,	নগরে,	নগরে,	
se,	সেই,	সে,	
gazeetteed,	গাজেটেড,	গেজেটেড,	
damonmoolok,	ডামনোমূলক,	দমনমূলক,	
ohang,	ওহাং,	অহং,	
bosonte,	বসন্তে,	বসন্তে,	
lala,	লালা,	লালা,	
onchalgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
shrichaitanyadev,	শ্রীচৈতনাদ্ব,	শ্রীচৈতন্যদেব,	
daawn,	ডাউন,	ডাউন,	
artharer,	অর্থরের,	আর্থারের,	
gatrey,	গোত্রে,	গাত্রে,	
mukhomandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
diiptii,	দীপ্তি,	ডেপুটি,	
uinndo,	উইন্ডো,	উইন্ডো,	
bocchoner,	বচ্ছনের,	বচ্চনের,	
ba,	বি,	বু,	
udbodhone,	উদ্বধোনে,	উদ্বোধনে,	
phokskon,	ফোক্সক,	ফক্সকন,	
bisshaskey,	বিশ্বাসকে,	বিশ্বাসকে,	
sakara,	সাকারা,	সকার,	
trend,	ট্রেন্ড,	ট্রেন্ড,	
nojoder,	নজদের,	নজদের,	
qulim,	কুলিং,	কুলিং,	
ramzaner,	রমজানের,	রমযানের,	
nikote,	নিকটে,	নিকটে,	
karima,	করিমা,	করিম,	
bipojjanak,	বিপজনক,	বিপজ্জনক,	
krantikale,	ক্রান্তিকালে,	ক্রান্তিকালে,	
abotaar,	অবতার,	অবতার,	
kushoomba,	কুষুম্ব,	কুশুম্বা,	
pracharanamulak,	প্রচারণামূলক,	প্রচারণামূলক,	
rajbandir,	রাজবন্দীর,	রাজবন্দীর,	
shikkhakder,	শিক্ষাকদের,	শিক্ষকদের,	
doneta,	ডোনাট,	ডোনাট,	
naitik,	নৈটিক,	নৈতিক,	
bbosonto,	বসন্ত,	বসন্ত,	
sqarta,	স্কার্ট,	স্কার্ট,	
anucheder,	অনুচ্ছেদের,	অনুচ্ছেদের,	
deaubande,	ডিউবন্ডে,	দেওবন্দে,	
rupart,	রাপোর্ট,	রুপার্ট,	
eenameel,	ইনামেল,	এনামেল,	
nadigulo,	নাদিগুলো,	নদীগুলো,	
torup,	তরূপ,	ট্রুপ,	
drissogoolote,	দৃশ্যাগুলোতে,	দৃশ্যগুলোতে,	
lyaata,	ল্যাট,	ল্যাটা,	
indraa,	ইন্দ্রা,	ইন্দ্র,	
motke,	মতকে,	মতকে,	
abosare,	অবসারে,	অবসরে,	
swartho,	স্বর্থ,	স্বার্থ,	
durga,	দুর্গা,	দুর্গ,	
skalarashipa,	স্কলারশিপ,	স্কলারশিপ,	
hiper,	হিপার,	হাইপার,	
perry,	পেরী,	পেরি,	
rajbandi,	রাজন্দী,	রাজবন্দী,	
diznee,	ডিজনি,	ডিজনী,	
siddhanto,	সিদ্ধান্ত,	সিদ্ধান্তও,	
pratiyogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
musalmanderke,	মুসলামন্ডকের,	মুসলমানদেরকে,	
gostike,	গোষ্টিকে,	গোষ্ঠীকে,	
akten,	আঁকতেন,	অকটেন,	
doonut,	ডোনুট,	ডোনাট,	
shef,	সেফ,	শেফ,	
bagichaar,	ব্যাগিচার,	বাগিচার,	
cyanide,	স্যানিডে,	সায়ানাইড,	
kiibord,	কিবোর্ড,	কীবোর্ড,	
akatwa,	একতত্ব,	একাত্ব,	
rotheen,	রথিন,	রথীন,	
postay,	পোস্টে,	পোষ্টে,	
tuni,	টুনি,	টুনি,	
songkulan,	সংকুলান,	সংকুলান,	
anurbor,	অনুর্বর,	অনুর্বর,	
myari,	ম্যারি,	ম্যারি,	
lohaar,	লাহার,	লোহার,	
noren,	নরেন,	নরেন,	
bholapuka,	ভোলাপুকা,	ভোলাপুক,	
debdebeer,	দেবদিবীর,	দেবদেবীর,	
nathibhukteer,	নথিভূক্তির,	নথিভুক্তির,	
diaraesa,	ডায়ার,	ডিআরএস,	
michhilti,	মিচিলটি,	মিছিলটি,	
times,	টাইমস,	টাইমস্,	
shapholler,	সফলার,	সাফল্যের,	
byte,	বিটিতে,	বাইট,	
ancieent,	অ্যান্সিন্ট,	এনসিয়েন্ট,	
karor,	কারর,	কারোর,	
dhos,	ধোস,	ধস,	
setio,	সেটিও,	সেটিও,	
nirmolota,	নির্মলতা,	নির্মলতা,	
turkyder,	তুর্কীদের,	তুর্কিদের,	
chaudhurider,	চৌধুরিদের,	চৌধুরীদের,	
promotioney,	প্রমোশনে,	প্রোমোশনে,	
semai,	সেমাই,	সেমাই,	
basinay,	বাসিনে,	বেসিনে,	
gunjey,	গুঞ্জে,	গুঁজে,	
ponthaar,	পন্থার,	পন্থার,	
daqop,	ডাকোপ,	দাকোপ,	
sikkhokder,	শিক্ষকদের,	শিক্ষকদের,	
emarzensi,	এমার্জনিস,	এমার্জেন্সি,	
seema,	সেমা,	সীমা,	
kandey,	কান্ডে,	কাণ্ডে,	
station,	স্টেশন,	ষ্টেশন,	
sinematographar,	সিনেমাগত্রাফার,	সিনেমাটোগ্রাফার,	
dharabahikvabe,	ধারাবাভিকভাবে,	ধারাবাহিকভাবে,	
ssumitrar,	সুমিত্রার,	সুমিত্রার,	
aieesa,	আইএসএ,	আইএএস,	
uponeeshod,	উপনিষদ,	উপনিষদ,	
land,	ল্যান্ড,	ল্যান্ড,	
mousumei,	মৌুমেই,	মৌসুমেই,	
krema,	ক্রেম,	ক্রাইম,	
maailey,	মেইল,	মাইলে,	
paschimey,	পশ্চিমে,	পশ্চিমে,	
asamorthito,	অসমার্থিত,	অসমর্থিত,	
koomarir,	কুমারির,	কুমারীর,	
gabeshona,	গবেষণা,	গবেষনা,	
arena,	আরেন,	এরিনা,	
phalah,	ফালাহ,	ফালাহ,	
muhurtati,	মুহুর্তটি,	মুহুর্তটি,	
lokkheryo,	লক্ষের্য,	লক্ষেরও,	
byabaharkarike,	ব্যবহারকারিকে,	ব্যবহারকারীকে,	
prastut,	প্রস্তুত,	প্রস্ত্তত,	
kaathhmaandute,	কাঠমন্ডুতে,	কাঠমান্ডুতে,	
prastutkarok,	প্রস্তুতকারক,	প্রস্তুতকারক,	
jeten,	যেতেন,	জেতেন,	
siddhantoke,	সিদ্ধানতকে,	সিদ্ধান্তকে,	
bagdadi,	বাগদাদি,	বাগদাদী,	
abheedhaneek,	অভিধানিক,	অভিধানিক,	
homasha,	হোমাশা,	হোমস,	
definishian,	ডেফিনিশন,	ডেফিনেশন,	
pratimar,	প্রতিমার,	প্রতিমার,	
hobu,	হবু,	হবু,	
pustio,	পুষ্টিও,	পুষ্টি,	
karim,	করিম,	করিম,	
code,	কোড,	কোড,	
bosontey,	বসন্তে,	বসন্তে,	
naneer,	নানীর,	নানীর,	
totokkhon,	ততক্ষণ,	ততক্ষন,	
pat,	পাট,	পেত,	
emarjensi,	এমার্জনিস,	এমার্জেন্সি,	
shorting,	শর্টিং,	সর্টিং,	
minishtara,	মিনিস্টার,	মিনিস্টার,	
tep,	টেপ,	ট্যাপ,	
anchalgulir,	আঞ্চলোগুলির,	অঞ্চলগুলির,	
expose,	এক্সপোজা,	এক্সপোজ,	
bodka,	বদকা,	ভদকা,	
ssumita,	সুমিতা,	সুমিতা,	
shpredashhita,	স্প্রদেশিত,	স্প্রেডশীট,	
tiunara,	টিউনার,	টিউনার,	
bird,	বার্ড,	বার্ড,	
prakalpatike,	প্রক্লপতিকে,	প্রকল্পটিকে,	
gononanatyo,	গণণনাত্য,	গণনাট্য,	
radhanagar,	রাধনগর,	রাধানগর,	
byakhyatita,	ব্যাখ্যাতিত,	ব্যাখ্যাতীত,	
heerani,	হেরানি,	হিরানি,	
shaannaal,	সান্নাল,	সান্যাল,	
saamaanya,	সামান্য,	সামান্য,	
durgotshober,	দুর্ঘগত্বের,	দুর্গোৎসবে,	
taorat,	তারাট,	তওরাত,	
bethik,	ব্থিক,	বেঠিক,	
bihare,	বিহারে,	বিহারে,	
ajija,	আজিজ,	আজিজা,	
shringe,	শ্রীঙ্গে,	শৃঙ্গে,	
vittiteo,	ভিত্তিও,	ভিত্তিতেও,	
whole,	ভোলে,	হোল,	
silbhi,	সিলভি,	সিলভি,	
chhilonaa,	ছিলোনা,	ছিলনা,	
jathaarthobhaabe,	যথারথথভাবে,	যথার্থভাবে,	
elakaao,	এলাকাও,	এলাকাও,	
nathibhookteer,	নথিভূক্তির,	নথিভুক্তির,	
gauge,	গাউগে,	গেজ,	
philippiner,	ফিলিপিনের,	ফিলিপাইনের,	
qoyeri,	কোয়েরি,	কোয়েরি,	
dibya,	দিব,	দিব্যা,	
firozer,	ফিরজের,	ফিরোজের,	
taroni,	তরণণী,	তরণী,	
bhor,	ভোর,	ভর,	
dhnoka,	ধনকা,	ধোঁকা,	
laaz,	লাজ,	লাজ,	
chalachchitreo,	চালাচিত্রেও,	চলচ্চিত্রেও,	
ekpaase,	একপাশে,	একপাশে,	
bizito,	বিজিত,	বিজিত,	
toufik,	তৌফিক,	তৌফিক,	
monohorpur,	মনোহরপুর,	মনোহরপুর,	
siddhantey,	সিদ্ধান্তে,	সিদ্ধান্তে,	
patigonit,	পাতিগণিত,	পাটিগণিত,	
bedanto,	বেদন্ত,	বেদান্ত,	
gitikobita,	গীতিকাবিত,	গীতিকবিতা,	
baman,	বামান,	বামন,	
vishwanath,	বিশ্বনাথ,	বিশ্বনাথ,	
battery,	ব্যাটারি,	ব্যাটারী,	
iyutha,	ইউথোথ,	ইয়ুথ,	
jaki,	জাকি,	জকি,	
retasa,	রেটস,	রাইটস,	
bheemsen,	ভিমসেন,	ভীমসেন,	
bipradas,	বিপ্রদাস,	বিপ্রদাস,	
ujbekistan,	উজবেকিস্তান,	উজবেকিস্তান,	
jeellul,	জিলুল,	জিল্লুল,	
azadir,	আজাদীর,	আজাদীর,	
bane,	বানে,	বনে,	
byabaharkariyi,	ব্যবহারকারি,	ব্যবহারকারীই,	
abhidhanic,	অভিধানিক,	অভিধানিক,	
songosthaner,	সংগ্ষানের,	সংস্থানের,	
eshoshiyetasha,	এসোসিটিস,	এসোসিয়েটস,	
bolechiley,	বলেছিলে,	বলেছিলে,	
guzober,	গুজবের,	গুজবের,	
ballrum,	বলরাম,	বলরুম,	
ajiboner,	আজীবনের,	আজীবনের,	
teenej,	টেনেজ,	টিনেজ,	
venom,	ভেনম,	ভেনম,	
chutir,	চুটির,	ছুটির,	
iyaka,	ইয়াকো,	ইয়াক,	
ruvbla,	রুবলা,	রুবল,	
kaantojir,	কান্তজীর,	কান্তজির,	
pathachari,	পাথাচারী,	পথচারী,	
militarir,	মিলিটারীর,	মিলিটারির,	
mukhamandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
oitijjhey,	ঐতিহ্যে,	ঐতিহ্যে,	
pothnatok,	পথনাতক,	পথনাটক,	
nirapottamulok,	নির্যাতমূলক,	নিরাপত্তামূলক,	
madrajer,	মাদরাজের,	মাদ্রাজের,	
hocker,	হকির,	হুকার,	
thyachara,	থ্যাচার,	থ্যাচার,	
kana,	কানা,	কণা,	
farider,	ফরিদের,	ফরিদের,	
boner,	বোনের,	বনের,	
dhikrita,	ধীকৃত,	ধিকৃত,	
kalengga,	কলেঙ্গো,	কালেঙ্গা,	
ekooghore,	একুঘরে,	একঘরে,	
isosiyitasa,	এসেসিটস,	এসোসিয়েটস,	
gonoporeebohoner,	গণপরিবহনের,	গণপরিবহনের,	
kiiborde,	কিবোর্ডে,	কীবোর্ড,	
hepatetisa,	হেপোটেটিস,	হেপাটাইটিস,	
kyanela,	ক্যানেল,	ক্যানেল,	
abosaney,	অবসনে,	অবসানে,	
angsogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
conflikt,	কনফিল্ক্ট,	কনফ্লিক্ট,	
sompadonkaree,	সম্পাদনকারী,	সম্পাদনকারী,	
chashe,	চাষে,	চেস,	
basaate,	বাসাতে,	বাসাতে,	
asammati,	আসামতি,	অসম্মতি,	
shomser,	শমসের,	সমশের,	
mufti,	মুফতি,	মুফতি,	
badey,	বাদে,	বাদে,	
anchalo,	আঞ্চল,	অঞ্চলও,	
rajdhani,	রাজধানী,	রাজধানি,	
aairese,	আইরেশে,	আইরেসে,	
dai,	দা,	দিই,	
garnaar,	গার্নার,	গার্নার,	
keo,	কিও,	কেও,	
aswastikar,	অস্বাস্তিকর,	অস্বস্তিকর,	
mile,	মিলে,	মিলে,	
seekkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
abasaney,	আবাসনে,	অবসানে,	
hondooras,	হন্দুরাশ,	হন্ডুরাস,	
zuktorastre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
uroor,	উরুর,	উরুর,	
orthanitite,	অর্থনিতিতে,	অর্থনীতিতে,	
markeeting,	মার্কিটিং,	মার্কেটিং,	
obharabhiu,	অভারভিউ,	ওভারভিউ,	
dalu,	দলু,	ডালু,	
ishiyatika,	ইস্যাটিক,	এশিয়াটিক,	
sucharita,	সুচারিত,	সুচরিতা,	
mandonder,	মানদন্ডের,	মানদণ্ডের,	
byomkesh,	ব্যমক্ষে,	ব্যোমকেশ,	
mulvitti,	মুলভিত্তি,	মূলভিত্তি,	
shita,	সীতা,	সিট,	
koyeeri,	কোয়েরি,	কোয়েরি,	
lutheereen,	লুথেরিন,	লুথেরান,	
nodnodir,	নদ্দদির,	নদনদীর,	
shaatjoner,	সাতজনের,	সাতজনের,	
antorvuktimulok,	অন্ত্রকূত্মূলক,	অন্তর্ভুক্তিমূলক,	
partho,	পার্থ,	পার্থ,	
liseens,	লিসেন্স,	লাইসেন্স,	
photanor,	ফটানোর,	ফোটানোর,	
tinbhager,	তিনভাগের,	তিনভাগের,	
patisapta,	পতিস্পা্ত,	পাটিসাপটা,	
nodnadir,	নদনদীর,	নদনদীর,	
biru,	বিরু,	বীরু,	
gaandas,	গান্ডাস,	জ্ঞানদাস,	
maase,	মাসে,	মাসে,	
babul,	বাবুল,	বাবুল,	
iston,	ইস্টন,	স্টোন,	
madhukooree,	মধুকুরী,	মাধুকরী,	
somratra,	সমার্াত্র,	সম্রাটরা,	
panera,	পনের,	পনের,	
obotar,	অবতার,	অবতার,	
asamanyo,	অসামান্য,	অসামান্য,	
barnis,	বার্নিস,	বার্নিশ,	
licenser,	লিসন্সের,	লাইসেন্সের,	
bona,	বোনা,	বোনা,	
madhuri,	মাধুরি,	মাধুরী,	
chhuteete,	ছুটিতে,	ছুটিতে,	
indra,	ইন্দ্রা,	ইন্দ্র,	
gori,	গরি,	গোরি,	
saahocorrze,	সাহকর্যে,	সাহচর্যে,	
samanno,	সামান্য,	সামান্য,	
mukhamandal,	মুখমন্ডল,	মুখমণ্ডল,	
niuroolaji,	নিউরোলজি,	নিউরোলজি,	
ganachiner,	গণনাচিনের,	গণচীনের,	
probhur,	প্রভূর,	প্রভুর,	
donat,	দোনাত,	ডোনাট,	
uzbekistaner,	উজবেকিস্তানের,	উজবেকিস্তানের,	
nischitobhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
soomita,	সুমিতা,	সুমিতা,	
dunkan,	ডুংকান,	ডানকান,	
prapokke,	প্রাপককে,	প্রাপককে,	
shasankarta,	শাসনকর্তা,	শাসনকর্তা,	
pyaleshtaine,	প্যাল্সেটনে,	প্যালেস্টাইনে,	
tenishe,	টেনিসে,	টেনিসে,	
dheke,	ঢেঁকে,	ঢেকে,	
mach,	মাচ,	মাছ,	
jwar,	জ্বর,	জ্বর,	
bishnu,	বিষ্ণু,	বিষ্ণু,	
prasadhani,	প্রশাধানি,	প্রসাধনী,	
boneo,	বোনেও,	বনেও,	
grameri,	গ্রামেরি,	গ্রামেরই,	
oncolsoho,	অঞ্চলসহ,	অঞ্চলসহ,	
mawdel,	মড্ডেল,	মডেল,	
madhuree,	মধুরী,	মাধুরী,	
ghatleo,	ঘটলেও,	ঘটলেও,	
os,	অস,	অস,	
ghoomato,	ঘুমাতো,	ঘুমাতো,	
palestiner,	প্লাসেট্টাইনের,	প্যালেস্টাইনের,	
simmons,	সিমমন্স,	সিমন্স,	
bachaikrito,	বাচাকৃত,	বাছাইকৃত,	
manir,	মনির,	মনির,	
tikto,	তিক্ত,	তিক্ত,	
marmaader,	মার্মাদের,	মারমাদের,	
mailkhanek,	মেল্খনক,	মাইলখানেক,	
silvi,	সিলভি,	সিলভি,	
saralya,	সরলা,	সারল্য,	
daaktikiter,	ডাক্তিকিতের,	ডাকটিকিটের,	
subir,	সুবীর,	সুবীর,	
ispredshit,	ইস্পেরদিসিট,	স্প্রেডশীট,	
embeda,	এমবেডা,	এম্বেড,	
maudelti,	মজডালটি,	মডেলটি,	
jatata,	যতটা,	যতোটা,	
udbodhoney,	উদ্বধোনে,	উদ্বোধনে,	
sachetanbhabe,	সচ্ছাতনভাবে,	সচেতনভাবে,	
romnar,	রমনার,	রমনার,	
dhhaabi,	ঢাবি,	ঢাবি,	
satarkakaree,	সতরকাকারী,	সতর্ককারী,	
bonyopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
si,	সি,	এসআই,	
dephinishion,	ডেফিনিশন,	ডেফিনেশন,	
sosharire,	সশারীরে,	সশরীরে,	
ganjona,	গাঞজনা,	গঞ্জনা,	
shochindro,	সচিন্দ্র,	শচীন্দ্র,	
kanasarabheshana,	কনসারভেশন,	কনসারভেশন,	
crescent,	ক্রিসেন্ট,	ক্রিসেন্ট,	
karleo,	করলেও,	করলেও,	
kule,	কূলে,	কুলে,	
chomke,	চমকে,	চমকে,	
shringgo,	শ্রীঙ্গ,	শৃঙ্গ,	
addabaz,	আদ্মাবাজ,	আড্ডাবাজ,	
siddhantokey,	সিদ্ধানতকে,	সিদ্ধান্তকে,	
sarbopori,	সর্বোপরি,	সর্বোপরী,	
tafaat,	তফাট,	তফাৎ,	
chalchhee,	চলছি,	চলছে,	
azimke,	আজিমকে,	আজিমকে,	
samanwitavabe,	সমানুভিতভাবে,	সমন্বিতভাবে,	
stationer,	স্টেশনের,	ষ্টেশনের,	
horipoor,	হরিপুর,	হরিপুর,	
atwobishvashi,	অত্ববিবাসী,	আত্মবিশ্বাসী,	
udiichii,	উদিচী,	উদীচী,	
grambaaseeo,	গ্রামাবাসীও,	গ্রামবাসীও,	
sirameeks,	সিরামিক্স,	সিরামিকস,	
anekeri,	অনেকেরী,	অনেকেরই,	
babna,	বাননা,	বাবনা,	
bishnuke,	বিষ্ণুকে,	বিষ্ণুকে,	
spreadsheet,	স্প্রদেশিত,	স্প্রেডশীট,	
longghoner,	লঙ্ঘনের,	লংঘনের,	
muhu,	মুহু,	মুহু,	
nir,	নির,	নির,	
jatota,	যতটা,	যতোটা,	
seramiqs,	সেরামিক্স,	সিরামিকস,	
itastata,	ইতাস্টট,	ইতস্তত,	
jekhan,	যেখান,	যেখান,	
aabahan,	আবহান,	আবাহন,	
drissoi,	দৃষ্যই,	দৃশ্যই,	
hyarikeena,	হ্যারিকেন,	হ্যারিকেন,	
abheedhaaneek,	অভিধানিক,	অভিধানিক,	
pack,	প্যাক,	প্ল্যাক,	
chyeta,	চ্যাট,	চ্যাট,	
aagost,	আগস্ট,	আগষ্ট,	
byabosthar,	ব্যবস্থার,	ব্যাবস্থার,	
toufeek,	তৌফিক,	তৌফিক,	
weelcomee,	উইলকমে,	ওয়েলকাম,	
kolahal,	কলাহাল,	কোলাহল,	
khelafatey,	খেলাফাতে,	খেলাফতে,	
zeebonjaapon,	জীবনযাপন,	জীবনযাপন,	
