ghumato,	ঘুমত,	ঘুমাতো,	
gitikobitar,	গীতিকিতবার,	গীতিকবিতার,	
seekkhaou,	শিক্ষুও,	শিক্ষাও,	
eeraner,	ইরানের,	ইরানের,	
sofier,	সফির,	সোফির,	
birishirite,	বিরিস্রিতে,	বিরিশিরিতে,	
otyacharito,	অট্যাচারিত,	অত্যাচারিত,	
mmesenjarer,	ম্যাসেনেজারের,	মেসেঞ্জারের,	
hossne,	হোঁসে,	হোসনে,	
noitikata,	নৈতিকতা,	নৈতিকতা,	
pharanyata,	ফররন্যাত,	ফরম্যাট,	
grambaasi,	গ্রাম্বাসী,	গ্রামবাসী,	
bishesyer,	বিশেষ্যের,	বিশেষ্যের,	
bonobhumi,	বনভূমি,	বনভূমি,	
shantaa,	শান্তা,	সান্তা,	
dhonyi,	ধ্বই,	ধন্যি,	
barakpur,	বররাপুর,	বারাকপুর,	
kaando,	কান্দ,	কাণ্ড,	
dreeshtiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
dharabiktir,	ধারাবিক্তির,	ধারাবাহিকটির,	
taatey,	তাটে,	তাতে,	
joubankale,	যৌবনকালে,	যৌবনকাল,	
obolokon,	অবলোকন,	অবলোকন,	
prity,	প্রীটি,	প্রিটি,	
footbalarra,	ফুটবলরা,	ফুটবলাররা,	
upobaasee,	উপবাসী,	উপবাসী,	
bojhe,	বোঝে,	বোঝে,	
sikhechi,	শিখেছি,	শিখেছি,	
baipasa,	বাইপাস,	বাইপাস,	
eshiyatika,	এসিয়টিক,	এশিয়াটিক,	
ragi,	রাগী,	রাগী,	
ghensha,	গেনসা,	ঘেঁষা,	
graambaasider,	গ্রামসাবীদের,	গ্রামবাসীদের,	
bharadwaja,	ভার্বোজা,	ভরদ্বাজ,	
capsule,	কপ্সলে,	ক্যাপসুল,	
debholopar,	দেভলপার,	ডেভলপার,	
cholochchitrake,	চলচ্চিত্রাকে,	চলচ্চিত্রকে,	
shilbar,	শিলবার,	সিলভার,	
nogonyo,	নগণও,	নগণ্য,	
shodhon,	শোধন,	শোধন,	
sahajlabhbhatar,	সহজলবভাতার,	সহজলভ্যতার,	
ajibooner,	আজিবুনের,	আজীবনের,	
achis,	আচিশ,	আছিস,	
aairish,	আইরিশ,	আইরিস,	
durgatsober,	দুর্গতবের,	দুর্গোৎসবে,	
sucharita,	সুচারিত,	সুচরিতা,	
prokolpogulor,	প্রক্লপুলোর,	প্রকল্পগুলোর,	
chhaai,	ছাই,	ছাই,	
bhageroi,	ভাগেরই,	ভাগেরই,	
nimitte,	নিমিত্বে,	নিমিত্তে,	
nikate,	নিকাতে,	নিকটে,	
banijyikbhittik,	বানিজ্যিকিিক্তিক,	বাণিজ্যিকভিত্তিতে,	
suri,	সুরি,	সুরি,	
eling,	এলিং,	ইলিং,	
tinbhager,	তিনভাগের,	তিনভাগের,	
danob,	ডানব,	দানব,	
jeshtha,	জেষ্ঠ্য,	জ্যেষ্ঠা,	
salil,	শালিল,	সলিল,	
sathikata,	সাথিকতা,	সঠিকতা,	
holdin,	হোল্ডিং,	হোল্ডিং,	
bhenasa,	ভেনাস,	ভেনাস,	
upobasi,	উপবাসী,	উপবাসী,	
jerusalemer,	জেরুসালেরে,	জেরুজালেমের,	
motar,	মোটার,	মুতার,	
sahabikey,	সাহাবিকে,	সাহাবীকে,	
bizepi,	বিজেপি,	বিজেপি,	
satorkovabe,	সরতকভাবে,	সতর্কভাবে,	
arthonitike,	অর্থনিতিকে,	অর্থনীতিকে,	
cheerkut,	চিক্কুট,	চিরকুট,	
baibosthar,	ব্যবস্থার,	ব্যবস্থার,	
marry,	ম্যারি,	ম্যারি,	
gajee,	গেজী,	গেজ,	
zesh,	যেস,	জেস,	
bongraam,	বঙ্গামাম,	বনগ্রাম,	
marketin,	মার্কেটিন,	মার্কেটিং,	
byabaharkarike,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
shaannaal,	সান্নাল,	সান্যাল,	
parijaner,	পরিজনের,	পরিজনের,	
kkunti,	কুন্তি,	কুন্তী,	
shikhra,	শিখ্রা,	শিখরা,	
cheerkoot,	চিক্ট,	চিরকুট,	
wenice,	ভেনিস,	ভেনিস,	
nutaner,	নুটানের,	নূতনের,	
goteebege,	গতিবেগে,	গতিবেগে,	
bite,	বিতে,	বাইট,	
jadrel,	জাড্রেল,	জাঁদরেল,	
dhauta,	ঢাউট,	ধৌত,	
elakatay,	এলাকাতে,	এলাকাতে,	
serverty,	সার্ভার্টি,	সার্ভারটি,	
canservatian,	কনস্রেভেশন,	কনসারভেশন,	
mulor,	মূলর,	মুলোর,	
turky,	তার্কি,	তুর্কি,	
eqsapreshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
areek,	আরিক,	আরিক,	
orunima,	অরুনিমা,	অরুণিমা,	
koonti,	কুনটি,	কুন্তী,	
franco,	ফ্রান্ক,	ফ্রাঙ্কো,	
dormetori,	ডরমেটরি,	ডরমিটরি,	
nogorey,	নগরে,	নগরে,	
jolaatanko,	জলাাতনক,	জলাতঙ্ক,	
cholesi,	চলেশি,	চলেছি,	
torabgunj,	তরবাবগঞ্জ,	তোরাবগঞ্জ,	
dhojovongo,	ধবহঙ্গ,	ধ্বজভঙ্গ,	
bhandaar,	ভান্ডার,	ভাণ্ডার,	
windows,	উইন্ডোজ,	উইন্ডোস,	
miley,	মিলে,	মাইলি,	
schalarship,	স্কলারশিপ,	স্কলারশিপ,	
parbotto,	পার্বত্ব,	পার্বত্য,	
onekeryi,	অনেকরিই,	অনেকেরই,	
prai,	প্রাই,	প্রায়,	
sofie,	সফিই,	সোফি,	
hyariqena,	হ্যারিকেন,	হ্যারিকেন,	
mosharroph,	মোশার্ফ,	মশাররফ,	
bholapuqa,	ভলাপুলক,	ভোলাপুক,	
tyuner,	টুনের,	টিউনার,	
labonaktatar,	লবনককততার,	লবণাক্ততার,	
kormokandeo,	কর্মকান্ডে,	কর্মকাণ্ডেও,	
ekkoghore,	একঘরে,	একঘরে,	
ghesha,	ঘেষা,	ঘেঁষা,	
barnish,	বার্নিস,	বার্নিশ,	
laz,	লজ,	লাজ,	
bharadwaj,	ভার্বায়ে,	ভরদ্বাজ,	
kareer,	কারির,	কারীর,	
pleto,	প্লেট,	প্লেটো,	
prokar,	প্রকার,	প্রকার,	
horidbar,	হরিদ্বার,	হরিদ্বার,	
eporjonto,	এপর্যন্ত,	এপর্যন্ত,	
abhigomon,	অভিগণম,	অভিগমন,	
ankeeta,	অংকিত,	অঙ্কিতা,	
mittrer,	মিত্রের,	মিত্রের,	
archimedeser,	আর্কিমিডেের,	আর্কিমিডিসের,	
uter,	উইটের,	উটের,	
ghotleo,	ঘোটলেও,	ঘটলেও,	
asbab,	আসবাব,	আসবাব,	
bandhubhaabaapanna,	বাণ্ধুবন্ণা,	বন্ধুভাবাপন্ন,	
hatodoridra,	হতাদিরদরা,	হতদরিদ্র,	
nodike,	নদিকে,	নদীকে,	
dhaleshwari,	ধলেশ্বরী,	ধলেশ্বরী,	
dharavahik,	ধারাভাহিক,	ধারাবাহিক,	
ingrejiteo,	ইংরেজিতে,	ইংরেজিতেও,	
ingrezeeteo,	ইংরেজিতে,	ইংরেজিতেও,	
peethey,	পিঠে,	পীঠে,	
habshi,	হাবসি,	হাবশী,	
bonke,	বোঁকে,	বনকে,	
balroom,	বলরুম,	বলরুম,	
prakalpao,	প্রকল্প,	প্রকল্পও,	
shrichaitanyadev,	শ্রীত্নিদাব্দেব,	শ্রীচৈতন্যদেব,	
sahozlabhbhatar,	সহজলবভাতার,	সহজলভ্যতার,	
kanar,	কানার,	কণার,	
chilahati,	চিলাহাতি,	চিলাহাটি,	
vimshen,	ভিমশেন,	ভীমসেন,	
ranadip,	রণাদিপ,	রণদীপ,	
agahir,	আগহীর,	অগভীর,	
odure,	অদূরে,	অদুরে,	
kathmaandu,	কাঠানাদু,	কাঠমান্ডু,	
doshider,	দশিদের,	দোষীদের,	
sakkhatkarer,	সাক্ষাৎকারের,	সাক্ষাৎকারের,	
akpaase,	একপাপে,	একপাশে,	
dharmi,	ধর্মি,	ধর্মী,	
as,	আস,	অস,	
bhortuki,	ভর্তুকি,	ভর্তুকি,	
varpur,	ভারপুর,	ভরপুর,	
motion,	মতিশন,	মোশন,	
munsi,	মুনসি,	মুন্সী,	
sheema,	সিমা,	সীমা,	
korlei,	কোলেই,	করলেই,	
conphlikt,	কনফিক্ট,	কনফ্লিক্ট,	
rikondison,	রিকন্ডিশন,	রিকন্ডিশন,	
naditi,	নদীতি,	নদীটি,	
ingrezra,	ইংরেজ্র,	ইংরেজরা,	
chetonagato,	চেতনাগত,	চেতনাগত,	
orthat,	অর্থাত,	অর্থাৎ,	
highcommissionay,	হাইকমিশনের,	হাইকমিশনে,	
bunot,	বুনট,	বুনট,	
alpa,	আলপা,	অল্প,	
korechi,	করেছি,	করেছি,	
categoryer,	কটটজরির,	ক্যাটাগরির,	
apachesta,	অপচেষ্টা,	অপচেষ্টা,	
arekdal,	আরেকদল,	আরেকদল,	
parbatya,	পরর্বত্,	পার্বত্য,	
dharavahiktite,	ধারাভাহিক্তিতে,	ধারাবাহিকটিতে,	
bhogini,	ভোগিনী,	ভগিনী,	
natnikey,	নাটিনকে,	নাতনীকে,	
aakkash,	আকাশাস,	আককাস,	
mandander,	মন্দনদের,	মানদণ্ডের,	
cruce,	ক্রুস,	ক্রুশ,	
bhaskor,	ভাষ্কর,	ভাস্কর,	
obosan,	অবসান,	অবসান,	
samanyoi,	সামান্যেই,	সামান্যই,	
uporitol,	উপরিতল,	উপরিতল,	
bhalobaas,	ভালবাস,	ভালোবাসা,	
vejaano,	ভেজানো,	ভেজানো,	
deputi,	দেপুটি,	ডেপুটি,	
janapath,	জনপথ,	জনপথ,	
tonight,	টনিস,	টুনাইট,	
crucer,	ক্রাসার,	ক্রুশের,	
prrajanankaal,	প্রজনজনকাল,	প্রজননকাল,	
ekaatto,	একাত্ম,	একাত্ব,	
orghyo,	অর্ঘ্য,	অর্ঘ্য,	
sikkhokbreendo,	শিক্ষকবৃদ্দ,	শিক্ষকবৃন্দ,	
jeebanjapon,	জীবন্জপন,	জীবনযাপন,	
phutbolarer,	ফুটবলরের,	ফুটবলারের,	
batsman,	বাসম্যান,	ব্যাটসম্যান,	
bhadaqa,	ভাদাকা,	ভদকা,	
militarite,	মিলিটারিট,	মিলিটারিতে,	
chasee,	চাষী,	চেস,	
shakar,	শকার,	সকার,	
sanghorshik,	সাংর্ষিক,	সাংঘর্ষিক,	
nesons,	নেশোন্স,	নেশনস,	
karadondo,	কারাদন্ড,	কারাদণ্ড,	
panctaar,	পাঁচটার,	পাঁচটার,	
ezenda,	এজেন্ডা,	এজেন্ডা,	
antarktikar,	আন্টরাটকিকার,	অ্যান্টার্কটিকার,	
turbiner,	তুরবিনের,	টারবাইনের,	
antarbhukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
cheerota,	চিরতা,	চিরতা,	
injiniyarim,	ইনজেনিিরাম,	ইঞ্জিনিয়ারিং,	
poderthobid,	পদার্থবিদ,	পদার্থবিদ,	
objarvar,	অবজ্রভার,	অবজার্ভার,	
faksa,	ফক্ষ্যা,	ফক্স,	
baugey,	বাগে,	বাগে,	
poojito,	পুজিত,	পুজিত,	
daakope,	ডাকপে,	দাকোপ,	
august,	অগাস্ট,	আগষ্ট,	
gobeshonagar,	গবেষণাগার,	গবেষনাগার,	
raitasa,	রাইটস,	রাইটস,	
cyphy,	সাইফি,	সাইফাই,	
bangobandhu,	ব্যবন্্ধন্ধ,	বঙ্গবন্ধু,	
baarbadoj,	বারবাডোজ,	বার্বাডোজ,	
dhila,	ঢিলা,	ঢিলা,	
muhammadi,	মুহাম্মাদী,	মুহাম্মদী,	
taronee,	তরণী,	তরণী,	
laaishensh,	লাইনেস,	লাইসেন্স,	
umedpoor,	উমেদপুর,	উমেদপুর,	
udbodhaner,	উদ্বোধনের,	উদ্বোধনের,	
anchaltikey,	আঞ্চলটিকে,	অঞ্চলটিকে,	
gandho,	গণ্ড,	গন্ধ,	
pooroheetra,	পুরোহিরতার,	পুরোহিতরা,	
chitronatyokar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
sanatani,	সোনাটনি,	সনাতনী,	
pattarn,	পটট্রন,	প্যাটার্ন,	
chikittsar,	চিকিৎসার,	চিকিত্সার,	
jolorong,	জ্বাং,	জলরঙ,	
mojlis,	মজলিস,	মজলিশ,	
punch,	পাঁচ,	পুঞ্চ,	
ddhake,	ঢাকে,	ঢেকে,	
komti,	কম্টি,	কমতি,	
ajeeja,	আজিজা,	আজিজা,	
sachetanatamulak,	সচ্ছতনামূলক,	সচেতনতামূলক,	
naabbota,	নাববতা,	নাব্যতা,	
marekting,	মারেক্টিং,	মার্কেটিং,	
jeess,	জেস,	জেস,	
uporostho,	উপরসস্থ,	উপরস্থ,	
scolarship,	স্কলারশিপ,	স্কলারশিপ,	
abhidhaanic,	অভিধানিক,	অভিধানিক,	
aboshore,	অবশরে,	অবসরে,	
shpredshiit,	স্প্রেশ্দিস,	স্প্রেডশীট,	
hyarikena,	হ্যারিকেন,	হ্যারিকেন,	
akten,	অকতেন,	অকটেন,	
byabaharkariyi,	ব্যবহারকারী,	ব্যবহারকারীই,	
bitlaser,	বিটলাসের,	বিটলসের,	
songrahak,	সংগ্রাহক,	সংগ্রাহক,	
anchalke,	অঞ্চলকে,	অঞ্চলকে,	
windos,	উইন্ডোস,	উইন্ডোস,	
chaudhurider,	চৌুধীদেরে,	চৌধুরীদের,	
agamanke,	আগমানকে,	আগমনকে,	
devolapar,	ডেভলপার,	ডেভলপার,	
thraugh,	থ্রাঘ,	থ্রু,	
parikkhateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
bedey,	বেদে,	বেদে,	
bhangchur,	ভাঙচুর,	ভাংচুর,	
dharmantor,	ধর্মন্তর,	ধর্মান্তর,	
ogrodoot,	অগ্রদুত,	অগ্রদূত,	
dhrubak,	ধ্রুবক,	ধ্রুবক,	
locker,	লকের,	লকের,	
deliver,	দেলিভার,	ডেলিভার,	
ekai,	একাই,	একাই,	
rutina,	রুটিন,	রুটিন,	
pratisthanik,	প্রতিষ্ঠানিক,	প্রাতিষ্ঠানিক,	
udvabaker,	উদ্ভবাকের,	উদ্ভাবকের,	
gabeshokgon,	গবেষকগণ,	গবেষকগণ,	
shaatjoner,	সাতজনের,	সাতজনের,	
dharavashyokar,	ধারাভাবককার,	ধারাভাষ্যকার,	
iviem,	এভিম,	ইভিএম,	
niutrino,	নিউট্রিন,	নিউট্রিনো,	
kaferderke,	কাফেরদেরকে,	কাফেরদেরকে,	
gheshei,	ঘেশেই,	ঘেঁষেই,	
sohinsotar,	সহিনসসতার,	সহিংসতার,	
aedipus,	আদীপুশ,	ইডিপাস,	
code,	কোড,	কোড,	
janasangjog,	জনসংগাগ,	জনসংযোগ,	
falok,	ফলক,	ফলক,	
abortey,	আবর্তে,	আবর্তে,	
daaktikite,	দাক্তিকেতে,	ডাকটিকিটে,	
breil,	ব্রেইল,	ব্রেইল,	
nothivookto,	নথিভূক্ত,	নথিভুক্ত,	
ikbaaler,	ইকবালের,	ইকবালের,	
bonduk,	বন্ডুক,	বন্দুক,	
neermolotaa,	নির্মলতা,	নির্মলতা,	
shkarta,	স্কার্ট,	স্কার্ট,	
ganosachetanata,	গণসচচাতন্তা,	গণসচেতনতা,	
hertj,	হার্ট,	হার্জ,	
chaaktir,	চাকটির,	চাকতির,	
taruner,	তরুণের,	তরুণের,	
aziboner,	আজিবনের,	আজীবনের,	
uporoshtho,	উপরসস্থ,	উপরস্থ,	
swajaner,	স্বজনের,	স্বজনের,	
promosioney,	প্রমশিযনে,	প্রোমোশনে,	
uporzon,	উপর্জন,	উপার্জন,	
durgotsav,	দুর্গতস,	দুর্গোৎসব,	
lajek,	লাজেক,	লজিক,	
sarsa,	সর্্া,	সোর্স,	
adhattik,	আধাতাত্কিক,	আধ্যাত্মিক,	
indrer,	ইন্দ্রের,	ইন্দ্রের,	
dana,	ডানা,	ডায়না,	
poripake,	পরিপাকে,	পরিপাকে,	
chilona,	চিলনা,	ছিলনা,	
breqathru,	ব্রেকাঠুরো,	ব্রেকথ্রু,	
pachchi,	পাচ্ছি,	পাচ্ছি,	
torup,	তরুপ,	ট্রুপ,	
shakkhatkarer,	সাক্ষাৎকারের,	সাক্ষাত্কারের,	
shekender,	সেকেন্ডের,	সেকেন্ডের,	
purbanchale,	পূর্বন্চলে,	পূর্বাঞ্চলে,	
rohosyer,	রহস্যের,	রহস্যের,	
shikhbey,	শিখবে,	শিখবে,	
shiter,	সাইটের,	শীতের,	
harbor,	হার্বর,	হারবার,	
abdur,	আবদুর,	আবদুর,	
skart,	স্কার্ট,	স্কার্ট,	
dip,	ডিপ,	দীপ,	
graambaashio,	গ্রামসাবি,	গ্রামবাসীও,	
rupantorer,	রূপান্তরের,	রুপান্তরের,	
madeling,	ম্যাডালিং,	মডেলিং,	
dipke,	দিপকে,	দ্বীপকে,	
obhishangson,	অভিষাংশ,	অভিশংসন,	
jathartho,	যথার্থ,	যথার্থ,	
juktorashtrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
poddhotitei,	পদ্ধতিতে,	পদ্ধতিতেই,	
nikot,	নিকোত,	নিকট,	
jojyata,	যোজ্যতা,	যোজ্যতা,	
diyenes,	ডিজনেস,	ডিএনএস,	
jyesttha,	জ্যাস্থ,	জ্যেষ্ঠা,	
phastara,	ফসস্টার,	ফস্টার,	
srichoitonyodeb,	শ্রীক্তিজন্ডে,	শ্রীচৈতন্যদেব,	
konake,	কোনকে,	কণাকে,	
hoteeltite,	হটিলটিটে,	হোটেলটিতে,	
pishach,	পিসাচ,	পিশাচ,	
the,	থে,	থাই,	
parishkaran,	পরিষ্কারণ,	পরিষ্করণ,	
edaning,	এডানিং,	ইদানীং,	
joki,	জোকি,	জকি,	
nirvahey,	নির্বাহে,	নির্বাহে,	
fud,	ফাউদ,	ফুড,	
granthao,	গ্রন্থাও,	গ্রন্থও,	
bhromoner,	ভ্রমণের,	ভ্রমণের,	
uporitale,	উপরিতালে,	উপরিতলে,	
joones,	জোনেস,	জোন্স,	
natniike,	নাটনীকে,	নাতনীকে,	
bishad,	বিষাদ,	বিষদ,	
madrasar,	মদ্রসার,	মাদ্রাসার,	
dephineshhana,	ডেফিনেশন,	ডেফিনেশন,	
vogni,	ভগ্নি,	ভগ্নী,	
masterer,	মাস্টারের,	মাস্টারের,	
sikkhaou,	শিক্ষুও,	শিক্ষাও,	
beildaar,	বেলদার,	বিল্ডার,	
noitikotar,	নৈতিকতার,	নৈতিকতার,	
shiramikasha,	শিরামিকশা,	সিরামিকস,	
pounchute,	পৌঁছুতে,	পৌঁছুতে,	
dokaangulotey,	দকানগুলোতে,	দোকানগুলোতে,	
arakdal,	আরকদল,	আরেকদল,	
utpotti,	উৎপত্তি,	উতপত্তি,	
shudden,	শুদ্দেন,	সাডেন,	
phoksher,	ফক্ষের,	ফক্সের,	
karmokandeo,	কর্মকান্ডে,	কর্মকাণ্ডেও,	
krom,	ক্রম,	ক্রম,	
deembakriti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
rajpur,	রাজপুর,	রাজপুর,	
mucus,	মুকাস,	মিউকাস,	
fanse,	ফাঁসে,	ফাঁসে,	
chenja,	চেঞ্জ,	চেঞ্জ,	
konagulo,	কনাগুলো,	কণাগুলো,	
gasthi,	গ্যাঠি,	গোষ্ঠী,	
durgandher,	দুর্গান্ধের,	দুর্গন্ধের,	
rushad,	রুশাদ,	রুশদ,	
mozdoor,	মজ্দুর,	মজদুর,	
soundarjo,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
beshirbhaageyi,	বেশিরভাগেই,	বেশিরভাগেই,	
transhapharma,	ট্রান্সফরাম,	ট্রান্সফর্ম,	
basaalt,	বসাল্ট,	ব্যাসল্ট,	
mail,	মেল,	মাইল,	
bulan,	বুলন,	বুলান,	
prakalpati,	প্রকল্পটি,	প্রকল্পটি,	
changee,	চঙ্গি,	চেঞ্জ,	
byaboharkariderke,	ব্যবহারসাকীরকেরকে,	ব্যবহারকারীদেরকে,	
anchalei,	আঞ্চালেই,	অঞ্চলেই,	
kara,	কোরা,	কর,	
mat,	মাত,	ম্যাট,	
tochnoch,	টোচন,	তছনছ,	
satarkabhabey,	সতরাকভাবে,	সতর্কভাবে,	
candy,	ক্যান্ডি,	ক্যান্ডি,	
nischitbhabe,	নিষ্চিতভাবে,	নিশ্চিতভাবে,	
boikollyo,	বৈকল্য,	বৈকল্য,	
otiteo,	অতিতেও,	অতীতেও,	
paite,	পাইটে,	পাইতে,	
afzol,	আফজল,	আফজল,	
paira,	পায়া,	পাইরা,	
plator,	প্লাটার,	প্লেটোর,	
madrasa,	মদ্রস,	মাদ্রাসা,	
cheelona,	চিলনা,	ছিলনা,	
ebhara,	এভার,	এভার,	
leadar,	লিডার,	লিডার,	
bandhutwo,	বন্ধুত্ব,	বন্ধুত্ত্ব,	
suraaropeeto,	সুরারুরিত,	সুরারোপিত,	
sooraarop,	সুরারোপ,	সুরারোপ,	
chomski,	চম্াকই,	চমস্কি,	
samajeekotar,	সমাজীকতার,	সামাজিকতার,	
mukhya,	মুখ্য,	মুখ্য,	
khijir,	খিজির,	খিজির,	
ganochien,	গণভান,	গণচীন,	
manhputo,	ম্নাুপত,	মনঃপুত,	
kanagulo,	কনাগুলো,	কণাগুলো,	
abosore,	অবশরে,	অবসরে,	
debete,	দেবেতে,	ডিবেট,	
jacq,	জ্যাক,	জ্যাক,	
biplabee,	বিপ্লবি,	বিপ্লবী,	
byomkesh,	ব্যামেশ,	ব্যোমকেশ,	
daaun,	ডাউন,	ডাউন,	
kk,	ক্,	কেকে,	
moushum,	মৌশম,	মৌসুম,	
rah,	রাহ,	রঃ,	
proshikkhane,	প্রশিক্ষণে,	প্রশিক্ষণে,	
chaity,	চৈতি,	চৈতি,	
paltechhey,	পাল্টেচে,	পাল্টেছে,	
laisens,	লেইনেন্স,	লাইসেন্স,	
mitra,	মিত্রো,	মিত্র,	
shanta,	শান্ট,	সান্তা,	
ulcer,	উলকার,	আলসার,	
bona,	বোনা,	বোনা,	
atmabishvashi,	অত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
hugeke,	হুগেকে,	হিউজকে,	
kings,	কিংস,	কিংস,	
mehnoti,	মেহনটি,	মেহনতি,	
beekargrasta,	বিকাসগ্রস্ত,	বিকারগ্রস্ত,	
mandope,	মণ্ডপে,	মন্ডপে,	
siropar,	শিরপার,	শিরোপার,	
sabhanetree,	সভভেন্ত্রী,	সভানেত্রী,	
adhunikkale,	আধুনিককালে,	আধুনিককালে,	
projanankaal,	প্রজননকাল,	প্রজননকাল,	
arunima,	অরুনিমা,	অরুণিমা,	
naitikatabodh,	নাইতিকাবভা,	নৈতিকতাবোধ,	
shapad,	শপাদ,	শ্বাপদ,	
ahong,	অহঙ্গ,	অহং,	
bjp,	বিজিপি,	বিজেপি,	
adhuna,	আধুনা,	অধুনা,	
qyanela,	ক্যানেল,	ক্যানেল,	
shfingtar,	স্ফিনটার,	স্ফিংটার,	
bhenasha,	ভেনাস,	ভেনাস,	
jathon,	যথন,	যথন,	
sahajlabhbhotar,	সহজলভভবতার,	সহজলভ্যতার,	
prokolpou,	প্রকল্পপ,	প্রকল্পও,	
leder,	লেডার,	লিডার,	
zoojyota,	যজজ্যতা,	যোজ্যতা,	
chirkut,	চিক্মুত,	চিরকুট,	
letara,	লেটার,	লেটার,	
bishnu,	বিষ্ণু,	বিষ্ণু,	
maddhuri,	মধুরি,	মাধুরী,	
nirgoon,	নির্গুন,	নির্গুণ,	
welcome,	ওয়লকমে,	ওয়েলকাম,	
karoo,	কারু,	কারো,	
teemothi,	টেমথি,	টিমোথি,	
confliqt,	কনফলিক্ট,	কনফ্লিক্ট,	
inapharameshana,	ইনফররেমশন,	ইনফরমেশন,	
uzobekeestaan,	উজবেক্ষেতন,	উজবেকিস্তান,	
dokanei,	ডোকানেই,	দোকানেই,	
nathibhuktir,	নথিভূক্তির,	নথিভুক্তির,	
khannkaj,	খনঁকাজ,	খননকাজ,	
tanoo,	টনন,	তনু,	
sompadoner,	সম্পাদনের,	সম্পাদনের,	
snaipara,	স্নাইপার,	স্নাইপার,	
dibidh,	দিবিধ,	দ্বিবিধ,	
orthanitike,	অর্থনিতিকে,	অর্থনীতিকে,	
carlo,	চার্লো,	কার্লো,	
chorban,	চর্বান,	চর্বন,	
ched,	চেড,	ছেদ,	
matrikar,	মাত্রীকার,	মাতৃকার,	
ashok,	আশোক,	আশোক,	
armeniyana,	আর্মেনিয়ান,	আর্মেনিয়ান,	
kaale,	কালে,	কালে,	
ancholtike,	আঞ্চলটিকে,	অঞ্চলটিকে,	
vobanipur,	ভবানীপুর,	ভবানীপুর,	
kamola,	কমলা,	কামলা,	
rajnoitik,	রাজনৈতিক,	রাজনৈতীক,	
onodhikar,	অনধিকার,	অনধিকার,	
michhilti,	মিশিলটি,	মিছিলটি,	
mesenjar,	মেসেন্জার,	মেসেঞ্জার,	
arthonitite,	অর্থননীতে,	অর্থনীতিতে,	
baek,	বেক,	বাইক,	
pyatarne,	প্যাটারন,	প্যাটার্নে,	
rockibul,	রককিবুল,	রকিবুল,	
naagaaland,	নাগাল্যান্ড,	নাগাল্যান্ড,	
charukala,	চারুকালা,	চারুকলা,	
orthonitite,	অর্থনিতিতে,	অর্থনীতিতে,	
beeswasi,	বিশ্বাসী,	বিশ্বাসী,	
jubokder,	যুবকদের,	যুবকদের,	
qulim,	কুলিম,	কুলিং,	
joubanbotii,	যৌবন্তবী,	যৌবনবতী,	
raagee,	রাগী,	রাগী,	
osthishondhi,	অস্থিসন্ধী,	অস্থিসন্ধি,	
eucalyptush,	ইউকালিউটাস,	ইউক্যালিপ্টাস,	
marqetim,	মার্কেটিম,	মার্কেটিং,	
habshee,	হাবশি,	হাবশী,	
baireyo,	বৈরেও,	বাইরেও,	
joistha,	জৈষ্ঠ্য,	জ্যৈষ্ঠ,	
parishrom,	পারিস্রম,	পরিশ্রম,	
hondurus,	হন্ডুরুস,	হন্ডুরাস,	
shasheja,	শাসেজা,	সসেজ,	
tribhuj,	ত্রিভুজ,	ত্রিভূজ,	
bhittiteow,	ভিত্তিতভে,	ভিত্তিতেও,	
asabhyaa,	অসভ্য,	অসভ্য,	
dibate,	দিবতে,	ডিবেট,	
hitokar,	হিতকার,	হিতকর,	
shaatjon,	সাতজন,	সাতজন,	
qoda,	কোড,	কোড,	
astikota,	অস্তিকতা,	আস্তিকতা,	
shuter,	সূটের,	শ্যুটার,	
noitikatar,	নৈতিকতার,	নৈতিকতার,	
rupantarer,	রূপান্তরের,	রুপান্তরের,	
bosanta,	বসান্ত,	বসন্ত,	
gandhike,	গানধিকে,	গান্ধীকে,	
elaakaati,	এলাকাটি,	এলাকাটি,	
protijogira,	প্রতিযোগিরা,	প্রতিযোগীরা,	
barbadoj,	বার্বাডোজ,	বার্বাডোজ,	
jameske,	জামাস্কে,	জেমসকে,	
booponer,	বুপনের,	বপনের,	
jahara,	জাহারা,	যাহরা,	
eparjanta,	এপার্জন্ট,	এপর্যন্ত,	
grambasider,	গ্রামসাবীদের,	গ্রামবাসীদের,	
tobey,	তবে,	টবে,	
gonjona,	গণ্জনা,	গঞ্জনা,	
tarbiner,	তারবিনের,	টারবাইনের,	
bagdader,	বাগদদের,	বাগদাদের,	
pyetarna,	প্যাটার্ন,	প্যাটার্ন,	
bolokarok,	বলকারক,	বলকারক,	
shikkhao,	শিক্ষাও,	শিক্ষাও,	
second,	সেকন্ড,	সেকেণ্ড,	
armeeniyana,	আর্মিনিয়ান,	আর্মেনিয়ান,	
samabesh,	সমবেশ,	সমাবেশ,	
