nirarthak,	নিরর্থ,	নিরর্থক,	
jerujalemer,	জারুজললমেমের,	জেরুজালেমের,	
aro,	আরো,	আরও,	
ceramiker,	সারামিকের,	সিরামিকের,	
jalatanko,	জলাাানক,	জলাতঙ্ক,	
day,	দা,	ডে,	
chorchito,	চর্চিত,	চর্চিত,	
bandhuderke,	বাধ্ধুদেরে,	বন্ধুদেরকে,	
goonoman,	গুনমান,	গুণমান,	
itostata,	ইতস্তত,	ইতস্তত,	
vabanir,	ভবানীর,	ভবানীর,	
chitranatyakar,	চিত্রন্যাক্যার,	চিত্রনাট্যকার,	
machti,	মাচি,	মাছটি,	
chalachchitro,	চললচ্ত্র,	চলচ্চিত্র,	
iksaprishana,	এক্সপ্রিশন,	এক্সপ্রেশন,	
nodiitir,	নদিতির,	নদীটির,	
seekkhokbrindo,	শিক্ষ্ষ্রীণ্দ,	শিক্ষকবৃন্দ,	
chalesi,	চলেলি,	চলেছি,	
rautine,	রাউটিনে,	রুটিন,	
shikshakke,	শিক্ষকে,	শিক্ষককে,	
dadader,	দদাদের,	দাদাদের,	
attobishwasi,	অত্তবিশ্বাসী,	আত্মবিশ্বাসী,	
bohoodeen,	বহুদিন,	বহুদিন,	
tribhuj,	ত্রিভূ,	ত্রিভূজ,	
plus,	প্লুস,	প্লাস,	
drishyer,	দৃষ্যের,	দৃশ্যের,	
bhittow,	ভিত্ব,	ভিত্তিও,	
rubidiyam,	রুবিদিয়াম,	রুবিডিয়াম,	
raha,	রাহ,	রঃ,	
sanaktokoroner,	সানক্তরণের,	সনাক্তকরণের,	
bagicha,	বাগিচ,	বাগিচা,	
tarbine,	তারবিনে,	টারবাইন,	
nirontar,	নির্ন্তার,	নিরন্তর,	
haajarer,	হাজারের,	হাজারের,	
jotinke,	জতিনকে,	যতীনকে,	
concert,	কন্সার্ট,	কানসাট,	
masjidtikey,	মাস্দিতিকে,	মসজিদটিকে,	
upobasher,	উপবাসের,	উপবাসের,	
khelaphate,	খেলাফাতে,	খেলাফতে,	
tateo,	তাতেও,	তাতেও,	
ikbaler,	ইকবালের,	ইকবালের,	
bishshaash,	বিশ্বাস,	বিশ্বাস,	
shatan,	শান,	শয়তান,	
tuleche,	তুলেে,	তুলেছে,	
basiney,	বাসিনে,	বেসিনে,	
wagadada,	বগাদা,	বাগদাদ,	
gatibege,	গতিবেগে,	গতিবেগে,	
dankaan,	ডানকা,	ডানকান,	
nuhas,	নুহাস,	নুহাশ,	
postake,	পস্তাকে,	পোস্টকে,	
nirabota,	নিরবাত,	নিরবতা,	
cheettronnatyokar,	চিত্রন্যযাক্র,	চিত্রনাট্যকার,	
laaiseens,	লাইসেন্স,	লাইসেন্স,	
jokey,	জোকে,	জকি,	
sangosthagulo,	সংস্গ্যাগুলো,	সংস্থাগুলো,	
varma,	ভার্ম,	ভার্মা,	
codey,	কদে,	কোডে,	
poschimey,	পশ্চিমে,	পশ্চিমে,	
hitokor,	হিতকর,	হিতকর,	
nironjon,	নির্জন,	নিরঞ্জন,	
futonto,	ফুতন্ত,	ফুটন্ত,	
jins,	জিন্স,	জিন্স,	
daackticket,	ডাক্সকিকেট,	ডাকটিকিট,	
monjhoshtho,	মন্যস্্থ,	মঞ্চস্থ,	
sikkhakbrinda,	শিক্ষাব্রীণ্,	শিক্ষকবৃন্দ,	
tukroti,	তুকর্তি,	টুকরোটি,	
manahputo,	মানাপুত,	মনঃপুত,	
karpeta,	কর্পেট,	কার্পেট,	
jesthotar,	জেস্থতার,	জ্যেষ্ঠতার,	
taronee,	তারণী,	তরণী,	
nishchitrupe,	নিশ্ষ্তূরূপে,	নিশ্চিতরূপে,	
sosoa,	সোস,	শশা,	
shringo,	শৃর্গ,	শৃঙ্গ,	
mojlishpur,	মজলিসপুর,	মজলিশপুর,	
suddeen,	সুদ্দিন,	সাডেন,	
vange,	ভাঙ্গে,	ভাঙ্গে,	
eenjeel,	ইন্জিল,	ইঞ্জিল,	
saya,	সায়া,	সোয়া,	
paitey,	পাইতে,	পাইতে,	
landing,	লান্ডিং,	ল্যান্ডিং,	
chotogolpe,	চটগুল্পে,	ছোটগল্পে,	
sqirt,	স্ক্রি,	স্কার্ট,	
serup,	সেরুপ,	সেরূপ,	
juktorastrosoho,	যুক্র্ত্রস্সহ,	যুক্তরাষ্ট্রসহ,	
enginearing,	এং্যানিরিং,	ইঞ্জিনিয়ারিং,	
monmotho,	মন্মথ,	মন্মথ,	
petrol,	পেট্রল,	পেট্রোল,	
ganosachetanata,	গোসাসাচনতা,	গণসচেতনতা,	
brake,	ব্রাকে,	ব্রেক,	
masjidke,	মাস্দিকে,	মসজিদকে,	
shulkey,	সুলকে,	শুল্কে,	
reefleex,	রিফলে,	রিফ্লেক্স,	
vandare,	ভান্ডারে,	ভাণ্ডারে,	
akmot,	একমত,	একমত,	
ruteen,	রুটিন,	রুটিন,	
vorkendra,	ভর্কেন্দ্র,	ভরকেন্দ্র,	
elaakaatike,	এলাকাতিকে,	এলাকাটিকে,	
abarte,	অবর্তে,	আবর্তে,	
vumij,	ভূমি,	ভূমিজ,	
shilpojato,	শিল্পজত,	শিল্পজাত,	
lisens,	লিসেন্স,	লাইসেন্স,	
songrahok,	সংগ্রহ,	সংগ্রাহক,	
kule,	কুলে,	কুলে,	
batsmanyi,	বাসমমনী,	ব্যাটসম্যানই,	
dipgulote,	দিপুলোতে,	দ্বীপগুলোতে,	
sofy,	সফি,	সোফি,	
kareer,	কারির,	কারীর,	
okritakarjo,	অকৃত্রায্য,	অকৃতকার্য,	
rakshanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
rahee,	রাহী,	রাহি,	
jeten,	জেটেন,	যেতেন,	
koomarir,	কোমারির,	কুমারীর,	
korimpoor,	করিমপুর,	করিমপুর,	
skolarsip,	স্লার্সিপি,	স্কলারশিপ,	
atyacharito,	অত্যাচারিত,	অত্যাচারিত,	
ghumachchila,	ঘুমাচিল,	ঘুমাচ্ছিল,	
somaazeri,	সমাজারী,	সমাজেরই,	
manabmoner,	মানবমনের,	মানবমনের,	
lala,	লল,	লালা,	
liceensing,	লিলেনিং,	লাইসেন্সিং,	
ooporoshtho,	উপর্ষ্থ,	উপরস্থ,	
butha,	বুথ,	বুথ,	
trupa,	ট্রুপ,	ট্রুপ,	
croak,	ক্রোক,	ক্রোক,	
zinsa,	জিন্স,	জিন্স,	
gor,	গর,	গোর,	
uindoo,	উইন্দু,	উইন্ডো,	
ghursen,	ঘুর্সেন,	ঘুরেছেন,	
foolkopi,	ফুলক্পি,	ফুলকপি,	
avatar,	অভাতার,	অবতার,	
mosjidtikey,	মস্যুতিকে,	মসজিদটিকে,	
bii,	বিই,	বি,	
elakaa,	এলাকা,	এলাকা,	
ingrejra,	ইংর্জের,	ইংরেজরা,	
becha,	বেচ,	বেচা,	
karo,	কারো,	করো,	
shikkharrthirao,	শিক্ষার্রীর,	শিক্ষার্থীরাও,	
shrabosty,	শ্রব্যস্তি,	শ্রাবস্তী,	
deil,	ডিল,	ডেইল,	
sur,	সুর,	সুর,	
jiland,	জিলান্ড,	জিল্যান্ড,	
bikretaara,	বিক্রতের,	বিক্রেতারা,	
gonohotyar,	গণহ্যতার,	গণহত্যার,	
peeth,	পিথ,	পীঠ,	
haryken,	হার্কেন,	হ্যারিকেন,	
tottoraat,	তত্রতা,	তওরাত,	
ekoirokom,	একোরোকম,	একইরকম,	
cantan,	ক্যান্ট,	ক্যান্টন,	
karkatkranti,	কর্ক্তর্ন্তি,	কর্কটক্রান্তি,	
krantikale,	ক্রান্টিলে,	ক্রান্তিকালে,	
cholochchitreeo,	চলচচ্তিরে,	চলচ্চিত্রেও,	
rohasyati,	রহস্যাতি,	রহস্যটি,	
artherer,	আর্থেরের,	আর্থারের,	
zoneser,	জনেসের,	জোন্সের,	
drissogulote,	দৃষ্যগুলোতে,	দৃশ্যগুলোতে,	
omarjito,	অমার্জিত,	অমার্জিত,	
bhromonkaale,	ভ্রমণকালে,	ভ্রমণকালে,	
parshwer,	পার্শবের,	পার্শ্বের,	
ganochien,	গোনছিন,	গণচীন,	
addhattik,	অদ্যাত্তিক,	আধ্যাত্মিক,	
primo,	প্রিম,	প্রিমো,	
biphal,	বিফল,	বিফল,	
transafarma,	ট্রান্সর্ম,	ট্রান্সফর্ম,	
projanankaal,	প্রজন্যাকল,	প্রজননকাল,	
akshor,	আক্ষর,	একশোর,	
bondhubhabapanno,	বন্ধুবাপ্বন্ণ,	বন্ধুভাবাপন্ন,	
sahosikotaar,	সহসিকতার,	সাহসিকতার,	
manushder,	মানুসদের,	মানুষদের,	
ajibon,	আজীবন,	আজীবন,	
eporjonto,	এপর্জন্ত,	এপর্যন্ত,	
shoccar,	সোক্র,	সকার,	
ixprission,	ইক্প্রিশন,	এক্সপ্রেশন,	
ramantic,	রামানিক,	রোমান্টিক,	
yathaarthabhaabe,	যথার্থভাবে,	যথার্থভাবে,	
desiseyer,	দেশিসেরের,	ডিজিজের,	
jeebjontu,	জীবজ্ঞ্ত,	জীবজন্তু,	
dholeshwari,	ধলেশ্বরী,	ধলেশ্বরী,	
grambaaseeder,	গ্রাম্বাসীদের,	গ্রামবাসীদের,	
pratisthasoho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
chat,	চাট,	চ্যাট,	
charjer,	চার্জের,	চার্জার,	
chhooti,	ছুটি,	ছুটি,	
eekbaler,	একবালের,	ইকবালের,	
caaling,	ক্যালিং,	কুলিং,	
bishasey,	বিশাসে,	বিশ্বাসে,	
dhyanostho,	ধ্যান্্্,	ধ্যানস্থ,	
surti,	সূর্টি,	সুরটি,	
eshkol,	এসকল,	এসকল,	
ghateer,	ঘটির,	ঘাটির,	
noitikvabe,	নৈতিক্বাবে,	নৈতিকভাবে,	
jaqi,	জাকি,	জকি,	
abhidhaneec,	অভিধানিক,	অভিধানিক,	
licensin,	লিইন্সিন,	লাইসেন্সিং,	
mohisho,	মহিষ,	মহিষ,	
candi,	কান্ডি,	ক্যান্ডি,	
khali,	খালি,	খালি,	
mojlis,	মজলিস,	মজলিশ,	
ministar,	মিনিস্টার,	মিনিস্টার,	
satarkokari,	সতরককারী,	সতর্ককারী,	
saoum,	সাউম,	সাওম,	
dilam,	ডিলম,	দিলাম,	
codeti,	কদেটি,	কোডটি,	
khalidkay,	খালিদকে,	খালিদকে,	
koreemer,	করিমের,	করিমের,	
gazetted,	গজজেত্দে,	গেজেটেড,	
akmato,	একমত,	একমত,	
palashir,	পালাশীর,	পলাশীর,	
zeans,	জিন্স,	জিন্স,	
panera,	পানের,	পনের,	
zubokder,	যুবকদের,	যুবকদের,	
bojhaao,	বোহা,	বোঝাও,	
iura,	ইউরা,	ইউরো,	
mosharroph,	মোসররপ,	মশাররফ,	
nodiigulir,	নদিগুলির,	নদীগুলির,	
sangosthatir,	সংস্ঠাতির,	সংস্থাটির,	
deembakriti,	দিম্বাকৃতি,	ডিম্বাকৃতি,	
korush,	করুস,	ক্রুশ,	
zuktorastrer,	যুক্তর্স্ত্রের,	যুক্তরাষ্ট্রের,	
uru,	উরু,	উরু,	
bhagna,	ভাগন,	ভগ্ন,	
elakaati,	এলাকাটি,	এলাকাটি,	
tafaat,	টাফা,	তফাৎ,	
modhumoti,	মধুমতি,	মধুমতী,	
shikshao,	শিক্ষ,	শিক্ষাও,	
qanaphliqta,	কাফফলিক্ট,	কনফ্লিক্ট,	
fevarite,	ফেভারিতে,	ফেভারিট,	
isahak,	ইসহাক,	ইসাহাক,	
nodimaatrik,	নদিমাত্রিক,	নদীমাতৃক,	
ganana,	গণনা,	গননা,	
aswastikar,	অস্বস্তিকার,	অস্বস্তিকর,	
feemalee,	ফিমালি,	ফিমেল,	
marodeha,	মারদে,	মরদেহ,	
jesthatar,	জেস্থাত,	জ্যেষ্ঠতার,	
hedge,	হেড,	হেজ,	
jeerusaleem,	জিরুসলিম,	জেরুসালেম,	
vimshen,	ভিমেন,	ভীমসেন,	
jeellool,	জিল্লল,	জিল্লুল,	
bhangchur,	ভাংচুর,	ভাংচুর,	
sthaponakay,	স্থাপনকে,	স্থাপনাকে,	
bagdadi,	বাদদা,	বাগদাদী,	
dokaan,	ডোকান,	দোকান,	
atiteo,	আতিতেও,	অতীতেও,	
conservetion,	কন্সরেভেশন,	কনসারভেশন,	
kooda,	কোড,	কোড,	
rushad,	রুষাদ,	রুশদ,	
aholla,	আহল্ল,	অহল্যা,	
obhijojon,	অভিযজন,	অভিযোজন,	
odure,	অদুরে,	অদুরে,	
koota,	কোট,	কোটা,	
faksa,	ফক্স,	ফক্স,	
monoputo,	মনপুত,	মনঃপুত,	
koordider,	কুরদদের,	কুর্দিদের,	
yatharthabhabe,	যথার্থভাবে,	যথার্থভাবে,	
karlasa,	কার্লাস,	কার্লোস,	
lajiqa,	লাজিক,	লজিক,	
aloteo,	আলোতেও,	আলোতেও,	
bheemsen,	ভিমেসেন,	ভীমসেন,	
jaunotar,	যৌনাতার,	যৌনতার,	
treebhuj,	ট্রীভূজ,	ত্রিভূজ,	
hepataitisha,	হেপাটিশি,	হেপাটাইটিস,	
bhangchoor,	ভাংচুর,	ভাংচুর,	
jonoikaa,	জোনিকা,	জনৈকা,	
oncholgulote,	অন্যলুগোতে,	অঞ্চলগুলোতে,	
olimpik,	অলিম্পিক,	অলিম্পিক,	
brindaa,	বৃর্ন্ড,	বৃন্দা,	
parikha,	পরিখা,	পরিখার,	
eenjil,	এন্জিল,	ইঞ্জিল,	
janomukhi,	জনমুখি,	জনমুখী,	
chani,	চানি,	ছানি,	
deily,	ডিলি,	ডেইলি,	
nirmankaaj,	নির্মাকজ,	নির্মাণকাজ,	
basturyi,	বস্তুরি,	বস্তুরই,	
shector,	সেক্টর,	সেক্টর,	
noiteekvabe,	নৈতিক্বাবে,	নৈতিকভাবে,	
opohoron,	অপহরণ,	অপহরন,	
durgotsabe,	দুর্গত্ববে,	দুর্গোৎসবে,	
chanje,	চাঁজে,	চেঞ্জ,	
bhardwaj,	ভার্দ্য,	ভরদ্বাজ,	
jubokera,	যুবকের,	যুবকেরা,	
mukhomandaley,	মুখমান্ডে,	মুখমণ্ডলে,	
krita,	কৃত,	ক্রীট,	
chittronattokar,	চিত্রত্যাত্র,	চিত্রনাট্যকার,	
ceema,	সিম,	সীমা,	
bachchaner,	বাচচনের,	বচ্চনের,	
janasamaj,	জনসমাজ,	জনসমাজ,	
shakar,	শকার,	সকার,	
osontos,	অসন্ত,	অসন্তোষ,	
heza,	হেজ,	হেজ,	
krema,	ক্রেম,	ক্রাইম,	
pravritir,	প্রভিতির,	প্রভৃতির,	
gobeshokgan,	গবেষক্যা,	গবেষকগণ,	
shreechoitonyodeb,	শ্রীতিত্যবেদ,	শ্রীচৈতন্যদেব,	
template,	টেম্পলেত,	টেম্পলেট,	
treevuj,	ট্রিভূজ,	ত্রিভূজ,	
laisensim,	লাইসেন্সিং,	লাইসেন্সিং,	
vezano,	ভেজান,	ভেজানো,	
jorury,	জরুরি,	জরূরী,	
carymb,	কার্মি,	করিম,	
graambaashio,	গ্রাম্বাশি,	গ্রামবাসীও,	
madaspushto,	মাদাসপু্্ত,	মদদপুষ্ট,	
rinattok,	রিনাত্ত,	ঋনাত্মক,	
mosjidsoho,	মমিস্যস,	মসজিদসহ,	
expreshshion,	এক্প্রেশিন,	এক্সপ্রেশন,	
definitian,	ডেফিনিয়ান,	ডেফিনেশন,	
byabosthar,	ব্যবস্থার,	ব্যবস্থার,	
mosjidsaho,	মমুস্যাস,	মসজিদসহ,	
muhurtoti,	মুহরততি,	মুহুর্তটি,	
gardeen,	গার্ডিন,	গার্ডেন,	
abosane,	অবসানে,	অবসানে,	
pothchari,	পঠাচারী,	পথচারী,	
bhromoner,	ভ্রমণের,	ভ্রমণের,	
visnu,	ভিষ্ণু,	বিষ্ণু,	
boneo,	বনেও,	বনেও,	
wodka,	ওদকা,	ভদকা,	
zommu,	জম্ম,	জম্মু,	
soccar,	সক্ার,	সকার,	
associates,	অস্যোসেসেট,	এসোসিয়েটস,	
juktorashtrer,	যুক্তর্ষ্ত্রের,	যুক্তরাষ্ট্রের,	
lyaandeeng,	ল্যান্ডিং,	ল্যান্ডিং,	
chalochchitrai,	চলচচ্ত্রী,	চলচ্চিত্রই,	
jilyanda,	জিল্যান্ড,	জিল্যান্ড,	
vishnuke,	বিষ্ণুকে,	বিষ্ণুকে,	
otitkaley,	অতিকালে,	অতীতকালে,	
nyaper,	ন্যাপের,	ন্যাপের,	
madhobi,	মাধবি,	মাধবী,	
nothivooktir,	নথিভুক্তির,	নথিভুক্তির,	
darzi,	দার্জি,	দরজি,	
sotorko,	সতর্ক,	সতর্ক,	
skara,	স্কার,	স্কোর,	
naazii,	নাজি,	নাত্সি,	
peshto,	পেষ্ট,	পেষ্ট,	
tafsher,	তাসের,	তাফসীর,	
engrezder,	এংর্জেদের,	ইংরেজদের,	
obhaarbhiu,	অভারূভি,	ওভারভিউ,	
biswashwo,	বিশ্বব্য,	বিশ্বাসও,	
pingnaa,	পিংনা,	পিংনা,	
sectar,	সেক্টার,	সেক্টর,	
emerjency,	এমের্জেনি,	এমার্জেন্সি,	
obharbheeu,	অভারভভি,	ওভারভিউ,	
nadike,	নাদিকে,	নদীকে,	
hiper,	হিপের,	হাইপার,	
fansi,	ফান্সি,	ফাঁসী,	
meghachonno,	মেহাচন্ন,	মেঘাচ্ছন্ন,	
olngkoron,	অল্ককরণ,	অলঙ্করণ,	
gonocheener,	গোনিছের,	গণচীনের,	
lutherana,	লুলেরা,	লুথেরান,	
jerusaleme,	জারুসলেমে,	জেরুসালেমে,	
bamna,	বামন,	বামনা,	
floodlighter,	ফ্ললল্ঘিতের,	ফ্লাডলাইটের,	
plater,	প্লাটের,	প্লেটের,	
vittiow,	ভিত্যও,	ভিত্তিও,	
garjan,	গর্জান,	গর্জন,	
karlosa,	কার্লস,	কার্লোস,	
udbhabaker,	উদ্ববকের,	উদ্ভাবকের,	
sikkhokder,	শিক্ষদের,	শিক্ষকদের,	
maddhobir,	মাধ্বীর,	মাধবীর,	
boorana,	বোরান,	বোরন,	
dhormantor,	ধর্মন্তর,	ধর্মান্তর,	
anish,	অনিশ,	আনিস,	
koilash,	কোলাস,	কৈলাস,	
beeswasee,	বিশ্বাসী,	বিশ্বাসে,	
bondikey,	বন্দিকে,	বন্দীকে,	
ruteener,	রুটিনের,	রুটিনের,	
shilbar,	শিলবার,	সিলভার,	
majdur,	মাজুদুর,	মজদুর,	
godamjato,	গদমাজ,	গুদামজাত,	
dhruboker,	ধূর্বকের,	ধ্রুবকের,	
asamanjashapurna,	আসমাম্যপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
omanisha,	অমানিস,	অমানিশা,	
laicenshe,	লাইনেস্সে,	লাইসেন্স,	
drishi,	দৃরি,	দৃশ্যই,	
jacq,	জাক,	জ্যাক,	
orbiit,	অর্বিত,	অরবিট,	
bahya,	বাহ্য,	বাহ্য,	
halloween,	হাল্য়েন,	হ্যালোইন,	
gaichhe,	গাছে,	গাইছে,	
aagost,	আগগ্স,	আগষ্ট,	
teemothee,	তিমমি,	টিমোথি,	
dorun,	দরুন,	দরুণ,	
sakshatkarer,	সক্ষ্তারের,	সাক্ষাৎকারের,	
shommotite,	সম্মতিতে,	সম্মতিতে,	
phokskon,	ফোক্ষ,	ফক্সকন,	
yuroo,	ইুরো,	ইউরো,	
asamonjasyopurno,	অসমাম্যসূপ্র্ণ,	অসামঞ্জস্যপূর্ণ,	
niketon,	নিকেন,	নিকেতন,	
rohasyer,	রহাস্যের,	রহস্যের,	
mb,	ম্ব,	এমবি,	
arthanitite,	অর্থনিতিতে,	অর্থনীতিতে,	
amarendro,	আমারেন্দ্র,	অমরেন্দ্র,	
fareksa,	ফরেক্স,	ফরেক্স,	
khelafate,	খেলাফাতে,	খেলাফতে,	
nikate,	নিকাতে,	নিকটে,	
atma,	আতম,	আত্ম,	
tirmijii,	তিরমিজি,	তিরমিজি,	
niutrino,	নিউত্রীন,	নিউট্রিনো,	
definishion,	ডেফিনিশন,	ডেফিনেশন,	
marekting,	মারেকিং,	মার্কেটিং,	
tafsherer,	তাসারের,	তাফসীরের,	
aminool,	অমিনুল,	আমিনুল,	
milea,	মিলে,	মাইলে,	
muhmmoder,	মুমমদের,	মুহম্মদের,	
porishrom,	পরিষ্রম,	পরিশ্রম,	
amoor,	আমুর,	আমর,	
aieesha,	আইয়ে,	আইএএস,	
karpeter,	কর্পেটের,	কার্পেটের,	
gajee,	গজজি,	গেজ,	
biswashi,	বিশ্বাসী,	বিশ্বাসী,	
aakaabar,	আকাবার,	আকাবার,	
jotharthovabey,	যথার্থভাবে,	যথার্থভাবে,	
vaibonera,	ভাবনের,	ভাইবোনেরা,	
istoon,	ইস্টন,	স্টোন,	
syfy,	সিফ,	সাইফাই,	
asiatic,	অসযাসিক,	এশিয়াটিক,	
venkates,	ভেনক্টেস,	ভেঙ্কটেশ,	
cruce,	ক্রুসে,	ক্রুশ,	
kalkarkhana,	কললক্রণ,	কলকারখানা,	
somaptir,	সমাপিত,	সমাপ্তির,	
metere,	মেটের,	মিটারে,	
silver,	সিলভের,	সিলভার,	
maner,	মানের,	মানে,	
ovinetar,	অভিনেত,	অভিনেতার,	
pushti,	পুষ্টি,	পুষ্টি,	
debdebi,	দেব্বীবী,	দেবদেবী,	
bamona,	বামন,	বামনা,	
shudhui,	সুধু,	শুধুই,	
gori,	গরি,	গোরি,	
silabhara,	সিলভার,	সিলভার,	
bishad,	বিশাদ,	বিষদ,	
safiin,	সাফিন,	সাফিন,	
twakei,	ট্যাকেই,	ত্বকেই,	
mandape,	মান্ডাপে,	মন্ডপে,	
ponjeekaar,	পঞ্জিকার,	পঞ্জিকার,	
ghotleo,	ঘটলেও,	ঘটলেও,	
gaiche,	গাইছে,	গাইছে,	
danober,	দানবের,	দানবের,	
grambaasider,	গ্রামাবাসীদের,	গ্রামবাসীদের,	
hotodoreedro,	হততদরদ্র,	হতদরিদ্র,	
ojuhat,	অজুহাত,	অজুহাত,	
noitikata,	নৈটিকা,	নৈতিকতা,	
brooklyn,	ব্রুলকিন,	ব্রুকলিন,	
bujhechilo,	বুজেছিল,	বুঝেছিল,	
riphleqsa,	রিফলেক্স,	রিফ্লেক্স,	
verma,	ভার্ম,	ভার্মা,	
onekeryi,	অনেকেরি,	অনেকেরই,	
saatzoner,	সাত্যনের,	সাতজনের,	
zzojyota,	যযজ্যতা,	যোজ্যতা,	
prostut,	প্রস্তুত,	প্রস্ত্তত,	
udvaboni,	উদ্বাবনী,	উদ্ভাবনী,	
monu,	মনু,	মনু,	
niqela,	নিকেল,	নিকেল,	
senabahinike,	সেনাহাহীনীকে,	সেনাবাহিনীকে,	
lohaa,	লোহা,	লোহা,	
rahi,	রাহি,	রাহি,	
onurbar,	অনুর্বার,	অনুর্বর,	
bouddho,	বৌদ্ধ,	বৌদ্ধ,	
musalmani,	মুসমালীন,	মুসলমানই,	
surakarder,	সুরাকারের,	সুরকারদের,	
jonite,	জনিতে,	যোনীতে,	
ruby,	রুবি,	রুবী,	
bedanter,	বেদন্তের,	বেদান্তের,	
cross,	ক্রসস,	ক্রুশ,	
saamaanya,	সমমান্য,	সামান্য,	
bhalobasake,	ভালবাসকে,	ভালোবাসাকে,	
foridi,	ফরিদি,	ফরিদী,	
natneekey,	নানতিকে,	নাতনীকে,	
amarendra,	আমারেন্দ্র,	অমরেন্দ্র,	
tenise,	টেনিসে,	টেনিসে,	
lutharana,	লুথার,	লুথেরান,	
sheo,	শেও,	সেও,	
teemothy,	টিমমি,	টিমোথি,	
nirmolotaa,	নির্মলতা,	নির্মলতা,	
jeeni,	জেনি,	যিনি,	
ramdhanu,	রাম্ধুন,	রামধনু,	
khanankaj,	খানাজক,	খননকাজ,	
shhip,	শিপ,	শিপ,	
durgotsob,	দুর্ত্বস,	দুর্গোৎসব,	
cholochchitrei,	চলচচ্ত্রেই,	চলচ্চিত্রেই,	
narsaari,	নার্সারি,	নার্সারি,	
bibadey,	বিবাদে,	বিবাদে,	
chai,	চাই,	ছাই,	
resorte,	রেসর্টে,	রিসোর্টে,	
tat,	তা,	তাত,	
kathhmandute,	কাঠমুদ্তে,	কাঠমান্ডুতে,	
koilaash,	কোলাস,	কৈলাস,	
defineshana,	ডেফিনেশন,	ডেফিনেশন,	
suparichita,	সুপরিচিত,	সুপরিচিত,	
dharavahikeo,	ধারাহাহিকে,	ধারাবাহিকেও,	
mozart,	মজার্ট,	মোজার্ট,	
mookhomaundoler,	মুখামদুললের,	মুখমণ্ডলের,	
sharthe,	সর্থে,	স্বার্থে,	
tata,	তা,	তাতা,	
log,	লোগ,	লগ,	
oocchoseeto,	উচচ্ষিত,	উচ্ছসিত,	
rilayensa,	রিলেয়েন্স,	রিলায়েন্স,	
thishisher,	ঠিশিসের,	থিসিসের,	
arthonitike,	আর্থনিতিকে,	অর্থনীতিকে,	
kuery,	কুরে,	কোয়েরি,	
birishiritey,	বিরিষিতে,	বিরিশিরিতে,	
jaubanbati,	যৌবন্বাতী,	যৌবনবতী,	
manober,	মানবের,	মানবের,	
ashociatesh,	অসোয়েশে,	এসোসিয়েটস,	
tiunar,	টিউনার,	টিউনার,	
samanyo,	সম্যা,	সামান্য,	
pet,	পেট,	পেত,	
baraak,	বারাক,	বারাক,	
dhyanostha,	ধ্যান্্থ,	ধ্যানস্থ,	
nirupita,	নিরুপিত,	নিরূপিত,	
moreecha,	মরিচ,	মরিচা,	
promotioney,	প্রমোশনে,	প্রোমোশনে,	
baabul,	বাবুল,	বাবুল,	
baasaa,	বাসা,	বাসা,	
deembakreeti,	দিম্বারীতি,	ডিম্বাকৃতি,	
bhaibon,	ভাবন,	ভাইবোন,	
prottokhovabe,	প্রত্তক্ভভাবে,	প্রত্যক্ষভাবে,	
gezetted,	জেজেট্টেড,	গেজেটেড,	
maudeler,	মাদেলের,	মডেলের,	
dabarer,	দবরের,	দাবারের,	
itostato,	ইতস্তত,	ইতস্ততঃ,	
firozaa,	ফিরোজা,	ফিরোজা,	
birder,	বিরদের,	বার্ডের,	
karechi,	করেছি,	করেছি,	
jatook,	যাতুক,	জাতক,	
giitikobitar,	গীতিকবিতার,	গীতিকবিতার,	
soommo,	সূম্ম,	সুমো,	
aziza,	আজিজ,	আজিজা,	
chalochchitroke,	চললচিত্রে,	চলচ্চিত্রকে,	
shkolashtik,	স্কলাষ্টিক,	স্কলাস্টিক,	
nirmankaz,	নির্মাকজ,	নির্মাণকাজ,	
shobnom,	শব্ম,	শবনম,	
mojdoor,	মজুদুর,	মজদুর,	
bedanta,	বেদন্ত,	বেদান্ত,	
gajipur,	গজীপুর,	গাজিপুর,	
yaach,	যাচ,	ইয়াক,	
gazipore,	গাজীপরে,	গাজিপুর,	
gonoporeebohon,	গণপরীবহণ,	গণপরিবহন,	
jonomukhi,	জনমুখি,	জনমুখী,	
graambashio,	গ্রাম্বাশি,	গ্রামবাসীও,	
prasadhaner,	প্রসাধনের,	প্রসাধনের,	
dhouto,	ধুত,	ধৌত,	
chalochchitro,	চললচ্ত্র,	চলচ্চিত্র,	
gronther,	গ্রন্থের,	গ্রন্থের,	
tourisht,	তুরিষ্ট,	টুরিস্ট,	
ancholsoho,	অন্চলস,	অঞ্চলসহ,	
os,	অস,	অস,	
gitikabita,	গিতিকবিত,	গীতিকবিতা,	
toler,	তলের,	তালের,	
motion,	মোটিন,	মোশন,	
hajeerhatt,	হাজীরাত্ট,	হাজিরহাট,	
manikyo,	মানিক্য,	মানিক্য,	
angshogrohon,	অংশগরহণ,	অংশগ্রহন,	
shikkhakbrinda,	শিক্ষাব্রীণ্,	শিক্ষকবৃন্দ,	
chhidropothe,	চিদ্রপপে,	ছিদ্রপথে,	
adorsho,	আদর্শ,	আর্দশ,	
