zoneete,	জনিতে,	যোনীতে,	
guzob,	গুজব,	গুজব,	
kuchir,	কুচির,	কুচির,	
senabahineekey,	সেনানভানকেকে,	সেনাবাহিনীকে,	
karmokerer,	কর্মকরের,	কর্মকারের,	
beshirbhagi,	বিশ্বারগী,	বেশিরভাগই,	
durgandher,	দুর্ন্যাের,	দুর্গন্ধের,	
gaje,	গজে,	গেজ,	
shource,	সৌর্স,	সোর্স,	
chirokumari,	চিরুকারী,	চিরকুমারী,	
haphsa,	হাফস,	হাফসা,	
songkoloner,	সংকললেের,	সংকলনের,	
kuota,	কুতত,	কোটা,	
adbhut,	অদ্ভুত,	অদ্ভুত,	
macho,	মাচ,	মাছও,	
mausum,	মুসুম,	মৌসুম,	
torooner,	তররোের,	তরুণের,	
maadhoobir,	মধ্ভীর,	মাধবীর,	
qyathaliqa,	ক্যাচালিক,	ক্যাথলিক,	
geza,	জেজ,	গেজ,	
jatok,	জতক,	জাতক,	
churger,	চুর্গের,	চার্জের,	
bondi,	বন্দি,	বন্দী,	
roza,	রোজা,	রোযা,	
oichchheek,	অচিকিক,	ঐচ্ছিক,	
chitranattakar,	চিত্তান্তার,	চিত্রনাট্যকার,	
gudamjat,	গোজ্জমত,	গুদামজাত,	
juktarashtrasaha,	জুক্তর্তাসা,	যুক্তরাষ্ট্রসহ,	
nirarthok,	নির্রাক,	নিরর্থক,	
kuhelika,	কুলিকিক,	কুহেলিকা,	
platoo,	প্লতত,	প্লেটো,	
phaksa,	ফাক্স,	ফক্স,	
gacher,	গাচের,	গাছের,	
phaltu,	ফালুত,	ফালতু,	
tetela,	টেটেল,	টাইটেল,	
platey,	প্লাতে,	প্লেটে,	
byapokotor,	ব্যাপত্তর,	ব্যাপকতর,	
ahollar,	আহলালার,	অহল্যার,	
lisense,	লিইন্সে,	লাইসেন্স,	
jetam,	জেতাম,	যেতাম,	
nirbaha,	নির্বাহ,	নির্বাহ,	
ancholsomuher,	অন্যচচচখের,	অঞ্চলসমূহের,	
parikha,	পরিক্ষ,	পরিখার,	
natsi,	নাটসি,	নাত্সি,	
gonohottake,	গন্তাততে,	গণহত্যাকে,	
phoksher,	ফক্ষের,	ফক্সের,	
venish,	ভেনিশ,	ভেনিস,	
ansarir,	আনস্রীর,	আনসারীর,	
bhiqtara,	ভিক্টার,	ভিক্টর,	
marryir,	মার্রির,	ম্যারির,	
shrimati,	শ্রিমতি,	শ্রীমতি,	
pari,	পারি,	পেরি,	
protijogiitamulok,	প্রতিগিগগূলূকক,	প্রতিযোগীতামূলক,	
kaash,	কাস,	কাস,	
kousholgoto,	কৌশগগতত,	কৌশলগত,	
byabaharkareei,	ব্যাহাাাররী,	ব্যবহারকারীই,	
hepara,	হেপার,	হাইপার,	
shkalastic,	স্লাললসটিট,	স্কলাস্টিক,	
musalmankey,	মুস্মামনকে,	মুসলমানকে,	
mukhomondole,	মুখ্মনললে,	মুখমণ্ডলে,	
fatakasto,	ফাতাক্ত,	ফাটাকেষ্ট,	
piora,	পিরা,	পিওর,	
olympic,	অল্মিপিক,	অলিম্পিক,	
beam,	বেম,	বীম,	
sakkhatkarer,	সাক্ষাকারের,	সাক্ষাত্কারের,	
pacchen,	পাচচেন,	পাচ্ছেন,	
barder,	বার্ডের,	বার্ডের,	
komaatei,	কমাতে,	কমাতেই,	
foltir,	ফলটির,	ফলটির,	
ghatkey,	ঘটকে,	ঘাটকে,	
landin,	লান্ডিন,	ল্যান্ডিং,	
bea,	বেই,	বি,	
baipasa,	বাইপা,	বাইপাস,	
oedipus,	অদিপিপ,	ইডিপাস,	
chalochchitra,	চলচচচচত্র,	চলচ্চিত্র,	
shoodhooi,	সুধো,	শুধুই,	
nathivukto,	নথিভুক্ত,	নথিভুক্ত,	
nirikha,	নিরিক,	নিরিখ,	
bondiike,	বন্দিকে,	বন্দীকে,	
bhabuk,	ভাবুক,	ভাবুক,	
protijogider,	প্রতিজাদদদের,	প্রতিযোগীদের,	
olimpiker,	অলিমিককের,	অলিম্পিকের,	
roomantic,	রোমান্টি,	রোমান্টিক,	
muscat,	মুস্টা,	মাস্কাট,	
noditike,	নদিতিকে,	নদীটিকে,	
teman,	টেমন,	তেমন,	
eesa,	এসা,	আইএএস,	
thar,	থার,	থর,	
drishtir,	দৃষ্টির,	দৃশ্যটির,	
mat,	মাত,	ম্যাট,	
garora,	গররা,	গারোরা,	
templet,	টেম্পেপট,	টেম্পলেট,	
palteche,	পালালে,	পাল্টেছে,	
promosioney,	প্রম্মনে,	প্রোমোশনে,	
pathanatak,	পথাতানক,	পথনাটক,	
nirau,	নিরু,	নির,	
kraima,	ক্রিম,	ক্রাইম,	
parbatya,	পর্্ত্ব,	পার্বত্য,	
madaul,	মাদুল,	মাদল,	
lajiqa,	লাজিকা,	লজিক,	
ingreziteo,	ইং্গিগিতে,	ইংরেজিতেও,	
eshokol,	এসকলল,	এসকল,	
jonogononar,	জনননাার,	জনগণনার,	
bifol,	বিফল,	বিফল,	
romantiqa,	রম্মানিক,	রোমান্টিক,	
puding,	পদিং,	পুডিং,	
sikkhakke,	শিক্ষককে,	শিক্ষককে,	
ting,	টিং,	টিং,	
tecnokret,	টেককক্টে,	টেকনোক্র্যাট,	
neelkuthir,	নিলকুলির,	নীলকুঠির,	
drishyagulo,	দৃষ্গগুলো,	দৃশ্যগুলো,	
chalesi,	চললেলি,	চলেছি,	
shector,	সেক্টর,	সেক্টর,	
byanger,	ব্যাঙগের,	ব্যাঙের,	
dinnar,	ডিন্নার,	ডিনার,	
maddhuri,	মধ্দরি,	মাধুরী,	
chhilonaa,	চিলনা,	ছিলনা,	
suma,	সুম,	সুমো,	
protijogiider,	প্রতিজাদিদের,	প্রতিযোগীদের,	
scoree,	স্ক্রি,	স্কোরে,	
nirupita,	নিরপিত,	নিরূপিত,	
brindaabane,	ব্র্ন্নবাবে,	বৃন্দাবনে,	
greep,	গ্রিপ,	গ্রিপ,	
shikshagata,	শিক্ষগততা,	শিক্ষাগত,	
chhutee,	ছুটি,	ছুটি,	
chasee,	চাসি,	চেস,	
nabotom,	নাবতম,	নবতম,	
deaubande,	দিবান্দে,	দেওবন্দে,	
alaol,	আলললল,	আলাওল,	
cross,	ক্রস,	ক্রুশ,	
armstronz,	আর্ম্্্্্ণ,	আর্মস্ট্রং,	
shoya,	সোযা,	সোয়া,	
shajanor,	সাননার,	সাজানোর,	
digrir,	দিগ্রির,	ডিগ্রির,	
graambaashee,	গ্রামাসাসী,	গ্রামবাসী,	
laaisensh,	লাইন্স,	লাইসেন্স,	
taala,	টালা,	তালা,	
dhos,	ধোস,	ধস,	
pachbar,	পাচার,	পাঁচবার,	
everest,	ইভের্ট,	এভারেস্টে,	
chef,	চেফ,	শেফ,	
lokkhero,	লক্ষের,	লক্ষেরও,	
chorbon,	চর্বন,	চর্বন,	
manonitoder,	মননতিদের,	মনোনীতদের,	
bonnypran,	বন্য্রণ,	বন্যপ্রাণ,	
madhukori,	মাধুকরর,	মাধুকরী,	
atorkitey,	আতরতিতে,	অতর্কিতে,	
zeeland,	জিলন্ড,	জিল্যান্ড,	
bongshi,	বংশি,	বংশী,	
rajpur,	রাজপুর,	রাজপুর,	
shartho,	শর্থ,	স্বার্থ,	
tarun,	তারুন,	তরুন,	
basalt,	বাসলতত,	ব্যাসল্ট,	
sikhra,	শিখ্রা,	শিখরা,	
ancholeo,	অনচচললে,	অঞ্চলেও,	
paree,	পারি,	পাড়ে,	
lesens,	লেনেস্স,	লাইসেন্স,	
eshiyatiqa,	এসেসিকিক,	এশিয়াটিক,	
jansa,	জনস,	জন্স,	
bishnuke,	বিশ্নুকে,	বিষ্ণুকে,	
jonosanjog,	জনসনগগগ,	জনসংযোগ,	
prodeeper,	প্রদিপের,	প্রদীপের,	
faaj,	ফাজ,	ফাজ,	
aieesha,	আইইস,	আইএএস,	
partho,	পার্থ,	পার্থ,	
orbeet,	অর্বিত,	অরবিট,	
ganosakkhorota,	গণস্কাত্র,	গণসাক্ষরতা,	
johns,	জহ্্স,	জন্স,	
ekpashe,	একপাসে,	একপাশে,	
pisach,	পিশাচ,	পিশাচ,	
eparjanta,	এপ্যন্তা,	এপর্যন্ত,	
charchito,	চর্চিত,	চর্চিত,	
kara,	কারা,	কর,	
beshirbhaagi,	বিশ্বারগী,	বেশিরভাগই,	
goreeb,	গরিব,	গরিব,	
shikshakbrindo,	শিক্ষক্্্ণ্ণ,	শিক্ষকবৃন্দ,	
sangbadmadhyamer,	সংব্যম্যমের,	সংবাদমাধ্যমের,	
averej,	আভেরেজ,	এভারেজ,	
ekshapreshhana,	এক্সপর্েন,	এক্সপ্রেশন,	
janosanjog,	জনসনগগগ,	জনসংযোগ,	
superheror,	সুপররের,	সুপারহিরোর,	
teyt,	টেট,	টেট,	
chalai,	চালাই,	চালাবে,	
promothesh,	প্রমেথ,	প্রমথেশ,	
shikkhakbrinda,	শিক্ষক্্ণ্ণ,	শিক্ষকবৃন্দ,	
juddhahoto,	যুদ্ধতত,	যুদ্ধাহত,	
qaro,	কারো,	কারো,	
billaho,	বিললহ,	বিল্লাহ,	
badei,	বাদে,	বাদেই,	
drissogoolote,	দৃষ্রগগলতে,	দৃশ্যগুলোতে,	
parishram,	পরিষ্রমম,	পরিশ্রম,	
mohiboor,	মহিবর,	মহিবুর,	
formet,	ফর্মেট,	ফরম্যাট,	
stoona,	স্টোন,	স্টোন,	
aasif,	আসিফ,	আসিফ,	
irish,	আরিশ,	আইরিস,	
prodan,	প্রদন,	প্রদাণ,	
samajikatar,	সম্মাতিকার,	সামাজিকতার,	
byabaharkarir,	ব্যাহাাকারর,	ব্যবহারকারীর,	
sahojlabhbhotar,	সহ্যাভাতাা,	সহজলভ্যতার,	
atorkite,	আতরকতে,	অতর্কিতে,	
shilver,	শিলবের,	সিলভার,	
shhyutara,	স্যুতার,	শ্যুটার,	
cyphy,	ক্যি,	সাইফাই,	
bodqa,	ব্যাক,	ভদকা,	
bhumir,	ভুমির,	ভূমির,	
utshahomulok,	উৎস্মমূলক,	উৎসাহমূলক,	
toroonra,	তরর্্র,	তরুণরা,	
kokein,	ককেন,	কোকেইন,	
aarcie,	আর্স্সি,	আরসিএ,	
charukala,	চররুকাল,	চারুকলা,	
gitikabita,	গিতিতিবতত,	গীতিকবিতা,	
nirbachoker,	নির্বাকের,	নির্বাচকের,	
bhittimul,	ভিতিত্মল,	ভিত্তিমূল,	
lyaandeeng,	ল্যান্ডিং,	ল্যান্ডিং,	
karpeter,	কারপেটের,	কার্পেটে,	
hipar,	হিপার,	হাইপার,	
sarbopori,	সর্বপপরী,	সর্বোপরী,	
bouddher,	বুদ্ধের,	বৌদ্ধের,	
bizito,	বিজিত,	বিজিত,	
ghatol,	ঘটলল,	ঘটল,	
hizriite,	হিজ্রিতে,	হিজরীতে,	
adhunikkaley,	অধুন্কালে,	আধুনিককালে,	
teamothy,	টেমামি,	টিমোথি,	
sarbhare,	স্রভারে,	সার্ভারে,	
elakai,	এলকাইই,	এলাকাই,	
choudhooreeo,	চৌধ্ররী,	চৌধুরীও,	
mesenzarer,	মেসনেজার,	মেসেঞ্জারের,	
poriikkhateo,	পরিক্ষাতে,	পরীক্ষাতেও,	
bhugol,	ভুগল,	ভূগোল,	
nikeela,	নিকিলাল,	নিকেল,	
sphincter,	স্পেন্টের,	স্ফিংটার,	
jekhan,	জেখান,	যেখান,	
keyuyi,	কেইইই,	কেউই,	
ssahocorzo,	স্হাচ্র্য,	সাহচর্য,	
sangasthaner,	সংস্থানের,	সংস্থানের,	
bamonder,	বান্দের,	বামনদের,	
sooter,	সোতের,	শ্যুটার,	
maszid,	মাস্দিদ,	মসজিদ,	
bissonath,	বিশ্বনথ,	বিশ্বনাথ,	
eidhyaning,	এইযানিং,	ইদানীং,	
baik,	বাইক,	বাইক,	
tafsirer,	তাফিসের,	তাফসীরের,	
advut,	অদ্ভুত,	অদ্ভুত,	
saazano,	সাজনন,	সাজানো,	
shodhon,	শধন,	শোধন,	
saccar,	স্যাক্র,	সকার,	
hoole,	হুলে,	হোল,	
krus,	ক্রস,	ক্রুশ,	
peeri,	পেরি,	পেরি,	
abdoone,	অব্দনে,	আবদুন,	
torun,	তরুন,	তরুন,	
bojhao,	বাহহ,	বোঝাও,	
marqeting,	মার্কানেন,	মার্কেটিং,	
zesh,	জেস,	জেস,	
chitronatyakar,	চিত্তান্তার,	চিত্রনাট্যকার,	
sheo,	শেও,	সেও,	
rilayeensa,	রেলিল্যান,	রিলায়েন্স,	
ase,	আসে,	আসে,	
siqh,	শিখ,	শিখ,	
gosthyti,	গোষ্তি,	গোষ্ঠীটি,	
shikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
shefa,	সেফ,	শেফ,	
michhilti,	মিচিলিতি,	মিছিলটি,	
enashiyenta,	এনসেন্সেন্ট,	এনসিয়েন্ট,	
gronthei,	গ্রথানি,	গ্রন্থেই,	
somonwitobhabey,	সম্নিতভাবে,	সমন্বিতভাবে,	
sahajlabhbhatar,	সহ্যাভাতাার,	সহজলভ্যতার,	
kiirti,	কির্টি,	কীর্তি,	
prosadhoner,	প্রশানের,	প্রসাধনের,	
shipa,	শিপা,	শিপ,	
xpresion,	প্রপেনন,	এক্সপ্রেশন,	
projononkal,	প্রনননলল,	প্রজননকাল,	
nowel,	নভেল,	নভেল,	
conflict,	কনফললকিক,	কনফ্লিক্ট,	
beshirbhageyi,	বিশ্রাগাগী,	বেশিরভাগেই,	
engrezder,	ইন্গ্রেদের,	ইংরেজদের,	
shaajaano,	সাজান,	সাজানো,	
kaaru,	কারু,	কারু,	
udbodhoni,	উদ্বধনন,	উদ্বোধনী,	
ingrezraa,	ইং্গ্রেজার,	ইংরেজরা,	
aasirbaad,	আশিশ্রাবদ,	আশির্বাদ,	
nodnodeer,	নন্দদের,	নদনদীর,	
palashir,	পালাসীর,	পলাশীর,	
janagononar,	জননানার,	জনগণনার,	
nogore,	নগরে,	নগরে,	
byasalt,	ব্যসললত,	ব্যাসল্ট,	
debdebyr,	দেবেব্বর,	দেবদেবীর,	
sahakari,	সহকারী,	সহকারী,	
turisht,	তুরিস্ট,	টুরিস্ট,	
tofat,	টোট,	তফাৎ,	
naazi,	নাজি,	নাত্সি,	
charrjer,	চার্জের,	চার্জের,	
eenasiyeenta,	ইনেসেন্টান,	এনসিয়েন্ট,	
sitting,	সিতিংিং,	সিটিং,	
neermol,	নির্মল,	নির্মল,	
treta,	ট্রেট,	ত্রেতা,	
jathaarthobhaabe,	যথ্তাভাভাবে,	যথার্থভাবে,	
bedey,	বেডে,	বেদে,	
bu,	বু,	বু,	
gambasi,	গ্যামসসী,	গ্রামবাসী,	
eukalyptush,	উলকক্লিপাশ,	ইউক্যালিপ্টাস,	
naran,	নারন,	নরেন,	
jakkher,	যাক্ষের,	যক্ষের,	
ponjeekaar,	পান্যাকার,	পঞ্জিকার,	
scolarship,	স্লাক্রফিপ,	স্কলারশিপ,	
cholchhee,	চলছে,	চলছে,	
calabe,	ক্লাবে,	চালাবে,	
charrjito,	চার্জিত,	চার্জিত,	
antarbhuttirmulok,	অন্ত্রগ্ববূক্ক,	অন্তর্ভুক্তিমূলক,	
sombhobonaow,	সম্ভভাবন,	সম্ভবনাও,	
hamburge,	হাম্্্্ব্গে,	হামবুর্গে,	
chalkee,	চালকি,	চালকে,	
chanoo,	চনন,	চানু,	
baharamapurer,	বাহারপপের,	বহরমপুরের,	
mahakabi,	মহাাবাী,	মহাকবি,	
thishisher,	ঠিসিসের,	থিসিসের,	
dipei,	ডিপিই,	দ্বীপেই,	
dajhya,	দায্য,	দাহ্য,	
sikhar,	শিখার,	শিকার,	
prakalpoguli,	প্রকাপপললললি,	প্রকল্পগুলি,	
gonona,	গোনা,	গননা,	
eastar,	আসস্টার,	ইস্টার,	
ibhara,	ইভারা,	এভার,	
dipti,	ডিপ্টি,	ডেপুটি,	
dakticketer,	দ্কাকিকেটের,	ডাকটিকিটের,	
muhammader,	মহ্মমমের,	মুহম্মদের,	
marry,	মার্রি,	ম্যারি,	
adhyatmikatar,	অধ্যাতিতাতার,	আধ্যাত্মিকতার,	
danob,	দনন,	দানব,	
taimash,	তাইমাস,	টাইমস্,	
deepei,	ডিপিই,	দ্বীপেই,	
anchaltitey,	অন্চালততে,	অঞ্চলটিতে,	
halloin,	হালললন,	হ্যালোইন,	
shphingtar,	স্পিন্তার,	স্ফিংটার,	
pachtar,	পাচাত্র,	পাঁচটার,	
rubi,	রবি,	রুবি,	
juktorastreo,	জুক্তর্ত্রে,	যুক্তরাষ্ট্রেও,	
atto,	আত্ত,	আত্ম,	
prosadhani,	প্রশাননি,	প্রসাধনী,	
akritakarjo,	আক্তরর্্য,	অকৃতকার্য,	
dharavahiktite,	ধারাাাতিতততে,	ধারাবাহিকটিতে,	
hevy,	হেভ,	হেভি,	
godamjat,	গোজমতত,	গুদামজাত,	
caaling,	কালিং,	কুলিং,	
agahir,	অগাহীর,	অগভীর,	
bashoborty,	বাসব্ত্বি,	বশবর্তী,	
senabahinio,	সেনানভীন,	সেনাবাহিনীও,	
harbor,	হারবর,	হারবার,	
byabaharkari,	ব্যাহাাাররী,	ব্যবহারকারী,	
sqarta,	স্ক্র্টা,	স্কার্ট,	
boikalyo,	বৈকাল্য,	বৈকল্য,	
bhabna,	ভাবন,	ভাবনা,	
laisense,	লাইন্সেস,	লাইসেন্স,	
conshervation,	কন্সারেশেশন,	কনসারভেশন,	
udbhabaney,	উদ্ভাবনে,	উদ্ভাবনে,	
dhhaaloor,	ধাললোর,	ঢালুর,	
langhoner,	লাঙনের,	লংঘনের,	
crete,	ক্রেটে,	ক্রীট,	
chargito,	চারগিত,	চার্জিত,	
sarder,	সার্ডের,	সরদার,	
oocchoseeto,	উচ্চাসত,	উচ্ছসিত,	
cena,	কেন,	সিনা,	
korlei,	কর্লে,	করলেই,	
euroo,	এরু,	ইউরো,	
hert,	হের্ট,	হার্ট,	
uparjoner,	উপর্ননের,	উপার্জনের,	
shcholashtic,	স্লাললস্টি,	স্কলাস্টিক,	
temone,	টেমনে,	তেমনই,	
shalook,	সালক,	শালুক,	
sarbhaare,	স্রভাারে,	সার্ভারে,	
pooshtee,	পোষ্টি,	পুষ্টি,	
seekkhagoto,	শিক্ষাগতত,	শিক্ষাগত,	
suparharo,	সুপরর,	সুপারহিরো,	
shamuker,	সমুুকের,	শামুকের,	
cholochchitreo,	চলচচছেত্রে,	চলচ্চিত্রেও,	
aakabar,	আকাবার,	আকাবার,	
fase,	ফাস,	ফাঁসে,	
ancholei,	অনচছললে,	অঞ্চলেই,	
torkareer,	তরকারর,	তরকারীর,	
jyotsna,	জ্যান্ট,	জ্যোৎস্না,	
pratiyogita,	প্রতিযাগিত,	প্রতিযোগীতা,	
ceramicsh,	ক্রামিক,	সিরামিকস,	
bhogirath,	ভগিগতা,	ভগীরথ,	
bharpur,	ভারপুর,	ভরপুর,	
manee,	মানি,	মানে,	
nagariker,	নগ্রীকের,	নাগরিকের,	
shangkalonti,	সংলকাননতি,	সংকলনটি,	
nothivukteer,	নথিপক্তের,	নথিভুক্তির,	
uul,	উউল,	উল,	
aamudey,	আমুদে,	আমুদে,	
marketin,	মার্কেনন,	মার্কেটিং,	
chetana,	চেটন,	চেতনা,	
adbhansed,	অদ্যানসে,	অ্যাডভান্সড,	
di,	ডিই,	দিই,	
log,	লোগ,	লগ,	
itastata,	ইতসসতত,	ইতস্তত,	
meshar,	মেশার,	মেশার,	
sainyasoho,	সান্যসহহ,	সৈন্যসহ,	
motabolambira,	মত্বববমাম্র,	মতাবলম্বীরা,	
muldhara,	মুল্ধার,	মূলধারা,	
lakkheryo,	লক্ষ্যে,	লক্ষেরও,	
maddhobir,	মধ্ভির,	মাধবীর,	
soundarjya,	সৌন্দ্য্য,	সৌর্ন্দয্য,	
chorchita,	চর্চিত,	চর্চিত,	
fiksim,	ফ্কিসিং,	ফিক্সিং,	
teknokryat,	টেকক্্যাত্ট,	টেকনোক্র্যাট,	
faj,	ফাজ,	ফাজ,	
she,	শে,	সে,	
canton,	ক্যানন,	ক্যান্টন,	
hijrite,	হিজ্রিতে,	হিজরীতে,	
gauge,	গাগে,	গেজ,	
moricha,	মরিচা,	মরিচা,	
cholochchitrotike,	চল্চচতিত্তে,	চলচ্চিত্রটিকে,	
cheerota,	চিরতা,	চিরতা,	
hepatitish,	হাপপটিশিশ,	হেপাটাইটিস,	
duuma,	দুমা,	দুমা,	
satarkatar,	সত্তারর,	সতর্কতার,	
seramiks,	স্রামিক্স,	সিরামিকস,	
hochchilo,	হচ্চিল,	হচ্ছিলো,	
ajiboner,	অজিবনের,	আজীবনের,	
ingrezder,	ইং্গ্রদের,	ইংরেজদের,	
recondishon,	রেকননিশনন,	রিকন্ডিশন,	
rajotta,	রাজতত,	রাজত্ব,	
kolkarkhana,	কলককর্ণ,	কলকারখানা,	
tottenhamer,	তত্মনমেের,	টটেনহামের,	
liceensee,	লিইক্সিন,	লাইসেন্স,	
sanbadmadhyame,	সন্যান্মামে,	সংবাদমাধ্যমে,	
engrejder,	ইন্গ্রেজের,	ইংরেজদের,	
rezidens,	রেজিন্ড,	রেসিডেন্স,	
ajeemke,	আজিমকে,	আজিমকে,	
sikkhao,	শিক্ষা,	শিক্ষাও,	
nimitte,	নিমিত্তে,	নিমিত্তে,	
suchorita,	সুচ্রতা,	সুচরিতা,	
koner,	কনের,	কনের,	
turista,	তুরিস্ট,	টুরিস্ট,	
chhutochhuti,	চুচুতি,	ছুটোছুটি,	
rakhtokkharoner,	রক্ষক্রণণের,	রক্তক্ষরণের,	
asantos,	আনসন্ত,	অসন্তোষ,	
ramjaner,	রাম্জানের,	রমযানের,	
sanghitar,	সংঘিতার,	সংহিতার,	
samudrotatey,	সম্প্রতততে,	সমুদ্রতটে,	
dobhara,	দভারা,	ডোভার,	
dhanche,	ধানচে,	ধাঁচে,	
bharson,	ভর্ষন,	ভারশন,	
kiiborder,	কিবাদ্রের,	কীবোর্ডের,	
nilabho,	নিলভভ,	নীলাভ,	
matte,	মাত্যে,	ম্যাট,	
nirapottamulok,	নির্তপপপূকক,	নিরাপত্তামূলক,	
mosjidti,	মস্দিতি,	মসজিদটি,	
shepherd,	সেফের্ড,	শেফার্ড,	
monzhostho,	মন্যস্থ,	মঞ্চস্থ,	
licensin,	লিইক্সিন,	লাইসেন্সিং,	
chaudhurike,	চৌধররিকে,	চৌধুরীকে,	
naubotom,	নাবতত,	নবতম,	
lobbyte,	লববততে,	লবিতে,	
nabom,	নাবম,	নবম,	
shaswata,	সস্বতত,	শাশ্বত,	
nirbaho,	নির্বহহ,	নির্বাহ,	
scholastik,	স্লাল্সকিক,	স্কলাস্টিক,	
dhan,	ধান,	ধ্যান,	
phanda,	ফান্ড,	ফান্ড,	
gavaskar,	গাস্কার,	গাভাস্কার,	
shansthatikey,	সংস্তাতিকে,	সংস্থাটিকে,	
pchok,	প্চক,	পাচক,	
maner,	মানের,	মানে,	
porishrom,	পরিষ্রম,	পরিশ্রম,	
shiqar,	শিকার,	শিকার,	
probhritite,	প্রতিতততে,	প্রভৃতিতে,	
dharabahikbhabe,	ধারাাভাবাবে,	ধারাবাহিকভাবে,	
beeswasi,	বিশ্বাসি,	বিশ্বাসী,	
algorithm,	অল্গরিম,	এলগরিদম,	
aminul,	আমিনুল,	আমিনুল,	
tauki,	তাউকি,	তকি,	
kaamla,	কামলল,	কামলা,	
arthonitike,	অর্থানিকেকে,	অর্থনীতিকে,	
mulaadee,	মুলাদি,	মুলাদি,	
teta,	টেট,	টেটা,	
abheedhaneec,	অভিধনকি,	অভিধানিক,	
ashor,	আশর,	আসর,	
saabyastha,	সব্যস্থা,	সাব্যস্থ,	
gatrey,	গাত্রে,	গাত্রে,	
shannal,	সান্নাল,	সান্যাল,	
note,	নটে,	নোটে,	
goteehin,	গোটিন,	গতিহীন,	
robot,	রবত,	রোবোট,	
kingsh,	কিংশস,	কিংস,	
popeke,	পাপেক,	পোপকে,	
itostata,	ইতসসতত,	ইতস্তত,	
kalam,	কলাম,	কালাম,	
amontrito,	অন্মর্তি,	আমন্ত্রিত,	
hizritey,	হিজ্রিতে,	হিজরীতে,	
uporital,	উপরতিল,	উপরিতল,	
jeevjontu,	জিজনত্ত,	জীবজন্তু,	
sita,	সিত,	সিট,	
teestar,	টেস্টার,	তিস্তার,	
agenda,	অগেন্ড,	এজেন্ডা,	
alsaar,	আলসার,	আলসার,	
bhogni,	ভগনি,	ভগ্নী,	
krantikale,	ক্রন্তাকালে,	ক্রান্তিকালে,	
areek,	আরিক,	আরিক,	
siropar,	সিরপার,	শিরোপার,	
chopol,	চপল,	চপল,	
skara,	স্কার,	স্কোর,	
karta,	কার্ত,	করতা,	
bishasey,	বিশ্বাই,	বিশ্বাসে,	
biswashke,	বিশ্বাসকে,	বিশ্বাসকে,	
taufiq,	তফফিক,	তৌফিক,	
ikbalke,	একবালকে,	ইকবালকে,	
zillul,	জিলুলল,	জিল্লুল,	
beam,	বেম,	বিম,	
chamski,	চাস্কি,	চমস্কি,	
bbiswash,	বিশ্বাস,	বিশ্বাস,	
siddhantagulo,	সিদ্ন্নগালুলো,	সিদ্ধান্তগুলো,	
ramzaner,	রাম্জানের,	রমযানের,	
ralapha,	রাফাফ,	রালফ,	
nirantar,	নির্নতার,	নিরন্তর,	
utsahamulok,	উৎস্মমূলক,	উৎসাহমূলক,	
ancholsomuho,	অন্যচলমহহ,	অঞ্চলসমূহ,	
debate,	দেবতে,	ডিবেট,	
karmer,	কার্মের,	কর্মের,	
sqirt,	স্ক্রির,	স্কার্ট,	
alankaran,	আলকাকনর,	অলঙ্করণ,	
dancan,	ডান্কান,	ডানকান,	
arthanitite,	অর্থানিতেতে,	অর্থনীতিতে,	
teoyana,	টেই়়ান,	তাইওয়ান,	
sabchey,	সব্চে,	সবচে,	
noditir,	নদিতির,	নদীটির,	
koda,	কদদ,	কোডা,	
ganohotyar,	গন্তায্র,	গণহত্যার,	
nutaner,	নুতানের,	নূতনের,	
dinara,	ডিনারা,	ডিনার,	
antarbhukta,	অন্ত্য্যক্ত,	অন্তর্ভুক্ত,	
taigara,	তাইগার,	টাইগার,	
mosjidsaho,	মাস্যিশহ,	মসজিদসহ,	
ispredsit,	ইস্প্র্টিশিট,	স্প্রেডশীট,	
natniike,	নান্তিকে,	নাতনীকে,	
sayeed,	সাইড,	সাইদ,	
samaptir,	সমপপতির,	সমাপ্তির,	
mousumeo,	মৌসমমে,	মৌসুমেও,	
nadnadeer,	নন্দাদের,	নদনদীর,	
amorendro,	অমেন্দ্র,	অমরেন্দ্র,	
teto,	টেত,	তেতো,	
deeliveer,	ডিলিভির,	ডেলিভার,	
neemitte,	নিমিত্তে,	নিমিত্তে,	
kanshater,	কানাটের,	কানসাটের,	
tarbine,	তারবিন,	টারবাইন,	
kodti,	কদ্ি,	কোডটি,	
debholapar,	দেভালপার,	ডেভলপার,	
gorib,	গরিব,	গরিব,	
chess,	চেস,	চেস,	
chho,	ছা,	ছোঁ,	
marqetim,	মার্্কেট,	মার্কেটিং,	
tiuning,	টিইনিং,	টিউনিং,	
pleta,	প্লেট,	প্লেট,	
roopa,	রোপা,	রুপা,	
dorun,	দর্ণ,	দরুণ,	
zones,	জনেস,	জোন্স,	
cn,	ক্যান,	সিএন,	
kaas,	কাস,	কাস,	
samanwitobhabe,	সমননাতভাবাবে,	সমন্বিতভাবে,	
padee,	পদদি,	পাড়ে,	
chirkoot,	চিরকত,	চিরকুট,	
kuarter,	কুর্টের,	কোয়ার্টার,	
uddhritir,	উদ্ধৃতির,	উদ্ধৃতির,	
saholobhyotar,	সহহভাত্যার,	সহজলভ্যতার,	
bipradas,	বিপ্রাড,	বিপ্রদাস,	
swarther,	স্ব্রথের,	স্বার্থের,	
