keke,	কেক,	কেকে,	
bosturyi,	বস্তুরী,	বস্তুরই,	
baharampoorer,	বাহারপুপের,	বহরমপুরের,	
sarbhaarti,	সার্ভারটি,	সার্ভারটি,	
danata,	দানতা,	ডোনাট,	
taunship,	টাউনশিপ,	টাউনশিপ,	
beeseshyer,	বিশেষের,	বিশেষ্যের,	
cheekitsar,	চিকিৎসার,	চিকিত্সার,	
ashiatic,	অসিটাক,	এশিয়াটিক,	
machher,	মেছের,	মাছের,	
babyloney,	বাযালনে,	ব্যাবিলনে,	
barder,	বর্ডার,	বার্ডের,	
nirbahey,	নির্বাহে,	নির্বাহে,	
saqara,	সকের,	সকার,	
rajtontre,	রাজতন্ত্রে,	রাজতন্ত্রে,	
kyashpar,	ক্যাস্পার,	ক্যাসপার,	
anano,	আনানো,	আনানো,	
code,	কোড,	কোড,	
siramikasa,	সিরামিকাস,	সিরামিকস,	
phiksa,	ফিক্স,	ফিক্স,	
arshie,	আর্সি,	আরসিএ,	
porishkaron,	পরিষ্কারণ,	পরিষ্করণ,	
malish,	মালিশ,	মালিশ,	
kemoney,	কেমনে,	কেমনে,	
byatikramdharmi,	ব্যতিক্র্ধম্্্্রী,	ব্যতিক্রমধর্মী,	
jackey,	জাকে,	জকি,	
enjineers,	ইনজিনার্স,	ইঞ্জিনিয়ার্স,	
dokaangoolote,	দোাকগুলোতে,	দোকানগুলোতে,	
ala,	আল,	আলা,	
venise,	ভেনিই,	ভেনিসে,	
bhenasa,	ভেনাস,	ভেনাস,	
dhauta,	ঢাত,	ধৌত,	
gujober,	গুজবের,	গুজবের,	
sunagarik,	সুনাগারিক,	সুনাগরিক,	
zzonite,	যোনিতে,	যোনীতে,	
artharer,	অর্থারের,	আর্থারের,	
sikarer,	শিকারের,	শিকারের,	
pletoo,	প্লেটো,	প্লেটো,	
roopdan,	রূপদান,	রুপদান,	
gabeshonar,	গবেষণার,	গবেষনার,	
abhidhaanick,	অভিধানিক,	অভিধানিক,	
udbodhoni,	উদ্বোধনী,	উদ্বোধনী,	
poscater,	পশ্কাতের,	পশ্চাতের,	
nagorikderkey,	নাগরিকেদকের,	নাগরিকদেরকে,	
shakar,	শাকার,	সকার,	
goori,	গুরি,	গোরি,	
mmesenjar,	মেসেঞজার,	মেসেঞ্জার,	
qulim,	কুলিং,	কুলিং,	
sompadonkaree,	সম্পাদনকারী,	সম্পাদনকারী,	
satarkobhabe,	সতার্কভাবে,	সতর্কভাবে,	
sansthati,	সংস্থটি,	সংস্থাটি,	
sulfete,	সালফেটে,	সালফেট,	
damane,	দমনে,	দমনে,	
dibaag,	দিবাগ,	ডিবাগ,	
shelina,	সেলিন,	সেলিনা,	
parq,	পার্ক,	পার্ক,	
muchir,	মুচির,	মুচির,	
lidara,	লিডার,	লিডার,	
shikkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
raunanganey,	রৌনাঙ্গে,	রণাঙ্গনে,	
inamila,	ইনামিল,	এনামেল,	
ghesei,	ঘেষেই,	ঘেঁষেই,	
chhaani,	ছানি,	ছানি,	
sollallhu,	শল্লাল্লু,	সল্লাল্লাহু,	
samaptir,	সমপত্র,	সমাপ্তির,	
gronthao,	গ্রন্থা,	গ্রন্থও,	
granthoti,	গ্রন্থটি,	গ্রন্থটি,	
desiseyer,	ডেজিসের,	ডিজিজের,	
rob,	রব,	রব,	
palbangser,	পালাংশের,	পালবংশের,	
ponera,	পণেরা,	পনের,	
shten,	স্টেন,	স্টেন,	
narikei,	নারিকেই,	নারীকেই,	
tawnship,	টানসিপ,	টাউনশিপ,	
jwarer,	জ্বরের,	জ্বরের,	
muhurtoti,	মুহর্তটি,	মুহুর্তটি,	
definition,	ডেফিনিশন,	ডেফিনেশন,	
swalpo,	স্বল্প,	স্বল্প,	
drishyagulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
daeel,	ডেল,	ডেইল,	
ghosito,	ঘষিট,	ঘোষিত,	
cholochchitroi,	চলচ্ত্রই,	চলচ্চিত্রই,	
vaskor,	ভা্্কর,	ভাস্কর,	
archimedes,	আর্চিমেডস,	আর্কিমিডিস,	
manush,	মানুষ,	মানুষ,	
mosan,	মশান,	মোশন,	
jeebnagore,	জীবনাগরে,	জীবননগর,	
nikote,	নিকটে,	নিকটে,	
kurdider,	কুর্দিদের,	কুর্দিদের,	
loukikataa,	লৌকিকটা,	লৌকিকতা,	
bedanto,	বেদান্ত,	বেদান্ত,	
romnar,	রোমনার,	রমনার,	
chirakumari,	চিরকুমারী,	চিরকুমারী,	
auxfordey,	অক্সোর্ডে,	অক্সফোর্ডে,	
olpoi,	অল্পই,	অল্পই,	
bisshas,	বিশ্বাস,	বিশ্বাস,	
jathon,	যথন,	যথন,	
dharabahikeo,	ধারাবহিকে,	ধারাবাহিকেও,	
mitroyo,	মিত্রও,	মিত্রও,	
neelabh,	নিলাভ,	নীলাভ,	
byaboharkariyi,	ব্যবহারকারী,	ব্যবহারকারীই,	
mekon,	মেকন,	মেকং,	
konfleekt,	কনফলেক্ট,	কনফ্লিক্ট,	
pragreesa,	প্রগ্রেস,	প্রগ্রেস,	
quari,	কুয়ারি,	কোয়েরি,	
jworer,	জ্বরের,	জ্বরের,	
sarbopori,	সর্বপোরি,	সর্বোপরী,	
superheiroo,	সুপারেইর,	সুপারহিরো,	
ponjikaar,	পঞ্জিকার,	পঞ্জিকার,	
asantosh,	আসান্তস,	অসন্তোষ,	
soundarjyo,	সৌন্দর্য,	সৌর্ন্দয্য,	
aazaadeer,	আজাদীর,	আজাদীর,	
ekshor,	একশর,	একশোর,	
mautke,	মৌকে,	মতকে,	
meshar,	মেশার,	মেশার,	
charjer,	চর্জের,	চার্জার,	
pashaner,	পাশনের,	পাষাণের,	
haridwar,	হরিদ্যার,	হরিদ্বার,	
shashtra,	সাষ্ত্র,	শাস্ত্র,	
fulkopi,	ফুলকোপি,	ফুলকপি,	
nicqel,	নিকেল,	নিকেল,	
neemeetto,	নিমেত্য,	নিমিত্ত,	
calabe,	চালাবে,	চালাবে,	
seater,	সিটের,	সিটের,	
pratistha,	প্রতিষ্ঠা,	প্রতিষ্টা,	
shikkharrthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
byaboharkaree,	ব্যবহাকারারী,	ব্যবহারকারী,	
dhormantor,	ধর্মান্তর,	ধর্মান্তর,	
societytey,	সোকেটিতে,	সোসাইটিতে,	
motion,	মশিন,	মোশন,	
capshule,	ক্যাসপুল,	ক্যাপসুল,	
ghurechen,	ঘুরেছেন,	ঘুরেছেন,	
anchaltitey,	অঞ্চালটিতে,	অঞ্চলটিতে,	
sikarder,	সিকার্দের,	শিকারদের,	
deambakriti,	ডিমব্বাকেটি,	ডিম্বাকৃতি,	
sanbadmadhyamgulote,	সংবম্যাগগুলোতে,	সংবাদমাধ্যমগুলোতে,	
dubaate,	দুবাতে,	ডুবাতে,	
raiter,	রাইটার,	রাইটের,	
proteesthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
hisaber,	হিসাবের,	হিসাবের,	
machhti,	মাছটি,	মাছটি,	
biswashi,	বিশ্বাসী,	বিশ্বাসী,	
conphlikt,	কনফলিক্ট,	কনফ্লিক্ট,	
prabhura,	প্রভূরা,	প্রভুরা,	
gandhiir,	গান্ধীর,	গান্ধীর,	
slok,	স্লক,	শ্লোক,	
window,	উইন্ড,	উইন্ডো,	
residensa,	রেসিডেন্স,	রেসিডেন্স,	
turki,	তুর্কি,	তুর্কি,	
ongkush,	অংকুষ,	অংকুশ,	
mach,	মাচ,	মাছ,	
chaudhurider,	চৌধুরীদের,	চৌধুরীদের,	
nondolaal,	নন্দলাল,	নন্দলাল,	
baikalya,	বাইকল্য,	বৈকল্য,	
oitijjer,	ঐতিজ্যের,	ঐতিহ্যের,	
haze,	হেজ,	হেজ,	
nutoner,	নুটনের,	নূতনের,	
rupa,	রুপা,	রুপা,	
marmaaraa,	মর্মারা,	মারমারা,	
venuser,	ভেনিসের,	ভেনাসের,	
waal,	ওয়াল,	উল,	
sthaponakay,	স্থাপনাকে,	স্থাপনাকে,	
canton,	ক্যানটন,	ক্যান্টন,	
beeswas,	বিশ্বাস,	বিশ্বাস,	
kottar,	কত্তার,	কট্টর,	
gezetted,	গেজেটেেড,	গেজেটেড,	
phareqsa,	ফরেক্স,	ফরেক্স,	
gotirodh,	গতিরোধ,	গতিরোধ,	
parkin,	পার্কিন,	পার্কিং,	
apohoron,	অপহরণ,	অপহরন,	
kalniir,	কল্নীর,	কালনীর,	
banijyikvittey,	বানিজিক্যতে,	বাণিজ্যিকভিত্তিতে,	
baysharkarikarone,	বেসরকারিকরণে,	বেসরকারিকরণ,	
ovidhaner,	অভিধানের,	অভিধানের,	
kanasarabhesana,	কনসারভেশন,	কনসারভেশন,	
jonosamaj,	জনসমাজ,	জনসমাজ,	
mohammadi,	মোহাম্মদী,	মুহাম্মদী,	
chinto,	চিন্ত,	চিনতো,	
prottokhovabe,	প্রত্য্যকভাবে,	প্রত্যক্ষভাবে,	
philippiner,	ফিলিপিনের,	ফিলিপাইনের,	
parkasa,	পা্কাস,	পার্কস,	
shucre,	সাক্রে,	সাকার,	
nesans,	নেশনস,	নেশনস,	
raeets,	রেটস,	রাইটস,	
manbey,	মানবে,	মানবে,	
indr,	ইন্ডর,	ইন্দ্র,	
alsaar,	আলসার,	আলসার,	
maradeha,	মারদেহ,	মরদেহ,	
bisshasyi,	বিশ্বাসী,	বিশ্বাসই,	
railliner,	রেললেনের,	রেললাইনের,	
moshjidtir,	মসিদদটির,	মসজিদটির,	
probeshon,	প্রবেশন,	প্রবেশন,	
churger,	চার্গের,	চার্জের,	
phiksim,	ফিক্সিং,	ফিক্সিং,	
ispredsheet,	ইস্পেরেশেট,	স্প্রেডশীট,	
bhenkates,	ভেইকেট,	ভেঙ্কটেশ,	
mahey,	মাহে,	মাহে,	
ruteener,	রুটিনের,	রুটিনের,	
daebug,	দেবুগ,	ডিবাগ,	
rajtontrey,	রাজতন্ত্রে,	রাজতন্ত্রে,	
dhabi,	ধবী,	ঢাবি,	
vittiteow,	ভিত্তিবে,	ভিত্তিতেও,	
chamsky,	চেমকি,	চমস্কি,	
brittakare,	বৃত্যাকারে,	বৃত্তাকারে,	
bhatar,	ভাটার,	ভাতার,	
shapad,	সাপাদ,	শ্বাপদ,	
sanghar,	সংঘর,	সংহার,	
maddhobir,	মাধবীর,	মাধবীর,	
omorendro,	অমরেন্দর,	অমরেন্দ্র,	
kooyartara,	কোয়ার্টার,	কোয়ার্টার,	
dei,	দেই,	দিই,	
cheentaikaree,	ছিনতাইকারী,	ছিনতাইকারী,	
cheef,	চীফ,	শেফ,	
naarsari,	নার্সারী,	নার্সারি,	
nogorey,	নগরে,	নগরে,	
jhonkar,	ঝঙকার,	ঝঙ্কার,	
soranor,	সরাণোর,	সরানোর,	
stonaheenja,	স্টনাহাঞ্জ,	স্টোনহেঞ্জ,	
bites,	বিটেশ,	বাইটস,	
geejeeteeda,	গেজেটেড,	গেজেটেড,	
mahajote,	মাহাজোতে,	মহাজোট,	
aoki,	অঁকি,	এওকি,	
prokare,	প্রকারে,	প্রকারে,	
orthoneeti,	অর্থনীতি,	অর্থনীতির,	
deenesh,	ডেনেশ,	দীনেশ,	
mukhbaundho,	মুখবন্ধ,	মুখবন্ধ,	
asavyo,	অস্ভয,	অসভ্য,	
moshion,	মশিন,	মোশন,	
cheph,	চেফ,	শেফ,	
anodhikaar,	অনধিকার,	অনধিকার,	
dhyanostho,	ধ্যানস্থ,	ধ্যানস্থ,	
choddo,	চদ্দ,	চোদ্দো,	
anchalsaha,	অঞ্চালসহ,	অঞ্চলসহ,	
parswer,	পার্স্যের,	পার্শ্বে,	
prokar,	প্রকার,	প্রকার,	
bodna,	বদনা,	বদনা,	
bishwashoi,	বিশ্বাসই,	বিশ্বাসই,	
kemane,	কেমনে,	কেমনে,	
balroom,	বালুম,	বলরুম,	
aparagata,	অপরাগত,	অপারগতা,	
isahak,	ইসহাক,	ইসাহাক,	
tenise,	টেনিস,	টেনিসে,	
ghotleyo,	ঘটলেও,	ঘটলেও,	
amorendro,	আমরেন্দর,	অমরেন্দ্র,	
directorete,	ডিরেক্টরেটে,	ডিরেক্টরেট,	
shomoshto,	সমস্ট,	সমস্ত,	
ingreziteo,	ইংরেজিতে,	ইংরেজিতেও,	
siddhantoi,	সিদ্ধান্তেই,	সিদ্ধান্তই,	
sumee,	সুমি,	সুমি,	
daja,	দাজা,	ডোজো,	
gajiipur,	গাজীপুর,	গাজীপুর,	
haj,	হায,	হয,	
aloteo,	আলোতে,	আলোতেও,	
laaiseens,	লাইসেন্স,	লাইসেন্স,	
lambate,	লাম্বতে,	লম্বাটে,	
kindama,	কিন্ডম,	কিংডম,	
vageri,	ভাগেরী,	ভাগেরই,	
elakate,	এলাকাতে,	এলাকাতে,	
ritesh,	রাইটস,	রিতেশ,	
langhaner,	লঙ্ঘনের,	লংঘনের,	
taki,	টাকি,	তকি,	
kraim,	ক্রেম,	ক্রাইম,	
phutonta,	ফুটন্ত,	ফুটন্ত,	
elakaati,	এলাকাটি,	এলাকাটি,	
saahocorrze,	সহারক্যে,	সাহচর্যে,	
ashociatesh,	অসোস্যেটস,	এসোসিয়েটস,	
superheroo,	সুপেরেরও,	সুপারহিরো,	
samanwitavabe,	সমানাতভাবে,	সমন্বিতভাবে,	
phala,	ফল,	পোলো,	
alonkaran,	অলংকরণ,	অলঙ্করণ,	
qlauda,	ক্লাড,	ক্লাউড,	
teamothy,	টেমোথি,	টিমোথি,	
kemonay,	কেমনে,	কেমনে,	
projanankal,	প্রজননকাল,	প্রজননকাল,	
akshor,	অক্ষর,	একশোর,	
nojoder,	নজদের,	নজদের,	
gonoporeebohon,	গণপরিহন,	গণপরিবহন,	
gasthigulo,	গাষ্ঠীগুলো,	গোষ্ঠীগুলো,	
aairees,	আইরেশ,	আইরিস,	
sumitrar,	সুমিত্রার,	সুমিত্রার,	
heights,	হেইটস,	হাইটস,	
joqy,	জোকি,	জকি,	
laishensh,	লেইসেন্স,	লাইসেন্স,	
parshwey,	পার্শে,	পার্শ্বে,	
chhootee,	ছুটে,	ছুটি,	
setio,	সেটিও,	সেটিও,	
mukhmondole,	মুখমন্ডলে,	মুখমণ্ডলে,	
cholochchitreei,	চলচিত্রী,	চলচ্চিত্রেই,	
lesensa,	লেসেন্স,	লাইসেন্স,	
beeswasoo,	বিশ্বাসও,	বিশ্বাসও,	
aaeerese,	আইরেশে,	আইরেসে,	
jameske,	জমেসকে,	জেমসকে,	
ongshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
prokolpogulor,	প্রক্লগুলোর,	প্রকল্পগুলোর,	
licensin,	লিয়েনশন,	লাইসেন্সিং,	
kodguli,	কোগুলি,	কোডগুলি,	
somrat,	সম্রত,	সম্রাট,	
segulor,	সেগুলোর,	সেগুলোর,	
sharoker,	শরকের,	স্মারকের,	
probesher,	প্রবেশের,	প্রবেশের,	
hitokor,	হিতকর,	হিতকর,	
onupater,	অনুপতের,	অনুপাতের,	
naraphoqa,	নরাফক,	নরফোক,	
anchalsaho,	অঞ্চালসহ,	অঞ্চলসহ,	
ohong,	ওহং,	অহং,	
injiniyarim,	ইনজিনিনারিং,	ইঞ্জিনিয়ারিং,	
myathious,	ম্যাথিস,	ম্যাথিউস,	
janoika,	জনৈকা,	জনৈকা,	
swarther,	স্বর্থের,	স্বার্থের,	
enamela,	এনামেল,	এনামেল,	
infarmatian,	ইন্ফারমেশন,	ইনফরমেশন,	
samaveshti,	সমমেষ্টি,	সমাবেশটি,	
tourist,	টারিস্ট,	টুরিস্ট,	
blagarara,	ব্লাগার,	ব্লগাররা,	
hurricane,	হারিকেন,	হ্যারিকেন,	
capsul,	কাযপসুল,	ক্যাপসুল,	
gejeteda,	গেজেটেড,	গেজেটেড,	
footbalarra,	ফুটবলারর,	ফুটবলাররা,	
beekargrasta,	বিকারগ্টা,	বিকারগ্রস্ত,	
prokolpou,	প্রকলপপ,	প্রকল্পও,	
eeraner,	ইরানের,	ইরানের,	
puding,	পুদিং,	পুডিং,	
cholochchitroke,	চলচ্তির্কে,	চলচ্চিত্রকে,	
estoniya,	এস্টোনিয়া,	এস্তোনিয়া,	
janosonjog,	জনসন্যগ,	জনসংযোগ,	
tooni,	তুনি,	টুনি,	
kanisttha,	কনিষ্ঠ,	কনিষ্ঠ,	
wool,	ভুল,	উল,	
venom,	ভেনম,	ভেনম,	
grambasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
shorifer,	শরীফের,	শরিফের,	
rooshod,	রুশদ,	রুশদ,	
eesa,	এসা,	আইএএস,	
shoow,	শুভ,	শো,	
premo,	প্রেম,	প্রিমো,	
sheekare,	শিকারে,	শিকারে,	
shikhechi,	শিখেছি,	শিখেছি,	
lambatey,	লাম্বতে,	লম্বাটে,	
khelafotey,	খেলাফতে,	খেলাফতে,	
sohojlovyotar,	সহজলভ্যতার,	সহজলভ্যতার,	
gafilati,	গফিলাটি,	গাফিলতি,	
yaq,	য়াক,	ইয়াক,	
durgandho,	দুর্গন্ধ,	দুর্গন্ধ,	
masti,	মস্টি,	মাস্তি,	
karpet,	কার্পেট,	কার্পেট,	
mandander,	মন্দনদের,	মানদণ্ডের,	
bocchoner,	বচ্ছনের,	বচ্চনের,	
subader,	সুবাদের,	সুবাদে,	
orgho,	অর্ঘ,	অর্ঘ্য,	
peengnaa,	পিঙ্গা,	পিংনা,	
neermolotaa,	নির্মলতা,	নির্মলতা,	
graambaaseeo,	গ্রামবাসী,	গ্রামবাসীও,	
bonduk,	বন্দুক,	বন্দুক,	
koreem,	করিম,	করিম,	
somosto,	সমস্ত,	সমস্ত,	
machhe,	মেছে,	মাছে,	
shift,	সিফ্ট,	শিফট,	
tottorat,	তত্তরত,	তওরাত,	
grooth,	গ্রুথ,	গ্রোথ,	
ustaad,	আষ্টাদ,	উস্তাদ,	
keengdom,	কিংগদ,	কিংডম,	
nopdnodir,	ননপদদীর,	নদনদীর,	
kantojir,	কা্টনজীর,	কান্তজির,	
augustine,	অগ্স্টিন,	অগাস্টিন,	
abheedhaaner,	অভিধানের,	অভিধানের,	
apadan,	আপদান,	অপাদান,	
garora,	গাররা,	গারোরা,	
graambasheeo,	গ্রামবাশী,	গ্রামবাসীও,	
jhalokatthi,	ঝালকাঠি,	ঝালকাঠী,	
ekghorey,	একঘরে,	একঘরে,	
aqram,	আক্রম,	আকরাম,	
thraugh,	থ্রাথ,	থ্রু,	
oxforde,	অক্সফোর্ডে,	অক্সফোর্ডে,	
dhyaan,	ধ্যান,	ধ্যান,	
rajballabh,	রাজবল্লাভ,	রাজবল্লভ,	
nirgoon,	নির্গুন,	নির্গুণ,	
licensedharii,	লিকেনসাধারী,	লাইসেন্সধারী,	
maadhookori,	মাধকরি,	মাধুকরী,	
chhatrorai,	ছাত্ররাই,	ছাত্ররাই,	
bharma,	ভার্ম,	ভার্মা,	
vabuk,	ভাবুক,	ভাবুক,	
manshe,	মাংসে,	মানুষে,	
alympic,	অলিম্পিক,	অলিম্পিক,	
bandhuke,	বন্ধুকে,	বন্ধুকে,	
zhalkatthi,	ঝালকাঠি,	ঝালকাঠী,	
kata,	কাটা,	কোটা,	
damone,	দমনে,	দমনে,	
raktaksharaney,	রক্তকারণে,	রক্তক্ষরণে,	
pratiyogitamulak,	প্রতিযোগাতিমূলক,	প্রতিযোগীতামূলক,	
kaaferder,	কাফারদের,	কাফেরদের,	
modeeling,	মডিলিং,	মডেলিং,	
nikat,	নিকট,	নিকট,	
huqa,	হুক,	হুক,	
choudhureer,	চৌধুরির,	চৌধুরীর,	
maila,	মেল,	মাইল,	
byepass,	ব্যাপস,	বাইপাস,	
aarcia,	আর্চিয়া,	আরসিএ,	
jaygata,	জাগত,	জায়গাটা,	
tochnoch,	তচনচ,	তছনছ,	
manhputa,	মানপুত,	মনঃপুত,	
jibonnogor,	জীবননগগর,	জীবননগর,	
homske,	হোমসকে,	হোমসকে,	
jeansh,	জিন্স,	জিন্স,	
mehnoti,	মেহনতী,	মেহনতি,	
brindabane,	বির্নাবনে,	বৃন্দাবনে,	
inastyanta,	ইনস্ট্যান্ট,	ইনস্ট্যান্ট,	
ranadip,	রানাদীপ,	রণদীপ,	
harbore,	হারবোরে,	হারবারে,	
uporoshtho,	উপরোষ্ঠ,	উপরস্থ,	
songkoloner,	সংকলনের,	সংকলনের,	
bikargrasta,	বিকারগ্ষ্ট,	বিকারগ্রস্ত,	
welcome,	ভয়েলকম,	ওয়েলকাম,	
chaudhurir,	চৌধুরির,	চৌধুরীর,	
dipon,	ডিপন,	দীপন,	
ghumachchilo,	ঘুমাচ্ছল,	ঘুমাচ্ছিল,	
azibonoer,	আজিবনের,	আজীবনের,	
upobaashee,	উপবাসী,	উপবাসী,	
shtone,	স্টন,	স্টোন,	
conistho,	কনিষ্ঠ,	কনিষ্ঠ,	
karmokarke,	কর্মকারকে,	কর্মকারকে,	
lajikar,	লাজিকার,	লজিকের,	
oojbekistaner,	অজেবেকিশ্তানের,	উজবেকিস্তানের,	
chalachchitrogulor,	চলচ্চ্তরগুলোর,	চলচ্চিত্রগুলোর,	
sanaktokaroner,	সনাক্তকরণের,	সনাক্তকরণের,	
dola,	ডলা,	দলা,	
drissogulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
bolbo,	বলবো,	বলবো,	
somonwitobhabey,	সমননিতভাবে,	সমন্বিতভাবে,	
bharadwaja,	ভারদ্যজা,	ভরদ্বাজ,	
plainti,	প্লেন্টি,	প্লেনটি,	
matrikar,	মাত্রিকার,	মাতৃকার,	
koro,	কররো,	কর,	
playtey,	প্লেটে,	প্লেটে,	
daankaan,	ডানকান,	ডানকান,	
graambaasir,	গ্রামবাসীর,	গ্রামবাসীর,	
masjidsaho,	মাসজিসস,	মসজিদসহ,	
jesthaa,	জেষ্ঠা,	জ্যেষ্ঠা,	
shorif,	শরীফ,	শরিফ,	
suraaropeeto,	সুরারপিত,	সুরারোপিত,	
favourite,	ফাভরিউট,	ফেভারিট,	
bem,	বেম,	বিম,	
sangasthatir,	সংস্থাটির,	সংস্থাটির,	
eshtonia,	এস্টোনিয়া,	এস্তোনিয়া,	
pyatarna,	প্যাটর্ন,	প্যাটার্ন,	
sqolastic,	স্কলাস্টিক,	স্কলাস্টিক,	
dupleks,	ডিপলেক্স,	ডুপ্লে,	
mangoleek,	মাঙ্গলিক,	মাঙ্গলিক,	
vangey,	ভঙ্গে,	ভাঙ্গে,	
phalah,	ফালা,	ফালাহ,	
ooindo,	উইন্ড,	উইন্ডো,	
niropekshtar,	নিরেকেষ্টার,	নিরপেক্ষতার,	
karuna,	করুনা,	করুণা,	
deejijer,	ডিজিজের,	ডিজিজের,	
dozo,	দজ,	ডোজো,	
zeans,	জিন্স,	জিন্স,	
golakrity,	গোলকারিতি,	গোলাকৃতি,	
nothibhuktir,	নথিভূক্তির,	নথিভুক্তির,	
tochhnochh,	তচ্নছ,	তছনছ,	
dorjee,	দরজি,	দরজি,	
kool,	কোল,	কুল,	
baipasa,	বাইপাশ,	বাইপাস,	
abhidhaaneeck,	অভিধানিক,	অভিধানিক,	
shekarone,	সেকারণ,	সেকারণে,	
prothake,	প্রথাকে,	প্রথাকে,	
amanisha,	অমনিস,	অমানিশা,	
indrani,	ইন্দ্রানী,	ইন্দ্রাণী,	
raia,	রয়,	রায়,	
drissoteer,	দৃশ্যটির,	দৃশ্যটির,	
podarthobid,	পদার্থবীদ,	পদার্থবিদ,	
uposthit,	উপস্থিত,	উপস্থিত,	
oitijje,	ঐতিজ্যে,	ঐতিহ্যে,	
engreziteo,	ইংরেজিতে,	ইংরেজিতেও,	
bheenisa,	ভেনিস,	ভেনিস,	
buildar,	বিল্ডার,	বিল্ডার,	
foksher,	ফক্ষের,	ফক্সের,	
ohang,	ওহাং,	অহং,	
orbiit,	অর্বিট,	অরবিট,	
balabhadra,	বলভাদর,	বলভদ্র,	
malaika,	মালাকা,	মালাইকা,	
societykey,	সোচেটিকে,	সোসাইটিকে,	
bijit,	বিজিত,	বিজিত,	
resorte,	রিসর্টে,	রিসোর্টে,	
foridi,	ফরিদি,	ফরিদী,	
talgaachh,	তালগাছ,	তালগাছ,	
pudim,	পুদিম,	পুডিং,	
galpokar,	গল্পকার,	গল্পকার,	
qoyeri,	কোয়েরি,	কোয়েরি,	
dharavahikbhabe,	ধারাভিকভাবে,	ধারাবাহিকভাবে,	
orbeet,	অরবিত,	অরবিট,	
ghesha,	ঘেষ,	ঘেঁষা,	
talaal,	তালাল,	তালাল,	
jeebonjaapon,	জীবনাপন,	জীবনযাপন,	
durgotsabe,	দুর্গতাসে,	দুর্গোৎসবে,	
orbit,	অর্বিত,	অরবিট,	
shangkalonti,	সংকলান্তি,	সংকলনটি,	
probhritike,	প্রভৃতিকে,	প্রভৃতিকে,	
sloker,	স্লককের,	শ্লোকের,	
osshoshtikor,	অস্বস্তিকর,	অস্বস্তিকর,	
janate,	জনতে,	জানাতে,	
birder,	বীর্দের,	বার্ডের,	
aalaa,	আলা,	আলা,	
gandhiyo,	গান্ধিয,	গান্ধীও,	
aanaan,	আনান,	আনান,	
patochitra,	পতচিত্র,	পটচিত্র,	
gostigulo,	গোষ্টিগুলো,	গোষ্ঠীগুলো,	
janamukhi,	জনমাখুখী,	জনমুখী,	
cheerota,	চেরতা,	চিরতা,	
superhera,	সুপারেরা,	সুপারহিরো,	
vabanipur,	ভবনীপুর,	ভবানীপুর,	
utsahi,	উৎসাহী,	উৎসাহী,	
torangunj,	তরঞাঞ্জ,	তোরাবগঞ্জ,	
moshjidti,	মসিদটি,	মসজিদটি,	
chetanagoto,	চেতানগত,	চেতনাগত,	
akhandata,	আখন্দতা,	অখণ্ডতা,	
rubidiyaam,	রাইডিয়াম,	রুবিডিয়াম,	
tanu,	তানু,	তনু,	
karkat,	কর্কট,	কর্কট,	
plain,	প্লেন,	প্লেন,	
poonch,	পুঁচ,	পুঞ্চ,	
assaciates,	অ্যাসাসিসেস,	এসোসিয়েটস,	
madhookori,	মাধকরি,	মাধুকরী,	
porisromii,	পরিষ্রমী,	পরিশ্রমী,	
bajhyo,	বাঝ্য,	বাহ্য,	
janake,	জনকে,	জানাতে,	
bishshaash,	বিশ্বাস,	বিশ্বাস,	
lotheeran,	লথিরণ,	লুথেরান,	
suraarop,	সুরারূপ,	সুরারোপ,	
salmaaner,	সলমানের,	সালমানের,	
holding,	হলডিং,	হোল্ডিং,	
abhishangsan,	অভিষংসন,	অভিশংসন,	
ragkey,	রাগকে,	রাগকে,	
shcholarshhip,	স্কলারশিপ,	স্কলারশিপ,	
kaande,	কাঁদে,	কাণ্ডে,	
ovigomon,	অভিগমন,	অভিগমন,	
caaling,	কলযাং,	কুলিং,	
karo,	কারো,	করো,	
kansat,	কাঁসট,	কানসাট,	
phirth,	ফীর্থ,	ফার্থ,	
soceitytey,	সসেটিতে,	সোসাইটিতে,	
fase,	ফেস,	ফাঁসে,	
aviyojan,	অভিযোন,	অভিযোজন,	
siropadharii,	শিরপধারী,	শিরোপাধারী,	
diana,	ডিয়ন,	ডায়না,	
shoccar,	শচ্কার,	সকার,	
idaning,	ইদনিং,	ইদানীং,	
kins,	কিন্স,	কিংস,	
vasturyi,	বা্্তুরী,	বস্তুরই,	
onektai,	অনেকটাই,	অনেকটাই,	
timothi,	তিমথি,	টিমোথি,	
holdin,	হলদিন,	হোল্ডিং,	
mohiboor,	মহিবুর,	মহিবুর,	
stark,	স্টার্ক,	স্টার্ক,	
pretii,	প্রেটি,	প্রিটি,	
overview,	অভার্ভিয়,	ওভারভিউ,	
dighol,	দ্বিল,	দীঘল,	
thyachara,	থ্যাচার,	থ্যাচার,	
shatan,	শাতান,	শয়তান,	
food,	ফুড,	ফুড,	
