sofir,	শফীর,	সোফির,	
bhageroi,	ভাগেরই,	ভাগেরই,	
vishhnu,	বিষ্ণু,	বিষ্ণু,	
neelfamarir,	নেলফামারীর,	নীলফামারীর,	
kinsa,	কিংসা,	কিংস,	
eoki,	ইকই,	এওকি,	
armshtronj,	আর্মস্ট্রিজ,	আর্মস্ট্রং,	
jojyata,	যোজ্যতা,	যোজ্যতা,	
shajano,	সাজানো,	সাজানো,	
jubokti,	যুবকতি,	যুবকটি,	
purohitra,	পুরুহিত্র,	পুরোহিতরা,	
damane,	দামান,	দমনে,	
rajan,	রজন,	রাজন,	
garur,	গরুর,	গরুর,	
eksapreshana,	এক্সপ্রেসেন,	এক্সপ্রেশন,	
naniir,	নানীর,	নানীর,	
kyantana,	ক্যান্টন,	ক্যান্টন,	
feemalee,	ফেমালি,	ফিমেল,	
baasake,	বাসাকে,	বাসাকে,	
agomoner,	অগোননের,	আগমনের,	
format,	ফরমেট,	ফরম্যাট,	
panthar,	প্যান্থার,	পন্থার,	
longghon,	লঙ্ঘন,	লংঘন,	
thelaa,	থেলা,	ঠেলা,	
arena,	অরেনা,	এরিনা,	
asantos,	অশানতত,	অসন্তোষ,	
anchalgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
vishnuke,	বিষ্ণুকে,	বিষ্ণুকে,	
premo,	প্রেম,	প্রিমো,	
lagche,	লাগছে,	লাগছে,	
dito,	দিত,	দিতো,	
granthei,	গ্রন্থেই,	গ্রন্থেই,	
eshiyetika,	এসিয়টিক,	এশিয়াটিক,	
maudelgulo,	মণডেলগুলো,	মডেলগুলো,	
elakaao,	এলাকাও,	এলাকাও,	
hamburger,	হামবুরগের,	হামবুর্গের,	
muradkey,	মুরাদকে,	মুরাদকে,	
jacqsan,	জক্ষণ,	জ্যাকসন,	
dokaan,	ডোকান,	দোকান,	
cinematographer,	সিনেমার্টাফের,	সিনেমাটোগ্রাফার,	
chirota,	চিরতা,	চিরতা,	
ponjeekaar,	পঞ্জিকার,	পঞ্জিকার,	
kamiz,	কামিজ,	কামিজ,	
railliner,	রেলিনের,	রেললাইনের,	
deebug,	দিবুগ,	ডিবাগ,	
swosti,	স্বসি,	স্বস্তি,	
heeja,	হেজা,	হেজ,	
gajiipur,	গজিপুর,	গাজীপুর,	
eeksapreeshana,	এক্সপ্রেসেন,	এক্সপ্রেশন,	
akmot,	একমত,	একমত,	
pravuder,	প্রভূদের,	প্রভুদের,	
qonfliqt,	কনফালেক্ট,	কনফ্লিক্ট,	
falashrutite,	ফলস্রুতিতে,	ফলশ্রুতিতে,	
paade,	পদে,	পাড়ে,	
parishkaran,	পরিষ্কারণ,	পরিষ্করণ,	
gajee,	গাজী,	গেজ,	
abahon,	আবাহন,	আবাহন,	
iukyaliptasha,	ইউক্যিলপাস্ট,	ইউক্যালিপ্টাস,	
byabaharkarike,	ব্যবহারকারিকে,	ব্যবহারকারীকে,	
nischitabhave,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
slok,	স্লক,	শ্লোক,	
as,	আস,	অস,	
durgondher,	দুর্গন্ধের,	দুর্গন্ধের,	
tyunar,	টিউনার,	টিউনার,	
concert,	কনসার্ট,	কানসাট,	
saarbhaare,	সার্ভারে,	সার্ভারে,	
aakkash,	আক্াশ,	আককাস,	
dhani,	ধ্ননি,	ধানি,	
qyapasula,	ক্যাপসুলা,	ক্যাপসুল,	
dokaangulote,	দোকানগুলোতে,	দোকানগুলোতে,	
cholochchitraeei,	চলচিত্রাইাই,	চলচ্চিত্রেই,	
rk,	আরএস,	আরকে,	
onucheeder,	অনুচীদের,	অনুচ্ছেদের,	
mumtaz,	মমতাজ,	মুমতাজ,	
ashanka,	আসঙ্কা,	আশঙ্কা,	
conservetion,	কনসারভেশন,	কনসারভেশন,	
abhidhaanick,	আভিধানিক,	অভিধানিক,	
muktilabh,	মুক্তিলাভ,	মুক্তিলাভ,	
skalastik,	স্কালশস্টিক,	স্কলাস্টিক,	
lokhindorer,	লখীন্দরের,	লখিন্দরের,	
akritakarja,	আক্রিকারাা,	অকৃতকার্য,	
shikkhakder,	শিক্ষাকেদের,	শিক্ষকদের,	
miraqela,	মিরাকেল,	মিরাকেল,	
chhatogolper,	ছোটোগল্পের,	ছোটগল্পের,	
cholochchitro,	চলচিত্র,	চলচ্চিত্র,	
nathivookteer,	নথিওভ্কতির,	নথিভুক্তির,	
agibon,	অগিবন,	আজীবন,	
chhanee,	ছানন,	ছানি,	
asaciates,	অ্যাসিসিটেজ,	এসোসিয়েটস,	
shilbar,	শিলবার,	সিলভার,	
patisapta,	পতিসপ্ত,	পাটিসাপটা,	
shaalehaa,	সালেহা,	সালেহা,	
korkatkranti,	কর্ককত্রান্তি,	কর্কটক্রান্তি,	
talaa,	তললা,	তালা,	
teamothi,	তিমোথি,	টিমোথি,	
windo,	উইন্ডো,	উইন্ডো,	
steitt,	স্টেট,	স্টেইট,	
marmaara,	মারমারা,	মারমারা,	
santose,	সন্তোষে,	সন্তোষে,	
dweepgulo,	দ্বীগগুলো,	দ্বীপগুলো,	
zuktorastrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
saralya,	সরল্য,	সারল্য,	
ghursen,	ঘুরেছেন,	ঘুরেছেন,	
bishwashoi,	বিশ্বাসই,	বিশ্বাসই,	
chalochchitrotike,	চলচিচ্রিতিকে,	চলচ্চিত্রটিকে,	
rah,	রহ,	রঃ,	
baasate,	বাসাতে,	বাসাতে,	
kansater,	কংসাটের,	কানসাটের,	
jonsa,	জনসস,	জোন্স,	
dazjo,	দাজ্য,	দাহ্য,	
uporitale,	উপরিতালে,	উপরিতলে,	
lisens,	লিসেন্স,	লাইসেন্স,	
saamaanya,	সামন্য,	সামান্য,	
hurricanee,	হুরিকেন,	হ্যারিকেন,	
konruup,	কোরুপ,	কোনরূপ,	
debdebie,	দেবদীবী,	দেবদেবী,	
daeel,	ডেল,	ডেইল,	
phormat,	ফরমেট,	ফরম্যাট,	
mousumei,	মৌসমেই,	মৌসুমেই,	
kachakachi,	কাচাকাছি,	কাছাকাছি,	
bade,	বাদে,	বাদে,	
nodnadeer,	নদ্যনাদীর,	নদনদীর,	
engrejiteo,	ইংরেজিতেও,	ইংরেজিতেও,	
hebhee,	হেভে,	হেভি,	
bahati,	বাহাটি,	বাহাতি,	
aazeez,	আজিজ,	আজিজ,	
ganana,	গানানা,	গননা,	
nazi,	নাজি,	নাত্সি,	
myakbeth,	ম্যাকবেথ,	ম্যাকবেথ,	
elakatikey,	এলাকাতিকে,	এলাকাটিকে,	
advut,	অডভাত,	অদ্ভুত,	
harris,	হরিস,	হ্যারিস,	
seatey,	সিটে,	সিটে,	
tuso,	তুসো,	তুসো,	
janasangyog,	জনসংগ্যাগ,	জনসংযোগ,	
bostubad,	বস্তুবাদ,	বস্তুবাদ,	
janosamaj,	জনসমাজ,	জনসমাজ,	
hillse,	হাইলস,	হিলসে,	
shithilotar,	শিথিলাতার,	শিথিলতার,	
shooter,	শুটার,	শ্যুটার,	
ishtone,	ইস্তনে,	স্টোন,	
bethik,	বেথিক,	বেঠিক,	
swapod,	স্বাপদ,	শ্বাপদ,	
ashammatite,	আসামাতিতে,	অসম্মতি,	
parishrom,	পরিস্রম,	পরিশ্রম,	
kraantikaale,	ক্রান্তিকালে,	ক্রান্তিকালে,	
mohisho,	মহীস,	মহিষ,	
irish,	আইরিশ,	আইরিস,	
karor,	কারর,	কারোর,	
siramikasa,	সিরিমাকাসা,	সিরামিকস,	
dayraa,	দৈরা,	ডেরা,	
sahopathike,	সহপাঠীকে,	সহপাঠীকে,	
bosontokey,	বসন্তকে,	বসন্তকে,	
jhonkar,	ঝংকার,	ঝঙ্কার,	
toruner,	তরুণের,	তরুণের,	
vishnuu,	ভিষ্ণু,	বিষ্ণু,	
ahollar,	আহলার,	অহল্যার,	
nothivookto,	নথিযুক্ত,	নথিভুক্ত,	
bhogni,	ভগ্নী,	ভগ্নী,	
vushito,	ভূষিত,	ভূষিত,	
laj,	লজ,	লাজ,	
nischitorupey,	নিশ্চিতূরপে,	নিশ্চিতরূপে,	
aakkas,	আককাশ,	আককাস,	
nabom,	নবম,	নবম,	
yukeliptash,	ইউকিলিপসাট,	ইউক্যালিপ্টাস,	
palbongser,	পাল্বংসের,	পালবংশের,	
sarollo,	সরলল,	সারল্য,	
korleo,	করলেও,	করলেও,	
rohasyor,	রহস্যর,	রহস্যর,	
choudhooreeo,	চৌধুরিও,	চৌধুরীও,	
rubidiyam,	রুবিডিয়াম,	রুবিডিয়াম,	
porijon,	পরিজন,	পরিজন,	
shhipa,	শিপা,	শিপ,	
tarasa,	তারাস,	টেরেসা,	
jhalkathi,	ঝালকাঠি,	ঝালকাঠী,	
ongkush,	অঙ্কুশ,	অংকুশ,	
gunman,	গুনমান,	গুণমান,	
hishabke,	হিসাবকে,	হিসাবকে,	
dharai,	ধরাই,	ধারাই,	
ganaparibahan,	গণপরিবহন,	গণপরিবহন,	
deembakriti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
eporzonto,	এপর্জন্ত,	এপর্যন্ত,	
rajotwa,	রাজত্ব,	রাজত্ব,	
graambaasi,	গ্রামবাসী,	গ্রামবাসী,	
zonite,	যোনিতে,	যোনীতে,	
tunaita,	টুনাইট,	টুনাইট,	
niutrina,	নিউট্রিন,	নিউট্রিনো,	
napper,	নাপপের,	ন্যাপের,	
ajouno,	অজুন,	অযৌন,	
thimke,	তিমকে,	থিমকে,	
sontoshe,	সন্তোষে,	সন্তোষে,	
durgandha,	দুর্গন্ধ,	দুর্গন্ধ,	
byatarii,	ব্যাটারী,	ব্যাটারী,	
fase,	ফেস,	ফাঁসে,	
jeellul,	জিলুল,	জিল্লুল,	
kyaneela,	ক্যানেল,	ক্যানেল,	
drishyokey,	দৃশ্যকে,	দৃশ্যকে,	
tribhuj,	ত্রিভুজ,	ত্রিভূজ,	
dep,	ডিপ,	ডেপ,	
deubande,	দিউব্যান্ডে,	দেওবন্দে,	
nikeela,	নিকিলা,	নিকেল,	
ishan,	ইসন,	ঈশান,	
mit,	মিত,	এমআইটি,	
zhalokatthi,	ঝালকাঠি,	ঝালকাঠী,	
observer,	অব্রবর্ভের,	অবজার্ভার,	
tarbiner,	টারবিনের,	টারবাইনের,	
tarani,	তরনানি,	তরণী,	
nitikotha,	নীতিকথা,	নীতিকথা,	
monzhoshtho,	মঞ্যস্থ,	মঞ্চস্থ,	
bishnuu,	বিষ্ণু,	বিষ্ণু,	
haphej,	হাফেজ,	হাফেয,	
taat,	তাঁ,	তাত,	
sikha,	শিখা,	শিখ,	
panchasjon,	পঞ্চাশজন,	পঞ্চাশজন,	
mokhmoley,	মখখলে,	মখমলে,	
shpreadshheet,	স্প্রেশ্িি,	স্প্রেডশীট,	
pounchute,	পৌঁছুতে,	পৌঁছুতে,	
venice,	ভেনিস,	ভেনিস,	
manabmaner,	মানবমনের,	মানবমনের,	
arsie,	আর্স,	আরসিএ,	
ceramiker,	চেরিমিকের,	সিরামিকের,	
laiceensee,	ল্যাকেনসস,	লাইসেন্স,	
eshhiyatika,	এসিয়টিক,	এশিয়াটিক,	
adbhanshd,	অ্যাডভান্সস,	অ্যাডভান্সড,	
amiratas,	অমিরাতস,	এমিরেটাস,	
vagirath,	ভাগীরথ,	ভগীরথ,	
santa,	সন্ত,	সান্তা,	
pholo,	ফল,	পোলো,	
allah,	আল্লাহ,	আল্লাহ্,	
poddhotitei,	পদ্ধতিটেই,	পদ্ধতিতেই,	
jonite,	যোনিতে,	যোনীতে,	
bishwashi,	বিশ্বাসী,	বিশ্বাসী,	
batsmani,	বাসসমানি,	ব্যাটসম্যানই,	
anektayi,	আনেকটাই,	অনেকটাই,	
krusher,	ক্রুশের,	ক্রুশের,	
bane,	বানে,	বনে,	
pare,	পারে,	পাড়ে,	
aachees,	আচিস,	আছিস,	
obhidhanik,	আভিধানিক,	অভিধানিক,	
sabaner,	শাবনের,	সাবানের,	
ddhila,	ঢীলা,	ঢিলা,	
seektara,	সেক্টার,	সেক্টর,	
zeans,	জিনস,	জিন্স,	
aarekdal,	আরেকদল,	আরেকদল,	
brekathru,	বৃকাতরু,	ব্রেকথ্রু,	
raitasa,	রাইটাস,	রাইটস,	
ganaparibahaner,	গণপরিবনহানের,	গণপরিবহনের,	
varson,	ভার্সন,	ভারশন,	
jakser,	যক্ষের,	যক্ষের,	
dhabi,	ঢবি,	ঢাবি,	
sikkharrtheerao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
sommoteer,	সম্মতির,	সম্মতির,	
chhilona,	ছিলনা,	ছিলনা,	
kakhnoba,	কখনোবা,	কখনওবা,	
gronthei,	গ্রন্থেই,	গ্রন্থেই,	
mookhomandol,	মুখমন্ডল,	মুখমণ্ডল,	
aieesha,	আয়েশ,	আইএএস,	
chhaanake,	ছানাকে,	ছানাকে,	
jaqi,	জাকি,	জকি,	
nirikh,	নিরিখ,	নিরিখ,	
saseja,	সাসেজা,	সসেজ,	
suma,	সুম,	সুমো,	
mehnoti,	মেহনটি,	মেহনতি,	
edaning,	এডানিং,	ইদানীং,	
sthapanar,	স্থাপনার,	স্থাপনার,	
zommu,	জমম,	জম্মু,	
prakalpatikey,	প্রকলপাতিকে,	প্রকল্পটিকে,	
plainti,	প্লান্টি,	প্লেনটি,	
seniar,	সেনিয়ার,	সিনিয়র,	
minister,	মিনিস্টার,	মিনিস্টার,	
bibek,	বিবেক,	বিবেক,	
teuning,	ট্যনিং,	টিউনিং,	
miraclee,	মিরাকল,	মিরাকেল,	
janosomaj,	জনসমাজ,	জনসমাজ,	
sabrakomer,	সব্রাকমের,	সবরকমের,	
samajikatar,	সামাজিকতার,	সামাজিকতার,	
andaman,	অন্দমান,	আন্দামান,	
bbiswashke,	বিশ্বাসকে,	বিশ্বাসকে,	
bhandare,	ভান্ডারে,	ভাণ্ডারে,	
taresa,	তারেসা,	টেরেসা,	
highcommissioney,	হাইকমিশনে,	হাইকমিশনে,	
mirakeela,	মিরাকেল,	মিরাকেল,	
shukna,	শুকনা,	শুকনা,	
karpeter,	কর্পটের,	কার্পেটের,	
koyari,	কোয়ারি,	কোয়েরি,	
mesenjarer,	মেশেন্জারের,	মেসেঞ্জারের,	
byatikromdhormi,	ব্যাতিকর্মধর্মী,	ব্যতিক্রমধর্মী,	
romonar,	রমনার,	রমনার,	
temanti,	তেমনটি,	তেমনটি,	
satarkata,	সর্তকতা,	সতর্কতা,	
nabhela,	নভেেলা,	নভেল,	
zones,	জোনস,	জোন্স,	
maunchostho,	মন্চস্থ,	মঞ্চস্থ,	
pala,	পালা,	পোলো,	
phutonta,	ফুটন্ত,	ফুটন্ত,	
songkolonti,	সংকলনটি,	সংকলনটি,	
boikalyo,	বৈকালও,	বৈকল্য,	
besooro,	বেসরু,	বেসুর,	
yatharthabhabe,	যথারথথাবে,	যথার্থভাবে,	
michir,	মিচির,	মিচির,	
zyaka,	য্যাক,	জ্যাক,	
selim,	সেলিম,	সেলিম,	
sompadonkaree,	সম্পাদকারী,	সম্পাদনকারী,	
nirvachokder,	নির্বাচকদের,	নির্বাচকদের,	
ingrezeeteo,	ইংরেজিতেও,	ইংরেজিতেও,	
sthapanatir,	স্থাপনাতির,	স্থাপনাটির,	
karmosampadan,	কর্মসম্পাদন,	কর্মসম্পাদন,	
konishtho,	কনিষ্ঠ,	কনিষ্ঠ,	
code,	কোড,	কোড,	
byataree,	ব্যাটারী,	ব্যাটারী,	
orthonitir,	অর্থনীতির,	অর্থনীতির,	
khanonkaj,	খননকা,	খননকাজ,	
biseshyer,	বিশেষের,	বিশেষ্যের,	
nirupita,	নিরুপিত,	নিরূপিত,	
veniser,	ভেনিসের,	ভেনিসের,	
jonoika,	জননকা,	জনৈকা,	
rubi,	রুবি,	রুবী,	
hoteelti,	হতিলটি,	হোটেলটি,	
aporishodhito,	অপরিসাধিত,	অপরিশোধিত,	
votar,	ভোটার,	ভোটার,	
shhashtra,	শাস্ত্র,	শাস্ত্র,	
garnar,	গর্ণার,	গার্নার,	
elakasoho,	এলাকাশো,	এলাকাসহ,	
emiretus,	এমেরিটাস,	এমিরেটাস,	
rajnoitik,	রাজনৈতিক,	রাজনৈতীক,	
melbourner,	মেলবার্নের,	মেলবোর্নের,	
akhandota,	আখন্দতা,	অখণ্ডতা,	
ting,	টিং,	টিং,	
ghatke,	ঘটকে,	ঘাটকে,	
fanding,	ফ্যান্ডিং,	ফান্ডিং,	
shikar,	শিকীর,	শিকার,	
agovir,	আগোবীর,	অগভীর,	
hedge,	হেজ,	হেজ,	
taki,	তাকী,	তকি,	
vogirath,	ভোগীরথ,	ভগীরথ,	
saarbharti,	সর্বারটি,	সার্ভারটি,	
torunke,	তরুণকে,	তরুণকে,	
andamana,	অন্দমানা,	আন্দামান,	
bhabotarini,	ভবততরীণী,	ভবতারিণী,	
kalam,	কলম,	কালাম,	
beshirbhaagi,	বেশীরভাগই,	বেশিরভাগই,	
zuktorastreo,	যুক্তরাস্ট্রেও,	যুক্তরাষ্ট্রেও,	
anchalsaha,	আঞ্চলসহ,	অঞ্চলসহ,	
dorgaaho,	দরগাহ,	দরগাহ,	
donaat,	ডোনাট,	ডোনাট,	
byaboharkarir,	ব্যবহারকারির,	ব্যবহারকারীর,	
shuri,	সুরি,	সুরি,	
ssahosikotar,	সহসিকতার,	সাহসিকতার,	
prosadhoni,	প্রসাধনী,	প্রসাধনী,	
judge,	জজ,	জাজ,	
azijer,	আজিজের,	আজিজের,	
ivil,	আইভিল,	ইভিল,	
sushiksar,	সুশিক্ষার,	সুশিক্ষার,	
heelse,	হাইস,	হিলসে,	
artherer,	অর্থারের,	আর্থারের,	
durgatir,	দুর্গতির,	দুর্গটির,	
dajhya,	দা্য্য,	দাহ্য,	
jolrang,	জলার্গ,	জলরঙ,	
baarnish,	বার্নিস,	বার্নিশ,	
taroni,	তরনী,	তরণী,	
chotto,	চত্ত,	ছোট্ট,	
prostutkarok,	প্রস্তুতকর,	প্রস্তুতকারক,	
pratiyogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
brinde,	ব্রান্ডে,	বৃন্দ,	
turishta,	তুরুষ্ট,	টুরিস্ট,	
gasthigulo,	গোষ্ঠীগুলো,	গোষ্ঠীগুলো,	
muhurta,	মুহূর্ত,	মুহুর্ত,	
addhattik,	আধ্যাতিক,	আধ্যাত্মিক,	
santa,	সন্ত,	স্যান্টা,	
durgotshob,	দুর্গতস,	দুর্গোৎসব,	
estaniya,	সেট্টানিয়া,	এস্তোনিয়া,	
qiuti,	কিউটি,	কিউটি,	
falashrutiti,	ফলস্রুটিতি,	ফলশ্রুতি,	
phutbolarer,	ফুটবলেরের,	ফুটবলারের,	
brekethru,	ব্রেক্ষু,	ব্রেকথ্রু,	
asantosh,	অশানত,	অসন্তোষ,	
godamjat,	গদমজজাত,	গুদামজাত,	
zillul,	জিলুল,	জিল্লুল,	
bagdadi,	বাগদাদী,	বাগদাদী,	
rohosyer,	রহস্যের,	রহস্যের,	
chedropothe,	ছেদপ্রথথে,	ছিদ্রপথে,	
hughes,	হুউেস,	হিউজেস,	
xpose,	এক্সপস,	এক্সপোজ,	
dorgaho,	দরগাহ,	দরগাহ,	
jesa,	জেস,	জেস,	
rajpurohit,	রাজপুরোহিত,	রাজপুরোহিত,	
somraatder,	সম্রাত্রের,	সম্রাটদের,	
onekerie,	অনেকরিই,	অনেকেরই,	
orthanitike,	অর্থনীতিকে,	অর্থনীতিকে,	
graambaseeo,	গ্রামবাশীও,	গ্রামবাসীও,	
elaakatite,	এলাকাতিতে,	এলাকাটিকে,	
aziza,	আজিজা,	আজিজা,	
dap,	ডাপ,	ড্যাপ,	
porishkaran,	পরিষ্কারণ,	পরিষ্করণ,	
madaspushto,	মাদস্পুস্ত,	মদদপুষ্ট,	
armenan,	আর্মেনান,	আর্মেনিয়ান,	
chhatta,	ছত্তা,	ছোট্ট,	
vortuki,	ভর্তুকি,	ভর্তুকি,	
metropalitana,	মেট্রোপলিটান,	মেট্রোপলিটন,	
subadey,	সুবাদে,	সুবাদে,	
chaudhuriyo,	চৌধুরিও,	চৌধুরীও,	
akten,	আঁকতেন,	অকটেন,	
playto,	প্লাইট,	প্লেটো,	
gandagol,	গণ্ডগল,	গন্ডগোল,	
nagorikderkey,	নাগরিকদেরকে,	নাগরিকদেরকে,	
vageryi,	ভাগেরই,	ভাগেরই,	
cakee,	কাক,	কেকে,	
tafaat,	টফত,	তফাৎ,	
shanstha,	সংস্থ,	সংস্থা,	
dhila,	ঢীলা,	ঢিলা,	
randeep,	রান্ডপপ,	রণদীপ,	
postake,	পোস্তকে,	পোস্টকে,	
dhhaaby,	ধাবি,	ঢাবি,	
saarbharer,	সার্ভারের,	সার্ভারের,	
parqa,	পার্কা,	পার্ক,	
phutbolarra,	ফুটবলারারা,	ফুটবলাররা,	
khoka,	খোকা,	খোকা,	
hertz,	হার্জ,	হার্জ,	
jounotar,	যৌনতার,	যৌনতার,	
sobche,	সবছে,	সবচে,	
songasthaner,	সংস্থানের,	সংস্থানের,	
gardena,	গার্ডিন,	গার্ডেন,	
motabolambira,	মতবালম্বীরা,	মতাবলম্বীরা,	
messengerer,	মেসেস্গারের,	মেসেঞ্জারের,	
bondiike,	বন্দিকে,	বন্দীকে,	
parswer,	পারসের,	পার্শ্বের,	
oncholsoho,	অঞ্চলসহ,	অঞ্চলসহ,	
olpokichudin,	অল্পকিছুদিন,	অল্পকিছুদিন,	
juktarashtrasaha,	যুক্তরাস্টস্র,	যুক্তরাষ্ট্রসহ,	
teemur,	তিমুর,	তিমুর,	
shiter,	শীতের,	শীতের,	
atyacarito,	অট্যাকরিত,	অত্যাচারিত,	
lajek,	লাজেক,	লজিক,	
aashanka,	আসঙ্কা,	আশংকা,	
ishpredshhiit,	ইস্পরেশেি,	স্প্রেডশীট,	
nirdeshika,	নির্দেশিকা,	নির্দেশিকা,	
modelder,	মডডেলদের,	মডেলদের,	
praima,	প্রাইম,	প্রাইম,	
starc,	স্টার্ক,	স্টার্ক,	
ibhila,	এভেলা,	ইভিল,	
madeelim,	মেডিলিং,	মডেলিং,	
hunine,	হাননিই,	হুনাইন,	
grambaashi,	গ্রামবাসী,	গ্রামবাসী,	
mohammad,	মোহম্মদ,	মুহাম্মদ,	
adhattik,	আধ্যাত্ক,	আধ্যাত্মিক,	
hooq,	হোক,	হুক,	
ajeemke,	আজিমকে,	আজিমকে,	
antarktikar,	অন্তর্কাতিকার,	অ্যান্টার্কটিকার,	
bonvumitey,	বনুভূমিতে,	বনভূমিতে,	
quary,	কারই,	কোয়েরি,	
toder,	তোদের,	তদের,	
mishal,	মিশাল,	মিশাল,	
akib,	আকীব,	আকিব,	
deil,	ডেল,	ডেইল,	
asommati,	অসমতা,	অসম্মতি,	
swartha,	স্বার্থ,	স্বার্থ,	
purbanchaler,	পূর্বাংচালের,	পূর্বাঞ্চলের,	
alpa,	আল্প,	অল্প,	
shaahocharjo,	সাহাযার্য,	সাহচর্য,	
ohong,	অহং,	অহং,	
pleeto,	প্লাইট,	প্লেটো,	
chenja,	চেঞ্জ,	চেঞ্জ,	
osocheton,	অসচেতন,	অসচেতন,	
chikittsar,	চিকিৎসার,	চিকিত্সার,	
chidropathe,	চিদ্রপথে,	ছিদ্রপথে,	
faskari,	ফসকারি,	ফাঁসকারী,	
leader,	লিডার,	লিডার,	
sofi,	শফি,	সোফি,	
rothin,	রথিন,	রথীন,	
antarvuktimulak,	অন্তর্গুল্তিকাল,	অন্তর্ভুক্তিমূলক,	
dhanni,	ধাননি,	ধন্যি,	
baire,	বীরে,	বাইরে,	
shangsthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
baraakpur,	ব্যারাকপুর,	বারাকপুর,	
rushod,	রুশদ,	রুশদ,	
lettere,	ল্যাটার,	লেটারে,	
kirti,	কীর্তি,	কীর্তি,	
mugdal,	মুগদল,	মুগডাল,	
jyotsna,	জ্যাতস্না,	জ্যোৎস্না,	
lobbyte,	লব্বতে,	লবিতে,	
mashtersh,	মাস্টার্স,	মাস্টার্স,	
eskol,	এসকাল,	এসকল,	
lyaandeeng,	ল্যান্ডিং,	ল্যান্ডিং,	
radhanagar,	রাধানাগার,	রাধানগর,	
kyathalika,	কথযালিক,	ক্যাথলিক,	
debodebir,	দেবদীবির,	দেবদেবীর,	
par,	পার,	পাব,	
gobeshokgan,	গবেষকগণ,	গবেষকগণ,	
surokarder,	সুরকরদের,	সুরকারদের,	
farider,	ফরিদের,	ফরিদের,	
osamonjoshyopurno,	অসমানসূপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
debdebeer,	দেবদীবীর,	দেবদেবীর,	
harbur,	হারবুর,	হারবার,	
cholocchitro,	চলচিত্র,	চলচ্চিত্র,	
elakashaho,	এলাকাশা,	এলাকাসহ,	
idipasha,	এডিপাশ,	ইডিপাস,	
shahabike,	সাহাবীকে,	সাহাবীকে,	
cheekitshar,	চিকিৎসার,	চিকিত্সার,	
shhikar,	শিকীর,	শিকার,	
baharamapurer,	বাহরাপুরের,	বহরমপুরের,	
patthkromer,	পাঠ্রমের,	পাঠক্রমের,	
mojlis,	মজলিস,	মজলিশ,	
shapad,	সপদ,	শ্বাপদ,	
balabhadra,	বলভাদ্র,	বলভদ্র,	
bujhleo,	বুঝলেও,	বুঝলেও,	
veedanta,	বিদান্ত,	বেদান্ত,	
qor,	কোর,	কর,	
oichchheek,	উচ্ছিক,	ঐচ্ছিক,	
dakteekit,	ডাক্তিকিৎ,	ডাকটিকিট,	
cholesi,	চলেশি,	চলেছি,	
heriken,	হেরিকেন,	হ্যারিকেন,	
tukrokey,	টুকরকে,	টুকরোকে,	
firozer,	ফিরজের,	ফিরোজের,	
adhattikota,	আধ্যতিকতা,	আধ্যাত্মিকতা,	
markete,	মার্কাটে,	মার্কেটে,	
aastikotaa,	আস্তিকতা,	আস্তিকতা,	
bm,	বিএিএম,	বিএম,	
chhintayikari,	ছিনতাইকারী,	ছিনতাইকারী,	
nodiitei,	নদীতেই,	নদীতেই,	
ashamarthita,	অসমর্থীত,	অসমর্থিত,	
madrasi,	মাদরাসী,	মাদ্রাজি,	
akkaash,	একাশ,	আককাস,	
uporoshtho,	উপরস্থ,	উপরস্থ,	
jesthaa,	জেষ্ঠ্য,	জ্যেষ্ঠা,	
pratisthanik,	প্রতিস্ঠানিক,	প্রাতিষ্ঠানিক,	
suparichito,	সুপারিচিত,	সুপরিচিত,	
katbey,	কাটবে,	কাটবে,	
konake,	কোণকে,	কণাকে,	
drisser,	ড্রিসের,	দৃশ্যের,	
dadar,	দাদার,	দাদার,	
hepara,	হেপার,	হাইপার,	
hoola,	হোল,	হোল,	
horiddar,	হরিদদর,	হরিদ্বার,	
majhari,	মাঝারি,	মাঝারী,	
plak,	প্লক,	প্ল্যাক,	
chironton,	চিরতন্তন,	চিরন্তন,	
highcommissionay,	হাইকমিশনা,	হাইকমিশনে,	
japanira,	জাপানীরা,	জাপানিরা,	
mukhomandol,	মুখমন্ডল,	মুখমণ্ডল,	
arjara,	অর্জার,	আর্যরা,	
charrjer,	চার্জের,	চার্জের,	
edipass,	এডিপাস,	ইডিপাস,	
scorey,	স্কোরে,	স্কোরে,	
dajhyo,	দ্য্য,	দাহ্য,	
fuda,	ফুড,	ফুড,	
upobaaser,	উপব্যাসের,	উপবাসের,	
deputee,	ডিপুিতি,	ডেপুটি,	
hafej,	হাফেজ,	হাফেয,	
rejidensh,	রেজিডেন্স,	রেসিডেন্স,	
messenjer,	মেসেস্জের,	মেসেঞ্জার,	
gosthigulo,	গোষ্ঠীগুলো,	গোষ্ঠীগুলো,	
beildaar,	বেললার,	বিল্ডার,	
harrisoner,	হ্যারিনেসার,	হ্যারিসনের,	
os,	অস,	অস,	
