chirohorit,	চিহরিত,	চিরহরিৎ,	
alsaar,	আলসার,	আলসার,	
chondrima,	চন্দ্রিমা,	চন্দ্রিমা,	
rilayensha,	রিলেয়েন্স,	রিলায়েন্স,	
opochesta,	অপচেষ্টা,	অপচেষ্টা,	
kuarter,	কোর্টার,	কোয়ার্টার,	
pholo,	ফোলো,	পোলো,	
abosaney,	অবসানে,	অবসানে,	
somabeshke,	সমাবেশকে,	সমাবেশকে,	
loukeekota,	লৌকিকতা,	লৌকিকতা,	
manmath,	মনমাথ,	মন্মথ,	
vishnuke,	বিষ্ণুকে,	বিষ্ণুকে,	
soourse,	সুর্স,	সোর্স,	
ovarview,	ওভার্ভিয়,	ওভারভিউ,	
poricchonnota,	পরিচ্ছান্নতা,	পরিচ্ছন্নতা,	
mit,	মিট,	মিট,	
thakte,	থাকতে,	থাকতে,	
besorkarikoron,	বেসরকারীকরণ,	বেসরকারিকরণ,	
sahoocorzo,	সহুকর্য,	সাহচর্য,	
iyanqi,	ইয়ান্ি,	ইয়াংকি,	
paner,	পানের,	পনের,	
uuipokar,	উইপিকার,	উইপোকার,	
akbakye,	একবকে,	একবাক্যে,	
kaner,	কানের,	কনের,	
bhalapuka,	ভালাপুকা,	ভোলাপুক,	
kantajir,	কান্তজীর,	কান্তজির,	
homeser,	হোমেসের,	হোমসের,	
jokrit,	যকৃত,	যকৃৎ,	
hajarti,	হজরটি,	হাজারটি,	
rooplal,	রূপ্লাল,	রূপলাল,	
jor,	জোর,	জ্বর,	
phulkapi,	ফুলকাপি,	ফুলকপি,	
allubokhara,	অল্লুবখর,	আলুবোখারা,	
porizon,	পরিজন,	পরিজন,	
sorboshoktiman,	সর্বস্কতিস্তান,	সর্বশক্তিমান,	
naper,	নাপের,	ন্যাপের,	
dologulo,	দলগুলো,	দলগুলো,	
nodimatrik,	নদিমাত্রিক,	নদীমাতৃক,	
abdune,	আবদুনে,	আবদুন,	
siiteyi,	সাইটেই,	শীতেই,	
carpetey,	কর্পিটে,	কার্পেটে,	
aparagata,	অপরাগত,	অপারগতা,	
ruteen,	রুটিন,	রুটিন,	
shaaroker,	সারকের,	স্মারকের,	
sahopatheeke,	সহপাঠিকে,	সহপাঠীকে,	
besharkarikarone,	বেসরকারিকরণ,	বেসরকারিকরণ,	
avijojan,	অভিযাজন,	অভিযোজন,	
zesa,	যেস,	জেস,	
deepei,	দিপেই,	দ্বীপেই,	
giitikobitar,	গীতিকাবিতার,	গীতিকবিতার,	
graambasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
itastata,	ইতাস্টট,	ইতস্ততঃ,	
hol,	হল,	হোল,	
vins,	ভিন্স,	ভিন্স,	
lesense,	লিসেন্স,	লাইসেন্স,	
spredsheet,	স্প্রেডসিট,	স্প্রেডশীট,	
codey,	কোডে,	কোডে,	
letterey,	লেটারে,	লেটারে,	
proshikkhane,	প্রশিক্ষণে,	প্রশিক্ষণে,	
daap,	দাপ,	ড্যাপ,	
ganoporibahaner,	গণপরিবাহনের,	গণপরিবহনের,	
doorotomo,	দুরতত,	দূরতম,	
karmosansthaner,	কর্মস্থাসনার,	কর্মসংস্থানের,	
shaajaano,	সাজানো,	সাজানো,	
vangle,	ভাঙলে,	ভাঙলে,	
pleeta,	প্লেট,	প্লেট,	
naphisa,	নাফিস,	নাফিসা,	
uposthit,	উপস্থিত,	উপস্থিত,	
porinoti,	পরিনতি,	পরিণতি,	
dwipgulo,	দ্বিপুলো,	দ্বীপগুলো,	
dhonni,	ধননি,	ধন্যি,	
prachin,	প্রাচীন,	প্রাচীন,	
protul,	প্রতুল,	প্রতুল,	
priti,	প্রীতি,	প্রিটি,	
motabolambira,	মোটবলম্বিরা,	মতাবলম্বীরা,	
jatharthobhabe,	যথার্থভাবে,	যথার্থভাবে,	
ikbalke,	ইকবালকে,	ইকবালকে,	
sudhui,	সুধ্যু,	শুধুই,	
lesensim,	লেসেন্সিং,	লাইসেন্সিং,	
barbadoj,	বার্বাডোজ,	বার্বাডোজ,	
adorso,	আদর্শ,	আর্দশ,	
hizriite,	হিজরিতে,	হিজরীতে,	
manabsamajer,	মানবসমবাজের,	মানবসমাজের,	
porichhonnota,	পরিচ্্নাতা,	পরিচ্ছন্নতা,	
thore,	থোে,	থরে,	
mmesenjar,	মেসেঞ্জার,	মেসেঞ্জার,	
ankita,	অংকিত,	অঙ্কিতা,	
idaningkale,	এদানিককালে,	ইদানীংকালে,	
sothikota,	সথিকতা,	সঠিকতা,	
chutite,	ছুটিতে,	ছুটিতে,	
parther,	পার্থের,	পার্থের,	
shaarok,	সারক,	স্মারক,	
transhapharma,	ট্রান্সফর্ম,	ট্রান্সফর্ম,	
quari,	কোয়ারি,	কোয়েরি,	
dristihin,	দৃষ্টিহীন,	দৃষ্টিহীন,	
bidghootey,	বিধঘুতে,	বিদঘুটে,	
anyorup,	অন্যরূপ,	অন্যরূপ,	
vittiteo,	ভিত্তিতেও,	ভিত্তিতেও,	
pudding,	পুদ্দিং,	পুডিং,	
wool,	উোল,	উল,	
koda,	কোড,	কোড,	
shelim,	সেলিম,	সেলিম,	
chhattroraai,	ছাত্ররাই,	ছাত্ররাই,	
venus,	বেনাস,	ভেনাস,	
rajtantroke,	রাজতা্ত্রকে,	রাজতন্ত্রকে,	
rejidens,	রেজিডেন্স,	রেসিডেন্স,	
mohajote,	মহাজতে,	মহাজোট,	
satarkotar,	সর্তকতার,	সতর্কতার,	
pratiyogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
vushi,	ভূষি,	ভুষি,	
shhashtra,	শাস্ত্র,	শাস্ত্র,	
manu,	মানু,	মনু,	
dhauto,	ধাত,	ধৌত,	
loha,	লোহা,	লোহা,	
vool,	ভোল,	উল,	
qonflict,	কনফিল্টিক্ট,	কনফ্লিক্ট,	
stena,	স্টেন,	স্টেন,	
meshenger,	মেসেঙ্গের,	মেসেঞ্জার,	
arik,	এরিক,	আরিক,	
pannee,	পানি,	পন্নী,	
shootar,	সূতার,	শ্যুটার,	
madhobi,	মাধবী,	মাধবী,	
tunaita,	টুনাইট,	টুনাইট,	
hyarikena,	হ্যারিকেন,	হ্যারিকেন,	
nodimaatrik,	নদিমাত্রিক,	নদীমাতৃক,	
jerokom,	জেরকম,	যেরকম,	
jeebonnogor,	জীবননগর,	জীবননগর,	
suraarop,	সুরারোপ,	সুরারোপ,	
toroni,	তরনী,	তরণী,	
arthoneeti,	অর্থনীতি,	অর্থনীতির,	
qiuti,	কিউটি,	কিউটি,	
sthapanar,	স্থাপনার,	স্থাপনার,	
ba,	বা,	বু,	
ekghore,	একঘরে,	একঘরে,	
choudhurider,	চৌধুরিদের,	চৌধুরীদের,	
bolvodro,	বলভদ্র,	বলভদ্র,	
muradke,	মুরাদকে,	মুরাদকে,	
chowdhuryder,	চৌধুরিদের,	চৌধুরীদের,	
shangsthatikey,	সংস্থাটিকে,	সংস্থাটিকে,	
ssikkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
skalastik,	স্কলাস্টিক,	স্কলাস্টিক,	
mashajida,	মাসাজিদা,	মসজিদ,	
neker,	নেকের,	নেকের,	
prabhuder,	প্রভূদের,	প্রভুদের,	
palashir,	পালাশির,	পলাশীর,	
chasee,	চাষী,	চেস,	
nilphamarir,	নিলফামারির,	নীলফামারীর,	
turkey,	তুরকে,	তুর্কি,	
sontoshe,	সন্তোষে,	সন্তোষে,	
balaruma,	বললারুম,	বলরুম,	
protijogiitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
siddhantoke,	সিদ্বান্তকে,	সিদ্ধান্তকে,	
brinde,	ব্রিন্ডে,	বৃন্দ,	
foreex,	ফরেক্স,	ফরেক্স,	
taap,	তুপ,	ট্যাপ,	
alexander,	আলেক্সানদডার,	আলেকজান্ডার,	
tomader,	তমাদের,	তোমাদের,	
aalkatraa,	আলকাত্রা,	আলকাতরা,	
kaptai,	কপ্টাই,	কাপ্তাই,	
rabe,	রবে,	রবে,	
conflict,	কনফিল্টি,	কনফ্লিক্ট,	
hebhee,	হেভি,	হেভি,	
dibeta,	দিবেতা,	ডিবেট,	
tenisha,	টেনিস,	টেনিস,	
dinnar,	দিনার,	ডিনার,	
shobnom,	শবনম,	শবনম,	
ooindo,	উইন্ড,	উইন্ডো,	
babylone,	বেবিলোনে,	ব্যাবিলনে,	
sachetanbhabe,	সচেতনাবে,	সচেতনভাবে,	
tenys,	টেনিস,	টেনিস,	
auncholo,	অঞ্চলো,	অঞ্চলও,	
drishtir,	দৃষ্টির,	দৃশ্যটির,	
romantiqa,	রোমান্টিক,	রোমান্টিক,	
turkeyder,	তুর্কীদের,	তুর্কিদের,	
boikalya,	বৈকল্য,	বৈকল্য,	
associatis,	অ্যাস্সোটিস,	এসোসিয়েটস,	
militarir,	মিলিটারির,	মিলিটারির,	
gonosochetonota,	গণশ্চাতনাতা,	গণসচেতনতা,	
gobeshana,	গবেষণা,	গবেষনা,	
chalochchitreeo,	চলচিত্রিও,	চলচ্চিত্রেও,	
vabotarini,	ভবতরানি,	ভবতারিণী,	
emarzensi,	এমর্জেন্সি,	এমার্জেন্সি,	
traap,	ট্রুপ,	ট্রুপ,	
chitronatyokar,	চিত্রনাট্যকর,	চিত্রনাট্যকার,	
sithilota,	সিথীলতা,	শিথিলতা,	
lakkhero,	লক্ষেরও,	লক্ষেরও,	
conservetion,	কনসার্ভেশন,	কনসারভেশন,	
platoo,	প্লাটু,	প্লেটো,	
elaakate,	এলাকাতে,	এলাকাতে,	
anchalo,	অঞ্চালো,	অঞ্চলও,	
dharabahiktir,	ধারাবিক্তির,	ধারাবাহিকটির,	
tinbhager,	তিনভাগের,	তিনভাগের,	
torkarir,	তরকারির,	তরকারীর,	
haryken,	হারিকেন,	হ্যারিকেন,	
pratiyogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
bisheshya,	বিশেষ্য,	বিশেষ্য,	
shikshakder,	শিক্ষাদদের,	শিক্ষকদের,	
saainyo,	সৈন্য,	সৈন্য,	
cholocchitreo,	চলচিত্রেও,	চলচ্চিত্রেও,	
daaun,	ডাউন,	ডাউন,	
sikhechi,	শিখেছি,	শিখেছি,	
honduras,	হন্দুরাস,	হন্ডুরাস,	
amor,	আমর,	আমর,	
swostir,	স্বস্তির,	স্বস্তির,	
golakrity,	গোলাকৃতি,	গোলাকৃতি,	
sadhwi,	সাধ্যি,	সাধ্বী,	
sukumari,	সুকুমারি,	সুকুমারী,	
asocheton,	অসচেতন,	অসচেতন,	
shikkhakke,	শিক্ষাককে,	শিক্ষককে,	
ibhaner,	ইভানের,	ইভানের,	
donut,	দোনুত,	ডোনাট,	
dipgulo,	দিপগুলো,	দ্বীপগুলো,	
awnurbor,	অনুর্বর,	অনুর্বর,	
rapto,	রাপ্ত,	রপ্ত,	
rinattak,	ঋণাত্মক,	ঋনাত্মক,	
hastantar,	হস্তান্তর,	হস্তান্তর,	
sajja,	সজ্জা,	সজ্জা,	
harbore,	হররবোরে,	হারবারে,	
sinematographar,	সিনোটাযাগ্রাফার,	সিনেমাটোগ্রাফার,	
dam,	দম,	ডং,	
horus,	হোরাস,	হোরাস,	
shukraanoo,	শুক্রাণু,	শুক্রানু,	
otyachari,	অত্যাচারী,	অত্যাচারী,	
thechar,	ঠেকার,	থ্যাচার,	
oitihye,	ঐতিহ্যে,	ঐতিহ্যে,	
ekghare,	একঘরে,	একঘরে,	
lumbinee,	লম্বিনী,	লুম্বিনী,	
kaansaater,	কানসাটের,	কানসাটের,	
ancieent,	অ্যান্সেন্ট,	এনসিয়েন্ট,	
deool,	ডিউল,	দেউল,	
pade,	পদে,	পাড়ে,	
probhuder,	প্রভূদের,	প্রভুদের,	
addabaaz,	আদ্যাবাজ,	আড্ডাবাজ,	
naarsari,	নার্সারী,	নার্সারি,	
cilahaati,	চিলাহাতি,	চিলাহাটি,	
armastram,	আর্মস্ট্রম,	আর্মস্ট্রং,	
jyakashana,	জ্যাকশন,	জ্যাকসন,	
cal,	কাল,	চাল,	
kormyi,	কর্মই,	কর্মই,	
feemalee,	ফেমাল,	ফিমেল,	
maunchostho,	মঞ্চস্থ,	মঞ্চস্থ,	
horinner,	হরিনার,	হরিণের,	
naitik,	নৈতিক,	নৈতিক,	
amerika,	অ্যামেরিক,	আমেরিকা,	
somoshtike,	সমস্তিকে,	সমষ্টিকে,	
craze,	ক্রেজ,	ক্রেজ,	
avetar,	অভাতার,	অবতার,	
bosoben,	বসবেন,	বসবেন,	
cyphy,	সিফি,	সাইফাই,	
epiela,	এপিল,	আইপিএল,	
moushumeo,	মৌশুমেও,	মৌসুমেও,	
grambaashee,	গ্রামবাসি,	গ্রামবাসী,	
herisoner,	হিরিশনের,	হ্যারিসনের,	
starker,	স্ট্রার,	স্টার্কের,	
orthonitir,	অর্থনীতির,	অর্থনীতির,	
kaanaai,	কানাই,	কানাই,	
stanahenja,	স্তনাহেঞ্জ,	স্টোনহেঞ্জ,	
biswashe,	বিশ্বাসে,	বিশ্বাসে,	
phaqsa,	ফক্স,	ফক্স,	
nodiike,	নদীকে,	নদীকে,	
karmosampadan,	কর্মস্পাদন,	কর্মসম্পাদন,	
temontee,	তেমনটি,	তেমনটি,	
sahojlovyotar,	সহজভ্লব্যতার,	সহজলভ্যতার,	
suraaropeeto,	সুরারোপিত,	সুরারোপিত,	
thaakeni,	থাকেনি,	থাকেনি,	
sarolyo,	সারল্য,	সারল্য,	
nogonno,	নগন্য,	নগণ্য,	
sikhra,	শিখরা,	শিখরা,	
licenser,	লিসেন্সের,	লাইসেন্সের,	
jomjomat,	জম্মমত,	জমজমাট,	
ganana,	গানানা,	গণনা,	
mailer,	মেলের,	মেইলের,	
dhyanostha,	ধ্যানস্থা,	ধ্যানস্থ,	
vorkendra,	ওর়েক্দ্র,	ভরকেন্দ্র,	
anchalgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
dormitoree,	ডরমেটরি,	ডরমিটরি,	
lutheerana,	লুথারেন,	লুথেরান,	
zubokshoho,	যুবকসহ,	যুবকসহ,	
ghosito,	ঘোষিত,	ঘোষিত,	
bilati,	বিলাটি,	বিলাতী,	
ibhara,	ইভার,	এভার,	
obie,	অবি,	ওবিই,	
kottar,	কত্তার,	কট্টর,	
romjaner,	রমজানের,	রমযানের,	
uddhrito,	উদ্ধৃত,	উদ্ধৃত,	
drishyogulotey,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
fokser,	ফক্ষের,	ফক্সের,	
qrisenta,	ক্রিজেন্ট,	ক্রিসেন্ট,	
cheentaikari,	চিনতাইকারী,	ছিনতাইকারী,	
sazano,	সাজানও,	সাজানো,	
cholochchitrai,	চলচিত্রইই,	চলচ্চিত্রই,	
parqim,	পার্কিং,	পার্কিং,	
procharonamoolok,	প্রচারনামূলক,	প্রচারণামূলক,	
sidiul,	সিডিউল,	শিডিউল,	
choudhooreeder,	চৌধুরিদের,	চৌধুরীদের,	
keuyi,	কিউই,	কেউই,	
harysher,	হরিসের,	হ্যারিসের,	
sarbopori,	সর্বোপরি,	সর্বোপরী,	
venuser,	ভেনুসের,	ভেনাসের,	
tinej,	টিনেজ,	টিনেজ,	
paakshenara,	পাক্সেনার,	পাকসেনারা,	
alaa,	আলা,	আলা,	
ajuhath,	অজুহাত,	অজুহাত,	
injil,	এঞ্জেল,	ইঞ্জিল,	
turkamena,	তুর্কমেন,	তুর্কমেন,	
shiter,	সাইটের,	শীতের,	
poorohitder,	পুরহিতদের,	পুরোহিতদের,	
janosonjog,	জনসংযোগ,	জনসংযোগ,	
nirbachaker,	নির্বাচকের,	নির্বাচকের,	
totokhon,	ততক্ষণ,	ততক্ষন,	
shaantaa,	সান্তা,	সান্তা,	
byabosthar,	ব্যবস্থার,	ব্যাবস্থার,	
palbongser,	পালবংশের,	পালবংশের,	
baard,	বার্ড,	বার্ড,	
phirti,	ফিরতি,	ফিরতি,	
notunatva,	নতুনত্ব,	নতুনত্ব,	
netsi,	নেটসি,	নাত্সি,	
hori,	হরি,	হরি,	
uponisod,	উপনিষদ,	উপনিষদ,	
ebham,	ইভাম,	ইভিএম,	
daankaan,	দানকান,	ডানকান,	
silabhara,	সিলভার,	সিলভার,	
bhaisaha,	ভাইসহ,	ভাইসহ,	
zommoo,	জম্মু,	জম্মু,	
janasangjog,	জনসংযোগ,	জনসংযোগ,	
isosiyitasa,	এসোসিটেস,	এসোসিয়েটস,	
temonti,	তেমনটি,	তেমনটি,	
pharna,	ফার্ন,	ফার্ন,	
grambaasheeo,	গ্রামবাসিও,	গ্রামবাসীও,	
beshirbhagei,	বেশিরভাগই,	বেশিরভাগেই,	
ballabh,	বল্লভ,	বল্লভ,	
istara,	ইস্টার,	ইস্টার,	
chetonagato,	ছেতনাগত,	চেতনাগত,	
eexpreession,	এক্সপ্রেশন,	এক্সপ্রেশন,	
grambaaseeo,	গ্রামবাসি,	গ্রামবাসীও,	
alaoler,	আলালের,	আলাওলের,	
lokkheryo,	লোক্ষেরও,	লক্ষেরও,	
duburir,	দুবুরির,	ডুবুরির,	
mukhomandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
ministar,	মিনিস্টার,	মিনিস্টার,	
sikkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
jerushalem,	জেরুশোলেম,	জেরুসালেম,	
satthik,	সাঠিক,	সঠিক,	
sooya,	সোয়া,	সোয়া,	
dharabahikbhabey,	ধারাবিকভাবে,	ধারাবাহিকভাবে,	
kumarir,	কুমারির,	কুমারীর,	
shuter,	শুটার,	শ্যুটার,	
koilaash,	কৈলাশ,	কৈলাস,	
bongshokey,	বংশকে,	বংশকে,	
jolaatonko,	জলাটাঙ্ক,	জলাতঙ্ক,	
gatre,	গোত্রে,	গাত্রে,	
sheekarer,	শিকারের,	শিকারের,	
kalengga,	কালেঙ্গ,	কালেঙ্গা,	
biplabee,	বিপ্লবি,	বিপ্লবী,	
donata,	দোনাটা,	ডোনাট,	
segular,	সেগুলোর,	সেগুলোর,	
lokeson,	লোকেশন,	লোকেশন,	
zealand,	জিল্যান্ড,	জিল্যান্ড,	
udvaboney,	উদ্ভবনে,	উদ্ভাবনে,	
bandhano,	বন্ধান,	বাঁধানো,	
byatarii,	ব্যাটারী,	ব্যাটারী,	
rajtantrake,	রাজতা্ত্রকে,	রাজতন্ত্রকে,	
motabolombiira,	মোটাবলম্বীরা,	মতাবলম্বীরা,	
chetnagato,	চিতানগত,	চেতনাগত,	
phutanto,	ফুটান্ত,	ফুটন্ত,	
saphallyar,	সফল্যার,	সাফল্যের,	
zojyota,	যো্যতা,	যোজ্যতা,	
mohasova,	মহাসভা,	মহাসভা,	
raagkey,	রাগকে,	রাগকে,	
jakser,	যক্ষের,	যক্ষের,	
tarbine,	টারবাইন,	টারবাইন,	
schalarship,	স্কলারশিপ,	স্কলারশিপ,	
maadla,	মাদলা,	মাদলা,	
shaahaabaah,	সাহাবাহ,	সাহাবাহ,	
eukalyptus,	ইউক্যালিপ্টাস,	ইউক্যালিপ্টাস,	
victor,	ভিক্টর,	ভিক্টর,	
shoow,	সু,	শো,	
gondho,	গন্ধ,	গন্ধ,	
hugh,	হুউ,	হিউজ,	
sachetonvabe,	সাচেতনাবে,	সচেতনভাবে,	
abhidhanick,	আভিধানিক,	অভিধানিক,	
bandhubhaabaapanna,	বন্ধুবাবন্ন,	বন্ধুভাবাপন্ন,	
huqa,	হুক,	হুক,	
sofyr,	সফির,	সোফির,	
booroon,	বুরুন,	বোরন,	
oboshore,	অবশরে,	অবসরে,	
palkee,	পালকি,	পাল্কি,	
rupantar,	রূপান্তর,	রুপান্তর,	
codeti,	কদেটি,	কোডটি,	
mookhomaundol,	মুখমন্ডল,	মুখমণ্ডল,	
vishwanath,	বিশ্বনাথ,	বিশ্বনাথ,	
porishongkhanbid,	পরিসংখ্যাংবিদ,	পরিসংখ্যানবিদ,	
bibecchyo,	বিবেচ্য,	বিবেচ্য,	
dhoka,	ঢোকা,	ধোঁকা,	
taronee,	তারণী,	তরণী,	
samanya,	সামান্য,	সামান্য,	
bifal,	বিফল,	বিফল,	
seekkhaou,	শিক্ষাও,	শিক্ষাও,	
moomtajer,	মুমতাজের,	মুমতাজের,	
kompito,	কম্পিত,	কম্পিত,	
karore,	কারে,	কারোর,	
protijogira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
change,	চ্যাঙে,	চেঞ্জ,	
chase,	চাষে,	চেস,	
alankorana,	অলঙ্করণ,	অলঙ্করণ,	
dijeejer,	দিজিজের,	ডিজিজের,	
cinematographar,	সিনোট্যাগ্রাফার,	সিনেমাটোগ্রাফার,	
shashoto,	শাসত,	শাশ্বত,	
shrimoti,	শ্রীমতী,	শ্রীমতি,	
anano,	আনানো,	আনানো,	
rigthter,	রাইথটের,	রাইটের,	
sikkhakder,	শিক্ষাদের,	শিক্ষকদের,	
dipke,	দীপকে,	দ্বীপকে,	
gandogol,	গণ্ডগোলো,	গন্ডগোল,	
horidbar,	হরিদবার,	হরিদ্বার,	
bildara,	বিলদার,	বিল্ডার,	
prakalpagulor,	প্রকলপপগুলোর,	প্রকল্পগুলোর,	
minister,	মিনিস্টার,	মিনিস্টার,	
obosane,	অবসানে,	অবসানে,	
petenter,	পিটেন্টের,	পেটেন্টের,	
highcommissioney,	হাইকমিশনে,	হাইকমিশনে,	
huk,	হুক,	হুক,	
waal,	ওয়াল,	উল,	
kortaam,	করতাম,	করতাম,	
utsahi,	উত্সাহী,	উৎসাহী,	
ceema,	কেম,	সীমা,	
miley,	মিলে,	মাইলে,	
parqing,	পার্কিং,	পার্কিং,	
elakatike,	এলাকাটিকে,	এলাকাটিকে,	
isahak,	ইসহাক,	ইসাহাক,	
venicer,	ভেনিকের,	ভেনিসের,	
gobeshakgon,	গবেষকগণ,	গবেষকগণ,	
chaktir,	চক্তির,	চাকতির,	
haak,	হাক,	হুক,	
patiganit,	পতিগণিত,	পাটিগণিত,	
bhenuser,	ভেনুসের,	ভেনাসের,	
mugdho,	মুগ্ধ,	মুগ্ধ,	
planeti,	প্লানেটি,	প্লেনটি,	
gaphiloti,	গাফিলোটি,	গাফিলতি,	
labanaktatar,	লবনাক্ততার,	লবণাক্ততার,	
shilpojat,	শিল্পজৎত,	শিল্পজাত,	
sikhbe,	শিখবে,	শিখবে,	
gayichhey,	গৈছি,	গাইছে,	
dale,	দলে,	ডালে,	
garner,	গর্নের,	গার্নার,	
kooshumba,	কুশুম্ব,	কুশুম্বা,	
bikretader,	বিক্রাতাদের,	বিক্রেতাদের,	
deqe,	দেকে,	ডেকে,	
soholovyotar,	সহলভ্যাতার,	সহজলভ্যতার,	
euroo,	ইউরো,	ইউরো,	
artilery,	আর্টিলারি,	আর্টিলারি,	
grambasir,	গ্রাম্বাসীর,	গ্রামবাসীর,	
muhurta,	মুহূর্ত,	মুহুর্ত,	
enamel,	ইনামেল,	এনামেল,	
satarkokari,	সতর্ককারী,	সতর্ককারী,	
jillool,	জিল্লুল,	জিল্লুল,	
planea,	প্লেনে,	প্লেনে,	
neelkuthir,	নিলকুঠির,	নীলকুঠির,	
jemy,	জেমি,	জেমি,	
goojober,	গুজবের,	গুজবের,	
uporitaler,	উপরিতালের,	উপরিতলের,	
dearas,	ডিরাশ,	ডিআরএস,	
adhyattikota,	আধ্যাত্তিকতা,	আধ্যাত্মিকতা,	
dobhaar,	দোভার,	ডোভার,	
tet,	টেট,	টেট,	
sharoker,	সরকের,	স্মারকের,	
si,	সি,	এসআই,	
welcome,	ওয়েলচো,	ওয়েলকাম,	
atiteo,	অতিতেও,	অতীতেও,	
militarite,	মিলিটারিতে,	মিলিটারিতে,	
seemaa,	সিমা,	সীমা,	
pratista,	প্রতিষ্টা,	প্রতিষ্টা,	
sampadan,	সম্পাদন,	সম্পাদন,	
upobasher,	উপবাসের,	উপবাসের,	
bhatar,	ভাটার,	ভাতার,	
sqolastiq,	স্কলাস্টিক,	স্কলাস্টিক,	
akmat,	একমত,	একমত,	
spashtotai,	স্পষ্টতাই,	স্পষ্টতই,	
homasa,	হমাসা,	হোমস,	
olpokichudin,	অল্পকিছুদিন,	অল্পকিছুদিন,	
shamook,	শামুক,	শামুক,	
noitikatabodh,	নৈতিকাতবাধ,	নৈতিকতাবোধ,	
show,	সা,	শো,	
dhan,	ধান,	ধ্যান,	
akib,	একিব,	আকিব,	
chhotogolper,	ছোটোগল্পের,	ছোটগল্পের,	
pare,	পারে,	পাড়ে,	
priimoo,	প্রিমু,	প্রিমো,	
modhyostho,	মধ্যস্থ,	মধ্যস্থ,	
nobotom,	নবতম,	নবতম,	
upanishad,	উপনিষাদ,	উপনিষদ,	
graambashi,	গ্রামবাসি,	গ্রামবাসী,	
safin,	সাফিন,	সাফিন,	
shakara,	সাকার,	সাকার,	
parikha,	পরিক্ষা,	পরিখার,	
prachando,	প্রচন্ড,	প্রচণ্ড,	
grambasi,	গ্রাম্বাসী,	গ্রামবাসী,	
nongra,	নংরা,	নোংরা,	
dasha,	দশা,	দোসা,	
veenom,	ভিনম,	ভেনম,	
scoore,	স্কুর,	স্কোর,	
ganoparibahan,	গণপরিবহন,	গণপরিবহন,	
inastyanta,	ইনস্টান্ট,	ইনস্ট্যান্ট,	
dharagulo,	ধারাগুলো,	ধারাগুলো,	
samajer,	সমাজের,	সমাজের,	
sperm,	স্পার্ম,	স্পার্ম,	
bikaargrasto,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
dollu,	দল্লু,	ডলু,	
koreem,	করিম,	করিম,	
tobe,	তবে,	টবে,	
dupleks,	ডুপলেক্স,	ডুপ্লে,	
udbodhoni,	উদ্বধনী,	উদ্বোধনী,	
jokkho,	যক্ষ,	যক্ষ,	
shten,	স্টেন,	স্টেন,	
durotamo,	দুরতম,	দূরতম,	
sahakari,	সহকারি,	সহকারী,	
byakhyatita,	ব্যাখ্যাতিত,	ব্যাখ্যাতীত,	
blyaqa,	ব্ল্যাক,	ব্ল্যাক,	
cheesa,	চেসা,	চেস,	
messenger,	মেসেঙ্গের,	মেসেঞ্জার,	
baysharkarikarone,	বেসরকারিকরণ,	বেসরকারিকরণ,	
daloo,	দালু,	ডালু,	
sumitrar,	সুমিত্রার,	সুমিত্রার,	
otitkaley,	অতিতকালে,	অতীতকালে,	
poojito,	পুজিত,	পুজিত,	
lyaand,	ল্যান্ড,	ল্যান্ড,	
majhari,	মাঝারি,	মাঝারী,	
nischitarupey,	নিশ্চিতারূপে,	নিশ্চিতরূপে,	
anchalti,	অঞ্চলতি,	অঞ্চলটি,	
chyata,	ছায়াট,	চ্যাট,	
bim,	বিম,	বিম,	
chhootee,	ছুটি,	ছুটি,	
changee,	চঙ্গে,	চেঞ্জ,	
mathew,	ম্যাথু,	ম্যাথিউ,	
boner,	বোনের,	বনের,	
iranayer,	ইরানের,	ইরানের,	
bocchon,	বচ্চন,	বচ্চন,	
chalochchitreo,	চলচিত্রেও,	চলচ্চিত্রেও,	
nirikh,	নিরিখ,	নিরিখ,	
monohor,	মনোহর,	মনোহর,	
capshule,	ক্যাপসুল,	ক্যাপসুল,	
jackshon,	যাক্সন,	জ্যাকসন,	
saralya,	সরল্য,	সারল্য,	
syfy,	সিফি,	সাইফাই,	
governerer,	গভর্নরের,	গভর্ণরের,	
sikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
sulphate,	সালফাটে,	সালফেট,	
uzbekistaner,	উজবেকিস্তানের,	উজবেকিস্তানের,	
janamukhi,	জনমুখী,	জনমুখী,	
paramartha,	পরামর্থা,	পরমার্থ,	
sucharita,	সুচারিত,	সুচরিতা,	
chomoski,	চমস্কি,	চমস্কি,	
prakare,	প্রকারে,	প্রকারে,	
loombinee,	লুম্বিনী,	লুম্বিনী,	
apocheshta,	অপচেষ্টা,	অপচেষ্টা,	
