hitaishi,	হিটাইসই,	হিতৈষী,	
panera,	পনেরা,	পনের,	
plator,	প্লটটর,	প্লেটোর,	
ashonkai,	আশঙ্কই,	আশঙ্কাই,	
poromartho,	পরমার্থ,	পরমার্থ,	
qrita,	ক্রিত,	ক্রীট,	
bim,	বিম,	বীম,	
kanaphlikta,	কনফালিক্ট,	কনফ্লিক্ট,	
queery,	কুয়রি,	কোয়েরি,	
nirapottamulok,	নিরাপততামূলক,	নিরাপত্তামূলক,	
filipiner,	ফিলিপিনের,	ফিলিপাইনের,	
unitshoho,	ইনিতসসহ,	ইউনিটসহ,	
oviyojan,	অভিযোজন,	অভিযোজন,	
kortonaa,	কর্তনা,	করতনা,	
internship,	ইন্টার্নশীপ,	ইন্টার্নশিপ,	
engrejder,	ইংরেজদের,	ইংরেজদের,	
rena,	রেইন,	রেনো,	
jhalkathee,	ঝালকাঠি,	ঝালকাঠী,	
drissotir,	দৃশ্যটির,	দৃশ্যটির,	
miley,	মিলি,	মাইলে,	
bard,	বরর্ড,	বার্ড,	
karleo,	করলেও,	করলেও,	
roopa,	রূপা,	রুপা,	
kiuti,	কিউটি,	কিউটি,	
magical,	ম্যাজিক্যাল,	ম্যাজিকাল,	
jemske,	জিমসকে,	জেমসকে,	
ved,	ভেড,	বেদ,	
phormat,	ফর্মত,	ফরম্যাট,	
saqara,	সাকার,	সাকার,	
eksathei,	একসাথেই,	একসাথেই,	
lokkhero,	লক্ষ্যেরও,	লক্ষেরও,	
teresa,	তেরেসা,	টেরেসা,	
eshiyatiqa,	এশিয়টিক,	এশিয়াটিক,	
plane,	প্লেয়ন,	প্লেন,	
rajpur,	রাজপুর,	রাজপুর,	
daackticketer,	ডাক্তিকেটের,	ডাকটিকিটের,	
poddhotiteyi,	পদ্ধতিতেই,	পদ্ধতিতেই,	
majlish,	মজলিশ,	মজলিশ,	
chutir,	ছুটির,	ছুটির,	
jatota,	যতটা,	যতোটা,	
leta,	লাইট,	ল্যাটা,	
deeyenes,	ডেইনেস,	ডিএনএস,	
deefinishion,	ডেফিনিশন,	ডেফিনেশন,	
oporishodhito,	অপরিধোধিত,	অপরিশোধিত,	
moqam,	মোকাম,	মোকাম,	
sangkalanti,	সংকলানটি,	সংকলনটি,	
harbour,	হারবার,	হারবার,	
antarvuktimulak,	অন্তর্মাতিমূলক,	অন্তর্ভুক্তিমূলক,	
dhache,	ঢাচে,	ধাঁচে,	
fokshkon,	ফক্ষক,	ফক্সকন,	
bondiike,	বন্ডিকে,	বন্দীকে,	
vittiteow,	ভিত্তিতেও,	ভিত্তিতেও,	
saida,	সাইড,	সাইদা,	
nirapekkho,	নিরাপেক্ষ,	নিরপেক্ষ,	
sudrissho,	সুদৃশ্য,	সুদৃশ্য,	
nodiitei,	নদীতেই,	নদীতেই,	
bikretaara,	বিক্রেটার,	বিক্রেতারা,	
onodhikar,	অনোধিকার,	অনধিকার,	
uporoshtho,	উপরুষ্ঠ,	উপরস্থ,	
sherup,	শেরুপ,	সেরূপ,	
bbonyopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
bagdade,	বাগদদে,	বাগদাদে,	
azimpur,	আজিমপুর,	আজিমপুর,	
rajballabh,	রাজলবলভ,	রাজবল্লভ,	
soourse,	সুর্স,	সোর্স,	
jees,	জিস,	জেস,	
nirarthok,	নিরার্থক,	নিরর্থক,	
timathi,	টিমাথি,	টিমোথি,	
sausaje,	সৌসে,	সসেজ,	
boner,	বোনের,	বনের,	
tourist,	তররিষ্ট,	টুরিস্ট,	
gezeted,	গেজেটেড,	গেজেটেড,	
rachanakal,	রচনাকাল,	রচনাকাল,	
chalochchitroi,	চলচ্চিত্রই,	চলচ্চিত্রই,	
mousum,	মৌসুম,	মৌসুম,	
proteemake,	প্রতিমাকে,	প্রতিমাকে,	
natshi,	নাৎসি,	নাত্সি,	
hugeke,	হুগেকে,	হিউজকে,	
krisenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
canal,	ক্যানাল,	ক্যানেল,	
shangkaloner,	সঙ্কলনের,	সংকলনের,	
gambasi,	গম্বাসী,	গ্রামবাসী,	
beshirbhagi,	বেশীরভাগই,	বেশিরভাগই,	
parry,	প্যারি,	পেরি,	
somoshtike,	সমস্তিকে,	সমষ্টিকে,	
pratijogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
shcholashtic,	স্কলাস্টিক,	স্কলাস্টিক,	
ponthar,	পন্থার,	পন্থার,	
krisenter,	ক্রিজেন্টের,	ক্রিসেন্টের,	
sedikei,	সেদিকেই,	সেদিকেই,	
bhabuk,	ভাবুক,	ভাবুক,	
akshoti,	অকশতি,	একশোটি,	
hishaber,	হিসাবের,	হিসাবের,	
pratista,	প্রতিশটা,	প্রতিষ্টা,	
siqh,	শিখ,	শিখ,	
khanankaj,	খননকাজ,	খননকাজ,	
sommoteete,	সম্মতিতে,	সম্মতিতে,	
dembakreeti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
sakshatkarer,	সাক্ষাতকারের,	সাক্ষাৎকারের,	
governerer,	গভর্নরের,	গভর্ণরের,	
prostutkarak,	প্রস্তুতকারক,	প্রস্তুতকারক,	
laj,	লজ,	লাজ,	
ameerica,	অ্যামেরিকা,	আমেরিকা,	
dharabahiktir,	ধারাবািতিকের,	ধারাবাহিকটির,	
khargoser,	খররগসের,	খরগোসের,	
garmanyteo,	জার্মানিতেও,	জার্মানিতেও,	
raitasa,	রাইটাস,	রাইটস,	
drissoteer,	দৃশ্যশিতির,	দৃশ্যটির,	
sotorko,	সতর্ক,	সতর্ক,	
drishtir,	দৃষ্টির,	দৃশ্যটির,	
akkhar,	অক্ষার,	অক্ষর,	
tyapa,	ট্যাপ,	ট্যাপ,	
tarbiner,	তারবিনের,	টারবাইনের,	
phalah,	ফালা,	ফালাহ,	
chedropathe,	চেদ্রপথে,	ছিদ্রপথে,	
johnsh,	জনস,	জন্স,	
toubaar,	টাওবার,	তওবার,	
salsa,	সালসা,	সালসা,	
rajnaiteek,	রাজনৈতিক,	রাজনৈতীক,	
noditei,	নদদিতেই,	নদীতেই,	
qrisenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
jhijhi,	ঝিহি,	ঝিঝি,	
meghnadbodh,	মেঘানদোধ,	মেঘনাদবধ,	
prodiip,	প্রদিপ,	প্রদীপ,	
bhejano,	ভেজানো,	ভেজানো,	
sainyasaha,	সৈন্যাসহ,	সৈন্যসহ,	
shikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
kareer,	কারীর,	কারীর,	
angshogragon,	অংশগ্রগণ,	অংশগ্রহন,	
taurist,	তরুষ্ট,	টুরিস্ট,	
stoner,	স্তনের,	স্টোনের,	
spreadsiit,	স্প্রডসিয়েট,	স্প্রেডশীট,	
phareksa,	ফরেক্স,	ফরেক্স,	
ekaar,	একার,	একার,	
shilpojaat,	শিল্পজাত,	শিল্পজাত,	
khoka,	খোক,	খোকা,	
komatei,	কমাতেই,	কমাতেই,	
mulvitti,	মুল্ভিত্তি,	মূলভিত্তি,	
bodhirta,	বোধিরতা,	বধিরতা,	
noditir,	নদীতীর,	নদীটির,	
dharavassokar,	ধারাভাষ্যকার,	ধারাভাষ্যকার,	
abheedhanic,	অভিধানিক,	অভিধানিক,	
juddhahato,	যুদ্ধহত,	যুদ্ধাহত,	
shayanaida,	সাইনযাইড,	সায়ানাইড,	
kushumba,	কুসুম্ব,	কুশুম্বা,	
agamaner,	আগামানের,	আগমনের,	
panchbar,	পাঁচবার,	পাঁচবার,	
sangasthagulo,	সংস্থগুলো,	সংস্থাগুলো,	
lutharen,	লুঠারেন,	লুথেরান,	
satarko,	স্বতার্ক,	সতর্ক,	
telaakucha,	তেলাকুচা,	তেলাকুচা,	
naagaaland,	নাগল্যান্ড,	নাগাল্যান্ড,	
dabhara,	দাভার,	ডোভার,	
monoputo,	মনপুত,	মনঃপুত,	
seatey,	সিটে,	সিটে,	
bhaskar,	ভস্কর,	ভাস্কর,	
sipht,	সিফট,	শিফট,	
kaantojir,	কান্তজীর,	কান্তজির,	
chhutochhooti,	ছুটুছুটি,	ছুটোছুটি,	
stoonehenge,	স্টুনেঙ্গে,	স্টোনহেঞ্জ,	
oncholgoolote,	অঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
karore,	কারে,	কারোর,	
ragee,	রাগী,	রাগী,	
horidbar,	হরিদবার,	হরিদ্বার,	
gasthike,	গ্যাস্থিকে,	গোষ্ঠীকে,	
jilyaand,	জিল্যান্ড,	জিল্যান্ড,	
stena,	স্টেইন,	স্টেন,	
bamonder,	বামনদের,	বামনদের,	
dipgulote,	দিপ্লগুতে,	দ্বীপগুলোতে,	
tigers,	টিজার্স,	টাইগার্স,	
de,	ডে,	ডে,	
parker,	পার্কার,	পার্কের,	
pushteer,	পুষ্টির,	পুষ্টির,	
konan,	কোনন,	কোনান,	
dibating,	দিবতিং,	ডিবেটিং,	
daktickete,	ডাকটিকেতে,	ডাকটিকিটে,	
ganohotyake,	গণহত্যাকে,	গণহত্যাকে,	
ostad,	অস্তাদ,	ওস্তাদ,	
bosoben,	বসবেন,	বসবেন,	
pyatarne,	প্যাটার্ন,	প্যাটার্নে,	
chaalkee,	চালকি,	চালকে,	
inphormeshon,	ইনফ্রমেশন,	ইনফরমেশন,	
baireo,	বৈরেও,	বাইরেও,	
expression,	এক্সপ্রেশন,	এক্সপ্রেশন,	
uipokar,	উইপকার,	উইপোকার,	
perri,	প্যারি,	পেরি,	
ghotol,	ঘটল,	ঘটল,	
shikarer,	শিকারের,	শিকারের,	
pudinn,	পুদিন,	পুডিং,	
jolatonko,	জলতাঙ্ক,	জলাতঙ্ক,	
bishnuu,	বিষ্ণু,	বিষ্ণু,	
orbiit,	আরবিট,	অরবিট,	
jatiinke,	জটিনকে,	যতীনকে,	
cyphy,	ক্যাফি,	সাইফাই,	
diphinishion,	ডিফিনিশন,	ডেফিনেশন,	
footbalarer,	ফুটবলারের,	ফুটবলারের,	
udbhabaker,	উদ্ভবকের,	উদ্ভাবকের,	
firoze,	ফিরোজে,	ফিরোজ,	
tarkareer,	তরকারীর,	তরকারীর,	
upobaashee,	উপবাসী,	উপবাসী,	
planea,	প্লেনে,	প্লেনে,	
ray,	রে,	রায়,	
tafasir,	তফসির,	তাফসীর,	
manob,	মানব,	মানব,	
deool,	ডিওল,	দেউল,	
avatar,	অভাতার,	অবতার,	
bolbo,	বলব,	বলবো,	
anan,	অ্যানন,	আনান,	
sthapanagulor,	স্থাপনারগুলোর,	স্থাপনাগুলোর,	
masjid,	মস্জিদ,	মসজিদ,	
tochnoch,	টোচ্ছচ,	তছনছ,	
siddhante,	সিদ্ধান্তে,	সিদ্ধান্তে,	
bidghutey,	বিদ্ঘুতে,	বিদঘুটে,	
sainyasoho,	সৈন্যাসহ,	সৈন্যসহ,	
siddhantoi,	সিদ্ধান্তই,	সিদ্ধান্তই,	
shhikar,	শিকার,	শিকার,	
gobeshokgon,	গবেষকগণ,	গবেষকগণ,	
zonite,	যোনিতে,	যোনীতে,	
treenda,	ট্রেন্ড,	ট্রেন্ড,	
ponnee,	পন্যে,	পন্নী,	
bo,	বো,	বু,	
choudhoorider,	চৌধুরিদের,	চৌধুরীদের,	
bihar,	বিহার,	বিহার,	
graambaashee,	গ্রামবাসী,	গ্রামবাসী,	
antorvuktimulak,	অন্তর্ভাতিমূলক,	অন্তর্ভুক্তিমূলক,	
ekbakye,	একবাকে,	একবাক্যে,	
zommu,	জম্মু,	জম্মু,	
kamla,	কমলা,	কামলা,	
tarani,	তরাণী,	তরণী,	
guzober,	গুজবের,	গুজবের,	
khilaphat,	খিলাফাত,	খিলাফত,	
jonoikaa,	জনৈকা,	জনৈকা,	
torabganj,	তরব্যগঞ্জ,	তোরাবগঞ্জ,	
seekkharthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
ispredsit,	স্প্রেসড্রিট,	স্প্রেডশীট,	
grip,	গ্রিপ,	গ্রিপ,	
sanghorsheek,	সংঘর্ষিক,	সাংঘর্ষিক,	
anchalgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
ahang,	আহং,	অহং,	
bagdader,	বাগদদের,	বাগদাদের,	
charukala,	চরুকালা,	চারুকলা,	
set,	সেট,	সিট,	
adbhanshd,	অ্যাডভান্ডস,	অ্যাডভান্সড,	
roktokshoroney,	রক্তক্রসণে,	রক্তক্ষরণে,	
mukhomandaler,	মুখমন্ডলের,	মুখমণ্ডলের,	
aanhu,	আন্ু,	আনহু,	
baugey,	বাউে,	বাগে,	
potchitro,	পতচিত্র,	পটচিত্র,	
drishyoi,	দৃশ্যই,	দৃশ্যই,	
sangasthaner,	সংস্থানের,	সংস্থানের,	
atyacharer,	অট্যাচারের,	অত্যাচারের,	
aachees,	আচেস,	আছিস,	
seector,	সিক্টর,	সেক্টর,	
leader,	লেডের,	লিডার,	
moreecha,	মরেছা,	মরিচা,	
satarka,	স্টার্ক,	সতর্ক,	
monu,	মনু,	মনু,	
tottobar,	তত্ত্ববার,	তওবার,	
silver,	শিলভের,	সিলভার,	
vejjanno,	ভেজন্য,	ভেজানো,	
nikate,	নিকাতে,	নিকটে,	
emgee,	এমজি,	এমজি,	
conflikt,	কনল্লিক্ট,	কনফ্লিক্ট,	
rinattok,	ঋণাত্মক,	ঋনাত্মক,	
rautine,	রাউটিন,	রুটিন,	
neemitto,	নিমিত্য,	নিমিত্ত,	
proshtotto,	প্রস্তত্ত্ব,	প্রস্ত্তত,	
kartana,	করর্টন,	করতনা,	
shangstha,	সংস্থ,	সংস্থা,	
bhaibon,	ভাবন,	ভাইবোন,	
dhhaaloor,	ঢালুর,	ঢালুর,	
mausumei,	মসসুমেই,	মৌসুমেই,	
simmons,	সিম্নসন্স,	সিমন্স,	
aashtikota,	আস্তিকতা,	আস্তিকতা,	
protimar,	প্রতিমার,	প্রতিমার,	
roialti,	রোলটি,	রয়্যালটি,	
dologulo,	দলগুলো,	দলগুলো,	
abortey,	আবর্তে,	আবর্তে,	
day,	ডে,	ডে,	
aasar,	আসার,	আসর,	
vabotarini,	ভাবতারিণী,	ভবতারিণী,	
prozononkal,	প্রজননক্াল,	প্রজননকাল,	
chetnagato,	চিত্নগত,	চেতনাগত,	
byatari,	ব্যাটারি,	ব্যাটারী,	
safin,	সফিন,	সাফিন,	
udvaboni,	উদ্ভাবনী,	উদ্ভাবনী,	
shcholastiq,	স্কলাস্টিক,	স্কলাস্টিক,	
keyboard,	কেবোর্ড,	কীবোর্ড,	
paite,	পাইতে,	পাইতে,	
bekey,	বেকে,	বেঁকে,	
asammati,	অসম্মতি,	অসম্মতি,	
enamel,	ইনামেল,	এনামেল,	
potcheetrer,	পতচিত্রের,	পটচিত্রের,	
rajbondir,	রাজনবদির,	রাজবন্দীর,	
odhuna,	অধুন,	অধুনা,	
flux,	ফ্লাক্স,	ফ্লাস্ক,	
mojlis,	মজলিস,	মজলিশ,	
marathi,	মারাঠি,	মরাঠি,	
venam,	ভেনাম,	ভেনম,	
olongkaron,	অলঙ্কারণ,	অলঙ্করণ,	
eekbaler,	একবালের,	ইকবালের,	
ganoporibahoner,	গণপরিবহনের,	গণপরিবহনের,	
alankaran,	অলঙ্করণ,	অলঙ্করণ,	
dargah,	দর্গা,	দরগাহ,	
estoonia,	এস্টোনিয়া,	এস্তোনিয়া,	
hitokor,	হিতকর,	হিতকর,	
tikka,	টিক্ক,	টিক্কা,	
conistho,	কনিষ্ঠ,	কনিষ্ঠ,	
dristihin,	দৃষ্টিহীন,	দৃষ্টিহীন,	
arakaner,	আরাকণের,	আরাকানের,	
joubonbotee,	যৌববন্তী,	যৌবনবতী,	
chalai,	চলাই,	চালাবে,	
ashanka,	আশঙ্ক,	আশঙ্কা,	
nitikotha,	নিতিকথা,	নীতিকথা,	
grambasi,	গ্রামবাসী,	গ্রামবাসী,	
oodoore,	উদুরে,	অদুরে,	
stationey,	স্টেশনে,	ষ্টেশনে,	
gandhiir,	গন্ধীর,	গান্ধীর,	
messenjer,	মেশেঞ্জের,	মেসেঞ্জার,	
phulkapi,	ফুলকাপি,	ফুলকপি,	
deputii,	ডিপুটি,	ডেপুটি,	
batsman,	বটসম্যান,	ব্যাটসম্যান,	
starcer,	স্টার্সের,	স্টার্কের,	
tahalo,	তালা,	তাহলো,	
lampot,	ল্যাম্পট,	লম্পট,	
taki,	টাকি,	তকি,	
madhuree,	মধুরি,	মাধুরী,	
meghachonno,	মেঘাচন্ন,	মেঘাচ্ছন্ন,	
ajibonoer,	আজীবনের,	আজীবনের,	
konader,	কোনদের,	কণাদের,	
poripake,	পরিপকে,	পরিপাকে,	
marqetim,	মার্কেটিং,	মার্কেটিং,	
bosontokke,	বসন্তককে,	বসন্তকে,	
teenisa,	টেনিস,	টেনিস,	
shatoker,	শততকের,	শতকের,	
hanttey,	হাঁটে,	হাঁটতে,	
panchashjan,	পঞ্চাশজান,	পঞ্চাশজন,	
maarmader,	মারমাদের,	মারমাদের,	
probhu,	প্রভূ,	প্রভু,	
sahojlabhbhatar,	সহজাতভভবতার,	সহজলভ্যতার,	
brekethru,	ব্রেকেঠ্রু,	ব্রেকথ্রু,	
maradeha,	মারাদেহ,	মরদেহ,	
fooloo,	ফুলু,	পোলো,	
drisser,	দৃশ্যের,	দৃশ্যের,	
vogini,	ভোগিনী,	ভগিনী,	
juboksaho,	যুবস্ক,	যুবকসহ,	
hebhee,	হেভি,	হেভি,	
chapal,	চপাল,	চপল,	
talgach,	তলগাছ,	তালগাছ,	
braille,	ব্রেলে,	ব্রেইল,	
obhijojon,	অভিযোজন,	অভিযোজন,	
sossar,	সস্যার,	সকার,	
aakkas,	আক্াশ,	আককাস,	
eqsapreshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
shomraatder,	সম্রাতদের,	সম্রাটদের,	
nesons,	নেশন্স,	নেশনস,	
tat,	তৎ,	তাত,	
coode,	কোড,	কোড,	
dephinition,	ডেফিনিশন,	ডেফিনেশন,	
uinndos,	উইন্ডোস,	উইন্ডোস,	
lojic,	লোজিক,	লজিক,	
sobrokomer,	সব্রকমের,	সবরকমের,	
estaniya,	এস্টেনিয়া,	এস্তোনিয়া,	
bibechya,	বিবেচ্য,	বিবেচ্য,	
jeelyand,	জিল্যান্ড,	জিল্যান্ড,	
bheenisa,	ভেনিস,	ভেনিস,	
depp,	ডিপ,	ডেপ,	
gorur,	গরুর,	গরুর,	
ragi,	রাগী,	রাগী,	
vabanir,	ভবনীর,	ভবানীর,	
purbanchaler,	পূর্বাঞ্চলের,	পূর্বাঞ্চলের,	
ustaad,	উষ্তাদ,	উস্তাদ,	
silabhara,	সিলভার,	সিলভার,	
turbiner,	তুরবিনের,	টারবাইনের,	
khaamba,	ক্ষম্ব,	খাম্বা,	
monjiley,	মঞ্জিলে,	মঞ্জিলে,	
mukhomondol,	মুখমন্ডল,	মুখমণ্ডল,	
shithilota,	সিথিলতা,	শিথিলতা,	
asociatis,	অ্যাসোটিয়েশ,	এসোসিয়েটস,	
baruklin,	ব্যারুলিক,	ব্রুকলিন,	
shyutara,	স্টুটার,	শ্যুটার,	
ajeejer,	আজিজের,	আজিজের,	
shanstha,	সন্থস্থ,	সংস্থা,	
foxcon,	ফক্সক,	ফক্সকন,	
madraser,	মাদরাসের,	মাদ্রাজের,	
chirota,	চিরতা,	চিরতা,	
parqim,	পার্কিম,	পার্কিং,	
khoor,	খুর,	ক্ষুর,	
jaistho,	জৈষ্ঠ্য,	জ্যৈষ্ঠ,	
dorgah,	দরগা,	দরগাহ,	
neutrina,	নিউট্রিন,	নিউট্রিনো,	
somraatder,	সম্রাতদের,	সম্রাটদের,	
prithibir,	পৃথিবীর,	পৃথবীর,	
koyari,	কোয়ারি,	কোয়েরি,	
songbadmadhyamgulote,	সংবদ্ধামগুলোতে,	সংবাদমাধ্যমগুলোতে,	
nobotomo,	নবতম,	নবতম,	
turky,	টার্কি,	তুর্কি,	
matriroop,	মাত্রীপূর,	মাতৃরূপ,	
americar,	অ্যামিরিকার,	আমেরিকার,	
porjotoker,	পর্যতকের,	পর্যটকের,	
jalbe,	জলবে,	জ্বলবে,	
labonaaktotaar,	লবনাক্ততা,	লবণাক্ততার,	
doorotomo,	দুরতম,	দূরতম,	
plak,	প্লক,	প্ল্যাক,	
baasake,	বাসাকে,	বাসাকে,	
overveu,	ওভার্ভিউ,	ওভারভিউ,	
brindaa,	ব্রিন্ড,	বৃন্দা,	
masjidtikey,	মজস্িদটিকে,	মসজিদটিকে,	
chhotto,	ছট্ট,	ছোট্ট,	
aro,	অরো,	আরও,	
bhalobasar,	ভালবাসার,	ভালোবাসার,	
kaash,	কাস,	কাস,	
jacker,	জকের,	জ্যাকের,	
kasper,	কাষ্পের,	ক্যাসপার,	
rajshri,	রাজস্রই,	রাজশ্রী,	
aalkatra,	আলকাত্রা,	আলকাতরা,	
primo,	প্রীমো,	প্রিমো,	
abadamaner,	অবদমানের,	অবদমনের,	
cholchhee,	চলছি,	চলছে,	
skalastik,	স্কলাস্টিক,	স্কলাস্টিক,	
machgulo,	মাছগুলো,	মাছগুলো,	
tuso,	টাস,	তুসো,	
manahputa,	মনন্পুত,	মনঃপুত,	
kathhmandute,	কাঠান্ডুতে,	কাঠমান্ডুতে,	
akrup,	একরূপ,	একরূপ,	
bisnooke,	বিষ্ণুকে,	বিষ্ণুকে,	
elaakaa,	ইলাকা,	এলাকা,	
jor,	জোর,	জ্বর,	
barbe,	বর্বে,	বাড়বে,	
ssumoo,	সুমু,	সুমো,	
militari,	মিলিটারী,	মিলিটারি,	
gobeshanagar,	গবেষণাগার,	গবেষনাগার,	
pathkram,	পাঠক্রম,	পাঠক্রম,	
boopon,	বুপন,	বপন,	
jolaatonko,	জলাতঙ্ক,	জলাতঙ্ক,	
tanoo,	তানু,	তনু,	
cooling,	কলিং,	কুলিং,	
bodna,	বদনা,	বদনা,	
raktaksharaney,	রক্তকারণে,	রক্তক্ষরণে,	
wenus,	ভেযান,	ভেনাস,	
basaalt,	বসললট,	ব্যাসল্ট,	
kurdider,	কুরদদির,	কুর্দিদের,	
karmajog,	কর্মযোগ,	কর্মযোগ,	
ashongkai,	অসংকাই,	আশঙ্কাই,	
cantan,	কননটন,	ক্যান্টন,	
siropa,	শিরোপা,	শিরোপা,	
sointoder,	সৈন্তদের,	সৈন্যদের,	
santoshe,	সানততে,	সন্তোষে,	
bhumija,	ভূমিজা,	ভূমিজ,	
ishton,	ইস্টন,	স্টোন,	
lendol,	লেন্ডল,	লেন্ডল,	
coda,	কোদ,	কোডা,	
itostatah,	ইতত্তাা,	ইতস্ততঃ,	
prabhritite,	প্রভৃতিতে,	প্রভৃতিতে,	
holdim,	হোল্ডিং,	হোল্ডিং,	
saaed,	সাঈদ,	সাইদ,	
kaferder,	কাফেরদের,	কাফেরদের,	
kathmandutey,	কাঠান্ডুতে,	কাঠমান্ডুতে,	
atyachari,	অট্যাচারী,	অত্যাচারী,	
kriita,	ক্রীট,	ক্রীট,	
prokare,	প্রকারে,	প্রকারে,	
digreeke,	ডিগ্রীকে,	ডিগ্রিকে,	
shringe,	শ্রীঙ্গে,	শৃঙ্গে,	
satthikata,	সাথিকতা,	সঠিকতা,	
durgandho,	দুর্ঘন্ধ,	দুর্গন্ধ,	
sajano,	সাজানো,	সাজানো,	
raiialati,	রাইলাটি,	রয়্যালটি,	
pratijogider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
kalkarkhana,	কলাক্ষণা,	কলকারখানা,	
abheedhaaneec,	অভিধানিক,	অভিধানিক,	
bauger,	বাউগের,	বাগের,	
poster,	পোস্টার,	পোস্টের,	
rakshanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
shikha,	শিখা,	শিখ,	
sovanetree,	সভানেত্রী,	সভানেত্রী,	
nirabota,	নীরবতা,	নিরবতা,	
chatrorai,	ছাত্রইাই,	ছাত্ররাই,	
indraa,	ইন্দ্রা,	ইন্দ্র,	
qyapasula,	ক্যাপসুল,	ক্যাপসুল,	
adhattik,	আধ্যাত্তিক,	আধ্যাত্মিক,	
valobasa,	ভালবাসা,	ভালোবাসা,	
kooyartara,	কোয়ার্টার,	কোয়ার্টার,	
rajatwa,	রাজত্ব,	রাজত্ব,	
cholochchitra,	চলচ্চিত্র,	চলচ্চিত্র,	
bhenicer,	ভেনিকের,	ভেনিসের,	
abheedhaner,	অভিধানের,	অভিধানের,	
michhilti,	মিচিলটি,	মিছিলটি,	
patthon,	পাঠন,	পঠন,	
shayatana,	সাইটন,	শয়তান,	
taalal,	তালাল,	তালাল,	
jomkalo,	জম্কালো,	জমকালো,	
sheshardhe,	শেষর্ধে,	শেষার্ধে,	
konflikt,	কনলিক্ট,	কনফ্লিক্ট,	
radhanagar,	রাধানগর,	রাধানগর,	
aaminar,	আমিনার,	আমিনার,	
tikta,	টিকটা,	তিক্ত,	
rajatta,	রাজত্ব,	রাজত্ব,	
venuser,	ভেনাসের,	ভেনাসের,	
inziniyarsa,	ইন্জিনিয়্র্স,	ইঞ্জিনিয়ার্স,	
doojoo,	ডজু,	ডোজো,	
bhittiti,	ভিত্তিটি,	ভিত্তিটি,	
aswastikar,	অস্বস্তিকার,	অস্বস্তিকর,	
matte,	মাতে,	ম্যাট,	
monchostho,	মঞ্চস্থ,	মঞ্চস্থ,	
bholapuqa,	ভলাপুকা,	ভোলাপুক,	
nothivukteer,	নথিভুক্তির,	নথিভুক্তির,	
reeliancee,	রিলিয়েন্সি,	রিলায়েন্স,	
mosjidkey,	মজ্িদদে,	মসজিদকে,	
algorithm,	অ্যালগরিদম,	এলগরিদম,	
plaiin,	প্লেইন,	প্লেন,	
norpholk,	নর্ফলক,	নরফোক,	
udbhabane,	উদ্ভবনে,	উদ্ভাবনে,	
nirmaankaaj,	নির্মাণকাজ,	নির্মাণকাজ,	
hiper,	হিপার,	হাইপার,	
naarsari,	নার্সরী,	নার্সারি,	
vugoley,	ভূগলে,	ভূগোলে,	
bikaargrasta,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
sikkhagoto,	শিক্ষাগত,	শিক্ষাগত,	
pooding,	পুদিং,	পুডিং,	
protistha,	প্রতিষ্ঠা,	প্রতিষ্টা,	
hughkey,	হুঘকে,	হিউজকে,	
moushumei,	মৌসুমেই,	মৌসুমেই,	
uponeesoder,	উপনিসদের,	উপনিষদের,	
zubokder,	যুবকদের,	যুবকদের,	
nabyota,	নাব্যতা,	নাব্যতা,	
abosore,	অবসরে,	অবসরে,	
dines,	ডাইনেস,	দীনেশ,	
heenna,	হিন্ন,	হেনা,	
chutochuti,	চুটচুটি,	ছুটোছুটি,	
nogonno,	নগগন্য,	নগণ্য,	
swasti,	স্বস্তি,	স্বস্তি,	
konisttha,	কনিষ্ঠ,	কনিষ্ঠ,	
bhotara,	ভোটার,	ভোটার,	
aap,	আপ,	আপ,	
harja,	হর্জ,	হার্জ,	
nirau,	নিরাও,	নির,	
potchitra,	পতচিত্রা,	পটচিত্র,	
itostato,	ইটস্টট,	ইতস্ততঃ,	
uthe,	উঠে,	উঠে,	
siropar,	সিরোপর,	শিরোপার,	
chaaktir,	চাকটির,	চাকতির,	
agovir,	অগভীর,	অগভীর,	
bastubad,	বস্তুবাদ,	বস্তুবাদ,	
haipara,	হাইপার,	হাইপার,	
parisankhanvid,	পরিসংবান্ধীদ,	পরিসংখ্যানবিদ,	
shaarthe,	স্বার্থে,	স্বার্থে,	
ghetu,	ঘেতু,	ঘেটু,	
tinbhager,	তিনভাগের,	তিনভাগের,	
thare,	থেয়ার,	থরে,	
baikalya,	বিকল্য,	বৈকল্য,	
brail,	ব্রেইল,	ব্রেইল,	
beda,	বিড,	বেদ,	
chhatogolpe,	ছোটোলগ্পে,	ছোটগল্পে,	
parinati,	পরিনতি,	পরিণতি,	
