aatto,	আত্ত্ব,	আত্ম,	
amor,	আমর,	আমর,	
zuktorastre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
dweepgoolo,	দ্বীলপুলো,	দ্বীপগুলো,	
cholochchitroi,	চলচ্ত্রি,	চলচ্চিত্রই,	
saarbharer,	সার্ভারের,	সার্ভারের,	
chandrimaa,	চন্দ্রীমা,	চন্দ্রিমা,	
aper,	এপের,	আপের,	
sabchey,	সবছে,	সবচে,	
hajarer,	হাজারের,	হাজারের,	
duburyra,	দুবুরিরা,	ডুবুরিরা,	
amarjita,	অমর্জিত,	অমার্জিত,	
songhitar,	সং্ঘিতার,	সংহিতার,	
dorgaho,	দর্গা,	দরগাহ,	
meetropalitana,	মেট্রোপেশন,	মেট্রোপলিটন,	
narsari,	নার্সারী,	নার্সারি,	
sikha,	শিখা,	শিখ,	
byaran,	ব্যারন,	ব্যারন,	
remacry,	রেম্কারি,	রেমাক্রী,	
charukola,	চারুকাল,	চারুকলা,	
dii,	দি,	দিই,	
through,	থ্রাউ,	থ্রু,	
dayitta,	দৈত্য,	দায়িত্ব,	
railliner,	রেলিনের,	রেললাইনের,	
ashiatic,	অস্যাটিক,	এশিয়াটিক,	
skalarashipa,	স্কলারশিপ,	স্কলারশিপ,	
poorohitder,	পুরোহিদদের,	পুরোহিতদের,	
prakalpatikey,	প্রকল্পাতিকে,	প্রকল্পটিকে,	
purohitke,	পুরহ্তিকে,	পুরোহিতকে,	
wenice,	ভেনিক্স,	ভেনিস,	
eukalyptush,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
directorete,	ডিরেক্টরে,	ডিরেক্টরেট,	
naajee,	নাজই,	নাত্সি,	
sudrishya,	সাদৃর্য,	সুদৃশ্য,	
pratista,	প্রতিষ্ট,	প্রতিষ্টা,	
heebhi,	হেভি,	হেভি,	
mozdoor,	মজ্ডুর,	মজদুর,	
siropa,	শিরাপ,	শিরোপা,	
koyeri,	কোয়েরই,	কোয়েরি,	
rupdan,	রূপদান,	রুপদান,	
karmoi,	কর্মই,	কর্মই,	
utsahamulok,	উৎসহমূলক,	উৎসাহমূলক,	
heightsh,	হেই্সস,	হাইটস,	
bhabnar,	ভাবার,	ভাবনার,	
hotochokeeto,	হতাককিত,	হতচকিত,	
saralya,	সাল্লা,	সারল্য,	
oopohoron,	অপহরণ,	অপহরন,	
geans,	জিন্স,	জিন্স,	
sossar,	শস্যর,	সকার,	
zojyota,	যোজ্যতা,	যোজ্যতা,	
samashtigata,	সমস্তিগুগত,	সমষ্টিগত,	
grauth,	গ্রাউট,	গ্রোথ,	
udbhabane,	উদ্ভবানে,	উদ্ভাবনে,	
avisongson,	অভিশংস্,	অভিশংসন,	
ostad,	অষ্টাদ,	ওস্তাদ,	
second,	সেকেন্ড,	সেকেণ্ড,	
abosan,	আবাসন,	অবসান,	
alexandarkey,	আলেক্সান্রকে,	আলেকজান্ডারকে,	
jyakashana,	জ্কাশানা,	জ্যাকসন,	
nagorikota,	নাগরিকতা,	নাগরিকতা,	
ustaad,	উষ্টাদ,	উস্তাদ,	
bojhao,	বোঝাও,	বোঝাও,	
iqbaler,	ইকালের,	ইকবালের,	
format,	ফরমাট,	ফরম্যাট,	
loker,	লোকের,	লকের,	
jeshh,	জেস,	জেস,	
augustine,	অগাস্টিনে,	অগাস্টিন,	
ministara,	মিনিস্টার,	মিনিস্টার,	
shukna,	শুকনা,	শুকনা,	
atok,	অটোক,	আটক,	
siiter,	সীতের,	শীতের,	
damone,	দামনে,	দমনে,	
amarendra,	আমােন্দ্র,	অমরেন্দ্র,	
phakay,	ফকে,	ফাকে,	
janosangyog,	জনসংগ্য,	জনসংযোগ,	
de,	দে,	ডে,	
jemi,	জেমি,	জেমি,	
azibon,	আজিবন,	আজীবন,	
prakalpoo,	প্রকালপ,	প্রকল্পও,	
duple,	দাপ্লে,	ডুপ্লে,	
nagorikera,	নাগরিকেরা,	নাগরিকেরা,	
bolechiley,	বলেছিলে,	বলেছিলে,	
qanaphliqta,	কনলাল্ক্ট,	কনফ্লিক্ট,	
neker,	নেকের,	নেকের,	
eenjeel,	ইঞ্জেল,	ইঞ্জিল,	
bujhechhila,	বুঝেছেল,	বুঝেছিল,	
hyariqena,	হ্যারিকেন,	হ্যারিকেন,	
shuri,	সুরি,	সুরি,	
bairer,	বেরের,	বাইরের,	
amar,	আমার,	আমর,	
mookhomaundoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
asamorthito,	অসমর্থিত,	অসমর্থিত,	
agomone,	আগমনে,	আগমনে,	
niro,	নিরো,	নির,	
choudhooreeke,	চৌধুদিরে,	চৌধুরীকে,	
benis,	বেনিস,	ভেনিস,	
prakalpaguli,	প্রকালপাগ্লি,	প্রকল্পগুলি,	
debodebi,	দেবদেবী,	দেবদেবী,	
dologulo,	দলগুলো,	দলগুলো,	
soundarja,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
gandhiyo,	গান্ধিয়,	গান্ধীও,	
chaaltaa,	চাল্তা,	চালতা,	
ganoparibahan,	গণপরিনভান,	গণপরিবহন,	
bonnypran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
nochiketa,	নোচিকতা,	নচিকেতা,	
bhyaatikaaner,	ভ্যাতকেনের,	ভ্যাটিকানের,	
ispredshit,	ইস্প্রেশ্য,	স্প্রেডশীট,	
shibraj,	শিবর্য,	শিবরাজ,	
bima,	বিমা,	বিম,	
horiddare,	হরিদদ্রে,	হরিদ্বারে,	
quota,	কুট,	কোটা,	
tolemy,	তোলিমি,	টলেমির,	
uttar,	উত্তর,	উওর,	
mekbeth,	মেককে,	ম্যাকবেথ,	
maner,	মানের,	মানে,	
dianes,	ডায়েনস,	ডিএনএস,	
addabaj,	অদ্যাবায,	আড্ডাবাজ,	
sommotite,	সম্মতিতে,	সম্মতিতে,	
rohoshyor,	রহস্যর,	রহস্যর,	
vishwanath,	বিশ্বনাথ,	বিশ্বনাথ,	
setitey,	সেটিতে,	সেটিতে,	
miley,	মিলে,	মিলে,	
byabaharkareederke,	ব্যবহারকারীদের,	ব্যবহারকারীদেরকে,	
shaahocharje,	সাচাচ্র্যে,	সাহচর্যে,	
elakashaho,	এলাকাশ,	এলাকাসহ,	
cross,	ক্রস,	ক্রুশ,	
gostigoolo,	গস্তিগুলো,	গোষ্ঠীগুলো,	
istone,	স্ট্যান,	স্টোন,	
zesa,	জেসা,	জেস,	
dembakreeti,	ডেম্বাকৃতি,	ডিম্বাকৃতি,	
bbiswashke,	বিশ্বাসকে,	বিশ্বাসকে,	
drishtiheen,	দৃষ্টিভীন,	দৃষ্টিহীন,	
kiibord,	কিবোর্ড,	কীবোর্ড,	
ghoomato,	ঘুমাত,	ঘুমাতো,	
samashti,	সমস্তি,	সমষ্টি,	
kaanaai,	কানাই,	কানাই,	
nortokike,	নর্তীকে,	নর্তকীকে,	
chikittsar,	চিকিৎসার,	চিকিত্সার,	
protyokkhovabey,	প্রত্যাখ্বাে,	প্রত্যক্ষভাবে,	
edaning,	এডানিং,	ইদানিং,	
shqolastic,	স্কলাস্টিক,	স্কলাস্টিক,	
khelaphatey,	খেলাটাতে,	খেলাফতে,	
banduk,	ব্যা্ডুুক,	বন্দুক,	
bhaandaare,	ভান্ডারে,	ভাণ্ডারে,	
moushumer,	মসুুমের,	মৌসুমের,	
naditir,	নদীতীর,	নদীটির,	
lojic,	লোজিক,	লজিক,	
bardhitaanas,	বার্গিততা,	বর্ধিতাংশ,	
nederland,	নেদেরল্যান্ড,	নেদারল্যান্ড,	
tistaar,	টিস্টার,	তিস্তার,	
crescenter,	ক্রেসেন্টের,	ক্রিসেন্টের,	
swarnali,	স্বর্ণলী,	স্বর্ণালী,	
ponjeekaar,	পণ্জিকার,	পঞ্জিকার,	
gaichhe,	গেছে,	গাইছে,	
omarendro,	অমারন্দ্র,	অমরেন্দ্র,	
anchalke,	অঞ্চলেকে,	অঞ্চলকে,	
eucalyptus,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
veenom,	ভীনম,	ভেনম,	
skolarship,	স্কলারশিপ,	স্কলারশিপ,	
bandike,	বাঁদিকে,	বন্দীকে,	
manahputo,	মানফপতত,	মনঃপুত,	
brinda,	বৃদ্যা,	বৃন্দা,	
mosharroph,	মোশাররফ,	মশাররফ,	
tatey,	তাতে,	তাতে,	
chargito,	চার্গিত,	চার্জিত,	
veenis,	ভেনিস,	ভেনিস,	
nirau,	নিরো,	নির,	
qulim,	কুলিং,	কুলিং,	
ancholti,	অঞ্চলতি,	অঞ্চলটি,	
hotelti,	হটেলটি,	হোটেলটি,	
rajtontrey,	রাজ্তন্ত্রে,	রাজতন্ত্রে,	
sikkhakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
moshjidtir,	মস্গিদটির,	মসজিদটির,	
shlok,	স্ল্যাক,	শ্লোক,	
provritike,	প্রভৃতিকে,	প্রভৃতিকে,	
kuchir,	কুচির,	কুচির,	
diibug,	দিবুগ,	ডিবাগ,	
asirbad,	আশির্বাদ,	আশির্বাদ,	
seconde,	সেকেন্ডে,	সেকেন্ডে,	
mayily,	মেযালি,	মাইলি,	
samanwitobhabe,	সমানবিযাাভে,	সমন্বিতভাবে,	
khaaneker,	খানকের,	খানেকের,	
samanwitabhabe,	সমানবিযাাভে,	সমন্বিতভাবে,	
oitijjha,	ঐতিহ্য,	ঐতিহ্য,	
rajballabh,	রাজবললভ,	রাজবল্লভ,	
protizogiider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
obosore,	অবশরে,	অবসরে,	
seekkhokbrindo,	শিক্ষাব্দ্ণ,	শিক্ষকবৃন্দ,	
teteyer,	তেটের,	টেটের,	
mekong,	মেকং,	মেকং,	
ostader,	অষ্টাদের,	ওস্তাদের,	
grambaasee,	গ্রামবাসী,	গ্রামবাসী,	
bishwanath,	বিশ্বাসথ,	বিশ্বনাথ,	
karloosa,	কার্লস,	কার্লোস,	
aidin,	আইডিং,	এইদিন,	
site,	সাইট,	সিটে,	
olpoi,	অল্পই,	অল্পই,	
sushikkhar,	সুশিক্ষার,	সুশিক্ষার,	
suraropeeto,	সুরাাপতিত,	সুরারোপিত,	
suporichito,	সুপারিখিত,	সুপরিচিত,	
chaabir,	চাবির,	চাবির,	
jeebanjapon,	জীবন্মপন,	জীবনযাপন,	
akmot,	একমাত,	একমত,	
jathartha,	যথার্থ,	যথার্থ,	
shansthaner,	সংস্থানের,	সংস্থানের,	
chalechi,	চলেছি,	চলেছি,	
jothartho,	যথার্থ,	যথার্থ,	
paltechhey,	পাল্টেছে,	পাল্টেছে,	
ghenshe,	ঘেনসে,	ঘেঁষে,	
estania,	এস্টানিয়া,	এস্তোনিয়া,	
shrabasti,	শ্রবাস্তি,	শ্রাবস্তী,	
kyanela,	ক্যানেল,	ক্যানেল,	
pretti,	প্রেট্তি,	প্রিটি,	
ajeempur,	অজিমপপুর,	আজিমপুর,	
shikhbe,	শিখভে,	শিখবে,	
ucchosito,	উচ্চশিত,	উচ্ছসিত,	
shochindro,	সচিন্দ্র,	শচীন্দ্র,	
songasthatir,	সংস্থাটির,	সংস্থাটির,	
lumbini,	লুম্বিনী,	লুম্বিনী,	
monjiley,	মঞ্জিলে,	মঞ্জিলে,	
hamburge,	হ্যামগ্রেগে,	হামবুর্গে,	
troop,	ট্রুপ,	ট্রুপ,	
manobsomajer,	মানবসম্যের,	মানবসমাজের,	
bosstonto,	বস্ত্ন,	বসন্ত,	
boonot,	বুনত,	বুনট,	
phala,	ফালা,	পোলো,	
chaudhuriyo,	চৌধুরিত,	চৌধুরীও,	
pitthey,	পিঠে,	পীঠে,	
abikaul,	অবিকুল,	অবিকল,	
beeseshyo,	বিশেষ্য,	বিশেষ্য,	
dristiheen,	দৃষ্টিসীন,	দৃষ্টিহীন,	
treend,	ট্রেন্ড,	ট্রেন্ড,	
juktarashtreo,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রেও,	
futanta,	ফুটন্ত,	ফুটন্ত,	
shatoke,	শতকে,	শতকে,	
reejideens,	রেজিডেন্স,	রেসিডেন্স,	
upobaasee,	উপবাসি,	উপবাসী,	
kod,	কদ,	কোড,	
laiceensee,	লাসিস্স,	লাইসেন্স,	
nathivookto,	নথিযুক্ত,	নথিভুক্ত,	
digri,	ডিগ্রী,	ডিগ্রি,	
bhageroi,	ভাগরেই,	ভাগেরই,	
bisshaso,	বিশ্বাস,	বিশ্বাসও,	
seater,	সিটের,	সিটের,	
netherlandey,	নেদফার্্ডাজে,	নেদারল্যান্ডে,	
alaoul,	আলাউল,	আলাওল,	
vabna,	ভব্যা,	ভাবনা,	
ranangone,	রণাঙ্গনে,	রণাঙ্গনে,	
gafilati,	গেফিলাতি,	গাফিলতি,	
chowdhuryder,	চৌধুরিদের,	চৌধুরীদের,	
parka,	পার্কা,	পার্ক,	
suchorita,	সুচরিত,	সুচরিতা,	
phuda,	ফুডা,	ফুড,	
shit,	শ্বীত,	শীত,	
snipar,	স্নিপার,	স্নাইপার,	
samanya,	সাম্ন্য,	সামান্য,	
abahan,	আবাহন,	আবাহন,	
samajeekotar,	সমাজীকতার,	সামাজিকতার,	
longghoner,	লঙ্ঘনের,	লংঘনের,	
cheekitshar,	চিকিৎসার,	চিকিত্সার,	
ganesher,	গণেসের,	গণেশের,	
horipur,	হরিপুর,	হরিপুর,	
joubankale,	যৌবনকালে,	যৌবনকাল,	
mukhomondoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
palbongsher,	পল্নবশের,	পালবংশের,	
ssumita,	সুমিত,	সুমিতা,	
poromartho,	পরমার্থ,	পরমার্থ,	
mulgoto,	মূলগত,	মূলগত,	
nikel,	নিকেল,	নিকেল,	
bonshi,	বনশী,	বংশী,	
aajij,	আজিজ,	আজিজ,	
bhittio,	ভিত্ত্ও,	ভিত্তিও,	
chalke,	চালকে,	চালকে,	
eporjanta,	এপর্যান্ত,	এপর্যন্ত,	
arina,	আরিন,	এরিনা,	
dover,	ডভের,	ডোভার,	
ranadeep,	রানাদিপ,	রণদীপ,	
inphormation,	ইনফর্মেশন,	ইনফরমেশন,	
aashtikotaa,	আস্তিকতা,	আস্তিকতা,	
technocrat,	টেক্ারকারত,	টেকনোক্র্যাট,	
longghon,	লঙ্ঘন,	লংঘন,	
iyutha,	ইতাউথ,	ইয়ুথ,	
jhalkathee,	ঝালকাঠি,	ঝালকাঠী,	
elakaasoho,	এলাকাহস,	এলাকাসহ,	
jeebonjapon,	জীবন্পন,	জীবনযাপন,	
senabahineeow,	সেনাবাহিনীত,	সেনাবাহিনীও,	
aazadir,	আযাদির,	আজাদীর,	
graambaasio,	গ্রাম্বসহ,	গ্রামবাসীও,	
hiper,	হিপের,	হাইপার,	
mukhyo,	মূখ্য,	মুখ্য,	
average,	অ্যাভারেজ,	এভারেজ,	
bardhitansh,	বার্গিনথাস,	বর্ধিতাংশ,	
estoniya,	এস্টোনিয়া,	এস্তোনিয়া,	
haris,	হ্যারিস,	হ্যারিস,	
krisenta,	ক্ষেসেন্ট,	ক্রিসেন্ট,	
sachetanatamulak,	সচেনতাযম্কতা,	সচেতনতামূলক,	
gayichhey,	গেইছে,	গাইছে,	
mulor,	মুলর,	মুলোর,	
bishad,	বিষা,	বিষদ,	
xpresion,	এক্সপেশেন,	এক্সপ্রেশন,	
abasane,	আবাসনে,	অবসানে,	
chalachchitratike,	চলচ্চিত্রিতে,	চলচ্চিত্রটিকে,	
aarakani,	আরাকণী,	আরাকানী,	
munsi,	মুন্সি,	মুন্সি,	
dhyan,	ধ্যান,	ধ্যান,	
tekno,	টেকনো,	টেকনো,	
soource,	সাউর্স,	সোর্স,	
selina,	সেলিন,	সেলিনা,	
harbore,	হার্বরে,	হারবারে,	
jeebonjaapon,	জীবনযাপ্,	জীবনযাপন,	
antarbhutto,	অন্তর্ভূত্ত,	অন্তর্ভুক্ত,	
skolastic,	স্কলাস্টিক,	স্কলাস্টিক,	
shuparahiro,	সুপারহারির,	সুপারহিরো,	
murrayir,	মুররইর,	ম্যারির,	
taalgachh,	তালগাছ,	তালগাছ,	
ddhila,	ঢ্লিলা,	ঢিলা,	
iispredshiit,	ইস্প্রেশীত,	স্প্রেডশীট,	
mesenzar,	মেসেন্জার,	মেসেঞ্জার,	
thailandsoho,	থাইলন্দসহ,	থাইল্যান্ডসহ,	
gardeena,	গার্ডেন,	গার্ডেন,	
jwoluk,	জাহুক,	জ্বলুক,	
baait,	বাইত,	বাইট,	
irish,	আইরিশ,	আইরিস,	
ohang,	অহেঙ,	অহং,	
cholchhe,	চলছে,	চলছে,	
chirakumari,	চিরামারি,	চিরকুমারী,	
dajhyo,	দাঝওয,	দাহ্য,	
totenhaamer,	ততাংকদের,	টটেনহামের,	
pachhi,	পাছি,	পাচ্ছি,	
dharabahikbhabey,	ধারাবিক্ষবে,	ধারাবাহিকভাবে,	
karuna,	করুনা,	করুণা,	
baaiq,	বাইক,	বাইক,	
azimke,	আজিমকে,	আজিমকে,	
kanake,	কাণাকে,	কণাকে,	
nortoki,	নর্তকী,	নর্তকী,	
yukeliptash,	ইউক্লিপপেস্স,	ইউক্যালিপ্টাস,	
kara,	কারা,	কর,	
lainde,	লাইন্ডে,	ল্যান্ডে,	
bholapuqa,	ভল্পল্ক,	ভোলাপুক,	
gajetted,	গেজেট্যদ,	গেজেটেড,	
falkser,	ফলক্সের,	ফক্সের,	
ancholsomuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
kushoomba,	কুষম্্য,	কুশুম্বা,	
muktilabh,	মুক্তিলোভ,	মুক্তিলাভ,	
aksathe,	এক্ষতে,	একসাথে,	
korkotkrantee,	কর্কট্যাকৃত্,	কর্কটক্রান্তি,	
gor,	গর,	গোর,	
aajiboner,	আজিবনের,	আজীবনের,	
bhiktara,	ভিক্টর,	ভিক্টর,	
temonyi,	তেমনি,	তেমনই,	
robe,	রবে,	রবে,	
tokei,	তোকেই,	ত্বকেই,	
ganesh,	গেনস,	গণেশ,	
joubanbotii,	যৌবনব্তী,	যৌবনবতী,	
ting,	তিং,	টিং,	
sheat,	সেট,	সিট,	
gage,	গেগ,	গেজ,	
categoryr,	ক্যাটেগরির,	ক্যাটাগরির,	
jamjamat,	জাম্মাত,	জমজমাট,	
pouch,	পৌঁছ,	পাউচ,	
yeaster,	ইস্টের,	ইস্টের,	
prakalpoti,	প্রকল্পতি,	প্রকল্পটি,	
pisach,	পিস্চ,	পিশাচ,	
deil,	দেল,	ডেইল,	
qaferder,	কাফরাডের,	কাফেরদের,	
heerani,	হেরানী,	হিরানি,	
joruri,	জরুরী,	জরূরী,	
parkasa,	পারকাস,	পার্কস,	
piora,	পিওরা,	পিওর,	
taroni,	তররণী,	তরণী,	
colahol,	চোলাহাল,	কোলাহল,	
eporjonta,	এপর্যান্ত,	এপর্যন্ত,	
niqela,	নিকেল,	নিকেল,	
sazanor,	সাজানোর,	সাজানোর,	
amshtrong,	অক্ট্্র্স,	আর্মস্ট্রং,	
chorchito,	চর্চিত,	চর্চিত,	
ponni,	পন্যী,	পন্নী,	
orthoniti,	অর্থনীতি,	অর্থনীতির,	
khanonkaaj,	খননকবল,	খননকাজ,	
nathivooktir,	নথিকুভিত্রী,	নথিভুক্তির,	
yuroo,	ইরু,	ইউরো,	
kodti,	কদদটি,	কোডটি,	
diyi,	দি,	দিই,	
boner,	বোণের,	বনের,	
aunti,	অ্নটি,	আন্টি,	
roktokshoroner,	রক্তক্ষরণের,	রক্তক্ষরণের,	
kormosongsthan,	কর্মস্যসনথ,	কর্মসংস্থান,	
kiutie,	কিউটি,	কিউটি,	
nathibhookta,	নথিযুক্ত,	নথিভুক্ত,	
rajon,	রান,	রাজন,	
shikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
karpeter,	কর্পটের,	কার্পেটে,	
tooku,	টুকু,	টুকু,	
ajij,	আজিজ,	আজিজ,	
milekhaanek,	মিলেখনক,	মাইলখানেক,	
laaiseensh,	লাইনসেস,	লাইসেন্স,	
chuti,	ছুটি,	ছুটি,	
arik,	এরিক,	আরিক,	
militarir,	মিলিটারীর,	মিলিটারির,	
gostike,	গস্তিকে,	গোষ্ঠীকে,	
ishter,	ইস্টের,	ইস্টের,	
dharmi,	ধর্মী,	ধর্মী,	
babylone,	বাবলিলনে,	ব্যাবিলনে,	
pyor,	প্যার,	পিওর,	
samajik,	সামজ্ক,	সামাজিক,	
butha,	বুথা,	বুথ,	
abasaney,	আবাসনে,	অবসানে,	
nirmolota,	নির্মলতা,	নির্মলতা,	
nathivukteer,	নথিকুভিত্রীর,	নথিভুক্তির,	
sanaktakaraner,	সনাক্তরণের,	সনাক্তকরণের,	
bhimsen,	ভিমসেন,	ভীমসেন,	
mukhobandha,	মুখবন্ধ,	মুখবন্ধ,	
kloj,	ক্লোজ,	ক্লজ,	
kkomandar,	কমান্ডার,	কমাণ্ডার,	
ajeejer,	অজিজের,	আজিজের,	
tali,	টালি,	তালি,	
niketan,	নিকেন,	নিকেতন,	
poste,	পোষ্টে,	পোষ্টে,	
cholochchitro,	চলচিত্র,	চলচ্চিত্র,	
dinifition,	ডিনিটিশন,	ডেফিনেশন,	
madhukooree,	মধুকরাই,	মাধুকরী,	
homske,	হ্যামসকে,	হোমসকে,	
akpaase,	একপাশে,	একপাশে,	
ooeepokar,	উইপকার,	উইপোকার,	
shita,	স্ত,	সিট,	
township,	টান্সিপ,	টাউনশিপ,	
skirt,	স্কার্ট,	স্কার্ট,	
rohosyoti,	রোস্তাতী,	রহস্যটি,	
bbosonto,	বসসন্ত,	বসন্ত,	
hachchilo,	হাছ্ছিল,	হচ্ছিলো,	
hatochakito,	হততাক্তি,	হতচকিত,	
bo,	বো,	বু,	
chowdhurir,	চৌধুরির,	চৌধুরীর,	
august,	অগাস্ট,	আগষ্ট,	
booth,	বুঠ,	বুথ,	
thailand,	থাইন্ডান্ড,	থাইল্যান্ড,	
mag,	মগ,	এমএজি,	
rajnaiteek,	রাজনৈতিক,	রাজনৈতীক,	
timathy,	টিমাথি,	টিমোথি,	
toroni,	তরনণী,	তরণী,	
amarjito,	অমর্জিত,	অমার্জিত,	
hugheske,	হুগেসকে,	হিউজকে,	
yanqee,	যাঁকি,	ইয়াংকি,	
bhaandare,	ভান্ডারে,	ভাণ্ডারে,	
thyachara,	থ্যাচার,	থ্যাচার,	
ponjjikar,	পঞ্জিকার,	পঞ্জিকার,	
sbaajan,	স্বজন,	স্বজন,	
armstronz,	আর্ক্্র্র,	আর্মস্ট্রং,	
durtomo,	দূরততম,	দূরতম,	
foreex,	ফরেক্স,	ফরেক্স,	
grambaasir,	গ্রামবাসীর,	গ্রামবাসীর,	
ekaatto,	একাত্ত,	একাত্ব,	
kushumba,	কুষুম্ভ,	কুশুম্বা,	
bhenasha,	ভেনাসা,	ভেনাস,	
janoika,	জনিক,	জনৈকা,	
poshchater,	পশ্চাতের,	পশ্চাতের,	
samany,	সমানি,	সামান্য,	
tookrotey,	টুকরতে,	টুকরোতে,	
israiler,	ইসরাইলের,	ইসরাঈলের,	
chhootite,	ছুটিতে,	ছুটিতে,	
gajipur,	গাজীপুর,	গাজিপুর,	
bhandaar,	ভান্ডার,	ভাণ্ডার,	
monoputo,	মনপুত,	মনঃপুত,	
odhito,	অধিত,	অধীত,	
shakara,	শাকারা,	সকার,	
palteche,	পাল্টেছে,	পাল্টেছে,	
madrasi,	মাদ্রাসী,	মাদ্রাজি,	
kyantana,	ক্যান্টন,	ক্যান্টন,	
mukhobondho,	মুখবন্ধ,	মুখবন্ধ,	
hitokar,	হ্টককার,	হিতকর,	
bikretaara,	বিক্রেতার,	বিক্রেতারা,	
abhijojan,	অভিযোজন,	অভিযোজন,	
doojoo,	দোজো,	ডোজো,	
thailandshoho,	থাইলন্দস্থ,	থাইল্যান্ডসহ,	
khelafatey,	খেলাতে,	খেলাফতে,	
install,	ইনস্টল,	ইন্সটল,	
durgotsob,	দুর্গত্তব,	দুর্গোৎসব,	
cena,	সেনা,	সিনা,	
sardar,	সর্দার,	সরদার,	
agora,	আগোরা,	আগোরা,	
dreestiheen,	দৃষ্টিশন,	দৃষ্টিহীন,	
musolmanera,	মুসলামনের,	মুসলমানেরা,	
jeshthaa,	জেষ্ঠা,	জ্যেষ্ঠা,	
ajija,	আজিজা,	আজিজা,	
jahora,	জাহরা,	যাহরা,	
choopi,	চুপি,	চুপি,	
boikolyo,	বৈকাল্য,	বৈকল্য,	
metroopoolitan,	মেট্রোপলিটান,	মেট্রোপলিটন,	
chopol,	চপপ,	চপল,	
hoola,	হোলা,	হোল,	
tribhuj,	ত্রিভুজ,	ত্রিভূজ,	
uponisoder,	উপনিশাদের,	উপনিষদের,	
daaktikiter,	ডাক্তিকেতের,	ডাকটিকিটের,	
shaahocharjo,	সাচার্য্য,	সাহচর্য,	
kanayi,	কানাই,	কানাই,	
sorboshoktiman,	সর্বস্ক্পনিক,	সর্বশক্তিমান,	
phern,	ফের্ন,	ফার্ন,	
paree,	পারি,	পাড়ে,	
turisht,	টুরিষ্ট,	টুরিস্ট,	
meyiler,	মেলির,	মেইলের,	
pitth,	পিঠ,	পীঠ,	
cholochchitra,	চলচিত্র,	চলচ্চিত্র,	
pretii,	প্রেতি,	প্রিটি,	
zeland,	জেল্যান্ড,	জিল্যান্ড,	
madhobike,	মাধবিকে,	মাধবীকে,	
bibad,	বিবদ,	বিবাদ,	
ganjona,	গণ্জন,	গঞ্জনা,	
beam,	বিম,	বিম,	
gaje,	গেজ,	গেজ,	
kyathlik,	ক্যাথলিক,	ক্যাথলিক,	
highcomissione,	হাইকমেশনে,	হাইকমিশনে,	
baagicar,	বাগিিকার,	বাগিচার,	
chamski,	চমমকী,	চমস্কি,	
dap,	দাপ,	ড্যাপ,	
tafasir,	তফসির,	তাফসীর,	
rahi,	রহি,	রাহী,	
shotoker,	শতকের,	শতকের,	
phalah,	ফালা,	ফালাহ,	
tolemyr,	তলিমির,	টলেমির,	
zackson,	জককশন,	জ্যাকসন,	
jolatonko,	জলাথনক্,	জলাতঙ্ক,	
hoila,	হইল,	হইল,	
abhishangsan,	অভিষাংসন,	অভিশংসন,	
miraqela,	মিরাকেল,	মিরাকেল,	
nodiitike,	নদীতীকে,	নদীটিকে,	
miari,	মায়েরি,	ম্যারি,	
uruu,	উরু,	উরু,	
udbodhoner,	উদ্ধধনের,	উদ্বোধনের,	
oholyar,	অহল্যার,	অহল্যার,	
ekooghore,	একোঘরে,	একঘরে,	
dokaneyi,	ডোকানেই,	দোকানেই,	
mastarsa,	মাস্টার্স,	মাস্টার্স,	
chalochchitrake,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
nariikeyi,	নারীকেই,	নারীকেই,	
bishshash,	বিশশবাস,	বিশ্বাস,	
boponer,	বপননের,	বপনের,	
sahocorjo,	সহভোর্য,	সাহচর্য,	
maailey,	মেইলে,	মাইলে,	
fatakasto,	ফটাকা্্,	ফাটাকেষ্ট,	
thechar,	ঠেচার,	থ্যাচার,	
shombhobonao,	সম্ভবনা,	সম্ভবনাও,	
shkirt,	স্কার্ট,	স্কার্ট,	
orunima,	অরুণিম,	অরুণিমা,	
potthon,	পথ্থন,	পঠন,	
gatibege,	গেটিভেগে,	গতিবেগে,	
pratisthanik,	প্রতিষ্ঠানিক,	প্রাতিষ্ঠানিক,	
mg,	এিএি,	এমজি,	
protisthasoho,	প্রতিষ্ঠাস,	প্রতিষ্ঠাসহ,	
antarbhuktimulak,	অন্তর্ভামত্মিক,	অন্তর্ভুক্তিমূলক,	
longhoner,	লঙ্ঘনের,	লংঘনের,	
phiksa,	ফিক্স,	ফিক্স,	
sadena,	সাদেন,	সাডেন,	
parks,	পার্কস,	পার্কস,	
poshchate,	পশ্চাতে,	পশ্চাতে,	
