nesnos,	নেন্নস,	নেশনস,	
qaro,	কারো,	কারো,	
bhushi,	ভুষি,	ভুষি,	
bonaa,	বোনা,	বোনা,	
juktarashtre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
bima,	বিমা,	বিম,	
ceramicer,	সারামিকার,	সিরামিকের,	
shaahocharje,	শাহচার্যে,	সাহচর্যে,	
thaakeni,	থাকেনি,	থাকেনি,	
digree,	ডিগ্রী,	ডিগ্রি,	
vastubad,	বস্তুবাদ,	বস্তুবাদ,	
pudinn,	পুদিং,	পুডিং,	
antorvuktimulok,	অন্তর্কূভূল্মক,	অন্তর্ভুক্তিমূলক,	
gore,	গোরে,	গোর,	
hosain,	হোসাইন,	হোসেইন,	
judhahato,	যুদ্ধাত,	যুদ্ধাহত,	
bodka,	বোক্া,	ভদকা,	
jaak,	যাক,	জাঁক,	
seet,	সীট,	সিট,	
fanskari,	ফাঁসকারী,	ফাঁসকারী,	
gulen,	গুলেন,	গুলেন,	
mangolik,	মাঙ্গোলিক,	মাঙ্গলিক,	
dancan,	ডাঙকান,	ডানকান,	
nabyata,	নব্যতা,	নাব্যতা,	
toroon,	তরুণ,	তরুন,	
avetar,	অভেতার,	অবতার,	
anucheder,	অনুচেদের,	অনুচ্ছেদের,	
bamonder,	বামন্ডের,	বামনদের,	
neck,	নেক,	নেক,	
azan,	আজন,	আজান,	
gejeted,	গেজেটেড,	গেজেটেড,	
rudroke,	রুদ্রকে,	রুদ্রকে,	
jarusalema,	জরুসলেমা,	জেরুসালেম,	
samrat,	সমরত,	সম্রাট,	
maudelgulo,	মদেলগুলো,	মডেলগুলো,	
ganonatyo,	গণনাত্য,	গণনাট্য,	
ruby,	রাবি,	রুবী,	
idipas,	ইদিপাস,	ইডিপাস,	
maaktoome,	মক্তমে,	মাকতুম,	
prostutkarak,	প্রস্তুতকারক,	প্রস্তুতকারক,	
kanisttha,	কনিষ্ঠ,	কনিষ্ঠ,	
behrampurer,	বেহরামপুরের,	বহরমপুরের,	
hundayi,	হান্ডে,	হুন্দাই,	
kule,	কূলে,	কুলে,	
vittitei,	ভিত্তিতেই,	ভিত্তিতেই,	
ghetu,	ঘেতু,	ঘেটু,	
phoolkopi,	ফুলকফি,	ফুলকপি,	
roialti,	রোয়ালটি,	রয়্যালটি,	
keyboarder,	কিবোর্ডের,	কীবোর্ডের,	
protul,	প্রতুল,	প্রতুল,	
fanding,	ফ্যান্ডিং,	ফান্ডিং,	
buildar,	বিল্ডার,	বিল্ডার,	
sangasthatir,	সংস্থাটির,	সংস্থাটির,	
beca,	বেকা,	বেচা,	
aidii,	এডি,	আইডিই,	
bhaabaponno,	ভাবপন্ন,	ভাবাপন্ন,	
madhobeer,	মাধবীর,	মাধবীর,	
dheke,	ঢেঁকে,	ঢেকে,	
haripur,	হরিপুর,	হরিপুর,	
upobasher,	উপবাসের,	উপবাসের,	
dayna,	ডাইন,	ডায়না,	
ghumachche,	ঘুমাচ্ছে,	ঘুমাচ্ছে,	
oojbekistaner,	উজবাকিস্তানের,	উজবেকিস্তানের,	
teemur,	তিমুর,	তিমুর,	
probesher,	প্রবেশের,	প্রবেশের,	
kompekt,	কম্পেক্ট,	কমপ্যাক্ট,	
somabeshke,	সমাবেশকে,	সমাবেশকে,	
feemalee,	ফেমলি,	ফিমেল,	
kaansaat,	কাঁসাট,	কানসাট,	
raiialati,	রেই়ালটি,	রয়্যালটি,	
aboshorer,	অবশরের,	অবসরের,	
engrejra,	ইংরেজারা,	ইংরেজরা,	
keuyi,	কিউই,	কেউই,	
paab,	পাব,	পাব,	
graambashio,	গ্রামবাসী,	গ্রামবাসীও,	
chowdhuryo,	চৌধুর্য,	চৌধুরীও,	
charban,	চারবান,	চর্বন,	
karmokerer,	কর্মকারের,	কর্মকারের,	
moochi,	মুচি,	মুচি,	
gutano,	গুটানো,	গুটানো,	
mumtajer,	মমতাজের,	মুমতাজের,	
maadhoori,	মাধুরী,	মাধুরী,	
kyathlikder,	ক্যাথলিকদের,	ক্যাথলিকদের,	
letterey,	লেটারে,	লেটারে,	
cheere,	চীরে,	চিরে,	
granthei,	গ্রন্থেই,	গ্রন্থেই,	
yukeliptash,	উউকেলিপ্টাস,	ইউক্যালিপ্টাস,	
sahokaree,	সহকারি,	সহকারী,	
karo,	কারো,	করো,	
falkati,	ফালকাটি,	ফলকটি,	
ongkush,	অঙ্কুষ,	অংকুশ,	
falakti,	ফালকটি,	ফলকটি,	
hukar,	হুকার,	হুকার,	
windows,	উইন্ডোস,	উইন্ডোস,	
akla,	একলা,	একলা,	
aashor,	আশর,	আসর,	
caramiks,	কারামিক্স,	সিরামিকস,	
kolkarkhana,	কোলকার্ানা,	কলকারখানা,	
bishwasho,	বিশ্বাস,	বিশ্বাসও,	
jojyata,	যো্যতা,	যোজ্যতা,	
murli,	মূর্লি,	মুরলী,	
pudim,	পুদিম,	পুডিং,	
jerujaleme,	জিরুজালমে,	জেরুসালেমে,	
yaq,	যক,	ইয়াক,	
faltir,	ফালটির,	ফলটির,	
rata,	রাটা,	রত,	
sontoshpur,	সন্তঃষপুর,	সন্তোষপুর,	
uparjon,	উপারজন,	উপার্জন,	
setitey,	সেটিতে,	সেটিতে,	
satarkokari,	সতরককারী,	সতর্ককারী,	
jerusalema,	জেরুলেসামা,	জেরুসালেম,	
poddhotitei,	পদ্ধতিতেই,	পদ্ধতিতেই,	
naaneer,	নানীর,	নানীর,	
bbosontoke,	বসন্তকে,	বসন্তকে,	
ralapha,	রালফ,	রালফ,	
sausagee,	সৌসগগ,	সসেজ,	
bunot,	বুনত,	বুনট,	
armashtram,	আর্মস্ত্রম,	আর্মস্ট্রং,	
algorithm,	অ্যালগরিদম,	এলগরিদম,	
bedanta,	বেদন্ত,	বেদান্ত,	
ganosochetonota,	গণসাচেনতা,	গণসচেতনতা,	
brindaboney,	ব্রিন্ববনে,	বৃন্দাবনে,	
taruner,	তরুণের,	তরুণের,	
shasonkorta,	শাসনকর্তা,	শাসনকর্তা,	
kumarir,	কুমারির,	কুমারীর,	
aairees,	আইরিশ,	আইরিস,	
songasthagulo,	সংস্গাগুলো,	সংস্থাগুলো,	
somabeshti,	সমবেশ্তি,	সমাবেশটি,	
prabhritite,	প্রভৃতিতে,	প্রভৃতিতে,	
bishwashoi,	বিশ্বসাই,	বিশ্বাসই,	
grooth,	গ্রুথ,	গ্রোথ,	
dharavashyokar,	ধারাভাসকার,	ধারাভাষ্যকার,	
rahee,	রাহি,	রাহি,	
geeja,	গেজ,	গেজ,	
dhyanastha,	ধ্যানস্থা,	ধ্যানস্থ,	
samajeek,	সামাজিক,	সামাজিক,	
gotibege,	গতিবেগে,	গতিবেগে,	
bikargrasto,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
starcer,	স্টার্কের,	স্টার্কের,	
vivek,	ভিভেক,	বিবেক,	
sikkhakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
firoza,	ফিরোজা,	ফিরোজা,	
amerika,	অ্যামেরিকা,	আমেরিকা,	
mitar,	মিতার,	মিত্র,	
oshovyo,	অসভ্য,	অসভ্য,	
mile,	মালে,	মিলে,	
nirarthok,	নিরার্থক,	নিরর্থক,	
bahyo,	বহ্য,	বাহ্য,	
silvar,	সিলভার,	সিলভার,	
mashtarsha,	মাস্টার্স,	মাস্টার্স,	
sperm,	স্পার্ম,	স্পার্ম,	
dokangoolote,	দোকানগুলোতে,	দোকানগুলোতে,	
militaryte,	মিলিটারিতে,	মিলিটারিতে,	
shivraj,	শিবরাজ,	শিবরাজ,	
postar,	পোস্টার,	পোস্টের,	
pingna,	পিঙ্ন,	পিংনা,	
scifi,	স্ফিফি,	সাইফাই,	
bhaskor,	ভাস্কর,	ভাস্কর,	
parka,	পার্ক,	পার্ক,	
sangharshik,	সাংহর্ষিক,	সাংঘর্ষিক,	
shikkhakke,	শিক্ষককে,	শিক্ষককে,	
mmesenjar,	মেজেঞ্জার,	মেসেঞ্জার,	
soori,	সুরি,	সুরি,	
janalo,	জানালো,	জানালো,	
dhache,	ঢাঁচে,	ধাঁচে,	
jonoikaa,	জনিকা,	জনৈকা,	
rudrer,	রুদ্রের,	রুদ্রের,	
mukhmondol,	মুখমন্ডল,	মুখমণ্ডল,	
ishpredshhit,	ইস্পেরেদ্ট,	স্প্রেডশীট,	
maricha,	মেরিচা,	মরিচা,	
modeel,	মদিল,	মডেল,	
bonvumite,	বনভূমিতে,	বনভূমিতে,	
whole,	হলে,	হোল,	
hoteltite,	হটেলটিতে,	হোটেলটিতে,	
cheenja,	চেঞ্জা,	চেঞ্জ,	
taurist,	তাউরিস্ট,	টুরিস্ট,	
parikshateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
akbakke,	একবাকে,	একবাক্যে,	
poshchater,	পশ্চাতের,	পশ্চাতের,	
obhidhanik,	আভিধানিক,	অভিধানিক,	
porishongkhanbid,	পরিস্বন্বহিদ,	পরিসংখ্যানবিদ,	
ghotleyo,	ঘটলেও,	ঘটলেও,	
jins,	জিন্স,	জিন্স,	
mukhobandho,	মুখবন্ধ,	মুখবন্ধ,	
riphleeksa,	রাফলেক্স,	রিফ্লেক্স,	
deebating,	ডেবাটিং,	ডিবেটিং,	
matthew,	মাঠে,	ম্যাথিউ,	
raya,	রো,	রায়,	
poscater,	পশ্চাতের,	পশ্চাতের,	
besoor,	বেশুর,	বেসুর,	
lutharen,	লুথারেন,	লুথেরান,	
siddhantoi,	সিদ্ধানতইই,	সিদ্ধান্তই,	
chomoski,	চমক্কি,	চমস্কি,	
jacq,	জ্যাক,	জ্যাক,	
nothivooktir,	নথিবুক্তির,	নথিভুক্তির,	
shansthati,	সংস্থাটি,	সংস্থাটি,	
sahazlabhbhatar,	সহজ্লভভততার,	সহজলভ্যতার,	
dhhaaby,	ঢাবি,	ঢাবি,	
teenti,	তিনটি,	তিনটি,	
aabarto,	আবর্ত,	আবর্ত,	
gotibegey,	গতিবেগে,	গতিবেগে,	
kartana,	কর্টনা,	করতনা,	
akhandata,	এখন্দতা,	অখণ্ডতা,	
nepchooner,	নেপচুনের,	নেপচুনের,	
bongshoke,	বংশকে,	বংশকে,	
saalsa,	সালসা,	সালসা,	
kakhanyoba,	কখননওবা,	কখনওবা,	
nirau,	নিরা,	নির,	
pashchatey,	পাশ্চাতে,	পশ্চাতে,	
chalaabi,	চালাবি,	চালাবে,	
senabahineekey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
batsman,	বাসসমন,	ব্যাটসম্যান,	
transphorm,	ট্রান্সফোর্ম,	ট্রান্সফর্ম,	
ghatke,	ঘটটকে,	ঘাটকে,	
byabostha,	ব্যবস্থা,	ব্যাবস্থা,	
pujit,	পূজিত,	পুজিত,	
dhonyi,	ধনই,	ধন্যি,	
prokalpatikey,	প্রকলপটিকে,	প্রকল্পটিকে,	
sthapanar,	স্থাপনার,	স্থাপনার,	
baibosthar,	ব্যবস্থার,	ব্যবস্থার,	
asovo,	অসভ,	অসভ্য,	
khizir,	খিজির,	খিজির,	
bedey,	বেদে,	বেদে,	
greep,	গ্রীপ,	গ্রিপ,	
mojdur,	মজুর,	মজদুর,	
sofie,	সফি,	সোফি,	
poripake,	পরিপাকে,	পরিপাকে,	
bhramaner,	ভ্রম্ানের,	ভ্রমণের,	
eucalyptushh,	ইউক্যালিউটাস,	ইউক্যালিপ্টাস,	
dhruboker,	ধ্রুবকের,	ধ্রুবকের,	
jacker,	জ্যাকার,	জ্যাকের,	
jhalkathee,	ঝালকাঠি,	ঝালকাঠী,	
uthhaane,	উঠানে,	উঠানে,	
siramiks,	সিরামাক্স,	সিরামিকস,	
monjiley,	মঞ্জিলে,	মঞ্জিলে,	
ray,	রে,	রায়,	
samley,	সামলে,	সামলে,	
thakey,	থাকে,	থাকে,	
satjon,	সতজন,	সাতজন,	
chetna,	চেতনা,	চেতনা,	
harbour,	হারবোর,	হারবার,	
chabir,	ছবির,	চাবির,	
tukroke,	টুকরকে,	টুকরোকে,	
bbiswashke,	বিশ্বাসকে,	বিশ্বাসকে,	
dharavassokar,	ধারাভাসকার,	ধারাভাষ্যকার,	
rohosyor,	রহস্যর,	রহস্যর,	
jons,	জোস,	জোন্স,	
gonna,	গন্যা,	গননা,	
noren,	নরেন,	নরেন,	
futbolarer,	ফুটবললারের,	ফুটবলারের,	
byabaharkarir,	ব্যবহারকারির,	ব্যবহারকারীর,	
prime,	প্রাইম,	প্রাইম,	
monjhoshtho,	মঞ্ধস্থ,	মঞ্চস্থ,	
abhijojan,	অভিযোজন,	অভিযোজন,	
grip,	গ্রিপ,	গ্রিপ,	
sangkalaner,	সংকলনের,	সংকলনের,	
rohosyoti,	রহস্যটি,	রহস্যটি,	
parishrami,	পরিশ্রামী,	পরিশ্রমী,	
paare,	পারে,	পাড়ে,	
musalmani,	মুসালমানী,	মুসলমানই,	
protishtan,	প্রতিষ্টান,	প্রতিষ্টান,	
sheema,	সীমা,	সীমা,	
yuk,	ইউক,	ইয়াক,	
granthotike,	গ্রন্থটিকে,	গ্রন্থটিকে,	
karloosa,	কারলস,	কার্লোস,	
andaman,	আন্ডমমন,	আন্দামান,	
aqram,	একরাম,	আকরাম,	
sahabikey,	সাহাবিকে,	সাহাবীকে,	
malaika,	মালাইকা,	মালাইকা,	
elakaao,	এলাকাও,	এলাকাও,	
ancholgoolir,	আঞ্চলগুলির,	অঞ্চলগুলির,	
bo,	বো,	বু,	
nyeta,	ন্যাট,	ম্যাট,	
byabosthar,	ব্যবস্থার,	ব্যাবস্থার,	
boron,	বরণ,	বোরন,	
somosto,	সমস্ত,	সমস্ত,	
duple,	ডাপলে,	ডুপ্লে,	
mozlishpur,	মজিলসপপুর,	মজলিশপুর,	
niketaner,	নিকেতনের,	নিকেতনের,	
nirmol,	নির্মল,	নির্মল,	
onkar,	অংকার,	ওঙ্কার,	
railliner,	রেলিনের,	রেললাইনের,	
moddhyekar,	মধ্যেকার,	মধ্যেকার,	
firoz,	ফিরোজ,	ফিরোজ,	
paite,	পাইতে,	পাইতে,	
governorer,	গভর্নরের,	গভর্ণরের,	
sathikata,	সািকতা,	সঠিকতা,	
dobhara,	দোভার,	ডোভার,	
anchaltikey,	আঞ্চলটিকে,	অঞ্চলটিকে,	
bonoshri,	বনশ্রী,	বনশ্রী,	
omkar,	ওমকার,	ওঙ্কার,	
patiganiter,	পতিগানিতের,	পাটিগণিতের,	
garmanyteo,	জর্মানিতেও,	জার্মানিতেও,	
astikra,	অস্তিকরা,	আস্তিকতা,	
wenis,	ইইনিশ,	ভেনিস,	
conflict,	কনফ্লিকট,	কনফ্লিক্ট,	
nirgamon,	নির্জামন,	নির্গমন,	
ssteit,	স্টেট,	স্টেইট,	
dai,	দাই,	ডে,	
isan,	এসন,	ঈশান,	
mododpusto,	মদদপুষ্ট,	মদদপুষ্ট,	
ashonka,	আশঙকা,	আশংকা,	
ashirbad,	আশীর্বাদ,	আশির্বাদ,	
pleta,	প্লেট,	প্লেটো,	
thimke,	থিমকে,	থিমকে,	
phising,	ফিশিং,	ফিসিং,	
dakteekiter,	ডাকটিকিতের,	ডাকটিকিটের,	
bishnooke,	বিষ্ণুকে,	বিষ্ণুকে,	
motke,	মোটকে,	মতকে,	
foreks,	ফোরেক্স,	ফরেক্স,	
sathikota,	সাথিকতা,	সঠিকতা,	
monjurul,	মন্জুরুল,	মনজুরুল,	
kiutie,	কিউটি,	কিউটি,	
marketim,	মার্কেটিং,	মার্কেটিং,	
di,	ডি,	দিই,	
bishshaashi,	বিশ্বাসী,	বিশ্বাসই,	
bikretara,	বিক্রেটার,	বিক্রেতারা,	
okkhor,	অক্ষর,	অক্ষর,	
uddhriti,	উদ্ধীতি,	উদ্ধৃতি,	
ustaad,	উস্তাদ,	উস্তাদ,	
bhenus,	ভেনাস,	ভেনাস,	
homes,	হমেশ,	হোমস,	
pleeta,	প্লেট,	প্লেট,	
iuqyaliptasa,	ইউক্যালিপ্ট,	ইউক্যালিপ্টাস,	
porizon,	পরিজন,	পরিজন,	
myathious,	ম্যাথিউস,	ম্যাথিউস,	
hitokar,	হিতকার,	হিতকর,	
teteyer,	তেটের,	টেটের,	
uipoka,	উইপক,	উইপোকা,	
anektayi,	অনেকটিই,	অনেকটাই,	
haze,	হাজে,	হেজ,	
saamaanyai,	সামান্যই,	সামান্যই,	
unitsaho,	উনিতসহহ,	ইউনিটসহ,	
gujober,	গুজবের,	গুজবের,	
chandrimaa,	চন্দ্রিমা,	চন্দ্রিমা,	
parisankhyanvid,	পরিস্যান্্বহি,	পরিসংখ্যানবিদ,	
elakai,	এলাকই,	এলাকাই,	
orgho,	অর্ঘ,	অর্ঘ্য,	
black,	ব্লক,	ব্ল্যাক,	
kalniir,	কলনীর,	কালনীর,	
uponisod,	উপনিশোদ,	উপনিষদ,	
sealvi,	সিলভি,	সিলভি,	
aazaan,	আজান,	আজান,	
joubanbatee,	যৌবনবতী,	যৌবনবতী,	
valobasa,	ভালবাসা,	ভালোবাসা,	
bupher,	বুফের,	বাফার,	
musolmanera,	মুসলমানেরা,	মুসলমানেরা,	
johny,	জহি,	জনি,	
damanmulok,	দমমমূলক,	দমনমূলক,	
dipan,	দীপন,	দীপন,	
donut,	ডানউট,	ডোনাট,	
tukrotey,	টুকরোটে,	টুকরোতে,	
elakaasoho,	এলাকাসহ,	এলাকাসহ,	
keraam,	কেরাম,	কেরাম,	
uzbekistaner,	উউবেকিস্তানের,	উজবেকিস্তানের,	
resorte,	রিসর্টে,	রিসোর্টে,	
moushumer,	মাশূমের,	মৌসুমের,	
sanaktokaraner,	সনাক্তকরণের,	সনাক্তকরণের,	
gononanatyo,	গণননাত্য,	গণনাট্য,	
arthonitir,	অর্থনীটির,	অর্থনীতির,	
aagost,	আগস্ট,	আগষ্ট,	
zubokra,	যুবকরা,	যুবকরা,	
chargito,	চারগিট,	চার্জিত,	
parking,	পার্কিং,	পার্কিং,	
code,	কোড,	কোড,	
ayadabhanshada,	অ্যাডভানশড,	অ্যাডভান্সড,	
licensing,	লিকেন্সিং,	লাইসেন্সিং,	
obhiyojan,	অভিযোজন,	অভিযোজন,	
bedanter,	বেদন্তের,	বেদান্তের,	
neerbahe,	নির্বাহে,	নির্বাহে,	
elahabade,	এলাহাবাদে,	এলাহাবাদে,	
bipajjanak,	বিপজ্জনক,	বিপজ্জনক,	
porishromi,	পরিশ্রোমী,	পরিশ্রমী,	
carlas,	চার্লস,	কার্লোস,	
byaboshtha,	ব্যবস্থা,	ব্যাবস্থা,	
tikto,	তিক্ত,	তিক্ত,	
noditei,	নদীতেই,	নদীতেই,	
mekong,	মেকক,	মেকং,	
dhyana,	ধ্যান,	ধ্যান,	
besooro,	বেশুরও,	বেসুর,	
kaushalgata,	কৌশলগত,	কৌশলগত,	
bronjer,	ব্রঞ্জের,	ব্রোঞ্জের,	
manushtike,	মনুষ্টকে,	মানুষটিকে,	
batsmani,	বাসসমিি,	ব্যাটসম্যানই,	
qyapasula,	ক্যাপসুল,	ক্যাপসুল,	
saida,	সাইড,	সাইদা,	
cena,	কেনা,	সিনা,	
kunntee,	কানটি,	কুন্তী,	
bayshorkarikarone,	বেসরকারিকরণে,	বেসরকারিকরণ,	
obdi,	অব্দি,	অব্দি,	
grambaasir,	গ্রামবাসীর,	গ্রামবাসীর,	
sohinsotar,	সহহিনতার,	সহিংসতার,	
muchir,	মুছির,	মুচির,	
spreadshiit,	স্প্রেদাশি,	স্প্রেডশীট,	
zubokti,	যুবক্তি,	যুবকটি,	
garjan,	গর্জন,	গর্জন,	
shhkolashtic,	স্কোলাস্টিক,	স্কলাস্টিক,	
chalochchitrake,	চালচিচ্ত্রকে,	চলচ্চিত্রকে,	
jetei,	জেতেই,	যেতেই,	
beshirvagei,	বেশীরভাগেই,	বেশিরভাগেই,	
sarboshaktimaan,	সর্বসক্তিন,	সর্বশক্তিমান,	
zealand,	জিল্যান্ড,	জিল্যান্ড,	
olympic,	অলিম্পিক,	অলিম্পিক,	
kona,	কোনা,	কোনা,	
nirvachakder,	নির্বাচকদের,	নির্বাচকদের,	
rajbondi,	রাজবন্দী,	রাজবন্দী,	
qanaphliqta,	কাফ্লক্লিট,	কনফ্লিক্ট,	
chhidropothe,	ছিদ্রোপথে,	ছিদ্রপথে,	
siddhanto,	সিদ্ধান্ত,	সিদ্ধান্তও,	
sidharther,	শিদার্থের,	সিদ্ধার্থের,	
zinsa,	জিন্স,	জিন্স,	
gaichey,	গাইছে,	গাইছে,	
modelin,	মোডালীং,	মডেলিং,	
ashiatic,	আশিয়টিক,	এশিয়াটিক,	
moshan,	মোশন,	মোশন,	
azimkey,	আজিমকে,	আজিমকে,	
chootite,	ছুটিতে,	ছুটিতে,	
norfolk,	নরফফক,	নরফোক,	
mukhomaundoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
chetonagoto,	ছেতনাগতত,	চেতনাগত,	
samajik,	সামাজিক,	সামাজিক,	
grambaashio,	গ্রমবাসি,	গ্রামবাসীও,	
moshjidtike,	মজ্জিদ্তকে,	মসজিদটিকে,	
ispredsiit,	ইস্পেরেদেট,	স্প্রেডশীট,	
samudratatey,	সমুদ্রতাতে,	সমুদ্রতটে,	
sachetonbhabe,	সচেতনভাবে,	সচেতনভাবে,	
mette,	মেটে,	ম্যাট,	
shhcholashtic,	স্কালাস্টিক,	স্কলাস্টিক,	
kkomandar,	কমান্ডার,	কমাণ্ডার,	
adhatik,	আধ্যাতিক,	আধ্যাত্মিক,	
gorur,	গরুর,	গরুর,	
ketechhilo,	কেটেছিল,	কেটেছিল,	
bhalobasake,	ভালবাসাকে,	ভালোবাসাকে,	
bishnu,	বিষ্ণু,	বিষ্ণু,	
ajibooner,	আজিবুনের,	আজীবনের,	
masjidsaho,	মজিজদদহহ,	মসজিদসহ,	
jakkho,	যক্ষ্ম,	যক্ষ,	
kaansaater,	কাঁসাটের,	কানসাটের,	
bhorodwaj,	ভোরদ্ভাজ,	ভরদ্বাজ,	
naazee,	নাজী,	নাত্সি,	
zhalokatthi,	ঝালকাঠি,	ঝালকাঠী,	
phalah,	ফালাহ,	ফালাহ,	
byabaharkarike,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
khanonkaj,	খননকাজ,	খননকাজ,	
kalengga,	কললঙ্জ,	কালেঙ্গা,	
eshtonia,	এস্টোনিয়া,	এস্তোনিয়া,	
nadnadeer,	নদ্নদার,	নদনদীর,	
mandape,	মন্ডপে,	মন্ডপে,	
pluck,	প্লাক,	প্ল্যাক,	
ekaar,	একার,	একার,	
thailyanda,	থাইল্যান্ড,	থাইল্যান্ড,	
ibhaner,	ইভানের,	ইভানের,	
thai,	থাই,	থাই,	
udbodhani,	উদ্বধানী,	উদ্বোধনী,	
lyandim,	ল্যান্ডিং,	ল্যান্ডিং,	
chhotogalpe,	ছোটোগাল্পে,	ছোটগল্পে,	
doorger,	দর্গের,	দুর্গের,	
baitsh,	বাইটস,	বাইটস,	
easter,	ইস্টার,	ইস্টের,	
ghumachhe,	ঘুমাছে,	ঘুমাচ্ছে,	
mailer,	মেলের,	মেইলের,	
irish,	আইরিশ,	আইরিস,	
bamna,	বামনা,	বামনা,	
hajareebag,	হাজরীবাগ,	হাজারিবাগ,	
protizogiita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
choudhureeder,	চৌদুরিদের,	চৌধুরীদের,	
saqara,	সাকার,	সকার,	
internship,	ইন্টার্নশীপ,	ইন্টার্নশিপ,	
promoshone,	প্রমোশনে,	প্রোমোশনে,	
armstranj,	আর্মস্টাঞ্জ,	আর্মস্ট্রং,	
ongshograhon,	অংশগ্রহণ,	অংশগ্রহন,	
kirti,	কিরটি,	কীর্তি,	
anchalgoolir,	আঞ্চলগুলির,	অঞ্চলগুলির,	
bjp,	বিজিপ,	বিজেপি,	
coner,	কোনের,	কনের,	
asociates,	অসযাচিটেট,	এসোসিয়েটস,	
ancholsomuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
anan,	আনন,	আনান,	
bhaibonera,	ভাইবনেরা,	ভাইবোনেরা,	
blacker,	ব্লকের,	ব্ল্যাকের,	
dail,	ডেল,	ডেইল,	
carzer,	কার্জের,	চার্জের,	
manaber,	মানবের,	মানবের,	
quota,	কোয়াট,	কোটা,	
robe,	রবে,	রবে,	
shulke,	শুলকে,	শুল্কে,	
claus,	ক্লাউস,	ক্লজ,	
bhardwaj,	ভার্দবাজ,	ভরদ্বাজ,	
maladabha,	মালাদভা,	মলদোভা,	
chereche,	চেরেছে,	ছেড়েছে,	
manushera,	মানুসেরা,	মানুষেরা,	
hatodoridra,	হততাদর্দিরা,	হতদরিদ্র,	
ronangone,	রোনাঙ্গনে,	রণাঙ্গনে,	
safi,	সাফি,	সাফি,	
probeshkari,	প্রবেশকারি,	প্রবেশকারী,	
totokhon,	ততক্ষণ,	ততক্ষন,	
damonmoolok,	দমমনমূলক,	দমনমূলক,	
sepha,	সেফ,	শেফ,	
makang,	ম্যাকাং,	মেকং,	
lojic,	লোজিক,	লজিক,	
musolmanderkey,	মুসলামন্দকে,	মুসলমানদেরকে,	
gitikobita,	গিতিকবিতা,	গীতিকবিতা,	
modelgulo,	মদেলগুলো,	মডেলগুলো,	
dael,	ডাইল,	ডেইল,	
tamplate,	টেম্ললেট,	টেম্পলেট,	
kade,	কাডে,	কোড,	
bahaati,	বাহাটি,	বাহাতি,	
gondogol,	গণ্ডগোল,	গন্ডগোল,	
baarnis,	বার্নিস,	বার্নিশ,	
abhidhaneec,	আভিধানক,	অভিধানিক,	
shakar,	শকর,	সকার,	
gudamjato,	দুদুমজাত,	গুদামজাত,	
sahab,	সাহাব,	সাহাব,	
jotinkey,	জতিনকে,	যতীনকে,	
hailo,	হইল,	হইল,	
oncholsomuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
shikara,	শিকার,	শিকার,	
anchalsaho,	অঞ্চলসহহ,	অঞ্চলসহ,	
bbonyopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
chopal,	ছপাল,	চপল,	
keo,	কিও,	কেও,	
shikshagato,	শিক্ষাগত,	শিক্ষাগত,	
meghnabodh,	মেঘ্নবোধ,	মেঘনাদবধ,	
hamburge,	হ্যামবার্গে,	হামবুর্গে,	
leder,	লেডার,	লিডার,	
miley,	মিলে,	মাইলি,	
pachok,	পাছক,	পাচক,	
gare,	গের,	গোর,	
srichoitonyodeb,	শ্রীচৈতন্যদেব,	শ্রীচৈতন্যদেব,	
balroom,	বলরুম,	বলরুম,	
kark,	কার্ক,	কার্ক,	
baugey,	বাউগে,	বাগে,	
mesenjjarer,	মেসেঞজাজের,	মেসেঞ্জারের,	
crescenter,	ক্রিসেন্টের,	ক্রিসেন্টের,	
qanasarabheshana,	কনসারভেশন,	কনসারভেশন,	
ruble,	রাবেল,	রুবল,	
noitikatar,	নৈতিকততার,	নৈতিকতার,	
daankan,	ডাঁকান,	ডানকান,	
gajiipur,	গাজীপুর,	গাজীপুর,	
ispreedshit,	ইস্প্রেদধ,	স্প্রেডশীট,	
surarop,	সুরোরপ,	সুরারোপ,	
gunaman,	গুণামান,	গুণমান,	
toufeek,	তৌফিক,	তৌফিক,	
anis,	আনিশ,	আনিস,	
haryken,	হারিকেন,	হ্যারিকেন,	
potkaa,	পতকা,	পটকা,	
bufar,	বুফার,	বাফার,	
jadrel,	জাদ্রেল,	জাঁদরেল,	
shourshe,	সোর্ষ,	সোর্স,	
transafarma,	ট্রান্সফর্ম,	ট্রান্সফর্ম,	
natshi,	নাটসি,	নাত্সি,	
gudamjat,	গুদুমজা,	গুদামজাত,	
aksharke,	একসারকে,	অক্ষরকে,	
diyenes,	ডিয়েন্সে,	ডিএনএস,	
gemske,	জেমসকে,	জেমসকে,	
qiuti,	কিউটি,	কিউটি,	
