suiti,	স্যুটি,	সুইটি,	
definishhion,	ডিফিনিশন,	ডেফিনেশন,	
vushito,	ভূষিত,	ভূষিত,	
mukharji,	মুখার্জি,	মুখার্জী,	
dimbacriti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
grambaaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
daap,	ডাপ,	ড্যাপ,	
dara,	দারা,	দারা,	
kolahal,	কলাহল,	কোলাহল,	
netions,	নেটায়নস,	নেশনস,	
ministerer,	মিনিস্টারের,	মিনিস্টারের,	
abhinetar,	অভিনেতর,	অভিনেতার,	
nirmolotaa,	নির্মলতা,	নির্মলতা,	
bhotara,	ভোটরা,	ভোটার,	
hertj,	হার্জ,	হার্জ,	
santoshe,	সন্তোষে,	সন্তোষে,	
hydra,	হিদ্রা,	হাইড্রা,	
ipl,	ইপল,	আইপিএল,	
pravur,	প্রভূর,	প্রভুর,	
karkat,	করকত,	কর্কট,	
vedke,	ভেদকে,	বেদকে,	
machgulo,	মাছগুলো,	মাছগুলো,	
gazipore,	গজীপপের,	গাজিপুর,	
dharagulor,	ধারাগুলোর,	ধারাগুলোর,	
rahie,	রাহি,	রাহি,	
roi,	রই,	রায়,	
brek,	ব্র্যাক,	ব্রেক,	
baarbaadoj,	বার্বাডোজ,	বার্বাডোজ,	
mit,	মিট,	মিট,	
orthonitikey,	অর্থনীতিকে,	অর্থনীতিকে,	
bikargrasta,	বিকর্গস্ত,	বিকারগ্রস্ত,	
refleks,	রাইফেল্স,	রিফ্লেক্স,	
eenjil,	এঞ্জিল,	ইঞ্জিল,	
soras,	সরাস,	সরস,	
pyetarna,	পিটার্ন,	প্যাটার্ন,	
poripake,	পরিপাকে,	পরিপাকে,	
hiushtoner,	হিউস্টনের,	হিউস্টনের,	
kaash,	কাশ,	কাস,	
songostha,	সংস্থা,	সংস্থা,	
aholyar,	আহলির,	অহল্যার,	
dwipei,	দুইপেই,	দ্বীপেই,	
starker,	স্টার্কের,	স্টার্কের,	
zonsa,	জনসা,	জোন্স,	
chhutir,	ছুটির,	ছুটির,	
shaapholler,	সাফলের,	সাফল্যের,	
kanshat,	কাঁসাত,	কানসাট,	
instant,	ইন্সট্যান্ট,	ইনস্ট্যান্ট,	
chamke,	চামকে,	চমকে,	
easter,	ইস্টার,	ইস্টার,	
jes,	জেস,	জেস,	
chhanake,	চানকে,	ছানাকে,	
shomser,	শমসের,	সমশের,	
ovinetar,	অভিনেতর,	অভিনেতার,	
angshogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
bukhari,	বুখারী,	বুখারি,	
temonti,	টেমনটি,	তেমনটি,	
bairer,	বৈরের,	বাইরের,	
boron,	বরণ,	বোরন,	
phaksha,	ফক্স,	ফক্স,	
ponchaashjon,	পঞ্চাশন,	পঞ্চাশজন,	
daakticketer,	ডাক্টিকেটের,	ডাকটিকিটের,	
shootar,	শূতার,	শ্যুটার,	
noitikatavodh,	নৈতিকাঠব,	নৈতিকতাবোধ,	
gaddafii,	জাদ্দাফি,	গাদ্দাফী,	
templet,	টেম্পলেট,	টেম্পলেট,	
phoolkopi,	ফুলকপি,	ফুলকপি,	
hundai,	হান্ডড,	হুন্দাই,	
janaar,	জানার,	জানার,	
naitikatabodh,	নাতিকাবদ,	নৈতিকতাবোধ,	
ranadeep,	রানাদীপ,	রণদীপ,	
sainyara,	সৈন্যার,	সৈন্যরা,	
nathibhukteer,	নথিভুক্তির,	নথিভুক্তির,	
shrimoti,	শ্রীমতি,	শ্রীমতি,	
haphej,	হাফেজ,	হাফেয,	
rakshanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
onodhikaar,	অনধিকার,	অনধিকার,	
dai,	দাঈ,	দিই,	
ovijojan,	অভিযোজন,	অভিযোজন,	
sahabikey,	সাহাবিকে,	সাহাবীকে,	
protul,	প্রতুল,	প্রতুল,	
khoja,	খোজা,	খোজা,	
vorkendro,	ভর্কেন্দ্র,	ভরকেন্দ্র,	
vogni,	ভগ্নী,	ভগ্নী,	
bharatey,	ভারতে,	ভারতে,	
iksaprishana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
drishtiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
haraten,	হারাতেন,	হারাতেন,	
elakaatite,	এলাকাতিতে,	এলাকাটিকে,	
kottor,	কট্র,	কট্টর,	
manushder,	মানুষদের,	মানুষদের,	
jonsha,	জনসা,	জোন্স,	
kaande,	কাঁদে,	কাণ্ডে,	
shatjon,	সাজন,	সাতজন,	
bharpur,	ভারপুর,	ভরপুর,	
postac,	পোস্তক,	পোস্টকে,	
holding,	হলদিং,	হোল্ডিং,	
daebug,	দাবুগ,	ডিবাগ,	
arkimidish,	আর্কিডিড,	আর্কিমিডিস,	
hedge,	হেজ,	হেজ,	
tafsirer,	তাফসিরের,	তাফসীরের,	
vageroi,	ভাগেরই,	ভাগেরই,	
manob,	মানব,	মানব,	
setikey,	সেটিকে,	সেটিকে,	
itastato,	ইতাস্তত,	ইতস্ততঃ,	
stanehenge,	স্টেনহেঞ্জে,	স্টোনহেঞ্জ,	
sorajur,	সরাজুর,	সরযূর,	
asovo,	অসভ,	অসভ্য,	
airesey,	আইরেশে,	আইরেসে,	
chirakumari,	চিরকুমারী,	চিরকুমারী,	
biprodas,	বিপ্রদাস,	বিপ্রদাস,	
chedon,	চেদন,	ছেদন,	
ekar,	একর,	একার,	
protijogider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
desiseyer,	দেশিজের,	ডিজিজের,	
vagno,	ভাগ্ন,	ভগ্ন,	
motabolambira,	মোটবলম্বারা,	মতাবলম্বীরা,	
capsule,	ক্যাসলুল,	ক্যাপসুল,	
beekargrasta,	বিকর্রগ্্ত,	বিকারগ্রস্ত,	
horinner,	হরিনের,	হরিণের,	
niutrinoo,	নিউট্রিনো,	নিউট্রিনো,	
esoosiyetasa,	এসোসিয়েশ,	এসোসিয়েটস,	
vodka,	ভদকা,	ভদকা,	
afzol,	আফজল,	আফজল,	
anucheder,	অনুচেদের,	অনুচ্ছেদের,	
auxfordey,	অকফোর্ডে,	অক্সফোর্ডে,	
mitrao,	মিট্রো,	মিত্রও,	
carlosh,	চার্লস,	কার্লোস,	
upobaasher,	উপবাষের,	উপবাসের,	
murrayir,	মাররর,	ম্যারির,	
sanatoni,	সানাটনি,	সনাতনী,	
niketon,	নিকটত,	নিকেতন,	
mehonnotee,	মেহন্নটি,	মেহনতি,	
dharati,	ধারতি,	ধারাটি,	
jonomukhi,	জনমুখী,	জনমুখী,	
mishal,	মিশল,	মিশাল,	
ajija,	অজিজা,	আজিজা,	
dhas,	ধাষ,	ধস,	
bahubar,	বাহুবর,	বহুবার,	
antarvukto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
musalmanderkey,	মুসলামন্দাে,	মুসলমানদেরকে,	
jarmaniteo,	জার্মানিতে,	জার্মানিতেও,	
elaka,	এলক,	এলাকা,	
dhanni,	ধন্নি,	ধন্যি,	
sahabah,	সাহাবাহ,	সাহাবাহ,	
cannel,	ক্যানেল,	ক্যানেল,	
dhyanastho,	ধ্বানস্থ,	ধ্যানস্থ,	
neermolota,	নির্মলতা,	নির্মলতা,	
jibanta,	জীবন্ত,	জীবন্ত,	
unhu,	উনহু,	উঁহু,	
dhyanostho,	ধ্বানস্থ,	ধ্যানস্থ,	
pletoo,	প্লাট,	প্লেটো,	
karecho,	করেছ,	করেছো,	
hart,	হর্ট,	হার্ট,	
oedipus,	আদিপুশ,	ইডিপাস,	
tinhazar,	তিনহাজার,	তিনহাজার,	
vittiow,	ভিত্যও,	ভিত্তিও,	
poorohitder,	পুরোহিদের,	পুরোহিতদের,	
jwor,	জ্বর,	জ্বর,	
basa,	বস,	বাসা,	
lendl,	লেন্ড,	লেন্ডল,	
shadena,	সাদেন,	সাডেন,	
sompadoner,	সম্পাদনের,	সম্পাদনের,	
gutano,	গুটানো,	গুটানো,	
abheedhaaneeck,	অভিধানিক,	অভিধানিক,	
proman,	প্রমাণ,	প্রমান,	
ruble,	রাবেল,	রুবল,	
barbadoz,	বার্বাডোজ,	বার্বাডোজ,	
daktickete,	ডাক্টিকেট,	ডাকটিকিটে,	
madhobi,	মাধবী,	মাধবী,	
garnar,	গর্নের,	গার্নার,	
jatok,	যাটক,	জাতক,	
bhaangchoor,	ভাঙচুর,	ভাংচুর,	
santose,	সন্তোষে,	সন্তোষে,	
banijyikvittite,	বানিজিযিক্তিতে,	বাণিজ্যিকভিত্তিতে,	
mandanda,	মানদন্ড,	মানদণ্ড,	
deepan,	দীপান,	দীপন,	
auttacharer,	আত্তাচারের,	অত্যাচারের,	
vimshen,	ভিমেষেন,	ভীমসেন,	
saholobhyotar,	সহলভাত্মতার,	সহজলভ্যতার,	
definitian,	ডেফিনিয়ন,	ডেফিনেশন,	
khele,	খেলে,	খেলে,	
asar,	আসার,	আসর,	
sikh,	শিখ,	শিখ,	
bade,	বেড,	বাদে,	
bandi,	বন্দি,	বন্দী,	
sbaajaner,	স্বাজানের,	স্বজনের,	
drishyake,	দৃশ্যকে,	দৃশ্যকে,	
shikarer,	শিকরের,	শিকারের,	
potchitra,	পৎচিত্র,	পটচিত্র,	
poscime,	পশ্চিমে,	পশ্চিমে,	
bhenus,	ভিনাস,	ভেনাস,	
poscater,	পশ্চাতের,	পশ্চাতের,	
aabahan,	আবাহন,	আবাহন,	
nake,	নাকে,	নেক,	
uddhrity,	উদ্ধৃতি,	উদ্ধৃতি,	
karkatkranti,	কর্কাৎকারনটি,	কর্কটক্রান্তি,	
gardena,	গার্ডেন,	গার্ডেন,	
isosiyitasa,	ইসোসিয়েশ,	এসোসিয়েটস,	
shuter,	শুটের,	শ্যুটার,	
upobashee,	উপবাসী,	উপবাসী,	
bisnoo,	বিষ্ণ,	বিষ্ণু,	
elaakaao,	এলাকাও,	এলাকাও,	
segular,	সেগুলোর,	সেগুলোর,	
uporitole,	উপরিতলে,	উপরিতলে,	
jibanjapon,	জীবনজাপন,	জীবনযাপন,	
janmat,	জন্মাত,	জন্মাত,	
shukranu,	শুক্রাণু,	শুক্রানু,	
juktorastreo,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রেও,	
durger,	দার্গের,	দুর্গের,	
prabhritite,	প্রভৃতিতে,	প্রভৃতিতে,	
sambhabonao,	সম্ভাবনাও,	সম্ভবনাও,	
phern,	ফের্ন,	ফার্ন,	
mahe,	মহে,	মাহে,	
sikkharrtheerao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
sommotitey,	সম্মতিতে,	সম্মতিতে,	
break,	ব্রিক,	ব্রেক,	
nartan,	নর্টন,	নর্টন,	
karmosampadan,	কর্মসম্পদন,	কর্মসম্পাদন,	
telakoocha,	তেলাকুচা,	তেলাকুচা,	
dankan,	ডানকান,	ডানকান,	
shangsthatir,	সংস্থাতির,	সংস্থাটির,	
yura,	ইউরা,	ইউরো,	
dhormantor,	ধর্মন্তর,	ধর্মান্তর,	
nek,	নেক,	নেক,	
promosioney,	প্রমোশনে,	প্রোমোশনে,	
butha,	বুঠা,	বুথ,	
prastut,	প্রস্তুত,	প্রস্ত্তত,	
sikkhagoto,	শিক্ষাগত,	শিক্ষাগত,	
shomoshto,	সমস্ত,	সমস্ত,	
veenus,	ভিনাস,	ভেনাস,	
mosjidsaha,	মজিদসাসহ,	মসজিদসহ,	
maney,	মানি,	মানে,	
pashan,	পাশন,	পাষাণ,	
mahey,	মাহে,	মাহে,	
dokaneyi,	ডোকানেই,	দোকানেই,	
shift,	সিফট,	শিফট,	
sho,	সো,	শো,	
mastarsa,	মাস্টারস,	মাস্টার্স,	
stoner,	স্টনের,	স্টোনের,	
gobeshona,	গবেষণা,	গবেষনা,	
gandhariir,	গান্ধারীর,	গান্ধারীর,	
jeebanjapon,	জীবনজাপন,	জীবনযাপন,	
karo,	কারও,	কারো,	
primoo,	প্রিমো,	প্রিমো,	
samley,	সামলে,	সামলে,	
danakana,	ডানাকোনা,	ডানকান,	
schalarship,	স্কলারশিপ,	স্কলারশিপ,	
herfer,	হারফের,	হেরফের,	
latimer,	লাটিমের,	লাটিমের,	
mahakabi,	মহাকাবি,	মহাকবি,	
chhilonaa,	ছিলনা,	ছিলনা,	
omarjeeto,	অমারজিত,	অমার্জিত,	
pragress,	প্রগ্রেস,	প্রগ্রেস,	
enjineerinj,	ইনজাইনিরেন্জ,	ইঞ্জিনিয়ারিং,	
teereesa,	তেরেসা,	টেরেসা,	
bhugole,	ভুগলে,	ভূগোলে,	
tarkarir,	তরকারীর,	তরকারীর,	
harees,	হারিস,	হ্যারিস,	
prabhu,	প্রভূ,	প্রভু,	
nikot,	নিকট,	নিকট,	
enginiiring,	ইন্জিনির়ার,	ইঞ্জিনিয়ারিং,	
lokshero,	লক্ষেরও,	লক্ষেরও,	
ancholsoho,	অঞ্চলসহ,	অঞ্চলসহ,	
agamanke,	আগামানকে,	আগমনকে,	
elakatite,	এলাকাতিতে,	এলাকাটিকে,	
swosti,	স্বস্তি,	স্বস্তি,	
noiteek,	নৈতিক,	নৈতিক,	
teenti,	তিনটি,	তিনটি,	
fand,	ফন্ড,	ফান্ড,	
gunje,	গুঁজে,	গুঁজে,	
qeyboard,	কিবোর্ড,	কীবোর্ড,	
badaghat,	বদঘাট,	বাদাঘাট,	
indrani,	ইন্দ্রানী,	ইন্দ্রাণী,	
motar,	মতার,	মুতার,	
dhila,	ঢিল,	ঢিলা,	
byaboshtha,	ব্যবস্থা,	ব্যাবস্থা,	
doltyagi,	দলত্যাগি,	দলত্যাগী,	
santoshpore,	সন্তঃসপূরে,	সন্তোষপুর,	
madaul,	মাদাল,	মাদল,	
rupantor,	রূপান্তর,	রুপান্তর,	
kriita,	কৃত,	ক্রীট,	
ahollar,	আহলার,	অহল্যার,	
diphinision,	ডিফিনিশন,	ডেফিনেশন,	
nathibhookteer,	নথিভুক্তির,	নথিভুক্তির,	
hepetaitisa,	হাইপোটিটিস,	হেপাটাইটিস,	
kamti,	কামটি,	কমতি,	
koomari,	কুমারী,	কুমারী,	
ajijer,	অজিজের,	আজিজের,	
chamsky,	চামসিকে,	চমস্কি,	
siddhantai,	সিদ্বান্তই,	সিদ্ধান্তই,	
heenna,	হিন্না,	হেনা,	
kona,	কোন,	কণা,	
gunze,	গুঁজে,	গুঁজে,	
nicqel,	নিকেল,	নিকেল,	
fatakasto,	ফটকাাস্ট,	ফাটাকেষ্ট,	
peterkay,	পেটেরকে,	পিটারকে,	
baibosthaar,	ব্যবস্থার,	ব্যবস্থার,	
phiqsa,	ফিক্স,	ফিক্স,	
footbalarer,	ফুটবলারের,	ফুটবলারের,	
beekargrasto,	বিকগ্রস্ত,	বিকারগ্রস্ত,	
mohisho,	মহিশ,	মহিষ,	
moolgoto,	মূলগত,	মূলগত,	
zoonite,	জোনিতে,	যোনীতে,	
heavi,	হেভি,	হেভি,	
dreestiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
plen,	প্লেন,	প্লেন,	
modeel,	মোদেল,	মডেল,	
dala,	দল,	দলা,	
cholochchitragulor,	চলচ্চিত্রগুলোর,	চলচ্চিত্রগুলোর,	
bite,	বিতে,	বাইট,	
granthatike,	গ্রন্থাটিকে,	গ্রন্থটিকে,	
graambasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
baik,	বাইক,	বাইক,	
ekpashe,	একপাশে,	একপাশে,	
qindama,	কিন্ডম,	কিংডম,	
enasiyenta,	এনসিয়েন্ট,	এনসিয়েন্ট,	
jeebnagore,	জীবনাগরে,	জীবননগর,	
maddhukkori,	মধ্যকুরি,	মাধুকরী,	
aairish,	আইরিশ,	আইরিস,	
timathi,	তিমাি,	টিমোথি,	
shikh,	শিখ,	শিখ,	
lesens,	লেসেনস,	লাইসেন্স,	
chilahati,	চিলাহটি,	চিলাহাটি,	
bhaandare,	ভান্ডারে,	ভাণ্ডারে,	
shaddhii,	সাধ্যী,	সাধ্বী,	
swasti,	স্বস্তি,	স্বস্তি,	
paare,	পারে,	পাড়ে,	
kabutarer,	কাবুটারের,	কবুতরের,	
larshon,	লার্সন,	লারসন,	
shattoki,	সাত্যকি,	সাত্যকি,	
quari,	কোরি,	কোয়েরি,	
keram,	কেরম,	কেরাম,	
zerusalemer,	জেরুসামেের,	জেরুজালেমের,	
potcheetrer,	পৎচিত্রের,	পটচিত্রের,	
jemser,	জেমসের,	জেমসের,	
phising,	ফিজিং,	ফিসিং,	
parksh,	পার্কস,	পার্কস,	
falashrutite,	ফলস্রুতিতে,	ফলশ্রুতিতে,	
faltir,	ফলটির,	ফলটির,	
akbakye,	একবাকে,	একবাক্যে,	
kayartara,	কার্টার,	কোয়ার্টার,	
patjato,	পাজাত,	পাটজাত,	
digree,	ডিগ্রী,	ডিগ্রি,	
jhalkathee,	ঝালকাঠি,	ঝালকাঠী,	
nirabata,	নীরবতা,	নিরবতা,	
silwar,	সিলভার,	সিলভার,	
bongsho,	বংশ,	বংশ,	
seector,	সেক্টর,	সেক্টর,	
basiney,	বাসিনে,	বেসিনে,	
dokaangoolote,	দোকানগুলোতে,	দোকানগুলোতে,	
noitikota,	নৈতিকতা,	নৈতিকতা,	
chani,	চানি,	ছানি,	
ikbaler,	ইকবালের,	ইকবালের,	
onshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
bheenama,	ভেনামা,	ভেনম,	
nikat,	নিকট,	নিকট,	
kadom,	কদদ,	কদম,	
shelinar,	সেলিনার,	সেলিনার,	
suporichita,	সুপরিচিত,	সুপরিচিত,	
naarsari,	নার্সারী,	নার্সারি,	
plete,	প্লেট,	প্লেট,	
seekkhagoto,	শিক্ষাগত,	শিক্ষাগত,	
oncoltike,	অনচলটিকে,	অঞ্চলটিকে,	
baibosthar,	ব্যবস্থার,	ব্যবস্থার,	
podarthobid,	পদার্থবিদ,	পদার্থবিদ,	
ansarir,	আনসারির,	আনসারীর,	
turbiner,	টার্িনের,	টারবাইনের,	
armeniyana,	আরমেনিয়ান,	আর্মেনিয়ান,	
cathalic,	ক্যাথলিক,	ক্যাথলিক,	
aajij,	আজিজ,	আজিজ,	
jatata,	যতটা,	যতোটা,	
srabosty,	স্রবস্তি,	শ্রাবস্তী,	
loukikota,	লৌকিকতা,	লৌকিকতা,	
dologuloo,	দলগুলো,	দলগুলোও,	
ala,	অলো,	আলা,	
vaibonera,	ভাইবনেরা,	ভাইবোনেরা,	
johor,	জোহর,	জহর,	
orbiit,	অর্বিত,	অরবিট,	
saoum,	সাম,	সাওম,	
thetcher,	থেয়ের,	থ্যাচার,	
chetonagoto,	চেতনাগত,	চেতনাগত,	
sosharire,	সশরীরে,	সশরীরে,	
boneo,	বোনেও,	বনেও,	
seektara,	সেক্টর,	সেক্টর,	
apoharon,	অপহরণ,	অপহরন,	
allahabadey,	আলাহাবাদে,	এলাহাবাদে,	
janake,	জনকে,	জানাতে,	
directarate,	ডিরেক্টরেট,	ডিরেক্টরেট,	
bunot,	বুনোট,	বুনট,	
dharabiktir,	ধারাবিক্তির,	ধারাবাহিকটির,	
soccer,	সক্র,	সকার,	
bhabanipur,	ভবানীপুর,	ভবানীপুর,	
ispredshit,	ইস্প্রেশ্,	স্প্রেডশীট,	
masjidtir,	মাজিদ্তির,	মসজিদটির,	
jothartho,	যথার্থ,	যথার্থ,	
roktokhorone,	রক্তখরণে,	রক্তক্ষরণে,	
dharabhashyokar,	ধারাভাস্যকার,	ধারাভাষ্যকার,	
sudhui,	সুধুই,	শুধুই,	
obdee,	অব্দি,	অব্দি,	
arsie,	আর্সি,	আরসিএ,	
istara,	ইস্টার,	ইস্টার,	
hili,	হিলি,	হিলি,	
monhputo,	মনহুত,	মনঃপুত,	
venus,	ভিনাস,	ভেনাস,	
naitikatar,	নাতিকাতার,	নৈতিকতার,	
santa,	সান্ত,	স্যান্টা,	
pooshti,	পুশ্তি,	পুষ্টি,	
pretishta,	প্রেটিস্ট,	প্রতিষ্টা,	
ceramiqs,	কেরামিকস,	সিরামিকস,	
senabahinio,	সেনাবাহিনী,	সেনাবাহিনীও,	
rubol,	রুবল,	রুবল,	
kortonaa,	কর্তনা,	করতনা,	
asamorthito,	অসমর্থিত,	অসমর্থিত,	
shudhui,	সুধুই,	শুধুই,	
dharmi,	ধর্মি,	ধর্মী,	
kiutie,	কিউটি,	কিউটি,	
mache,	মেছে,	মাছে,	
asantosh,	অসান্তস,	অসন্তোষ,	
chalachchitrei,	চলচিত্রেই,	চলচ্চিত্রেই,	
rk,	এর,	আরকে,	
aanis,	আনিষ,	আনিস,	
byaboharkariderkey,	ব্যবহারকারীকে,	ব্যবহারকারীদেরকে,	
bosanta,	বসন্ত,	বসন্ত,	
janar,	জানার,	জানার,	
anyoroop,	অন্যরূপ,	অন্যরূপ,	
arik,	এরিক,	আরিক,	
chetanagato,	চেতনাগত,	চেতনাগত,	
cooling,	কোলিং,	কুলিং,	
timur,	টিমুর,	তিমুর,	
duckticket,	ডাক্টিকেট,	ডাকটিকিট,	
photanor,	ফটানোর,	ফোটানোর,	
ancholgoolir,	আঞ্চলগুলির,	অঞ্চলগুলির,	
hepataitisa,	হাইপোটাইট,	হেপাটাইটিস,	
dubaate,	দুবাতে,	ডুবাতে,	
ovarviu,	অভারভি,	ওভারভিউ,	
iukyaliptasha,	ইউক্যালিপেেস্টা,	ইউক্যালিপ্টাস,	
hotodoridro,	হতদরীদ্র,	হতদরিদ্র,	
shhcholashtik,	স্লোলাস্টিক,	স্কলাস্টিক,	
shoodhooi,	সূধুই,	শুধুই,	
oshamanno,	ওসামান্য,	অসামান্য,	
karoo,	কারও,	কারো,	
uter,	উটের,	উটের,	
skoora,	স্কোর,	স্কোর,	
oitihye,	ঐতিহ্যে,	ঐতিহ্যে,	
nodigulo,	নদিগুলো,	নদীগুলো,	
bondira,	বন্দিরা,	বন্দীরা,	
neshnos,	নেশনো,	নেশনস,	
satarkatar,	সর্তকতার,	সতর্কতার,	
onnoroop,	অন্যরূপ,	অন্যরূপ,	
chet,	চেত,	চ্যাট,	
phutonta,	ফুটন্ত,	ফুটন্ত,	
udbodhaney,	উদ্বোধনে,	উদ্বোধনে,	
mugdaal,	মুগদল,	মুগডাল,	
tempaleta,	টেম্পলেট,	টেম্পলেট,	
aazadir,	আজাদির,	আজাদীর,	
zacksan,	জককশন,	জ্যাকসন,	
kaferderke,	কাফেরকে,	কাফেরদেরকে,	
edaning,	এডনাং,	ইদানিং,	
bhezano,	ভেজানো,	ভেজানো,	
carpeter,	কারপেটের,	কার্পেটের,	
abdur,	আবদুর,	আবদুর,	
khodeja,	খোদেজা,	খোদেজা,	
superhera,	সুপারহারা,	সুপারহিরো,	
kormi,	কর্মী,	কর্মই,	
saarbhaarer,	সারভারের,	সার্ভারের,	
keyuyi,	কেউই,	কেউই,	
deeputy,	দিপুতি,	ডেপুটি,	
veenicee,	ভিনিস,	ভেনিস,	
kraima,	ক্রাইম,	ক্রাইম,	
nilkomol,	নিলকমল,	নীলকমল,	
pratimar,	প্রতিমার,	প্রতিমার,	
gunjey,	গুঁজে,	গুঁজে,	
idaning,	ইডেনিং,	ইদানীং,	
bipozzonok,	বিপদজ্জনক,	বিপজ্জনক,	
jees,	জিস,	জেস,	
konagulo,	কোনগুলো,	কণাগুলো,	
nabatamo,	নবাতম,	নবতম,	
jemy,	জেমি,	জেমি,	
nilkamal,	নিলকমল,	নীলকমল,	
loukeekota,	লৌকিকতা,	লৌকিকতা,	
manahputo,	মানপুত,	মনঃপুত,	
nironjon,	নিরঞ্জন,	নিরঞ্জন,	
sanaktakaroner,	সনকক্তকরণের,	সনাক্তকরণের,	
shangkalone,	সংকললনে,	সংকলনে,	
vip,	ভিপ,	ভিআইপি,	
lyataa,	ল্যাট,	ল্যাটা,	
hamburgey,	হাম্বর্জে,	হামবুর্গে,	
orthonitite,	অর্থনীতিতে,	অর্থনীতিতে,	
euroo,	ইউরো,	ইউরো,	
jomanor,	জমানোর,	জমানোর,	
fanding,	ফন্ডিং,	ফান্ডিং,	
onchalgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
dekhbaar,	দেখবার,	দেখবার,	
cherechhe,	চেরেছে,	ছেড়েছে,	
samajer,	সমাজের,	সমাজের,	
shoreef,	শরীফ,	শরিফ,	
vumija,	ভূমিজা,	ভূমিজ,	
marri,	মেরি,	ম্যারি,	
teamothy,	তেমথি,	টিমোথি,	
stonehenge,	স্ট্নেনহেঞ্জে,	স্টোনহেঞ্জ,	
kuchir,	কুচির,	কুচির,	
nirapottamulok,	নিরাপততমূমক,	নিরাপত্তামূলক,	
firozer,	ফিরজের,	ফিরোজের,	
riphleeksa,	রিফ্লেক্স,	রিফ্লেক্স,	
phirth,	ফির্থ,	ফার্থ,	
shepherd,	সেফার্ড,	শেফার্ড,	
nodnodeer,	নদ্যদীর,	নদনদীর,	
seekkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
sunagorik,	সানাগরিক,	সুনাগরিক,	
ojowno,	অজৌন্ন,	অযৌন,	
shaattoki,	সাত্যকি,	সাত্যকি,	
saabbir,	সাবির,	সাব্বির,	
samoshtike,	সমস্তিকে,	সমষ্টিকে,	
ekoghoore,	একঘরে,	একঘরে,	
nirbachakder,	নির্বাচকদের,	নির্বাচকদের,	
alimpika,	আলিম্পিক,	অলিম্পিক,	
dule,	দুলে,	ডালে,	
gorib,	গরীব,	গরিব,	
cyphy,	সিফি,	সাইফাই,	
addabaj,	আদ্যাবাজ,	আড্ডাবাজ,	
poorohitra,	পুরোহিত্র,	পুরোহিতরা,	
roy,	রয়,	রায়,	
durgondher,	দুরগন্ধের,	দুর্গন্ধের,	
asocietes,	অসোসিয়েট,	এসোসিয়েটস,	
aziz,	আজিজ,	আজিজ,	
komatei,	কমাতেই,	কমাতেই,	
nisad,	নিষদ,	নিষাদ,	
hyaloyin,	হ্যালোইন,	হ্যালোইন,	
sosoa,	শস্য,	শশা,	
kooshumba,	কুসুম্ব,	কুশুম্বা,	
chess,	চেষ,	চেস,	
pravu,	প্রভূ,	প্রভু,	
gor,	গোর,	গোর,	
suparheiro,	সুপারহেরা,	সুপারহিরো,	
ishtone,	ইস্টনে,	স্টোন,	
sikkhao,	শিক্ষাও,	শিক্ষাও,	
jerusalema,	জেরুসলমম,	জেরুসালেম,	
fartha,	ফোর্থ,	ফার্থ,	
byke,	বিকে,	বাইক,	
moonim,	মোনিং,	মুনিম,	
tukrote,	টুকরতে,	টুকরোতে,	
gaze,	গেজ,	গেজ,	
jatinkey,	জাতিনকে,	যতীনকে,	
ibhaner,	ইভানের,	ইভানের,	
sahosikotaar,	সহসিকতার,	সাহসিকতার,	
parisankhyanvid,	পরিসংখ্যনবি,	পরিসংখ্যানবিদ,	
jwaluk,	জ্বালুক,	জ্বলুক,	
bajhyo,	বাঝ্য,	বাহ্য,	
vasturyi,	বস্তুরই,	বস্তুরই,	
khodeza,	খোদেজা,	খোদেজা,	
mukhbondho,	মুখবন্ধ,	মুখবন্ধ,	
sangkoolan,	সংকুলন,	সংকুলান,	
thishisher,	থিসিসের,	থিসিসের,	
labonaktotar,	লবনাক্ততার,	লবণাক্ততার,	
deul,	ডিউল,	দেউল,	
vabook,	ভাবুক,	ভাবুক,	
thare,	থের়ার,	থরে,	
asiph,	আসিফ,	আসিফ,	
nabam,	নবাম,	নবম,	
shasheja,	শাসেজা,	সসেজ,	
cholchhe,	চলছে,	চলছে,	
qaferder,	কাফেরদের,	কাফেরদের,	
utsaahe,	উত্সাহে,	উৎসাহে,	
samajikatar,	সামাজিকতার,	সামাজিকতার,	
everest,	ইভারেস্ট,	এভারেস্টে,	
roomantic,	রোমান্টিক,	রোমান্টিক,	
dhhalur,	ঢালুর,	ঢালুর,	
