nagarikderkey,	নগরীকদ্রে,	নাগরিকদেরকে,	
osomorthito,	অসমর্থিত,	অসমর্থিত,	
kaalniir,	কালনীর,	কালনীর,	
sheramiksh,	শেরামিক্স,	সিরামিকস,	
neelabh,	নীলভ,	নীলাভ,	
osthisandhi,	অস্তিসানধি,	অস্থিসন্ধি,	
bossonte,	বসন্তে,	বসন্তে,	
diana,	ডায়ন,	ডায়না,	
anadhikar,	অনাধিকার,	অনধিকার,	
bhandar,	ভান্ডার,	ভাণ্ডার,	
rahee,	রাহি,	রাহী,	
purohitder,	পুরুহিদদের,	পুরোহিতদের,	
koyeeri,	কয়েরি,	কোয়েরি,	
shamuk,	সামুক,	শামুক,	
aksharke,	অক্ষরকে,	অক্ষরকে,	
choudhooreeke,	চৌধুরিকে,	চৌধুরীকে,	
amstrong,	আম্স্র্ঞ,	আর্মস্ট্রং,	
agibon,	আগীবন,	আজীবন,	
poschimae,	পশ্চিমে,	পশ্চিমে,	
ayantarketika,	অ্যান্টর্টিক,	অ্যান্টার্কটিকা,	
kyamone,	ক্যামনে,	কেমনে,	
direktareta,	ডিরেক্টরেট,	ডিরেক্টরেট,	
cheef,	চিফ,	শেফ,	
chalo,	চালো,	চলো,	
johnsh,	জনস,	জন্স,	
bishwashke,	বিশ্বাসকে,	বিশ্বাসকে,	
arashie,	আরাসী,	আরসিএ,	
ssahosikotar,	সহসিকতার,	সাহসিকতার,	
sita,	সীতা,	সিট,	
sunagarik,	সুনারাগিক,	সুনাগরিক,	
shaatjoner,	সাতজনের,	সাতজনের,	
moochi,	মুচি,	মুচি,	
gheshe,	ঘেষে,	ঘেঁষে,	
chalochchitrei,	চলচিত্রেই,	চলচ্চিত্রেই,	
jonosonjog,	জনসংযোগ,	জনসংযোগ,	
sohokari,	সহকারি,	সহকারী,	
bibecchyo,	বিবেছ্ছ,	বিবেচ্য,	
america,	আমেরিকা,	আমেরিকা,	
jibanto,	জীবন্ত,	জীবন্ত,	
shulke,	শুলকে,	শুল্কে,	
kindom,	কিন্দম,	কিংডম,	
treebhuj,	ত্রিভুজ,	ত্রিভূজ,	
dito,	দ্ব,	দিতো,	
alaol,	আলাল,	আলাওল,	
nariider,	নারীদের,	নারীদের,	
sheema,	সীম,	সীমা,	
amitrakkhor,	অমিত্রক্ষর,	অমিত্রাক্ষর,	
heenna,	হিন্না,	হেনা,	
shringgo,	শ্রীঞ্গ,	শৃঙ্গ,	
amantrita,	অমন্ত্রিত,	আমন্ত্রিত,	
dolguloo,	দলগুলো,	দলগুলোও,	
sarboshaktimaan,	সর্বস্কতিপণ,	সর্বশক্তিমান,	
graambasio,	গ্রামবাসিও,	গ্রামবাসীও,	
jaanalo,	জানালো,	জানালো,	
ganoporibahaner,	গণপরিবহণের,	গণপরিবহনের,	
abasarer,	অবসারের,	অবসরের,	
bisshaso,	বিশ্বাস,	বিশ্বাসও,	
spredsheet,	স্প্রেশিট,	স্প্রেডশীট,	
akik,	আকিক,	আকিক,	
codeguli,	কোদেগুলি,	কোডগুলি,	
joqy,	জককি,	জকি,	
hotodoreedro,	হতদদ্রীর,	হতদরিদ্র,	
bafal,	বাফল,	বিফল,	
bimaataa,	বিমাতা,	বিমাতা,	
piroojalee,	পিরোজীল,	পিরুজালী,	
tenis,	টেনিস,	টেনিস,	
dhojobhongo,	ধবজজগ,	ধ্বজভঙ্গ,	
peerry,	পেরি,	পেরি,	
jamjomat,	জামমমত,	জমজমাট,	
mesenjjarer,	মেশেঞজজারের,	মেসেঞ্জারের,	
manonitader,	মনোনিতদের,	মনোনীতদের,	
sikkhagoto,	শিক্ষাগত,	শিক্ষাগত,	
oncholsomuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
shoochonakal,	সূচনাকাল,	সূচনাকাল,	
khaneker,	খানকের,	খানেকের,	
maszid,	মাসগিদ,	মসজিদ,	
monir,	মনির,	মনির,	
ekshoti,	একশটি,	একশোটি,	
vandare,	ভান্ডারে,	ভাণ্ডারে,	
texaser,	টেকাসেস,	টেক্সাসের,	
jini,	জিনি,	যিনি,	
wenice,	ভেনেস,	ভেনিস,	
roopa,	রূপ,	রুপা,	
uchchatara,	উচ্চতার,	উচ্চতর,	
toubar,	তৌবার,	তওবার,	
karmosampadan,	কর্মসম্পদন,	কর্মসম্পাদন,	
ganohotyar,	গণহ্যত্র,	গণহত্যার,	
palki,	পালকি,	পাল্কি,	
mozlish,	মজলিস,	মজলিশ,	
danob,	দানব,	দানব,	
sosoa,	সসসা,	শশা,	
jeansh,	জিন্স,	জিন্স,	
chani,	চানি,	ছানি,	
zerusaleme,	জেরোসামাইম,	জেরুসালেমে,	
aarcie,	আর্সি,	আরসিএ,	
jatee,	জাতি,	যাতি,	
fridom,	ফ্রিডম,	ফ্রীডম,	
syfy,	সিফি,	সাইফাই,	
konan,	কোনন,	কোনান,	
koilas,	কৈলাস,	কৈলাস,	
jeesh,	জিস,	জেস,	
taffsher,	টাফসের,	তাফসীর,	
mukhobandha,	মুখবব্ধ,	মুখবন্ধ,	
prakalpagulo,	প্রকলাপগুলো,	প্রকল্পগুলো,	
jahara,	জাহরা,	যাহরা,	
expressian,	এক্সপ্রেশেন,	এক্সপ্রেশন,	
abhidhaner,	অভিধানের,	অভিধানের,	
antarvuktimulok,	অন্তর্ভূত্চিকূক,	অন্তর্ভুক্তিমূলক,	
karmokarer,	কর্মকারের,	কর্মকারের,	
bang,	বাং,	ব্যাং,	
beetlaser,	বিটলাসের,	বিটলসের,	
saifai,	সাইফাই,	সাইফাই,	
prithibir,	পৃথিবীর,	পৃথবীর,	
shoreef,	শরীফ,	শরিফ,	
hafsa,	হাফস,	হাফসা,	
aabarto,	আবার্ত,	আবর্ত,	
sqarta,	স্কার্ট,	স্কার্ট,	
adhyattik,	আধ্যাত্তিক,	আধ্যাত্মিক,	
hizrite,	হিজরিতে,	হিজরীতে,	
stoone,	স্টুন,	স্টোন,	
kreedita,	ক্রিদিত,	ক্রেডিট,	
samashti,	সমস্তি,	সমষ্টি,	
maniktola,	মানিক্লালা,	মানিকতলা,	
istoone,	ইস্টুন,	স্টোন,	
hyaloin,	হ্যালইন,	হ্যালোইন,	
asamonjoshopurno,	অসমাসঙ্পূন্রর,	অসামঞ্জস্যপূর্ণ,	
vabnake,	ভবনাকে,	ভাবনাকে,	
sahojlovyotar,	সহজভোল্তার,	সহজলভ্যতার,	
oshthad,	অস্থাদ,	ওস্তাদ,	
phood,	ফুড,	ফুড,	
deul,	ডিউল,	দেউল,	
risort,	রিসোর্ট,	রিসোর্ট,	
prabhritir,	প্রভৃতির,	প্রভৃতির,	
debholopar,	ডেভলপার,	ডেভলপার,	
temonti,	টেমনটি,	তেমনটি,	
saaralya,	সারল্যা,	সারল্য,	
dooborira,	দুবরিরা,	ডুবুরিরা,	
prodip,	প্রদিপ,	প্রদীপ,	
agara,	আগার,	আগোরা,	
dasha,	দশা,	দোসা,	
drissoteer,	দৃশ্যটির,	দৃশ্যটির,	
cholochchitrai,	চলচিত্রেই,	চলচ্চিত্রই,	
poorohitder,	পুরুহিদদের,	পুরোহিতদের,	
samaptir,	সমাপ্তির,	সমাপ্তির,	
sathikata,	সাথিকতা,	সঠিকতা,	
bbiswasho,	বিশ্বাস,	বিশ্বাসও,	
totokshon,	ততক্ষণ,	ততক্ষন,	
oitihya,	ঐতিহ্য,	ঐতিহ্য,	
engrezra,	ইংরেজ্য,	ইংরেজরা,	
beatleser,	বিটলেসের,	বিটলসের,	
prostutkarak,	প্রস্তুতকাক,	প্রস্তুতকারক,	
peterke,	পেটার্কে,	পিটারকে,	
hunayn,	হানোন,	হুনাইন,	
playtey,	প্লেটে,	প্লেটে,	
chalaabi,	চালাবি,	চালাবে,	
muktoome,	মককমুমে,	মাকতুম,	
artillary,	আর্টালির,	আর্টিলারি,	
ganaparibahan,	গণপরিবহন,	গণপরিবহন,	
adhyatmikata,	আধ্যাত্মকতা,	আধ্যাত্মিকতা,	
evil,	এভিল,	ইভিল,	
mashtersh,	মাস্টের্শ,	মাস্টার্স,	
radhanagar,	রাধনাগর,	রাধানগর,	
joneser,	জোনেসের,	জোন্সের,	
heawy,	হেও,	হেভি,	
taholo,	তাহলো,	তাহলো,	
dor,	দর,	দোর,	
nothivukta,	নথিভুক্ত,	নথিভুক্ত,	
harbur,	হার্বুর,	হারবার,	
elakaasoho,	এলাকাসহ,	এলাকাসহ,	
boudhher,	বৌদ্ধের,	বৌদ্ধের,	
myathiou,	ম্যাথিও,	ম্যাথিউ,	
srisri,	শ্রীষ্রী,	শ্রীশ্রী,	
kaalki,	কালকি,	কালকি,	
cheentaikaree,	চিনতাইকারী,	ছিনতাইকারী,	
kemaney,	কেমনে,	কেমনে,	
sirameeks,	সিরামিক্স,	সিরামিকস,	
sangrahok,	সংগ্রাহক,	সংগ্রাহক,	
superheiro,	সুপারিহরা,	সুপারহিরো,	
manikyo,	মানিক্য,	মানিক্য,	
foxkon,	ফক্সন,	ফক্সকন,	
kkhur,	ক্ষুর,	ক্ষুর,	
govornorer,	গভর্নরের,	গভর্ণরের,	
prosadhani,	প্রসাধানী,	প্রসাধনী,	
majlish,	মাললিশ,	মজলিশ,	
porizon,	পরিজন,	পরিজন,	
vortuki,	ভর্তুকি,	ভর্তুকি,	
basa,	বাসা,	বাসা,	
kaalaam,	কালাম,	কালাম,	
enimeted,	এনিমেটেড,	এনিমেটেড,	
iqbalke,	ইকবালকে,	ইকবালকে,	
antarctica,	অন্টর্ক্টিক্স,	অ্যান্টার্কটিকার,	
mukhomandal,	মুখমন্ডল,	মুখমণ্ডল,	
cheerontan,	চিরন্তান,	চিরন্তন,	
karle,	করলে,	করলে,	
puroheetke,	পুরুহিতকে,	পুরোহিতকে,	
tooni,	তুনি,	টুনি,	
nadnodeer,	নদ্দনীর,	নদনদীর,	
tinage,	টিনগেজ,	টিনেজ,	
huqa,	হুক,	হুক,	
solil,	সলিল,	সলিল,	
rinatmok,	ঋণাত্মক,	ঋনাত্মক,	
chetnagato,	চেতনাগত,	চেতনাগত,	
tonu,	তনু,	তনু,	
neurolojy,	নিওরলজী,	নিউরোলজি,	
marmader,	মারমাদের,	মারমাদের,	
nabyota,	নব্যতা,	নাব্যতা,	
azaan,	আজান,	আজান,	
gobeshanagar,	গবেষণাগার,	গবেষনাগার,	
bondiike,	বন্দীকে,	বন্দীকে,	
nothivookto,	নথিভুক্ত,	নথিভুক্ত,	
markeetim,	মার্কেটিং,	মার্কেটিং,	
dobhara,	ডভার,	ডোভার,	
laesens,	লেসন্স,	লাইসেন্স,	
nartana,	নর্টন,	নর্টন,	
tersa,	টার্স,	টেরেসা,	
shiropa,	শিরপপ,	শিরোপা,	
lutherana,	লুথারন,	লুথেরান,	
jakkha,	যক্ষ্যা,	যক্ষ,	
bonsho,	বনশ,	বংশ,	
dosa,	দোসা,	দোসা,	
onkush,	অঙ্কুষ,	অংকুশ,	
tusho,	তুষ্,	তুসো,	
templete,	টেম্পলেট,	টেম্পলেট,	
panthar,	পাঁথার,	পন্থার,	
ganokantha,	গণকণ্ঠ,	গণকণ্ঠ,	
maldava,	মালদাহা,	মলদোভা,	
casper,	ক্যাস্পার,	ক্যাসপার,	
juktorashtre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
mojdoor,	মজদুর,	মজদুর,	
kleentoner,	ক্লিন্টানের,	ক্লিনটনের,	
ovishongshon,	অভিশং্সন,	অভিশংসন,	
afzal,	আফজাল,	আফজল,	
hart,	হার্ট,	হার্ট,	
maadhoobir,	মাধবীর,	মাধবীর,	
soteciety,	সোটেচিট্টি,	সোসাইটিতে,	
duburira,	দুবুরিরা,	ডুবুরিরা,	
porishromi,	পরিশ্রমী,	পরিশ্রমী,	
overview,	অভারভিউ,	ওভারভিউ,	
maladabha,	মালাদাহ,	মলদোভা,	
developer,	ডেভেপপার,	ডেভলপার,	
kalki,	কলকী,	কালকি,	
gripe,	গ্রিপে,	গ্রিপ,	
proshtot,	প্রস্তত,	প্রস্ত্তত,	
matorom,	মটোরম,	মাতরম,	
praapokke,	প্রাপককে,	প্রাপককে,	
bbosonte,	বসন্তে,	বসন্তে,	
khelaphatey,	খেলাফাতে,	খেলাফতে,	
sajja,	সাজ্যা,	সজ্জা,	
udvaboney,	উদ্ভাবনে,	উদ্ভাবনে,	
poorbancholer,	পূর্ববঞ্চলের,	পূর্বাঞ্চলের,	
nirvachaker,	নির্বাচকের,	নির্বাচকের,	
valapuk,	ভালাপুক,	ভোলাপুক,	
saajanor,	সাজানর,	সাজানোর,	
morodeho,	মরোদেহ,	মরদেহ,	
karaa,	কারা,	কারো,	
obharbheeu,	অভারভী,	ওভারভিউ,	
dhanni,	ধননি,	ধন্যি,	
uddhrita,	উদ্ধৃত,	উদ্ধৃত,	
nabom,	নবম,	নবম,	
thakte,	থাকতে,	থাকতে,	
vastuvad,	বস্তুবাদ,	বস্তুবাদ,	
janalo,	জানলো,	জানালো,	
pubancholer,	পূব্যচন্লের,	পূর্বাঞ্চলের,	
sampadoner,	সম্পাদনের,	সম্পাদনের,	
shomrat,	সম্রত,	সম্রাট,	
venkates,	ভেনকাতেস,	ভেঙ্কটেশ,	
ekshor,	এক্সর,	একশোর,	
krisenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
kyathlik,	ক্যাথলিক,	ক্যাথলিক,	
thishisher,	ঠিশিষের,	থিসিসের,	
conserwation,	কনসারেশন,	কনসারভেশন,	
dhhaloor,	ঢালুর,	ঢালুর,	
maaktoome,	মাককুমে,	মাকতুম,	
hoolding,	হোল্ডিং,	হোল্ডিং,	
boarana,	বোরান,	বোরন,	
definishian,	ডেফিনিশন,	ডেফিনেশন,	
sahozlabhbhatar,	সহজভাজভতার,	সহজলভ্যতার,	
manzurul,	মন্জুরুল,	মনজুরুল,	
muradke,	মুরাদকে,	মুরাদকে,	
chironton,	চিরন্তন,	চিরন্তন,	
sahajlabhbhotar,	সহজভাভভতার,	সহজলভ্যতার,	
amshtrong,	অ্যস্ট্র্ঞ্জ,	আর্মস্ট্রং,	
macho,	মাচ,	মাছও,	
dunkan,	দুনকন,	ডানকান,	
korkotkraantee,	কর্কতর্তন্তী,	কর্কটক্রান্তি,	
upobaashee,	উপবাষী,	উপবাসী,	
doobhara,	ডোভার,	ডোভার,	
kharaar,	খারার,	খরার,	
ias,	আয়েশ,	আইএএস,	
bharma,	ভার্ম,	ভার্মা,	
rubol,	রুবল,	রুবল,	
dazjo,	দাজ্য,	দাহ্য,	
dece,	ডেসে,	ডেকে,	
bhowanipur,	ভবানীপুর,	ভবানীপুর,	
tintikey,	তিনটিকে,	তিনটিকে,	
byapoktor,	ব্যাপক্তর,	ব্যাপকতর,	
krita,	কৃত,	ক্রীট,	
anisha,	অনিষ,	আনিস,	
dajhya,	দাঝ্য,	দাহ্য,	
jonsha,	জনস,	জোন্স,	
khuni,	খুঁনি,	খুনি,	
sthapanatir,	স্থাপনতির,	স্থাপনাটির,	
natsi,	নাটসি,	নাত্সি,	
nirikh,	নিরিখ,	নিরিখ,	
aatok,	অতক,	আটক,	
beeru,	বীরু,	বীরু,	
eksapresana,	এক্সপ্রেসন,	এক্সপ্রেশন,	
venicer,	ভেনিসের,	ভেনিসের,	
abodamoner,	অবদামনের,	অবদমনের,	
lutharan,	লুথারন,	লুথেরান,	
nariderke,	নারিদেরকে,	নারীদেরকে,	
gunaman,	গুণমান,	গুণমান,	
goreeb,	গরিব,	গরিব,	
bongshokey,	বংশকে,	বংশকে,	
pyor,	প্য়র,	পিওর,	
sifi,	সিফি,	সাইফাই,	
alexander,	আলেকাসন্দের,	আলেকজান্ডার,	
hughke,	হুঘকে,	হিউজকে,	
valobasar,	ভালবাসার,	ভালোবাসার,	
votarer,	ভোটরের,	ভোটারের,	
uinndo,	উইন্ডো,	উইন্ডো,	
shikkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
ekghare,	একঘারে,	একঘরে,	
soheensotar,	সহিংস্তর,	সহিংসতার,	
roshider,	রসিদের,	রশিদের,	
bhaangchoor,	ভাঙচুর,	ভাংচুর,	
shamooker,	সামুকের,	শামুকের,	
lobbytey,	লব্বেতে,	লবিতে,	
mukherjee,	মুখার্জি,	মুখার্জী,	
amiretus,	অমেরিতুস,	এমিরেটাস,	
niurolaji,	নিউরলাজী,	নিউরোলজি,	
eeksapreeshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
abhidhaaner,	অভিধানের,	অভিধানের,	
jahar,	জাহর,	জহর,	
jemi,	জেমি,	জেমি,	
sipht,	সিফট,	শিফট,	
motamoto,	মোটাম,	মতামতও,	
swamijir,	স্বামীজীর,	স্বামীজীর,	
bohorompurer,	বহরমূপুরের,	বহরমপুরের,	
maaktume,	মাককুমে,	মাকতুম,	
baraak,	বারক,	বারাক,	
aparogata,	অপরাগত,	অপারগতা,	
jackshon,	জ্যাকশন,	জ্যাকসন,	
lampot,	ল্যামপোট,	লম্পট,	
nikel,	নিকেল,	নিকেল,	
temonbhabe,	টেমনভাবে,	তেমনভাবে,	
mauhajote,	মহাজতে,	মহাজোট,	
edaning,	এডনিং,	ইদানীং,	
disney,	ডিজনি,	ডিজনী,	
phulkapi,	ফুলকাপি,	ফুলকপি,	
obhidhaner,	অভিধানের,	অভিধানের,	
helly,	হেলি,	হিলি,	
bhangchoor,	ভাঙচুর,	ভাংচুর,	
gonna,	গন্যা,	গননা,	
dabhara,	ডভার,	ডোভার,	
maadhookori,	মাধকৌরি,	মাধুকরী,	
manahputa,	মানসুপত,	মনঃপুত,	
joubankale,	যৌবনকালে,	যৌবনকাল,	
cheelona,	চিলনা,	ছিলনা,	
ketechhilo,	কেটেছিল,	কেটেছিল,	
shakara,	সাকার,	সকার,	
lutheeran,	লুথিরান,	লুথেরান,	
ujobekeestan,	উজ্বেকিস্তান,	উজবেকিস্তান,	
fax,	ফ্যাক্স,	ফক্স,	
volapuk,	ভোলাপুক,	ভোলাপুক,	
sangastha,	সংস্থা,	সংস্থা,	
gratha,	গ্রথ,	গ্রোথ,	
laaisens,	লিইস্যস,	লাইসেন্স,	
teto,	টত,	তেতো,	
tookror,	টুকরোর,	টুকরোর,	
sthaponakay,	স্থাপনাকে,	স্থাপনাকে,	
indrer,	ইন্দ্রের,	ইন্দ্রের,	
pet,	পেট,	পেত,	
nirvachokder,	নির্বাচকদের,	নির্বাচকদের,	
grambaashi,	গ্রামবাসী,	গ্রামবাসী,	
sayaneda,	সায়ন্ডেড,	সায়ানাইড,	
nesnosh,	নেশনস,	নেশনস,	
somosto,	সমস্ত,	সমস্ত,	
rights,	রাইটস,	রাইটস,	
teenti,	তিনটি,	তিনটি,	
ostader,	অস্তাদের,	ওস্তাদের,	
oncoltike,	অঞ্চলটিকে,	অঞ্চলটিকে,	
nodiike,	নদীকে,	নদীকে,	
samosto,	সাম্্ত,	সমস্ত,	
bipojjonok,	বিপযজ্জনক,	বিপজ্জনক,	
dhouto,	ধূত,	ধৌত,	
bojhey,	বোঝে,	বোঝে,	
riphleeksa,	রাইফেল্স,	রিফ্লেক্স,	
choudhureeder,	চৌধুরিদের,	চৌধুরীদের,	
abhidhaanick,	অভিধানিক,	অভিধানিক,	
spredasita,	স্প্রেডিসিট,	স্প্রেডশীট,	
aireshe,	আইরেস,	আইরেসে,	
chotogolper,	ছোটোগল্পের,	ছোটগল্পের,	
basake,	বাসকে,	বাসাকে,	
institutioney,	ইন্স্টিটশনে,	ইনস্টিটিউশনে,	
gaddaphii,	গাদ্ধাফী,	গাদ্দাফী,	
gronthatike,	গ্রন্থাটিকে,	গ্রন্থটিকে,	
garnar,	গর্ণার,	গার্নার,	
esosiyetasa,	এস্সিবেট,	এসোসিয়েটস,	
sikkhakder,	শিক্ষাকদের,	শিক্ষকদের,	
prashikkhane,	প্রশিক্ষণে,	প্রশিক্ষণে,	
khur,	খুর,	ক্ষুর,	
sheekarer,	শিকারের,	শিকারের,	
jacksonke,	জাক্ষণকে,	জ্যাকসনকে,	
phiksim,	ফিক্সিম,	ফিক্সিং,	
partha,	পার্থ,	পার্থ,	
jamjamat,	জাযমম্মাত,	জমজমাট,	
mausumei,	মৌসমেই,	মৌসুমেই,	
shhip,	শিপ,	শিপ,	
graambashee,	গ্রাম্বসী,	গ্রামবাসী,	
elaakasoho,	এলাকাসহ,	এলাকাসহ,	
pratishthanikbhabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
olpo,	অল্প,	অল্প,	
gronthoty,	গ্রন্থটট,	গ্রন্থটি,	
rudrer,	রুদ্রের,	রুদ্রের,	
naditi,	নদীতি,	নদীটি,	
shringga,	শ্রীঙ্গা,	শৃঙ্গ,	
chatrorai,	ছাত্ররাই,	ছাত্ররাই,	
hooq,	হোক,	হুক,	
nodigulir,	নদীগুলির,	নদীগুলির,	
durgandher,	দুর্গন্ধের,	দুর্গন্ধের,	
parbatya,	পর্বত্ব,	পার্বত্য,	
tennys,	টেনিস,	টেনিস,	
badei,	বাদেই,	বাদেই,	
rohasyer,	রহহস্রের,	রহস্যের,	
uddhritto,	উদ্ধৃত্ত,	উদ্ধৃত,	
naitikatavodh,	নৈতিকভাবো,	নৈতিকতাবোধ,	
ganana,	গণনা,	গননা,	
rifleksa,	রাইফ্লেস,	রিফ্লেক্স,	
poscime,	পশ্চিমে,	পশ্চিমে,	
jeebanjapon,	জীবনযাপন,	জীবনযাপন,	
rajoshri,	রাজস্রী,	রাজশ্রী,	
licencing,	লিসন্কিং,	লাইসেন্সিং,	
inafarameshana,	ইনফর্মেশন,	ইনফরমেশন,	
nirmolota,	নির্মলতা,	নির্মলতা,	
mawdeel,	ম্যাডেল,	মডেল,	
bhalobase,	ভালোবাসে,	ভালোবাসে,	
maailey,	মাইলে,	মাইলে,	
bhogno,	ভগ্ন,	ভগ্ন,	
poddhotiteyi,	পদ্ধতিতে,	পদ্ধতিতেই,	
temanti,	টেমনটি,	তেমনটি,	
nothivookteer,	নথিভুকটির,	নথিভুক্তির,	
bizit,	বিজিত,	বিজিত,	
bahal,	বহল,	বহাল,	
mukhomondoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
taat,	তাট,	তাত,	
jocqey,	জকি,	জকি,	
itastata,	ইতস্টট,	ইতস্ততঃ,	
prakalpeo,	প্রকললপেও,	প্রকল্পেও,	
jerushalem,	জেরুসালেম,	জেরুসালেম,	
mascat,	মাসকাট,	মাস্কাট,	
bard,	বার্ড,	বার্ড,	
biswashi,	বিশ্বাসী,	বিশ্বাসী,	
doshider,	দশীদের,	দোষীদের,	
drishyogulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
uter,	উটার,	উটের,	
noditei,	নদীতেই,	নদীতেই,	
she,	সে,	সে,	
jons,	জনস,	জোন্স,	
jeebonjapon,	জীবনযাপন,	জীবনযাপন,	
patochitra,	পতচচিত্র,	পটচিত্র,	
krus,	ক্রুস,	ক্রুশ,	
akmato,	একমত,	একমত,	
shasankorta,	শাসনকর্ত,	শাসনকর্তা,	
habshee,	হাবশী,	হাবশী,	
karmopontha,	কর্মপঞ্থা,	কর্মপন্থা,	
rashider,	রাশিদের,	রশিদের,	
fol,	ফোল,	ফল,	
ghatleo,	ঘাটলেও,	ঘটলেও,	
horidwar,	হরিদ্বর,	হরিদ্বার,	
byaran,	ব্যারণ,	ব্যারন,	
gostigoolo,	গষ্টিগুলো,	গোষ্ঠীগুলো,	
advanshd,	অ্যাডভান্স,	অ্যাডভান্সড,	
debdebir,	দেবদেবীর,	দেবদেবীর,	
akmat,	আকমাত,	একমত,	
hajeerhat,	হাজীরহাট,	হাজিরহাট,	
suparichita,	সুপারিচিত,	সুপরিচিত,	
abheedhaaneec,	অভিধানিক,	অভিধানিক,	
siramiqs,	শিরামিক্স,	সিরামিকস,	
alpokichudin,	অল্পকিচিদিন,	অল্পকিছুদিন,	
bandike,	বানদিকে,	বন্দীকে,	
odhit,	অধিত,	অধীত,	
bhagini,	ভাগিনী,	ভগিনী,	
salsa,	সালসা,	সালসা,	
robot,	রোবট,	রোবোট,	
shaakaar,	সাকার,	সাকার,	
ottacharito,	অত্তাচারিত,	অত্যাচারিত,	
sarano,	সারানো,	সরানো,	
ponchaasjon,	পঞ্চাশক্ন,	পঞ্চাশজন,	
edii,	এডি,	আইডিই,	
aakkash,	আককাষ,	আককাস,	
rahie,	রাহি,	রাহি,	
gobeshana,	গবেষণা,	গবেষনা,	
toruner,	তরুণের,	তরুণের,	
hotochokeeto,	হতচ্কিত,	হতচকিত,	
musalmanera,	মুসল্মনের,	মুসলমানেরা,	
lettere,	ল্যাটের,	লেটারে,	
biseshyer,	বিশেষ্যের,	বিশেষ্যের,	
tarasa,	তারস,	টেরেসা,	
loukikata,	লৌকিকতা,	লৌকিকতা,	
roomantik,	রোমান্ট্কিক,	রোমান্টিক,	
lishensh,	লিইন্স,	লাইসেন্স,	
mukharji,	মুখার্জি,	মুখার্জী,	
durotaumo,	দুরতত,	দূরতম,	
nirobota,	নিরবতা,	নিরবতা,	
sadhwi,	সাধ্যি,	সাধ্বী,	
paltechey,	পালেটেে,	পাল্টেছে,	
milekhaanek,	মিলেখানকে,	মাইলখানেক,	
nirbachokder,	নির্বাচকদের,	নির্বাচকদের,	
kingsh,	কিংস,	কিংস,	
shaattoki,	সাত্তকী,	সাত্যকি,	
nimitte,	নিমিত্বে,	নিমিত্তে,	
lyaata,	ল্যাট,	ল্যাটা,	
udbhabone,	উদ্ভাবনে,	উদ্ভাবনে,	
shtonahenja,	স্ত্নাহেঞ্জ,	স্টোনহেঞ্জ,	
shekende,	সেকেন্ডে,	সেকেন্ডে,	
futbolarer,	ফুটবলের,	ফুটবলারের,	
bagdade,	বাদগাদে,	বাগদাদে,	
tarkarir,	তরকারির,	তরকারীর,	
choudhurike,	চৌধুরিকে,	চৌধুরীকে,	
pravuder,	প্রভূদের,	প্রভুদের,	
eevil,	এইভিল,	ইভিল,	
romantiqa,	রোম্যান্টিক,	রোমান্টিক,	
aaminar,	আমিনার,	আমিনার,	
amarendra,	অমেরন্দ্র,	অমরেন্দ্র,	
juktorastreo,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রেও,	
associates,	অ্যাসোসিয়েটস,	এসোসিয়েটস,	
samratder,	সম্রাদ্যের,	সম্রাটদের,	
uposthit,	উপস্থিত,	উপস্থিত,	
holuder,	হলুদের,	হলুদের,	
shiqar,	শিকার,	শিকার,	
jeans,	জিনস,	জিন্স,	
keuyi,	কিউই,	কেউই,	
arbeet,	অর্বিত,	অরবিট,	
bhyatikaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
nirgomon,	নির্জমণ,	নির্গমন,	
aakkas,	আককাশ,	আককাস,	
qarqa,	কর্ক,	কার্ক,	
deaubande,	ডিবন্দে,	দেওবন্দে,	
ekghore,	একঘরে,	একঘরে,	
kabutorer,	কবূতরের,	কবুতরের,	
judge,	জজ,	জাজ,	
lajiqa,	লাজিক,	লজিক,	
chilahaati,	চিলাহিতি,	চিলাহাটি,	
alangkoron,	অলংকরণ,	অলঙ্করণ,	
baruklin,	বারুকলিন,	ব্রুকলিন,	
shahoshikatar,	সহশিকতার,	সাহসিকতার,	
saahocorrze,	সাহকর্যে,	সাহচর্যে,	
chaalabi,	চালাবি,	চালাবে,	
vishad,	বিষদ,	বিষদ,	
shatodha,	শতদা,	শতধা,	
ralf,	রাফ,	রালফ,	
hatochakito,	হতচ্চাকিত,	হতচকিত,	
jetam,	যেতাম,	যেতাম,	
estaniya,	এস্টেনিয়া,	এস্তোনিয়া,	
monoputo,	মনোপত্ত,	মনঃপুত,	
qor,	কোর,	কর,	
saleha,	সালেহ,	সালেহা,	
jerusaleme,	জেরোসামাইম,	জেরুসালেমে,	
bhugol,	ভুগল,	ভূগোল,	
