alauler,	আলালের,	আলাওলের,	
nobotomo,	নবতম,	নবতম,	
sangkulaan,	সংকুলান,	সংকুলান,	
tennys,	টেনিস,	টেনিস,	
porizoner,	পরিজনের,	পরিজনের,	
karoo,	কারু,	কারো,	
rob,	রব,	রব,	
timoothy,	তিমুথি,	টিমোথি,	
monzeele,	মন্জীলে,	মঞ্জিলে,	
shcholastic,	স্লোকাস্টিক,	স্কলাস্টিক,	
kumari,	কুমারি,	কুমারী,	
chandrima,	চন্দ্রিম,	চন্দ্রিমা,	
bollov,	বলল,	বল্লভ,	
ujobekeestaner,	উৌবিক্সতেনের,	উজবেকিস্তানের,	
abolokon,	অবলককন,	অবলোকন,	
setan,	সেটন,	শয়তান,	
tenishe,	টেনিসে,	টেনিসে,	
shoo,	সু,	শো,	
boney,	বনে,	বনে,	
dokaangulote,	দকানগুলোতে,	দোকানগুলোতে,	
narsari,	নারসারী,	নার্সারি,	
chaakti,	চাকটি,	চাকতি,	
palkee,	পালকি,	পাল্কি,	
baaiq,	বাইক,	বাইক,	
mukhomaundoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
abosaney,	অবসানে,	অবসানে,	
brookoleen,	ব্রোকোলীন,	ব্রুকলিন,	
ruteen,	রুটেন,	রুটিন,	
shamooker,	সামুকের,	শামুকের,	
udvabone,	উদ্ভাবনে,	উদ্ভাবনে,	
graambaaseeder,	গ্রামবাসেদের,	গ্রামবাসীদের,	
ballabh,	বললা,	বল্লভ,	
iranayer,	ইরানের,	ইরানের,	
bhoolapuka,	ভুলাপুকা,	ভোলাপুক,	
pitthey,	পিঠে,	পীঠে,	
jerusalemer,	জারুডাকালের,	জেরুজালেমের,	
nirikho,	নিরিখ্য,	নিরিখ,	
mukhobandho,	মুখবন্ধ,	মুখবন্ধ,	
muhu,	মুহু,	মুহু,	
auttacharer,	অত্যাচারের,	অত্যাচারের,	
sow,	সো,	শো,	
kushumba,	কুশুম্ব,	কুশুম্বা,	
sthapona,	স্থাপনা,	স্থাপনা,	
wishnu,	বিষ্ণু,	বিষ্ণু,	
zhalokatthi,	ঝলাকাঠ্যি,	ঝালকাঠী,	
chalochchitra,	চলচিত্র,	চলচ্চিত্র,	
obhishangson,	অভিশাংশন,	অভিশংসন,	
mononiitoder,	মনোনীতদের,	মনোনীতদের,	
noditei,	নদীতেই,	নদীতেই,	
duckticketer,	ডাক্টিকেটের,	ডাকটিকিটের,	
bachai,	বাঁচাই,	বাছাই,	
avinetar,	অভিনেতার,	অভিনেতার,	
ooindo,	উইন্ড,	উইন্ডো,	
prastut,	প্রস্তুত,	প্রস্ত্তত,	
spredashiita,	স্প্রেডিসিত,	স্প্রেডশীট,	
shikshagata,	শিক্ষাগত,	শিক্ষাগত,	
bishshasho,	বিশ্বাস,	বিশ্বাসও,	
karpeter,	কর্পেটের,	কার্পেটের,	
yathaarthabhaabe,	হাত্থরভাবে,	যথার্থভাবে,	
chhuti,	ছুটি,	ছুটি,	
station,	স্টেশন,	ষ্টেশন,	
bangyer,	বাঙ্গের,	ব্যাঙের,	
recondishon,	রেকন্দিশন,	রিকন্ডিশন,	
hepataitisa,	হেপটটেটিস,	হেপাটাইটিস,	
phaksha,	ফক্ষ,	ফক্স,	
perri,	পেরি,	পেরি,	
maladabha,	মালাদাভা,	মলদোভা,	
embi,	এমবি,	এমবি,	
satarkabhabey,	সতারকভাবে,	সতর্কভাবে,	
teemothee,	তিমহটী,	টিমোথি,	
bojhey,	বোঝে,	বোঝে,	
allubokhara,	অল্লুভকরা,	আলুবোখারা,	
ajij,	আজিজ,	আজিজ,	
edmeeral,	এমেরিল,	এডমিরাল,	
nikot,	নিকোট,	নিকট,	
foloshrutite,	ফলার্সিতে,	ফলশ্রুতিতে,	
maner,	মানের,	মানে,	
nischitabhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
motar,	মতার,	মুতার,	
meetar,	মিটার,	মিত্র,	
abhidhaaneek,	অভিধানিক,	অভিধানিক,	
arthoneeti,	অর্থনীতি,	অর্থনীতির,	
bhenisa,	ভেনিস,	ভেনিস,	
varshon,	ভার্সন,	ভারশন,	
roopa,	রূপা,	রুপা,	
jaubankal,	যৌবনকাল,	যৌবনকাল,	
setio,	সেটিও,	সেটিও,	
sonali,	সোনালি,	সোনালী,	
polo,	পোলো,	পোলো,	
chhattroraai,	ছাত্ররাই,	ছাত্ররাই,	
daakteekiter,	দাক্তিকিতের,	ডাকটিকিটের,	
jesh,	জেস,	জেস,	
irana,	ইরান,	ইরান,	
hundayi,	হান্ডাই,	হুন্দাই,	
protijogiider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
antarctikar,	আন্তর্কটিকার,	অ্যান্টার্কটিকার,	
bikretaara,	বিক্রেটার,	বিক্রেতারা,	
phimel,	ফিমেল,	ফিমেল,	
goori,	গুরি,	গোরি,	
sudhui,	সুধু,	শুধুই,	
horinner,	হরিনের,	হরিণের,	
shikh,	শিখ,	শিখ,	
habshee,	হাবি,	হাবশী,	
palestinea,	পােেস্টিনি,	প্যালেস্টাইনে,	
mosjidsaho,	মুস্দিহস,	মসজিদসহ,	
shorting,	শর্টিং,	সর্টিং,	
doltagi,	দলত্যাগী,	দলত্যাগী,	
sangostha,	সংস্থ,	সংস্থা,	
sakshatkarer,	সাক্ষাতকারের,	সাক্ষাৎকারের,	
mit,	মিট,	এমআইটি,	
expression,	এক্সপ্রেশন,	এক্সপ্রেশন,	
chedropathe,	চেদ্রপথে,	ছিদ্রপথে,	
shakara,	শাকারা,	সাকার,	
kindama,	কিন্দমা,	কিংডম,	
loukeekotaa,	লুকিকতা,	লৌকিকতা,	
ashankai,	আশঙকাই,	আশঙ্কাই,	
pretishta,	প্রেটিস্ট,	প্রতিষ্টা,	
don,	দোন,	দোন,	
maley,	মালে,	মালে,	
madaul,	মাদাউল,	মাদল,	
gage,	গেগ,	গেজ,	
chirakumari,	চিরকুমারি,	চিরকুমারী,	
nesnosh,	নেশনস,	নেশনস,	
phixing,	স্কিসিং,	ফিক্সিং,	
torkareer,	তরকারীর,	তরকারীর,	
cheento,	চিন্ত,	চিনতো,	
oncholshomuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
jolaatanko,	জলাান্ক,	জলাতঙ্ক,	
zubokshoho,	যুবক্ষ,	যুবকসহ,	
uul,	উউল,	উল,	
khaambaa,	খাম্বা,	খাম্বা,	
laisensim,	লেসেস্সিং,	লাইসেন্সিং,	
bonovumi,	বনভূমি,	বনভূমি,	
byatarii,	ব্যাটারী,	ব্যাটারী,	
plainti,	প্লাযানটি,	প্লেনটি,	
karor,	কারর,	কারোর,	
nothivookto,	নথিভূক্ত,	নথিভুক্ত,	
sone,	সোন,	সনে,	
hoil,	হইল,	হইল,	
joonsa,	জোন্স,	জোন্স,	
chhotogolpe,	ছোটগল্পে,	ছোটগল্পে,	
umedpoor,	উদমেপপুর,	উমেদপুর,	
babylone,	বাযাবলোনে,	ব্যাবিলনে,	
faridi,	ফারিদি,	ফরিদী,	
soheensotar,	সহীনসনতার,	সহিংসতার,	
oitijhyo,	ঐতিহ্য,	ঐতিহ্য,	
nirbaaho,	নির্বাহ,	নির্বাহ,	
cheshsh,	চেশ,	চেস,	
totokhon,	তত্ষখ,	ততক্ষন,	
ghurchen,	ঘুর্ছেন,	ঘুরেছেন,	
pachtar,	পাঁচার,	পাঁচটার,	
chopal,	চোপল,	চপল,	
iura,	ইউরা,	ইউরো,	
nathivukteer,	নথিিচুক্তির,	নথিভুক্তির,	
udvabon,	উদ্ভাবন,	উদ্ভাবন,	
serverey,	সের্ভারে,	সার্ভারে,	
dibi,	দিবি,	দিবি,	
tthela,	ঠেলে,	ঠেলা,	
manhputa,	মন্ধুপতা,	মনঃপুত,	
progreshsh,	প্রগ্রেস,	প্রগ্রেস,	
meshenjar,	মেশেন্জার,	মেসেঞ্জার,	
rayalty,	রায়লটি,	রয়্যালটি,	
hyarikeena,	হ্যারিকেন,	হ্যারিকেন,	
pyatarna,	প্যাটার্ন,	প্যাটার্ন,	
potochitrer,	পতচিত্রের,	পটচিত্রের,	
shikshakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
muradpur,	মুরাদপুর,	মুরাদপুর,	
nirorthak,	নিরররথাক,	নিরর্থক,	
bonduk,	বন্দুক,	বন্দুক,	
shangstha,	সংস্থ,	সংস্থা,	
moshjidtir,	মোসিদ্তির,	মসজিদটির,	
cbi,	সিই,	সিবিআই,	
janacche,	জাঁচেছে,	জানাচ্ছে,	
kormoke,	কর্মকে,	কর্মকে,	
metropoliton,	ম্যার্টোপোলেন,	মেট্রোপলিটন,	
bojhar,	বোঝার,	বোঝার,	
boikollyo,	বৈকল্য,	বৈকল্য,	
bolbo,	বলব,	বলবো,	
torkarir,	তরকারীর,	তরকারীর,	
chalchhee,	চালছি,	চলছে,	
jemser,	জেমসের,	জেমসের,	
ooipoka,	উউপোকা,	উইপোকা,	
nilav,	নিলাভ,	নীলাভ,	
onurbar,	অনুর্বর,	অনুর্বর,	
urur,	উরুর,	উরুর,	
koyartara,	কোয়ার্টার,	কোয়ার্টার,	
sahabike,	সাহাবীকে,	সাহাবীকে,	
oshthad,	অস্থাদ,	ওস্তাদ,	
nabbata,	নববতা,	নাব্যতা,	
ashongkai,	অসংকাই,	আশঙ্কাই,	
shikkharrthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
heza,	হেজা,	হেজ,	
uuipoka,	উুপোক,	উইপোকা,	
elaakaatir,	এলাকাতির,	এলাকাটির,	
konphlict,	কোন্িল্টিক,	কনফ্লিক্ট,	
tala,	টালা,	তালা,	
choudhurike,	চৌধুরিকে,	চৌধুরীকে,	
senabahinike,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
mb,	এমএবি,	এমবি,	
harees,	হারিস,	হ্যারিস,	
krisenta,	ক্রেসেন্ট,	ক্রিসেন্ট,	
teto,	টেটো,	তেতো,	
shosha,	শোষা,	শশা,	
faltir,	ফলটির,	ফলটির,	
swostir,	স্বস্তির,	স্বস্তির,	
ancholsaho,	অঞ্চলসহ,	অঞ্চলসহ,	
padarthabidder,	পদার্থবিদ্দের,	পদার্থবিদদের,	
akten,	আকতেন,	অকটেন,	
information,	ইনফোরমেশন,	ইনফরমেশন,	
resort,	রেসর্ট,	রিসোর্ট,	
manonitader,	মনননীতদের,	মনোনীতদের,	
addhatikota,	অধ্যাতিকতা,	আধ্যাত্মিকতা,	
chilahaati,	চিলাহাটি,	চিলাহাটি,	
gemske,	ম্যানকে,	জেমসকে,	
rephlex,	রেফ্ল্ক,	রিফ্লেক্স,	
oncholo,	অঞ্চলো,	অঞ্চলও,	
victar,	ভিক্টার,	ভিক্টর,	
macbeth,	ম্যাসেথ,	ম্যাকবেথ,	
musalmanera,	মুসলমমনের,	মুসলমানেরা,	
aiisa,	আইস,	আইএএস,	
boother,	বুথের,	বুথের,	
gabeshana,	গবেষণা,	গবেষনা,	
proman,	প্রমান,	প্রমান,	
jaunotar,	যৌনতার,	যৌনতার,	
kadam,	কাদ,	কদম,	
nodiiteyi,	নদীতেই,	নদীতেই,	
phirti,	ফিরটি,	ফিরতি,	
sabrakomer,	সবর্কমের,	সবরকমের,	
bagichaar,	বাগিচার,	বাগিচার,	
jaadrel,	জাদ্রেল,	জাঁদরেল,	
akhhunno,	আখুন্ন,	অক্ষুণ্ণ,	
chattke,	চটটকে,	ছাতকে,	
byte,	বিটে,	বাইট,	
heenna,	হেন্ন,	হেনা,	
falashrutite,	ফালার্সুতি,	ফলশ্রুতিতে,	
asociates,	অসযাসেটেস,	এসোসিয়েটস,	
kormokandeo,	কর্মকান্ডে,	কর্মকাণ্ডেও,	
futonta,	ফুটন্ট,	ফুটন্ত,	
baipash,	বাইপাস,	বাইপাস,	
bhashik,	ভাষিক,	ভাষিক,	
cyphy,	সিফি,	সাইফাই,	
unitshoho,	উনিতসহ,	ইউনিটসহ,	
blagarara,	ব্লাগারার,	ব্লগাররা,	
debate,	দেবতে,	ডিবেট,	
sohopatheekey,	সহপাঠীকে,	সহপাঠীকে,	
chhilona,	ছিলনা,	ছিলনা,	
lazika,	লাজিকা,	লজিক,	
jhankar,	ঝাঁকার,	ঝঙ্কার,	
totokhhon,	তত্ষখণ,	ততক্ষন,	
roktokshoroner,	রক্তকশ্ষণের,	রক্তক্ষরণের,	
bim,	বিম,	বীম,	
beca,	বেকা,	বেচা,	
joones,	জুনেস,	জোন্স,	
aloteo,	আলতেও,	আলোতেও,	
gajipur,	গাজীপুর,	গাজীপুর,	
bhabanir,	ভবনীর,	ভবানীর,	
billaho,	বিল্লাহ,	বিল্লাহ,	
songastha,	সংস্যা,	সংস্থা,	
bimata,	বিমতা,	বিমাতা,	
nathibhukto,	নথিভুক্ত,	নথিভুক্ত,	
gora,	গোরা,	গোর,	
talaa,	তালা,	তালা,	
zack,	যাক,	জ্যাক,	
deaubande,	ডিউবন্ডে,	দেওবন্দে,	
nirvachoker,	নির্বাচকের,	নির্বাচকের,	
nodigulo,	নদীগুলো,	নদীগুলো,	
chalochchitreer,	চলচিত্রীর,	চলচ্চিত্রের,	
gaiche,	গেইচে,	গাইছে,	
konflict,	কনফালিক্ট,	কনফ্লিক্ট,	
marino,	মারিন,	মারিনো,	
jaqi,	জাকি,	জকি,	
ashamorthito,	আসমর্থিত,	অসমর্থিত,	
uipoka,	উউপোক,	উইপোকা,	
poshchate,	পশ্চাতে,	পশ্চাতে,	
mohajote,	মহাজতে,	মহাজোট,	
akshor,	আক্ষর,	একশোর,	
vobtarini,	ভ্যাটারিনি,	ভবতারিণী,	
nederlande,	নেডেরল্যান্ডে,	নেদারল্যান্ডে,	
azaadir,	আজাদীর,	আজাদীর,	
chaudhoorir,	চৌধুরির,	চৌধুরীর,	
ispredsheet,	বিপ্রদেশিত,	স্প্রেডশীট,	
black,	ব্লাক,	ব্ল্যাক,	
sachetanotamulok,	সাচেতনাামূমক,	সচেতনতামূলক,	
potocheetro,	পতচিত্র,	পটচিত্র,	
salapheeta,	সালফেট,	সালফেট,	
futbolarder,	ফুটবলার্ডের,	ফুটবলারদের,	
nyaper,	ন্যাপের,	ন্যাপের,	
grambashee,	গ্রাম্বাসী,	গ্রামবাসী,	
tribhuj,	ত্রিভুজ,	ত্রিভূজ,	
sarollo,	সারলোলো,	সারল্য,	
tottorat,	তত্তরাত,	তওরাত,	
gojano,	গজান,	গজানো,	
uthane,	উঠানে,	উঠানে,	
chalochchitro,	চলচিত্র,	চলচ্চিত্র,	
dale,	দলে,	ডালে,	
pade,	পেড,	পাড়ে,	
pravritike,	প্রবরিতিকে,	প্রভৃতিকে,	
huge,	হুগে,	হিউজ,	
food,	ফুড,	ফুড,	
shpreadshhiit,	স্প্রেশিট,	স্প্রেডশীট,	
prity,	প্রিটি,	প্রিটি,	
jess,	জেস,	জেস,	
protizogiitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
saranor,	সারানোর,	সরানোর,	
dayitwa,	ডৈত্ব,	দায়িত্ব,	
rajtantrake,	রাজতন্ত্রকে,	রাজতন্ত্রকে,	
tourist,	তুরিস্ট,	টুরিস্ট,	
krok,	ক্রক,	ক্রোক,	
labonaaktotaar,	লবনাকত্তর,	লবণাক্ততার,	
notunatwa,	নতুনত্ব,	নতুনত্ব,	
bandra,	বান্দ্র,	বন্দীরা,	
graambaseeder,	গ্রামবাসেদের,	গ্রামবাসীদের,	
khelafatey,	খেলাফাতে,	খেলাফতে,	
chashe,	চাষে,	চেস,	
nirabata,	নিরবতা,	নিরবতা,	
chintai,	চিন্তাই,	ছিনতাই,	
kuhelika,	কুঁলিলক,	কুহেলিকা,	
angkita,	অঙ্কিত,	অঙ্কিতা,	
timathi,	তিমাথি,	টিমোথি,	
choudhoorider,	চৌধুরীদের,	চৌধুরীদের,	
mojlis,	মজলিস,	মজলিশ,	
bhalobass,	ভালবাস,	ভালোবাসা,	
tinage,	টিনজে,	টিনেজ,	
elakati,	এলাকাটি,	এলাকাটি,	
drissogulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
shomraatder,	সম্রাতদের,	সম্রাটদের,	
akkaas,	আক্াশ,	আককাস,	
jony,	জনি,	জনি,	
vogno,	ভগ্ন,	ভগ্ন,	
samanwitovabe,	সমান্যবিতভাবে,	সমন্বিতভাবে,	
chereche,	চেরেছে,	ছেড়েছে,	
dhrubaker,	ধুরবাকের,	ধ্রুবকের,	
hishaber,	হিসাবের,	হিসাবের,	
hoilo,	হইল,	হইল,	
nopdikey,	নোপদিকে,	নদীকে,	
iran,	এরান,	ইরান,	
qings,	কিংস,	কিংস,	
makhmaley,	মাখমালে,	মখমলে,	
timur,	টিমুর,	তিমুর,	
baikalya,	বাক্যাল,	বৈকল্য,	
qyanela,	ক্যানেল,	ক্যানেল,	
aakkas,	আক্াস,	আককাস,	
jonogononar,	জনগননার,	জনগণনার,	
trivuz,	ত্রিভুজ,	ত্রিভূজ,	
qiuti,	কিউটি,	কিউটি,	
suparahiroo,	সুপারিহরু,	সুপারহিরো,	
bii,	বি,	বি,	
tuso,	টুস,	তুসো,	
purbancole,	পূর্বনাললে,	পূর্বাঞ্চলে,	
nothivookta,	নথিভুক্ত,	নথিভুক্ত,	
turbine,	তুর্বিনে,	টারবাইন,	
omittrakkhor,	ঐকৃত্রক্ষর,	অমিত্রাক্ষর,	
addhatikotar,	অধ্বিতকতার,	আধ্যাত্মিকতার,	
aidin,	আইডিন,	এইদিন,	
bohoodeen,	বহুদীন,	বহুদিন,	
leaders,	লেডার্স,	লিডার্স,	
pounchute,	পৌঁছুতে,	পৌঁছুতে,	
sharifpur,	শরিপুর,	শরিফপুর,	
vortuki,	ভার্তুকি,	ভর্তুকি,	
bongshoke,	বংশকে,	বংশকে,	
rinattok,	রেনত্যক,	ঋনাত্মক,	
claud,	ক্লাড,	ক্লাউড,	
besirbhagi,	বেশিরভাগী,	বেশিরভাগই,	
seekkhagoto,	শিক্ষাগত,	শিক্ষাগত,	
jwalbe,	জ্যালবে,	জ্বলবে,	
bhabnar,	ভা্বার,	ভাবনার,	
suddeen,	সুদদিন,	সাডেন,	
olympicer,	অলিম্পিসের,	অলিম্পিকের,	
chhintayikari,	চিন্তাইকারী,	ছিনতাইকারী,	
metere,	মেটের,	মিটারে,	
talgachh,	তালগাছ,	তালগাছ,	
riphleeksa,	রিফ্লেক্স,	রিফ্লেক্স,	
johnsh,	জন্স,	জন্স,	
bhalobasen,	ভালবাসেন,	ভালোবাসেন,	
asabhyaa,	অসভ্য,	অসভ্য,	
ralof,	রালফ,	রালফ,	
sabyastho,	সব্যস্থ,	সাব্যস্থ,	
uuipokar,	উুপাকর,	উইপোকার,	
milea,	মিলে,	মাইলে,	
shailee,	সাইল,	শৈলী,	
haridware,	হারিদ্বরে,	হরিদ্বারে,	
jens,	জেন্স,	জিন্স,	
shcholastik,	স্লোলাস্টিক,	স্কলাস্টিক,	
ovishangson,	অভিষাংশন,	অভিশংসন,	
bodna,	বোন্,	বদনা,	
ashiatic,	অসিয়াটিক,	এশিয়াটিক,	
anurbar,	অনুর্বর,	অনুর্বর,	
khelafotey,	খেলাফুতে,	খেলাফতে,	
avijojan,	অভিযোজন,	অভিযোজন,	
orthonitite,	অর্থনীতিতে,	অর্থনীতিতে,	
jaksa,	জক্ষ,	যক্ষ,	
probesher,	প্রবেষের,	প্রবেশের,	
bede,	বেদে,	বেদে,	
asovyo,	অস্ব্য,	অসভ্য,	
ever,	এভার,	এভার,	
lambate,	লম্বাতে,	লম্বাটে,	
phutantoa,	ফুটান্ট,	ফুটন্ত,	
shhayatana,	শোয়াটন,	শয়তান,	
thore,	থোর,	থরে,	
chetonagoto,	চ্তানগত,	চেতনাগত,	
barack,	বারাক,	বারাক,	
teennis,	টেনিং,	টেনিস,	
carlosh,	কার্লস,	কার্লোস,	
swarthe,	স্বর্থে,	স্বার্থে,	
bifal,	বিফল,	বিফল,	
krechi,	ক্রেছি,	করেছি,	
mooldoova,	মুল্ডোও,	মলদোভা,	
nazad,	নাজাদ,	নজদ,	
karadondey,	কারাদন্ডে,	কারাদণ্ডে,	
fanser,	ফানসের,	ফাঁসের,	
karlosha,	কার্লস,	কার্লোস,	
madhyastho,	মধ্যস্থ,	মধ্যস্থ,	
shefard,	সেফার্ড,	শেফার্ড,	
anisa,	অনিস,	আনিস,	
karmoi,	কারমই,	কর্মই,	
sanaktakaraner,	সংক্ষতারের,	সনাক্তকরণের,	
aalkatra,	আল্কত্র,	আলকাতরা,	
abotaar,	অবতার,	অবতার,	
gajee,	গজজী,	গেজ,	
shikshao,	সিক্ষাও,	শিক্ষাও,	
baasake,	বাসাকে,	বাসাকে,	
tafsir,	টফিসর,	তাফসীর,	
neerbaho,	নির্বাহ,	নির্বাহ,	
itostato,	ইতসসতাত,	ইতস্তত,	
ajuhat,	অজুহাত,	অজুহাত,	
probhritike,	প্রভৃতিকে,	প্রভৃতিকে,	
bea,	বি,	বি,	
paikar,	পাইকার,	পাইকার,	
proo,	প্রো,	প্রো,	
chhatogalper,	ছোটগল্পের,	ছোটগল্পের,	
dadaa,	দাদা,	দাদা,	
rushd,	রুশদ,	রুশদ,	
eparjonta,	এপারজন্ত,	এপর্যন্ত,	
ralf,	রোল,	রালফ,	
khoja,	খোজা,	খোজা,	
choudhurir,	চৌধুরির,	চৌধুরীর,	
kyathlikder,	ক্যাচলিকদের,	ক্যাথলিকদের,	
chirontan,	চিরন্তান,	চিরন্তন,	
expreshshion,	এক্সপ্রেশেন,	এক্সপ্রেশন,	
plata,	প্লট,	প্লেটো,	
laiseens,	লাইসেন্স,	লাইসেন্স,	
bon,	বন,	বন,	
landing,	ল্যান্ডিং,	ল্যান্ডিং,	
bachhaikrito,	বাচ্যাকৃত,	বাছাইকৃত,	
toroni,	তরনী,	তরণী,	
ganosakkharata,	গণস্কারতা,	গণসাক্ষরতা,	
graameroi,	গ্রামেরই,	গ্রামেরই,	
jibanto,	জীবন্ত,	জীবন্ত,	
iash,	ইয়াস,	আইএএস,	
dey,	দে,	ডে,	
bondiike,	বন্দীকে,	বন্দীকে,	
foshter,	ফোস্টের,	ফস্টার,	
dobhar,	দোভার,	ডোভার,	
phirth,	ফির্থ,	ফার্থ,	
aachees,	আচিষ,	আছিস,	
majlish,	ম্যালিস,	মজলিশ,	
kada,	কাদা,	কোড,	
shiropa,	শীরপা,	শিরোপা,	
akabar,	আকাবার,	আকাবার,	
cheerokoomari,	চিরকুমারি,	চিরকুমারী,	
polashir,	পোলাশীর,	পলাশীর,	
udbhaban,	উদ্ভাবন,	উদ্ভাবন,	
zonsa,	জনসা,	জোন্স,	
biswashwo,	বিশ্বস্ব,	বিশ্বাসও,	
bishwashe,	বিশ্বাসে,	বিশ্বাসে,	
udor,	উদর,	উদর,	
chotto,	চত্ব,	ছোট্ট,	
hamburg,	হাম্বর্গ,	হামবুর্গ,	
nikeela,	নিকেল,	নিকেল,	
nariikeyi,	নারীকেই,	নারীকেই,	
ojuhat,	অযুহাত,	অজুহাত,	
rena,	রেন,	রেনো,	
chaiti,	চাইটি,	চৈতি,	
beeseshyer,	বিশেষ্যের,	বিশেষ্যের,	
harbar,	হারবার,	হারবার,	
bhadaka,	ভাদাকা,	ভদকা,	
ovishangsan,	অভিষাংশন,	অভিশংসন,	
uparjaner,	উপর্জনের,	উপার্জনের,	
garmanyteo,	গার্মানিতে,	জার্মানিতেও,	
asocheton,	অসেেটন,	অসচেতন,	
butha,	বুথা,	বুথ,	
maaktume,	মাযাক্টম,	মাকতুম,	
armstranj,	আর্ত্ষ্রাঞ্জ,	আর্মস্ট্রং,	
tookror,	তুকরর,	টুকরোর,	
sikha,	শিখা,	শিখ,	
seekkhokbrindo,	শিক্ষাণ্দ্দ,	শিক্ষকবৃন্দ,	
byaaran,	ব্যারণ,	ব্যারন,	
ajim,	আজিম,	আজিম,	
phokshkon,	ফক্ষকণ,	ফক্সকন,	
shkalashtika,	স্কালোস্কিত,	স্কলাস্টিক,	
udvaboney,	উদ্ভাবনে,	উদ্ভাবনে,	
ashanka,	আসঙ্ক,	আশংকা,	
ekok,	একক,	একক,	
bhaabaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
potengar,	পটেঙ্গার,	পতেঙ্গার,	
gobeshokgon,	গবেষকগণ,	গবেষকগণ,	
spashtatai,	স্প্্্ততাই,	স্পষ্টতই,	
asamanno,	অসমান্ন,	অসামান্য,	
uchchataro,	উচ্চাতর,	উচ্চতর,	
karlosh,	কার্লস,	কার্লোস,	
kibord,	কিববর্ড,	কীবোর্ড,	
uddhrita,	উদ্ধৃত,	উদ্ধৃত,	
ducktickete,	ডাক্টিকটে,	ডাকটিকিটে,	
deliver,	ডিলিভার,	ডেলিভার,	
bidghute,	বিধুঘে,	বিদঘুটে,	
sthaponagulor,	স্থাপনগুলোর,	স্থাপনাগুলোর,	
neemeette,	নিমিতে,	নিমিত্তে,	
jotinke,	জটিনকে,	যতীনকে,	
chetnagato,	চ্যাতেগত,	চেতনাগত,	
damdor,	দামদর,	দামদর,	
ganonatya,	গণনাত্য,	গণনাট্য,	
laaiseens,	লাইসেন্স,	লাইসেন্স,	
kathhmandu,	কান্যদূ্ড,	কাঠমান্ডু,	
miley,	মিলে,	মিলে,	
chhuteete,	ছুটিতে,	ছুটিতে,	
darada,	দারাদা,	দারদা,	
bholapuqa,	ভোলাপুকা,	ভোলাপুক,	
maktum,	ম্যাকটম,	মাকতুম,	
suresh,	সুরেশ,	সুরেশ,	
shakkhatkarer,	শাক্ষাতকারের,	সাক্ষাৎকারের,	
saphallyar,	সাফল্যার,	সাফল্যের,	
barder,	বার্ডের,	বার্ডের,	
zerusalemer,	জারুডাকেলের,	জেরুজালেমের,	
shaahocharjo,	সাহাচার্য,	সাহচর্য,	
battery,	ব্যাটেরি,	ব্যাটারী,	
grambasider,	গ্রাম্বাসীদের,	গ্রামবাসীদের,	
drishyer,	দৃশ্যের,	দৃশ্যের,	
durgotshob,	দুর্তসসব,	দুর্গোৎসব,	
keu,	কেউ,	কেউ,	
surarop,	সুরার,	সুরারোপ,	
estania,	এস্টেনিয়া,	এস্তোনিয়া,	
maldava,	মলদ্বা,	মলদোভা,	
khambaa,	খাম্বা,	খাম্বা,	
dhaleshwari,	ঢেলশিবরি,	ধলেশ্বরী,	
ahang,	আহাং,	অহং,	
azimpur,	আজিমপুর,	আজিমপুর,	
deeputy,	দিপুতি,	ডেপুটি,	
jatinke,	জাতিনকে,	যতীনকে,	
shringa,	শ্রীঙ্গ,	শৃঙ্গ,	
dibug,	দিবুগ,	ডিবাগ,	
rubeta,	রোবিত,	রাবেতা,	
bage,	বাগে,	বাগে,	
holdin,	হলদিন,	হোল্ডিং,	
abhijojan,	অভিযোজন,	অভিযোজন,	
kormer,	কর্মের,	কর্মের,	
shkalastic,	স্কালাস্টিক,	স্কলাস্টিক,	
taateo,	তাতেও,	তাতেও,	
melbourney,	মেলবূর্নে,	মেলবোর্নে,	
neshnos,	নেশনস,	নেশনস,	
sikkhartheerao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
townshhip,	টাউশিপ,	টাউনশিপ,	
agam,	আগম,	আগম,	
shapholler,	সফফললের,	সাফল্যের,	
ekoirakom,	একেরামক,	একইরকম,	
gobeshonar,	গবেষণার,	গবেষনার,	
ishpredshheet,	ভিপ্রদেশিত,	স্প্রেডশীট,	
jhonkar,	ঝনকার,	ঝঙ্কার,	
karpet,	কার্টেট,	কার্পেট,	
arekdal,	আরেকদল,	আরেকদল,	
transformarer,	ট্রান্সফোর্মার,	ট্রান্সফরমারের,	
sqolastiq,	স্কোলাস্টিক,	স্কলাস্টিক,	
aashok,	আশক,	আশোক,	
karmosansthaner,	কর্মসংস্থানের,	কর্মসংস্থানের,	
