anekeri,	অনেকেরী,	অনেকেরই,	
romantic,	রোমান্টিক,	রোমান্টিক,	
neerbahe,	নির্বাহে,	নির্বাহে,	
prozononkal,	প্রজননকাল,	প্রজননকাল,	
devolopar,	ডেভলপার,	ডেভলপার,	
gobeshokgan,	গবেষকাণ,	গবেষকগণ,	
ssumoo,	সুমু,	সুমো,	
hyundai,	হাউন্ডাই,	হুন্দাই,	
segular,	সেগুলার,	সেগুলোর,	
brindaaboner,	বৃণ্দাবনের,	বৃন্দাবনের,	
nischitvabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
janmato,	জন্মাত,	জন্মাত,	
tofat,	টফা,	তফাৎ,	
modhumoti,	মধুমতি,	মধুমতী,	
nadimatrik,	নামিদাত্রিক,	নদীমাতৃক,	
quary,	কোয়ারি,	কোয়েরি,	
taunsheep,	তাউস্পিপ,	টাউনশিপ,	
mehnoti,	মেহনীটি,	মেহনতি,	
horidar,	হরিদার,	হরিদ্বার,	
mohibur,	মহিবুর,	মহিবুর,	
khelafotey,	খেলাফাতে,	খেলাফতে,	
horeener,	হরিনের,	হরিণের,	
indro,	ইন্দ্র,	ইন্দ্র,	
deeputy,	দিপুটি,	ডেপুটি,	
rushd,	রার্ড,	রুশদ,	
jeebonnogor,	জীবনাগর,	জীবননগর,	
jolook,	জলুক,	জ্বলুক,	
basano,	বাসানো,	বসানো,	
mousumei,	মসুমেই,	মৌসুমেই,	
vangley,	ভাঙলে,	ভাঙলে,	
dii,	দ্বি,	দিই,	
orthonitir,	অর্থনীতির,	অর্থনীতির,	
jerujalem,	জেরুজামেল,	জেরুজালেম,	
satorkovabe,	সতরকভাবে,	সতর্কভাবে,	
lohar,	লোহার,	লোহার,	
kamla,	কমলা,	কামলা,	
mukhamandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
jonsha,	জংশা,	জোন্স,	
netherlandey,	নেথারল্যান্ডে,	নেদারল্যান্ডে,	
fanser,	ফাঁসের,	ফাঁসের,	
neshnos,	নেশনস,	নেশনস,	
tigre,	তিগগরে,	টাইগার,	
bojhey,	বঝে,	বোঝে,	
faaj,	ফাজ,	ফাজ,	
ajimpur,	আজিমপুর,	আজিমপুর,	
karlasa,	কার্লস,	কার্লোস,	
chalochchitrai,	চলচিত্রই,	চলচ্চিত্রই,	
joubankale,	যৌবনকালে,	যৌবনকাল,	
udbodhoner,	উদ্বোধনের,	উদ্বোধনের,	
thake,	থাকে,	থাকে,	
cholochchitraeer,	চলচিত্রিরের,	চলচ্চিত্রের,	
mahish,	মহিস,	মহিষ,	
ancholgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
aashok,	আশোক,	আশোক,	
postar,	পোস্টার,	পোস্টের,	
doorotaumo,	দূরত্ম,	দূরতম,	
conseervation,	কনসারভেশন,	কনসারভেশন,	
chamsky,	চ্যামসকি,	চমস্কি,	
vishnuke,	বিষ্ণুকে,	বিষ্ণুকে,	
orgho,	অর্ঘ,	অর্ঘ্য,	
land,	ল্যান্ড,	ল্যান্ড,	
pakhirai,	পাখিরাই,	পাখিরাই,	
chatrorai,	ছাত্রই,	ছাত্ররাই,	
verma,	ভার্ম,	ভার্মা,	
kalam,	কলম,	কালাম,	
karkatkranti,	কর্কতক্রণ্তি,	কর্কটক্রান্তি,	
parikhar,	পরীক্ষার,	পরিখার,	
rupantor,	রূপান্তর,	রুপান্তর,	
injiniyarsha,	ইঞ্জিনির্স,	ইঞ্জিনিয়ার্স,	
chalachchitrotike,	চলচাচ্ত্রিতিকে,	চলচ্চিত্রটিকে,	
kraim,	ক্রেম,	ক্রাইম,	
duncan,	ডান্চন,	ডানকান,	
bbiseshyo,	বিশেষও,	বিশেষ্য,	
proshadhoni,	প্রশাধনী,	প্রসাধনী,	
bishesyo,	বিশেষও,	বিশেষ্য,	
makhmaley,	মখখমালে,	মখমলে,	
qanasarabheshana,	কনসাভেরেশন,	কনসারভেশন,	
liseens,	লিসেন্স,	লাইসেন্স,	
arunima,	অরুনিমা,	অরুণিমা,	
protimar,	প্রতিমার,	প্রতিমার,	
hebhi,	হেবি,	হেভি,	
joqy,	জকি,	জকি,	
qredita,	ক্রিডিট,	ক্রেডিট,	
madrasi,	মাদ্রাসী,	মাদ্রাজি,	
welcome,	ওয়ালকমে,	ওয়েলকাম,	
boron,	বরণ,	বোরন,	
bivonno,	বিভন্ন,	বিভন্ন,	
monhputo,	মন্পুত,	মনঃপুত,	
chef,	চিফ,	শেফ,	
ghoorte,	ঘুরে,	ঘুরতে,	
itostata,	ইতস্তাতা,	ইতস্তত,	
swalpo,	স্বল্প,	স্বল্প,	
shaattoki,	সাত্যকি,	সাত্যকি,	
karmapantha,	কর্মপন্থা,	কর্মপন্থা,	
mufti,	মুফতি,	মুফতি,	
shomoshto,	সমস্ত,	সমস্ত,	
gandho,	গন্ধ,	গন্ধ,	
bhittimool,	ভিত্তিমূল,	ভিত্তিমূল,	
noitikata,	নৈতিকতা,	নৈতিকতা,	
utsaho,	উৎসসহ,	উৎসাহ,	
dibidh,	দিবিধ,	দ্বিবিধ,	
prakalpogulo,	প্রকালগুলো,	প্রকল্পগুলো,	
besarkarikaran,	বেসরকারীকরণ,	বেসরকারিকরণ,	
kark,	কার্ক,	কার্ক,	
onchalti,	অঞ্চলটি,	অঞ্চলটি,	
jerushalem,	জেরুসালেম,	জেরুসালেম,	
beeseshyo,	বিশেষও,	বিশেষ্য,	
muhurtati,	মুহুর্তী,	মুহুর্তটি,	
olimpik,	অলিম্পিক,	অলিম্পিক,	
silabhara,	সিলভার,	সিলভার,	
pothnirdeshona,	পথনির্দেশনা,	পথনির্দেশনা,	
elaakasoho,	এলাকাশহ,	এলাকাসহ,	
karo,	কারও,	করো,	
rajnoitik,	রাজনৈতিক,	রাজনৈতীক,	
haridwar,	হরিদ্যার,	হরিদ্বার,	
tarunderke,	তারুনদেরকে,	তরুণদেরকে,	
saurce,	সার্স,	সোর্স,	
dor,	ডোর,	দোর,	
dozo,	দজ,	ডোজো,	
suity,	সুটি,	সুইটি,	
inphormation,	ইনসর্মেশন,	ইনফরমেশন,	
addabaaj,	আদ্যাবাজ,	আড্ডাবাজ,	
janagananar,	জনগণনার,	জনগণনার,	
graambaseer,	গ্রাম্বাসীর,	গ্রামবাসীর,	
fulkopi,	ফুলকপি,	ফুলকপি,	
lendal,	লেন্ডাল,	লেন্ডল,	
sadeena,	সাদন,	সাডেন,	
sur,	সুর,	সুর,	
netions,	নেটশন,	নেশনস,	
durgatir,	দুর্গতির,	দুর্গটির,	
annarup,	অন্যরূপ,	অন্যরূপ,	
samley,	সমলে,	সামলে,	
bagdhara,	বাঁধারা,	বাগধারা,	
letara,	লেটার,	লেটার,	
rohasyati,	রহাস্যাটি,	রহস্যটি,	
dhhaaby,	ধাবি,	ঢাবি,	
osamonjoshyopurno,	অসমা্জন্যস্বর্ণ,	অসামঞ্জস্যপূর্ণ,	
banijyikbhittik,	বানিজ্যিক্তিক,	বাণিজ্যিকভিত্তিতে,	
dap,	ডাপ,	ড্যাপ,	
teenage,	টিনাগে,	টিনেজ,	
vogini,	ভগগিনী,	ভগিনী,	
darada,	দারাড,	দারদা,	
ooindo,	উইন্ড,	উইন্ডো,	
chhaai,	ছাই,	ছাই,	
charukala,	চারুকালা,	চারুকলা,	
ghotleo,	ঘটটেল,	ঘটলেও,	
sawom,	সাও,	সাওম,	
silwer,	সিলভের,	সিলভার,	
bisheshyo,	বিশেষও,	বিশেষ্য,	
dharavashyokar,	ধারাভাসকার,	ধারাভাষ্যকার,	
licenser,	লিকেন্সের,	লাইসেন্সের,	
judge,	জজ,	জাজ,	
jibjontu,	জীবনযন্ত,	জীবজন্তু,	
bonnypran,	বন্যপ্রণ,	বন্যপ্রাণ,	
kaloniir,	কালনীর,	কালনীর,	
dovar,	ডওবার,	ডোভার,	
sahojlabhbhotar,	সহজজ্বভাতার,	সহজলভ্যতার,	
joni,	যোনি,	জনি,	
sattweo,	সত্ত্বেও,	সত্ত্বেও,	
braille,	ব্রেল,	ব্রেইল,	
michir,	মিচির,	মিচির,	
armashtram,	আর্ষস্ত্রম,	আর্মস্ট্রং,	
sikkhokder,	শিক্ষকদের,	শিক্ষকদের,	
bhittiteo,	ভিত্তিতেও,	ভিত্তিতেও,	
mosjidkey,	মস্িদকে,	মসজিদকে,	
astikra,	অস্বিক্র,	আস্তিকতা,	
laboni,	লাবণী,	লাবনী,	
ishtone,	ইস্টেন,	স্টোন,	
rabo,	রব,	রব,	
ustad,	আস্তাদ,	উস্তাদ,	
pathachari,	পাঠাচারী,	পথচারী,	
norton,	নর্টন,	নর্টন,	
dhauto,	ধ্বত,	ধৌত,	
deebating,	ডেবোটিং,	ডিবেটিং,	
deputii,	দেপুটি,	ডেপুটি,	
senabahineekey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
vaskor,	ভাসকর,	ভাস্কর,	
ameerika,	অমেরিকা,	আমেরিকা,	
jomjomat,	জমজমাত,	জমজমাট,	
shikshakke,	শিক্ষককে,	শিক্ষককে,	
yukeliptash,	ইউক্যেলিপ্টাস,	ইউক্যালিপ্টাস,	
durgotsob,	দূর্গতস্ব,	দুর্গোৎসব,	
bbiswashe,	বিশ্বাসে,	বিশ্বাসে,	
philipiner,	ফিলিপিনের,	ফিলিপাইনের,	
lyanda,	ল্যান্ড,	ল্যান্ড,	
bim,	বিম,	বীম,	
ministerer,	মিনিস্টারের,	মিনিস্টারের,	
uporzon,	উপর্জন,	উপার্জন,	
bolbo,	বলবও,	বলবো,	
chase,	চাষে,	চেস,	
orthanitite,	অর্থনিতিতে,	অর্থনীতিতে,	
mutar,	মুতার,	মুতার,	
armshtrong,	আর্মন্রো,	আর্মস্ট্রং,	
biswashi,	বিশ্বাসী,	বিশ্বাসই,	
loukeek,	লৌকিক,	লৌকিক,	
eideen,	এডিন,	এইদিন,	
maney,	মানে,	মানে,	
aarik,	আরিক,	আরিক,	
madrasake,	মদ্রাসাকে,	মাদ্রাসাকে,	
poschimey,	পশ্চিমে,	পশ্চিমে,	
shikkhakbrindo,	শিক্ষাবৃন্দ,	শিক্ষকবৃন্দ,	
favourite,	ফাউউরিতে,	ফেভারিট,	
anchalgoolir,	অঞ্চাজগুলির,	অঞ্চলগুলির,	
biru,	বিরু,	বীরু,	
dinesh,	ডাইনেস,	দীনেশ,	
eesosiyeetasa,	এসোসিটেস,	এসোসিয়েটস,	
kooda,	কোড,	কোডা,	
sanstha,	সংস্থ,	সংস্থা,	
abul,	আবুল,	আবুল,	
grameryi,	গ্রামারি,	গ্রামেরই,	
jinsa,	জিনসস,	জিন্স,	
huqa,	হুক,	হুক,	
toroonraa,	তরুরাা,	তরুণরা,	
kas,	কাস,	কাস,	
abatar,	অবতার,	অবতার,	
aborto,	আবর্ত,	আবর্ত,	
baard,	বার্ড,	বার্ড,	
koyartara,	কোয়ার্টার,	কোয়ার্টার,	
samajikotar,	সমাজিকতার,	সামাজিকতার,	
janosomaj,	জনসমাজ,	জনসমাজ,	
bidghutey,	বিদ্ঘুতে,	বিদঘুটে,	
bhenisha,	ভেনিশ,	ভেনিস,	
bonyopraan,	বন্যপ্রাণ,	বন্যপ্রাণ,	
nirbachakder,	নির্বাচকদের,	নির্বাচকদের,	
bisshonath,	বিশ্বাথ,	বিশ্বনাথ,	
kaferder,	কাফারদের,	কাফেরদের,	
ponthar,	পন্ঠার,	পন্থার,	
konagulo,	কোনাগুলো,	কণাগুলো,	
choudhureeo,	চৌধুরিও,	চৌধুরীও,	
sahajlabhbhotar,	সহজজ্বভাতার,	সহজলভ্যতার,	
hebhee,	হেভি,	হেভি,	
chhattroraai,	ছাত্ররাই,	ছাত্ররাই,	
bhyaatikaaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
maile,	মেলে,	মাইল,	
baagica,	বাগিকা,	বাগিচা,	
saarbhare,	সারভারে,	সার্ভারে,	
sampadankaree,	সম্পাদনকারী,	সম্পাদনকারী,	
orbeet,	অর্বিত,	অরবিট,	
gratha,	গ্রাথ,	গ্রোথ,	
ganakantho,	গণকন্ঠ,	গণকণ্ঠ,	
churger,	চার্গের,	চার্জের,	
chesa,	চেস,	চেস,	
deenes,	ডাইনেস,	দীনেশ,	
sommotitey,	সম্মতিতে,	সম্মতিতে,	
alaul,	আলাউল,	আলাওল,	
azizur,	আজিজুর,	আজিজুর,	
sulke,	সুলকে,	শুল্কে,	
sushiksar,	সুশিক্ষার,	সুশিক্ষার,	
qyantana,	ক্যান্টান,	ক্যান্টন,	
trete,	ট্রেট,	ট্রেতে,	
sanbadmadhyamer,	সংবাদ্যমধ্যার,	সংবাদমাধ্যমের,	
krej,	ক্রেজ,	ক্রেজ,	
cholochchitreei,	চলচিত্রেরী,	চলচ্চিত্রেই,	
boudhheer,	বৌধির,	বৌদ্ধের,	
daayitto,	দৈত্ত্ব,	দায়িত্ব,	
hatodaridra,	হতোদরিদার,	হতদরিদ্র,	
pachok,	পাছক,	পাচক,	
ducktickete,	ডাক্তিকেতে,	ডাকটিকিটে,	
keu,	কিউ,	কেউ,	
ruplal,	রুপলাল,	রূপলাল,	
karmopontha,	কর্মপন্থা,	কর্মপন্থা,	
procharonamulok,	প্রচারনামূলক,	প্রচারণামূলক,	
zommu,	জম্মু,	জম্মু,	
sheekarder,	শিকারদের,	শিকারদের,	
panero,	পানেরো,	পনের,	
samajeek,	সমাজিক,	সামাজিক,	
definishion,	ডেফিনিশন,	ডেফিনেশন,	
boshoborti,	বশবর্তি,	বশবর্তী,	
probeshkari,	প্রবেশকারী,	প্রবেশকারী,	
carloos,	চার্লস,	কার্লোস,	
shahocharje,	শহচর্য্য,	সাহচর্যে,	
shikara,	শিকারা,	শিকার,	
korkotkrantee,	কর্কতর্্্রানি,	কর্কটক্রান্তি,	
venise,	ভাইনিস,	ভেনিসে,	
prabhritite,	প্রভৃতিতে,	প্রভৃতিতে,	
metrapalitan,	মেত্রপালিতান,	মেট্রোপলিটন,	
marathi,	মারাঠি,	মরাঠি,	
bandhubhaabaapanna,	বন্ধুববান্ণ,	বন্ধুভাবাপন্ন,	
dosha,	দশা,	দোসা,	
edmeeral,	এডমেরাল,	এডমিরাল,	
tetela,	টেটেল,	টাইটেল,	
karuna,	কারুনা,	করুণা,	
jathartha,	যথার্থ,	যথার্থ,	
shrabastee,	শ্রবস্তি,	শ্রাবস্তী,	
saholobhyotar,	সহলভোত্তার,	সহজলভ্যতার,	
chaaktir,	চাক্তির,	চাকতির,	
bisnuke,	বিষ্ণুকে,	বিষ্ণুকে,	
clintoner,	ক্লিন্টনের,	ক্লিনটনের,	
gaaddaafee,	গ্যাড্যাফে,	গাদ্দাফী,	
romantika,	রোমানটিক,	রোমান্টিক,	
khilafot,	খিলাফাত,	খিলাফত,	
masjidtir,	মস্িদির,	মসজিদটির,	
esosiyetasa,	এসোসিয়েটস,	এসোসিয়েটস,	
post,	পোস্ট,	পোষ্ট,	
tanoo,	তানু,	তনু,	
mirakel,	মিরকেল,	মিরাকেল,	
tookror,	টুকরোর,	টুকরোর,	
pudding,	পুদদিং,	পুডিং,	
bhalobasen,	ভালবাসেন,	ভালোবাসেন,	
roktokshoroner,	রক্তক্ষরণের,	রক্তক্ষরণের,	
praapokke,	প্রাপক্ে,	প্রাপককে,	
pratiyogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
keram,	কেরাম,	কেরাম,	
hondurus,	হন্দুরাস,	হন্ডুরাস,	
trend,	ট্রেন্ড,	ট্রেন্ড,	
birder,	বীরদের,	বার্ডের,	
cholochchitratike,	চলচ্চিত্রিকিকে,	চলচ্চিত্রটিকে,	
chhatogalper,	ছোটোগল্পের,	ছোটগল্পের,	
pluse,	প্লাসা,	প্লাসে,	
megh,	মেঘ,	মেঘ,	
maila,	মেল,	মাইল,	
shibraj,	শিবরাজ,	শিবরাজ,	
poste,	পোস্টে,	পোষ্টে,	
uzbekistan,	উজবেকিস্তান,	উজবেকিস্তান,	
moshjid,	মস্দিদ,	মসজিদ,	
asavyo,	অসাবও,	অসভ্য,	
akpashe,	একপাশে,	একপাশে,	
protishta,	প্রতিষ্টা,	প্রতিষ্টা,	
pharn,	ফার্ন,	ফার্ন,	
raitasha,	রাইটাস,	রাইটস,	
gaarnaar,	গার্নার,	গার্নার,	
saurse,	সর্্,	সোর্স,	
pettern,	প্যাটার্ন,	প্যাটার্ন,	
dackop,	ডকপ,	দাকোপ,	
taiwan,	টাইভান,	তাইওয়ান,	
mausumei,	মসুমেই,	মৌসুমেই,	
mastars,	মোস্টার্স,	মাস্টার্স,	
osamarik,	অসামারিক,	অসামরিক,	
ches,	চেষ,	চেস,	
inziniyarim,	এনজেনির়ায়াম,	ইঞ্জিনিয়ারিং,	
jamjamat,	যমজ্জাত,	জমজমাট,	
emergenci,	এমের্জনিস্,	এমার্জেন্সি,	
naazi,	নাজি,	নাত্সি,	
temonti,	তেমনটি,	তেমনটি,	
vabaponno,	ভবাপন্ন,	ভাবাপন্ন,	
ummool,	উম্মুল,	উম্মুল,	
phutanta,	ফুটন্ট,	ফুটন্ত,	
nirbaha,	নির্বাহ,	নির্বাহ,	
aashirbad,	আশীর্বাদ,	আশির্বাদ,	
granther,	গ্রন্থের,	গ্রন্থের,	
proteemake,	প্রতিমাকে,	প্রতিমাকে,	
nikataner,	নিকটনের,	নিকেতনের,	
rajnaiteek,	রাজনৈতিক,	রাজনৈতীক,	
skora,	স্কর,	স্কোর,	
kanagulo,	কানাগুলো,	কণাগুলো,	
superheiroo,	সুপারহেরও,	সুপারহিরো,	
sosoa,	সসা,	শশা,	
sangkulan,	সংকুলন,	সংকুলান,	
asamorik,	অসামারিক,	অসামরিক,	
jalrong,	জ্যারং,	জলরঙ,	
mousumeo,	মসসুমেও,	মৌসুমেও,	
jaqi,	জাকি,	জকি,	
dobhar,	ডভার,	ডোভার,	
fatakasto,	ফটকাস্ট,	ফাটাকেষ্ট,	
noditikey,	নদীতিকে,	নদীটিকে,	
armeenian,	আর্মেনিয়ান,	আর্মেনিয়ান,	
teyt,	তেয,	টেট,	
sheepha,	সেফ,	শেফ,	
nilkuthir,	নিলকুঠির,	নীলকুঠির,	
forid,	ফরিদ,	ফরিদ,	
gronther,	গ্রন্থের,	গ্রন্থের,	
holdeeng,	হোডডিং,	হোল্ডিং,	
dormetory,	ডরমেটরি,	ডরমিটরি,	
chenza,	চেঞ্জ,	চেঞ্জ,	
avatara,	অভাতারা,	অবতার,	
sudrishya,	সুদ্রিশ্য,	সুদৃশ্য,	
shikshakder,	শিক্ষাদের,	শিক্ষকদের,	
nartakike,	নার্তকেকে,	নর্তকীকে,	
chho,	ছো,	ছোঁ,	
rajpur,	রাজপুর,	রাজপুর,	
aajij,	আজিজ,	আজিজ,	
sainyara,	সৈন্যারা,	সৈন্যরা,	
sabhanetree,	সভানেত্রী,	সভানেত্রী,	
siddhantogulo,	সিদ্ধানতাগুলো,	সিদ্ধান্তগুলো,	
planey,	প্লেনে,	প্লেনে,	
chaaka,	চাকা,	চাকা,	
naphisa,	নাফিস,	নাফিসা,	
candi,	কান্ডি,	ক্যান্ডি,	
nathibhuktir,	নথিভূক্তির,	নথিভুক্তির,	
phulkapi,	ফুলকাপি,	ফুলকপি,	
template,	টেম্পলেট,	টেম্পলেট,	
olongkoron,	অলংকরণ,	অলঙ্করণ,	
bashoborty,	বাসবর্তী,	বশবর্তী,	
nariderke,	নারীদেরকে,	নারীদেরকে,	
mela,	মেল,	মাইল,	
madrasar,	মদ্রাসার,	মাদ্রাসার,	
estania,	এস্টানিয়া,	এস্তোনিয়া,	
dadaa,	ডাডা,	দাদা,	
maailey,	মাইলে,	মাইলে,	
horeedwar,	হরিদ্যার,	হরিদ্বার,	
eksapresana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
rakibul,	রাকিবুল,	রকিবুল,	
peterkay,	পিটারকে,	পিটারকে,	
satarkokari,	সতারকারী,	সতর্ককারী,	
mugdaal,	মুগদাল,	মুগডাল,	
pashan,	পাশান,	পাষাণ,	
sotorko,	সতর্ক,	সতর্ক,	
niketan,	নিকেটন,	নিকেতন,	
ekoirakom,	একরিকম,	একইরকম,	
chhutite,	ছুটিতে,	ছুটিতে,	
abadamoner,	অবদামনের,	অবদমনের,	
dhnoka,	ঢোককা,	ধোঁকা,	
artillary,	আর্টিলারি,	আর্টিলারি,	
tarbiner,	তারবিনের,	টারবাইনের,	
bon,	বন,	বন,	
darji,	দার্জি,	দরজি,	
breakthrough,	ব্রক্রফায়,	ব্রেকথ্রু,	
drishyogulote,	দৃষ্যগুলোতে,	দৃশ্যগুলোতে,	
choudhureeke,	চৌধুরিকে,	চৌধুরীকে,	
mangalik,	মঙ্গালিক,	মাঙ্গলিক,	
abosare,	অবসারে,	অবসরে,	
digree,	ডিগ্রী,	ডিগ্রি,	
streegan,	স্ট্রিগ,	স্ত্রীগণ,	
graambaaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
elaakaatike,	এলাকাটিকে,	এলাকাটিকে,	
chaudhurike,	চৌধুরিকে,	চৌধুরীকে,	
kirti,	কীর্তি,	কীর্তি,	
hukar,	হুকার,	হুকার,	
naraphoqa,	নরফফক,	নরফোক,	
gitikobita,	গীতিকবিতিতা,	গীতিকবিতা,	
shikkhao,	শিক্ষাও,	শিক্ষাও,	
templet,	টেম্পলেট,	টেম্পলেট,	
atmabiswasi,	আত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
volt,	ভোল্ট,	ভল্ট,	
tookoo,	টোকো,	টুকু,	
beeswasi,	বিশ্বাসী,	বিশ্বাসই,	
chedropathe,	চেদ্রাথাথে,	ছিদ্রপথে,	
madrasa,	মদ্রাস,	মাদ্রাসা,	
gore,	গরে,	গোর,	
sho,	সো,	শো,	
bhandar,	ভণ্ডার,	ভাণ্ডার,	
patishapta,	পতিশস্পাত,	পাটিসাপটা,	
prokare,	প্রকারে,	প্রকারে,	
meeting,	মেটিং,	মিটিং,	
taimas,	তাইমস,	টাইমস্,	
duplee,	ডাপলল,	ডুপ্লে,	
hipar,	হিপার,	হাইপার,	
jolaatonko,	জলাতনক,	জলাতঙ্ক,	
ajimke,	আজিমকে,	আজিমকে,	
hiragaana,	হিরাগান,	হিরাগানা,	
manushtike,	মানুষ্টিকে,	মানুষটিকে,	
soshej,	সসেজ,	সসেজ,	
swartha,	স্বর্থ,	স্বার্থ,	
vedanta,	ভেদনন্ত,	বেদান্ত,	
ibhila,	ইভিল,	ইভিল,	
anchalgulir,	অঞ্চলগগলির,	অঞ্চলগুলির,	
abheedhanic,	অভিধানিক,	অভিধানিক,	
uposhthit,	উপস্থিত,	উপস্থিত,	
bolechile,	বলেছিলে,	বলেছিলে,	
sirameeks,	সিরামিক্স,	সিরামিকস,	
aiiub,	আইউব,	আইইউবি,	
madaul,	মাডাউল,	মাদল,	
rijoor,	রিজুর,	রিজুর,	
protizogiitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
shuter,	সূতের,	শ্যুটার,	
chhooteer,	ছুটির,	ছুটির,	
dana,	ডানা,	ডায়না,	
mmehonoti,	মেহনীতি,	মেহনতি,	
gaddaphii,	গদ্মফী,	গাদ্দাফী,	
jeesh,	জিস,	জেস,	
bifal,	বিফল,	বিফল,	
bocchoner,	বচ্চনের,	বচ্চনের,	
drishyake,	দৃশ্যকে,	দৃশ্যকে,	
baek,	বেক,	বাইক,	
shloker,	স্লোকের,	শ্লোকের,	
nilkomol,	নিলকমল,	নীলকমল,	
gabhaskar,	গভাসকার,	গাভাস্কার,	
pakistanira,	পাকিস্তানীরা,	পাকিস্তানীরা,	
zilyanda,	জিল্যান্ড,	জিল্যান্ড,	
nagalyand,	নাগ্লাযান্ড,	নাগাল্যান্ড,	
nations,	নাটিন্স,	নেশনস,	
uddhritir,	উদ্ধৃতির,	উদ্ধৃতির,	
edhdaning,	এদ্যানিং,	ইদানিং,	
daily,	ডেলি,	ডেইলি,	
sossar,	সসার,	সকার,	
titlee,	টাইল,	টাইটেল,	
ranangane,	রণাঙ্গনে,	রণাঙ্গনে,	
baarnish,	বার্নিস,	বার্নিশ,	
anchalsamuha,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
heart,	হার্ট,	হার্ট,	
mohish,	মহীস,	মহিষ,	
aasif,	আসিফ,	আসিফ,	
mookhomaundoler,	মুখমান্ডলের,	মুখমণ্ডলের,	
rajtontrokey,	রাজ্তন্ত্রকে,	রাজতন্ত্রকে,	
gazetted,	গেজেটেড,	গেজেটেড,	
rubidiyaam,	রুবিডিয়াম,	রুবিডিয়াম,	
doorger,	দুর্গের,	দুর্গের,	
alangkoron,	অলংকরণ,	অলঙ্করণ,	
kakhanyoba,	কখন্যবা,	কখনওবা,	
peengna,	পিংজা,	পিংনা,	
dharabahikeo,	ধারাবাহিকে,	ধারাবাহিকেও,	
sanatani,	সনাানাই,	সনাতনী,	
doltagi,	দলতাগী,	দলত্যাগী,	
teentir,	তিনটির,	তিনটির,	
dooburira,	দুবীরীরা,	ডুবুরিরা,	
mojlishpoor,	মজজিস্পুর,	মজলিশপুর,	
feroza,	ফেরোজা,	ফিরোজা,	
nepchooner,	নেকচুনের,	নেপচুনের,	
meghke,	মেঘকে,	মেঘকে,	
nariikeyi,	নারীকেই,	নারীকেই,	
chashe,	চাষে,	চেস,	
longhaner,	লঙ্ঘনের,	লংঘনের,	
sahokari,	সহকারি,	সহকারী,	
samanwitovabe,	সমান্তিভিতভাবে,	সমন্বিতভাবে,	
miari,	মায়ারি,	ম্যারি,	
apachesta,	অপযচেস্ট,	অপচেষ্টা,	
aazaadir,	আজাদির,	আজাদীর,	
padee,	পদে,	পাড়ে,	
daaradaa,	দারাদা,	দারদা,	
august,	অগস্ট,	আগষ্ট,	
sathik,	সথিক,	সঠিক,	
nironjan,	নিরজনজন,	নিরঞ্জন,	
shoccer,	সক্র,	সকার,	
floodliter,	ফ্লোডিটের,	ফ্লাডলাইটের,	
satarkota,	সতারকাটা,	সতর্কতা,	
fimel,	ফাইমেল,	ফিমেল,	
parbatya,	পার্বত্য,	পার্বত্য,	
bojhar,	বোঝার,	বোঝার,	
mitroyo,	মিত্রো,	মিত্রও,	
antorvuktimulak,	অন্তর্ভূত্মিলক,	অন্তর্ভুক্তিমূলক,	
janosamaj,	জনসমাজ,	জনসমাজ,	
bhittimul,	ভিত্মিল,	ভিত্তিমূল,	
korecho,	করেছ,	করেছো,	
jaanaar,	জানার,	জানার,	
bede,	বেড,	বেদে,	
wault,	উল্ট,	ভল্ট,	
baugey,	বাগে,	বাগে,	
nothibhookto,	নথিভভ্ত,	নথিভুক্ত,	
kormi,	কর্মী,	কর্মই,	
samaveshti,	সমভেষ্টি,	সমাবেশটি,	
nickel,	নিকেল,	নিকেল,	
siddhanter,	সিদ্ধান্তের,	সিদ্ধান্তের,	
karadondo,	কারাদন্ড,	কারাদণ্ড,	
mittrer,	মিত্রের,	মিত্রের,	
lagche,	লাগছে,	লাগছে,	
joubanbati,	যৌবনবতী,	যৌবনবতী,	
siddhantey,	সিদ্ধানতে,	সিদ্ধান্তে,	
birishirite,	বীরিষীরিতে,	বিরিশিরিতে,	
hepetitis,	হেপিটিটিস,	হেপাটাইটিস,	
marqetim,	মার্কেটিং,	মার্কেটিং,	
charchito,	চার্চিত,	চর্চিত,	
modeling,	মোডালিং,	মডেলিং,	
sahojlovyotar,	সহজোজ্বতার,	সহজলভ্যতার,	
munsi,	মুনসী,	মুন্সী,	
mozdoor,	মজদুর,	মজদুর,	
palbangser,	পালবাংশের,	পালবংশের,	
hafej,	হাফেজ,	হাফেয,	
joki,	যকি,	জকি,	
teksuser,	টেকসুসের,	টেক্সাসের,	
hostantor,	হস্তান্তর,	হস্তান্তর,	
