estoniya,	এস্টনিয়া,	এস্তোনিয়া,	
prothake,	প্রথাকে,	প্রথাকে,	
janachche,	জান্ছে,	জানাচ্ছে,	
sloker,	স্লকের,	শ্লোকের,	
mulgato,	মুলগত,	মূলগত,	
akbakye,	একবক্যে,	একবাক্যে,	
ahalya,	অহল্য,	অহল্যা,	
neelfamarir,	নিলফামারীর,	নীলফামারীর,	
samrat,	সম্রত,	সম্রাট,	
iling,	এলিং,	ইলিং,	
asantos,	অসন্তঃ,	অসন্তোষ,	
victar,	ভিক্টর,	ভিক্টর,	
bikretaara,	বিক্রতের,	বিক্রেতারা,	
ispreedsheet,	ইস্পির্সিত,	স্প্রেডশীট,	
turkamena,	তুর্কমেন,	তুর্কমেন,	
horipoor,	হরিপুর,	হরিপুর,	
elakaati,	এলাকাটি,	এলাকাটি,	
uporzon,	উপরজন,	উপার্জন,	
juktorashtrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
kortam,	করতমাম,	করতাম,	
ghatkey,	ঘাটকে,	ঘাটকে,	
saaed,	সাদ,	সাইদ,	
favorite,	ফরভরিতে,	ফেভারিট,	
fareksa,	ফরেক্স,	ফরেক্স,	
gaaddaafee,	গাদ্ডাফী,	গাদ্দাফী,	
norton,	নর্তন,	নর্টন,	
komti,	কমটি,	কমতি,	
jackshon,	জক্সন,	জ্যাকসন,	
paripaker,	পরিপকের,	পরিপাকের,	
ruteen,	রুটিন,	রুটিন,	
gonesher,	গণেসের,	গণেশের,	
shyooter,	শ্যুতের,	শ্যুটার,	
tanu,	তানু,	তনু,	
ghatiti,	ঘটিটি,	ঘাঁটিটি,	
jesa,	জেস,	জেস,	
kinto,	কিন্ত,	কিনত,	
niketon,	নিকেটন,	নিকেতন,	
texuser,	টেক্সের,	টেক্সাসের,	
asamorik,	আসামরিক,	অসামরিক,	
setike,	সেটিকে,	সেটিকে,	
skolarsip,	স্কলারশিপ,	স্কলারশিপ,	
arop,	আরোপ,	আরোপ,	
bagdhara,	বাগধারা,	বাগধারা,	
enasiyenta,	এনসসিয়েন্ট,	এনসিয়েন্ট,	
shaahocharjo,	সাহচর্য্য,	সাহচর্য,	
ajijoor,	আজিজুর,	আজিজুর,	
sahakari,	সহকারি,	সহকারী,	
akkash,	এক্াশ,	আককাস,	
addhatikota,	আধ্যাতিকতা,	আধ্যাত্মিকতা,	
lokeson,	লোকেশন,	লোকেশন,	
sushikkhar,	শুশিক্ষার,	সুশিক্ষার,	
aagost,	আগস্ট,	আগষ্ট,	
ghumacchilo,	ঘুমাছছিল,	ঘুমাচ্ছিল,	
grambaasheeo,	গ্রামবাশী,	গ্রামবাসীও,	
sbajan,	স্বাজান,	স্বজন,	
garden,	গার্ডন,	গার্ডেন,	
rabeta,	রবেট,	রাবেতা,	
foreex,	ফরেক্স,	ফরেক্স,	
serverty,	সার্ভরটি,	সার্ভারটি,	
nek,	নেক,	নেক,	
uponeeshod,	উপনিশেদ,	উপনিষদ,	
plate,	প্লেট,	প্লেটে,	
firti,	ফারটি,	ফিরতি,	
salphat,	সালফাট,	সালফেট,	
ekoghore,	একঘরে,	একঘরে,	
esiyatika,	এসিয়েটিক,	এশিয়াটিক,	
mulor,	মুলোর,	মুলোর,	
jor,	জোর,	জ্বর,	
pet,	প্যাট,	পেত,	
charban,	চারবান,	চর্বন,	
byabaharkareeke,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
spostotoi,	স্পষ্টতই,	স্পষ্টতই,	
geza,	গেজ,	গেজ,	
sofie,	সফি,	সোফি,	
bronze,	ব্রজঞ্জ,	ব্রোঞ্জ,	
samaveshti,	সমবেশ্টি,	সমাবেশটি,	
cho,	চো,	ছোঁ,	
aswastikor,	অস্বস্তিকর,	অস্বস্তিকর,	
sorjur,	সর্জুর,	সরযূর,	
phareqsa,	ফরেক্স,	ফরেক্স,	
zohns,	জনস,	জন্স,	
tigar,	টিগার,	টাইগার,	
qyapasula,	ক্যাপ্সাল,	ক্যাপসুল,	
deares,	ডিরেশ,	ডিআরএস,	
vangchur,	ভাঙচুর,	ভাংচুর,	
bhogiroth,	ভোগীরথ,	ভগীরথ,	
informeson,	ইনফর্মেশন,	ইনফরমেশন,	
bonnopraan,	বন্যপ্রাণ,	বন্যপ্রাণ,	
madeling,	ম্যাডেলিং,	মডেলিং,	
chopol,	চপপল,	চপল,	
eksapreshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
jonesh,	জনেস,	জোন্স,	
samabeshti,	সমবেষ্টি,	সমাবেশটি,	
nothivukto,	নথিভুক্ত,	নথিভুক্ত,	
dharabahiker,	ধারাবাহীকের,	ধারাবাহিকের,	
basa,	বাসা,	বাসা,	
kheylechen,	খেলেছেন,	খেলেছেন,	
prokolpoguli,	প্রকলপগুলি,	প্রকল্পগুলি,	
shikshagato,	শিক্ষাগত,	শিক্ষাগত,	
deepon,	দীপন,	দীপন,	
daaun,	ডাউন,	ডাউন,	
pnouchute,	পৌঁছুতে,	পৌঁছুতে,	
sachindra,	সৈচিন্দ্র,	শচীন্দ্র,	
prottokhovabe,	প্রত্যকভ্যাবে,	প্রত্যক্ষভাবে,	
venisey,	ভেনিসে,	ভেনিসে,	
jeelyaand,	জিল্যান্ড,	জিল্যান্ড,	
chenja,	চেঞ্জ,	চেঞ্জ,	
nondolaal,	নন্দলাল,	নন্দলাল,	
debdebeer,	দেবদীবীর,	দেবদেবীর,	
dhouto,	ধূত,	ধৌত,	
hooldim,	হোল্ডিং,	হোল্ডিং,	
udichi,	উদিচি,	উদীচী,	
ganohatyake,	গণহাত্যকে,	গণহত্যাকে,	
de,	ডে,	ডে,	
chirkoot,	চিরকুট,	চিরকুট,	
soras,	সরাস,	সরস,	
monzhostho,	মন্যস্থ,	মঞ্চস্থ,	
valobasey,	ভালোবাসে,	ভালোবাসে,	
temonti,	টেমনটি,	তেমনটি,	
oitijjhey,	ঐতিহ্যে,	ঐতিহ্যে,	
modeltigulo,	মোডেলগুলো,	মডেলগুলো,	
umedpoor,	উমেডপুর,	উমেদপুর,	
benis,	বেনিস,	ভেনিস,	
avinetar,	অভিনেতর,	অভিনেতার,	
jonoshongjog,	জনস্বগগ,	জনসংযোগ,	
nama,	নামা,	নমো,	
munshi,	মুনশী,	মুন্সী,	
abheegomon,	অভিমোন,	অভিগমন,	
apachesta,	অপযেষ্ট,	অপচেষ্টা,	
pravu,	প্রভূ,	প্রভু,	
serup,	শেরুপ,	সেরূপ,	
addabaz,	আদ্াব্যাজ,	আড্ডাবাজ,	
militarir,	মিলিটারীর,	মিলিটারির,	
napper,	নাপের,	ন্যাপের,	
deezni,	দিজনী,	ডিজনী,	
dhoorer,	ধরের,	ধরের,	
gaddafii,	গাদ্যাফী,	গাদ্দাফী,	
duuma,	দুমা,	দুমা,	
asocietes,	অসযাসিটিসেজ,	এসোসিয়েটস,	
antorvuktimulok,	আন্তর্ভূকিমকল্ল,	অন্তর্ভুক্তিমূলক,	
nopdnodir,	নপপদ্দীর,	নদনদীর,	
heriken,	হেরিকেন,	হ্যারিকেন,	
korley,	করলে,	করলে,	
ekirokom,	একিরকম,	একইরকম,	
nirgaman,	নির্গমান,	নির্গমন,	
adhyatmikatar,	অধ্যাতিতিকতার,	আধ্যাত্মিকতার,	
sabhanetri,	সভানাত্রী,	সভানেত্রী,	
silvar,	সিলভার,	সিলভার,	
byaaran,	ব্যারন,	ব্যারন,	
vorpur,	ভর্পুর,	ভরপুর,	
query,	কুরি,	কোয়েরি,	
rakhtokkharone,	রক্তকর্ণে,	রক্তক্ষরণে,	
jwoluk,	জ্বুলুক,	জ্বলুক,	
saabbir,	সাবির,	সাব্বির,	
deqe,	দেকে,	ডেকে,	
odure,	অদূরে,	অদুরে,	
bhiqtara,	ভিক্টর,	ভিক্টর,	
superhiro,	সুপারিহ্রা,	সুপারহিরো,	
laisens,	লাইন্স,	লাইসেন্স,	
tiunar,	টিউনার,	টিউনার,	
faskari,	ফাস্কারী,	ফাঁসকারী,	
ragke,	রাগকে,	রাগকে,	
vodka,	ভোকা,	ভদকা,	
hukar,	হুকার,	হুকার,	
juktarashtrosaha,	যুক্তর্রস্থ,	যুক্তরাষ্ট্রসহ,	
kande,	কাঁডে,	কাণ্ডে,	
ustad,	ইষ্টাদ,	উস্তাদ,	
qredita,	ক্রেডিট,	ক্রেডিট,	
ghursen,	ঘুরেেন,	ঘুরেছেন,	
bordhitangso,	বর্ধদিংস,	বর্ধিতাংশ,	
conseervation,	কনসেরভেশন,	কনসারভেশন,	
breil,	ব্রেইল,	ব্রেইল,	
bhagna,	ভাগ্ন,	ভগ্ন,	
jhijhi,	ঝিহি,	ঝিঝি,	
pachchen,	পাঁছেন,	পাচ্ছেন,	
kota,	কোটা,	কোটা,	
shikhar,	শিখার,	শিকার,	
nirgun,	নির্গুন,	নির্গুণ,	
tyap,	ট্যাপ,	ট্যাপ,	
jank,	জাঁক,	জাঁক,	
priimoo,	প্রীম,	প্রিমো,	
karpeter,	কর্পটের,	কার্পেটের,	
drishyake,	দৃষ্যকে,	দৃশ্যকে,	
udvaboni,	উদ্ভাবনী,	উদ্ভাবনী,	
bbiswashe,	বিশ্বাসে,	বিশ্বাসে,	
bonnopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
kreedita,	ক্রিদিত,	ক্রেডিট,	
obeekol,	অবিক্ল,	অবিকল,	
weenis,	উইনিস,	ভেনিস,	
jahara,	জাহারা,	যাহরা,	
malaika,	মালাইকা,	মালাইকা,	
shainyara,	সৈন্যরা,	সৈন্যরা,	
ovisongson,	অভিসংসন,	অভিশংসন,	
eemarjeensi,	এমারজজিন্সি,	এমার্জেন্সি,	
graambaashee,	গ্রামবাসী,	গ্রামবাসী,	
abdun,	আবদুন,	আবদুন,	
swostir,	স্বস্তির,	স্বস্তির,	
tinti,	তিনটি,	তিনটি,	
kings,	কিংস,	কিংস,	
natshi,	নাটসি,	নাত্সি,	
foxkon,	ফক্কন,	ফক্সকন,	
ancholtikey,	আঞচলটিকে,	অঞ্চলটিকে,	
jerusalemer,	জিরুশলেমের,	জেরুজালেমের,	
kaaleo,	কালেও,	কালেও,	
idyi,	এদি,	আইডিই,	
satarko,	সতার্ক,	সতর্ক,	
pragreesa,	প্রগ্রেস,	প্রগ্রেস,	
hundai,	হান্ডাই,	হুন্দাই,	
abosane,	আবসনে,	অবসানে,	
harir,	হ্যারির,	হরির,	
phoksher,	ফক্সের,	ফক্সের,	
masjidti,	মাসজিদ্তি,	মসজিদটি,	
agamanke,	আগামানকে,	আগমনকে,	
radhanagar,	রাধানগর,	রাধানগর,	
injiniyarsha,	ইনজিনির্স,	ইঞ্জিনিয়ার্স,	
dajhyo,	দাঝ্য,	দাহ্য,	
santoshpore,	সন্তঃপরে,	সন্তোষপুর,	
pratijogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
chetonagoto,	চেতনাগত,	চেতনাগত,	
karuna,	কারুনা,	করুণা,	
kaas,	কাশ,	কাস,	
shringa,	শ্রিঙ্গ,	শৃঙ্গ,	
taale,	তালে,	তালে,	
nobom,	নবম,	নবম,	
sekarone,	সেকারণে,	সেকারণে,	
vabna,	ভাবাা,	ভাবনা,	
bitloser,	বিটলসের,	বিটলসের,	
kaando,	কান্ড,	কাণ্ড,	
mitrao,	মিত্রো,	মিত্রও,	
kanda,	কান্ডা,	কাণ্ড,	
transhform,	ট্রান্সফর্ম,	ট্রান্সফর্ম,	
abhidhaner,	অভিধানের,	অভিধানের,	
omorendro,	অমরেন্দ্র,	অমরেন্দ্র,	
elakatir,	এলাকাটির,	এলাকাটির,	
creshcent,	ক্রেসেন্ট,	ক্রিসেন্ট,	
shenior,	সেনিয়ার,	সিনিয়র,	
sachetanbhabe,	সচেতনাভাবে,	সচেতনভাবে,	
futanto,	ফুটন্ত,	ফুটন্ত,	
sukhma,	সুখ্ম,	সুক্ষ্ম,	
miley,	মিলে,	মাইলে,	
bhittow,	ভিত্তও,	ভিত্তিও,	
cheentaikari,	চিনতাইকারী,	ছিনতাইকারী,	
oindreela,	আন্ড্রেলেয়া,	ঐন্দ্রিলা,	
teempaleeta,	টেম্পলেট,	টেম্পলেট,	
muradpur,	মুরাদপুর,	মুরাদপুর,	
beshirvagyi,	বেশীরভাগই,	বেশিরভাগই,	
kanasarabhesana,	কনসোরেভেন,	কনসারভেশন,	
amerikar,	আমেরিকার,	আমেরিকার,	
porishongkhanbid,	পরিসংখ্যান্দিক,	পরিসংখ্যানবিদ,	
monjhoshtho,	মন্যস্থ,	মঞ্চস্থ,	
koomarir,	কুমারির,	কুমারীর,	
bohudeen,	বহুদীন,	বহুদিন,	
maila,	মেল,	মাইল,	
nederlande,	নেডারল্যান্ডে,	নেদারল্যান্ডে,	
maudelke,	মোডলেকে,	মডেলকে,	
ingreziteo,	ইংরেজিতে,	ইংরেজিতেও,	
uponishad,	উপনিষাদ,	উপনিষদ,	
shikshakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
kaaferder,	কাফারের,	কাফেরদের,	
vangle,	ভাঙলে,	ভাঙলে,	
udvaboker,	উদ্ভাবকের,	উদ্ভাবকের,	
idaningkale,	ইডানিক্লালে,	ইদানীংকালে,	
seat,	সেট,	সিট,	
lendal,	লেন্ডাল,	লেন্ডল,	
digrike,	ডিগ্রীকে,	ডিগ্রিকে,	
bhugol,	ভূগল,	ভূগোল,	
license,	লিকেন্স,	লাইসেন্স,	
silvi,	শিলভী,	সিলভি,	
dharavashyokar,	ধারাভাষ্যকার,	ধারাভাষ্যকার,	
dormetori,	ডরমেটরি,	ডরমিটরি,	
baikalyo,	বৈকাল্য,	বৈকল্য,	
ministara,	মিনিস্টার,	মিনিস্টার,	
samajeekotar,	সামাজিকেতর,	সামাজিকতার,	
tottorat,	তত্ররাত,	তওরাত,	
sahoocorzo,	সহুকর্য,	সাহচর্য,	
bamoni,	বামনি,	বামনী,	
parijaner,	পরিজনের,	পরিজনের,	
qoda,	কোডা,	কোডা,	
kaansaat,	কানসাট,	কানসাট,	
prokar,	প্রকার,	প্রকার,	
cheerkoot,	চিরকুট,	চিরকুট,	
upacharjo,	উপার্য্য,	উপাচার্য,	
lajek,	লাজেক,	লজিক,	
sarboporee,	সর্বোপরি,	সর্বোপরী,	
halloin,	হ্যালন,	হ্যালোইন,	
gonohotyakey,	গণহত্যকে,	গণহত্যাকে,	
scall,	স্কেল,	এসকল,	
scare,	স্কার,	স্কোর,	
bem,	বেম,	বিম,	
barnish,	বার্নিস,	বার্নিশ,	
toubar,	তৌবার,	তওবার,	
nischitobhabe,	নিশ্চিতভভাবে,	নিশ্চিতভাবে,	
prithbir,	পৃথ্বীর,	পৃথবীর,	
chotto,	চট্ব,	ছোট্ট,	
sooresh,	সুরেশ,	সুরেশ,	
torcarir,	তরকারীর,	তরকারীর,	
bondhukey,	বন্ধুকে,	বন্ধুকে,	
mataram,	মাতারাম,	মাতরম,	
kharar,	খারার,	খরার,	
antarctica,	অন্টারটক্টিক,	অ্যান্টার্কটিকার,	
dakteekiter,	ডাক্তিকেতের,	ডাকটিকিটের,	
sedikei,	সেদিকেই,	সেদিকেই,	
oitihyer,	ঐতিহ্যের,	ঐতিহ্যের,	
senabahinio,	সেনাবাহিনী,	সেনাবাহিনীও,	
sovanetri,	সভানেত্রী,	সভানেত্রী,	
zhalokatthi,	ঝালকাঠি,	ঝালকাঠী,	
shomraatder,	সম্রাত্দের,	সম্রাটদের,	
ateetkaale,	অতীতকালে,	অতীতকালে,	
koyeri,	কোয়রি,	কোয়েরি,	
akik,	আকিক,	আকিক,	
maunchostho,	মঞ্চস্থ,	মঞ্চস্থ,	
parkasha,	পারক্স,	পার্কস,	
nikeela,	নিকিলা,	নিকেল,	
rohasyor,	রহস্যার,	রহস্যর,	
drishyoke,	দৃশ্যকে,	দৃশ্যকে,	
nachiketa,	নাচিকেতা,	নচিকেতা,	
bibek,	বিবেক,	বিবেক,	
iash,	আইএ,	আইএএস,	
prakalpoti,	প্রকাপপতি,	প্রকল্পটি,	
mandando,	মান্দ্ড,	মানদণ্ড,	
konphlikt,	কনফ্লিক্ট,	কনফ্লিক্ট,	
monzooshree,	মন্জুরী,	মঞ্জুশ্রী,	
mookhomandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
totokhon,	ততক্ষণ,	ততক্ষন,	
moolgoto,	মুলগত,	মূলগত,	
lagto,	লাগট,	লাগতো,	
pratijogi,	প্রতিযোগী,	প্রতিযোগী,	
mmadhuri,	মধুরী,	মাধুরী,	
gauge,	গৌগে,	গেজ,	
modelling,	মোডেলিং,	মডেলিং,	
nagarikkey,	নাগরিকে,	নাগরিককে,	
jaubankal,	যৌবনকাল,	যৌবনকাল,	
gezetted,	গেজেটেড,	গেজেটেড,	
ekpase,	একপাশে,	একপাশে,	
madrajer,	মাদ্রাজের,	মাদ্রাজের,	
muktilabh,	মুক্তিলাভা,	মুক্তিলাভ,	
proo,	প্রও,	প্রো,	
obosan,	অবসন,	অবসান,	
bhezano,	ভেজানো,	ভেজানো,	
hipar,	হিপার,	হাইপার,	
siddhantai,	সিদ্ধান্তই,	সিদ্ধান্তই,	
food,	ফুড,	ফুড,	
suiti,	সুইটি,	সুইটি,	
siqar,	শিকার,	শিকার,	
marmader,	মার্মাদের,	মারমাদের,	
nothibhookta,	নথিভুক্ত,	নথিভুক্ত,	
grambaaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
cholochchitrotike,	চলচ্চিত্রটিকে,	চলচ্চিত্রটিকে,	
baiqa,	বাইক,	বাইক,	
jibanto,	জীবন্ত,	জীবন্ত,	
anchalti,	অঞ্চলটি,	অঞ্চলটি,	
nirantar,	নিরান্তর,	নিরন্তর,	
shaannaal,	সান্নাল,	সান্যাল,	
parq,	পার্ক,	পার্ক,	
chani,	চানী,	ছানি,	
bunat,	বুনত,	বুনট,	
azibon,	আজিবন,	আজীবন,	
korkotkraantee,	কর্কক্রান্তি,	কর্কটক্রান্তি,	
mehonnotee,	মেহননাতি,	মেহনতি,	
salapheeta,	সালফেট,	সালফেট,	
eekbaler,	একবালের,	ইকবালের,	
gononanatyo,	গণননত্য,	গণনাট্য,	
aholya,	আহল্যা,	অহল্যা,	
samajeri,	সমজারী,	সমাজেরই,	
eshtoniya,	এস্টনিয়া,	এস্তোনিয়া,	
karmopantha,	কর্মপন্থা,	কর্মপন্থা,	
naitikatabodh,	নৈতিকাতাবাধ,	নৈতিকতাবোধ,	
koyartara,	কোয়ার্টার,	কোয়ার্টার,	
grambaashee,	গ্রামবাসী,	গ্রামবাসী,	
ispredshit,	ইস্পের্সিত,	স্প্রেডশীট,	
korecho,	করেছ,	করেছ,	
dasha,	দশা,	দোসা,	
drishyogulotey,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
ghumachhilo,	ঘুমাছিল,	ঘুমাচ্ছিল,	
rajtontro,	রাজতন্ত্র,	রাজতন্ত্র,	
nathibhooktir,	নাথিভুক্তির,	নথিভুক্তির,	
suparichita,	সুপারিচিত,	সুপরিচিত,	
dobhara,	ডোারা,	ডোভার,	
janaar,	জানার,	জানার,	
wool,	ভুল,	উল,	
zeland,	জেল্যান্ড,	জিল্যান্ড,	
vromoner,	ভ্রমণের,	ভ্রমণের,	
jaandrel,	জ্যান্ড্রেল,	জাঁদরেল,	
oitijjher,	ঐতিহ্যের,	ঐতিহ্যের,	
prakalpogulo,	প্রকালগুলো,	প্রকল্পগুলো,	
maailkhanek,	মাইলখনেক,	মাইলখানেক,	
basturyi,	বাস্তুরই,	বস্তুরই,	
robe,	রবে,	রবে,	
skarrt,	স্কার্ট,	স্কার্ট,	
dibug,	দিবুগ,	ডিবাগ,	
antarbhutto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
toroonderke,	তরুণ্ডারকে,	তরুণদেরকে,	
treebhuj,	ত্রিভুজ,	ত্রিভূজ,	
alexandarkey,	আলেক্সান্দ্রে,	আলেকজান্ডারকে,	
sarboshokteeman,	সর্বসক্তিকতান,	সর্বশক্তিমান,	
reeno,	রেন,	রেনো,	
nirbaaho,	নির্বাহ,	নির্বাহ,	
oholyar,	অহল্যার,	অহল্যার,	
oxforde,	অক্সফোর্ড,	অক্সফোর্ডে,	
nagarik,	নাগরিক,	নাগরিক,	
anhu,	অনু,	আনহু,	
siite,	সীটে,	শীতে,	
aqabar,	আকাবার,	আকাবার,	
kemone,	কেমনে,	কেমনে,	
feroz,	ফেরজ,	ফিরোজ,	
mugdhota,	মুগোধা,	মুগ্ধতা,	
kansater,	কাসটের,	কানসাটের,	
sofir,	সফীর,	সোফির,	
doobate,	দুবতে,	ডুবাতে,	
hotelteete,	হ্যাটলিটে,	হোটেলটিতে,	
abhidhaaneec,	অভিধানিক,	অভিধানিক,	
longghon,	লঙ্ঘন,	লংঘন,	
sooraarop,	সুরার,	সুরারোপ,	
karadondey,	কারাদন্ডে,	কারাদণ্ডে,	
amanisha,	অমনিশ,	অমানিশা,	
porizon,	পরিজন,	পরিজন,	
chiranton,	চিরন্তন,	চিরন্তন,	
angkita,	অংকিত,	অঙ্কিতা,	
bodh,	বধ,	বোধ,	
uporoshtho,	উপরস্থ,	উপরস্থ,	
khodeja,	খোদেজা,	খোদেজা,	
sthaponagulo,	স্থাপনগুলো,	স্থাপনাগুলো,	
hillser,	হিল্সের,	হিলসের,	
ghurchen,	ঘুরছেন,	ঘুরেছেন,	
butha,	বুথা,	বুথ,	
ghesha,	ঘেষা,	ঘেঁষা,	
angshogragon,	অংশগ্রগণ,	অংশগ্রহন,	
tahalo,	তাহল,	তাহলো,	
loukeekotaa,	লৌকিকাতা,	লৌকিকতা,	
sainyara,	সৈন্যরা,	সৈন্যরা,	
phutanto,	ফুটন্ত,	ফুটন্ত,	
doloo,	দলু,	ডলু,	
fuda,	ফুড,	ফুড,	
gitikabitar,	গীতিকাবিত্রার,	গীতিকবিতার,	
karpeeta,	কর্পট,	কার্পেট,	
aiiub,	আইউব,	আইইউবি,	
nishad,	নিষাদ,	নিষাদ,	
cheento,	চিন্ত,	চিনতো,	
elaakaatir,	এলাকাটির,	এলাকাটির,	
hedje,	হেড,	হেজ,	
bisshaskey,	বিশ্বাসকে,	বিশ্বাসকে,	
shayanaida,	সায়ানেড,	সায়ানাইড,	
bossonto,	বসন্ত,	বসন্ত,	
rob,	রব,	রব,	
shithilatar,	সিথিলতার,	শিথিলতার,	
naker,	নাকের,	নেকের,	
chyeta,	চিত্তা,	চ্যাট,	
laaishensh,	লাইন্স,	লাইসেন্স,	
firth,	ফার্থ,	ফার্থ,	
amor,	আমর,	আমর,	
goteehin,	গতিহীন,	গতিহীন,	
ishan,	ইসান,	ঈশান,	
byatari,	ব্যাটারি,	ব্যাটারী,	
black,	ব্লক,	ব্ল্যাক,	
dhanche,	ধাঁচে,	ধাঁচে,	
sarbopori,	সর্বোপরি,	সর্বোপরী,	
zommu,	জম্মু,	জম্মু,	
israiler,	ইসরাইলের,	ইসরাঈলের,	
shtena,	স্টেন,	স্টেন,	
sathik,	সাথিক,	সঠিক,	
pala,	পোল,	পোলো,	
jyakasana,	জ্যাকাসন,	জ্যাকসন,	
monjile,	মঞ্জিলে,	মঞ্জিলে,	
netherlande,	নেথারল্যান্ডে,	নেদারল্যান্ডে,	
ghatla,	ঘাটলা,	ঘটল,	
ghamta,	ঘামটা,	ঘোমটা,	
treenda,	ট্রেন্ড,	ট্রেন্ড,	
hitokar,	হিতকার,	হিতকর,	
jaanachhe,	জানাচে,	জানাচ্ছে,	
dakkhinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
unit,	ইউনিট,	ইউনিট,	
dhanni,	ধন্নি,	ধন্যি,	
lambatey,	লম্বাতে,	লম্বাটে,	
cholesi,	চলেসি,	চলেছি,	
granther,	গ্রন্থের,	গ্রন্থের,	
banijyikvittite,	বানিজ্যিকিতে,	বাণিজ্যিকভিত্তিতে,	
meghachchanno,	মেঘচান্ন,	মেঘাচ্ছন্ন,	
satarkata,	সত্রকতা,	সতর্কতা,	
moomtajer,	মুতাজের,	মুমতাজের,	
soundarjo,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
grambasir,	গ্রামবাসীর,	গ্রামবাসীর,	
ganochien,	গণচীন,	গণচীন,	
phirtee,	ফিরতি,	ফিরতি,	
opochesta,	অপছেষ্টা,	অপচেষ্টা,	
brindabaner,	বৃর্দ্বানের,	বৃন্দাবনের,	
duncan,	ডান্কন,	ডানকান,	
deul,	ডিউল,	দেউল,	
satarkabhabey,	সতার্কভাবে,	সতর্কভাবে,	
mmadhukkori,	মাধুকরি,	মাধুকরী,	
gaujano,	গৌজন,	গজানো,	
hitaishi,	হিটাসি,	হিতৈষী,	
naabbota,	নাববা,	নাব্যতা,	
totokshon,	ততক্ষণ,	ততক্ষন,	
gobeshona,	গবেষণা,	গবেষনা,	
shekend,	সেকেন্ড,	সেকেণ্ড,	
nabheela,	নাভিল,	নভেল,	
claud,	ক্লাড,	ক্লাউড,	
rotheen,	রথিন,	রথীন,	
bedey,	বেদে,	বেদে,	
tooni,	তুনি,	টুনি,	
peengna,	পিঙ্ন,	পিংনা,	
soourse,	সার্স,	সোর্স,	
eastar,	ইস্টার,	ইস্টার,	
bishwaashshke,	বিশ্বাসকে,	বিশ্বাসকে,	
fimela,	ফাইমেলা,	ফিমেল,	
homser,	হমমসের,	হোমসের,	
sqirt,	স্কার্ট,	স্কার্ট,	
hotochokito,	হতচকিত,	হতচকিত,	
srichoitonnodeb,	শ্রীচৈতন্যবেন,	শ্রীচৈতন্যদেব,	
bhabani,	ভবানী,	ভবানী,	
adhattikota,	আধ্যাতিকতা,	আধ্যাত্মিকতা,	
associatees,	অ্যাসোসিয়েস্ট,	এসোসিয়েটস,	
shangsthatir,	সাংস্থতির,	সংস্থাটির,	
batikromi,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
bipradas,	বিপ্রদাস,	বিপ্রদাস,	
stonehenge,	স্টোনেহে,	স্টোনহেঞ্জ,	
daaoon,	দাউন,	ডাউন,	
aameenar,	আমিনার,	আমিনার,	
treta,	ট্রেট,	ত্রেতা,	
oncholtee,	অঞ্চলটি,	অঞ্চলটি,	
longhaner,	লঙ্ঘনের,	লংঘনের,	
ekghore,	একঘরে,	একঘরে,	
naditei,	নদীতেই,	নদীতেই,	
euqalyptus,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
dito,	দ্বিত,	দিতো,	
mail,	মেল,	মাইল,	
prokalpeo,	প্রকল্পেও,	প্রকল্পেও,	
obhaarbhiu,	অভারভিযু,	ওভারভিউ,	
nirmolota,	নির্মলতা,	নির্মলতা,	
deputii,	দিপুিতি,	ডেপুটি,	
gate,	গেট,	গ্যেটে,	
seshardhe,	শেষার্ধে,	শেষার্ধে,	
uthhane,	উঠানে,	উঠানে,	
ghenshe,	ঘেনসে,	ঘেঁষে,	
hizritey,	হিজরিতে,	হিজরীতে,	
plata,	প্লট,	প্লেটো,	
teentir,	তিনটির,	তিনটির,	
probesher,	প্রবেশের,	প্রবেশের,	
teta,	টাটা,	টেটা,	
torabgunj,	তরবাগঞ্জ,	তোরাবগঞ্জ,	
elaakatir,	এলাকাটির,	এলাকাটির,	
horeedware,	হরিদরারে,	হরিদ্বারে,	
aarmstrong,	আম্সর্টরন,	আর্মস্ট্রং,	
naubom,	নবম,	নবম,	
moshzidtir,	মুশবিদ্তির,	মসজিদটির,	
taalgaachh,	তালগাছ,	তালগাছ,	
japanira,	জাপানীরা,	জাপানিরা,	
gujober,	গুজবের,	গুজবের,	
nyaper,	ম্যাপের,	ন্যাপের,	
nevatey,	নেভাতে,	নেভাতে,	
dhyanastha,	ধ্যান্থা,	ধ্যানস্থ,	
aedipus,	এদিপুস,	ইডিপাস,	
pooloo,	পুলো,	পোলো,	
