shashoto,	শাসত,	শাশ্বত,	
ashonka,	আসঙ্কা,	আশংকা,	
shotokey,	শতকে,	শতকে,	
folok,	ফলক,	ফলক,	
bamonder,	বামন্ডের,	বামনদের,	
phareksa,	ফরেক্স,	ফরেক্স,	
lutharana,	লুঠারন,	লুথেরান,	
udvaboker,	উদ্ভাবকের,	উদ্ভাবকের,	
uporitol,	উপরিতল,	উপরিতল,	
kkunti,	কুনটি,	কুন্তী,	
sahajlabhbhotar,	সহাজলভভতার,	সহজলভ্যতার,	
sohopathike,	সহপাঠীকে,	সহপাঠীকে,	
bosonte,	বসন্তে,	বসন্তে,	
fising,	ফিসিং,	ফিসিং,	
satorkovabe,	সতরকোভাবে,	সতর্কভাবে,	
duplee,	দাপলি,	ডুপ্লে,	
mausumti,	মৌসমটি,	মৌসুমটি,	
boudhheer,	বৌধির,	বৌদ্ধের,	
pallar,	পল্লার,	পাল্লার,	
shuperhero,	সুপারেরও,	সুপারহিরো,	
ba,	বা,	বু,	
khanankaj,	খননকাজ,	খননকাজ,	
gabeshanar,	গবেষণার,	গবেষনার,	
mmeloborrne,	মেলবররে,	মেলবোর্নে,	
shoow,	শু,	শো,	
eekbaler,	একবলের,	ইকবালের,	
nodiiti,	নদীতী,	নদীটি,	
maricha,	মররিখা,	মরিচা,	
shelina,	সেলিন,	সেলিনা,	
naazee,	নাজী,	নাত্সি,	
sansthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
transapharma,	ট্রান্সফার,	ট্রান্সফর্ম,	
saramiks,	সারামিক্স,	সিরামিকস,	
lutharan,	লুঠারণ,	লুথেরান,	
salim,	সালিম,	সেলিম,	
chhotogalpe,	ছোটোগল্পে,	ছোটগল্পে,	
kushumba,	কুসুম্ব,	কুশুম্বা,	
songosthaner,	সংস্থানের,	সংস্থানের,	
mukhomandaley,	মুখমন্ডলে,	মুখমণ্ডলে,	
kamla,	কমলা,	কামলা,	
crime,	ক্রিমে,	ক্রাইম,	
palestiner,	পলেস্টিনের,	প্যালেস্টাইনের,	
ghatlo,	ঘাতল,	ঘটল,	
abosane,	অবসানে,	অবসানে,	
hotochokeeto,	হতচোচিক,	হতচকিত,	
turkey,	তার্কে,	তুর্কি,	
change,	চঙ্গে,	চেঞ্জ,	
aholar,	আহলার,	অহল্যার,	
masajida,	মাজাজিদা,	মসজিদ,	
baarbadoj,	বার্বাডোজ,	বার্বাডোজ,	
mangoleek,	মঙ্গলিক,	মাঙ্গলিক,	
shaushage,	শৌসাগে,	সসেজ,	
omarjeeto,	অমার্জিত,	অমার্জিত,	
sahazlabhbhotar,	সহাজলভভতার,	সহজলভ্যতার,	
itastato,	ইতাসতত,	ইতস্তত,	
nirmolota,	নির্মলতা,	নির্মলতা,	
moolgoto,	মুলগত,	মূলগত,	
hugheske,	হুগেসকে,	হিউজকে,	
udbodhaney,	উদ্বাধনে,	উদ্বোধনে,	
prasadhoner,	প্রসাধনের,	প্রসাধনের,	
chaudhurir,	চৌধুরির,	চৌধুরীর,	
farn,	ফর্ন,	ফার্ন,	
seating,	সেটিং,	সিটিং,	
mukhomondole,	মুখমন্ডলে,	মুখমণ্ডলে,	
lambate,	লম্বাতে,	লম্বাটে,	
nodigulo,	নদীগুলো,	নদীগুলো,	
soolke,	সোলকে,	শুল্কে,	
hochchilo,	হচ্ছিল,	হচ্ছিলো,	
sift,	সিফ্ট,	শিফট,	
soleel,	সোলিল,	সলিল,	
oncholgulir,	অঞ্চললির,	অঞ্চলগুলির,	
sampadon,	সম্পাদন,	সম্পাদন,	
sotteo,	সত্তেও,	সত্ত্বেও,	
vince,	ভাইন্স,	ভিন্স,	
jeellul,	জিল্লুল,	জিল্লুল,	
definishian,	ডেফিনিশন,	ডেফিনেশন,	
sangkoolan,	সংকুলন,	সংকুলান,	
fern,	ফার্ন,	ফার্ন,	
aarakani,	আরাকানি,	আরাকানী,	
pharanyata,	ফরণ্যাতা,	ফরম্যাট,	
kormoyi,	কর্মই,	কর্মই,	
prachurjer,	প্রচুর্যের,	প্রাচুর্যের,	
haridwar,	হরিদ্বার,	হরিদ্বার,	
japaanira,	জাপানীরা,	জাপানিরা,	
meterey,	মেটেরে,	মিটারে,	
joisttho,	জৈষ্ঠ্য,	জ্যৈষ্ঠ,	
basaate,	বাসাতে,	বাসাতে,	
tottobar,	তত্তবার,	তওবার,	
rajnaitik,	রাজনৈতিক,	রাজনৈতীক,	
neermolota,	নির্মলতা,	নির্মলতা,	
manaber,	মননবের,	মানবের,	
tale,	টেলে,	তালে,	
batikromshali,	বাতিক্রশমলি,	ব্যতিক্রমধর্মী,	
shamuk,	শামুক,	শামুক,	
grambaseeo,	গ্রামবাসীও,	গ্রামবাসীও,	
nirbahi,	নির্বাহী,	নির্বাহি,	
jesthatar,	জেস্থাতার,	জ্যেষ্ঠতার,	
antarvuktimulak,	অন্ত্র্তিভূক্তমূক,	অন্তর্ভুক্তিমূলক,	
lyata,	ল্যাট,	ল্যাটা,	
swalpa,	স্বল্প,	স্বল্প,	
beeswaske,	বিশ্বাসকে,	বিশ্বাসকে,	
phutbolarder,	ফুটবলর্ডের,	ফুটবলারদের,	
parking,	পার্কিং,	পার্কিং,	
bhenuser,	ভেনাসের,	ভেনাসের,	
timur,	টিমুর,	তিমুর,	
vvimsenn,	ভীমসেন,	ভীমসেন,	
nischitabhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
ssahocorze,	সহসচর্যে,	সাহচর্যে,	
olimpik,	অলিম্পিক,	অলিম্পিক,	
falok,	ফলক,	ফলক,	
utkhater,	উৎকাতের,	উৎখাতের,	
pushteer,	পুস্তির,	পুষ্টির,	
paltechhey,	পলেছে,	পাল্টেছে,	
naraphooka,	নারাফোকা,	নরফোক,	
mit,	মিত,	মিট,	
dinifitian,	ডিনিফিক্যান,	ডেফিনেশন,	
sombhobonaow,	সম্ভবনাও,	সম্ভবনাও,	
dakope,	ডাকাপে,	দাকোপ,	
weenis,	উইনিস,	ভেনিস,	
blagarara,	ব্ল্গার,	ব্লগাররা,	
trenda,	ট্রেন্ড,	ট্রেন্ড,	
ekirokom,	একরিকম,	একইরকম,	
reetesh,	রিটস,	রিতেশ,	
lutheereen,	লুঠারেন,	লুথেরান,	
sadbi,	সদবি,	সাধ্বী,	
ajijoor,	আজিজুর,	আজিজুর,	
olympik,	অলিম্পিক,	অলিম্পিক,	
shrimati,	শ্রীমতী,	শ্রীমতি,	
zeebonjaapon,	জীবনজাপন,	জীবনযাপন,	
kuhelika,	কুহেলিকা,	কুহেলিকা,	
nodiitike,	নদীতিকে,	নদীটিকে,	
bhiktara,	ভিক্টর,	ভিক্টর,	
huk,	হুক,	হুক,	
tunaita,	টুনাইট,	টুনাইট,	
shrichaitanyadev,	শ্রীচাতন্যদেব,	শ্রীচৈতন্যদেব,	
koreempur,	করিমপুর,	করিমপুর,	
suiti,	সুইটি,	সুইটি,	
opochesta,	অপচেষ্টা,	অপচেষ্টা,	
gazipore,	গজীীপরে,	গাজীপুর,	
osshoshtikor,	অস্বস্তিকর,	অস্বস্তিকর,	
madhookori,	মাধুকরী,	মাধুকরী,	
eemeergeency,	এমের্জারেন্সি,	এমার্জেন্সি,	
drishyogulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
loker,	লোকের,	লকের,	
parse,	পর্স,	পার্শ্বে,	
probesher,	প্রবেশের,	প্রবেশের,	
shorifpur,	শরীপুর,	শরিফপুর,	
saazanor,	সাজানোর,	সাজানোর,	
ghatir,	ঘাতির,	ঘাটির,	
phashtara,	ফসস্টার,	ফস্টার,	
ekshapreshhana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
sharifpur,	শরীপুর,	শরিফপুর,	
gezetted,	গ্যাজেটেড,	গেজেটেড,	
miley,	মিলে,	মাইলি,	
sikkhokbreendo,	শিক্ষাবৃন্দ,	শিক্ষকবৃন্দ,	
dhauta,	ধাউতা,	ধৌত,	
bbosben,	বসবেন,	বসবেন,	
dharer,	ধারের,	ধরের,	
daul,	দাউল,	দেউল,	
johns,	জনস,	জন্স,	
geja,	গেজা,	গেজ,	
roopdaan,	রূপদান,	রুপদান,	
chalochchitraeeo,	চলচিত্রেও,	চলচ্চিত্রেও,	
messenger,	মেসেঞ্জার,	মেসেঞ্জার,	
bandhano,	বাঁধানো,	বাঁধানো,	
darjeeling,	ডার্জিলিং,	দার্জিলিং,	
totokkhon,	ততক্ষণ,	ততক্ষন,	
makong,	মকযাং,	মেকং,	
manob,	মনব,	মানব,	
mailer,	মেলের,	মেইলের,	
mitar,	মিটার,	মিত্র,	
sooya,	সোয়া,	সোয়া,	
utsahamulak,	উৎসাহূলক,	উৎসাহমূলক,	
soranor,	সরাানোর,	সরানোর,	
samaptir,	সমপ্তির,	সমাপ্তির,	
hedge,	হেজ,	হেজ,	
cholchhee,	চলছি,	চলছে,	
dala,	দালা,	দলা,	
ujobekeestan,	উজবেকিষ্টান,	উজবেকিস্তান,	
dankan,	ডানকান,	ডানকান,	
jeellool,	জিল্লুল,	জিল্লুল,	
shorif,	শরীফ,	শরিফ,	
awatara,	আওতার,	অবতার,	
suparheiro,	সুপারেরও,	সুপারহিরো,	
serup,	সেরুপ,	সেরুপ,	
nirgoon,	নির্গণ,	নির্গুণ,	
sbaajaner,	স্বজনের,	স্বজনের,	
mosjidsoho,	মজজিসদসহ,	মসজিদসহ,	
mosan,	মোান,	মোশন,	
laisense,	লাইসেন্স,	লাইসেন্স,	
baasate,	বাসাতে,	বাসাতে,	
manjurul,	মন্জুরুল,	মনজুরুল,	
phareksha,	ফরেকশা,	ফরেক্স,	
radhanogor,	রাধানগর,	রাধানগর,	
mishal,	মিশাল,	মিশাল,	
cholochchitroke,	চলচিচ্ত্রকে,	চলচ্চিত্রকে,	
laat,	লেট,	লাট,	
lesense,	লেসেন্স,	লাইসেন্স,	
dwipgulo,	দ্বিপগুলো,	দ্বীপগুলো,	
bairer,	বৈরের,	বাইরের,	
doorger,	দুর্গের,	দুর্গের,	
drishyer,	দৃশ্যের,	দৃশ্যের,	
keu,	কিউ,	কেউ,	
oojbekistan,	উজবেকিস্তান,	উজবেকিস্তান,	
manushti,	মনুষ্টি,	মানুষটি,	
soshej,	সসেেজ,	সসেজ,	
oncholo,	অঞ্চল,	অঞ্চলও,	
fala,	ফল,	পোলো,	
aholya,	আহ্ল,	অহল্যা,	
elaaka,	এলাকা,	এলাকা,	
zack,	জ্যাক,	জ্যাক,	
bishnoo,	বিষ্ণু,	বিষ্ণু,	
elakaa,	এলাকা,	এলাকা,	
sarboshaktimaan,	সর্বক্্তিমনক,	সর্বশক্তিমান,	
raia,	রাই,	রায়,	
songbadmadhyame,	সংবাদমাধ্যমে,	সংবাদমাধ্যমে,	
khoka,	কোকা,	খোকা,	
eokee,	একওকে,	এওকি,	
shangsthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
rajashri,	রাজস্রী,	রাজশ্রী,	
jeshtha,	জেষ্ঠা,	জ্যেষ্ঠা,	
carpetey,	কর্পোটে,	কার্পেটে,	
bholapuqa,	ভোলপাকা,	ভোলাপুক,	
peshto,	পেস্ট,	পেষ্ট,	
tookroke,	তুকরকে,	টুকরোকে,	
arthanitite,	অর্থনিতিতে,	অর্থনীতিতে,	
apochesta,	অপচেষ্টা,	অপচেষ্টা,	
chirokumari,	চিরকুমমারী,	চিরকুমারী,	
oodoore,	উদরে,	অদুরে,	
loukikataa,	লৌকিকতা,	লৌকিকতা,	
nilkomol,	নীলকমল,	নীলকমল,	
murali,	মুরালি,	মুরলী,	
masto,	মসত,	মাস্ত,	
lajiqa,	লাজিকা,	লজিক,	
baraakpur,	বরক্পুর,	বারাকপুর,	
bhoolapuka,	ভোলাপুকা,	ভোলাপুক,	
tuleche,	তুলেছে,	তুলেছে,	
agamane,	আগমন,	আগমনে,	
monzeele,	মঞ্জিলে,	মঞ্জিলে,	
tinej,	টিনেজ,	টিনেজ,	
tafsirer,	তাসিরের,	তাফসীরের,	
elakaatir,	এলাকাটির,	এলাকাটির,	
tooni,	টুনি,	টুনি,	
shasonkarta,	শাসনকারটা,	শাসনকর্তা,	
nogore,	নগরে,	নগরে,	
cholochchitraeei,	চলচিত্রই,	চলচ্চিত্রেই,	
vaisoho,	ভাইসহ,	ভাইসহ,	
augustin,	আগসগুটিন,	অগাস্টিন,	
prakare,	প্রকারে,	প্রকারে,	
monchostho,	মঞ্চস্থ,	মঞ্চস্থ,	
asantos,	আসন্তস,	অসন্তোষ,	
potochitro,	পতচিচ্র,	পটচিত্র,	
raagei,	রাগেই,	রাগেই,	
nomo,	নম,	নমো,	
ekoghoore,	একঘরে,	একঘরে,	
babona,	বাননা,	বাবনা,	
naubihar,	নবিহর,	নৌবিহার,	
juktorashtrasaha,	যুক্তরস্ত্রস,	যুক্তরাষ্ট্রসহ,	
bishshashi,	বিশ্বাসী,	বিশ্বাসই,	
taalgachh,	তালগাছ,	তালগাছ,	
sachetanatamulok,	স্যাচাতনমূলক,	সচেতনতামূলক,	
brindaboner,	ব্রিন্দবাের,	বৃন্দাবনের,	
jothon,	যথন,	যথন,	
landin,	ল্যান্ডিন,	ল্যান্ডিং,	
neemeetto,	নিমেত্ত,	নিমিত্ত,	
tukroti,	টুক্রটি,	টুকরোটি,	
prokolpogulo,	প্রকোলগগুলো,	প্রকল্পগুলো,	
hugheke,	হুঝেকে,	হিউজকে,	
syutara,	স্যুটর,	শ্যুটার,	
forid,	ফরিদ,	ফরিদ,	
shainyader,	সৈন্যদের,	সৈন্যদের,	
laiseensee,	লাইসেন্স,	লাইসেন্স,	
dorji,	দর্জি,	দরজি,	
lishensh,	লিসেন্স,	লাইসেন্স,	
breakthrough,	ব্রেক্ষরাফ,	ব্রেকথ্রু,	
graambaseeo,	গ্রামবাসীও,	গ্রামবাসীও,	
bondhuderke,	বন্ধুদেরকে,	বন্ধুদেরকে,	
korimpur,	করিমপুর,	করিমপুর,	
volapuq,	ওলাপাক,	ভোলাপুক,	
gosthyi,	গোষ্ঠী,	গোষ্ঠীই,	
prakalpogulo,	প্রকাকলগুলো,	প্রকল্পগুলো,	
kanasarabhesana,	কনোরাসেশন,	কনসারভেশন,	
niutrino,	নিউট্রিনো,	নিউট্রিনো,	
phund,	ফাঁদ,	ফান্ড,	
sikkhakder,	শিক্ষাকদের,	শিক্ষকদের,	
naji,	নাজি,	নাত্সি,	
baiqa,	বাইক,	বাইক,	
monoputo,	মনোপুত,	মনঃপুত,	
gandhiio,	গান্ধিয়,	গান্ধীও,	
nepchuner,	নেপচুনের,	নেপচুনের,	
batikromi,	বাতিক্রমী,	ব্যতিক্রমী,	
pakistanira,	পাকিস্তানীরা,	পাকিস্তানীরা,	
shpreadshheet,	স্প্রিডসেট,	স্প্রেডশীট,	
safalyer,	সাফলের,	সাফল্যের,	
bissonath,	বিশ্নাাথ,	বিশ্বনাথ,	
istane,	ইস্টানে,	স্টোন,	
songasthagulo,	সংস্গালগুলো,	সংস্থাগুলো,	
daktikite,	দক্তিকিতে,	ডাকটিকিটে,	
cholocchitrotike,	চলচ্চিত্রটিকে,	চলচ্চিত্রটিকে,	
nazi,	নাজি,	নাত্সি,	
debdebie,	দেবদেবীই,	দেবদেবী,	
gandhir,	গান্ধির,	গান্ধীর,	
porbotmala,	পর্বত্মলা,	পর্বতমালা,	
aakik,	আকিক,	আকিক,	
aashtikotaa,	আস্তিকতা,	আস্তিকতা,	
visnu,	বিষ্ণু,	বিষ্ণু,	
karadonder,	কারাদন্ডের,	কারাদণ্ডের,	
fox,	ফো্স,	ফক্স,	
shikare,	শিকারে,	শিকারে,	
spredshiit,	স্প্রেডসিট,	স্প্রেডশীট,	
directarate,	ডিরেকেটরেট,	ডিরেক্টরেট,	
sachetanbhabe,	স্বােতভাবে,	সচেতনভাবে,	
monhputo,	মনপপুত,	মনঃপুত,	
tikta,	টিকটা,	তিক্ত,	
mosjidkey,	মজসজদকে,	মসজিদকে,	
holdeeng,	হোল্ডিং,	হোল্ডিং,	
hiragaana,	হিরোগান,	হিরাগানা,	
saahocorrze,	সাহচর্যয,	সাহচর্যে,	
ghateer,	ঘাতির,	ঘাটির,	
phiksim,	ফিক্সিং,	ফিক্সিং,	
manoharpur,	মনোহরপুর,	মনোহরপুর,	
janoganonar,	জনগণনার,	জনগণনার,	
jathartha,	যথারথা,	যথার্থ,	
qanaphliqta,	কনফিলিক্ট,	কনফ্লিক্ট,	
thelaa,	থেলা,	ঠেলা,	
anchalgoolir,	আঞ্চললির,	অঞ্চলগুলির,	
jeebnagore,	জীবনাগরে,	জীবননগর,	
modhyostho,	মধ্যস্থ,	মধ্যস্থ,	
bossontoke,	বসন্তকে,	বসন্তকে,	
gandho,	গান্ধ,	গন্ধ,	
krantikale,	ক্রান্টিকালে,	ক্রান্তিকালে,	
onektai,	অনেকটাই,	অনেকটাই,	
aporishodhito,	অপরিশাধিত,	অপরিশোধিত,	
jonsa,	জোস,	জোন্স,	
madhyastho,	মধ্যস্থ,	মধ্যস্থ,	
santaa,	সাঁতা,	সান্তা,	
oshthad,	অষ্থাদ,	ওস্তাদ,	
dephinishion,	ডেফিনিশন,	ডেফিনেশন,	
tafasir,	তফসির,	তাফসীর,	
hedje,	হেজ,	হেজ,	
lyandeeng,	ল্যান্ডিং,	ল্যান্ডিং,	
tonu,	তোনু,	তনু,	
hotodoreedro,	হত্রোদির্দ,	হতদরিদ্র,	
gronthatike,	গ্রন্থাটিকে,	গ্রন্থটিকে,	
prrajanankaal,	প্রজননক্যাল,	প্রজননকাল,	
kanader,	কানাদের,	কণাদের,	
plata,	প্লট,	প্লেটো,	
machgulo,	মাগগুলো,	মাছগুলো,	
kemonay,	কেমনে,	কেমনে,	
kakhonyoba,	কখনোবা,	কখনওবা,	
bonbhumite,	বনভূমিতে,	বনভূমিতে,	
sahopatheeke,	সহপাঠীকে,	সহপাঠীকে,	
jacq,	জ্যাক,	জ্যাক,	
bethik,	বৈঠিক,	বেঠিক,	
naran,	নরন,	নরেন,	
assaciates,	অ্যাসিসেটিস,	এসোসিয়েটস,	
peto,	পেতো,	পেত,	
sanaktokaraner,	সনাক্তকরণের,	সনাক্তকরণের,	
sangostha,	সং্গত্থা,	সংস্থা,	
kode,	কোদে,	কোড,	
dhaloor,	ঢালুর,	ঢালুর,	
wrighter,	রাইটার,	রাইটের,	
bbiswasho,	বিশ্বাস,	বিশ্বাসও,	
sompadoner,	সম্পাদনের,	সম্পাদনের,	
parshwey,	পারস্ভে,	পার্শ্বে,	
aabahon,	আবহান,	আবাহন,	
nirbaahe,	নির্বাহে,	নির্বাহে,	
ganjana,	গঞ্জনা,	গঞ্জনা,	
townsip,	টন্সিপ,	টাউনশিপ,	
juboksaho,	যুবকাহ,	যুবকসহ,	
roialti,	র্যালটি,	রয়্যালটি,	
shuknaa,	শুকনা,	শুকনা,	
kormosongsthaner,	কর্মসংস্থানের,	কর্মসংস্থানের,	
sotorkokaree,	সতরকারকারী,	সতর্ককারী,	
agam,	আগাম,	আগম,	
instant,	ইন্সট্যান্ট,	ইনস্ট্যান্ট,	
valobasar,	ভালবাসার,	ভালোবাসার,	
koda,	কোদা,	কোডা,	
alaul,	অলাল,	আলাওল,	
hypar,	হাইপার,	হাইপার,	
foksher,	ফক্ষের,	ফক্সের,	
rajtantrakey,	রাজনত্ত্রকে,	রাজতন্ত্রকে,	
nirantar,	নিরান্তর,	নিরন্তর,	
jonoikaa,	জননিকা,	জনৈকা,	
duburir,	দুবুরির,	ডুবুরির,	
ezenda,	এজেন্ডা,	এজেন্ডা,	
samanno,	সামানো,	সামান্য,	
mitrader,	মিত্রদের,	মিত্রদের,	
bager,	বাগের,	বাগের,	
skolarship,	স্কলারশিপ,	স্কলারশিপ,	
shakara,	সকর,	সাকার,	
blacq,	ব্লক,	ব্ল্যাক,	
istoone,	ইস্টোন,	স্টোন,	
sumee,	সুমি,	সুমি,	
dhyan,	ধ্যান,	ধ্যান,	
atorkitey,	অতর্কিতে,	অতর্কিতে,	
ekla,	এক্লা,	একলা,	
jetam,	জিতাম,	যেতাম,	
heze,	হেজে,	হেজ,	
abheedhaaneeck,	অভিধানিক,	অভিধানিক,	
shuperheiro,	সুপারেহীর,	সুপারহিরো,	
netherlande,	নেথারল্যান্ডে,	নেদারল্যান্ডে,	
dharavahikbhabe,	ধারাভিকভাবে,	ধারাবাহিকভাবে,	
capshule,	ক্যাসূলে,	ক্যাপসুল,	
alaa,	আলা,	আলা,	
avetara,	অভের,	অবতার,	
progreess,	প্রগ্রেস,	প্রগ্রেস,	
sakshatkarer,	সাক্ষাৎকারের,	সাক্ষাত্কারের,	
bondhutto,	বন্ধুত্ব,	বন্ধুত্ত্ব,	
engineerin,	এঙ্গারিনীর,	ইঞ্জিনিয়ারিং,	
zonsa,	জোস,	জোন্স,	
uporzon,	উপরজন,	উপার্জন,	
ameerica,	এমেরিকা,	আমেরিকা,	
deilee,	দেলি,	ডেইলি,	
tet,	টেট,	টেট,	
ekpase,	একপাসে,	একপাশে,	
dalu,	দালু,	ডালু,	
cheekitsar,	চিকিৎসার,	চিকিত্সার,	
ronangane,	রণাঙ্গনে,	রণাঙ্গনে,	
besirbhagei,	বেশীরভাগই,	বেশিরভাগেই,	
sofi,	সফি,	সোফি,	
kaamla,	কামলা,	কামলা,	
ooporoshtho,	অপর্থষ্থ,	উপরস্থ,	
spashtotai,	স্পাস্ততাই,	স্পষ্টতই,	
chalachchitrake,	চলচিচ্রকে,	চলচ্চিত্রকে,	
janmaat,	জন্মাত,	জন্মাত,	
ottacharito,	অত্মচারিত,	অত্যাচারিত,	
tuner,	টানের,	টিউনার,	
panctaar,	পাঁচটর,	পাঁচটার,	
ancholgulir,	আঞ্চললির,	অঞ্চলগুলির,	
purohitke,	পুরোহীতকে,	পুরোহিতকে,	
merjito,	মের্জিত,	মার্জিত,	
siit,	সীট,	শীত,	
sikkhagata,	শিক্ষাগতা,	শিক্ষাগত,	
redcrosser,	রেকর্ডসের,	রেডক্রসের,	
sahokaree,	সহকারি,	সহকারী,	
breil,	ব্রেল,	ব্রেইল,	
antorvukto,	অর্তর্ভূক্ত,	অন্তর্ভুক্ত,	
karmojog,	কর্মযোগ,	কর্মযোগ,	
totokhon,	ততখাষণ,	ততক্ষন,	
prodiper,	প্রদিপের,	প্রদীপের,	
rohoshyor,	রহস্যর,	রহস্যর,	
ancholsaho,	অঞ্চলসহ,	অঞ্চলসহ,	
eutey,	ইউটে,	ইইউতে,	
khalid,	খলিদ,	খালিদ,	
marmaaraa,	মার্মারা,	মারমারা,	
horir,	হরীর,	হরির,	
gripe,	গ্রিপে,	গ্রিপ,	
nothivuktir,	নথিিভূক্তির,	নথিভুক্তির,	
mayili,	মেলি,	মাইলি,	
masjidtikey,	মাসজজিদটিকে,	মসজিদটিকে,	
adhyatmik,	আধ্যাত্মিক,	আধ্যাত্মিক,	
akkas,	একাস,	আককাস,	
atyacharito,	অত্যচারিত,	অত্যাচারিত,	
welcome,	ওয়ালকমে,	ওয়েলকাম,	
pillai,	পিল্লাই,	পিল্লাই,	
direktareta,	ডিরেক্টরেট,	ডিরেক্টরেট,	
ramonar,	রমনার,	রমনার,	
admiral,	এদমিরাল,	এডমিরাল,	
stoonahenja,	স্টোনেহ্জা,	স্টোনহেঞ্জ,	
eksapresana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
tolemi,	তলেমি,	টলেমির,	
abdune,	আবদুনে,	আবদুন,	
tiunara,	টিউনার,	টিউনার,	
vortuki,	ভর্তুকি,	ভর্তুকি,	
nodimaatrik,	নদদিমাত্রিক,	নদীমাতৃক,	
seet,	সেট,	সিট,	
noditei,	নদীতেই,	নদীতেই,	
songhitar,	সংঘিতার,	সংহিতার,	
bahaal,	বাহাল,	বহাল,	
prakalpotike,	প্রকোলপাটিকে,	প্রকল্পটিকে,	
jerakam,	জেরকম,	যেরকম,	
cooling,	কুলিং,	কুলিং,	
nischitobhave,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
akhhunno,	অখুন্ন,	অক্ষুণ্ণ,	
bu,	বু,	বু,	
yuro,	ইউরো,	ইউরো,	
skalarashipa,	স্কলোরিশিপ,	স্কলারশিপ,	
bosontokke,	বসন্তককে,	বসন্তকে,	
titlee,	টিটলি,	টাইটেল,	
ikbaaler,	একবলের,	ইকবালের,	
morathee,	মরাঠী,	মরাঠি,	
gaje,	গজে,	গেজ,	
cheenja,	চিঞ্জা,	চেঞ্জ,	
ancholeo,	আঞ্চলেও,	অঞ্চলেও,	
chetanagoto,	চেতানগত,	চেতনাগত,	
talgachh,	তালগাছ,	তালগাছ,	
bulan,	বুলন,	বুলান,	
futbolarder,	ফুটবলর্ডের,	ফুটবলারদের,	
sheat,	শেট,	সিট,	
senabahinio,	সেনাবাহিনী,	সেনাবাহিনীও,	
artilari,	আর্টালিরি,	আর্টিলারি,	
gej,	গেজ,	গেজ,	
kredit,	ক্রেডিট,	ক্রেডিট,	
mmadhuri,	মাধুরি,	মাধুরী,	
durgondher,	দুর্গন্ধের,	দুর্গন্ধের,	
candi,	কান্ডি,	ক্যান্ডি,	
neshhanasha,	নেশনাস,	নেশনস,	
longhon,	লঙ্ঘন,	লংঘন,	
sangbadmadhyamer,	সংবামধা্যমের,	সংবাদমাধ্যমের,	
rupart,	রূপার্ট,	রুপার্ট,	
upacharjo,	উপাচ্্য,	উপাচার্য,	
clause,	ক্লাজ,	ক্লজ,	
agahir,	আগাহীর,	অগভীর,	
reejur,	রিজুর,	রিজুর,	
surkey,	সার্কে,	সুরকে,	
agrodut,	অগ্রদূত,	অগ্রদূত,	
obdee,	অব্ি,	অব্দি,	
dorgaho,	দরগাহ,	দরগাহ,	
khelaphate,	খেলাফাতে,	খেলাফতে,	
dang,	ডাং,	ডং,	
roi,	রই,	রায়,	
srichoitonyodeb,	শ্রীচৈতনৈদ্যবে,	শ্রীচৈতন্যদেব,	
venisey,	ভেনিসে,	ভেনিসে,	
stoneeheengee,	স্টিনহিং,	স্টোনহেঞ্জ,	
flag,	ফ্ল্যাগ,	ফ্লাগ,	
maszid,	মাসজিদ,	মসজিদ,	
bhagna,	ভগ্্ন,	ভগ্ন,	
eporjonto,	এপর্যন্ত,	এপর্যন্ত,	
ruby,	রাবি,	রুবী,	
eastar,	ইস্টার,	ইস্টার,	
lutharen,	লুঠারেন,	লুথেরান,	
durgotsob,	দুর্গতবস,	দুর্গোৎসব,	
shfingtar,	স্ফিংটার,	স্ফিংটার,	
daltyagi,	দাল্ত্যি,	দলত্যাগী,	
tolemy,	টলেমি,	টলেমির,	
akritakarjo,	আকৃতকার্য,	অকৃতকার্য,	
jokkho,	যক্ষ্,	যক্ষ,	
zommoo,	জম্মও,	জম্মু,	
deares,	দিরেশ,	ডিআরএস,	
rahh,	রহ,	রঃ,	
choiti,	চৈতি,	চৈতি,	
aarmstrong,	আর্মস্ট্রম,	আর্মস্ট্রং,	
necker,	নেযকের,	নেকের,	
upobaser,	উপবাসের,	উপবাসের,	
elaakao,	এলাকাও,	এলাকাও,	
futonta,	ফুনতটা,	ফুটন্ত,	
suraaropito,	সুরারোপিত,	সুরারোপিত,	
byabostho,	ব্যবস্থ,	ব্যাবস্থা,	
sloker,	স্লোকের,	শ্লোকের,	
ganoporibohon,	গণপরিবহণ,	গণপরিবহন,	
siiteyi,	সিটেই,	শীতেই,	
abdoor,	আব্ডুর,	আবদুর,	
choudhureeo,	চৌধুরির,	চৌধুরীও,	
kyathalika,	ক্যাথলিকা,	ক্যাথলিক,	
safi,	সাফি,	সাফি,	
vangley,	ভাঙেলে,	ভাঙলে,	
weelcomee,	উইকলেম,	ওয়েলকাম,	
voterer,	ভোতরের,	ভোটারের,	
sniper,	স্নিপের,	স্নাইপার,	
sabyastha,	সব্যস্থ,	সাব্যস্থ,	
