chhaanake,	ছানকে,	ছানাকে,	
hyaloyin,	হ্যালিন,	হ্যালোইন,	
sanaktokaroner,	সনাক্তরণের,	সনাক্তকরণের,	
koreemke,	করিমকে,	করিমকে,	
udbodhoni,	উদ্বধনি,	উদ্বোধনী,	
bhromoner,	ভ্রমণের,	ভ্রমণের,	
noitikata,	নৈতিকতা,	নৈতিকতা,	
tersa,	টার্স,	টেরেসা,	
naker,	নাকের,	নেকের,	
omarendro,	অমারেন্দ্র,	অমরেন্দ্র,	
onnkita,	অনককিত,	অঙ্কিতা,	
saarbharer,	সার্ভারের,	সার্ভারের,	
ashamarthita,	অসমার্থিত,	অসমর্থিত,	
manobsomajer,	মানবসমাজের,	মানবসমাজের,	
vangchur,	ভাঙচুর,	ভাংচুর,	
gabeshakgon,	গবেষকগণ,	গবেষকগণ,	
elaakatir,	এলাকাতির,	এলাকাটির,	
deil,	দেল,	ডেইল,	
vaskor,	ভাস্কোর,	ভাস্কর,	
ponjikar,	পঞ্জিকার,	পঞ্জিকার,	
roomantic,	রোমান্টিক,	রোমান্টিক,	
aqramer,	আকররমের,	আকরামের,	
spashtotai,	স্পষ্টটাই,	স্পষ্টতই,	
shringey,	শ্রীঞ্জ,	শৃঙ্গে,	
alpakichudin,	অল্পকিছুন,	অল্পকিছুদিন,	
suresh,	সুরেশ,	সুরেশ,	
swalpa,	স্বল্প,	স্বল্প,	
yankii,	জ্যানকি,	ইয়াংকি,	
breakthraugh,	ব্রিখরাথ,	ব্রেকথ্রু,	
naarsari,	নার্সারী,	নার্সারি,	
oncholgulote,	অঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
fostar,	ফোস্ট্র,	ফস্টার,	
lobbytey,	ল্যাবটে,	লবিতে,	
iuqyaliptasa,	ইউক্যুলিপ্টা,	ইউক্যালিপ্টাস,	
manush,	মানুস,	মানুষ,	
charger,	চার্জার,	চার্জের,	
sahajlabhbhatar,	সহজ্লভাত্র,	সহজলভ্যতার,	
jesha,	জেস,	জেস,	
qyantana,	ক্যান্টন,	ক্যান্টন,	
setikey,	সেটিকে,	সেটিকে,	
gej,	গেজ,	গেজ,	
neerbahe,	নির্বাহে,	নির্বাহে,	
shikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
parikhar,	পরীক্ষার,	পরিখার,	
vooter,	ভোটের,	ভোটার,	
feemalee,	ফেমালী,	ফিমেল,	
omittrakkhor,	অমিত্রক্ষার,	অমিত্রাক্ষর,	
township,	তৌন্সিপ,	টাউনশিপ,	
leetara,	লেটার,	লেটার,	
porikhar,	পরীক্ষার,	পরিখার,	
osthishondhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
nirau,	নিরও,	নির,	
hepatetisa,	হেইপেটিস,	হেপাটাইটিস,	
jamkalo,	জামাল,	জমকালো,	
faranyata,	ফরর্যাট,	ফরম্যাট,	
asantosh,	অশন্তঃষ,	অসন্তোষ,	
canflict,	কানফিক্ট,	কনফ্লিক্ট,	
juktorashtrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
vabnakey,	ভবননকে,	ভাবনাকে,	
chalochchitrake,	চলচিত্রকে,	চলচ্চিত্রকে,	
bhageroi,	ভাগেরই,	ভাগেরই,	
durgandho,	দুর্গান্ধ,	দুর্গন্ধ,	
meghe,	মেঘে,	মেঘে,	
salmaner,	স্যামনের,	সালমানের,	
nebhatey,	নেভাতে,	নেভাতে,	
bharpur,	ভারপুর,	ভরপুর,	
bamnii,	বাম্নী,	বামনী,	
pooloo,	পুলু,	পোলো,	
kaansaat,	কানসাট,	কানসাট,	
asovvo,	অশ্ভ,	অসভ্য,	
krej,	ক্রেজ,	ক্রেজ,	
ahang,	অহং,	অহং,	
sheshardhe,	শেষার্ধে,	শেষার্ধে,	
aachees,	আছিস,	আছিস,	
kormoyi,	কর্মই,	কর্মই,	
ekooghore,	একঘরে,	একঘরে,	
mile,	মিলে,	মাইল,	
byakkhabyatito,	ব্যাখ্যাবিত,	ব্যাখ্যাতীত,	
satarkokari,	সতরাকারি,	সতর্ককারী,	
jaanaar,	জানার,	জানার,	
ropto,	রপ্ত,	রপ্ত,	
meghnabodh,	মেনবাবধ,	মেঘনাদবধ,	
chalachchitrai,	চলচিত্রে,	চলচ্চিত্রই,	
merjito,	মার্জিত,	মার্জিত,	
vagirath,	ভাগীরথ,	ভগীরথ,	
metere,	মেটেরে,	মিটারে,	
tader,	তাঁের,	তদের,	
paade,	পাদে,	পাড়ে,	
santoshe,	সন্তঃষে,	সন্তোষে,	
gotibege,	গতিবেগে,	গতিবেগে,	
bhandar,	ভান্ডার,	ভাণ্ডার,	
hoole,	হোল,	হোল,	
chhed,	ছেদ,	ছেদ,	
gandogol,	গণ্ডগোল,	গন্ডগোল,	
jonsa,	জনসা,	জোন্স,	
pillai,	পিল্লাই,	পিল্লাই,	
dael,	ডেল,	ডেইল,	
bikretaara,	বিক্রেতা,	বিক্রেতারা,	
dighal,	দিঘল,	দীঘল,	
streegon,	স্ত্রীগণ,	স্ত্রীগণ,	
bijito,	বিজিত,	বিজিত,	
gyate,	গ্ঞাতে,	গ্যেটে,	
ghoomato,	ঘুমাতো,	ঘুমাতো,	
parinoti,	পরিনতি,	পরিণতি,	
dolu,	ডলু,	ডলু,	
hughke,	হুগকে,	হিউজকে,	
debdeby,	দেবদেব,	দেবদেবী,	
shqolastic,	স্কোলাস্টিক,	স্কলাস্টিক,	
suparichita,	সুপারিচিত,	সুপরিচিত,	
carpetey,	কর্পটে,	কার্পেটে,	
poper,	পপের,	পোপের,	
nirbaahe,	নির্বাহে,	নির্বাহে,	
allahabadey,	অলাহাবাদে,	এলাহাবাদে,	
abikal,	অবিকাল,	অবিকল,	
janagananar,	জনগণনার,	জনগণনার,	
parisankhanbid,	পরিসংখ্যান্ডিদ,	পরিসংখ্যানবিদ,	
rabo,	রব,	রব,	
mukhomandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
hossne,	হোসে,	হোসনে,	
thaakeni,	থাকেনই,	থাকেনি,	
philipiner,	ফিলিপিনের,	ফিলিপাইনের,	
khuni,	খুনী,	খুনি,	
metroopalitana,	মেট্রোলিনান,	মেট্রোপলিটন,	
grambasheeo,	গ্রামাবিও,	গ্রামবাসীও,	
si,	সি,	এসআই,	
aakkash,	আকাশ,	আককাস,	
charger,	চার্জার,	চার্জার,	
raiter,	রাইটের,	রাইটের,	
nothibhukto,	নথিভুক্ত,	নথিভুক্ত,	
oparogota,	অপরগত,	অপারগতা,	
bagey,	বাগে,	বাগে,	
sudhuyi,	সুধুই,	শুধুই,	
plato,	প্লট,	প্লেটো,	
monur,	মনুর,	মনুর,	
lat,	ল্যাট,	লাট,	
riphleksha,	রাইফেলক্স,	রিফ্লেক্স,	
potochitro,	পতচিত্র,	পটচিত্র,	
societyke,	সোচিতেকে,	সোসাইটিকে,	
asamanjashapurna,	অসমান্যপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
patjato,	পাটাজ,	পাটজাত,	
ranadeep,	রানাদিপ,	রণদীপ,	
mujibur,	মুজিবুর,	মুজিবুর,	
donat,	দোনা,	ডোনাট,	
jacqsan,	জকক্সন,	জ্যাকসন,	
uipoka,	উইপোক,	উইপোকা,	
ajeemke,	আজিমকে,	আজিমকে,	
jack,	জ্যাক,	জ্যাক,	
soinyo,	সৈন্য,	সৈন্য,	
karta,	করত,	করতা,	
yuk,	ইউক,	ইয়াক,	
herfer,	হার্ফের,	হেরফের,	
juddhahato,	যুদ্ধহত,	যুদ্ধাহত,	
kasper,	কাসপের,	ক্যাসপার,	
parry,	প্যারি,	পেরি,	
ajeejer,	অজিজের,	আজিজের,	
chyata,	চ্যাট,	চ্যাট,	
dai,	দাই,	দিই,	
srichoitonnodeb,	শ্রীচৈতন্বদেব,	শ্রীচৈতন্যদেব,	
rajtantrake,	রাজতন্ত্রকে,	রাজতন্ত্রকে,	
liseens,	লিসেন্স,	লাইসেন্স,	
ias,	আযএএএস,	আইএএস,	
aasirbaad,	আশীর্বাদ,	আশির্বাদ,	
ingrejra,	ইংরেজি,	ইংরেজরা,	
jonomukhee,	জনমুখী,	জনমুখী,	
aparagata,	অপরগত,	অপারগতা,	
mugdha,	মুগ্ধ,	মুগ্ধ,	
phiksim,	ফিক্সিং,	ফিক্সিং,	
rudroke,	রুদ্রকে,	রুদ্রকে,	
akkash,	একাশ,	আককাস,	
gare,	গররে,	গোর,	
diiptii,	দিপ্তি,	ডেপুটি,	
rajotwa,	রাজত্ব,	রাজত্ব,	
setike,	সেটিকে,	সেটিকে,	
shivraj,	শিবরাজ,	শিবরাজ,	
cholocchitrigulor,	চলক্চিত্রুলোর,	চলচ্চিত্রগুলোর,	
sotorko,	সতরক,	সতর্ক,	
fatakeshto,	ফটেক্স,	ফাটাকেষ্ট,	
ronangane,	রণাঙ্গনে,	রণাঙ্গনে,	
kheley,	খেলে,	খেলে,	
alsaar,	আলসার,	আলসার,	
varote,	ভারতে,	ভারতে,	
pratisthanikvabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
korkotkraantee,	কর্কটকা্টিন,	কর্কটক্রান্তি,	
karadondey,	কারাদন্ডে,	কারাদণ্ডে,	
himi,	হিমি,	হিমি,	
bjp,	বিএিপি,	বিজেপি,	
arthonitike,	অর্থনীতিকে,	অর্থনীতিকে,	
upobaser,	উপবাসের,	উপবাসের,	
ganoporibohoner,	গণপরিবহণের,	গণপরিবহনের,	
vagni,	ভাগ্নি,	ভগ্নী,	
beeru,	বিরু,	বীরু,	
nadnodeer,	নাদ্যদীর,	নদনদীর,	
sangkalanti,	সংকলানটি,	সংকলনটি,	
sthaponakey,	স্থাপনকে,	স্থাপনাকে,	
adhunikkaley,	আধুনিককালে,	আধুনিককালে,	
shreemati,	শ্রীমতী,	শ্রীমতি,	
talaal,	তলাল,	তালাল,	
kemane,	কেমনে,	কেমনে,	
gabeshonar,	গবেষণার,	গবেষনার,	
sinake,	সীনাকে,	সিনাকে,	
byabaharkaree,	ব্যবহারকারী,	ব্যবহারকারী,	
zohns,	জনস,	জন্স,	
heris,	হেরিশ,	হ্যারিস,	
saya,	সায়া,	সোয়া,	
engrejra,	ইংরেজি,	ইংরেজরা,	
gadhaa,	গাধা,	গাধা,	
bhandare,	ভান্ডারে,	ভাণ্ডারে,	
andaman,	অন্দমন,	আন্দামান,	
xpose,	এক্সপোজা,	এক্সপোজ,	
motabolombira,	মোটাবলম্বীরা,	মতাবলম্বীরা,	
ajeeja,	অজিজা,	আজিজা,	
roobi,	রুবি,	রুবি,	
bhaisaho,	ভাইসহ,	ভাইসহ,	
sulfete,	সালফটে,	সালফেট,	
phund,	ফাউন্ড,	ফান্ড,	
hizritey,	হিজরিতে,	হিজরীতে,	
dharavahiktite,	ধারাভাকিতে,	ধারাবাহিকটিতে,	
aaminaar,	আমিনার,	আমিনার,	
arekdal,	আরেকদল,	আরেকদল,	
jerusalem,	জেরুসালেম,	জেরুজালেম,	
karlasa,	কর্লস,	কার্লোস,	
lotheran,	লাথারন,	লুথেরান,	
chhatogolper,	ছোটোগল্পের,	ছোটগল্পের,	
gonesher,	গণেশের,	গণেশের,	
vogirath,	ভগীরথ,	ভগীরথ,	
airish,	আইরিশ,	আইরিস,	
alauler,	আলাউলের,	আলাওলের,	
transformerer,	ট্রান্সফোর্মের,	ট্রান্সফরমারের,	
ragi,	রাগী,	রাগী,	
chherechhe,	ছেরেছে,	ছেড়েছে,	
veenish,	ভিনিশ,	ভেনিস,	
sausagee,	সৌশাগী,	সসেজ,	
saazanor,	সাজানোর,	সাজানোর,	
dwipei,	দ্বীপেই,	দ্বীপেই,	
siropadharii,	শিরোপরধারী,	শিরোপাধারী,	
songasthatike,	সংস্থাটিকে,	সংস্থাটিকে,	
roialti,	রয়েটটি,	রয়্যালটি,	
somrat,	সমরত,	সম্রাট,	
macher,	মেছের,	মাছের,	
lokshero,	লক্ষেরও,	লক্ষেরও,	
nirikhe,	নিরীখে,	নিরিখ,	
rajtantroke,	রাজতন্ত্রকে,	রাজতন্ত্রকে,	
format,	ফরমাট,	ফরম্যাট,	
prastut,	প্রস্তুত,	প্রস্ত্তত,	
pleta,	প্লট,	প্লেটো,	
noiteekotabodh,	নৈতিকাবাধ,	নৈতিকতাবোধ,	
chilahati,	চিলাহি,	চিলাহাটি,	
korusher,	ক্রুসের,	ক্রুশের,	
idipasa,	এডিপশ,	ইডিপাস,	
conistho,	কনিষ্ঠ,	কনিষ্ঠ,	
istara,	ইস্টার,	ইস্টার,	
assaciates,	অ্যাসোসিয়েট,	এসোসিয়েটস,	
papri,	পপপ্রি,	পাপরি,	
shov,	শো,	শো,	
apadan,	অপাদান,	অপাদান,	
nabyata,	নব্যতা,	নাব্যতা,	
gacher,	গাছের,	গাছের,	
tanoo,	তনু,	তনু,	
janalo,	জানালো,	জানালো,	
baruklin,	ব্যুকলিন,	ব্রুকলিন,	
sbajan,	স্বজন,	স্বজন,	
nimitto,	নিমিত্,	নিমিত্ত,	
swapad,	স্বপদ,	শ্বাপদ,	
pakistanira,	পাকিস্তানীরা,	পাকিস্তানীরা,	
bosano,	বসানো,	বসানো,	
franko,	ফ্রাঙক,	ফ্রাঙ্কো,	
omkar,	অমকার,	ওঙ্কার,	
jons,	জনএস,	জোন্স,	
prabhritir,	প্রভূতির,	প্রভৃতির,	
engil,	এঞ্জেল,	ইঞ্জিল,	
kooshumba,	কুুুম্ব,	কুশুম্বা,	
stoona,	স্তন,	স্টোন,	
purbanchaler,	পূর্বাঞ্চলের,	পূর্বাঞ্চলের,	
kaash,	কাস,	কাস,	
sofyr,	সফীর,	সোফির,	
podarthobidder,	পদার্থবিদ্যার,	পদার্থবিদদের,	
agom,	আগম,	আগম,	
porbotmala,	পর্বতমালা,	পর্বতমালা,	
vittimul,	ভিত্তীমূল,	ভিত্তিমূল,	
bishshash,	বিশ্বাস,	বিশ্বাস,	
bongobondhu,	বঙ্গন্ধু,	বঙ্গবন্ধু,	
sthaponake,	স্থাপনকে,	স্থাপনাকে,	
rothin,	রথিন,	রথীন,	
ivir,	আইভার,	এভার,	
mataram,	মাতররাম,	মাতারাম,	
mozart,	মজার্ট,	মোজার্ট,	
pachhi,	পাঁচি,	পাচ্ছি,	
sombhobonao,	সম্ভবনাও,	সম্ভবনাও,	
vimsen,	ভিমসেন,	ভীমসেন,	
madrasa,	মাদরাস,	মাদ্রাসা,	
kurdira,	কুর্দিরা,	কুর্দিরা,	
oxfordey,	অক্সর্ডে,	অক্সফোর্ডে,	
pulse,	পুলসে,	পালস,	
shten,	স্টেন,	স্টেন,	
sorano,	সরান,	সরানো,	
jakkher,	যক্ষের,	যক্ষের,	
abhidhaanik,	আভিধানিক,	অভিধানিক,	
algorithm,	অ্যালগরিদ,	এলগরিদম,	
heja,	হেজা,	হেজ,	
yucalyptus,	ইউক্যালিপ্টস,	ইউক্যালিপ্টাস,	
engrezder,	ইংরেজের,	ইংরেজদের,	
parsher,	পারসের,	পার্শ্বের,	
fol,	ফল,	ফল,	
porjotoker,	পর্যটকের,	পর্যটকের,	
somabesh,	সমবেশ,	সমাবেশ,	
abhidhaneeck,	অভিধানিক,	অভিধানিক,	
milea,	মিলে,	মাইলে,	
remakri,	রেমাক্রি,	রেমাক্রী,	
sampadoner,	সম্পাদনের,	সম্পাদনের,	
soasage,	শোসাগে,	সসেজ,	
dormetoree,	ডরমেটরি,	ডরমিটরি,	
haitasa,	হাইটাস,	হাইটস,	
bona,	বোনা,	বোনা,	
meghkey,	মেঘকে,	মেঘকে,	
gosthiti,	গোষ্ঠীতি,	গোষ্ঠীটি,	
jomanor,	জামানোর,	জমানোর,	
touraat,	তৌরাত,	তওরাত,	
nodigulo,	নদীগুলো,	নদীগুলো,	
sabche,	সবচে,	সবচে,	
dorgaaho,	দরগাহ,	দরগাহ,	
lajiker,	লাজিকের,	লজিকের,	
shatokeo,	শতকেও,	শতকেও,	
wenish,	ভযনিন,	ভেনিস,	
laaz,	লাজ,	লাজ,	
doltyagi,	দলত্যাগী,	দলত্যাগী,	
oncoltike,	অনকলটিকে,	অঞ্চলটিকে,	
armstranj,	আর্সম্ট্রাঞ্জ,	আর্মস্ট্রং,	
shudhui,	শুধী,	শুধুই,	
graambasheeo,	গ্রামাবিও,	গ্রামবাসীও,	
helloin,	হেলোইন,	হ্যালোইন,	
shikkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
byabaharkariderke,	ব্যবহারকারীদে,	ব্যবহারকারীদেরকে,	
qoyeri,	কোয়েরি,	কোয়েরি,	
gheshe,	ঘেষে,	ঘেঁষে,	
moshjidtike,	মস্জিদটিকে,	মসজিদটিকে,	
teenage,	টেনেজ,	টিনেজ,	
turqamena,	তুর্কমেন,	তুর্কমেন,	
ponthar,	পন্থার,	পন্থার,	
sinaake,	সিনাকে,	সিনাকে,	
remacri,	রেমারি,	রেমাক্রী,	
asociatees,	অসযাকিসেট,	এসোসিয়েটস,	
karmer,	কর্মের,	কর্মের,	
qulim,	কুলিম,	কুলিং,	
definishhion,	ডেফিনিশন,	ডেফিনেশন,	
bhalobasar,	ভালবাসার,	ভালোবাসার,	
pathanatak,	পাঠনতাক,	পথনাটক,	
taufik,	তৌফিক,	তৌফিক,	
karmojog,	কর্মযোগ,	কর্মযোগ,	
arakani,	অরাকানি,	আরাকানী,	
dunkan,	ডানকান,	ডানকান,	
sathikata,	সাথিকত,	সঠিকতা,	
bhittow,	ভিত্,	ভিত্তিও,	
ganochin,	গণছিন,	গণচীন,	
motkey,	মোটকে,	মতকে,	
dharabahiktir,	ধারাবিক্তির,	ধারাবাহিকটির,	
chhatto,	ছত্ব,	ছোট্ট,	
rabe,	রবে,	রবে,	
rabeta,	রবেট,	রাবেতা,	
footballerder,	ফুটবলর্দের,	ফুটবলারদের,	
hanttey,	হাঁটে,	হাঁটতে,	
patishapta,	পতিশাপ্ত,	পাটিসাপটা,	
ghatir,	ঘটির,	ঘাটির,	
wagadada,	অগাদাদ,	বাগদাদ,	
pratishthanik,	প্রতিষ্ঠানিক,	প্রাতিষ্ঠানিক,	
osontos,	অশন্তঃষ,	অসন্তোষ,	
chaalke,	চালকে,	চালকে,	
pratijogira,	প্রতিযোগিরা,	প্রতিযোগীরা,	
mohibur,	মুহিবুর,	মহিবুর,	
nederland,	নেদারল্যান্ড,	নেদারল্যান্ড,	
maldava,	মালদ্বা,	মলদোভা,	
maniktala,	মনিকটাল,	মানিকতলা,	
gonohottake,	গণহত্যাকে,	গণহত্যাকে,	
meghke,	মেঘকে,	মেঘকে,	
oswasteekor,	অস্বাস্তককর,	অস্বস্তিকর,	
rites,	রিটেস,	রিতেশ,	
laaisensh,	লাইন্স,	লাইসেন্স,	
choudhooreeder,	চৌধ্রীদের,	চৌধুরীদের,	
modelkey,	মোডেলকে,	মডেলকে,	
upobashii,	উপবাসী,	উপবাসী,	
sangastha,	সংস্থা,	সংস্থা,	
anchalsamuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
oncholshomuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
steen,	স্টেন,	স্টেন,	
dholeshwari,	ধলেশবারী,	ধলেশ্বরী,	
sekarone,	স্বারকে,	সেকারণে,	
state,	স্টেট,	স্টেইট,	
ajijer,	অজিজের,	আজিজের,	
janar,	জনন,	জানার,	
santaa,	সান্টা,	সান্তা,	
aamor,	আমর,	আমর,	
barnish,	বার্নিস,	বার্নিশ,	
jamjomat,	জমজমমত,	জমজমাট,	
oitijje,	ঐতিত্যে,	ঐতিহ্যে,	
turkeyder,	তুর্কীদের,	তুর্কিদের,	
prabhritite,	প্রভৃতিতে,	প্রভৃতিতে,	
kaareer,	কারির,	কারীর,	
kode,	কোদে,	কোড,	
shikhbe,	শিখবে,	শিখবে,	
ganoporibahaner,	গণপরিবহনের,	গণপরিবহনের,	
doonata,	দোনাটা,	ডোনাট,	
shoshoa,	শসা,	শশা,	
conflikt,	কনফ্লিক্ট,	কনফ্লিক্ট,	
prokalpagulo,	প্রকল্পগুলো,	প্রকল্পগুলো,	
indro,	ইন্দ্রও,	ইন্দ্র,	
juboksaho,	যুবকহসহ,	যুবকসহ,	
gora,	গরর,	গোর,	
plus,	প্লাস,	প্লাস,	
scoree,	স্কের,	স্কোরে,	
skolarsip,	স্কলারশিপ,	স্কলারশিপ,	
khogen,	খোগেন,	খগেন,	
qloud,	ক্লদ,	ক্লাউড,	
snepara,	স্নেপার,	স্নাইপার,	
siitei,	শীতেই,	শীতেই,	
tennish,	টেনিস,	টেনিস,	
sahosikotar,	সহশিকতার,	সাহসিকতার,	
aagom,	আগোম,	আগম,	
jathon,	যথন,	যথন,	
sointoder,	সৈন্তদের,	সৈন্যদের,	
varshon,	ভার্সন,	ভারশন,	
dweepgoolo,	দ্বিপুলো,	দ্বীপগুলো,	
vejjanno,	ভেজন্য,	ভেজানো,	
thawre,	থেয়ের,	থরে,	
trivuz,	ত্রিভুজ,	ত্রিভূজ,	
smarok,	স্মারক,	স্মারক,	
rupdaan,	রূপদান,	রুপদান,	
bhittimool,	ভিত্তীমূল,	ভিত্তিমূল,	
cena,	সেন,	সিনা,	
dimbacriti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
zubokti,	যুবকটি,	যুবকটি,	
patigoniter,	পতিগনিতের,	পাটিগণিতের,	
nongra,	নংগরা,	নোংরা,	
vagini,	ভাগিনী,	ভগিনী,	
shreemoti,	শ্রীমতী,	শ্রীমতি,	
keyu,	কেউ,	কেউ,	
shattoki,	সত্যকি,	সাত্যকি,	
techno,	টেকনো,	টেকনো,	
kloud,	ক্লদ,	ক্লাউড,	
potocheetro,	পতচিত্র,	পটচিত্র,	
bizepi,	বিজেপী,	বিজেপি,	
dovar,	ডোভার,	ডোভার,	
inapharameshhana,	ইনফরেমেশন,	ইনফরমেশন,	
vip,	ভীপ,	ভিআইপি,	
fiks,	ফিক্স,	ফিক্স,	
dorgah,	দরগা,	দরগাহ,	
bishnuu,	বিষ্ণু,	বিষ্ণু,	
sherup,	শেরূপ,	সেরুপ,	
cholochchitrai,	চলচিত্রে,	চলচ্চিত্রই,	
nischitabhave,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
bishaashke,	বিশাবাসকে,	বিশ্বাসকে,	
nadigulir,	নাদীগুলির,	নদীগুলির,	
manikya,	মাণিক্য,	মানিক্য,	
dhas,	ধাস,	ধস,	
chilahaati,	চিলাহি,	চিলাহাটি,	
samaveshke,	সমবেশকে,	সমাবেশকে,	
rajtantrakey,	রাজতন্ত্রকে,	রাজতন্ত্রকে,	
soori,	সুরি,	সুরি,	
kyandi,	ক্যান্ডি,	ক্যান্ডি,	
rajotwo,	রাজত্ব,	রাজত্ব,	
kadam,	কদম,	কদম,	
khannkaj,	খননকাজ,	খননকাজ,	
jaaygata,	জাগত,	জায়গাটা,	
chedropathe,	ছেদ্রপথে,	ছিদ্রপথে,	
plate,	প্লেট,	প্লেট,	
sarbhaarer,	সরর্ভারের,	সার্ভারের,	
gore,	গরে,	গোর,	
jolatongko,	জলতাঙ্ক,	জলাতঙ্ক,	
muhmmoder,	মুহমমের,	মুহম্মদের,	
bikretader,	বিক্রেতাদের,	বিক্রেতাদের,	
soptahokal,	সপ্তাহাল,	সপ্তাহকাল,	
agomonke,	আগমনকে,	আগমনকে,	
platee,	প্লেট,	প্লেট,	
hamburgey,	হামববার্,	হামবুর্গে,	
bouddher,	বৌদ্ধের,	বৌদ্ধের,	
atmabishvashi,	আত্মবিবাসী,	আত্মবিশ্বাসী,	
canservatian,	কনসারভেশন,	কনসারভেশন,	
sachetonbhabe,	সাঁচতনভাবে,	সচেতনভাবে,	
mookhomandol,	মুখমন্ডল,	মুখমণ্ডল,	
protijogiira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
asovo,	অশোভ,	অসভ্য,	
gaafeeloti,	গাফিলতি,	গাফিলতি,	
katbe,	কাটে,	কাটবে,	
romantik,	রমমান্টিক,	রোমান্টিক,	
stona,	স্তনা,	স্টোন,	
komaanndar,	কমান্ডার,	কমাণ্ডার,	
beshirvagyi,	বেশীরভাগই,	বেশিরভাগই,	
horash,	হরাশ,	হোরাস,	
heightsh,	হাইটস,	হাইটস,	
bonnopraan,	বন্যপ্রাণ,	বন্যপ্রাণ,	
kanasharabheshhana,	কনসারেশন,	কনসারভেশন,	
baipasa,	বাইপাস,	বাইপাস,	
byte,	বিটে,	বাইট,	
jeebonjapon,	জীবনযাপন,	জীবনযাপন,	
musolmanra,	মুসলন্মার,	মুসলমানরা,	
dharavassyokar,	ধারাভাস্যকার,	ধারাভাষ্যকার,	
ardasha,	আর্ডস,	আর্দশ,	
ikbaaler,	ইকবালের,	ইকবালের,	
imirgincy,	ইমারজেন্সি,	এমার্জেন্সি,	
logic,	লোগিক,	লজিক,	
dwibidha,	দ্বিধি,	দ্বিবিধ,	
veenicee,	ভেনিসে,	ভেনিস,	
bhalobass,	ভালবাস,	ভালোবাসা,	
porishrom,	পরিশ্রম,	পরিশ্রম,	
jerusalemer,	জেরুসালেমের,	জেরুজালেমের,	
swamijir,	স্বামীজীর,	স্বামীজীর,	
uposhthitir,	উপস্থিতির,	উপস্থিতির,	
license,	লিসেন্স,	লাইসেন্স,	
bibechya,	বিবেচ্ছ,	বিবেচ্য,	
gazeetteed,	গেজিটেড,	গেজেটেড,	
plena,	প্লেন,	প্লেন,	
ester,	এস্টের,	ইস্টার,	
khalidkay,	খলিদকে,	খালিদকে,	
hamasa,	হোমস,	হোমস,	
jilyanda,	জিল্যান্ড,	জিল্যান্ড,	
dipei,	দিপেই,	দ্বীপেই,	
engrezer,	ইংরেজের,	ইংরেজের,	
gosthi,	গোষ্ঠী,	গোষ্ঠী,	
iceberg,	ইসেবর্গ,	আইসবার্গ,	
deepan,	দেপান,	দীপন,	
saifai,	সাইফাই,	সাইফাই,	
bhangey,	ভঙ্গে,	ভাঙ্গে,	
degree,	ডিগ্রী,	ডিগ্রি,	
grambaasheeo,	গ্রামবাসী,	গ্রামবাসীও,	
breakthrough,	ব্রিখ্রোফ,	ব্রেকথ্রু,	
statione,	স্টেশনে,	ষ্টেশনে,	
uuipoka,	উইপোক,	উইপোকা,	
bujhleo,	বুঝলেও,	বুঝলেও,	
dupleks,	ডাপেলক্স,	ডুপ্লে,	
jolatanko,	জলতানক,	জলাতঙ্ক,	
sushikkhar,	সুশিক্ষর,	সুশিক্ষার,	
sweety,	স্বীতি,	সুইটি,	
freedom,	ফ্রিডম,	ফ্রীডম,	
rena,	রেন,	রেনো,	
gandhio,	গান্ধিও,	গান্ধীও,	
smarak,	স্মারক,	স্মারক,	
sheekare,	শিকারে,	শিকারে,	
ekbakke,	একবাকে,	একবাক্যে,	
baibosthaar,	ব্যবস্থার,	ব্যবস্থার,	
cholocchitroke,	চলচিত্রকে,	চলচ্চিত্রকে,	
labonaktotar,	লবনাক্ততার,	লবণাক্ততার,	
asabhyaa,	অস্যা,	অসভ্য,	
puroheetra,	পুরোতিরা,	পুরোহিতরা,	
olongkoron,	অলংকরণ,	অলঙ্করণ,	
sharther,	শর্থের,	স্বার্থের,	
shikar,	শিকার,	শিকার,	
shastro,	শাস্ত্র,	শাস্ত্র,	
muphti,	মুফতী,	মুফতি,	
abhidhanick,	আভিধানিক,	অভিধানিক,	
pratisthanikbhabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
template,	টেম্পলাটে,	টেম্পলেট,	
trupa,	ট্রুপ,	ট্রুপ,	
bamon,	বামন,	বামন,	
shefa,	সেফ,	শেফ,	
shit,	শীট,	শীত,	
fokser,	ফক্ষের,	ফক্সের,	
evil,	এভিল,	ইভিল,	
indra,	ইন্দ্র,	ইন্দ্র,	
debagg,	দেবাগ,	ডিবাগ,	
