jacqson,	জেকসন,	জ্যাকসন,	
daawn,	ডাও,	ডাউন,	
vaibon,	ভাইবন,	ভাইবোন,	
gunman,	গামমান,	গুণমান,	
baibasthaar,	ব্যবস্থার,	ব্যবস্থার,	
maudeley,	মাদেলে,	মডেলে,	
engrejiteo,	ইংরেজিতেও,	ইংরেজিতেও,	
dang,	ডাং,	ডং,	
associatees,	অ্যাসোসিয়েট,	এসোসিয়েটস,	
sabyastho,	সব্যস্থ,	সাব্যস্থ,	
palkee,	পলকি,	পাল্কি,	
firoze,	ফির়জ,	ফিরোজ,	
khannkaj,	খননজা,	খননকাজ,	
tigers,	টিজার্স,	টাইগার্স,	
cholochchitreer,	চলচ্চিত্র,	চলচ্চিত্রের,	
alexandar,	আলেক্সার্ড,	আলেকজান্ডার,	
spreeadsheet,	স্প্রেডসিট,	স্প্রেডশীট,	
venish,	ভেনিস,	ভেনিস,	
bhalobass,	ভালবাস,	ভালোবাসা,	
noditi,	নদীতী,	নদীটি,	
bildara,	বিল্ডার,	বিল্ডার,	
korechi,	করেছি,	করেছি,	
rupdaan,	রূপদান,	রুপদান,	
aamoode,	আমুদে,	আমুদে,	
byanger,	ব্যাঙ্জার,	ব্যাঙের,	
protizogiir,	প্রতিযোগীর,	প্রতিযোগীতার,	
ishahak,	ইসহাক,	ইসাহাক,	
janosomaj,	জনসমাজ,	জনসমাজ,	
onnkita,	অংকিত,	অঙ্কিতা,	
favorite,	ফভরিতে,	ফেভারিট,	
madhyastho,	মাধ্যস্থ,	মধ্যস্থ,	
torkarir,	তরকারীর,	তরকারীর,	
nathibhukteer,	নথিভুক্তির,	নথিভুক্তির,	
kana,	কান,	কণা,	
chutir,	চুটির,	ছুটির,	
jolatongko,	জলাতঙ্ক,	জলাতঙ্ক,	
dijeejer,	দিজিজের,	ডিজিজের,	
cholochchitraeer,	চলচ্চিতের,	চলচ্চিত্রের,	
themey,	থেমে,	থিমে,	
kaferderke,	কাফারকেরকে,	কাফেরদেরকে,	
durgandha,	দুর্না্ধ,	দুর্গন্ধ,	
alankaron,	অলংকরণ,	অলঙ্করণ,	
drishyoke,	দৃষ্যকে,	দৃশ্যকে,	
pushtir,	পুষ্টির,	পুষ্টির,	
information,	ইনফর্মেশন,	ইনফরমেশন,	
edhdaning,	এডানিং,	ইদানিং,	
hochchilo,	হচ্ছিল,	হচ্ছিলো,	
michiler,	মিশিলের,	মিছিলের,	
fareksa,	ফরেক্স,	ফরেক্স,	
aidii,	আদি,	আইডিই,	
esasiyetasa,	এসাসিস,	এসোসিয়েটস,	
bishwaashshke,	বিশ্বাসকে,	বিশ্বাসকে,	
khelaphate,	খেলাফাটে,	খেলাফতে,	
partho,	পার্থ,	পার্থ,	
sommoteer,	সম্মতির,	সম্মতির,	
sossar,	সসার,	সকার,	
sahokari,	সহকারি,	সহকারী,	
ronangone,	রোনঙ্গনে,	রণাঙ্গনে,	
nepchuner,	নেপাচুর,	নেপচুনের,	
priti,	প্রীতি,	প্রিটি,	
holuder,	হলুদের,	হলুদের,	
nabyota,	নব্যতা,	নাব্যতা,	
dokaneyi,	ডোকানেই,	দোকানেই,	
gratha,	গ্রা,	গ্রোথ,	
taalaal,	তালাল,	তালাল,	
beshorkarikarone,	বেসরকারীকরণে,	বেসরকারিকরণ,	
romantiq,	রোমান্টিক,	রোমান্টিক,	
durgondho,	দুর্ন্ধ,	দুর্গন্ধ,	
bibad,	বিবাদ,	বিবাদ,	
chitranattakar,	চিত্রনাটক্বর,	চিত্রনাট্যকার,	
shoti,	শতী,	শোটি,	
graambaashi,	গ্রামবাসী,	গ্রামবাসী,	
kreedita,	ক্রিদিট,	ক্রেডিট,	
zoonite,	যোনিতে,	যোনীতে,	
matte,	মাটট,	ম্যাট,	
sahojlabhbhatar,	সহজভলভাতার,	সহজলভ্যতার,	
paner,	পানের,	পানের,	
sangastha,	সংস্থা,	সংস্থা,	
taiteela,	টাইটেল,	টাইটেল,	
tolemy,	টোলেমি,	টলেমির,	
daakten,	ডাকতেন,	ডাকতেন,	
shotokei,	শতকেই,	শতকেই,	
saajano,	সাজন,	সাজানো,	
shuri,	সুরি,	সুরি,	
shpredshiit,	স্প্রেডিস,	স্প্রেডশীট,	
bhageri,	ভাগেরই,	ভাগেরই,	
mukhomaundoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
blagarara,	ব্লগার,	ব্লগাররা,	
bossonte,	বসন্তে,	বসন্তে,	
jonsha,	জনসা,	জোন্স,	
mondope,	মণ্ডপে,	মন্ডপে,	
olympicer,	অলিম্পিকের,	অলিম্পিকের,	
turki,	টার্কি,	তুর্কি,	
pachak,	পাচক,	পাচক,	
sahabah,	সহবা,	সাহাবাহ,	
armashtram,	আর্মস্ট্রম,	আর্মস্ট্রং,	
dhaloor,	ধালুর,	ঢালুর,	
karim,	করিম,	করিম,	
mukhamandaler,	মুখমন্ডলের,	মুখমণ্ডলের,	
kyashpar,	ক্যাস্পার,	ক্যাসপার,	
chhai,	ছাই,	ছাই,	
veenom,	ভেনম,	ভেনম,	
bjp,	বিএিপি,	বিজেপি,	
codey,	কোডে,	কোডে,	
senabahineeow,	সেনাবিহিনো,	সেনাবাহিনীও,	
ajeejer,	আজিজের,	আজিজের,	
gayichhey,	গৈছে,	গাইছে,	
farmat,	ফরমত,	ফরম্যাট,	
venise,	ভেনিসে,	ভেনিসে,	
byataree,	ব্যাটারী,	ব্যাটারী,	
abheedhaanic,	অভিধানিক,	অভিধানিক,	
laaishheshh,	লাইসেস,	লাইসেন্স,	
coner,	কনার,	কনের,	
venisey,	ভেনিসে,	ভেনিসে,	
divya,	দিব্য,	দিব্যা,	
shringga,	শ্রীঙ্গা,	শৃঙ্গ,	
mausum,	মৌসুম,	মৌসুম,	
sikha,	শিখা,	শিখ,	
salmaaner,	সালানের,	সালমানের,	
manjurul,	মন্জুরুল,	মনজুরুল,	
bhorkendra,	ভোরেন্দ্র,	ভরকেন্দ্র,	
alubokhara,	অলুবকভার,	আলুবোখারা,	
ustad,	আষ্টাদ,	উস্তাদ,	
sothikota,	সহিকতা,	সঠিকতা,	
monjile,	মঞ্জিলে,	মঞ্জিলে,	
enginiirs,	এনগিনির,	ইঞ্জিনিয়ার্স,	
meetropalitana,	মিত্রপলিতান,	মেট্রোপলিটন,	
residensa,	রেসিডেন্স,	রেসিডেন্স,	
difinision,	ডিফিনিশন,	ডেফিনেশন,	
palbangser,	পালবাংশের,	পালবংশের,	
kaner,	কানের,	কনের,	
khoja,	খোজ,	খোজা,	
gandhike,	গান্ধীকে,	গান্ধীকে,	
iraner,	ইরানের,	ইরানের,	
evaner,	ইভানের,	ইভানের,	
munsi,	মানসী,	মুন্সি,	
parka,	পার্ক,	পার্ক,	
horus,	হারাস,	হোরাস,	
dibeting,	ডিবেটিং,	ডিবেটিং,	
chenja,	চেঞ্জা,	চেঞ্জ,	
sotorkobhabey,	সত্রকভাবে,	সতর্কভাবে,	
ibhaner,	ইভানের,	ইভানের,	
shomser,	শমসের,	সমশের,	
dai,	দাই,	দিই,	
oitihya,	ঐতিহ্য,	ঐতিহ্য,	
moshzid,	মস্জিদ,	মসজিদ,	
sorjur,	সর্জুর,	সরযূর,	
panchashjan,	পঞ্চাশন,	পঞ্চাশজন,	
asar,	আসার,	আসর,	
komatei,	কমাতেই,	কমাতেই,	
zuktorastroshoho,	যুক্তরাস্ত্রহ,	যুক্তরাষ্ট্রসহ,	
daackticketer,	ডাক্তিকেটের,	ডাকটিকিটের,	
jokkher,	যক্ষের,	যক্ষের,	
birishiritey,	বিরিসিতেতে,	বিরিশিরিতে,	
soinyora,	সৈন্যরা,	সৈন্যরা,	
aro,	আরো,	আরও,	
prothati,	প্রথাটি,	প্রথাটি,	
biswash,	বিশ্বাস,	বিশ্বাস,	
digreer,	ডিগ্রীর,	ডিগ্রির,	
aieesha,	আইএস,	আইএএস,	
soptahokal,	সপ্তাহক,	সপ্তাহকাল,	
shommoteer,	সম্মতির,	সম্মতির,	
hiranee,	হিরান,	হিরানি,	
chhon,	ছন,	ছোঁ,	
saoum,	সাওম,	সাওম,	
manshe,	মাঁস,	মানুষে,	
yeaster,	ইস্টার,	ইস্টের,	
tat,	তাঁ,	তাত,	
setitey,	সেটিতে,	সেটিতে,	
feroza,	ফেরোজা,	ফিরোজা,	
uporitaley,	উপরীতলে,	উপরিতলে,	
restuarant,	রেস্টোরাঁ্ট,	রেষ্টুরেন্ট,	
hamburgey,	হ্যামবার্গে,	হামবুর্গে,	
chheelona,	ছিলনা,	ছিলনা,	
uddhrito,	উদ্ধৃত,	উদ্ধৃত,	
natneekey,	নাটনিকে,	নাতনীকে,	
neshnos,	নেশনস,	নেশনস,	
jyestthotar,	য্যাস্থ্যতার,	জ্যেষ্ঠতার,	
bodhirta,	বধির্ত,	বধিরতা,	
railliner,	রেলিনের,	রেললাইনের,	
anchalgulote,	আঁচালগুলোতে,	অঞ্চলগুলোতে,	
talgaachh,	টলগাছা,	তালগাছ,	
bipajjanak,	বিপজজ্জনক,	বিপজ্জনক,	
charger,	চার্গের,	চার্জার,	
chalochchitrake,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
prasadhani,	প্রসাধনী,	প্রসাধনী,	
parshwey,	পার্স্বে,	পার্শ্বে,	
chittronatyokar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
hijrii,	হিজরি,	হিজরী,	
parksh,	পার্কস,	পার্কস,	
carloos,	কার্লস,	কার্লোস,	
jater,	জাতের,	জাতের,	
qoda,	কোড,	কোডা,	
bunat,	বুনাট,	বুনট,	
hizri,	হিজরি,	হিজরী,	
pravu,	প্রভূ,	প্রভু,	
sharok,	শরক,	স্মারক,	
protizogiira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
markete,	মার্কেটে,	মার্কেটে,	
samashti,	সমস্তি,	সমষ্টি,	
heeavy,	হেভি,	হেভি,	
alpoi,	অ্যালোপ,	অল্পই,	
gejeted,	গেজেটেড,	গেজেটেড,	
dhrubaker,	ধ্রাবেকের,	ধ্রুবকের,	
definishian,	ডেফিনিশন,	ডেফিনেশন,	
sures,	সুরেশ,	সুরেশ,	
taivan,	টাইভান,	তাইওয়ান,	
mit,	মিট,	মিট,	
gitikabita,	গীতিকাবিত,	গীতিকবিতা,	
aloteo,	আলোতেও,	আলোতেও,	
uzobekeestaaner,	উজবেকিস্তানের,	উজবেকিস্তানের,	
adhattik,	আধ্যাত্বিক,	আধ্যাত্মিক,	
yuroo,	ইউরো,	ইউরো,	
dholeshori,	ধলেশিরই,	ধলেশ্বরী,	
vabna,	ভবনা,	ভাবনা,	
harbur,	হার্বার,	হারবার,	
daaktikit,	ডাক্তিক,	ডাকটিকিট,	
templet,	টেম্পল্ট,	টেম্পলেট,	
tatira,	তাতিরা,	তাঁতিরা,	
chhuteer,	ছুটির,	ছুটির,	
haluder,	হালুদের,	হলুদের,	
chhooteete,	ছুটিতে,	ছুটিতে,	
bohudin,	বহুদিন,	বহুদিন,	
songasthaner,	সংস্থানের,	সংস্থানের,	
gostii,	গোস্ট,	গোষ্ঠীই,	
kodti,	কোদটি,	কোডটি,	
abotaar,	অবতার,	অবতার,	
karmopantha,	কর্মপন্থ,	কর্মপন্থা,	
ashanka,	আসঙ্ক,	আশঙ্কা,	
sangbadmadhyame,	সংবাদকধ্মে,	সংবাদমাধ্যমে,	
parqa,	পার্ক,	পার্ক,	
bisshaso,	বিশ্বাস,	বিশ্বাসও,	
version,	ভার্সন,	ভারশন,	
aiisa,	আইস,	আইএএস,	
digrike,	ডিগ্রীকে,	ডিগ্রিকে,	
sporsher,	স্পর্সের,	স্পর্শের,	
tomader,	তমাদের,	তোমাদের,	
nirapottamulak,	নিরপপতামূলক,	নিরাপত্তামূলক,	
ragi,	রাজি,	রাগী,	
akla,	একলা,	একলা,	
ekooghore,	একুঘরে,	একঘরে,	
mitro,	মিত্র,	মিত্রও,	
parqs,	পার্কস,	পার্কস,	
nirantar,	নিরন্তর,	নিরন্তর,	
pyatarne,	প্যাটার্নে,	প্যাটার্নে,	
manushtikey,	মন্ষ্টিকে,	মানুষটিকে,	
veenish,	ভেনিস,	ভেনিস,	
robe,	রব,	রবে,	
udbhaboni,	উদ্ভাবনী,	উদ্ভাবনী,	
bahati,	বাহটি,	বাহাতি,	
porishkaran,	পরিষ্কাণ,	পরিষ্করণ,	
chalche,	চলছে,	চলছে,	
bea,	বিএ,	বি,	
rakkhanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
vange,	ভঙ্গে,	ভাঙ্গে,	
shikarer,	শিকারের,	শিকারের,	
thime,	থিম,	থিমে,	
muhommoder,	মুহম্মদের,	মুহম্মদের,	
sahozlabhbhotar,	সহজভলভততার,	সহজলভ্যতার,	
karlosh,	কারললস,	কার্লোস,	
cilahati,	চিলাহিটি,	চিলাহাটি,	
konfleekt,	কনফেল্ট,	কনফ্লিক্ট,	
hoteltite,	হটটেলটিতে,	হোটেলটিতে,	
kaferder,	কফারদের,	কাফেরদের,	
routiner,	রাউটিনের,	রুটিনের,	
nischitrupe,	নিশ্চিত্র্পে,	নিশ্চিতরূপে,	
aakabar,	আকাবার,	আকাবার,	
osoborno,	অসবর্ন,	অসবর্ণ,	
chhatke,	ছাটকে,	ছাতকে,	
letterey,	ল্যাটারে,	লেটারে,	
vogirath,	ভগিরাথ,	ভগীরথ,	
chamoski,	চামসকি,	চমস্কি,	
sohopatheekey,	সহপাঠীকে,	সহপাঠীকে,	
madhyekar,	মধ্যার,	মধ্যেকার,	
janaalo,	জানালো,	জানালো,	
sima,	সিম,	সীমা,	
vitti,	ভিটি,	ভিত্তিই,	
hisaber,	হিসাবের,	হিসাবের,	
songbadmadhyamgulote,	সংবাদকম্মতলে,	সংবাদমাধ্যমগুলোতে,	
everest,	ইভার্স্ট,	এভারেস্টে,	
diibug,	ডিবুগ,	ডিবাগ,	
khalidke,	খলিদকে,	খালিদকে,	
dharabahikvabey,	ধারাবিকভাবে,	ধারাবাহিকটি,	
kins,	কিংস,	কিংস,	
soinyo,	সৈন্য,	সৈন্য,	
dokangulote,	দোকানগুলোতে,	দোকানগুলোতে,	
chyeta,	চ্যাত,	চ্যাট,	
modele,	মোদেলে,	মডেলে,	
cholocchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
jansa,	জনস,	জন্স,	
bachhayi,	বাঁই,	বাছাই,	
mosan,	মোশন,	মোশন,	
pratiyogi,	প্রতিযোগী,	প্রতিযোগী,	
uinndos,	উইন্ডস,	উইন্ডোস,	
shektore,	সেক্টরে,	সেক্টরে,	
romantik,	রোমান্টিক,	রোমান্টিক,	
patenter,	প্যাটেন্টার,	পেটেন্টের,	
ssumita,	সুমিত,	সুমিতা,	
iukyaliptasha,	ইউক্লিপিটাস,	ইউক্যালিপ্টাস,	
daaradaa,	দারাদা,	দারদা,	
masjid,	মস্জিদ,	মসজিদ,	
minister,	মিনিস্টার,	মিনিস্টার,	
chhutir,	ছুটির,	ছুটির,	
ieub,	ইউব,	আইইউবি,	
jonoika,	জননিকা,	জনৈকা,	
gondogol,	গণ্ডগল,	গন্ডগোল,	
masjidtikey,	ম্যাসিদিকে,	মসজিদটিকে,	
shookna,	শোকনা,	শুকনা,	
coode,	কোড,	কোড,	
bamonder,	বামন্দের,	বামনদের,	
qode,	কোড,	কোড,	
siitei,	শীটে,	শীতেই,	
heze,	হেজে,	হেজ,	
shasheja,	শাষেজা,	সসেজ,	
gaaddaafee,	গদ্যাফী,	গাদ্দাফী,	
balakarak,	বলাকরক,	বলকারক,	
sangosthati,	সংস্থাটি,	সংস্থাটি,	
dajjho,	দাজ্য,	দাহ্য,	
foloshrutite,	ফলস্রুতিতে,	ফলশ্রুতিতে,	
cholochchitrake,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
modelgulo,	মদেনগুলো,	মডেলগুলো,	
byaboharkareer,	ব্যবহারকারীর,	ব্যবহারকারীর,	
advoot,	এডভুট,	অদ্ভুত,	
huka,	হুক,	হুক,	
akkaas,	একাাস,	আককাস,	
osamonjoshyopurno,	অসম্যসনপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
dharavahikbhabey,	ধারাবিকভাবে,	ধারাবাহিকভাবে,	
sofier,	সফির,	সোফির,	
pratimake,	প্রতিমাকে,	প্রতিমাকে,	
militarir,	মিলিটারীর,	মিলিটারির,	
pulse,	পালসে,	পালস,	
roktokkhorone,	রক্তকর্ণে,	রক্তক্ষরণে,	
bhaider,	ভাইদের,	ভাইদের,	
andamana,	অ্যানমডন,	আন্দামান,	
yatharthabhabe,	যথারথাবে,	যথার্থভাবে,	
garnar,	গার্নার,	গার্নার,	
alonkaran,	অলংকরণ,	অলঙ্করণ,	
veedanta,	ভীদানত,	বেদান্ত,	
marpit,	মার্পিট,	মারপিট,	
daoon,	ডাউন,	ডাউন,	
bhenisha,	ভেনিস,	ভেনিস,	
ajibon,	আজিবন,	আজীবন,	
kiutie,	কিউটি,	কিউটি,	
komaatei,	কোমাতেই,	কমাতেই,	
manushsoho,	মানুসহ,	মানুষসহ,	
soundarjyo,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
ballrum,	বলরুম,	বলরুম,	
graambasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
vushi,	ভুসি,	ভুষি,	
laagche,	লাগছে,	লাগছে,	
baasake,	বাসাকে,	বাসাকে,	
sparsher,	স্পার্সের,	স্পর্শের,	
vodqa,	ভদ্া,	ভদকা,	
koda,	কোড,	কোডা,	
jahora,	জাহরা,	যাহরা,	
kormozog,	কর্মযোগ,	কর্মযোগ,	
palashir,	পলাশীর,	পলাশীর,	
daakticketer,	ডাক্তিকেটের,	ডাকটিকিটের,	
locker,	লকের,	লকের,	
noitikvabe,	নৈতিকভাবে,	নৈতিকভাবে,	
antarvukto,	অর্ন্তভুক্ত,	অন্তর্ভুক্ত,	
qoyeri,	কয়েরি,	কোয়েরি,	
asbar,	আসবার,	আসবার,	
mirakel,	মিরাকেল,	মিরাকেল,	
bishshaasho,	বিশ্বাস,	বিশ্বাসও,	
tikto,	টিকটো,	তিক্ত,	
techno,	টেছনো,	টেকনো,	
shift,	শিফট,	শিফট,	
jamkalo,	জামকালো,	জমকালো,	
shringgey,	শ্রীঙ্গে,	শৃঙ্গে,	
ajijer,	আজিজের,	আজিজের,	
sbaajaner,	স্বজনের,	স্বজনের,	
kormokandeo,	কর্মকান্ডেও,	কর্মকাণ্ডেও,	
asociates,	অ্যাসোসিয়েট,	এসোসিয়েটস,	
surokarder,	সুরকরদের,	সুরকারদের,	
inphormeshon,	ইনফর্মেশন,	ইনফরমেশন,	
odhit,	অধিত,	অধীত,	
jaanachhe,	যানাছে,	জানাচ্ছে,	
vumija,	ভূমিজা,	ভূমিজ,	
zuktorastreo,	যুক্তরাস্ট্রেও,	যুক্তরাষ্ট্রেও,	
byomkes,	ব্যামকেস,	ব্যোমকেশ,	
chirohorith,	চিরোরিথ,	চিরহরিৎ,	
dayitto,	দৈত্য,	দায়িত্ব,	
mahindra,	মহীন্দ্র,	মাহিন্দ্রা,	
chhaanee,	ছানি,	ছানি,	
baek,	ব্যাক,	বাইক,	
bonduk,	বন্দুক,	বন্দুক,	
kromo,	ক্রম,	ক্রম,	
achis,	আচিষ,	আছিস,	
abikaul,	অবিকাল,	অবিকল,	
hishaber,	হিসাবের,	হিসাবের,	
ancholeo,	আঞ্চলেও,	অঞ্চলেও,	
naraphoqa,	নরফোক,	নরফোক,	
ekoirokom,	একইকরর,	একইরকম,	
suhasini,	সুহসিনী,	সুহাসিনী,	
qonfliqt,	কনফল্টি,	কনফ্লিক্ট,	
karoo,	কারও,	কারো,	
chet,	চেট,	চ্যাট,	
akhandata,	আখন্দটা,	অখণ্ডতা,	
protijogiira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
lohaa,	লোহা,	লোহা,	
mumtazer,	মুমাতের,	মুমতাজের,	
porizoner,	পরিজনের,	পরিজনের,	
sambhabanaow,	সম্ভাবনও,	সম্ভবনাও,	
songrahok,	সংগ্রহক,	সংগ্রাহক,	
pletoo,	প্ল্যাট,	প্লেটো,	
gosthigulo,	গোষ্ঠীগুলো,	গোষ্ঠীগুলো,	
batsmaner,	বাৎসমনের,	ব্যাটসম্যানের,	
tenisa,	টেনিস,	টেনিস,	
kaansaat,	কানসাট,	কানসাট,	
laagto,	লাগট,	লাগতো,	
sangkalanti,	সংকলনটি,	সংকলনটি,	
poshte,	পোস্ট,	পোষ্টে,	
vogini,	ভোগিনী,	ভগিনী,	
daaun,	ডাউন,	ডাউন,	
jyaka,	জ্বাক,	জ্যাক,	
cheshsh,	চেষ,	চেস,	
scorey,	স্কোরে,	স্কোরে,	
jworer,	যোরর,	জ্বরের,	
manahputa,	মানাহ্পুতা,	মনঃপুত,	
nagnyo,	নগ্ন,	নগণ্য,	
monzhostho,	মন্ধ্যস্থ,	মঞ্চস্থ,	
ghoomachhe,	ঘুমাছে,	ঘুমাচ্ছে,	
artharer,	অর্থারের,	আর্থারের,	
kaloniir,	কালনীর,	কালনীর,	
onker,	অঙ্কের,	ওঙ্কার,	
neerbachoker,	নির্বাচকের,	নির্বাচকের,	
shrimoti,	শ্রীমতী,	শ্রীমতি,	
masjidke,	মস্জিদে,	মসজিদকে,	
sbatantrota,	স্বততন্ত্রতা,	স্বতন্ত্রতা,	
ponchasjon,	পঞ্চাশন,	পঞ্চাশজন,	
samle,	সমলে,	সামলে,	
parkasa,	পার্কস,	পার্কস,	
lyaanding,	ল্যান্ডিং,	ল্যান্ডিং,	
pacbbar,	পাঁববার,	পাঁচবার,	
torun,	তরুণ,	তরুন,	
shudhui,	সুধুই,	শুধুই,	
prokolpow,	প্রকল্পও,	প্রকল্পও,	
sikkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
chalochchitragulor,	চলচ্চিত্রগুলোর,	চলচ্চিত্রগুলোর,	
shtona,	স্টন,	স্টোন,	
elgoridom,	এলগরিদম,	এলগরিদম,	
jubokra,	যুবকরা,	যুবকরা,	
antarbhuktimulak,	অন্তর্ভূক্তমিক,	অন্তর্ভুক্তিমূলক,	
heepataitisa,	হ্যাপটাইটিস,	হেপাটাইটিস,	
uposthitir,	উপস্থিতির,	উপস্থিতির,	
bhadaqa,	ভাদা,	ভদকা,	
osontos,	অসন্ত,	অসন্তোষ,	
utshahe,	উত্সাহে,	উৎসাহে,	
habsi,	হাবসি,	হাবশী,	
breakthrough,	ব্রেক্রাফ,	ব্রেকথ্রু,	
sammatitey,	সম্মটিতে,	সম্মতিতে,	
patjato,	পাৎজাত,	পাটজাত,	
shikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
chalochchitra,	চলচিত্র,	চলচ্চিত্র,	
naarsari,	নার্সারী,	নার্সারি,	
bojhaao,	বোঝাও,	বোঝাও,	
stonahenja,	স্তন্হাঙ্জ,	স্টোনহেঞ্জ,	
provritike,	প্রভৃতিকে,	প্রভৃতিকে,	
baraakpur,	ব্যারাকপুর,	বারাকপুর,	
heeli,	হিলি,	হিলি,	
byabaharkareei,	ব্যবহারকেই,	ব্যবহারকারীই,	
difinisian,	ডেফিনিশন,	ডেফিনেশন,	
keuoi,	কিউই,	কেউই,	
dobhaar,	ডভার,	ডোভার,	
hosney,	হোসে,	হোসনে,	
kool,	কুল,	কুল,	
grambaasi,	গ্রামবাসী,	গ্রামবাসী,	
barnis,	বার্নিস,	বার্নিশ,	
sausagee,	সৌসাগী,	সসেজ,	
baugey,	বাজে,	বাগে,	
codeti,	কোডটি,	কোডটি,	
nikataner,	নিকটনের,	নিকেতনের,	
onkeeta,	অংকিতা,	অঙ্কিতা,	
spreadsiit,	স্প্রেডসিট,	স্প্রেডশীট,	
otiteo,	অটিতেও,	অতীতেও,	
michhilti,	মিশিলটি,	মিছিলটি,	
simmons,	সিমমন,	সিমন্স,	
machhsoho,	মাসসহ,	মাছসহ,	
bhaabaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
totokhon,	ততক্ষণ,	ততক্ষন,	
songkulan,	সংকুলন,	সংকুলান,	
khelafatey,	খেলাফাতে,	খেলাফতে,	
texuser,	টেকিসার,	টেক্সাসের,	
jony,	জোি,	জনি,	
biplobi,	বিপ্লবি,	বিপ্লবী,	
hizrii,	হিজরি,	হিজরী,	
nartaki,	নরর্টকী,	নর্তকী,	
sadhwi,	সাধ্য,	সাধ্বী,	
okritakarja,	অকৃতিকর্য,	অকৃতকার্য,	
qoda,	কোড,	কোড,	
ramzaner,	রাজানের,	রমযানের,	
laaisensh,	লাইন্স,	লাইসেন্স,	
alngkoron,	অলংকরণ,	অলঙ্করণ,	
nortokike,	নর্তকীকে,	নর্তকীকে,	
torcarir,	তরকারীর,	তরকারীর,	
sikkhokke,	শিক্ষককে,	শিক্ষককে,	
juktorashtreo,	যুক্তরাস্ট্রেও,	যুক্তরাষ্ট্রেও,	
taffsherer,	টাফসারের,	তাফসীরের,	
anektai,	অনেকটাই,	অনেকটাই,	
baitsh,	বৈয়টস,	বাইটস,	
narafoka,	নরফোক,	নরফোক,	
mela,	মেল,	মাইল,	
aairish,	আইরিশ,	আইরিস,	
parshe,	পার্স,	পার্শ্বে,	
atyachari,	অত্যাচারী,	অত্যাচারী,	
residance,	রেসিডেন্স,	রেসিডেন্স,	
oncholtee,	অঞ্চলটি,	অঞ্চলটি,	
bhaibonera,	ভাইবারের,	ভাইবোনেরা,	
madal,	মদল,	মাদল,	
eidhyaning,	এধ্যানিং,	ইদানীং,	
pleney,	প্লেনে,	প্লেনে,	
trenda,	ট্রেন্ড,	ট্রেন্ড,	
bimaataa,	বিমতা,	বিমাতা,	
chanje,	চাঁজে,	চেঞ্জ,	
sikkhakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
khelafotey,	খেলাফোটে,	খেলাফতে,	
phaksa,	ফক্স,	ফক্স,	
monohputa,	মনোহ্পুতা,	মনঃপুত,	
chhayi,	ছাই,	ছাই,	
gyate,	জ্ঞাতে,	গ্যেটে,	
eastar,	আস্টার,	ইস্টার,	
hosheyin,	হোসেইন,	হোসেইন,	
expressian,	এক্সপ্রেসন,	এক্সপ্রেশন,	
kattor,	কাটটটর,	কট্টর,	
highcommissionay,	হাইকমেশন,	হাইকমিশনে,	
somoshti,	সমস্তি,	সমষ্টি,	
mukhamandaley,	মুখমন্ডলে,	মুখমণ্ডলে,	
soorarop,	সুরারোপ,	সুরারোপ,	
jaistho,	জৈষ্ঠ,	জ্যৈষ্ঠ,	
nabatamo,	নবাতম,	নবতম,	
horiner,	হরিনের,	হরিণের,	
manbey,	মানবে,	মানবে,	
nabhela,	নেভেল,	নভেল,	
nothibhukta,	নথিভুক্ত,	নথিভুক্ত,	
doloo,	ডলল,	ডলু,	
atmobishvashi,	আত্মবিশ্বাীী,	আত্মবিশ্বাসী,	
kokhonoba,	কখনোবা,	কখনওবা,	
vejaano,	ভেজানো,	ভেজানো,	
palta,	পাল্ট,	পালটা,	
ghumachchilo,	ঘুমাছিল,	ঘুমাচ্ছিল,	
gemske,	গেমসকে,	জেমসকে,	
roomantic,	রোমান্টিক,	রোমান্টিক,	
nariderke,	নারীদেরকে,	নারীদেরকে,	
duma,	ডুম,	দুমা,	
onchalgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
phooloo,	ফুলো,	পোলো,	
lyata,	ল্যাট,	ল্যাটা,	
nutunotto,	নুতুনত্ব,	নতুনত্ব,	
sbaajan,	স্বজন,	স্বজন,	
lambate,	লম্বাতে,	লম্বাটে,	
builder,	বিল্ডার,	বিল্ডার,	
khanonkaj,	খননকাজ,	খননকাজ,	
modeltigulo,	মডিলতিলোগো,	মডেলগুলো,	
roktokkoron,	রক্তকরণ,	রক্তক্ষরণের,	
licencing,	লিসেন্সিং,	লাইসেন্সিং,	
