chherechhe,	ছেরেছে,	ছেড়েছে,	
jahar,	জাহর,	জহর,	
scholarship,	স্কলারশিপ,	স্কলারশিপ,	
saleha,	সালেহ,	সালেহা,	
dinifitian,	ডিনিফিনিশন,	ডেফিনেশন,	
banduk,	বন্দুক,	বন্দুক,	
aaeerese,	আইরেশে,	আইরেসে,	
mohiboor,	মহিবুর,	মহিবুর,	
gaje,	গজে,	গেজ,	
ganjana,	গানজন,	গঞ্জনা,	
durotaumo,	দূরতম,	দূরতম,	
vabanir,	ভবানীর,	ভবানীর,	
hillse,	হিল্লে,	হিলসে,	
poripake,	পরিপাকে,	পরিপাকে,	
bharote,	ভারতে,	ভারতে,	
thailandsoho,	থাইন্ডাসহ,	থাইল্যান্ডসহ,	
dhaleshwari,	ধালেশ্বরী,	ধলেশ্বরী,	
moushumei,	মৌশুমেই,	মৌসুমেই,	
gaddafii,	গাদ্াী,	গাদ্দাফী,	
babylon,	বেবিলন,	ব্যাবিলন,	
uporital,	অপরিতাল,	উপরিতল,	
megh,	মেঘ,	মেঘ,	
ebhara,	ইভার,	এভার,	
jons,	জনস,	জোন্স,	
jeesa,	জেসা,	জেস,	
gajee,	গজী,	গেজ,	
drishyoi,	দৃশ্যই,	দৃশ্যই,	
kobutorer,	কবুটররের,	কবুতরের,	
markeeting,	মার্কেটিং,	মার্কেটিং,	
jaadrel,	জাদ্রেল,	জাঁদরেল,	
cloud,	ক্লাউড,	ক্লাউড,	
ajeem,	অজিম,	আজিম,	
badey,	বাদে,	বাদে,	
jadrel,	যাডেরেল,	জাঁদরেল,	
uddhritir,	উদ্ধৃতির,	উদ্ধৃতির,	
valobasey,	ভালবাসে,	ভালোবাসে,	
bhagno,	ভাগ্ন,	ভগ্ন,	
shrabasti,	শ্রবব্টি,	শ্রাবস্তী,	
timur,	তিমুর,	তিমুর,	
dholeshwari,	ধোলেশ্বরী,	ধলেশ্বরী,	
nabbata,	নব্যতব,	নাব্যতা,	
soolke,	সুলকে,	শুল্কে,	
dibya,	দিব্য,	দিব্যা,	
bosonto,	বসন্ত,	বসন্ত,	
mg,	এমএ,	এমজি,	
dharavahikbhabe,	ধারাভাবিকভাবে,	ধারাবাহিকভাবে,	
shringge,	শ্রিং,	শৃঙ্গে,	
dhyanostha,	ধ্যানস্থ,	ধ্যানস্থ,	
cantan,	কন্টন,	ক্যান্টন,	
skyirt,	স্কার্ট,	স্কার্ট,	
hishaber,	হিসাবের,	হিসাবের,	
chhatogalper,	ছোটোগল্পের,	ছোটগল্পের,	
sanyal,	সন্যাল,	সান্যাল,	
boudhheer,	বৌদ্ধির,	বৌদ্ধের,	
evereste,	এভরেস্টে,	এভারেস্টে,	
farmat,	ফার্মেট,	ফরম্যাট,	
bamoni,	বামনী,	বামনী,	
reflex,	রাইফেল্স,	রিফ্লেক্স,	
beeswasoo,	বিশ্বাসও,	বিশ্বাসও,	
manabmaner,	মানবামেনের,	মানবমনের,	
utsahamulak,	উৎসমাহূলক,	উৎসাহমূলক,	
manee,	মেন,	মানে,	
grambaashi,	গ্রামবাসী,	গ্রামবাসী,	
oshamonjosshoporno,	অসাসম্যপর্ন,	অসামঞ্জস্যপূর্ণ,	
kyathalika,	ক্যাথলিক,	ক্যাথলিক,	
vaibon,	ভাইবন,	ভাইবোন,	
ancient,	অ্যান্সেন্ট,	এনসিয়েন্ট,	
spreadsheet,	স্প্রেডটি,	স্প্রেডশীট,	
bisnuke,	বিষ্ণুকে,	বিষ্ণুকে,	
pyaleshtaine,	প্যালেস্টাইন,	প্যালেস্টাইনে,	
chalochchitreeo,	চলচিত্রেও,	চলচ্চিত্রেও,	
ekghare,	একঘরে,	একঘরে,	
taufiq,	তৌফিক,	তৌফিক,	
ghesa,	ঘেসা,	ঘেঁষা,	
amor,	আমর,	আমর,	
ingrezder,	ইংরেজদের,	ইংরেজদের,	
obotar,	অবতার,	অবতার,	
morathee,	মরাঠি,	মরাঠি,	
besarkarikaran,	বেসরকারিকরণ,	বেসরকারিকরণ,	
obiyi,	অবিই,	ওবিই,	
futbolarer,	ফুটবলেরের,	ফুটবলারের,	
ponera,	পনেরা,	পনের,	
bandhuderke,	বন্ধুদেরকে,	বন্ধুদেরকে,	
sumeeta,	সুমীতা,	সুমিতা,	
nirarthak,	নির্থক,	নিরর্থক,	
canal,	কানাল,	ক্যানেল,	
afzol,	আফজল,	আফজল,	
odhito,	অধিত,	অধীত,	
cholocchitrigulor,	চলচ্চিত্রগুলোর,	চলচ্চিত্রগুলোর,	
mukhomandal,	মুখমন্ডল,	মুখমণ্ডল,	
alexanderke,	আলেস্যান্ডারকে,	আলেকজান্ডারকে,	
bhittow,	ভিত্তভ,	ভিত্তিও,	
musolmanera,	মুসল্মানেরা,	মুসলমানেরা,	
objarvar,	অজ্বর্ভর,	অবজার্ভার,	
melbourney,	মেলবোর্নে,	মেলবোর্নে,	
puddin,	পুদ্িন,	পুডিং,	
chargar,	চারগার,	চার্জার,	
puncho,	পাঁচ,	পুঞ্চ,	
jubokti,	যুবক্তি,	যুবকটি,	
sarollo,	সরল্ল,	সারল্য,	
satarkabhabey,	সত্তরভাবে,	সতর্কভাবে,	
jahns,	জনস,	জন্স,	
songhitar,	সংহীতার,	সংহিতার,	
bhittio,	ভিত্তিও,	ভিত্তিও,	
addabaaj,	আদ্যাবাজ,	আড্ডাবাজ,	
difinishion,	ডিফিনিশন,	ডেফিনেশন,	
vooter,	ভোটের,	ভোটার,	
chomski,	চমসকি,	চমস্কি,	
shaahoshikataar,	সহহসিকতার,	সাহসিকতার,	
indro,	ইন্দ্রো,	ইন্দ্র,	
haripur,	হরিপুর,	হরিপুর,	
madhyekar,	মধ্যেকার,	মধ্যেকার,	
shaahaabaah,	সাহাবাহ,	সাহাবাহ,	
shaaroker,	সারকের,	স্মারকের,	
parsher,	পারসের,	পার্শ্বের,	
neemeetto,	নিমিত্য,	নিমিত্ত,	
chetona,	চেতনা,	চেতনা,	
hevy,	হেভি,	হেভি,	
enasiyenta,	এনসসিয়েন্ট,	এনসিয়েন্ট,	
sangbadmadhyomgulote,	সংবাদমধুলতে,	সংবাদমাধ্যমগুলোতে,	
soceitykey,	সোকিটিকে,	সোসাইটিকে,	
michhilti,	মিচিল্টি,	মিছিলটি,	
kormosongsthan,	কর্মসংস্থান,	কর্মসংস্থান,	
parker,	পার্কার,	পার্কের,	
ruvbla,	রুভবল,	রুবল,	
istonia,	এস্টোনেনিয়া,	এস্তোনিয়া,	
boshoborti,	বসবর্তী,	বশবর্তী,	
veda,	ভেদ,	বেদ,	
paksenara,	পক্ষেনারা,	পাকসেনারা,	
gyandas,	জ্যান্ডাস,	জ্ঞানদাস,	
porikkhateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
ghoomato,	ঘুমাটো,	ঘুমাতো,	
crescent,	ক্রিস্েন্ট,	ক্রিসেন্ট,	
karaa,	কারা,	কারো,	
octane,	অক্তেন,	অকটেন,	
saaeda,	সাইড,	সাইদা,	
kunty,	কান্টি,	কুন্তী,	
gadha,	গাধা,	গাধা,	
taimash,	টাইমস,	টাইমস্,	
qrisenta,	ক্রেসেন্টা,	ক্রিসেন্ট,	
rooshod,	রুশদ,	রুশদ,	
meghacchonno,	মেঘেচন্ন,	মেঘাচ্ছন্ন,	
somraatra,	সম্রাত্রা,	সম্রাটরা,	
abheedhaneek,	আভিধানিক,	অভিধানিক,	
shaatjon,	সাজন,	সাতজন,	
godabari,	গদবারী,	গোদাবরী,	
muhammadi,	মুহাম্মাদী,	মুহাম্মদী,	
emarzensi,	এমর্জনেস্,	এমার্জেন্সি,	
edhdaning,	এডধানিং,	ইদানিং,	
sarbopori,	সর্বোপরি,	সর্বোপরী,	
sampadan,	সম্পাদন,	সম্পাদন,	
ponjeekar,	পঞ্জিকার,	পঞ্জিকার,	
arina,	এরিন,	এরিনা,	
horiddar,	হরিদ্যার,	হরিদ্বার,	
favorite,	ফোরোভিতে,	ফেভারিট,	
urur,	উরুর,	উরুর,	
superheiroo,	সুপারহাইও,	সুপারহিরো,	
rato,	রত,	রত,	
pravura,	প্রভূরা,	প্রভুরা,	
nirvaha,	নির্বাহ,	নির্বাহ,	
esasiyetasa,	এসএয়েটাস,	এসোসিয়েটস,	
motar,	মোটর,	মুতার,	
teenisa,	টেনিসা,	টেনিস,	
maladobha,	মালাদভা,	মলদোভা,	
bakhyateet,	ব্যাখ্যাটিত,	ব্যাখ্যাতীত,	
korechi,	করেছি,	করেছি,	
nirmolotaa,	নির্মলতা,	নির্মলতা,	
ayantarkatika,	অন্তর্কতিক,	অ্যান্টার্কটিকা,	
phashtara,	ফাস্টার,	ফস্টার,	
rajballabh,	রাজ্লবলাভ,	রাজবল্লভ,	
chalochchitro,	চলচিত্র,	চলচ্চিত্র,	
jerujalem,	জেরুজালেম,	জেরুসালেম,	
engineers,	ইঞ্জিনের্স,	ইঞ্জিনিয়ার্স,	
teoyana,	টিওয়ান,	তাইওয়ান,	
kanthar,	কাঁঠার,	কাঁথার,	
itastato,	ইতাস্তত,	ইতস্তত,	
doover,	দুভের,	ডোভার,	
kooda,	কোড,	কোডা,	
skolastic,	স্কলস্টিক,	স্কলাস্টিক,	
minister,	মিনিস্টার,	মিনিস্টার,	
tachnach,	তাচনাচ,	তছনছ,	
alaa,	আলা,	আলা,	
jesh,	জেস,	জেস,	
serverey,	সার্ভারে,	সার্ভারে,	
turkameena,	তুর্কমেন,	তুর্কমেন,	
shtonahenja,	স্টোহানহেজ্জ,	স্টোনহেঞ্জ,	
gonohotyar,	গণহত্যার,	গণহত্যার,	
damane,	দমনে,	দমনে,	
chalaabi,	চালাবি,	চালাবে,	
progreess,	প্রগ্রেস,	প্রগ্রেস,	
labonaaktotaar,	লবনাক্ততার,	লবণাক্ততার,	
karam,	করম,	কেরাম,	
ghurchen,	ঘুরছেন,	ঘুরেছেন,	
bodqa,	বোদকা,	ভদকা,	
bhorodwaj,	ভররদাজাজ,	ভরদ্বাজ,	
graambaasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
plater,	প্লেটার,	প্লেটের,	
sothikota,	সথিকতা,	সঠিকতা,	
dipei,	দিপেই,	দ্বীপেই,	
gronthoty,	গ্রন্থটিি,	গ্রন্থটি,	
platey,	প্লেট,	প্লেটে,	
stationey,	স্টেশনে,	ষ্টেশনে,	
maile,	মেল,	মাইল,	
orunima,	অরুণিমা,	অরুণিমা,	
eucalyptus,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
krush,	ক্রাশ,	ক্রুশ,	
liceencee,	লিসেন্স,	লাইসেন্স,	
suddeen,	সুদীন,	সাডেন,	
pala,	পাল,	পোলো,	
cheerontan,	চির্নান,	চিরন্তন,	
oichchik,	ঐচ্ছিক,	ঐচ্ছিক,	
masey,	মাসে,	মাসে,	
debodebi,	দেবোদেবী,	দেবদেবী,	
habu,	হাবু,	হবু,	
tenise,	ট্যানিসে,	টেনিসে,	
aboshore,	অবসররে,	অবসরে,	
uposhthit,	উপস্থিত,	উপস্থিত,	
vabuk,	ভাবুক,	ভাবুক,	
saaed,	সাইদ,	সাইদ,	
yeaster,	ইস্টের,	ইস্টের,	
zuktorastreo,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রেও,	
madrasake,	মাদ্রসাকে,	মাদ্রাসাকে,	
durgatsabe,	দূর্ঘটসাবে,	দুর্গোৎসবে,	
gondho,	গন্ধ,	গন্ধ,	
beshirvagyi,	বেশীরভাগই,	বেশিরভাগই,	
shayanaida,	সায়াইন,	সায়ানাইড,	
madola,	মডোলা,	মাদলা,	
bachai,	বাঁচাই,	বাছাই,	
sthapanagulor,	স্থাপনগুলোর,	স্থাপনাগুলোর,	
senabahineeow,	সেনাবাহিওনিও,	সেনাবাহিনীও,	
buth,	বুথ,	বুথ,	
gasthigulo,	গস্গীতিগুলো,	গোষ্ঠীগুলো,	
pretii,	প্রেতি,	প্রিটি,	
brindaboner,	ব্রিন্ডবেনের,	বৃন্দাবনের,	
location,	লোকেশন,	লোকেশন,	
oitijjho,	ঐতিহ্য,	ঐতিহ্য,	
taoonship,	তানসিপ,	টাউনশিপ,	
amontrito,	আমন্ত্রিত,	আমন্ত্রিত,	
reeno,	রেন,	রেনো,	
marketim,	মার্কাটিং,	মার্কেটিং,	
naditir,	নদীতীর,	নদীটির,	
choudhooreeo,	চৌধুরিও,	চৌধুরীও,	
selina,	সেলিন,	সেলিনা,	
difinishhion,	ডিফিনিশন,	ডেফিনেশন,	
nodiiteyi,	নদীতেই,	নদীতেই,	
sanatani,	সানাটানি,	সনাতনী,	
bbiswashke,	বিশ্বাসকে,	বিশ্বাসকে,	
gonoporeebohon,	গণপরিবহন,	গণপরিবহন,	
hajjirhat,	হাজিহারট,	হাজিরহাট,	
utpatti,	উৎপত্তি,	উতপত্তি,	
kareer,	কারির,	কারীর,	
gronther,	গ্রন্থের,	গ্রন্থের,	
sangastha,	সংস্থ,	সংস্থা,	
tenish,	টেনিস,	টেনিস,	
tenisa,	টেনিস,	টেনিস,	
prokalpagulo,	প্রকোশগুলো,	প্রকল্পগুলো,	
basano,	বাসনও,	বসানো,	
laat,	লাট,	লাট,	
iqbaler,	ইকবালের,	ইকবালের,	
fern,	ফের্ন,	ফার্ন,	
hijritey,	হিজরিতে,	হিজরীতে,	
minishter,	মিনিস্টার,	মিনিস্টার,	
saphallyar,	সফফলযার,	সাফল্যের,	
meiler,	মেলের,	মেইলের,	
byatikrami,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
manabsamajer,	মানবসমাজের,	মানবসমাজের,	
sheema,	সীমা,	সীমা,	
hepara,	হেপারা,	হাইপার,	
duplex,	ডাপ্লেক্স,	ডুপ্লে,	
avetara,	অভেটার,	অবতার,	
chalochchitraeei,	চলচ্চিত্রেই,	চলচ্চিত্রেই,	
tukrowti,	টুক্রটি,	টুকরোটি,	
ekghorey,	একঘরে,	একঘরে,	
ujobekeestan,	উজববেক্তান্ত,	উজবেকিস্তান,	
bim,	বিম,	বীম,	
dhrubaker,	ধ্রুবকের,	ধ্রুবকের,	
cheef,	চিফ,	শেফ,	
durotomm,	দূরোত্তম,	দূরতম,	
sangasthaner,	সংস্থানের,	সংস্থানের,	
faster,	ফস্্টার,	ফস্টার,	
stoneeheengee,	স্ত্নিহিঙ্গি,	স্টোনহেঞ্জ,	
meeting,	মেটিং,	মিটিং,	
bunot,	বুনোট,	বুনট,	
chanoo,	চানও,	চানু,	
bisnoo,	বিষ্ণ,	বিষ্ণু,	
shkolashtic,	স্কোল্টিিক,	স্কলাস্টিক,	
deliwer,	ডিলিভ়র,	ডেলিভার,	
vastuvad,	বস্তুবাদ,	বস্তুবাদ,	
koner,	কোণের,	কনের,	
phirti,	ফির্ি,	ফিরতি,	
bhejano,	ভেজানো,	ভেজানো,	
masterer,	মাস্তারের,	মাস্টারের,	
qyandi,	ক্যান্ডি,	ক্যান্ডি,	
sanaktakaroner,	সনাক্তকরণের,	সনাক্তকরণের,	
licensedhari,	লিনেস্টারি,	লাইসেন্সধারী,	
rejidens,	রেজিডেন্স,	রেসিডেন্স,	
eashter,	ইস্টার,	ইস্টার,	
biplobir,	বিপ্লবির,	বিপ্লবীর,	
snaipara,	স্নাইপরর,	স্নাইপার,	
codeguli,	কোদিগুলি,	কোডগুলি,	
iston,	ইস্টন,	স্টোন,	
neelabh,	নিলাভ,	নীলাভ,	
dai,	দাই,	দিই,	
khele,	খেলে,	খেলে,	
bisringkhola,	বিশৃঙ্খলা,	বিশৃঙ্খলা,	
ostader,	অস্তাদের,	ওস্তাদের,	
asbar,	আসবার,	আসবার,	
surke,	সুর্ক,	সুরকে,	
upobaaser,	উপবাসের,	উপবাসের,	
patrol,	পাত্রল,	পেট্রোল,	
prokolpotike,	প্রকো্পটিকে,	প্রকল্পটিকে,	
marathi,	মারাঠি,	মরাঠি,	
ddheke,	ঢেঁকি,	ঢেকে,	
ovishongshon,	অভিশংসন,	অভিশংসন,	
shaattoki,	সাত্মকি,	সাত্যকি,	
manushtike,	মানুষ্টিকে,	মানুষটিকে,	
dwip,	দ্বিপ,	দীপ,	
bisheshyer,	বিশেষ্যের,	বিশেষ্যের,	
aabahon,	আবাহন,	আবাহন,	
isosiyitasa,	এসোসোটিজাস,	এসোসিয়েটস,	
farex,	ফের্ক,	ফরেক্স,	
definishhion,	ডেফিনিশন,	ডেফিনেশন,	
daaktickete,	ডাক্তিটিতে,	ডাকটিকিটে,	
rudrer,	রুদ্রের,	রুদ্রের,	
konishtho,	কনিষ্ঠ,	কনিষ্ঠ,	
chiroharit,	চিরহরিত,	চিরহরিৎ,	
ekatto,	একত্ব,	একাত্ব,	
somoshtike,	সমস্তিকে,	সমষ্টিকে,	
morodeho,	মরোদেহ,	মরদেহ,	
byanger,	ব্যাঙ্গার,	ব্যাঙের,	
venicey,	ভেনিসে,	ভেনিসে,	
tthela,	ঠেলা,	ঠেলা,	
osamonjoshyopurno,	অসমাসযোদ্নপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
panchasjan,	পঞ্চাশোান,	পঞ্চাশজন,	
parther,	পার্থের,	পার্থের,	
rananganey,	রণন্গনে,	রণাঙ্গনে,	
bibek,	বিবেক,	বিবেক,	
aazaan,	আজান,	আজান,	
gobeshanagar,	গবেষণাগার,	গবেষনাগার,	
jathan,	যথান,	যথন,	
teamothy,	টিমোথী,	টিমোথি,	
eeksapreeshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
shanstha,	সংস্থা,	সংস্থা,	
bosstonto,	বস্তন্ত,	বসন্ত,	
oitijjher,	ঐতিহ্যের,	ঐতিহ্যের,	
conphlikt,	কনফ্লিক্ট,	কনফ্লিক্ট,	
batikromee,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
hyarikena,	হ্যারিকেন,	হ্যারিকেন,	
toki,	তোকি,	তকি,	
taiwan,	টাইভান,	তাইওয়ান,	
heebhi,	হিভি,	হেভি,	
inamila,	ইনামল,	এনামেল,	
madaspushto,	মাদপোস্ত,	মদদপুষ্ট,	
sherup,	শেরুপ,	সেরুপ,	
rupart,	রূপার্ট,	রুপার্ট,	
uindo,	উইন্ডো,	উইন্ডো,	
shrichaitanyadeb,	শ্রীচৈতনাদ্বেব,	শ্রীচৈতন্যদেব,	
carzito,	কার্জিত,	চার্জিত,	
suri,	সুরি,	সুরি,	
omittrakkhor,	অমিত্রক্ষর,	অমিত্রাক্ষর,	
vagno,	ভাগ্ন,	ভগ্ন,	
phikshim,	ফিক্সিং,	ফিক্সিং,	
byaboharkariyi,	ব্যবহহারকারি,	ব্যবহারকারীই,	
saseja,	সশেজা,	সসেজ,	
sinaake,	সিন্গাকে,	সিনাকে,	
gitikobitar,	গীতিকবিতার,	গীতিকবিতার,	
oitijje,	ঐতিজ্যে,	ঐতিহ্যে,	
debholapar,	ডেভলপার,	ডেভলপার,	
parishrom,	পারিশ্রম,	পরিশ্রম,	
kadam,	কাদাম,	কদম,	
haphej,	হাফেজ,	হাফেয,	
deembakriti,	ডিম্ব্যাক্তি,	ডিম্বাকৃতি,	
zubokshoho,	যুবকসহ,	যুবকসহ,	
chalachchitrotike,	চলচ্চিত্রটিকে,	চলচ্চিত্রটিকে,	
chase,	চাষে,	চেস,	
shelinar,	সেলিনার,	সেলিনার,	
korkat,	কর্কট,	কর্কট,	
primo,	প্রীম,	প্রিমো,	
bikretara,	বিক্রেটার,	বিক্রেতারা,	
dimbakriti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
artharer,	অর্থরের,	আর্থারের,	
soranor,	সরানোর,	সরানোর,	
lagchhe,	লাগছে,	লাগছে,	
partha,	পার্থ,	পার্থ,	
sombhobonaao,	সম্ভবনাও,	সম্ভবনাও,	
karmokarer,	কর্মকারের,	কর্মকারের,	
pratisthanikbhabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
yaaq,	এক,	ইয়াক,	
kyapasula,	ক্যাপসুলা,	ক্যাপসুল,	
protijogiir,	প্রতিযোগির,	প্রতিযোগীতার,	
sompadon,	সম্পাদন,	সম্পাদন,	
roomantika,	রোমন্টিক,	রোমান্টিক,	
poschime,	পশ্চিমে,	পশ্চিমে,	
ovarview,	ওভার্ভিউ,	ওভারভিউ,	
pracharanamulak,	প্রচারণামূলক,	প্রচারণামূলক,	
algorithm,	অ্যালগরিদম,	এলগরিদম,	
aabahan,	আবাহন,	আবাহন,	
phiqsa,	ফিক্স,	ফিক্স,	
hajeerhatt,	হাজিহার্ট,	হাজিরহাট,	
avetar,	অভেটার,	অবতার,	
vugol,	ভুগল,	ভূগোল,	
phutantoa,	ফুটন্ট,	ফুটন্ত,	
sahochorjey,	সহচর্যে,	সাহচর্যে,	
swajaner,	স্বজনের,	স্বজনের,	
jaater,	জাতের,	জাতের,	
sachindra,	সচচন্দ্র,	শচীন্দ্র,	
sangosthatike,	সংস্থতিকে,	সংস্থাটিকে,	
alankorana,	অলংকরণ,	অলঙ্করণ,	
bhangley,	ভাঙ্গলে,	ভাঙলে,	
horidbar,	হরিদব্যার,	হরিদ্বার,	
paner,	পানের,	পানের,	
dito,	দিত,	দিতো,	
doula,	দৌল,	দৌলা,	
beda,	বেদা,	বেদ,	
hepataitisha,	হেপাপটেটিস,	হেপাটাইটিস,	
modeeling,	মোযাডিলিং,	মডেলিং,	
chhatogalpe,	ছোটোগল্পে,	ছোটগল্পে,	
roopdan,	রূপদান,	রুপদান,	
noren,	নরেন,	নরেন,	
engrejder,	ইংরেজদের,	ইংরেজদের,	
gezetted,	গেজেটেড,	গেজেটেড,	
gananatya,	গণণাত্য,	গণনাট্য,	
allah,	আল্লাহ,	আল্লাহ্,	
euqalyptus,	ইউক্যাপিউটাস,	ইউক্যালিপ্টাস,	
sahozlabhbhatar,	সহলভাভতাভার,	সহজলভ্যতার,	
karo,	কারও,	করো,	
ceramiks,	সেরামিক্স,	সিরামিকস,	
shuparahiro,	সুপারহীর,	সুপারহিরো,	
creshcent,	ক্রিস্টেন্ট,	ক্রিসেন্ট,	
silbhee,	সিলভী,	সিলভি,	
sulfete,	সালফাট,	সালফেট,	
rupantor,	রূপান্তর,	রুপান্তর,	
beeswasi,	বিশ্বাসী,	বিশ্বাসই,	
towbar,	তুবার,	তওবার,	
uul,	উউল,	উল,	
dharavahik,	ধারাভািক,	ধারাবাহিক,	
aasif,	আসিফ,	আসিফ,	
jworer,	জ্বরের,	জ্বরের,	
markete,	মার্কাটে,	মার্কেটে,	
shcholashtic,	স্কলাস্টিক,	স্কলাস্টিক,	
nickel,	নিকেল,	নিকেল,	
shikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
elakatay,	এলাকাতে,	এলাকাতে,	
monhputa,	মন্ফুতা,	মনঃপুত,	
bopon,	বপন,	বপন,	
akkash,	একাশশ,	আককাস,	
azaan,	আজান,	আজান,	
mufti,	মুফতি,	মুফতি,	
subadey,	সুবাদে,	সুবাদে,	
rinattak,	ঋণাত্মক,	ঋনাত্মক,	
karechi,	করেছি,	করেছি,	
gripa,	গ্রিপ,	গ্রিপ,	
loombinee,	লুম্বিনী,	লুম্বিনী,	
tinage,	টিনেগ,	টিনেজ,	
sikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
antarbhukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
everestey,	ইভরেস্টে,	এভারেস্টে,	
samabeshke,	সমাবেশকে,	সমাবেশকে,	
porinoti,	পরিনতি,	পরিণতি,	
daqop,	ডাকোপ,	দাকোপ,	
chanake,	চানকে,	ছানাকে,	
cheekitshar,	চিকিৎসার,	চিকিত্সার,	
samajikatar,	সামাজিকতার,	সামাজিকতার,	
bifol,	বিফল,	বিফল,	
panni,	পাননি,	পন্নী,	
bhenicer,	ভেনিসের,	ভেনিসের,	
anchalsamuha,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
bocchon,	বচ্ছন,	বচ্চন,	
juboksoho,	যুবকসহ,	যুবকসহ,	
juktorashtreo,	যুক্তরাস্ট্রেও,	যুক্তরাষ্ট্রেও,	
muhit,	মুহিত,	মুহিত,	
drishyogulote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
oitihyer,	ঐতিহ্যের,	ঐতিহ্যের,	
koilas,	কোলাস,	কৈলাস,	
gosthike,	গোষ্ঠীকে,	গোষ্ঠীকে,	
sabbir,	সববির,	সাব্বির,	
janachche,	জনচ্ছে,	জানাচ্ছে,	
uporoshtho,	উপরস্থ,	উপরস্থ,	
naji,	নাজি,	নাত্সি,	
pacchen,	পাচছছেন,	পাচ্ছেন,	
shringo,	শৃঙ্গ,	শৃঙ্গ,	
siramikasa,	সিরামিকাস,	সিরামিকস,	
chalai,	চালাই,	চালাবে,	
laishenshim,	লেইনসিং,	লাইসেন্সিং,	
joistho,	জৈস্ঠ,	জ্যৈষ্ঠ,	
nikela,	নিকেলা,	নিকেল,	
shoow,	শু,	শো,	
suporichiti,	সুপূরচিতি,	সুপরিচিতি,	
doloo,	দলও,	ডলু,	
khamba,	খা্বা,	খাম্বা,	
kathmaandu,	কঠ্মান্ডু,	কাঠমান্ডু,	
michilti,	মিচেলটি,	মিছিলটি,	
armstrang,	আর্সম্টার্ন,	আর্মস্ট্রং,	
karmajog,	কর্মযোগ,	কর্মযোগ,	
prakalpogulo,	প্রকো্গগুলো,	প্রকল্পগুলো,	
reeliancee,	রিলিয়ন্স,	রিলায়েন্স,	
zubokti,	যুবক্তি,	যুবকটি,	
phartha,	ফোর্থ,	ফার্থ,	
bedanter,	বেদানটের,	বেদান্তের,	
satarkatar,	সর্তকতার,	সতর্কতার,	
rena,	রেন,	রেনো,	
ship,	শিপ,	শিপ,	
vittiteo,	ভিত্তিতেও,	ভিত্তিতেও,	
protijogii,	প্রতিযোগী,	প্রতিযোগী,	
shaarthe,	সার্থে,	স্বার্থে,	
maithili,	মৈথিলি,	মৈথিলি,	
jackey,	জ্যাকি,	জকি,	
sangkoolan,	সংকুলন,	সংকুলান,	
kloud,	ক্লাউড,	ক্লাউড,	
prastutkarak,	প্রস্তুতকারক,	প্রস্তুতকারক,	
nirvahi,	নির্বাহী,	নির্বাহি,	
naitikbhabey,	নৈতিকভাবে,	নৈতিকভাবে,	
karmokarke,	কর্মকারকে,	কর্মকারকে,	
ekroop,	একরুপ,	একরূপ,	
ejenda,	এজেন্ড,	এজেন্ডা,	
ganona,	গণনা,	গণনা,	
bhaandaar,	ভান্ডার,	ভাণ্ডার,	
kodti,	কদটি,	কোডটি,	
royalty,	রোয়েটি,	রয়্যালটি,	
bhaisoho,	ভাইসহ,	ভাইসহ,	
satarkata,	সর্তকতা,	সতর্কতা,	
aro,	আরো,	আরও,	
kaando,	কান্ড,	কাণ্ড,	
atitkaale,	অতীতকালে,	অতীতকালে,	
muladi,	মুলাদি,	মুলাদি,	
kishti,	কিস্টি,	কিস্তি,	
silvar,	সিলভার,	সিলভার,	
elakatikey,	এলাকাটিকে,	এলাকাটিকে,	
buffar,	বুফার,	বাফার,	
jetam,	জেটাম,	যেতাম,	
podarthobid,	পদার্থবিদ,	পদার্থবিদ,	
chhatogolpe,	ছোটোগল্পে,	ছোটগল্পে,	
ongshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
hajaribag,	হাজারিবাগ,	হাজারিবাগ,	
madhoori,	মাধুরি,	মাধুরী,	
grambaashio,	গ্রামবাসীও,	গ্রামবাসীও,	
shcholastic,	স্কলস্টিক,	স্কলাস্টিক,	
gaadhaa,	গাধা,	গাধা,	
oshthad,	অস্থাদ,	ওস্তাদ,	
melobborne,	মেলাব্র্নে,	মেলবোর্নে,	
hol,	হল,	হোল,	
mohajot,	মহাজত,	মহাজোট,	
inapharameeshana,	ইনফররসমেশন,	ইনফরমেশন,	
