siitei,	সিতেই,	শীতেই,	
jins,	জিন্স,	জিন্স,	
upobashii,	উপবাশী,	উপবাসী,	
jotharthovabey,	যথার্থভাবে,	যথার্থভাবে,	
dharabahikbhabe,	ধারাবাহিকভাবে,	ধারাবাহিকভাবে,	
slatgulor,	স্ল্যাটগুলোর,	স্ল্যাটগুলোর,	
nathivukta,	নাথিভুক্ত,	নথিভুক্ত,	
sausagee,	সৌসগে,	সসেজ,	
kichudinpar,	কিছুদিনপর,	কিছুদিনপর,	
provritike,	প্রভৃতিকে,	প্রভৃতিকে,	
aro,	আরো,	আরও,	
ekoghore,	একঘরে,	একঘরে,	
langhoner,	লঙ্ঘনের,	লংঘনের,	
antennal,	অ্যান্টেনাল,	অ্যান্টেনাল,	
rajbandi,	রাজবন্দী,	রাজবন্দী,	
nederlande,	নেদারল্যান্ডে,	নেদারল্যান্ডে,	
shahoshikatar,	শাহ্সিকাটার,	সাহসিকতার,	
anyorup,	অন্যরূপ,	অন্যরূপ,	
turbiner,	টারবিনের,	টারবাইনের,	
ipl,	আইপিএল,	আইপিএল,	
tasminer,	তাসমিনের,	তাসমিনের,	
upobasher,	উপবাশের,	উপবাসের,	
satarkatar,	সতর্কটার,	সতর্কতার,	
songbadmadhyomer,	সংবাদমাধ্যমের,	সংবাদমাধ্যমের,	
jerushalema,	জেরুশালেমা,	জেরুসালেম,	
sausage,	সৌগে,	সসেজ,	
erokomer,	এরকমের,	এরকমের,	
kaansaat,	কানসাট,	কানসাট,	
promodwara,	প্রমদ্বারা,	প্রমদ্বারা,	
protisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
bonvumi,	বনভূমি,	বনভূমি,	
jontrangshogulor,	যন্ত্রাংশগুলোর,	যন্ত্রাংশগুলোর,	
koordider,	কূর্ডিদের,	কুর্দিদের,	
prokolpogulikei,	প্রকল্পগুলিকেই,	প্রকল্পগুলিকেই,	
cloring,	ক্লোরিং,	ক্লোরিং,	
shhikara,	শিকারা,	শিকার,	
shift,	শিফ্ট,	শিফট,	
rena,	রেন,	রেনো,	
ahalya,	অহল্যা,	অহল্যা,	
besooro,	বেসৌরো,	বেসুর,	
chhooteer,	ছোটির,	ছুটির,	
debholopar,	ডেভোলপার,	ডেভলপার,	
dhandu,	ধনন্দু,	ধন্দু,	
sarjur,	সারুজ,	সরযূর,	
ancholtike,	অঞ্চলটিকে,	অঞ্চলটিকে,	
devolapar,	দেবলোপার,	ডেভলপার,	
bulan,	বুলান,	বুলান,	
neutrinoo,	নিউট্রিনো,	নিউট্রিনো,	
shikhaboudi,	শিখাবৌদি,	শিখাবৌদি,	
perry,	পেরি,	পেরি,	
romnar,	রোমনার,	রমনার,	
teunar,	তেউনার,	টিউনার,	
kanasharabheshhana,	কনশরাভেষণা,	কনসারভেশন,	
tecno,	টেকনো,	টেকনো,	
lettere,	লেটারে,	লেটারে,	
chalachchitroi,	চলচ্চিত্রই,	চলচ্চিত্রই,	
goshthiti,	গোষ্ঠিটি,	গোষ্ঠীটি,	
kash,	কাশ,	কাস,	
vugoley,	ভুগলে,	ভূগোলে,	
gandogol,	গণ্ডগোল,	গন্ডগোল,	
ashociatesh,	আশোসিয়েটস,	এসোসিয়েটস,	
jhimochchilo,	ঝিমচ্ছিল,	ঝিমোচ্ছিলো,	
sachetonvabe,	সচেতনভাবে,	সচেতনভাবে,	
dakteekiter,	ডাক্তিকীতের,	ডাকটিকিটের,	
panchbar,	পাঁচবার,	পাঁচবার,	
daaktikit,	দাক্তিকিৎ,	ডাকটিকিট,	
srk,	স্রিভিক,	শাহরুখ,	
shtona,	স্তোনা,	স্টোন,	
mukhabandha,	মুখাবন্ধ,	মুখবন্ধ,	
marri,	মারি,	ম্যারি,	
saramukhe,	সামাুখে,	সারামুখে,	
shansthagulo,	শাঁষ্ঠগুলো,	সংস্থাগুলো,	
kaalki,	কালকি,	কালকি,	
folleni,	ফলেনি,	ফলেনি,	
nirikh,	নিরিখ,	নিরিখ,	
orunima,	ওরুনিমা,	অরুণিমা,	
durgotsabe,	দুর্গতসাবে,	দুর্গোৎসবে,	
romancha,	রোমাঞ্চ,	রোমাঞ্চ,	
khude,	খোদে,	ক্ষুদে,	
nanilalke,	নানীলালকে,	ননীলালকে,	
manush,	মনুষ,	মানুষ,	
sahachke,	সহচাকে,	সাহাচকে,	
chomski,	চমস্কি,	চমস্কি,	
alaul,	আলাউল,	আলাওল,	
odeb,	ওদেব,	ওদেব,	
mukhomandaler,	মুখমন্ডলের,	মুখমণ্ডলের,	
shrimoti,	শ্রীমটি,	শ্রীমতি,	
idyi,	ইডি,	আইডিই,	
sector,	সেক্টর,	সেক্টর,	
dimbacriti,	ডিম্বাক্রিটি,	ডিম্বাকৃতি,	
toching,	তোচিং,	টোচিং,	
poscime,	পশ্চিম,	পশ্চিমে,	
shhow,	শোব,	শো,	
porizoner,	পরিজনের,	পরিজনের,	
bharotchilo,	ভারতছিল,	ভারতছিল,	
madhuri,	মধুরী,	মাধুরী,	
satarkabhabe,	সতর্কভাবে,	সতর্কভাবে,	
patrol,	পেটরোল,	পেট্রোল,	
nibondhocheler,	নিবন্ধচেলের,	নিবন্ধছেলের,	
hijrite,	হিজরিতে,	হিজরীতে,	
cheess,	চিজ,	চেস,	
korkotkraantee,	কর্কটরক্যান্তি,	কর্কটক্রান্তি,	
bonnypran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
chalachchitra,	চলচ্চিত্র,	চলচ্চিত্র,	
neemeette,	নীমতিত,	নিমিত্তে,	
ekghore,	একঘরে,	একঘরে,	
chhotogolper,	ছোটগল্পের,	ছোটগল্পের,	
uindoos,	উইন্ডুস,	উইন্ডোস,	
bujhechhila,	বুঝেছিল,	বুঝেছিল,	
nepchooner,	নেপচুনের,	নেপচুনের,	
snehban,	স্নেহবান,	স্নেহবান,	
jounatar,	যৌনতার,	যৌনতার,	
oitijhyotike,	ঐতিহ্যটিকে,	ঐতিহ্যটিকে,	
istoone,	ইস্তুনে,	স্টোন,	
sobaiderke,	সবাইদেরকে,	সবাইদেরকে,	
bikargrasta,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
nabbata,	নব্বতা,	নাব্যতা,	
joubanbatee,	যৌবনবতী,	যৌবনবতী,	
dokaangoolote,	দোকাগগুলোতে,	দোকানগুলোতে,	
jamkaalo,	জামকালো,	জমকালো,	
mukhobondho,	মুখবন্ধ,	মুখবন্ধ,	
brixfield,	ব্রিক্সিল্ড,	ব্রিক্সফিল্ড,	
jansha,	জান্শা,	জন্স,	
qraima,	ক্রাইমা,	ক্রাইম,	
plate,	প্লেইট,	প্লেটে,	
templet,	টেম্পলেট,	টেম্পলেট,	
ap,	এপি,	আপ,	
sompadon,	সম্পাদন,	সম্পাদন,	
abhiyojan,	অভিযোজন,	অভিযোজন,	
sanghar,	সঙ্ঘর,	সংহার,	
daaoon,	দাউন,	ডাউন,	
sarollo,	সরল্লো,	সারল্য,	
dupleks,	ডুপ্লেক্স,	ডুপ্লে,	
gandhariir,	গন্ধারীর,	গান্ধারীর,	
jamseder,	জামসেদের,	জামসেদের,	
aieesha,	আইশা,	আইএএস,	
adhikartai,	অধিকারতাই,	অধিকর্তাই,	
naobihar,	নাবিহার,	নৌবিহার,	
ruby,	রুবি,	রুবী,	
rca,	আরসিএ,	আরসিএ,	
bojiye,	বজিয়ে,	বজিয়ে,	
kruser,	ক্রুসের,	ক্রুশের,	
dhauto,	ধাউত,	ধৌত,	
punorabortonte,	পুনরাবর্তনটে,	পুনরাবর্তন্তে,	
europia,	ইউরোপিয়া,	ইউরোপিয়া,	
ganochin,	গণোচিন,	গণচীন,	
saria,	সারিয়া,	সরিয়া,	
cholochchitrai,	চলচ্চিত্রায়,	চলচ্চিত্রই,	
laaisens,	লেইসেন্স,	লাইসেন্স,	
firozaa,	ফিরোজা,	ফিরোজা,	
nischitobhave,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
nagarikera,	নাগরিকেরা,	নাগরিকেরা,	
ajijer,	অজিজের,	আজিজের,	
jitpur,	জিতপুরের,	জিতপুরের,	
sangram,	সংগ্রাম,	সঙ্গ্রাম,	
elaakaati,	এলাকাটি,	এলাকাটি,	
peengna,	পিনগনা,	পিংনা,	
colgirl,	কলগ্রিল,	কলগার্ল,	
orthanitike,	অর্থানীতিকে,	অর্থনীতিকে,	
moomtaj,	মোমতাজ,	মুমতাজ,	
nojder,	নজদের,	নজদের,	
bhowanipur,	ভোয়ানিপুর,	ভবানীপুর,	
nilkuthir,	নীলকুঠির,	নীলকুঠির,	
phutanta,	ফুউত্নটা,	ফুটন্ত,	
bhenise,	ভেনিসে,	ভেনিসে,	
notti,	নট্টি,	নোটটি,	
toranganj,	তোরাঙ্গঞ্জ,	তোরাবগঞ্জ,	
deefinition,	ডিফিনশশন,	ডেফিনেশন,	
favorite,	ফ্যাভোরিতে,	ফেভারিট,	
tookror,	তুকরর,	টুকরোর,	
bhardwaj,	ভর্দ্বজ,	ভরদ্বাজ,	
arthonitite,	অর্থনীতিতে,	অর্থনীতিতে,	
lajik,	লাজিক,	লজিক,	
krus,	ক্রুস,	ক্রুশ,	
projanankal,	প্রজাননকাল,	প্রজননকাল,	
sithilota,	সিথিলতা,	শিথিলতা,	
abheedhanic,	অভিভেনিক,	অভিধানিক,	
fanding,	ফ্যান্ডিং,	ফান্ডিং,	
quartar,	কোয়ার্টার,	কোয়ার্টার,	
churger,	চুর্গের,	চার্জের,	
kaleo,	কালেও,	কালেও,	
eesosiyeetasa,	ইসসিসাইত,	এসোসিয়েটস,	
chhuteer,	ছুতির,	ছুটির,	
parshwer,	পার্শ্বের,	পার্শ্বের,	
mohajote,	মহাজতে,	মহাজোট,	
dosha,	দোষা,	দোসা,	
salmaner,	সালমানের,	সালমানের,	
orthanitir,	অর্থানীটির,	অর্থনীতির,	
machhti,	মাছটি,	মাছটি,	
natshi,	নাৎশি,	নাত্সি,	
silabhara,	সিলাভারা,	সিলভার,	
literacy,	লিটারেসি,	লিটারেসি,	
nirvachaker,	নির্ভচাকের,	নির্বাচকের,	
uddhritto,	উদ্ধৃত্ত,	উদ্ধৃত,	
kaash,	কাশ,	কাস,	
bohudin,	বহুদিন,	বহুদিন,	
uddhritir,	উদ্ধৃতির,	উদ্ধৃতির,	
indra,	ইন্দ্রা,	ইন্দ্র,	
sosoa,	সোসোয়া,	শশা,	
poketchorder,	পকেটচর্ের,	পকেটচরদের,	
norfolk,	নরফলক,	নরফোক,	
aviyojan,	অভিযোজন,	অভিযোজন,	
edmeeral,	এডলিরাল,	এডমিরাল,	
stoic,	স্টইক,	স্টোয়িক,	
zaire,	জাইরে,	জাইরে,	
shuperheiro,	শুপেরহেরেও,	সুপারহিরো,	
jaaygata,	জায়গাতা,	জায়গাটা,	
hattey,	হ্যাটে,	হাঁটতে,	
dhhaabi,	ঢাবি,	ঢাবি,	
shrichaitanyadev,	শ্রীচৈতন্যাদেভ,	শ্রীচৈতন্যদেব,	
korijachilen,	করিযাছিলেন,	করিযাছিলেন,	
orrgho,	অর্ঘ,	অর্ঘ্য,	
sift,	সিফ্ট,	শিফট,	
aireshe,	আইরেশে,	আইরেসে,	
duhsthanostho,	দুঃস্থানস্থ,	দুঃস্থানস্থ,	
husni,	হুসনি,	হুসনি,	
krema,	ক্রেম,	ক্রাইম,	
varote,	ভারোতে,	ভারতে,	
torkarite,	তর্কারিতে,	তরকারিতে,	
weelcomee,	বইলকমি,	ওয়েলকাম,	
byaboharkariyi,	ব্যবহারকারী,	ব্যবহারকারীই,	
nirmalata,	নির্মলতা,	নির্মলতা,	
corymb,	করিএম,	করিম,	
lahano,	লাহানো,	লাহানো,	
teoner,	তিওনার,	টিওনার,	
musolmanera,	মুসলমানেরা,	মুসলমানেরা,	
moushumei,	মৌশুমেই,	মৌসুমেই,	
bishaashke,	বিষাশকে,	বিশ্বাসকে,	
yak,	যক,	ইয়াক,	
mette,	মেটে,	ম্যাট,	
ganochien,	গণোচিয়েন,	গণচীন,	
kobutorer,	কবুতরের,	কবুতরের,	
chalochchitrogulor,	চলচচিত্রাগুলোর,	চলচ্চিত্রগুলোর,	
qirq,	কির্ক,	কার্ক,	
akram,	আকরাম,	আকরাম,	
zeebonto,	জীবন্ত,	জীবন্ত,	
bibecchyo,	বিবেচ্ছ,	বিবেচ্য,	
teter,	তেটের,	টেটের,	
oncholgulir,	অপ্চগুলির,	অঞ্চলগুলির,	
parisankhanvid,	পরিসংখ্নাভি,	পরিসংখ্যানবিদ,	
boiporiityen,	বৈপরিত্যেন,	বৈপরীত্যেন,	
laiseensim,	লাইসিনসিং,	লাইসেন্সিং,	
deh,	দেহ,	দেহ্,	
harbare,	হরবারে,	হারবারে,	
ivil,	ইভিল,	ইভিল,	
kormoke,	কর্মকে,	কর্মকে,	
malinga,	মালিঙ্গা,	মালিংগা,	
pratijogider,	প্রততযোগীদের,	প্রতিযোগীদের,	
rajbondir,	রাজবন্দির,	রাজবন্দীর,	
carzar,	কার্জার,	চার্জার,	
sahapathike,	সহপাঠিকে,	সহপাঠীকে,	
jotota,	যতটা,	যতোটা,	
balokarak,	বালকারাক,	বলকারক,	
sangbadmadhyome,	সংবাদমাধ্যমে,	সংবাদমাধ্যমে,	
zarniz,	জার্নিজ,	জারনিজ,	
bee,	বিআই,	বি,	
turkeyder,	তার্কেয়েদের,	তুর্কিদের,	
doorotaumo,	ডরোতাও,	দূরতম,	
purohitra,	পুরোহিত্র,	পুরোহিতরা,	
naper,	নেপার,	ন্যাপের,	
laicenshe,	লেইসেন্স,	লাইসেন্স,	
simantarkkhibahinir,	সীমান্তরক্ষিমারিনীর,	সীমান্তরক্ষীবাহিনীর,	
zoojyota,	যোজ্যতা,	যোজ্যতা,	
indrakanan,	ইন্দ্রকোনন,	ইন্দ্রকানন,	
adbhanced,	অ্যাডভান্ড,	অ্যাডভান্সড,	
vejjanno,	ভেজ্ঞানন,	ভেজানো,	
zerusaleme,	জেরুসালেমে,	জেরুসালেমে,	
elakasoho,	এলাকাসহ,	এলাকাসহ,	
bangalore,	বাঙ্গালোর,	ব্যাঙ্গালুরে,	
rudrasagar,	রুদ্রাসাগর,	রুদ্রসাগরের,	
monroe,	মনরো,	মনেরোর,	
amburi,	অম্বুরি,	আম্বুরি,	
goonoman,	গুনমান,	গুণমান,	
dharmantor,	ধর্মান্তর,	ধর্মান্তর,	
confliqt,	কনফ্লিক,	কনফ্লিক্ট,	
toptoshele,	তপ্তশেলে,	তপ্তশেলে,	
tolemy,	তলেমি,	টলেমির,	
sarsa,	সারসা,	সোর্স,	
dorgaaho,	দর্গাহ,	দরগাহ,	
hool,	হুল,	হুল,	
dibug,	দিবুগ,	ডিবাগ,	
sqalarashipa,	স্কলারশিপ,	স্কলারশিপ,	
alpa,	আলপা,	অল্প,	
as,	এ্য,	অস,	
dephinishion,	ডেফিশীনন,	ডেফিনেশন,	
fibergulote,	ফাইবারগুলোতে,	ফাইবারগুলোতে,	
angkita,	অঙ্কিত,	অঙ্কিতা,	
pariyech,	পারিয়েছ,	পরিয়েছ,	
saom,	সাওম,	সাওম,	
panthar,	পান্থার,	পন্থার,	
gronthowo,	গ্রন্থবও,	গ্রন্থও,	
bulichev,	বুলিছেভ,	বুলিচেভ,	
pujito,	পুজিত,	পুজিত,	
touraat,	তাউরাত,	তওরাত,	
modyer,	মদ্যের,	মদ্যের,	
smarok,	স্মারক,	স্মারক,	
khaaneker,	খানেকের,	খানেকের,	
prakalpoguli,	প্রকা্পলগুলি,	প্রকল্পগুলি,	
licencer,	লাইসেন্সের,	লাইসেন্সের,	
okkhorke,	অক্ষরকে,	অক্ষরকে,	
sangaskritipreme,	সংস্কৃতিপ্রেমে,	সংস্কৃতিপ্রেমে,	
asamorik,	আসামরিক,	অসামরিক,	
deqe,	দেকে,	ডেকে,	
kathmandute,	কাঠমন্ডুতে,	কাঠমান্ডুতে,	
pratisthasaho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
nirbahi,	নির্বাহী,	নির্বাহি,	
debeting,	ডেভিটিং,	ডিবেটিং,	
kuthibarike,	কুঠিবারীকে,	কুঠিবাড়ীকে,	
sipa,	সিপ,	শিপ,	
abdi,	আবদদি,	অব্দি,	
jansa,	জানসা,	জন্স,	
hajeerhatt,	হাজেরহাউট,	হাজিরহাট,	
siddhante,	সিদ্ধান্তে,	সিদ্ধান্তে,	
raagei,	রাগেই,	রাগেই,	
kraanti,	ক্রান্টি,	ক্রান্তি,	
jinsa,	জিনসা,	জিন্স,	
bhikkharthe,	ভিক্ষার্থে,	ভিক্ষার্থে,	
probhritike,	প্রভৃতিকে,	প্রভৃতিকে,	
cheento,	চিনততো,	চিনতো,	
alsaar,	আলসার,	আলসার,	
dong,	ডন,	ডং,	
kanshater,	কানশাটের,	কানসাটের,	
koyekbare,	কয়েকবারে,	কয়েকবারে,	
soinyo,	সৈন্য,	সৈন্য,	
baikalyo,	বাইকাল্য,	বৈকল্য,	
kailashrao,	কৈলাশরাও,	কৈলাশরাও,	
mosjidtir,	মসজিদটির,	মসজিদটির,	
moushum,	মৌশুম,	মৌসুম,	
skolastik,	স্কলাস্তিক,	স্কলাস্টিক,	
pacchi,	পাচচি,	পাচ্ছি,	
ancholsaha,	আঞ্চলসহ,	অঞ্চলসহ,	
soteciety,	সোটেসিটি,	সোসাইটিতে,	
balakarak,	বালাকারক,	বলকারক,	
sumita,	সুমিতা,	সুমিতা,	
meloonborroner,	মেলবুনরণেের,	মেলবোর্নের,	
dokan,	দোকান,	দোকান,	
hastantar,	হস্তান্তর,	হস্তান্তর,	
shasonamoleri,	শাসনমমলেরই,	শাসনামলেরই,	
kachhakaachhi,	কাচাকাছি,	কাছাকাছি,	
ala,	আলা,	আলা,	
dojo,	ডোজ,	ডোজো,	
tintir,	তিনটির,	তিনটির,	
peethey,	পিথে,	পীঠে,	
attacharito,	অট্যাচারিত,	অত্যাচারিত,	
jens,	জেন্স,	জিন্স,	
neshnosh,	নেশনোষ,	নেশনস,	
wedanta,	উয়েদান্ট,	বেদান্ত,	
stagecraft,	স্টেজাক্রাফটট্,	স্টেজক্রাফট,	
mitrota,	মিত্রটা,	মিত্রতা,	
parishram,	পরিশ্রম,	পরিশ্রম,	
hariken,	হরিকেন,	হ্যারিকেন,	
muktilav,	মুকতিলাভ,	মুক্তিলাভ,	
durgatsabe,	দুর্গাৎসবে,	দুর্গোৎসবে,	
tapdei,	তাপদেই,	তাপড়েই,	
aalaa,	আলালা,	আলা,	
prithibir,	পৃথিবীর,	পৃথবীর,	
aasar,	আসার,	আসর,	
udyem,	উদ্যেম,	উদ্যেম,	
gatibege,	গতিবেগে,	গতিবেগে,	
ponchaashjon,	পঞ্চাশজন,	পঞ্চাশজন,	
trutimatra,	ত্রুতিমাত্র,	ত্রুটিমাত্র,	
alaol,	আলাউল,	আলাওল,	
bosoben,	বোববেন,	বসবেন,	
sanaktakaran,	সনক্তকরণ,	সনাক্তকরণ,	
chatrorai,	ছাত্ররাই,	ছাত্ররাই,	
baugey,	বাউগে,	বাগে,	
aagera,	আগেরা,	আগোরা,	
jetam,	জেতাম,	যেতাম,	
kagbeni,	কাগবেনি,	কাগবেনি,	
chhuteete,	ছুটিতে,	ছুটিতে,	
dokkhinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
pettern,	পেটার্ন,	প্যাটার্ন,	
bhaibon,	ভাইবন,	ভাইবোন,	
lagche,	লাগছে,	লাগছে,	
jahara,	জাহারা,	যাহরা,	
oblivion,	অব্লিভিন,	অবলিভিয়ন,	
batikromi,	বাতিক্রমি,	ব্যতিক্রমী,	
rohosyo,	রহস্য,	রহস্য,	
baieq,	বিইয়েক,	বাইক,	
heelser,	হিলসের,	হিলসের,	
lekhaksattwar,	লেখকসত্ত্বার,	লেখকসত্ত্বার,	
shanno,	শান্নো,	সান্নো,	
nagorikra,	নাগোরিকরা,	নাগরিকরা,	
byaboharkarir,	ব্যবহারকারীর,	ব্যবহারকারীর,	
shilpajata,	শিল্পজাতা,	শিল্পজাত,	
rajendracholer,	রাজেন্দ্রচালের,	রাজেন্দ্রচোলের,	
uparjoner,	উপার্যনের,	উপার্জনের,	
batikromshalee,	বাতিক্রমশললী,	ব্যতিক্রমধর্মী,	
parka,	পররক,	পার্ক,	
sweety,	স্বিতি,	সুইটি,	
lyandim,	ল্যান্ডিম,	ল্যান্ডিং,	
swadesh,	স্বদেশ,	স্বদেশ,	
zonsa,	জনসস,	জোন্স,	
naitikatavodh,	নৈতিকতাবোধ,	নৈতিকতাবোধ,	
antarctica,	অ্যান্ট্রাকটিকা,	অ্যান্টার্কটিকা,	
amittrakkhor,	অমিত্রাক্ষর,	অমিত্রাক্ষর,	
rajtantrey,	রাজতন্ত্রে,	রাজতন্ত্রে,	
tistar,	তিস্তার,	তিস্তার,	
ovidhanik,	অভিধানিক,	অভিধানিক,	
qarqa,	কার্ক,	কার্ক,	
thailand,	থাইল্যান্ড,	থাইল্যান্ড,	
irish,	ইরিশ,	আইরিস,	
taderek,	তাদেরেক,	তাদেরেক,	
durtomo,	দূর্তম,	দূরতম,	
steeit,	স্টিট,	স্টেইট,	
miitar,	মিতার,	মিত্র,	
nirmol,	নির্মল,	নির্মল,	
antarbhutto,	অন্তর্ভূত্ত,	অন্তর্ভুক্ত,	
bakhyateet,	ব্যাখ্যিত,	ব্যাখ্যাতীত,	
moshjidke,	মশজিদকে,	মসজিদকে,	
anchalgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
jocqey,	জককে,	জকি,	
samaptir,	সমাপ্তির,	সমাপ্তির,	
uddharkarmirai,	উদ্ধারকর্মীরাই,	উদ্ধারকর্মীরাই,	
tookrote,	তুকরোতে,	টুকরোতে,	
srichoitonnodeb,	শ্রীচৈতন্যদেব,	শ্রীচৈতন্যদেব,	
sobchey,	সবে,	সবচে,	
salsa,	সালসা,	সালসা,	
audioguloke,	অডিওগুলোকে,	অডিওগুলোকে,	
ponthaar,	পন্থার,	পন্থার,	
kormokarer,	কর্মকারের,	কর্মকারের,	
phutonta,	ফুটনটা,	ফুটন্ত,	
shaater,	সাতের,	শ্যুটার,	
hazat,	হাজাত,	হজত,	
rata,	রাতা,	রত,	
dorneca,	ডর্নকক,	ডরনেকা,	
atmira,	আতমিরা,	আত্মীরা,	
chirkut,	চিরকুট,	চিরকুট,	
harbur,	হাবুর,	হারবার,	
naabyota,	নব্যতা,	নাব্যতা,	
bikretaara,	বিক্রেতারা,	বিক্রেতারা,	
digree,	দিগ্রি,	ডিগ্রি,	
chhootochhuti,	ছোটথচুটি,	ছুটোছুটি,	
rajashri,	রাজশ্রী,	রাজশ্রী,	
mokhmoley,	মখমলে,	মখমলে,	
codeti,	কোডেটি,	কোডটি,	
brail,	ব্রেইল,	ব্রেইল,	
registrikrito,	রেজিস্ট্রিকৃত,	রেজিস্ট্রীকৃত,	
besirbhaagi,	বেসিরভাগী,	বেশিরভাগই,	
poschimey,	পশ্চিমে,	পশ্চিমে,	
utsahamulak,	উৎসমূহলৎ,	উৎসাহমূলক,	
chitlar,	চিতলার,	চিতলার,	
societytey,	সোশাটিটি,	সোসাইটিতে,	
upbasher,	উপবাশের,	উপবাসের,	
utsahi,	উৎসাহী,	উৎসাহী,	
futonta,	ফুটনটা,	ফুটন্ত,	
oncholshomuh,	অঞ্চসমূহ,	অঞ্চলসমূহ,	
vaider,	ভাইদের,	ভাইদের,	
thechar,	থেচার,	থ্যাচার,	
taap,	টাপপ,	ট্যাপ,	
akhando,	আখান্ড,	অখন্ড,	
temone,	তেমোনে,	তেমনই,	
daltyagi,	দল্ত্যগী,	দলত্যাগী,	
louhojato,	লৌহজাত,	লৌহজাত,	
santaa,	সান্তা,	সান্তা,	
rohasyati,	রহস্যাটি,	রহস্যটি,	
skolarsip,	স্কোলারসিপ,	স্কলারশিপ,	
weenis,	উইনিস,	ভেনিস,	
samajeek,	সমাজিক,	সামাজিক,	
gingbhalobasen,	গিংভালাবসেন,	গিংভালোবাসেন,	
chaiten,	চাইতেন,	চাইতেন,	
adhyatmikata,	আধ্যাত্মিকতা,	আধ্যাত্মিকতা,	
emarjensi,	এমারজেন্সি,	এমার্জেন্সি,	
sombhobonaao,	সম্ভবনাও,	সম্ভবনাও,	
dipon,	দিপন,	দীপন,	
bolechile,	বলেছিলে,	বলেছিলে,	
meropenemer,	মেরোপেনেমের,	মেরোপেনেমের,	
masjidke,	মাসজিদকে,	মসজিদকে,	
rajnaiteek,	রাজনৈতিক,	রাজনৈতীক,	
hooldim,	হুল্ডিং,	হোল্ডিং,	
hypar,	হাইপার,	হাইপার,	
lakshmir,	লক্ষ্মীর,	লক্ষ্মীর,	
deilee,	দেইলী,	ডেইলি,	
panchasjan,	পঞ্চসাজন,	পঞ্চাশজন,	
onurbar,	অনুর্বার,	অনুর্বর,	
daap,	ডাইপ,	ড্যাপ,	
tatey,	তাতে,	তাতে,	
khali,	খালি,	খালি,	
bostubad,	বস্তুবাদ,	বস্তুবাদ,	
vaticaner,	ভ্যাটিকেনের,	ভ্যাটিকানের,	
ruptan,	রাপটান,	রূপটান,	
baibosthar,	বৈবস্থার,	ব্যবস্থার,	
choukato,	চৌকাত,	চৌকাত,	
rohasyer,	রহাস্যের,	রহস্যের,	
janagononar,	জানোগনার,	জনগণনার,	
anisa,	আনিসা,	আনিস,	
platform,	প্ল্যাটফর্ম,	প্লাটফর্ম,	
nikate,	নিকাতে,	নিকটে,	
ukeliptash,	উকেলিপ্টাশ,	ইউক্যালিপ্টাস,	
shoodhooi,	সৌধই,	শুধুই,	
gaje,	গাজে,	গেজ,	
asovyo,	অসভ্য,	অসভ্য,	
chandrima,	চান্দ্রিমা,	চন্দ্রিমা,	
laps,	ল্যাপ,	ল্যাপস,	
ingreziteo,	ইংরেজিতেও,	ইংরেজিতেও,	
nopdnodir,	নপ্নদদির,	নদনদীর,	
annorup,	আন্নরূপ,	অন্যরূপ,	
ashamorthito,	আশামর্থিত,	অসমর্থিত,	
surakarder,	সুরকারদের,	সুরকারদের,	
lutharen,	লুথারেন,	লুথেরান,	
waal,	ওয়াল,	উল,	
cloudbook,	ক্লাউডবক,	ক্লাউডবুক,	
shector,	শেক্টর,	সেক্টর,	
siima,	সিইমা,	সীমা,	
bite,	বিতে,	বাইট,	
sylvi,	সিলভি,	সিলভি,	
kuhelika,	কুহেলিকা,	কুহেলিকা,	
nichols,	নিকোলস,	নিকলস,	
aembed,	আমম্বেদ,	এম্বেড,	
keui,	কিউ,	কেউই,	
duio,	দুইও,	দুইও,	
volapuk,	ভোলাপুক,	ভোলাপুক,	
query,	কোর,	কোয়েরি,	
hert,	হের্ট,	হার্ট,	
achintopurer,	অচিন্তপুরের,	অচিন্তপুরের,	
tukrote,	টুকরোতে,	টুকরোতে,	
soolke,	সুলকে,	শুল্কে,	
bisshas,	বিশ্বাস,	বিশ্বাস,	
shunani,	শুনানি,	শুনানী,	
female,	ফেমালে,	ফিমেল,	
dekhso,	দেখসো,	দেখসো,	
beshyasdone,	বেশ্যাসদনে,	বেশ্যাসদনে,	
dristiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
rakim,	রাকিম,	রাকিম,	
carloos,	কারলোস,	কার্লোস,	
chaudhurio,	চাধুরিও,	চৌধুরীও,	
katiusha,	কাটিয়াহা,	কাতিউশা,	
bheenisa,	ভীনিসা,	ভেনিস,	
uponeeshod,	উপনিশদ,	উপনিষদ,	
progresh,	প্রজগরেশ,	প্রগ্রেস,	
scholars,	স্কোলারস,	স্কলার্স,	
pathanatak,	পাঠানাটক,	পথনাটক,	
poddhotitei,	পদ্ধতিতেই,	পদ্ধতিতেই,	
aqram,	আকরাম,	আকরাম,	
proshikkhane,	প্রশিক্ষণে,	প্রশিক্ষণে,	
