narsaari,	নরসারী,	নার্সারি,	
dooburira,	দুবুরীরা,	ডুবুরিরা,	
kirti,	কিরতি,	কীর্তি,	
shringge,	শ্রিং,	শৃঙ্গে,	
dikpal,	ডিকপল,	দিকপাল,	
beshakbar,	বেশাকবার,	বেশকবার,	
taatey,	তাতে,	তাতে,	
bishwaashshke,	বিশ্বশককে,	বিশ্বাসকে,	
parqim,	পারকিম,	পার্কিং,	
dovaar,	দোভার,	ডোভার,	
saria,	সরিয়া,	সরিয়া,	
becha,	বেচা,	বেচা,	
amudey,	আমুদে,	আমুদে,	
shloker,	শ্লোকের,	শ্লোকের,	
gobeshonar,	গোবেশনার,	গবেষনার,	
seebiai,	সিবিয়াই,	সিবিআই,	
promodwara,	প্রমদ্বারা,	প্রমদ্বারা,	
daacktickete,	ডাযাক্টিকেট,	ডাকটিকিটে,	
nirbahi,	নির্বাহী,	নির্বাহি,	
wishnu,	উশ্নু,	বিষ্ণু,	
nathibhuktir,	নথিভুক্তির,	নথিভুক্তির,	
adhikartai,	আধিকার্তাই,	অধিকর্তাই,	
utsahamulak,	উৎসাহূলক,	উৎসাহমূলক,	
enamela,	এনামেলা,	এনামেল,	
daakticketer,	ড্যাক্টিকেটের,	ডাকটিকিটের,	
dharavassokar,	ধরভাসকার,	ধারাভাষ্যকার,	
ganochin,	গাঁচোছিন,	গণচীন,	
scuvi,	স্কুভভি,	স্কুভি,	
amiya,	আমিয়া,	অমিয়,	
cheerokoomari,	চিরোকারীরা,	চিরকুমারী,	
shardotsobei,	শার্দতসবেই,	শারদোৎসবেই,	
mumtazer,	মুমতাজের,	মুমতাজের,	
niketaner,	নিকেতানের,	নিকেতনের,	
asovya,	অসোভ্যা,	অসভ্য,	
plate,	প্লেটে,	প্লেট,	
jyesttha,	জ্যেস্থা,	জ্যেষ্ঠা,	
choritrotakeo,	চরিত্রকাতেও,	চরিত্রটাকেও,	
lungiti,	লুঙ্গিটি,	লুঙ্গিটি,	
booksar,	বুক্সার,	বুক্সার,	
konnoder,	কন্নদের,	কন্যদের,	
ceramicer,	সেরামিকের,	সিরামিকের,	
nirobota,	নিরবতা,	নিরবতা,	
byke,	বিকে,	বাইক,	
bharotiyotar,	ভারতিয়তার,	ভারতীয়তার,	
khanabale,	খানাবালে,	খানাবলে,	
nirbahe,	নির্বহে,	নির্বাহে,	
aporishodhito,	অপরিরিষিত,	অপরিশোধিত,	
ponchaashjon,	পঞ্চাঞ্শন,	পঞ্চাশজন,	
cloudbook,	ক্লাওবক,	ক্লাউডবুক,	
carlo,	কার্লো,	কার্লো,	
mousumeo,	মৌসুমেও,	মৌসুমেও,	
uzobekeestaan,	উজবেক্তাশন,	উজবেকিস্তান,	
khoka,	খোকা,	খোকা,	
phood,	ফুড,	ফুড,	
mozdoor,	মজদুর,	মজদুর,	
weelcomee,	উইলমোমি,	ওয়েলকাম,	
cholochchitratike,	চলচ্চতারিতাকে,	চলচ্চিত্রটিকে,	
hojurer,	হোুরের,	হজুরের,	
bojiye,	বোজিয়ে,	বজিয়ে,	
akmato,	আক্মাতো,	একমত,	
somoodrotote,	সমদ্রতে,	সমুদ্রতটে,	
pranidero,	প্রানিদেরও,	প্রানীদেরও,	
israelbahini,	ইস্রাবেনী,	ইস্রায়েলবাহিনী,	
gitikobita,	গিতিকিবতা,	গীতিকবিতা,	
uchchotara,	উচ্চতারা,	উচ্চতর,	
elakatikay,	এলাকাটিকায়,	এলাকাটিকে,	
onucheeder,	অনুচিদের,	অনুচ্ছেদের,	
subader,	সুবাদের,	সুবাদে,	
baibasthaar,	বৈবাস্তার,	ব্যবস্থার,	
unitgulo,	আনিতগুলো,	ইউনিটগুলো,	
majlishpur,	মজ্লিশপুর,	মজলিশপুর,	
ponchaasjon,	পঞ্চাঞ্শন,	পঞ্চাশজন,	
orhan,	ওরহান,	ওরহান,	
mawdeel,	মাউদিল,	মডেল,	
suhayeler,	সুহায়ালের,	সুহায়েলের,	
dwipke,	দিপিপে,	দ্বীপকে,	
juktarashtrasaha,	যুক্রাত্রস্ত,	যুক্তরাষ্ট্রসহ,	
mmehonoti,	ম্মেহোনটি,	মেহনতি,	
canflikt,	ক্যানফলিক্ট,	কনফ্লিক্ট,	
caramiks,	ক্যারামিক্স,	সিরামিকস,	
abhidhaaner,	অভিধানের,	অভিধানের,	
somraatder,	সোমরাতদদের,	সম্রাটদের,	
chhuti,	ছুটি,	ছুটি,	
gandhike,	গাণধিকে,	গান্ধীকে,	
poriikkhateo,	পরিক্ষেতাও,	পরীক্ষাতেও,	
sip,	সিপ,	শিপ,	
metropalitana,	মেত্রপোলিনানা,	মেট্রোপলিটন,	
jati,	জাতি,	যাতি,	
chikkingsasoho,	চিক্সংহাসহ,	চিকিংসাসহ,	
bipradas,	বিপ্রদাস,	বিপ্রদাস,	
ched,	চেড,	ছেদ,	
mausumeo,	মৌসুমেও,	মৌসুমেও,	
utpotti,	উৎপ্তটি,	উতপত্তি,	
shansthaner,	শানস্থানের,	সংস্থানের,	
pariyech,	পারিয়েছ,	পরিয়েছ,	
bisheshyo,	বিশেষ্য,	বিশেষ্য,	
dekaner,	ডেকানের,	দেকানের,	
angshogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
shrabasti,	শ্রবাস্তি,	শ্রাবস্তী,	
chintamani,	চিন্তমানি,	চিন্তামনি,	
miraqela,	মিরাকেলা,	মিরাকেল,	
angsogrohone,	অ্যাংস্যগ্রনে,	অংশগ্রহনের,	
prapokkey,	প্রাপকে,	প্রাপককে,	
ekekrokom,	একেক্রম,	একেকরকম,	
olympic,	অলিমপিক,	অলিম্পিক,	
bhagno,	ভাগননও,	ভগ্ন,	
jakatke,	জাকাতকে,	যাকাতকে,	
prachirer,	প্রাচিরের,	প্রাচিরের,	
poribahokotto,	পরিবাহক্ত,	পরিবাহকত্ব,	
shatokeo,	শাতোকেও,	শতকেও,	
ponera,	পোনেরা,	পনের,	
nirbaahe,	নির্বাহে,	নির্বাহে,	
sorsa,	সোরসা,	সোর্স,	
boner,	বনের,	বনের,	
russad,	রুস্াদ,	রুশদ,	
teenisa,	তিনিসা,	টেনিস,	
ogovir,	ওগভির,	অগভীর,	
alpakichudin,	আল্পাচিপিদিন,	অল্পকিছুদিন,	
nopdnodir,	নপ্দোনির,	নদনদীর,	
karadandey,	করদান্দেই,	কারাদণ্ডে,	
bbiseshyer,	ব্শিশেযের,	বিশেষ্যের,	
saralya,	সরল্য,	সারল্য,	
khudrokar,	ক্ষুদ্রকার,	ক্ষুদ্রকার,	
baet,	বেইত,	বাইট,	
apolokbhabe,	অপললকাবে,	অপলকভাবে,	
anyorup,	অন্রুূপ,	অন্যরূপ,	
zesa,	জেসা,	জেস,	
horeepur,	হরিপুর,	হরিপুর,	
flirt,	ফ্লিস্টার,	ফ্লার্ট,	
anutpadanshil,	অনুত্দন্শীলী,	অনুৎপাদনশীল,	
siddhantei,	সিদ্ধান্তেই,	সিদ্ধান্তেই,	
besur,	বেসুর,	বেসুর,	
nabayug,	নবায়ুগ,	নবযুগ,	
bandhano,	বা্ধানও,	বাঁধানো,	
daaun,	দাউন,	ডাউন,	
ujobekeestan,	উজবেক্তান,	উজবেকিস্তান,	
mekapgulo,	মেকাপগুলো,	মেকআপগুলো,	
elakatike,	এলাকাটিকে,	এলাকাটিকে,	
roopdaan,	রূপডান,	রুপদান,	
samoshtigato,	সমস্তিগত,	সমষ্টিগত,	
daraider,	দারাইদের,	দরাইদের,	
nirmolota,	নির্মলতা,	নির্মলতা,	
chiraharit,	চিরহরিত,	চিরহরিৎ,	
swasthohinotay,	স্বাস্থ্িতিয়া,	স্বাস্থ্যহীনতায়,	
uporzon,	উপর্জন,	উপার্জন,	
satarkokari,	সতরকরকারী,	সতর্ককারী,	
prrajanankaal,	প্রজানকাল,	প্রজননকাল,	
janamukhi,	জানমুখু,	জনমুখী,	
chomski,	চম্সককি,	চমস্কি,	
omarader,	ওমারাদের,	ওমারাদের,	
myat,	ম্যাট,	ম্যাট,	
bhardwaj,	ভর্দবাজ,	ভরদ্বাজ,	
stagecraft,	স্টেক্যাফ্রাক্ট,	স্টেজক্রাফট,	
domonmulok,	দমনমূলক,	দমনমূলক,	
bhenom,	ভেনোম,	ভেনম,	
samley,	স্যালমে,	সামলে,	
baibosthaar,	বৈবস্থার,	ব্যবস্থার,	
byapoktor,	ব্যাপক্তর,	ব্যাপকতর,	
ekatto,	একাত্ত,	একাত্ব,	
rajshri,	রাজশ্রী,	রাজশ্রী,	
shashtra,	শাস্ত্র,	শাস্ত্র,	
chikitsar,	চিকিতসার,	চিকিত্সার,	
pradoshik,	প্রাদোশিক,	প্রাদশিক,	
turkii,	তুর্কী,	তুর্কি,	
chadake,	চাড়াকে,	চড়াকে,	
marathi,	মারাথি,	মরাঠি,	
shukrabab,	শুকরাবাব,	শুক্রবাব,	
banshite,	বা্শিতে,	বাঁশিতে,	
saranor,	সারানোর,	সরানোর,	
dala,	দালা,	দলা,	
geja,	জেজা,	গেজ,	
ovidhanik,	অভিধানিক,	অভিধানিক,	
ashirbadatri,	অশির্ব্রদাত্রী,	আশীর্বাদাত্রী,	
oiteejye,	ঐতিযে,	ঐতিহ্যে,	
sbajan,	স্বজান,	স্বজন,	
bulan,	বুলান,	বুলান,	
moddhyoshtho,	মধ্ধ্যস্থ,	মধ্যস্থ,	
arifin,	আরিফিন,	আরিফিন,	
taranee,	তারানি,	তরণী,	
collaborators,	কল্লাবোর্ট,	কলাবরেটরস,	
sahab,	সাহাব,	সাহাব,	
mukhomandal,	মুখমান্দল,	মুখমণ্ডল,	
deepan,	দীপান,	দীপন,	
camerapersoner,	ক্যামেরাপাসনের,	ক্যামেরাপার্সনের,	
augustine,	অগুস্টিনে,	অগাস্টিন,	
sahinsatar,	সহিনসতার,	সহিংসতার,	
epiela,	এপিয়ালা,	আইপিএল,	
bayshorkarikarone,	বাশকরকারণী,	বেসরকারিকরণ,	
bachhaikrito,	বাছাইকৃত,	বাছাইকৃত,	
machhti,	মাছতি,	মাছটি,	
konorup,	কোনোরূপ,	কোনরূপ,	
shikshakbrindo,	শিক্শাকৃৃন্দ্ত,	শিক্ষকবৃন্দ,	
eshtonia,	এস্টোনিয়া,	এস্তোনিয়া,	
durgotshob,	দুর্গতব,	দুর্গোৎসব,	
lesense,	লেসেনস,	লাইসেন্স,	
nichupattir,	নিচুপত্তির,	নিচুপট্টির,	
veemsen,	ভিমসেন,	ভীমসেন,	
jyesthaa,	জেষ্ঠা,	জ্যেষ্ঠা,	
bo,	বোআর,	বু,	
chhutir,	ছুটির,	ছুটির,	
paramartha,	পরমর্থা,	পরমার্থ,	
firozapure,	ফিরোজুপের,	ফিরোজাপুরে,	
cheef,	চিফ,	শেফ,	
shatoke,	শাতোকে,	শতকে,	
temone,	তেমোনে,	তেমনই,	
maunchostho,	মাঁচোষ্ঠ,	মঞ্চস্থ,	
osomorthito,	অসমর্থিত,	অসমর্থিত,	
somosto,	সমস্ত,	সমস্ত,	
pustir,	পুস্টির,	পুষ্টির,	
haridware,	হরিদ্বরে,	হরিদ্বারে,	
orrgho,	অর্ঘর,	অর্ঘ্য,	
disni,	দিসনি,	ডিজনী,	
udvaboney,	উদভাবনে,	উদ্ভাবনে,	
shattoki,	শাত্তকী,	সাত্যকি,	
commissionvogider,	কমিিসনিভোগের,	কমিশনভোগীদের,	
kul,	কুল,	কুল,	
templet,	টেম্পলেট,	টেম্পলেট,	
bojhey,	বোঝে,	বোঝে,	
nederlande,	নেডার্ডাল্ডে,	নেদারল্যান্ডে,	
nadike,	নাদিকে,	নদীকে,	
rahshahi,	রাশহাসী,	রাহশাহী,	
buth,	বুথ,	বুথ,	
bhoolapuka,	ভূলাপুকা,	ভোলাপুক,	
pothnirdeshona,	পোঠনির্ধনে,	পথনির্দেশনা,	
oswastikor,	অস্সাস্তিকর,	অস্বস্তিকর,	
elakaasoho,	এলাকাসহ,	এলাকাসহ,	
charger,	চার্গের,	চার্জার,	
padee,	পাদি,	পাড়ে,	
sachetanvabe,	সচেছানেবাবে,	সচেতনভাবে,	
bedanta,	বেদান্তা,	বেদান্ত,	
plusey,	প্লাসে,	প্লাসে,	
taigara,	তাইগারা,	টাইগার,	
tottorat,	তত্তরাট,	তওরাত,	
drissogulote,	দৃস্সগুলোতে,	দৃশ্যগুলোতে,	
bishnu,	বিশ্নু,	বিষ্ণু,	
kanthar,	কাঁথার,	কাঁথার,	
jaubankal,	জৌবানকাল,	যৌবনকাল,	
atak,	আটাক,	আটক,	
chaiten,	চাইটেন,	চাইতেন,	
kaash,	কাশ,	কাস,	
torunra,	তরুন্রা,	তরুণরা,	
zubokra,	যুবক্রা,	যুবকরা,	
sahapathike,	সহাপথথীকে,	সহপাঠীকে,	
shikshakrom,	শিকশাক্রম,	শিক্ষাক্রম,	
byaktigotovabeo,	ব্যাক্তিভোগেও,	ব্যাক্তিগতভাবেও,	
mercedes,	মার্সেড,	মার্সেডেস,	
jubokti,	যুবক্তি,	যুবকটি,	
jounatar,	যৌনাতার,	যৌনতার,	
peethey,	পিথে,	পীঠে,	
ispredsiit,	ইসপ্রেডপট,	স্প্রেডশীট,	
tennis,	টেন্িস,	টেনিস,	
pathanatak,	পাথানাক,	পথনাটক,	
shishupalgarh,	শিশুপল্রলঘ,	শিশুপালগড়ে,	
planeti,	প্লানেটি,	প্লেনটি,	
narbur,	নারবুর,	নরবুর,	
deenes,	ডিনেস,	দীনেশ,	
poorohitra,	পৌরহীত্র,	পুরোহিতরা,	
brindaboney,	ব্রিন্ডবেনে,	বৃন্দাবনে,	
jatotaa,	জাতোটা,	যতোটা,	
satyaky,	সত্যক্,	সাত্যকি,	
kakhnoba,	কাখনোবা,	কখনওবা,	
batikromi,	বাতিক্রমী,	ব্যতিক্রমী,	
anagarikra,	অনাগাকরী,	অনাগরিকরা,	
sangram,	সংগ্রাম,	সঙ্গ্রাম,	
arekdol,	আরেক্ডল,	আরেকদল,	
dhhaloor,	ঢালুর,	ঢালুর,	
aprasangikbhabei,	অপ্রসংকাবাবীকেই,	অপ্রাসঙ্গিকভাবেই,	
shekender,	শেকেন্দের,	সেকেন্ডের,	
koota,	কুটা,	কোটা,	
windo,	উইন্ডো,	উইন্ডো,	
vabuk,	ভাবুক,	ভাবুক,	
transformaarer,	ট্রানস্ফর্মের,	ট্রান্সফরমারের,	
badaghat,	বাদাঘাট,	বাদাঘাট,	
bhittitei,	ভিত্তিতেই,	ভিত্তিতেই,	
baait,	বাইত,	বাইট,	
oncholke,	অঁচলকে,	অঞ্চলকে,	
sanaktokaran,	সনক্তকরণ,	সনাক্তকরণ,	
ekshoti,	এক্ষটি,	একশোটি,	
courtcaser,	কার্টসেসের,	কোর্টকেসের,	
tateo,	তাতেও,	তাতেও,	
kanar,	কানার,	কণার,	
sampadoner,	সম্পাদনের,	সম্পাদনের,	
kadakhonchar,	কাদাখান্নর,	কাদাখোঁচার,	
madhnagar,	মধনাগর,	মাধনগরের,	
tolemy,	টোলেমি,	টলেমির,	
bharpur,	ভারপুর,	ভরপুর,	
query,	কুয়ে,	কোয়েরি,	
edmeeral,	এডিরাম,	এডমিরাল,	
obharbhiu,	অভরভাই,	ওভারভিউ,	
rahimed,	রাহিমেদ,	রহিমেদ,	
cholochchitraeeo,	চলচ্চত্রীও,	চলচ্চিত্রেও,	
protijogi,	প্রতিযোগী,	প্রতিযোগী,	
nowel,	নুয়েল,	নভেল,	
oncolsoho,	অনকোলসহ,	অঞ্চলসহ,	
obosan,	অবসান,	অবসান,	
klaud,	ক্লুদ,	ক্লাউড,	
neker,	নেকের,	নেকের,	
sangitanusthane,	সংগীতাসুথানে,	সঙ্গীতানুষ্ঠানে,	
qarlosa,	কারলোসা,	কার্লোস,	
jhanjra,	ঝাঁজ্রা,	ঝাঁজরা,	
booponer,	বৌপের,	বপনের,	
kingsh,	কিংশ,	কিংস,	
talgachh,	তালগাছ,	তালগাছ,	
gandharir,	গানধারীর,	গান্ধারীর,	
humner,	হামনের,	হামনার,	
kompeeto,	কম্পিত,	কম্পিত,	
themekey,	থেমেকে,	থিমকে,	
poschime,	পশিচে,	পশ্চিমে,	
biswashi,	বিশ্বাশী,	বিশ্বাসই,	
munjur,	মুন্জুর,	মুনজুর,	
prakare,	প্রাকারে,	প্রকারে,	
byaboharkariyi,	ব্যবহারকারী,	ব্যবহারকারীই,	
alankorana,	আলাকর্ণা,	অলঙ্করণ,	
pratiyogitar,	প্রতিযোগতির,	প্রতিযোগীতার,	
gorrer,	গোর্র,	গোরের,	
sahachke,	সহাচ্ছে,	সাহাচকে,	
tochhnochh,	তচ্ছচ,	তছনছ,	
darji,	দারজি,	দরজি,	
hisabagyan,	হিসবব্যাঞ্জন,	হিসাবজ্ঞান,	
maudelti,	মাডেলটি,	মডেলটি,	
atighataner,	অতিঘাতানের,	অতিঘটনের,	
nathivukteer,	নথিভুক্তির,	নথিভুক্তির,	
pare,	পাযারে,	পাড়ে,	
marmaraa,	মারমারা,	মারমারা,	
porobortii,	পরবর্তিরই,	পরর্বতী,	
shipley,	শিপল,	শিপলে,	
chhutochhooti,	ছুটোচিটি,	ছুটোছুটি,	
abhidhaanick,	অভিধান্িক,	অভিধানিক,	
chhuteer,	ছুটির,	ছুটির,	
suri,	সুরি,	সুরি,	
ship,	শিপ,	শিপ,	
probolshoktio,	প্রবল্শক্ষিত,	প্রবলশক্তিও,	
madrasa,	মাদরাস,	মাদ্রাসা,	
godabari,	গোবাবারী,	গোদাবরী,	
chirantan,	চিরান্ত,	চিরন্তন,	
duburir,	দুবুরীর,	ডুবুরির,	
cocaine,	কোকাইন,	কোকেইন,	
rinattak,	ঋণত্টক,	ঋনাত্মক,	
windos,	উইন্ডস,	উইন্ডোস,	
gonohotyakey,	গণহত্যাকেই,	গণহত্যাকে,	
fotanor,	ফটানোর,	ফোটানোর,	
atibiplabi,	আতিবিল্বিবি,	অতিবিপ্লবি,	
harza,	হারজা,	হার্জ,	
shilver,	শিলভার,	সিলভার,	
mankisundar,	মানকিসুন্দার,	মানকিসুন্দর,	
balithubar,	বালিথুবার,	বালিথুবার,	
uparzoner,	উপার্জনের,	উপার্জনের,	
sorano,	সোরানো,	সরানো,	
achintyabhedaved,	অচিন্ত্যবেদেব,	অচিন্ত্যভেদাভেদ,	
dhani,	ধানি,	ধানি,	
fanding,	ফান্ডিং,	ফান্ডিং,	
muhaiminer,	মুহাইমিনের,	মুহাইমিনের,	
gannaprakasham,	গণ্নপ্রক্ষম,	গন্নাপ্রকাশম,	
protyokkhovabey,	প্রত্যক্ষভাবেই,	প্রত্যক্ষভাবে,	
jemy,	জেম,	জেমি,	
agora,	আগোরা,	আগোরা,	
hydrological,	হাইড্রোরিকোগাল,	হাইড্রোলজিক্যাল,	
heerani,	হিরানি,	হিরানি,	
sathik,	সাথিক,	সঠিক,	
helly,	হেল,	হিলি,	
noiteekotar,	নৈতেকোটার,	নৈতিকতার,	
aamontrito,	আমন্ত্রিত,	আমন্ত্রিত,	
joubankal,	জৌবানকল,	যৌবনকাল,	
tricksguli,	ট্রিসকগুলি,	ট্রিকসগুলি,	
selim,	সেলিম,	সেলিম,	
mase,	মাসে,	মাসে,	
expreshshion,	এক্সপ্রেশিন,	এক্সপ্রেশন,	
sadbi,	সাদবী,	সাধ্বী,	
parishram,	পরিশ্রম,	পরিশ্রম,	
desiseyer,	ডেসিসের,	ডিজিজের,	
samajeek,	সামাইক,	সামাজিক,	
rushad,	রুশাদ,	রুশদ,	
bandra,	বান্দ্রা,	বন্দীরা,	
fibergulote,	ফিবেরগুলোতে,	ফাইবারগুলোতে,	
ceramiker,	সেরামিকের,	সিরামিকের,	
chhayi,	ছাই়ি,	ছাই,	
ganosochetonota,	গণসচননতা,	গণসচেতনতা,	
nanabornobishishto,	নানবরবৃশন্ত,	নানাবর্ণবিশিষ্ট,	
probhuder,	প্রভুদের,	প্রভুদের,	
dholeshwari,	ধলেশ্বরী,	ধলেশ্বরী,	
juboke,	যুবকে,	যুবকে,	
graambaashio,	গ্রামবাশীও,	গ্রামবাসীও,	
boikalyo,	বৈকাল্য,	বৈকল্য,	
lyataa,	ল্যাটা,	ল্যাটা,	
jonmobhumitir,	জন্মভূতির,	জন্মভূমিটির,	
gaddaafee,	গাদ্ডাফ,	গাদ্দাফী,	
laaisens,	লাইনেস,	লাইসেন্স,	
nobotomo,	নবতমম,	নবতম,	
iqbalke,	ইকবালকে,	ইকবালকে,	
modele,	মডেলে,	মডেলে,	
nutaner,	নুতানের,	নূতনের,	
liaodong,	লিয়ারোডং,	লিয়াওদং,	
upobasher,	উপবাশের,	উপবাসের,	
sazanor,	সাজানোর,	সাজানোর,	
eexpreession,	ইক্সপ্রেশন,	এক্সপ্রেশন,	
anchalei,	আঁচালেই,	অঞ্চলেই,	
overholing,	ওভারহলিং,	ওভারহোলিং,	
grontho,	গ্রন্থ,	গ্রন্থ,	
puroheetder,	পুরহহেটদের,	পুরোহিতদের,	
shchalastic,	স্যাল্সিক,	স্কলাস্টিক,	
chandil,	চান্দিল,	চান্ডিল,	
uddhrito,	উদ্ধৃত,	উদ্ধৃত,	
habol,	হাবল,	হাবোল,	
golghare,	গোলঘারে,	গোলঘরে,	
basaalt,	বাসালট,	ব্যাসল্ট,	
eigulor,	এইগুলোর,	এইগুলোর,	
kinsha,	কিনশা,	কিংস,	
jibnagore,	জীবনাগোরে,	জীবননগর,	
aireshe,	আইরেশে,	আইরেসে,	
binee,	বিনি,	বেনি,	
udbhaboni,	উদ্ভাবনি,	উদ্ভাবনী,	
remission,	রেমিসিওন,	রিমিশন,	
jins,	জিনস,	জিন্স,	
gujob,	গুজব,	গুজব,	
notikotar,	নতিকতার,	নৈতিকতার,	
phuda,	ফুডা,	ফুড,	
shrabastee,	শ্রবাস্তি,	শ্রাবস্তী,	
ranangane,	রণাঙ্গানে,	রণাঙ্গনে,	
pluck,	প্লাসক,	প্ল্যাক,	
konagoolo,	কোনাগুলো,	কণাগুলো,	
ingrezeeteo,	ইংরেজিতেও,	ইংরেজিতেও,	
sookumari,	সুকুমারী,	সুকুমারী,	
hitlere,	হিটলার,	হিটলারে,	
gosthike,	গোষ্ঠীকে,	গোষ্ঠীকে,	
manjushree,	মঞ্জুশ্য,	মঞ্জুশ্রী,	
mmadhuri,	ম্যামধুরি,	মাধুরী,	
karmasampadon,	কর্মসম্পপন,	কর্মসম্পাদন,	
vittio,	ভিত্তিও,	ভিত্তিও,	
achintopurer,	অচিন্তপুরের,	অচিন্তপুরের,	
barnis,	বার্নিস,	বার্নিশ,	
bee,	বিই,	বি,	
nibeditar,	নিবেদিতার,	নিবেদিতার,	
firoza,	ফিরোজা,	ফিরোজা,	
directorate,	ডিরেক্টোটারে,	ডিরেক্টরেট,	
mohajot,	মহাজত,	মহাজোট,	
loombinee,	লুম্বিনি,	লুম্বিনী,	
venice,	ভেনিসে,	ভেনিস,	
niropekkho,	নিরপেক্ষ,	নিরপেক্ষ,	
liedtke,	লিড্টকে,	লইডটক,	
ghoor,	ঘৌর,	ঘুর,	
chalachchitroke,	চালাচ্তিরীকে,	চলচ্চিত্রকে,	
bhogni,	ভোগনি,	ভগ্নী,	
heelser,	হিলসসের,	হিলসের,	
dibug,	দিবুগ,	ডিবাগ,	
chouhate,	চৌহাতে,	চৌহাটে,	
shangkulaan,	শংকুলান,	সংকুলান,	
proteemake,	প্রতিমাকে,	প্রতিমাকে,	
barack,	বারাক্,	বারাক,	
elakaate,	এলাকাতে,	এলাকাতে,	
bhabaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
innahu,	ইন্নাহু,	ইন্নাহু,	
pratista,	প্রতিস্তা,	প্রতিষ্টা,	
samle,	সামলে,	সামলে,	
nischoy,	নিশ্য়,	নিশ্চয়,	
shaahaabiike,	শাহাইবিকে,	সাহাবীকে,	
somraatra,	সোমরাত্রা,	সম্রাটরা,	
chal,	চাল,	চাল,	
rajpur,	রাজপুর,	রাজপুর,	
shiter,	শিতের,	শীতের,	
erajyobasi,	এরাজায়াবি,	এরাজ্যবাসী,	
latsaheb,	লাতসেবে,	লাটসাহেব,	
andon,	আন্দন,	আন্দোন,	
ramchander,	রামচান্ডের,	রামচন্দরের,	
mukhbondho,	মুখবন্ধ,	মুখবন্ধ,	
mahibur,	মহিবুর,	মহিবুর,	
oitijhya,	ঐতিঝ্য,	ঐতিহ্য,	
chandanara,	চন্দনারা,	চন্দনারা,	
bhoutikeshu,	ভৌটিকেশু,	ভৌতিকেষু,	
chasee,	চাসি,	চেস,	
phaltu,	ফালতু,	ফালতু,	
baaiq,	বাইক,	বাইক,	
gaichhe,	গাইছে,	গাইছে,	
chahidapotrer,	চাহিদাপত্রের,	চাহিদাপত্রের,	
konoroop,	কনোরপপ,	কোনরূপ,	
pharmesigulote,	ফার্েসিমাগুলোতে,	ফার্মেসীগুলোতে,	
madrasi,	মাদরাসী,	মাদ্রাজি,	
shcholastic,	শ্লাক্সিক,	স্কলাস্টিক,	
rupert,	রুপার্ট,	রুপার্ট,	
sossar,	সোসসার,	সকার,	
ahong,	আহং,	অহং,	
vaphara,	ভাপারা,	বাফার,	
moshjidke,	মোশজিদকে,	মসজিদকে,	
bopoon,	বপোন,	বপন,	
ghuznavi,	ঘুজনাভি,	গজনভি,	
nojder,	নজদের,	নজদের,	
colgirl,	কলগির,	কলগার্ল,	
jegulur,	জেগুলুর,	যেগুলুর,	
vimsen,	ভিমসেন,	ভীমসেন,	
oyebjin,	ওয়েবজিন,	ওয়েবজিন,	
mandarbani,	মন্দরববানী,	মন্দারবাণী,	
modyer,	মোদ্যের,	মদ্যের,	
alonkaran,	আলোকরণ,	অলঙ্করণ,	
procharjontrogulo,	প্রচারযোগ্রগুলো,	প্রচারযন্ত্রগুলো,	
protijogiitamulok,	প্রতিজমিতগুলকক,	প্রতিযোগীতামূলক,	
prosadhaner,	প্রসাধানের,	প্রসাধনের,	
hukar,	হুকার,	হুকার,	
sheepha,	শীফা,	শেফ,	
raghubar,	রাঘুবার,	রঘুবীর,	
bahjya,	বাহজ্যা,	বাহ্য,	
byabaharkareederke,	ব্যবহারকাদে,	ব্যবহারকারীদেরকে,	
bhejaano,	ভেজাও,	ভেজানো,	
maaktoome,	মাকতামে,	মাকতুম,	
upacharjo,	উপাচার্য,	উপাচার্য,	
nagorikota,	নাগরিকতা,	নাগরিকতা,	
shakar,	শাকার,	সকার,	
foks,	ফোক্স,	ফক্স,	
bishashke,	বিশাশকে,	বিশ্বাসকে,	
faskari,	ফাক্কারী,	ফাঁসকারী,	
swostir,	স্বস্তির,	স্বস্তির,	
akhhunno,	আখুন্ন,	অক্ষুণ্ণ,	
hizriite,	হিজরিতেতে,	হিজরীতে,	
proo,	প্রোও,	প্রো,	
ekbai,	একবাই,	একবাই,	
sondhisthaponer,	সন্ধিস্থাপনের,	সন্ধিস্থাপনের,	
kobutorer,	কবুতরের,	কবুতরের,	
adwanced,	অ্যাডবাযান্ড,	অ্যাডভান্সড,	
parswer,	পার্সের,	পার্শ্বের,	
mugdha,	মুগধা,	মুগ্ধ,	
bodhukeo,	বধুকেও,	বধুকেও,	
alpa,	আলপা,	অল্প,	
mayily,	মায়িলি,	মাইলি,	
prangulo,	প্রাণগুলো,	প্রানগুলো,	
lahano,	লাহানো,	লাহানো,	
ahalya,	আহাল্য,	অহল্যা,	
marmader,	মার্মদের,	মারমাদের,	
chaudhuriyo,	চৌধুরীয়,	চৌধুরীও,	
bhujangta,	ভূজাঙ্তা,	ভুজঙ্গটা,	
muchlima,	মুচলিমা,	মুছলিমা,	
aarmstrong,	আ্যার্মস্টংর,	আর্মস্ট্রং,	
nuhas,	নুহাস,	নুহাশ,	
dhangsachchi,	ধাংস্চি,	ধ্বংসাচ্ছি,	
