shucharita,	শুচারিতা,	সুচরিতা,	
catholicbad,	ক্যাথোলিক্যাড,	ক্যাথলিকবাদ,	
harja,	হারজা,	হার্জ,	
ekhate,	এখাতে,	একহাতে,	
shekarmani,	শেকারমনি,	শেকরমানি,	
eporzonto,	এপর্জন্ত,	এপর্যন্ত,	
argead,	আরজজেড,	আর্জিদ,	
bhoolapuka,	ভূপাপুকা,	ভোলাপুক,	
sikha,	সিখা,	শিখ,	
shakar,	শাকার,	সকার,	
lekhaksattwar,	লেখকক্তত্ব,	লেখকসত্ত্বার,	
bandhubhaabaapanna,	বন্ধুবাযাবন্্্ন,	বন্ধুভাবাপন্ন,	
koruna,	করুনা,	করুণা,	
katui,	কাটুই,	কাতুই,	
ganosochetonota,	গণসচেতনতা,	গণসচেতনতা,	
parswer,	পার্স্বের,	পার্শ্বের,	
sulfatee,	সুলফাটি,	সালফেট,	
lokhindorer,	লোখিন্দরের,	লখিন্দরের,	
deares,	ডিয়ারস,	ডিআরএস,	
bishashke,	বিশাশকে,	বিশ্বাসকে,	
kada,	কাডা,	কোডা,	
rajan,	রাজান,	রাজন,	
scholarship,	স্কলারশিপ,	স্কলারশিপ,	
graambaasheeo,	গ্রামবাশাই,	গ্রামবাসীও,	
chaiten,	চাইতেন,	চাইতেন,	
dito,	দিতো,	দিতো,	
konisttha,	কনিস্ত্থা,	কনিষ্ঠ,	
kantojir,	কান্তজীর,	কান্তজির,	
cholochchitraeeo,	চলচ্ঠিত্রায়,	চলচ্চিত্রেও,	
rupert,	রুপার্ট,	রুপার্ট,	
shpredshiit,	শ্প্রেশিটি,	স্প্রেডশীট,	
choudry,	চৌড্রি,	চৌধুরী,	
anubhutimalar,	অনুভূতিমালার,	অনুভূতিমালার,	
monchosthol,	মন্চস্থল,	মঞ্চস্থল,	
beem,	বিএমএ,	বিম,	
haris,	হারিস,	হ্যারিস,	
urey,	উরেই,	ইউরি,	
neker,	নেকের,	নেকের,	
gondhe,	গন্ধে,	গন্ধে,	
tookrote,	টুকরোতে,	টুকরোতে,	
santoshpore,	সন্তঃশপরে,	সন্তোষপুর,	
shudhui,	শুধুই,	শুধুই,	
peerry,	পিরিরি,	পেরি,	
mumtajer,	মুমতাজের,	মুমতাজের,	
poriharsoho,	পরিহারসহ,	পরিহারসহ,	
holdim,	হোল্ডিম,	হোল্ডিং,	
daaradaa,	দারাদা,	দারদা,	
akkhunno,	আক্ষুণ্য,	অক্ষুণ্ণ,	
asamorik,	অসামরিক,	অসামরিক,	
plak,	প্ল্যাক,	প্ল্যাক,	
shekarone,	শেকারণে,	সেকারণে,	
kloud,	ক্লোড,	ক্লাউড,	
nirobota,	নিরোবতা,	নিরবতা,	
debholopar,	দেভোলপার,	ডেভলপার,	
dovaar,	দভভার,	ডোভার,	
niropekkho,	নিরোপেক্ষ,	নিরপেক্ষ,	
bade,	বাদে,	বাদে,	
kod,	কোড,	কোড,	
makhno,	মাখনো,	মাখনো,	
ganoporibahoner,	গণপরিবহহনের,	গণপরিবহনের,	
agomoney,	আগমনে,	আগমনে,	
chalachchitroi,	চালাচ্চিত্রই,	চলচ্চিত্রই,	
scuvi,	স্কুভি,	স্কুভি,	
bastubad,	বাস্তুবাদ,	বস্তুবাদ,	
ghumunoi,	ঘুমুনোই,	ঘুমুনোই,	
enjineers,	এনজিনির্স,	ইঞ্জিনিয়ার্স,	
nothivuktir,	নথিভুক্তির,	নথিভুক্তির,	
norfolk,	নরফলক,	নরফোক,	
shite,	শিতে,	শীতে,	
danab,	দানাব,	দানব,	
abheedhaneek,	অভিনানিক,	অভিধানিক,	
manjushree,	মঞ্জুশ্রী,	মঞ্জুশ্রী,	
sikarder,	সিকারদের,	শিকারদের,	
mukhomandaler,	মুখোমন্ডলের,	মুখমণ্ডলের,	
capsul,	ক্যাপসুল,	ক্যাপসুল,	
dibi,	ডিবি,	দিবি,	
bone,	বনে,	বনে,	
turkeyder,	টুর্কেদের,	তুর্কিদের,	
ponero,	পনেরও,	পনের,	
dorgaaho,	ঘর্গাহ,	দরগাহ,	
aosafur,	আওয়াফুর,	আওশাফুর,	
bandi,	বান্দি,	বন্দী,	
dankaan,	দাঁকান,	ডানকান,	
mahibur,	মহিবুর,	মহিবুর,	
devolapar,	দেভলাপার,	ডেভলপার,	
plator,	প্ল্যাটর,	প্লেটোর,	
karadandey,	কারাদন্ডে,	কারাদণ্ডে,	
foxer,	ফক্সের,	ফক্সের,	
sohokari,	সোহাকরী,	সহকারী,	
shudden,	শুদ্দেন,	সাডেন,	
disposes,	ডিস্পোস,	ডিসপোজেস,	
kooshumba,	কুশুমবা,	কুশুম্বা,	
sector,	সেক্টর,	সেক্টর,	
polashir,	পোলাশির,	পলাশীর,	
gopalrao,	গোপালরাও,	গোপালরাও,	
hoil,	হইল,	হইল,	
giitikobitar,	গিতিকিবাতির,	গীতিকবিতার,	
joubanbatee,	যৌবনবাতী,	যৌবনবতী,	
elaaka,	এলাকা,	এলাকা,	
musolmanera,	মুসোলমানার,	মুসলমানেরা,	
bhogiroth,	ভোগিরোথ,	ভগীরথ,	
vezano,	ভেজানো,	ভেজানো,	
emarjensi,	এমারজেন্সি,	এমার্জেন্সি,	
plato,	প্ল্যাটো,	প্লেটো,	
hansasya,	হাযাসস্যা,	হংসস্য,	
wictor,	ইইক্টর,	ভিক্টর,	
ishtone,	ইস্তোন,	স্টোন,	
stander,	স্ট্যান্ডার,	স্ট্যাণ্ডের,	
byatikrami,	ব্যতিক্রমমী,	ব্যতিক্রমী,	
israelbahini,	ইস্রালেবাহিনী,	ইস্রায়েলবাহিনী,	
duryogamoyee,	দুর্যোগায়মই,	দুর্যোগময়ী,	
balakarak,	বালাকারাক,	বলকারক,	
dreeshtiheen,	দৃষ্টিহিন,	দৃষ্টিহীন,	
rakhtokkharone,	রাক্ঠকর্ণনে,	রক্তক্ষরণে,	
moorali,	মুরালি,	মুরলী,	
musallati,	মুসললল্তি,	মুসল্লাটি,	
drissogulote,	দৃষ্যগুলোতে,	দৃশ্যগুলোতে,	
temonvabe,	তেমনভাবে,	তেমনভাবে,	
karuna,	করুনা,	করুণা,	
monur,	মনুর,	মনুর,	
kaathhaamaandu,	কথামান্দু,	কাঠমান্ডু,	
rudroke,	রুদ্রকে,	রুদ্রকে,	
codeti,	কোডেটি,	কোডটি,	
arashie,	আরাশিয়ে,	আরসিএ,	
cheentaikaree,	চিন্তাকারী,	ছিনতাইকারী,	
beshakbar,	বেশাকবার,	বেশকবার,	
ovinetar,	অভিনেটার,	অভিনেতার,	
songkoloney,	সংকলনে,	সংকলনে,	
jyaqa,	জ্যাকা,	জ্যাক,	
juktorashtreo,	যুক্তরাশ্ত্রেও,	যুক্তরাষ্ট্রেও,	
vushi,	ভুশি,	ভুষি,	
nothivukta,	নথিভুক্ত,	নথিভুক্ত,	
kinsa,	কিনসা,	কিংস,	
harishankar,	হরিষণকার,	হরিশংকর,	
prothakey,	প্রথাকে,	প্রথাকে,	
mahakabi,	মহাকাবী,	মহাকবি,	
subade,	সুবাদে,	সুবাদে,	
matorom,	মাতোরম,	মাতরম,	
shekender,	শেকেন্দের,	সেকেন্ডের,	
shiulijhra,	শিউলিঝরা,	শিউলিঝরা,	
kommandar,	কোম্মান্দর,	কমাণ্ডার,	
sharansthal,	শরনস্থল,	শরণস্থল,	
chaudhuriyo,	চৌধুরিয়,	চৌধুরীও,	
serup,	সেরুপ,	সেরূপ,	
bikargrosto,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
deliver,	ডেলিভার,	ডেলিভার,	
jewellery,	জেওয়ালির,	জুয়েলারির,	
carzar,	কারজার,	চার্জার,	
shatodha,	শতধো,	শতধা,	
postay,	পোস্টায়ে,	পোস্টে,	
oncholgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
rachonakal,	রচনাকাল,	রচনাকাল,	
akram,	আকরাম,	আকরাম,	
dhangsachchi,	ধাংসাচ্ছি,	ধ্বংসাচ্ছি,	
chetanagoto,	চেতানাগত,	চেতনাগত,	
fiksing,	ফিকসিং,	ফিক্সিং,	
patjata,	পাতজাতা,	পাটজাত,	
sambatsarkal,	সম্বততারকাল,	সম্বৎসরকাল,	
matis,	মাটিস,	ম্যাটিস,	
saainyo,	সাইন্য,	সৈন্য,	
beila,	বেইলা,	বেইলা,	
osthisondhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
tukrowti,	টুক্রোটি,	টুকরোটি,	
logotype,	লোগোটিপ,	লোগোটাইপ,	
neck,	নেক,	নেক,	
damodar,	দামোদার,	দামদর,	
swajan,	স্বজান,	স্বজন,	
murader,	মুরাদের,	মুরাদের,	
bidhirnityang,	বিধৃতিন্যাং,	বিধির্নিত্যং,	
sethai,	সেথাই,	সেথাই,	
thakeni,	থাকেনি,	থাকেনি,	
chalochchitrogulor,	চালচ্চিত্রগুলোর,	চলচ্চিত্রগুলোর,	
pet,	পেট,	পেত,	
madhabi,	মাধাবী,	মাধবী,	
toki,	টোকি,	তকি,	
laps,	ল্যাপস,	ল্যাপস,	
patochitra,	পাটচিত্র,	পটচিত্র,	
nirgomon,	নির্গমন,	নির্গমন,	
cooda,	কোডা,	কোডা,	
sangkulaan,	সংকুলান,	সংকুলান,	
tarkale,	তারকালে,	তারকালে,	
irish,	ইরিশ,	আইরিস,	
khanabale,	খানাবালে,	খানাবলে,	
ixprission,	ইক্সপিরিসন,	এক্সপ্রেশন,	
nodimaatrik,	নদিমাত্রিক,	নদীমাতৃক,	
kinto,	কিন্তো,	কিনত,	
shishu,	শিশু,	শিশু,	
phakay,	ফাকায়,	ফাকে,	
prosadhoner,	প্রসাধনের,	প্রসাধনের,	
darji,	দারজি,	দরজি,	
groth,	গ্রথ,	গ্রোথ,	
dharavahik,	ধারাবাহিক,	ধারাবাহিক,	
difinishion,	ডিফিনশন,	ডেফিনেশন,	
meghachchanno,	মেঘাচ্ছনন,	মেঘাচ্ছন্ন,	
orbeet,	অরবিত,	অরবিট,	
ganjana,	গঞ্জনা,	গঞ্জনা,	
baibasthaar,	বৈবস্থার,	ব্যবস্থার,	
byapoktor,	ব্যাপক্তর,	ব্যাপকতর,	
bibhinno,	বিভিন্ন,	বিভন্ন,	
chilona,	চিলোনা,	ছিলনা,	
dakkhinkare,	দক্ষিণকারে,	দক্ষিণকরে,	
mulyayonsapekkhe,	মূল্যয়লাপনক্ষে,	মূল্যায়নসাপেক্ষে,	
groundta,	গ্রোউন্ডটা,	গ্রাউন্ডটা,	
masjidke,	মাসজিদকে,	মসজিদকে,	
dep,	ডিপ,	ডেপ,	
dhwajbhango,	ধ্বযাভঙ্গ,	ধ্বজভঙ্গ,	
peeri,	পিরি,	পেরি,	
banglota,	বাংলোতা,	বাংলোটা,	
prokalpagulo,	প্রকলাপগুলো,	প্রকল্পগুলো,	
ostheesandhi,	অস্থানি্ধি,	অস্থিসন্ধি,	
jhumjhumita,	ঝুমঝুমিতা,	ঝুমঝুমিটা,	
bhaisaho,	ভাইসাহ,	ভাইসহ,	
daqop,	ডাকোপ,	দাকোপ,	
mukhmondole,	মুখমন্ডলে,	মুখমণ্ডলে,	
nodiitei,	নদীতেই,	নদীতেই,	
kandy,	কান্ডি,	ক্যান্ডি,	
hughkey,	হুগকে,	হিউজকে,	
mukhbondho,	মুখবন্ধ,	মুখবন্ধ,	
somraatra,	সম্রাত্র,	সম্রাটরা,	
hoteltite,	হোটেলটিতে,	হোটেলটিতে,	
basermick,	ব্যাসারমিক্,	বেসারমিক,	
crucer,	ক্রুসের,	ক্রুশের,	
vangley,	ভ্যাংলি,	ভাঙলে,	
suraaropito,	সুরারপিত,	সুরারোপিত,	
rashedul,	রাশেদুল,	রাশিদুল,	
joisttho,	জৈযস্ত্থ,	জ্যৈষ্ঠ,	
gobeshakgon,	গবেষাকগণ,	গবেষকগণ,	
dipgulote,	দিপগুলোতে,	দ্বীপগুলোতে,	
hadisti,	হাদিস্টি,	হাদিসটি,	
mugdha,	মুগধা,	মুগ্ধ,	
nabatamo,	নাবাতামো,	নবতম,	
attacharito,	অত্যাচারিত,	অত্যাচারিত,	
taateo,	তায়েতেও,	তাতেও,	
joones,	জনেস,	জোন্স,	
armshtrong,	আর্ম্্ট্রং,	আর্মস্ট্রং,	
munim,	মুনিম,	মুনিম,	
siddhantei,	সিদ্ধান্তেই,	সিদ্ধান্তেই,	
shhow,	শাও,	শো,	
nothibhukteer,	নথিভুক্তির,	নথিভুক্তির,	
hol,	হোল,	হোল,	
rananganey,	রানাঙ্গনে,	রণাঙ্গনে,	
sheetke,	শিটকে,	শীতকে,	
cocaine,	কোকাইন,	কোকেইন,	
bapio,	বাপিও,	বাপিও,	
edmeeral,	এডমিরাল,	এডমিরাল,	
shurugulo,	শুরুগুলো,	শুরুগুলো,	
ranangone,	রানাঙ্গনে,	রণাঙ্গনে,	
emerjency,	এমেরজেন্সি,	এমার্জেন্সি,	
yatharthabhabe,	যথরথথভাবে,	যথার্থভাবে,	
elakatike,	এলাকাটিকে,	এলাকাটিকে,	
abosan,	অবসান,	অবসান,	
laat,	লাট,	লাট,	
purple,	পূর্পলে,	পার্পেল,	
teliha,	তেলিহা,	তেলিহা,	
narbur,	নারবুর,	নরবুর,	
kushakhali,	কুশাখালি,	কুশাখালি,	
elahabade,	এলাহাবাদে,	এলাহাবাদে,	
obhaarbhiu,	ওভাভারিউ,	ওভারভিউ,	
paramartha,	পরমার্থ,	পরমার্থ,	
graambasheeo,	গ্রামবাশাই,	গ্রামবাসীও,	
forex,	ফরেক্স,	ফরেক্স,	
pettern,	পেট্রেন,	প্যাটার্ন,	
oncholshomuher,	অন্লমসমূহের,	অঞ্চলসমূহের,	
expreshshion,	এক্সপ্রেশশন,	এক্সপ্রেশন,	
chuti,	চুটি,	ছুটি,	
qara,	কারা,	কর,	
pratishthanik,	প্রতিষ্ঠানিক,	প্রাতিষ্ঠানিক,	
reejideencee,	রিজিডেন্ডি,	রেসিডেন্স,	
krom,	ক্রম,	ক্রম,	
sooya,	সুয়া,	সোয়া,	
sima,	সিমা,	সীমা,	
besooro,	বেশরর,	বেসুর,	
shithilata,	শিথিলতা,	শিথিলতা,	
daraider,	দারাইদের,	দরাইদের,	
fake,	ফাযাকে,	ফাকে,	
manir,	মানির,	মনির,	
ghaghat,	ঘাঘাট,	ঘাঘট,	
chhutir,	ছুটির,	ছুটির,	
suchonakal,	সুচনাকাল,	সূচনাকাল,	
mulor,	মুলোর,	মুলোর,	
jipiusamriddha,	জিপুমিদ্দদ্ধ,	জিপিউসমৃদ্ধ,	
bboponer,	বিপনের,	বপনের,	
uchchotara,	উচ্চতারা,	উচ্চতর,	
prithibir,	পৃথিবির,	পৃথবীর,	
rinattak,	ঋণত্তক,	ঋনাত্মক,	
musabbirul,	মুসাবববিরুল,	মুসাব্বিরুল,	
anyorup,	অন্যরূপ,	অন্যরূপ,	
setike,	সেটিকে,	সেটিকে,	
pharn,	ফর্ন,	ফার্ন,	
primoo,	প্রিমো,	প্রিমো,	
soundarja,	সৌন্দর্য,	সৌর্ন্দয্য,	
rijoor,	রিজুর,	রিজুর,	
samajeek,	সমাজীক,	সামাজিক,	
chal,	চাল,	চাল,	
mukhomandoler,	মুখোমন্ডলের,	মুখমণ্ডলের,	
sepha,	সেফা,	শেফ,	
bhogni,	ভগনি,	ভগ্নী,	
lakkhero,	লক্ষেরও,	লক্ষেরও,	
bishnu,	বিশ্নু,	বিষ্ণু,	
pader,	পাড়ের,	প্যাডের,	
munot,	মুনোট,	মুনোট,	
kaalki,	কালকি,	কালকি,	
maley,	ম্যালে,	মালে,	
kichudinpar,	কিছুদিনপার,	কিছুদিনপর,	
amittrakkhor,	অমিত্তার্কর,	অমিত্রাক্ষর,	
melborrone,	মেলবর্রনে,	মেলবোর্নে,	
times,	টিমস,	টাইমস্,	
atighataner,	অতিঘাটানের,	অতিঘটনের,	
asantosh,	অসন্তসশ,	অসন্তোষ,	
amiya,	আমিয়া,	অমিয়,	
niemond,	নিয়ামন্ড,	নিমন্ড,	
ghuznavi,	ঘুজনাবি,	গজনভি,	
venus,	ভেনুস,	ভেনাস,	
oiteejye,	ঐতিয়েজ,	ঐতিহ্যে,	
johny,	জহনি,	জনি,	
koomarir,	কুমারির,	কুমারীর,	
mane,	ম্যান,	মানে,	
chotogolper,	চটোগল্পের,	ছোটগল্পের,	
orthoneeti,	অর্থনীতি,	অর্থনীতির,	
doula,	ডৌলা,	দৌলা,	
hisabagyan,	হিসাবাজ্ঞান,	হিসাবজ্ঞান,	
bm,	বিএমএ,	বিএম,	
daaktikit,	দাক্তিকিত,	ডাকটিকিট,	
modelgulo,	মড়েলগুলো,	মডেলগুলো,	
shcholastic,	স্কোলোযাক্সিট,	স্কলাস্টিক,	
baju,	বাজু,	বাজু,	
byabaharkariderke,	ব্যবহারকারীদেরকে,	ব্যবহারকারীদেরকে,	
abdoone,	আব্দনু,	আবদুন,	
aaeerese,	আইয়েসে,	আইরেসে,	
abanishankar,	অবানিশঙ্কার,	অবনিশংকর,	
aditisaha,	আদিতিসহ,	অদিতিসহ,	
bandhano,	বানধননো,	বাঁধানো,	
arifin,	আরিফিন,	আরিফিন,	
nyata,	ন্যাতা,	ম্যাট,	
kathmandute,	কাঠমান্দুতে,	কাঠমান্ডুতে,	
byaboharkareer,	ব্যবহরকারীর,	ব্যবহারকারীর,	
install,	ইন্সটাল,	ইন্সটল,	
sanaktokaran,	সনাক্তকরণ,	সনাক্তকরণ,	
bonnypran,	বন্িপ্রান,	বন্যপ্রাণ,	
land,	ল্যান্ড,	ল্যান্ড,	
omarader,	ওমারাদের,	ওমারাদের,	
shikhbe,	শিখবে,	শিখবে,	
sampadon,	সম্পাদন,	সম্পাদন,	
zibonnogor,	জীবনগনোর,	জীবননগর,	
debdebier,	দেবদেবীর,	দেবদেবীর,	
freelancerra,	ফ্রিলান্নেরার,	ফ্রিল্যান্সাররা,	
bibecchyo,	বিবেচ্যচ,	বিবেচ্য,	
salsa,	সালসা,	সালসা,	
philo,	ফিলো,	ফিলো,	
suraaropeeto,	সুরারপপত,	সুরারোপিত,	
neshadrabyer,	নেশাদ্রব্যের,	নেশাদ্রব্যের,	
laesens,	লেসেন্স,	লাইসেন্স,	
aieesha,	এইশিয়া,	আইএএস,	
nodnodeer,	নদনদীর,	নদনদীর,	
batom,	বাযাটম,	বাটম,	
protisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
fostar,	ফোস্টার,	ফস্টার,	
brookoleen,	ব্রুকললিন,	ব্রুকলিন,	
mexicoteo,	মেক্সিকোটেও,	মেক্সিকোতেও,	
vorkendra,	ভরকেন্দ্র,	ভরকেন্দ্র,	
byke,	বিকে,	বাইক,	
hoonayin,	হুনায়ান,	হুনাইন,	
dipti,	দিপ্টি,	ডেপুটি,	
kalnir,	কালনির,	কালনীর,	
teenisa,	তিনিসা,	টেনিস,	
palkee,	পালকি,	পাল্কি,	
rekhapat,	রেখাপাত,	রেখাপাত,	
headquartus,	হেড্যাক্রাস,	হেডকোয়ার্টাস,	
jibanto,	জীবান্ত,	জীবন্ত,	
bhowanipur,	ভৌনাইপির,	ভবানীপুর,	
tricksguli,	ট্রিক্সগুলি,	ট্রিকসগুলি,	
rilayensa,	রিলয়েেনসা,	রিলায়েন্স,	
autopromotioner,	অটোপ্রোশ্টনের,	অটোপ্রমোশনের,	
ponchasjon,	পঞ্চাজজন,	পঞ্চাশজন,	
carlo,	কারলো,	কার্লো,	
somsher,	সমশের,	সমশের,	
ekroop,	একরুপ,	একরূপ,	
bodhirta,	বধির্তা,	বধিরতা,	
byabosthar,	ব্যবস্থার,	ব্যবস্থার,	
dooburir,	দুবুরির,	ডুবুরির,	
krimlin,	ক্রিমলিন,	ক্রিমলিন,	
cinematographar,	সিনেমোটারোফ্রোফার,	সিনেমাটোগ্রাফার,	
chandrimaa,	চন্দ্রিমা,	চন্দ্রিমা,	
kale,	কালে,	কালে,	
biplabee,	বিপ্লবব,	বিপ্লবী,	
saarbhaarti,	সার্ভারটি,	সার্ভারটি,	
proshtutkarok,	প্রশ্টুত্তকরর,	প্রস্তুতকারক,	
faaj,	ফাজ,	ফাজ,	
protyokkhovabey,	প্রত্যক্যাভাবে,	প্রত্যক্ষভাবে,	
orthanitike,	অর্থানিতিকে,	অর্থনীতিকে,	
salmaner,	সালমানের,	সালমানের,	
mojlish,	মজলিশ,	মজলিশ,	
seguloi,	সেগুলোই,	সেগুলোই,	
dhache,	ছাছে,	ধাঁচে,	
shasyadi,	শস্যদদি,	শস্যাদি,	
ashiatic,	অসিয়াটিক,	এশিয়াটিক,	
kram,	ক্রাম,	ক্রম,	
nirbaho,	নির্বাহ,	নির্বাহ,	
sumi,	সুমি,	সুমি,	
shhepha,	শেফা,	শেফ,	
nili,	নিলি,	নিলি,	
khonjena,	খোঁজেনা,	খোঁজেনা,	
saarbharti,	সার্ভর্তি,	সার্ভারটি,	
bosante,	বসনাতে,	বসন্তে,	
armshtronj,	আর্ম্ট্রোজজন,	আর্মস্ট্রং,	
bhalobaas,	ভালোবাস,	ভালোবাসা,	
safin,	সাফিন,	সাফিন,	
sainyader,	সৈন্যাদের,	সৈন্যদের,	
hul,	হাল,	হুল,	
kinsha,	কিনশা,	কিংস,	
ikboler,	ইকবলের,	ইকবলের,	
ahalyar,	আহাল্যার,	অহল্যার,	
romancha,	রোমাঞ্চা,	রোমাঞ্চ,	
beatleser,	বিটলেসের,	বিটলসের,	
deilee,	দেইলি,	ডেইলি,	
badaghat,	বাদাঘাট,	বাদাঘাট,	
dishani,	দিশানি,	দিশানি,	
dewaben,	দেওবায়েন,	দেওয়াবেন,	
byabostho,	ব্যবস্থ,	ব্যাবস্থা,	
niketon,	নিকেটন,	নিকেতন,	
panchashjan,	পঞ্চাজজন,	পঞ্চাশজন,	
sangbadmadhyame,	সংবাদমধ্যম্যে,	সংবাদমাধ্যমে,	
gaj,	গাজ,	গেজ,	
marmader,	মারমাদের,	মারমাদের,	
azaan,	আজান,	আজান,	
shem,	শেম,	সেম,	
talaal,	তালাল,	তালাল,	
vobobibhuti,	ভববিভূতি,	ভববিভূতি,	
bokul,	বকুল,	বকুল,	
iub,	আইআইবি,	আইইউবি,	
khappar,	খাপপার,	খপ্পর,	
anchalgoolir,	আঞ্চলগুলির,	অঞ্চলগুলির,	
nakkal,	নকক্কাল,	নক্কল,	
bondiira,	বন্ডিয়ারা,	বন্দীরা,	
mayily,	মযয়িলি,	মাইলি,	
roopmatro,	রূপমাত্র,	রূপমাত্র,	
otyacharer,	অত্যাচারের,	অত্যাচারের,	
abheedhanik,	অভিদানিক,	অভিধানিক,	
chalaabi,	চালাবি,	চালাবে,	
onucheeder,	অনুচিদের,	অনুচ্ছেদের,	
fasir,	ফাসির,	ফাসীর,	
keyboarder,	কেয়বোর্ডের,	কীবোর্ডের,	
nirmolota,	নির্মলতা,	নির্মলতা,	
ghenshei,	ঘেঁশেই,	ঘেঁষেই,	
naobihar,	নাওবিহার,	নৌবিহার,	
judge,	জুড্গে,	জাজ,	
ogovir,	অগভির,	অগভীর,	
bupher,	বুফের,	বাফার,	
tintikey,	টিনটিকে,	তিনটিকে,	
idyi,	আইডিআই,	আইডিই,	
maladabha,	মালাদাভা,	মলদোভা,	
teta,	টেটা,	টেটা,	
shotodha,	শতধা,	শতধা,	
torabganj,	তরাগবঞ্জ,	তোরাবগঞ্জ,	
lutheerana,	লুথিরানা,	লুথেরান,	
pleto,	প্লেটো,	প্লেটো,	
feroza,	ফেরোজা,	ফিরোজা,	
kalkarkhana,	কলকর্খনা,	কলকারখানা,	
sommoteer,	সম্মতির,	সম্মতির,	
raiialati,	রাই়ালাাটি,	রয়্যালটি,	
qyantana,	ক্যান্টানা,	ক্যান্টন,	
harbare,	হারবারে,	হারবারে,	
nibondhocheler,	নিবন্ছলিলের,	নিবন্ধছেলের,	
muradke,	মুরাদকে,	মুরাদকে,	
gatibege,	গাতিবেগে,	গতিবেগে,	
sarollo,	সারোলো,	সারল্য,	
ardasha,	আরদাশা,	আর্দশ,	
jontropatigulite,	যন্ত্রপিতাগুলিতে,	যন্ত্রপাতিগুলিতে,	
vince,	ভিন্সে,	ভিন্স,	
phiksim,	ফিসিসম,	ফিক্সিং,	
vandar,	ভান্ডার,	ভাণ্ডার,	
ekatitto,	একাতিত্ব,	একাতিত্ব,	
udbodhaney,	উদ্বোধননে,	উদ্বোধনে,	
bulano,	বুলানো,	বুলান,	
dorgah,	ঘরগাহ,	দরগাহ,	
surakarder,	সুরাকারদের,	সুরকারদের,	
binee,	বিনি,	বেনি,	
gasthi,	গাস্থী,	গোষ্ঠী,	
ceramiker,	সেরামিকের,	সিরামিকের,	
gorjon,	গর্জন,	গর্জন,	
pujit,	পুজিত,	পুজিত,	
taufiq,	টাউিক,	তৌফিক,	
baipash,	বাইপাশ,	বাইপাস,	
eesosiyeetasa,	ইসয়েসিসা,	এসোসিয়েটস,	
sanghar,	সংহর,	সংহার,	
dharmantor,	ধর্মন্তর,	ধর্মান্তর,	
malinga,	মালিঙ্গা,	মালিংগা,	
indra,	ইন্ড্রা,	ইন্দ্র,	
queri,	কুয়েরি,	কোয়েরি,	
middleton,	মিডলেটন,	মিডলটন,	
degreeo,	দেগ্রিও,	ডিগ্রিও,	
vedanta,	বেদান্ত,	বেদান্ত,	
pabo,	পাবো,	পাব,	
totokson,	ততকসন,	ততক্ষন,	
ramonar,	রামোনার,	রমনার,	
maritimer,	মারিটিমের,	মেরিটাইমের,	
sarder,	সারদের,	সরদার,	
amanisha,	আমানিশা,	অমানিশা,	
societykey,	সকিস্টেকে,	সোসাইটিকে,	
firalem,	ফিরালেম,	ফিরালেম,	
oblivion,	অব্লিভিন,	অবলিভিয়ন,	
uthhaane,	উঠানে,	উঠানে,	
prothar,	প্রথার,	প্রথার,	
hool,	হুল,	হুল,	
ghomta,	ঘোটমা,	ঘোমটা,	
bipradas,	বিপ্রদাস,	বিপ্রদাস,	
rca,	আরএসএ,	আরসিএ,	
taatey,	টায়েট,	তাতে,	
sadbi,	সাদবি,	সাধ্বী,	
sahojlovyotar,	সহলযযভভাতার,	সহজলভ্যতার,	
oxite,	অক্সিতে,	অক্সাইট,	
durotamo,	দুরততামো,	দূরতম,	
phareeksa,	ফরিকসস,	ফরেক্স,	
kuronir,	কুরণীর,	কুরনীর,	
ship,	শিপ,	শিপ,	
jatinke,	জাতিনকে,	যতীনকে,	
shunani,	শুনানি,	শুনানী,	
plainey,	প্লেনি,	প্লেনে,	
soource,	সুর্সে,	সোর্স,	
vortuki,	ভর্তুকি,	ভর্তুকি,	
deputi,	ডিপুটি,	ডেপুটি,	
chalochchitraeei,	চালচ্ঠির্যাই়,	চলচ্চিত্রেই,	
scholars,	স্কোলার্স,	স্কলার্স,	
militarite,	মিলিটারিতে,	মিলিটারিতে,	
geja,	গেজা,	গেজ,	
humner,	হুমনের,	হামনার,	
baieq,	বাই়়ক,	বাইক,	
sadadyarao,	সদদ্যারাও,	সদদ্যরাও,	
nadnadeer,	নানদানীর,	নদনদীর,	
kinenni,	কিনেননি,	কিনেননি,	
bhenise,	ভেনিসে,	ভেনিসে,	
salafeta,	সালাফেটা,	সালফেট,	
baugey,	বাউগে,	বাগে,	
site,	সিতে,	সিটে,	
yaq,	য্যাক,	ইয়াক,	
elakaai,	এলাকাই,	এলাকাই,	
dalee,	ডালি,	ডালে,	
hizrite,	হিজরিতে,	হিজরীতে,	
zubokra,	যুবকরা,	যুবকরা,	
lagto,	লাগতো,	লাগতো,	
recondishon,	রেকনন্দশন,	রিকন্ডিশন,	
saralya,	সররল্য,	সারল্য,	
danata,	দানাটা,	ডোনাট,	
rajyabhogi,	রাজ্যভাগী,	রাজ্যভোগী,	
daqten,	ডাকটেন,	ডাকতেন,	
