rena,	রেনা,	রেনো,	
shangsthaner,	সাংস্থানের,	সংস্থানের,	
naajii,	নাজী,	নাত্সি,	
probeshan,	প্রবেশন,	প্রবেশন,	
shrabosty,	শ্রাবস্তি,	শ্রাবস্তী,	
vorkendra,	ভরকেন্দ্রের,	ভরকেন্দ্র,	
croak,	ক্রোক,	ক্রোক,	
adhikartai,	অধিকারটাই,	অধিকর্তাই,	
casper,	ক্যাসপার,	ক্যাসপার,	
ghenshei,	ঘেঁশেই,	ঘেঁষেই,	
amiretus,	আমিরেতুস,	এমিরেটাস,	
sheshardhe,	শেষার্ধে,	শেষার্ধে,	
surke,	সুরকে,	সুরকে,	
selim,	সেলিম,	সেলিম,	
yatharthabhabe,	যথার্থভাবে,	যথার্থভাবে,	
sheepha,	শীফা,	শেফ,	
shringey,	শ্রিংগে,	শৃঙ্গে,	
deilee,	দেইলি,	ডেইলি,	
lidars,	লিডার্স,	লিডার্স,	
cantan,	ক্যান্টান,	ক্যান্টন,	
suchanakal,	সুচানাকাল,	সূচনাকাল,	
jatotaa,	জাতোতা,	যতোটা,	
mulyayonsapekkhe,	মূল্যয়েন্পক্ষে,	মূল্যায়নসাপেক্ষে,	
showtey,	শুটে,	শোতে,	
shef,	শেফ,	শেফ,	
mah,	মাহ,	মাহে,	
shringge,	শ্রিংগে,	শৃঙ্গে,	
hilser,	হিলসের,	হিলসের,	
krus,	ক্রুস,	ক্রুশ,	
tecno,	টেকনো,	টেকনো,	
konroop,	কননরূপ,	কোনরূপ,	
klaud,	ক্লাউড,	ক্লাউড,	
kourabe,	কৌরাবে,	কৌরবে,	
bhotomulyoke,	ভোটমূল্যকে,	ভোটমূল্যকে,	
nibeditar,	নিবেদিতার,	নিবেদিতার,	
kingsh,	কিংশ,	কিংস,	
pranibigyani,	প্রাণীবিজ্ঞানী,	প্রাণীবিজ্ঞানী,	
choddo,	চদ্ড,	চোদ্দো,	
sabrakamer,	সব্রকমের,	সবরকমের,	
ghaghat,	ঘাঘাট,	ঘাঘট,	
veenish,	ভিনিশ,	ভেনিস,	
ekghare,	একঘরে,	একঘরে,	
hoteltite,	হোটেলটিতে,	হোটেলটিতে,	
gronthowo,	গ্রন্থস,	গ্রন্থও,	
narsinghomgulor,	নার্সিংহগুলোর,	নার্সিংহোমগুলোর,	
artore,	আরতোরে,	আর্টরে,	
aashanka,	আশঙ্কা,	আশংকা,	
impaction,	ইম্্যাপশন,	ইমপ্যাকশন,	
elaaka,	এলাকা,	এলাকা,	
nirabota,	নিরাবতা,	নিরবতা,	
shektor,	শেক্তর,	সেক্টর,	
chirantan,	চিরান্তন,	চিরন্তন,	
jaanachhe,	যানাচে,	জানাচ্ছে,	
hastantar,	হস্তান্তর,	হস্তান্তর,	
aamoode,	আমুদে,	আমুদে,	
domonmulok,	ডোমন্মুলক,	দমনমূলক,	
marodeho,	মারোদহ,	মরদেহ,	
shithilata,	শিথিলতা,	শিথিলতা,	
ritesh,	রিটেশ,	রিতেশ,	
prosadhani,	প্রসাধানি,	প্রসাধনী,	
kyatgarite,	ক্যাটগারিতে,	ক্যাটগারিতে,	
rubidiyaam,	রুবিদিয়াম,	রুবিডিয়াম,	
dip,	ডিপ,	দীপ,	
gejeted,	জেজেটেড,	গেজেটেড,	
chotogolper,	চটটগল্পের,	ছোটগল্পের,	
kleentoner,	ক্লিন্তনের,	ক্লিনটনের,	
kathla,	কথলা,	কাঠলা,	
agomoney,	অগোমোনি,	আগমনে,	
moshahidur,	মশাহিদুর,	মোশাহিদুর,	
erajyobasi,	এরজ্যাবাসী,	এরাজ্যবাসী,	
fongli,	ফংলি,	ফংলি,	
grambaashio,	গ্রামবাশীও,	গ্রামবাসীও,	
besirbhaagi,	বেসিরভাগী,	বেশিরভাগই,	
somsher,	সম্শের,	সমশের,	
chiraharit,	চিরাহারিত,	চিরহরিৎ,	
khude,	খুদে,	ক্ষুদে,	
vromonkaley,	ভ্রমণকালে,	ভ্রমণকালে,	
ispreedshiit,	ইস্প্রিদশিত,	স্প্রেডশীট,	
guzober,	গুজোবের,	গুজবের,	
concerter,	কনসার্টার,	কানসাটের,	
tyapa,	ত্যাপা,	ট্যাপ,	
madhoori,	মধুরি,	মাধুরী,	
malinga,	মালিঙ্গা,	মালিংগা,	
xpose,	ক্সকসে,	এক্সপোজ,	
transformaarer,	ট্রান্সফর্মারের,	ট্রান্সফরমারের,	
tintir,	তিনটির,	তিনটির,	
helloin,	হেলওয়েন,	হ্যালোইন,	
planey,	প্ল্যানে,	প্লেনে,	
toching,	টচচিং,	টোচিং,	
dhonni,	ধন্নি,	ধন্যি,	
quartar,	কোয়ার্ার,	কোয়ার্টার,	
kagbeni,	কাগবেনি,	কাগবেনি,	
bisshas,	বিশ্বাস,	বিশ্বাস,	
nirgoon,	নিরগুণ,	নির্গুণ,	
byapoktor,	ব্যাপক্তর,	ব্যাপকতর,	
cheenja,	চিনজা,	চেঞ্জ,	
soteciety,	সোটেসিটি,	সোসাইটিতে,	
nothibhukto,	নথিভুক্ত,	নথিভুক্ত,	
madrasake,	মাদ্রাসাকে,	মাদ্রাসাকে,	
bastubad,	বস্তুবাদ,	বস্তুবাদ,	
pravura,	প্রবুরা,	প্রভুরা,	
suporichita,	সুপরিচিতি,	সুপরিচিত,	
khabarsoho,	খাবারসহ,	খাবারসহ,	
sommotitey,	সম্মতিতে,	সম্মতিতে,	
akai,	আকাই,	একাই,	
sambatsarkal,	সম্বতসরকাল,	সম্বৎসরকাল,	
sahab,	সাহাব,	সাহাব,	
bosben,	বসবেন,	বসবেন,	
baasaate,	বাসাতে,	বাসাতে,	
chhatrodiger,	ছাত্রদিগের,	ছাত্রদিগের,	
chaaktir,	চাক্তির,	চাকতির,	
manibhaijaner,	মণিভাজনের,	মণিভাইজানের,	
mozdur,	মজদুর,	মজদুর,	
proshtotto,	প্রশ্তত্ব,	প্রস্ত্তত,	
dimbacriti,	ডিম্বাক্রিটি,	ডিম্বাকৃতি,	
moomtaj,	মুমতাজ,	মুমতাজ,	
chargar,	চার্গার,	চার্জার,	
turbine,	টারবিন,	টারবাইন,	
kamla,	কামলা,	কামলা,	
karaponner,	কারাপণ্যের,	কারাপণ্যের,	
ceramiker,	সেরামিকের,	সিরামিকের,	
choudhurike,	চৌধুরীকে,	চৌধুরীকে,	
jini,	জিনি,	যিনি,	
sumeeta,	সুমিতা,	সুমিতা,	
khudrokar,	ক্ষুদ্রকার,	ক্ষুদ্রকার,	
soheensotar,	সহহেনসতার,	সহিংসতার,	
rinobodh,	ঋণবোধ,	ঋণবোধ,	
ebham,	এভাম,	ইভিএম,	
steeit,	স্টিট,	স্টেইট,	
taufiq,	তাফিক,	তৌফিক,	
goteehin,	গতিহীন,	গতিহীন,	
logotype,	লোগেপিতে,	লোগোটাইপ,	
remission,	রিমিসন,	রিমিশন,	
horash,	হোরাশ,	হোরাস,	
dorneca,	ডর্নেকা,	ডরনেকা,	
spredsheet,	স্প্রেডশিট,	স্প্রেডশীট,	
prangulo,	প্রাণগুলো,	প্রানগুলো,	
mathieu,	মাথিউ,	ম্যাথিউ,	
baibosthar,	বৈবস্থার,	ব্যবস্থার,	
cheerontan,	চেরোন্তান,	চিরন্তন,	
agamane,	আগামানে,	আগমনে,	
satjaner,	সাতজানের,	সাতজনের,	
laesens,	লেইসেন্স,	লাইসেন্স,	
promodwara,	প্রমোদবরা,	প্রমদ্বারা,	
barrageke,	ব্যারাজেকে,	ব্যারেজকে,	
thailandshoho,	থাইলান্ডসহ,	থাইল্যান্ডসহ,	
sangharshik,	সংঘর্ষিক,	সাংঘর্ষিক,	
dharmadasbabu,	ধর্মদাসবাবু,	ধর্মদাসবাবু,	
ghumacchilo,	ঘুমাচ্ছিল,	ঘুমাচ্ছিল,	
batsmanei,	ব্যাটসমেনেই,	ব্যাটসম্যানই,	
fooloo,	ফুলু,	পোলো,	
lat,	ল্ত,	লাট,	
suhayeler,	সুহায়েলের,	সুহায়েলের,	
prachirer,	প্রাচীরের,	প্রাচিরের,	
vaisoho,	ভাইসহ,	ভাইসহ,	
europia,	ইউরোপিয়া,	ইউরোপিয়া,	
arke,	আরকে,	আরকে,	
cs,	সিএস,	সিএস,	
sahooseekotar,	সহহুকতির,	সাহসিকতার,	
bhikkharthe,	ভিক্ষার্থে,	ভিক্ষার্থে,	
rupantarer,	রূপান্তরের,	রুপান্তরের,	
biswashi,	বিশ্বাশী,	বিশ্বাসী,	
pratiyogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
degreeo,	ডিগ্রিও,	ডিগ্রিও,	
nadike,	নাদিকে,	নদীকে,	
rahee,	রহহি,	রাহী,	
yathaarthabhaabe,	যথাার্থভাবে,	যথার্থভাবে,	
transform,	ট্রান্সফর্ম,	ট্রান্সফর্ম,	
zeeland,	জিল্যান্ড,	জিল্যান্ড,	
bhramapraban,	ভ্রমপ্রবণ,	ভ্রমপ্রবণ,	
bhaangchur,	ভাংচুর,	ভাংচুর,	
titarer,	টিতারের,	তিতারের,	
browser,	ব্রজসের,	ব্রাউজার,	
chai,	চেই,	ছাই,	
tuni,	তুনি,	টুনি,	
nothibhukta,	নথিভুক্ত,	নথিভুক্ত,	
bagdad,	বাগদাদ,	বাগদাদে,	
ekbakke,	একবাককে,	একবাক্যে,	
morathee,	মরাঠী,	মরাঠি,	
uthhaane,	উঠানে,	উঠানে,	
shector,	শেক্টর,	সেক্টর,	
purbancoler,	পূর্বানকোলের,	পূর্বাঞ্চলের,	
nomo,	নমমো,	নমো,	
valobase,	ভালোবাসে,	ভালোবাসে,	
ongkush,	অংকুশ,	অংকুশ,	
yaak,	যাক,	ইয়াক,	
fulkapi,	ফুলকাপি,	ফুলকপি,	
poroborti,	পরবর্তী,	পরর্বতী,	
shite,	শিটে,	শীতে,	
mishal,	মিশাল,	মিশাল,	
gloria,	গ্লোরিয়া,	গ্লোরিয়া,	
alaoler,	আলালের,	আলাওলের,	
sangbadmadhyomgulote,	সংবাদমাধ্যমগুলোতে,	সংবাদমাধ্যমগুলোতে,	
nirvachokder,	নির্ভাচকদের,	নির্বাচকদের,	
chheher,	ছেহের,	ছেহের,	
torunosomriddho,	তরুণসমৃদ্ধ,	তরুণসমৃদ্ধ,	
shrimoti,	শ্রীমতি,	শ্রীমতি,	
jerusalema,	জেরুসালেমা,	জেরুসালেম,	
manush,	মানুশ,	মানুষ,	
alexanderke,	আলেক্সাান্ডারকে,	আলেকজান্ডারকে,	
siddhanter,	সিদ্ধান্তের,	সিদ্ধান্তের,	
arashie,	আরাশীয়,	আরসিএ,	
badaghat,	বাদাঘাট,	বাদাঘাট,	
adbhanced,	অ্যাডভান্ডে,	অ্যাডভান্সড,	
hijrite,	হিজরিতে,	হিজরীতে,	
faaj,	ফাজ,	ফাজ,	
samoshtigato,	সামষ্টিগত,	সমষ্টিগত,	
monchostho,	মঞ্চস্থ,	মঞ্চস্থ,	
goolen,	গুলেন,	গুলেন,	
magical,	ম্যাজিক্যাল,	ম্যাজিকাল,	
mathews,	ম্যাথেবস,	ম্যাথিউস,	
bahubar,	বহুবার,	বহুবার,	
assaciates,	অ্যাসাসিয়েটস,	এসোসিয়েটস,	
jatinkey,	জাতিনকে,	যতীনকে,	
salapheeta,	সালাফিত,	সালফেট,	
aswasteekor,	অস্বাস্তিকর,	অস্বস্তিকর,	
kaalki,	কালকি,	কালকি,	
damakalkarmirao,	দমকলকর্মীরাও,	দমকলকর্মীরাও,	
rudiger,	রুদিগের,	রুদিগের,	
saria,	সারিয়া,	সরিয়া,	
boshoborty,	বশবর্তি,	বশবর্তী,	
parking,	পারকিং,	পার্কিং,	
abeganuvutir,	আবেগানুভূতির,	আবেগানুভূতির,	
kuresher,	কুরেশের,	কুরেশের,	
bhromoner,	ভ্রমণের,	ভ্রমণের,	
manushera,	মানুষেরা,	মানুষেরা,	
kode,	কোড,	কোড,	
byabosthar,	ব্যবস্থার,	ব্যাবস্থার,	
bhabatarini,	ভবতররিণী,	ভবতারিণী,	
shulfate,	শুলফাতে,	সালফেট,	
sohojlovyotar,	সহজ্লবহতয়তার,	সহজলভ্যতার,	
korush,	করুশ,	ক্রুশ,	
lagchhe,	লাগছে,	লাগছে,	
kaash,	কাশ,	কাস,	
manabmaner,	মানবমানের,	মানবমনের,	
rezidence,	রিজিডেন্সে,	রেসিডেন্স,	
sarder,	সারদের,	সরদার,	
nischoy,	নিশ্চয়,	নিশ্চয়,	
byaboharkarie,	ব্যবহারকারী,	ব্যবহারকারীই,	
erokomer,	এরকমের,	এরকমের,	
horiddare,	হরিদ্দারে,	হরিদ্বারে,	
codeti,	কোডেটি,	কোডটি,	
tolemyr,	টোলেমির,	টলেমির,	
weelcomee,	বাইলকমি,	ওয়েলকাম,	
juktarashtrasaha,	যুক্তরাষ্টারসহ,	যুক্তরাষ্ট্রসহ,	
kanuner,	কানুনের,	কানুনের,	
beem,	বীইএম,	বিম,	
labonaaktotaar,	লাবণাক্ততার,	লবণাক্ততার,	
addata,	আদ্দাতা,	আড্ডাটা,	
chrystal,	ক্রিস্টাল,	ক্রাইস্টাল,	
hindutirtha,	হিন্দুতীর্থ,	হিন্দুতীর্থ,	
fud,	ফুড,	ফুড,	
bidyadanke,	বিদ্যাদানকে,	বিদ্যাদানকে,	
bbiswash,	বিব্বাসভাস,	বিশ্বাস,	
safiha,	সাফিহা,	সাফিহা,	
koyekbare,	কয়েকবারে,	কয়েকবারে,	
laagche,	লাগছে,	লাগছে,	
parishram,	পরিশ্রম,	পরিশ্রম,	
madhukori,	মধুকরী,	মাধুকরী,	
shfingtar,	সিফিটটার,	স্ফিংটার,	
bondishalatei,	বন্দিশালাতেই,	বন্দিশালাতেই,	
siddhantoke,	সিদ্ধান্তকে,	সিদ্ধান্তকে,	
groundta,	গ্রুন্ডটা,	গ্রাউন্ডটা,	
qulim,	কুলিম,	কুলিং,	
kaalengaa,	কালেঙ্গা,	কালেঙ্গা,	
dokanei,	দোকানেই,	দোকানেই,	
jalarong,	জালারাং,	জলরঙ,	
manushsoho,	মানুষসহ,	মানুষসহ,	
proteemake,	প্রতিমাকে,	প্রতিমাকে,	
akpaase,	আকপাসে,	একপাশে,	
colgirl,	কলারিল,	কলগার্ল,	
khoor,	খুর,	ক্ষুর,	
keyboarder,	কেববর্ডের,	কীবোর্ডের,	
jins,	জিন্স,	জিন্স,	
teestar,	তেস্টার,	তিস্তার,	
crashlands,	ক্র্যাশল্যান্ডস,	ক্র্যাশল্যান্ডস,	
uparjoner,	উপার্জনের,	উপার্জনের,	
anyarup,	অন্যাূপ,	অন্যরূপ,	
marathi,	মারাঠি,	মরাঠি,	
lendl,	লেন্ডল,	লেন্ডল,	
cholochchitrai,	চলচ্চিত্রই,	চলচ্চিত্রই,	
enjineers,	এঞজাইনির্স,	ইঞ্জিনিয়ার্স,	
abhidhaner,	অভিধানের,	অভিধানের,	
sontoshpur,	সন্তোশপুর,	সন্তোষপুর,	
chakti,	চাকতি,	চাকতি,	
assexe,	অ্যাসেক্সে,	অ্যাসেক্সে,	
oncolsoho,	অনকললসহ,	অঞ্চলসহ,	
uporitoler,	উপরিতলের,	উপরিতলের,	
jolrong,	জলরোং,	জলরঙ,	
byabaharkaree,	ব্যবহারকারী,	ব্যবহারকারী,	
prokolpoti,	প্রকল্পটি,	প্রকল্পটি,	
stonehenje,	স্তোনেহাজে,	স্টোনহেঞ্জ,	
azimpur,	আজিমপুর,	আজিমপুর,	
ranangone,	রানাঙ্গনে,	রণাঙ্গনে,	
lutharan,	লুথারান,	লুথেরান,	
thaanobhi,	থানোভি,	থানভী,	
chalachchitroke,	চালাচ্চিত্রকে,	চলচ্চিত্রকে,	
manober,	মানবের,	মানবের,	
dooburira,	ডুবুরিরা,	ডুবুরিরা,	
elaakate,	এলাকাটে,	এলাকাতে,	
bite,	বিতে,	বাইট,	
sangsakti,	সাংসক্তি,	সংসক্তি,	
ajuhat,	অজুহাত,	অজুহাত,	
kalakushalir,	কলাকুশলীর,	কলাকুশলীর,	
helly,	হেল্লি,	হিলি,	
phund,	ফান্ড,	ফান্ড,	
adhyatmikata,	অধ্যাতমিকতা,	আধ্যাত্মিকতা,	
nibobondhonkrito,	নিববন্ধনকৃত,	নিববন্ধনকৃত,	
hooq,	হুক,	হুক,	
shariba,	শারিবা,	শরিবা,	
gopalrao,	গোপালরাও,	গোপালরাও,	
oxfordey,	অক্সফোর্ডে,	অক্সফোর্ডে,	
dai,	ডেই,	ডে,	
samany,	সামানি,	সামান্য,	
gandhiio,	গান্ধিয়ো,	গান্ধীও,	
abikaul,	অবিকাল,	অবিকল,	
pluck,	প্লাক,	প্ল্যাক,	
chhuteete,	ছুটিতে,	ছুটিতে,	
oncoltike,	অনলকলিটকে,	অঞ্চলটিকে,	
daraider,	দারাইদের,	দরাইদের,	
kaaferder,	কাফেরদের,	কাফেরদের,	
akhando,	আখণ্ড,	অখন্ড,	
ultrasonography,	আল্ট্রোপোফানর্রী,	আলট্রাসনোগ্রাফিও,	
koyeeri,	কয়েই,	কোয়েরি,	
sthapanagulo,	স্থাপানাগুলো,	স্থাপনাগুলো,	
gonona,	গননানা,	গননা,	
kurdider,	কুর্দীদের,	কুর্দিদের,	
teenej,	তেনেজ,	টিনেজ,	
horidbar,	হরিদ্বার,	হরিদ্বার,	
baaiq,	বাইক,	বাইক,	
chalochchitraeeo,	চালচচিত্রীও,	চলচ্চিত্রেও,	
nirvaha,	নির্ভা,	নির্বাহ,	
ghoshanapatratio,	ঘোষণাপত্রীিও,	ঘোষণাপত্রটিও,	
avinetar,	অভিনেতার,	অভিনেতার,	
sahajlabhbhotar,	সহজলভভততার,	সহজলভ্যতার,	
gobeshonar,	গবেষণার,	গবেষনার,	
doorger,	ডররার,	দুর্গের,	
lakkhero,	লক্ষেরও,	লক্ষেরও,	
dooburir,	ডুবুরির,	ডুবুরির,	
hol,	হোল,	হোল,	
hood,	হুড,	হুড,	
kaloniir,	কালোনীর,	কালনীর,	
byepass,	ব্যাসেপস,	বাইপাস,	
nodimaatrik,	নদীমারিত্বিক,	নদীমাতৃক,	
akkheperi,	আক্ষেপেরই,	আক্ষেপেরই,	
elakatite,	এলাকাটিতে,	এলাকাটিকে,	
aditisaha,	আদিতিসহ,	অদিতিসহ,	
atmabishvashi,	আত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
ponchasjon,	পঞ্চাসজন,	পঞ্চাশজন,	
pooshti,	পুষ্টি,	পুষ্টি,	
dokkhinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
chikittsar,	চিকিতসসারের,	চিকিত্সার,	
bondira,	বন্দিরা,	বন্দীরা,	
mawdeel,	মাউদিল,	মডেল,	
iqbalke,	ইকবলকে,	ইকবালকে,	
biprodas,	বিপ্রদাস,	বিপ্রদাস,	
daaradaa,	দারাদা,	দারদা,	
juboksoho,	যুবসকহ,	যুবকসহ,	
land,	ল্যান্ড,	ল্যান্ড,	
ekbakye,	একবাক্যে,	একবাক্যে,	
alpakichudin,	অল্পকিলিখুন,	অল্পকিছুদিন,	
alpa,	আলপা,	অল্প,	
abosan,	অবসান,	অবসান,	
armashtram,	আর্মস্থ্রম,	আর্মস্ট্রং,	
manushti,	মানুষটি,	মানুষটি,	
deh,	দেহ,	দেহ্,	
kaathhaamaandu,	কাঠমম্্দু,	কাঠমান্ডু,	
podarthobidder,	পদার্থবিদ্যের,	পদার্থবিদদের,	
teamothy,	টিমোথি,	টিমোথি,	
prakalpoguli,	প্রকল্পগুলি,	প্রকল্পগুলি,	
torkarite,	তর্কারিতে,	তরকারিতে,	
sutir,	সুটির,	সুতির,	
shrabostee,	শ্রাবস্তী,	শ্রাবস্তী,	
bikromei,	বিক্রমেই,	বিক্রমেই,	
shandra,	শান্দ্রা,	শান্দ্রার,	
songbadmadhyame,	সংবাদমাধ্যমে,	সংবাদমাধ্যমে,	
ddheela,	ঢিলা,	ঢিলা,	
bishwaashshoi,	বিশ্বাসশই,	বিশ্বাসই,	
catholicder,	ক্যাথলিকদের,	ক্যাথলিকদের,	
byaboharkareer,	ব্যবহারকারীর,	ব্যবহারকারীর,	
ragee,	রাগী,	রাগী,	
karmokarke,	কর্মকারকে,	কর্মকারকে,	
chal,	চাল,	চাল,	
highcommissionay,	হাইসমিজসমেন্সা,	হাইকমিশনে,	
pyatarne,	প্যাটার্নে,	প্যাটার্নে,	
manobikotao,	মানবিকতাও,	মানবিকতাও,	
ramachandranke,	রামাচন্দ্রনকে,	রামাচন্দ্রনকে,	
neshadrabyer,	নেশাদ্রব্যের,	নেশাদ্রব্যের,	
langhoner,	ল্যাংহনের,	লংঘনের,	
bojhao,	বোঝাও,	বোঝাও,	
mythological,	মিথলজিক্যাল,	মাইথলজিকাল,	
dipke,	ডিপকে,	দ্বীপকে,	
konnoder,	কন্যদের,	কন্যদের,	
ashamarthita,	আশামার্থিত,	অসমর্থিত,	
aholyar,	আহল্যার,	অহল্যার,	
daltagi,	ডালতাগি,	দলত্যাগী,	
kushakhali,	কুশখখালী,	কুশাখালি,	
konruup,	কননুরূপ,	কোনরূপ,	
pinglateo,	পিংলাতেও,	পিংলাতেও,	
oiteejye,	ঐতিহ্যে,	ঐতিহ্যে,	
kuldip,	কুল্ডিপ,	কুলদীপ,	
mukhomandaley,	মুখমন্ডলে,	মুখমণ্ডলে,	
vaider,	ভাইদের,	ভাইদের,	
anchalgoolir,	আঞ্চলগুলির,	অঞ্চলগুলির,	
doloo,	দললু,	ডলু,	
shilver,	শিলভের,	সিলভার,	
ajuhath,	অজুহাত,	অজুহাত,	
maailkhanek,	মাইলখানেক,	মাইলখানেক,	
qara,	কারা,	কর,	
venkates,	ভেঙ্কাটেস,	ভেঙ্কটেশ,	
abti,	আবতি,	আবতি,	
ujbekistaner,	উজ্বেসিস্তানের,	উজবেকিস্তানের,	
sossar,	সোসার,	সকার,	
kaatbey,	কাটবে,	কাটবে,	
kanasarabheeshana,	কননাসাভরষণ,	কনসারভেশন,	
ohalyar,	ওহালয়ার,	অহল্যার,	
laicenshe,	লাইকেন্সে,	লাইসেন্স,	
oporishodhito,	অপরিধিিত,	অপরিশোধিত,	
purple,	পারপ্লে,	পার্পেল,	
mmadhukkori,	ম্যামুধকক্তরী,	মাধুকরী,	
turkii,	তুরকি,	তুর্কি,	
udbodhaney,	উদ্বোধনে,	উদ্বোধনে,	
mitro,	মিত্রো,	মিত্র,	
jansa,	জানসা,	জন্স,	
plusey,	প্লাসে,	প্লাসে,	
nirikh,	নিরিখ,	নিরিখ,	
shit,	শিট,	শীত,	
jani,	জানি,	জনি,	
jones,	জোনেস,	জোন্স,	
songasthatir,	সঙ্গাষ্ঠিতির,	সংস্থাটির,	
jaadrel,	জাদরেল,	জাঁদরেল,	
neelfamarir,	নিলপরমীর,	নীলফামারীর,	
kidambi,	কিদাম্বী,	কিদম্বি,	
venuser,	ভেনুসের,	ভেনাসের,	
windows,	উইন্ডোস,	উইন্ডোস,	
bandhano,	বাঁধনো,	বাঁধানো,	
deefinishion,	ডিফিনিশন,	ডেফিনেশন,	
tiunara,	টিউনারা,	টিউনার,	
farna,	ফার্না,	ফার্ন,	
megh,	মেঘ,	মেঘ,	
nirbaahe,	নিরবাহে,	নির্বাহে,	
prothati,	প্রথাটি,	প্রথাটি,	
ceramicer,	সেরামিসের,	সিরামিকের,	
bangalore,	বাঙ্গালোরে,	ব্যাঙ্গালুরে,	
dalee,	দালী,	ডালে,	
rekhapat,	রেখাপাত,	রেখাপাত,	
dakkhinkare,	দক্ষিণকারে,	দক্ষিণকরে,	
hevy,	হেভি,	হেভি,	
masjidke,	মাসজিদকে,	মসজিদকে,	
neerbahe,	নেরবাহে,	নির্বাহে,	
redcrosser,	রেডক্রোসের,	রেডক্রসের,	
nathivookteer,	নথিভুক্তির,	নথিভুক্তির,	
karam,	কারম,	কেরাম,	
chhooteer,	ছূটির,	ছুটির,	
pack,	পাক,	প্ল্যাক,	
muktilav,	মুক্তিলাভ,	মুক্তিলাভ,	
shilpajata,	শিল্পাজাতা,	শিল্পজাত,	
bhabaaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
uporitaley,	উপরিতালে,	উপরিতলে,	
probhritike,	প্রভৃতিকে,	প্রভৃতিকে,	
sarbhare,	সারভারে,	সার্ভারে,	
bhabaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
karadando,	কারাদন্দ,	কারাদণ্ড,	
muhuriganj,	মুহুরীগঞ্জ,	মুহুরীগঞ্জ,	
bapokotor,	বাপকতর,	ব্যাপকতর,	
aireshe,	আইরেশে,	আইরেসে,	
laatimer,	লাটিমের,	লাটিমের,	
dinara,	দিনারা,	ডিনার,	
satarkabhabe,	সতর্কভাবে,	সতর্কভাবে,	
jontrototto,	যন্ত্রত্্ত,	যন্ত্রতত্ত্ব,	
shurugulo,	শুরুগুলো,	শুরুগুলো,	
rilayensa,	রিলায়েন্স,	রিলায়েন্স,	
dhos,	ধোস,	ধস,	
oncholtee,	অংচল্ি,	অঞ্চলটি,	
bonvumi,	বনভূমি,	বনভূমি,	
mag,	মাগ,	এমএজি,	
sarajibonbyapi,	সারাজীবনব্যবপু,	সারাজীবনব্যাপী,	
amor,	আমোর,	আমর,	
chhootochhuti,	ছূটচুটি,	ছুটোছুটি,	
chaanoo,	চানুও,	চানু,	
vabook,	ভাবুক,	ভাবুক,	
utpatti,	উৎপাত্তি,	উতপত্তি,	
oswasteekor,	অস্বস্তিকর,	অস্বস্তিকর,	
dormroome,	ডরমুরমে,	ডর্মরুমে,	
kampita,	কমমপিতা,	কম্পিত,	
totokhon,	ততখন,	ততক্ষন,	
toranganj,	তোরাঙ্জন,	তোরাবগঞ্জ,	
argead,	আর্জড,	আর্জিদ,	
swartho,	স্বার্থ,	স্বার্থ,	
goora,	গোউরা,	গোর,	
antarctica,	অন্ার্ট্যাকটি,	অ্যান্টার্কটিকার,	
abosare,	অবসারে,	অবসরে,	
serology,	সেরোলজি,	সেরোলজি,	
vogiroth,	ভগিরোথ,	ভগীরথ,	
ruby,	রাবি,	রুবী,	
uporzon,	উপর্জন,	উপার্জন,	
zohns,	জোনস,	জন্স,	
niketon,	নিকেটন,	নিকেতন,	
siddharther,	সিদ্ধার্থের,	সিদ্ধার্থের,	
queri,	কেয়েরী,	কোয়েরি,	
rayyalati,	রায়য়লতী,	রয়্যালটি,	
bollov,	বল্লভ,	বল্লভ,	
mmehonoti,	ম্যামেহনিটি,	মেহনতি,	
suparichiti,	সুপারিচিতি,	সুপরিচিতি,	
doltyagi,	দলত্যাগী,	দলত্যাগী,	
rajbondir,	রাজবন্দির,	রাজবন্দীর,	
maail,	মেল,	মাইল,	
joubanbatee,	যৌবনবাটি,	যৌবনবতী,	
palbongsher,	পালবংশের,	পালবংশের,	
lendol,	লেন্ডল,	লেন্ডল,	
debdebie,	দেবদেবী,	দেবদেবী,	
minishtarer,	মিনিষ্টারের,	মিনিস্টারের,	
torikher,	তরিখের,	তরিখের,	
bhowanipur,	ভোওনিপুর,	ভবানীপুর,	
spreedashita,	স্প্রীদশিত,	স্প্রেডশীট,	
gujab,	গুজাব,	গুজব,	
biphal,	বিফাল,	বিফল,	
jackey,	জ্যাকে,	জকি,	
dhangsachchi,	ধ্বংশাচ্চি,	ধ্বংসাচ্ছি,	
bonnopran,	বন্নপ্রাণ,	বন্যপ্রাণ,	
qrisenta,	ক্রিসেন্টা,	ক্রিসেন্ট,	
peeri,	পীরি,	পেরি,	
ap,	এপি,	আপ,	
jonomukhi,	জনমুখী,	জনমুখী,	
nachiketa,	নচিকেতা,	নচিকেতা,	
prime,	প্রাইম,	প্রাইম,	
anhu,	আনহু,	আনহু,	
soundarja,	সৌন্দর্যা,	সৌর্ন্দয্য,	
byabaharkarike,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
