pragreesa,	প্রোগ্রীসা,	প্রগ্রেস,	
bonvumi,	বনভূমি,	বনভূমি,	
sokkhomotabriddhi,	সক্ষমতাবৃদ্ধি,	সক্ষমতাবৃদ্ধি,	
udbodhani,	উদ্বোধনী,	উদ্বোধনী,	
dweepgoolotey,	দ্বীপগুলোতে,	দ্বীপগুলোতে,	
bhabaaponno,	ভাবপন্ন,	ভাবাপন্ন,	
onucheeder,	অনুচীদের,	অনুচ্ছেদের,	
sheets,	শীটস,	শীটস,	
dhyanastha,	ধ্যানাস্থ,	ধ্যানস্থ,	
ghomta,	ঘোমটা,	ঘোমটা,	
salmanul,	সালমানুল,	সালমানুল,	
jyesttha,	জ্যেষ্ঠা,	জ্যেষ্ঠা,	
jiland,	জিল্যান্ড,	জিল্যান্ড,	
punorabortonte,	পুনরাবর্তনন্তে,	পুনরাবর্তন্তে,	
nobotom,	নবতম,	নবতম,	
ovarview,	ওভারভিউ,	ওভারভিউ,	
flirt,	ফ্লার্ট,	ফ্লার্ট,	
transhapharma,	ট্র্ন্সফর্মা,	ট্রান্সফর্ম,	
sanaktokaran,	সনক্তকরণ,	সনাক্তকরণ,	
orthobochorke,	অর্থবছরকে,	অর্থবছরকে,	
dholeshwari,	ধোলেশ্বরী,	ধলেশ্বরী,	
scholastic,	স্কলোস্টিক,	স্কলাস্টিক,	
modyer,	মদ্যের,	মদ্যের,	
shpredshiit,	স্প্রেডশিয়িট,	স্প্রেডশীট,	
shilver,	শিলভার,	সিলভার,	
jwar,	জ্বর,	জ্বর,	
protijogii,	প্রতিযোগী,	প্রতিযোগী,	
asiatic,	এসিয়াটিক,	এশিয়াটিক,	
kachhakaachhi,	কাচাকাছি,	কাছাকাছি,	
brookoleen,	ব্রুকললিন,	ব্রুকলিন,	
gaandaas,	গান্দাস,	জ্ঞানদাস,	
boiporiityen,	বৈপরিত্যেন,	বৈপরীত্যেন,	
difinishion,	ডিফিনিশন,	ডেফিনেশন,	
bhramarotsab,	ভ্রামোতরসব,	ভ্রমরোৎসব,	
aholya,	আহল্যা,	অহল্যা,	
keui,	কেউই,	কেউই,	
rajtontro,	রাজতন্ত্র,	রাজতন্ত্র,	
parq,	পার্ক,	পার্ক,	
hooq,	হুক,	হুক,	
sheetke,	শীতকে,	শীতকে,	
alexanderke,	আলেক্সান্ডারকে,	আলেকজান্ডারকে,	
emerjency,	ইমেরজেন্কি,	এমার্জেন্সি,	
cuti,	কিউটি,	কিউটি,	
laps,	ল্যাপস,	ল্যাপস,	
chanoo,	চানু,	চানু,	
peshto,	পেষ্টো,	পেষ্ট,	
shekender,	সেকেন্দের,	সেকেন্ডের,	
bharpur,	ভারপুর,	ভরপুর,	
byabosthar,	ব্যবস্থার,	ব্যাবস্থার,	
habathu,	হাবাথু,	হাবাথু,	
whole,	হোল,	হোল,	
jonee,	জনী,	জনি,	
grambaashi,	গ্রামবাসী,	গ্রামবাসী,	
sambhabonao,	সম্ভাবনাও,	সম্ভবনাও,	
munsi,	মুন্সি,	মুন্সী,	
bitertrate,	বিটেরট্রেট,	বাইটারট্রেট,	
safiha,	সাফিহা,	সাফিহা,	
hamburgey,	হ্যামবার্গে,	হামবুর্গে,	
vushito,	ভুষিত,	ভূষিত,	
chapchap,	চাপচাপ,	চাপচাপ,	
harees,	হ্যারিস,	হ্যারিস,	
bisnukey,	বিস্নুকে,	বিষ্ণুকে,	
turkii,	টুর্কি,	তুর্কি,	
odeb,	ওদেব,	ওদেব,	
vool,	ভুল,	উল,	
ekghore,	একঘরে,	একঘরে,	
vugorvey,	ভূগর্ভে,	ভূগর্ভে,	
shhepha,	সেফা,	শেফ,	
tigmanshu,	তিগমানশু,	তিগমংশু,	
lutharen,	লুথারেন,	লুথেরান,	
tasminer,	তাসমিনের,	তাসমিনের,	
kodorer,	কদরের,	কদরের,	
licencedhari,	লাইসেন্দধারী,	লাইসেন্সধারী,	
freelancerra,	ফ্রিলেন্সরার,	ফ্রিল্যান্সাররা,	
tistar,	তিস্টার,	তিস্তার,	
prokolpow,	প্রকল্প,	প্রকল্পও,	
folleni,	ফলেনি,	ফলেনি,	
ronangane,	রোনাঙ্গনে,	রণাঙ্গনে,	
lampot,	ল্যাম্পট,	লম্পট,	
relance,	রিল্যান্স,	রিলায়েন্স,	
jontropatigulite,	যন্ত্রপাতিগুলিতে,	যন্ত্রপাতিগুলিতে,	
wishnu,	উইষ্ণু,	বিষ্ণু,	
judge,	যুদগে,	জাজ,	
hepatetisa,	হেপাটেটিসা,	হেপাটাইটিস,	
freekeh,	ফ্রীকেহ,	ফ্রিকেহ,	
bhimsenkei,	ভীমসেনকেই,	ভীমসেনকেই,	
pharmesigulote,	ফার্মেসিগুলোতে,	ফার্মেসীগুলোতে,	
pathanatak,	পাঠানাটক,	পথনাটক,	
naazi,	নাজি,	নাত্সি,	
orthanitike,	অর্থানীটিকে,	অর্থনীতিকে,	
boikolyo,	বৈকল্য,	বৈকল্য,	
paab,	পাব,	পাব,	
creshcent,	ক্রেশসেন্ট,	ক্রিসেন্ট,	
bidhirnityang,	বিধির্নিত্যং,	বিধির্নিত্যং,	
madhoori,	মধরুরি,	মাধুরী,	
parijaner,	পারিজনের,	পরিজনের,	
mahbunur,	মাহবুনুর,	মাহবুনুর,	
teksuser,	টেকসুসের,	টেক্সাসের,	
habsi,	হাবসি,	হাবশী,	
harasta,	হারাস্তা,	হারাস্তা,	
poschimey,	পশ্চিমে,	পশ্চিমে,	
jeshh,	যেশ,	জেস,	
maadla,	মাডল,	মাদলা,	
shamijir,	সামিজীর,	স্বামীজীর,	
kaathhmaandute,	কাঠমন্্ডুতে,	কাঠমান্ডুতে,	
poriharsoho,	পরিহারসহ,	পরিহারসহ,	
bboponer,	ব্বপ্নের,	বপনের,	
plasse,	প্ল্যাসে,	প্লাসে,	
oxforde,	অক্সফোর্ডে,	অক্সফোর্ডে,	
phood,	ফুড,	ফুড,	
kuttake,	কুট্টাকে,	কুত্তাকে,	
dharavahiker,	ধারাভাহিকের,	ধারাবাহিকের,	
myat,	ম্যাট্,	ম্যাট,	
danab,	ডানাব,	দানব,	
shatoke,	শতকে,	শতকে,	
drishyogulote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
sqalastiqa,	স্কলালটিকা,	স্কলাস্টিক,	
utshahomulok,	উত্যাহলমূলক,	উৎসাহমূলক,	
rashedul,	রাশেদুল,	রাশিদুল,	
anubhutimalar,	অনুভূতিমালার,	অনুভূতিমালার,	
kaale,	কালে,	কালে,	
narbur,	নারবুর,	নরবুর,	
salmaner,	সালম্যানের,	সালমানের,	
atmira,	আতমীরা,	আত্মীরা,	
hattey,	হ্যাটে,	হাঁটতে,	
langhangulir,	লাংহাঙ্গুলির,	লঙ্ঘনগুলির,	
osamarik,	ওসামারিক,	অসামরিক,	
neutrinoo,	নিউট্রিনো,	নিউট্রিনো,	
lettar,	লেত্তার,	লেটার,	
phormat,	ফরমাত,	ফরম্যাট,	
sures,	সুরেস,	সুরেশ,	
mokhmoley,	মখমালে,	মখমলে,	
rinattak,	ঋণত্মক,	ঋনাত্মক,	
rakhtokkharoner,	রাখ্ষকথরণের,	রক্তক্ষরণের,	
lisense,	লাসেন্সে,	লাইসেন্স,	
niharkantibabu,	নিহারকন্তিবাবু,	নিহারকান্তিবাবু,	
shnaipara,	স্নাইপারা,	স্নাইপার,	
songbadmadhyomer,	সংবাদমাধ্যমের,	সংবাদমাধ্যমের,	
ahong,	আহং,	অহং,	
ekbakye,	একবাক্যে,	একবাক্যে,	
majdur,	মাজদুর,	মজদুর,	
brekethru,	ব্রেকেট্রু,	ব্রেকথ্রু,	
surakarder,	সুরাকরদের,	সুরকারদের,	
gajano,	গাজানো,	গজানো,	
gajetted,	গেজেটেড,	গেজেটেড,	
podotyagsongkranto,	পদত্যাসংগ্রান্ত,	পদত্যাগসংক্রান্ত,	
canflikt,	ক্যানফিলিক্ট,	কনফ্লিক্ট,	
falasrutite,	ফলাস্রুটিতে,	ফলশ্রুতিতে,	
bujhtepari,	বুঝতেপারি,	বুঝতেপারি,	
agora,	আগোরা,	আগোরা,	
abarte,	আবার্তে,	আবর্তে,	
chadake,	চাদাকে,	চড়াকে,	
ghatleo,	ঘাটলেও,	ঘটলেও,	
mesenjarer,	মেসেনজারের,	মেসেঞ্জারের,	
shikshakbrindo,	শিক্ষাকবৃন্দ,	শিক্ষকবৃন্দ,	
gurmukh,	গুরমুখ,	গুরমুখ,	
digreeke,	ডিগ্রীকে,	ডিগ্রিকে,	
stander,	স্ট্যান্ডার,	স্ট্যাণ্ডের,	
bajite,	বাজিতে,	বাজিতে,	
ahalya,	অহল্যা,	অহল্যা,	
ghurechen,	ঘুরেছেন,	ঘুরেছেন,	
thailandsaho,	থাইলান্ডসহ,	থাইল্যান্ডসহ,	
sushposhtolikhito,	সুষ্পত্লশিল্িত,	সুষ্পষ্টলিখিত,	
romantik,	রোমান্তিক,	রোমান্টিক,	
shasonkarta,	শাসনকারটা,	শাসনকর্তা,	
jotsna,	জৎস্না,	জ্যোৎস্না,	
abheedhaneek,	অভিধানিক,	অভিধানিক,	
ardasho,	আরদাশো,	আর্দশ,	
jaunotar,	যৌনতার,	যৌনতার,	
durtomo,	দূর্তম,	দূরতম,	
chalachchitra,	চলচ্চিত্র,	চলচ্চিত্র,	
raghubar,	রঘুবার,	রঘুবীর,	
vaisoho,	ভাইসহ,	ভাইসহ,	
trabuco,	ট্র্যাবুকো,	ট্র্যাবুকো,	
templet,	টেম্পলেট,	টেম্পলেট,	
redcrosser,	রেড্রকেসের,	রেডক্রসের,	
elakayi,	এলাকাই,	এলাকাই,	
thaanobhi,	থানভভি,	থানভী,	
shikh,	শিখ,	শিখ,	
deh,	দেহ,	দেহ্,	
pratiyogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
soceitytey,	সকিটটেই,	সোসাইটিতে,	
nagorikra,	নাগরীকরা,	নাগরিকেরা,	
nodnodeer,	নদনীদীর,	নদনদীর,	
byke,	বাইকে,	বাইক,	
suiti,	সুইটি,	সুইটি,	
poripakey,	পরিপাকে,	পরিপাকে,	
sardar,	সারদার,	সরদার,	
jansa,	জানসা,	জন্স,	
amorendro,	অমোরেন্দ্র,	অমরেন্দ্র,	
probolshoktio,	প্রবলশক্তিও,	প্রবলশক্তিও,	
indrakanan,	ইন্দ্রকানান,	ইন্দ্রকানন,	
korimpur,	করিমপুর,	করিমপুর,	
bishasey,	বিষাসে,	বিশ্বাসে,	
myari,	ম্যারি,	ম্যারি,	
sahittopritite,	সাহিত্যপ্রীতিতে,	সাহিত্যপ্রীতিতে,	
skolarsip,	স্কোলারলিপ,	স্কলারশিপ,	
shourshe,	সূর্ষে,	সোর্স,	
bhabaponno,	ভাবপন্ন,	ভাবাপন্ন,	
joones,	যোনস,	জোন্স,	
america,	আমেরিকা,	আমেরিকা,	
nirikh,	নিরিখ,	নিরিখ,	
protibedokrao,	প্রতিবেদকরাও,	প্রতিবেদকরাও,	
shunani,	শুনানি,	শুনানী,	
parka,	পারকা,	পার্ক,	
narsaari,	নার্ারি,	নার্সারি,	
esprito,	এসপ্রিত,	এস্পিরিটো,	
somonwitobhabey,	সমন্বিভতাবে,	সমন্বিতভাবে,	
paira,	পাইরা,	পাইরা,	
ancholgoolote,	অঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
sangosrobomukto,	সংস্রববুমুক্ত,	সংস্রবমুক্ত,	
byatikrami,	ব্যতিক্রমি,	ব্যতিক্রমী,	
dorun,	দরুন,	দরুণ,	
shikshakbrinda,	শিক্ষকবৃন্দ,	শিক্ষকবৃন্দ,	
chaaktir,	চাক্ির,	চাকতির,	
koruna,	কোরুনা,	করুণা,	
gosthike,	গোষ্ঠীকে,	গোষ্ঠীকে,	
kruser,	ক্রুসের,	ক্রুশের,	
kogake,	কোগাকে,	কোগাকে,	
hood,	হুড,	হুড,	
samle,	সামলে,	সামলে,	
bandra,	বন্দ্রা,	বন্দীরা,	
commissionvogider,	কমিমনভোগীদের,	কমিশনভোগীদের,	
aaps,	এপিএস,	এএপিএস,	
wedanta,	ওয়ান্টা,	বেদান্ত,	
rajan,	রাজান,	রাজন,	
infarmatian,	ইনফারমমিিয়ান,	ইনফরমেশন,	
mulbhitti,	মূলভিত্তি,	মূলভিত্তি,	
poste,	পস্তে,	পোষ্টে,	
debdebier,	দেবদেবিয়ের,	দেবদেবীর,	
graambaashee,	গ্রামবাশী,	গ্রামবাসী,	
nothiboddho,	নথিবদ্ধ,	নথিবদ্ধ,	
ajijer,	অজিজের,	আজিজের,	
fiksing,	ফিকসিং,	ফিক্সিং,	
alraji,	আলরাজি,	আলরাজী,	
pleta,	প্লেট,	প্লেটো,	
bijepi,	বিজেপি,	বিজেপি,	
saarbharti,	সারভর্তি,	সার্ভারটি,	
jamkaalo,	জামকালো,	জমকালো,	
ukeliptas,	উকেলেপ্তাস,	ইউক্যালিপ্টাস,	
lyaanding,	ল্যানডিং,	ল্যান্ডিং,	
nick,	নিক,	নিক্,	
jipiusamriddha,	জিপিসমুদ্দ্ধ,	জিপিউসমৃদ্ধ,	
peerry,	পিররি,	পেরি,	
karu,	কারু,	কারু,	
sofie,	সফিয়,	সোফি,	
swajan,	স্বজন,	স্বজন,	
shoreefpur,	শরিফপুর,	শরিফপুর,	
istoone,	ইস্তুনে,	স্টোন,	
rashider,	রশিদের,	রশিদের,	
jorury,	জরুরি,	জরূরী,	
prokar,	প্রকার,	প্রকার,	
ruptan,	রাপতান,	রূপটান,	
noiteekotar,	নৈতিকতার,	নৈতিকতার,	
ghatiti,	ঘাটিটি,	ঘাঁটিটি,	
grootha,	গ্রুথা,	গ্রোথ,	
spreedashita,	স্প্রীদাশিত,	স্প্রেডশীট,	
byatari,	ব্যাতারি,	ব্যাটারী,	
beem,	বিম,	বিম,	
sommotitey,	সম্মতিতে,	সম্মতিতে,	
ooipoka,	ওইপকা,	উইপোকা,	
smarok,	স্মারক,	স্মারক,	
dephinishion,	ডেফিনিশন,	ডেফিনেশন,	
omeettrakkhor,	অমিত্রাক্ষর,	অমিত্রাক্ষর,	
rajtantro,	রাজতান্ত্র,	রাজতন্ত্র,	
hansasya,	হাসসস্য,	হংসস্য,	
peeri,	পীরী,	পেরি,	
beam,	বিম,	বিম,	
poscime,	পস্চিমে,	পশ্চিমে,	
dankaan,	ডানকান,	ডানকান,	
tukroti,	তুক্রটি,	টুকরোটি,	
zozyota,	জোজ্যতা,	যোজ্যতা,	
feroza,	ফেরোজা,	ফিরোজা,	
eshtoniya,	এস্তনীয়,	এস্তোনিয়া,	
chopal,	চোপাল,	চপল,	
chhutir,	ছুটির,	ছুটির,	
katateo,	কটটাতেও,	কাটাতেও,	
firti,	ফিরটি,	ফিরতি,	
average,	এভারেজ,	এভারেজ,	
bolbo,	বলবো,	বলবো,	
dekhso,	দেখসও,	দেখসো,	
paadee,	পাড়ে,	পাড়ে,	
mandanda,	মান্ডানদা,	মানদণ্ড,	
homsher,	হোমশের,	হোমসের,	
noteti,	নটটটি,	নোটটি,	
piulir,	পিউলির,	পিউলির,	
dimbacriti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
lagchhe,	লাগছে,	লাগছে,	
nanabornobishishto,	নানবর্ণবিশিষ্ট,	নানাবর্ণবিশিষ্ট,	
palashir,	পললশীর,	পলাশীর,	
monchosthol,	মন্থস্থল,	মঞ্চস্থল,	
nirdesika,	নির্দেসিকা,	নির্দেশিকা,	
xpose,	এক্সপোস,	এক্সপোজ,	
sahinsatar,	সহিনসততার,	সহিংসতার,	
shcholastic,	স্কললাসটটিক,	স্কলাস্টিক,	
gaphiloti,	গফিলোটি,	গাফিলতি,	
vince,	ভিন্স,	ভিন্স,	
jerusalema,	জেরুসালেমা,	জেরুসালেম,	
gasthi,	গাস্থি,	গোষ্ঠী,	
balatkar,	বালাটকর,	বলাৎকার,	
ujobekeestan,	উজবেকস্তান,	উজবেকিস্তান,	
dufresne,	ডাফ্রেননে,	ডুফরেস্ন,	
antarctika,	অন্তর্টিকটা,	অ্যান্টার্কটিকা,	
terlarang,	টেরলারাং,	তেরলারং,	
musabbirul,	মুসাব্বিরুল,	মুসাব্বিরুল,	
footbalarra,	ফুটবললার,	ফুটবলাররা,	
protijogitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
sheshardhe,	শেষার্ধে,	শেষার্ধে,	
chiraharit,	চিরাহারিত,	চিরহরিৎ,	
survative,	সারভেটিভ,	সারভেটিভ,	
moorali,	মুরললি,	মুরলী,	
maktum,	মাক্তুম,	মাকতুম,	
amiya,	আমিয়া,	অমিয়,	
registrikrito,	রেজিস্ট্রিকৃত,	রেজিস্ট্রীকৃত,	
bishshaasho,	বিষ্বশ,	বিশ্বাসও,	
vabook,	ভাবুক,	ভাবুক,	
chai,	চাই,	ছাই,	
chhutochhuti,	ছুটোছুটি,	ছুটোছুটি,	
chakti,	চাক্তি,	চাকতি,	
drissogulo,	দৃস্মগুলো,	দৃশ্যগুলো,	
gananatyo,	গণনত্্য,	গণনাট্য,	
caramiks,	কারামিকস,	সিরামিকস,	
ganaporibahaner,	গণপরিবাহনের,	গণপরিবহনের,	
birishiritey,	বিরিশিরীতে,	বিরিশিরিতে,	
magrey,	ম্যাগরে,	ম্যাগ্রে,	
nabotom,	নাবোতম,	নবতম,	
kurdider,	কুরদিদের,	কুর্দিদের,	
hupile,	হুপিলে,	হুপিলে,	
dhanyi,	ধননই,	ধন্যি,	
tarkareer,	তারকারীর,	তরকারীর,	
shandra,	শান্দ্রার,	শান্দ্রার,	
kleentoner,	ক্লিন্টনের,	ক্লিনটনের,	
abhidhaanic,	অভিধানিক,	অভিধানিক,	
danakana,	দানাকানা,	ডানকান,	
rokibul,	রোকিবুল,	রকিবুল,	
parther,	পার্থের,	পার্থের,	
dokkhinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
senabahineekey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
minister,	মিনিস্টার,	মিনিস্টার,	
dito,	দিতো,	দিতো,	
milekhanek,	মিলেখানেক,	মাইলখানেক,	
ragee,	রেগ,	রাগী,	
dhani,	ধনী,	ধানি,	
ganesh,	গণেশ,	গণেশ,	
boudhher,	বৌধের,	বৌদ্ধের,	
kaley,	কালে,	কালে,	
nationalser,	নেশনালসের,	ন্যাশনালসের,	
recondishon,	রেকনডিশন,	রিকন্ডিশন,	
coons,	কুন্স,	কুনস,	
hizriite,	হিজরিতে,	হিজরীতে,	
ateetkaale,	অটীটকালে,	অতীতকালে,	
procharjontrogulo,	প্রচারযন্ত্রগুলো,	প্রচারযন্ত্রগুলো,	
laat,	লেট,	লাট,	
uthhaane,	উঠানে,	উঠানে,	
behrampurer,	বেরমারপুরের,	বহরমপুরের,	
mythological,	মিথোলিক্যাল,	মাইথলজিকাল,	
inphormeshon,	ইনফরমেশন,	ইনফরমেশন,	
chalochchitraeei,	চালচ্ছিত্রায়,	চলচ্চিত্রেই,	
societyke,	সোিটিকে,	সোসাইটিকে,	
zerusalem,	জেরুসালেম,	জেরুজালেম,	
akreetokarjo,	আকৃতকার্য্য,	অকৃতকার্য,	
protectionism,	প্রোটেকশনিসম,	প্রোটেকশনিজম,	
krimlin,	ক্রিমলিন,	ক্রিমলিন,	
jomoker,	জমকের,	জমকের,	
muchi,	মুচি,	মুচি,	
philipiner,	ফিলিপিনের,	ফিলিপাইনের,	
shatokeo,	শতোকেও,	শতকেও,	
gopalrao,	গোপালরাও,	গোপালরাও,	
krishibigyani,	কৃষিবিজ্ঞানী,	কৃষিবিজ্ঞানী,	
gratha,	গ্রাথা,	গ্রোথ,	
shumo,	শুমো,	সুমো,	
makame,	মাকামে,	মাকামে,	
heteler,	হেতেলের,	হেটেলের,	
badhamuktovabe,	বাধামুক্তভাবে,	বাধামুক্তভাবে,	
jounotar,	যৌনতার,	যৌনতার,	
falak,	ফালাক,	ফলক,	
swarther,	স্বার্থের,	স্বার্থের,	
kani,	কানী,	কানি,	
rinobodh,	ঋণবোধ,	ঋণবোধ,	
kei,	কেই,	কেই,	
choson,	চসন,	চোষণ,	
tigre,	তিগ্রে,	টাইগার,	
fotanor,	ফটানোর,	ফোটানোর,	
temone,	টেমনে,	তেমনই,	
abheedhanik,	অভিধানিক,	অভিধানিক,	
masjidsaha,	মসজিদসহ,	মসজিদসহ,	
jyesthaa,	জ্যেষ্ঠা,	জ্যেষ্ঠা,	
jyaqa,	জ্যাক,	জ্যাক,	
hank,	হ্যাংক,	হাঙ্ক,	
pyor,	প্যার,	পিওর,	
uddhrita,	উদ্ধৃত,	উদ্ধৃত,	
probeshan,	প্রবেশন,	প্রবেশন,	
salafeta,	সালাফেট,	সালফেট,	
chilahatee,	চিলাহাটি,	চিলাহাটি,	
pettern,	পেটার্ন,	প্যাটার্ন,	
qonfliqt,	কনফ্লিক্ট,	কনফ্লিক্ট,	
perry,	পেরি,	পেরি,	
qarpeta,	কারপেটা,	কার্পেট,	
daqten,	ডাকতেন,	ডাকতেন,	
ultrasonography,	আলট্রোসনোগারফফি,	আলট্রাসনোগ্রাফিও,	
angsogrohone,	অংসগ্রহণে,	অংশগ্রহনের,	
diznee,	দিজনী,	ডিজনী,	
daaoon,	দাওন,	ডাউন,	
adhunikkaley,	আধুনিকলাযে,	আধুনিককালে,	
maudelti,	মাডেলটি,	মডেলটি,	
durgatsabe,	দুর্গতসভাবে,	দুর্গোৎসবে,	
nirikho,	নিরিখো,	নিরিখ,	
bhabotarini,	ভাবতারিণী,	ভবতারিণী,	
canservatian,	কান্সারভিয়ান,	কনসারভেশন,	
dakteekiter,	ডাক্তিকিতের,	ডাকটিকিটের,	
rezidence,	রেজিডেন্সে,	রেসিডেন্স,	
ancholtike,	অঞ্চলটিকে,	অঞ্চলটিকে,	
dacope,	ড্যাকোপে,	দাকোপ,	
panchashjon,	পঞ্চাশযোন,	পঞ্চাশজন,	
ceramicer,	সেরিমিসের,	সিরামিকের,	
cena,	সেনা,	সিনা,	
azaan,	আজান,	আজান,	
lutharan,	লুথারান,	লুথেরান,	
assaciates,	অ্যাসাসিয়েটস,	এসোসিয়েটস,	
societykey,	সোিটিকে,	সোসাইটিকে,	
saver,	সাভার,	সেভার,	
probondhobhittik,	প্রবন্ধভিত্তিক,	প্রবন্ধভিত্তিক,	
aagera,	আগেরা,	আগোরা,	
meloonborrone,	মেলোনবররনে,	মেলবোর্নে,	
shiqara,	শিকারা,	শিকার,	
mukherjee,	মুখের্যে,	মুখার্জী,	
ancholsomuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
nodiitei,	নদীতেই,	নদীতেই,	
nagarikera,	নাগারিকেরা,	নাগরিকেরা,	
jamarate,	জামারাতে,	জামারাতে,	
tunaita,	টুনাইটা,	টুনাইট,	
rakim,	রকিং,	রাকিম,	
beshirbhaagei,	বেশিরভাগেই,	বেশিরভাগেই,	
dara,	দারা,	দারা,	
gitikobita,	গীতকবিবতা,	গীতিকবিতা,	
kormokarke,	কর্মকারকে,	কর্মকারকে,	
korley,	করলে,	করলে,	
shattoki,	শাত্যকি,	সাত্যকি,	
kalnir,	কালনীর,	কালনীর,	
patishapta,	পাতিপট্ট,	পাটিসাপটা,	
ispredsheet,	ইস্প্রেশিড,	স্প্রেডশীট,	
krisenter,	ক্রিসেন্টের,	ক্রিসেন্টের,	
sealvi,	সেলভি,	সিলভি,	
hillse,	হিলসে,	হিলসে,	
firalem,	ফিরালেম,	ফিরালেম,	
madhumati,	মধুমতি,	মধুমতী,	
shiropar,	শিরোপার,	শিরোপার,	
shchalastik,	শ্ক্লাস্তিক,	স্কলাস্টিক,	
ekok,	একক,	একক,	
phising,	ফিসিং,	ফিসিং,	
dubureer,	ডুবুরীর,	ডুবুরির,	
horipur,	হরিপুর,	হরিপুর,	
bhittiti,	ভিত্তিটি,	ভিত্তিটি,	
kanuner,	কানুনের,	কানুনের,	
horiddare,	হরিদ্দারে,	হরিদ্বারে,	
nikate,	নিকাতে,	নিকটে,	
mekon,	মেকন,	মেকং,	
guzon,	গুজন,	গুজব,	
poribahokotto,	পরিবাহকত্ব,	পরিবাহকত্ব,	
pabo,	পাবো,	পাব,	
alexandar,	আলেক্সান্দার,	আলেকজান্ডার,	
dibug,	দিবুগ,	ডিবাগ,	
goonoman,	গৌনমান,	গুণমান,	
dajhyo,	দাঝ্য,	দাহ্য,	
dovaar,	দোভার,	ডোভার,	
raagei,	রাগেই,	রাগেই,	
tirmijii,	তিরমিজি,	তিরমিজি,	
indro,	ইন্দ্র,	ইন্দ্র,	
plator,	প্ল্যাটর,	প্লেটোর,	
shringge,	শ্রেগে,	শৃঙ্গে,	
sheepha,	শীফ,	শেফ,	
jeebanjapon,	জীবনজাপন,	জীবনযাপন,	
sift,	সিফট,	শিফট,	
farna,	ফার্না,	ফার্ন,	
saarbhaarti,	সারভারটি,	সার্ভারটি,	
ekshoti,	একশটি,	একশোটি,	
ranangone,	রণনঙ্গণে,	রণাঙ্গনে,	
bairer,	বাইরের,	বাইরের,	
eukalyptus,	ইউকালাইপ্টাস,	ইউক্যালিপ্টাস,	
doorotomo,	দূরতম,	দূরতম,	
poriikkhateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
chargar,	চাগর,	চার্জার,	
chirontan,	চিরন্তন,	চিরন্তন,	
bade,	বাদে,	বাদে,	
sthitiko,	স্থিতিক,	স্থিতিকো,	
sahooseekotar,	সহুসিকতার,	সাহসিকতার,	
avisongson,	অ্যাসিসংকন,	অভিশংসন,	
udbhaboney,	উদ্ভাবনে,	উদ্ভাবনে,	
uparjon,	উপার্জন,	উপার্জন,	
beetloser,	বিটলসের,	বিটলসের,	
bondishalatei,	বন্দীশালাতেই,	বন্দিশালাতেই,	
byomkesh,	ব্যামকেশ,	ব্যোমকেশ,	
eevil,	ইভিল,	ইভিল,	
toxoid,	টক্সযড,	টক্সয়েড,	
daacktickete,	ডাক্িটকেট,	ডাকটিকিটে,	
jotota,	যততা,	যতোটা,	
ponthaar,	পন্থার,	পন্থার,	
audioguloke,	অডিওগুলোকে,	অডিওগুলোকে,	
militaryr,	মিলিটারির,	মিলিটারির,	
sommotite,	সম্মতিতে,	সম্মতিতে,	
haridware,	হরিদ্বারে,	হরিদ্বারে,	
batsmanei,	ব্যাটসম্যানই,	ব্যাটসম্যানই,	
dhonni,	ধন্নী,	ধন্যি,	
shurugulo,	শুরুগুলো,	শুরুগুলো,	
ekghare,	একঘরে,	একঘরে,	
swartho,	স্বা্থ,	স্বার্থ,	
nazad,	নাজাদ,	নাজাদ,	
rajnikant,	রাজনীকান্ত,	রাজনীকান্ত,	
chaloke,	চালোকে,	চালকে,	
ajuhat,	অজুহাত,	অজুহাত,	
alankorana,	আলাঙ্করণা,	অলঙ্করণ,	
breel,	ব্রিল,	ব্রিল,	
duhsthanostho,	দুঃস্থানস্থ,	দুঃস্থানস্থ,	
chhooteete,	ছুটিতে,	ছুটিতে,	
samajikotar,	সমাজিকতার,	সামাজিকতার,	
shahanara,	শাহানারা,	শাহানারা,	
bisheshshyo,	বিশেষ্য,	বিশেষ্য,	
chakrapani,	চাকরাপানি,	চক্রপানী,	
songkulan,	সংকুলান,	সংকুলান,	
turkyder,	টার্কিডের,	তুর্কিদের,	
husni,	হুসনি,	হুসনি,	
ekhate,	এখাতে,	একহাতে,	
pratisthanikvabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
deool,	দেওল,	দেউল,	
prokolpoti,	প্রকল্পটি,	প্রকল্পটি,	
anusthane,	অনুষ্ঠানে,	অনুষ্ঠানে,	
prothar,	প্রথার,	প্রথার,	
abosare,	অবসারে,	অবসরে,	
ajeejer,	আজেজির,	আজিজের,	
aviyojan,	অভিযোজন,	অভিযোজন,	
