cholochchitrai,	চলচ্চিত্রায়,	চলচ্চিত্রই,	
protectionism,	প্রটেকশনিিমম,	প্রোটেকশনিজম,	
madrasake,	মাদ্রাসাকে,	মাদ্রাসাকে,	
apad,	আপাদ,	আপদ,	
ashirbadatri,	আশীর্বাদতররী,	আশীর্বাদাত্রী,	
aashanka,	আশঙ্কা,	আশংকা,	
chetanagoto,	চেতানাগত,	চেতনাগত,	
narsaari,	নারসারি,	নার্সারি,	
acrolect,	অ্যাক্রোলেক্ট,	অ্যাক্রোলেক্ট,	
bii,	বিআই,	বি,	
miraclee,	মিরাকলি,	মিরাকেল,	
sthapona,	স্থাপনা,	স্থাপনা,	
dholeshwari,	ধলেশ্বরী,	ধলেশ্বরী,	
jegulur,	জেগুলুর,	যেগুলুর,	
dalee,	দালী,	ডালে,	
parisankhanbid,	পরিসংখ্বনবিদ,	পরিসংখ্যানবিদ,	
onupater,	অনুপাতের,	অনুপাতের,	
chaalaabi,	চালাবী,	চালাবে,	
thandabhabe,	ঠান্ডাভাবে,	ঠাণ্ডাভাবে,	
cloring,	ক্লোরিং,	ক্লোরিং,	
chinito,	চিনিত,	চিনতো,	
generalissimo,	জেনারালিসজিম,	জেনারেলিসিমো,	
osoborno,	অসরর্ন,	অসবর্ণ,	
rajbandi,	রাজবন্দি,	রাজবন্দী,	
basermick,	বেসেরমিক,	বেসারমিক,	
ruby,	রুবী,	রুবী,	
sabrakamer,	সাবরাকমের,	সবরকমের,	
kaash,	কাশ,	কাস,	
keu,	কেউ,	কেউ,	
zakharovar,	যাখারোভার,	জাখারোভার,	
amarjito,	অমর্জিত,	অমার্জিত,	
mandarbani,	মান্দারবানি,	মন্দারবাণী,	
mukhyo,	মুখ্য,	মুখ্য,	
abodamaner,	অবদামনের,	অবদমনের,	
plainey,	প্লেইনি,	প্লেনে,	
qor,	কোে,	কর,	
paab,	পাব,	পাব,	
gobeshana,	গবেষণা,	গবেষনা,	
drissogulo,	দৃষ্ণগুলো,	দৃশ্যগুলো,	
pracharanamulak,	প্রচারণামূলক,	প্রচারণামূলক,	
manob,	মানব,	মানব,	
grushko,	গ্রুষকো,	গ্রুশকো,	
taatey,	টাটে,	তাতে,	
abhidhaaner,	অভিধানের,	অভিধানের,	
phiqsa,	ফিকস,	ফিক্স,	
nehle,	নেহলে,	নেহলে,	
vodqa,	ভোডকা,	ভদকা,	
motke,	মতকে,	মতকে,	
shourshe,	শৌর্শে,	সোর্স,	
sharansthal,	শরনস্থল,	শরণস্থল,	
protishtan,	প্রতিষ্টান,	প্রতিষ্টান,	
grambaseer,	গ্রামবাসির,	গ্রামবাসীর,	
protyokkhovabey,	প্রত্যক্ষবাবে,	প্রত্যক্ষভাবে,	
nirabota,	নিরাবতা,	নিরবতা,	
shahanara,	শাহানারা,	শাহানারা,	
horidbar,	হরিদবার,	হরিদ্বার,	
madhuree,	মধুরী,	মাধুরী,	
horiddare,	হরিদদরাে,	হরিদ্বারে,	
highcommissionay,	হাইকোম্সিনে,	হাইকমিশনে,	
shudden,	শুদ্দেন,	সাডেন,	
grahoksebai,	গ্রাহকবেবাই,	গ্রাহকসেবায়,	
umb,	ইউএমবি,	ইউএমবি,	
horipur,	হরিপুর,	হরিপুর,	
sumita,	সুমিতা,	সুমিতা,	
goshthiti,	গোষ্ঠিটি,	গোষ্ঠীটি,	
gatibege,	গতিবেগে,	গতিবেগে,	
veniser,	ভেনিসের,	ভেনিসের,	
abti,	আব্টি,	আবতি,	
oitijje,	ঐতিজ্যে,	ঐতিহ্যে,	
parshwer,	পার্শ্বের,	পার্শ্বের,	
ispreedshiit,	ইসপ্রিদিশিত,	স্প্রেডশীট,	
patengar,	পাটেঙ্গার,	পতেঙ্গার,	
ghatiti,	ঘাটিটি,	ঘাঁটিটি,	
eenameela,	ইনোমিলা,	এনামেল,	
venuser,	ভেনুসের,	ভেনাসের,	
durbhagya,	দুর্ভাগ্য,	দূর্ভাগ্য,	
associatis,	অ্যাসোক্যাইটাসিস,	এসোসিয়েটস,	
postay,	পোস্টে,	পোস্টে,	
gara,	গ্যারা,	গোর,	
satyaky,	সত্যকি,	সাত্যকি,	
shringey,	শ্রিজে,	শৃঙ্গে,	
gronthowo,	গ্রন্থথয,	গ্রন্থও,	
jhonkar,	ঝোঁকার,	ঝঙ্কার,	
japanostho,	জাপানস্থ,	জাপানস্থ,	
mesenjarer,	মেসেঞ্জরের,	মেসেঞ্জারের,	
laga,	লাগা,	লগ,	
elgoridom,	এলজোরিদম,	এলগরিদম,	
noiteekotar,	নৈতিকতার,	নৈতিকতার,	
kuronir,	কুরোনির,	কুরনীর,	
fotanor,	ফটানোর,	ফোটানোর,	
bachai,	বাচাই,	বাছাই,	
kade,	কাদে,	কোড,	
kani,	কানী,	কানি,	
plasse,	প্লাসে,	প্লাসে,	
jani,	জানি,	জনি,	
definition,	ডিফিনিশন,	ডেফিনেশন,	
gandhike,	গাঁধীকে,	গান্ধীকে,	
srk,	এসআরসি,	শাহরুখ,	
faltu,	ফাল্টু,	ফালতু,	
shrabostee,	শ্রাবস্তি,	শ্রাবস্তী,	
okritokarjo,	অক্রিকরাগ্য,	অকৃতকার্য,	
khilaphat,	খিলাফত,	খিলাফত,	
laaz,	লাজ,	লাজ,	
bunot,	বুনোট,	বুনট,	
obosan,	অবসান,	অবসান,	
caramiks,	ক্যারামিকস,	সিরামিকস,	
dobhara,	ডোধারা,	ডোভার,	
milekhanek,	মিলেখানেক,	মাইলখানেক,	
kirti,	কীরটি,	কীর্তি,	
elakaatite,	এলাকাটিতে,	এলাকাটিকে,	
gotirodh,	গতিরোধ,	গতিরোধ,	
jeshtha,	যশশথা,	জ্যেষ্ঠা,	
orbeet,	অরবিত,	অরবিট,	
jorury,	জরিরি,	জরূরী,	
assaciates,	অ্যাসাকিসেস,	এসোসিয়েটস,	
laiseensim,	লেইসিনিম,	লাইসেন্সিং,	
remacry,	রিম্যাক্রি,	রেমাক্রী,	
protishta,	প্রতিষ্টা,	প্রতিষ্টা,	
kotibondhe,	কতিবন্ধে,	কটিবন্ধে,	
kayartara,	কয়ারটর,	কোয়ার্টার,	
quata,	কুয়াতা,	কোটা,	
horash,	হরাশ,	হোরাস,	
sangasthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
myathiou,	ম্যাথিউ,	ম্যাথিউ,	
zonsa,	জোন্সা,	জোন্স,	
shekarone,	শেকারনে,	সেকারণে,	
mukhbondho,	মুখবন্ধ,	মুখবন্ধ,	
nirarthak,	নিরার্থক,	নিরর্থক,	
golghare,	গোলঘরে,	গোলঘরে,	
sallallahu,	সাল্লাল্লাহু,	সল্লাল্লাহু,	
harees,	হরেস,	হ্যারিস,	
ramantika,	রামন্তিকা,	রোমান্টিক,	
ajijer,	আজিজের,	আজিজের,	
ganoparibahaner,	গণপরিবাহণের,	গণপরিবহনের,	
vitti,	ভিত্তি,	ভিত্তিই,	
andra,	আন্দ্রা,	আন্ড্রা,	
mane,	মানে,	মানে,	
koyeeri,	কয়েরি,	কোয়েরি,	
kalirkhal,	কালিরখাল,	কালিরখাল,	
mumtajer,	মুমতাজের,	মুমতাজের,	
chalochchitro,	চালচ্ছিত্র,	চলচ্চিত্র,	
tukrote,	টুকরোতে,	টুকরোতে,	
baarbadoj,	বারবাদজ,	বার্বাডোজ,	
priseflex,	প্রিসেফকেক্স,	প্রাইজফ্লেক্স,	
elakaai,	এলাকাই,	এলাকাই,	
neemitte,	নিমিত্তে,	নিমিত্তে,	
chalochchitrei,	চলচ্চিত্রেই,	চলচ্চিত্রেই,	
favorite,	ফ্যাভরিতে,	ফেভারিট,	
ikboler,	ইকবলের,	ইকবলের,	
mashtarsha,	মাষ্টার্শ,	মাস্টার্স,	
elakasoho,	এলাকাসহ,	এলাকাসহ,	
karmokarke,	কারমককারকে,	কর্মকারকে,	
aansaareer,	আনসারীর,	আনসারীর,	
basaake,	বাসাকে,	বাসাকে,	
sommotitey,	সম্মতিতে,	সম্মতিতে,	
mononiitoder,	মনোনিতদের,	মনোনীতদের,	
minilosar,	মিনিলোসার,	মিনিলোসার,	
aarke,	আরকে,	আরকে,	
digreeke,	ডিগ্রিকে,	ডিগ্রিকে,	
somosto,	সমস্ত,	সমস্ত,	
alonkaran,	অলনকরণ,	অলঙ্করণ,	
saoum,	সাওয়াম,	সাওম,	
soleel,	সোলিল,	সলিল,	
sthapanagulo,	স্থাপনাগুলো,	স্থাপনাগুলো,	
iling,	ইলিং,	ইলিং,	
tata,	টাট,	তাতা,	
latsaheb,	লাতসাহেব,	লাটসাহেব,	
johny,	জোনি,	জনি,	
bagdadii,	বাগদাদী,	বাগদাদী,	
pillai,	পিল্লাই,	পিল্লাই,	
bodhirta,	বোধিরটা,	বধিরতা,	
mesenjjar,	মেসেঞ্জার,	মেসেঞ্জার,	
vejjanno,	ভেজ্জান্ন,	ভেজানো,	
siddhante,	সিদ্ধন্তে,	সিদ্ধান্তে,	
gazeetteed,	গ্যাজেটিড,	গেজেটেড,	
orthanitir,	অর্থানীতির,	অর্থনীতির,	
abhirupbabuke,	অভিরূপবাবুকে,	অভিরূপবাবুকে,	
byke,	বিআইক,	বাইক,	
basaalt,	বেসাল্ট,	ব্যাসল্ট,	
elakaasoho,	এলাকাসহ,	এলাকাসহ,	
sausagee,	সৌসাগী,	সসেজ,	
bhutbhut,	ভূটভূট,	ভুটভুট,	
asamanyo,	অসমান্য,	অসামান্য,	
prity,	প্রিটি,	প্রিটি,	
shishu,	শিশু,	শিশু,	
kobutorer,	কবুতরের,	কবুতরের,	
shnaipara,	স্নাইপার,	স্নাইপার,	
nomo,	নোমো,	নমো,	
bharatey,	ভারতে,	ভারতে,	
oshtader,	ওষ্টাদের,	ওস্তাদের,	
nirbaaho,	নির্বাহও,	নির্বাহ,	
uddhritir,	উদ্ধৃতির,	উদ্ধৃতির,	
feemalee,	ফেমালি,	ফিমেল,	
senabahinikey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
chetanagato,	চেতনাগত,	চেতনাগত,	
besirbhaagi,	বেসিরভাগী,	বেশিরভাগই,	
dip,	ডিপ,	দীপ,	
prakalpatike,	প্রকল্পটিকে,	প্রকল্পটিকে,	
chakradhare,	চক্রধরে,	চক্রধরে,	
cantan,	ক্যান্টান,	ক্যান্টন,	
susamo,	সুসোমো,	সুসম,	
lungiti,	লুঙ্গিটি,	লুঙ্গিটি,	
samajikatar,	সমাজিকতার,	সামাজিকতার,	
rachonakal,	রচনাকাল,	রচনাকাল,	
tophaat,	তোফাত,	তফাৎ,	
abhiyojan,	অভিযোজন,	অভিযোজন,	
graambaasheeo,	গ্রামবশীও,	গ্রামবাসীও,	
mojlish,	মজলিশ,	মজলিশ,	
qara,	কারা,	কর,	
aansareer,	আনসারীর,	আনসারীর,	
upobashii,	উপবাশী,	উপবাসী,	
engrejer,	এংরেজের,	ইংরেজের,	
akhandota,	অখণ্ডতা,	অখণ্ডতা,	
shekender,	শেকেন্দের,	সেকেন্ডের,	
digree,	ডিগ্রি,	ডিগ্রি,	
bhittitei,	ভিত্তিতেই,	ভিত্তিতেই,	
tintikey,	তিনটিকে,	তিনটিকে,	
poorohitra,	পুরহিত্রা,	পুরোহিতরা,	
dacope,	ডাকোপ,	দাকোপ,	
monir,	মনির,	মনির,	
battery,	ব্যাটার,	ব্যাটারী,	
dinifitian,	ডিনিফিশন,	ডেফিনেশন,	
fising,	ফিসিং,	ফিসিং,	
manushti,	মানুষ্টি,	মানুষটি,	
marketin,	মার্কেটিন,	মার্কেটিং,	
directorate,	ডিরেক্টরেট,	ডিরেক্টরেট,	
maarmaader,	মারমাদের,	মারমাদের,	
tigmanshu,	তিগমানশু,	তিগমংশু,	
taronee,	তরণী,	তরণী,	
karpeter,	কারপেটের,	কার্পেটের,	
gronthoti,	গ্রন্থটি,	গ্রন্থটি,	
byabaharkarike,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
shniper,	শ্নিপের,	স্নাইপার,	
swastir,	স্বস্তির,	স্বস্তির,	
hoil,	হইল,	হইল,	
horeepur,	হরিপুর,	হরিপুর,	
corymb,	কর্মিব,	করিম,	
sadeena,	সাদিনা,	সাডেন,	
machgulo,	মাছগুলো,	মাছগুলো,	
dombhoke,	দম্ভকে,	দম্ভকে,	
jatinkey,	জাতিনকে,	যতীনকে,	
kash,	কাশ,	কাস,	
gondhe,	গন্ধে,	গন্ধে,	
steena,	স্তিন,	স্টেন,	
konflict,	কনফ্লিক্ট,	কনফ্লিক্ট,	
akkaas,	আক্কাস,	আককাস,	
benojir,	বেনজির,	বেনজীর,	
agomoney,	আগমনে,	আগমনে,	
serology,	সেরোলজি,	সেরোলজি,	
taigara,	টাইগারা,	টাইগার,	
jeebanjapon,	জীবনজনপন,	জীবনযাপন,	
rohosyoti,	রহস্যতি,	রহস্যটি,	
bisshasyi,	বিশ্বাস্,	বিশ্বাসই,	
rahshahi,	রাহশাহি,	রাহশাহী,	
hevy,	হেভি,	হেভি,	
ramchander,	রামচন্দের,	রামচন্দরের,	
jyesttha,	জ্যেষ্টি,	জ্যেষ্ঠা,	
salchak,	সালচক,	সালচাক,	
siddhantoo,	সিদ্ধান্ত,	সিদ্ধান্তও,	
ministara,	মিনিস্তারা,	মিনিস্টার,	
oitijjo,	ঐতিহ্য,	ঐতিহ্য,	
providere,	প্রভীদেরে,	প্রভাইডারে,	
hindutirtha,	হিন্দুতীর্থ,	হিন্দুতীর্থ,	
siqhar,	সিখার,	শিকার,	
konisttha,	কনিষ্টা,	কনিষ্ঠ,	
hepatetisa,	হেপাটেটিসা,	হেপাটাইটিস,	
laiseensee,	লেইসিন্সি,	লাইসেন্স,	
smarok,	স্মরক,	স্মারক,	
chalochchitraeer,	চলচ্চিত্রারীর,	চলচ্চিত্রের,	
bone,	বনে,	বনে,	
monohputo,	মনোপূত,	মনঃপুত,	
holdim,	হোল্ডিম,	হোল্ডিং,	
prosadhani,	প্রসাধানী,	প্রসাধনী,	
mangolic,	ম্যানগোলিক,	মাঙ্গলিক,	
kyathlik,	ক্যাথলিক,	ক্যাথলিক,	
karaa,	কারা,	কারো,	
jeten,	জেতেন,	জেতেন,	
daybhager,	দায়ভাগের,	দায়ভাগের,	
byaboharkariyi,	ব্যবহারকারী,	ব্যবহারকারীই,	
poriharsoho,	পরিহারসহ,	পরিহারসহ,	
degree,	ডিগ্রি,	ডিগ্রি,	
valobasen,	ভালোবাসেন,	ভালোবাসেন,	
orhan,	ওরহান,	ওরহান,	
hol,	হোল,	হোল,	
carlo,	কার্লো,	কার্লো,	
graminphonor,	গ্রামিনফোনোর,	গ্রামীণফোনর,	
osthishondhi,	অস্থিশন্ধি,	অস্থিসন্ধি,	
sonaktokaran,	সোনাক্তকরণ,	সনাক্তকরণ,	
jesh,	জেশ,	জেস,	
mukharji,	মুখর্জি,	মুখার্জী,	
lotharan,	লোথারন,	লুথেরান,	
eoki,	এইকি,	এওকি,	
armashtram,	আর্মাষ্ট্রম,	আর্মস্ট্রং,	
kichutei,	কিছুতেই,	কিছুতেই,	
edseler,	এডসেলের,	এডসেলের,	
recondishon,	রেকন্ডিশন,	রিকন্ডিশন,	
karecho,	কারেছো,	করেছ,	
paira,	পিইই়ার,	পাইরা,	
seshardhe,	শেষার্ধে,	শেষার্ধে,	
renoo,	রেনো,	রেনো,	
osamanno,	অসমান্য,	অসামান্য,	
prosadhoner,	প্রসাধনের,	প্রসাধনের,	
relance,	রিলেন্স,	রিলায়েন্স,	
krisenta,	ক্রিসেন্টা,	ক্রিসেন্ট,	
oncholeo,	অঞ্চলেও,	অঞ্চলেও,	
zohns,	জনস্,	জন্স,	
turkeyder,	তুরকেদের,	তুর্কিদের,	
lahano,	লাহানো,	লাহানো,	
bisnukey,	বিস্নুকে,	বিষ্ণুকে,	
fasi,	ফাসি,	ফাঁসী,	
jalarong,	জালারাং,	জলরঙ,	
nirmankaaj,	নির্মানকাজ,	নির্মাণকাজ,	
dhangsachchi,	ধাবংসচ্ছি,	ধ্বংসাচ্ছি,	
parka,	পারকা,	পার্ক,	
saifullahil,	সাইফুল্লাহিল,	সাইফুল্লাহিল,	
motabolombira,	মতাবলম্বীরা,	মতাবলম্বীরা,	
aalkaatra,	অলকাত্র,	আলকাতরা,	
uindos,	উইননদ,	উইন্ডোস,	
kanuner,	কানুনের,	কানুনের,	
poribahokotto,	পরিবাহকত্ব,	পরিবাহকত্ব,	
mythological,	মিথলজিকাল,	মাইথলজিকাল,	
torkarite,	তর্কারিতে,	তরকারিতে,	
masjidtir,	মাসজিদটির,	মসজিদটির,	
mandope,	ম্যান্ডপে,	মন্ডপে,	
waal,	ভেয়াল,	উল,	
indrakanan,	ইন্দ্রকানন,	ইন্দ্রকানন,	
pharanyeta,	ফরণ্যেত,	ফরম্যাট,	
gobeshonar,	গবেষণার,	গবেষনার,	
lishenshe,	লিশেন্সে,	লাইসেন্স,	
shhow,	শোভ,	শো,	
deputy,	ডিপুটি,	ডেপুটি,	
gaaddafee,	গাদ্দাফী,	গাদ্দাফী,	
majdur,	মাজদুর,	মজদুর,	
shangsthatikey,	সাংস্থাটিকে,	সংস্থাটিকে,	
guzon,	গুজন,	গুজব,	
sithilota,	সিথিলতা,	শিথিলতা,	
daktickete,	ড্যাকটিকেতে,	ডাকটিকিটে,	
shukraanoo,	শুক্রানৌ,	শুক্রানু,	
drabyatah,	দ্রব্যাতঃ,	দ্রব্যতঃ,	
saralya,	সরল্যা,	সারল্য,	
dienes,	ডায়েনিস,	ডিএনএস,	
aporishodhito,	অপরিষধিত,	অপরিশোধিত,	
ekshoti,	একশতি,	একশোটি,	
maadla,	মাদলা,	মাদলা,	
bohudeen,	বহুদীন,	বহুদিন,	
phartha,	ফার্া,	ফার্থ,	
futote,	ফুটোতে,	ফুটোতে,	
peterke,	পেটারকে,	পিটারকে,	
kathmandute,	কাঠমণ্ডুতে,	কাঠমান্ডুতে,	
rajtantrey,	রাজতন্ত্রে,	রাজতন্ত্রে,	
paadee,	পদি,	পাড়ে,	
protijogiider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
munsi,	মুনসি,	মুন্সী,	
kode,	কোদ,	কোড,	
muhuriganj,	মুহুরীগঞ্জ,	মুহুরীগঞ্জ,	
saramukhe,	সারামুখে,	সারামুখে,	
karmazog,	কার্মযোগ,	কর্মযোগ,	
beshirbhaagei,	বেশীরভাগেই,	বেশিরভাগেই,	
jacksoner,	জ্যাকসনের,	জ্যাকসনের,	
hock,	হকক,	হুক,	
kholdhular,	খোলধুলার,	খোলধূলার,	
krus,	ক্রুস,	ক্রুশ,	
ghuznavi,	ঘুজনাভি,	গজনভি,	
chhuteer,	ছুটির,	ছুটির,	
gopalrao,	গোপালরাও,	গোপালরাও,	
baieq,	বেইইক,	বাইক,	
gaphiloti,	গ্যাফিলোটি,	গাফিলতি,	
bhagnekeo,	ভাগনেজেও,	ভাগ্নেকেও,	
eshtoniya,	এস্তনিয়া,	এস্তোনিয়া,	
pleto,	প্লেটো,	প্লেটো,	
sorting,	সর্টিং,	সর্টিং,	
bhangle,	ভাঙ্গলে,	ভাঙলে,	
byabosthar,	ব্যবস্থার,	ব্যাবস্থার,	
pingna,	পিংনা,	পিংনা,	
amarika,	আমারিকা,	আমেরিকা,	
bosturoi,	বস্তুরই,	বস্তুরই,	
kleentoner,	ক্লিনেননের,	ক্লিনটনের,	
ceramicsh,	সেরামিকস,	সিরামিকস,	
shektor,	শেখতোর,	সেক্টর,	
saabyastha,	সব্যস্থ,	সাব্যস্থ,	
metrikoleshana,	মেত্রিকলেশনা,	মেট্রিকোলেশন,	
sohinsotar,	সহহিনসতার,	সহিংসতার,	
bisheshya,	বিশেষ্য,	বিশেষ্য,	
kuttake,	কুট্টাকে,	কুত্তাকে,	
hamburgey,	হ্যামবার্গে,	হামবুর্গে,	
bashoborty,	বাশবর্তী,	বশবর্তী,	
jandrel,	জান্দ্রেল,	জাঁদরেল,	
edipass,	এডিপ্স,	ইডিপাস,	
fatakesto,	ফাটাকেস্তো,	ফাটাকেষ্ট,	
huka,	হুকা,	হুক,	
shommotite,	সম্মতিতে,	সম্মতিতে,	
average,	এভারেজ,	এভারেজ,	
chalai,	চালাই,	চালাবে,	
setike,	সেটিকে,	সেটিকে,	
babare,	বাবারে,	বাবারে,	
mercial,	মার্সিয়াল,	মার্শিয়াল,	
taims,	টেইমস,	টাইমস্,	
ponchaashjon,	পঞ্চাশজন,	পঞ্চাশজন,	
panchashjan,	পঞ্চশজন,	পঞ্চাশজন,	
baaik,	বাইক,	বাইক,	
jakatke,	জাকাতকে,	যাকাতকে,	
barrageke,	বার্াজেকে,	ব্যারেজকে,	
eesa,	আইএসএ,	আইএএস,	
sharoker,	শারকের,	স্মারকের,	
ghamtaa,	ঘামটা,	ঘোমটা,	
muradkey,	মুরাদকে,	মুরাদকে,	
deelibhara,	ডেলিভারা,	ডেলিভার,	
loombinee,	লুমবিনি,	লুম্বিনী,	
taderek,	তাদেরেক,	তাদেরেক,	
dormitory,	ডর্মিটরি,	ডরমিটরি,	
cheerokoomari,	চিরকৌমারী,	চিরকুমারী,	
harbore,	হারবরে,	হারবারে,	
fastag,	ফাস্টাগ,	ফ্যাসট্যাগ,	
sontoshpur,	সন্তোষপুর,	সন্তোষপুর,	
ishton,	ইস্তন,	স্টোন,	
alexandar,	আলেক্সান্ডার,	আলেকজান্ডার,	
salsa,	সালসা,	সালসা,	
sylvi,	সিলভি,	সিলভি,	
doneta,	ডোনেটা,	ডোনাট,	
siddharther,	সিদ্ধার্থের,	সিদ্ধার্থের,	
argho,	অর্ঘ,	অর্ঘ্য,	
saarbharti,	সারভারটি,	সার্ভারটি,	
rejidens,	রেজিডেনস,	রেসিডেন্স,	
fansi,	ফানসি,	ফাঁসী,	
laesensh,	লেইসেনস,	লাইসেন্স,	
bhujangta,	ভুজংটা,	ভুজঙ্গটা,	
uchchotara,	উচ্চতারা,	উচ্চতর,	
jamanataswarup,	জনমকাস্বরূপ,	জামানতস্বরূপ,	
promodwara,	প্রমোদ্বারা,	প্রমদ্বারা,	
jor,	জোয়,	জ্বর,	
anektai,	অনেকটাই,	অনেকটাই,	
mmehonoti,	ম্মেহনতি,	মেহনতি,	
directarate,	ডাইরেক্টরেট,	ডিরেক্টরেট,	
arthonitir,	অর্থনীটির,	অর্থনীতির,	
hugheke,	হুগেকে,	হিউজকে,	
kaamij,	কমিজ,	কামিজ,	
ajibooner,	অজিবুনের,	আজীবনের,	
shajano,	শাজানো,	সাজানো,	
kadakhonchar,	কাদাখোঁচার,	কাদাখোঁচার,	
mukhamandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
doorger,	ডুর্গের,	দুর্গের,	
deares,	ডিয়ার্স,	ডিআরএস,	
fakhrul,	ফখরুল,	ফাখরুল,	
armeeniyana,	আরমিনিয়ান,	আর্মেনিয়ান,	
ateetkaale,	অতীতকালে,	অতীতকালে,	
cheekitshar,	চিকিৎ্ার,	চিকিত্সার,	
phood,	ফুড,	ফুড,	
saqara,	সাকারা,	সাকার,	
siraju,	সিরাজু,	সিরাজু,	
proteemake,	প্রতিমাকে,	প্রতিমাকে,	
dolu,	দলু,	ডলু,	
bosantake,	বসন্তাকে,	বসন্তকে,	
beauby,	বিউবি,	বিউবি,	
ghoshito,	ঘোষিত,	ঘোষিত,	
dera,	ডিরা,	ডেরা,	
oncholtee,	অঞ্চলটি,	অঞ্চলটি,	
ghatleo,	ঘাটলেও,	ঘটলেও,	
janghu,	জঙ্ঘু,	জঙ্ঘু,	
rashider,	রশিদের,	রশিদের,	
ghomtaa,	ঘোমটা,	ঘোমটা,	
spredashiita,	স্প্রেণাশীতা,	স্প্রেডশীট,	
orrgho,	অর্ঘ,	অর্ঘ্য,	
rohinibabu,	রোহিনিবাবু,	রোহিনীবাবু,	
injiniyarim,	ইঞজিনিয়ারিম,	ইঞ্জিনিয়ারিং,	
hank,	হাঁক,	হাঙ্ক,	
saria,	সরিয়া,	সরিয়া,	
udyem,	উদ্যেম,	উদ্যেম,	
jhumjhumita,	ঝুমঝুমিতা,	ঝুমঝুমিটা,	
bakhyateet,	বাখ্যাটিত,	ব্যাখ্যাতীত,	
langhangulir,	লঙ্ঘনগুলির,	লঙ্ঘনগুলির,	
prosadhaner,	প্রসাধনের,	প্রসাধনের,	
madrasa,	মাদ্রাসা,	মাদ্রাসা,	
neshnosh,	নেশনোষ,	নেশনস,	
kanar,	কানার,	কণার,	
cn,	সিএনএ,	সিএন,	
graambashee,	গ্রামবেশী,	গ্রামবাসী,	
encidablu,	এনসিডাবলু,	এনসিডাব্লু,	
teter,	টেটের,	টেটের,	
arthurer,	আর্থুরের,	আর্থারের,	
shansthagulo,	শান্স্থগুলো,	সংস্থাগুলো,	
brekethru,	ব্রেকেট্রু,	ব্রেকথ্রু,	
pooshti,	পুষ্টি,	পুষ্টি,	
akkheperi,	অক্ষেপেরই,	আক্ষেপেরই,	
girilal,	গিরিলাল,	গিরিলাল,	
bhramarotsab,	ভ্রমরোত্সব,	ভ্রমরোৎসব,	
prime,	প্রাইম,	প্রাইম,	
bodhir,	বোধীর,	বধির,	
akpashe,	আকপাশে,	একপাশে,	
milton,	মিলটন,	মিলটন,	
bajpa,	বাজপা,	বাজপা,	
jommu,	জম্মু,	জম্মু,	
toptoshele,	তপ্তশেলে,	তপ্তশেলে,	
esasiyetasa,	এসাসিয়েটস,	এসোসিয়েটস,	
hastantar,	হস্তান্তর,	হস্তান্তর,	
samaptir,	সামাপ্তির,	সমাপ্তির,	
myat,	ম্যাট,	ম্যাট,	
bikargrosto,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
bhagno,	ভাগনো,	ভগ্ন,	
baffer,	ব্যাফার,	বাফার,	
asaktibandhan,	অসক্তিবন্ধন,	আসক্তিবন্ধন,	
israelbahini,	ইসরাালবাহিনী,	ইস্রায়েলবাহিনী,	
bosante,	বসান্তে,	বসন্তে,	
anubhutimalar,	অনুভূতিমোলার,	অনুভূতিমালার,	
khelechen,	খেলেছেন,	খেলেছেন,	
tarunra,	তরুণরা,	তরুণরা,	
bostubad,	বস্তুবাদ,	বস্তুবাদ,	
idyi,	ইদ্যি,	আইডিই,	
aaziz,	আজিজ,	আজিজ,	
elaaka,	এলাকা,	এলাকা,	
mercedes,	মার্েড,	মার্সেডেস,	
landin,	ল্যান্ডিন,	ল্যান্ডিং,	
murader,	মুরাদের,	মুরাদের,	
dibi,	দিবি,	দিবি,	
shikhaboudi,	শিখববৌড়ি,	শিখাবৌদি,	
kraim,	ক্রেম,	ক্রাইম,	
mosjidtir,	মসজিদটির,	মসজিদটির,	
toxoid,	টক্সডয়েড,	টক্সয়েড,	
istoone,	ইস্তুন,	স্টোন,	
snehban,	স্নেহবান,	স্নেহবান,	
marpit,	মারপিট,	মারপিট,	
jatinke,	জাতিনকে,	যতীনকে,	
sucre,	সুক্রে,	সাকার,	
uddharkarmirai,	উদ্ধারকর্মীরাই,	উদ্ধারকর্মীরাই,	
prothakey,	প্রথাকে,	প্রথাকে,	
aalaa,	আলা,	আলা,	
palashir,	পলাশির,	পলাশীর,	
mohammadi,	মোহম্মদি,	মুহাম্মদী,	
mastarsa,	মস্তরাস্,	মাস্টার্স,	
manush,	মানুষ,	মানুষ,	
kindom,	কিন্দম,	কিংডম,	
uparjoner,	উপার্জনের,	উপার্জনের,	
rajtontro,	রাজতন্ত্র,	রাজতন্ত্র,	
motkey,	মোককে,	মতকে,	
palkee,	পালকি,	পাল্কি,	
dara,	দারা,	দারা,	
adhyattikota,	আধ্যাত্মিকতা,	আধ্যাত্মিকতা,	
phutbolarder,	ফুটবলারদের,	ফুটবলারদের,	
torabganj,	তোরাগঞঞ্জ,	তোরাবগঞ্জ,	
