windows,	উইন্ডোাস,	উইন্ডোস,	
goolen,	গুলেন,	গুলেন,	
anutpadanshil,	অনুতপাদনশীল,	অনুৎপাদনশীল,	
anisa,	আনিসা,	আনিস,	
madhabi,	মাধবী,	মাধবী,	
gaj,	গজ,	গেজ,	
hood,	হাড,	হুড,	
chirantan,	চিরান্তন,	চিরন্তন,	
ahalyar,	অহল্যার,	অহল্যার,	
seo,	সেও,	সেও,	
parking,	পারকিং,	পার্কিং,	
torunosomriddho,	তরুণসমৃদ্ধ,	তরুণসমৃদ্ধ,	
dorneca,	ডো্নেকা,	ডরনেকা,	
noitikota,	নৈতিকতা,	নৈতিকতা,	
baarnis,	বার্নিস,	বার্নিশ,	
aagera,	আগেরা,	আগোরা,	
karima,	কারিমা,	করিম,	
rajdhani,	রাজধানী,	রাজধানি,	
meghacchonno,	মেঘাচ্যন্ন,	মেঘাচ্ছন্ন,	
sommoteer,	সম্মতির,	সম্মতির,	
gonjona,	গঞ্জনা,	গঞ্জনা,	
swartho,	স্বার্থ,	স্বার্থ,	
pratisthasaho,	প্রতিস্থাসহ,	প্রতিষ্ঠাসহ,	
hitokor,	হিটোকোর,	হিতকর,	
remakri,	রেমাক্রি,	রেমাক্রী,	
panchasjan,	পঞ্চজসজন,	পঞ্চাশজন,	
abti,	আবটি,	আবতি,	
notey,	নোটে,	নোটে,	
shekarone,	শেকারণে,	সেকারণে,	
tonoo,	তোনো,	তনু,	
armashtram,	আর্মস্থ্রম,	আর্মস্ট্রং,	
pathanatak,	পাঠানাকক,	পথনাটক,	
gobeshonar,	গবেষণার,	গবেষনার,	
drissogulote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
korush,	করুশ,	ক্রুশ,	
tigre,	তিগ্রে,	টাইগার,	
chongar,	চঙ্গর,	চোঙ্গার,	
sahinsatar,	সহিনসতার,	সহিংসতার,	
chatrorai,	ছাত্ররাই,	ছাত্ররাই,	
faaj,	ফজজ,	ফাজ,	
jamseder,	জামসেদের,	জামসেদের,	
obdee,	বব্দি,	অব্দি,	
medilek,	মেদিলেক,	মেডিলেক,	
nehle,	নেহলে,	নেহলে,	
venisey,	ভেনিসে,	ভেনিসে,	
nisshongotake,	নিঃশঙ্গতাকে,	নিঃসঙ্গতাকে,	
monur,	মনুর,	মনুর,	
purbanchaler,	পূর্বাঞ্চলের,	পূর্বাঞ্চলের,	
shukrabab,	শুক্রবাব,	শুক্রবাব,	
inphormeshon,	ইনফ্রোশেন,	ইনফরমেশন,	
rahimed,	রহিমেদ,	রহিমেদ,	
matt,	ম্যাট,	ম্যাট,	
barbadoj,	বারবাদজ,	বার্বাডোজ,	
shilpikuler,	শিল্পিকুলের,	শিল্পীকুলের,	
panda,	পান্ডা,	পান্ডে,	
soleel,	সলিল,	সলিল,	
dhaleshwari,	ধলেশ্বরী,	ধলেশ্বরী,	
kinsa,	কিনসা,	কিংস,	
definition,	ডিফিশনশন,	ডেফিনেশন,	
lisense,	লিসেন্স,	লাইসেন্স,	
hansasya,	হাঁসস্য,	হংসস্য,	
longhan,	লঙ্ঘন,	লংঘন,	
shniper,	শ্নীপের,	স্নাইপার,	
bitertrate,	বিটার্ট্রেট,	বাইটারট্রেট,	
greenald,	গ্রিনাল্ড,	গ্রিনল্ড,	
bhogiroth,	ভোগীরথ,	ভগীরথ,	
bishashke,	বিশাশকে,	বিশ্বাসকে,	
rena,	রেনা,	রেনো,	
nathivukteer,	নথিভুক্তের,	নথিভুক্তির,	
shikshakbrinda,	শিক্ষাকবৃন্দ,	শিক্ষকবৃন্দ,	
pleena,	প্লিনা,	প্লেন,	
chokrantosoho,	চক্রান্তসহ,	চক্রান্তসহ,	
nick,	নিক,	নিক্,	
poorohitra,	পুরোহিত্র,	পুরোহিতরা,	
saoum,	সাওম,	সাওম,	
bairey,	বাইরে,	বাইরে,	
registrikrito,	রেজিস্ট্রিকৃত,	রেজিস্ট্রীকৃত,	
graambasheeo,	গ্রামবাশীও,	গ্রামবাসীও,	
kabutorer,	কবুতরের,	কবুতরের,	
karuna,	কাুনা,	করুণা,	
skolastik,	স্কলাস্তিক,	স্কলাস্টিক,	
abhidhanick,	অভিধানিক,	অভিধানিক,	
saptahokal,	সপ্তাহকাল,	সপ্তাহকাল,	
timoothi,	তিমুথি,	টিমোথি,	
milekhanek,	মিলেখানেক,	মাইলখানেক,	
vange,	ভ্ঙ্গে,	ভাঙ্গে,	
proo,	প্রো,	প্রো,	
qlauda,	ক্লাদ,	ক্লাউড,	
chhuti,	ছুটি,	ছুটি,	
baibosthar,	বৈবস্থার,	ব্যবস্থার,	
perri,	পেরি,	পেরি,	
deeares,	ডায়ারেস,	ডিআরএস,	
dakshinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
shikhra,	শিখরা,	শিখরা,	
paramartha,	পরমার্থ,	পরমার্থ,	
ahmed,	আহমেদ,	আহামদ,	
russad,	রুসাদ,	রুশদ,	
morathee,	মরাথি,	মরাঠি,	
pratiyogitar,	প্রতিযোগীতার,	প্রতিযোগীতার,	
bonsho,	বংশ,	বংশ,	
rohasyati,	রোহাস্যাটি,	রহস্যটি,	
corsin,	কর্সিন,	করসিন,	
cloring,	ক্লোরিং,	ক্লোরিং,	
roopdaan,	রূপদান,	রুপদান,	
fooloo,	ফুলো,	পোলো,	
laishenshim,	লাইশেনশিম,	লাইসেন্সিং,	
donat,	দোনাত,	ডোনাট,	
chheher,	ছেহের,	ছেহের,	
onkush,	অঙ্কুষ,	অংকুশ,	
chrystal,	ক্রিস্টলাল,	ক্রাইস্টাল,	
ajij,	আজিজ,	আজিজ,	
pouchute,	পৌছুতে,	পৌঁছুতে,	
graambasio,	গ্রামবাসিও,	গ্রামবাসীও,	
shringge,	শ্রিংগে,	শৃঙ্গে,	
aatmobishwasi,	আত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
shardotsobei,	শার্তদসবেই,	শারদোৎসবেই,	
prodiiper,	প্রদীপেয়ের,	প্রদীপের,	
poketchorder,	পকেটচর্ডের,	পকেটচরদের,	
kinsha,	কিনশা,	কিংস,	
gyada,	জ্ঞাদা,	গ্যাদা,	
oitijhya,	ঐতিহ্যা,	ঐতিহ্য,	
vogno,	ভোগ্ন,	ভগ্ন,	
drishi,	দ্রিশি,	দৃশ্যই,	
mexicoteo,	মেক্সিকোটোও,	মেক্সিকোতেও,	
emarjenshi,	এমারজেন্সি,	এমার্জেন্সি,	
deputee,	দেপুটি,	ডেপুটি,	
palta,	পাল্টা,	পালটা,	
quartar,	কোয়ার্টার,	কোয়ার্টার,	
torunderke,	তরুণ্ডরকে,	তরুণদেরকে,	
ameettrakkhor,	আমিত্রাক্ষর,	অমিত্রাক্ষর,	
japanostho,	জাপানস্থ,	জাপানস্থ,	
amar,	আমার,	আমর,	
shho,	শাপ,	শো,	
marketin,	মার্কেটিন,	মার্কেটিং,	
raia,	রাইয়া,	রায়,	
rifleksa,	রিফলেকসা,	রিফ্লেক্স,	
jerushalema,	জেরুশালামা,	জেরুসালেম,	
awrbit,	আইরবিট,	অরবিট,	
rakkhanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
aansaareer,	আনসারীর,	আনসারীর,	
prachirer,	প্রাচীরের,	প্রাচিরের,	
palestine,	প্যালেস্টাইন,	প্যালেস্টাইনে,	
rajotwo,	রাজত্ব,	রাজত্ব,	
bhangchur,	ভংংচুর,	ভাংচুর,	
ranangane,	রনাঙ্গনে,	রণাঙ্গনে,	
kaaferder,	কাফেরদের,	কাফেরদের,	
neerbahi,	নির্বাহী,	নির্বাহি,	
elakaate,	এলাকাতে,	এলাকাতে,	
literacy,	লাইটারেসি,	লিটারেসি,	
bidhirnityang,	বিধির্নিত্যাং,	বিধির্নিত্যং,	
hughkey,	হাগকে,	হিউজকে,	
sookumari,	সুকুমারী,	সুকুমারী,	
bhejaano,	ভেজানও,	ভেজানো,	
ganoporibahoner,	গণপরিবহনের,	গণপরিবহনের,	
bidyadanke,	বিদ্যাদানকে,	বিদ্যাদানকে,	
sofie,	সোফি,	সোফি,	
chamski,	চাস্ককি,	চমস্কি,	
horippur,	হরিপুর,	হরিপুর,	
lajik,	লাজিক,	লজিক,	
gannaprakasham,	গণ্যপ্রকাশম,	গন্নাপ্রকাশম,	
peengna,	পিনগানা,	পিংনা,	
jahangirbad,	জাহাঙ্গীবর্দ,	জাহাঙ্গীরবাদ,	
samaptir,	সমাপ্তির,	সমাপ্তির,	
alexanderke,	আলেক্সান্ডারকে,	আলেকজান্ডারকে,	
danata,	দানাটা,	ডোনাট,	
songkolonti,	সংকলনটি,	সংকলনটি,	
nirgaman,	নির্গামান,	নির্গমন,	
maailkhanek,	মাইলখাডেক,	মাইলখানেক,	
protijogiitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
parq,	পারক,	পার্ক,	
spashtotai,	স্পষ্টতায়,	স্পষ্টতই,	
confliqt,	কনফ্লিক্ট,	কনফ্লিক্ট,	
metrikoleshana,	মেট্রিকোলেশন,	মেট্রিকোলেশন,	
niropekkho,	নিরপেক্ষ,	নিরপেক্ষ,	
oisamoyer,	ওসাময়ের,	ঐসময়ের,	
hydrological,	হাইড্রোলজিক্যাল,	হাইড্রোলজিক্যাল,	
directorete,	ডিরেক্টরতে,	ডিরেক্টরেট,	
alumni,	আলুমনি,	অ্যালমনি,	
chaka,	চাকা,	চাকা,	
akmato,	আকমাতো,	একমত,	
hertj,	হার্টজ,	হার্জ,	
asovyo,	অসভ্য,	অসভ্য,	
shoriph,	শরিফ,	শরিফ,	
poddhotiteyi,	পদ্ধতিতে,	পদ্ধতিতেই,	
bandhan,	বাঁধান,	বাঁধন,	
segulo,	সেগুলো,	সেগুলো,	
bouddho,	বৌদ্ধ,	বৌদ্ধ,	
volapuk,	ভলাপুক,	ভোলাপুক,	
koyekbare,	কয়েকবারে,	কয়েকবারে,	
cxt,	সিএসটিএ,	সিএক্সটি,	
omarader,	ওমারাদের,	ওমারাদের,	
valobasen,	ভালোবাসেন,	ভালোবাসেন,	
esprito,	এস্প্রিত,	এস্পিরিটো,	
swairacharibirodhi,	স্বৈরাচারবিরোধী,	স্বৈরাচারীবিরোধী,	
jaatti,	জাত্তি,	জাতটি,	
israelbahini,	ইসরালিইফাহিনি,	ইস্রায়েলবাহিনী,	
tukrote,	তুকরোতে,	টুকরোতে,	
moomtaj,	মুমতাজ,	মুমতাজ,	
buddhitii,	বুদ্ধিটি,	বুদ্ধিটিই,	
satarkabhabey,	সতর্কভাবে,	সতর্কভাবে,	
drishyogulotey,	দৃশ্যগুলিতে,	দৃশ্যগুলোতে,	
shanno,	শান্ন,	সান্নো,	
heteler,	হেটেলের,	হেটেলের,	
difinishian,	ডিফিনিভনিন,	ডেফিনেশন,	
domone,	ডমনে,	দমনে,	
chhutee,	ছুটি,	ছুটি,	
dipti,	দীপ্তি,	ডেপুটি,	
ovinetar,	অভিনেতার,	অভিনেতার,	
salafeta,	সালাফেটা,	সালফেট,	
madhoori,	মাধুরি,	মাধুরী,	
jotsna,	জোস্ন,	জ্যোৎস্না,	
shfingtar,	শ্বিংটার,	স্ফিংটার,	
farid,	ফারিদ,	ফরিদ,	
amburi,	অম্বুরী,	আম্বুরি,	
mahibur,	মহিবুর,	মহিবুর,	
duiekdiner,	দুইেকদীনের,	দুইএকদিনের,	
ohalyar,	ওহাল্যার,	অহল্যার,	
talgachh,	তালগাছ,	তালগাছ,	
dhangsachchi,	ধ্বংসচ্চি,	ধ্বংসাচ্ছি,	
karlei,	করলেই,	করলেই,	
sarsa,	সারসা,	সোর্স,	
kayartara,	কায়ার্তরা,	কোয়ার্টার,	
kusumeshu,	কুসুমেষু,	কুসুমেষু,	
kantajir,	কান্তাজীর,	কান্তজির,	
uttor,	উত্তর,	উওর,	
bangulzai,	বাঙ্গুলজাই,	বঙ্গুলিজাই,	
teenej,	তেনিজ,	টিনেজ,	
prakar,	প্রকার,	প্রকার,	
byaboharkarike,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
shresthoshcho,	শ্রেষ্ঠচ্চ,	শ্রেষ্ঠশ্চ,	
aashtikotaa,	অষ্টিকতা,	আস্তিকতা,	
shukraanoo,	শুকরানৌ,	শুক্রানু,	
thakeni,	থাকেনি,	থাকেনি,	
kobulennechha,	কবুলেনেনছা,	কবুলেন্নেছা,	
simaa,	সিমা,	সীমা,	
spredashiita,	স্প্রেডাশিয়াট,	স্প্রেডশীট,	
beauby,	বিউবি,	বিউবি,	
bosano,	বসানো,	বসানো,	
huk,	হুক,	হুক,	
beshyasdone,	বেশ্যাদসনে,	বেশ্যাসদনে,	
bhabaaponno,	ভবপান্য,	ভাবাপন্ন,	
hosne,	হোসনে,	হোসনে,	
motabolombira,	মতাবলম্বীরা,	মতাবলম্বীরা,	
deep,	দীপ,	দীপ,	
sportstar,	স্পোর্টস্টার,	স্পোর্টসস্টার,	
obosan,	অবসান,	অবসান,	
reshidensha,	রেশিদেনশা,	রেসিডেন্স,	
ovarview,	ওভারভিউ,	ওভারভিউ,	
dhandu,	ধন্দু,	ধন্দু,	
nutunotto,	নুতুনত্ব,	নতুনত্ব,	
highcommissionay,	হাইক্সোমিনিয়া,	হাইকমিশনে,	
abhidhaanic,	অভিধানিক,	অভিধানিক,	
niemond,	নিইমন্ড,	নিমন্ড,	
bandra,	বন্দ্রা,	বন্দীরা,	
ancholgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
koordider,	করর্ডাইডের,	কুর্দিদের,	
pronoti,	প্রণতি,	প্রণতি,	
chemjong,	চেমগং,	চেমজং,	
pader,	পাদের,	প্যাডের,	
maailey,	মাইলে,	মাইলে,	
moushum,	মৌশুম,	মৌসুম,	
touraat,	তররাত,	তওরাত,	
dormitory,	ডর্মিটরি,	ডরমিটরি,	
palkee,	পালকী,	পাল্কি,	
dorgah,	দরগাহ,	দরগাহ,	
grushko,	গ্রুশকো,	গ্রুশকো,	
zozyota,	যোজ্যতা,	যোজ্যতা,	
bapio,	বাপিও,	বাপিও,	
mohajote,	মহাযোতে,	মহাজোট,	
ujobekeestaner,	উজবৈক্ষেতানের,	উজবেকিস্তানের,	
asantosh,	অসন্তোষ,	অসন্তোষ,	
blasterke,	ব্লাস্টারকে,	ব্লাস্টারকে,	
robot,	রবট,	রোবোট,	
courtcaser,	কোর্টকাসের,	কোর্টকেসের,	
phutonta,	ফুটোনটা,	ফুটন্ত,	
talaa,	তালা,	তালা,	
plack,	প্ল্যাক,	প্ল্যাক,	
lakkhero,	লক্ষেরও,	লক্ষেরও,	
nomo,	নোমো,	নমো,	
soinyo,	সৈন্য,	সৈন্য,	
byabaharkaree,	ব্যবহারকারী,	ব্যবহারকারী,	
engrejra,	এংগেরজররা,	ইংরেজরা,	
contemporary,	কন্টেমবোরারি,	কন্টেম্পোরারি,	
dii,	দিয়,	দিই,	
dakticket,	ডক্্িকেট,	ডাকটিকিট,	
danakana,	দানাকানা,	ডানকান,	
suparharo,	সুপারহারও,	সুপারহিরো,	
semai,	সেমাই,	সেমাই,	
vabaponno,	ভবপান্য,	ভাবাপন্ন,	
chapal,	চাপল,	চপল,	
shajano,	শাজানো,	সাজানো,	
fitarsaho,	ফিতারসহ,	ফিতরসহ,	
mandondo,	মানদন্ড,	মানদণ্ড,	
bibecchyo,	বিবেচ্য,	বিবেচ্য,	
jati,	জাতি,	যাতি,	
somoibo,	সময়বো,	সমৈব,	
swarther,	স্বার্থের,	স্বার্থের,	
taposgoner,	তাপসগণের,	তাপসগণের,	
poschime,	পশ্চিমে,	পশ্চিমে,	
nikela,	নিকেলা,	নিকেল,	
modelkey,	মডেলকে,	মডেলকে,	
asovya,	অসভ্যা,	অসভ্য,	
digree,	ডিগ্রি,	ডিগ্রি,	
soori,	সুরী,	সুরি,	
blogarra,	ব্লাগররা,	ব্লগাররা,	
gopalrao,	গোপালরাও,	গোপালরাও,	
brojomohun,	ব্রোমহনুন,	ব্রোজোমোহন,	
shulfate,	শুলফাতে,	সালফেট,	
madhobi,	মাধবী,	মাধবী,	
bossonte,	বসন্তে,	বসন্তে,	
deobonde,	দেওবন্দে,	দেওবন্দে,	
bonvumitey,	বনভুতিজে,	বনভূমিতে,	
siddhanto,	সিদ্ধান্ত,	সিদ্ধান্তও,	
bardhitansh,	বর্ধিতানশ,	বর্ধিতাংশ,	
nuhas,	নুহাস,	নুহাশ,	
amarjito,	অমরজিত,	অমার্জিত,	
sepha,	সেফা,	শেফ,	
sheshdinti,	শেষদিন্তি,	শেষদিনটি,	
helly,	হেল্লি,	হিলি,	
swastir,	স্বস্তির,	স্বস্তির,	
samanyai,	সমন্যই,	সামান্যই,	
aakabar,	আকাবার,	আকাবার,	
lotharan,	লোথারন,	লুথেরান,	
elaakaati,	এলাকাটি,	এলাকাটি,	
chirkut,	চিরকুট,	চিরকুট,	
abhidhaaneeck,	অভিধানিক,	অভিধানিক,	
torkarite,	তর্কারিতে,	তরকারিতে,	
kaia,	কাইয়া,	কায়া,	
kei,	কেই,	কেই,	
nathivookto,	নথিভুক্ত,	নথিভুক্ত,	
chakundite,	চাকুন্ডিতে,	চাকুন্দিতে,	
pulivendla,	পুলিভেন্ডল,	পুলিভেন্ডলা,	
hozot,	হজোট,	হজত,	
ponero,	পনেরও,	পনের,	
kortona,	কর্তনা,	করতনা,	
jerusalemer,	জেরুসালেমের,	জেরুজালেমের,	
ovidhanik,	অভিধানিক,	অভিধানিক,	
mukhya,	মুখ্যা,	মুখ্য,	
joisttho,	জয়স্থ,	জ্যৈষ্ঠ,	
procharona,	প্রচারণা,	প্রচারণা,	
bouddha,	বৌদ্ধ,	বৌদ্ধ,	
bhramarotsab,	ভ্রমমর্তবা,	ভ্রমরোৎসব,	
muhuriganj,	মুহুরীগঞ্জ,	মুহুরীগঞ্জ,	
deh,	দেহ,	দেহ্,	
senabahinikey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
saurce,	সোরস,	সোর্স,	
amittrakkhor,	আমিত্মার্কর,	অমিত্রাক্ষর,	
kurdira,	কুরদিরা,	কুর্দিরা,	
avisongson,	আভিসংসন,	অভিশংসন,	
poriharsoho,	পরিহারসহ,	পরিহারসহ,	
konar,	কোনার,	কণার,	
chenza,	চেনজা,	চেঞ্জ,	
neelkamal,	নীলকামাল,	নীলকমল,	
janosamaj,	জনসম্জ,	জনসমাজ,	
difinision,	ডিফিনিশন,	ডেফিনেশন,	
saabyastha,	সাব্যস্থ,	সাব্যস্থ,	
bisshonath,	বিশ্বনাথ,	বিশ্বনাথ,	
prity,	প্রিটি,	প্রিটি,	
windos,	উইন্ডোস,	উইন্ডোস,	
kotibondhe,	কোিদন্ধে,	কটিবন্ধে,	
manushti,	মনুষ্টি,	মানুষটি,	
disposes,	ডিসপোসেস,	ডিসপোজেস,	
sedikei,	সেদিকেই,	সেদিকেই,	
himsrot,	হিমস্রোট,	হিমস্রোত,	
firoza,	ফিরোজা,	ফিরোজা,	
shoreefpur,	শরীফপুর,	শরিফপুর,	
utotoro,	উততর,	উততর,	
ralf,	র্যালফ,	রালফ,	
qaferder,	কাফারদের,	কাফেরদের,	
madelim,	মাদেলিম,	মডেলিং,	
shandra,	শনন্দ্রার,	শান্দ্রার,	
dai,	দাই,	দিই,	
innahu,	ইন্নাহু,	ইন্নাহু,	
sossar,	সোসার,	সকার,	
saatzoner,	সাতজোনের,	সাতজনের,	
sukumaree,	সুকুমারী,	সুকুমারী,	
satarkatar,	সতর্কতার,	সতর্কতার,	
otyacharer,	অত্যাচারের,	অত্যাচারের,	
poriikkhateo,	পরিক্ষাতেও,	পরীক্ষাতেও,	
dhauto,	ধাত,	ধৌত,	
udbhaboni,	উদ্ভাবনী,	উদ্ভাবনী,	
sarboporee,	সর্বপরি,	সর্বোপরী,	
romancha,	রোমাঞ্চা,	রোমাঞ্চ,	
soundarja,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
oikhan,	ওখহান,	ঐখান,	
ramolino,	রামলিনো,	রামোলিনো,	
mahafezkhanar,	মহাফেখখননার,	মহাফেজখানার,	
streegon,	স্ট্রীগন,	স্ত্রীগণ,	
volivoler,	ভলিভিলর,	ভলিভলের,	
bhimsenkei,	ভীমসেনকেই,	ভীমসেনকেই,	
cholocchitrer,	চলচ্চিত্রের,	চলচ্চিত্রের,	
toufik,	টৌফিক,	তৌফিক,	
parabortee,	পরবর্তী,	পরর্বতী,	
adhunikkaley,	আধুনিককালে,	আধুনিককালে,	
venuser,	ভেনাসের,	ভেনাসের,	
saras,	সারাস,	সরস,	
said,	সাইদ,	সাইদ,	
proshtotto,	প্রস্তত্ব,	প্রস্ত্তত,	
proboleme,	প্রবলেমে,	প্রবলেমে,	
carloos,	কার্লুস,	কার্লোস,	
shilpajata,	শিল্পজাতা,	শিল্পজাত,	
machsoho,	মাছসহ,	মাছসহ,	
madrasa,	মাদ্রাসা,	মাদ্রাসা,	
prasadhoner,	প্রাসাধনের,	প্রসাধনের,	
chinto,	চিন্তো,	চিনতো,	
ponera,	পনেরা,	পনের,	
lambaate,	ল্যামবাটে,	লম্বাটে,	
koreempoor,	করিমপুর,	করিমপুর,	
kade,	কাদে,	কোড,	
ghoomato,	ঘুমাতো,	ঘুমাতো,	
daqop,	ডাকোপ,	দাকোপ,	
baffer,	বাফার,	বাফার,	
beatleser,	বিটলেসের,	বিটলসের,	
foreks,	ফোরেকস,	ফরেক্স,	
bahati,	বাহাটি,	বাহাতি,	
sathik,	সাথিক,	সঠিক,	
sarjur,	সারুজুর,	সরযূর,	
proshtutkarok,	প্রস্তুতকারক,	প্রস্তুতকারক,	
disni,	ডিসনি,	ডিজনী,	
goora,	গুরা,	গোর,	
deciliter,	ডেসিলাইটের,	ডেসিলিটার,	
bojiye,	বোজিয়ে,	বজিয়ে,	
treebhuj,	ত্রিভূজ,	ত্রিভূজ,	
qarlosa,	কার্লোসা,	কার্লোস,	
varote,	ভারতে,	ভারতে,	
baire,	বাইরে,	বাইরে,	
sayanaida,	সায়নাই,	সায়ানাইড,	
probondhobhittik,	প্রবন্ধভিত্তিক,	প্রবন্ধভিত্তিক,	
obosorer,	অবসরের,	অবসরের,	
chalochchitraeei,	চলচ্চিত্রেই,	চলচ্চিত্রেই,	
godamjato,	গদামজাত,	গুদামজাত,	
ikbaaler,	ইকবালের,	ইকবালের,	
foks,	ফকস,	ফক্স,	
jubokti,	যুবকটি,	যুবকটি,	
forex,	ফোরেক্স,	ফরেক্স,	
vault,	ভাউলট,	ভল্ট,	
directarate,	ডিরেক্টরেট,	ডিরেক্টরেট,	
jund,	জুন্ড,	জুন্দ,	
asiatic,	এশিয়াতিক,	এশিয়াটিক,	
kajangale,	কাজাঙ্গালে,	কজঙ্গলে,	
fishing,	ফিশিং,	ফিসিং,	
apolokbhabe,	অপলোকভাবে,	অপলকভাবে,	
mozlis,	মজলিস,	মজলিশ,	
carlo,	কারলো,	কার্লো,	
sorting,	সর্টিং,	সর্টিং,	
atmiyasulabh,	আত্মীয়সুলভ,	আত্মীয়সুলভ,	
teter,	টেটের,	টেটের,	
tochhnochh,	তোচনচ,	তছনছ,	
hattey,	হ্যাটে,	হাঁটতে,	
chalochchitro,	চলচ্চিত্র,	চলচ্চিত্র,	
pnouchute,	পৌঁচুতে,	পৌঁছুতে,	
fand,	ফ্যান্ড,	ফান্ড,	
salsa,	সালসা,	সালসা,	
nobotomo,	নবতম,	নবতম,	
pratiyogita,	প্রতিযোগীতা,	প্রতিযোগীতা,	
echhti,	এছতিই,	এছটি,	
shoreefer,	শরীফের,	শরিফের,	
bujhtepari,	বুঝতেপারী,	বুঝতেপারি,	
langhangulir,	লঙ্ঘনগুলির,	লঙ্ঘনগুলির,	
brail,	ব্রেইল,	ব্রেইল,	
ansarir,	আনসারীর,	আনসারীর,	
besooro,	বেসুরো,	বেসুর,	
brake,	ব্রাকে,	ব্রেক,	
bishshasho,	বিষশাশ,	বিশ্বাসও,	
joumana,	জৌমানা,	জুমানা,	
landin,	লান্ডিন,	ল্যান্ডিং,	
seoul,	সেওউল,	সোল,	
elaaka,	এলাকা,	এলাকা,	
prosadhoni,	প্রসাধনী,	প্রসাধনী,	
basab,	বাসাব,	বাসাব,	
noditei,	নদীতেই,	নদীতেই,	
fud,	ফিউড,	ফুড,	
dhojovongo,	ধবযং্গ,	ধ্বজভঙ্গ,	
dagmukta,	দাগমুক্ত,	দাগমুক্ত,	
narsaari,	নরসারি,	নার্সারি,	
chaalkee,	চালকী,	চালকে,	
girilal,	গিরিলাল,	গিরিলাল,	
thyachara,	থ্যাচার,	থ্যাচার,	
bibhinno,	বিভিন্ন,	বিভন্ন,	
juktorastrer,	যুক্তরাস্ত্রের,	যুক্তরাষ্ট্রের,	
rasunkunchi,	রসসুঞ্চুচি,	রসুনকুঁচি,	
gujob,	গুজব,	গুজব,	
canservatian,	ক্যান্সারভেনান,	কনসারভেশন,	
cbi,	সিবিআই,	সিবিআই,	
antercticker,	অন্টারক্সিকের,	অ্যান্টার্কটিকের,	
hevy,	হেভি,	হেভি,	
dadar,	দাদার,	দাদার,	
gandogol,	গণ্ডগোল,	গন্ডগোল,	
tiger,	টিগের,	টাইগার,	
chal,	চাল,	চাল,	
keyu,	কেই,	কেউ,	
mardud,	মারদুদ,	মরদুদ,	
ashankai,	আশঙ্কাই,	আশঙ্কাই,	
jalarong,	জালারাং,	জলরঙ,	
nowel,	নুউেল,	নভেল,	
aarmstrong,	এর্মস্ট্রং,	আর্মস্ট্রং,	
mahasava,	মহাসভা,	মহাসভা,	
pachak,	পাচক,	পাচক,	
doorotomo,	দূরতম,	দূরতম,	
khoor,	খুর,	ক্ষুর,	
songrahak,	সংগ্রহক,	সংগ্রাহক,	
mele,	মেল,	মাইল,	
prabhritite,	প্রভৃতিতে,	প্রভৃতিতে,	
farhetin,	ফারহেটিন,	ফারহেতিন,	
krishibigyani,	কৃষিবিজ্ঞানী,	কৃষিবিজ্ঞানী,	
romjaner,	রোমজনের,	রমযানের,	
ruble,	রাবল,	রুবল,	
sbaajan,	স্বজন,	স্বজন,	
bisnoo,	বিস্নু,	বিষ্ণু,	
seconder,	সেকন্ডার,	সেকেন্ডের,	
uddhrita,	উদ্ধৃত,	উদ্ধৃত,	
ghomtaa,	ঘোমটা,	ঘোমটা,	
garora,	গারোরা,	গারোরা,	
aosafur,	আওসাফুর,	আওশাফুর,	
gingbhalobasen,	গিংবালবভানে,	গিংভালোবাসেন,	
juktarashtrasaha,	যুক্তরা্টরসসহ,	যুক্তরাষ্ট্রসহ,	
sangbadmadhyamgulote,	সংবাদমাধ্যমগুলোতে,	সংবাদমাধ্যমগুলোতে,	
bangobandhu,	বঙ্গবন্ধু,	বঙ্গবন্ধু,	
female,	ফেমালে,	ফিমেল,	
fol,	ফোল,	ফল,	
moshjidke,	মসবিতকে,	মসজিদকে,	
thaii,	থাইই,	থাই,	
sahajlabhbhotar,	সহজলভভততার,	সহজলভ্যতার,	
sipa,	সিপা,	শিপ,	
dinar,	দিনার,	ডিনার,	
bipradas,	বিপ্রদাস,	বিপ্রদাস,	
taderek,	তােরেক,	তাদেরেক,	
kakhnoba,	কক্্ভা,	কখনওবা,	
capsul,	ক্যাপসুল,	ক্যাপসুল,	
samanwitovabe,	সান্বতিতভাবে,	সমন্বিতভাবে,	
baganoto,	বাগানত,	বাগানত,	
madraser,	মাদ্রাসের,	মাদ্রাজের,	
khilaphat,	খিলাফত,	খিলাফত,	
bonorajite,	বনরাজিতে,	বনরাজিতে,	
fulkapi,	ফুলকাপি,	ফুলকপি,	
piulir,	পিউলির,	পিউলির,	
cantan,	ক্যান্টান,	ক্যান্টন,	
golghare,	গোঘরে,	গোলঘরে,	
nariider,	নারীদের,	নারীদের,	
norpholk,	নরফলক,	নরফোক,	
