towraat,	তোরাট,	তওরাত,	
sadeep,	সাদীপ,	সদীপ,	
bonvumi,	বনভুমি,	বনভূমি,	
dokkhinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
yak,	যক,	ইয়াক,	
metropolitan,	মেট্রোপলিটান,	মেট্রোপলিটন,	
procharjontrogulo,	প্রচারযন্ত্রগুলো,	প্রচারযন্ত্রগুলো,	
uponeeshod,	উপনিষদ,	উপনিষদ,	
toki,	টকি,	তকি,	
prokolpotike,	প্রকল্পটিকে,	প্রকল্পটিকে,	
deputy,	ডেপুটি,	ডেপুটি,	
ghumacchilo,	ঘুমাচ্ছিল,	ঘুমাচ্ছিল,	
sadadyarao,	সদদ্যরাও,	সদদ্যরাও,	
evaner,	ইভানের,	ইভানের,	
bagdad,	বাগগাড়,	বাগদাদে,	
shangkalonti,	শাংকানটি,	সংকলনটি,	
mesenjarer,	মেসেনজারের,	মেসেঞ্জারের,	
pratista,	প্রতিষ্টা,	প্রতিষ্টা,	
purple,	পার্লল,	পার্পেল,	
porishongkhanbid,	পরিষংস্থানীদ,	পরিসংখ্যানবিদ,	
kobutorer,	কবুতরের,	কবুতরের,	
byatikrami,	ব্যতিকারমমি,	ব্যতিক্রমী,	
akai,	আকাই,	একাই,	
tuleche,	তুলেছে,	তুলেছে,	
sudrishya,	সুদৃশ্য,	সুদৃশ্য,	
eevil,	ইভিল,	ইভিল,	
ahmed,	আহমেদ,	আহামদ,	
saamaanya,	সমন্য,	সামান্য,	
braqe,	ব্রাকে,	ব্রেক,	
forma,	ফরমা,	ফর্মা,	
farhetin,	ফার্েতিন,	ফারহেতিন,	
rohosyoti,	রহস্যটি,	রহস্যটি,	
paira,	পাইরা,	পাইরা,	
subader,	সুবাদের,	সুবাদে,	
anandamahale,	আনন্দমহলে,	আনন্দমহলে,	
masto,	মাস্তো,	মাস্ত,	
matthews,	ম্যাথেস,	ম্যাথিউস,	
maradeha,	মারাদেহা,	মরদেহ,	
dikpal,	দিকপাল,	দিকপাল,	
baipash,	বাইপাশ,	বাইপাস,	
nirvachaker,	নির্ভাচকের,	নির্বাচকের,	
shootar,	শুতার,	শ্যুটার,	
dhormoprobortokder,	ধর্মপ্রবর্কদদের,	ধর্মপ্রবর্তকদের,	
nowel,	নোয়েল,	নভেল,	
marri,	মারি,	ম্যারি,	
baganoto,	বাগানত,	বাগানত,	
aziboner,	আজিবনের,	আজীবনের,	
helly,	হেলি,	হিলি,	
jani,	জানি,	জনি,	
kaamij,	কামিজ,	কামিজ,	
arthonitite,	অর্থনীতিতে,	অর্থনীতিতে,	
naobihar,	নওবিহার,	নৌবিহার,	
aieesha,	আইস,	আইএএস,	
shpredshiit,	স্পারডেশিট,	স্প্রেডশীট,	
dhache,	ধাচে,	ধাঁচে,	
salmaner,	সালমানের,	সালমানের,	
akatwa,	আকত্ব,	একাত্ব,	
kamla,	কমলা,	কামলা,	
koruna,	করুনা,	করুণা,	
tarkareer,	তারকারীর,	তরকারীর,	
byabosthar,	ব্যবস্থার,	ব্যাবস্থার,	
krimlin,	ক্রিমলিন,	ক্রিমলিন,	
sikkhakbrinda,	শিক্ষাবৃৃন্দ,	শিক্ষকবৃন্দ,	
orthisoho,	অর্থিসহ,	অর্থিসহ,	
turkii,	তুর্কিই,	তুর্কি,	
kadam,	কাদাম,	কদম,	
chintakarma,	চিন্তাকর্ম,	চিন্তাকর্ম,	
noiteek,	নৈতিক,	নৈতিক,	
holding,	হোল্ডিং,	হোল্ডিং,	
ganjana,	গঞ্জনা,	গঞ্জনা,	
musallati,	মুসলল্লি,	মুসল্লাটি,	
oncholgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
shuchonakal,	শুচনাকাল,	সূচনাকাল,	
neerbahe,	নির্বাহে,	নির্বাহে,	
chai,	চেই,	ছাই,	
gabhaskaar,	গাভাসকার,	গাভাস্কার,	
antorvukta,	অন্তর্ভুক্ত,	অন্তর্ভুক্ত,	
nirgaman,	নির্গামান,	নির্গমন,	
morathee,	মোরথথী,	মরাঠি,	
chire,	চিরে,	চিরে,	
arthonitir,	অর্থনীতির,	অর্থনীতির,	
scholarship,	স্কলারশিপ,	স্কলারশিপ,	
shishu,	শিশু,	শিশু,	
umb,	ইউম্বাব,	ইউএমবি,	
protizogiita,	প্রতিযোগিতাত,	প্রতিযোগীতা,	
trutimatra,	ত্রিটুমাত্র,	ত্রুটিমাত্র,	
kortam,	কর্তাম,	করতাম,	
naper,	নাপের,	ন্যাপের,	
sontoshpur,	সন্তোষপুর,	সন্তোষপুর,	
philo,	ফিলো,	ফিলো,	
sarbhare,	সর্ভরে,	সার্ভারে,	
phund,	ফুন্ড,	ফান্ড,	
licensin,	লাইসেন্সিন,	লাইসেন্সিং,	
jansha,	জনশা,	জন্স,	
zerusalem,	জেরুসালেম,	জেরুজালেম,	
torikher,	তরিকের,	তরিখের,	
bhabaaponno,	ভবপান্ন,	ভাবাপন্ন,	
jhijhi,	ঝিঝি,	ঝিঝি,	
ahalya,	আহল্য,	অহল্যা,	
chyeta,	চ্যেতা,	চ্যাট,	
sampadon,	সম্পাদন,	সম্পাদন,	
zeeland,	জিলান্ড,	জিল্যান্ড,	
yatharthabhabe,	যাঠরর্থভাবে,	যথার্থভাবে,	
shandra,	শান্দ্রা,	শান্দ্রার,	
sumita,	সুমিতা,	সুমিতা,	
kosambir,	কোসম্বীর,	কোসাম্বীর,	
blacq,	ব্ল্যাক,	ব্ল্যাক,	
fibergulote,	ফিইবারগুলোতে,	ফাইবারগুলোতে,	
yanqee,	যাঙকে,	ইয়াংকি,	
evereste,	এভারেস্টে,	এভারেস্টে,	
jitpur,	জিতপুর,	জিতপুরের,	
jins,	জিনস,	জিন্স,	
monur,	মনুর,	মনুর,	
shuri,	শুরী,	সুরি,	
byboshthar,	বিবস্থার,	ব্যাবস্থার,	
dolphiny,	ডলফিনি,	ডলফিনি,	
lavta,	লাভটা,	লাভটা,	
bhaisaho,	ভাইসহ,	ভাইসহ,	
pariyech,	পরিয়েছে,	পরিয়েছ,	
siima,	সিয়ামা,	সীমা,	
bibecchyo,	বিবেচ্ছি,	বিবেচ্য,	
cloring,	ক্লোরিং,	ক্লোরিং,	
hool,	হুল,	হুল,	
bharotiyotar,	ভারতিয়তার,	ভারতীয়তার,	
bhageri,	ভাগেরি,	ভাগেরই,	
shithilata,	শিথিলতা,	শিথিলতা,	
relance,	রিল্যান্স,	রিলায়েন্স,	
rakhtokkharone,	রাক্তধা্ষণে,	রক্তক্ষরণে,	
aashanka,	আশংকা,	আশংকা,	
songbadmadhyomer,	সংবাদমাধ্যমের,	সংবাদমাধ্যমের,	
sift,	সিফট,	শিফট,	
choddo,	চ্দদ,	চোদ্দো,	
dighol,	দিঘল,	দীঘল,	
palashir,	পালাশির,	পলাশীর,	
muktilav,	মুক্তিলভ,	মুক্তিলাভ,	
municipal,	মুনিসিপাল,	মিউনিসিপ্যাল,	
bapokotor,	বাপকোতর,	ব্যাপকতর,	
chhon,	ছন,	ছোঁ,	
shite,	শিতে,	শীতে,	
roopdaan,	রূপডান,	রুপদান,	
hul,	হুল,	হুল,	
chakurijibirao,	চাকুরিজীবীরাও,	চাকুরীজীবীরাও,	
booksar,	বোকসার,	বুক্সার,	
inziniyarsa,	ইনজিজিয়েরসা,	ইঞ্জিনিয়ার্স,	
iksaprishana,	ইক্সপ্রিশন,	এক্সপ্রেশন,	
chhooti,	ছুটি,	ছুটি,	
spancer,	স্প্যানসের,	স্পেন্সার,	
bhupal,	ভূপাল,	ভূপাল,	
jamjomat,	জমজমাত,	জমজমাট,	
bedantodhormo,	বেদানতধর্ম,	বেদান্তধর্ম,	
metrikoleshana,	মেট্রিকলেশন,	মেট্রিকোলেশন,	
temonvabe,	তেমনাবাবে,	তেমনভাবে,	
domone,	ডোমোন,	দমনে,	
siropa,	সিরোপা,	শিরোপা,	
asamorik,	আসামরিক,	অসামরিক,	
phiksim,	ফিকসিম,	ফিক্সিং,	
durgatsober,	দুর্গাসসবের,	দুর্গোৎসবে,	
gotirodh,	গতিরোধ,	গতিরোধ,	
champa,	চম্পা,	চাঁপা,	
krusher,	ক্রুশের,	ক্রুশের,	
rajashri,	রাজশ্রী,	রাজশ্রী,	
naneer,	নানীর,	নানীর,	
grambaashi,	গ্রামবাশশী,	গ্রামবাসী,	
mukhyo,	মুখ্য,	মুখ্য,	
uthaney,	উঠানে,	উঠানে,	
dola,	দোলা,	দলা,	
ganosachetanata,	গণসাচেতনতা,	গণসচেতনতা,	
shanno,	শান্ন,	সান্নো,	
parshwer,	পার্শ্বের,	পার্শ্বের,	
ashonkai,	আশঙ্কাই,	আশঙ্কাই,	
binakar,	বিনাকার,	বিনাকার,	
skolastik,	স্কোলাস্টিক,	স্কলাস্টিক,	
monchosthol,	মঞ্চস্থল,	মঞ্চস্থল,	
sahapathike,	সহপথীকে,	সহপাঠীকে,	
kalnir,	কালনির,	কালনীর,	
ispredsiit,	ইস্প্রেডিই,	স্প্রেডশীট,	
eekbalke,	একবললকে,	ইকবালকে,	
srichoitonnodeb,	শ্রিচৈতন্যদেব,	শ্রীচৈতন্যদেব,	
sayanaida,	সায়নাদা,	সায়ানাইড,	
amarika,	আমারিকা,	আমেরিকা,	
amittrakkhor,	অমিত্তাক্ষর্ষ,	অমিত্রাক্ষর,	
modelkey,	মডেলকে,	মডেলকে,	
porbotmala,	পর্বলমালা,	পর্বতমালা,	
torunderke,	তরুণ্ডরকে,	তরুণদেরকে,	
rudroke,	রুদ্রকে,	রুদ্রকে,	
rodney,	রডনে,	রেডনি,	
palbongsher,	পালবংশের,	পালবংশের,	
purbancoler,	পার্বানকোলের,	পূর্বাঞ্চলের,	
bostubad,	বস্তুবাদ,	বস্তুবাদ,	
vortuki,	ভর্তুকি,	ভর্তুকি,	
mohit,	মোহিত,	মুহিত,	
hakone,	হাকনে,	হাকোনে,	
chhedon,	ছেদন,	ছেদন,	
veemsen,	ভিমসেন,	ভীমসেন,	
shatoke,	শাটকে,	শতকে,	
keu,	কেউ,	কেউ,	
ashamarthita,	অশামর্থীত,	অসমর্থিত,	
ostheesandhi,	অস্থবিন্ধী,	অস্থিসন্ধি,	
madraser,	মাদ্রাসের,	মাদ্রাজের,	
harbore,	হারবোর,	হারবারে,	
bhimsen,	ভিমসেন,	ভীমসেন,	
langhangulir,	লঙ্ঘলনগুলির,	লঙ্ঘনগুলির,	
hattey,	হ্যাতে,	হাঁটতে,	
sthapanagulor,	স্থাপনাগুলোর,	স্থাপনাগুলোর,	
ebham,	এভাম,	ইভিএম,	
shattoki,	শাত্যকি,	সাত্যকি,	
shariba,	শরিবা,	শরিবা,	
direectoratee,	ডিরিক্টরটি,	ডিরেক্টরেট,	
poketchorder,	পকেচকর্দের,	পকেটচরদের,	
tahorir,	তাহরীর,	তাহরীর,	
manibhaijaner,	মনিভাইজানের,	মণিভাইজানের,	
jotinkey,	জতিনকে,	যতীনকে,	
kompeeto,	কম্পিত,	কম্পিত,	
uporoshtho,	উপরস্থ,	উপরস্থ,	
pleta,	প্লেটা,	প্লেটো,	
ernad,	এরনাড,	এরনাড,	
fiksing,	ফিকসিং,	ফিক্সিং,	
hamburgey,	হ্যামববারগগে,	হামবুর্গে,	
vvimsenn,	ভাভিমস্ন,	ভীমসেন,	
jathartho,	যথার্থ,	যথার্থ,	
kalakushalir,	কলাকুশলীর,	কলাকুশলীর,	
parabortee,	পারবর্তী,	পরর্বতী,	
goteehin,	গতিহীন,	গতিহীন,	
kaia,	কাইয়া,	কায়া,	
lendal,	লেন্ডল,	লেন্ডল,	
remakri,	রেমাক্রি,	রেমাক্রী,	
oojbekistan,	অয়েসবিস্তান,	উজবেকিস্তান,	
moshzidtike,	মোখবিদটিকে,	মসজিদটিকে,	
aairish,	আইরিস,	আইরিস,	
jor,	জর,	জ্বর,	
karir,	কারির,	কারীর,	
dokaangulotey,	দোকানগুলিতেও,	দোকানগুলোতে,	
labonaktatar,	লবনাক্ততার,	লবণাক্ততার,	
bouddha,	বৌদ্ধ,	বৌদ্ধ,	
weelcomee,	ওয়ালকমি,	ওয়েলকাম,	
chemjong,	চেমজং,	চেমজং,	
adorso,	আদোর্স,	আর্দশ,	
said,	সেয়,	সাইদ,	
title,	তিলে,	টাইটেল,	
chetanagato,	চেতনাগত,	চেতনাগত,	
beetloser,	বিটলসের,	বিটলসের,	
biphal,	বিফফ,	বিফল,	
hoil,	হেল,	হইল,	
satarka,	সাতারকা,	সতর্ক,	
sangosrobomukto,	সংস্রবমমুক্ত,	সংস্রবমুক্ত,	
gobeshokgon,	গবেষকগণ,	গবেষকগণ,	
elaakate,	এলাকাতে,	এলাকাতে,	
asovyo,	অসভ্য,	অসভ্য,	
ooipokar,	উপসকর,	উইপোকার,	
sikkharrtheerao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
nirikho,	নিরীখো,	নিরিখ,	
plainey,	প্লেনে,	প্লেনে,	
qarqa,	কারকা,	কার্ক,	
digreeke,	দিগ্রীকে,	ডিগ্রিকে,	
plak,	প্ল্যাক,	প্ল্যাক,	
jhamala,	ঝামালা,	ঝামালা,	
mast,	মাস্ট,	মাস্ত,	
phaltu,	ফল্লু,	ফালতু,	
diznee,	দিজন,	ডিজনী,	
myathiou,	ম্যাঠিও,	ম্যাথিউ,	
deefinition,	ডিফিনিশন,	ডেফিনেশন,	
cs,	সিএস,	সিএস,	
drissoteer,	ড্রিস্টির,	দৃশ্যটির,	
adhunikkaley,	আধুনিককালে,	আধুনিককালে,	
grontho,	গ্রন্থ,	গ্রন্থ,	
chhayi,	ছায়,	ছাই,	
deenesh,	দেনেশ,	দীনেশ,	
muhurtati,	মুহুরতটি,	মুহুর্তটি,	
graambaaseer,	গ্রম্বাসীর,	গ্রামবাসীর,	
lettar,	লেটটার,	লেটার,	
tottorat,	টোট্রোটাট,	তওরাত,	
sylvi,	সিলভি,	সিলভি,	
jinsa,	জিনসা,	জিন্স,	
sumoo,	সুমু,	সুমো,	
amarjito,	অমরজজিত,	অমার্জিত,	
oncholsomuho,	অনচ্লসমূহ,	অঞ্চলসমূহ,	
meridiane,	মেরিডিয়ান,	মেরিডিয়ানে,	
arshie,	আর্শী,	আরসিএ,	
arke,	আরকে,	আরকে,	
gronther,	গ্রন্থের,	গ্রন্থের,	
thandabhabe,	থান্ডাভাবে,	ঠাণ্ডাভাবে,	
antorbhuktimulak,	অন্তর্ভুক্তমূলক,	অন্তর্ভুক্তিমূলক,	
jyaqa,	জ্যাকা,	জ্যাক,	
romarder,	রোমার্ডের,	রোমারদের,	
shrichaitanyadev,	শ্রীচৈতন্যাদেব,	শ্রীচৈতন্যদেব,	
labonaaktotaar,	লবনোক্ততার,	লবণাক্ততার,	
welcome,	ওয়েলকোম,	ওয়েলকাম,	
mugdal,	মুগদল,	মুগডাল,	
jini,	জিনি,	যিনি,	
breqathru,	ব্রকাঠার্,	ব্রেকথ্রু,	
edmiral,	এডমিরাল,	এডমিরাল,	
engrejer,	এংরেজের,	ইংরেজের,	
bhandti,	ভান্ডটি,	ভাণ্ডটি,	
victor,	ভিক্টর,	ভিক্টর,	
byepass,	ব্যাপেস,	বাইপাস,	
saras,	সারাস,	সরস,	
purbanchaler,	পূর্বাঞ্চলের,	পূর্বাঞ্চলের,	
rotheen,	রথীন,	রথীন,	
elbamtite,	এলবামিতিতে,	এলবামটিতে,	
baaik,	বায়ক,	বাইক,	
janar,	জানার,	জানার,	
shamuker,	শামুকের,	শামুকের,	
navaratri,	নাভাত্রী,	নবরাত্রি,	
abeganuvutir,	অবেগানুভূতির,	আবেগানুভূতির,	
manushgulor,	মানুষগুলোর,	মানুষগুলোর,	
patjata,	পাটজাতা,	পাটজাত,	
heawy,	হেওয়,	হেভি,	
aranyani,	অরণ্যনী,	অরণ্যানী,	
ceramicsh,	সেরিমিক্স,	সিরামিকস,	
nirmol,	নির্মোল,	নির্মল,	
projanankal,	প্রজাননকাল,	প্রজননকাল,	
bidhirnityang,	বিধির্নিত্যং,	বিধির্নিত্যং,	
shasankarta,	শাসনকর্ত,	শাসনকর্তা,	
elakaatite,	এলাকাটিতে,	এলাকাটিকে,	
mausumer,	মৌসুমের,	মৌসুমের,	
jatotaa,	যোটাটা,	যতোটা,	
associatis,	অ্যাসোয়াসিটিস,	এসোসিয়েটস,	
sheepha,	শিফ,	শেফ,	
faaj,	ফাজ,	ফাজ,	
suhasini,	সুহাসিনী,	সুহাসিনী,	
probhur,	প্রভুর,	প্রভুর,	
swartho,	স্বার্থ,	স্বার্থ,	
abhirupbabuke,	অভিরূপবাবুকে,	অভিরূপবাবুকে,	
wrighter,	থৃঘটর,	রাইটের,	
atmobonchito,	আত্মবন্চিত,	আত্মবঞ্চিত,	
dala,	দালা,	দলা,	
jubokti,	যুবক্তি,	যুবকটি,	
raiji,	রাইজি,	রাইজি,	
tuni,	তুনি,	টুনি,	
hepatitis,	হেপাটাইটিস,	হেপাটাইটিস,	
shikhaboudi,	শিখাবৌদি,	শিখাবৌদি,	
daakten,	ডাকতেন,	ডাকতেন,	
mandarbani,	মন্দরবাণী,	মন্দারবাণী,	
madhoboir,	মাধবরই,	মাধবীর,	
gandhariir,	গান্ধারীর,	গান্ধারীর,	
eshiyetika,	এশিয়েকিকা,	এশিয়াটিক,	
adwanced,	অ্যাডব্যান্ড,	অ্যাডভান্সড,	
gudamjat,	গুদামজাত,	গুদামজাত,	
saoum,	সাওম,	সাওম,	
joumana,	জৌমানা,	জুমানা,	
grambaashio,	গ্রামবাশীও,	গ্রামবাসীও,	
rupert,	রুপার্ট,	রুপার্ট,	
gardeen,	গার্েন,	গার্ডেন,	
sachetanvabe,	সচেতনাভবে,	সচেতনভাবে,	
nathivookto,	নাথিবক্ত,	নথিভুক্ত,	
lishenshe,	লিশেন্সে,	লাইসেন্স,	
ronangane,	রোনাঙ্গানে,	রণাঙ্গনে,	
bangalore,	বাঙ্গালোরে,	ব্যাঙ্গালুরে,	
bitertrate,	বিটার্ট্রেট,	বাইটারট্রেট,	
engreziteo,	এনরগজিতেও,	ইংরেজিতেও,	
sofie,	সফিয়,	সোফি,	
japanostho,	জাপনস্থ,	জাপানস্থ,	
puroheetder,	পুরোহীতদের,	পুরোহিতদের,	
byapoktor,	ব্যাপক্তর,	ব্যাপকতর,	
antarctica,	অ্্ট্র্যাকটিকা,	অ্যান্টার্কটিকা,	
prokolpogulikei,	প্রকল্পগুলিকেই,	প্রকল্পগুলিকেই,	
talaal,	তালাল,	তালাল,	
sumi,	সুমি,	সুমি,	
vabaponno,	বাপান্ন,	ভাবাপন্ন,	
anisa,	আনিসা,	আনিস,	
bonsho,	বনশ,	বংশ,	
abikaul,	অবিকাল,	অবিকল,	
durgotsabe,	দুর্গতসাবে,	দুর্গোৎসবে,	
vittio,	ভিত্তিও,	ভিত্তিও,	
parkin,	পারকিন,	পার্কিং,	
rajtantro,	রাজতন্ত্র,	রাজতন্ত্র,	
paab,	পাব,	পাব,	
impaction,	ইম্পেকশন,	ইমপ্যাকশন,	
korijachilen,	করিয়াছিলেন,	করিযাছিলেন,	
ixprission,	ইক্সপিরনশ,	এক্সপ্রেশন,	
railliner,	রেলিনার,	রেললাইনের,	
antarbhutto,	অন্তর্ভূত্ত,	অন্তর্ভুক্ত,	
nirapattamulok,	নিরাপত্তামূলক,	নিরাপত্তামূলক,	
youth,	উযু,	ইয়ুথ,	
deenes,	দেনেস,	দীনেশ,	
kumbhalnar,	কুম্ভললার,	কুম্ভালনার,	
planea,	প্ল্যানা,	প্লেনে,	
dipti,	ডিপটি,	ডেপুটি,	
nadike,	নাদিকে,	নদীকে,	
swadesh,	স্বাদেশ,	স্বদেশ,	
probeshan,	প্রবেশন,	প্রবেশন,	
ponchaasjon,	পঞ্চাজন,	পঞ্চাশজন,	
canservatian,	ক্যানজেরভা্টায়,	কনসারভেশন,	
moreecha,	মরিচা,	মরিচা,	
tukroti,	তুকরোটি,	টুকরোটি,	
khuizza,	খুইজ্জা,	খুইজ্জা,	
latsaheb,	লা্সাহেব,	লাটসাহেব,	
majlishpur,	মজলিশপুর,	মজলিশপুর,	
myari,	ম্যারি,	ম্যারি,	
kalki,	কালকি,	কালকি,	
lutharan,	লুথারান,	লুথেরান,	
rajbondir,	রাজবন্দির,	রাজবন্দীর,	
hunine,	হুনিনে,	হুনাইন,	
shtonehenge,	স্টননেঞ্জে,	স্টোনহেঞ্জ,	
seekkharthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
madhoori,	মাধুরি,	মাধুরী,	
dantahin,	দন্তাহীন,	দন্তহীন,	
gazipur,	গাজিপুর,	গাজিপুর,	
shingping,	শিংপিং,	শিংপিং,	
avetar,	আভেতার,	অবতার,	
melbourner,	মেলবর্নের,	মেলবোর্নের,	
husni,	হুসনি,	হুসনি,	
bikretara,	বিক্রেতারা,	বিক্রেতারা,	
chat,	চাত,	চ্যাট,	
monzushree,	মন্ুশ্রী,	মঞ্জুশ্রী,	
elakasoho,	এলাকাসহ,	এলাকাসহ,	
joisttho,	জৈস্থ্য,	জ্যৈষ্ঠ,	
niketaner,	নিকেতানের,	নিকেতনের,	
manoharpur,	মনোহরপুর,	মনোহরপুর,	
durgatsob,	দুর্গাসব,	দুর্গোৎসব,	
mail,	মাইল,	মাইল,	
parka,	পারকা,	পার্ক,	
gratha,	গ্রাথা,	গ্রোথ,	
giitikobita,	গীতিতিবিতা,	গীতিকবিতা,	
srk,	সিরিকে,	শাহরুখ,	
heelser,	হেলসের,	হিলসের,	
monzooshree,	মনজুন্রী,	মঞ্জুশ্রী,	
licenshe,	লাইসেন্স,	লাইসেন্স,	
abhijitda,	অভিজিতদা,	অভিজিতদা,	
pratiyogita,	প্রতিয়গিতা,	প্রতিযোগীতা,	
eoki,	এইকি,	এওকি,	
golimodhye,	গোলিমধ্যে,	গলিমধ্যে,	
bhromonkaale,	ভ্রমণকালে,	ভ্রমণকালে,	
spreadshiit,	স্প্রিডশি,	স্প্রেডশীট,	
bastubad,	বস্তুবাদ,	বস্তুবাদ,	
ala,	আলা,	আলা,	
rakkhanvag,	রক্ষণভাগ,	রক্ষণভাগ,	
ghotol,	ঘটল,	ঘটল,	
fastara,	ফাস্তারা,	ফস্টার,	
vogiroth,	ভগীরথ,	ভগীরথ,	
bitlaser,	বিটলাসের,	বিটলসের,	
nothivukta,	নথিভূক্ত,	নথিভুক্ত,	
baju,	বাজু,	বাজু,	
urey,	উরি,	ইউরি,	
steeit,	স্টিট,	স্টেইট,	
sombhobonao,	সম্ভবনাও,	সম্ভবনাও,	
wedanta,	ওয়ান্ডটা,	বেদান্ত,	
lampot,	ল্যাম্পট,	লম্পট,	
byaboharkariyi,	ব্যবহারকারীীী,	ব্যবহারকারীই,	
geja,	গেজা,	গেজ,	
komanera,	কোমানেরা,	কমানেরা,	
khonjena,	খোনজেনা,	খোঁজেনা,	
iuro,	ইউরো,	ইউরো,	
nehle,	নেহলে,	নেহলে,	
bohudin,	বহুদিন,	বহুদিন,	
upobaasee,	উপবাসী,	উপবাসী,	
monzeele,	মনজেলে,	মঞ্জিলে,	
porirshoder,	পরির্ষদের,	পরির্ষদের,	
sadeena,	সাদিনা,	সাডেন,	
miraclee,	মারাকলি,	মিরাকেল,	
abhidhaaneeck,	অভিধানায়ক,	অভিধানিক,	
lambaate,	লাম্বাতে,	লম্বাটে,	
romancha,	রোমাঞ্চা,	রোমাঞ্চ,	
falasrutite,	ফালসরুটিতে,	ফলশ্রুতিতে,	
spredshiit,	স্প্রেডশি,	স্প্রেডশীট,	
jounatar,	যৌনাতার,	যৌনতার,	
loombinee,	লুমবিন,	লুম্বিনী,	
kayech,	কায়েচ,	কায়েছ,	
bodhukeo,	বধুকেও,	বধুকেও,	
footbalarer,	ফুটবলারের,	ফুটবলারের,	
nirbaahe,	নির্বাহে,	নির্বাহে,	
maudelti,	মাউডেলটি,	মডেলটি,	
tigmanshu,	তিজমানসহু,	তিগ্মাংশু,	
rushod,	রুশোদ,	রুশদ,	
bisheshshyer,	বিশেষশ্যের,	বিশেষ্যের,	
modelgulo,	মডেলগুলো,	মডেলগুলো,	
torkarite,	তর্কারিতে,	তরকারিতে,	
mimgulor,	মিমগুলোর,	মিমগুলোর,	
abhidhanick,	অভিধানিক,	অভিধানিক,	
aviyojan,	অভিযোজন,	অভিযোজন,	
dhyanastha,	ধ্যানস্থ,	ধ্যানস্থ,	
aasirbaad,	আসীরবাদ,	আশির্বাদ,	
bujhechhila,	বুঝেছিলা,	বুঝেছিল,	
distibutor,	ডিস্টিবুটর,	ডিস্টিবিউটারের,	
sexperter,	সেক্সপার্টের,	সেক্সপার্টের,	
taranee,	তারানী,	তরণী,	
volapuk,	ভোলাপুক,	ভোলাপুক,	
gandhiir,	গান্ধীর,	গান্ধীর,	
tinhazar,	তিনহাজার,	তিনহাজার,	
chongar,	চঙ্গার,	চোঙ্গার,	
shitei,	শিতেই,	শীতেই,	
gej,	গেজ,	গেজ,	
planey,	প্ল্যানে,	প্লেনে,	
armashtram,	আরমাশ্্রম্,	আর্মস্ট্রং,	
manob,	মানব,	মানব,	
mukharji,	মুখরজজি,	মুখার্জী,	
aagera,	আগেরা,	আগোরা,	
iraner,	ইরানের,	ইরানের,	
drissogulote,	ড্রিসগগুলোতে,	দৃশ্যগুলোতে,	
dekhso,	দেখস,	দেখসো,	
armshtrong,	আর্মক্ষপ্ং,	আর্মস্ট্রং,	
probondhobhittik,	প্রবন্ধভিত্তিক,	প্রবন্ধভিত্তিক,	
ghoomachhe,	ঘোমাছে,	ঘুমাচ্ছে,	
vushito,	ভুশিত,	ভূষিত,	
shhepha,	শেফা,	শেফ,	
mohammadi,	মোহাম্মদী,	মুহাম্মদী,	
shommoteer,	শম্মতির,	সম্মতির,	
patininda,	পাতিনিন্দ,	পতিনিন্দ,	
samyuktha,	সাম্যুক্ত,	সামিউক্তা,	
songrahak,	সংগ্রহক,	সংগ্রাহক,	
taap,	তাপ,	ট্যাপ,	
amudey,	আমুদে,	আমুদে,	
puding,	পুডিং,	পুডিং,	
philipiner,	ফিলিপিনের,	ফিলিপাইনের,	
breel,	ব্রিল,	ব্রিল,	
quartar,	কোয়ার্টার,	কোয়ার্টার,	
aakaabar,	আকাবার,	আকাবার,	
fasi,	ফাসি,	ফাঁসী,	
hundai,	হুন্দাই,	হুন্দাই,	
boudhher,	বৌখের,	বৌদ্ধের,	
tyapa,	ত্যাপা,	ট্যাপ,	
ruble,	রাবল,	রুবল,	
sangkalanti,	সংকলনটি,	সংকলনটি,	
parinati,	পরিনাটি,	পরিণতি,	
drissoke,	ড্রিসোকে,	দৃশ্যকে,	
rayyalati,	রোয়ায়ততি,	রয়্যালটি,	
foxer,	ফোস্সার,	ফক্সের,	
balithubar,	বালিঠুবার,	বালিথুবার,	
falak,	ফালাক,	ফলক,	
swasthohinotay,	স্বাস্থ্যহানতায়,	স্বাস্থ্যহীনতায়,	
catholicder,	ক্যাথলিকদের,	ক্যাথলিকদের,	
chokhwala,	চোখাবলা,	চোখওয়ালা,	
hisaber,	হিসাবের,	হিসাবের,	
ghatleo,	ঘাটলেও,	ঘটলেও,	
chhutochhuti,	ছুটুচুটি,	ছুটোছুটি,	
bahjya,	বাহ্যা,	বাহ্য,	
bandra,	বান্দ্রা,	বন্দীরা,	
durlabhatwang,	দুর্লভভব্্ং,	দুর্লভত্বং,	
kailashrao,	কৈলাশরাও,	কৈলাশরাও,	
omarader,	ওমারাদের,	ওমারাদের,	
bethikata,	বেথিকাটা,	বেঠিকতা,	
senior,	সেনিওর,	সিনিয়র,	
shrabasti,	শ্রাবস্তি,	শ্রাবস্তী,	
manohputa,	মনোহপূত,	মনঃপুত,	
mane,	মানে,	মানে,	
haris,	হরিস,	হ্যারিস,	
