goonoman,	গনোমান,	গুণমান,	
samajikatar,	সমাজিকতার,	সামাজিকতার,	
highcomissione,	হাইক্লোমিনে,	হাইকমিশনে,	
anubhutimalar,	অনুভূতিমালার,	অনুভূতিমালার,	
mukhoshdharir,	মুখোষধারীর,	মুখোশধারীর,	
dhaleshwari,	ধলেশ্বরী,	ধলেশ্বরী,	
ancholgoolir,	আঞ্চলগুলির,	অঞ্চলগুলির,	
elgoridom,	এলগোরিডম,	এলগরিদম,	
bharatey,	ভারাতে,	ভারতে,	
emarjenshi,	এমারজেন্শি,	এমার্জেন্সি,	
ukeliptas,	ইকেলিপ্লাস,	ইউক্যালিপ্টাস,	
srabosty,	স্রেস্টি,	শ্রাবস্তী,	
adarsho,	আদারশো,	আর্দশ,	
sthapona,	স্থাপোনা,	স্থাপনা,	
kaathhmaandute,	কাঠমমণ্ডুতে,	কাঠমান্ডুতে,	
judge,	জুডেগে,	জাজ,	
kiuti,	কিউটি,	কিউটি,	
dorun,	দোরুন,	দরুণ,	
jorury,	জোরুরি,	জরূরী,	
transhapharma,	ট্রান্সফর্ম,	ট্রান্সফর্ম,	
faaj,	ফাজ,	ফাজ,	
granthatyke,	গ্রান্থাটিকে,	গ্রন্থটিকে,	
samajik,	সমাজিক,	সামাজিক,	
nanir,	নানির,	নানীর,	
diniphition,	ডিনিশেন,	ডেফিনেশন,	
jeebonnogor,	জীবনগোর,	জীবননগর,	
ghomtaa,	ঘোঁটা,	ঘোমটা,	
dhanyi,	ধানই,	ধন্যি,	
carlos,	কার্লোস,	কার্লোস,	
ekghare,	একঘরে,	একঘরে,	
sqolastiq,	স্কোলাস্কিক,	স্কলাস্টিক,	
teestar,	টিস্টার,	তিস্তার,	
chaudhurio,	চাউধেরিও,	চৌধুরীও,	
zerusalem,	জেরুসেলাম,	জেরুজালেম,	
faase,	ফাসে,	ফাঁসে,	
pancbaar,	প্যানব্যার,	পাঁচবার,	
hariner,	হারিনার,	হরিণের,	
browser,	ব্রাসের,	ব্রাউজার,	
fongli,	ফংলগি,	ফংলি,	
bodhukeo,	বধুকেও,	বধুকেও,	
nirgaman,	নির্গামান,	নির্গমন,	
grahoksebai,	গ্রাহকেসবাই,	গ্রাহকসেবায়,	
sanghatakder,	সংঘটকদের,	সংঘটকদের,	
veemsen,	ভিমসেন,	ভীমসেন,	
jakatke,	জাকাতকে,	যাকাতকে,	
postay,	পোস্টে,	পোস্টে,	
bachhaikrito,	বাচাইকৃত,	বাছাইকৃত,	
chahidapotrer,	চাহিদাপত্রের,	চাহিদাপত্রের,	
sumitrar,	সুমিত্রার,	সুমিত্রার,	
ekroop,	একরূপ,	একরূপ,	
digrir,	ডিগ্রির,	ডিগ্রির,	
nariderke,	নারীদেরকে,	নারীদেরকে,	
ashamarthita,	আশমর্থীতা,	অসমর্থিত,	
pyaleshtainer,	প্লেইশ্টানের,	প্যালেস্টাইনের,	
sponsorshipe,	স্পনশোর্িপে,	স্পন্সরশীপে,	
vaphara,	ভাফারা,	বাফার,	
ovarview,	ওভারভিউ,	ওভারভিউ,	
tintir,	তিন্তির,	তিনটির,	
moorali,	মূরালি,	মুরলী,	
falak,	ফালাক,	ফলক,	
tecnokret,	টেকনক্রেট,	টেকনোক্র্যাট,	
bibecchyo,	বিবেচ্ছ,	বিবেচ্য,	
abhidhaaneeck,	অভিধান্ক,	অভিধানিক,	
sectore,	সেক্টোর,	সেক্টরে,	
gemske,	জেমস্কে,	জেমসকে,	
chalachchitro,	চালাচিত্র,	চলচ্চিত্র,	
goodamjato,	গৌড়মজাত,	গুদামজাত,	
jegulur,	জেগুলুর,	যেগুলুর,	
tanu,	তানু,	তনু,	
saatzoner,	সাতজনের,	সাতজনের,	
baaiq,	বাইক,	বাইক,	
gobeshakgon,	গবেষকগণ,	গবেষকগণ,	
prakar,	প্রকার,	প্রকার,	
epiela,	এপিয়েলা,	আইপিএল,	
hakone,	হাকোন,	হাকোনে,	
suhasini,	সুহাসিনী,	সুহাসিনী,	
minishtarer,	মিনিশ্টারের,	মিনিস্টারের,	
michhilti,	মিছিলটি,	মিছিলটি,	
chereche,	চেরেছে,	ছেড়েছে,	
bagdad,	বাগদাড়,	বাগদাদে,	
torkarir,	তর্কারীর,	তরকারীর,	
capsule,	ক্যাপসলে,	ক্যাপ্সুল,	
punosthaner,	পুনঃ্থানের,	পুনঃস্থানের,	
tigmanshu,	তিগমানশু,	তিগ্মাংশু,	
danaqana,	ডানাকানা,	ডানকান,	
vagni,	ভাগনি,	ভগ্নী,	
seebiai,	সিবিয়াই,	সিবিআই,	
ashor,	আশোর,	আসর,	
aasirbaad,	আসীরবাদ,	আশির্বাদ,	
niphelheim,	নিফেলহেমম,	নিফেলহেইম,	
raia,	রাইয়া,	রায়,	
ghumacchilo,	ঘুমাক্ছিল,	ঘুমাচ্ছিল,	
bishashke,	বিষাষকে,	বিশ্বাসকে,	
pratisthanik,	প্রতিস্থানিক,	প্রাতিষ্ঠানিক,	
paira,	পাইরা,	পাইরা,	
shunani,	শুনানি,	শুনানী,	
nederlande,	নেদারল্যান্ডে,	নেদারল্যান্ডে,	
nabyata,	নব্যতা,	নাব্যতা,	
varma,	ভারমা,	ভার্মা,	
zeeland,	জিল্যান্ড,	জিল্যান্ড,	
ceramicer,	সারেমিইসের,	সিরামিকের,	
pratijogira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
laesensh,	লাইসেন,	লাইসেন্স,	
baet,	বেইট,	বাইট,	
roopdan,	রূপডান,	রুপদান,	
kings,	কিংস,	কিংস,	
brail,	ব্রাইল,	ব্রেইল,	
phakay,	ফাকা,	ফাকে,	
shringge,	শ্রিঙ্গে,	শৃঙ্গে,	
aziza,	আজিজা,	আজিজা,	
shrabastee,	শ্রাবস্তি,	শ্রাবস্তী,	
rakkhandurga,	রক্ষণদুর্গ,	রক্ষণদুর্গ,	
prasadhoni,	প্রাসাধনী,	প্রসাধনী,	
afrazuler,	আফরাজুলের,	আফরাজুলের,	
udbhabaney,	উদ্ভাবনে,	উদ্ভাবনে,	
shem,	শেম,	সেম,	
orbi,	অরবি,	ওরবি,	
cxt,	সিএিটিসি,	সিএক্সটি,	
goteehin,	গতিহীন,	গতিহীন,	
madhuri,	মাধুরি,	মাধুরী,	
domone,	দমনোনে,	দমনে,	
antarctica,	অ্যান্টার্টিকা,	অ্যান্টার্কটিকা,	
khitkar,	খিতকার,	ক্ষিতকর,	
jatinkey,	জাতিনকে,	যতীনকে,	
paroner,	পারণের,	পারণের,	
chupani,	চুপানি,	চুপানি,	
myat,	ম্যাট,	ম্যাট,	
slatgulor,	স্লাটগুলোর,	স্ল্যাটগুলোর,	
ponchashjon,	পঞ্চাশন,	পঞ্চাশজন,	
mochlekha,	মোচলেখা,	মোছলেখা,	
kanuner,	কানুনের,	কানুনের,	
prokar,	প্রকার,	প্রকার,	
mithener,	মিথেনের,	মিথেনের,	
dakten,	ডাকতেন,	ডাকতেন,	
quary,	কোয়ারি,	কোয়েরি,	
samaveshke,	সমাভেষকে,	সমাবেশকে,	
kuresher,	কুরেশের,	কুরেশের,	
sobche,	সব্ছে,	সবচে,	
ajuhat,	আজুহাত,	অজুহাত,	
dinar,	দিনার,	ডিনার,	
chaalkee,	চালকে,	চালকে,	
rajnaiteek,	রাজনাইতক,	রাজনৈতীক,	
satarkatar,	সতরকাতার,	সতর্কতার,	
kamla,	কামলা,	কামলা,	
maritimer,	মারিটিমের,	মেরিটাইমের,	
gujab,	গুজাব,	গুজব,	
degree,	ডেগ্রি,	ডিগ্রি,	
aarke,	আরকে,	আরকে,	
doloo,	দালুও,	ডলু,	
serup,	সেরুপ,	সেরূপ,	
poripake,	পরিপাকে,	পরিপাকে,	
edseler,	এডসেলের,	এডসেলের,	
protisthan,	প্রতিস্থান,	প্রতিষ্টান,	
bandhano,	বাঁধানো,	বাঁধানো,	
zerusalemer,	জেরুসেলামের,	জেরুজালেমের,	
jins,	জিন্স,	জিন্স,	
thandabhabe,	তাঁদাভাবে,	ঠাণ্ডাভাবে,	
bsnleu,	বিএসএনএএউএ,	বিএসএনএলইইউ,	
chhintayikari,	ছিন্তায়িকারী,	ছিনতাইকারী,	
suchanakal,	সূচনকল,	সূচনাকাল,	
senabahinio,	সেনাবিহীও,	সেনাবাহিনীও,	
ghomta,	ঘোমটা,	ঘোমটা,	
parshwer,	পার্শ্বের,	পার্শ্বের,	
mette,	মেট্তে,	ম্যাট,	
habsi,	হাবসি,	হাবশী,	
utsahi,	উৎসাহী,	উৎসাহী,	
krisenter,	ক্রিসেন্টের,	ক্রিসেন্টের,	
dhyanastha,	ধ্বনস্থ,	ধ্যানস্থ,	
rajtantra,	রাজতন্ত্র,	রাজতন্ত্র,	
hoonayin,	হুইনিয়ান,	হুনাইন,	
mohajote,	মহাজতে,	মহাজোট,	
dalee,	দালী,	ডালে,	
gananatyo,	গণনাত্য,	গণনাট্য,	
dharabahikvabe,	ধারাবাহিকভাবে,	ধারাবাহিকভাবে,	
notti,	নটটি,	নোটটি,	
torunderke,	তরুণ্ডেরকে,	তরুণদেরকে,	
shekarone,	শেকারণে,	সেকারণে,	
vortuki,	ভর্তুকি,	ভর্তুকি,	
kkomandar,	ক্মোন্ডার,	কমাণ্ডার,	
highcommissionay,	হাইমস্োমিন,	হাইকমিশনে,	
kathmandu,	কাঠমণ্ডু,	কাঠমান্ডু,	
remakri,	রেমাকরি,	রেমাক্রী,	
scholarship,	স্কোরশশিপ,	স্কলারশিপ,	
planey,	প্লেন,	প্লেনে,	
militaryr,	মিলিটারির,	মিলিটারির,	
black,	ব্ল্যাক,	ব্ল্যাক,	
peri,	পেরি,	পেরি,	
ramchander,	রামচন্দের,	রামচন্দরের,	
mahafezkhanar,	মহাফেখখানার,	মহাফেজখানার,	
okkhorke,	অক্ষরকে,	অক্ষরকে,	
gasthi,	গাস্থী,	গোষ্ঠী,	
niurolaji,	নিউরোজাজি,	নিউরোলজি,	
shikshagato,	শিক্ষাগত,	শিক্ষাগত,	
jemy,	জেমি,	জেমি,	
annimated,	অ্যান্মিটাটেড,	এনিমেটেড,	
neutrinoo,	নিউট্রনোও,	নিউট্রিনো,	
capsul,	ক্যাপসুল,	ক্যাপসুল,	
manabmaner,	মানবামানের,	মানবমনের,	
senabahinikey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
liaodong,	লিয়েডং,	লিয়াওদং,	
chalochchitraeei,	চালচ্চিত্রায়,	চলচ্চিত্রেই,	
skirt,	স্কির্ট,	স্কার্ট,	
karima,	করিমা,	করিম,	
magrey,	ম্যাগ্রে,	ম্যাগ্রে,	
utkhaat,	উৎখাত,	উত্খাত,	
vaabnake,	ভাবনাকে,	ভাবনাকে,	
jonmobhumitir,	জন্মুভিমিতির,	জন্মভূমিটির,	
lambi,	লাম্বি,	লম্বি,	
abhirupbabuke,	অভিরূপবাবুকে,	অভিরূপবাবুকে,	
nowel,	নওয়েল,	নভেল,	
oitijje,	ঐতিজ্যে,	ঐতিহ্যে,	
amburi,	আম্বুরি,	আম্বুরি,	
poscater,	পস্কেটের,	পশ্চাতের,	
pathanirdeshona,	পাথানিরদেশনা,	পথনির্দেশনা,	
groth,	গ্রোথ,	গ্রোথ,	
chetanagoto,	চেতানাগত,	চেতনাগত,	
norpholk,	নরফলক,	নরফোক,	
osthisondhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
azimpur,	আজিমপুর,	আজিমপুর,	
kaale,	কালে,	কালে,	
brixfield,	ব্রিক্সফাইল্ড,	ব্রিক্সফিল্ড,	
adorsho,	আদর্শ,	আর্দশ,	
tokeo,	টোকেও,	টোকেও,	
ragee,	রাগে,	রাগী,	
fokskon,	ফক্সকন,	ফক্সকন,	
nagorikra,	নাগোরিকরা,	নাগরিকেরা,	
samratra,	সম্রত্র,	সম্রাটরা,	
bishhnu,	বিষ্ণু,	বিষ্ণু,	
plasse,	প্লেসে,	প্লাসে,	
samanwitovabe,	সমমন্তিভতাবে,	সমন্বিতভাবে,	
shiter,	শিতের,	শীতের,	
dalnata,	দলনাটা,	ডালনাটা,	
ghoomachhilo,	ঘুমাছিল,	ঘুমাচ্ছিল,	
ucchosito,	উচ্চসিত,	উচ্ছসিত,	
boshoborti,	বশবর্তী,	বশবর্তী,	
bikretara,	বিক্রেতারা,	বিক্রেতারা,	
chhayi,	ছায়ি,	ছাই,	
hukar,	হুকার,	হুকার,	
ajibon,	অজিবন,	আজীবন,	
qulim,	কুলিম,	কুলিং,	
simantarkkhibahinir,	সীমান্তকার্থবাহিনীর,	সীমান্তরক্ষীবাহিনীর,	
nirbachakder,	নির্বাচকদের,	নির্বাচকদের,	
juktarashtrasaha,	যুক্তঃরাষ্রস্থা,	যুক্তরাষ্ট্রসহ,	
sawam,	সায়াম,	সাওম,	
bhogno,	ভগ্ন,	ভগ্ন,	
laaisheesh,	লাইশস,	লাইসেন্স,	
gajetted,	গেজেটেটেড,	গেজেটেড,	
oxfordey,	অক্সফোর্ডে,	অক্সফোর্ডে,	
engrejra,	এন্জেররা,	ইংরেজরা,	
assexe,	এসেক্সে,	অ্যাসেক্সে,	
orthanitike,	অর্থানীতিকে,	অর্থনীতিকে,	
nirapattamulok,	নিরাপত্তামূলক,	নিরাপত্তামূলক,	
prarthitao,	প্রার্থিতাও,	প্রার্থীতাও,	
bibader,	বিবাদের,	বিবাদের,	
pronoti,	প্রণটি,	প্রণতি,	
sathik,	সাথিক,	সঠিক,	
suri,	সুরি,	সুরি,	
overholing,	ওভারহলিং,	ওভারহোলিং,	
barbadoj,	বারবাদজ,	বার্বাডোজ,	
pyor,	প্যোর,	পিওর,	
karmazog,	কর্মাোগ,	কর্মযোগ,	
pinogbagke,	পিনবগাজকে,	পিনগবাগকে,	
priseflex,	প্রাইফেল্ক্স,	প্রাইজফ্লেক্স,	
bhittiti,	ভিত্তিটি,	ভিত্তিটি,	
bharpur,	ভারপুর,	ভরপুর,	
saptahokal,	সপ্তাহকাল,	সপ্তাহকাল,	
sursur,	সুরসুর,	সুরসুর,	
hindutirtha,	হিন্দুতির্থ,	হিন্দুতীর্থ,	
rajotta,	রাজত্বা,	রাজত্ব,	
haridware,	হরিদ্বারে,	হরিদ্বারে,	
yaq,	য্ক,	ইয়াক,	
graambasi,	গ্রামবাসী,	গ্রামবাসী,	
rakhete,	রাখেতে,	রাখেতে,	
vushito,	ভূষিত,	ভূষিত,	
zozyota,	যোজ্যতা,	যোজ্যতা,	
gardeen,	গার্ডিন,	গার্ডেন,	
kayed,	কায়েদ,	কায়েদ,	
karadando,	কারাদান্দ,	কারাদণ্ড,	
byabaharkaree,	ব্যবহারকারী,	ব্যবহারকারী,	
obhijojan,	অভিজজান,	অভিযোজন,	
bhabaponno,	ভবপন্ন,	ভাবাপন্ন,	
krimlin,	ক্রিমিন,	ক্রিমলিন,	
akkhunno,	অক্ষুন্ন,	অক্ষুণ্ণ,	
asbab,	আসবাব,	আসবাব,	
lisense,	লিইনেন্স,	লাইসেন্স,	
ateetkale,	আতিককলে,	অতীতকালে,	
konoroop,	কনরূপ,	কোনরূপ,	
flux,	ফ্লাক্স,	ফ্লাস্ক,	
chhaikalo,	ছাইকালো,	ছাইকালো,	
ghotleyo,	ঘোটলেও,	ঘটলেও,	
terlarang,	টেরলারং,	তেরলারং,	
ghoshanapatratio,	ঘোষণাপত্রটিও,	ঘোষণাপত্রটিও,	
nilkuthir,	নীলকুঠির,	নীলকুঠির,	
saamaanya,	সামন্য,	সামান্য,	
suhayeler,	সুহায়েলের,	সুহায়েলের,	
probeshkari,	প্রবেশকারী,	প্রবেশকারী,	
mukhbondho,	মুখবন্ধ,	মুখবন্ধ,	
protishtan,	প্রতিষ্টান,	প্রতিষ্টান,	
billaho,	বিল্লাহো,	বিল্লাহ,	
teemothy,	টিমোথি,	টিমোথি,	
somraatder,	সম্রাতদের,	সম্রাটদের,	
prottokkhovabe,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
shuperheiro,	শুপেরহেরো,	সুপারহিরো,	
standards,	স্ট্যান্ডর্ডস,	স্টান্ডার্ডস,	
gaaddafee,	গাডফা,	গাদ্দাফী,	
sharifpur,	শরীপপুর,	শরিফপুর,	
turkii,	তুরকিই,	তুর্কি,	
stoic,	স্টক,	স্টোয়িক,	
sorting,	সর্টিং,	সর্টিং,	
jamarate,	জামারাতে,	জামারাতে,	
fatkabazare,	ফাৎকাবাজারে,	ফাটকাবাজারে,	
deefinision,	ডিফিনিশন,	ডেফিনেশন,	
mosharroph,	মোশারফো,	মশাররফ,	
mastarsa,	মাস্তারসা,	মাস্টার্স,	
porirshoder,	পরির্শদের,	পরির্ষদের,	
daaktikite,	দাক্তিকিতে,	ডাকটিকিটে,	
rahimed,	রহিমেদ,	রহিমেদ,	
maila,	মাইলা,	মাইল,	
gaje,	গাজে,	গেজ,	
surakarder,	সুরাকারদের,	সুরকারদের,	
kusumeshu,	কুশুমেষু,	কুসুমেষু,	
pharmesigulote,	ফার্মেসিগুলোতে,	ফার্মেসীগুলোতে,	
rifleksa,	রিফলেক্সা,	রিফ্লেক্স,	
firozaa,	ফিরোজা,	ফিরোজা,	
kyathlik,	ক্যাঠলিক,	ক্যাথলিক,	
akhandata,	আখন্দতা,	অখণ্ডতা,	
medilek,	মেডিলেক,	মেডিলেক,	
byatikrami,	ব্যত্রকমমী,	ব্যতিক্রমী,	
spredashita,	স্প্রেদাশিত,	স্প্রেডশীট,	
monzooshree,	মন্জশূর্যে,	মঞ্জুশ্রী,	
prokalpagulo,	প্রকালপাগুলো,	প্রকল্পগুলো,	
choudhursoho,	চৌধুরসহ,	চৌধুরসহ,	
aamoode,	আমুওদে,	আমুদে,	
korley,	করলে,	করলে,	
pluck,	প্লাক,	প্ল্যাক,	
mukhomandal,	মুখমণ্ডল,	মুখমণ্ডল,	
sambhabonao,	সম্ভাবনাও,	সম্ভবনাও,	
joubanbatee,	যৌবনবাতে,	যৌবনবতী,	
charukala,	চারুকালা,	চারুকলা,	
gostigulo,	গোস্তিগুলো,	গোষ্ঠীগুলো,	
evereste,	ইভারেস্টে,	এভারেস্টে,	
saraiki,	সরাইকি,	সরাইকি,	
atwabishvashi,	অত্ববিশ্বাষী,	আত্মবিশ্বাসী,	
madhukori,	মাধুকোরি,	মাধুকরী,	
zonsa,	জোন্সা,	জোন্স,	
rananganey,	রাঙ্গনে,	রণাঙ্গনে,	
manab,	মানাব,	মানব,	
lotharan,	লোথারান,	লুথেরান,	
sangram,	সংগ্রাম,	সঙ্গ্রাম,	
teksuser,	টেকসাসের,	টেক্সাসের,	
ministara,	মিনিস্তারা,	মিনিস্টার,	
laishenshim,	লাইশেনমিম,	লাইসেন্সিং,	
sobchey,	সবচে,	সবচে,	
prashikkhane,	প্রশিক্ষণে,	প্রশিক্ষণে,	
charban,	চরবান,	চর্বন,	
marry,	মারি,	ম্যারি,	
dakteekiter,	ডাক্টিকিতের,	ডাকটিকিটের,	
shcholastic,	স্চোলাস্টিক,	স্কলাস্টিক,	
gandhike,	গাঁধিকে,	গান্ধীকে,	
achintyabhedaved,	অচিন্ত্যরেভাদ,	অচিন্ত্যভেদাভেদ,	
acrolect,	অ্যাক্রোলেক্ট,	অ্যাক্রোলেক্ট,	
masjidke,	মাসজিককে,	মসজিদকে,	
zibonnogor,	জীবনগগর,	জীবননগর,	
rajbandi,	রাজবন্দি,	রাজবন্দী,	
daakteekite,	দাক্তিতিতে,	ডাকটিকিটে,	
bisheshshyo,	বিশেষ্য,	বিশেষ্য,	
modhumotii,	মধুমতিই,	মধুমতী,	
shajano,	শাজানো,	সাজানো,	
chhon,	ছন,	ছোঁ,	
parjotaker,	পার্যতাকের,	পর্যটকের,	
gasthii,	গাস্থিই,	গোষ্ঠীই,	
boner,	বনের,	বনের,	
nodiiteyi,	নদীয়েতই,	নদীতেই,	
chapchap,	চাপচাপ,	চাপচাপ,	
dhani,	ধানী,	ধানি,	
ingrejra,	ইংরেজরা,	ইংরেজরা,	
carlosh,	কার্লোশ,	কার্লোস,	
deepan,	ডিপান,	দীপন,	
ase,	এসে,	আসে,	
lyaataa,	ল্যাট,	ল্যাটা,	
bbosonto,	ব্বসনটো,	বসন্ত,	
mukhabandha,	মুখবন্ধ,	মুখবন্ধ,	
minilosar,	মিনিলোসার,	মিনিলোসার,	
iuro,	আউউর,	ইউরো,	
summer,	সাম্মার,	সামার,	
ganosachetanata,	গণস্চানেতা,	গণসচেতনতা,	
indrani,	ইন্দ্রানি,	ইন্দ্রাণী,	
emarjensi,	এমারজেন্সি,	এমার্জেন্সি,	
landing,	ল্যান্ডিং,	ল্যান্ডিং,	
umb,	ইউএমএবি,	ইউএমবি,	
polashir,	পলাশির,	পলাশীর,	
kisti,	কিস্তি,	কিস্তি,	
hunine,	হুনিনে,	হুনাইন,	
mokhmoley,	মখমোলে,	মখমলে,	
haris,	হারিস,	হ্যারিস,	
superheroo,	সুপারহেরো,	সুপারহিরো,	
conservetion,	কনভারসেশন,	কনসারভেশন,	
jeten,	জেতেন,	জেতেন,	
jolrong,	জলরং,	জলরঙ,	
shootar,	সুতার,	শ্যুটার,	
gafeeloti,	গাফোলি,	গাফিলতি,	
monir,	মনির,	মনির,	
kei,	কেই,	কেই,	
bojiye,	বজিয়ে,	বজিয়ে,	
agomone,	আগোমনে,	আগমনে,	
maarmaader,	মারমাদের,	মারমাদের,	
yathaarthabhaabe,	যথার্থভাবে,	যথার্থভাবে,	
biswashi,	বিশ্বাসী,	বিশ্বাসী,	
muhurtati,	মুহুরতাটি,	মুহুর্তটি,	
mailkhanek,	মাইলখানকে,	মাইলখানেক,	
shalook,	শালুক,	শালুক,	
lutherana,	লুথেরানা,	লুথেরান,	
tooku,	টুকু,	টুকু,	
crime,	ক্রিইম,	ক্রাইম,	
meropenemer,	মেরোপেনমমের,	মেরোপেনেমের,	
miraqela,	মিরাকেলা,	মিরাকেল,	
oshtader,	ওষ্টাদের,	ওস্তাদের,	
lebina,	লেবিনা,	লেবিনা,	
zakharovar,	যাখারভভার,	জাখারোভার,	
dibi,	ডিবি,	দিবি,	
gonjona,	গঞ্জনা,	গঞ্জনা,	
byaptikaler,	ব্যাপ্তিকালের,	ব্যাপ্তিকালের,	
chitronattakar,	চিত্রনাত্তাকার,	চিত্রনাট্যকার,	
mulyayonsapekkhe,	মূল্যায়নমেশকে,	মূল্যায়নসাপেক্ষে,	
byomkes,	ব্যোমকেস,	ব্যোমকেশ,	
taderek,	তাদেরেক,	তাদেরেক,	
madhabike,	মাধাবীকে,	মাধবীকে,	
furio,	ফুরিও,	ফুরিও,	
sikkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
kk,	কেকে,	কেকে,	
pinglateo,	পিংলাতেও,	পিংলাতেও,	
duple,	ডাপলে,	ডুপ্লে,	
shanno,	শান্ন,	সান্নো,	
jolrang,	জোলরাং,	জলরঙ,	
prachirer,	প্রাচীরের,	প্রাচিরের,	
sinakey,	সিনাকে,	সিনাকে,	
sahojatprobritti,	সহজতপ্রবৃত্তি,	সহজাতপ্রবৃত্তি,	
prijon,	প্রিজন,	প্রিজন,	
bii,	বিইইইই,	বি,	
mulyabriddhikale,	মূল্যবৃদ্ধিকালে,	মূল্যবৃদ্ধিকালে,	
kholdhular,	খোলদুলার,	খোলধূলার,	
hondooras,	হন্ডরাস,	হন্ডুরাস,	
neemeetto,	নেমিত্ব,	নিমিত্ত,	
toroonraa,	তরুনরা,	তরুণরা,	
shahanara,	শাহানারা,	শাহানারা,	
basaake,	বাসাকে,	বাসাকে,	
panda,	পান্ডা,	পান্ডে,	
show,	শোভ,	শো,	
manoharpur,	মনোহরপুর,	মনোহরপুর,	
protizogiita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
pyetarna,	প্যাটার্না,	প্যাটার্ন,	
gaddaafee,	গা্্ফাফী,	গাদ্দাফী,	
laishensha,	লইশেনসহ,	লাইসেন্স,	
vugorvey,	ভুগরভে,	ভূগর্ভে,	
abikaul,	অবিকৌল,	অবিকল,	
ummool,	উম্মুল,	উম্মুল,	
oncholtee,	অঞ্চল্তে,	অঞ্চলটি,	
chhuti,	ছুটি,	ছুটি,	
japanostho,	যাপাসন্থ,	জাপানস্থ,	
protisthar,	প্রতিস্থার,	প্রতিষ্ঠার,	
sambatsarkal,	সম্বতৎস্কাল,	সম্বৎসরকাল,	
prodiiper,	প্রদীপের,	প্রদীপের,	
akai,	আকাই,	একাই,	
sheshardhe,	শেষার্ধে,	শেষার্ধে,	
ekhate,	এখাতে,	একহাতে,	
ghenshei,	ঘেঁশেই,	ঘেঁষেই,	
lutheerana,	লুথুরিনা,	লুথেরান,	
greenald,	গ্রিনল্ড,	গ্রিনল্ড,	
sangaskritipreme,	সংস্কৃতিপ্রেমে,	সংস্কৃতিপ্রেমে,	
krus,	ক্রুস,	ক্রুশ,	
modelkey,	মডেলকে,	মডেলকে,	
upobasher,	উপবাষের,	উপবাসের,	
aieesha,	আইশে,	আইএএস,	
taranee,	তারানী,	তরণী,	
konflict,	কনফ্লিক্ট,	কনফ্লিক্ট,	
soketgulor,	সোকেটগুলোর,	সকেটগুলোর,	
biphal,	বিফাল,	বিফল,	
labonaaktotaar,	লবণক্ততার,	লবণাক্ততার,	
akten,	আক্তেন,	অকটেন,	
cheef,	চীফ,	শেফ,	
nazad,	নাজাড,	নজদ,	
barack,	ব্যারাক,	বারাক,	
keu,	কেউ,	কেউ,	
turbine,	টারববাইন,	টারবাইন,	
municipal,	মুনিসিপাল,	মিউনিসিপ্যাল,	
beekaargrasta,	বিকারগ্রস্তা,	বিকারগ্রস্ত,	
laaisensh,	লয়েনেেশ,	লাইসেন্স,	
chiraharit,	চিরাহারিত,	চিরহরিৎ,	
prrajanankaal,	প্রজননকাল,	প্রজননকাল,	
fanse,	ফ্যান্সে,	ফাঁসে,	
europia,	ইউরোপিয়া,	ইউরোপিয়া,	
kindom,	কিন্ডম,	কিংডম,	
qyapasula,	ক্যাপাসুলা,	ক্যাপসুল,	
foloshrutite,	ফলশ্রুটিতে,	ফলশ্রুতিতে,	
chemjong,	চেমজং,	চেমজং,	
monchosthol,	মন্থসথল,	মঞ্চস্থল,	
themeke,	থেমেকে,	থিমকে,	
alaul,	আলাউল,	আলাওল,	
ipl,	আইপিএল,	আইপিএল,	
pratisthasaho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
eexpreession,	এক্সপ্রিশন,	এক্সপ্রেশন,	
shudden,	শুদ্দেন,	সাডেন,	
monroe,	মনরো,	মনেরোর,	
bajhyo,	বাঝ্য,	বাহ্য,	
armori,	আরমোরি,	আরমোরি,	
godabari,	গোডাবারি,	গোদাবরী,	
onucheeder,	অনুচিদের,	অনুচ্ছেদের,	
srichoitonnodeb,	শ্রীচৈতন্যবনেবেব,	শ্রীচৈতন্যদেব,	
jaruri,	জারুরি,	জরূরী,	
lyaandeeng,	ল্যান্ডিং,	ল্যান্ডিং,	
taler,	ট্যালার,	তালের,	
refleks,	রেফলেকস,	রিফ্লেক্স,	
dibya,	দিবিয়া,	দিব্যা,	
nathivookteer,	নাথিবকুত্রের,	নথিভুক্তির,	
pooshti,	পুষ্টি,	পুষ্টি,	
ispredseet,	ইসপ্রেডসট,	স্প্রেডশীট,	
aaziz,	আজিজ,	আজিজ,	
oitijhya,	ঐতিহ্যা,	ঐতিহ্য,	
navaratri,	নবরত্রী,	নবরাত্রি,	
shamshere,	শমমেরে,	শমসের,	
vittiteo,	ভিত্তিতেও,	ভিত্তিতেও,	
paikgachha,	পাইকগাছা,	পাইকগাছা,	
associatis,	অ্যাসিয়েটিস,	এসোসিয়েটস,	
samley,	সামলে,	সামলে,	
osamanno,	অসামান্ন,	অসামান্য,	
rca,	রিসিএ,	আরসিএ,	
