totokson,	তোটকসন,	ততক্ষন,	
inafarameshana,	ইনাফারেশন,	ইনফরমেশন,	
meropenemer,	মেরোপানেমের,	মেরোপেনেমের,	
jarmaniteo,	জারমানিতেও,	জার্মানিতেও,	
itostatah,	ইতস্তাথা,	ইতস্ততঃ,	
oitijje,	ঐতিহ্যে,	ঐতিহ্যে,	
mozdoor,	মজদুর,	মজদুর,	
pravura,	প্রভুরা,	প্রভুরা,	
daltagi,	ডাল্টাগি,	দলত্যাগী,	
monjooshree,	মঞ্জশুরী,	মঞ্জুশ্রী,	
horippur,	হরিপপুরের,	হরিপুর,	
rokibul,	রোিবুল,	রকিবুল,	
meshmeshya,	মেশমেশ্য,	মেশহমেশহিইয়া,	
choritrotakeo,	চরিত্রতাকেও,	চরিত্রটাকেও,	
registrikrito,	রেজিস্ট্রিক্ত,	রেজিস্ট্রীকৃত,	
dii,	দিয়,	দিই,	
uddhrito,	উদ্ধৃত,	উদ্ধৃত,	
myat,	ম্যাট,	ম্যাট,	
byepass,	ব্যাপাস,	বাইপাস,	
asif,	আসিফ,	আসিফ,	
armori,	আরমমি,	আরমোরি,	
dep,	ডিপ,	ডেপ,	
angshogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
muktijuddhojato,	মুক্তিযুদ্ধোধাত,	মুক্তিযুদ্ধজাত,	
dhanyi,	ধনন্যী,	ধন্যি,	
antennal,	অ্যান্টেনন,	অ্যান্টেনাল,	
odeb,	ওদেব,	ওদেব,	
foxcon,	ফক্সকোন,	ফক্সকন,	
annanere,	আন্নানেরে,	অন্যানেরে,	
serveray,	সারভারে,	সার্ভারে,	
anubhutimalar,	অনুভূতিমালার,	অনুভূতিমালার,	
adorso,	আদরসস,	আর্দশ,	
bishshaasho,	বিশ্ষাশো,	বিশ্বাসও,	
danata,	দানাটা,	ডোনাট,	
autopromotioner,	অটোপ্রোমেশনের,	অটোপ্রমোশনের,	
oshtader,	অষ্টাদের,	ওস্তাদের,	
homshke,	হোমশকে,	হোমসকে,	
mulvitti,	মুলভিত্তি,	মূলভিত্তি,	
remission,	রিমিশন,	রিমিশন,	
timoothi,	তিমুথি,	টিমোথি,	
shootar,	শূতার,	শ্যুটার,	
heena,	হিনা,	হেনা,	
orbeet,	অরবিট,	অরবিট,	
esasiyetasa,	এসাইয়েটাসা,	এসোসিয়েটস,	
byatari,	ব্যতারি,	ব্যাটারী,	
flexta,	ফ্লেক্সটা,	ফ্লেক্সটা,	
musolmanera,	মুসলমানেরা,	মুসলমানেরা,	
shamuker,	শামুকের,	শামুকের,	
stana,	স্তানা,	স্টোন,	
stoonahenja,	স্তুনেনজ্জা,	স্টোনহেঞ্জ,	
cheento,	চিন্ত,	চিনতো,	
shem,	শেম,	সেম,	
madhukori,	মধুকরি,	মাধুকরী,	
firalem,	ফিরালেম,	ফিরালেম,	
samajik,	সমাজিক,	সামাজিক,	
lutherana,	লুথেরানা,	লুথেরান,	
apad,	আপাদ,	আপদ,	
welcome,	ওয়েকমে,	ওয়েলকাম,	
addabaj,	আদ্ডাবাজ,	আড্ডাবাজ,	
roktokhoron,	রক্তখরণ,	রক্তক্ষরণের,	
shit,	শিত,	শীত,	
harbare,	হারবারে,	হারবারে,	
tookror,	টুকরোর,	টুকরোর,	
reshmirekha,	রেশমিরেখা,	রেশমীরেখা,	
byaptikaler,	ব্যাপতিকালের,	ব্যাপ্তিকালের,	
heawy,	হিউভি,	হেভি,	
salapheeta,	সালাফিটা,	সালফেট,	
bite,	বিটে,	বাইট,	
tiger,	টিগের,	টাইগার,	
deaubande,	ডেউব্যান্ডে,	দেওবন্দে,	
gonesher,	গোেষের,	গণেশের,	
ayantarqatiqa,	আয়ন্ত্রকতিক,	অ্যান্টার্কটিকা,	
siddhante,	সিদ্ধান্তে,	সিদ্ধান্তে,	
sharoker,	শারকের,	স্মারকের,	
chirkoot,	চিরকুট,	চিরকুট,	
abikaul,	অবিকুল,	অবিকল,	
shkalarashhipa,	স্কালাষাশিপ,	স্কলারশিপ,	
bojiye,	বোজিয়ে,	বজিয়ে,	
prashikkhane,	প্রশিক্ষণে,	প্রশিক্ষণে,	
saria,	সারিয়া,	সরিয়া,	
longhan,	লংহান,	লংঘন,	
rakshanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
manushsoho,	মানুষসহ,	মানুষসহ,	
mandarbani,	মন্দরবানী,	মন্দারবাণী,	
probhuder,	প্রভুদের,	প্রভুদের,	
wrighter,	ভৃগটার,	রাইটের,	
corsin,	করসিন,	করসিন,	
vesselli,	ভেসেলি,	ভেসেলি,	
sachetanvabe,	সচেতনভাবে,	সচেতনভাবে,	
hizriite,	হিজরিতে,	হিজরীতে,	
europia,	ইউরোপিয়া,	ইউরোপিয়া,	
protibedokrao,	প্রতিবেদকরাও,	প্রতিবেদকরাও,	
flux,	ফ্লাক্স,	ফ্লাস্ক,	
dinifitian,	ডিনিফিয়ান,	ডেফিনেশন,	
daap,	ডাপ,	ড্যাপ,	
amiya,	আমিয়া,	অমিয়,	
ekatitto,	একাতিত্ব,	একাতিত্ব,	
bishaashke,	বিশাসকে,	বিশ্বাসকে,	
rupert,	রুপার্ট,	রুপার্ট,	
anchalgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
laatimer,	লাতিমের,	লাটিমের,	
durbhagya,	দুর্ভাগ্য,	দূর্ভাগ্য,	
wodka,	ওয়াডকা,	ভদকা,	
agomone,	আগমনে,	আগমনে,	
fastara,	ফাস্টারা,	ফস্টার,	
temone,	তেমোন,	তেমনই,	
aaps,	এপিএসএস,	এএপিএস,	
ashamarthita,	অশামর্থিতা,	অসমর্থিত,	
himsrot,	হিমস্রোট,	হিমস্রোত,	
cholochchitrake,	চলচ্চিত্রাকে,	চলচ্চিত্রকে,	
punorabortonte,	পুনরাবর্তন্তে,	পুনরাবর্তন্তে,	
sahab,	সাহাব,	সাহাব,	
palta,	পালতা,	পালটা,	
ispredsheet,	ইসপ্রেডশিত,	স্প্রেডশীট,	
ddheela,	ঢিলা,	ঢিলা,	
tottorat,	তত্তরাত,	তওরাত,	
lidars,	লিডার্স,	লিডার্স,	
nariider,	নারিদের,	নারীদের,	
miitar,	মিইতার,	মিত্র,	
title,	টিটলে,	টাইটেল,	
nimnosakkharkari,	নিম্নাসক্ষাকারী,	নিম্নস্বাক্ষরকারী,	
jamseder,	জামসেদের,	জামসেদের,	
badargaji,	বাদারগাজী,	বদরগাজী,	
romjaner,	রোমজানের,	রমযানের,	
veniser,	ভেনিসের,	ভেনিসের,	
aziboner,	আজিবনের,	আজীবনের,	
nazad,	নাজাদ,	নজদ,	
gamdan,	গ্যামডান,	গামদান,	
jeshh,	জেশ,	জেস,	
chhatrodiger,	ছাত্রদিগের,	ছাত্রদিগের,	
asbab,	আসিবাব,	আসবাব,	
bosben,	বসবেন,	বসবেন,	
polashir,	পলাশির,	পলাশীর,	
aalkatraa,	আলকাত্রা,	আলকাতরা,	
chiroharit,	চিরোহারিত,	চিরহরিৎ,	
simantarkkhibahinir,	সীমান্তক্রনিভাষীরীর,	সীমান্তরক্ষীবাহিনীর,	
kada,	কাদা,	কোডা,	
horidbar,	হরিদবার,	হরিদ্বার,	
armshtrong,	আর্মস্ট্রং,	আর্মস্ট্রং,	
husni,	হুসনি,	হুসনি,	
badaghat,	বাডঘাট,	বাদাঘাট,	
purbancoler,	পুরবান্লোকের,	পূর্বাঞ্চলের,	
nobotom,	নবতম,	নবতম,	
jansa,	জানসা,	জন্স,	
oichchheek,	ঐচ্ছিক,	ঐচ্ছিক,	
porobortii,	পরবর্তিই,	পরর্বতী,	
jontropatigulite,	যন্ত্রপাগুলিতে,	যন্ত্রপাতিগুলিতে,	
furio,	ফুরিও,	ফুরিও,	
byaboharkareer,	ব্যবহারকারীর,	ব্যবহারকারীর,	
nothibhukteer,	নথিভুক্তির,	নথিভুক্তির,	
bohudin,	বহুদিন,	বহুদিন,	
soinyo,	সৈন্য,	সৈন্য,	
xpose,	এক্সপোপে,	এক্সপোজ,	
chittronatyokar,	চিত্রন্যত্তকর,	চিত্রনাট্যকার,	
dembakreeti,	দেম্বকৃতি,	ডিম্বাকৃতি,	
daaun,	ডাউন,	ডাউন,	
vromonkaley,	ভ্রমণকালে,	ভ্রমণকালে,	
chakradhare,	চকরাধারে,	চক্রধরে,	
ganoporibahoner,	গণপরিবাহণের,	গণপরিবহনের,	
contemporary,	কন্টেমপ্রারি,	কন্টেম্পোরারি,	
bhotomulyoke,	ভতমুল্যকে,	ভোটমূল্যকে,	
omkar,	ওমকার,	ওঙ্কার,	
sikkhakbrinda,	শিক্ষাবৃন্দ,	শিক্ষকবৃন্দ,	
ramnathbabur,	রামনাথবাবুর,	রামনাথবাবুর,	
horeepur,	হরিপুর,	হরিপুর,	
palkee,	পালকি,	পাল্কি,	
nilkuthir,	নীলকুঠির,	নীলকুঠির,	
bonke,	বনকে,	বনকে,	
sima,	সিমা,	সীমা,	
dantahin,	দানতাহীন,	দন্তহীন,	
nowel,	নোয়েল,	নভেল,	
habshi,	হাবশি,	হাবশী,	
domonmulok,	দমনমুলক,	দমনমূলক,	
surke,	সুরকে,	সুরকে,	
anektai,	অনেকটাই,	অনেকটাই,	
chhedon,	ছেড়ন,	ছেদন,	
daakticketer,	ডাক্টিকটের,	ডাকটিকিটের,	
arifin,	আরিফিন,	আরিফিন,	
shukrabab,	শুক্রবাব,	শুক্রবাব,	
conservetion,	কনসারভেশন,	কনসারভেশন,	
sorsa,	সোরসা,	সোর্স,	
taalaal,	তালাল,	তালাল,	
sinaake,	সিনাকে,	সিনাকে,	
ranangane,	রানাঙ্গানে,	রণাঙ্গনে,	
inziniyarsa,	ইনজিনিয়ারসস,	ইঞ্জিনিয়ার্স,	
munim,	মুনিম,	মুনিম,	
utpotti,	উৎপত্টি,	উতপত্তি,	
byaboharkarike,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
maudelti,	মাউদেলটি,	মডেলটি,	
anhu,	আনহা,	আনহু,	
chalachchitroi,	চালচ্ছিত্রই,	চলচ্চিত্রই,	
nagorikra,	নাগরিকরা,	নাগরিকরা,	
dhangsantup,	ধাংসান্তূপ,	ধ্বংসন্তুপ,	
phutanta,	ফুটান্টা,	ফুটন্ত,	
dhamshrenite,	ধামশ্রেনিতে,	ধামশ্রেণীতে,	
deraa,	দেরি,	ডেরা,	
jund,	জান্ড,	জুন্দ,	
wilderske,	উইলডারসে,	উইল্ডার্সকে,	
dooburir,	দুবুরীর,	ডুবুরির,	
lajik,	লাজিক,	লজিক,	
taufiq,	তাউফিক,	তৌফিক,	
prrajanankaal,	প্রজানকাল,	প্রজননকাল,	
calabe,	ক্যালাবে,	চালাবে,	
chintamani,	চিন্তামানি,	চিন্তামনি,	
khelechen,	খেলেছেন,	খেলেছেন,	
pustir,	পুস্তির,	পুষ্টির,	
taroni,	তারোনি,	তরণী,	
samany,	সামানি,	সামান্য,	
sedikei,	সেদিকেই,	সেদিকেই,	
rayyaleti,	রয়়েলেতি,	রয়্যালটি,	
neelkamal,	নীলকমলল,	নীলকমল,	
maradeha,	মারাদেহা,	মরদেহ,	
spashtotai,	স্পাষ্টতায়,	স্পষ্টতই,	
ghatiti,	ঘটিটি,	ঘাঁটিটি,	
kathmandu,	কথ্মন্ডু,	কাঠমান্ডু,	
thyachar,	থিয়াচার,	থ্যাচার,	
vool,	ভুল,	উল,	
dolphiny,	ডলফিনি,	ডলফিনি,	
jotota,	জোতা,	যতোটা,	
smarak,	স্মারক,	স্মারক,	
peerry,	পিরি,	পেরি,	
durgotsabe,	দুর্গৎসাে,	দুর্গোৎসবে,	
graambaaseeder,	গ্রাম্বাসাইডার,	গ্রামবাসীদের,	
juboke,	যুবকে,	যুবকে,	
panchashjan,	পঞ্চশগান,	পঞ্চাশজন,	
somoodrotote,	সমাদ্রততে,	সমুদ্রতটে,	
anisa,	অনিসা,	আনিস,	
dara,	দারা,	দারা,	
ongshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
haripur,	হরিপুর,	হরিপুর,	
mehsus,	মেহিসাস,	মেহসুস,	
militarir,	মিলিতারীর,	মিলিটারির,	
gabinius,	গবিনিয়াস,	গাবিনিআস,	
prokolpow,	প্রকল্পু,	প্রকল্পও,	
shunani,	শুনানী,	শুনানী,	
soomita,	সুমিতা,	সুমিতা,	
peeth,	পিথ,	পীঠ,	
protiakromonei,	প্রতিয়াকর্মনেই,	প্রতিআক্রমণেই,	
hossne,	হোসনে,	হোসনে,	
neshnosh,	নেশ্নশ,	নেশনস,	
attacharito,	অত্তাচরিত,	অত্যাচারিত,	
colgirl,	কোলগার্ল,	কলগার্ল,	
dephinishion,	ডিফিনিশন,	ডেফিনেশন,	
bishnu,	বিষ্ণু,	বিষ্ণু,	
licensedhari,	লিইসেন্েধারী,	লাইসেন্সধারী,	
bojhey,	বোঝে,	বোঝে,	
bhejaano,	ভেজানো,	ভেজানো,	
volivoler,	ভলিভলের,	ভলিভলের,	
audiotike,	অডিওটিকে,	অডিওটিকে,	
graambashee,	গ্রাম্বাশি,	গ্রামবাসী,	
chakundite,	চাকুন্ডিতে,	চাকুন্দিতে,	
tep,	টেপ,	ট্যাপ,	
fastag,	ফাস্টাগ,	ফ্যাসট্যাগ,	
ujobekeestaner,	উজবেকিস্তানের,	উজবেকিস্তানের,	
prokolpogulikei,	প্রকল্পগুলিকেই,	প্রকল্পগুলিকেই,	
moddhyoshtho,	মধ্যশ্থ,	মধ্যস্থ,	
sanghitar,	সংহীতার,	সংহিতার,	
site,	সিটে,	সিটে,	
asommoti,	অসম্মতি,	অসম্মতি,	
bonshi,	বনশি,	বংশী,	
armeeniyana,	আর্মিনীয়ন,	আর্মেনিয়ান,	
byaboharkariyi,	ব্যবহারকারী,	ব্যবহারকারীই,	
milekhanek,	মিলেখানেক,	মাইলখানেক,	
paikgachha,	পাইকগাছা,	পাইকগাছা,	
deciliter,	ডিকিলিটের,	ডেসিলিটার,	
fitarsaho,	ফিতারসহ,	ফিতরসহ,	
icelands,	আইসেল্যান্স,	আইসল্যান্ডসহ,	
thechar,	থেচার,	থ্যাচার,	
suraaropito,	সুরাপরিপত,	সুরারোপিত,	
shamijir,	শামিজীর,	স্বামীজীর,	
probhur,	প্রভুর,	প্রভুর,	
boshoborti,	বশবর্তী,	বশবর্তী,	
shchalastik,	স্লালাস্টিক,	স্কলাস্টিক,	
musalmanderke,	মুসলমান্ডরকে,	মুসলমানদেরকে,	
seoul,	সেওল,	সোল,	
breakthrough,	ব্রেক্চুর্োচ,	ব্রেকথ্রু,	
phaltu,	ফাল্তু,	ফালতু,	
magar,	মাগার,	মাগার,	
modele,	মোদেলে,	মডেলে,	
review,	রিভিউ,	রিভিউও,	
chikitsar,	চিকিতসার,	চিকিত্সার,	
koota,	কুতা,	কোটা,	
nodiiteyi,	নোদিয়েই,	নদীতেই,	
dalee,	ডালি,	ডালে,	
vittiteo,	ভিত্টিতেও,	ভিত্তিতেও,	
faskari,	ফাসকারী,	ফাঁসকারী,	
elakasoho,	এলাকাসহ,	এলাকাসহ,	
ekbakye,	একবাক্যে,	একবাক্যে,	
chhooti,	ছুটি,	ছুটি,	
direectoratee,	ডিরিক্টররটিট,	ডিরেক্টরেট,	
shringge,	শ্রিঙ্গে,	শৃঙ্গে,	
bossoben,	বস্ববেন,	বসবেন,	
prokolpotike,	প্রকল্পতিকে,	প্রকল্পটিকে,	
uporzon,	উপর্জন,	উপার্জন,	
bisnukey,	বিসনুকে,	বিষ্ণুকে,	
naper,	নাপের,	ন্যাপের,	
korley,	করলে,	করলে,	
abti,	অবিটি,	আবতি,	
onucheeder,	অনুচিদের,	অনুচ্ছেদের,	
manushti,	মানুষ্টি,	মানুষটি,	
rajan,	রাজান,	রাজন,	
beatleser,	বিটলেসের,	বিটলসের,	
deobonde,	দেওবন্ডে,	দেওবন্দে,	
kourabe,	কৌরবে,	কৌরবে,	
teennis,	টিনিস,	টেনিস,	
tigmanshu,	তিগমানশু,	তিগ্মাংশু,	
safiha,	সাফিহা,	সাফিহা,	
baipass,	বাইপাস,	বাইপাস,	
prapokkey,	প্রাপক্কে,	প্রাপককে,	
akkhunno,	অক্ষুণ্য,	অক্ষুণ্ণ,	
bonobhumi,	বনভূমি,	বনভূমি,	
arg,	আর্গ,	আর্গ,	
faltu,	ফালতু,	ফালতু,	
chhooteete,	ছুটিতে,	ছুটিতে,	
bheenisa,	ভিনিসা,	ভেনিস,	
chalachchitra,	চালচচিত্র,	চলচ্চিত্র,	
graambasider,	গ্রাম্বাসীদের,	গ্রামবাসীদের,	
karir,	কারির,	কারীর,	
boikalyo,	বৈকাল্য,	বৈকল্য,	
baugey,	বাউগে,	বাগে,	
corymb,	করিম্ব,	করিম,	
tolemyr,	টোলমির,	টলেমির,	
aholya,	আহল্যা,	অহল্যা,	
ameettrakkhor,	অমিত্রাক্ষর,	অমিত্রাক্ষর,	
hugeke,	হুগেকে,	হিউজকে,	
pathanatak,	পাথানতাক,	পথনাটক,	
jibonnogor,	জীবন্গগর,	জীবননগর,	
sures,	সুরেস,	সুরেশ,	
utshahomulok,	উৎসাহমূলক,	উৎসাহমূলক,	
vushito,	ভুষিত,	ভূষিত,	
oindrila,	ঐন্দ্রিলা,	ঐন্দ্রিলা,	
seekkhaou,	সিক্াও,	শিক্ষাও,	
tapdei,	তাপদেই,	তাপড়েই,	
aholyar,	আহল্যার,	অহল্যার,	
cheef,	চিফ,	শেফ,	
sikkharrtheerao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
aajeej,	আজিজ,	আজিজ,	
behrampurer,	বেহরামপুরের,	বহরমপুরের,	
disposes,	ডিস্পোস,	ডিসপোজেস,	
bopoon,	বোপুন,	বপন,	
bejiye,	বেজিয়ে,	বেজিয়ে,	
roopdaan,	রূপদান,	রুপদান,	
elaakaate,	এলাকাতে,	এলাকাতে,	
nodiitei,	নোড়িতেই,	নদীতেই,	
kleentoner,	ক্লিন্টনের,	ক্লিনটনের,	
provur,	প্রভুর,	প্রভুর,	
kuresher,	কুরেশের,	কুরেশের,	
harees,	হরিস,	হ্যারিস,	
jumlalancer,	জামলান্যান্সের,	জুমলাল্যান্সার,	
shoodhooi,	শুধোই,	শুধুই,	
abdoone,	আবদুনে,	আবদুন,	
transformaarer,	ট্রান্সফোরমায়ার,	ট্রান্সফরমারের,	
ikbaaler,	ইকবালের,	ইকবালের,	
dhyanastha,	ধ্যানস্থ,	ধ্যানস্থ,	
juktarashtrasaha,	যুক্তরত্রসহ,	যুক্তরাষ্ট্রসহ,	
tochhnochh,	তচ্ছো,	তছনছ,	
bhenise,	ভেনিসে,	ভেনিসে,	
vangley,	ভ্যাং্গলে,	ভাঙলে,	
masjidti,	মাসজিতটি,	মসজিদটি,	
laaishenshh,	লাইশেন্শ,	লাইসেন্স,	
daaktikit,	ডাক্তিকিত,	ডাকটিকিট,	
shikkhadikkhay,	শিক্ষাদিক্ষায়,	শিক্ষাদিক্ষায়,	
prakalpatike,	প্রকালপাটিকে,	প্রকল্পটিকে,	
monohputo,	মনোহপুত,	মনঃপুত,	
chalochchitraeei,	চালচচিত্রায়েই,	চলচ্চিত্রেই,	
pare,	পারে,	পাড়ে,	
bostubad,	বস্তুবাদ,	বস্তুবাদ,	
habol,	হাবল,	হাবোল,	
progresh,	প্রগ্রেশ,	প্রগ্রেস,	
matt,	ম্যাট,	ম্যাট,	
kirti,	কির্তি,	কীর্তি,	
atmabishvashi,	আত্মবিশাষী,	আত্মবিশ্বাসী,	
teta,	টেত,	টেটা,	
aamontrito,	আমন্ত্রিত,	আমন্ত্রিত,	
langhaner,	লাংহানের,	লংঘনের,	
laiseensee,	লেসেনসি,	লাইসেন্স,	
taderek,	তাদেরেক,	তাদেরেক,	
konroop,	কোনরূপ,	কোনরূপ,	
ganaparibahan,	গণপরিবাহন,	গণপরিবহন,	
shikshakbrinda,	শিক্ষাবৃন্দ,	শিক্ষকবৃন্দ,	
bishasey,	বিশাসে,	বিশ্বাসে,	
probeshan,	প্রবেশান,	প্রবেশন,	
gaujano,	গৌজানো,	গজানো,	
ponero,	পনেরও,	পনের,	
meridiane,	মেরিডিয়ানে,	মেরিডিয়ানে,	
bayshorkarikarone,	বাবর্ষিকরণেে,	বেসরকারিকরণ,	
upobasher,	উপবাশের,	উপবাসের,	
superheiroo,	সুপারহিরও,	সুপারহিরো,	
pratiyogita,	প্রতিয়গীতা,	প্রতিযোগীতা,	
niketon,	নিকেতন,	নিকেতন,	
abhijitda,	অভিজিতদা,	অভিজিতদা,	
boshoborty,	বশবর্তী,	বশবর্তী,	
ostad,	ওস্তাদ,	ওস্তাদ,	
somratra,	সম্রাত্র,	সম্রাটরা,	
soinyora,	সৈন্যারা,	সৈন্যরা,	
utkhaat,	উৎকাট,	উত্খাত,	
kobutorer,	কবুতরের,	কবুতরের,	
kathla,	কাঠলা,	কাঠলা,	
phiqsa,	ফিকসা,	ফিক্স,	
baaik,	বাইক,	বাইক,	
marry,	ম্যারি,	ম্যারি,	
prothar,	প্রথার,	প্রথার,	
akmato,	আকমাতো,	একমত,	
protijogitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
joki,	জোকি,	জকি,	
laagche,	লাগছে,	লাগছে,	
bhabanipur,	ভবানীপুর,	ভবানীপুর,	
torkarir,	তোরকারীর,	তরকারীর,	
romnar,	রোমনার,	রমনার,	
crashlands,	ক্র্যাশল্যান্ডসহ,	ক্র্যাশল্যান্ডস,	
graambasio,	গ্রাম্বাসিও,	গ্রামবাসীও,	
bajpa,	বাজপা,	বাজপা,	
komanera,	কমানেরা,	কমানেরা,	
oxite,	অক্সিতে,	অক্সাইট,	
grambaasi,	গ্রাম্বাসী,	গ্রামবাসী,	
eesa,	এইও,	আইএএস,	
udyem,	উদ্যেম,	উদ্যেম,	
ghaghat,	ঘাঘাট,	ঘাঘট,	
yathaarthabhaabe,	যাথার্থভাবে,	যথার্থভাবে,	
abheedhaaneek,	অভিধানীক,	অভিধানিক,	
delibhara,	দেলিভারা,	ডেলিভার,	
path,	পাথ,	পাথ,	
nathivukta,	নথিভুক্ত,	নথিভুক্ত,	
udvaboney,	উদ্ভাবনে,	উদ্ভাবনে,	
shilpojaat,	শিল্পজাত,	শিল্পজাত,	
aro,	আরো,	আরও,	
biplobi,	বিপ্লবি,	বিপ্লবী,	
bhromonkaale,	ভ্রমণকালে,	ভ্রমণকালে,	
ddebet,	ডেডেট,	ডিবেট,	
dera,	দেরা,	ডেরা,	
gandhiio,	গান্ধিও,	গান্ধীও,	
promodwara,	প্রমোদ্বারা,	প্রমদ্বারা,	
dibug,	দিবুগ,	ডিবাগ,	
sahojlovyotar,	সহলোভ্যতার,	সহজলভ্যতার,	
bhandti,	ভান্ডটি,	ভাণ্ডটি,	
atorkitey,	অতর্কিতে,	অতর্কিতে,	
mimgulor,	মিমগুলোর,	মিমগুলোর,	
maudelgulo,	মাউডেলগুলো,	মডেলগুলো,	
aaziz,	আজিজ,	আজিজ,	
souripurang,	সৌরীপূর্গ,	সৌরিপুরং,	
orhan,	ওরহান,	ওরহান,	
trabuco,	ট্রাবুকো,	ট্র্যাবুকো,	
langhangulir,	লাংহানগুলির,	লঙ্ঘনগুলির,	
ikboler,	ইকবলের,	ইকবলের,	
hosto,	হস্তো,	হস্ত,	
pray,	প্রয়া,	প্রায়,	
karecho,	কারেছো,	করেছ,	
bishwasho,	বিশ্বাশ,	বিশ্বাসও,	
suiza,	সুইজা,	সুইজা,	
bhujangta,	ভূজঙ্গত,	ভুজঙ্গটা,	
akheli,	আখেলী,	আখেলী,	
porbotmala,	পর্বতমালা,	পর্বতমালা,	
mookhomandoler,	মুখমাণ্ডলের,	মুখমণ্ডলের,	
tenishe,	তেনিশে,	টেনিসে,	
noitik,	নৈটিক,	নৈতিক,	
gejeted,	জেজেটেড,	গেজেটেড,	
miraqela,	মিরাকেলা,	মিরাকেল,	
shoreefer,	শরীফের,	শরিফের,	
qyapasula,	ক্যাপাসুলা,	ক্যাপসুল,	
jhijhi,	ঝিঝি,	ঝিঝি,	
societykey,	সোিযটেকে,	সোসাইটিকে,	
bulichev,	বুলিচেভ,	বুলিচেভ,	
chanoo,	চানু,	চানু,	
ishtone,	ইস্টনে,	স্টোন,	
kokeyin,	কোকেইন,	কোকেইন,	
khabarsoho,	খাবারসহ,	খাবারসহ,	
thaanobhi,	থানোভি,	থানভী,	
madhumati,	মধুমতি,	মধুমতী,	
poripake,	পরিপাকে,	পরিপাকে,	
semai,	সেমাই,	সেমাই,	
poripakey,	পরিপাকে,	পরিপাকে,	
engreziteo,	এনরজজিতেও,	ইংরেজিতেও,	
hamburgey,	হাযামবার্গে,	হামবুর্গে,	
onshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
shakankti,	শাকান্টটি,	শকাঙ্কটি,	
nili,	নীলি,	নিলি,	
masjidtir,	মাসজিত্তির,	মসজিদটির,	
rupantarer,	রূপান্তরের,	রুপান্তরের,	
avidur,	অভিদুর,	আভিদুর,	
adorsho,	আদর্শ,	আর্দশ,	
granthatyke,	গ্রানথাটিকে,	গ্রন্থটিকে,	
debdebier,	দেবদেবীয়ার,	দেবদেবীর,	
milayatane,	মিলায়ততে,	মিলায়তনে,	
jati,	জাতি,	যাতি,	
dharavahiker,	ধারাভাহীকের,	ধারাবাহিকের,	
artherer,	আর্থেরের,	আর্থারের,	
mailkhanek,	মাইলখানেক,	মাইলখানেক,	
oncoltike,	অনকলটিকে,	অঞ্চলটিকে,	
sepha,	সেফা,	শেফ,	
valobasen,	ভালোবাসেন,	ভালোবাসেন,	
schilling,	স্ক্লিং,	শিলিং,	
sahajlabhbhotar,	সহললভভভাতার,	সহজলভ্যতার,	
kanader,	কানাদের,	কণাদের,	
shiter,	শীতের,	শীতের,	
ekla,	একলা,	একলা,	
phormat,	ফরমাট,	ফরম্যাট,	
heerani,	হিরানী,	হিরানি,	
maktum,	মাকতুম,	মাকতুম,	
balaruma,	বালারুমা,	বলরুম,	
sazanor,	সাজানোর,	সাজানোর,	
yuro,	যুরো,	ইউরো,	
deefinision,	ডিফিনিশন,	ডেফিনেশন,	
duburir,	দুবুরীর,	ডুবুরির,	
uporoshtho,	উপর্ষ্ঠ,	উপরস্থ,	
baju,	বাজু,	বাজু,	
soommo,	সুম্মো,	সুমো,	
elakai,	এলাকাই,	এলাকাই,	
chhaikalo,	ছাইকালো,	ছাইকালো,	
lubitz,	লুবিৎজ,	লুবিৎজ,	
jomjamat,	জমজামাত,	জমজমাট,	
potka,	পটকা,	পটকা,	
ul,	ইউএলএ,	উল,	
nibirbhabe,	নিবিরভাবে,	নিবিরভাবে,	
oyebjin,	ওয়েবজিন,	ওয়েবজিন,	
pratisthasaho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
drishyogulote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
mohajote,	মহাজতে,	মহাজোট,	
digri,	ডিগ্রি,	ডিগ্রি,	
taffsherer,	তাঁফারের,	তাফসীরের,	
stonehenje,	স্তনেন্জ্যে,	স্টোনহেঞ্জ,	
khalid,	খালিদ,	খালিদ,	
asaktibandhan,	অস্ক্তিবন্ধন,	আসক্তিবন্ধন,	
creshcent,	ক্রেশেন্ট,	ক্রিসেন্ট,	
protectionism,	প্রোটিকশনিসম,	প্রোটেকশনিজম,	
lesense,	লেসেন্সে,	লাইসেন্স,	
sqalastiqa,	স্কালাস্টিক,	স্কলাস্টিক,	
sharifpur,	শরীফপুরের,	শরিফপুর,	
messengerer,	মেসেঙ্গারের,	মেসেঞ্জারের,	
bbiswashi,	বিবিশ্বাশী,	বিশ্বাসই,	
land,	ল্যান্ড,	ল্যান্ড,	
chhutee,	ছুটি,	ছুটি,	
