bhenasha,	ভেনাশা,	ভেনাস,	
porizoner,	পরিজনের,	পরিজনের,	
toroonra,	তরণণোা,	তরুণরা,	
dhadhiye,	ধাধিয়ে,	ধাধিয়ে,	
asbab,	আসবাব,	আসবাব,	
hoil,	হইল,	হইল,	
gasthii,	গাষ্ঠিই,	গোষ্ঠীই,	
diniphition,	ডিনিফিশন,	ডেফিনেশন,	
teenisa,	তিনিসা,	টেনিস,	
segulo,	সেগুলো,	সেগুলো,	
romancha,	রোমাঞ্চা,	রোমাঞ্চ,	
brittakar,	বৃত্তকার,	বৃত্তাকার,	
spredsheet,	স্প্রেডশিট,	স্প্রেডশীট,	
sharifpur,	শরিফপুর,	শরিফপুর,	
dhangsachchi,	ধ্বংশচ্চি,	ধ্বংসাচ্ছি,	
patigoniter,	পাতিগণিতের,	পাটিগণিতের,	
boshoborti,	বশবর্তী,	বশবর্তী,	
zerusalem,	জেরুসালেম,	জেরুজালেম,	
bibader,	বিবাদের,	বিবাদের,	
chapchap,	চ্যাপচাপ,	চাপচাপ,	
wodka,	ওয়াডকা,	ভদকা,	
shikhaboudi,	শিখাবৌদি,	শিখাবৌদি,	
prasadhoner,	প্রাসাধনের,	প্রসাধনের,	
gandharir,	গান্ধারীর,	গান্ধারীর,	
dhalur,	ধালুর,	ঢালুর,	
gafeeloti,	গাফেলটি,	গাফিলতি,	
fake,	ফাকে,	ফাকে,	
mah,	মাহ,	মাহে,	
juktorashtreo,	যুক্তরাস্ত্রেও,	যুক্তরাষ্ট্রেও,	
sangharshik,	সংঘর্ষিক,	সাংঘর্ষিক,	
ansareer,	আনসারির,	আনসারীর,	
durgatsabe,	দুর্গাৎসবে,	দুর্গোৎসবে,	
internship,	ইন্টারনিশপ,	ইন্টার্নশিপ,	
kaatbey,	কাতবে,	কাটবে,	
prasadhani,	প্রসাধানি,	প্রসাধনী,	
akai,	আকাই,	একাই,	
sangaskritipreme,	সংস্কৃতির্রীমে,	সংস্কৃতিপ্রেমে,	
tukrowti,	টুকরোউটি,	টুকরোটি,	
byabaharkaree,	ব্যবহারকারী,	ব্যবহারকারী,	
asovarno,	অসোভার্নো,	অসবর্ণ,	
chemjong,	চেমজং,	চেমজং,	
balatarin,	বালাটারিন,	বালাতারিয়ান,	
kingsh,	কিংশ,	কিংস,	
agamane,	আগামানে,	আগমনে,	
arekdol,	আরেকদল,	আরেকদল,	
lyandim,	ল্যান্ডিম,	ল্যান্ডিং,	
superheiroo,	সুপারহিওরো,	সুপারহিরো,	
gronthowo,	গ্রন্থ্য,	গ্রন্থও,	
jandrel,	জান্দ্রেল,	জাঁদরেল,	
vins,	ভিন্স,	ভিন্স,	
taalaal,	তালাল,	তালাল,	
khoakshir,	খোয়াক্ষির,	খোয়াক্ষীর,	
lisense,	লাইসেন্স,	লাইসেন্স,	
dupleks,	ডুপ্লেক্স,	ডুপ্লে,	
aashanka,	আশানকা,	আশংকা,	
malinga,	মালিঙ্গা,	মালিংগা,	
tarkareer,	তারকারীর,	তরকারীর,	
gavaskar,	গাভাস্কার,	গাভাস্কার,	
bhardwaj,	ভর্দব্যাজ,	ভরদ্বাজ,	
bhabarlaler,	ভাবারলালের,	ভবরলালের,	
notikotar,	নতীকতার,	নৈতিকতার,	
shite,	শিতে,	শীতে,	
fastara,	ফাস্তারা,	ফস্টার,	
shapad,	শাপাদ,	শ্বাপদ,	
soori,	সুরী,	সুরি,	
epiela,	এপিলে,	আইপিএল,	
maila,	মাইলা,	মাইল,	
tiunara,	তিউনারা,	টিউনার,	
muradpur,	মুরাদপুরের,	মুরাদপুর,	
duiekdiner,	দুইজদিনের,	দুইএকদিনের,	
omeettrakkhor,	অমিত্ররক্ষর,	অমিত্রাক্ষর,	
parther,	পার্থের,	পার্থের,	
dharmadasbabu,	ধর্মদাসবাবু,	ধর্মদাসবাবু,	
chirontan,	চিরন্তন,	চিরন্তন,	
myathiou,	ম্যাথিও,	ম্যাথিউ,	
aembed,	আেম্বেড,	এম্বেড,	
enginiiring,	ইঞ্জিনিয়িরিং,	ইঞ্জিনিয়ারিং,	
rakkhanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
hisabagyan,	হিসাবাগ্যান,	হিসাবজ্ঞান,	
deliver,	ডেলিভার,	ডেলিভার,	
dhhaabi,	ঢাবি,	ঢাবি,	
sthapanatir,	স্থাপনাটির,	স্থাপনাটির,	
salmanul,	সালমানুল,	সালমানুল,	
boudhher,	বৌধের,	বৌদ্ধের,	
sithilotar,	সীথিলতার,	শিথিলতার,	
nariider,	নারীদের,	নারীদের,	
hizrite,	হিজরিতে,	হিজরীতে,	
chhutee,	ছুটে,	ছুটি,	
rinobodh,	রিনবোধ,	ঋণবোধ,	
madhobeer,	মাধবীর,	মাধবীর,	
mercedes,	মার্সেডেস,	মার্সেডেস,	
jati,	জাতি,	যাতি,	
habol,	হাবল,	হাবোল,	
samajikotar,	সামাজিকতার,	সামাজিকতার,	
pragreesa,	প্রোগ্রিসা,	প্রগ্রেস,	
dalip,	দলিপ,	দালিপ,	
ghoomachhilo,	ঘুমাচিছোল,	ঘুমাচ্ছিল,	
booponer,	বুপনের,	বপনের,	
shikshagata,	শিক্ষাগতা,	শিক্ষাগত,	
nirikhe,	নিরিখে,	নিরিখ,	
feroza,	ফেরোজা,	ফিরোজা,	
milea,	মিলেয়া,	মাইলে,	
karima,	কারিমা,	করিম,	
torkarite,	তর্কারিতে,	তরকারিতে,	
doloo,	দলো,	ডলু,	
palkee,	পালকে,	পাল্কি,	
bardhitansh,	বার্থিতানশ,	বর্ধিতাংশ,	
meridiane,	মেরিডিয়ানে,	মেরিডিয়ানে,	
sookkho,	সূক্ষ,	সুক্ষ্ম,	
nilkuthir,	নীলকুঠির,	নীলকুঠির,	
sutir,	সুতির,	সুতির,	
bhabanipur,	ভবানীপুর,	ভবানীপুর,	
bhogiroth,	ভগিরোথ,	ভগীরথ,	
konoroop,	কোনরূপ,	কোনরূপ,	
bikargrosto,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
deciliter,	ডেকিলিটের,	ডেসিলিটার,	
akkelpure,	আক্কেলপুরে,	আক্কেলপুরে,	
deenesh,	দীনেশ,	দীনেশ,	
jatinkey,	জাতিনকে,	যতীনকে,	
mukhomandaley,	মুখমন্ডলে,	মুখমণ্ডলে,	
koota,	কোটা,	কোটা,	
salsa,	সালসা,	সালসা,	
natshi,	নাতশি,	নাত্সি,	
chalai,	চালাই,	চালাবে,	
aprasangikbhabei,	অপ্রসাংকিকভাবেই,	অপ্রাসঙ্গিকভাবেই,	
black,	ব্ল্যাক,	ব্ল্যাক,	
monir,	মনির,	মনির,	
kobulennechha,	কবুলেন্নেচ্ছা,	কবুলেন্নেছা,	
rahimed,	রহিমেদ,	রহিমেদ,	
shrabostee,	শ্রাবস্তে,	শ্রাবস্তী,	
hert,	হের্ট,	হার্ট,	
debdebie,	দেবদেবী,	দেবদেবী,	
hooldim,	হুল্ডিং,	হোল্ডিং,	
parishram,	পরিশ্রম,	পরিশ্রম,	
shilpajata,	শিল্পজাতা,	শিল্পজাত,	
anchalo,	আঞ্চলো,	অঞ্চলও,	
dhache,	ধাচে,	ধাঁচে,	
ghenshei,	ঘেনশেই,	ঘেঁষেই,	
sheepha,	শিং,	শেফ,	
horiddare,	হরিদ্দারে,	হরিদ্বারে,	
punosthaner,	পুনস্থানের,	পুনঃস্থানের,	
tapdei,	তাপদেই,	তাপড়েই,	
america,	আমেরিকা,	আমেরিকা,	
jini,	জিনি,	যিনি,	
naabbota,	নাব্যটা,	নাব্যতা,	
pothnirdeshona,	পথিন্দ্রনশন,	পথনির্দেশনা,	
deelibhara,	দেলিভারা,	ডেলিভার,	
palbongsher,	পালবংশের,	পালবংশের,	
shahjapur,	শাহজাপুর,	শাহজাপুর,	
oisamoyer,	ঐশাময়ের,	ঐসময়ের,	
uindos,	উইন্দোস,	উইন্ডোস,	
female,	ফেমালে,	ফিমেল,	
dijijer,	দিজিজের,	ডিজিজের,	
uzobekeestaan,	উজবেক্তেতান,	উজবেকিস্তান,	
dharavahikbhabe,	ধারাভাহিকভাবে,	ধারাবাহিকভাবে,	
falasrutite,	ফালাসরুটিতে,	ফলশ্রুতিতে,	
tomader,	তোমাদের,	তোমাদের,	
dobhaar,	ডভার,	ডোভার,	
jaadrel,	যাদলের,	জাঁদরেল,	
naazi,	নাজি,	নাত্সি,	
dolphiny,	ডলফিনি,	ডলফিনি,	
indrani,	ইন্দ্রানী,	ইন্দ্রাণী,	
taunsheep,	তওঁশিপ,	টাউনশিপ,	
houzgulite,	হাউগগুলিতে,	হাউজগুলিতে,	
vaider,	ভাইদের,	ভাইদের,	
trutimatra,	ত্রুতিমাত্র,	ত্রুটিমাত্র,	
station,	স্টেশন,	ষ্টেশন,	
chaka,	চাকা,	চাকা,	
trenda,	ট্রেন্ড,	ট্রেন্ড,	
upbrazillian,	উপব্রাজ্লানিয়ান,	আপব্রাজিলিয়ান,	
biswashi,	বিশ্বাশী,	বিশ্বাসই,	
sadeena,	সাদিনা,	সাডেন,	
oshtader,	অষ্টাদের,	ওস্তাদের,	
sokkhomotabriddhi,	সক্ষমাবৃদ্ধিত,	সক্ষমতাবৃদ্ধি,	
choshon,	চোষন,	চোষণ,	
uddharkarmirai,	উদ্ধারকর্মীরাই,	উদ্ধারকর্মীরাই,	
fakhrul,	ফখরুল,	ফাখরুল,	
swadhinotatukui,	স্বাধীনতাটুকুই,	স্বাধীনতাটুকুই,	
nirmankaaj,	নির্মাণকাজ,	নির্মাণকাজ,	
chalachchitrotike,	চলচ্চিত্রটিকে,	চলচ্চিত্রটিকে,	
jolrang,	জোলরাং,	জলরঙ,	
parisankhanvid,	পরিসংখুনবিদ,	পরিসংখ্যানবিদ,	
eucalyptus,	ইউক্যালেসটাস,	ইউক্যালিপ্টাস,	
noteti,	নোটেটি,	নোটটি,	
nikela,	নিকেলা,	নিকেল,	
teta,	তেত,	টেটা,	
swartho,	স্বার্থ,	স্বার্থ,	
kaash,	কাশ,	কাস,	
kyathlik,	ক্যাথলিক,	ক্যাথলিক,	
goshthiti,	গোষ্ঠিটি,	গোষ্ঠীটি,	
deputee,	ডিপুটে,	ডেপুটি,	
kortam,	কোরতাম,	করতাম,	
durlabhatwang,	দুর্লভপত্বং,	দুর্লভত্বং,	
pranidero,	প্রাণীদেরও,	প্রানীদেরও,	
heart,	হের্ট,	হার্ট,	
protishtan,	প্রতিষ্টান,	প্রতিষ্টান,	
poddhotitei,	পদ্ধটিতেই,	পদ্ধতিতেই,	
vaabnake,	ভাবনাকে,	ভাবনাকে,	
sharif,	শরিফ,	শরিফ,	
poste,	পোস্টে,	পোষ্টে,	
townshhip,	তোউনশিপ,	টাউনশিপ,	
machgulo,	মাছগুলো,	মাছগুলো,	
battery,	ব্যাটারী,	ব্যাটারী,	
patengar,	পাটেঙ্গার,	পতেঙ্গার,	
chhuteer,	ছুটের,	ছুটির,	
ateetkaale,	অতীতকালে,	অতীতকালে,	
chotogolper,	চটগল্লের,	ছোটগল্পের,	
aranyani,	অরণ্যনি,	অরণ্যানী,	
shommotite,	সম্মতিতে,	সম্মতিতে,	
songkulan,	সংকুলন,	সংকুলান,	
lagche,	লাগছে,	লাগছে,	
habathu,	হাবাথু,	হাবাথু,	
armashtram,	আর্মাষ্ট্রম,	আর্মস্ট্রং,	
siddhanter,	সিদ্ধান্তের,	সিদ্ধান্তের,	
nick,	নিক,	নিক্,	
chakrapani,	চক্রপণি,	চক্রপানী,	
roopmatro,	রূপমাত্র,	রূপমাত্র,	
sweety,	স্বিটি,	সুইটি,	
harbare,	হারবারে,	হারবারে,	
shajano,	শাজনো,	সাজানো,	
shniper,	স্নিপের,	স্নাইপার,	
bidghootey,	বিধ্যটে,	বিদঘুটে,	
dipti,	দীপটি,	ডেপুটি,	
sumita,	সুমিতা,	সুমিতা,	
kalkarkhana,	কলকারখানা,	কলকারখানা,	
haripur,	হারিপুরের,	হরিপুর,	
kalenga,	কালেঙ্গা,	কালেঙ্গা,	
dhanyi,	ধননি,	ধন্যি,	
toufik,	তৌফিক,	তৌফিক,	
jonmobhumitir,	জন্মভূমিটির,	জন্মভূমিটির,	
laaz,	লজজ,	লাজ,	
megacaldera,	মেগাকালদেরা,	মেগাক্যাল্ডেরা,	
megh,	মেঘ,	মেঘ,	
indro,	ইন্দ্রো,	ইন্দ্র,	
shpredshiit,	স্প্রেডশিটি,	স্প্রেডশীট,	
arthonitir,	অর্থনীতির,	অর্থনীতির,	
kyatgarite,	ক্যাটগারিতে,	ক্যাটগারিতে,	
alexanderke,	আলেক্সান্দারকে,	আলেকজান্ডারকে,	
bodhirta,	বোধিরটা,	বধিরতা,	
samashtike,	সমষ্টিকে,	সমষ্টিকে,	
sobche,	সবচে,	সবচে,	
totokhon,	ততক্ষণ,	ততক্ষন,	
tiger,	টিগার,	টাইগার,	
mukhomandal,	মুখোমন্ডল,	মুখমণ্ডল,	
sikarer,	সিকারের,	শিকারের,	
direqtareta,	ডিরেক্টরেট,	ডিরেক্টরেট,	
gondogol,	গণ্ডগোল,	গন্ডগোল,	
indra,	ইন্দ্রা,	ইন্দ্র,	
thaanobhi,	থানোভি,	থানভী,	
homeser,	হোমেসের,	হোমসের,	
blasterke,	ব্লাস্টারকে,	ব্লাস্টারকে,	
ghumunoi,	ঘুমুনোই,	ঘুমুনোই,	
panchadadu,	পঞ্চদদপু,	পঞ্চাদাদু,	
furio,	ফুরিও,	ফুরিও,	
amor,	আমর,	আমর,	
karmake,	কারমেক,	কর্মকে,	
armeeniyana,	আর্মিনিয়নন,	আর্মেনিয়ান,	
railliner,	রেলিলেনের,	রেললাইনের,	
nirikho,	নিরিখ্য,	নিরিখ,	
anchalgoolir,	আঞ্চলগুলির,	অঞ্চলগুলির,	
sarboshokteeman,	সর্বোক্তিমণান,	সর্বশক্তিমান,	
definition,	ডিফিনিশন,	ডেফিনেশন,	
byathapather,	ব্যথাপথের,	ব্যথাপথের,	
ssahocorze,	সহোকর্জে,	সাহচর্যে,	
anutpadanshil,	অনুতপপদাশশীল,	অনুৎপাদনশীল,	
hariken,	হরিকেন,	হ্যারিকেন,	
osthishondhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
pingna,	পিংনা,	পিংনা,	
bidyadanke,	বিদ্যাকানকে,	বিদ্যাদানকে,	
janoganonar,	জনগণনানার,	জনগণনার,	
manushera,	মানুশেরা,	মানুষেরা,	
somonnitobhabe,	সমন্ন্তিভাবে,	সমন্বিতভাবে,	
ronangane,	রোনাঙ্গনে,	রণাঙ্গনে,	
songkoloney,	সংকলনে,	সংকলনে,	
jahara,	জাহারা,	যাহরা,	
talaal,	তালাল,	তালাল,	
ashanka,	আশানকা,	আশংকা,	
pinglateo,	পিংলাতেও,	পিংলাতেও,	
bisheshyo,	বিশেষ্য,	বিশেষ্য,	
ashociatesh,	আশোকিয়েটোস,	এসোসিয়েটস,	
granthatyke,	গ্র্যানথ্যাটিকে,	গ্রন্থটিকে,	
kazianis,	কাজিয়ানিস,	কাজানিস,	
graambaaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
beetloser,	বিটলোসের,	বিটলসের,	
antorvukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
jalbe,	জলবে,	জ্বলবে,	
srabosty,	স্রাবস্টি,	শ্রাবস্তী,	
arthurer,	অর্থুরের,	আর্থারের,	
transhapharma,	ট্রান্সপোর্মা,	ট্রান্সফর্ম,	
matis,	মেটিস,	ম্যাটিস,	
bhabotarini,	ভাবতারিণী,	ভবতারিণী,	
photanor,	ফোটানোর,	ফোটানোর,	
ministara,	মিনিস্তারা,	মিনিস্টার,	
jibanto,	জীবন্ত,	জীবন্ত,	
shatoke,	শতকে,	শতকে,	
deejeejer,	দিজিজের,	ডিজিজের,	
satarkabhabe,	সতর্কভাবে,	সতর্কভাবে,	
nodimatrik,	নোীমাত্রিক,	নদীমাতৃক,	
selim,	সেলিম,	সেলিম,	
ekok,	একক,	একক,	
khude,	খুদ়ে,	ক্ষুদে,	
monjurul,	মঞ্জুরুল,	মনজুরুল,	
bharotchilo,	ভারতচিল,	ভারতছিল,	
deh,	দেহ,	দেহ্,	
kadapaker,	কাড়াপাকের,	কড়াপাকের,	
logotype,	লোগোটাইপ,	লোগোটাইপ,	
chaudhurider,	চৌধুরীদের,	চৌধুরীদের,	
doltyagi,	দলত্যাগী,	দলত্যাগী,	
hoondayi,	হুন্ডায়ি,	হুন্দাই,	
jhumjhumita,	ঝুমঝুমিটা,	ঝুমঝুমিটা,	
jeebonnogor,	জীবনগর,	জীবননগর,	
khilaphat,	খিলাফাত,	খিলাফত,	
chhayi,	ছাইি,	ছাই,	
nirobota,	নিরবতা,	নিরবতা,	
taholo,	তাহলো,	তাহলো,	
khuliechilam,	খুলিয়েছিলাম,	খুলিয়েছিলাম,	
sahittekder,	সাহিত্যকের,	সাহিত্যেকদের,	
haitasha,	হাইতাশা,	হাইটস,	
geejeeteeda,	গীজিতদা,	গেজেটেড,	
chai,	চাই,	ছাই,	
bibechyo,	বিবেচ্য,	বিবেচ্য,	
browser,	ব্রোভার,	ব্রাউজার,	
notti,	নটটি,	নোটটি,	
mandondo,	মানদন্ড,	মানদণ্ড,	
srichoitonnodeb,	শ্রীচৈতন্যদেব,	শ্রীচৈতন্যদেব,	
tricksguli,	ট্রিকস্গুললি,	ট্রিকসগুলি,	
mulvitti,	মুলভিত্তি,	মূলভিত্তি,	
chire,	চিরে,	চিরে,	
hastantar,	হস্তান্তর,	হস্তান্তর,	
nadike,	নাদিকে,	নদীকে,	
akkaas,	অক্কাস,	আককাস,	
eshtoniya,	এষ্টনীয়,	এস্তোনিয়া,	
schilling,	স্লিলিং,	শিলিং,	
autopromotioner,	অটোপ্রুমশনের,	অটোপ্রমোশনের,	
jaistho,	যয়স্থ,	জ্যৈষ্ঠ,	
logic,	লজিক,	লজিক,	
jemy,	জেমি,	জেমি,	
bulano,	বুলানো,	বুলান,	
rakkhandurga,	রক্ষণদূর্গ,	রক্ষণদুর্গ,	
hondooras,	হন্ডারোস,	হন্ডুরাস,	
daktickete,	ডাক্িিকেট,	ডাকটিকিটে,	
tahorir,	তাহরীর,	তাহরীর,	
suri,	সুরি,	সুরি,	
sobrakamer,	সব্রাকমের,	সবরকমের,	
amittrakkhor,	আমিত্তরক্ষর,	অমিত্রাক্ষর,	
inphormeshon,	ইনফোর্েশন,	ইনফরমেশন,	
baikalyo,	বৈকল্য,	বৈকল্য,	
jonee,	জনি,	জনি,	
poddhotiteyi,	পদ্ধটিটেই,	পদ্ধতিতেই,	
prakalpoguli,	প্রকল্পগুলি,	প্রকল্পগুলি,	
bangladesh,	বাংলাদেশ,	বঙ্গালাদেস,	
tonoo,	টোনো,	তনু,	
vetrillocuism,	ভেট্রিলচকাসিজম,	ভেট্রিলোকুইজম,	
jegulur,	যেগুলুর,	যেগুলুর,	
abdan,	আবদান,	আব্দান,	
harysoner,	হার্সনোর,	হ্যারিসনের,	
karpeter,	কারপেটের,	কার্পেটের,	
ongkush,	অংকুশ,	অংকুশ,	
torabganj,	তরাবগঞ্জ,	তোরাবগঞ্জ,	
laps,	ল্যাপস,	ল্যাপস,	
dinar,	দিনার,	ডিনার,	
ddheela,	ঢেলা,	ঢিলা,	
sarbhaarti,	সর্ভরটি,	সার্ভারটি,	
keu,	কেউ,	কেউ,	
aakaabar,	আকাবার,	আকাবার,	
chhuteete,	ছুটেতে,	ছুটিতে,	
thechar,	থেচার,	থ্যাচার,	
sedikei,	সেদিকেই,	সেদিকেই,	
dorgaaho,	দরগাগাহো,	দরগাহ,	
niroja,	নিরোজা,	নিরোজা,	
heerani,	হিরানী,	হিরানি,	
monzooshree,	মঞ্জর্ষী,	মঞ্জুশ্রী,	
lagto,	লাগতো,	লাগতো,	
antorbhuktimulak,	আন্তর্ভুক্তিকগুলো,	অন্তর্ভুক্তিমূলক,	
ramolino,	রামোলিনো,	রামোলিনো,	
dabliudabliui,	ডাব্লিউডিপিলিউল,	ডাব্লিউডাব্লিউই,	
sikara,	সিকারা,	শিকার,	
nirbaaho,	নির্বাহ,	নির্বাহ,	
shangsthaner,	সাংস্থানের,	সংস্থানের,	
kuthibarike,	কুঠিবারীকে,	কুঠিবাড়ীকে,	
kamla,	কামলায়,	কামলা,	
salchak,	সালচক,	সালচাক,	
kormokarer,	কর্মকারের,	কর্মকারের,	
grootha,	গ্রুথা,	গ্রোথ,	
siqh,	সিখ,	শিখ,	
baibasthaar,	বৈবস্থার,	ব্যবস্থার,	
ayumi,	আয়ুমী,	আয়ুমি,	
vittiteo,	ভিত্তিতেও,	ভিত্তিতেও,	
addhattikotar,	আধ্ধাত্মিকতার,	আধ্যাত্মিকতার,	
elgoridom,	এলগোরিডম,	এলগরিদম,	
songasthatir,	সংস্থাটটির,	সংস্থাটির,	
ukeliptas,	ইউকেলিপ্টাস,	ইউক্যালিপ্টাস,	
pyatarne,	প্যাটর্নে,	প্যাটার্নে,	
taufik,	তওফিক,	তৌফিক,	
tinage,	তিনাগে,	টিনেজ,	
ovarview,	ওভারভিউ,	ওভারভিউ,	
antarbhutto,	অন্তর্ভূত্ত,	অন্তর্ভুক্ত,	
edmeeral,	এডমিরাল,	এডমিরাল,	
rakhtokkharoner,	রথকতকারণের,	রক্তক্ষরণের,	
laiseensim,	লাইসিনিজম,	লাইসেন্সিং,	
ghumacchilo,	ঘুমাচ্ছিলো,	ঘুমাচ্ছিল,	
edaningkale,	এদানিকলালে,	ইদানীংকালে,	
morathee,	মরাঠাই,	মরাঠি,	
tokeo,	টোকেও,	টোকেও,	
sangbadmadhyame,	সংবাদমধধ্যমে,	সংবাদমাধ্যমে,	
militaryr,	মিলিটারির,	মিলিটারির,	
valobase,	ভালোবাসে,	ভালোবাসে,	
somraat,	সম্রাট,	সম্রাট,	
bage,	বাগে,	বাগে,	
orthoneeti,	অর্থনীতি,	অর্থনীতির,	
elaakate,	এলাকাতে,	এলাকাতে,	
marketing,	মার্কেটিং,	মার্কেটিং,	
grambaasi,	গ্রামবাসী,	গ্রামবাসী,	
senabahinio,	সেনাবাহিনীও,	সেনাবাহিনীও,	
kaia,	কাইয়া,	কায়া,	
baibosthaar,	বৈবস্থার,	ব্যবস্থার,	
niurolaji,	নিউরোলাজি,	নিউরোলজি,	
chalochchitraeeo,	চালচচিত্রীয়েও,	চলচ্চিত্রেও,	
akmato,	আকমাতো,	একমত,	
shtona,	স্তোনা,	স্টোন,	
laishenshim,	লাইশেনশিম,	লাইসেন্সিং,	
boikolyo,	বৈকল্য,	বৈকল্য,	
rupantarer,	রুপান্তরের,	রুপান্তরের,	
neshnos,	নেশনোস,	নেশনস,	
oncholgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
mmadhukkori,	মমমধুককরি,	মাধুকরী,	
binakar,	বিনাকার,	বিনাকার,	
treend,	ট্রিন্ড,	ট্রেন্ড,	
parka,	পারকা,	পার্ক,	
chhadura,	ছদুরা,	ছাদুরা,	
kichudinpar,	কিছুদিন্পার,	কিছুদিনপর,	
change,	চাঙ্গে,	চেঞ্জ,	
reflex,	রিফ্লেক্স,	রিফ্লেক্স,	
biswashi,	বিশ্বাশী,	বিশ্বাসী,	
prime,	প্রাইম,	প্রাইম,	
umedpoor,	উমেদপুর,	উমেদপুর,	
madhoori,	মধুরি,	মাধুরী,	
pratisthanikvabe,	প্রতিস্থানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
lotharan,	লোথারান,	লুথেরান,	
middleton,	মিডলটেন,	মিডলটন,	
tigre,	তিগ্রে,	টাইগার,	
shringey,	শ্রিংয়ে,	শৃঙ্গে,	
site,	সিতে,	সিটে,	
upobaasee,	উপবাসী,	উপবাসী,	
baman,	বামান,	বামন,	
muktilav,	মুক্তিলাভ,	মুক্তিলাভ,	
shtonehenge,	স্তনেহেঙ্গে,	স্টোনহেঞ্জ,	
sorting,	সর্টিং,	সর্টিং,	
tongaa,	টঙ্গা,	টোঙ্গা,	
uchchotara,	উচ্চতারা,	উচ্চতর,	
chalochchitro,	চালচচিত্র,	চলচ্চিত্র,	
beem,	বিম,	বিম,	
yukeliptash,	যুকেলিপ্তশ,	ইউক্যালিপ্টাস,	
bondiira,	বন্দীরা,	বন্দীরা,	
kanthar,	কান্থার,	কাঁথার,	
peengna,	পিংংা,	পিংনা,	
dagmukta,	দাগমুক্ত,	দাগমুক্ত,	
prokolpow,	প্রকল্প,	প্রকল্পও,	
bisshaskey,	বিশ্বাসকে,	বিশ্বাসকে,	
udor,	উদর,	উদর,	
jomoker,	জমকের,	জমকের,	
sayanaida,	সায়নাইড,	সায়ানাইড,	
veniser,	ভেনিসের,	ভেনিসের,	
ardasho,	আর্দাশো,	আর্দশ,	
wictor,	উইক্টর,	ভিক্টর,	
graambasio,	গ্রামবাসিও,	গ্রামবাসীও,	
saifai,	সাইফাই,	সাইফাই,	
poscater,	পশ্কটের,	পশ্চাতের,	
soleel,	সোলেল,	সলিল,	
abheedhanic,	অভিধানিক,	অভিধানিক,	
utotoro,	উততর,	উততর,	
mohit,	মোহিত,	মুহিত,	
andra,	আন্দ্রা,	আন্ড্রা,	
alpakichudin,	অল্পকিউচ্দিন,	অল্পকিছুদিন,	
terlarang,	টেরলারং,	তেরলারং,	
prokolpogulor,	প্রকল্পগুলোর,	প্রকল্পগুলোর,	
janamukhi,	জনমুখী,	জনমুখী,	
nathivukteer,	নাথিভুক্তির,	নথিভুক্তির,	
neutrinoo,	নিউট্রিনো,	নিউট্রিনো,	
narbur,	নারবুর,	নরবুর,	
wilderske,	উইল্ডার্সকে,	উইল্ডার্সকে,	
engrezder,	এংরেজদের,	ইংরেজদের,	
shilbar,	শিলবার,	সিলভার,	
manbe,	মানবে,	মানবে,	
japanostho,	জাপানস্থ,	জাপানস্থ,	
degree,	ডিগ্রি,	ডিগ্রি,	
avisongson,	আভিসংসন,	অভিশংসন,	
hitlere,	হিটলারে,	হিটলারে,	
milton,	মিলনন,	মিলটন,	
salphat,	সালফাত,	সালফেট,	
showtey,	শোপটি,	শোতে,	
kanshater,	কানশাটের,	কানসাটের,	
teemothi,	তিমোঠি,	টিমোথি,	
bhenise,	ভেনিস,	ভেনিসে,	
ramantic,	রামান্টিক,	রোমান্টিক,	
nothibhukto,	নথিভুক্ত,	নথিভুক্ত,	
bhaibon,	ভাইবন,	ভাইবোন,	
plate,	প্লাটে,	প্লেটে,	
choudhurike,	চৌধুরীকে,	চৌধুরীকে,	
sumitrar,	সুমিত্রার,	সুমিত্রার,	
mette,	মেটে,	ম্যাট,	
sahooseekotar,	সভসিকতার,	সাহসিকতার,	
murader,	মুরাদের,	মুরাদের,	
rifleksa,	রিফলেক্সা,	রিফ্লেক্স,	
grooth,	গুরুথ,	গ্রোথ,	
rajashri,	রাজাশরী,	রাজশ্রী,	
bishashke,	বিশাষকে,	বিশ্বাসকে,	
dantahin,	দন্তাহীন,	দন্তহীন,	
beekaargrasta,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
ancholsaha,	অঞ্চলসহ,	অঞ্চলসহ,	
bishshasho,	বিশ্বাসও,	বিশ্বাসও,	
pothon,	পথন,	পঠন,	
jwar,	জ্বার,	জ্বর,	
engrejer,	এংরেজের,	ইংরেজের,	
dipon,	দীপন,	দীপন,	
ganosochetonota,	গণসচেতনতা,	গণসচেতনতা,	
adhyatmik,	আধ্যাত্মিক,	আধ্যাত্মিক,	
vabook,	ভাবুক,	ভাবুক,	
licencer,	লাইসেন্সের,	লাইসেন্সের,	
emarjensi,	এমারজেন্সি,	এমার্জেন্সি,	
bongsho,	বংশ,	বংশ,	
brindaboney,	বৃন্দাবনে,	বৃন্দাবনে,	
habsi,	হাবসি,	হাবশী,	
