ganaparibahan,	গণপরিবহহ,	গণপরিবহন,	
niknayman,	নিক্ণামান,	নিকনেইমান,	
konagoolo,	কোনাগুলো,	কণাগুলো,	
akatwa,	আকা্ব,	একাত্ব,	
kkhur,	খুর,	ক্ষুর,	
oitijhya,	ঐতিহ্যা,	ঐতিহ্য,	
boikolyo,	বৈকল্য,	বৈকল্য,	
taufiq,	তাফিক,	তৌফিক,	
kalnir,	কলনির,	কালনীর,	
ahalyar,	অহল্যার,	অহল্যার,	
evaner,	এভানের,	ইভানের,	
agora,	আগোরা,	আগোরা,	
mukhobondho,	মুখবন্ধ,	মুখবন্ধ,	
ateetkale,	অতিতকলে,	অতীতকালে,	
anchalo,	আঞ্চলো,	অঞ্চলও,	
sthaponagulo,	স্থাপনাগুলো,	স্থাপনাগুলো,	
dada,	দাদা,	দাদা,	
bojhao,	বোঝাও,	বোঝাও,	
hariner,	হরিনের,	হরিণের,	
chowdhurir,	চৌধুরীর,	চৌধুরীর,	
bhromoner,	ভ্রমণের,	ভ্রমণের,	
nathivukta,	নথিভুক্ত,	নথিভুক্ত,	
nodiitei,	নোদিতেই,	নদীতেই,	
pharanyeta,	ফরান্যেত,	ফরম্যাট,	
bishwaashshke,	বিশ্বশ্ষকে,	বিশ্বাসকে,	
masjidsaha,	মসসিদসহ,	মসজিদসহ,	
sharifpur,	শরিফপুর,	শরিফপুর,	
kharar,	খারার,	খরার,	
tateo,	তাতেও,	তাতেও,	
graambaaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
jakso,	জাকসো,	যক্ষ,	
somonnitobhabe,	সমন্মিতভাবে,	সমন্বিতভাবে,	
sachetonvabe,	সচেতনাভাবে,	সচেতনভাবে,	
kampita,	কাম্পিটা,	কম্পিত,	
cbi,	সিবিআই,	সিবিআই,	
manushera,	মানুষেরা,	মানুষেরা,	
soorsa,	সুরসা,	সোর্স,	
dosha,	দোষা,	দোসা,	
ched,	চেদ,	ছেদ,	
torunderke,	তরুণ্দরকে,	তরুণদেরকে,	
mumtajer,	মুমতাজের,	মুমতাজের,	
shfingtar,	স্ফিংটার,	স্ফিংটার,	
eura,	ইউরা,	ইউরো,	
prangulo,	প্রাঙগুলো,	প্রানগুলো,	
birishiritey,	বিরিশিরিতে,	বিরিশিরিতে,	
myathiou,	ম্থিজুও,	ম্যাথিউ,	
kade,	কাদে,	কোড,	
kaalengaa,	কালেঙ্গা,	কালেঙ্গা,	
sombhobonaao,	সম্ভবনাও,	সম্ভবনাও,	
sheekar,	শেকার,	শিকার,	
juktorashtreo,	যুক্তরাশ্ত্রেও,	যুক্তরাষ্ট্রেও,	
rachanakal,	রচনাকাল,	রচনাকাল,	
rajashri,	রাজশ্রী,	রাজশ্রী,	
tiger,	টিগের,	টাইগার,	
mailkhanek,	মইলাখানেক,	মাইলখানেক,	
soolke,	সুলকে,	শুল্কে,	
jomoker,	জমকের,	জমকের,	
utshahomulok,	উৎসহ্মূলক,	উৎসাহমূলক,	
scuvi,	স্কাভি,	স্কুভি,	
daaktikite,	ডাকটিকিতে,	ডাকটিকিটে,	
mukhyo,	মুখ্য,	মুখ্য,	
muktijuddhojato,	মুক্তিযুদ্ধাজত,	মুক্তিযুদ্ধজাত,	
chandil,	চণ্ডিল,	চান্ডিল,	
aakkaash,	আককাশ,	আককাস,	
laaishenshh,	লাইশেষ,	লাইসেন্স,	
dishani,	দিশানি,	দিশানি,	
gatibege,	গতিবেগে,	গতিবেগে,	
zerusalem,	জেরুসালেম,	জেরুজালেম,	
yucalyptus,	যুক্লালিপ্ডাস,	ইউক্যালিপ্টাস,	
bonke,	বোনকে,	বনকে,	
mataram,	মাতারাম,	মাতরম,	
lettar,	লেট্টার,	লেটার,	
semai,	সেমাই,	সেমাই,	
chalochchitreer,	চলচ্চিত্রীর,	চলচ্চিত্রের,	
mozdur,	মজদুর,	মজদুর,	
satarkatar,	সতর্কতার,	সতর্কতার,	
bethikata,	বেথিকাটা,	বেঠিকতা,	
vitti,	ভিত্তি,	ভিত্তিই,	
karadando,	কারাদান্ডো,	কারাদণ্ড,	
kormokarer,	কর্মকারের,	কর্মকারের,	
narishwar,	নারিশ্বর,	নারীশ্বরের,	
horidbar,	হরিদবার,	হরিদ্বার,	
tarunra,	তরুণরা,	তরুণরা,	
obhaarbhiu,	অভার্যু,	ওভারভিউ,	
lyaandeeng,	ল্যান্ডিং,	ল্যান্ডিং,	
freekeh,	ফ্রীকেহ,	ফ্রিকেহ,	
bboponer,	ব্পপনের,	বপনের,	
priseflex,	প্রিজেল্ক্সেক,	প্রাইজফ্লেক্স,	
nosihote,	নসিহতে,	নসিহতে,	
orthisoho,	অর্থিসহ,	অর্থিসহ,	
dola,	দোলা,	দলা,	
grushko,	গ্রুষ্কো,	গ্রুশকো,	
duio,	দুইয়ো,	দুইও,	
debate,	দেবাতে,	ডিবেট,	
sqalastiqa,	স্কলসস্তিক,	স্কলাস্টিক,	
podotyagsongkranto,	পদত্যাগসংক্রান্ত,	পদত্যাগসংক্রান্ত,	
chitronattakar,	চিত্রনাট্তাকার,	চিত্রনাট্যকার,	
turky,	টার্কি,	তুর্কি,	
ummool,	উম্মুল,	উম্মুল,	
natshi,	নাটশি,	নাত্সি,	
jonomukhi,	জনমুখী,	জনমুখী,	
change,	চাঙ্গে,	চেঞ্জ,	
gratha,	গ্রাথা,	গ্রোথ,	
ispredsiit,	ইসপ্রেপিসিট,	স্প্রেডশীট,	
kaash,	কাশ,	কাস,	
bbiswash,	বিবিস্বাস,	বিশ্বাস,	
debeting,	ডেবেটিং,	ডিবেটিং,	
schilling,	স্কিলিং,	শিলিং,	
baibosthaar,	বৈবস্থার,	ব্যবস্থার,	
vaphara,	ভাফারা,	বাফার,	
pyetarna,	পিটাারনা,	প্যাটার্ন,	
shrabostee,	শ্রাবস্তি,	শ্রাবস্তী,	
chirontan,	চিরন্তন,	চিরন্তন,	
andamana,	আন্দামানা,	আন্দামান,	
holding,	হোল্ডিং,	হোল্ডিং,	
tochhnochh,	তচ্ছোচ,	তছনছ,	
chirantan,	চিরন্তন,	চিরন্তন,	
armstronz,	আর্মস্ট্রোজ,	আর্মস্ট্রং,	
osommotite,	অসম্মতিতে,	অসম্মতি,	
shubhag,	শুভাগ,	শুভাগ,	
nagorikra,	নাগরিকরা,	নাগরিকেরা,	
institutione,	ইনস্টিটিশনে,	ইনস্টিটিউশনে,	
ratishilatai,	রতিশীলতাই,	রতিশীলতায়,	
heart,	হার্ট,	হার্ট,	
amiya,	আমিয়া,	অমিয়,	
suchanakal,	সুচনাকল,	সূচনাকাল,	
associatis,	অ্যাসোসাইয়াটিস,	এসোসিয়েটস,	
procharjontrogulo,	প্রচারয়ন্ত্রগুলো,	প্রচারযন্ত্রগুলো,	
heze,	হেজে,	হেজ,	
jhalkanite,	ঝালকানিতে,	ঝলকানীতে,	
mah,	মহা,	মাহে,	
sushposhtolikhito,	সুষ্পষ্টলিখিত,	সুষ্পষ্টলিখিত,	
protijogiitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
maritimer,	মারিটিমের,	মেরিটাইমের,	
meshenjar,	মেশেনজার,	মেসেঞ্জার,	
palta,	পাল্লাতা,	পালটা,	
collaborators,	কলাবর্ট্রাস,	কলাবরেটরস,	
jeshh,	যেশ,	জেস,	
shommotir,	শম্মটির,	সম্মতির,	
vittiteo,	ভিত্তিতেও,	ভিত্তিতেও,	
vabook,	ভাবুক,	ভাবুক,	
jonesh,	জনেশ,	জোন্স,	
mmehonoti,	ম্মেহনোটি,	মেহনতি,	
foxcon,	ফক্সকন,	ফক্সকন,	
kushakhali,	কুশাখালি,	কুশাখালি,	
baarbadoj,	বারবাদজ,	বার্বাডোজ,	
plainey,	প্লেইন,	প্লেনে,	
ashamorthito,	আশামর্থিত,	অসমর্থিত,	
purborekorde,	পূর্বরেকর্ডে,	পূর্বরেকর্ডে,	
sahinsatar,	সাহিন্সতার,	সহিংসতার,	
codee,	কডি,	কোডে,	
taufik,	তৌফিক,	তৌফিক,	
nutoner,	নুটনের,	নূতনের,	
chhooteer,	ছুটির,	ছুটির,	
atarkitey,	অ্যারোক্কিইট,	অতর্কিতে,	
noitikota,	নৈতিকতা,	নৈতিকতা,	
gandhike,	গাঁধধিকে,	গান্ধীকে,	
dakter,	ডাক্তের,	ডাকতের,	
byaboharkarie,	ব্যবহারকারী,	ব্যবহারকারীই,	
kanthar,	কন্ঠার,	কাঁথার,	
kayech,	কায়েছ,	কায়েছ,	
chhuteete,	ছুটেতে,	ছুটিতে,	
shresthoshcho,	শ্রেষ্ঠশ্চ,	শ্রেষ্ঠশ্চ,	
argead,	আরজিওড,	আর্জিদ,	
sompadonkaree,	সম্পাদকর্রী,	সম্পাদনকারী,	
sedikei,	সেদিকেই,	সেদিকেই,	
vabuk,	ভাবুক,	ভাবুক,	
tep,	টেপ,	ট্যাপ,	
seshardhe,	শেশার্ধে,	শেষার্ধে,	
joubanbatee,	যৌবনবাতী,	যৌবনবতী,	
prosadhoni,	প্রসাধনী,	প্রসাধনী,	
akkelpure,	আক্কেলপুরে,	আক্কেলপুরে,	
sangbadmadhyamgulote,	সংবাদমাধ্যমগুলোতে,	সংবাদমাধ্যমগুলোতে,	
gyada,	জ্ঞাদা,	গ্যাদা,	
bonsho,	বনশো,	বংশ,	
paikgachha,	পাইকগাছা,	পাইকগাছা,	
mohajote,	মহাযোতে,	মহাজোট,	
lopjonito,	লোফজনিত,	লোপজনিত,	
rajshri,	রাজশরী,	রাজশ্রী,	
rajan,	রজন,	রাজন,	
protizogiita,	প্রতিযোগীতা,	প্রতিযোগীতা,	
brindaboney,	বৃন্দাবনে,	বৃন্দাবনে,	
modhyekar,	মধ্যেকর,	মধ্যেকার,	
rayyalati,	রায়য়ললাটি,	রয়্যালটি,	
dhanche,	ধাঁচে,	ধাঁচে,	
simantarkkhibahinir,	সীমান্তরাচ্বিকারীনীর,	সীমান্তরক্ষীবাহিনীর,	
kramp,	ক্রাম্প,	ক্র্যাম্প,	
jyesthaa,	জ্যেষ্ঠা,	জ্যেষ্ঠা,	
sarsa,	সারসা,	সোর্স,	
uthe,	উঠে,	উঠে,	
simons,	সিমোনস,	সিমন্স,	
dhormokorme,	ধর্মকর্মে,	ধর্মকর্মে,	
bokahoke,	বোকাহকে,	বকাহকে,	
gejeted,	গেজেটেড,	গেজেটেড,	
protistha,	প্রতিষ্ঠা,	প্রতিষ্টা,	
saabyastha,	সাবস্থা,	সাব্যস্থ,	
chintamani,	চিন্তামনি,	চিন্তামনি,	
sudrissho,	সুদৃশ্য,	সুদৃশ্য,	
krimlin,	ক্রিলিিন,	ক্রিমলিন,	
mette,	মেটে,	ম্যাট,	
pretti,	প্রেত্তি,	প্রিটি,	
bapio,	বাপিও,	বাপিও,	
bornolikhon,	বর্ণলিখন,	বর্ণলিখন,	
oswasteekor,	অস্বস্তিকর,	অস্বস্তিকর,	
registrikrito,	রেজিস্ট্রীকৃত,	রেজিস্ট্রীকৃত,	
aprasangikbhabei,	অপ্রসংঙ্কেভাবেই,	অপ্রাসঙ্গিকভাবেই,	
abdoone,	আবদুনে,	আবদুন,	
chhuteer,	ছুটির,	ছুটির,	
neshadrabyer,	নেশাদ্রব্যের,	নেশাদ্রব্যের,	
airish,	আইরিশ,	আইরিস,	
safiha,	সাফিহা,	সাফিহা,	
meghachchanno,	মেঘাচ্ছন্ন,	মেঘাচ্ছন্ন,	
domone,	ডোমোন,	দমনে,	
aatto,	আ্যাট,	আত্ম,	
edaning,	এডানিং,	ইদানিং,	
chadake,	চড়াকে,	চড়াকে,	
brindabane,	বৃন্দাবনে,	বৃন্দাবনে,	
madrasake,	মাদ্রাসাকে,	মাদ্রাসাকে,	
drissotir,	দৃশ্যটির,	দৃশ্যটির,	
aamoode,	আমোগে,	আমুদে,	
roy,	রয়ে,	রায়,	
fake,	ফকে,	ফাকে,	
touraat,	তৌরাত,	তওরাত,	
ganakantha,	গণকণ্ঠ,	গণকণ্ঠ,	
bhushito,	ভূষিত,	ভূষিত,	
headquartus,	হেডকুয়ারাটাস,	হেডকোয়ার্টাস,	
barbadoj,	বারবাদজ,	বার্বাডোজ,	
ingreziteo,	ইংরেজিতেও,	ইংরেজিতেও,	
kekru,	কেকরু,	কেকরু,	
zeland,	জেলাযান্ড,	জিল্যান্ড,	
phareeksa,	ফারিকসা,	ফরেক্স,	
bhenom,	ভেনোম,	ভেনম,	
uddhritir,	উদ্ধৃতির,	উদ্ধৃতির,	
adhunikkaley,	আধুনিককলেয়ে,	আধুনিককালে,	
kadakhonchar,	কাদাখোচ্চার,	কাদাখোঁচার,	
abheedhaaneeck,	অভিধানিক,	অভিধানিক,	
dobhaar,	দোভার,	ডোভার,	
jund,	জান্ড,	জুন্দ,	
bishnu,	বিশ্নু,	বিষ্ণু,	
liaodong,	লিয়াদোং,	লিয়াওদং,	
suparharo,	সুপারহারো,	সুপারহিরো,	
sharif,	শারিফ,	শরিফ,	
krom,	ক্রোম,	ক্রম,	
gabinius,	গাবিনিয়াস,	গাবিনিআস,	
atwobishvashi,	অত্ববিশাশী,	আত্মবিশ্বাসী,	
naubom,	নাবুম,	নবম,	
shudhui,	শুধুই,	শুধুই,	
bahjya,	বাহ্য,	বাহ্য,	
trenda,	ট্রেন্ড,	ট্রেন্ড,	
dokkhinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
maradeha,	মারাদেহা,	মরদেহ,	
makame,	মাকামে,	মাকামে,	
patigoniter,	পাতিগণীতের,	পাটিগণিতের,	
oncoleo,	অঙ্কলেও,	অঞ্চলেও,	
kurdira,	কুর্দীরা,	কুর্দিরা,	
graambaasheeo,	গ্রামবশীও,	গ্রামবাসীও,	
gotihin,	গতিহীন,	গতিহীন,	
daacktickete,	ড্যাকটিকেট,	ডাকটিকিটে,	
baptics,	ব্যাপ্টিক্স,	ব্যাপটিকস,	
hondooras,	হন্দুরাস,	হন্ডুরাস,	
danata,	দানাটা,	ডোনাট,	
pacbar,	পাসবার,	পাঁচবার,	
nischitobhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
mitrota,	মিত্রোটা,	মিত্রতা,	
sexperter,	সেক্সপার্টের,	সেক্সপার্টের,	
bornanukrome,	বর্ণানুক্রমে,	বর্নানুক্রমে,	
bhowanipur,	ভোওনুপীর,	ভবানীপুর,	
roopdan,	রূপডান,	রুপদান,	
daakteekite,	ডাকটিকিতে,	ডাকটিকিটে,	
bisheshshyo,	বিশেষ্ষে,	বিশেষ্য,	
sontoshpur,	সন্তস্পুর,	সন্তোষপুর,	
blacq,	বিএলএকিক,	ব্ল্যাক,	
karima,	কারিমা,	করিম,	
atak,	আটাক,	আটক,	
deputi,	ডিপিটি,	ডেপুটি,	
juakhelar,	জুয়াখেলার,	জুয়াখেলার,	
sharthe,	শার্থে,	স্বার্থে,	
manoharpur,	মনোহরপুর,	মনোহরপুর,	
encidablu,	এনসিডেব্লু,	এনসিডাব্লু,	
phartha,	ফার্থা,	ফার্থ,	
directarate,	ডিরেক্টরেট,	ডিরেক্টরেট,	
gasthi,	গাস্থি,	গোষ্ঠী,	
daakten,	ডাকটেন,	ডাকতেন,	
protishta,	প্রতিষ্টা,	প্রতিষ্টা,	
ssahocorze,	সংসরকজে,	সাহচর্যে,	
dormetori,	ডরমেটরি,	ডরমিটরি,	
padee,	পদী,	পাড়ে,	
grontho,	গ্রন্থ,	গ্রন্থ,	
neshnos,	নেশনোস,	নেশনস,	
jakatke,	জাকাতকে,	যাকাতকে,	
shtona,	শ্তনা,	স্টোন,	
drishyogulote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
iksaprishana,	এক্সপৃষ্ণ,	এক্সপ্রেশন,	
innahu,	ইন্নাহু,	ইন্নাহু,	
tarkareer,	তররকারীর,	তরকারীর,	
aasar,	আসার,	আসর,	
groth,	গ্রোথ,	গ্রোথ,	
chorchita,	চর্চিতা,	চর্চিত,	
kumbhalnar,	কুম্ভলনার,	কুম্ভালনার,	
chalochchitro,	চলচ্চিত্র,	চলচ্চিত্র,	
dharabahiktite,	ধারাবাহিক্তিতে,	ধারাবাহিকটিতে,	
siramikasa,	সিরামিকাসা,	সিরামিকস,	
licenshe,	লাইসেন্স,	লাইসেন্স,	
doula,	দৌলা,	দৌলা,	
youth,	ইয়া,	ইয়ুথ,	
oisamoyer,	ঐসময়ের,	ঐসময়ের,	
transform,	ট্রান্সফর্ম,	ট্রান্সফর্ম,	
laaishheshh,	লাইশেশ,	লাইসেন্স,	
ukeliptash,	উকেলিপ্পাশ,	ইউক্যালিপ্টাস,	
eporzonto,	এপরজন্ত,	এপর্যন্ত,	
chhooteete,	ছুটেতে,	ছুটিতে,	
chittronatyokar,	চিত্রনাট্তাকার,	চিত্রনাট্যকার,	
teoyana,	তেওয়ানা,	তাইওয়ান,	
nachiketa,	নচিকেতা,	নচিকেতা,	
enjineers,	ইনজিজারিস,	ইঞ্জিনিয়ার্স,	
maail,	মাইল,	মাইল,	
baet,	বাইত,	বাইট,	
logic,	লজিক,	লজিক,	
tatey,	ট্যাটে,	তাতে,	
mukhomandaler,	মুখমান্ডলের,	মুখমণ্ডলের,	
bharatey,	ভারাতে,	ভারতে,	
dharabahikbhabe,	ধারাবাহিকভাবে,	ধারাবাহিকভাবে,	
mugdal,	মুগদাল,	মুগডাল,	
sahapathike,	সহপাঠীকে,	সহপাঠীকে,	
nishad,	নিশাদ,	নিষাদ,	
dabliudabliui,	ডাব্লিউড্যালিউ,	ডাব্লিউডাব্লিউই,	
toranganj,	তরঙ্গাঞ্জ,	তোরাবগঞ্জ,	
heena,	হীনা,	হেনা,	
shoodhooi,	শুধৌই,	শুধুই,	
esprito,	এসপ্রিতো,	এস্পিরিটো,	
hames,	হেমস,	হোমস,	
haridware,	হরিদ্বারে,	হরিদ্বারে,	
prarthitao,	প্রার্থিতাও,	প্রার্থীতাও,	
khoakshir,	খোয়ক্ষির,	খোয়াক্ষীর,	
whole,	ফোলে,	হোল,	
elaakaa,	এলাকা,	এলাকা,	
yatharthabhabe,	থাথার্াভাবে,	যথার্থভাবে,	
chhadura,	ছাদুরা,	ছাদুরা,	
glanio,	গ্লানিও,	গ্লানিও,	
hastantar,	হস্তান্তর,	হস্তান্তর,	
samratder,	সম্রাতদের,	সম্রাটদের,	
bone,	বনে,	বনে,	
kkomandar,	কোমন্দর,	কমাণ্ডার,	
daktickete,	ডাক্টিকেটে,	ডাকটিকিটে,	
vobanipur,	ভবনীপুর,	ভবানীপুর,	
chalake,	চালাকে,	চালকে,	
houzgulite,	হৌযজগুলিতে,	হাউজগুলিতে,	
chhedon,	ছেদন,	ছেদন,	
katui,	কাটুই,	কাতুই,	
shukraanoo,	শুক্রানু,	শুক্রানু,	
neermol,	নির্মল,	নির্মল,	
venkates,	ভেঙ্কেট,	ভেঙ্কটেশ,	
behrampurer,	বেহরামপুরের,	বহরমপুরের,	
kraanti,	ক্রানটি,	ক্রান্তি,	
meshintao,	মেশিনটাও,	মেশিনটাও,	
aakabar,	আটাবার,	আকাবার,	
sukumaree,	সুকুমররী,	সুকুমারী,	
byatari,	ব্যাটারি,	ব্যাটারী,	
armshtrong,	আর্মস্ট্রং,	আর্মস্ট্রং,	
gotirodh,	গতিরোধ,	গতিরোধ,	
chaalkee,	চালকি,	চালকে,	
sheetke,	শীটকে,	শীতকে,	
ivil,	ইইিল,	ইভিল,	
dagmukta,	ডাগমুক্ত,	দাগমুক্ত,	
bhaisaho,	ভৈইসহ,	ভাইসহ,	
neck,	নেক,	নেক,	
rohinibabu,	রোহিনিবাবু,	রোহিনীবাবু,	
duuma,	ডুমা,	দুমা,	
hughes,	হাগেস,	হিউজেস,	
uporitaley,	উপরিতলে,	উপরিতলে,	
pustir,	পুস্তির,	পুষ্টির,	
toxoid,	টক্সোড,	টক্সয়েড,	
kooshumba,	কুশুম্বা,	কুশুম্বা,	
nirbaaho,	নির্বাহ,	নির্বাহ,	
bojhey,	বোঝে,	বোঝে,	
furio,	ফুরিও,	ফুরিও,	
abhidhaanick,	অভিধানিক,	অভিধানিক,	
jeebnagore,	জীবনাগরে,	জীবননগর,	
pravritir,	প্রবৃতির,	প্রভৃতির,	
iqbalke,	ইকবালকে,	ইকবালকে,	
sikarer,	শিকারের,	শিকারের,	
fising,	ফিসিং,	ফিসিং,	
sahozlabhbhotar,	সহলজভভভতার,	সহজলভ্যতার,	
shamshere,	শামশেরে,	শমসের,	
nimitte,	নিমিত্তে,	নিমিত্তে,	
shringgo,	শৃঙ্গ,	শৃঙ্গ,	
muradpur,	মুরাদপুরের,	মুরাদপুর,	
kode,	কোড়ে,	কোড,	
shrabasti,	শ্রাবস্তি,	শ্রাবস্তী,	
gabhaskaar,	গাভাসকার,	গাভাস্কার,	
konoroop,	কোররূপ,	কোনরূপ,	
unitgulo,	ইউনিটগুলো,	ইউনিটগুলো,	
manob,	মানব,	মানব,	
akmato,	আকমাতো,	একমত,	
peshto,	পেশ্টো,	পেষ্ট,	
siqh,	সিখ,	শিখ,	
paripakey,	পরিপাকে,	পরিপাকে,	
shiter,	শিতের,	শীতের,	
minister,	মিনিস্টের,	মিনিস্টার,	
kailashrao,	কৈলাশরাও,	কৈলাশরাও,	
kaale,	কালে,	কালে,	
ghumachhe,	ঘুমাচে,	ঘুমাচ্ছে,	
nibondhocheler,	নিবন্ধচেলের,	নিবন্ধছেলের,	
gronthowo,	গ্রন্থওও,	গ্রন্থও,	
halding,	হ্যাডিং,	হোল্ডিং,	
kottar,	কোত্তার,	কট্টর,	
mastarsa,	মাস্তারসা,	মাস্টার্স,	
rashider,	রাশিদের,	রশিদের,	
chapchap,	চাপচাপ,	চাপচাপ,	
abosan,	অবসান,	অবসান,	
noiteek,	নৈতিক,	নৈতিক,	
manobikotao,	মানবিকতাও,	মানবিকতাও,	
generalissimo,	জেনারেলিসসিও,	জেনারেলিসিমো,	
kogake,	কোগাকে,	কোগাকে,	
bunot,	বুনোট,	বুনট,	
bhalobaas,	ভালোবাস,	ভালোবাসা,	
anusthane,	অনুষ্ঠানে,	অনুষ্ঠানে,	
lirikti,	লিরিকটি,	লিরিকটি,	
zohns,	জোস্স,	জন্স,	
ganosochetonota,	গণসকেনতা,	গণসচেতনতা,	
daaradaa,	দারাদা,	দারদা,	
bossonte,	বস্নতে,	বসন্তে,	
footbalarra,	ফুটবালারা,	ফুটবলাররা,	
mekong,	মেকং,	মেকং,	
dumaa,	ডুমা,	দুমা,	
janoganonar,	জগগনননার,	জনগণনার,	
abhidhaaneeck,	অভিধানিক,	অভিধানিক,	
yuro,	যুর,	ইউরো,	
katateo,	কাটাতেও,	কাটাতেও,	
nirmalata,	নির্মলতা,	নির্মলতা,	
pabo,	পাবো,	পাব,	
basab,	বাসাব,	বাসাব,	
alumni,	আলুমনি,	অ্যালমনি,	
militarir,	মিলিতারির,	মিলিটারির,	
banshite,	বাঁশীতে,	বাঁশিতে,	
chakurijibirao,	চাকুরিজীবীরাও,	চাকুরীজীবীরাও,	
ekroop,	একরূপ,	একরূপ,	
qara,	কারা,	কর,	
elakayi,	এলাকায়ি,	এলাকাই,	
shcholastic,	শ্ছোলাস্টিক,	স্কলাস্টিক,	
satarka,	সতর্কা,	সতর্ক,	
bostubad,	বস্তুবাদ,	বস্তুবাদ,	
graambasi,	গ্রামবাসী,	গ্রামবাসী,	
utsahamulak,	উৎসহমূলক,	উৎসাহমূলক,	
shatokeo,	শতকেও,	শতকেও,	
chupani,	চুপানি,	চুপানি,	
devolapar,	দেবলাপার,	ডেভলপার,	
horippur,	হরিপপুর,	হরিপুর,	
kalki,	কালকি,	কালকি,	
phox,	ফক্স,	ফক্স,	
kanader,	কানাদের,	কণাদের,	
tawnship,	তানশিপ,	টাউনশিপ,	
roktokhoron,	রক্তখরণ,	রক্তক্ষরণের,	
jotota,	যতা,	যতোটা,	
shhow,	সোউ,	শো,	
istoone,	ইস্তুনে,	স্টোন,	
queri,	কোয়েরি,	কোয়েরি,	
besur,	বেসুর,	বেসুর,	
pouchute,	পৌছুতে,	পৌঁছুতে,	
aaps,	এপিএসএস,	এএপিএস,	
mausumer,	মসুমের,	মৌসুমের,	
siitei,	সিতেই,	শীতেই,	
saoum,	সাওয়াম,	সাওম,	
bhugol,	ভুগোল,	ভূগোল,	
qaro,	কারো,	কারো,	
nirbaahe,	নির্বাহে,	নির্বাহে,	
futote,	ফুটোতে,	ফুটোতে,	
oxforde,	অক্সফডোর,	অক্সফোর্ডে,	
ajibooner,	অজিবুনের,	আজীবনের,	
chomski,	চমসকি,	চমস্কি,	
udvabani,	উদ্ভাবানী,	উদ্ভাবনী,	
bandhubhaabaapanna,	বন্ধুভাবানন্ন,	বন্ধুভাবাপন্ন,	
amorendro,	অমরেন্দ্র,	অমরেন্দ্র,	
gaj,	গজ,	গেজ,	
shatan,	শততান,	শয়তান,	
choshon,	চোষন,	চোষণ,	
khalid,	খালিদ,	খালিদ,	
bedey,	বেদে,	বেদে,	
udbodhani,	উদ্বোধনী,	উদ্বোধনী,	
abikaul,	অবিকাউল,	অবিকল,	
vaisoho,	ভাইসহ,	ভাইসহ,	
himchi,	হিমচি,	হিমচি,	
oblivion,	অব্লিভিওন,	অবলিভিয়ন,	
bardhitansh,	বর্ধিতনশশ,	বর্ধিতাংশ,	
asovya,	আসোভা,	অসভ্য,	
vobani,	ভোবানি,	ভবানী,	
cloring,	ক্লোরিং,	ক্লোরিং,	
commissionvogider,	কমিসনভিজদির,	কমিশনভোগীদের,	
itostatah,	ইৎস্তানা,	ইতস্ততঃ,	
udvaboney,	উদ্ভাবনে,	উদ্ভাবনে,	
phood,	ফুদ,	ফুড,	
akhando,	অখান্ড,	অখন্ড,	
sahocorje,	সহকর্জে,	সাহচর্যে,	
choritrotakeo,	চরিত্রতাকেও,	চরিত্রটাকেও,	
eucalyptus,	ইউক্লাভাপ্টাস,	ইউক্যালিপ্টাস,	
kings,	কিংস,	কিংস,	
bhabanir,	ভবনীর,	ভবানীর,	
jaistho,	জৈস্থ,	জ্যৈষ্ঠ,	
khelaphate,	খেলাফাতে,	খেলাফতে,	
venush,	ভেনুশ,	ভেনাস,	
faskari,	ফাসকারী,	ফাঁসকারী,	
rakhete,	রাখেতে,	রাখেতে,	
purbanchaler,	পূর্বাঞ্চলের,	পূর্বাঞ্চলের,	
sommotite,	সম্মতিতে,	সম্মতিতে,	
qraima,	ক্রেমা,	ক্রাইম,	
monir,	মনির,	মনির,	
drishyer,	দৃশ্যের,	দৃশ্যের,	
eeksapreeshana,	এক্সপ্রীশন,	এক্সপ্রেশন,	
baire,	বাইরে,	বাইরে,	
ronodeep,	রণদীপ,	রণদীপ,	
ashankai,	আশানকাই,	আশঙ্কাই,	
nirarthak,	নিরর্থক,	নিরর্থক,	
mohammadi,	মোহাম্মদি,	মুহাম্মদী,	
karmasampadon,	কর্মসম্পাদন,	কর্মসম্পাদন,	
totokhon,	ততোখন,	ততক্ষন,	
abdi,	আবদি,	অব্দি,	
flexta,	ফ্লেক্সটা,	ফ্লেক্সটা,	
phutbolarder,	ফুটবলারদের,	ফুটবলারদের,	
ghamta,	ঘামটা,	ঘোমটা,	
somoodrotote,	সমুদ্রতে,	সমুদ্রতটে,	
chereche,	চেরেছে,	ছেড়েছে,	
karecho,	করেছো,	করেছো,	
aziboner,	অজিবনের,	আজীবনের,	
khiladirao,	খিলাদীরাও,	খিলাড়িরাও,	
saarbhaarti,	সার্ভার্তি,	সার্ভারটি,	
dharabahikvabe,	ধারাবাহিকভাবে,	ধারাবাহিকভাবে,	
sursur,	সুরসুর,	সুরসুর,	
bairer,	বাইরের,	বাইরের,	
patjata,	পাটজাটা,	পাটজাত,	
arekdol,	আরেকদোল,	আরেকদল,	
