papri,	পাপ্রি,	পাপরি,	
teenej,	টিনেজ,	টিনেজ,	
harysoner,	হরিশনের,	হ্যারিসনের,	
zibonto,	জীবন্ত,	জীবন্ত,	
meghnadbodh,	মেঘানবোধ,	মেঘনাদবধ,	
behramporer,	বহ্মারপুরের,	বহরমপুরের,	
chaudhurir,	চৌধুরির,	চৌধুরীর,	
vagna,	ভাগ্না,	ভগ্ন,	
jakrit,	যকৃত,	যকৃৎ,	
falkati,	ফলকটি,	ফলকটি,	
hoomasa,	হোমাস,	হোমস,	
parksh,	পার্কস,	পার্কস,	
prakalpagulor,	প্রকাপপুলোর,	প্রকল্পগুলোর,	
lyaata,	ল্যাট,	ল্যাটা,	
vagno,	ভাগ্ন,	ভগ্ন,	
berubar,	বেরুবার,	বেরুবার,	
shkolashtic,	স্কলাস্টিক,	স্কলাস্টিক,	
tunaita,	টানাত,	টুনাইট,	
byatasamyan,	ব্যাতসম্যান,	ব্যাটসম্যান,	
basaa,	বসসা,	বাসা,	
hooldim,	হোল্িং,	হোল্ডিং,	
nodigulir,	নদেগুলির,	নদীগুলির,	
baipasa,	বাইপাস,	বাইপাস,	
soranor,	সরানোর,	সরানোর,	
estania,	এস্টেনিয়া,	এস্তোনিয়া,	
gabhaaskar,	গভাষকার,	গাভাস্কার,	
kooyartara,	কোয়ার্টার,	কোয়ার্টার,	
armshtronj,	আর্স্ট্রাং,	আর্মস্ট্রং,	
shoreef,	শরীফ,	শরিফ,	
niurolaji,	নিরোলাজি,	নিউরোলজি,	
anisha,	অনিশা,	আনিস,	
oncoltike,	অঁচাটিকে,	অঞ্চলটিকে,	
blogarra,	ব্লোগেরা,	ব্লগাররা,	
elaakaatike,	এলাকাটিকে,	এলাকাটিকে,	
mathews,	ম্যাথাউস,	ম্যাথিউস,	
taffsherer,	তাফসারের,	তাফসীরের,	
jomjomat,	জম্জমত,	জমজমাট,	
daaun,	ডাউন,	ডাউন,	
khagen,	খাগেন,	খগেন,	
panjikar,	পাঞজিকার,	পঞ্জিকার,	
khodeza,	খোদেজা,	খোদেজা,	
bishrinkhala,	বিশৃংখালা,	বিশৃঙ্খলা,	
agora,	অগোর,	আগোরা,	
sangkulaan,	সংকুলেন,	সংকুলান,	
chaabir,	ছবির,	চাবির,	
falokti,	ফালকটি,	ফলকটি,	
chidrapathe,	চিদ্রপথে,	ছিদ্রপথে,	
dalee,	দালি,	ডালে,	
fix,	ফিক্স,	ফিক্স,	
nathivooktir,	নথিভুক্তির,	নথিভুক্তির,	
rajtantra,	রাজতন্ত্র,	রাজতন্ত্র,	
gore,	গোরে,	গোর,	
sampadoner,	সম্পাদনের,	সম্পাদনের,	
muktume,	মুকতুমে,	মাকতুম,	
nirgomon,	নির্গোমন,	নির্গমন,	
bosonte,	বসন্তে,	বসন্তে,	
korlei,	করলেই,	করলেই,	
thore,	থোরে,	থরে,	
manjushree,	মঞ্জুস্রি,	মঞ্জুশ্রী,	
songbadmadhyomer,	সংবাদমম্যামের,	সংবাদমাধ্যমের,	
charzara,	চারজারা,	চার্জার,	
shringo,	শ্রীঙ্গ,	শৃঙ্গ,	
hajeerhat,	হাজিরহাট,	হাজিরহাট,	
isan,	ইসান,	ঈশান,	
manob,	মানব,	মানব,	
surkey,	সুরকে,	সুরকে,	
bagichaar,	বাজিকার,	বাগিচার,	
cilahati,	চিলাহাটি,	চিলাহাটি,	
simons,	সিমান্স,	সিমন্স,	
defineshana,	ডেফিনেশন,	ডেফিনেশন,	
fooloo,	ফুলো,	পোলো,	
natniike,	নাটনীকে,	নাতনীকে,	
suparahiroo,	সুপাহামিরও,	সুপারহিরো,	
lyanding,	ল্যান্ডিং,	ল্যান্ডিং,	
shoreefpur,	শরীপপুর,	শরিফপুর,	
sabrakamer,	সবর্রমের,	সবরকমের,	
phareeksa,	ফেরিক্স,	ফরেক্স,	
provuder,	প্রভাদের,	প্রভুদের,	
meg,	মেগ,	মেগ,	
folok,	ফলক,	ফলক,	
protijogider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
ramantic,	রোমান্টিক,	রোমান্টিক,	
zesa,	জেস,	জেস,	
venish,	ভেনিস,	ভেনিস,	
sniper,	সিনিপের,	স্নাইপার,	
akkharke,	অক্ষারকে,	অক্ষরকে,	
toroonraa,	তরুণারা,	তরুণরা,	
rinattak,	ঋণাত্যক,	ঋনাত্মক,	
dwipei,	দ্বিপেই,	দ্বীপেই,	
peterkey,	পেযাটেরকে,	পিটারকে,	
recondition,	রেকোনিডেশন,	রিকন্ডিশন,	
damonmulok,	দামনমূলক,	দমনমূলক,	
admiral,	অডমার্লা,	এডমিরাল,	
teknokret,	টেকনক্রেট,	টেকনোক্র্যাট,	
bhadaqa,	ভাদকা,	ভদকা,	
dadaa,	দাদা,	দাদা,	
prothakey,	প্রথাকে,	প্রথাকে,	
bhortuky,	ভর্তুকি,	ভর্তুকি,	
natunatva,	নতুনত্ব,	নতুনত্ব,	
gorur,	গরুর,	গরুর,	
miari,	মায়িরি,	ম্যারি,	
state,	স্টেট,	স্টেইট,	
atmabishvashi,	আত্মবিবাসী,	আত্মবিশ্বাসী,	
uzobekeestaan,	উজবেকস্তান,	উজবেকিস্তান,	
themey,	থেমে,	থিমে,	
sofyr,	সফির,	সোফির,	
plato,	প্লটট,	প্লেটো,	
samratder,	সামর্তদের,	সম্রাটদের,	
bhimsen,	ভিমসেন,	ভীমসেন,	
sakshatkarer,	সাক্ষাতকেরের,	সাক্ষাৎকারের,	
dhyan,	ধ্যান,	ধ্যান,	
heedgee,	হেজ,	হেজ,	
thailyanda,	থাইল্যান্ড,	থাইল্যান্ড,	
soleel,	সলিল,	সলিল,	
ooindos,	উইন্ডস,	উইন্ডোস,	
pooloo,	পুলো,	পোলো,	
nilphamarir,	নিলফামারীর,	নীলফামারীর,	
zonite,	জোনিতে,	যোনীতে,	
bhenna,	ভেন্না,	ভেন্না,	
shangsthati,	সংস্থটি,	সংস্থাটি,	
mooldoova,	মুলদুভা,	মলদোভা,	
steeit,	স্টেইট,	স্টেইট,	
khuni,	খুনি,	খুনি,	
kansat,	কনস্া,	কানসাট,	
laiceensee,	লাইকেনসস,	লাইসেন্স,	
suri,	সুরি,	সুরি,	
lyandeeng,	ল্যান্ডিং,	ল্যান্ডিং,	
ponnee,	পন্যী,	পন্নী,	
durgatsober,	দুর্গতসভের,	দুর্গোৎসবে,	
sector,	সেক্টর,	সেক্টর,	
shansthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
avishangson,	অভিশংসন,	অভিশংসন,	
azizer,	অজিজের,	আজিজের,	
muscat,	মুসকাত,	মাস্কাট,	
saholobhyotar,	সহলভভতার,	সহজলভ্যতার,	
harz,	হার্জ,	হার্জ,	
damanmulok,	দামানমূলক,	দমনমূলক,	
bongraam,	বংগ্রাম,	বনগ্রাম,	
ishan,	ইসান,	ঈশান,	
janmato,	জন্মাত,	জন্মাত,	
asommati,	অসম্মতি,	অসম্মতি,	
meghkey,	মেঘকে,	মেঘকে,	
itastato,	ইতাস্তত,	ইতস্তত,	
saleha,	সালেহ,	সালেহা,	
shatan,	শাতন,	শয়তান,	
aaminaar,	আমিনার,	আমিনার,	
mandander,	মানদন্ডের,	মানদণ্ডের,	
poorohitder,	পুরহিদদের,	পুরোহিতদের,	
jyoistho,	জ্যোষ্ঠ্য,	জ্যৈষ্ঠ,	
taki,	তকি,	তকি,	
bagda,	বা্দা,	বাগদা,	
bufer,	বুফের,	বাফার,	
bima,	বীমা,	বিম,	
obiyi,	অবিই,	ওবিই,	
chedropathe,	ছেদ্রপথে,	ছিদ্রপথে,	
alaoul,	আলওল,	আলাওল,	
aakkaash,	আকাশ,	আককাস,	
shcore,	স্কোর,	স্কোর,	
boikolyo,	বৈকলয,	বৈকল্য,	
kuota,	কুটট,	কোটা,	
formet,	ফরমেট,	ফরম্যাট,	
zuktorastroshoho,	যুক্তরাত্রসসহ,	যুক্তরাষ্ট্রসহ,	
abikol,	অবিকল,	অবিকল,	
jandrel,	জন্্ডের,	জাঁদরেল,	
shikshakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
conphlikt,	কাউলিক্ট,	কনফ্লিক্ট,	
nischitobhave,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
saoum,	সাউম,	সাওম,	
gonesher,	গণেশের,	গণেশের,	
antarktikar,	অন্টার্কিকের,	অ্যান্টার্কটিকার,	
meshenjar,	মেশেঞ্জার,	মেসেঞ্জার,	
konistho,	কনিষ্ঠ,	কনিষ্ঠ,	
saatzoner,	সাতজনের,	সাতজনের,	
asbar,	আসবার,	আসবার,	
khelafotey,	খেলাফোতে,	খেলাফতে,	
janapath,	জনপাথ,	জনপথ,	
gaziipur,	গজিপুর,	গাজীপুর,	
ghumachche,	ঘুমাচ্ছে,	ঘুমাচ্ছে,	
proteesthasoho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
kommppito,	কম্পিপ,	কম্পিত,	
ispredshiit,	সস্প্রেসিট,	স্প্রেডশীট,	
hurricane,	হারিকেন,	হ্যারিকেন,	
deliver,	ডিলিভের,	ডেলিভার,	
gonoporeebohon,	গণপরিবহণ,	গণপরিবহন,	
stane,	স্টেন,	স্টোন,	
phiksim,	ফিকিসিং,	ফিক্সিং,	
angurer,	অঙুগুরের,	আঙ্গুরের,	
nepchuner,	নেপচুনের,	নেপচুনের,	
sooresh,	সুরেশ,	সুরেশ,	
sulphate,	সালফাতে,	সালফেট,	
dines,	ডাইনেশ,	দীনেশ,	
grambaaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
durg,	ডার্গ,	দুর্গ,	
ingrezraa,	ইংরেজ্রা,	ইংরেজরা,	
di,	দি,	দিই,	
puding,	পুডিং,	পুডিং,	
timathi,	তিমাথি,	টিমোথি,	
totokkhon,	ততক্ষণ,	ততক্ষন,	
animated,	অনিমাইট,	এনিমেটেড,	
choudhooreeo,	চৌধুরেও,	চৌধুরীও,	
gronthei,	গ্রন্থেই,	গ্রন্থেই,	
pader,	পদের,	প্যাডের,	
edmiral,	এডমেরাল,	এডমিরাল,	
dholeshori,	ধোলেশরী,	ধলেশ্বরী,	
goonoman,	গুণমান,	গুণমান,	
makhmale,	মাখমালে,	মখমলে,	
sheat,	সেট,	সিট,	
goteehin,	গতিহীন,	গতিহীন,	
graambaseeder,	গ্রমাবাসীদের,	গ্রামবাসীদের,	
kanake,	কানাকে,	কণাকে,	
phimela,	ফিমেলা,	ফিমেল,	
sanstha,	সংস্থ,	সংস্থা,	
jeesa,	জেস,	জেস,	
jeten,	জেতেন,	যেতেন,	
maheendra,	মহেন্দ্র,	মাহিন্দ্রা,	
nodiike,	নদীকে,	নদীকে,	
titlee,	টিটলি,	টাইটেল,	
soorti,	সূর্তি,	সুরটি,	
ragee,	রাগে,	রাগী,	
baarbaadoj,	বারবাদজ,	বার্বাডোজ,	
farid,	ফরিদ,	ফরিদ,	
euroo,	ইউরো,	ইউরো,	
heawy,	হেউি,	হেভি,	
torup,	তরুপ,	ট্রুপ,	
itastata,	ইতাস্টত,	ইতস্তত,	
utkhaat,	উৎখাত,	উত্খাত,	
caramics,	ক্যারামিক্স,	সিরামিকস,	
chandrimaa,	চন্দ্রীমা,	চন্দ্রিমা,	
bodhir,	বোধির,	বধির,	
sangosthatir,	সংস্থ্যটির,	সংস্থাটির,	
kyathalika,	ক্যাথলিকা,	ক্যাথলিক,	
johnsh,	জোনস,	জন্স,	
tukrokey,	তুক্রকে,	টুকরোকে,	
upacharjo,	উপচর্য,	উপাচার্য,	
sacheton,	সচেতন,	সচেতন,	
dey,	দে,	ডে,	
grambaasio,	গ্রামবাসীয়,	গ্রামবাসীও,	
moofti,	মুফটি,	মুফতি,	
dharavahiktir,	ধরাভামিকির,	ধারাবাহিকটির,	
tanoo,	তানো,	তনু,	
lokeshon,	লোকেশন,	লোকেশন,	
metere,	মেটারে,	মিটারে,	
shattoki,	সাত্তকী,	সাত্যকি,	
judge,	জজ,	জাজ,	
beshirvagyi,	বেশিরভাগই,	বেশিরভাগই,	
queri,	কুরি,	কোয়েরি,	
jakkho,	যক্ষ,	যক্ষ,	
bondiira,	বন্দিরা,	বন্দীরা,	
yaq,	যয়াক,	ইয়াক,	
noditikey,	নদীতিকে,	নদীটিকে,	
siddhantokey,	সিদ্ধানকে,	সিদ্ধান্তকে,	
jothon,	যথন,	যথন,	
haphsa,	হাফস,	হাফসা,	
macher,	মেছের,	মাছের,	
zojjyota,	যোজ্যতা,	যোজ্যতা,	
monmoth,	মনমাথ,	মন্মথ,	
ghurte,	ঘুরতে,	ঘুরতে,	
source,	সাউর্স,	সোর্স,	
patishapta,	পতিষ্পত্ত,	পাটিসাপটা,	
lyata,	ল্যাট,	ল্যাটা,	
abheedhanick,	অভিধানিক,	অভিধানিক,	
jonosamaj,	জনসামাজ,	জনসমাজ,	
tafsirer,	তাসশিরের,	তাফসীরের,	
avereste,	অ্যাভারেস্ট,	এভারেস্টে,	
parshwey,	পার্শে,	পার্শ্বে,	
kamiz,	কমিজ,	কামিজ,	
onker,	অঙ্কের,	ওঙ্কার,	
chhilona,	ছিলনা,	ছিলনা,	
jeellul,	জিল্লুল,	জিল্লুল,	
janoganonar,	জনগণনার,	জনগণনার,	
tochhnochh,	তছন্চ,	তছনছ,	
armastram,	আর্স্ট্রম,	আর্মস্ট্রং,	
taimas,	টাইসা,	টাইমস্,	
petenter,	পেটেন্টার,	পেটেন্টের,	
roomantic,	রোমান্টিক,	রোমান্টিক,	
totokson,	ততক্ষণ,	ততক্ষন,	
somoodrotote,	সমুদ্রতে,	সমুদ্রতটে,	
konphlict,	কনফিক্ট,	কনফ্লিক্ট,	
jerujalem,	জেরুজেম,	জেরুজালেম,	
shikh,	শিখ,	শিখ,	
sheema,	সিম,	সীমা,	
purohitra,	পুরহিত্রা,	পুরোহিতরা,	
cholchhe,	চলছে,	চলছে,	
biswashi,	বিশ্বাসী,	বিশ্বাসই,	
anchalgulir,	আঞ্চলগুলির,	অঞ্চলগুলির,	
site,	সাইট,	সিটে,	
shapholler,	সাফললের,	সাফল্যের,	
olympic,	অলিম্পিক,	অলিম্পিক,	
sotorkota,	সতরতকা,	সতর্কতা,	
qyanela,	ক্যানেল,	ক্যানেল,	
phutbolarra,	ফুটবলেরা,	ফুটবলাররা,	
juktorastre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
prabhritir,	প্রভৃতির,	প্রভৃতির,	
perther,	পার্থের,	পার্থের,	
pleena,	প্লেন,	প্লেন,	
tafaat,	টফাট,	তফাৎ,	
panchasjon,	পঞ্চাজন,	পঞ্চাশজন,	
paikgachha,	পাক্ছাছ,	পাইকগাছা,	
avatar,	অভাতার,	অবতার,	
conservetion,	কনসারভেশন,	কনসারভেশন,	
sorting,	সর্টিং,	সর্টিং,	
meghacchonno,	মেঘাচন্য,	মেঘাচ্ছন্ন,	
sangrahak,	সংগ্রহক,	সংগ্রাহক,	
ceramiksh,	কেরামিক্স,	সিরামিকস,	
beca,	বেকা,	বেচা,	
pratiyogider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
kormokarke,	কর্মকারকে,	কর্মকারকে,	
atohar,	আতোহার,	আতহার,	
norfolk,	নরফলক,	নরফোক,	
vejano,	ভেজনো,	ভেজানো,	
shikhechi,	শিখেছী,	শিখেছি,	
shulkey,	শুলকে,	শুল্কে,	
kantajir,	কান্তজীর,	কান্তজির,	
modele,	মোদেলে,	মডেলে,	
dephineshhana,	ডেফিনেশন,	ডেফিনেশন,	
bbiseshyo,	বিশেষ্য,	বিশেষ্য,	
bii,	বিই,	বি,	
aembed,	আম্বেদ,	এম্বেড,	
marqetim,	মার্কেটিং,	মার্কেটিং,	
roktokkhon,	রক্তক্ষণ,	রক্তক্ষরণের,	
vimshen,	ভিমশেন,	ভীমসেন,	
smaroker,	স্মরকের,	স্মারকের,	
antorbhukta,	অন্তর্ভুক্ত,	অন্তর্ভুক্ত,	
parsher,	পার্ষের,	পার্শ্বের,	
iraner,	ইরানের,	ইরানের,	
deepon,	দীপন,	দীপন,	
santoshpore,	সন্নত্ষরে,	সন্তোষপুর,	
ghumachchilo,	ঘুমাচছিল,	ঘুমাচ্ছিল,	
nortoki,	নর্তকী,	নর্তকী,	
akmot,	আকমত,	একমত,	
bhaangchoor,	ভাঙচুর,	ভাংচুর,	
kriseenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
hondooras,	হন্ডুরাস,	হন্ডুরাস,	
beekargrasto,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
enginears,	ইন্জিনার্স,	ইঞ্জিনিয়ার্স,	
shoori,	সুরি,	সুরি,	
riphleeksa,	রিফেক্স,	রিফ্লেক্স,	
koreempoor,	করিমপুর,	করিমপুর,	
olpokichudin,	অল্পকচিন্দিন,	অল্পকিছুদিন,	
saifai,	সাইফেই,	সাইফাই,	
chase,	চাষে,	চেস,	
mane,	মেন,	মানে,	
apoharon,	অপহারণ,	অপহরন,	
kar,	কর,	কর,	
uporital,	উপরিতাল,	উপরিতল,	
patochitra,	পাতচিত্র,	পটচিত্র,	
soinyo,	সৈন্য,	সৈন্য,	
chirakumari,	চিরকমুমারী,	চিরকুমারী,	
monohorpur,	মনহররপুর,	মনোহরপুর,	
somonwitobhabey,	সমান্তিভভাবে,	সমন্বিতভাবে,	
gorib,	গরিব,	গরিব,	
hiranee,	হিরানি,	হিরানি,	
jerusalem,	জেরুজেম,	জেরুসালেম,	
chhaai,	ছাই,	ছাই,	
dakteekiter,	ডক্তিকিতের,	ডাকটিকিটের,	
oodoore,	উদুরে,	অদুরে,	
ayantarqatiqa,	অ্যান্টার্টিকক,	অ্যান্টার্কটিকা,	
sotorkotar,	সতরতকতার,	সতর্কতার,	
ekhaate,	এখাতে,	একহাতে,	
dokaan,	ডকন,	দোকান,	
horir,	হরির,	হরির,	
elakatey,	এলাকাতে,	এলাকাতে,	
ashshociatesh,	অ্যাসোসিয়েকেস,	এসোসিয়েটস,	
parser,	পার্সের,	পার্শ্বের,	
abahan,	অবহান,	আবাহন,	
ponera,	পোনেরা,	পনের,	
asovya,	অসব্য,	অসভ্য,	
bagichar,	বাজিকার,	বাগিচার,	
meghke,	মেঘকে,	মেঘকে,	
protyokkhovabey,	প্রত্যক্ষাবা,	প্রত্যক্ষভাবে,	
aboshore,	অবশরে,	অবসরে,	
shapod,	শাপদ,	শ্বাপদ,	
achish,	আচিশ,	আছিস,	
deputy,	দেপুতি,	ডেপুটি,	
sinematographar,	সিনেজাব্রফুর,	সিনেমাটোগ্রাফার,	
jalatanko,	জলাান্ক,	জলাতঙ্ক,	
songbadmadhyame,	সংবাদমম্্যে,	সংবাদমাধ্যমে,	
shuperheiro,	সুপেহেরিয়া,	সুপারহিরো,	
laaishesh,	লাইশেষ,	লাইসেন্স,	
sbajan,	স্বজন,	স্বজন,	
uponishad,	উপনিসাদ,	উপনিষদ,	
tader,	তাদের,	তদের,	
baard,	বার্ড,	বার্ড,	
tetela,	টেটল,	টাইটেল,	
the,	থে,	থাই,	
qyantana,	ক্যান্টন,	ক্যান্টন,	
licensing,	লিলেসনিং,	লাইসেন্সিং,	
godabori,	গোদাবরী,	গোদাবরী,	
kampito,	কম্পিত,	কম্পিত,	
tiner,	তিনের,	তিনের,	
sakar,	সাকার,	সকার,	
potchitra,	পট্চিত্র,	পটচিত্র,	
lutheran,	লুঠারেন,	লুথেরান,	
paab,	পাব,	পাব,	
norton,	নর্তন,	নর্টন,	
noitikota,	নৈতিকতা,	নৈতিকতা,	
taiteela,	টাইটেল,	টাইটেল,	
estoniya,	এস্টেনিয়া,	এস্তোনিয়া,	
lajiqa,	লাজিকা,	লজিক,	
cholocchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
istoniya,	ইস্টেনিয়া,	এস্তোনিয়া,	
promotione,	প্রমোশন,	প্রোমোশনে,	
ranangone,	রণাঙ্গনে,	রণাঙ্গনে,	
samanya,	সামান্য,	সামান্য,	
lettere,	লেটারে,	লেটারে,	
otyacharito,	অত্যাচরিত,	অত্যাচারিত,	
aziz,	আজিজ,	আজিজ,	
safiin,	সফিন,	সাফিন,	
bedanter,	বেদান্তের,	বেদান্তের,	
porissrom,	পরিশ্রম,	পরিশ্রম,	
dholeshwari,	ধোলেশ্বরী,	ধলেশ্বরী,	
donata,	দোনটা,	ডোনাট,	
female,	ফেমালে,	ফিমেল,	
magical,	ম্যাজিকাল,	ম্যাজিকাল,	
laisense,	লাইনেসনস,	লাইসেন্স,	
kaalengaa,	কালেঙ্গা,	কালেঙ্গা,	
gononanatyo,	গণনানত্য,	গণনাট্য,	
bosonto,	বসন্ত,	বসন্ত,	
prachandota,	প্রচন্দতা,	প্রচণ্ডতা,	
maradeha,	মারাদেশা,	মরদেহ,	
deebug,	দেবুগ,	ডিবাগ,	
pure,	পুরে,	পিওর,	
ivir,	আইভির,	এভার,	
phixing,	ফিকিং,	ফিক্সিং,	
daale,	দালে,	ডালে,	
zins,	জিন্স,	জিন্স,	
iunita,	ইউনিট,	ইউনিট,	
shaswata,	শাসবতা,	শাশ্বত,	
romonar,	রোনার,	রমনার,	
hoila,	হইল,	হইল,	
mugdho,	মুগ্ধ,	মুগ্ধ,	
verma,	ভার্মা,	ভার্মা,	
juktorastrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
jhankaar,	ঝাঁকার,	ঝঙ্কার,	
antarvukto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
udbodhone,	উদ্বোধনে,	উদ্বোধনে,	
somaazer,	সমাজের,	সমাজের,	
gandharir,	গান্ধারীর,	গান্ধারীর,	
oporishodhito,	অপরিসোধিত,	অপরিশোধিত,	
spancer,	স্পান্সের,	স্পেন্সার,	
baagica,	বাগিকা,	বাগিচা,	
monhputo,	মন্্পুত,	মনঃপুত,	
heepatitis,	হেপাটিটিস,	হেপাটাইটিস,	
temonti,	টামনটি,	তেমনটি,	
chetonagoto,	চেতানগত,	চেতনাগত,	
romancho,	রোমাঞ্চ,	রোমাঞ্চ,	
gezeted,	গেজেটেড,	গেজেটেড,	
metropalitana,	মেট্রোপলিটান,	মেট্রোপলিটন,	
laaishheshh,	লাইশেষ,	লাইসেন্স,	
saom,	সাম,	সাওম,	
wenice,	উনেকি,	ভেনিস,	
eeraner,	ইইরনের,	ইরানের,	
durgandha,	দুর্গন্ধ,	দুর্গন্ধ,	
enjineerinj,	এঞ্জেনিং,	ইঞ্জিনিয়ারিং,	
turkeyder,	তুর্কীদের,	তুর্কিদের,	
breqathru,	ব্রেকাররর,	ব্রেকথ্রু,	
ghese,	ঘেষে,	ঘেঁষে,	
jaater,	যাতের,	জাতের,	
deefinition,	ডেফিনিশন,	ডেফিনেশন,	
neermolota,	নির্মলতা,	নির্মলতা,	
muradkey,	মুরাদকে,	মুরাদকে,	
samajik,	সমমজিক,	সামাজিক,	
aamor,	আমর,	আমর,	
highcommissionay,	হাইকমিশনে,	হাইকমিশনে,	
tegara,	টেগার,	টাইগার,	
natsi,	নাটসি,	নাত্সি,	
thetcher,	টেচের,	থ্যাচার,	
agradut,	অগ্রাদুত,	অগ্রদূত,	
bhenama,	ভেমানা,	ভেনম,	
musalmani,	মুসল্মানী,	মুসলমানই,	
shaarthe,	সার্থে,	স্বার্থে,	
horeener,	হরিনের,	হরিণের,	
juddhahoto,	যুদ্ধহত,	যুদ্ধাহত,	
tachnach,	টচচানা,	তছনছ,	
dong,	ডো,	ডং,	
jojyata,	যোজ্যতা,	যোজ্যতা,	
kharar,	খারার,	খরার,	
byatari,	ব্যাতারী,	ব্যাটারী,	
bishaashke,	বিশাষকে,	বিশ্বাসকে,	
daawn,	ডাউন,	ডাউন,	
siiter,	সীটের,	শীতের,	
paschater,	পশ্চাতের,	পশ্চাতের,	
udbhabane,	উদ্ভববনে,	উদ্ভাবনে,	
gaarnaar,	গার্নার,	গার্নার,	
creedit,	ক্রিডিট,	ক্রেডিট,	
chitronatyakar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
karir,	করির,	কারীর,	
sangbadmadhyame,	সংবাদমমধ্যে,	সংবাদমাধ্যমে,	
bidrup,	বিদ্রুপ,	বিদ্রূপ,	
sarbhaarti,	সার্ভারটি,	সার্ভারটি,	
loha,	লোহা,	লোহা,	
jestha,	জেষ্ঠ্য,	জ্যেষ্ঠা,	
basaate,	বসাতে,	বাসাতে,	
songasthatir,	সংস্থাটির,	সংস্থাটির,	
qulim,	কুলিং,	কুলিং,	
tukroke,	তুক্রকে,	টুকরোকে,	
floodliter,	ফ্লাডোলিটার,	ফ্লাডলাইটের,	
ancholti,	আঞচলটি,	অঞ্চলটি,	
kanar,	কানার,	কণার,	
tinhazar,	তিনহাজার,	তিনহাজার,	
elakatay,	এলাকাতে,	এলাকাতে,	
abasan,	অবসন,	অবসান,	
moolgoto,	মুলগত,	মূলগত,	
vobani,	ভবনী,	ভবানী,	
korimer,	করীমের,	করিমের,	
padarthabidder,	পদার্থবিদদের,	পদার্থবিদদের,	
shotodha,	শতাধা,	শতধা,	
orbit,	অর্বিত,	অরবিট,	
unhu,	উন্ু,	উঁহু,	
choudhoorider,	চৌধুরিদের,	চৌধুরীদের,	
motabolombira,	মতালবম্বার,	মতাবলম্বীরা,	
roomantik,	রোমান্তিক,	রোমান্টিক,	
land,	ল্যান্ড,	ল্যান্ড,	
hailo,	হইলো,	হইল,	
soya,	সোয়া,	সোয়া,	
konagulo,	কনাগুলো,	কণাগুলো,	
karle,	করলে,	করলে,	
rayyalati,	রায়েলটি,	রয়্যালটি,	
aakabaar,	আকাবার,	আকাবার,	
uparjoner,	উপারজনের,	উপার্জনের,	
dinesh,	দিনেশ,	দীনেশ,	
bachchaner,	বাচ্ছানের,	বচ্চনের,	
noiteekotar,	নৈতিকতার,	নৈতিকতার,	
eparjonta,	এপারজন্ত,	এপর্যন্ত,	
sommoteete,	সম্মতিতে,	সম্মতিতে,	
madhuri,	মধুরি,	মাধুরী,	
shima,	সিম,	সীমা,	
giitikobita,	গীতিকিবিত,	গীতিকবিতা,	
bonoshree,	বনস্রী,	বনশ্রী,	
gronthe,	গ্রন্থে,	গ্রন্থে,	
societykey,	সািশিতকে,	সোসাইটিকে,	
transcom,	ট্রান্সোক,	ট্রান্সকম,	
haze,	হাজে,	হেজ,	
sahajlabhbhatar,	সহজালভততার,	সহজলভ্যতার,	
vogno,	ভগ্ন,	ভগ্ন,	
zyakasana,	জ্যাকাশন,	জ্যাকসন,	
rahee,	রহি,	রাহী,	
prachurjer,	প্রচুর্যের,	প্রাচুর্যের,	
ekar,	একার,	একার,	
deputi,	দেপুতি,	ডেপুটি,	
digrio,	ডিগ্রিয়,	ডিগ্রিও,	
dakten,	ডাকতেন,	ডাকতেন,	
hyarikeena,	হ্যারিকেন,	হ্যারিকেন,	
ekok,	একক,	একক,	
mandondo,	মন্দন্দ,	মানদণ্ড,	
buth,	বুযাস,	বুথ,	
kooda,	কোড,	কোড,	
kortam,	কর্তম,	করতাম,	
biru,	বিরু,	বীরু,	
khalidkay,	খলিদকে,	খালিদকে,	
uporzon,	উপরজন,	উপার্জন,	
herfer,	হারফার,	হেরফের,	
azimkey,	আজিমকে,	আজিমকে,	
teuning,	টিউনিং,	টিউনিং,	
sbaajan,	স্বজন,	স্বজন,	
phoksher,	ফক্ষের,	ফক্সের,	
baron,	বারণ,	ব্যারন,	
chaalaabi,	চালাবি,	চালাবে,	
nisader,	নিষদের,	নিষাদের,	
shrimoti,	শ্রীমতী,	শ্রীমতি,	
uddhritto,	উদ্ধৃত্ত,	উদ্ধৃত,	
akkhunno,	অক্ষুন্ন,	অক্ষুণ্ণ,	
hazat,	হাজাত,	হজত,	
ekroop,	একরূপ,	একরূপ,	
