sukkho,	শুক্ষ্,	সুক্ষ্ম,	
gorjon,	গর্জন,	গর্জন,	
harriser,	হ্যারিসের,	হ্যারিসের,	
haridware,	হারিদ্বার,	হরিদ্বারে,	
hoteeltite,	হটিলটটে,	হোটেলটিতে,	
soommita,	সম্মিত,	সুমিতা,	
ajiban,	আজিবান,	আজীবন,	
sures,	সুরেস,	সুরেশ,	
sachetanatamulok,	স্যাচেতারনমূলক,	সচেতনতামূলক,	
chhotogolpe,	ছোটগল্পে,	ছোটগল্পে,	
gemser,	জেমসের,	জেমসের,	
jahora,	জহহর,	যাহরা,	
dhauta,	ধৌত,	ধৌত,	
dhikrito,	ধিকৃত,	ধিকৃত,	
rachonakal,	রচনাক,	রচনাকাল,	
superhero,	সুপেরহর,	সুপারহিরো,	
arasie,	আরসি,	আরসিএ,	
cyanide,	স্নিনেড,	সায়ানাইড,	
edii,	এদি,	আইডিই,	
dacop,	ডাক্প,	দাকোপ,	
orbeet,	অর্বিত,	অরবিট,	
dhyana,	ধ্যান,	ধ্যান,	
noitikatabodh,	নথিতাকাবদ,	নৈতিকতাবোধ,	
janagananar,	জনগণনার,	জনগণনার,	
chashe,	চাষে,	চেস,	
samudratatey,	সমুদ্রততে,	সমুদ্রতটে,	
bhenise,	ভেনিস,	ভেনিসে,	
ganokantha,	গণকণ্থ,	গণকণ্ঠ,	
townshhip,	টাউশিপ,	টাউনশিপ,	
harza,	হর্জ,	হার্জ,	
peterkay,	পেটারকে,	পিটারকে,	
koode,	কোড,	কোড,	
zack,	জাক,	জ্যাক,	
pooroheetke,	পুরহহিকে,	পুরোহিতকে,	
samudratate,	সমুদ্রততে,	সমুদ্রতটে,	
orthonitike,	অর্থনিতিকে,	অর্থনীতিকে,	
rubyo,	রুব্য,	রুবিও,	
engineers,	এনজিনার্স,	ইঞ্জিনিয়ার্স,	
riphleksa,	রিফ্লেক্স,	রিফ্লেক্স,	
shhashtra,	শাষ্ট্র,	শাস্ত্র,	
udor,	উদর,	উদর,	
vaticaner,	ভাটিকানের,	ভ্যাটিকানের,	
halloin,	হললিন,	হ্যালোইন,	
tader,	তাদের,	তদের,	
rijoor,	রিজুর,	রিজুর,	
foshter,	ফোস্টার,	ফস্টার,	
dearas,	ডাই়ারস,	ডিআরএস,	
sampadan,	সম্পাদন,	সম্পাদন,	
jyestha,	জেস্থ,	জ্যেষ্ঠা,	
shatokei,	শতকেই,	শতকেই,	
temon,	টেমন,	তেমন,	
average,	অবেরগে,	এভারেজ,	
sinakey,	সিনকে,	সিনাকে,	
sudrissho,	সুদৃশ্য,	সুদৃশ্য,	
pouchute,	পৌচুতে,	পৌঁছুতে,	
shikkharrthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
grambasio,	গ্রাম্বাসি,	গ্রামবাসীও,	
sansthatir,	সংস্থাটির,	সংস্থাটির,	
enashiyenta,	এনসাইন্ট,	এনসিয়েন্ট,	
tonga,	টঙ্গা,	টোঙ্গা,	
moricha,	মরিচা,	মরিচা,	
chaalaabi,	চালাবী,	চালাবে,	
jomaanor,	জমানোর,	জমানোর,	
nebhate,	নেভাতে,	নেভাতে,	
arshie,	আর্সি,	আরসিএ,	
bocchon,	বচচন,	বচ্চন,	
parksh,	পার্কস,	পার্কস,	
bossonte,	বসন্তে,	বসন্তে,	
aazaan,	আজান,	আজান,	
ancholtee,	অঞ্চলটি,	অঞ্চলটি,	
nirmankaj,	নির্মাঙ্গ,	নির্মাণকাজ,	
shita,	শীট,	সিট,	
nirmol,	নির্মল,	নির্মল,	
desiseyer,	ডেশিসের,	ডিজিজের,	
loukikata,	লুকিকাতা,	লৌকিকতা,	
aazaadeer,	আজাদীর,	আজাদীর,	
abhidhaanik,	অভিধানিক,	অভিধানিক,	
sorbopori,	সর্বপরী,	সর্বোপরী,	
arjora,	অর্জরা,	আর্যরা,	
poner,	পোনের,	পনের,	
jestha,	জেষ্ঠ,	জ্যেষ্ঠা,	
deqe,	ডেকে,	ডেকে,	
ibhara,	ইভার,	এভার,	
nikote,	নিকতে,	নিকটে,	
boonot,	বুনত,	বুনট,	
licensin,	লিকেনসিন,	লাইসেন্সিং,	
ramonar,	রোমানার,	রমনার,	
relance,	রেলান্স,	রিলায়েন্স,	
madraji,	মার্াজী,	মাদ্রাজি,	
residence,	রেসিডেন্স,	রেসিডেন্স,	
rubio,	রুবিও,	রুবিও,	
bahubar,	বহুবর,	বহুবার,	
ganochien,	গানচিন,	গণচীন,	
cheerkoot,	চিরকু,	চিরকুট,	
elaakaatike,	এলাকাটিকে,	এলাকাটিকে,	
alsaar,	আলসার,	আলসার,	
marqetim,	মার্টেটিক,	মার্কেটিং,	
bbiswashke,	বিশ্বাসকে,	বিশ্বাসকে,	
bonvumi,	বনভূমি,	বনভূমি,	
mandando,	মন্দন্দ,	মানদণ্ড,	
adbhut,	অদভূত,	অদ্ভুত,	
bhalobasar,	ভালবাসার,	ভালোবাসার,	
tintir,	তিনটির,	তিনটির,	
aporishodhito,	অপরিসধিত,	অপরিশোধিত,	
sane,	সান,	সনে,	
tinti,	তিনটি,	তিনটি,	
charger,	চার্জের,	চার্জার,	
tthela,	তেলা,	ঠেলা,	
mukhamandal,	মুখমন্ডল,	মুখমণ্ডল,	
forma,	ফরম,	ফর্মা,	
sikarer,	শিকারের,	শিকারের,	
nagorikera,	নগরীকেরা,	নাগরিকেরা,	
huqa,	হুক,	হুক,	
swapod,	স্বপদ,	শ্বাপদ,	
brindabaner,	বৃন্দদানের,	বৃন্দাবনের,	
tecnokret,	টেকনকর্তে,	টেকনোক্র্যাট,	
jaank,	জানক,	জাঁক,	
miley,	মিলে,	মাইলি,	
sithilota,	সিথিলতা,	শিথিলতা,	
lisens,	লিসেন্স,	লাইসেন্স,	
monhputo,	মন্পূত,	মনঃপুত,	
saatzon,	সাত্য,	সাতজন,	
daawn,	ডাউন,	ডাউন,	
moshjidtir,	মমিজটির,	মসজিদটির,	
juboke,	যুবকে,	যুবকে,	
marjito,	মার্জিত,	মার্জিত,	
mosjidtir,	মমিিটির,	মসজিদটির,	
swarthe,	স্বর্থে,	স্বার্থে,	
reefleex,	রিফল্সিক,	রিফ্লেক্স,	
shaahocharjo,	সাহচর্য,	সাহচর্য,	
sherup,	শেরুপ,	সেরুপ,	
aastikota,	আস্টিকতা,	আস্তিকতা,	
uporostho,	উপরস্থ,	উপরস্থ,	
khude,	খুদে,	ক্ষুদে,	
chilahaati,	চিলাহাতি,	চিলাহাটি,	
sazano,	সাজানো,	সাজানো,	
vvimsenn,	ভ্যামেন্ন,	ভীমসেন,	
expression,	এক্সপ্রেশন,	এক্সপ্রেশন,	
nadnodir,	নাদনদীর,	নদনদীর,	
boother,	বুথের,	বুথের,	
toruner,	তরুণের,	তরুণের,	
jerujalem,	জারিজামেল,	জেরুজালেম,	
bayii,	বৈই,	বাঈ,	
lotheran,	লোথারন,	লুথেরান,	
stoona,	স্টোন,	স্টোন,	
shannal,	সান্নল,	সান্যাল,	
naaji,	নাজি,	নাত্সি,	
akmato,	আকমত,	একমত,	
chondrima,	চন্দ্রীম,	চন্দ্রিমা,	
gaandas,	গান্দাস,	জ্ঞানদাস,	
trenda,	ট্রেন্ড,	ট্রেন্ড,	
colahol,	কলাহল,	কোলাহল,	
ganosakkharata,	গণস্ষাতর,	গণসাক্ষরতা,	
rajtantre,	রাজটন্ত্রে,	রাজতন্ত্রে,	
keyboarder,	কেযাবর্ডের,	কীবোর্ডের,	
ceramicer,	স্রামিমের,	সিরামিকের,	
cheelona,	চিলোনা,	ছিলনা,	
samrat,	সামরত,	সম্রাট,	
assastikar,	আসস্তিক্যার,	অস্বস্তিকর,	
kalenga,	কলেঙ্গ,	কালেঙ্গা,	
shiropar,	শিরপার,	শিরোপার,	
rightsh,	রিচ্ট,	রাইটস,	
obhijojan,	অভিযোজন,	অভিযোজন,	
khappor,	কপপপর,	খপ্পর,	
skolarsip,	স্কলারশিপ,	স্কলারশিপ,	
pretii,	প্রেতী,	প্রিটি,	
moshzidti,	মোভিত্তি,	মসজিদটি,	
cholesi,	চলেশি,	চলেছি,	
heena,	হিন,	হেনা,	
dail,	ডাল,	ডেইল,	
yathaarthabhaabe,	যাথার্থভাবে,	যথার্থভাবে,	
metrapalitana,	মেত্রোপলিনা,	মেট্রোপলিটন,	
nogore,	নগরে,	নগরে,	
maladoobha,	মালাদুভ,	মলদোভা,	
bandhubhabaponno,	বন্ধুভান্দ,	বন্ধুভাবাপন্ন,	
bivonno,	বিভন্ন,	বিভন্ন,	
eshiyatika,	এসিযাটিক,	এশিয়াটিক,	
sazanor,	সাজানোর,	সাজানোর,	
basalt,	বাসা,	ব্যাসল্ট,	
cholocchitreo,	চলচিত্রে,	চলচ্চিত্রেও,	
byakhyatita,	ব্যাখ্যাটি,	ব্যাখ্যাতীত,	
nanir,	নানির,	নানীর,	
ronangane,	রনাঙ্গণে,	রণাঙ্গনে,	
goore,	গুরে,	গোর,	
bhabnake,	ভাবনাকে,	ভাবনাকে,	
enamela,	এনমেল,	এনামেল,	
pnouchute,	পৌঁছুতে,	পৌঁছুতে,	
mukhomaundoley,	মুখাউন্ডলে,	মুখমণ্ডলে,	
ragee,	রাগী,	রাগী,	
lobbyte,	লববিতে,	লবিতে,	
chotto,	চত্ব,	ছোট্ট,	
aamor,	আমর,	আমর,	
bongobondhu,	বঙ্গন্ধ্য,	বঙ্গবন্ধু,	
jeeni,	জিনি,	যিনি,	
somoodrotote,	সমুদ্রততে,	সমুদ্রতটে,	
bagdad,	বা্দাদ,	বাগদাদ,	
abartey,	আবর্তে,	আবর্তে,	
mugdal,	মুগ্াল,	মুগডাল,	
tekno,	টেকনো,	টেকনো,	
unhu,	উনুহ,	উঁহু,	
zerusalem,	জারিসালেস,	জেরুজালেম,	
bikretaara,	বিক্রেটার,	বিক্রেতারা,	
degreeo,	ডেগ্রিও,	ডিগ্রিও,	
byaboharkareederke,	ব্যবহারকরিদকের,	ব্যবহারকারীদেরকে,	
fiksing,	ফিকসিং,	ফিক্সিং,	
pachchi,	পাচচি,	পাচ্ছি,	
sikhra,	শিখ্রা,	শিখরা,	
melobborner,	মেলবব্রণের,	মেলবোর্নের,	
krema,	ক্রেম,	ক্রাইম,	
totenhamer,	তটনেম্ার,	টটেনহামের,	
avetara,	অবেতর,	অবতার,	
shikkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
omarendro,	অমরেন্দ্র,	অমরেন্দ্র,	
kaathhaamaandu,	কাঠালাদ্দ,	কাঠমান্ডু,	
bedey,	বেদে,	বেদে,	
chutite,	চুটিতে,	ছুটিতে,	
duple,	দূপেল,	ডুপ্লে,	
samabesh,	সমাবেস,	সমাবেশ,	
bisringkhola,	বিষ্রুলকা,	বিশৃঙ্খলা,	
shangsthaner,	সংশ্ঠানের,	সংস্থানের,	
sheshardhe,	শেষর্ধে,	শেষার্ধে,	
krechi,	ক্রেছি,	করেছি,	
nek,	নেক,	নেক,	
bhabani,	ভাবানী,	ভবানী,	
dreestiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
deeliveer,	ডিলিভির,	ডেলিভার,	
heart,	হের্ট,	হার্ট,	
mufti,	মূফি,	মুফতি,	
daaun,	ডাউন,	ডাউন,	
naubom,	নাবম,	নবম,	
sbajan,	স্বজন,	স্বজন,	
romantik,	রোমান্তিক,	রোমান্টিক,	
bahjya,	বাহ্য,	বাহ্য,	
palestiner,	পালসসিন্টের,	প্যালেস্টাইনের,	
aabarto,	আবর্ত,	আবর্ত,	
muhurtoti,	মুহুর্তি,	মুহুর্তটি,	
dover,	দোভের,	ডোভার,	
sommotite,	সম্মতিতে,	সম্মতিতে,	
balokarak,	বালককরক,	বলকারক,	
hoteelti,	হটিলটি,	হোটেলটি,	
upostheet,	উপস্থিত,	উপস্থিত,	
bhageroi,	ভাগেই,	ভাগেরই,	
sangasthatir,	সংস্থাতির,	সংস্থাটির,	
musalmanderkey,	মুসলান্দ্রেণ,	মুসলমানদেরকে,	
nothibhookteer,	নথিভূত্তের,	নথিভুক্তির,	
ghateer,	ঘটির,	ঘাটির,	
vault,	ভাউল্ট,	ভল্ট,	
pracharanamulak,	প্রচারণামূলক,	প্রচারণামূলক,	
byaboharkari,	ব্যবহারকারী,	ব্যবহারকারী,	
wul,	উয়াল,	উল,	
honduras,	হন্দুরাস,	হন্ডুরাস,	
amorendro,	অমরেন্দ্র,	অমরেন্দ্র,	
patiganit,	পতিগানিত,	পাটিগণিত,	
ranadip,	রানাদিপ,	রণদীপ,	
tarun,	তারুণ,	তরুন,	
antorvuktimulak,	অন্তর্মুন্তিকূল,	অন্তর্ভুক্তিমূলক,	
rajtontrey,	রাজ্ঞ্ট্রে,	রাজতন্ত্রে,	
dormitory,	দর্মিতরি,	ডরমিটরি,	
bohal,	বহল,	বহাল,	
moshleh,	মসলে,	মোসলেহ,	
soourse,	সুর্স,	সোর্স,	
nobotomo,	নবতম,	নবতম,	
ishahak,	ইশহাক,	ইসাহাক,	
dhanyi,	ধানই,	ধন্যি,	
xpresion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
damone,	দমনে,	দমনে,	
graambaaseer,	গ্রাম্যাসের,	গ্রামবাসীর,	
shikarke,	শিকারকে,	শিকারকে,	
elaakaatir,	এলাকাটির,	এলাকাটির,	
qode,	কোড,	কোড,	
jockei,	যককে,	জকি,	
modeeling,	মোিিলিং,	মডেলিং,	
postac,	পোস্টা,	পোস্টকে,	
bhashik,	ভাষিক,	ভাষিক,	
mozlish,	মজলিস,	মজলিশ,	
hebhi,	হেভি,	হেভি,	
bhumijo,	ভুমিজ,	ভূমিজ,	
sima,	সিমা,	সীমা,	
cholochchitrai,	চলচিত্রারী,	চলচ্চিত্রই,	
kormoi,	কর্মই,	কর্মই,	
basatey,	বাসতে,	বাসাতে,	
riphleqsa,	রিফ্লেক্স,	রিফ্লেক্স,	
timothy,	তিমোটি,	টিমোথি,	
nirbaha,	নির্বাহ,	নির্বাহ,	
shringgey,	শ্রীগে,	শৃঙ্গে,	
abhidhaner,	অভিধানের,	অভিধানের,	
sahocorjo,	সহোর্চ্য,	সাহচর্য,	
grawth,	গ্রহ,	গ্রোথ,	
jaater,	যাতের,	জাতের,	
jillool,	জিল্লু,	জিল্লুল,	
granthaty,	গ্রন্থাটি,	গ্রন্থটি,	
dwibidh,	দ্বিবিদ,	দ্বিবিধ,	
nuton,	নুতন,	নূতন,	
fake,	ফেক,	ফাকে,	
marier,	মেরির,	ম্যারির,	
gotirodh,	গতিরোধ,	গতিরোধ,	
rupert,	রুপার্ট,	রুপার্ট,	
gatirodh,	গতিরোধ,	গতিরোধ,	
answereer,	অংশ্রীর,	আনসারীর,	
shalook,	সালুক,	শালুক,	
chotogolpe,	ছোটগল্পে,	ছোটগল্পে,	
eenjeel,	ইঞ্জিল,	ইঞ্জিল,	
utsahomulok,	উৎসামূলক,	উৎসাহমূলক,	
patthkrom,	পাঠ্রকম,	পাঠক্রম,	
doulaa,	ডওলা,	দৌলা,	
sonaktokaran,	সনকক্তরণ,	সনাক্তকরণ,	
mugdho,	মুগ্ধ,	মুগ্ধ,	
nathivooktir,	নথিবুক্তির,	নথিভুক্তির,	
akla,	অকলা,	একলা,	
rifleks,	রিফল্স,	রিফ্লেক্স,	
sayanaida,	সায়ানিয়া,	সায়ানাইড,	
prai,	প্রেই,	প্রায়,	
bbiseshyo,	বিশেষ্য,	বিশেষ্য,	
rajotta,	রাজত্য,	রাজত্ব,	
aiieubi,	আইইবি,	আইইউবি,	
satarko,	সতর্ক,	সতর্ক,	
turbiner,	তুর্বিনের,	টারবাইনের,	
allahabadey,	আললাাাদে,	এলাহাবাদে,	
ddhila,	ঢিলা,	ঢিলা,	
ustad,	উস্টাদ,	উস্তাদ,	
adbhanshd,	অ্যাংশ্বা্্ড,	অ্যাডভান্সড,	
shrichaitanyadev,	শ্রীচৈঠন্তাবীশ,	শ্রীচৈতন্যদেব,	
jacksan,	যক্ষণ,	জ্যাকসন,	
oncholke,	অঞ্চলকে,	অঞ্চলকে,	
songbadmadhyamgulote,	সংবাদমগুগললোতে,	সংবাদমাধ্যমগুলোতে,	
abatar,	অবতার,	অবতার,	
suresh,	সুরেশ,	সুরেশ,	
themeke,	থেমেকে,	থিমকে,	
grambaasheeo,	গ্রাম্বাই,	গ্রামবাসীও,	
kkhur,	ক্ষুর,	ক্ষুর,	
kanasarabhesana,	কনরাসেহেশন,	কনসারভেশন,	
crete,	ক্রেট,	ক্রীট,	
meg,	মেগ,	মেগ,	
dojo,	দোজ,	ডোজো,	
jonsha,	জনস,	জোন্স,	
shource,	সৌর্স,	সোর্স,	
ghoor,	ঘুর,	ঘুর,	
bonshi,	বংশি,	বংশী,	
lag,	লাগ,	লগ,	
mirakel,	মিরাকেল,	মিরাকেল,	
addhatikota,	অ্দাধতিকতা,	আধ্যাত্মিকতা,	
beetlaser,	বিটলাসের,	বিটলসের,	
jwar,	জার,	জ্বর,	
pluse,	প্লাইস,	প্লাসে,	
carpet,	ক্রাপেট,	কার্পেট,	
dhhaby,	ধবি,	ঢাবি,	
siddhantei,	সিদ্ধানটে,	সিদ্ধান্তেই,	
pratiyogi,	প্রতিযোগি,	প্রতিযোগী,	
longhaner,	লঙ্ঘনের,	লংঘনের,	
mosjidti,	মমিিটি,	মসজিদটি,	
priitii,	পৃতিই,	প্রিটি,	
sointoder,	সৈন্তদের,	সৈন্যদের,	
direqtareta,	ডিরেক্টাটে,	ডিরেক্টরেট,	
ancholeo,	অঞ্চলেও,	অঞ্চলেও,	
seekkhagoto,	শিক্ষাগত,	শিক্ষাগত,	
durgotsab,	দুর্তত্বা,	দুর্গোৎসব,	
ancholgulote,	অঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
nirgaman,	নির্গামান,	নির্গমন,	
eksapresana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
ganonatyo,	গণনত্য,	গণনাট্য,	
manushtike,	মনুষ্টিকে,	মানুষটিকে,	
archimedeser,	আর্মিজেসের,	আর্কিমিডিসের,	
marodeho,	মারেধও,	মরদেহ,	
vromonkaley,	ভ্রমণকালে,	ভ্রমণকালে,	
bheenasa,	ভিনাস,	ভেনাস,	
probhur,	প্রভূর,	প্রভুর,	
sectore,	সেক্টর,	সেক্টরে,	
kunti,	কুনটি,	কুন্তী,	
bahyo,	বাহ্য,	বাহ্য,	
jonogononar,	জনগণনার,	জনগণনার,	
parinati,	পরিনাতি,	পরিণতি,	
azizer,	আজিজের,	আজিজের,	
urur,	উরুর,	উরুর,	
shoow,	শু,	শো,	
diyares,	ডিয়ারেস,	ডিআরএস,	
oncoltike,	অনলকেটিকে,	অঞ্চলটিকে,	
teknokret,	টেকনকর্তে,	টেকনোক্র্যাট,	
ovinetar,	অভিনেতর,	অভিনেতার,	
uponeeshoder,	উপনিশদের,	উপনিষদের,	
protjogiita,	প্রত্যগিত,	প্রতিযোগীতা,	
debdebir,	দেবদাবীর,	দেবদেবীর,	
shaahaabiike,	সাহাবিকে,	সাহাবীকে,	
jamanor,	জামানোর,	জমানোর,	
sumo,	সুম,	সুমো,	
amitrakkhor,	অমিত্রক্ষার,	অমিত্রাক্ষর,	
ssumita,	সুমিত,	সুমিতা,	
mastars,	মাস্টার্স,	মাস্টার্স,	
cilahati,	চিলাহতি,	চিলাহাটি,	
mojlis,	মজলিস,	মজলিশ,	
monjiley,	মঞ্জিলে,	মঞ্জিলে,	
udvabaker,	উদ্বাবকের,	উদ্ভাবকের,	
chalochchitreo,	চলচিত্রে,	চলচ্চিত্রেও,	
kins,	কিংস,	কিংস,	
dip,	ডিপ,	দীপ,	
uponeeshod,	উপনিষদ,	উপনিষদ,	
idipasha,	ইডিপাশ,	ইডিপাস,	
noitikotar,	নৈতিকতার,	নৈতিকতার,	
nirikha,	নিরিখা,	নিরিখ,	
nagarikera,	নগরেকেরা,	নাগরিকেরা,	
jeesh,	জিস,	জেস,	
songbadmadhyomgulote,	সংবাদমগ্গললোতে,	সংবাদমাধ্যমগুলোতে,	
ias,	ইইএস,	আইএএস,	
vool,	ভুল,	উল,	
janosangjog,	জনসাঞ্গ,	জনসংযোগ,	
dimbakriti,	ডিম্বারকিতি,	ডিম্বাকৃতি,	
mandander,	মন্দান্ডের,	মানদণ্ডের,	
songosthatike,	সংস্থাতিকে,	সংস্থাটিকে,	
maailkhanek,	মাইলক্েন,	মাইলখানেক,	
ssahosikotar,	সাহসিকতার,	সাহসিকতার,	
lyand,	ল্যান্ড,	ল্যান্ড,	
charger,	চার্জের,	চার্জের,	
naazee,	নাজী,	নাত্সি,	
somaazeri,	সমাজারী,	সমাজেরই,	
taronee,	তরণে,	তরণী,	
shotokeo,	শতকেও,	শতকেও,	
pachok,	পাচক,	পাচক,	
ches,	চেষ,	চেস,	
satarkatar,	সতর্কাতার,	সতর্কতার,	
toder,	তদের,	তদের,	
khagen,	খাগেন,	খগেন,	
foltir,	ফলটির,	ফলটির,	
ekjoge,	একজগে,	একযোগে,	
vittiow,	ভিট্যও,	ভিত্তিও,	
prokalpagulor,	প্রকাপলগুলোর,	প্রকল্পগুলোর,	
dianes,	ডাইনেস,	ডিএনএস,	
bosturoi,	বস্তুরই,	বস্তুরই,	
landey,	লান্ডে,	ল্যান্ডে,	
elakasoho,	এলাকাসহ,	এলাকাসহ,	
olimpiker,	অলিম্পিকের,	অলিম্পিকের,	
asif,	আসিফ,	আসিফ,	
faskari,	ফাসকারী,	ফাঁসকারী,	
simons,	সিমননস,	সিমন্স,	
sahakari,	সহকারী,	সহকারী,	
serup,	সেরুপ,	সেরূপ,	
homshke,	হোসকে,	হোমসকে,	
murrayir,	মুরারের,	ম্যারির,	
soshej,	সোেজ,	সসেজ,	
toroni,	তরণী,	তরণী,	
fridom,	ফ্রিডম,	ফ্রীডম,	
sangbadmadhyome,	সংবাদমধ্বে,	সংবাদমাধ্যমে,	
jhankar,	ঝনকার,	ঝঙ্কার,	
zojyota,	যোজ্যতা,	যোজ্যতা,	
ongshogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
shourshe,	সৌর্ষে,	সোর্স,	
naubihar,	নৌবিহার,	নৌবিহার,	
batikromee,	বাতিক্রমী,	ব্যতিক্রমী,	
sherup,	শেরুপ,	সেরূপ,	
osoborno,	অসবর্ন,	অসবর্ণ,	
qrisenta,	ক্রিসেট্ট,	ক্রিসেন্ট,	
chalchhee,	চলছি,	চলছে,	
kingsh,	কিংস,	কিংস,	
ishpredshhiit,	ইস্পর্শনীত,	স্প্রেডশীট,	
direektareeta,	ডিরেক্রটিত,	ডিরেক্টরেট,	
oopohoron,	উপহরণ,	অপহরন,	
vagni,	ভাগ্নী,	ভগ্নী,	
ashammatite,	আসমমাতিতে,	অসম্মতি,	
bager,	বাগের,	বাগের,	
chhaanake,	ছানাকে,	ছানাকে,	
qyathaliqa,	ক্যাথলিক,	ক্যাথলিক,	
jak,	যাক,	জাঁক,	
leta,	লেট,	ল্যাটা,	
bayshorkarikarone,	বাস্রকরীকরণে,	বেসরকারিকরণ,	
blacq,	ব্লক,	ব্ল্যাক,	
parishromi,	পরিস্রমী,	পরিশ্রমী,	
bikretara,	বিক্রেটার,	বিক্রেতারা,	
hilse,	হিলসে,	হিলসে,	
falokti,	ফলকটি,	ফলকটি,	
anisha,	অনিষ,	আনিস,	
rautine,	রাউটিন,	রুটিন,	
grameryi,	গ্রামারি,	গ্রামেরই,	
sanbadmadhyamgulote,	সংনাধ্যগগুলোতে,	সংবাদমাধ্যমগুলোতে,	
firoja,	ফিরোজ,	ফিরোজা,	
abahon,	অবহান,	আবাহন,	
ganohotyake,	গণহা্যতে,	গণহত্যাকে,	
bhabanipur,	ভবণীপুর,	ভবানীপুর,	
kalki,	কলকি,	কালকি,	
bonnypran,	বন্যুর্ণ,	বন্যপ্রাণ,	
bonovumi,	বনভূমি,	বনভূমি,	
anchalo,	অঞ্চল,	অঞ্চলও,	
messengar,	মেসেঙ্গার,	মেসেঞ্জার,	
banshite,	বাঁশিতে,	বাঁশিতে,	
bolechiley,	বলেছিলে,	বলেছিলে,	
lyaata,	ল্যাট,	ল্যাটা,	
difinishian,	ডিফিনিশিয়ান,	ডেফিনেশন,	
bipozzonok,	বিপোজজনক,	বিপজ্জনক,	
jibonnogor,	জীবন্গর,	জীবননগর,	
meloonborrone,	মেলোন্ররণে,	মেলবোর্নে,	
naper,	নাপের,	ন্যাপের,	
shomrat,	সোমররাট,	সম্রাট,	
madhumati,	মধুমতি,	মধুমতী,	
kommandar,	কমান্ডার,	কমাণ্ডার,	
shahocharje,	শাহচর্যে,	সাহচর্যে,	
expreshshion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
plainey,	প্লেইন,	প্লেনে,	
herfer,	হেফের,	হেরফের,	
beenis,	বিনিস,	ভেনিস,	
sambhabanaow,	সম্ভাবাধ,	সম্ভবনাও,	
nama,	নামা,	নমো,	
gatre,	গাত্রে,	গাত্রে,	
nagorikke,	নাগরিকে,	নাগরিককে,	
bite,	বিতে,	বাইট,	
chidropathe,	চিদ্রপথে,	ছিদ্রপথে,	
ongkita,	অঙ্কিত,	অঙ্কিতা,	
nariderke,	নারিদেরকে,	নারীদেরকে,	
kod,	কোড,	কোড,	
shithilota,	সিথিলতা,	শিথিলতা,	
sikkhaou,	শিক্ষুও,	শিক্ষাও,	
dubureer,	দুবরীর,	ডুবুরির,	
shaahocharje,	সাহাচর্যে,	সাহচর্যে,	
gandhio,	গণ্ধিয়,	গান্ধীও,	
progreshsh,	প্রোগেরস,	প্রগ্রেস,	
nirvachokder,	নির্বাচকদের,	নির্বাচকদের,	
harbourey,	হারবোরে,	হারবারে,	
sporsher,	স্পর্সের,	স্পর্শের,	
chilahati,	চিলাহতি,	চিলাহাটি,	
bonbhumi,	বনভূমি,	বনভূমি,	
mozlishpoor,	মজলশিপুর,	মজলিশপুর,	
temani,	টেমানি,	তেমনই,	
robotic,	রোবটিক,	রোবোটিক,	
kinto,	কিন্ত,	কিনত,	
ghatkey,	ঘটকে,	ঘাটকে,	
pathachari,	পথচারী,	পথচারী,	
moshan,	মোষন,	মোশন,	
machhti,	মাচটি,	মাছটি,	
samaveshke,	সমভেষকে,	সমাবেশকে,	
naobihar,	নবিহর,	নৌবিহার,	
naran,	নরন,	নরেন,	
bhaibon,	ভাইবন,	ভাইবোন,	
tookroti,	টুকরতি,	টুকরোটি,	
shumo,	সুম,	সুমো,	
monzhostho,	মঞ্যস্থ,	মঞ্চস্থ,	
mukhamandoley,	মুখান্ডলে,	মুখমণ্ডলে,	
attobishwasi,	আত্মবিশবাসী,	আত্মবিশ্বাসী,	
byapokotor,	ব্যাপকতর,	ব্যাপকতর,	
samley,	সামলে,	সামলে,	
jatotaa,	যততা,	যতোটা,	
minishter,	মিনিস্টের,	মিনিস্টার,	
kabutarer,	কাবুতারের,	কবুতরের,	
sanaktokaroner,	সনাক্তকরণের,	সনাক্তকরণের,	
muhammader,	মহমমমাদের,	মুহম্মদের,	
lutherana,	লুথারন,	লুথেরান,	
sahab,	সাহব,	সাহাব,	
sofi,	সফি,	সোফি,	
durga,	দূর্গ,	দুর্গ,	
dhyan,	ধ্যান,	ধ্যান,	
prasadhaner,	প্রসাধনের,	প্রসাধনের,	
konake,	কোনাকে,	কণাকে,	
uindoos,	উইন্ডোস,	উইন্ডোস,	
kyapasula,	ক্যাপাউল,	ক্যাপসুল,	
bosonto,	বসন্ত,	বসন্ত,	
kings,	কিংস,	কিংস,	
vandarey,	ভান্ডারে,	ভাণ্ডারে,	
progreess,	প্রোগেসস,	প্রগ্রেস,	
piora,	পিয়ার,	পিওর,	
foxer,	ফক্সের,	ফক্সের,	
songkolonti,	সংকলনটি,	সংকলনটি,	
abheedhaneeck,	অভিধানিক্স,	অভিধানিক,	
