pulse,	পালসে,	পালস,	
madla,	মাদলা,	মাদলা,	
sabrakomer,	সাবরকমের,	সবরকমের,	
aasif,	আফিফ,	আসিফ,	
haripur,	হািপুর,	হরিপুর,	
prokolpoguli,	প্রকলপগুলি,	প্রকল্পগুলি,	
bibhinno,	বিভিন্ন,	বিভন্ন,	
chomsky,	চমসকি,	চমস্কি,	
advansed,	অ্যাডভন্সেড,	অ্যাডভান্সড,	
bishwash,	বিশ্বাস,	বিশ্বাস,	
inphormation,	ইনফর্মেশন,	ইনফরমেশন,	
ghaghot,	ঘঘত,	ঘাঘট,	
tatira,	তাতিরা,	তাঁতিরা,	
taatey,	টাতে,	তাতে,	
noter,	নোটের,	নোটের,	
sushri,	শুষ্রী,	সুশ্রী,	
koilaash,	কৈলাশ,	কৈলাস,	
deubande,	ডিউবন্ডে,	দেওবন্দে,	
nathivukta,	নথিভুক্ত,	নথিভুক্ত,	
shyooter,	স্যুটের,	শ্যুটার,	
cheph,	চেফ,	শেফ,	
moricha,	মরিচা,	মরিচা,	
baarnis,	বার্নিস,	বার্নিশ,	
jeebonto,	জীবন্ত,	জীবন্ত,	
shastra,	শাস্ত্র,	শাস্ত্র,	
zacksan,	জকসন,	জ্যাকসন,	
probhuder,	প্রভূদের,	প্রভুদের,	
vugoley,	ভুগলে,	ভূগোলে,	
perry,	প্যারি,	পেরি,	
wagadada,	ভাগাদা,	বাগদাদ,	
taap,	টাপ,	ট্যাপ,	
jhalkatthi,	ঝালকাঠি,	ঝালকাঠী,	
soras,	সরাস,	সরস,	
sothik,	সথিক,	সঠিক,	
shajanor,	শাজানোর,	সাজানোর,	
vaisoho,	ভাইসহ,	ভাইসহ,	
henna,	হেন্না,	হেনা,	
namo,	নামও,	নমো,	
yeaster,	ইয়েস্টার,	ইস্টের,	
onnyorup,	অন্যরূপ,	অন্যরূপ,	
basa,	বসা,	বাসা,	
hizriite,	হিজরিতে,	হিজরীতে,	
boother,	বুঠার,	বুথের,	
chittronattokar,	চিত্রনাত্যকার,	চিত্রনাট্যকার,	
akpashe,	একপাশে,	একপাশে,	
horus,	হারাস,	হোরাস,	
ashonka,	আশঙ্ক,	আশংকা,	
surkarder,	সুরকারদের,	সুরকারদের,	
nathivookto,	নথিিকভ্ত,	নথিভুক্ত,	
madraser,	মাদরাসের,	মাদ্রাজের,	
diaraesha,	ডায়ারেস,	ডিআরএস,	
uposthitir,	উপস্থিতির,	উপস্থিতির,	
chalesi,	চালিসি,	চলেছি,	
chintai,	চিন্তাই,	ছিনতাই,	
byabaharkareeke,	ব্যবহারকারিকে,	ব্যবহারকারীকে,	
abhidhaneek,	আভিধানিক,	অভিধানিক,	
soomita,	সোমিত,	সুমিতা,	
suraarop,	সুরারপ,	সুরারোপ,	
yuqeliptas,	ইউকেলিপ্টেস,	ইউক্যালিপ্টাস,	
rob,	রব,	রব,	
hozot,	হজত,	হজত,	
yaach,	যাচ,	ইয়াক,	
bishesyer,	বিশেষ্যের,	বিশেষ্যের,	
chowdhuryo,	চৌধুর্য,	চৌধুরীও,	
hedge,	হেজ,	হেজ,	
proteemake,	প্রতিমাকে,	প্রতিমাকে,	
seguloi,	সেগুলোই,	সেগুলোই,	
sathik,	সাথিক,	সঠিক,	
byatikrami,	ব্যতিক্রমী,	ব্যতিক্রমী,	
asaborno,	অসবর্ন,	অসবর্ণ,	
jarul,	জরুল,	জারুল,	
suhasini,	সুহাসিনী,	সুহাসিনী,	
sooter,	সুতের,	শ্যুটার,	
sampadoner,	সম্পাদনের,	সম্পাদনের,	
machgulo,	মাচগুলো,	মাছগুলো,	
prokolpou,	প্রকলপু,	প্রকল্পও,	
somabesh,	সমবেশ,	সমাবেশ,	
seekkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
sohopatheekey,	সহপাঠিকে,	সহপাঠীকে,	
townshhip,	টুনশিপ,	টাউনশিপ,	
olongkaron,	অলংকরণ,	অলঙ্করণ,	
chirkoot,	চিরকুট,	চিরকুট,	
bhageroi,	ভাগেরই,	ভাগেরই,	
mookhomaundoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
rajshri,	রাজশ্রী,	রাজশ্রী,	
rohosyoti,	রহস্যটি,	রহস্যটি,	
thaakte,	থাকতে,	থাকতে,	
deilee,	দেলি,	ডেইলি,	
haipara,	হাইপার,	হাইপার,	
notunatva,	নতুনত্ব,	নতুনত্ব,	
mukkho,	মুক্ষ,	মুখ্য,	
asocietes,	অসোসিয়েট,	এসোসিয়েটস,	
mumtaj,	মমতাজ,	মুমতাজ,	
ahang,	আহং,	অহং,	
oncholgulir,	অঞ্চগুলির,	অঞ্চলগুলির,	
amiretus,	এমেরিটাস,	এমিরেটাস,	
hillser,	হিলসের,	হিলসের,	
chalachchitroke,	চলচিত্রকে,	চলচ্চিত্রকে,	
oshamorik,	আসামরিক,	অসামরিক,	
vogni,	ভগ্নী,	ভগ্নী,	
rights,	রাইটস,	রাইটস,	
udbhabone,	উদ্ভবনে,	উদ্ভাবনে,	
skirt,	স্কার্ট,	স্কার্ট,	
manushti,	মানুষটি,	মানুষটি,	
jaubanbati,	যৌবনবাতি,	যৌবনবতী,	
edaning,	এডানিং,	ইদানীং,	
muradkey,	মুরাদকে,	মুরাদকে,	
chalchhee,	চলছি,	চলছে,	
anis,	আনিস,	আনিস,	
chhatto,	ছত্ত্ব,	ছোট্ট,	
byaboharkareer,	ব্যবহারকারির,	ব্যবহারকারীর,	
prakalpatikey,	প্রকলপতিকে,	প্রকল্পটিকে,	
maahe,	মহে,	মাহে,	
prastutkarok,	প্রস্তুতকরক,	প্রস্তুতকারক,	
noditike,	নদীতিকে,	নদীটিকে,	
inapharamesana,	ইনফর্মেশন,	ইনফরমেশন,	
sadena,	সাইডন,	সাডেন,	
wishnu,	বিষ্ণু,	বিষ্ণু,	
advanced,	অ্যাডভেন্ড,	অ্যাডভান্সড,	
amittrakkhor,	অমিত্রক্ষর,	অমিত্রাক্ষর,	
shikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
chire,	চিরে,	চিরে,	
jonomukhi,	জনমুখী,	জনমুখী,	
skolastik,	স্কলাস্টিক,	স্কলাস্টিক,	
foreks,	ফরেক্স,	ফরেক্স,	
ghurechen,	ঘুরেছেন,	ঘুরেছেন,	
kor,	কোর,	কর,	
plaiin,	প্লেই,	প্লেন,	
choudhooreeo,	চৌধুরিও,	চৌধুরীও,	
playtey,	প্লেটে,	প্লেটে,	
somaazer,	সমাজের,	সমাজের,	
bhardwaj,	ভার্ডজ্যাজ,	ভরদ্বাজ,	
pirujali,	পিরুজলি,	পিরুজালী,	
onekeryi,	অনেকেরই,	অনেকেরই,	
komti,	কমটি,	কমতি,	
shatokeo,	শতকেও,	শতকেও,	
qrisenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
netsi,	নেটসি,	নাত্সি,	
zhalokatthi,	ঝালকাঠি,	ঝালকাঠী,	
location,	লোকেশন,	লোকেশন,	
concerter,	কনসার্টের,	কানসাটের,	
diyares,	ডিয়ারেস,	ডিআরএস,	
mojuter,	মজুতের,	মজুতের,	
thailandsoho,	থাইলান্ডসহ,	থাইল্যান্ডসহ,	
eidaning,	এইডনিং,	ইদানীং,	
kaptai,	কপ্টই,	কাপ্তাই,	
kampito,	কম্পিত,	কম্পিত,	
ganohatyake,	গণহত্যকে,	গণহত্যাকে,	
uparjaner,	উপারজনের,	উপার্জনের,	
nations,	নেটন্স,	নেশনস,	
windos,	উইন্ডোজ,	উইন্ডোস,	
raagkey,	রাগকে,	রাগকে,	
chhaanake,	ছানাকে,	ছানাকে,	
gauge,	গৌজ,	গেজ,	
raagei,	রাগেই,	রাগেই,	
elahabade,	এলাহাবাদে,	এলাহাবাদে,	
laiseensim,	লাইসেন্স,	লাইসেন্সিং,	
songasthatir,	সংস্থাটির,	সংস্থাটির,	
musharraf,	মুশাররফ,	মশাররফ,	
satjan,	সৎজন,	সাতজন,	
bishshash,	বিশ্বাস,	বিশ্বাস,	
credit,	ক্রিডিট,	ক্রেডিট,	
jaistha,	জৈষ্ঠ্য,	জ্যৈষ্ঠ,	
boshoborti,	বসবর্তী,	বশবর্তী,	
sbajaner,	স্বজনের,	স্বজনের,	
neeshanasa,	নেশনস,	নেশনস,	
samajik,	সামাজিক,	সামাজিক,	
deefinision,	ডেফিনিশন,	ডেফিনেশন,	
proshtotto,	প্রস্তত্ত্ব,	প্রস্ত্তত,	
chaudhurider,	চৌধুরিদের,	চৌধুরীদের,	
gorur,	গরুর,	গরুর,	
vobanir,	ভবানীর,	ভবানীর,	
cholochchitrai,	চলচিত্রই,	চলচ্চিত্রই,	
karmajog,	কর্মযোগ,	কর্মযোগ,	
varote,	ভারতে,	ভারতে,	
aabarte,	আবর্তে,	আবর্তে,	
biplobir,	বিপ্লবির,	বিপ্লবীর,	
maktum,	মকযাকুম,	মাকতুম,	
bhaibonera,	ভৈবনেরা,	ভাইবোনেরা,	
tyuner,	টিউনের,	টিউনার,	
bandhubhaabaapanna,	বন্ধুবাবপন্ন,	বন্ধুভাবাপন্ন,	
sukumaree,	সুকুমারী,	সুকুমারী,	
shobnom,	সব্নম,	শবনম,	
purohitra,	পুরোহিত্রা,	পুরোহিতরা,	
wolapuk,	ওলাপুক,	ভোলাপুক,	
qota,	কোট,	কোটা,	
bongshoke,	বংশকে,	বংশকে,	
oitijjhe,	ঐতিজ্যে,	ঐতিহ্যে,	
bolokarok,	বলকারক,	বলকারক,	
bbonyopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
rupantar,	রূপান্তর,	রুপান্তর,	
rachanakal,	রচনাকাল,	রচনাকাল,	
turkii,	টার্কী,	তুর্কি,	
debating,	ডেবরিটিং,	ডিবেটিং,	
sanbadmadhyamgulote,	সংবাধ্যমগুলোতে,	সংবাদমাধ্যমগুলোতে,	
johns,	জনস,	জন্স,	
saabbir,	সাববীর,	সাব্বির,	
siqhar,	শিখর,	শিকার,	
mugdaal,	মুগ্দাল,	মুগডাল,	
kobutorer,	কবুতরের,	কবুতরের,	
karmokerer,	কর্মকেরের,	কর্মকারের,	
dibet,	দিবিত,	ডিবেট,	
niropekkho,	নিরপক্ষ,	নিরপেক্ষ,	
anish,	আনিশ,	আনিস,	
brindabaner,	বৃণ্দবানের,	বৃন্দাবনের,	
kanooner,	কাননের,	কানুনের,	
sattweo,	সত্ত্বেও,	সত্ত্বেও,	
qirq,	কার্ক,	কার্ক,	
byatikromi,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
khudey,	খুদে,	ক্ষুদে,	
muhammad,	মুহাম্মাদ,	মুহাম্মদ,	
jeebnagore,	জীবনাগরে,	জীবননগর,	
sharifpur,	শরীপপুর,	শরিফপুর,	
shayatana,	সাইটন,	শয়তান,	
pustio,	পুষ্টিও,	পুষ্টি,	
pet,	পেট,	পেত,	
dhoka,	ঢোকা,	ধোঁকা,	
sabyastho,	সব্যস্থ,	সাব্যস্থ,	
durgandho,	দুর্ঘন্ধ,	দুর্গন্ধ,	
ovinetar,	অভিনততার,	অভিনেতার,	
daakticketer,	ডাক্তিকেটের,	ডাকটিকিটের,	
rubidiyaam,	রুবিডিয়াম,	রুবিডিয়াম,	
kanayi,	কানই,	কানাই,	
shahoshikatar,	শহশিকতার,	সাহসিকতার,	
thor,	ঠোর,	থর,	
karlosa,	কর্লসা,	কার্লোস,	
eemeergeency,	এমারজেঞ্সি,	এমার্জেন্সি,	
danab,	দনব,	দানব,	
michir,	মিচির,	মিচির,	
tigre,	টিগরে,	টাইগার,	
manabmoner,	মানবম্বনের,	মানবমনের,	
remacri,	রেমাক্রি,	রেমাক্রী,	
juktorashtrosaha,	যুক্তরস্রাসহ,	যুক্তরাষ্ট্রসহ,	
itostato,	ইতস্টাত,	ইতস্ততঃ,	
pooshtee,	পুষ্টি,	পুষ্টি,	
pravritir,	প্রভৃতির,	প্রভৃতির,	
bujhleo,	বুঝলেও,	বুঝলেও,	
phern,	ফার্ন,	ফার্ন,	
sachetonvabe,	সচেতনভাবে,	সচেতনভাবে,	
muchi,	মুচি,	মুচি,	
jolaatanko,	জলাত্নক,	জলাতঙ্ক,	
barbadoz,	বার্বাদোজ,	বার্বাডোজ,	
phulkapi,	ফুলকাপী,	ফুলকপি,	
karmakandeo,	কর্মকান্ডে,	কর্মকাণ্ডেও,	
moshion,	মশিয়ান,	মোশন,	
parqs,	পার্কস,	পার্কস,	
nilphamarir,	নীলফামারির,	নীলফামারীর,	
aaireshe,	আইরেশে,	আইরেসে,	
patenter,	পোটেন্টের,	পেটেন্টের,	
shangkulaan,	সংকুলান,	সংকুলান,	
shibraj,	শিবরাজ,	শিবরাজ,	
machhder,	মাছদের,	মাছদের,	
roomantika,	রোমান্টিক,	রোমান্টিক,	
tauki,	তৌকি,	তকি,	
badei,	বাদেই,	বাদেই,	
pooshti,	পুষ্টি,	পুষ্টি,	
taufiq,	টৌফিক,	তৌফিক,	
oichchhik,	ঐচ্ছিক,	ঐচ্ছিক,	
bosstonto,	বস্তন্ত,	বসন্ত,	
elaakaa,	এলাকা,	এলাকা,	
sabhanetree,	সভানেত্রী,	সভানেত্রী,	
anchalti,	আঞ্চলটি,	অঞ্চলটি,	
ganoparibahan,	গণপরিবহন,	গণপরিবহন,	
besharkarikarone,	বেসরকারিকরণে,	বেসরকারিকরণ,	
beshirbhaageyi,	বেশিরভাগই,	বেশিরভাগেই,	
horidbare,	হরিদবারে,	হরিদ্বারে,	
vabaponno,	ভবাপন্ন,	ভাবাপন্ন,	
sansthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
jesthotar,	জেষ্ঠ্যতার,	জ্যেষ্ঠতার,	
meloonborroner,	মেলনোরবণের,	মেলবোর্নের,	
sookkho,	সূক্ষ,	সুক্ষ্ম,	
nortoki,	নর্তকী,	নর্তকী,	
manober,	মনোবের,	মানবের,	
towbar,	তবার,	তওবার,	
janachhe,	জনাছে,	জানাচ্ছে,	
bosben,	বসবেন,	বসবেন,	
madhobike,	মাধবীকে,	মাধবীকে,	
baibosthar,	ব্যবস্থার,	ব্যবস্থার,	
pakistanira,	পাকিস্তানিরা,	পাকিস্তানীরা,	
landey,	ল্যান্ডে,	ল্যান্ডে,	
auncholo,	অঞ্চলো,	অঞ্চলও,	
sohojlovyotar,	সহজ্লভ্যতার,	সহজলভ্যতার,	
chanake,	চানকে,	ছানাকে,	
okritokarjo,	ককৃতারকর্য,	অকৃতকার্য,	
vins,	ভিংস,	ভিন্স,	
abhidhaaner,	অভিধানের,	অভিধানের,	
chalochchitrotike,	চলচ্চিত্রটিকে,	চলচ্চিত্রটিকে,	
antarktika,	অন্তর্ক্তিক,	অ্যান্টার্কটিকা,	
vabanipur,	ভবানীপুর,	ভবানীপুর,	
expresion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
darjeeling,	ডার্জিলিং,	দার্জিলিং,	
foxkon,	ফক্কন,	ফক্সকন,	
danakana,	দানাকোনা,	ডানকান,	
manushder,	মানুষদের,	মানুষদের,	
shilpojat,	শিল্পযাত,	শিল্পজাত,	
bbiswashke,	বিশ্বাসকে,	বিশ্বাসকে,	
shaajaano,	সাজানো,	সাজানো,	
robot,	রোবট,	রোবোট,	
chorban,	চর্বন,	চর্বন,	
golpokar,	গল্পকার,	গল্পকার,	
temonvabe,	তেমনভাবে,	তেমনভাবে,	
direectoratee,	ডিরেক্টরেট,	ডিরেক্টরেট,	
plasse,	প্লাসে,	প্লাসে,	
madhoboir,	মাধবের,	মাধবীর,	
ruplal,	রাপলল,	রূপলাল,	
coolin,	কুলিন,	কুলিং,	
galpokar,	গল্পকার,	গল্পকার,	
institutioney,	ইন্সটিটিউশনে,	ইনস্টিটিউশনে,	
sombhobonaow,	সম্ভাবনাও,	সম্ভবনাও,	
mulaadee,	মুলাদী,	মুলাদি,	
karmosampadan,	কর্মসম্পান,	কর্মসম্পাদন,	
jekhan,	যেখান,	যেখান,	
compact,	কমপ্যাক্ট,	কমপ্যাক্ট,	
aviyojan,	অভিযযান,	অভিযোজন,	
jonoikaa,	জননিকা,	জনৈকা,	
saazano,	সাজান,	সাজানো,	
jacksoner,	যাক্সনের,	জ্যাকসনের,	
gorer,	গরের,	গোরের,	
rajotta,	রাজত্তা,	রাজত্ব,	
rakshanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
bbosonto,	বসন্ত,	বসন্ত,	
ajeempur,	আজিমপুর,	আজিমপুর,	
sucharita,	সুচারিত,	সুচরিতা,	
rahie,	রাহি,	রাহি,	
biseshyer,	বিশেষ্যের,	বিশেষ্যের,	
templet,	টেম্পলেট,	টেম্পলেট,	
builder,	বিল্ডের,	বিল্ডার,	
pachchi,	পাঁচছি,	পাচ্ছি,	
shoreefpur,	শরীফপুর,	শরিফপুর,	
summi,	সামি,	সুমি,	
agomoner,	আগমনের,	আগমনের,	
shumo,	সুমো,	সুমো,	
ruvbla,	রুবলা,	রুবল,	
bishwanath,	বিশ্বনাথ,	বিশ্বনাথ,	
kkomatei,	কমাতেই,	কমাতেই,	
giitikobita,	গীতিকাবিতা,	গীতিকবিতা,	
maudelke,	মাউলেকে,	মডেলকে,	
yatharthabhabe,	যথার্থভাবে,	যথার্থভাবে,	
reno,	রেন,	রেনো,	
soommita,	সুমিতা,	সুমিতা,	
wenish,	ওইনিস,	ভেনিস,	
ragei,	রাগেই,	রাগেই,	
zeans,	জিনস,	জিন্স,	
shatoke,	শতকে,	শতকে,	
horidbar,	হরিদবার,	হরিদ্বার,	
jeansh,	জিনস,	জিন্স,	
motkey,	মতকে,	মতকে,	
snipar,	সিনার,	স্নাইপার,	
bondi,	বন্দি,	বন্দী,	
bhushito,	ভূষিত,	ভূষিত,	
ssahocorzo,	সাহকর্য,	সাহচর্য,	
progreshsh,	প্রগ্রেস,	প্রগ্রেস,	
miraclee,	মিরাকলে,	মিরাকেল,	
ivil,	ইভিল,	ইভিল,	
mataram,	মাতরাম,	মাতারাম,	
oncolsoho,	অন্কোহস,	অঞ্চলসহ,	
chirontan,	চিরন্তন,	চিরন্তন,	
bhenisa,	ভেনিস,	ভেনিস,	
hoeel,	হইল,	হইল,	
ceramicsh,	কারামিক্স,	সিরামিকস,	
teman,	টাইমান,	তেমন,	
korkotkrantee,	কর্কটরক্ষটি,	কর্কটক্রান্তি,	
ostad,	অষ্টাদ,	ওস্তাদ,	
shoili,	শৈলি,	শৈলী,	
sektara,	সেক্টর,	সেক্টর,	
fal,	ফল,	ফল,	
sotorkotar,	সতরকতার,	সতর্কতার,	
tiger,	টিজের,	টাইগার,	
cyanide,	ক্যানিডে,	সায়ানাইড,	
nirmaankaj,	নির্মানকাজ,	নির্মাণকাজ,	
moshjidti,	মসজিদটি,	মসজিদটি,	
kanflikt,	কানফিল্ট,	কনফ্লিক্ট,	
falah,	ফলা,	ফালাহ,	
nathibhukta,	নথিভুক্ত,	নথিভুক্ত,	
muladee,	মুলাদী,	মুলাদি,	
codee,	কোদে,	কোডে,	
damane,	দমমানে,	দমনে,	
sikar,	শিকার,	শিকার,	
shadena,	সাডেন,	সাডেন,	
pholo,	ফোলো,	পোলো,	
shangsthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
emergenci,	এমারেন্সি,	এমার্জেন্সি,	
doltyagi,	দলত্যাগী,	দলত্যাগী,	
stana,	স্টন,	স্টোন,	
patrol,	পাত্রল,	পেট্রোল,	
siite,	সিটে,	শীতে,	
nadnadir,	নদনাদির,	নদনদীর,	
transformaarer,	ট্রান্সফর্মের,	ট্রান্সফরমারের,	
maudeler,	মোদেলের,	মডেলের,	
faltir,	ফলটির,	ফলটির,	
arshie,	আর্সি,	আরসিএ,	
chatoke,	ছটকে,	ছাতকে,	
soource,	সাউর্স,	সোর্স,	
elaakatir,	এলাকাটির,	এলাকাটির,	
taki,	টাকি,	তকি,	
mesenjarer,	মেশেঞজারের,	মেসেঞ্জারের,	
oichchheek,	ঐচ্ছিক,	ঐচ্ছিক,	
koyartara,	কোর্টার,	কোয়ার্টার,	
notunatwa,	নতুনত্ব,	নতুনত্ব,	
ropto,	রপ্ত,	রপ্ত,	
kkomandar,	কমান্ডার,	কমাণ্ডার,	
sepha,	সেফ,	শেফ,	
dipke,	ডিপকে,	দ্বীপকে,	
niqela,	নিকেলা,	নিকেল,	
dayana,	ডয়ন,	ডায়না,	
kormoke,	কর্মকে,	কর্মকে,	
brekathru,	ব্রেকাার্থু,	ব্রেকথ্রু,	
asamonjasyopurno,	অসমসন্যপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
bamonder,	বামন্দের,	বামনদের,	
kokeyin,	কোেন,	কোকেইন,	
hert,	হার্ট,	হার্ট,	
bohal,	বহাল,	বহাল,	
lyaataa,	ল্যাট,	ল্যাটা,	
varotey,	ভারতে,	ভারতে,	
elakatir,	এলাকাটির,	এলাকাটির,	
meghey,	মেঘে,	মেঘে,	
mojlish,	মজলিস,	মজলিশ,	
shikshakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
jatota,	যতটা,	যতোটা,	
mosjidsoho,	মসজিদশসহ,	মসজিদসহ,	
jonsa,	জনসা,	জোন্স,	
tookror,	টুকরোর,	টুকরোর,	
daalu,	দালু,	ডালু,	
vangley,	ভাঙলে,	ভাঙলে,	
battery,	ব্যাটারি,	ব্যাটারী,	
torunderke,	তরুন্দেরকে,	তরুণদেরকে,	
aarakaner,	আরাকনের,	আরাকানের,	
chashe,	চাষে,	চেস,	
dosider,	দোীষেদের,	দোষীদের,	
miracle,	মিরাক্লে,	মিরাকেল,	
karpeta,	কর্পট,	কার্পেট,	
vumija,	ভূমিজা,	ভূমিজ,	
spreadsheet,	স্প্রেডসেট,	স্প্রেডশীট,	
seema,	সীমা,	সীমা,	
nebhate,	নেভাতে,	নেভাতে,	
nilkamol,	নীলকমল,	নীলকমল,	
as,	আস,	অস,	
neurology,	নিউরোলজি,	নিউরোলজি,	
niurolazi,	নিউরোলজি,	নিউরোলজি,	
economics,	ইকোনমিক্স,	ইকোনমিকস,	
giitikobitar,	গীতিকাবিতার,	গীতিকবিতার,	
armstronz,	আর্মট্রিজ,	আর্মস্ট্রং,	
tiuning,	টিউনিং,	টিউনিং,	
crete,	ক্রেট,	ক্রীট,	
elakaai,	এলাকাই,	এলাকাই,	
asovvo,	অসভ্ব,	অসভ্য,	
samashtigata,	সমস্তিগত,	সমষ্টিগত,	
zerusalema,	জেরুসলেম,	জেরুসালেম,	
estania,	এস্টেনিয়া,	এস্তোনিয়া,	
siddhantoo,	সিদ্নাস্তু,	সিদ্ধান্তও,	
nartakike,	নার্তকীকে,	নর্তকীকে,	
nothibhukto,	নথিভুক্ত,	নথিভুক্ত,	
kousholgoto,	কৌশলগত,	কৌশলগত,	
veemsen,	ভিমসেন,	ভীমসেন,	
jaandrel,	জান্ড্রেল,	জাঁদরেল,	
parqing,	পার্কিং,	পার্কিং,	
koro,	কোরো,	করো,	
cade,	কেড,	কোড,	
karadanda,	কারাদন্ড,	কারাদণ্ড,	
porjotoker,	পর্যতকের,	পর্যটকের,	
shulkey,	শুলকে,	শুল্কে,	
ewer,	ইভার,	এভার,	
fanding,	ফান্দিং,	ফান্ডিং,	
chaudhoorir,	চৌধুরির,	চৌধুরীর,	
kodguli,	কদগুলি,	কোডগুলি,	
gitikobita,	গীতিকািিতা,	গীতিকবিতা,	
embeda,	এম্বেড,	এম্বেড,	
ganosochetonota,	গণসাচাতন্ত্ব,	গণসচেতনতা,	
drissoi,	দৃশ্যই,	দৃশ্যই,	
guzob,	গুজব,	গুজব,	
tongaa,	টঙ্গা,	টোঙ্গা,	
korkotkraantee,	করককতরান্টি,	কর্কটক্রান্তি,	
tochnoch,	টকচনো,	তছনছ,	
neermolotaa,	নির্মলতা,	নির্মলতা,	
monhputa,	মননপুতা,	মনঃপুত,	
daada,	দাদা,	দাদা,	
sommotitey,	সম্মটিতে,	সম্মতিতে,	
patthkrom,	পাঠ্ক্রম,	পাঠক্রম,	
information,	ইনফর্মেশন,	ইনফরমেশন,	
ghoomato,	ঘুমাত,	ঘুমাতো,	
stona,	স্টন,	স্টোন,	
pleeta,	প্লেট,	প্লেট,	
rajnaitik,	রাজনৈতিক,	রাজনৈতীক,	
shasankorta,	শাসনকর্তা,	শাসনকর্তা,	
valobasakey,	ভালবাসাকে,	ভালোবাসাকে,	
bard,	বর্ড,	বার্ড,	
dayitwa,	দৈত্ব,	দায়িত্ব,	
jeesa,	জিস,	জেস,	
bishwaashshoi,	বিশ্বস্বই,	বিশ্বাসই,	
dharmee,	ধর্মী,	ধর্মী,	
nondolaal,	নন্দলাল,	নন্দলাল,	
enginiiring,	এন্জিনির,	ইঞ্জিনিয়ারিং,	
sharifer,	শরীফের,	শরিফের,	
jadrel,	জাদরেল,	জাঁদরেল,	
rajdhani,	রাজধানী,	রাজধানি,	
vault,	ভলাট,	ভল্ট,	
pouch,	পৌছ,	পাউচ,	
orthoneeti,	অর্থনীতি,	অর্থনীতির,	
doloo,	দলু,	ডলু,	
shomrat,	সমরাত,	সম্রাট,	
letter,	লেযাটের,	লেটার,	
shuparahiro,	সুপারহীর,	সুপারহিরো,	
byasalt,	ব্যাসল্ট,	ব্যাসল্ট,	
machhti,	মাছটি,	মাছটি,	
ispreedshit,	ইস্পৃদিৎ,	স্প্রেডশীট,	
gaujano,	গৌজন,	গজানো,	
beekaargrasta,	বিকারগ্রস্ট,	বিকারগ্রস্ত,	
amar,	আমার,	আমর,	
karecho,	করেছ,	করেছো,	
senabahinio,	সেনাবাহিনীয়,	সেনাবাহিনীও,	
kada,	কাদা,	কোড,	
nariikei,	নারীকেই,	নারীকেই,	
rabo,	রব,	রব,	
vejjanno,	ভেজনযন্য,	ভেজানো,	
vor,	ভোর,	ভর,	
kriseenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
bhalobasar,	ভালবাসার,	ভালোবাসার,	
shikshakke,	শিক্ষককে,	শিক্ষককে,	
lag,	লাগ,	লগ,	
dai,	দাই,	দিই,	
naphisa,	নাফিস,	নাফিসা,	
rockibul,	রকিবুল,	রকিবুল,	
jathon,	যথন,	যথন,	
nederland,	নেডারল্যান্ড,	নেদারল্যান্ড,	
torunke,	তরুণকে,	তরুণকে,	
johor,	জোহর,	জহর,	
panchashjon,	পঞ্চাশন,	পঞ্চাশজন,	
dimbacriti,	ডিম্ববৃকি,	ডিম্বাকৃতি,	
choudhooreeke,	চৌধুরিকে,	চৌধুরীকে,	
lishenshe,	লিষেন্সে,	লাইসেন্স,	
photanor,	ফোটানোর,	ফোটানোর,	
aagera,	আগেরা,	আগোরা,	
ohong,	ওহং,	অহং,	
prodip,	প্রদিপ,	প্রদীপ,	
aminar,	আমিনার,	আমিনার,	
halloween,	হলিউইন,	হ্যালোইন,	
aameenar,	আমিনার,	আমিনার,	
machsaho,	মাসহা,	মাছসহ,	
shenior,	সেনিয়ার,	সিনিয়র,	
jyestthotar,	জ্যাস্থতার,	জ্যেষ্ঠতার,	
heze,	হেজে,	হেজ,	
mojlishpur,	মজলিশপুর,	মজলিশপুর,	
liseens,	লিসেন্স,	লাইসেন্স,	
durgondho,	দুর্ঘন্ধ,	দুর্গন্ধ,	
patthkromer,	পাঠক্রমের,	পাঠক্রমের,	
mukhomaundol,	মুখমন্ডল,	মুখমণ্ডল,	
platoo,	প্লাটো,	প্লেটো,	
plack,	প্লক,	প্ল্যাক,	
krema,	ক্রেম,	ক্রাইম,	
heris,	হারিস,	হ্যারিস,	
mojdoor,	মজদুর,	মজদুর,	
ayantarqatiqa,	অ্যান্টররেকটিক,	অ্যান্টার্কটিকা,	
byabaharkaree,	ব্যবহারকারি,	ব্যবহারকারী,	
patiganit,	পতিগািত,	পাটিগণিত,	
dhas,	ধাস,	ধস,	
somabeshke,	সমবেশকে,	সমাবেশকে,	
