durgotsave,	দুর্গতভাবে,	দুর্গোৎসবে,	
siddhantogulo,	স্দ্ধানতা্গুলো,	সিদ্ধান্তগুলো,	
cade,	ক্যাড,	কোড,	
sontoshpur,	সন্তঃসপুর,	সন্তোষপুর,	
amitrakkhor,	অমিত্রাক্ষর,	অমিত্রাক্ষর,	
gonjona,	গঞ্জনা,	গঞ্জনা,	
bivonno,	বিভন্ন,	বিভন্ন,	
krej,	ক্রেজ,	ক্রেজ,	
abdoone,	আবদুনে,	আবদুন,	
jubokera,	যুবকেরা,	যুবকেরা,	
jamanor,	জামানোর,	জমানোর,	
arthanitir,	অর্থনীতির,	অর্থনীতির,	
manaber,	মানবের,	মানবের,	
songasthaner,	সংস্থানের,	সংস্থানের,	
kanai,	কানাই,	কানাই,	
cheerontan,	চিরত্তন,	চিরন্তন,	
tottorat,	তত্তরবাত,	তওরাত,	
temonti,	টেমনটি,	তেমনটি,	
pitthey,	পিঠে,	পীঠে,	
bibhonno,	বিভন্ন,	বিভন্ন,	
taunashipa,	তওনশিপ,	টাউনশিপ,	
venishh,	ভেনিস,	ভেনিস,	
orhan,	ওরহান,	ওরহান,	
akkash,	একাশ,	আককাস,	
superheroo,	সুপেরহারো,	সুপারহিরো,	
kk,	কিক,	কেকে,	
hajaribag,	হাজাবারাগ,	হাজারিবাগ,	
bharma,	ভর্মা,	ভার্মা,	
gondho,	গন্ধ,	গন্ধ,	
sharifer,	শরীফের,	শরিফের,	
longhon,	লঙ্ঘন,	লংঘন,	
turqi,	টার্কি,	তুর্কি,	
hughke,	হাইকে,	হিউজকে,	
neelkuthir,	নিলকীুুথির,	নীলকুঠির,	
agamanke,	এগামানকে,	আগমনকে,	
anchalti,	অঞ্চলতি,	অঞ্চলটি,	
slok,	শ্লোক,	শ্লোক,	
lisens,	লিসেন্স,	লাইসেন্স,	
godabari,	গদাবারী,	গোদাবরী,	
mascat,	মস্কট,	মাস্কাট,	
phartha,	ফার্থ,	ফার্থ,	
seekkhokder,	শিক্ষকদের,	শিক্ষকদের,	
samabesh,	সমাবেশ,	সমাবেশ,	
laboni,	লাবণী,	লাবনী,	
obosan,	অবশান,	অবসান,	
pisach,	পিসা,	পিশাচ,	
aarke,	আরকে,	আরকে,	
muscat,	মাস্কাট,	মাস্কাট,	
neshanasa,	নেশানাস,	নেশনস,	
ministerer,	মিনিস্টারের,	মিনিস্টারের,	
khaneker,	খানেকের,	খানেকের,	
danaber,	দানাবের,	দানবের,	
shiropar,	শিরপর,	শিরোপার,	
aunti,	আউনটি,	আন্টি,	
nirapekkhotar,	নিরপ্্েেকাতার,	নিরপেক্ষতার,	
probeshan,	প্রবেশন,	প্রবেশন,	
macho,	মাচো,	মাছও,	
seat,	স্টা,	সিট,	
natshi,	নাটসি,	নাত্সি,	
graambashi,	গ্রামবাসী,	গ্রামবাসী,	
imirgincy,	এমিরিজ্ঞ্জিন,	এমার্জেন্সি,	
unhu,	ইউহু,	উঁহু,	
gage,	গেগ,	গেজ,	
alexander,	আলেক্সান্ডার,	আলেকজান্ডার,	
koota,	কোটা,	কোটা,	
vugten,	ভুগতেন,	ভুগতেন,	
serup,	শেরুপ,	সেরুপ,	
ting,	টিং,	টিং,	
cyphy,	সাফি,	সাইফাই,	
sanstha,	সংস্থা,	সংস্থা,	
jathaartho,	যথার্থ,	যথার্থ,	
abhidhanik,	আভিধানিক,	অভিধানিক,	
carzar,	কার্যার,	চার্জার,	
prasadhoner,	প্রসাধানের,	প্রসাধনের,	
popke,	পপকে,	পোপকে,	
anchaltitey,	অঞ্চলতিতে,	অঞ্চলটিতে,	
second,	সেকন্ড,	সেকেণ্ড,	
muhurtati,	মুহূর্তাটি,	মুহুর্তটি,	
quartar,	কোর্টার,	কোয়ার্টার,	
fanse,	ফাঁসে,	ফাঁসে,	
graambaasio,	গ্রামবাসীয়,	গ্রামবাসীও,	
talal,	তললল,	তালাল,	
nathivooktir,	নথিভুক্তির,	নথিভুক্তির,	
seekkhaou,	শিক্ষাও,	শিক্ষাও,	
eenjeel,	ইঞ্জেল,	ইঞ্জিল,	
gajiipur,	জাজীপুর,	গাজীপুর,	
bonsho,	বংশ,	বংশ,	
choopi,	চুপি,	চুপি,	
jibnagore,	জীবনাগুরে,	জীবননগর,	
zoneete,	যোনিতে,	যোনীতে,	
chomski,	চমকাি,	চমস্কি,	
ispredshiit,	ইস্প্রেডিং,	স্প্রেডশীট,	
nojder,	নজদের,	নজদের,	
azim,	আজিম,	আজিম,	
ayantarketika,	অ্যান্টরেকিক,	অ্যান্টার্কটিকা,	
bagach,	বাগাচ,	বটগাছ,	
sachetanbhabe,	সাচেতনাভাবে,	সচেতনভাবে,	
aamor,	আমর,	আমর,	
pratisthasoho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
jahns,	জাহস,	জন্স,	
jibanta,	জীবন্ত,	জীবন্ত,	
kanagulo,	কানাগুলো,	কণাগুলো,	
vobanipur,	ভবানীপুর,	ভবানীপুর,	
lesensim,	লেসেংশিং,	লাইসেন্সিং,	
vorodwaj,	ভররদাজ,	ভরদ্বাজ,	
aakkaash,	আককাশ,	আককাস,	
rejidensh,	রেজিডেন্স,	রেসিডেন্স,	
bunat,	বুনত,	বুনট,	
jhankar,	ঝাঁকার,	ঝঙ্কার,	
dhanyi,	ধানই,	ধন্যি,	
janosonjog,	জনসংযোগ,	জনসংযোগ,	
drissotir,	দৃশ্যটির,	দৃশ্যটির,	
dolguloo,	দলগুলো,	দলগুলোও,	
atma,	আত্মা,	আত্ম,	
silwar,	শিলভার,	সিলভার,	
teenti,	তিনটি,	তিনটি,	
nischitorupey,	নিশ্চিত্রূপে,	নিশ্চিতরূপে,	
dhaleshwari,	ধালেশ্বরী,	ধলেশ্বরী,	
dhhaaby,	ঢাবি,	ঢাবি,	
bbiswashi,	বিশ্বাসী,	বিশ্বাসই,	
armstranj,	আর্মৃত্জ,	আর্মস্ট্রং,	
uuipokar,	উইপাকার,	উইপোকার,	
tenis,	টেনিস,	টেনিস,	
teteyer,	টেটের,	টেটের,	
falashruti,	ফলাশ্রুতি,	ফলশ্রুতি,	
sampadankari,	সম্পাদকারণারী,	সম্পাদনকারী,	
prodan,	প্রদান,	প্রদাণ,	
mautke,	মাটকে,	মতকে,	
varma,	ভর্মা,	ভার্মা,	
sheekarke,	শিকারকে,	শিকারকে,	
godamjato,	গদমাজত,	গুদামজাত,	
eder,	এদের,	এদের,	
sthaponake,	স্থাপনাকে,	স্থাপনাকে,	
timothi,	তিমথি,	টিমোথি,	
sita,	সীতা,	সিট,	
gabhaskar,	গভাষকরা,	গাভাস্কার,	
jamjomat,	জমজ্মাট,	জমজমাট,	
digri,	ডিগ্রী,	ডিগ্রি,	
jokrit,	যকৃত,	যকৃৎ,	
mokhmoley,	মক্ষমলে,	মখমলে,	
pacbar,	পাকবার,	পাঁচবার,	
aunty,	আ্যান্টি,	আন্টি,	
cannel,	ক্যানেল,	ক্যানেল,	
parinoti,	পরিনতি,	পরিণতি,	
baireyo,	বৈরেও,	বাইরেও,	
adhyattikota,	আধ্যাত্তকাা,	আধ্যাত্মিকতা,	
totenhamer,	টোটেনহাযামের,	টটেনহামের,	
mach,	মাচ,	মাছ,	
beshirbhaagi,	বেশীরভাগই,	বেশিরভাগই,	
edaning,	এডাননিং,	ইদানিং,	
juktorastre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
shatjoner,	সৎজনের,	সাতজনের,	
modelke,	মোদেলকে,	মডেলকে,	
bosontey,	বসন্তে,	বসন্তে,	
sumita,	সুমিটা,	সুমিতা,	
dwipke,	দ্বীপকে,	দ্বীপকে,	
soorarop,	সুরারপ,	সুরারোপ,	
neemeette,	নিমিত্যে,	নিমিত্তে,	
dreestiheen,	দ্রিস্টিহীন,	দৃষ্টিহীন,	
bhadaka,	ভাডকা,	ভদকা,	
jeshtha,	জেষ্ঠ,	জ্যেষ্ঠা,	
hisaber,	হিসাবের,	হিসাবের,	
parqa,	পার্ক,	পার্ক,	
aachees,	আচিশ,	আছিস,	
ponni,	পন্য,	পন্নী,	
kartana,	কর্তন,	করতনা,	
baharamapurer,	বহরামপুরের,	বহরমপুরের,	
prabhuder,	প্রভাদের,	প্রভুদের,	
kingdam,	কিংডম,	কিংডম,	
ddheke,	ঢেঁকে,	ঢেকে,	
bidrup,	বিদ্রুপ,	বিদ্রূপ,	
shajano,	সাজান,	সাজানো,	
qlauda,	ক্লাউড,	ক্লাউড,	
siiter,	সীটার,	শীতের,	
modhumotii,	মধুমতি,	মধুমতী,	
pakhirai,	পাখিরাই,	পাখিরাই,	
toubaar,	তৌবার,	তওবার,	
sarbhaarti,	সর্ভার্তী,	সার্ভারটি,	
golakritir,	গোলাকৃতির,	গোলাকৃতির,	
shikkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
norfolk,	নরফল,	নরফোক,	
tiunar,	টিউনার,	টিউনার,	
iceberg,	ইসেবার্গ,	আইসবার্গ,	
muhommoder,	মুহম্মদের,	মুহম্মদের,	
alankorana,	আল্কনররাণা,	অলঙ্করণ,	
monohputa,	মনহপূতা,	মনঃপুত,	
rohosyo,	রহস্য,	রহস্য,	
pala,	পালা,	পোলো,	
oojbekistaner,	উব্যককষ্টানের,	উজবেকিস্তানের,	
antarktikar,	অন্তর্কীতার,	অ্যান্টার্কটিকার,	
kanuner,	কানুনের,	কানুনের,	
durgotsav,	দুর্গতস্ব,	দুর্গোৎসব,	
namo,	নামো,	নমো,	
inziniyarim,	ইন্জিিরিয়াম,	ইঞ্জিনিয়ারিং,	
siddhantei,	সিদ্ানন্তেই,	সিদ্ধান্তেই,	
heje,	হেজে,	হেজ,	
madhobike,	মাধবীকে,	মাধবীকে,	
temanbhabe,	টেমনভাবে,	তেমনভাবে,	
nagoriker,	নাগরিকের,	নাগরিকের,	
eexpreession,	এক্সপ্রেশন,	এক্সপ্রেশন,	
moshzidtir,	মস্জিদিত্তির,	মসজিদটির,	
everest,	ইভারেস্ট,	এভারেস্টে,	
shorifpur,	শরীপুর,	শরিফপুর,	
graambaaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
kabutorer,	কাবুতরের,	কবুতরের,	
deputy,	ডেপুটি,	ডেপুটি,	
ganjana,	গঞ্জননা,	গঞ্জনা,	
chondrima,	চন্দ্রিমা,	চন্দ্রিমা,	
abarta,	আবর্তা,	আবর্ত,	
platey,	প্লেট,	প্লেটে,	
jaadrel,	জাদ্রেল,	জাঁদরেল,	
nikela,	নিকেলা,	নিকেল,	
silvee,	সিলভি,	সিলভি,	
highcommissionay,	হাইকমিশনে,	হাইকমিশনে,	
halloween,	হলযাওল,	হ্যালোইন,	
itostato,	ইটসসটট,	ইতস্ততঃ,	
gor,	গর,	গোর,	
sheema,	সেমা,	সীমা,	
byboshthar,	ব্যবস্থার,	ব্যাবস্থার,	
patthkromer,	পাঠ্ক্রমের,	পাঠক্রমের,	
booroon,	বরুন,	বোরন,	
thaken,	থাকেন,	থাকেন,	
shomostike,	সমস্তিতেকে,	সমষ্টিকে,	
raunanganey,	রওনাঙ্গনে,	রণাঙ্গনে,	
heawy,	হেও,	হেভি,	
restuarant,	রেস্টুরেন্ট,	রেষ্টুরেন্ট,	
parikha,	পরিক্ষা,	পরিখার,	
swartha,	স্বর্থ,	স্বার্থ,	
progresh,	প্রগ্রেস,	প্রগ্রেস,	
tyuner,	টিউনের,	টিউনার,	
hatochakito,	হটচাকিত,	হতচকিত,	
choiti,	চৈতি,	চৈতি,	
sangasthati,	সংস্থাটটি,	সংস্থাটি,	
skalastic,	স্কলাাক্টিস,	স্কলাস্টিক,	
vittimul,	ভিত্তমমুল,	ভিত্তিমূল,	
engineerin,	ইঞ্জিনারীন,	ইঞ্জিনিয়ারিং,	
chetanagato,	চেতাতাগত,	চেতনাগত,	
mosharroph,	মোশাররফ,	মশাররফ,	
elgoridom,	এলগারিডম,	এলগরিদম,	
beam,	বিম,	বিম,	
navel,	নাভেল,	নভেল,	
soundarjya,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
inphormeshon,	ইনফর্মেশন,	ইনফরমেশন,	
temone,	টেমনে,	তেমনই,	
oitihya,	ঐতিহ্য,	ঐতিহ্য,	
lokeson,	লোকেশন,	লোকেশন,	
nutoner,	নতুনের,	নূতনের,	
matthews,	ম্যাথেউ,	ম্যাথিউস,	
kamla,	কমলা,	কামলা,	
amshtrong,	আমস্ট্র,	আর্মস্ট্রং,	
sangosthatike,	সংস্থাটিকে,	সংস্থাটিকে,	
osshoshtikor,	অস্বস্তির,	অস্বস্তিকর,	
rupart,	রূপার্ট,	রুপার্ট,	
breaqthrough,	ব্রিক্রোহ্,	ব্রেকথ্রু,	
digreer,	ডিগ্রীর,	ডিগ্রির,	
pratimar,	প্রতিমার,	প্রতিমার,	
bondiike,	বন্দিকে,	বন্দীকে,	
ewil,	ইউইল,	ইভিল,	
karle,	কালে,	করলে,	
sanghar,	সংঘার,	সংহার,	
dorjee,	দর্জি,	দরজি,	
valobasakey,	ভালবাসকে,	ভালোবাসাকে,	
geja,	গেজ,	গেজ,	
rizur,	রিজুর,	রিজুর,	
ganachiner,	গণচানিনের,	গণচীনের,	
michilti,	মিচিল্টি,	মিছিলটি,	
ghaghat,	ঘাঘট,	ঘাঘট,	
debete,	দেবেতে,	ডিবেট,	
pratisthanikvabey,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
konroop,	কনরূপ,	কোনরূপ,	
silbar,	শিলবার,	সিলভার,	
debdebi,	দেবদিবি,	দেবদেবী,	
jacksonke,	যককষণকে,	জ্যাকসনকে,	
graameroi,	গ্রামেরও,	গ্রামেরই,	
siddhantey,	সিদ্ানন্তে,	সিদ্ধান্তে,	
ekatto,	একাত্ব,	একাত্ব,	
oitijhya,	ঐতিহ্য,	ঐতিহ্য,	
shantaa,	সাঁতা,	সান্তা,	
brindaboner,	বৃণ্বদনের,	বৃন্দাবনের,	
heriken,	হ্রিকেন,	হ্যারিকেন,	
jetei,	জেতেই,	যেতেই,	
ekaar,	একার,	একার,	
karecho,	করেচ,	করেছ,	
nikoter,	নিকটের,	নিকটের,	
drishi,	ড্রিস,	দৃশ্যই,	
provuder,	প্রভাদের,	প্রভুদের,	
transformerer,	ট্রান্সমম্রারের,	ট্রান্সফরমারের,	
mozdoor,	মজ্ুর,	মজদুর,	
apadan,	আপাদান,	অপাদান,	
sone,	সোন,	সনে,	
proteesthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
buth,	বুঠ,	বুথ,	
sangbadmadhyamer,	সংবাদমাধামের,	সংবাদমাধ্যমের,	
banger,	ব্যাঙ্গের,	ব্যাঙের,	
patthon,	পাঠন,	পঠন,	
chainge,	চ্যাং,	চেঞ্জ,	
agomonke,	এগমনকে,	আগমনকে,	
daankaan,	ডানকান,	ডানকান,	
atak,	অ্যাটাক,	আটক,	
kindama,	কিন্দম,	কিংডম,	
nafisa,	নফিস,	নাফিসা,	
brittakare,	বৃত্যাকারে,	বৃত্তাকারে,	
timathy,	তিমাহী,	টিমোথি,	
ghamtaa,	ঘামটা,	ঘোমটা,	
siddhantai,	সিদ্ানন্তাই,	সিদ্ধান্তই,	
sambhabanaow,	সম্ভাবনাও,	সম্ভবনাও,	
bosontokey,	বসন্তকে,	বসন্তকে,	
bhowanipur,	ভবানীপুর,	ভবানীপুর,	
khudey,	খুদে,	ক্ষুদে,	
bhaibonder,	ভাইবন্দের,	ভাইবোনদের,	
provritir,	প্রভৃতির,	প্রভৃতির,	
phoster,	ফসস্টার,	ফস্টার,	
lokshero,	লক্ষেরও,	লক্ষেরও,	
ghatir,	ঘটির,	ঘাটির,	
koyeeri,	কওয়ারি,	কোয়েরি,	
bashoborty,	বাসবর্তী,	বশবর্তী,	
patishapta,	পটিশো্পাত,	পাটিসাপটা,	
karu,	করু,	কারু,	
anisa,	অনিস,	আনিস,	
latimer,	লািটের,	লাটিমের,	
shivraj,	শিবরাজ,	শিবরাজ,	
tuneta,	টুনেট,	টুনাইট,	
saabyastha,	সাব্যস্থা,	সাব্যস্থ,	
lutheerana,	লুথিরানা,	লুথেরান,	
dinar,	ডিনার,	ডিনার,	
boonot,	বুনত,	বুনট,	
raktaksharaney,	রক্তরস্তরণে,	রক্তক্ষরণে,	
utshahe,	উৎসাহে,	উৎসাহে,	
safiin,	সেফিন,	সাফিন,	
proshikkhane,	প্রশিক্ষণে,	প্রশিক্ষণে,	
kyamone,	ক্যামনে,	কেমনে,	
tarunderke,	তারুণ্ডেরকে,	তরুণদেরকে,	
recondishon,	রেকন্ডনিশন,	রিকন্ডিশন,	
songasthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
hafej,	হাফেজ,	হাফেয,	
awatara,	অওতরা,	অবতার,	
joubanboti,	যৌবন্তবি,	যৌবনবতী,	
vogno,	ভগ্ন,	ভগ্ন,	
adhyattik,	আধ্যাত্বিক,	আধ্যাত্মিক,	
lumbini,	লুমবিনী,	লুম্বিনী,	
shtona,	স্টোনা,	স্টোন,	
karkatkranti,	কর্কার্টনরটি,	কর্কটক্রান্তি,	
brekathru,	ব্কেকারহারু,	ব্রেকথ্রু,	
bhaangchur,	ভাঙচুর,	ভাংচুর,	
ukeliptash,	উকেলিপ্টেস,	ইউক্যালিপ্টাস,	
dey,	দে,	ডে,	
swarnali,	স্বর্নালী,	স্বর্ণালী,	
zilyanda,	জিল্যান্ড,	জিল্যান্ড,	
shhyutara,	শিটুরা,	শ্যুটার,	
jarusalem,	জরুসলাম,	জেরুসালেম,	
meghey,	মেঘে,	মেঘে,	
madhuree,	মাধুরাই,	মাধুরী,	
monu,	মনু,	মনু,	
prity,	প্রিতি,	প্রিটি,	
purohitra,	পুরোহিত্র,	পুরোহিতরা,	
ohong,	অহং,	অহং,	
ase,	আসে,	আসে,	
khijir,	খিজির,	খিজির,	
batsmani,	বৎসমানি,	ব্যাটসম্যানই,	
elakaate,	এলাকাতে,	এলাকাতে,	
napper,	নাপের,	ন্যাপের,	
moushumti,	মৌশুম্তী,	মৌসুমটি,	
biswash,	বিশ্বাস,	বিশ্বাস,	
pingna,	পিঙ্গন,	পিংনা,	
karlosha,	করলসো,	কার্লোস,	
parkasa,	পার্কস,	পার্কস,	
phiqsa,	ফিক্স,	ফিক্স,	
pramathesh,	প্রমাঠেশ,	প্রমথেশ,	
safalyer,	সফলাযের,	সাফল্যের,	
gudamjato,	গুদম্জজত,	গুদামজাত,	
votar,	ভোটর,	ভোটার,	
saphalyar,	সফলাযার,	সাফল্যের,	
ganohotyar,	গণহত্যার,	গণহত্যার,	
johny,	জন্য,	জনি,	
janosomaj,	জনসমাজ,	জনসমাজ,	
siramiqasa,	সিরামিকাশা,	সিরামিকস,	
makhmoley,	মাখমলে,	মখমলে,	
tali,	টালি,	তালি,	
shaddhi,	সদ্ধি,	সাধ্বী,	
rigthter,	রিগতের,	রাইটের,	
toroni,	তররণী,	তরণী,	
ponchashjon,	পঞ্চাশনন,	পঞ্চাশজন,	
kansat,	কাঁসাত,	কানসাট,	
oitijjer,	ঐতিজ্যের,	ঐতিহ্যের,	
ispredseet,	ইস্প্রেডেস,	স্প্রেডশীট,	
thatcher,	ঠাচের,	থ্যাচার,	
stone,	স্তনে,	স্টোন,	
joonsa,	জোনসা,	জোন্স,	
majdur,	মাজদুর,	মজদুর,	
nyeta,	ন্যাট,	ম্যাট,	
sabchey,	সবচে,	সবচে,	
shikkhao,	শিক্ষাও,	শিক্ষাও,	
turkyder,	তুর্কীদের,	তুর্কিদের,	
zerusalem,	জ্রাসেলাম,	জেরুসালেম,	
kodorer,	কদরের,	কদরের,	
alkatra,	আল্কাত্র,	আলকাতরা,	
haitasa,	হাইটাস,	হাইটস,	
deliver,	ডেলেভের,	ডেলিভার,	
bijit,	বিজিত,	বিজিত,	
vatar,	ভাটার,	ভাতার,	
bhaskor,	ভাষ্কোর,	ভাস্কর,	
uthe,	উঠে,	উঠে,	
manonitader,	মনানিতাদের,	মনোনীতদের,	
grambashee,	গ্রামবাসী,	গ্রামবাসী,	
drishyogulote,	দৃশ্যুগলতে,	দৃশ্যগুলোতে,	
shift,	সিফট,	শিফট,	
swatantrata,	স্বতত্ত্রা,	স্বতন্ত্রতা,	
valobase,	ভালবাসে,	ভালোবাসে,	
muktume,	মুক্তমে,	মাকতুম,	
esiyatika,	এসিয়াটিক,	এশিয়াটিক,	
bhangley,	ভাঙলে,	ভাঙলে,	
saajanor,	সাজানোর,	সাজানোর,	
praapokke,	প্রাপককে,	প্রাপককে,	
jyaka,	জ্যাক,	জ্যাক,	
harbore,	হরবোরে,	হারবারে,	
afzal,	আফজাল,	আফজল,	
sikkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
bhange,	ভঙ্গে,	ভাঙ্গে,	
dhyanostha,	ধ্যনস্থ,	ধ্যানস্থ,	
lendl,	লেন্ড,	লেন্ডল,	
braille,	ব্রেল,	ব্রেইল,	
iyaqa,	এয়াক,	ইয়াক,	
jiland,	জিল্যান্ড,	জিল্যান্ড,	
dakteekit,	ডক্্িিটিক,	ডাকটিকিট,	
ghotleo,	ঘটলেও,	ঘটলেও,	
prodeeper,	প্রদিপের,	প্রদীপের,	
janaar,	জানার,	জানার,	
homshke,	হমশকে,	হোমসকে,	
gostheeti,	গস্ঠীতি,	গোষ্ঠীটি,	
jeebnagore,	জীবনাগুরে,	জীবননগর,	
rakkhanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
saajano,	সাজান,	সাজানো,	
muradkey,	মুরাদকে,	মুরাদকে,	
vittiow,	ভিটিও,	ভিত্তিও,	
dharagulor,	ধারাগুলোর,	ধারাগুলোর,	
maadhoori,	মাধুরি,	মাধুরী,	
aanhu,	আনহু,	আনহু,	
mail,	মেল,	মাইল,	
rohasyer,	রহহায্যের,	রহস্যের,	
asamanjashapurna,	অসমাস্নগূর্ণ,	অসামঞ্জস্যপূর্ণ,	
shapod,	সাপদ,	শ্বাপদ,	
stonehenge,	স্ট্যানেন্জ,	স্টোনহেঞ্জ,	
sadeena,	সাদেনা,	সাডেন,	
tonight,	টনিাইট,	টুনাইট,	
modelin,	মোদেলিন,	মডেলিং,	
townsip,	টনসিং,	টাউনশিপ,	
baharampoorer,	বহরামপুরের,	বহরমপুরের,	
heavi,	হেভি,	হেভি,	
aabarto,	আবররত,	আবর্ত,	
groowth,	গ্রুথ,	গ্রোথ,	
gazipore,	জািজপুরে,	গাজিপুর,	
preety,	প্রিতি,	প্রিটি,	
dubaate,	দুবাতে,	ডুবাতে,	
show,	শো,	শো,	
jaki,	যাকি,	জকি,	
neck,	নেক,	নেক,	
uper,	উপের,	আপের,	
pronoti,	প্রণোতি,	প্রণতি,	
songbadmadhyomer,	সংবাদমাধামের,	সংবাদমাধ্যমের,	
bondi,	বন্ডি,	বন্দী,	
pothnatok,	পঠনতাক,	পথনাটক,	
ibhaner,	ইভানের,	ইভানের,	
pracharanamulak,	প্রচারণামূলক,	প্রচারণামূলক,	
bishesyer,	বিশেষের,	বিশেষ্যের,	
merjito,	মের্জিত,	মার্জিত,	
sakshatkarer,	সাক্ষাৎকারের,	সাক্ষাৎকারের,	
saoum,	সাম,	সাওম,	
pravura,	প্রভূরা,	প্রভুরা,	
homesh,	হোমেশ,	হোমস,	
amorendro,	অমরেন্দ্র,	অমরেন্দ্র,	
juktarashtrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
arthanitike,	অর্থনীতিকে,	অর্থনীতিকে,	
ankita,	অংকিত,	অঙ্কিতা,	
judhahato,	যুদ্ধাহত,	যুদ্ধাহত,	
footonto,	ফুটন্ত,	ফুটন্ত,	
jworer,	জ্যরের,	জ্বরের,	
zesa,	জেস,	জেস,	
muhammad,	মুহাম্মাদ,	মুহাম্মদ,	
mahey,	মহে,	মাহে,	
phimel,	ফিমেল,	ফিমেল,	
jilyand,	জিল্যান্ড,	জিল্যান্ড,	
heedgee,	হেজ,	হেজ,	
vobtarini,	ভব্তরীনী,	ভবতারিণী,	
nuhas,	নুহাস,	নুহাশ,	
abheedhaanic,	অভিধানিক,	অভিধানিক,	
epiela,	এপিলে,	আইপিএল,	
oshamonjosshoporno,	অসমাসন্গর্ন,	অসামঞ্জস্যপূর্ণ,	
tobey,	টবে,	টবে,	
mohasova,	মহাসভা,	মহাসভা,	
ispredsit,	ইস্প্রেডিং,	স্প্রেডশীট,	
graambaasheeo,	গ্রামবাসী,	গ্রামবাসীও,	
choudhureeo,	চৌধুরিও,	চৌধুরীও,	
ruby,	রুবি,	রুবি,	
soasage,	সুসাগে,	সসেজ,	
musalmanderke,	মুসামম্দলরে,	মুসলমানদেরকে,	
neeshanasa,	নেশানাস,	নেশনস,	
elaakaate,	এলাকাতে,	এলাকাতে,	
istan,	ইস্টান,	স্টোন,	
natsi,	নাটসি,	নাত্সি,	
bhalobasar,	ভালবাসার,	ভালোবাসার,	
sanbadmadhyame,	সংবোদমধ্যমে,	সংবাদমাধ্যমে,	
ajeempoor,	আজিমপুর,	আজিমপুর,	
bukhari,	বুখারী,	বুখারি,	
germanyteo,	জার্মানিতেও,	জার্মানিতেও,	
bishwash,	বিশ্বাস,	বিশ্বাস,	
sukumaree,	সুকুমারি,	সুকুমারী,	
chakti,	চাকটি,	চাকতি,	
sanaktokaraner,	সাক্ষণকরণের,	সনাক্তকরণের,	
aaeereshe,	আইরেশে,	আইরেসে,	
bbiswash,	বিশ্বাস,	বিশ্বাস,	
spostotoi,	স্পষ্টতটই,	স্পষ্টতই,	
marodeho,	মাদরেহ,	মরদেহ,	
kemane,	কেমনে,	কেমনে,	
concerter,	কনসার্টের,	কানসাটের,	
ohang,	ওহাং,	অহং,	
zeebonjapon,	জীবনজাপন,	জীবনযাপন,	
monjiley,	মঞ্জিলে,	মঞ্জিলে,	
sectar,	সেক্টর,	সেক্টর,	
conflikt,	কনফিলিক্ট,	কনফ্লিক্ট,	
kona,	কোণা,	কোনা,	
amittrakkhor,	অমিত্রাক্ষর,	অমিত্রাক্ষর,	
atok,	অটক,	আটক,	
iispredshiit,	ইস্প্রেস্টিড,	স্প্রেডশীট,	
cholochchitra,	চলচিত্র,	চলচ্চিত্র,	
uttar,	উত্তর,	উওর,	
muhamad,	মুহামদ,	মুহাম্মদ,	
meetropolitan,	মিত্রোপিলান,	মেট্রোপলিটন,	
shefard,	সেফার্ড,	শেফার্ড,	
vandare,	ভান্ডারে,	ভাণ্ডারে,	
marqetim,	মার্কেটিং,	মার্কেটিং,	
taatey,	তাঁটে,	তাতে,	
skara,	স্কারা,	স্কোর,	
brekthrough,	ব্রেক্রোথ,	ব্রেকথ্রু,	
nathibhukta,	নথিভুক্ত,	নথিভুক্ত,	
kande,	কাঁদে,	কাণ্ডে,	
sonatani,	সোনাতনই,	সনাতনী,	
meshenger,	মেসেঙ্গের,	মেসেঞ্জার,	
bharote,	ভারতে,	ভারতে,	
prachin,	প্রাচিন,	প্রাচীন,	
gotihin,	গতিহীন,	গতিহীন,	
giitikobita,	গীতিবিত্ব,	গীতিকবিতা,	
varpur,	বারপুর,	ভরপুর,	
ebhara,	ইভার,	এভার,	
nevatey,	নেভাতে,	নেভাতে,	
plak,	প্লক,	প্ল্যাক,	
narsari,	নার্সারী,	নার্সারি,	
ciima,	সীম,	সীমা,	
hajeerhat,	হাজিরহাট,	হাজিরহাট,	
khorshed,	খর্ষদে,	খোরশেদ,	
aairese,	আইরেশে,	আইরেসে,	
praapoker,	প্রাপকের,	প্রাপকের,	
masjidtikey,	মস্্িদিটকে,	মসজিদটিকে,	
asammati,	অসমামটি,	অসম্মতি,	
fala,	ফললা,	পোলো,	
chirokoomari,	চিরকমূরারী,	চিরকুমারী,	
kor,	কোর,	কর,	
