duburyra,	দুবুরীরা,	ডুবুরিরা,	
musalmanderke,	মুসাস্নাদ্রকে,	মুসলমানদেরকে,	
asociates,	অসুসিটেস,	এসোসিয়েটস,	
nickel,	নিক্যাল,	নিকেল,	
teuning,	টিউনিং,	টিউনিং,	
everage,	এভারােজ,	এভারেজ,	
chaudhurio,	চৌধুরি,	চৌধুরীও,	
ajij,	আজিজ,	আজিজ,	
shphingtar,	স্ফিল্টটার,	স্ফিংটার,	
satarkabhabe,	সতারকভাবে,	সতর্কভাবে,	
kaaru,	কারু,	কারু,	
seat,	সেট,	সিট,	
eenjeel,	এঞ্জিল,	ইঞ্জিল,	
niutrinoo,	নিউট্রিপ,	নিউট্রিনো,	
bethik,	ব্যকিত,	বেঠিক,	
casper,	ক্যাপ্টের,	ক্যাসপার,	
obhishangsan,	অভিশাংশা,	অভিশংসন,	
ibhara,	ইভার,	এভার,	
beshirbhagei,	বেশীরভাগেই,	বেশিরভাগেই,	
vange,	ভঙ্গে,	ভাঙ্গে,	
nagorikera,	নগরীকের,	নাগরিকেরা,	
hunayn,	হাইন,	হুনাইন,	
maradeho,	মারাধেদ,	মরদেহ,	
taronee,	তরনী,	তরণী,	
karmosampadan,	কর্মসোপাদ,	কর্মসম্পাদন,	
keyuyi,	কেউই,	কেউই,	
oitijhya,	ঐতিহ্য,	ঐতিহ্য,	
alimpika,	অলিপ্টিক,	অলিম্পিক,	
korimpoor,	করিমপুর,	করিমপুর,	
jaksa,	যক্ষা,	যক্ষ,	
mashtarsha,	মাস্তমো,	মাস্টার্স,	
pacchi,	পাঁচি,	পাচ্ছি,	
sommotir,	সম্মটির,	সম্মতির,	
serverty,	সার্ভার্টি,	সার্ভারটি,	
deubande,	দিউজন্ডে,	দেওবন্দে,	
bhagno,	ভাগ্ন,	ভগ্ন,	
tochhnochh,	তচ্শত্ব,	তছনছ,	
janosangyog,	জনসংখ্যাগ,	জনসংযোগ,	
cholochchitraeei,	চলচিচ্রে,	চলচ্চিত্রেই,	
onchalgoolir,	অঞ্চলুলির,	অঞ্চলগুলির,	
ralapha,	রলফা,	রালফ,	
chaabir,	চাবির,	চাবির,	
satarkobhabe,	সতারকভাবে,	সতর্কভাবে,	
rajnaiteek,	রাজনৈতিক,	রাজনৈতীক,	
chetanagoto,	চেতনগত,	চেতনাগত,	
dorgaaho,	দর্গাহ,	দরগাহ,	
jansa,	জনসা,	জন্স,	
deenesh,	ডিনেস,	দীনেশ,	
jolrong,	জলবর্গ,	জলরঙ,	
anchalsaho,	অঞ্চলসহ,	অঞ্চলসহ,	
kade,	কডে,	কোড,	
aap,	আপি,	আপ,	
lakkheryo,	লক্ষের্য,	লক্ষেরও,	
baasaa,	বাসা,	বাসা,	
mmeloborrne,	মেশবল্রনে,	মেলবোর্নে,	
nirmankaaj,	নির্মাণকলল,	নির্মাণকাজ,	
ragei,	রেগেই,	রাগেই,	
soasage,	সোসাগে,	সসেজ,	
chupi,	চুপি,	চুপি,	
second,	সেকন্ড,	সেকেণ্ড,	
tata,	তত,	তাতা,	
prokalpeo,	প্রকালপমে,	প্রকল্পেও,	
shatokeo,	শতকে,	শতকেও,	
maile,	মেলে,	মাইলি,	
roomantik,	রোমান্টিক,	রোমান্টিক,	
bhenom,	ভেনম,	ভেনম,	
tateo,	তেটেও,	তাতেও,	
dajhyo,	দাঝ্য,	দাহ্য,	
shumo,	শুম,	সুমো,	
motabolombira,	মতলালব্ষীর,	মতাবলম্বীরা,	
conphlict,	কনফিল্টিক,	কনফ্লিক্ট,	
munshi,	মুন্সি,	মুন্সি,	
nikataner,	নিকটনের,	নিকেতনের,	
arop,	আরাপ,	আরোপ,	
fanser,	ফ্যান্সের,	ফাঁসের,	
quota,	কুটা,	কোটা,	
teta,	টেট,	টেটা,	
toroonderke,	তরুণ্দের,	তরুণদেরকে,	
dharavahikbhabe,	ধারাভিকভাবে,	ধারাবাহিকভাবে,	
dijijer,	ডিজিজের,	ডিজিজের,	
chalochchitragulor,	চলচ্চিত্রাভিন,	চলচ্চিত্রগুলোর,	
daap,	দাপ,	ড্যাপ,	
dharer,	ধরের,	ধরের,	
durvagyo,	দুর্ভাগ্য,	দূর্ভাগ্য,	
adhunik,	আধুনিক,	আধুনিক,	
jwoluk,	জ্বুলুক,	জ্বলুক,	
dekhbar,	দেখবার,	দেখবার,	
parry,	পাযারি,	পেরি,	
jeans,	জ্যান্স,	জিন্স,	
tyuner,	টুউনের,	টিউনার,	
vromoner,	ভ্রমণের,	ভ্রমণের,	
wrighter,	ব্রাইটের,	রাইটের,	
manonitoder,	মনোনিতদের,	মনোনীতদের,	
obharbheeu,	অভর্ভী,	ওভারভিউ,	
ancholgulir,	অঞ্চলুলির,	অঞ্চলগুলির,	
rightsh,	রিইটস,	রাইটস,	
ganoporibahoner,	গণপরিভারণে,	গণপরিবহনের,	
taresa,	তারেশ,	টেরেসা,	
rayalty,	রয়াল্টি,	রয়্যালটি,	
chhotogalpe,	ছটটোললেপে,	ছোটগল্পে,	
shikarey,	শিকারে,	শিকারে,	
auxfordey,	আস্ক্রেড,	অক্সফোর্ডে,	
mookhomandoler,	মুখ্মমাজজেতে,	মুখমণ্ডলের,	
injiniyarsha,	ইনজিনিয়া,	ইঞ্জিনিয়ার্স,	
institutioney,	ইন্সটিটিউনেট,	ইনস্টিটিউশনে,	
basaalt,	বাসাত,	ব্যাসল্ট,	
niutrina,	নিউট্রিন,	নিউট্রিনো,	
expreshshion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
forider,	ফরিদের,	ফরিদের,	
pishach,	পিসা,	পিশাচ,	
mitrer,	মিত্রের,	মিত্রের,	
engil,	এঞ্জিল,	ইঞ্জিল,	
poripake,	পরিপথে,	পরিপাকে,	
mookhomaundoler,	মুখোমরুশলেন,	মুখমণ্ডলের,	
kayartara,	ক্যার্টার,	কোয়ার্টার,	
valobasar,	ভালবাসার,	ভালোবাসার,	
shartho,	সর্থ,	স্বার্থ,	
bhalta,	ভোল্টা,	ভল্ট,	
vageroi,	ভাগেরে,	ভাগেরই,	
sahabah,	সাহাবহ,	সাহাবাহ,	
nodimatrik,	নদীমাত্র,	নদীমাতৃক,	
anuchcheder,	অনুচ্ছেদের,	অনুচ্ছেদের,	
songasthagulo,	সংস্থাসতগুলো,	সংস্থাগুলো,	
tat,	তাত,	তাত,	
eling,	এলিং,	ইলিং,	
kalenga,	কলেঙ্গ,	কালেঙ্গা,	
phartha,	ফার্থ,	ফার্থ,	
dara,	ডার,	দারা,	
carlo,	কার্লো,	কার্লো,	
temonti,	টেমন্টি,	তেমনটি,	
embi,	এমবি,	এমবি,	
gitikabitar,	গীতিকালতার,	গীতিকবিতার,	
miley,	মিলে,	মাইলি,	
choudhureeder,	চৌধুরির,	চৌধুরীদের,	
serup,	শেরূপ,	সেরূপ,	
shyutara,	স্বুটার,	শ্যুটার,	
dadaa,	দাঁড,	দাদা,	
lambate,	লম্বতে,	লম্বাটে,	
shastra,	শাস্ত্র,	শাস্ত্র,	
marmaara,	মার্মার,	মারমারা,	
janamukhi,	জনমমুখ,	জনমুখী,	
minishter,	মিনিস্টের,	মিনিস্টার,	
obie,	অবি,	ওবিই,	
purple,	পার্পে,	পার্পেল,	
goteebege,	গতিবে,	গতিবেগে,	
chirantan,	চিরান্টান,	চিরন্তন,	
blacker,	ব্লকের,	ব্ল্যাকের,	
debdebier,	দিবেবিদের,	দেবদেবীর,	
ajeeja,	এজিজ,	আজিজা,	
jibnagar,	জীবনার,	জীবননগর,	
durger,	দার্গের,	দুর্গের,	
grambasir,	গ্র্মাসবির,	গ্রামবাসীর,	
surokarder,	সুরকারদের,	সুরকারদের,	
nadnodir,	না্দনীদির,	নদনদীর,	
noiteekotabodh,	নৈতিক্তবার,	নৈতিকতাবোধ,	
jyakasana,	জ্যাকশন,	জ্যাকসন,	
xpose,	ক্সপে,	এক্সপোজ,	
nagnyo,	না্নয়,	নগণ্য,	
taalgachh,	তাগতছা,	তালগাছ,	
udbodhaner,	উদ্বোধনের,	উদ্বোধনের,	
addabaaz,	আদ্রাজ,	আড্ডাবাজ,	
thake,	থাকে,	থাকে,	
bhejaano,	ভেজানো,	ভেজানো,	
saralya,	সরল্যাল,	সারল্য,	
dajjho,	দাজ্য,	দাহ্য,	
bhashik,	ভাষিক,	ভাষিক,	
sookkho,	শুখ্ষ,	সুক্ষ্ম,	
onker,	অঙ্কের,	ওঙ্কার,	
maladoobha,	মালদদ্য,	মলদোভা,	
janalo,	জানাল,	জানালো,	
modelke,	মদেলকে,	মডেলকে,	
meiler,	মেলের,	মেইলের,	
prettii,	প্রেটি,	প্রিটি,	
armstronj,	আর্মপ্রবজ,	আর্মস্ট্রং,	
tyapa,	ট্যাপ,	ট্যাপ,	
temani,	টেমনি,	তেমনই,	
qyantana,	ক্যান্টান,	ক্যান্টন,	
koyeri,	কোয়ারি,	কোয়েরি,	
dakop,	দেকোপ,	দাকোপ,	
durgandher,	দুর্গান্যের,	দুর্গন্ধের,	
sallallahu,	সাল্লাল্ল,	সল্লাল্লাহু,	
samabeshti,	সমবাসষিত,	সমাবেশটি,	
cholocchitro,	চলচ্চিত্র,	চলচ্চিত্র,	
muscut,	মুস্যাট,	মাস্কাট,	
awnurbor,	অন্দ্রবা,	অনুর্বর,	
sheat,	সেট,	সিট,	
proo,	প্রু,	প্রো,	
longghoner,	লঙ্ঘনের,	লংঘনের,	
dighol,	দিঘল,	দীঘল,	
beshirbhaageyi,	বেশীরভাগেই,	বেশিরভাগেই,	
amantrita,	অমন্ত্রীত,	আমন্ত্রিত,	
calabe,	কালাবে,	চালাবে,	
tookroti,	তুকরতি,	টুকরোটি,	
ragkey,	রাগকে,	রাগকে,	
laicense,	লাইস্সে,	লাইসেন্স,	
hatochokito,	হতেছাকিত,	হতচকিত,	
blogarra,	ব্লগারা,	ব্লগাররা,	
chiraharit,	চিরাহাতিত,	চিরহরিৎ,	
zansa,	জানসা,	জন্স,	
sonaktokaran,	সনাক্তকরণ,	সনাক্তকরণ,	
paschimey,	পশ্চিমে,	পশ্চিমে,	
iqbaler,	একবলের,	ইকবালের,	
meghnabodh,	মেঘনন্ধ,	মেঘনাদবধ,	
nanir,	নানীর,	নানীর,	
shantaa,	শান্তা,	সান্তা,	
qraima,	ক্রিমা,	ক্রাইম,	
bujhechhila,	বুঝাচিল,	বুঝেছিল,	
konflict,	কনফিক্ট,	কনফ্লিক্ট,	
rilayeensa,	রিলিয়ান,	রিলায়েন্স,	
mesenjjarer,	মেসেঞ্জারের,	মেসেঞ্জারের,	
parishkaron,	পরিষ্কাণ,	পরিষ্করণ,	
tistaar,	তিস্তার,	তিস্তার,	
gonjona,	গঞ্জনা,	গঞ্জনা,	
benis,	বেনিস,	ভেনিস,	
cada,	ক্যা,	কোডা,	
aazeez,	আজিজ,	আজিজ,	
fiksa,	ফিক্স,	ফিক্স,	
milekhaanek,	মিলিকাসকে,	মাইলখানেক,	
dormetori,	ডরমেটরি,	ডরমিটরি,	
bamona,	বামানা,	বামনা,	
kaash,	কাশ,	কাস,	
dubaate,	দুবাতে,	ডুবাতে,	
kaamij,	কামিজ,	কামিজ,	
vangchur,	ভাঙ্চুর,	ভাংচুর,	
spredshiit,	স্পীদ্ধিত,	স্প্রেডশীট,	
bhittiei,	ভিত্তেই,	ভিত্তিই,	
pushtir,	পুস্টির,	পুষ্টির,	
mozart,	মোজার্ট,	মোজার্ট,	
archimedes,	আর্চিদেসে,	আর্কিমিডিস,	
elaakaai,	এলাকাই,	এলাকাই,	
arthonitike,	অর্থনিতেকে,	অর্থনীতিকে,	
pattern,	প্যাট্রন,	প্যাটার্ন,	
teemothi,	তেমটি,	টিমোথি,	
prabhur,	প্রভূর,	প্রভুর,	
potchitrer,	পথ্চিত্রে,	পটচিত্রের,	
bosonto,	বসন্ত,	বসন্ত,	
dhonni,	ধনীনি,	ধন্যি,	
turkmeen,	টুর্কিণ,	তুর্কমেন,	
aajeej,	আজিজ,	আজিজ,	
freedom,	ফ্রিডম,	ফ্রীডম,	
iraaner,	ইইরণের,	ইরানের,	
daakten,	ডাকতেন,	ডাকতেন,	
koontee,	কোনটি,	কুন্তী,	
sikkhakramer,	শিক্ষাক্রমে,	শিক্ষাক্রমের,	
yaach,	যাঁচ,	ইয়াক,	
melbourney,	মেলবদ্দী,	মেলবোর্নে,	
pirujali,	পিরুলাই,	পিরুজালী,	
shiropadhari,	শীরপাসদারে,	শিরোপাধারী,	
beeswasi,	বিশ্বাসী,	বিশ্বাসই,	
phokskon,	ফক্কান,	ফক্সকন,	
taffsher,	তফফেসের,	তাফসীর,	
masjid,	মসজীদ,	মসজিদ,	
bodhirota,	বোধিরতা,	বধিরতা,	
susamo,	সুসাম,	সুসম,	
bhromonkaale,	ভ্রমণকালে,	ভ্রমণকালে,	
phising,	ফিসিং,	ফিসিং,	
faskari,	ফাস্কারি,	ফাঁসকারী,	
khelaphate,	খেলাফাতে,	খেলাফতে,	
deputii,	দিপুতি,	ডেপুটি,	
mukhomandaley,	মুখমন্ডলে,	মুখমণ্ডলে,	
beshirbhaagi,	বেশীরভাগী,	বেশিরভাগই,	
aairish,	আইরিশ,	আইরিস,	
baataree,	বাতারী,	ব্যাটারী,	
assastikar,	অস্বস্তিকর,	অস্বস্তিকর,	
tersa,	টার্স,	টেরেসা,	
orthanitir,	অর্থনীত,	অর্থনীতির,	
palashir,	পালসীর,	পলাশীর,	
uporzon,	উপর্্জন,	উপার্জন,	
kodorer,	কমরের,	কদরের,	
ebham,	এভাম,	ইভিএম,	
zeebonto,	জীবন্ত,	জীবন্ত,	
duncan,	ডাঁশন,	ডানকান,	
onodhikar,	অনধধকার,	অনধিকার,	
shooknaa,	শুক্না,	শুকনা,	
sushiksar,	সুশিক্ষর,	সুশিক্ষার,	
samudratatey,	সমুদ্রতাতে,	সমুদ্রতটে,	
ramzaner,	রামজনের,	রমযানের,	
korkat,	কর্কাত,	কর্কট,	
ddhake,	ঢোকে,	ঢেকে,	
fasi,	ফসি,	ফাঁসী,	
satarka,	সতার্কা,	সতর্ক,	
janasamaj,	জনসাসা,	জনসমাজ,	
parjotaker,	পর্যতাকে,	পর্যটকের,	
tinbhager,	তিনভাগের,	তিনভাগের,	
bhadaka,	ভাদাক,	ভদকা,	
landing,	ল্যানিং,	ল্যান্ডিং,	
zerusalem,	জেরুশাসে,	জেরুজালেম,	
korkotkraanti,	কর্ককারণ্তে,	কর্কটক্রান্তি,	
ayantarqatiqa,	অ্যান্ত্যাক্তি,	অ্যান্টার্কটিকা,	
nirarthak,	নিরার্থক,	নিরর্থক,	
agomoner,	আগমনের,	আগমনের,	
hijrii,	হিজরি,	হিজরী,	
dhaloor,	ঢালুর,	ঢালুর,	
promoshone,	প্রমোশনে,	প্রোমোশনে,	
mosjidkey,	মস্বিদকে,	মসজিদকে,	
dargah,	দার্ঘা,	দরগাহ,	
joni,	জনি,	জনি,	
ponthar,	পন্থার,	পন্থার,	
raktaksharaney,	রক্তক্ষণের,	রক্তক্ষরণে,	
the,	থে,	থাই,	
kunntee,	কুনটি,	কুন্তী,	
sollallhu,	সল্লচল্,	সল্লাল্লাহু,	
nirau,	নিরো,	নির,	
heze,	হেজে,	হেজ,	
nirgaman,	নির্রমান,	নির্গমন,	
rikondison,	রিকন্ডিশন,	রিকন্ডিশন,	
bhabaaponno,	ভবাপন্ন,	ভাবাপন্ন,	
odhuna,	অধুনা,	অধুনা,	
bhoolapuka,	ভুলাপথ,	ভোলাপুক,	
shringga,	শৃর্গ,	শৃঙ্গ,	
jomjomat,	জম্যমাত,	জমজমাট,	
majhari,	মাঝারী,	মাঝারী,	
shivraj,	শিব্াজ,	শিবরাজ,	
dijeejer,	ডিজিজের,	ডিজিজের,	
velcome,	ভেলকমে,	ওয়েলকাম,	
jorury,	জরুরী,	জরূরী,	
treta,	ট্রেট,	ত্রেতা,	
pluck,	প্লুক,	প্ল্যাক,	
moddhyoshtho,	মধ্যস্থ,	মধ্যস্থ,	
proshikkhane,	প্রশিক্ষণে,	প্রশিক্ষণে,	
elaakaati,	এলাকাতি,	এলাকাটি,	
jarmaniteo,	জার্মানিতে,	জার্মানিতেও,	
chashe,	চাষে,	চেস,	
pretishta,	প্রতিষ্ঠা,	প্রতিষ্টা,	
muhu,	মুহু,	মুহু,	
dinner,	দিনের,	ডিনার,	
rokibul,	রকিকুল,	রকিবুল,	
itostatah,	ইটসস্টা,	ইতস্ততঃ,	
tomader,	তমাদের,	তোমাদের,	
turbiner,	তুর্বীনের,	টারবাইনের,	
evereste,	এভারেস্টে,	এভারেস্টে,	
aanhu,	আঁুহ,	আনহু,	
atarkitey,	অতর্কিতে,	অতর্কিতে,	
holdin,	হলদিন,	হোল্ডিং,	
karmosansthan,	কর্মসংস্থান,	কর্মসংস্থান,	
manushsoho,	মনুষ্ষ,	মানুষসহ,	
chidropothe,	চিদ্রপথে,	ছিদ্রপথে,	
bibechyo,	বিবেচ্য,	বিবেচ্য,	
hebhi,	হেভি,	হেভি,	
sqalarashipa,	স্কলারশিপ,	স্কলারশিপ,	
hajarer,	হাজারের,	হাজারের,	
mookhomandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
purohitra,	পুরোষিত্র,	পুরোহিতরা,	
babylone,	বাবিলোনে,	ব্যাবিলনে,	
digreer,	ডিগ্রীর,	ডিগ্রির,	
nagorikderke,	নারকিকেরকে,	নাগরিকদেরকে,	
domone,	ডমনে,	দমনে,	
bishwasho,	বিশ্বাস,	বিশ্বাসও,	
jarul,	জারুল,	জারুল,	
nirikha,	নিরিখা,	নিরিখ,	
byatikramdharmi,	ব্যাতিক্ারদের,	ব্যতিক্রমধর্মী,	
maddhobir,	মাধ্যবীর,	মাধবীর,	
panchashjan,	পঞ্চাশননার,	পঞ্চাশজন,	
shikhar,	শিখর,	শিকার,	
charjara,	চর্যার,	চার্জার,	
okhondota,	অখ্ন্দতা,	অখণ্ডতা,	
sohinsotar,	সহিষ্ণতার,	সহিংসতার,	
heavi,	হাভি,	হেভি,	
marmader,	মার্মদের,	মারমাদের,	
nodiitike,	নদীতিকে,	নদীটিকে,	
kormoke,	কর্মকে,	কর্মকে,	
loukikataa,	লৌকিকতা,	লৌকিকতা,	
saida,	সাইড,	সাইদা,	
carpetey,	চার্পেটে,	কার্পেটে,	
opohoronn,	অপহরণ,	অপহরন,	
aaireesh,	আইরিশ,	আইরিস,	
spashtotai,	স্পষ্টবাটি,	স্পষ্টতই,	
romonar,	রোমানার,	রমনার,	
paner,	পানের,	পানের,	
vittiei,	ভিত্তীই,	ভিত্তিই,	
ajuhat,	অজুহা,	অজুহাত,	
byataree,	ব্যাটারী,	ব্যাটারী,	
dokangulote,	দোকগুলোতে,	দোকানগুলোতে,	
ancholtee,	অঞ্চলিত,	অঞ্চলটি,	
ikbaler,	একবলের,	ইকবালের,	
arthonitir,	অর্থনীত,	অর্থনীতির,	
pooding,	পুডিং,	পুডিং,	
barnish,	বার্নিস,	বার্নিশ,	
granthe,	গ্রন্থে,	গ্রন্থে,	
saatzoner,	সাতলনের,	সাতজনের,	
cho,	চো,	ছোঁ,	
shcholarshhip,	স্কালোরশীপ,	স্কলারশিপ,	
kemoney,	কেমনে,	কেমনে,	
dazjo,	দাজ্য,	দাহ্য,	
swastir,	স্বাস্তির,	স্বস্তির,	
jibnagore,	জীবনগারে,	জীবননগর,	
gostheeti,	গো্্থিতি,	গোষ্ঠীটি,	
troup,	ট্রুপ,	ট্রুপ,	
akbakye,	একবাককে,	একবাক্যে,	
victor,	ভিক্টর,	ভিক্টর,	
ponnee,	পণি,	পন্নী,	
gaafeeloti,	গফিলতটি,	গাফিলতি,	
shiropa,	শিরপা,	শিরোপা,	
artharer,	অর্থদের,	আর্থারের,	
chalabe,	চালাবে,	চালাবে,	
ghatla,	ঘটতলা,	ঘটল,	
siddhantao,	সিদ্ধান্ত,	সিদ্ধান্তও,	
progress,	প্রোগ্রেস,	প্রগ্রেস,	
mandonder,	মন্দন্দের,	মানদণ্ডের,	
vodqa,	ভোদকা,	ভদকা,	
jamjomat,	জম্যমাত,	জমজমাট,	
easter,	আস্টের,	ইস্টার,	
homshke,	হমস্কে,	হোমসকে,	
probhritike,	প্রভূরিকে,	প্রভৃতিকে,	
ministerer,	মিনিস্টেরের,	মিনিস্টারের,	
ponchasjon,	পঞ্চাশন,	পঞ্চাশজন,	
bhushi,	ভুশী,	ভুষি,	
phareeksa,	ফরিক,	ফরেক্স,	
majlishpur,	মজিলিপপুর,	মজলিশপুর,	
osamarik,	ওসামেরিক,	অসামরিক,	
mesenjjar,	মেনেন্জার,	মেসেঞ্জার,	
ajeeboner,	অজিবনের,	আজীবনের,	
bon,	বোন,	বন,	
anektai,	অনেকটিই,	অনেকটাই,	
adhyatmikata,	অধ্যাপ্যকা,	আধ্যাত্মিকতা,	
raiter,	রাইটের,	রাইটের,	
coda,	কড,	কোডা,	
pratyokkhobhabe,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
sakaar,	সাকার,	সকার,	
shikshagata,	শিক্ষগতা,	শিক্ষাগত,	
konaa,	কোনা,	কোনা,	
nischitarupey,	নিশ্চিতুরে,	নিশ্চিতরূপে,	
varma,	ভার্মা,	ভার্মা,	
bhenus,	ভেনিউস,	ভেনাস,	
bishshasho,	বিশ্বাস,	বিশ্বাসও,	
hisabke,	হিসাকে,	হিসাবকে,	
cholocchitroke,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
jaanalo,	জানাল,	জানালো,	
udbodhone,	উদ্বাধনে,	উদ্বোধনে,	
samanwitobhabe,	সমান্যিতভাবে,	সমন্বিতভাবে,	
sachetanatamulak,	সচেতানপত্চক,	সচেতনতামূলক,	
diaraesa,	ডিয়ের,	ডিআরএস,	
pleta,	প্লটট,	প্লেটো,	
haphej,	হাফেজ,	হাফেয,	
bhaangchoor,	ভাঙকোকর,	ভাংচুর,	
uposthit,	উপস্থিত,	উপস্থিত,	
nirarthok,	নিরার্থক,	নিরর্থক,	
poorohitra,	পুরাহিত্র,	পুরোহিতরা,	
capsule,	ক্যাপ্কেলে,	ক্যাপসুল,	
nirontar,	নিরন্তর,	নিরন্তর,	
bhenicer,	ভেনেসের,	ভেনিসের,	
mehnotti,	মেহন্ত্বি,	মেহনতি,	
porisromii,	পরিস্রেমী,	পরিশ্রমী,	
batsmaner,	বৎসমানের,	ব্যাটসম্যানের,	
foshter,	ফস্টের,	ফস্টার,	
elakaatite,	এলাকটিতে,	এলাকাটিকে,	
mandape,	মন্ডাপে,	মন্ডপে,	
gazetted,	গজজেটেের,	গেজেটেড,	
halloween,	হলুলিন,	হ্যালোইন,	
goshthiti,	গোষ্ঠিতি,	গোষ্ঠীটি,	
chidrapathe,	চিদ্রপথে,	ছিদ্রপথে,	
primoo,	প্রিমু,	প্রিমো,	
ancholtike,	অঞ্চলিতে,	অঞ্চলটিকে,	
spreadsheet,	স্পির্ধিত,	স্প্রেডশীট,	
proshadhoni,	প্রশাধনীনী,	প্রসাধনী,	
militarite,	মিলিপারেতে,	মিলিটারিতে,	
daaraa,	দারা,	দারা,	
sadeena,	সাদিনা,	সাডেন,	
hepataitisha,	হেপতিতিস,	হেপাটাইটিস,	
osthisandhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
bisnuu,	বিস্ণু,	বিষ্ণু,	
koyartara,	কওয়াটার,	কোয়ার্টার,	
atyacarito,	অত্যাহিত,	অত্যাচারিত,	
damanmulak,	দমামগুলো,	দমনমূলক,	
aiieubi,	আইআই,	আইইউবি,	
meloonborrone,	মেলাঙ্গমের,	মেলবোর্নে,	
akabar,	আকাবার,	আকাবার,	
hole,	হলে,	হোল,	
lagto,	লাগট,	লাগতো,	
pramathesh,	প্রমেঠাস,	প্রমথেশ,	
ganaporibahan,	গণপরিবাণ,	গণপরিবহন,	
prakalpati,	প্রকা্পটি,	প্রকল্পটি,	
muhammader,	মুহাম্মদের,	মুহম্মদের,	
protizogiitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
sambhabonao,	সম্ভাবনা,	সম্ভবনাও,	
kathhmandute,	কাঠসমধ্যে,	কাঠমান্ডুতে,	
giitikobitar,	গীতিকালবার,	গীতিকবিতার,	
hosheyin,	হোসেইন,	হোসেইন,	
marry,	মেরি,	ম্যারি,	
stoneeheengee,	স্তনিদিজনি,	স্টোনহেঞ্জ,	
rutina,	রুটিন,	রুটিন,	
omkar,	অম্কার,	ওঙ্কার,	
venice,	ভেনিস,	ভেনিস,	
nogorey,	নগরে,	নগরে,	
harrisoner,	হার্শিজনের,	হ্যারিসনের,	
bhittiti,	ভিতিতি,	ভিত্তিটি,	
elaakaa,	এলাকা,	এলাকা,	
keo,	কেও,	কেউ,	
stonaheenja,	স্তনাধ্ন্য,	স্টোনহেঞ্জ,	
ghatiti,	ঘটিতি,	ঘাঁটিটি,	
jhankar,	ঝাঁকার,	ঝঙ্কার,	
sushikkhar,	সুশিক্ষর,	সুশিক্ষার,	
moushumeo,	মৌসুমেও,	মৌসুমেও,	
fal,	ফল,	ফল,	
dharabahikti,	ধারাবিখ্যিক,	ধারাবাহিকটি,	
kindom,	কিন্দু,	কিংডম,	
graambaseeo,	গ্র্মবেশ,	গ্রামবাসীও,	
serverti,	সার্ভার্টি,	সার্ভারটি,	
suparichito,	সুপারিচা,	সুপরিচিত,	
skolastic,	স্কলাসিক্ট,	স্কলাস্টিক,	
pragress,	প্রোগ্রেস,	প্রগ্রেস,	
steitt,	স্টেট,	স্টেইট,	
turisht,	তুরিষ্ট,	টুরিস্ট,	
sommoteete,	সম্মতিতে,	সম্মতিতে,	
protijogiira,	প্রতিযোগিতার,	প্রতিযোগীরা,	
cherechhe,	চেরেছে,	ছেড়েছে,	
barbadoz,	বার্বাজ,	বার্বাডোজ,	
elaakaate,	এলাকাতে,	এলাকাতে,	
shekend,	সেকেন্ড,	সেকেণ্ড,	
cheerokoomari,	চিরকুকরের,	চিরকুমারী,	
dinifitian,	দিনিফিপান,	ডেফিনেশন,	
ramonar,	রমনার,	রমনার,	
ummul,	উম্মুল,	উম্মুল,	
kanasarabhesana,	কনস্যারবেশন,	কনসারভেশন,	
neker,	নেকের,	নেকের,	
zojyota,	যোজ্যতা,	যোজ্যতা,	
ddhila,	ঢিল,	ঢিলা,	
bbiswashi,	বিশ্ববসী,	বিশ্বাসী,	
avijojan,	অভিযোগন,	অভিযোজন,	
culing,	কুলিং,	কুলিং,	
codeguli,	কডেগুলি,	কোডগুলি,	
elakatikay,	এলাকটিকে,	এলাকাটিকে,	
mozlishpoor,	মজ্জিস্তুর,	মজলিশপুর,	
nirgomon,	নির্গমণ,	নির্গমন,	
yuroo,	ইউরো,	ইউরো,	
bidrup,	বিদ্রূপ,	বিদ্রূপ,	
moldowa,	মোলযোভা,	মলদোভা,	
gazee,	গেজি,	গেজ,	
bardhitaanas,	বর্ধিতা,	বর্ধিতাংশ,	
dabarer,	দাবারের,	দাবারের,	
naarsari,	নার্সারী,	নার্সারি,	
suraaropeeto,	সুরারপাথিত,	সুরারোপিত,	
restaurant,	রেস্তোরান্ট,	রেষ্টুরেন্ট,	
jor,	জোর,	জ্বর,	
mousumer,	মৌসুমের,	মৌসুমের,	
sucharita,	সুচারিতা,	সুচরিতা,	
gabeshanar,	গবেষণার,	গবেষনার,	
addhattikotar,	অধ্যাত্তিকার,	আধ্যাত্মিকতার,	
baasake,	বাসাকে,	বাসাকে,	
cholochchitrotike,	চলচ্চিত্রাকে,	চলচ্চিত্রটিকে,	
boponer,	বপনের,	বপনের,	
shahoshikatar,	সাহশিবত্রা,	সাহসিকতার,	
dharabhiko,	ধারািক,	ধারাবাহিকেও,	
baharampoorer,	বহরারমুরের,	বহরমপুরের,	
