ganochiner,	গণচিলের,	গণচীনের,	
protijogiira,	প্রতিযোগিরা,	প্রতিযোগীরা,	
gripa,	গ্রিপ,	গ্রিপ,	
aembed,	আইমবেড,	এম্বেড,	
horiner,	হরিনের,	হরিণের,	
taoonship,	টানশীপ,	টাউনশিপ,	
sikar,	সিকার,	শিকার,	
marino,	মেরিনো,	মারিনো,	
dharavahikbhabe,	ধারাভাইকভাবে,	ধারাবাহিকভাবে,	
pyatarne,	প্যাটর্নে,	প্যাটার্নে,	
informeson,	ইনফর্মেশন,	ইনফরমেশন,	
nischitobhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
harisher,	হরিসের,	হ্যারিসের,	
larshon,	লার্শন,	লারসন,	
ashocheton,	অসচচতন,	অসচেতন,	
rajoshri,	রাজস্রী,	রাজশ্রী,	
nagorikera,	নাগরীকেরা,	নাগরিকেরা,	
rijoor,	রিজুর,	রিজুর,	
kanflict,	কানফলিক্ট,	কনফ্লিক্ট,	
chalachchitroke,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
sikarder,	সিকার্ডার,	শিকারদের,	
chhereche,	ছেরেছে,	ছেড়েছে,	
naitikata,	নৈতিকতা,	নৈতিকতা,	
licensedharii,	লিসেনসেরারী,	লাইসেন্সধারী,	
fax,	ফাক্স,	ফক্স,	
motion,	মেশন,	মোশন,	
gaaddafee,	গাদ্ডাফি,	গাদ্দাফী,	
totokshon,	ততক্ষণ,	ততক্ষন,	
bhugarbhe,	ভূগর্ভে,	ভূগর্ভে,	
parbatmala,	পর্বততমালা,	পর্বতমালা,	
itastatoh,	ইতস্তত,	ইতস্ততঃ,	
dola,	ডলা,	দলা,	
patenter,	পটেন্টের,	পেটেন্টের,	
mach,	মাচ,	মাছ,	
muhamada,	মুহমাদা,	মুহাম্মদ,	
koyeeri,	কোয়েরি,	কোয়েরি,	
oitihye,	ঐতিহ্যে,	ঐতিহ্যে,	
antarctikar,	আন্টার্েকটার,	অ্যান্টার্কটিকার,	
segulor,	সেগুলোর,	সেগুলোর,	
oshovyo,	অশভ্য,	অসভ্য,	
parry,	প্যারি,	পেরি,	
ekeerokom,	একরিকম,	একইরকম,	
patigonit,	পাতিগণিত,	পাটিগণিত,	
rupa,	রূপ,	রুপা,	
ashamorthito,	অসমর্থিত,	অসমর্থিত,	
surkey,	সুর্কে,	সুরকে,	
avijojan,	অভিযোজন,	অভিযোজন,	
mathew,	মাঠেও,	ম্যাথিউ,	
moricha,	মরিচা,	মরিচা,	
byaboharkareer,	ব্যবহারকারীর,	ব্যবহারকারীর,	
gaadha,	গাধা,	গাধা,	
ishahak,	ইসহাক,	ইসাহাক,	
amoor,	আমুর,	আমর,	
ekai,	একাই,	একাই,	
pure,	পুরে,	পিওর,	
hunine,	হিনিনে,	হুনাইন,	
arthonitir,	অর্থনীতির,	অর্থনীতির,	
byaboharkari,	ব্যবহারকারী,	ব্যবহারকারী,	
bhittio,	ভিত্তিও,	ভিত্তিও,	
granthao,	গ্রন্থাও,	গ্রন্থও,	
hori,	হরি,	হরি,	
shikkhakder,	শিক্ষকদের,	শিক্ষকদের,	
oddure,	অড্ডুর,	অদুরে,	
cs,	সিসি,	সিএস,	
chootite,	চুটিতে,	ছুটিতে,	
mugdha,	মুগধ্য,	মুগ্ধ,	
apocheshta,	অপচেষ্ট,	অপচেষ্টা,	
kartana,	কর্টন,	করতনা,	
andamana,	আন্দমান,	আন্দামান,	
konfleekt,	কনফলেক্ট,	কনফ্লিক্ট,	
proteesthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
eukalyptus,	ইউকালিপটাস,	ইউক্যালিপ্টাস,	
shootar,	সুতার,	শ্যুটার,	
manikya,	মনিক্যা,	মানিক্য,	
gafiloti,	গলিফিটি,	গাফিলতি,	
rupantorer,	রূপান্তরের,	রুপান্তরের,	
senabahinike,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
jubokti,	যুবক্তি,	যুবকটি,	
jackshan,	যকেষ্ণ,	জ্যাকসন,	
shamuk,	সামুক,	শামুক,	
abdur,	আবদুর,	আবদুর,	
rubi,	রুবি,	রুবি,	
gabeshana,	গবেষণা,	গবেষনা,	
liseensee,	লিসেন্সি,	লাইসেন্স,	
ragke,	রাগকে,	রাগকে,	
qirq,	কার্ক,	কার্ক,	
itostato,	ইতোস্তত,	ইতস্তত,	
zonsa,	জনসা,	জোন্স,	
nevate,	নেভাতে,	নেভাতে,	
reshidensha,	রেসিডেন্স,	রেসিডেন্স,	
foster,	ফোস্টার,	ফস্টার,	
aansaareer,	আনসারির,	আনসারীর,	
heepataitisa,	হেপটেটিশ,	হেপাটাইটিস,	
lutheereen,	লুটেরীন,	লুথেরান,	
seekkhaou,	শিক্ষাও,	শিক্ষাও,	
obosore,	অবসরে,	অবসরে,	
ghatke,	ঘাতকে,	ঘাটকে,	
mahakabi,	মহাকাবী,	মহাকবি,	
beekaargrasta,	বিকারগ্রাস্ত,	বিকারগ্রস্ত,	
armeeniyana,	আর্মেনিয়ান,	আর্মেনিয়ান,	
orthanitite,	অর্থনীতিতে,	অর্থনীতিতে,	
otyacharito,	অত্যাচারিত,	অত্যাচারিত,	
ketechilo,	কেটেছিল,	কেটেছিল,	
provur,	প্রভূর,	প্রভুর,	
chalochchitrai,	চলচিত্রীরা,	চলচ্চিত্রই,	
sangbadmadhyomgulote,	সংংবদমহন্যগুলোতে,	সংবাদমাধ্যমগুলোতে,	
zibonto,	জীবন্ত,	জীবন্ত,	
mosjidti,	মজজদিত্তি,	মসজিদটি,	
chotto,	চত্ব,	ছোট্ট,	
code,	কোড,	কোড,	
agibon,	অগিবন,	আজীবন,	
koota,	কোট,	কোটা,	
brittakarey,	বৃত্তকারে,	বৃত্তাকারে,	
shtona,	স্টন,	স্টোন,	
karmake,	কর্মকে,	কর্মকে,	
paltechhey,	পাতলেছে,	পাল্টেছে,	
fotanor,	ফোটানোর,	ফোটানোর,	
bethik,	ব্থিক,	বেঠিক,	
paab,	পাব,	পাব,	
mumtaj,	মুমতাজ,	মুমতাজ,	
grambaasi,	গ্রামবাসী,	গ্রামবাসী,	
niurolaji,	নিউরোলজি,	নিউরোলজি,	
jokkher,	যক্ষের,	যক্ষের,	
anektai,	আনেকটাই,	অনেকটাই,	
prokar,	প্রকার,	প্রকার,	
dadaa,	দাদা,	দাদা,	
karmapantha,	কর্মপণ্থ,	কর্মপন্থা,	
siddhantei,	সিদ্ধান্িই,	সিদ্ধান্তেই,	
shhayatana,	শায়াশন,	শয়তান,	
sooter,	সুটার,	শ্যুটার,	
gonoporeebohoner,	গণপরিবহনের,	গণপরিবহনের,	
samanwitabhabey,	সমান্তিতভাবে,	সমন্বিতভাবে,	
granthei,	গ্রন্থেই,	গ্রন্থেই,	
grambashio,	গ্রামবাশীও,	গ্রামবাসীও,	
lumbini,	লুম্বিনী,	লুম্বিনী,	
zhalokatthi,	ঝালকাঠি,	ঝালকাঠী,	
pouro,	পৌরো,	পৌর,	
license,	লিসেন্স,	লাইসেন্স,	
vince,	ভিন্স,	ভিন্স,	
rajotta,	রাজত্ত,	রাজত্ব,	
artilery,	অর্টিলেরি,	আর্টিলারি,	
prakalpeo,	প্রকললপেও,	প্রকল্পেও,	
antarbhuktimulak,	অন্তর্ভূকূতিমালক,	অন্তর্ভুক্তিমূলক,	
ajij,	আজিজ,	আজিজ,	
golakrity,	গোলক্রিতি,	গোলাকৃতি,	
engrejer,	ইংরেজের,	ইংরেজের,	
tekno,	টেকনো,	টেকনো,	
jonosanjog,	জনসংযোগ,	জনসংযোগ,	
narider,	নারীদের,	নারীদের,	
smaraker,	স্মরকের,	স্মারকের,	
venis,	ভেনিস,	ভেনিস,	
dibi,	ডিবি,	দিবি,	
shastra,	সাস্ত্র,	শাস্ত্র,	
jeellul,	জেলুলুল,	জিল্লুল,	
beshorkarikarone,	বেসরকারীকরণে,	বেসরকারিকরণ,	
cantan,	কন্টন,	ক্যান্টন,	
template,	টেমপ্লেট,	টেম্পলেট,	
pyore,	প্যোরে,	পিওর,	
koommatei,	কমাটেই,	কমাতেই,	
khelafatey,	খেলাফাতে,	খেলাফতে,	
porikhar,	পরিক্ষার,	পরিখার,	
ajibon,	আজীবন,	আজীবন,	
temone,	টাইমোন,	তেমনই,	
khalid,	খলিদ,	খালিদ,	
atmabiswasi,	আত্মবিশ্যাসী,	আত্মবিশ্বাসী,	
bbosonto,	বসন্ত,	বসন্ত,	
sakkhatkarer,	সাক্ষাতকারের,	সাক্ষাৎকারের,	
wenis,	ভিনিস,	ভেনিস,	
dharavahik,	ধারাবাহিক,	ধারাবাহিক,	
aholar,	আহলার,	অহল্যার,	
kingdam,	কিংডডম,	কিংডম,	
donat,	ডোনাত,	ডোনাট,	
qyantana,	ক্যান্টন,	ক্যান্টন,	
dipon,	ডিপন,	দীপন,	
meghkey,	মেঘকে,	মেঘকে,	
songhar,	সংঘর,	সংহার,	
kirkuk,	কিরুকু,	কিরকুক,	
carpetey,	কর্পটে,	কার্পেটে,	
shotodha,	শতোধা,	শতধা,	
oedipus,	এদিপুশ,	ইডিপাস,	
bijit,	বিজিত,	বিজিত,	
torun,	তরুণ,	তরুন,	
bunat,	বুনাট,	বুনট,	
gabeshokgon,	গবেষক্ণ,	গবেষকগণ,	
madraji,	মাদ্রাজী,	মাদ্রাজি,	
simmons,	সিমমনস,	সিমন্স,	
croak,	ক্রক,	ক্রোক,	
buffar,	বাফফার,	বাফার,	
deembakreeti,	ডিম্বকৃতি,	ডিম্বাকৃতি,	
aarekdal,	আরেকদল,	আরেকদল,	
superheroo,	সুপারেরও,	সুপারহিরো,	
toranganj,	তরঙ্গঞ্জ,	তোরাবগঞ্জ,	
madhyastha,	মধ্যস্থ,	মধ্যস্থ,	
khizir,	খিজির,	খিজির,	
juktarashtreo,	যুক্তারস্ট্রেও,	যুক্তরাষ্ট্রেও,	
break,	ব্রিক,	ব্রেক,	
shorsha,	সর্ষ,	সোর্স,	
cheentaikari,	ছিনতাইকারী,	ছিনতাইকারী,	
anchalo,	অঞ্চলো,	অঞ্চলও,	
sazano,	সাজানো,	সাজানো,	
fern,	ফার্ন,	ফার্ন,	
kodti,	কোটটি,	কোডটি,	
sheramiksh,	শেরামিক্স,	সিরামিকস,	
gonohotyakey,	গণহত্যাকে,	গণহত্যাকে,	
nirikha,	নিরীখা,	নিরিখ,	
shrimoti,	শ্রীমতি,	শ্রীমতি,	
hailo,	হাইলো,	হইল,	
bisshaskey,	বিশ্বাসকে,	বিশ্বাসকে,	
hisaber,	হিসাবের,	হিসাবের,	
eucalyptush,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
votar,	ভোটার,	ভোটার,	
breq,	ব্রেক,	ব্রেক,	
safi,	সফি,	সাফি,	
kuntee,	কুনতি,	কুন্তী,	
varotey,	ভারতে,	ভারতে,	
oiteejyer,	ঐতিজ্যের,	ঐতিহ্যের,	
sho,	সো,	শো,	
konishtho,	কনিষ্ঠ,	কনিষ্ঠ,	
deputy,	ডেপ্িউটি,	ডেপুটি,	
bojhaao,	বোঝাও,	বোঝাও,	
atmobishvashi,	আত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
alsar,	অলসার,	আলসার,	
ebham,	ইভাম,	ইভিএম,	
bishesyer,	বিশেষ্যের,	বিশেষ্যের,	
jotharthovabey,	যথারতাবে,	যথার্থভাবে,	
nagaland,	নগল্যান্ড,	নাগাল্যান্ড,	
stana,	স্টন,	স্টোন,	
diaraesa,	ডায়রেশ,	ডিআরএস,	
dakticket,	ডাক্তিকেত,	ডাকটিকিট,	
foksher,	ফক্সের,	ফক্সের,	
upostheetir,	উপস্থিতির,	উপস্থিতির,	
bheenisa,	ভেনিস,	ভেনিস,	
peterer,	পেটারের,	পিটারের,	
bamoni,	বামনী,	বামনী,	
samoshtigato,	সমস্তিগত,	সমষ্টিগত,	
shangkulaan,	সঙ্কুলন,	সংকুলান,	
abortey,	আবর্তে,	আবর্তে,	
russad,	রুশাবাদ,	রুশদ,	
titlee,	টিটলি,	টাইটেল,	
ojowno,	অযৌনও,	অযৌন,	
gitikabitar,	গীতিকাবিতার,	গীতিকবিতার,	
monzile,	মঞ্জিলে,	মঞ্জিলে,	
tecnokret,	টেকনোকরর,	টেকনোক্র্যাট,	
prokalpeo,	প্রকল্পেও,	প্রকল্পেও,	
oichchheek,	উচ্ছিক,	ঐচ্ছিক,	
pooroheetra,	পুরোহীত্রা,	পুরোহিতরা,	
noiteekotar,	নৈতিকতার,	নৈতিকতার,	
mitra,	মিট্র,	মিত্র,	
pramathesh,	প্রমেথেশ,	প্রমথেশ,	
mmesenjar,	মেসেনজার,	মেসেঞ্জার,	
ashachetan,	অসচেতন,	অসচেতন,	
veedanta,	বিদান্ত,	বেদান্ত,	
jaanar,	জানার,	জানার,	
hugheke,	হুগেছে,	হিউজকে,	
bachaikrito,	বাচাইকিত,	বাছাইকৃত,	
rk,	এরএকি,	আরকে,	
bizit,	বিজিত,	বিজিত,	
helly,	হেলি,	হিলি,	
jolbe,	জলবে,	জ্বলবে,	
parshe,	পার্সে,	পার্শ্বে,	
ganohatyake,	গণহাত্যকে,	গণহত্যাকে,	
bujhechhilo,	বুঝেছিল,	বুঝেছিল,	
bupher,	বুফের,	বাফার,	
metroopoolitan,	মেট্রোপোলিটান,	মেট্রোপলিটন,	
manjurul,	মানজুরুল,	মনজুরুল,	
asamonjasyopurno,	আসমনযাসনূপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
shomrat,	সমরাত,	সম্রাট,	
bufer,	বুফের,	বাফার,	
daqten,	ডাকতেন,	ডাকতেন,	
nariikei,	নারীকেই,	নারীকেই,	
bongsho,	বংশ,	বংশ,	
sanaktokaran,	সনাকতকরণ,	সনাক্তকরণ,	
dail,	ডেল,	ডেইল,	
alpa,	আল্প,	অল্প,	
qonflict,	কনফলিক্ট,	কনফ্লিক্ট,	
gujaber,	গুজাবের,	গুজবের,	
horas,	হরাস,	হোরাস,	
mooldoova,	মুলদোভা,	মলদোভা,	
hondurus,	হন্দুরুষ,	হন্ডুরাস,	
shommoteete,	সম্মতিতে,	সম্মতিতে,	
muradpur,	মুরাদপুর,	মুরাদপুর,	
dhormantor,	ধর্মন্তর,	ধর্মান্তর,	
forma,	ফোর্ম,	ফর্মা,	
chalachchitrogulor,	চলচ্চিত্রাগুলোর,	চলচ্চিত্রগুলোর,	
oitijjo,	ঐতিজ্য,	ঐতিহ্য,	
bossonto,	বসন্ত,	বসন্ত,	
saatzoner,	সাতজনের,	সাতজনের,	
rajnoitik,	রাজনৈতিক,	রাজনৈতীক,	
nojod,	নজদ,	নজদ,	
raunanganey,	রৌঙাঙগগনে,	রণাঙ্গনে,	
preety,	প্রীতি,	প্রিটি,	
muhurtati,	মুহুর্তটটি,	মুহুর্তটি,	
taki,	তাকই,	তকি,	
thelyanda,	টেলন্যান্ড,	থাইল্যান্ড,	
palbangsher,	পলবংশের,	পালবংশের,	
ekmot,	একমত,	একমত,	
associatis,	অ্যাসোসিয়েশ,	এসোসিয়েটস,	
siddharther,	সিদ্ধার্থের,	সিদ্ধার্থের,	
chon,	চন,	ছোঁ,	
sompadoner,	সম্পাদনের,	সম্পাদনের,	
damone,	ডমনে,	দমনে,	
tyapa,	ট্যাপ,	ট্যাপ,	
palestinea,	পলেস্টিন,	প্যালেস্টাইনে,	
skyirt,	স্কায়ট,	স্কার্ট,	
bikargrasto,	বিকারগ্রাস্ত,	বিকারগ্রস্ত,	
fanda,	ফাঁদা,	ফান্ড,	
seeramiker,	সিরামিকের,	সিরামিকের,	
tintike,	তিনটিকে,	তিনটিকে,	
holdeeng,	হলদিং,	হোল্ডিং,	
ongshograhon,	অংশগ্রহণ,	অংশগ্রহন,	
edhdaning,	এডডেনিং,	ইদানিং,	
gaafeeloti,	গ্যাফিলিটি,	গাফিলতি,	
nabam,	নবম,	নবম,	
ponni,	পণ্নী,	পন্নী,	
bhartuky,	ভার্তুকি,	ভর্তুকি,	
ghatir,	ঘাটির,	ঘাটির,	
vaibonera,	ভাইবনেরা,	ভাইবোনেরা,	
surokarder,	সুরকরদের,	সুরকারদের,	
khoka,	কোক,	খোকা,	
staylish,	স্টেলিস,	স্টাইলিশ,	
byatikromi,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
lettere,	লেটারে,	লেটারে,	
bolechile,	বলেছিলে,	বলেছিলে,	
lag,	লাগ,	লগ,	
qarqa,	কার্ক,	কার্ক,	
badhano,	বাধানো,	বাঁধানো,	
nartaki,	নর্তকী,	নর্তকী,	
plus,	প্লাশ,	প্লাস,	
jerusalem,	জেরুসলেম,	জেরুজালেম,	
eenjeel,	এঞ্জেল,	ইঞ্জিল,	
chorchita,	চর্চিত,	চর্চিত,	
kooyartara,	কোয়ার্টার,	কোয়ার্টার,	
armenian,	আর্মেনিয়ান,	আর্মেনিয়ান,	
jathartha,	যথার্থ,	যথার্থ,	
concert,	কনসার্ট,	কানসাট,	
bamni,	বামনী,	বামনী,	
taalaal,	তালাল,	তালাল,	
maila,	মাইল,	মাইল,	
provritite,	প্রভৃত্তিতে,	প্রভৃতিতে,	
samashtike,	সমস্তিকে,	সমষ্টিকে,	
agamanke,	আগাানকে,	আগমনকে,	
kaamij,	কামীজ,	কামিজ,	
bii,	বিই,	বি,	
bishnuu,	বিস্নু,	বিষ্ণু,	
bhaabaaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
sangosthati,	সংস্থাটি,	সংস্থাটি,	
sanatani,	সনতানী,	সনাতনী,	
pallar,	পললার,	পাল্লার,	
joluk,	জলুক,	জ্বলুক,	
nabhela,	নাভেল,	নভেল,	
gavashkar,	গভাষ্কর,	গাভাস্কার,	
gaiche,	গেইছ,	গাইছে,	
bagdader,	বাদদাদের,	বাগদাদের,	
siddhantogulo,	সিদ্ধনগ্লগুলো,	সিদ্ধান্তগুলো,	
queery,	কুয়রি,	কোয়েরি,	
qaferderkey,	কাফেরদেরকে,	কাফেরদেরকে,	
alimpika,	আলিম্পিক,	অলিম্পিক,	
wagadada,	ভগদাডা,	বাগদাদ,	
gezetted,	গেজেটেড,	গেজেটেড,	
qeyboard,	কেবোর্ড,	কীবোর্ড,	
biswash,	বিশ্বাস,	বিশ্বাস,	
noveel,	নোভিল,	নভেল,	
mosjidkey,	মজ্দিদকে,	মসজিদকে,	
rilayeensa,	রিয়েলন্স,	রিলায়েন্স,	
rudrake,	রুদ্রাকে,	রুদ্রকে,	
graambaasee,	গ্রামবাসী,	গ্রামবাসী,	
chowdhuryder,	চৌধুদিদের,	চৌধুরীদের,	
gostike,	গোসটিকে,	গোষ্ঠীকে,	
shreechoitonyodeb,	শ্রীচৈতন্যদেব,	শ্রীচৈতন্যদেব,	
bardhitansh,	বর্ধিতানশ,	বর্ধিতাংশ,	
laboni,	লবণী,	লাবনী,	
skart,	স্কার্ট,	স্কার্ট,	
vaphara,	বাফার,	বাফার,	
tookroke,	তুকর্কে,	টুকরোকে,	
soori,	সুরি,	সুরি,	
longhon,	লঙ্ঘন,	লংঘন,	
pravritike,	প্রভৃত্তিকে,	প্রভৃতিকে,	
teuning,	টিউনিং,	টিউনিং,	
tophaat,	টফফট,	তফাৎ,	
arakaner,	আরককনের,	আরাকানের,	
karecha,	করেছ,	করেছ,	
sazanor,	সাজানোর,	সাজানোর,	
aasar,	আসার,	আসর,	
jameser,	জ্যামেসের,	জেমসের,	
arunima,	অরুণিমা,	অরুণিমা,	
sachetanvabe,	সচেতনভাবে,	সচেতনভাবে,	
damonmulok,	ডামনমূলক,	দমনমূলক,	
sumeetrar,	সুমিত্রার,	সুমিত্রার,	
aanish,	আনিশ,	আনিস,	
halding,	হলদিং,	হোল্ডিং,	
chatoke,	ছটটকে,	ছাতকে,	
nagorikderke,	নারীদেরকের,	নাগরিকদেরকে,	
ghomtaa,	ঘোমটা,	ঘোমটা,	
prachando,	প্রচন্ড,	প্রচণ্ড,	
naaji,	নাজি,	নাত্সি,	
bashite,	বাঁশিতে,	বাঁশিতে,	
rupantor,	রূপান্তর,	রুপান্তর,	
superheira,	সুপাইেরার,	সুপারহিরো,	
dologulo,	দলগুলো,	দলগুলো,	
hajareebag,	হাজীরবেগ,	হাজারিবাগ,	
rajtontrokey,	রাজতন্ত্রকে,	রাজতন্ত্রকে,	
sosoa,	সসো,	শশা,	
summi,	সামি,	সুমি,	
jamaanor,	জামানোর,	জমানোর,	
harano,	হরানো,	হারান,	
annimated,	অন্মিমেটাড,	এনিমেটেড,	
phuda,	ফুদা,	ফুড,	
daakteekit,	ডাকতিকিত,	ডাকটিকিট,	
panchbar,	পাঁচবর,	পাঁচবার,	
teter,	ট্যাটার,	টেটের,	
sunagarik,	সুনাগরিক,	সুনাগরিক,	
kobutorer,	কবুতরের,	কবুতরের,	
pillai,	পিলাই,	পিল্লাই,	
dweepkey,	দ্বিপপে,	দ্বীপকে,	
noitikatar,	নৈতিকতার,	নৈতিকতার,	
sow,	সও,	শো,	
dunkan,	দুঙকান,	ডানকান,	
uporital,	উপরিতাল,	উপরিতল,	
gaandas,	গানদাস,	জ্ঞানদাস,	
hyundai,	হানদাই,	হুন্দাই,	
alankorana,	অলঙ্করণা,	অলঙ্করণ,	
chitranatyakar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
mekong,	মেকন,	মেকং,	
musharraf,	মুশাররফ,	মশাররফ,	
nothibhookto,	নথিভুক্ত,	নথিভুক্ত,	
abhishangson,	অভিশংসন,	অভিশংসন,	
skolarsip,	স্কলারশিপ,	স্কলারশিপ,	
doltagi,	দলতাগী,	দলত্যাগী,	
azaan,	আজান,	আজান,	
roktokkoron,	রক্তককরণ,	রক্তক্ষরণের,	
sofier,	সোফীয়ার,	সোফির,	
koro,	কোরো,	কর,	
rubidiyam,	রুবিডিয়াম,	রুবিডিয়াম,	
definision,	ডেফিনিশন,	ডেফিনেশন,	
kraima,	ক্রাইম,	ক্রাইম,	
fooloo,	ফুলও,	পোলো,	
lokeshon,	লোকেশন,	লোকেশন,	
chalachchitrotike,	চলচ্চিত্রাটিকে,	চলচ্চিত্রটিকে,	
pro,	প্র,	প্রো,	
parther,	পার্থের,	পার্থের,	
vedanta,	বেদন্ত,	বেদান্ত,	
muhammad,	মুহাম্মাদ,	মুহম্মদ,	
janate,	জানাতে,	জানাতে,	
jeelyand,	জিল্যান্ড,	জিল্যান্ড,	
tafsirer,	তাফসিরের,	তাফসীরের,	
sallallahu,	সাল্লাল্লাহু,	সল্লাল্লাহু,	
subader,	সুবাদের,	সুবাদে,	
bhashik,	ভাষিক,	ভাষিক,	
roja,	রোজা,	রোযা,	
brinda,	ব্র্ণ্ড,	বৃন্দা,	
roza,	রোজা,	রোযা,	
suri,	সুরি,	সুরি,	
uchchotara,	উচ্চতারা,	উচ্চতর,	
prakalpatikey,	প্রকালপতিকে,	প্রকল্পটিকে,	
stonahenja,	স্টোনেঞ্জ,	স্টোনহেঞ্জ,	
abosorer,	আবসরের,	অবসরের,	
granther,	গ্রন্থের,	গ্রন্থের,	
thaanobhi,	ঠানভী,	থানভী,	
prokolpoguli,	প্রকল্পগুলি,	প্রকল্পগুলি,	
modeel,	মোডেল,	মডেল,	
falasrutite,	ফলাসরুটিতে,	ফলশ্রুতিতে,	
dazjo,	দাজ্য,	দাহ্য,	
chandrima,	চন্দ্রিমা,	চন্দ্রিমা,	
kemane,	কেমনে,	কেমনে,	
skalarasipa,	স্কলরাশিপ,	স্কলারশিপ,	
poschimae,	পশ্চিমে,	পশ্চিমে,	
dhyanostho,	ধ্যানস্থ,	ধ্যানস্থ,	
musalmanderkey,	মুলসমনদেরকে,	মুসলমানদেরকে,	
canton,	ক্যান্টন,	ক্যান্টন,	
pratisthanikvabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
chowdhuryke,	চৌধুরিকে,	চৌধুরীকে,	
catholicder,	ক্যাথলিকদের,	ক্যাথলিকদের,	
kartona,	কর্তনা,	করতনা,	
mashjid,	মাসজীদ,	মসজিদ,	
shuter,	সুতার,	শ্যুটার,	
beeswasoo,	বিশ্বাসু,	বিশ্বাসও,	
dap,	ডাপ,	ড্যাপ,	
jani,	জানি,	জনি,	
deool,	ডেওল,	দেউল,	
grantha,	গ্রন্থ,	গ্রন্থ,	
troup,	ট্রপপ,	ট্রুপ,	
sombhobonao,	সম্ভবনও,	সম্ভবনাও,	
protijogider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
byabaharkareeke,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
meghnadbadh,	মেঘনাদবাদ,	মেঘনাদবধ,	
soceitykey,	সোকেটিকে,	সোসাইটিকে,	
salafeta,	সলাফেটা,	সালফেট,	
volte,	ভলতে,	ভল্ট,	
shpreadshheet,	স্প্রিডেস,	স্প্রেডশীট,	
jommu,	জম্মু,	জম্মু,	
madrasake,	মদ্রসাকে,	মাদ্রাসাকে,	
songasthatir,	সংস্থাটির,	সংস্থাটির,	
elaakasoho,	এলাকাসহ,	এলাকাসহ,	
nanir,	নানির,	নানীর,	
asiph,	আসিফ,	আসিফ,	
fimel,	ফাইমেল,	ফিমেল,	
jomaanor,	জমানোর,	জমানোর,	
shomraat,	সমরাত,	সম্রাট,	
ixprission,	ইক্সপ্রেশন,	এক্সপ্রেশন,	
silvi,	সিলভি,	সিলভি,	
madraser,	মাদরাসের,	মাদ্রাজের,	
bharma,	ভর্ম,	ভার্মা,	
oncoltike,	অঞ্চলটিকে,	অঞ্চলটিকে,	
dakshinangsha,	দক্ষিণাংশ,	দক্ষিণাংশ,	
lutherana,	লুটেরন,	লুথেরান,	
governorer,	গভর্নরের,	গভর্ণরের,	
byaboharkariyi,	ব্যবহারকারী,	ব্যবহারকারীই,	
khijir,	খিজির,	খিজির,	
bouddher,	বৌদ্ধের,	বৌদ্ধের,	
turisht,	টুরিস্ট,	টুরিস্ট,	
pratiyogi,	প্রতিযোগী,	প্রতিযোগী,	
garnar,	গার্নার,	গার্নার,	
aanaan,	আনান,	আনান,	
cherechhe,	চেরেছে,	ছেড়েছে,	
totenhaamer,	ততেনহামের,	টটেনহামের,	
meghnadbodh,	মেঘাদ্ধবো,	মেঘনাদবধ,	
anchalgulote,	আঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
novell,	নোভেলল,	নভেল,	
bijito,	বিজিত,	বিজিত,	
charrjer,	চার্জের,	চার্জের,	
purohitra,	পুরহীত্র,	পুরোহিতরা,	
horinner,	হরিনের,	হরিণের,	
bondikey,	বন্দিকে,	বন্দীকে,	
machti,	মাচটি,	মাছটি,	
harbare,	হারবারে,	হারবারে,	
suma,	সুমা,	সুমো,	
ispreedshiit,	ইস্পৃদ্শিত,	স্প্রেডশীট,	
augustine,	আগুস্টিনে,	অগাস্টিন,	
daaloo,	ডালু,	ডালু,	
chaaltaa,	চালটা,	চালতা,	
sammatite,	সম্মতিতে,	সম্মতিতে,	
obiyi,	অবিই,	ওবিই,	
meg,	মেগ,	মেগ,	
karu,	কারু,	কারো,	
ghese,	ঘেসে,	ঘেঁষে,	
seet,	সেট,	সিট,	
chhatke,	ছটকে,	ছাতকে,	
oncolsoho,	অঙ্কললসহ,	অঞ্চলসহ,	
utsahamulok,	উৎসামালুক,	উৎসাহমূলক,	
dhormee,	ধর্মী,	ধর্মী,	
balatkar,	বলাতকার,	বলাৎকার,	
dembakriti,	দেম্ববৃতি,	ডিম্বাকৃতি,	
hizri,	হিজরি,	হিজরী,	
reejur,	রিজুর,	রিজুর,	
hoj,	হজ,	হয,	
heriken,	হেরিকেন,	হ্যারিকেন,	
shektara,	সেক্টর,	সেক্টর,	
daalu,	ডালু,	ডালু,	
cho,	চো,	ছোঁ,	
ajibonoer,	আজীবনের,	আজীবনের,	
thyachara,	থ্যাচার,	থ্যাচার,	
