steitt,	স্টেট,	স্টেইট,	
phulkapi,	ফুলকাপি,	ফুলকপি,	
anuchcheder,	অনুচ্ছদের,	অনুচ্ছেদের,	
jhijhi,	ঝিঝি,	ঝিঝি,	
mulbhitti,	মুলভিত্,	মূলভিত্তি,	
mitrata,	মিত্রাতা,	মিত্রতা,	
bohoodeen,	বহুদিন,	বহুদিন,	
asthishondhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
swarnali,	স্বর্ণলী,	স্বর্ণালী,	
proteesthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
orthoneeti,	অর্থনীটি,	অর্থনীতির,	
shkolashtik,	স্কলাস্টিক,	স্কলাস্টিক,	
tafsher,	তাফসের,	তাফসীর,	
shpredashhita,	স্প্রেডসিত,	স্প্রেডশীট,	
natniike,	নাটনীকে,	নাতনীকে,	
aiiub,	এইউব,	আইইউবি,	
sawom,	সৌম,	সাওম,	
digreeo,	ডিগ্রিও,	ডিগ্রিও,	
nandolal,	নন্দলাল,	নন্দলাল,	
sangrahok,	সংগ্রহক,	সংগ্রাহক,	
baharamporer,	বহরামপুরের,	বহরমপুরের,	
zillul,	জিল্লুল,	জিল্লুল,	
sithilota,	সিথিলতা,	শিথিলতা,	
shiqar,	সিকার,	শিকার,	
seemaa,	সিমা,	সীমা,	
nirmalata,	নির্মলতা,	নির্মলতা,	
soros,	সরস,	সরস,	
uporitale,	উপরিতালে,	উপরিতলে,	
soommitrar,	সুমিত্রার,	সুমিত্রার,	
laaz,	লাজ,	লাজ,	
bhalapuka,	ভালাপুকা,	ভোলাপুক,	
oitihye,	ঐতিহ্যে,	ঐতিহ্যে,	
parswer,	পারসের,	পার্শ্বে,	
dupleks,	ডিপ্লেক্স,	ডুপ্লে,	
puddin,	পুদ্বিন,	পুডিং,	
lagto,	লাগত,	লাগতো,	
janamukhi,	জনমুখী,	জনমুখী,	
geeja,	গেই,	গেজ,	
bamna,	বাম্না,	বামনা,	
shita,	শিটা,	সিট,	
durger,	দুর্গের,	দুর্গের,	
khagen,	খাজেন,	খগেন,	
bhromoner,	ভ্রমণের,	ভ্রমণের,	
diaraesa,	ডায়রাস,	ডিআরএস,	
eshoshiyetasha,	এসেসিটাশ,	এসোসিয়েটস,	
onkush,	অং্কুশ,	অংকুশ,	
soras,	সরাস,	সরস,	
keraam,	কেরাম,	কেরাম,	
chhutee,	ছুটি,	ছুটি,	
byaasalt,	ব্যাসাল,	ব্যাসল্ট,	
transfarm,	ট্রান্সফার্ম,	ট্রান্সফর্ম,	
shatjoner,	সাজনের,	সাতজনের,	
airish,	আইরিশ,	আইরিস,	
roopa,	রূপা,	রুপা,	
nodnodeer,	নদ্যদীর,	নদনদীর,	
nathibhukta,	নথিভুক্ত,	নথিভুক্ত,	
kompeeto,	কম্পিত,	কম্পিত,	
homes,	হোমে,	হোমস,	
artilari,	অর্টিলারি,	আর্টিলারি,	
tarabaina,	ত্বারাইন,	টারবাইন,	
tala,	তাল,	তালা,	
amarjito,	অমর্জিত,	অমার্জিত,	
abartey,	আবারতে,	আবর্তে,	
bahjya,	বাজ্য,	বাহ্য,	
qredita,	ক্রেডিট,	ক্রেডিট,	
ajimpur,	আজিমপুর,	আজিমপুর,	
grambasheeo,	গ্রাম্বাসী,	গ্রামবাসীও,	
pratisthanikvabey,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
nirobota,	নীরবতা,	নিরবতা,	
dokaangulote,	দোকানগুলোতে,	দোকানগুলোতে,	
oncholke,	অঞ্চলকে,	অঞ্চলকে,	
heightsh,	হেইসট,	হাইটস,	
mekon,	মেকন,	মেকং,	
hochchilo,	হচিছ,	হচ্ছিলো,	
ghur,	ঘুর,	ঘুর,	
akkaash,	একাশ,	আককাস,	
proteestha,	প্রতিষ্ঠা,	প্রতিষ্টা,	
danob,	দানব,	দানব,	
bandhubhaabaapanna,	বন্ধুবানমন্ন,	বন্ধুভাবাপন্ন,	
zesh,	জেস,	জেস,	
daul,	ডাউল,	দেউল,	
parqa,	পার্ক,	পার্ক,	
plainey,	প্লেইনে,	প্লেনে,	
udbodhoni,	উদ্বধনি,	উদ্বোধনী,	
hitoishi,	হিটিসি,	হিতৈষী,	
kortaam,	কর্তমা,	করতাম,	
damanmulok,	দামনমূলক,	দমনমূলক,	
sathik,	সাথিক,	সঠিক,	
bager,	ব্যাগের,	বাগের,	
somonnitobhabe,	সমানতিতভাবে,	সমন্বিতভাবে,	
graameroi,	গ্রামেরই,	গ্রামেরই,	
bamander,	বামান্ডার,	বামনদের,	
phastara,	ফোস্টার,	ফস্টার,	
suchorita,	সুচারিতা,	সুচরিতা,	
sayatana,	সায়টন,	শয়তান,	
amantrita,	অমন্ত্রিত,	আমন্ত্রিত,	
mukhabandha,	মুখবন্ধ,	মুখবন্ধ,	
gate,	গেট,	গ্যেটে,	
nirbaahe,	নির্বাহে,	নির্বাহে,	
janosonjog,	জনসংযোগ,	জনসংযোগ,	
bedanto,	বিদন্ত,	বেদান্ত,	
spredashiita,	স্পের্ডাসিট,	স্প্রেডশীট,	
dhyanostho,	ধ্যাস্থা,	ধ্যানস্থ,	
nirgoon,	নির্গুন,	নির্গুণ,	
mousumeo,	মৌসমুই,	মৌসুমেও,	
jackson,	জকসন,	জ্যাকসন,	
panchasjon,	পঞ্চজশন,	পঞ্চাশজন,	
swastir,	স্বস্তির,	স্বস্তির,	
pleto,	প্লেত,	প্লেটো,	
defineshana,	ডিফিনেশন,	ডেফিনেশন,	
jesa,	জেস,	জেস,	
falokti,	ফালকটি,	ফলকটি,	
gronthe,	গ্রন্থে,	গ্রন্থে,	
germanyteo,	জার্মানিতেও,	জার্মানিতেও,	
doobate,	ডুবাতে,	ডুবাতে,	
quoota,	কুউটা,	কোটা,	
pashchatey,	পাশ্চাত্যে,	পশ্চাতে,	
duncan,	ডানচান,	ডানকান,	
craze,	ক্রেজ,	ক্রেজ,	
groth,	গ্রোথ,	গ্রোথ,	
eukalyptus,	ইউক্লাপিটটাস,	ইউক্যালিপ্টাস,	
gaandaas,	জান্ডাস,	জ্ঞানদাস,	
jubokshoho,	যুবক্ষহ,	যুবকসহ,	
raagei,	রাগেই,	রাগেই,	
sahazlabhbhotar,	সহজভলভার,	সহজলভ্যতার,	
estania,	এস্টেনিয়া,	এস্তোনিয়া,	
norton,	নর্তন,	নর্টন,	
dipti,	দীপ্তি,	ডেপুটি,	
aairish,	আইরিশ,	আইরিস,	
sabhanetree,	সভানেত্রী,	সভানেত্রী,	
hiiragana,	হিরাগান,	হিরাগানা,	
fatakeshto,	ফতকেষ্ট,	ফাটাকেষ্ট,	
ancholgoolote,	অঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
leder,	লেডার,	লিডার,	
vushi,	ভূসি,	ভুষি,	
bihare,	বিহারে,	বিহারে,	
simmons,	সিম্নস,	সিমন্স,	
duckticketer,	ডাক্িটিকেটের,	ডাকটিকিটের,	
mozdur,	মজ্দুর,	মজদুর,	
gatee,	গেট,	গ্যেটে,	
chaakti,	চাকটি,	চাকতি,	
porijoner,	পরিজনের,	পরিজনের,	
sanaktokaron,	সনাক্তকরণ,	সনাক্তকরণ,	
bafal,	বাফল,	বিফল,	
dharabahikotitey,	ধারাবাহিতিকে,	ধারাবাহিকটিতে,	
sangosthati,	সংস্থাটি,	সংস্থাটি,	
cheerokoomari,	চিরককারমী,	চিরকুমারী,	
ghoomato,	ঘুমাত,	ঘুমাতো,	
bim,	বীম,	বিম,	
shuperhero,	সুপারেরও,	সুপারহিরো,	
machti,	মাছটি,	মাছটি,	
thaken,	থাকেন,	থাকেন,	
jansha,	জনস,	জন্স,	
roktokkhon,	রক্তক্ষণ,	রক্তক্ষরণের,	
cholochchitrogulor,	চলচ্চিত্রগুলোর,	চলচ্চিত্রগুলোর,	
ghumacchilo,	ঘুমাছিল,	ঘুমাচ্ছিল,	
anisha,	অনিশা,	আনিস,	
dorji,	দর্জি,	দরজি,	
shhayatana,	সায়টান,	শয়তান,	
karpeeta,	কার্পাট,	কার্পেট,	
horipur,	হরিপুর,	হরিপুর,	
beshirbhaageyi,	বেশিরভাগেই,	বেশিরভাগেই,	
haraten,	হারাতেন,	হারাতেন,	
songosthati,	সংস্থাটি,	সংস্থাটি,	
deaubande,	ডিউবন্ডে,	দেওবন্দে,	
besirvagei,	বেশিরভাগেই,	বেশিরভাগেই,	
maudeler,	মাউডেলের,	মডেলের,	
azim,	আজিম,	আজিম,	
aabahon,	আবাহন,	আবাহন,	
ganonatya,	গণনাত্য,	গণনাট্য,	
jonesh,	জনস,	জোন্স,	
asociates,	অসাচসেটিস,	এসোসিয়েটস,	
mukhya,	মূখ্য,	মুখ্য,	
wictor,	ভিক্টর,	ভিক্টর,	
machsoho,	মাসসহ,	মাছসহ,	
ayantarkatika,	অন্টর্কটিক,	অ্যান্টার্কটিকা,	
antarvuktimulak,	অন্তর্বৃূ্লকূত,	অন্তর্ভুক্তিমূলক,	
gananatya,	গণনাত্য,	গণনাট্য,	
bandike,	বন্দিকে,	বন্দীকে,	
poste,	পোস্ট,	পোষ্টে,	
kanasarabheeshana,	কনসারসেশন,	কনসারভেশন,	
nirorthok,	নিরর্থক,	নিরর্থক,	
engrezder,	ইংগেরদের,	ইংরেজদের,	
bagda,	বাজ্দা,	বাগদা,	
si,	সি,	এসআই,	
durgandho,	দুরগান্ধ,	দুর্গন্ধ,	
dabhara,	ডভার,	ডোভার,	
jokrit,	যকৃত,	যকৃৎ,	
path,	পথ,	পাথ,	
soceitykey,	সকেটিকে,	সোসাইটিকে,	
ivaner,	ইভানের,	ইভানের,	
totokhhon,	ততক্ষণ,	ততক্ষন,	
shakara,	সাকারা,	সাকার,	
eashter,	ইস্টার,	ইস্টার,	
nischitabhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
bizito,	বিজিত,	বিজিত,	
sombhobonaao,	সম্ভাবনাও,	সম্ভবনাও,	
cathalic,	চ্যালকিক,	ক্যাথলিক,	
jaatte,	যত্তে,	জাতটি,	
jeteo,	যেটেও,	যেতেও,	
lutheran,	লুথেরেন,	লুথেরান,	
bosantake,	বসন্তকে,	বসন্তকে,	
sommotitey,	সম্মতিতে,	সম্মতিতে,	
moushumeo,	মৌশুমে,	মৌসুমেও,	
noiteekotabodh,	নৈতিক্তবোধ,	নৈতিকতাবোধ,	
bukhari,	বুখারী,	বুখারি,	
alexandarkey,	আলেকন্ডরককে,	আলেকজান্ডারকে,	
texuser,	ট্যাক্সের,	টেক্সাসের,	
eenasiyeenta,	এনস্যাইন্ট,	এনসিয়েন্ট,	
taorat,	তোরৎা,	তওরাত,	
onodhikar,	অনধিকার,	অনধিকার,	
kortona,	কর্তনা,	করতনা,	
zesa,	জেস,	জেস,	
aboshorer,	অবসরের,	অবসরের,	
hotelteete,	হটেলটিতে,	হোটেলটিতে,	
sweety,	স্বীতি,	সুইটি,	
seconde,	সেক্ন্ডে,	সেকেন্ডে,	
oshamorik,	ওসামরিক,	অসামরিক,	
oncholti,	অনচলতি,	অঞ্চলটি,	
khambaa,	খাম্বা,	খাম্বা,	
ceramicer,	সারেমাইকার,	সিরামিকের,	
oholla,	অহললা,	অহল্যা,	
shringgey,	শ্রীঙ্গে,	শৃঙ্গে,	
maail,	মাইল,	মাইল,	
graambaashio,	গ্র্মাবাসও,	গ্রামবাসীও,	
dasha,	দশা,	দোসা,	
sanghitar,	সংঘীতার,	সংহিতার,	
omkar,	ওমকার,	ওঙ্কার,	
daaraa,	দারা,	দারা,	
elaka,	এলাকা,	এলাকা,	
bishrinkhala,	বিশৃঙ্খলা,	বিশৃঙ্খলা,	
daktickete,	ডাক্তিকটে,	ডাকটিকিটে,	
kormosompadon,	কর্মস্পদ্যন,	কর্মসম্পাদন,	
israiler,	ইসরাইলের,	ইসরাঈলের,	
chattke,	চত্বকে,	ছাতকে,	
definishion,	ডেফিনিশন,	ডেফিনেশন,	
paschimey,	পশ্চিমে,	পশ্চিমে,	
laishenshe,	লেইস্সে,	লাইসেন্স,	
hafez,	হাফেজ,	হাফেয,	
aakaabaar,	আকাবার,	আকাবার,	
sohokaree,	সহকারি,	সহকারী,	
giitikobita,	গীতিকাবিতা,	গীতিকবিতা,	
eucalyptush,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
mitrer,	মিত্রের,	মিত্রের,	
uporitaler,	উপরিতালের,	উপরিতলের,	
siramiqasa,	সিরোমিকাস,	সিরামিকস,	
venna,	ভেন্না,	ভেন্না,	
beshirvagyi,	বেশিরভাগই,	বেশিরভাগই,	
jackey,	যাকি,	জকি,	
asommoti,	অসমমতি,	অসম্মতি,	
sajja,	সাজ্য,	সজ্জা,	
dhrubaker,	ধ্রুবকের,	ধ্রুবকের,	
elakatike,	এলাকাটিকে,	এলাকাটিকে,	
goteehin,	গতিহীন,	গতিহীন,	
koreemke,	করিমকে,	করিমকে,	
maaktoome,	মাকতুমে,	মাকতুম,	
qoyartara,	কোয়ার্টার,	কোয়ার্টার,	
abikal,	আবিক্যাল,	অবিকল,	
ghoomachhe,	ঘুমাছে,	ঘুমাচ্ছে,	
lambate,	লম্বাতে,	লম্বাটে,	
ashammatite,	অসমমতিতে,	অসম্মতি,	
subade,	সুবাদে,	সুবাদে,	
shikhar,	শিখর,	শিকার,	
kanthar,	কন্ঠার,	কাঁথার,	
plane,	প্লেন,	প্লেন,	
obiyi,	অবিই,	ওবিই,	
muhurtoti,	মুহুর্তটি,	মুহুর্তটি,	
moldova,	মলদোও,	মলদোভা,	
elakasoho,	এলাকাশও,	এলাকাসহ,	
juktorashtre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
bonovumite,	বনভূমিতে,	বনভূমিতে,	
ekeerokom,	একেরকম,	একইরকম,	
silwar,	সিলভার,	সিলভার,	
heart,	হার্ট,	হার্ট,	
armenian,	আরমেনিয়ান,	আর্মেনিয়ান,	
as,	আস,	অস,	
sqalastiqa,	স্কলস্টিক,	স্কলাস্টিক,	
haitasa,	হাইটাস,	হাইটস,	
tinhazar,	তিনহাজার,	তিনহাজার,	
jyaka,	য্যাকা,	জ্যাক,	
shreeshree,	শ্রীশ্রী,	শ্রীশ্রী,	
rokshonbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
onekeri,	অনেকারি,	অনেকেরই,	
dinesh,	ডিনেশ,	দীনেশ,	
jeansh,	জেনস,	জিন্স,	
jockei,	যকেই,	জকি,	
chirokoomari,	চিরকমারি,	চিরকুমারী,	
ghesha,	ঘেষা,	ঘেঁষা,	
seekkhokke,	শিক্ষকে,	শিক্ষককে,	
agamane,	আগামনে,	আগমনে,	
victor,	ভিক্টর,	ভিক্টর,	
labonaktotar,	লবনাক্ততার,	লবণাক্ততার,	
sudhuyi,	সুধ্যে,	শুধুই,	
letterey,	লেটারে,	লেটারে,	
dovar,	ডভার,	ডোভার,	
chalachchitro,	চালচি্ত্র,	চলচ্চিত্র,	
baarbadoj,	বার্বোজোজ,	বার্বাডোজ,	
charban,	চারবান,	চর্বন,	
monur,	মনুর,	মনুর,	
sachetanotamulok,	সচরতনাথমূলক,	সচেতনতামূলক,	
baataree,	বাতারী,	ব্যাটারী,	
siit,	সীট,	শীত,	
pannee,	পনন,	পন্নী,	
prajanankal,	প্রজানকাল,	প্রজননকাল,	
jonser,	জনসের,	জোন্সের,	
shayetana,	সায়টান,	শয়তান,	
donat,	দোনট,	ডোনাট,	
benis,	বেনিস,	ভেনিস,	
bodna,	বদনা,	বদনা,	
mausumei,	মৌসমেই,	মৌসুমেই,	
dayraa,	দৈরে,	ডেরা,	
beeseshyer,	বিশেষ্যের,	বিশেষ্যের,	
shitei,	শিইটেই,	শীতেই,	
taimas,	টাইমস,	টাইমস্,	
nadigulo,	নাদিগুলো,	নদীগুলো,	
mathew,	মথে,	ম্যাথিউ,	
youth,	ইউথ,	ইয়ুথ,	
biplabee,	বিপ্লবি,	বিপ্লবী,	
bonvumitey,	বনভূমিতে,	বনভূমিতে,	
jivjontu,	জিবনজুত,	জীবজন্তু,	
choudhoorider,	চৌধুরিদের,	চৌধুরীদের,	
aireshe,	আইরেশে,	আইরেসে,	
firozaa,	ফিরোজা,	ফিরোজা,	
anchalgoolir,	অঞ্চললুরির,	অঞ্চলগুলির,	
unhu,	উনু,	উঁহু,	
window,	উইন্ডো,	উইন্ডো,	
doorotomo,	দুরতম,	দূরতম,	
emerjency,	এমের্জনে,	এমার্জেন্সি,	
oindreela,	অন্ড্রেল,	ঐন্দ্রিলা,	
ancholsaha,	অঞ্চলসহ,	অঞ্চলসহ,	
tarunderke,	তারুনদেরকে,	তরুণদেরকে,	
pratiyogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
pharanyeta,	ফরণ্যাত,	ফরম্যাট,	
qoda,	কোড,	কোডা,	
crescenter,	ক্রিসেেন্টের,	ক্রিসেন্টের,	
bachchan,	বাচ্ছান,	বচ্চন,	
samanyo,	সমান্য,	সামান্য,	
gacher,	গাছের,	গাছের,	
agenda,	অজেন্দা,	এজেন্ডা,	
bhromonkale,	ভ্রমণকালে,	ভ্রমণকালে,	
bholapuka,	ভললাপুকা,	ভোলাপুক,	
aashirbad,	আশীর্বাদ,	আশির্বাদ,	
akik,	একিক,	আকিক,	
byaboharkarikey,	ব্যবহারকারিকে,	ব্যবহারকারীকে,	
bodqa,	বদ্া,	ভদকা,	
nischitvabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
ateetkale,	অতীতকালে,	অতীতকালে,	
khilaphat,	খিলফাাত,	খিলাফত,	
naagaaland,	নাগলন্ড,	নাগাল্যান্ড,	
mukhamandol,	মুখমন্ডল,	মুখমণ্ডল,	
majlish,	মজলিস,	মজলিশ,	
sampadonkari,	সম্পাদকাণী,	সম্পাদনকারী,	
dhyana,	ধ্যান,	ধ্যান,	
utshahe,	উত্সাহে,	উৎসাহে,	
shelim,	সিলিম,	সেলিম,	
jemske,	জেমসকে,	জেমসকে,	
ovigomon,	অভিগমন,	অভিগমন,	
matorom,	মাতরোম,	মাতরম,	
shtonehenge,	স্টোনেনজে,	স্টোনহেঞ্জ,	
netsi,	নেটসি,	নাত্সি,	
kheylechen,	খেলেছেন,	খেলেছেন,	
swatantrata,	স্বাতন্ত্রতা,	স্বতন্ত্রতা,	
choshon,	চোষণ,	চোষণ,	
shiqha,	শিখা,	শিখ,	
rajashri,	রাজস্রী,	রাজশ্রী,	
probesher,	প্রবেশের,	প্রবেশের,	
sachetanatamulak,	সচরতনাথমূলক,	সচেতনতামূলক,	
jounatar,	যৌনতার,	যৌনতার,	
suraaropeeto,	সুরারপুত,	সুরারোপিত,	
source,	সোর্স,	সোর্স,	
uchchatara,	উচ্চতারা,	উচ্চতর,	
niranjan,	নিরঞ্জন,	নিরঞ্জন,	
katbey,	কাটবে,	কাটবে,	
haze,	হেজ,	হেজ,	
bhuushito,	ভূষিও,	ভূষিত,	
konfleekt,	কনফিল্ক,	কনফ্লিক্ট,	
kredit,	ক্রিডিট,	ক্রেডিট,	
mascat,	মাসকাট,	মাস্কাট,	
chilona,	চিলননা,	ছিলনা,	
canservatian,	কনযার্ভারেশন,	কনসারভেশন,	
grambaashio,	গ্র্বামাসিও,	গ্রামবাসীও,	
paripaker,	পরিপকের,	পরিপাকের,	
oiteejyo,	ঐতিজ্য,	ঐতিহ্য,	
ahalyar,	আহললর,	অহল্যার,	
kada,	কাদা,	কোডা,	
jalrang,	জ্বলরা,	জলরঙ,	
somratra,	সম্রাত্র,	সম্রাটরা,	
ateeteo,	অতিতেও,	অতীতেও,	
dephinition,	ডেফিনিশন,	ডেফিনেশন,	
anchalo,	অঞ্চল,	অঞ্চলও,	
lishenshe,	লিসেস্,	লাইসেন্স,	
ancient,	এনযান্সট,	এনসিয়েন্ট,	
bedey,	বেডে,	বেদে,	
umedpoor,	উমেজপুর,	উমেদপুর,	
donata,	ডোনাটা,	ডোনাট,	
kayartara,	কায়রোরটার,	কোয়ার্টার,	
siddhantai,	সিদ্ধনাাই,	সিদ্ধান্তই,	
militarite,	মিলিটারিতে,	মিলিটারিতে,	
ide,	ঈদ,	আইডিই,	
enamel,	এনামেল,	এনামেল,	
oocchoseeto,	উচ্চসিত,	উচ্ছসিত,	
vishnu,	বিষ্ণু,	বিষ্ণু,	
coolin,	কুলিন,	কুলিং,	
alaul,	অলাউল,	আলাওল,	
pleta,	প্লেট,	প্লেটো,	
raktaksharaner,	রক্তকরণসরের,	রক্তক্ষরণের,	
patrol,	পাত্রল,	পেট্রোল,	
monhputa,	মনিপুতা,	মনঃপুত,	
durotaumo,	দুরতর,	দূরতম,	
bisheshshyer,	বিশেষ্যের,	বিশেষ্যের,	
nilkamol,	নিলকমল,	নীলকমল,	
breakthrough,	ব্রেক্রঘু,	ব্রেকথ্রু,	
shrishri,	সৃষ্রি,	শ্রীশ্রী,	
gasthi,	গ্যাঠি,	গোষ্ঠী,	
spancer,	স্পেসার,	স্পেন্সার,	
gezeteda,	জেজেটেড,	গেজেটেড,	
komtee,	কমটি,	কমতি,	
dala,	ডাল,	দলা,	
yeaster,	ইয়েস্টার,	ইস্টের,	
sthaponakay,	স্থাপনাকে,	স্থাপনাকে,	
zockey,	জকে,	জকি,	
bhenus,	ভেনুস,	ভেনাস,	
konroop,	কনরুপ,	কোনরূপ,	
konagulo,	কোনগুলো,	কণাগুলো,	
provu,	প্রভূ,	প্রভু,	
sangkulaan,	সংকুলন,	সংকুলান,	
niropeksh,	নিরপকেষ,	নিরপেক্ষ,	
sachetanbhabe,	সচাতনাভাবে,	সচেতনভাবে,	
mosjidsaha,	মস্জিদসহ,	মসজিদসহ,	
iceberg,	এসেবর্,	আইসবার্গ,	
ekai,	একই,	একাই,	
argho,	অর্ঘ,	অর্ঘ্য,	
tecnokret,	টেকনক্র্ট,	টেকনোক্র্যাট,	
keyuyi,	কেইউই,	কেউই,	
ragi,	রাগি,	রাগী,	
depp,	ডিপ,	ডেপ,	
pratistha,	প্রতিষ্ঠা,	প্রতিষ্টা,	
prakalpao,	প্রকালপো,	প্রকল্পও,	
myakbeth,	ম্যাকথে,	ম্যাকবেথ,	
palestiner,	পেলস্টিনের,	প্যালেস্টাইনের,	
licenshe,	লিসেন্স,	লাইসেন্স,	
chabir,	ছবির,	চাবির,	
saras,	সরাস,	সরস,	
ebham,	ইভাম,	ইভিএম,	
paltechhey,	পাল্টেছে,	পাল্টেছে,	
kulim,	কুলিং,	কুলিং,	
zuktorastroshoho,	যুক্তরাস্ট্রসহ,	যুক্তরাষ্ট্রসহ,	
shangkulaan,	সংকুলন,	সংকুলান,	
gandhio,	গান্ধিও,	গান্ধীও,	
breil,	ব্রেল,	ব্রেইল,	
seekkhokder,	শিক্ষকদের,	শিক্ষকদের,	
salmaaner,	স্যামানের,	সালমানের,	
bcci,	সিবি,	বিসিসিআই,	
oporeeshodhito,	অপরিশোধিত,	অপরিশোধিত,	
lecense,	লিসেসে,	লাইসেন্স,	
sahochorjey,	সহচর্মে,	সাহচর্যে,	
elakaao,	এলাকাও,	এলাকাও,	
foxcon,	ফক্সন,	ফক্সকন,	
sooya,	সোয়া,	সোয়া,	
cherechhe,	চেরেছে,	ছেড়েছে,	
rupert,	রিপার্ট,	রুপার্ট,	
tenisa,	টেনিস,	টেনিস,	
ekghorey,	একঘরে,	একঘরে,	
shloker,	স্লকের,	শ্লোকের,	
toruner,	তরুণের,	তরুণের,	
mugdho,	মুগ্ধ,	মুগ্ধ,	
bojhey,	বোঝে,	বোঝে,	
bagdader,	বাজদাদের,	বাগদাদের,	
definition,	ডেফিনিশন,	ডেফিনেশন,	
morathi,	মোরাঠি,	মরাঠি,	
nirapekkhotar,	নিরেপক্ষতার,	নিরপেক্ষতার,	
leader,	লিডার,	লিডার,	
onurbor,	অনুর্ভর,	অনুর্বর,	
depooti,	দেপুটি,	ডেপুটি,	
uponishoder,	উপনিষদের,	উপনিষদের,	
joones,	জুনেস,	জোন্স,	
poriikkhateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
chyeta,	চ্যাটা,	চ্যাট,	
satarkata,	সতর্কতা,	সতর্কতা,	
ganoporibahaner,	গণপরিবহনের,	গণপরিবহনের,	
bhangchoor,	ভাঙচুর,	ভাংচুর,	
temoni,	তেমনি,	তেমনই,	
madhuree,	মধুরি,	মাধুরী,	
lala,	লালা,	লালা,	
sotorko,	সতরক্ক,	সতর্ক,	
firoz,	ফিরোজ,	ফিরোজ,	
amarika,	অমেরিকা,	আমেরিকা,	
atorkite,	অটর্কিতে,	অতর্কিতে,	
goreeb,	গরীব,	গরিব,	
oncolsoho,	অন্কসহ,	অঞ্চলসহ,	
aansaarir,	আনসারির,	আনসারীর,	
hilser,	হিলসের,	হিলসের,	
playtey,	প্লেই,	প্লেটে,	
bhagirath,	ভাগীরথ,	ভগীরথ,	
nomo,	নম,	নমো,	
marodeha,	মারাদেহ,	মরদেহ,	
parjotaker,	পর্যটকের,	পর্যটকের,	
breq,	ব্র্য,	ব্রেক,	
enginears,	ইজনিনজার্স,	ইঞ্জিনিয়ার্স,	
victar,	ভিক্টর,	ভিক্টর,	
khanankaj,	খননকাজ,	খননকাজ,	
satarkakaree,	সতর্কারী,	সতর্ককারী,	
cbi,	সিবি,	সিবিআই,	
enasiyenta,	এনস্য়েন্ট,	এনসিয়েন্ট,	
gosti,	গস্টি,	গোষ্ঠী,	
plus,	প্লাস,	প্লাস,	
sathikata,	সৈথিকা,	সঠিকতা,	
raha,	রাহ,	রঃ,	
tafsirer,	তফসিরের,	তাফসীরের,	
gronthotike,	গ্রন্থটিকে,	গ্রন্থটিকে,	
saazanor,	সাজানোর,	সাজানোর,	
bhagerei,	ভাগেরেই,	ভাগেরই,	
udbhabony,	উদ্ভাবনী,	উদ্ভাবনী,	
sainyasoho,	সৈন্যসহ,	সৈন্যসহ,	
bhittow,	ভিত্য,	ভিত্তিও,	
novell,	নোভেল,	নভেল,	
jibjantu,	জীবনযুত্,	জীবজন্তু,	
otyachari,	অত্যাচারী,	অত্যাচারী,	
filipiner,	ফিলিপিনের,	ফিলিপাইনের,	
kraim,	ক্রেম,	ক্রাইম,	
heza,	হেজা,	হেজ,	
ganachiner,	জনচিনের,	গণচীনের,	
cholocchitroi,	চলচিত্রই,	চলচ্চিত্রই,	
sollallhoo,	সোল্ল্ল,	সল্লাল্লাহু,	
roy,	রে,	রায়,	
mawdel,	মাউদেল,	মডেল,	
jathaartho,	যথার্থ,	যথার্থ,	
streegon,	স্ত্রীগণ,	স্ত্রীগণ,	
bard,	বার্ড,	বার্ড,	
shyutara,	স্যুটার,	শ্যুটার,	
kanaflikta,	কানলিক্ট,	কনফ্লিক্ট,	
bhyaatikaaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
netherlande,	নেদারল্যান্ডে,	নেদারল্যান্ডে,	
eksapreshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
madhobi,	মাধবী,	মাধবীর,	
ajeempoor,	আজিমপুর,	আজিমপুর,	
shilpojat,	শিল্পজাত,	শিল্পজাত,	
sulfete,	সুলফেই,	সালফেট,	
jolorong,	জলোরং,	জলরঙ,	
songhar,	সংঘর,	সংহার,	
macbeth,	মক্বে,	ম্যাকবেথ,	
falashruti,	ফলস্রুরিতি,	ফলশ্রুতি,	
babilon,	বাবিলোন,	ব্যাবিলন,	
mekong,	মেকাং,	মেকং,	
mokhmoley,	মখ্যলে,	মখমলে,	
ispredsit,	ইস্পার্ডিট,	স্প্রেডশীট,	
chhattrorai,	ছাত্ররাই,	ছাত্ররাই,	
neemitto,	নিমিত্য,	নিমিত্ত,	
ekkoghore,	একঘরে,	একঘরে,	
istonia,	ইস্টোনিয়া,	এস্তোনিয়া,	
