sina,	সিন,	সিনা,	
teestar,	টেস্টার,	তিস্তার,	
akkharkey,	অক্ষরকে,	অক্ষরকে,	
adbhansed,	অ্যাডভানেড,	অ্যাডভান্সড,	
satthikota,	সাথীতকা,	সঠিকতা,	
jamjomat,	জমমোমত,	জমজমাট,	
sazanor,	সজজানোর,	সাজানোর,	
addhattik,	আধ্যাতিক,	আধ্যাত্মিক,	
sharthe,	সর্থে,	স্বার্থে,	
besur,	বেশুর,	বেসুর,	
rashider,	রাশিদের,	রশিদের,	
dhoka,	ঢোকা,	ধোঁকা,	
elakaate,	এলাকাতে,	এলাকাতে,	
gafilati,	গফিলাটি,	গাফিলতি,	
nagorikderke,	নগরীকেরকে,	নাগরিকদেরকে,	
oorgho,	অর্ঘ,	অর্ঘ্য,	
shoshar,	শসার,	সকার,	
sakara,	শকারা,	সাকার,	
chhatogalper,	ছোটোগলপের,	ছোটগল্পের,	
soptahokal,	সপ্তাহকাল,	সপ্তাহকাল,	
kyanela,	ক্যানেল,	ক্যানেল,	
bossonte,	বসন্তে,	বসন্তে,	
asovyo,	অসভ্য,	অসভ্য,	
agrodoot,	অগ্রদূত,	অগ্রদূত,	
vor,	ভোর,	ভর,	
nodimaatrik,	নদমীমাত্রিক,	নদীমাতৃক,	
koyeri,	কোয়ারি,	কোয়েরি,	
sachetan,	সচেতান,	সচেতন,	
bbiswashe,	বিশ্বাসে,	বিশ্বাসে,	
hajat,	হজাত,	হজত,	
utsahi,	উৎসাহী,	উৎসাহী,	
shhcholashtik,	স্কলাশসিট,	স্কলাস্টিক,	
auncholo,	অঞ্চলো,	অঞ্চলও,	
uchhoshito,	উচ্চসিত,	উচ্ছসিত,	
smarok,	স্মররক,	স্মারক,	
brookolin,	ব্রুকোলিন,	ব্রুকলিন,	
moushumer,	মৌশুমের,	মৌসুমের,	
asamonjasyopurno,	অসমানযোগরণকন্ন,	অসামঞ্জস্যপূর্ণ,	
gitikabita,	গীতিকাবিত,	গীতিকবিতা,	
chargar,	চার্গার,	চার্জার,	
foshter,	ফোস্টার,	ফস্টার,	
chasee,	চাষী,	চেস,	
khorsed,	ক্ররেশ,	খোরশেদ,	
romjaner,	রমজানের,	রমযানের,	
kadam,	কদম,	কদম,	
shoreefpur,	শরীপুর,	শরিফপুর,	
euroo,	ইউরো,	ইউরো,	
bagicha,	বাজিচা,	বাগিচা,	
mulgoto,	মুলগত,	মূলগত,	
pravritite,	প্রভৃতিতে,	প্রভৃতিতে,	
janoganonar,	জনগণনার,	জনগণনার,	
sharifpur,	শরীপুর,	শরিফপুর,	
timothi,	তিমোথী,	টিমোথি,	
zoojyota,	যুজ্জতা,	যোজ্যতা,	
orthoniti,	অর্থনীতি,	অর্থনীতির,	
sanmukh,	সা্নুমুখ,	সন্মুখ,	
armenan,	আরমেনন,	আর্মেনিয়ান,	
longhoner,	লঙ্ঘনের,	লংঘনের,	
taholei,	তাললেই,	তাহলেই,	
nabom,	নবম,	নবম,	
lombate,	লমবাতে,	লম্বাটে,	
nothibhookta,	নথিভুক্ত,	নথিভুক্ত,	
akai,	একাই,	একাই,	
pacbbar,	পাকবার,	পাঁচবার,	
ekpaase,	একপাশে,	একপাশে,	
sanghorsheek,	সংঘোর্ষিক,	সাংঘর্ষিক,	
halding,	হালিং,	হোল্ডিং,	
prodiiper,	প্রদিপের,	প্রদীপের,	
cholechi,	চলেছি,	চলেছি,	
mmeloborrner,	মেলবররণের,	মেলবোর্নের,	
astikra,	অস্ত্রিকাা,	আস্তিকতা,	
brittakarey,	বৃত্রকারে,	বৃত্তাকারে,	
jerushalema,	জেরুশালেল,	জেরুসালেম,	
tonight,	টোনিথ,	টুনাইট,	
uposhthit,	উপস্থিত,	উপস্থিত,	
tader,	তাঁদের,	তদের,	
melbourney,	মেলবার্ন,	মেলবোর্নে,	
ukeliptash,	উকেকালপিটস,	ইউক্যালিপ্টাস,	
sookumari,	সুকুমারি,	সুকুমারী,	
torokareer,	তরকারীর,	তরকারীর,	
sabche,	সবছে,	সবচে,	
mach,	মাচ,	মাছ,	
dhhaaloor,	ঢালুর,	ঢালুর,	
babna,	বাবনা,	বাবনা,	
abosane,	অবশানে,	অবসানে,	
natunatwa,	নতুনত্ব,	নতুনত্ব,	
akik,	আকিক,	আকিক,	
qarima,	কািমা,	করিম,	
bonvumitey,	বনভূমিতে,	বনভূমিতে,	
ganana,	গণনা,	গণনা,	
prokalpaguli,	প্রকালপুলি,	প্রকল্পগুলি,	
parshwer,	পার্শের,	পার্শ্বের,	
agenda,	এজেন্ড,	এজেন্ডা,	
mastarsa,	মাস্টার্স,	মাস্টার্স,	
kadorer,	কাদরের,	কদরের,	
dhos,	ধোষ,	ধস,	
projanankal,	প্রজানকলান,	প্রজননকাল,	
karlasa,	কার্লস,	কার্লোস,	
ronodeep,	রণণীক,	রণদীপ,	
footbalarer,	ফুটবলারের,	ফুটবলারের,	
sukna,	শুকনা,	শুকনা,	
ghetu,	ঘেটু,	ঘেটু,	
shikkhakke,	শিক্ষককে,	শিক্ষককে,	
amarendra,	আমরেন্দ্র,	অমরেন্দ্র,	
recondition,	রেকন্ডিশন,	রিকন্ডিশন,	
ashanka,	আশঙ্কা,	আশঙ্কা,	
jotsna,	জোটসনা,	জ্যোৎস্না,	
rakkhanvag,	রক্ষণাাগ,	রক্ষণভাগ,	
jatharthobhabe,	যাথরথাভাবে,	যথার্থভাবে,	
haldim,	হালমিদ,	হোল্ডিং,	
konistho,	কনিষ্ঠ,	কনিষ্ঠ,	
gaadha,	গাধা,	গাধা,	
bonduk,	বন্দুক,	বন্দুক,	
hoshein,	হোসেইন,	হোসেইন,	
besarkarikaran,	বেসরকারিকরণ,	বেসরকারিকরণ,	
seqtara,	সেক্টর,	সেক্টর,	
heja,	হেজ,	হেজ,	
liseens,	লিসেন্স,	লাইসেন্স,	
forider,	ফরিদের,	ফরিদের,	
bohubar,	বহুবার,	বহুবার,	
otorkeitey,	অটরকিতে,	অতর্কিতে,	
gatee,	গেট,	গ্যেটে,	
sthapanagulor,	স্থাপগালোনোর,	স্থাপনাগুলোর,	
byaboharkariderke,	ব্যবহারকারীদেরকে,	ব্যবহারকারীদেরকে,	
aiisa,	আইএস,	আইএএস,	
salil,	সালীল,	সলিল,	
ssumita,	সুমিতা,	সুমিতা,	
kaalengaa,	কালেঙ্গ,	কালেঙ্গা,	
kloj,	ক্লোজ,	ক্লজ,	
nilfamarir,	নিলফামারীর,	নীলফামারীর,	
karkatkranti,	করকরাতক্তি,	কর্কটক্রান্তি,	
boneo,	বননেও,	বনেও,	
daalu,	দালু,	ডালু,	
pratiyogi,	প্রতিযোগী,	প্রতিযোগী,	
monjurul,	মঞ্জুুরুল,	মনজুরুল,	
noiteekvabe,	নৈতিকভাবে,	নৈতিকভাবে,	
sommotir,	সম্মোতির,	সম্মতির,	
karmopantha,	কর্মপথ্চা,	কর্মপন্থা,	
vatar,	ভাতার,	ভাতার,	
bharpur,	ভারপুর,	ভরপুর,	
ovigomon,	অভিগমন,	অভিগমন,	
romantik,	রোমান্ত্রিক,	রোমান্টিক,	
bhogirath,	ভগিরতা,	ভগীরথ,	
ispreedshiit,	ইস্পৃর্েশিত,	স্প্রেডশীট,	
onkita,	অংকিত,	অঙ্কিতা,	
karadondey,	কারাদন্ডে,	কারাদণ্ডে,	
abheedhaanick,	অবিধাহিনক,	অভিধানিক,	
baharampurer,	বহরমামপুরের,	বহরমপুরের,	
graambasee,	গ্রামাবাসী,	গ্রামবাসী,	
monjooshree,	মঞ্জুরী,	মঞ্জুশ্রী,	
dormetory,	ডরমেটরি,	ডরমিটরি,	
laaishesh,	লাইসেস,	লাইসেন্স,	
umedpoor,	উমেদপুর,	উমেদপুর,	
haphej,	হাফেজ,	হাফেয,	
dakticket,	ডাকতিকেট,	ডাকটিকিট,	
shaatjon,	সাজ্ঞন,	সাতজন,	
pretty,	প্রেত্টি,	প্রিটি,	
uponeeshod,	উপনিষদ,	উপনিষদ,	
kaleo,	কললেও,	কালেও,	
shikha,	শিখা,	শিখ,	
byakkhabyatito,	ব্যা্্বযাতিত,	ব্যাখ্যাতীত,	
motamoto,	মোটামোটো,	মতামতও,	
semai,	সেমই,	সেমাই,	
elakaai,	এলাকাই,	এলাকাই,	
breaqthrough,	ব্রীকৃতো,	ব্রেকথ্রু,	
ghetoo,	ঘেটো,	ঘেটু,	
shuperheiro,	সুপারহাইর,	সুপারহিরো,	
bojhao,	বোঝাও,	বোঝাও,	
stona,	স্তন,	স্টোন,	
nischitobhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
ixprission,	এক্সপ্রেশন,	এক্সপ্রেশন,	
aminul,	আমিনুল,	আমিনুল,	
kakhanyoba,	কখনোবা,	কখনওবা,	
astheesandhi,	অস্থিদসংহী,	অস্থিসন্ধি,	
hebhee,	হেভি,	হেভি,	
kkhur,	খুর,	ক্ষুর,	
vittiti,	ভিত্তি,	ভিত্তিটি,	
jyakasana,	জাকাশন,	জ্যাকসন,	
sastra,	সাস্ত্র,	শাস্ত্র,	
bhagno,	ভাগ্ন,	ভগ্ন,	
dece,	ডিসে,	ডেকে,	
cholochchitroke,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
bhenom,	ভেনোম,	ভেনম,	
agomone,	অগমনে,	আগমনে,	
betsman,	বেকস্মান,	ব্যাটসম্যান,	
koieri,	কোয়ারি,	কোয়েরি,	
dharabahikbhabe,	ধারাবাহিকভাবে,	ধারাবাহিকভাবে,	
injiniyarsa,	ইনজাইনারিয়াস,	ইঞ্জিনিয়ার্স,	
gezeted,	গেজেটেদ,	গেজেটেড,	
chirohorit,	চিরোরিত,	চিরহরিৎ,	
patochitra,	পাটিকত্র,	পটচিত্র,	
teknokryat,	টেকনোকোর্ট,	টেকনোক্র্যাট,	
zohns,	জনস,	জন্স,	
asavya,	অসভা,	অসভ্য,	
vagno,	ভাগ্ন,	ভগ্ন,	
jaunotar,	যৌনতার,	যৌনতার,	
arakan,	আরকান,	আরাকান,	
nirapottamulak,	নিরপতামূলক,	নিরাপত্তামূলক,	
kande,	কাঁডে,	কাণ্ডে,	
daun,	ডাউন,	ডাউন,	
bairey,	বাইরে,	বাইরে,	
ancholsomuher,	আঞ্চলসমূহের,	অঞ্চলসমূহের,	
bajareo,	বাজারেও,	বাজারেও,	
jolrang,	জলারং,	জলরঙ,	
jerusaleme,	জেরুশোলামে,	জেরুসালেমে,	
ancholtike,	আঞ্চলটিকে,	অঞ্চলটিকে,	
dormetoree,	ডরমেটরি,	ডরমিটরি,	
konader,	কোনেডের,	কণাদের,	
difinision,	ডিফিনিশন,	ডেফিনেশন,	
commander,	কমান্ডার,	কমাণ্ডার,	
zubokshoho,	যুবক্ষহ,	যুবকসহ,	
emarzensi,	এমরজজেন্সি,	এমার্জেন্সি,	
torangunj,	তরঙ্গঞ্জ,	তোরাবগঞ্জ,	
pratisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
yeaster,	ইয়েস্টার,	ইস্টের,	
soshej,	সসেজ,	সসেজ,	
sbatantrata,	স্বতন্তরত,	স্বতন্ত্রতা,	
maley,	মালে,	মালে,	
dong,	ডং,	ডং,	
dharabhiko,	ধারাভিক,	ধারাবাহিকেও,	
sanghar,	সংঘর,	সংহার,	
gosthi,	গোষ্ঠি,	গোষ্ঠী,	
jor,	জোর,	জ্বর,	
ovishangsan,	অভিশংসান,	অভিশংসন,	
touraat,	তৌরাট,	তওরাত,	
jatotaa,	জাতো,	যতোটা,	
ingrejiteo,	ইংরেজিতেও,	ইংরেজিতেও,	
shommotite,	সম্মোটিতে,	সম্মতিতে,	
moricha,	মরিচা,	মরিচা,	
shikarke,	শিকারকে,	শিকারকে,	
aakkaas,	আককাশ,	আককাস,	
dianes,	ডাইনেস,	ডিএনএস,	
aamor,	আমর,	আমর,	
charzara,	চার্যার,	চার্জার,	
shikshagata,	শিক্ষাগত,	শিক্ষাগত,	
kompekt,	কম্পেক্ট,	কমপ্যাক্ট,	
cooda,	কোড,	কোডা,	
parishrom,	পরিস্রম,	পরিশ্রম,	
taat,	টাট,	তাত,	
aswastikor,	অস্বাশতিকর,	অস্বস্তিকর,	
tennys,	টেনিস,	টেনিস,	
satarkobhabe,	সততরকাভাবে,	সতর্কভাবে,	
shombhobonaao,	সম্ভবনাও,	সম্ভবনাও,	
charrjito,	চার্িিত,	চার্জিত,	
rinatmok,	রিনত্মক,	ঋনাত্মক,	
ooipoka,	উপিকা,	উইপোকা,	
becha,	বেছ,	বেচা,	
turkmeen,	তুর্কমীন,	তুর্কমেন,	
arakaner,	আরকানের,	আরাকানের,	
birder,	বীরদের,	বার্ডের,	
sofyr,	সফির,	সোফির,	
licenshing,	লিইকনসিং,	লাইসেন্সিং,	
silbhee,	সিলভি,	সিলভি,	
dhyanastha,	ধ্বংসস্থ,	ধ্যানস্থ,	
chaity,	চৈতি,	চৈতি,	
anadhikar,	অনাধিকার,	অনধিকার,	
dwipke,	দ্বীপকে,	দ্বীপকে,	
difinishian,	ডিফিনিশন,	ডেফিনেশন,	
jonopoth,	জনপথ,	জনপথ,	
seshardhe,	শেষরর্ধে,	শেষার্ধে,	
maase,	মাসে,	মাসে,	
tochnochh,	টকোনচ,	তছনছ,	
tuleche,	তুলেছে,	তুলেছে,	
the,	দে,	থাই,	
metrapalitana,	ম্যাট্রপুলেটন,	মেট্রোপলিটন,	
favorite,	ফভররিতে,	ফেভারিট,	
onchalti,	অঞ্চলটি,	অঞ্চলটি,	
bhageri,	ভাগেরী,	ভাগেরই,	
nathibhukta,	নাথিভুক্ত,	নথিভুক্ত,	
jaki,	জাকী,	জকি,	
wenom,	ভেনোম,	ভেনম,	
thimke,	থিমকে,	থিমকে,	
bandike,	বা্দিকে,	বন্দীকে,	
adhit,	অধিত,	অধীত,	
ujobekeestaner,	উজবেকসিস্তানের,	উজবেকিস্তানের,	
bonoshree,	বনসরি,	বনশ্রী,	
taalaal,	তালাল,	তালাল,	
dwip,	দ্বীপ,	দীপ,	
nickeel,	নিকেল,	নিকেল,	
ashonka,	আশঙ্কা,	আশঙ্কা,	
difinishion,	ডিফিনিশন,	ডেফিনেশন,	
bongraam,	বংগরম,	বনগ্রাম,	
platee,	প্লেট,	প্লেট,	
purohitke,	পুরুহীকে,	পুরোহিতকে,	
hosain,	হোসেইন,	হোসেইন,	
olimpiker,	অলিমপিকের,	অলিম্পিকের,	
paade,	পাদে,	পাড়ে,	
manab,	মানব,	মানব,	
elaakaai,	এলাকাই,	এলাকাই,	
kuley,	কুলে,	কুলে,	
pooshtir,	পুস্টির,	পুষ্টির,	
samanyo,	সমান্য,	সামান্য,	
janapoth,	জনপথ,	জনপথ,	
chho,	ছো,	ছোঁ,	
prokolpogulo,	প্রককগুলো,	প্রকল্পগুলো,	
ganohatyake,	গণহাত্যকে,	গণহত্যাকে,	
daacktickete,	ডাক্তিকীতে,	ডাকটিকিটে,	
bandhano,	বাঁধনন,	বাঁধানো,	
khuni,	খুনি,	খুনি,	
aiees,	আইএএস,	আইএএস,	
abasaney,	অবাসনে,	অবসানে,	
protijogitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
ishter,	ইস্টার,	ইস্টের,	
marodeho,	মারদেহ,	মরদেহ,	
shringgey,	শ্রীঙ্গে,	শৃঙ্গে,	
latimer,	লাটিমের,	লাটিমের,	
renoo,	রেনু,	রেনো,	
kaareer,	কারীর,	কারীর,	
germanyteo,	জার্মানীতেও,	জার্মানিতেও,	
seekkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
jinsha,	জিনস,	জিন্স,	
oitihye,	ঐতিহ্যে,	ঐতিহ্যে,	
oholya,	ওহল্য,	অহল্যা,	
samanwitobhabe,	সমান্তভাবে,	সমন্বিতভাবে,	
paaree,	পারী,	পাড়ে,	
bhardwaj,	ভারদাব,	ভরদ্বাজ,	
raktaksharaney,	রক্তকারণে,	রক্তক্ষরণে,	
baaik,	বাইক,	বাইক,	
jarool,	জারুল,	জারুল,	
jothartho,	যথারথথ,	যথার্থ,	
shtona,	স্টন,	স্টোন,	
osthisandhi,	অস্থিদাং্ধী,	অস্থিসন্ধি,	
krita,	কৃত,	ক্রীট,	
maladoobha,	মালাদুবা,	মলদোভা,	
lutharan,	লুথরান,	লুথেরান,	
mausumti,	মুসুমি,	মৌসুমটি,	
ap,	অ্যাপ,	আপ,	
toronee,	তোরণী,	তরণী,	
lumbinee,	লুম্বিনী,	লুম্বিনী,	
karadanda,	কারাদন্ড,	কারাদণ্ড,	
shangkalone,	সংকলননে,	সংকলনে,	
franko,	ফ্রাঙ্ক,	ফ্রাঙ্কো,	
sahoocorzo,	সাহেকর্য,	সাহচর্য,	
nagarikkey,	নগরীককে,	নাগরিককে,	
protijogiira,	প্রতিযোগিরা,	প্রতিযোগীরা,	
bhabna,	ভবনা,	ভাবনা,	
kishti,	কিষটি,	কিস্তি,	
teenti,	তিনটি,	তিনটি,	
phising,	ফিশিং,	ফিসিং,	
teamothy,	তিমথি,	টিমোথি,	
moshleh,	মসলে,	মোসলেহ,	
rotheen,	রথথীন,	রথীন,	
poshchate,	পশ্চাটে,	পশ্চাতে,	
byaasalt,	বেসলল,	ব্যাসল্ট,	
cholocchitroi,	চলচিত্রেই,	চলচ্চিত্রই,	
koontee,	কোনটি,	কুন্তী,	
hatochakito,	হটচকািত,	হতচকিত,	
tolemyr,	টলমের,	টলেমির,	
jacksonke,	জকশনকে,	জ্যাকসনকে,	
taruner,	তারুণের,	তরুণের,	
otyacharer,	অত্যাচরের,	অত্যাচারের,	
krisenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
mishal,	মিশাল,	মিশাল,	
shochindro,	শচিন্দ্র,	শচীন্দ্র,	
roomantik,	রুমান্ত্রিক,	রোমান্টিক,	
samashtigata,	সমস্তিগত,	সমষ্টিগত,	
krisenter,	ক্রিসেন্টের,	ক্রিসেন্টের,	
ardasho,	আর্দশ,	আর্দশ,	
keyboarder,	কেবোরদের,	কীবোর্ডের,	
depooti,	দেপুতি,	ডেপুটি,	
sahochorjo,	সহচর্য,	সাহচর্য,	
bocchon,	বোচ্ছন,	বচ্চন,	
inashtyanta,	ইনস্টায্ন্ট,	ইনস্ট্যান্ট,	
pratyokkhobhabe,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
unit,	উনিত,	ইউনিট,	
jonsha,	জনসা,	জোন্স,	
garjon,	গর্জন,	গর্জন,	
vabook,	ভাবুক,	ভাবুক,	
bodhirota,	বদিরতা,	বধিরতা,	
longhaner,	লঙ্ঘনের,	লংঘনের,	
santa,	সন্ত,	স্যান্টা,	
kaferder,	কফেরদের,	কাফেরদের,	
damanmulak,	দমানমূলক,	দমনমূলক,	
bishshash,	বিশ্বাস,	বিশ্বাস,	
notunatva,	নতুনত্ব,	নতুনত্ব,	
ashok,	আশোক,	আশোক,	
bordhitangso,	বর্ধাীংস,	বর্ধিতাংশ,	
militaryr,	মিলিটার,	মিলিটারির,	
armstronj,	আর্স্ট্রমঞ্জ,	আর্মস্ট্রং,	
byaboharkaree,	ব্যবহারকারী,	ব্যবহারকারী,	
songosthatir,	সংস্থাটির,	সংস্থাটির,	
shoccar,	শক্চার,	সকার,	
artilary,	অর্টিলারি,	আর্টিলারি,	
amudey,	অমুদে,	আমুদে,	
chetna,	চেটনা,	চেতনা,	
wool,	উুল,	উল,	
chhani,	ছানী,	ছানি,	
rakibul,	রাকিবুল,	রকিবুল,	
progresh,	প্রোগ্রস,	প্রগ্রেস,	
lagto,	লাগত,	লাগতো,	
alexandarkey,	আলেকান্দ্রকে,	আলেকজান্ডারকে,	
sibraz,	শিবরাজ,	শিবরাজ,	
teemur,	তিমুর,	তিমুর,	
swarthe,	স্বার্থে,	স্বার্থে,	
brindaa,	বৃর্না,	বৃন্দা,	
qyathaliqa,	ক্যাথলিক,	ক্যাথলিক,	
rejidens,	রেজিদেন্স,	রেসিডেন্স,	
avatara,	অভাারা,	অবতার,	
soinyora,	সোনইযার,	সৈন্যরা,	
daaoon,	ডাউন,	ডাউন,	
jonogononar,	জনগণনার,	জনগণনার,	
suporichito,	সুপরিচিত,	সুপরিচিত,	
eporjonto,	এপর্জন্ত,	এপর্যন্ত,	
hool,	হোল,	হুল,	
siddhantagulo,	সিব্ধ্যনগুলো,	সিদ্ধান্তগুলো,	
phooloo,	ফুলু,	পোলো,	
bhorodwaj,	ভররদবজ,	ভরদ্বাজ,	
roialti,	রোলটি,	রয়্যালটি,	
chhutochhuti,	ছুটোছুটি,	ছুটোছুটি,	
postar,	পোস্টার,	পোস্টের,	
elaakasoho,	এলাকাশহ,	এলাকাসহ,	
harir,	হ্যারির,	হরির,	
chhintayikari,	ছিনতাইকারী,	ছিনতাইকারী,	
sahapatheekey,	সহপাঁীকে,	সহপাঠীকে,	
kanasharabheshhana,	কনসারবেশন,	কনসারভেশন,	
chilahaati,	চিলাহাটি,	চিলাহাটি,	
kaloniir,	কালনীর,	কালনীর,	
sthaponake,	স্থাপনকে,	স্থাপনাকে,	
ajiboner,	আজিবনের,	আজীবনের,	
dakteekiter,	ডাক্তিকীতের,	ডাকটিকিটের,	
rahi,	রাহী,	রাহী,	
phareeksa,	ফরেক্স,	ফরেক্স,	
satarkota,	সতরকতা,	সতর্কতা,	
karmosansthan,	কর্মসংস্থান,	কর্মসংস্থান,	
asor,	আসর,	আসর,	
bisnoo,	বিষ্ণু,	বিষ্ণু,	
marketin,	মার্কেটিং,	মার্কেটিং,	
teemothee,	তিমথি,	টিমোথি,	
noiteekota,	নৈতিকতা,	নৈতিকতা,	
bu,	বু,	বু,	
ashongkai,	অসংকাই,	আশঙ্কাই,	
duckten,	ডাকেটেন,	ডাকতেন,	
janoikaa,	জননিকা,	জনৈকা,	
vumija,	ভূমিজা,	ভূমিজ,	
aanish,	আনিশ,	আনিস,	
mookhomandol,	মুখমন্ডল,	মুখমণ্ডল,	
shomostike,	সমস্তিকে,	সমষ্টিকে,	
cs,	সিএসএস,	সিএস,	
chalachchitrake,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
tenishe,	টেনিস,	টেনিসে,	
choiti,	চৈতি,	চৈতি,	
abhidhanick,	অভিধানিক,	অভিধানিক,	
ghur,	ঘুর,	ঘুর,	
grambasir,	গ্রামবাসীর,	গ্রামবাসীর,	
naran,	নরন,	নরেন,	
transformarer,	ট্রান্সফারের,	ট্রান্সফরমারের,	
bishnoo,	বিষ্ণু,	বিষ্ণু,	
anektayi,	অনেককাই,	অনেকটাই,	
hoteltee,	হটেলটি,	হোটেলটি,	
ujbekistaner,	উজবেকিসসতেনের,	উজবেকিস্তানের,	
senabahineeow,	সেনাবাহিনীভু,	সেনাবাহিনীও,	
mumtaj,	মুমতাজ,	মুমতাজ,	
grambaaseer,	গ্রামবাসের,	গ্রামবাসীর,	
mugdaal,	মুগদাল,	মুগডাল,	
teenage,	টেইনে,	টিনেজ,	
protizogiitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
paitey,	পাইতে,	পাইতে,	
abotaar,	অবতার,	অবতার,	
bissonath,	বিশ্বনাথ,	বিশ্বনাথ,	
swartho,	স্বার্থ,	স্বার্থ,	
abhijojan,	অভিযোজনান,	অভিযোজন,	
tonu,	তনু,	তনু,	
bohoodeen,	বহুদীন,	বহুদিন,	
chapal,	চাপাল,	চপল,	
uponisod,	উপনিসদ,	উপনিষদ,	
karmoke,	কর্মকে,	কর্মকে,	
tarabaina,	তারাবাইনা,	টারবাইন,	
ooindos,	উইন্দস,	উইন্ডোস,	
harbore,	হর্বরে,	হারবারে,	
hijrite,	হিজরিতে,	হিজরীতে,	
marmaader,	মারমাদের,	মারমাদের,	
gudamjato,	গুদাজজত,	গুদামজাত,	
bonvumite,	বনভূমিতে,	বনভূমিতে,	
naditike,	নদীতীকে,	নদীটিকে,	
chomke,	চমকে,	চমকে,	
bolbo,	বলবু,	বলবো,	
janomukhi,	জনমুখী,	জনমুখী,	
poripaker,	পরিপকের,	পরিপাকের,	
sabrakomer,	সববরকামের,	সবরকমের,	
babylone,	বাবললীনে,	ব্যাবিলনে,	
hachchilo,	হাচছিল,	হচ্ছিলো,	
gaddaafee,	গদমালাা,	গাদ্দাফী,	
hiragaana,	হিরাগান,	হিরাগানা,	
thesiser,	ঠেসিসের,	থিসিসের,	
sabyastha,	সাব্যস্থা,	সাব্যস্থ,	
firozer,	ফিরোজের,	ফিরোজের,	
gaaddafee,	গাদ্ালাফী,	গাদ্দাফী,	
bardhitaanas,	বার্ধিংাাস,	বর্ধিতাংশ,	
hishabke,	হিসাবকে,	হিসাবকে,	
overview,	ওভারভাই,	ওভারভিউ,	
associates,	অ্যাসোসিয়েস,	এসোসিয়েটস,	
akhandota,	আখন্দতা,	অখণ্ডতা,	
parishrami,	পরিস্রামী,	পরিশ্রমী,	
mausumei,	মুসুমেই,	মৌসুমেই,	
kormoyi,	কর্মই,	কর্মই,	
nottee,	নটটি,	নোটটি,	
manohar,	মানহার,	মনোহর,	
answereer,	অনসারীর,	আনসারীর,	
sollalaho,	সোল্লাহ,	সল্লাল্লাহু,	
kaansaater,	কানসাটের,	কানসাটের,	
jati,	জাতি,	যাতি,	
moogdal,	মুগদাল,	মুগডাল,	
daakteekiter,	ডাক্তিকীতের,	ডাকটিকিটের,	
bibechya,	বিবেচ্ছা,	বিবেচ্য,	
deil,	ডেল,	ডেইল,	
daver,	দাভের,	ডোভার,	
ponjeekaar,	পাঁজিকার,	পঞ্জিকার,	
prakalpatike,	প্রকল্পকাকে,	প্রকল্পটিকে,	
pooroheetra,	পুরোহিত্র,	পুরোহিতরা,	
abhisongson,	অভিশংসন,	অভিশংসন,	
esoosiyetasa,	এসেওসভ়েস,	এসোসিয়েটস,	
tookrokey,	তুকরকে,	টুকরোকে,	
mukhomandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
madrasake,	মাদরাসকে,	মাদ্রাসাকে,	
candi,	ক্যান্ডি,	ক্যান্ডি,	
antarktika,	অন্তর্কিত,	অ্যান্টার্কটিকা,	
laaisensh,	লাইনেস,	লাইসেন্স,	
chalachchitrei,	চলচিত্রেই,	চলচ্চিত্রেই,	
haila,	হাইল,	হইল,	
pet,	পেট,	পেত,	
dinesh,	ডাইনস,	দীনেশ,	
qaro,	কারো,	কারো,	
soomo,	সুম,	সুমো,	
mmadhobbir,	মাধববির,	মাধবীর,	
samanyai,	সমান্যাই,	সামান্যই,	
khamba,	খম্বা,	খাম্বা,	
bosontokey,	বসন্তকে,	বসন্তকে,	
omittrakkhor,	অমিত্রকর্ষ,	অমিত্রাক্ষর,	
jeelyand,	জিল্যান্ড,	জিল্যান্ড,	
average,	অ্যাভারেজ,	এভারেজ,	
manohputo,	মনোচুত,	মনঃপুত,	
mawdeel,	মাদীল,	মডেল,	
dwibidha,	দ্বিবাধ,	দ্বিবিধ,	
pharanyeta,	ফার্নেট,	ফরম্যাট,	
taphaat,	টফাট,	তফাৎ,	
hamburgey,	হাম্বুরগে,	হামবুর্গে,	
gitikobita,	গীতিকুতিত,	গীতিকবিতা,	
dhorer,	ধরের,	ধরের,	
joones,	জোনস,	জোন্স,	
bhenis,	ভেনিস,	ভেনিস,	
tigers,	টাইনররস,	টাইগার্স,	
shhcholashtic,	স্কলাশসিট,	স্কলাস্টিক,	
probeshan,	প্রবেশন,	প্রবেশন,	
keyuyi,	কেভি,	কেউই,	
syfy,	সিইফি,	সাইফাই,	
mmesenjar,	মেসেন্জার,	মেসেঞ্জার,	
rupert,	রূপের্ট,	রুপার্ট,	
abolokon,	অবলকন,	অবলোকন,	
otiteo,	অতিতেও,	অতীতেও,	
noitik,	নৈতিক,	নৈতিক,	
porishkoron,	পরিস্করণ,	পরিষ্করণ,	
