darzi,	দর্জি,	দরজি,	
jyesthaa,	জেসস্থা,	জ্যেষ্ঠা,	
olpoi,	অলপপই,	অল্পই,	
bomkesh,	বোকেশ,	ব্যোমকেশ,	
graambaasee,	গ্রামবাসী,	গ্রামবাসী,	
qindama,	কিন্ডাম,	কিংডম,	
swostir,	স্বশ্তি,	স্বস্তির,	
bandi,	বনযান্ডি,	বন্দী,	
gemske,	গেমসকে,	জেমসকে,	
kanaphlikta,	কানফলিক্ট,	কনফ্লিক্ট,	
temonvabe,	টেমনভাবে,	তেমনভাবে,	
motion,	মোশন,	মোশন,	
chhootir,	ছুটিির,	ছুটির,	
nathibhookteer,	নথিওভুতের,	নথিভুক্তির,	
phareeksa,	ফরেক্স,	ফরেক্স,	
priitii,	প্রীতি,	প্রিটি,	
kuarter,	কোর়টের,	কোয়ার্টার,	
eidhyaning,	এইধ্যাংি,	ইদানীং,	
chhatogalpe,	ছোটোগল্পে,	ছোটগল্পে,	
mojdur,	মজদুর,	মজদুর,	
byaboharkareer,	ব্যবহারকারির,	ব্যবহারকারীর,	
shikshakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
torkaryr,	তরকারির,	তরকারীর,	
popke,	পপকেে,	পোপকে,	
antarktikar,	অন্তর্কিকতার,	অ্যান্টার্কটিকার,	
nongra,	নং্র,	নোংরা,	
korim,	করিম,	করিম,	
tonoo,	টনু,	তনু,	
kandey,	কান্ে,	কাণ্ডে,	
jackey,	যাঁককে,	জকি,	
phikshim,	ফিক্সিম,	ফিক্সিং,	
chapal,	চাপাল,	চপল,	
prakare,	প্রকারে,	প্রকারে,	
pratisthanik,	প্রতিষ্ঠানিক,	প্রাতিষ্ঠানিক,	
zeebonjaapon,	জীবনবাপন,	জীবনযাপন,	
madhumati,	মধুমতি,	মধুমতী,	
patthkromer,	পাঠ্যক্রমর,	পাঠক্রমের,	
parikhar,	পরীক্ষার,	পরিখার,	
thailand,	থাইল্যান্ড,	থাইল্যান্ড,	
gonokantho,	গণকণ্ঠ,	গণকণ্ঠ,	
stonehenge,	স্টোেহিঞ্জ,	স্টোনহেঞ্জ,	
mett,	মেট,	ম্যাট,	
monjeele,	মঞ্জিলে,	মঞ্জিলে,	
tomader,	তোমাদের,	তোমাদের,	
abhidhaner,	অভিধানের,	অভিধানের,	
byakhyatito,	ব্যাখ্যতিত,	ব্যাখ্যাতীত,	
sobrokomer,	সব্রকমের,	সবরকমের,	
saseza,	সাজজজা,	সসেজ,	
upobashee,	উপবাসী,	উপবাসী,	
august,	অগসসট,	আগষ্ট,	
barbadoj,	বর্বাা,	বার্বাডোজ,	
footballerder,	ফোটলাল্েরর,	ফুটবলারদের,	
akeeb,	একেব,	আকিব,	
elgoridom,	এল্রোরিডম,	এলগরিদম,	
taiteela,	টাইলে,	টাইটেল,	
nodimatrik,	নদিমাত্রিক,	নদীমাতৃক,	
sanbadmadhyamgulote,	সংবাদমধগগলুলে,	সংবাদমাধ্যমগুলোতে,	
gandhiyo,	গান্িও,	গান্ধীও,	
ojuhat,	অজুহা,	অজুহাত,	
stanehenge,	স্টানেহিজ্জ,	স্টোনহেঞ্জ,	
durotomm,	দূরতত,	দূরতম,	
rajballabh,	রাজবলল্বা,	রাজবল্লভ,	
qonflict,	কনফলিক্ট,	কনফ্লিক্ট,	
dharmantor,	ধর্মন্তরর,	ধর্মান্তর,	
ssahocorze,	সাসরর্য,	সাহচর্যে,	
institutioney,	ইন্সটিটিউশনে,	ইনস্টিটিউশনে,	
parinoti,	পরিনতি,	পরিণতি,	
laisensa,	লেইন্স,	লাইসেন্স,	
satarkakaree,	সাতরকাার,	সতর্ককারী,	
iub,	ইউবব,	আইইউবি,	
vogni,	ভগ্নি,	ভগ্নী,	
pretti,	প্রেতট,	প্রিটি,	
windo,	উইন্ডো,	উইন্ডো,	
dharabhiko,	ধারাভিক,	ধারাবাহিকেও,	
canflict,	ককফললিক্ট,	কনফ্লিক্ট,	
nirapekkhotar,	নিরাপক্ষতার,	নিরপেক্ষতার,	
neshnosh,	নেশস্স,	নেশনস,	
pleto,	প্লেট,	প্লেটো,	
durvagyo,	দুর্ভাগ্য,	দূর্ভাগ্য,	
sayeed,	সাইডড,	সাইদ,	
panni,	পাননি,	পন্নী,	
arshie,	আর্সি,	আরসিএ,	
moshzidke,	মস্জদদকে,	মসজিদকে,	
vagini,	ভাগিনী,	ভগিনী,	
prakalpoo,	প্রকলল্প,	প্রকল্পও,	
shabnam,	শাবনাম,	শবনম,	
spredsheet,	স্প্রেডসি,	স্প্রেডশীট,	
sanatani,	সননাটানি,	সনাতনী,	
pragresha,	প্রগ্রেস,	প্রগ্রেস,	
moshzidti,	মস্িিতি,	মসজিদটি,	
laisense,	লেইন্সে,	লাইসেন্স,	
phastara,	ফাস্টার,	ফস্টার,	
rajpurohit,	রাজপূরুহিত,	রাজপুরোহিত,	
poscater,	পশ্চটটে,	পশ্চাতের,	
eura,	ইউরা,	ইউরো,	
abheedhaneec,	অভিধানিক,	অভিধানিক,	
okritakarja,	অকৃতকার্য,	অকৃতকার্য,	
nilabha,	নিলভভ,	নীলাভ,	
juktarashtrasaha,	যুক্তরা্্রসহহ,	যুক্তরাষ্ট্রসহ,	
perri,	প্রারি,	পেরি,	
postac,	পোস্টক,	পোস্টকে,	
qirq,	কার্ক,	কার্ক,	
harris,	হাযিস,	হ্যারিস,	
ashangka,	আসংকা,	আশংকা,	
chilahatee,	চিলাহাটি,	চিলাহাটি,	
akritakarja,	আকৃতকর্য,	অকৃতকার্য,	
khargosher,	খররগাের,	খরগোসের,	
eksapreshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
sqirt,	স্কারটট,	স্কার্ট,	
hoomasa,	হোমস,	হোমস,	
silwar,	সিল্র,	সিলভার,	
hipar,	হিপার,	হাইপার,	
phising,	ফিশিং,	ফিসিং,	
bhorkendra,	ভরককেন্দ্র,	ভরকেন্দ্র,	
inapharameshana,	ইনফরমমন,	ইনফরমেশন,	
shikhbe,	শিখবে,	শিখবে,	
oichchik,	ঐচ্ছিক,	ঐচ্ছিক,	
hamburge,	হাযামববর্জ,	হামবুর্গে,	
songasthatike,	সংস্থাতিকে,	সংস্থাটিকে,	
gabhaaskar,	গভাষাকা,	গাভাস্কার,	
karpeter,	কর্পটের,	কার্পেটের,	
gronthati,	গ্রন্থাটি,	গ্রন্থটি,	
simmons,	সিমমনন,	সিমন্স,	
stationey,	স্টেশনে,	ষ্টেশনে,	
zoneete,	জোনিতে,	যোনীতে,	
gorur,	গরুর,	গরুর,	
ashiatic,	এসিােটিক,	এশিয়াটিক,	
shoilee,	সৈলি,	শৈলী,	
favorite,	ফয়রিতে,	ফেভারিট,	
shodhan,	সোধান,	শোধন,	
huqa,	হুক,	হুক,	
ekoirakom,	এইইরকম,	একইরকম,	
pravritike,	প্রাৃততকেে,	প্রভৃতিকে,	
mukharji,	মুখার্জি,	মুখার্জী,	
pooshteer,	পুষ্তির,	পুষ্টির,	
dhanni,	ধাননি,	ধন্যি,	
ejenda,	এজেন্ড,	এজেন্ডা,	
taalaal,	টালাল,	তালাল,	
nirgoon,	নির্গুণ,	নির্গুণ,	
khaaneker,	খানেকের,	খানেকের,	
prokolpogulor,	প্রকললুলোর,	প্রকল্পগুলোর,	
bishnoo,	বিষ্ণু,	বিষ্ণু,	
bonsho,	বংস,	বংশ,	
somabesh,	সমাবেশ,	সমাবেশ,	
projononkal,	প্রজননকাল,	প্রজননকাল,	
horidare,	হরিদার,	হরিদ্বারে,	
clintoner,	ক্লিন্টানের,	ক্লিনটনের,	
utkhat,	উৎখ্যা,	উত্খাত,	
thyachara,	ট্যাচার,	থ্যাচার,	
sohopathike,	সহপাঠীকে,	সহপাঠীকে,	
sikarer,	শিকারের,	শিকারের,	
istoniya,	ইস্টেনিয়া,	এস্তোনিয়া,	
pratijogitamulak,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
anchalsaha,	অঞ্চলসহ,	অঞ্চলসহ,	
gratha,	গ্রথথ,	গ্রোথ,	
harisoner,	হরিসনের,	হ্যারিসনের,	
elakaate,	এলাকাতে,	এলাকাতে,	
chutochuti,	চুটচুটি,	ছুটোছুটি,	
oiteejyer,	ঐতিজ্ঞের,	ঐতিহ্যের,	
utshahi,	উত্সাহী,	উৎসাহী,	
partho,	পার্থ,	পার্থ,	
bem,	বেম,	বিম,	
shaapholler,	সাফলের,	সাফল্যের,	
elaakaate,	এলাকাতে,	এলাকাতে,	
depooti,	দিপুতি,	ডেপুটি,	
aswastikor,	অস্বস্তিকর,	অস্বস্তিকর,	
kolahol,	কলাহল,	কোলাহল,	
ganaparibahan,	গণপরিজাহন,	গণপরিবহন,	
chhatogalper,	ছোটোগল্পের,	ছোটগল্পের,	
aminar,	আমিনার,	আমিনার,	
basturyi,	বস্তুরই,	বস্তুরই,	
qaferderke,	কফেরররকে,	কাফেরদেরকে,	
siqar,	সিকা,	শিকার,	
jerusalem,	জেরাসুলম,	জেরুজালেম,	
temon,	টেমন,	তেমন,	
nothivookta,	নথিওুক্ত,	নথিভুক্ত,	
tuning,	টানিং,	টিউনিং,	
saamaanyai,	সামান্যা,	সামান্যই,	
mohish,	মহিষ,	মহিষ,	
akrup,	একরুপ,	একরূপ,	
rohasyor,	রহহায্য,	রহস্যর,	
kathhmandute,	কথ্মনুতু,	কাঠমান্ডুতে,	
pletoo,	প্লেটও,	প্লেটো,	
ragke,	রাগকে,	রাগকে,	
bishwashoi,	বিশ্বাসই,	বিশ্বাসই,	
sojja,	সজ্জা,	সজ্জা,	
tintike,	তিনটিকে,	তিনটিকে,	
conphlict,	কনফলিক্,	কনফ্লিক্ট,	
sahabah,	সাহাহ,	সাহাবাহ,	
information,	ইনফর্মেশন,	ইনফরমেশন,	
rajotta,	রাজত্ব,	রাজত্ব,	
adhit,	অধিত,	অধীত,	
seekkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
shikkharthirao,	শিক্ষারীথার়া,	শিক্ষার্থীরাও,	
theland,	থেলাাযা,	থাইল্যান্ড,	
mukhmondol,	মুখমন্ল,	মুখমণ্ডল,	
baarnis,	বার্নিস,	বার্নিশ,	
nagorikera,	নাগরিকার,	নাগরিকেরা,	
vaisaha,	ভাইসহ,	ভাইসহ,	
sthaponakay,	স্থাপনাকে,	স্থাপনাকে,	
nironjon,	নিরঞঞজন,	নিরঞ্জন,	
silvee,	সিলভী,	সিলভি,	
poste,	পোসটে,	পোস্টে,	
trans,	ট্রান্স,	ট্রান্স,	
thatcher,	টাঁর,	থ্যাচার,	
monohorpur,	মনোহরপুর,	মনোহরপুর,	
chalochchitraeeo,	চলচচচ্রীও,	চলচ্চিত্রেও,	
bolechiley,	বলেছিলে,	বলেছিলে,	
arthonitite,	অর্থনীতিতে,	অর্থনীতিতে,	
madhuree,	মধুরী,	মাধুরী,	
dobhar,	দোার,	ডোভার,	
harysoner,	হারিসনের,	হ্যারিসনের,	
saajano,	সাজানও,	সাজানো,	
raits,	রাইট,	রাইটস,	
paripaker,	পরিপকের,	পরিপাকের,	
sahosikotaar,	সহসিকতার,	সাহসিকতার,	
prithbir,	পৃথ্বীর,	পৃথবীর,	
gonjona,	গঞ্জনা,	গঞ্জনা,	
gonohotyakey,	গণহত্যাকে,	গণহত্যাকে,	
seeramiks,	সারামিক্স,	সিরামিকস,	
bagdady,	বাগদাদি,	বাগদাদী,	
pillai,	পিল্লই,	পিল্লাই,	
kattor,	কাট্টর,	কট্টর,	
shalapheta,	সালফেট,	সালফেট,	
krus,	ক্রুশ,	ক্রুশ,	
shift,	সিফ্ট,	শিফট,	
sohingsotar,	সহিংসতার,	সহিংসতার,	
monjooshree,	মনযজসস্রী,	মঞ্জুশ্রী,	
nagarikra,	নাগরিকরা,	নাগরিকরা,	
jaanachhe,	জানাছ্ছে,	জানাচ্ছে,	
emgee,	এমজজি,	এমজি,	
udvaboker,	উদ্ভববকের,	উদ্ভাবকের,	
khalidkay,	খলিদিকে,	খালিদকে,	
mg,	এজজিজ,	এমজি,	
moshjidtike,	মস্জিদদিকে,	মসজিদটিকে,	
bossontoke,	বসন্্কে,	বসন্তকে,	
sushukkhar,	সুশুখখর,	সুশিক্ষার,	
enashiyenta,	এনসিয়েন্ট,	এনসিয়েন্ট,	
hishaber,	হিসাের,	হিসাবের,	
phuda,	ফুড,	ফুড,	
meetropalitana,	মেত্রোপিিটাা,	মেট্রোপলিটন,	
pouchhute,	পৌঁছুতে,	পৌঁছুতে,	
kaansaater,	কানসততর,	কানসাটের,	
kharaar,	কারার,	খরার,	
pratool,	প্রতুল,	প্রতুল,	
shkalastic,	স্কলসস্িক,	স্কলাস্টিক,	
obharabhiu,	অভারভি,	ওভারভিউ,	
ipl,	ইপল,	আইপিএল,	
shangsthatir,	সংসসতিি,	সংস্থাটির,	
bike,	বিকে,	বাইক,	
veenicee,	ভেনিসে,	ভেনিস,	
thakani,	ঠাকানি,	থাকেনি,	
karlasa,	কর্লশ,	কার্লোস,	
buffer,	বাফার,	বাফার,	
graambashi,	গ্রমমবাসী,	গ্রামবাসী,	
bachhaikrito,	ব্যাহককরত,	বাছাইকৃত,	
evar,	ইভার,	এভার,	
hebhi,	হেভি,	হেভি,	
votar,	ভোটার,	ভোটার,	
sikkhartheerao,	শিক্ষার্থারা,	শিক্ষার্থীরাও,	
mela,	মেল,	মাইল,	
gabeshana,	গবেষণাা,	গবেষনা,	
dharavashyokar,	ধারাভাযককার,	ধারাভাষ্যকার,	
ghoomachhilo,	ঘোমাচিল,	ঘুমাচ্ছিল,	
brindabaner,	বৃণ্দদানান,	বৃন্দাবনের,	
munshi,	মুনসি,	মুন্সি,	
pyaleshtaine,	প্যালিস্াইন,	প্যালেস্টাইনে,	
kona,	কোনা,	কণা,	
pacchen,	পাঁ্চেন,	পাচ্ছেন,	
shapad,	সাপা,	শ্বাপদ,	
dhaloor,	ঢালুর,	ঢালুর,	
arasie,	আরাসি,	আরসিএ,	
swarthe,	স্বার্থে,	স্বার্থে,	
muhamada,	মুহমমাদা,	মুহাম্মদ,	
fooloo,	ফুলো,	পোলো,	
madhyastha,	মধ্যস্থ,	মধ্যস্থ,	
plena,	প্লেন,	প্লেন,	
shefard,	সেফার্ড,	শেফার্ড,	
pro,	প্র,	প্রো,	
gunje,	গুঞজে,	গুঁজে,	
thanvee,	ঠানভি,	থানভী,	
qrisenta,	ক্রেস্টেন,	ক্রিসেন্ট,	
abotar,	অবতা,	অবতার,	
gazee,	গাজী,	গেজ,	
yaq,	যয,	ইয়াক,	
bohorompurer,	বহরমপপুরের,	বহরমপুরের,	
vejjanno,	ভেজজঞ্ন,	ভেজানো,	
chess,	চেস,	চেস,	
wault,	ওল়াট,	ভল্ট,	
debholapar,	ডেভললপার,	ডেভলপার,	
siddhantokey,	সিদ্ধান্তকে,	সিদ্ধান্তকে,	
johor,	জোহর,	জহর,	
riphleksha,	রাইফেক্স,	রিফ্লেক্স,	
utpatti,	উৎপতি,	উতপত্তি,	
jees,	জিস,	জেস,	
shringgey,	শ্রীঙ্গে,	শৃঙ্গে,	
jaroori,	জরুরী,	জরূরী,	
bhogini,	ভোগিনী,	ভগিনী,	
korimkey,	করিমকে,	করিমকে,	
radhanagar,	রোধানগর,	রাধানগর,	
protijogiira,	প্রতিযোগিবার,	প্রতিযোগীরা,	
motabolambira,	মোতাবলম্বীরা,	মতাবলম্বীরা,	
benj,	বেঞ,	বেঞ্জ,	
chamoski,	চামসিক,	চমস্কি,	
mele,	মেলে,	মাইল,	
torangunj,	তরঙগগঞ্জ,	তোরাবগঞ্জ,	
tennise,	টেনিশ,	টেনিসে,	
dong,	ডং,	ডং,	
loombinee,	লম্বিনী,	লুম্বিনী,	
allubokhara,	অল্লক্ষরা,	আলুবোখারা,	
grambashee,	গ্রামবাাসী,	গ্রামবাসী,	
stationer,	স্টেশনের,	ষ্টেশনের,	
shakara,	শাকার,	সকার,	
durgatsabe,	দুর্ঘস্াবে,	দুর্গোৎসবে,	
rubala,	রুবল,	রুবল,	
dibbay,	দিবায,	দিব্যা,	
mukhomandaler,	মুখমন্ডলের,	মুখমণ্ডলের,	
melbourney,	মেলবার্ন,	মেলবোর্নে,	
riphleksa,	রাইলেল্স,	রিফ্লেক্স,	
nogorey,	নগরে,	নগরে,	
bhuushito,	ভূষুষি,	ভূষিত,	
oocchoseeto,	উচ্চসিত,	উচ্ছসিত,	
seo,	সিই,	সেও,	
marier,	মেরির,	ম্যারির,	
thishisher,	থিষিসের,	থিসিসের,	
nirapattamulok,	নিরাপততমূূলক,	নিরাপত্তামূলক,	
tanight,	টানইট,	টুনাইট,	
torkarir,	তরকারির,	তরকারীর,	
difinision,	ডিফিনিশন,	ডেফিনেশন,	
baiqa,	বাইকা,	বাইক,	
madhukooree,	মাধুকরি,	মাধুকরী,	
chirota,	চিরতা,	চিরতা,	
jiland,	জিল্যান্ড,	জিল্যান্ড,	
janosanjog,	জনসংযোগ,	জনসংযোগ,	
jerujalemer,	জেরুলাামে,	জেরুজালেমের,	
madhoori,	মাধুরি,	মাধুরী,	
seater,	সেটের,	সিটের,	
chintaikari,	চিনতাাকারী,	ছিনতাইকারী,	
jatook,	যাতু,	জাতক,	
naitik,	নাইটিক,	নৈতিক,	
neerbahe,	নির্বাহে,	নির্বাহে,	
shpreadshhiit,	স্প্রেডসি,	স্প্রেডশীট,	
eenameela,	ইনমেল,	এনামেল,	
makong,	ম্কাংং,	মেকং,	
pratiyogider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
itemer,	ইটেমের,	আইটেমের,	
safalyer,	সফলের,	সাফল্যের,	
ikbaaler,	ইকবালের,	ইকবালের,	
ostader,	অস্টাদের,	ওস্তাদের,	
aazaadir,	আজাদির,	আজাদীর,	
jyeshtha,	জেসস্থ,	জ্যেষ্ঠা,	
abhidhanic,	অভিধানিক,	অভিধানিক,	
kaale,	কালে,	কালে,	
heart,	হার্ট,	হার্ট,	
bojhe,	বোঝ,	বোঝে,	
uddhrito,	উদ্ধৃত,	উদ্ধৃত,	
jibanto,	জীবন্ত,	জীবন্ত,	
vagirath,	ভাগীরথ,	ভগীরথ,	
deliver,	ডেলিভার,	ডেলিভার,	
kommandar,	কমান্ডার,	কমাণ্ডার,	
shrimati,	শ্রীমতি,	শ্রীমতি,	
protul,	প্রতুল,	প্রতুল,	
qredita,	ক্রেডিত,	ক্রেডিট,	
confliqt,	কনফলিক্ট,	কনফ্লিক্ট,	
jes,	জেস,	জেস,	
moomtaj,	মমতাজ,	মুমতাজ,	
rilayensha,	রিলেযেন্স,	রিলায়েন্স,	
bachchaner,	বাচ্ছনের,	বচ্চনের,	
deepei,	ডিপেই,	দ্বীপেই,	
khagen,	খাজেন,	খগেন,	
porobortii,	পরবর্তী,	পরর্বতী,	
asamonjoshyopurno,	আসমসোস্যযূর্ণ,	অসামঞ্জস্যপূর্ণ,	
voolapuk,	ভোলাপুক,	ভোলাপুক,	
naditike,	নাীতিকে,	নদীটিকে,	
kisti,	কিস্িি,	কিস্তি,	
janosangjog,	জনসংয্গ,	জনসংযোগ,	
asabhyaa,	অসভ্য,	অসভ্য,	
antarbhuktimulak,	আন্তর্ভুক্তমকক,	অন্তর্ভুক্তিমূলক,	
shotokeo,	শতকেও,	শতকেও,	
daakteekiter,	ডাক্তিকির,	ডাকটিকিটের,	
iunita,	ইউনিট,	ইউনিট,	
rachonakal,	রচনাকল,	রচনাকাল,	
hugeke,	হুগেকে,	হিউজকে,	
eucalyptushh,	ইউক্লপ্পিস,	ইউক্যালিপ্টাস,	
munim,	মুনিং,	মুনিম,	
nagarikera,	নাগরীকেরা,	নাগরিকেরা,	
brindaabane,	বৃরিন্দানে,	বৃন্দাবনে,	
suraropeeto,	সারাপিত,	সুরারোপিত,	
apohoron,	অপহরণ,	অপহরন,	
ameriqa,	অ্যামেরিকা,	আমেরিকা,	
kabutorer,	কবুুতরের,	কবুতরের,	
sansthatike,	সংসসাতিকে,	সংস্থাটিকে,	
satthikota,	সাথিকতা,	সঠিকতা,	
soommitrar,	সমিতত্রা,	সুমিত্রার,	
goolen,	গোলেন,	গুলেন,	
osshoshtikor,	অস্বশ্তিক,	অস্বস্তিকর,	
sainyo,	সৈন্য,	সৈন্য,	
protishtan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
shho,	শো,	শো,	
mookhomaundol,	মুখমন্ন্ল,	মুখমণ্ডল,	
debdebier,	দেববেবীর,	দেবদেবীর,	
breakthraugh,	ব্রক্রঘা,	ব্রেকথ্রু,	
patjat,	পটটজা,	পাটজাত,	
gauge,	গৌগ,	গেজ,	
saifai,	সাইফা,	সাইফাই,	
gostheeti,	গোষ্ঠীতি,	গোষ্ঠীটি,	
chaudhurider,	চৌধুরিদের,	চৌধুরীদের,	
arakdal,	আরকদল,	আরেকদল,	
dhhaby,	ঢাবি,	ঢাবি,	
lyande,	ল্যান্ডে,	ল্যান্ডে,	
imarjinsi,	ইমর্জননি,	এমার্জেন্সি,	
trend,	ট্রেন্ড,	ট্রেন্ড,	
forider,	ফরিদের,	ফরিদের,	
daja,	ডজজা,	ডোজো,	
hool,	হোল,	হুল,	
faksa,	ফক্স,	ফক্স,	
bakhyateet,	বাযাখ্যিত,	ব্যাখ্যাতীত,	
drissogoolote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
shatokeo,	শাটেও,	শতকেও,	
kanake,	কানকে,	কণাকে,	
kings,	কিংস,	কিংস,	
seekkhokke,	শিক্ষককে,	শিক্ষককে,	
pretii,	প্রেতি,	প্রিটি,	
gotibegey,	গতিবেগে,	গতিবেগে,	
talaal,	তালাল,	তালাল,	
masjidsaho,	মাসজিসদহ,	মসজিদসহ,	
gazipur,	গাজীপুর,	গাজীপুর,	
oitijhye,	ঐতিহ্যে,	ঐতিহ্যে,	
haajarer,	হাজারের,	হাজারের,	
mathews,	ম্যাথে,	ম্যাথিউস,	
probeshkari,	প্রবেশকারী,	প্রবেশকারী,	
doula,	ডওলা,	দৌলা,	
venkatesh,	ভেনকাষে,	ভেঙ্কটেশ,	
eksathe,	একসাথে,	একসাথে,	
kyanela,	ক্যানেল,	ক্যানেল,	
hillse,	হিলস,	হিলসে,	
aazan,	আজন,	আজান,	
dimbacriti,	ডিম্বাকিকিত,	ডিম্বাকৃতি,	
depootee,	ডিপোতি,	ডেপুটি,	
mahasava,	মহাসভব,	মহাসভা,	
beshirvagyi,	বেশিরভাগই,	বেশিরভাগই,	
firth,	ফিরথথ,	ফার্থ,	
bhenisha,	ভেনিস,	ভেনিস,	
uchchotaro,	উচ্চতা,	উচ্চতর,	
shaakaar,	সাকার,	সাকার,	
seramiks,	সারামিকসস,	সিরামিকস,	
expreshshion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
welcome,	ভেলকমে,	ওয়েলকাম,	
deil,	ডেল,	ডেইল,	
bbiswashi,	বিশ্বাসী,	বিশ্বাসী,	
porizon,	পরিজন,	পরিজন,	
leetara,	লেটার,	লেটার,	
uthe,	উঠে,	উঠে,	
baasaa,	বাসা,	বাসা,	
pratiyogitamulak,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
timoothi,	টিমোথি,	টিমোথি,	
poorohitder,	পুরোহিতদেের,	পুরোহিতদের,	
nothibhukto,	নথিভুক্ত,	নথিভুক্ত,	
armstrang,	আর্মট্টা,	আর্মস্ট্রং,	
koner,	কোণের,	কনের,	
codee,	কোডি,	কোডে,	
orrgho,	অর্ঘ,	অর্ঘ্য,	
reejideens,	রেজিডেন্স,	রেসিডেন্স,	
sanaktokaron,	সনাক্তকরণ,	সনাক্তকরণ,	
procharonamulok,	প্রকারণণমূলক,	প্রচারণামূলক,	
shapod,	সাপদ,	শ্বাপদ,	
bage,	ব্যে,	বাগে,	
playto,	প্লেট,	প্লেটো,	
sanaktokaroner,	সনাক্তকরণের,	সনাক্তকরণের,	
besarkarikaran,	বেসরকররীকরণ,	বেসরকারিকরণ,	
nathivuktir,	নথিওুক্তির,	নথিভুক্তির,	
rena,	রেন,	রেনো,	
ashonkai,	আসনকাই,	আশঙ্কাই,	
irana,	ইরাা,	ইরান,	
kk,	ক্ি,	কেকে,	
olympic,	অলিম্রাক,	অলিম্পিক,	
averej,	অভযরেজ,	এভারেজ,	
sahosikotar,	সহসিকতার,	সাহসিকতার,	
chaber,	ছবের,	চাবির,	
parbottyo,	পর্বতত্ত্ব,	পার্বত্য,	
senabahinikey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
saarbharer,	সার্ভরের,	সার্ভারের,	
kata,	কাট,	কোটা,	
ancient,	অ্যানিসেন্,	এনসিয়েন্ট,	
nabyota,	নব্যতা,	নাব্যতা,	
everestey,	ইভেরস্টে,	এভারেস্টে,	
footbalarra,	ফোটবালাা,	ফুটবলাররা,	
sukumari,	সুকুমার,	সুকুমারী,	
thore,	থোে,	থরে,	
priimoo,	প্রীম,	প্রিমো,	
neutrino,	নিউট্রিন,	নিউট্রিনো,	
kooda,	কোড,	কোড,	
saalsa,	সালসা,	সালসা,	
rinatmak,	রীনত্ক,	ঋনাত্মক,	
gora,	গরা,	গোর,	
shumo,	সুমো,	সুমো,	
heeavy,	হেভি,	হেভি,	
sothikota,	সতীকতা,	সঠিকতা,	
falashruti,	ফলাসরুতি,	ফলশ্রুতি,	
pratisthanikvabey,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
foloshrutite,	ফলসসূুুতে,	ফলশ্রুতিতে,	
gujob,	গুজব,	গুজব,	
kram,	ক্রম,	ক্রম,	
atwabishvashi,	অত্বস্বাসী,	আত্মবিশ্বাসী,	
grameroi,	গ্রেমারি,	গ্রামেরই,	
ostad,	অস্টাদ,	ওস্তাদ,	
dijnii,	দিজনি,	ডিজনী,	
aunty,	অ্যটট,	আন্টি,	
eemarjeensi,	ইমররনন্সি,	এমার্জেন্সি,	
volt,	ওল্ট,	ভল্ট,	
graambaasir,	গ্রামবাসীর,	গ্রামবাসীর,	
pleeto,	প্লেট,	প্লেটো,	
graambaaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
batikromshalee,	ব্যাতির্্সালী,	ব্যতিক্রমধর্মী,	
title,	টিললে,	টাইটেল,	
deebatee,	দেবতী,	ডিবেট,	
chalche,	চলছে,	চলছে,	
prochondota,	প্রচন্ডতা,	প্রচণ্ডতা,	
bandra,	বননদ্র,	বন্দীরা,	
asamanyo,	আসমান্য,	অসামান্য,	
sanaktokaraner,	সনাক্তকরণের,	সনাক্তকরণের,	
nuhash,	নুঃস,	নুহাশ,	
felto,	ফেল্ট,	ফেলত,	
naubom,	নবম,	নবম,	
voter,	ভোটের,	ভোটার,	
sniper,	সিনিইের,	স্নাইপার,	
seconde,	সেকনন্ডে,	সেকেন্ডে,	
nyaper,	ন্যাপর,	ন্যাপের,	
oorgho,	অর্ঘ,	অর্ঘ্য,	
dorji,	দর্জি,	দরজি,	
jerakam,	জেরকম,	যেরকম,	
sommotir,	সম্মতির,	সম্মতির,	
jommu,	জম্মু,	জম্মু,	
madrasakey,	মাদদরসাকে,	মাদ্রাসাকে,	
reeno,	রিন,	রেনো,	
ganana,	গানা,	গননা,	
sanghitar,	সংঘীতা,	সংহিতার,	
mojlishpur,	মজলিশপুু,	মজলিশপুর,	
heeja,	হেজা,	হেজ,	
sikha,	শিখা,	শিখ,	
tirmijii,	তিরমিযী,	তিরমিজি,	
baipass,	বাইপাস,	বাইপাস,	
sakara,	সাকার,	সাকার,	
postar,	পোস্টা,	পোস্টের,	
restuarant,	রেস্টুরেন্,	রেষ্টুরেন্ট,	
enjineerinj,	এনজাইজির্জ,	ইঞ্জিনিয়ারিং,	
mase,	মেসে,	মাসে,	
ever,	এভ়ার,	এভার,	
nishader,	নিষদদের,	নিষাদের,	
