inapharameshana,	ইনফারসমেশন,	ইনফরমেশন,	
chittronatyokar,	চিত্রনাত্যকার,	চিত্রনাট্যকার,	
miraqela,	মারেকেল,	মিরাকেল,	
gonoporeebohon,	গণপরিবহন,	গণপরিবহন,	
licencing,	লিসেন্সিং,	লাইসেন্সিং,	
iyaqa,	ইয়াক,	ইয়াক,	
sahajlabhbhatar,	সহজলভভাবার,	সহজলভ্যতার,	
upobaasher,	উপব্যাসের,	উপবাসের,	
soundarjya,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
mulaadi,	মুলাদী,	মুলাদি,	
sangkulan,	সঙ্কুলান,	সংকুলান,	
agam,	আগাম,	আগম,	
onekeryi,	অনেকারি,	অনেকেরই,	
pratijogitamulak,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
daakteekite,	ডাক্তিকিতে,	ডাকটিকিটে,	
juboksoho,	যুবকসহ,	যুবকসহ,	
marketing,	মার্কেটিং,	মার্কেটিং,	
neshnos,	নেশনস,	নেশনস,	
osocheton,	অসচেতন,	অসচেতন,	
grambasio,	গ্রামবাসিও,	গ্রামবাসীও,	
hunayn,	হাউনেন,	হুনাইন,	
sahocorrze,	সহচর্যে,	সাহচর্যে,	
maradeho,	মারাদেহ,	মরদেহ,	
rinattak,	রণাত্মক,	ঋনাত্মক,	
blyaqa,	ব্ল্যাক,	ব্ল্যাক,	
roobi,	রোবি,	রুবি,	
yukeliptash,	উক্লিপেপ্টাস,	ইউক্যালিপ্টাস,	
barak,	বারাক,	বারাক,	
potengar,	পটেনার,	পতেঙ্গার,	
bisnukey,	বিষ্ণুকে,	বিষ্ণুকে,	
shomsti,	সমস্তি,	সমষ্টি,	
jacksoner,	জ্যাকশনের,	জ্যাকসনের,	
kyathalika,	ক্যাথলিক,	ক্যাথলিক,	
jalatanko,	জলতানক,	জলাতঙ্ক,	
vaisaha,	বাইহসহ,	ভাইসহ,	
ducktickete,	ডাকক্তিকেটে,	ডাকটিকিটে,	
torunra,	তরুনরা,	তরুণরা,	
hariken,	হারিকেন,	হ্যারিকেন,	
rajotta,	রাজত্তা,	রাজত্ব,	
siddhantokey,	সিদ্ধানটকে,	সিদ্ধান্তকে,	
rot,	রোট,	রত,	
omitrakkhor,	অমিতক্ষর,	অমিত্রাক্ষর,	
vip,	ভীপ,	ভিআইপি,	
shiropadhari,	শ্বীরপাধারী,	শিরোপাধারী,	
bharatey,	ভারতে,	ভারতে,	
nilabha,	নিলভা,	নীলাভ,	
delibhara,	দেলিভার,	ডেলিভার,	
jatota,	যতটা,	যতোটা,	
bhabnar,	ভাবনার,	ভাবনার,	
khagen,	খাগেন,	খগেন,	
oitijhyey,	ঐতিহ্যে,	ঐতিহ্যে,	
aameenar,	আমিনার,	আমিনার,	
horeener,	হরেনের,	হরিণের,	
narikei,	নারীকেই,	নারীকেই,	
obosorer,	অবশরের,	অবসরের,	
madhobi,	মাধবী,	মাধবী,	
ajauno,	আজানু,	অযৌন,	
chhatoke,	ছটটকে,	ছাতকে,	
songostha,	সংগোস্থা,	সংস্থা,	
agoora,	আগুরা,	আগোরা,	
kortona,	কর্তনা,	করতনা,	
mozlishpur,	মোলিসপুর,	মজলিশপুর,	
daltyagi,	দালতাজগী,	দলত্যাগী,	
iuroo,	ইউরো,	ইউরো,	
songasthatir,	সংগ্ষাস্থিতের,	সংস্থাটির,	
stylish,	স্টাইলিস,	স্টাইলিশ,	
thailandshoho,	থাইলান্ডসহ,	থাইল্যান্ডসহ,	
sikkhagata,	শিক্ষাগত,	শিক্ষাগত,	
daeel,	ডেল,	ডেইল,	
mukhomandaley,	মুখমন্ডলে,	মুখমণ্ডলে,	
shucharita,	সূচারিত,	সুচরিতা,	
ancholgoolote,	আঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
mashtarsha,	মাস্টার্স,	মাস্টার্স,	
zeebonjaapon,	জীবনযাবনা,	জীবনযাপন,	
dokan,	ডোকান,	দোকান,	
advanced,	আ্যাডভান্ডেস,	অ্যাডভান্সড,	
priti,	প্রীতি,	প্রিটি,	
favorite,	ফভরীতে,	ফেভারিট,	
taurist,	তররিস্ট,	টুরিস্ট,	
aaireesh,	আইরিশ,	আইরিস,	
olimpik,	অলিম্পিক,	অলিম্পিক,	
saaeda,	সাইড,	সাইদা,	
poorohitder,	পুরহিতদের,	পুরোহিতদের,	
chalake,	চালাকে,	চালকে,	
parikha,	পরীক্ষা,	পরিখার,	
muladee,	মুলাদী,	মুলাদি,	
sothikata,	সথীকতা,	সঠিকতা,	
safalyer,	সফল্যের,	সাফল্যের,	
shoshar,	শোশার,	সকার,	
arik,	অরিক,	আরিক,	
piroojalee,	পিরুজালি,	পিরুজালী,	
ajeempoor,	আজিপপুর,	আজিমপুর,	
dhruboker,	ধ্রুবকের,	ধ্রুবকের,	
nepchooner,	নেশুনের,	নেপচুনের,	
townshhip,	তানশীপ,	টাউনশিপ,	
aakaabaar,	আকাবার,	আকাবার,	
manu,	মননু,	মনু,	
gazipore,	গাজীপরে,	গাজীপুর,	
grambaashi,	গ্রামবাসী,	গ্রামবাসী,	
mohammadi,	মহমাম্দী,	মুহাম্মদী,	
shikkhagata,	শিক্ষাগত,	শিক্ষাগত,	
sangbadmadhyamer,	সংবদ্ধমিহ্যার,	সংবাদমাধ্যমের,	
oedipush,	এডিপিউস,	ইডিপাস,	
taresa,	তরেশ,	টেরেসা,	
shcholastik,	স্কলস্টিস্ট,	স্কলাস্টিক,	
prothati,	প্রথাটি,	প্রথাটি,	
nothivukta,	নথিভুক্ত,	নথিভুক্ত,	
phuda,	ফুদা,	ফুড,	
noiteekotabodh,	নৈতিক্যবাধ,	নৈতিকতাবোধ,	
chalechi,	চলেছি,	চলেছি,	
stanahenja,	স্তানাহেঞ্জ,	স্টোনহেঞ্জ,	
onnyorup,	অন্যরূপ,	অন্যরূপ,	
reeno,	রেন,	রেনো,	
palestinea,	প্যাসস্টাইনে,	প্যালেস্টাইনে,	
hol,	হোল,	হোল,	
bhabanir,	ভবননীর,	ভবানীর,	
kathmandutey,	কথামন্ডুতে,	কাঠমান্ডুতে,	
karmoke,	কর্মকে,	কর্মকে,	
antarbhuttirmulok,	অন্তর্ভূত্মূলক,	অন্তর্ভুক্তিমূলক,	
maadhoobir,	মাধবীর,	মাধবীর,	
oncholgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
sqora,	স্কোর,	স্কোর,	
asamonjoshopurno,	অসমম্যসমপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
kuhelika,	কুলিলিকা,	কুহেলিকা,	
randeep,	রণ্ডীপ,	রণদীপ,	
somraatder,	সম্রাতদের,	সম্রাটদের,	
perther,	পার্থের,	পার্থের,	
byaboharkarikey,	ব্যবহারকারকে,	ব্যবহারকারীকে,	
forid,	ফরিদ,	ফরিদ,	
subader,	সুবাদের,	সুবাদে,	
jillul,	জিল্লুল,	জিল্লুল,	
taims,	টাইমস,	টাইমস্,	
orbeet,	অর্বিত,	অরবিট,	
birder,	বীরদের,	বার্ডের,	
bhejaano,	ভেজানো,	ভেজানো,	
ezenda,	এজেন্ড,	এজেন্ডা,	
soori,	সুরি,	সুরি,	
uddhritir,	উদ্ধৃতির,	উদ্ধৃতির,	
byakkhabyatito,	ব্যাক্যাব্যতিত,	ব্যাখ্যাতীত,	
daqop,	ডাকপ,	দাকোপ,	
jaksa,	জক্ষা,	যক্ষ,	
parq,	পার্ক,	পার্ক,	
sansthatir,	সংস্থাটির,	সংস্থাটির,	
abortey,	আবর্তে,	আবর্তে,	
ganokantho,	গণকণ্ঠ,	গণকণ্ঠ,	
bhenisa,	ভেনিস,	ভেনিস,	
timothy,	তিমথী,	টিমোথি,	
jawhar,	জওহর,	জহর,	
shoodhooi,	শুধুই,	শুধুই,	
rajtantrakey,	রাজতন্ত্রকে,	রাজতন্ত্রকে,	
definitian,	ডেফিনিশন,	ডেফিনেশন,	
attaar,	আত্ার,	আত্তার,	
jhankar,	ঝাঁকার,	ঝঙ্কার,	
bodqa,	বদকা,	ভদকা,	
durvagyo,	দুর্ভাগ্য,	দূর্ভাগ্য,	
epiela,	এপিল,	আইপিএল,	
markeetim,	মার্কিটিম,	মার্কেটিং,	
onchalgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
koro,	কোরো,	করো,	
kyandi,	ক্যান্ডি,	ক্যান্ডি,	
catholicder,	ক্যাথলিকদের,	ক্যাথলিকদের,	
chhuteer,	ছুটির,	ছুটির,	
jaroori,	জরুরী,	জরূরী,	
zansa,	জাঁস,	জন্স,	
sambhabanaow,	সম্ভাবনাও,	সম্ভবনাও,	
semai,	সেমাই,	সেমাই,	
dearas,	ডিরাস,	ডিআরএস,	
venom,	ভেনাম,	ভেনম,	
bojhaao,	বোঝাও,	বোঝাও,	
changee,	চঙ্গে,	চেঞ্জ,	
boner,	বোনের,	বনের,	
uthhane,	উঠানে,	উঠানে,	
modelling,	ম্যাডেলিং,	মডেলিং,	
mahish,	মহিশ,	মহিষ,	
uthhaane,	উঠানে,	উঠানে,	
morathee,	মরাঠী,	মরাঠি,	
godamjat,	গদমজাত,	গুদামজাত,	
gyandas,	জ্ঞান্ডস,	জ্ঞানদাস,	
ragi,	রাগী,	রাগী,	
parikhar,	পরীক্ষার,	পরিখার,	
netherland,	নেযারল্যান্ড,	নেদারল্যান্ড,	
charchita,	চার্চিত,	চর্চিত,	
ekshotee,	একশটি,	একশোটি,	
jaunotar,	যৌনতার,	যৌনতার,	
shoo,	শো,	শো,	
meghachonno,	মেজাধন্য,	মেঘাচ্ছন্ন,	
shcholarshhip,	স্কলারশিপ,	স্কলারশিপ,	
kanda,	কাঁদা,	কাণ্ড,	
moldowa,	মলোদাও,	মলদোভা,	
dighol,	দিহল,	দীঘল,	
jillool,	জিল্লুল,	জিল্লুল,	
sausagee,	সৌশগী,	সসেজ,	
phutbolarder,	ফুটবলযোর্ডার,	ফুটবলারদের,	
chalochchitroke,	চলচ্তির্ককে,	চলচ্চিত্রকে,	
novel,	নোভেল,	নভেল,	
torkareer,	তরকারীর,	তরকারীর,	
gonona,	গণনা,	গণনা,	
satthikata,	সাথ্যিকতা,	সঠিকতা,	
spredshiit,	স্প্রেসিত,	স্প্রেডশীট,	
karmasampadon,	কর্মসম্পদন,	কর্মসম্পাদন,	
chhooteer,	ছুটির,	ছুটির,	
mag,	ম্যাগ,	এমএজি,	
venna,	ভেনানা,	ভেন্না,	
sofi,	সফি,	সোফি,	
inshtant,	ইনস্টান্ট,	ইনস্ট্যান্ট,	
pirujalee,	পিরুজালি,	পিরুজালী,	
dinner,	দিনের,	ডিনার,	
sangosthatir,	সংস্ঠাটির,	সংস্থাটির,	
dembakriti,	দেম্বাকৃতি,	ডিম্বাকৃতি,	
shikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
danabder,	দানব্দের,	দানবদের,	
natsi,	নাৎসি,	নাত্সি,	
dayitto,	দৈত্য,	দায়িত্ব,	
bhor,	ভোর,	ভর,	
janaar,	জানার,	জানার,	
afzol,	আ্যালোজ,	আফজল,	
stoona,	স্তনা,	স্টোন,	
ovizojon,	অভিযোজন,	অভিযোজন,	
gaugee,	গাউজ,	গেজ,	
thime,	থিইম,	থিমে,	
ganokantha,	গণকণ্ঠ,	গণকণ্ঠ,	
pratisthasoho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
dam,	ডাম,	ডং,	
shikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
seekkhokbrindo,	শিক্ষাবৃন্দ,	শিক্ষকবৃন্দ,	
bolatkar,	বলাটকার,	বলাৎকার,	
dines,	ডাইনেস,	দীনেশ,	
meshar,	মেশার,	মেশার,	
postake,	পোস্তকে,	পোস্টকে,	
toubaar,	তাউবার,	তওবার,	
dola,	দোলা,	দলা,	
perri,	পেরী,	পেরি,	
bhandaar,	ভান্ডার,	ভাণ্ডার,	
veedanta,	বিদান্ত,	বেদান্ত,	
barron,	বর্ণন,	ব্যারন,	
bomkesh,	বোমেশে,	ব্যোমকেশ,	
probhritite,	প্রভৃতিতে,	প্রভৃতিতে,	
teman,	টেমান,	তেমন,	
shov,	শো,	শো,	
armeeniyana,	আরমেনিয়ান,	আর্মেনিয়ান,	
horidar,	হরিদার,	হরিদ্বার,	
taki,	তাকি,	তকি,	
vatar,	ভাতার,	ভাতার,	
grambaaseeo,	গ্রামবাসেই,	গ্রামবাসীও,	
faltu,	ফল্টু,	ফালতু,	
chalo,	চাল,	চলো,	
anisha,	অনিশা,	আনিস,	
footbalarer,	ফুটবালারের,	ফুটবলারের,	
shatokeo,	শতকেও,	শতকেও,	
shaatjon,	সাতজন,	সাতজন,	
tarkarir,	তরকারীর,	তরকারীর,	
mukhomondol,	মুখমন্ডল,	মুখমণ্ডল,	
bisshaskey,	বিশ্বাসকে,	বিশ্বাসকে,	
agomoney,	অগমনে,	আগমনে,	
windows,	উইন্ডোস,	উইন্ডোস,	
tarasa,	তরাস,	টেরেসা,	
karadande,	কারাদন্ডে,	কারাদণ্ডে,	
suhasini,	সুহাসিনী,	সুহাসিনী,	
credit,	ক্রিডিট,	ক্রেডিট,	
blagarara,	ব্লাগারের,	ব্লগাররা,	
monjhostho,	মন্যস্থ,	মঞ্চস্থ,	
kodom,	কদম,	কদম,	
chootite,	চুটিতে,	ছুটিতে,	
carzito,	কার্জিত,	চার্জিত,	
aachhis,	আচ্ছিস,	আছিস,	
bohudin,	বহুদিন,	বহুদিন,	
auncholo,	অঞ্চল,	অঞ্চলও,	
durotaumo,	দূরোতামো,	দূরতম,	
udbhaban,	উদ্ভাবন,	উদ্ভাবন,	
purohitke,	পুরোহিতকে,	পুরোহিতকে,	
olimpicer,	অলিম্পেসের,	অলিম্পিকের,	
bosontoke,	বসন্তকে,	বসন্তকে,	
shikarke,	শিকারকে,	শিকারকে,	
tokey,	তোকে,	ত্বকেই,	
relance,	রেলান্স,	রিলায়েন্স,	
langhon,	লঙ্ঘন,	লংঘন,	
saphalyar,	সফল্যার,	সাফল্যের,	
agora,	আগরা,	আগোরা,	
laishenshim,	লাইসেন্সিং,	লাইসেন্সিং,	
vault,	ভাউট,	ভল্ট,	
concerter,	কনসার্টের,	কানসাটের,	
suity,	সুইটি,	সুইটি,	
aatok,	আটক,	আটক,	
dajhya,	দৈজ্য,	দাহ্য,	
bondhuke,	বন্ধুকে,	বন্ধুকে,	
nathivookto,	নথিভুক্ত,	নথিভুক্ত,	
shasheja,	শাসেজা,	সসেজ,	
eshoshiyetasha,	এসিয়েস্ট,	এসোসিয়েটস,	
bhenom,	ভেনাম,	ভেনম,	
jaygata,	জাগত,	জায়গাটা,	
mehonoti,	মেহনোটি,	মেহনতি,	
proshtutkarok,	প্রস্তুতকারক,	প্রস্তুতকারক,	
syutara,	স্যুটার,	শ্যুটার,	
utsahamulak,	উত্তহসমূলক,	উৎসাহমূলক,	
valobasar,	ভালবাসার,	ভালোবাসার,	
utkhat,	উৎকাত,	উত্খাত,	
sasharire,	সশশীরে,	সশরীরে,	
hukar,	হুকার,	হুকার,	
vashik,	ভাষিক,	ভাষিক,	
kloj,	ক্লোজ,	ক্লজ,	
shkalastic,	স্কললাস্টিক,	স্কলাস্টিক,	
manab,	মানব,	মানব,	
sotteo,	সত্বেও,	সত্ত্বেও,	
saddhi,	সাধ্যি,	সাধ্বী,	
temonyi,	টেমনই,	তেমনই,	
choudhureeo,	চৌধুরে,	চৌধুরীও,	
qoda,	কোড,	কোড,	
stoone,	স্তনে,	স্টোন,	
sarbhare,	সর্ভরে,	সার্ভারে,	
monmoth,	মনমো,	মন্মথ,	
arthonitike,	অর্থনীতিকে,	অর্থনীতিকে,	
siddhanto,	সিদ্ধান্ত,	সিদ্ধান্তও,	
touraat,	তৌরাট,	তওরাত,	
rakshanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
soinyo,	সৈন্য,	সৈন্য,	
besoor,	বেশুর,	বেসুর,	
nirvahi,	নির্বাহী,	নির্বাহি,	
sunagarik,	সুনাগারিক,	সুনাগরিক,	
udbhaboney,	উদ্ভাবনে,	উদ্ভাবনে,	
afjol,	আফজল,	আফজল,	
stana,	স্টানা,	স্টোন,	
dhanchey,	ধাঁচে,	ধাঁচে,	
sonali,	সোনালি,	সোনালী,	
directorete,	ডিরেক্টরেট,	ডিরেক্টরেট,	
aiisa,	আইশ,	আইএএস,	
bamander,	বামানদের,	বামনদের,	
tap,	টাপ,	ট্যাপ,	
definishion,	ডেফিনিশন,	ডেফিনেশন,	
capsule,	ক্যাপুলে,	ক্যাপসুল,	
shhashtra,	স্থাস্টার,	শাস্ত্র,	
dristihin,	দৃষ্টিহীন,	দৃষ্টিহীন,	
gorer,	গরের,	গোরের,	
basaake,	বাসাকে,	বাসাকে,	
aqabar,	আকাবার,	আকাবার,	
simaa,	সীমা,	সীমা,	
nikat,	নিকাত,	নিকট,	
oshtader,	অস্তাদের,	ওস্তাদের,	
muladi,	মুলাদী,	মুলাদি,	
karo,	কারও,	কারো,	
dwip,	দ্বীপ,	দীপ,	
hosney,	হসনে,	হোসনে,	
suchanakal,	সূচনাকল,	সূচনাকাল,	
otitkaley,	অতিতকালে,	অতীতকালে,	
sofir,	সফীর,	সোফির,	
zommoo,	জম্ম,	জম্মু,	
bagmara,	বাগমার,	বাগমারা,	
israeler,	ইসরাইলের,	ইসরাঈলের,	
shangsthati,	সংস্ঠাটি,	সংস্থাটি,	
palestine,	প্যালস্টেনে,	প্যালেস্টাইনে,	
pathkram,	পাঠকর্ম,	পাঠক্রম,	
loukikataa,	লৌকিকতা,	লৌকিকতা,	
goori,	গুরী,	গোরি,	
biplabeer,	বিপ্লবীর,	বিপ্লবীর,	
vageryi,	ভাগেরই,	ভাগেরই,	
balakarak,	বালাকারক,	বলকারক,	
enginears,	এনগিরেন্স্স,	ইঞ্জিনিয়ার্স,	
phulkapi,	ফুলকাপি,	ফুলকপি,	
noitikota,	নৈতিকতা,	নৈতিকতা,	
eenasiyeenta,	ইনসিয়েন্ট,	এনসিয়েন্ট,	
monu,	মনু,	মনু,	
pack,	প্যাক,	প্ল্যাক,	
zojjyota,	যোজ্যতা,	যোজ্যতা,	
chamski,	চামসককি,	চমস্কি,	
eoki,	আকই,	এওকি,	
chinto,	চিন্ত,	চিনতো,	
akkhar,	অক্ষার,	অক্ষর,	
laat,	লাট,	লাট,	
shuperhero,	সুপেরেহ,	সুপারহিরো,	
abheedhaaneeck,	অভিধানিক,	অভিধানিক,	
songosthati,	সংক্ষাস্থিত,	সংস্থাটি,	
sinake,	সিনাকে,	সিনাকে,	
venicer,	ভেনিসের,	ভেনিসের,	
artilery,	অর্টিলারি,	আর্টিলারি,	
santani,	সন্তানী,	সনাতনী,	
phareksha,	ফরেক্স,	ফরেক্স,	
qindama,	কিন্ডোমা,	কিংডম,	
troop,	ট্রুপ,	ট্রুপ,	
haipar,	হাইপার,	হাইপার,	
jibnagore,	জীবনগরে,	জীবননগর,	
tuleche,	তুলেছে,	তুলেছে,	
meterey,	মেটারে,	মিটারে,	
hypar,	হাইপার,	হাইপার,	
rooshod,	রুশোদ,	রুশদ,	
pitthe,	পিঠে,	পীঠে,	
jetei,	যেটেই,	যেতেই,	
jeelyand,	জিল্যান্ড,	জিল্যান্ড,	
batikromee,	বাযিত্র্মী,	ব্যতিক্রমী,	
nationsh,	নেযানন্স,	নেশনস,	
aireshe,	আইরেশে,	আইরেসে,	
biswashwo,	বিশ্বস্ব,	বিশ্বাসও,	
letterey,	ল্যাটারে,	লেটারে,	
chhutochhooti,	ছুটোছটি,	ছুটোছুটি,	
bheenisa,	ভেনিস,	ভেনিস,	
madhuri,	মাধরী,	মাধুরী,	
ajuhath,	অজুহাথ,	অজুহাত,	
beatleser,	বিটলেসের,	বিটলসের,	
pyatarna,	প্যাটার্ন,	প্যাটার্ন,	
krisenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
meghke,	মেঘকে,	মেঘকে,	
oncolei,	অঞ্চলেই,	অঞ্চলেই,	
staylish,	স্টাইলিস,	স্টাইলিশ,	
kkunti,	কুনটি,	কুন্তী,	
nodimaatrik,	নদীমাত্রিক,	নদীমাতৃক,	
ase,	আসে,	আসে,	
songbadmadhyome,	সংবাদসমধ্যমে,	সংবাদমাধ্যমে,	
bipozzonok,	বিপবজজনক,	বিপজ্জনক,	
footballerra,	ফুটবলেলার,	ফুটবলাররা,	
somratra,	সম্রাত্র,	সম্রাটরা,	
byatikromi,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
lumbinee,	লুম্বিনী,	লুম্বিনী,	
nikel,	নিকেল,	নিকেল,	
gambasi,	গাম্বাসী,	গ্রামবাসী,	
phemale,	ফেমলে,	ফিমেল,	
vobtarini,	ভব্তরণইন,	ভবতারিণী,	
cheef,	চীফ,	শেফ,	
ekbakke,	একবাককে,	একবাক্যে,	
jesha,	জেস,	জেস,	
toubar,	তাউবার,	তওবার,	
udbhabone,	উদ্ভাবনে,	উদ্ভাবনে,	
dera,	ডেরা,	ডেরা,	
maheendra,	মহেন্দ্র,	মাহিন্দ্রা,	
airesey,	আইরেসে,	আইরেসে,	
sorboshoktiman,	সর্বস্কততমান,	সর্বশক্তিমান,	
udbodhonee,	উদ্বোধনী,	উদ্বোধনী,	
bastuvad,	বস্তুবাদ,	বস্তুবাদ,	
prokalpao,	প্রকল্পও,	প্রকল্পও,	
marketim,	মার্কেটিম,	মার্কেটিং,	
poorohitke,	পুরোহিতকে,	পুরোহিতকে,	
sorsa,	সোর্স,	সোর্স,	
krush,	ক্রুশ,	ক্রুশ,	
gonesh,	গণেস,	গণেশ,	
abheegomon,	অভিগমন,	অভিগমন,	
abotaar,	অবতার,	অবতার,	
protisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
hebhee,	হেভী,	হেভি,	
seekkhokder,	শিক্ষকদের,	শিক্ষকদের,	
rephlex,	রেপলেক্স,	রিফ্লেক্স,	
samabesh,	সমাবেস,	সমাবেশ,	
ganjana,	গঞ্জনা,	গঞ্জনা,	
mosjidsaha,	মসসিজদসহ,	মসজিদসহ,	
cheettronnatyokar,	চিত্রনাত্যকার,	চিত্রনাট্যকার,	
komaatei,	কমাতেই,	কমাতেই,	
hajartee,	হজরত্তি,	হাজারটি,	
shikhbey,	শিখবে,	শিখবে,	
chaakaa,	চাকা,	চাকা,	
banijyikvittey,	বানিজ্যিক্তিতে,	বাণিজ্যিকভিত্তিতে,	
makhmaley,	মাখমলে,	মখমলে,	
adhyattik,	অধ্যাত্তিক,	আধ্যাত্মিক,	
dharatir,	ধরতির,	ধারাটির,	
dhanni,	ধ্যানি,	ধন্যি,	
olympic,	অলিম্পিক,	অলিম্পিক,	
advanshd,	অ্যাডভান্ডস,	অ্যাডভান্সড,	
hyper,	হাইপার,	হাইপার,	
naper,	নাপের,	ন্যাপের,	
nathibhooktir,	নথিভূক্তির,	নথিভুক্তির,	
jins,	জিনস,	জিন্স,	
shikhra,	শিখ্র,	শিখরা,	
tintike,	তিনটিকে,	তিনটিকে,	
graambaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
panthaar,	পানাথার,	পন্থার,	
kaash,	কাস,	কাস,	
dighal,	দিহল,	দীঘল,	
bodhirata,	বোধিরতা,	বধিরতা,	
rekhapat,	রেখপাত,	রেখাপাত,	
commander,	কমান্ডার,	কমাণ্ডার,	
biswashke,	বিশ্বাসকে,	বিশ্বাসকে,	
nesnos,	নেসনস,	নেশনস,	
shashoto,	শ্বাতত,	শাশ্বত,	
aansaareer,	আনসারির,	আনসারীর,	
granthei,	গ্রন্থেই,	গ্রন্থেই,	
gardena,	গার্ডেন,	গার্ডেন,	
moushumeo,	মৌসমেও,	মৌসুমেও,	
kemaney,	কেমনে,	কেমনে,	
udar,	উদার,	উদর,	
komatei,	কমাতেই,	কমাতেই,	
nathibhookta,	নথযিভূক্ত,	নথিভুক্ত,	
ekpaashe,	একপাশে,	একপাশে,	
kaathhaamaandu,	কাঠামন্ড,	কাঠমান্ডু,	
jackshan,	জক্্সান,	জ্যাকসন,	
avereste,	আবেরেস্টে,	এভারেস্টে,	
wool,	ভোল,	উল,	
roza,	রোজা,	রোযা,	
bholapuqa,	ভলাপাকা,	ভোলাপুক,	
sangharshik,	সংঘ্রাসিক,	সাংঘর্ষিক,	
jibnagar,	জীবনাগার,	জীবননগর,	
bbosben,	বসবেন,	বসবেন,	
hozot,	হজজত,	হজত,	
patjato,	পাত্যত,	পাটজাত,	
pyore,	প্যোর,	পিওর,	
nogore,	নগরে,	নগরে,	
samudratate,	সমুদ্রতাটে,	সমুদ্রতটে,	
ghesa,	ঘেসা,	ঘেঁষা,	
kkomatei,	কমাতেই,	কমাতেই,	
shasonkarta,	শাসনকর্তা,	শাসনকর্তা,	
senabahinike,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
anis,	অনিশ,	আনিস,	
vortuki,	ভর্তুকি,	ভর্তুকি,	
aksathei,	আক্ষাতেই,	একসাথেই,	
lombate,	লম্বাতে,	লম্বাটে,	
chaalta,	চালটা,	চালতা,	
paadee,	পাদে,	পাড়ে,	
embed,	এমবেড,	এম্বেড,	
sayid,	সাইদ,	সাইদ,	
songkolonti,	সংক্লানটি,	সংকলনটি,	
rajan,	রজন,	রাজন,	
mehnoti,	মেহনতি,	মেহনতি,	
ameriqa,	আমেরিকা,	আমেরিকা,	
panero,	পানেরও,	পনের,	
tiger,	টিগের,	টাইগার,	
tukroti,	তুক্রতি,	টুকরোটি,	
folo,	ফলও,	পোলো,	
antorvuktimulok,	অন্তর্ভূতিমূলক,	অন্তর্ভুক্তিমূলক,	
ula,	উলল,	উল,	
xpose,	ক্সপাই,	এক্সপোজ,	
jomjamat,	জমজামাত,	জমজমাট,	
soleel,	সোলিল,	সলিল,	
sompadon,	সম্পাদন,	সম্পাদন,	
cutie,	কাটি,	কিউটি,	
kaamla,	কামলা,	কামলা,	
keyboarder,	কেবোরদের,	কীবোর্ডের,	
hotodoreedro,	হতোদের্ধ্র,	হতদরিদ্র,	
shahanara,	সাহানার,	শাহানারা,	
shainyara,	সাইন্যার,	সৈন্যরা,	
mukhya,	মুখ্যা,	মুখ্য,	
dinara,	ডাইনার,	ডিনার,	
inashtyanta,	ইনস্টান্ট,	ইনস্ট্যান্ট,	
chalochchitreeo,	চলচ্তির্ই,	চলচ্চিত্রেও,	
evar,	ইভার,	এভার,	
chhintayikari,	ছিন্তাইকারী,	ছিনতাইকারী,	
setite,	সেটিতে,	সেটিতে,	
diniphition,	ডিনিফিশন,	ডেফিনেশন,	
hooldim,	হোলডিং,	হোল্ডিং,	
tecno,	টেকনো,	টেকনো,	
dap,	দাপ,	ড্যাপ,	
nake,	নাকে,	নেক,	
mohish,	মহিশ,	মহিষ,	
parishkaron,	পরিস্কারণ,	পরিষ্করণ,	
eder,	এডর,	এদের,	
bhramankale,	ভ্রমণকালে,	ভ্রমণকালে,	
shanta,	শান্ত,	সান্তা,	
robot,	রোবট,	রোবোট,	
abdoone,	আবদুনে,	আবদুন,	
cheerkut,	চিরকুত,	চিরকুট,	
mukhomaundoler,	মুখামন্ডলের,	মুখমণ্ডলের,	
bisheshshyo,	বিশেষ্য,	বিশেষ্য,	
patthon,	পাঠান,	পঠন,	
prrajanankaal,	প্রজননকাল,	প্রজননকাল,	
moushumei,	মৌসমেে,	মৌসুমেই,	
pooshtee,	পুস্ত,	পুষ্টি,	
lyande,	ল্যান্ডে,	ল্যান্ডে,	
parinoti,	পরিনতি,	পরিণতি,	
chirontan,	চিরন্তন,	চিরন্তন,	
attar,	আত্ার,	আত্তার,	
besirbhagei,	বেশীরভাগেই,	বেশিরভাগেই,	
cholechi,	চলেছি,	চলেছি,	
majhari,	মাঝরি,	মাঝারী,	
potcheetrer,	পটচিত্রের,	পটচিত্রের,	
