female,	ফেমলে,	ফিমেল,	
qonfliqt,	কনপ্লিক্ট,	কনফ্লিক্ট,	
cholochchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
ingrezder,	ইংরেজদের,	ইংরেজদের,	
andamana,	আন্ডোমন,	আন্দামান,	
kareer,	কারীর,	কারীর,	
aatmobishwasi,	আত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
bisshonath,	বিশ্বনাথ,	বিশ্বনাথ,	
basatey,	বাসাতে,	বাসাতে,	
tirmizi,	তীরমিজী,	তিরমিজি,	
bahya,	বাহ্য,	বাহ্য,	
skarta,	স্কার্ট,	স্কার্ট,	
seemons,	সেমন্স,	সিমন্স,	
aalkatra,	আলকাত্র,	আলকাতরা,	
thawre,	থারে,	থরে,	
abhidhaneeck,	অভিধানিক,	অভিধানিক,	
ovidhanik,	অভিধানিক,	অভিধানিক,	
ekghore,	একঘরে,	একঘরে,	
foxkon,	ফক্সন,	ফক্সকন,	
protijogira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
sangosthaner,	সংস্থানের,	সংস্থানের,	
nirapekkho,	নিপেক্ষ,	নিরপেক্ষ,	
dinnar,	দিন্নার,	ডিনার,	
kartana,	কর্তন,	করতনা,	
baarak,	বারাক,	বারাক,	
rubi,	রুবি,	রুবী,	
metropolitan,	মেট্রোপোটিন,	মেট্রোপলিটন,	
saarbharer,	সার্ভরের,	সার্ভারের,	
foreks,	ফোর্ক্স,	ফরেক্স,	
jotharthovabey,	যথারথভাবে,	যথার্থভাবে,	
pushteer,	পুষ্টির,	পুষ্টির,	
bhoolapuka,	ভোলাপুকা,	ভোলাপুক,	
pchok,	শকক,	পাচক,	
rk,	র্ক,	আরকে,	
bhittiei,	ভিত্ইই,	ভিত্তিই,	
snaipara,	স্নেপার,	স্নাইপার,	
jatook,	জতুক,	জাতক,	
sharifer,	শরীফের,	শরিফের,	
ponero,	পনেরও,	পনের,	
armenian,	আর্মেনিয়ান,	আর্মেনিয়ান,	
vault,	ভললট,	ভল্ট,	
juktarashtrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
diyenes,	ডাইজেন,	ডিএনএস,	
kalniir,	কালনীর,	কালনীর,	
abahon,	আবহন,	আবাহন,	
joubankale,	যৌবনকালে,	যৌবনকাল,	
iling,	ইলিং,	ইলিং,	
pratishta,	প্রতিষ্ট,	প্রতিষ্টা,	
agahir,	আগাহির,	অগভীর,	
honduras,	হন্দুরাস,	হন্ডুরাস,	
venuser,	ভেনুসের,	ভেনাসের,	
govornorer,	গভর্নরের,	গভর্ণরের,	
projononkal,	প্রজননকাল,	প্রজননকাল,	
jaqi,	জাকি,	জকি,	
qode,	কোড,	কোড,	
augustine,	অগসস্টিইন,	অগাস্টিন,	
piora,	পিওরা,	পিওর,	
lettere,	লেটারে,	লেটারে,	
chotogolper,	ছোটগল্পের,	ছোটগল্পের,	
oncholsomuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
pyaleshtaine,	প্যালেস্টেন,	প্যালেস্টাইনে,	
jones,	জোনেস,	জোন্স,	
sorboshoktiman,	সর্বস্কিতান,	সর্বশক্তিমান,	
carloos,	কার্লোস,	কার্লোস,	
naagaaland,	নাগালান্ড,	নাগাল্যান্ড,	
ojowno,	অযুন,	অযৌন,	
janacche,	জনক্ছে,	জানাচ্ছে,	
osommotite,	অসম্তিতে,	অসম্মতি,	
fokshkon,	ফক্ষণ,	ফক্সকন,	
query,	কোরি,	কোয়েরি,	
otitkaley,	অতীতকালে,	অতীতকালে,	
kalki,	কলিক,	কালকি,	
iceberg,	ইকেভব্র,	আইসবার্গ,	
bbosonte,	বসন্তে,	বসন্তে,	
lokeshon,	লোকেশন,	লোকেশন,	
poschimey,	পশ্চিমে,	পশ্চিমে,	
kanai,	কানই,	কানাই,	
juktorashtre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
zubokera,	যুবকেরা,	যুবকেরা,	
estoonia,	ইস্টোনিয়া,	এস্তোনিয়া,	
cholocchitroke,	চলচচচ্ত্রকে,	চলচ্চিত্রকে,	
ghumata,	ঘুমাটা,	ঘুমাতো,	
doorotomo,	দূরতম,	দূরতম,	
chhutochhooti,	ছুটছুটি,	ছুটোছুটি,	
nagarikkey,	নগরীকে,	নাগরিককে,	
istara,	ইস্টার,	ইস্টার,	
janatey,	জানতে,	জানাতে,	
ibhaner,	ইভনের,	ইভানের,	
jonosomaj,	জনসমাজ,	জনসমাজ,	
kalenga,	কালেঙ্গ,	কালেঙ্গা,	
byapoktor,	ব্যাপকত্র,	ব্যাপকতর,	
arthoneeti,	অর্থনীতি,	অর্থনীতির,	
praman,	প্রমণ,	প্রমান,	
seector,	সেক্টর,	সেক্টর,	
manur,	মানুর,	মনুর,	
bimata,	বিমতা,	বিমাতা,	
oojbekistan,	অজবজিক্তান,	উজবেকিস্তান,	
prakare,	প্রকারে,	প্রকারে,	
niketon,	নিকেটন,	নিকেতন,	
doorotaumo,	দূরতম,	দূরতম,	
nirbahey,	নির্বাহে,	নির্বাহে,	
madol,	মাদল,	মাদল,	
dakteekiter,	দাক্তিকিতের,	ডাকটিকিটের,	
poste,	পোস্টে,	পোস্টে,	
skolarseep,	স্কলরশশীপ,	স্কলারশিপ,	
jatinkey,	জাতিনকে,	যতীনকে,	
swamijir,	স্বামীজীর,	স্বামীজীর,	
nothibhukta,	নথিভূক্ত,	নথিভুক্ত,	
governerer,	গভর্নের,	গভর্ণরের,	
lainde,	লাইন্ডে,	ল্যান্ডে,	
beem,	বীম,	বিম,	
bisnukey,	বিশ্ণুকে,	বিষ্ণুকে,	
partha,	পার্থ,	পার্থ,	
pujita,	পুজিত,	পূজিতা,	
asamanyo,	আসামান্য,	অসামান্য,	
mahajote,	মহাজতে,	মহাজোট,	
jolaatonko,	জলাতনক,	জলাতঙ্ক,	
komti,	কমটি,	কমতি,	
dhyanastha,	ধ্যননস্থ,	ধ্যানস্থ,	
loukikata,	লৌকিকাতা,	লৌকিকতা,	
heza,	হেজ,	হেজ,	
varote,	ভারতে,	ভারতে,	
saazano,	সাজানো,	সাজানো,	
sahooseekotar,	সাহসিকতার,	সাহসিকতার,	
baysharkarikarone,	বেসরকারীকরণে,	বেসরকারিকরণ,	
mandape,	মন্ডপে,	মন্ডপে,	
spreedashita,	স্প্রেডাশিট,	স্প্রেডশীট,	
societykey,	সোকিটকে,	সোসাইটিকে,	
padarthabidder,	পদার্থবিদদের,	পদার্থবিদদের,	
obhaarbhiu,	অভাভিও,	ওভারভিউ,	
saurce,	সার্স,	সোর্স,	
bondi,	বন্দি,	বন্দী,	
iviem,	ইভিয়েম,	ইভিএম,	
lotharan,	লথারণ,	লুথেরান,	
oshamanno,	ওসমান্ন,	অসামান্য,	
samajik,	সমাজিক,	সামাজিক,	
sommotitey,	সম্মতিতে,	সম্মতিতে,	
bapokotor,	বাপকতর,	ব্যাপকতর,	
sayatana,	সায়াটন,	শয়তান,	
paare,	পারে,	পাড়ে,	
mojlishpoor,	মজলিশপুর,	মজলিশপুর,	
deputi,	ডিপুটি,	ডেপুটি,	
tap,	টাপ,	ট্যাপ,	
aatok,	আটক,	আটক,	
arjara,	অর্জারা,	আর্যরা,	
boorana,	বোরান,	বোরন,	
dolu,	দোলু,	ডলু,	
eparjanta,	এপার্জন্ত,	এপর্যন্ত,	
ganesher,	গণেষের,	গণেশের,	
poper,	পোপের,	পোপের,	
kormoi,	কর্মই,	কর্মই,	
korkotkraantee,	কর্তকত্রন্তি,	কর্কটক্রান্তি,	
gostheeti,	গোষ্ঠিতি,	গোষ্ঠীটি,	
reeliancee,	রিলিয়েন্সে,	রিলায়েন্স,	
lohar,	লোহার,	লোহার,	
teunar,	টিউনার,	টিউনার,	
raagei,	রাগেই,	রাগেই,	
ispredseet,	ইস্প্রেডিট,	স্প্রেডশীট,	
sangbadmadhyamer,	সংবাদম্ধমারের,	সংবাদমাধ্যমের,	
lazika,	লাজিক,	লজিক,	
carpete,	কর্পটে,	কার্পেটে,	
romantiq,	রোমানটিক,	রোমান্টিক,	
licenshing,	লিকেনিং,	লাইসেন্সিং,	
mb,	এমবিবি,	এমবি,	
shhipa,	শিপ,	শিপ,	
chiranton,	চির্নটন,	চিরন্তন,	
basinay,	বাসিনে,	বেসিনে,	
ministerer,	মিনিস্টারের,	মিনিস্টারের,	
kutir,	কুটির,	কুটির,	
godavari,	গদাভারী,	গোদাবরী,	
muzibur,	মুজিবুর,	মুজিবুর,	
vittiteow,	ভিত্তিতেও,	ভিত্তিতেও,	
rights,	রাইটস,	রাইটস,	
anodhikar,	অনধিকার,	অনধিকার,	
okritakarjo,	অক্রিতার্র্য,	অকৃতকার্য,	
shikh,	শিখ,	শিখ,	
asif,	আসীফ,	আসিফ,	
sabrakomer,	সব্রকমের,	সবরকমের,	
besirbhagei,	বেশীরভাগেই,	বেশিরভাগেই,	
tukror,	তুকরর,	টুকরোর,	
uposthitir,	উপস্থিতির,	উপস্থিতির,	
jonopoth,	জনপথ,	জনপথ,	
ghotol,	ঘটল,	ঘটল,	
balakarak,	বালাকারক,	বলকারক,	
konflict,	কনফ্লিক্ট,	কনফ্লিক্ট,	
ramonar,	রমনার,	রমনার,	
highcommissioney,	হাইকমেশনে,	হাইকমিশনে,	
mitar,	মিতার,	মিত্র,	
danut,	দানুত,	ডোনাট,	
ahang,	আহহ,	অহং,	
norpholk,	নরফফল্ক,	নরফোক,	
transform,	ট্রান্সফোর্ম,	ট্রান্সফর্ম,	
orthanitike,	অর্থনীতিকে,	অর্থনীতিকে,	
phutbolarra,	ফুটবলার,	ফুটবলাররা,	
chatoke,	চাটকে,	ছাতকে,	
samajeek,	সমাজিক,	সামাজিক,	
armashtram,	আর্মস্ত্রাম,	আর্মস্ট্রং,	
samabeshti,	সমবেশ্টি,	সমাবেশটি,	
atak,	আটাক,	আটক,	
jony,	জনি,	জনি,	
drishyagulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
kuary,	কোরি,	কোয়েরি,	
aqram,	আকরাম,	আকরাম,	
gobeshokgon,	গবেষকগণ,	গবেষকগণ,	
asabhya,	অসভ্য,	অসভ্য,	
obdee,	অব্দী,	অব্দি,	
eemarjeensi,	ইমার্েন্সি,	এমার্জেন্সি,	
drissogulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
homesh,	হোমেশ,	হোমস,	
grotha,	গ্রথা,	গ্রোথ,	
skalastika,	স্কলসাস্কিক,	স্কলাস্টিক,	
cloud,	ক্লাড,	ক্লাউড,	
ranangone,	রাঙঙ্গনে,	রণাঙ্গনে,	
mashjid,	মাসজিদ,	মসজিদ,	
sithilotar,	সিথিলতার,	শিথিলতার,	
jilyanda,	জিল্যান্ড,	জিল্যান্ড,	
songkoloner,	সংকোলের,	সংকলনের,	
ashok,	আশোক,	আশোক,	
chupi,	চুপি,	চুপি,	
korlei,	করলেই,	করলেই,	
shitei,	শিটেই,	শীতেই,	
cade,	ক্যাড,	কোড,	
bhandaar,	ভান্ডার,	ভাণ্ডার,	
falasrutite,	ফলাস্রুতিতে,	ফলশ্রুতিতে,	
manahputa,	মানঃপুত,	মনঃপুত,	
sanatoni,	সানাতনি,	সনাতনী,	
beshirvagyi,	বেশিরভ্গী,	বেশিরভাগই,	
elakaa,	ইলাকা,	এলাকা,	
mojlis,	মজলিস,	মজলিশ,	
chon,	চন,	ছোঁ,	
korechi,	করেছি,	করেছি,	
gobeshonagar,	গবেষণাগার,	গবেষনাগার,	
gostigoolo,	গোস্তিগুলো,	গোষ্ঠীগুলো,	
sarbharer,	সর্ভরের,	সার্ভারের,	
salafeta,	সালাফেট,	সালফেট,	
bhortuky,	ভর্তুকি,	ভর্তুকি,	
batsmani,	বাৎসম্নী,	ব্যাটসম্যানই,	
aieesha,	আইএস,	আইএএস,	
tarbiner,	তারবিনের,	টারবাইনের,	
fall,	ফল,	ফল,	
besorkarikoron,	বেসরকারীকরণ,	বেসরকারিকরণ,	
ranangane,	রাঙঙ্গনে,	রণাঙ্গনে,	
khappor,	ক্যাপর,	খপ্পর,	
engil,	এঞ্জিল,	ইঞ্জিল,	
pattern,	পটার্ন,	প্যাটার্ন,	
sampadankaree,	সম্পাদনকারী,	সম্পাদনকারী,	
chaalta,	চালতা,	চালতা,	
amshtrong,	অম্ট্রং,	আর্মস্ট্রং,	
alpo,	আলপো,	অল্প,	
choudhureeo,	চৌধুরিও,	চৌধুরীও,	
bojhaao,	বোঝাও,	বোঝাও,	
shhooter,	শুটের,	শ্যুটার,	
juboke,	যুবকে,	যুবকে,	
rubidiyaam,	রুবিডিয়াম,	রুবিডিয়াম,	
durgotsabe,	দুর্গসভাবে,	দুর্গোৎসবে,	
kar,	কার,	কর,	
yucalyptush,	ইউকালালিপ্টাস,	ইউক্যালিপ্টাস,	
sahocorjo,	সহকর্য,	সাহচর্য,	
gaziipur,	গজীপুর,	গাজীপুর,	
muhurtoti,	মুহুর্তটি,	মুহুর্তটি,	
gonesher,	গণেষের,	গণেশের,	
hitoishi,	হিটোশি,	হিতৈষী,	
srisri,	শ্রীরী,	শ্রীশ্রী,	
naraphoka,	নরফফক,	নরফোক,	
hondurus,	হন্ডুরাস,	হন্ডুরাস,	
barron,	বারর,	ব্যারন,	
machsaho,	মাসাহ,	মাছসহ,	
hoomes,	হোমেস,	হোমস,	
udbhabon,	উদ্ভবন,	উদ্ভাবন,	
bikargrosto,	বিকর্গ্রস্ত,	বিকারগ্রস্ত,	
emeritus,	এমেরিটাস,	এমিরেটাস,	
horidbar,	হরিদবার,	হরিদ্বার,	
riphleksa,	রিফলেক্স,	রিফ্লেক্স,	
zeebonjaapon,	জীবনজ্পান,	জীবনযাপন,	
boonot,	বুনত,	বুনট,	
nickeel,	নিকিল,	নিকেল,	
mayili,	মেলি,	মাইলি,	
baagica,	বাগিকা,	বাগিচা,	
veemsen,	ভেমসেন,	ভীমসেন,	
badna,	বদ্না,	বদনা,	
babilon,	ববিলন,	ব্যাবিলন,	
dines,	ডাইনেস,	দীনেশ,	
ramzaner,	রামজনের,	রমযানের,	
sikkhaou,	শিক্ষাও,	শিক্ষাও,	
koner,	কোনের,	কনের,	
pluck,	প্লাক,	প্ল্যাক,	
latimer,	লতিমের,	লাটিমের,	
townshhip,	টাউন্সিপ,	টাউনশিপ,	
muhommoder,	মুহমমদের,	মুহম্মদের,	
skalarashipa,	স্কলারশিপ,	স্কলারশিপ,	
ghamtaa,	ঘামটা,	ঘোমটা,	
potchitro,	পচচিত্র,	পটচিত্র,	
meetropalitana,	মেট্রোপোটিনান,	মেট্রোপলিটন,	
byaboharkariderkey,	ব্যবহারকারীককে,	ব্যবহারকারীদেরকে,	
moshleh,	মশলে,	মোসলেহ,	
zibonto,	জীবন্ত,	জীবন্ত,	
akten,	আকটেন,	অকটেন,	
prachin,	প্রাচীন,	প্রাচীন,	
vogirath,	ভগীরাথ,	ভগীরথ,	
poojito,	পুজিত,	পুজিত,	
siramiqs,	শিরামিক্স,	সিরামিকস,	
shatan,	শতান,	শয়তান,	
uroor,	উরুর,	উরুর,	
shrabosty,	শ্রাবটি,	শ্রাবস্তী,	
kredita,	ক্রেডিট,	ক্রেডিট,	
shhikara,	শিকার,	শিকার,	
version,	ভার্সন,	ভারশন,	
songkulan,	সংকুলান,	সংকুলান,	
jerujaleme,	জেরুজামে,	জেরুসালেমে,	
durgondher,	দুরগগন্ধের,	দুর্গন্ধের,	
shakara,	শাকার,	সাকার,	
natshi,	নাটিশি,	নাত্সি,	
sarbharti,	সর্ভররটি,	সার্ভারটি,	
manushsoho,	মানুসহ,	মানুষসহ,	
rohosyer,	রহস্যের,	রহস্যের,	
wolapuk,	ভলাপুক,	ভোলাপুক,	
foks,	ফক্স,	ফক্স,	
gitikabita,	গীতিকাবিত,	গীতিকবিতা,	
bohubar,	বহুবার,	বহুবার,	
ganoparibahan,	গণপরিবহণ,	গণপরিবহন,	
otyacharita,	অত্যাচারিত,	অত্যাচারিত,	
goore,	গোরে,	গোর,	
bhardwaj,	ভার্দবাজ,	ভরদ্বাজ,	
dekhbar,	দেখবার,	দেখবার,	
dayitto,	দৈত্য,	দায়িত্ব,	
konaa,	কোনা,	কোনা,	
ghatol,	ঘটল,	ঘটল,	
pratijogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
protizogiitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
jar,	যার,	জ্বর,	
sirameeks,	শিরামেক্স,	সিরামিকস,	
phirti,	ফিরতি,	ফিরতি,	
horeedware,	হরিদ্বরে,	হরিদ্বারে,	
vishwanath,	বিশ্বনাথ,	বিশ্বনাথ,	
noditi,	নদীতি,	নদীটি,	
somaazeri,	সমাজারী,	সমাজেরই,	
abosorer,	অবসরের,	অবসরের,	
lajek,	লাজেক,	লজিক,	
silwar,	শিলভার,	সিলভার,	
somabeshti,	সমাবেশ্টি,	সমাবেশটি,	
graambaaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
ashanka,	আশঙ্ক,	আশঙ্কা,	
valobasa,	ভালবাসা,	ভালোবাসা,	
categoryr,	কেযাগোরির,	ক্যাটাগরির,	
shomoshto,	সমস্ট,	সমস্ত,	
komandar,	কমান্ডার,	কমাণ্ডার,	
meyiler,	মেইলের,	মেইলের,	
mojdoor,	মজদুর,	মজদুর,	
jesha,	জেস,	জেস,	
netsi,	নেটসি,	নাত্সি,	
aashtikotaa,	অষ্তিকতা,	আস্তিকতা,	
ohang,	ওহঙ্,	অহং,	
cholechi,	চলেছি,	চলেছি,	
ruteener,	রুটিনের,	রুটিনের,	
joubanbati,	যৌবনবতি,	যৌবনবতী,	
pleney,	প্লেনে,	প্লেনে,	
nagorikera,	নগরীকেরা,	নাগরিকেরা,	
euror,	ইউরোর,	ইউরোর,	
oncholsomuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
elakati,	এলাকাটি,	এলাকাটি,	
spostotoi,	স্পষ্টতই,	স্পষ্টতই,	
samajeekotar,	সমাজিকতার,	সামাজিকতার,	
toder,	তদের,	তদের,	
koota,	কোট,	কোটা,	
ponjikar,	পঞ্জিকার,	পঞ্জিকার,	
patochitrer,	পাচচিত্রের,	পটচিত্রের,	
monjushri,	মঞ্জুস্রী,	মঞ্জুশ্রী,	
dhache,	ধাছে,	ধাঁচে,	
alankaran,	অলঙ্করণ,	অলঙ্করণ,	
sakar,	সাকার,	সকার,	
dristiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
omkar,	ওম্কার,	ওঙ্কার,	
ostader,	অষ্টাদের,	ওস্তাদের,	
bachchaner,	বাচ্চানের,	বচ্চনের,	
perri,	পেরি,	পেরি,	
kuery,	কোরি,	কোয়েরি,	
pratisthasoho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
sattoki,	সত্যকি,	সাত্যকি,	
anyarup,	অন্যরূপ,	অন্যরূপ,	
bhaabaaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
soommitrar,	সুমিত্রার,	সুমিত্রার,	
pooshteer,	পুষ্টির,	পুষ্টির,	
soomitrar,	সুমিত্রার,	সুমিত্রার,	
nischitobhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
oncholshomuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
zess,	জেস,	জেস,	
procharonamulok,	প্রচারানমূলক,	প্রচারণামূলক,	
siramiqasa,	শিরামিকাস,	সিরামিকস,	
bonyopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
quata,	কোয়াট,	কোটা,	
jomanor,	জমানোর,	জমানোর,	
aansaarir,	আনসারীর,	আনসারীর,	
monjhoshtho,	মঞ্চস্থ,	মঞ্চস্থ,	
manonitoder,	মননীতদের,	মনোনীতদের,	
harza,	হার্জা,	হার্জ,	
definisian,	ডেফিশিয়ন,	ডেফিনেশন,	
nikataner,	নিকটনের,	নিকেতনের,	
shattoki,	সত্যকি,	সাত্যকি,	
songosthaner,	সংস্থানের,	সংস্থানের,	
gaichhe,	গৈছছে,	গাইছে,	
zack,	জক,	জ্যাক,	
bishrinkhala,	বিশৃংখলা,	বিশৃঙ্খলা,	
aazaan,	আজান,	আজান,	
zuktorastreo,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রেও,	
chalchhe,	চলছে,	চলছে,	
bajhyo,	বাঝ্য,	বাহ্য,	
brindabone,	বৃর্ন্ববে,	বৃন্দাবনে,	
ssahocorze,	শহচরর্যে,	সাহচর্যে,	
ganochiener,	গাচোচিনের,	গণচীনের,	
tyunar,	টিউনার,	টিউনার,	
jubokey,	যুবকে,	যুবকে,	
soinyo,	সৈন্য,	সৈন্য,	
vitti,	ভিট্তি,	ভিত্তিই,	
potka,	পটকা,	পটকা,	
konflikt,	কনপ্লিক্ট,	কনফ্লিক্ট,	
ogrodut,	অগ্রুদুত,	অগ্রদূত,	
vagna,	ভাগ্ন,	ভগ্ন,	
shkolashtic,	স্কলাশিক্টিক,	স্কলাস্টিক,	
jatee,	জাতি,	যাতি,	
kansater,	কনসটের,	কানসাটের,	
rajotta,	রাজত্য,	রাজত্ব,	
dolgulo,	দলগুলো,	দলগুলো,	
laaishheshh,	লাইসেস,	লাইসেন্স,	
conseervation,	কনসার্ভেশন,	কনসারভেশন,	
methaner,	মেঠনের,	মিথেনের,	
militarite,	মিলিটারিটে,	মিলিটারিতে,	
stena,	স্টেন,	স্টেন,	
chhatroraai,	ছাত্ররই,	ছাত্ররাই,	
eidhyaning,	এধ্যানিং,	ইদানীং,	
mandope,	মন্ডপে,	মন্ডপে,	
billaho,	বিলালাহ,	বিল্লাহ,	
tecnokret,	টেকনোর্কেট,	টেকনোক্র্যাট,	
angsogrohone,	অংশগ্রহণে,	অংশগ্রহনের,	
harj,	হার্জ,	হার্জ,	
fake,	ফাঁকে,	ফাকে,	
byaboshtha,	ব্যবস্থা,	ব্যাবস্থা,	
mosjidti,	মসজদিটি,	মসজিদটি,	
itostata,	ইটসস্টাট,	ইতস্তত,	
dunkan,	দুঙকান,	ডানকান,	
utsahomulok,	উৎসামূলক,	উৎসাহমূলক,	
somratder,	সমর্তদের,	সম্রাটদের,	
santaa,	সান্তা,	সান্তা,	
durgatsober,	দুর্গসতাবের,	দুর্গোৎসবে,	
uposhthitir,	উপস্থিতির,	উপস্থিতির,	
elakaate,	এলাকাতে,	এলাকাতে,	
osomorthito,	অসমর্থিত,	অসমর্থিত,	
bbiswashi,	বিশ্বাসী,	বিশ্বাসী,	
cheph,	চেফ,	শেফ,	
mautke,	মতকে,	মতকে,	
military,	মিলিটারি,	মিলিটারি,	
kokhonoba,	কখনোব,	কখনওবা,	
sikkhakbrinda,	শিক্ষাকবৃণ্দ,	শিক্ষকবৃন্দ,	
bhushito,	ভূষিত,	ভূষিত,	
prettii,	প্রেতটি,	প্রিটি,	
ancholke,	আঞ্চলকে,	অঞ্চলকে,	
eesosiyeetasa,	এসোসিয়েটস,	এসোসিয়েটস,	
akeeb,	আকীব,	আকিব,	
amanisha,	অমানিশ,	অমানিশা,	
ovarviu,	অভাভ্রি,	ওভারভিউ,	
praima,	প্রাইম,	প্রাইম,	
hariner,	হরিনের,	হরিণের,	
protistha,	প্রতিষ্ঠা,	প্রতিষ্টা,	
vishad,	বিষদ,	বিষদ,	
poscate,	পোশকেটে,	পশ্চাতে,	
dobhar,	ডোভার,	ডোভার,	
diyares,	ডিয়ারেস,	ডিআরএস,	
boron,	বরণ,	বোরন,	
jyaka,	জ্যাক,	জ্যাক,	
kor,	কোর,	কর,	
satjaner,	সতজনের,	সাতজনের,	
deul,	ডিউল,	দেউল,	
shoow,	শু,	শো,	
gaj,	গজ,	গেজ,	
gor,	গোর,	গোর,	
aholyar,	আহল্যার,	অহল্যার,	
kindom,	কিন্ডম,	কিংডম,	
valapuk,	ভালাপুক,	ভোলাপুক,	
grambashio,	গ্রাম্বাশিও,	গ্রামবাসীও,	
lambaate,	ল্যাবাতে,	লম্বাটে,	
gonesh,	গণেস,	গণেশ,	
bolatkar,	বলতকর,	বলাৎকার,	
ummul,	উম্মুল,	উম্মুল,	
anyoroop,	অন্যরূপ,	অন্যরূপ,	
graambasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
jolrang,	জলল্র,	জলরঙ,	
woter,	ওয়েটার,	ভোটার,	
hughkey,	হুঘকে,	হিউজকে,	
gyate,	গ্যাতে,	গ্যেটে,	
angsogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
harta,	হার্ট,	হার্ট,	
shashtra,	শাষ্ত্র,	শাস্ত্র,	
prodan,	প্রোডান,	প্রদাণ,	
dhila,	ঢিলা,	ঢিলা,	
krechi,	ক্রেচি,	করেছি,	
taoonsheep,	তাউশ্পিপ,	টাউনশিপ,	
uddhrita,	উদ্ধৃত,	উদ্ধৃত,	
kande,	কাঁদে,	কাণ্ডে,	
veenish,	ভিনিশ,	ভেনিস,	
jathaarthobhaabe,	যথারথভাবে,	যথার্থভাবে,	
embi,	এমবি,	এমবি,	
soource,	সার্স,	সোর্স,	
noitikatar,	নৈতিকতার,	নৈতিকতার,	
aalkaatraa,	আলকাত্র,	আলকাতরা,	
dharavahikbhabe,	ধারাভাহিকভাবে,	ধারাবাহিকভাবে,	
parbatmala,	পার্বততালা,	পর্বতমালা,	
taronee,	তরণী,	তরণী,	
gostigulo,	গোস্তিগুলো,	গোষ্ঠীগুলো,	
teemplatee,	টেম্প্লটি,	টেম্পলেট,	
ingrejder,	ইংরেজদের,	ইংরেজদের,	
ruvbla,	রাউবলা,	রুবল,	
amiratas,	আমিরাত,	এমিরেটাস,	
qaroo,	কারু,	কারো,	
diphinision,	ডিফিনিশন,	ডেফিনেশন,	
chilahaati,	চিলাহাটি,	চিলাহাটি,	
aksathei,	অক্ষতেই,	একসাথেই,	
pharna,	ফারন,	ফার্ন,	
monzooshree,	মঞ্জুশ্রী,	মঞ্জুশ্রী,	
sectore,	সেক্টর,	সেক্টরে,	
thailandsoho,	থালল্যাংসহ,	থাইল্যান্ডসহ,	
ongkita,	অংকিত,	অঙ্কিতা,	
soochonakal,	সূচনচাল,	সূচনাকাল,	
huk,	হুক,	হুক,	
eqsapreshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
pretti,	প্রেতটি,	প্রিটি,	
durga,	দুর্গ,	দুর্গ,	
caramics,	কারমিক্স,	সিরামিকস,	
kkhur,	কুষুর,	ক্ষুর,	
boikolyo,	বৈকল্য,	বৈকল্য,	
mangoleek,	মঙ্গোলিক,	মাঙ্গলিক,	
easter,	ইস্টের,	ইস্টের,	
prokolpoti,	প্রকলপতি,	প্রকল্পটি,	
dazjo,	দজজ,	দাহ্য,	
senabahinikey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
charchito,	চার্চিত,	চর্চিত,	
ibhila,	এভিল,	ইভিল,	
statione,	স্টেশন,	ষ্টেশনে,	
ponchaasjon,	পঞ্চাশন,	পঞ্চাশজন,	
mozlishpoor,	মজলিশপুর,	মজলিশপুর,	
shilpojato,	শিল্পজত,	শিল্পজাত,	
sachetonbhabe,	সচেতনভাবে,	সচেতনভাবে,	
jins,	জিন্স,	জিন্স,	
rahi,	রহি,	রাহি,	
samashtigata,	সমস্টিগত,	সমষ্টিগত,	
prastutkarak,	প্রস্তুতককরক,	প্রস্তুতকারক,	
shikkhakke,	শিক্ষাকে,	শিক্ষককে,	
dailee,	ডাইলি,	ডেইলি,	
laiceensee,	লেইনেস্স,	লাইসেন্স,	
lagchhe,	লাগ্ছে,	লাগছে,	
cheess,	চেস,	চেস,	
tolemi,	তোলেমি,	টলেমির,	
badhadan,	বাধাদান,	বাধাদান,	
vabuk,	ভাবুক,	ভাবুক,	
abhidhaanic,	অভিধানিক,	অভিধানিক,	
chhatoke,	ছটকে,	ছাতকে,	
