armenan,	আর্মেনন,	আর্মেনিয়ান,	
chalachchitrake,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
shookna,	শুকনা,	শুকনা,	
azijer,	আজিজের,	আজিজের,	
kottar,	কট্টার,	কট্টর,	
okritakarja,	আক্রকতার্য,	অকৃতকার্য,	
hochchilo,	হচছিলো,	হচ্ছিলো,	
vangey,	ভঙ্গে,	ভাঙ্গে,	
byboshthar,	বিবস্থার,	ব্যাবস্থার,	
sakara,	সকারা,	সকার,	
rayyalati,	রেয়লেটি,	রয়্যালটি,	
durgo,	দূর্গ,	দুর্গ,	
majlish,	মজলিস,	মজলিশ,	
abosaney,	অবসানে,	অবসানে,	
sumo,	সুমো,	সুমো,	
khali,	খাি,	খালি,	
melborroner,	মেলবররনের,	মেলবোর্নের,	
probhritike,	প্রভৃতিকে,	প্রভৃতিকে,	
agomoney,	আগমনে,	আগমনে,	
jeelyand,	জিল্যান্ড,	জিল্যান্ড,	
graambaasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
bohubar,	বহুবার,	বহুবার,	
manaber,	মানবের,	মানবের,	
naazi,	নাজি,	নাত্সি,	
conflikt,	কনফলিক্সিট,	কনফ্লিক্ট,	
tolemy,	তোলেমি,	টলেমির,	
meloonborrone,	মেলোন্বরণে,	মেলবোর্নে,	
emarzensi,	এমার্জানিস,	এমার্জেন্সি,	
deephineeshana,	ডেফিনিশন,	ডেফিনেশন,	
sangosthatir,	সংস্থতির,	সংস্থাটির,	
perri,	পেয়ার,	পেরি,	
masjidsaha,	মসসিদসহ,	মসজিদসহ,	
sikkhakbrindo,	শিক্ষাব্রণ্দ,	শিক্ষকবৃন্দ,	
stona,	স্টোন,	স্টোন,	
dola,	দোলা,	দলা,	
samannoi,	সামান্যই,	সামান্যই,	
ujbekistan,	উজবেক্ষেত,	উজবেকিস্তান,	
byaboharkariderkey,	ব্যবহারকারিকেে,	ব্যবহারকারীদেরকে,	
moushumeo,	মৌসমেও,	মৌসুমেও,	
dalee,	দলি,	ডালে,	
bhushi,	ভূষী,	ভুষি,	
baasate,	বাসাতে,	বাসাতে,	
roktokkhon,	রক্তক্ষণ,	রক্তক্ষরণের,	
shelina,	সেলিনা,	সেলিনা,	
hud,	হুড,	হুড,	
talal,	তালাল,	তালাল,	
cholochchitraeeo,	চলচ্ছিরা,	চলচ্চিত্রেও,	
vagini,	ভাগিনী,	ভগিনী,	
priimoo,	প্রীমু,	প্রিমো,	
geja,	গেজ,	গেজ,	
jotota,	যোটা,	যতোটা,	
satarkobhabe,	সতররকভাবে,	সতর্কভাবে,	
shhipa,	শিপ,	শিপ,	
bhartuky,	ভার্টুকি,	ভর্তুকি,	
horidbar,	হরিদবার,	হরিদ্বার,	
proman,	প্রমাণ,	প্রমান,	
gatre,	গাত্রে,	গাত্রে,	
muhammader,	মুহাম্মাদের,	মুহম্মদের,	
ancholtite,	অঁকলটিতে,	অঞ্চলটিতে,	
hiragaana,	হিরাগান,	হিরাগানা,	
sabrakamer,	সবর্কমের,	সবরকমের,	
prety,	প্রেটি,	প্রিটি,	
teunar,	টিউনার,	টিউনার,	
adhattikota,	আধত্বিকতা,	আধ্যাত্মিকতা,	
saddhi,	সাধধি,	সাধ্বী,	
sangasthaner,	সংস্থানের,	সংস্থানের,	
chupi,	চুপি,	চুপি,	
tiuning,	টিউনিং,	টিউনিং,	
rooshod,	রসদ,	রুশদ,	
mesenzarer,	মেশেনজারের,	মেসেঞ্জারের,	
jerakam,	জেকাম,	যেরকম,	
somabesh,	সমাবেশ,	সমাবেশ,	
maniktola,	মনিিকলা,	মানিকতলা,	
korleyi,	করলেই,	করলেই,	
niurolazi,	নিউরোলজি,	নিউরোলজি,	
danakana,	ডানাকানা,	ডানকান,	
moddhyoshtho,	মধ্যস্থ,	মধ্যস্থ,	
sontoshe,	সন্তোষে,	সন্তোষে,	
janosonjog,	জনস্বগ্য,	জনসংযোগ,	
ghumachhilo,	ঘুমছিল,	ঘুমাচ্ছিল,	
gostii,	গোস্টিই,	গোষ্ঠীই,	
eesosiyeetasa,	এসেস্যাসেট,	এসোসিয়েটস,	
uddhritto,	উদ্ধৃত্ব,	উদ্ধৃত,	
komandar,	কমান্ডার,	কমাণ্ডার,	
majlishpur,	মজলিশপুর,	মজলিশপুর,	
doshider,	দশিদের,	দোষীদের,	
milea,	মিলে,	মাইলে,	
ancholsomuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
zerusalemer,	জেরুসামিলের,	জেরুজালেমের,	
sobchey,	সবছে,	সবচে,	
dozo,	দজ,	ডোজো,	
konoroop,	কনারুপ,	কোনরূপ,	
poschimae,	পশ্চিমা,	পশ্চিমে,	
parinoti,	পরিনতি,	পরিণতি,	
shaajaano,	সাজানো,	সাজানো,	
kyandi,	ক্যান্ডি,	ক্যান্ডি,	
samavesh,	সমভেষ,	সমাবেশ,	
vaabnar,	ভাবনার,	ভাবনার,	
sohokari,	সহকারি,	সহকারী,	
mastars,	মাস্টার্স,	মাস্টার্স,	
temontee,	টেমনটি,	তেমনটি,	
maithili,	মাথিলি,	মৈথিলি,	
durgatsober,	দুর্গটসেবের,	দুর্গোৎসবে,	
jar,	যার,	জ্বর,	
jeess,	জিস,	জেস,	
abarta,	আবর্ত,	আবর্ত,	
drishyoke,	দৃশ্যকে,	দৃশ্যকে,	
baarbadoj,	বার্বোজ,	বার্বাডোজ,	
bhaibonera,	ভাইবনেরা,	ভাইবোনেরা,	
sakkhatkarer,	সাক্ষাতকারের,	সাক্ষাত্কারের,	
pratisthanikvabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
hajeerhat,	হাজিরাাট,	হাজিরহাট,	
nilav,	নীলাভ,	নীলাভ,	
sirameeks,	সিরেমাক্স,	সিরামিকস,	
marketin,	মার্কেটিন,	মার্কেটিং,	
as,	আস,	অস,	
prabhritir,	প্রভৃতির,	প্রভৃতির,	
monmotho,	মনোমঃ,	মন্মথ,	
kara,	কোর,	কারো,	
eksapreshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
shodhon,	সোধন,	শোধন,	
bossontoke,	বসন্তকে,	বসন্তকে,	
reejideencee,	রেজিডেন্সি,	রেসিডেন্স,	
bosten,	বোস্টেন,	বসতেন,	
bibechyo,	বিবেচ্য,	বিবেচ্য,	
transformarer,	ট্রান্সফোর্টারের,	ট্রান্সফরমারের,	
srimati,	শ্রীমতি,	শ্রীমতি,	
porishongkhanbid,	পরিসংখ্যানিব,	পরিসংখ্যানবিদ,	
boudher,	বৌদ্ধের,	বৌদ্ধের,	
aabahan,	আবাহন,	আবাহন,	
sikkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
sinematographar,	সিনেমান্রফসর,	সিনেমাটোগ্রাফার,	
iraaner,	ইরানের,	ইরানের,	
parijaner,	পরিজনের,	পরিজনের,	
ancholtike,	অঁকলটিকে,	অঞ্চলটিকে,	
porbotmala,	পর্বত্তলা,	পর্বতমালা,	
chalochchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
siddhantagulo,	সিদ্ধান্গগুলো,	সিদ্ধান্তগুলো,	
padarthabidder,	পদার্থবিদদের,	পদার্থবিদদের,	
joonsa,	জুন্স,	জোন্স,	
maladobha,	মালাদাভা,	মলদোভা,	
directorate,	ডিরেক্টরটার,	ডিরেক্টরেট,	
laaisheesh,	লাইসেস,	লাইসেন্স,	
thailyanda,	থাল্যান্ড,	থাইল্যান্ড,	
oswasteekor,	অস্বত্তিক,	অস্বস্তিকর,	
surti,	সার্টি,	সুরটি,	
tauki,	তৌকী,	তকি,	
sheshardhe,	শেষর্্ধে,	শেষার্ধে,	
heebhi,	হেভি,	হেভি,	
laaishheshh,	লাইসেস,	লাইসেন্স,	
muradkey,	মুরাককে,	মুরাদকে,	
robe,	রবে,	রবে,	
troop,	ট্রিপ,	ট্রুপ,	
shatjon,	সতযান,	সাতজন,	
shuperhero,	সুপারেহর,	সুপারহিরো,	
cakee,	চেক,	কেকে,	
saamaanyai,	সামান্যাই,	সামান্যই,	
panthar,	পাঁথার,	পন্থার,	
ummul,	উম্মুল,	উম্মুল,	
neerbaho,	নির্বাহ,	নির্বাহ,	
prachurjer,	প্রচুর্যের,	প্রাচুর্যের,	
engreziteo,	ইংরেজিতে,	ইংরেজিতেও,	
phiqsim,	ফিক্সিং,	ফিক্সিং,	
pubancholer,	পুবনচলের,	পূর্বাঞ্চলের,	
songbadmadhyomer,	সংবাদমাধ্যের,	সংবাদমাধ্যমের,	
shilpojaat,	শিল্পজাত,	শিল্পজাত,	
suporichito,	সুপরিচিত,	সুপরিচিত,	
byte,	বিটে,	বাইট,	
koonti,	কুনটি,	কুন্তী,	
pouro,	পৌরো,	পৌর,	
rubeta,	রুবটা,	রাবেতা,	
roopa,	রূপ,	রুপা,	
bijit,	বিজিত,	বিজিত,	
akkas,	আকাশ,	আককাস,	
jyeshtha,	জেষ্ঠা,	জ্যেষ্ঠা,	
doorger,	দূর্গের,	দুর্গের,	
shit,	সিট,	শীত,	
graambaashi,	গ্রামাবাসী,	গ্রামবাসী,	
tovnship,	টনসিপ,	টাউনশিপ,	
saarbhaarti,	সার্ভারটি,	সার্ভারটি,	
aireshe,	আইরেশে,	আইরেসে,	
shefa,	সেফ,	শেফ,	
porizon,	পরিজন,	পরিজন,	
kobutorer,	কবুতরের,	কবুতরের,	
vromonkaley,	ভ্রমণকালে,	ভ্রমণকালে,	
stonahenza,	স্টোনেেজ্যা,	স্টোনহেঞ্জ,	
show,	সো,	শো,	
dhikrito,	ধিকৃত,	ধিকৃত,	
carpet,	কারপেট,	কার্পেট,	
jahns,	জান্স,	জন্স,	
dharabahiktir,	ধরাবাহিক্তির,	ধারাবাহিকটির,	
mukhomandaley,	মুখমন্ডলে,	মুখমণ্ডলে,	
foxer,	ফকসার,	ফক্সের,	
bhogiroth,	ভগীরথ,	ভগীরথ,	
akshor,	অক্সর,	একশোর,	
sampadon,	সম্পাদন,	সম্পাদন,	
chirohorit,	চিরোহিত,	চিরহরিৎ,	
jotharthovabey,	যথারথাভাবে,	যথার্থভাবে,	
sookkho,	সূক্ষ,	সুক্ষ্ম,	
debdebie,	দেবদেবী,	দেবদেবী,	
drishyogulotey,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
angsogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
visnu,	ভিষ্ণু,	বিষ্ণু,	
lumbini,	লাম্বিনী,	লুম্বিনী,	
everage,	এভারেজ,	এভারেজ,	
deeyenes,	ডাইনেস,	ডিএনএস,	
shilpajata,	শিল্পাাত,	শিল্পজাত,	
mitroder,	মিত্রদের,	মিত্রদের,	
dadader,	দাদাদের,	দাদাদের,	
eporjonto,	এপর্ন্ত,	এপর্যন্ত,	
superhero,	সুপারেহর,	সুপারহিরো,	
pujita,	পুজিত,	পূজিতা,	
birishirite,	বিরিসিতিরে,	বিরিশিরিতে,	
poscater,	পশ্কাতের,	পশ্চাতের,	
jaksa,	যক্ষ,	যক্ষ,	
pushti,	পুষ্টি,	পুষ্টি,	
protul,	প্রতুল,	প্রতুল,	
rajotwa,	রাজত্ব,	রাজত্ব,	
toroonke,	তরণকে,	তরুণকে,	
cholochchitraeei,	চলচ্ছিতারী,	চলচ্চিত্রেই,	
nirabata,	নিরবতা,	নিরবতা,	
modelin,	মোদেলিন,	মডেলিং,	
kousholgoto,	কৌশলগত,	কৌশলগত,	
asamanjashapurna,	অসমানযাপপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
oddure,	অদ্রু,	অদুরে,	
jyaqa,	জ্যাক,	জ্যাক,	
parkasa,	পার্কস,	পার্কস,	
yeaster,	যেস্টার,	ইস্টের,	
astikra,	অস্টিকরা,	আস্তিকতা,	
karadondo,	কারাদন্ড,	কারাদণ্ড,	
patterne,	পাটার্ন,	প্যাটার্নে,	
danob,	দানব,	দানব,	
shasankorta,	শাসনকর্তা,	শাসনকর্তা,	
yaak,	যাক,	ইয়াক,	
sinake,	সিনাকে,	সিনাকে,	
rubidiyaam,	রুবিিদাম,	রুবিডিয়াম,	
poripaker,	পরিপকের,	পরিপাকের,	
lesensim,	লেসেন্সিং,	লাইসেন্সিং,	
enamela,	এনামেল,	এনামেল,	
nischitobhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
natshi,	নাটসি,	নাত্সি,	
toronee,	তরণী,	তরণী,	
ancholgulir,	অঞ্চললুরির,	অঞ্চলগুলির,	
hamburgey,	হামব্রাগ্রে,	হামবুর্গে,	
stena,	স্টেন,	স্টেন,	
definisian,	ডিফিনিশন,	ডেফিনেশন,	
agibon,	অজীবন,	আজীবন,	
pacchen,	পাচ্ছেন,	পাচ্ছেন,	
jaunotar,	যৌনতার,	যৌনতার,	
baikalyo,	বাইকল্য,	বৈকল্য,	
kodguli,	কদগুলি,	কোডগুলি,	
showti,	শতটি,	শোটি,	
zeans,	জিনস,	জিন্স,	
akhando,	আখন্দ,	অখন্ড,	
ostad,	অস্টাদ,	ওস্তাদ,	
abdoone,	আব্দুনে,	আবদুন,	
chintai,	চিন্তাই,	ছিনতাই,	
pachchi,	পাঁচি,	পাচ্ছি,	
motamoto,	মতামোত,	মতামতও,	
sookumari,	সুকুমারী,	সুকুমারী,	
panni,	পন্যী,	পন্নী,	
babyloney,	ব্যাবিলোন,	ব্যাবিলনে,	
nirontar,	নিরন্তর,	নিরন্তর,	
prokolpow,	প্রকোলপ,	প্রকল্পও,	
pragreesa,	প্রগ্রেস,	প্রগ্রেস,	
shef,	শেফ,	শেফ,	
ramantik,	রামন্্তিক,	রোমান্টিক,	
ekshoti,	একশটি,	একশোটি,	
agahir,	আগহীর,	অগভীর,	
shorif,	শরীফ,	শরিফ,	
tekno,	টেকনো,	টেকনো,	
kinsha,	কিনসস,	কিংস,	
prakalpoo,	প্রকালপু,	প্রকল্পও,	
thawre,	ঠের়ে,	থরে,	
doorotaumo,	দুরতম,	দূরতম,	
nirarthak,	নিরর্থক,	নিরর্থক,	
graambasee,	গ্রামাবাসী,	গ্রামবাসী,	
ejenda,	এজেন্ড,	এজেন্ডা,	
se,	সাই,	সে,	
bishwash,	বিশ্বাস,	বিশ্বাস,	
wenish,	ভেনিস,	ভেনিস,	
machhti,	মাচটি,	মাছটি,	
tourisht,	তৌরিস্ট,	টুরিস্ট,	
baasaake,	বাসাকে,	বাসাকে,	
chhon,	ছোন,	ছোঁ,	
arthanitite,	অর্থনীতিতে,	অর্থনীতিতে,	
karmoke,	কর্মকে,	কর্মকে,	
biseshyer,	বিশেষের,	বিশেষ্যের,	
tanoo,	তানু,	তনু,	
dooburir,	দুবিরীর,	ডুবুরির,	
mashjid,	মশজিদ,	মসজিদ,	
vishwanath,	বিশ্বনাথ,	বিশ্বনাথ,	
sikhechi,	শিখেছি,	শিখেছি,	
jolrong,	জলরং,	জলরঙ,	
ganoporibahaner,	গণপরিবহানের,	গণপরিবহনের,	
gandhir,	গান্ধির,	গান্ধীর,	
itostato,	ইতস্টট,	ইতস্তত,	
oshovyo,	অসহ্য,	অসভ্য,	
fokser,	ফকসের,	ফক্সের,	
advoot,	অ্যাভো,	অদ্ভুত,	
byaboharkareer,	ব্যবহারকারীর,	ব্যবহারকারীর,	
manahputa,	মনোপপুত,	মনঃপুত,	
dharavahikeo,	ধরাবিহাকে,	ধারাবাহিকেও,	
kaansaat,	কাঁশাত,	কানসাট,	
beshorkarikarone,	বেসরকারীকরণে,	বেসরকারিকরণ,	
dhos,	ধবস,	ধস,	
phaksha,	ফক্স,	ফক্স,	
upobaser,	উপবাসের,	উপবাসের,	
konflict,	কনফলিক্স,	কনফ্লিক্ট,	
enginears,	ইনযাজার্স,	ইঞ্জিনিয়ার্স,	
addhattik,	আধ্যাত্বিক,	আধ্যাত্মিক,	
aarik,	আরিক,	আরিক,	
ispredseet,	স্প্রেস্কোইট,	স্প্রেডশীট,	
protijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
butha,	বুথ,	বুথ,	
ekpase,	একপাশে,	একপাশে,	
prokolpeo,	প্রকোলেপ,	প্রকল্পেও,	
templete,	টেম্পলেটে,	টেম্পলেট,	
kormokarer,	কর্মকারের,	কর্মকারের,	
falkati,	ফলকাটি,	ফলকটি,	
otitkaley,	অতীতকালে,	অতীতকালে,	
choudhurir,	চৌধুরির,	চৌধুরীর,	
ko,	কো,	কেও,	
baaraakpur,	বারাকপুর,	বারাকপুর,	
varote,	ভারতে,	ভারতে,	
utsahi,	উত্সাহী,	উৎসাহী,	
bhaangchoor,	ভাঁচুর,	ভাংচুর,	
nariikeyi,	নারীকেই,	নারীকেই,	
karmakarke,	কর্মকারকে,	কর্মকারকে,	
servere,	সার্ভারে,	সার্ভারে,	
ekoghoore,	একঘুরে,	একঘরে,	
bidghute,	বিঘদুতে,	বিদঘুটে,	
jokrit,	যকৃত,	যকৃৎ,	
america,	আমেরিকা,	আমেরিকা,	
aashanka,	আশঙ্ক,	আশংকা,	
ritesh,	রটিশ,	রিতেশ,	
lesensa,	লেসেন্স,	লাইসেন্স,	
chhatta,	ছট্ট,	ছোট্ট,	
nimitte,	নিমিত্যে,	নিমিত্তে,	
dhhaabi,	ঢাবি,	ঢাবি,	
shasheja,	শােজ,	সসেজ,	
shikarer,	শিকারের,	শিকারের,	
ispredsheet,	স্প্রেস্কিত,	স্প্রেডশীট,	
iraner,	ইরানের,	ইরানের,	
institutione,	ইন্সটিটিউশনে,	ইনস্টিটিউশনে,	
laaishensh,	লাইেন্স,	লাইসেন্স,	
jonogononar,	জনগণনার,	জনগণনার,	
stoneeheengee,	স্টনিিঘ্গী,	স্টোনহেঞ্জ,	
bedanta,	বেদন্ত,	বেদান্ত,	
beshirbhaagi,	বেশিরভাগই,	বেশিরভাগই,	
ramzaner,	রামজানের,	রমযানের,	
tookroti,	তুক্রটি,	টুকরোটি,	
soundarjya,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
ogobhir,	অগভীর,	অগভীর,	
tarkareer,	তাকরারীর,	তরকারীর,	
firoza,	ফিরোজ,	ফিরোজা,	
lyand,	ল্যান্ড,	ল্যান্ড,	
nagariker,	নাগরিকের,	নাগরিকের,	
roshider,	রশিদের,	রশিদের,	
shuparahiro,	সুপারিহার,	সুপারহিরো,	
porinoti,	পরিনতি,	পরিণতি,	
sheat,	সেট,	সিট,	
chalai,	চালাই,	চালাবে,	
kleentoner,	ক্লিন্তনের,	ক্লিনটনের,	
gronthoo,	গ্রন্থু,	গ্রন্থও,	
soourse,	সুর্স,	সোর্স,	
antorvuktimulak,	অন্তর্তভ্যমূক্ল,	অন্তর্ভুক্তিমূলক,	
judhahato,	যুদ্ধহত,	যুদ্ধাহত,	
dayraa,	দেরা,	ডেরা,	
bisheshshyer,	বিশেষ্মের,	বিশেষ্যের,	
dajyo,	দাজ্য,	দাহ্য,	
ieub,	ইউব,	আইইউবি,	
aazeez,	আজিজ,	আজিজ,	
maile,	মেলে,	মাইল,	
meeting,	মেটিং,	মিটিং,	
enashiyenta,	এনসেয়েন্ট,	এনসিয়েন্ট,	
gotibegey,	গতিবেগে,	গতিবেগে,	
sobche,	সবছে,	সবচে,	
laisensim,	লাইেেন্সিং,	লাইসেন্সিং,	
nutunotto,	নতুনতত্ব,	নতুনত্ব,	
proshtutkarok,	প্রস্তুতকারক,	প্রস্তুতকারক,	
byke,	বাইকে,	বাইক,	
ekghorey,	একঘরে,	একঘরে,	
victar,	ভিক্টার,	ভিক্টর,	
praapokke,	প্রপককে,	প্রাপককে,	
carzito,	কার্জিত,	চার্জিত,	
prabhur,	প্রভূর,	প্রভুর,	
inastyanta,	ইনস্টান্ট,	ইনস্ট্যান্ট,	
fand,	ফান্ড,	ফান্ড,	
manushey,	মানুষে,	মানুষে,	
sushukkhar,	শুসুক্ষর,	সুশিক্ষার,	
riphleksa,	রাইল্কেস,	রিফ্লেক্স,	
nutoner,	নটনের,	নূতনের,	
janacche,	জনাচ্ছে,	জানাচ্ছে,	
okritokarjo,	অকৃতকরাচ্য,	অকৃতকার্য,	
daada,	দাদা,	দাদা,	
kindom,	কিন্দম,	কিংডম,	
durgatir,	দুর্গতির,	দুর্গটির,	
abolokon,	অবলোকন,	অবলোকন,	
jonoikaa,	জনিকা,	জনৈকা,	
maladoobha,	মালাদাভা,	মলদোভা,	
bizepi,	বিজেপি,	বিজেপি,	
parse,	পার্স,	পার্শ্বে,	
otyachari,	অত্যাচারী,	অত্যাচারী,	
rashider,	রাশিদের,	রশিদের,	
nothivooktir,	নথিভুদ্তির,	নথিভুক্তির,	
moldova,	মলদ্ভা,	মলদোভা,	
kyethalika,	ক্যাথলিকা,	ক্যাথলিক,	
marketim,	মার্কেটিং,	মার্কেটিং,	
mulaadi,	মুলাদী,	মুলাদি,	
jammu,	জামু,	জম্মু,	
chotogolper,	চোটোগলপের,	ছোটগল্পের,	
reeliancee,	রেলিয়েন,	রিলায়েন্স,	
graambashee,	গ্রামবাসী,	গ্রামবাসী,	
engrezder,	ইংরেজদের,	ইংরেজদের,	
enginiiring,	ইঞ্জিনির্ংি,	ইঞ্জিনিয়ারিং,	
komti,	কমতি,	কমতি,	
drissoke,	দৃশ্যকে,	দৃশ্যকে,	
paschater,	পশ্চতের,	পশ্চাতের,	
shhip,	শিপ,	শিপ,	
artilery,	আর্টিলারি,	আর্টিলারি,	
emarjenshi,	এমার্জান্সি,	এমার্জেন্সি,	
roktokshoroner,	রক্তক্ষণণের,	রক্তক্ষরণের,	
eenameela,	ইনামেল,	এনামেল,	
spredashita,	স্প্রেস্ডিসত,	স্প্রেডশীট,	
jonopoth,	জনপথ,	জনপথ,	
magical,	ম্যাজিকাল,	ম্যাজিকাল,	
ulcer,	উল্সের,	আলসার,	
crescent,	ক্রেসেন্ট,	ক্রিসেন্ট,	
shotoker,	শতকের,	শতকের,	
abdi,	আব্দি,	অব্দি,	
porishkaron,	পরিষ্কারণ,	পরিষ্করণ,	
jerokom,	জেরোম,	যেরকম,	
srabosty,	শ্রবস্তি,	শ্রাবস্তী,	
bronzer,	ব্রঞ্জের,	ব্রোঞ্জের,	
dilam,	ডিলাম,	দিলাম,	
rahie,	রাহি,	রাহি,	
sayaneda,	সায়েন্ড,	সায়ানাইড,	
sudhuyi,	সুধুই,	শুধুই,	
bongraam,	বংগ্রাম,	বনগ্রাম,	
parbatmala,	পর্বততমালা,	পর্বতমালা,	
rohasyer,	রহস্যের,	রহস্যের,	
samanyoi,	সামান্যই,	সামান্যই,	
chhedon,	ছেদন,	ছেদন,	
bima,	বিমা,	বিম,	
heelser,	হেলসের,	হিলসের,	
harisher,	হরিসের,	হ্যারিসের,	
teteyer,	তেটের,	টেটের,	
faad,	ফাদ,	ফুড,	
mile,	মাইল,	মিলে,	
mette,	মেতে,	ম্যাট,	
bhaider,	ভাইডার,	ভাইদের,	
nathivookto,	নথিযুক্ত,	নথিভুক্ত,	
praman,	প্রমাণ,	প্রমান,	
boopon,	বূপন,	বপন,	
soceitykey,	সকিটিকে,	সোসাইটিকে,	
antarbhutto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
bonke,	বনকে,	বনকে,	
arkimidish,	আর্কিমিকিদ,	আর্কিমিডিস,	
janasangyog,	জনসংগ্য,	জনসংযোগ,	
hugeke,	হুগেকে,	হিউজকে,	
ashshociatesh,	অ্যাসোকোসেটিস,	এসোসিয়েটস,	
zubokera,	যুবকেরা,	যুবকেরা,	
bigepi,	বিজেপি,	বিজেপি,	
prakalpati,	প্রকালপটি,	প্রকল্পটি,	
doneta,	দনেটা,	ডোনাট,	
safi,	সেফি,	সাফি,	
sainyo,	সৈন্য,	সৈন্য,	
karim,	করিম,	করিম,	
chedropathe,	ছেদ্রপথে,	ছিদ্রপথে,	
ajuhat,	অঝুহত,	অজুহাত,	
choudhureer,	চৌধুরির,	চৌধুরীর,	
maase,	মাসে,	মাসে,	
obodamoner,	অবদামনের,	অবদমনের,	
gaddaafee,	গাদ্যুফী,	গাদ্দাফী,	
tecnokret,	টেকন্করেট,	টেকনোক্র্যাট,	
kathmandutey,	কাঠ্মনদটে,	কাঠমান্ডুতে,	
culing,	কালিং,	কুলিং,	
suhasini,	সুহাসিনী,	সুহাসিনী,	
oxfordey,	অক্সফোর্ডে,	অক্সফোর্ডে,	
sudrissho,	সুদ্রশ্ব,	সুদৃশ্য,	
siitei,	শিতেই,	শীতেই,	
gandharir,	গান্ধারীর,	গান্ধারীর,	
nagarikderkey,	নাগরিকদেরকে,	নাগরিকদেরকে,	
enimeted,	এনিমেটেড,	এনিমেটেড,	
apadan,	আপদান,	অপাদান,	
mulvitti,	মুলভিত্তি,	মূলভিত্তি,	
krusher,	ক্রাশের,	ক্রুশের,	
booth,	বুথ,	বুথ,	
manobmoner,	মানবমনের,	মানবমনের,	
footbalarder,	ফুটবালদের,	ফুটবলারদের,	
parishrami,	পরিস্রামী,	পরিশ্রমী,	
hillser,	হিলসের,	হিলসের,	
sofy,	সফি,	সোফি,	
sikkhokke,	শিক্ষকে,	শিক্ষককে,	
akmat,	একমাত,	একমত,	
filipiner,	ফিলিপিনের,	ফিলিপাইনের,	
rahi,	রহি,	রাহী,	
wodka,	ওোডকা,	ভদকা,	
shulfate,	সুলফাতে,	সালফেট,	
ingreziteo,	ইংরেজিতে,	ইংরেজিতেও,	
yaq,	যয়,	ইয়াক,	
expose,	এক্সপোজ,	এক্সপোজ,	
naajii,	নাজী,	নাত্সি,	
uchchotaro,	উচ্চতর,	উচ্চতর,	
sattweo,	সত্বেও,	সত্ত্বেও,	
notikotar,	নতীকতার,	নৈতিকতার,	
muktoome,	মুক্তমে,	মাকতুম,	
antorvukto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
phikshim,	ফিক্সিম,	ফিক্সিং,	
aanish,	আনিশ,	আনিস,	
shikarey,	শিকারে,	শিকারে,	
kanisttha,	কনিষ্ঠা,	কনিষ্ঠ,	
sangkalaney,	সংকলানে,	সংকলনে,	
shantaa,	শান্তা,	সান্তা,	
shukna,	শুকনা,	শুকনা,	
kul,	কুল,	কুল,	
abul,	অবুল,	আবুল,	
karadande,	কারাদন্ডে,	কারাদণ্ডে,	
byatikramdharmi,	ব্যাতিক্্যমধার্বী,	ব্যতিক্রমধর্মী,	
sedikei,	সেদিকেই,	সেদিকেই,	
songasthatir,	সংস্থাটির,	সংস্থাটির,	
herisoner,	হেরিশনের,	হ্যারিসনের,	
byapoktor,	ব্যাপককটর,	ব্যাপকতর,	
spredasita,	স্প্রেস্ডিস,	স্প্রেডশীট,	
siramikasa,	সিরমমিকাস,	সিরামিকস,	
niurolaji,	নিউরোলজি,	নিউরোলজি,	
nochiketa,	নেকিতে,	নচিকেতা,	
nirapekkhotaar,	নিরপ্্ষেতার,	নিরপেক্ষতার,	
embed,	এমবেেড,	এম্বেড,	
shangkalone,	সংকললনে,	সংকলনে,	
deubande,	দিউবন্দে,	দেওবন্দে,	
bhabnar,	ভবনার,	ভাবনার,	
hafez,	হাফেজ,	হাফেয,	
prakalpatikey,	প্রকালপ্িতে,	প্রকল্পটিকে,	
sikkhartheerao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
manikya,	মানিক্য,	মানিক্য,	
langhan,	লঙ্ঘন,	লংঘন,	
kathhmandute,	কাঠ্যমণ্টে,	কাঠমান্ডুতে,	
aakkaas,	আক্াস,	আককাস,	
ayadabhanshada,	অ্যাডভান্ডাস,	অ্যাডভান্সড,	
pray,	প্রে,	প্রায়,	
tochhnochh,	তঞ্চচ,	তছনছ,	
tyunar,	টিউনার,	টিউনার,	
naarsaari,	নার্সারী,	নার্সারি,	
bhaibon,	ভাইবন,	ভাইবোন,	
granther,	গ্রন্থের,	গ্রন্থের,	
treenda,	ত্রিন্ডা,	ট্রেন্ড,	
