nirmaankaj,	নির্মাঙ্জক,	নির্মাণকাজ,	
marodeho,	মারোদেহ,	মরদেহ,	
soheensotar,	সহিনস্তার,	সহিংসতার,	
scoree,	স্কোরি,	স্কোরে,	
laatimer,	লাটিমের,	লাটিমের,	
mohish,	মহিস,	মহিষ,	
itastatoh,	ইতসস্তত,	ইতস্ততঃ,	
chalochchitrogulor,	চলিচ্তিগ্রগুলোর,	চলচ্চিত্রগুলোর,	
raha,	রাহা,	রঃ,	
janasangjog,	জনসংঙ্গগগ,	জনসংযোগ,	
sookumari,	সুকুমারি,	সুকুমারী,	
bhenasa,	ভেনাস,	ভেনাস,	
obosore,	অবসরে,	অবসরে,	
promotione,	প্রমোেন,	প্রোমোশনে,	
steeit,	স্টিট,	স্টেইট,	
otorkeitey,	অতররকেতে,	অতর্কিতে,	
dalee,	ডালি,	ডালে,	
herisoner,	হারিসেনের,	হ্যারিসনের,	
abasane,	অবসানে,	অবসানে,	
bondhuderke,	বন্ধুদেরকে,	বন্ধুদেরকে,	
refleks,	রিফলেক,	রিফ্লেক্স,	
jatotaa,	জততা,	যতোটা,	
karadonde,	করাদন্দেে,	কারাদণ্ডে,	
armstrong,	আর্মস্ত্রগ,	আর্মস্ট্রং,	
haridware,	হরিদ্বরে,	হরিদ্বারে,	
hoeel,	হোল,	হইল,	
masharraf,	মাসরারফ,	মশাররফ,	
shuri,	শূরী,	সুরি,	
aziz,	অজিজ,	আজিজ,	
morathi,	মরাথি,	মরাঠি,	
partho,	পার্থ,	পার্থ,	
conflikt,	কনফলিক্ট,	কনফ্লিক্ট,	
alsar,	আলশার,	আলসার,	
jathartho,	যথার্থ,	যথার্থ,	
silwer,	সিল্বের,	সিলভার,	
dibaag,	ডিবাগ,	ডিবাগ,	
venush,	ভেনুস,	ভেনাস,	
balroom,	বালরুম,	বলরুম,	
plater,	প্লাটের,	প্লেটের,	
bisnu,	বিশ্ণু,	বিষ্ণু,	
resort,	রেসর্ট,	রিসোর্ট,	
satjan,	সতজান,	সাতজন,	
botgach,	বোটাগা,	বটগাছ,	
shtena,	স্টেন,	স্টেন,	
upobaasher,	উপবাবের,	উপবাসের,	
shansthatir,	সংস্ঠাতির,	সংস্থাটির,	
delibhara,	ডেলিবার,	ডেলিভার,	
vishnuu,	ভিষ্ণু,	বিষ্ণু,	
kodti,	কোদ্তি,	কোডটি,	
silvi,	সিলভী,	সিলভি,	
madhookori,	মাধুকরি,	মাধুকরী,	
shoya,	শোয়া,	সোয়া,	
abadamaner,	অবদামনের,	অবদমনের,	
teksuser,	টেকাউসের,	টেক্সাসের,	
paaree,	পারি,	পাড়ে,	
krok,	ক্রোক,	ক্রোক,	
vaskor,	ভাস্কর,	ভাস্কর,	
prozononkal,	প্রজনন্যকাল,	প্রজননকাল,	
jaunotar,	জৌনতার,	যৌনতার,	
caaling,	কাযালিং,	কুলিং,	
ishtone,	ইস্টোনে,	স্টোন,	
averej,	অভেরেজে,	এভারেজ,	
relance,	রেলন্সে,	রিলায়েন্স,	
gage,	গাগে,	গেজ,	
podarthobid,	পদর্থবাদিদ,	পদার্থবিদ,	
bhabuk,	ভাবুক,	ভাবুক,	
paltechhey,	পালেছেে,	পাল্টেছে,	
pratijogider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
saajanor,	সাজানোর,	সাজানোর,	
august,	অগুস্ট,	আগষ্ট,	
afjol,	অফজল,	আফজল,	
veenicee,	ভিনিসি,	ভেনিস,	
baikalyo,	বৈকাল্য,	বৈকল্য,	
rinatmok,	রিনত্মক,	ঋনাত্মক,	
marjito,	মার্জিত,	মার্জিত,	
notunatwa,	নতনতন্ত্ব,	নতুনত্ব,	
leadar,	লেডার,	লিডার,	
addhatikota,	অধ্যাতিকতা,	আধ্যাত্মিকতা,	
horidwar,	হরিদ্বর,	হরিদ্বার,	
horir,	হরির,	হরির,	
goolen,	গোলেন,	গুলেন,	
slok,	স্লোক,	শ্লোক,	
taitela,	টেটেল,	টাইটেল,	
konagoolo,	কনাগুলো,	কণাগুলো,	
bikargrosto,	বিকারগর্ষ্ত,	বিকারগ্রস্ত,	
siramiks,	সিরমমিক্স,	সিরামিকস,	
dristihin,	দৃষ্টিহিন,	দৃষ্টিহীন,	
peengnaa,	পেন্না,	পিংনা,	
dweegulotey,	দ্বগুলোতে,	দ্বীপগুলোতে,	
fund,	ফাউন্ড,	ফান্ড,	
parishrami,	পরিষ্রমী,	পরিশ্রমী,	
samanwitobhabe,	সমম্নাতভাবে,	সমন্বিতভাবে,	
spenser,	স্পেনসের,	স্পেন্সার,	
prokolpow,	প্রকল্প,	প্রকল্পও,	
eenasiyeenta,	এনেনিয়েন্ট,	এনসিয়েন্ট,	
baarnish,	বার্নিস,	বার্নিশ,	
dakten,	ডাকতেন,	ডাকতেন,	
durgotir,	দুর্গটির,	দুর্গটির,	
vobtarini,	ভবত্রাণী,	ভবতারিণী,	
rezidence,	রেজেনেে্সে,	রেসিডেন্স,	
harbar,	হারবার,	হারবার,	
korechi,	করেছি,	করেছি,	
tap,	তাপ,	ট্যাপ,	
laishenshe,	লেইসেে,	লাইসেন্স,	
adhit,	অধিতি,	অধীত,	
abheedhaneeck,	অভিভানিক,	অভিধানিক,	
choudhooreeo,	চৌদুরী,	চৌধুরীও,	
torabgunj,	তরবাগগঞ্জ,	তোরাবগঞ্জ,	
kyashpar,	ক্যাপপার,	ক্যাসপার,	
hosne,	হস্েে,	হোসনে,	
chanje,	চঞ্জে,	চেঞ্জ,	
saarbharti,	সার্ভার্তী,	সার্ভারটি,	
jonoshomaj,	জনসমমাজ,	জনসমাজ,	
eokee,	একি,	এওকি,	
chhon,	ছনন,	ছোঁ,	
odhuna,	অধুনা,	অধুনা,	
tookroke,	তুকরকে,	টুকরোকে,	
roomantika,	রোমনন্তিক,	রোমান্টিক,	
firoja,	ফিরোজা,	ফিরোজা,	
melborroner,	মেলবররণের,	মেলবোর্নের,	
mittrer,	মিত্রের,	মিত্রের,	
yaaq,	যাক,	ইয়াক,	
bukhari,	বুখারী,	বুখারি,	
postake,	পস্তাকে,	পোস্টকে,	
palbongser,	পালবংশের,	পালবংশের,	
gazipur,	গজীপুর,	গাজিপুর,	
thela,	থেল,	ঠেলা,	
bulan,	বুলান,	বুলান,	
edaning,	এডানিং,	ইদানিং,	
koomarir,	কোমারির,	কুমারীর,	
rites,	রিটেস,	রিতেশ,	
saazano,	সাজানো,	সাজানো,	
anurbor,	অনুর্বর,	অনুর্বর,	
agomoner,	অগমণের,	আগমনের,	
bhaibon,	ভাইবন,	ভাইবোন,	
meghe,	মেঘে,	মেঘে,	
machsoho,	মহ্চো,	মাছসহ,	
tukror,	তুকরর,	টুকরোর,	
bonnopraan,	বন্প্রপণণ,	বন্যপ্রাণ,	
shekende,	সেকেন্ডে,	সেকেন্ডে,	
bufer,	বাফের,	বাফার,	
shrabastee,	শ্ববাস্তী,	শ্রাবস্তী,	
kande,	কন্ডে,	কাণ্ডে,	
hol,	হল,	হোল,	
liceensing,	লিকেসিং,	লাইসেন্সিং,	
dokaanei,	ডোকানেই,	দোকানেই,	
shaahocharjo,	শহচার্য্য,	সাহচর্য,	
deke,	ডেকে,	ডেকে,	
laagto,	লাগ্ত,	লাগতো,	
kunty,	কান্টি,	কুন্তী,	
capsule,	কাপাসুলে,	ক্যাপসুল,	
balokarak,	বালাকার,	বলকারক,	
shaarok,	সারক,	স্মারক,	
samosto,	সমস্ত,	সমস্ত,	
patigonit,	পতিগনিত,	পাটিগণিত,	
utsahe,	উত্সাহে,	উৎসাহে,	
enamela,	এনমেল,	এনামেল,	
daaktikit,	ডাকতিকিত,	ডাকটিকিট,	
jatinkey,	জতিনকে,	যতীনকে,	
sofy,	সফি,	সোফি,	
dap,	ডাপ,	ড্যাপ,	
jomkalo,	জম্কাল,	জমকালো,	
gujob,	গুজব,	গুজব,	
korecho,	করেছো,	করেছো,	
sabrakamer,	সাব্রকামের,	সবরকমের,	
ssikkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
charrjar,	চর্জার,	চার্জার,	
inapharamesana,	ইনফারমেশন,	ইনফরমেশন,	
charchito,	চর্চিত,	চর্চিত,	
anchalgoolir,	অন্চাগললীর,	অঞ্চলগুলির,	
janachche,	জনচচছে,	জানাচ্ছে,	
daakticket,	ডাক্তিক্ত,	ডাকটিকিট,	
nagorikderkey,	নাগররিক্রেে,	নাগরিকদেরকে,	
progress,	প্রগের্স,	প্রগ্রেস,	
ekpaashe,	একপাশে,	একপাশে,	
saajano,	সাজানো,	সাজানো,	
xpresion,	ক্প্রেশন,	এক্সপ্রেশন,	
debodebir,	দেবদেবীর,	দেবদেবীর,	
surarop,	সূরারপপ,	সুরারোপ,	
ghumato,	ঘুমত,	ঘুমাতো,	
aalkatra,	আলকত্র,	আলকাতরা,	
karadando,	করাদান্দ,	কারাদণ্ড,	
dokangulotey,	ডকাগণগুলতে,	দোকানগুলোতে,	
taaler,	তালের,	তালের,	
dam,	ডাম,	ডং,	
dee,	ডি,	ডে,	
bhor,	ভর,	ভর,	
baireo,	বাইরে,	বাইরেও,	
sarbharer,	সর্ভারের,	সার্ভারের,	
qaferder,	কাফারেড,	কাফেরদের,	
nischitabhave,	নিশ্তিভাতভাবে,	নিশ্চিতভাবে,	
chhootee,	ছুটি,	ছুটি,	
faltir,	ফললির,	ফলটির,	
chalachchitrer,	চলচচচিত্রের,	চলচ্চিত্রের,	
utkhaat,	উৎখাত,	উত্খাত,	
aarcia,	আর্সিয়া,	আরসিএ,	
kredit,	ক্রেডিত,	ক্রেডিট,	
fokshkon,	ফক্ষণ,	ফক্সকন,	
proo,	প্রো,	প্রো,	
jathartha,	যথথর্থ,	যথার্থ,	
gonokantho,	গণকান্থ,	গণকণ্ঠ,	
aazadir,	আজাদির,	আজাদীর,	
agrodut,	অগ্রাদুত,	অগ্রদূত,	
nabheela,	নভিল,	নভেল,	
chhatogalpe,	ছটোগাগ্ে,	ছোটগল্পে,	
gezeteda,	জেজেটেড,	গেজেটেড,	
kottor,	কত্তর,	কট্টর,	
udbhabaker,	উদ্ভাবাকের,	উদ্ভাবকের,	
adhuna,	অধুনা,	অধুনা,	
poddhotitei,	পদ্ধতিতে,	পদ্ধতিতেই,	
satarkobhabe,	সততরকভাবে,	সতর্কভাবে,	
helly,	হেলি,	হিলি,	
esasiyetasa,	এসিয়েসেট,	এসোসিয়েটস,	
footbalarer,	ফুটবালের,	ফুটবলারের,	
shikhra,	শিখ্রা,	শিখরা,	
pulse,	পুলসে,	পালস,	
cholochchitra,	চলচচচিত্র,	চলচ্চিত্র,	
khamba,	ক্মব্ব,	খাম্বা,	
teknokryat,	টেকন্যক্্ত,	টেকনোক্র্যাট,	
saom,	সাম,	সাওম,	
vabanir,	ভবননীর,	ভবানীর,	
porizoner,	পরিজনের,	পরিজনের,	
mukhabandha,	মুখাবন্ধ,	মুখবন্ধ,	
gobeshonagar,	গবেষণণাগর,	গবেষনাগার,	
hizriite,	হাইজ্রিতে,	হিজরীতে,	
pushtee,	পুষ্টি,	পুষ্টি,	
palashir,	পালাশীর,	পলাশীর,	
opochesta,	অপোেস্ট,	অপচেষ্টা,	
difinishion,	ডিফিনিশন,	ডেফিনেশন,	
rajnoitik,	রাজন্তিতিক,	রাজনৈতীক,	
antorvuktimulok,	অন্ত্রতুমমূলক,	অন্তর্ভুক্তিমূলক,	
uposthit,	উপস্থিত,	উপস্থিত,	
harisoner,	হরিশনের,	হ্যারিসনের,	
nations,	নাটিন্স,	নেশনস,	
honduras,	হন্দুরা,	হন্ডুরাস,	
homske,	হমস্কে,	হোমসকে,	
dakhbaar,	দাখবার,	দেখবার,	
haipara,	হাইপার,	হাইপার,	
cantan,	কন্টন,	ক্যান্টন,	
uruu,	উরুু,	উরু,	
mauhajote,	মহাজতে,	মহাজোট,	
naazi,	নাজী,	নাত্সি,	
yak,	যাক,	ইয়াক,	
cutie,	কুটি,	কিউটি,	
ketechila,	কেটেছিল,	কেটেছিল,	
oholyar,	অহল্যার,	অহল্যার,	
bidghootey,	বিদঘুতে,	বিদঘুটে,	
pholo,	ফোলো,	পোলো,	
falkati,	ফলকাটি,	ফলকটি,	
baasate,	বাসতে,	বাসাতে,	
dibidh,	ডিবিধ,	দ্বিবিধ,	
candi,	কন্ডি,	ক্যান্ডি,	
machher,	মাঁচের,	মাছের,	
mailer,	মেইলের,	মেইলের,	
residensa,	রেসেেন্স,	রেসিডেন্স,	
tintike,	তিন্তিকে,	তিনটিকে,	
jerushalem,	জারুষেমে,	জেরুসালেম,	
doorotomo,	দর্তম,	দূরতম,	
prochondota,	প্রচণ্দতা,	প্রচণ্ডতা,	
graambaasio,	গ্রামবাসী,	গ্রামবাসীও,	
khilafot,	খিলাত,	খিলাফত,	
atok,	আতোক,	আটক,	
rubyo,	রুব্য,	রুবিও,	
deares,	ডারিস,	ডিআরএস,	
alngkoron,	অঙ্করণ,	অলঙ্করণ,	
mitroder,	মিত্রদের,	মিত্রদের,	
oncholshomuh,	অন্চসমূহ,	অঞ্চলসমূহ,	
senior,	সেনির,	সিনিয়র,	
osthishondhi,	অস্তিধিধ্নি,	অস্থিসন্ধি,	
bed,	বেড,	বেদ,	
shkolashtic,	সক্সালাস্টিক,	স্কলাস্টিক,	
foxer,	ফোকের,	ফক্সের,	
vageroi,	ভাগেরই,	ভাগেরই,	
neermol,	নির্মল,	নির্মল,	
antorbhuktimulak,	অন্ত্রভুতমূলক,	অন্তর্ভুক্তিমূলক,	
holding,	হলিিং,	হোল্ডিং,	
lutheerana,	লুথিরার,	লুথেরান,	
through,	ট্রোগু,	থ্রু,	
bhenama,	ভেনাম,	ভেনম,	
amarendro,	অমের্দ্র,	অমরেন্দ্র,	
verma,	ভারমা,	ভার্মা,	
kanar,	কানার,	কণার,	
proteemar,	প্রতিমার,	প্রতিমার,	
jothon,	যথন,	যথন,	
nagnyo,	নাগ্য,	নগণ্য,	
rohosyoti,	রস্যটি,	রহস্যটি,	
oojbekistaner,	অজবেকেস্তানের,	উজবেকিস্তানের,	
priti,	প্রীতি,	প্রিটি,	
manonitader,	মননিতাদের,	মনোনীতদের,	
harbor,	হর্বর,	হারবার,	
mousumti,	মৌসমুতি,	মৌসুমটি,	
anchalsaha,	অন্চাহহহ,	অঞ্চলসহ,	
rajnaiteek,	রাজান্তিক,	রাজনৈতীক,	
schalarship,	স্লালার্শীপ,	স্কলারশিপ,	
heerani,	হিরানি,	হিরানি,	
baaik,	বাইক,	বাইক,	
modelin,	মোদেলিন,	মডেলিং,	
porikhar,	পরিখার,	পরিখার,	
bouddha,	বৌদ্ধ,	বৌদ্ধ,	
osamonjoshyopurno,	অসম্পমপমপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
hoj,	হজজ,	হয,	
balatkar,	বালতকার,	বলাৎকার,	
gatibege,	গতিবেগে,	গতিবেগে,	
temon,	টেমন,	তেমন,	
pouch,	পৌছ,	পাউচ,	
pretii,	প্রেতি,	প্রিটি,	
iub,	ইউব,	আইইউবি,	
barron,	বররণ,	ব্যারন,	
jeebnagar,	জীবনগার,	জীবননগর,	
heris,	হারিস,	হ্যারিস,	
armenian,	আর্মেনিয়ান,	আর্মেনিয়ান,	
yaak,	যাক,	ইয়াক,	
neptuner,	নেপ্টুনের,	নেপচুনের,	
rajbondi,	রাজবন্দী,	রাজবন্দী,	
muchi,	মুচি,	মুচি,	
sikhar,	শিখার,	শিকার,	
militarite,	মিলিতারিতে,	মিলিটারিতে,	
kortona,	কর্টনা,	করতনা,	
srichoitonyodeb,	শ্রীকন্ত্যবদ,	শ্রীচৈতন্যদেব,	
masjidti,	মাসজিদ্তি,	মসজিদটি,	
degree,	ডাগ্রী,	ডিগ্রি,	
diphinishion,	ডিফিনিশন,	ডেফিনেশন,	
chaalke,	চালকে,	চালকে,	
odhit,	অধিত,	অধীত,	
oncholsomuher,	অন্চামসূহের,	অঞ্চলসমূহের,	
procharona,	প্রচারণ,	প্রচারণা,	
parka,	পার্কা,	পার্ক,	
kartam,	কারতম,	করতাম,	
ingrezeeteo,	ইংগেরিতে,	ইংরেজিতেও,	
hilse,	হিলসে,	হিলসে,	
taimas,	তাইমাস,	টাইমস্,	
caramiks,	কারমামিক,	সিরামিকস,	
icebarg,	এইসাবাগ্র,	আইসবার্গ,	
nishader,	নিশাদের,	নিষাদের,	
dunkan,	ডানকান,	ডানকান,	
ekoirokom,	একোরমক,	একইরকম,	
ekghorey,	একঘরে,	একঘরে,	
dharavahiker,	ধারাহাহীকের,	ধারাবাহিকের,	
heeavy,	হাইভি,	হেভি,	
mookhomandoley,	মুখান্দলে,	মুখমণ্ডলে,	
sikkhaou,	শিক্ষাও,	শিক্ষাও,	
shaahaabiike,	সাহাবাবীকে,	সাহাবীকে,	
observer,	অভ্রার্ভের,	অবজার্ভার,	
gelo,	জেলো,	গেলো,	
restaurant,	রেস্টারেন্ট,	রেষ্টুরেন্ট,	
janomukhi,	জনমুুখি,	জনমুখী,	
hedje,	হেজজে,	হেজ,	
prettii,	প্রতেতি,	প্রিটি,	
bidrohiderke,	বিদ্রদিরহেরকে,	বিদ্রোহীদেরকে,	
shaddhi,	সাদ্ধী,	সাধ্বী,	
joluk,	জলুক,	জ্বলুক,	
nimitto,	নিমিত্ব,	নিমিত্ত,	
afzal,	আফজাল,	আফজল,	
patiganit,	পতিগানিত,	পাটিগণিত,	
temontee,	টেমন্তি,	তেমনটি,	
cholochchitrogulor,	চলিচ্ত্রগুলোর,	চলচ্চিত্রগুলোর,	
bisshas,	বিশ্বাস,	বিশ্বাস,	
aqramer,	আকরামের,	আকরামের,	
betsman,	ব্যাটমশন,	ব্যাটসম্যান,	
sanbadmadhyamgulote,	সং্মাদ্মবল্ঘতে,	সংবাদমাধ্যমগুলোতে,	
charchita,	চর্চিত,	চর্চিত,	
khijir,	খিজির,	খিজির,	
meghey,	মেঘে,	মেঘে,	
osthisandhi,	অস্তিধাস্ধীন্ধী,	অস্থিসন্ধি,	
dipke,	ডিপ্কে,	দ্বীপকে,	
ghenshe,	ঘেনসে,	ঘেঁষে,	
udvaboni,	উদ্ভববনী,	উদ্ভাবনী,	
janake,	জনাকে,	জানাতে,	
karlasa,	কার্লাস,	কার্লোস,	
donaat,	ডোনাট,	ডোনাট,	
badhadan,	বাধাদন,	বাধাদান,	
jacq,	জাক,	জ্যাক,	
marekting,	মারেকটিং,	মার্কেটিং,	
janachhe,	জনাছে,	জানাচ্ছে,	
pachok,	পাঁক,	পাচক,	
gezetted,	জেজেটেদ,	গেজেটেড,	
taffsherer,	তাফসেরের,	তাফসীরের,	
ghatke,	ঘটকে,	ঘাটকে,	
siiter,	সিতের,	শীতের,	
cheess,	চিস্স,	চেস,	
nartan,	নর্তন,	নর্টন,	
proteemake,	প্রতিমকে,	প্রতিমাকে,	
satarko,	সতার্ক,	সতর্ক,	
bhandar,	ভান্ডার,	ভাণ্ডার,	
nirontar,	নিরন্টার,	নিরন্তর,	
murad,	মুরাদ,	মুরাদ,	
pravritite,	প্রভৃতিতে,	প্রভৃতিতে,	
darada,	ডারাড,	দারদা,	
steen,	স্টিন,	স্টেন,	
monohputo,	মনপুত,	মনঃপুত,	
indr,	ইন্ডার,	ইন্দ্র,	
falashrutiti,	ফলাস্রুতিতি,	ফলশ্রুতি,	
siniyara,	সিনিয়ার,	সিনিয়র,	
ekirokom,	একিরোম,	একইরকম,	
claud,	ক্লাড,	ক্লাউড,	
bhoolapuka,	ভোলাপুকা,	ভোলাপুক,	
kunntee,	কান্টি,	কুন্তী,	
noditike,	নদিতিকে,	নদীটিকে,	
nongra,	নঙ্গর,	নোংরা,	
dilam,	ডিলাম,	দিলাম,	
format,	ফরমাত,	ফরম্যাট,	
parq,	পার্ক,	পার্ক,	
durtomo,	দূর্তম,	দূরতম,	
fiksing,	ফিকসিং,	ফিক্সিং,	
kaferderke,	কাফারের্েে,	কাফেরদেরকে,	
chalochchitrake,	চলচচিত্রত্রেকে,	চলচ্চিত্রকে,	
pana,	পানা,	পানা,	
teteyer,	টেটের,	টেটের,	
nodiiteyi,	নদিিতেই,	নদীতেই,	
reejur,	রিজুর,	রিজুর,	
gobeshona,	গবেষণা,	গবেষনা,	
chetna,	চেতন,	চেতনা,	
jaqi,	জাকি,	জকি,	
setikey,	সেতিকে,	সেটিকে,	
subadey,	সুবাদে,	সুবাদে,	
windows,	উইন্ডো,	উইন্ডোস,	
piruzali,	পিরুজালী,	পিরুজালী,	
rahie,	রাহী,	রাহি,	
porichhonnota,	পরিচন্ততা,	পরিচ্ছন্নতা,	
jolrong,	জলর্গ,	জলরঙ,	
amarika,	অমারিক,	আমেরিকা,	
abodamoner,	অবদামনের,	অবদমনের,	
doulaa,	ডৌলা,	দৌলা,	
ingrezder,	ইংজের্ডের,	ইংরেজদের,	
moshjidti,	মস্জিিতি,	মসজিদটি,	
machder,	মাঁদের,	মাছদের,	
sangosthatir,	সংংস্ঠাতির,	সংস্থাটির,	
dhorer,	ধরের,	ধরের,	
maner,	মানের,	মানে,	
nathivookta,	নথিবাক্ত,	নথিভুক্ত,	
nirapattamulak,	নিরপততমমূলক,	নিরাপত্তামূলক,	
somabeshti,	সমমবেস্তি,	সমাবেশটি,	
jokrito,	জকৃত,	যকৃৎ,	
bhimsen,	ভিমসেন,	ভীমসেন,	
bekey,	বেকে,	বেঁকে,	
grambaseeo,	গ্রামবাসী,	গ্রামবাসীও,	
ghotleo,	ঘটলে,	ঘটলেও,	
bolovodro,	বলভদ্র,	বলভদ্র,	
romantic,	রোমান্টিক,	রোমান্টিক,	
bhorodwaj,	ভররদ্যবাজ,	ভরদ্বাজ,	
shaarther,	সার্থের,	স্বার্থের,	
dipon,	ডিপন,	দীপন,	
jivjontu,	জিভন্তু,	জীবজন্তু,	
janaar,	জনার,	জানার,	
ruvbla,	রুভবল,	রুবল,	
choudhurio,	চৌধুরী,	চৌধুরীও,	
jyestthotar,	জ্যসেত্থার,	জ্যেষ্ঠতার,	
ganoporibahan,	গণপপরিবাহণ,	গণপরিবহন,	
teta,	তেত,	টেটা,	
dharabiktir,	ধরবাবিক্তির,	ধারাবাহিকটির,	
duplex,	ডাপলেক,	ডুপ্লে,	
shamuk,	শামুক,	শামুক,	
manohputo,	মহনপুত,	মনঃপুত,	
parishkaran,	পরিশ্কাণ,	পরিষ্করণ,	
prakalpatike,	প্রকাপালটিকে,	প্রকল্পটিকে,	
bonbhumi,	বন্ভূমী,	বনভূমি,	
basake,	বাসাকে,	বাসাকে,	
os,	অস,	অস,	
nirmankaj,	নির্মাঙ্জক,	নির্মাণকাজ,	
maniktala,	মনিকতা,	মানিকতলা,	
sakara,	সকারা,	সকার,	
kale,	কালে,	কালে,	
hyaloyin,	হ্যালইন,	হ্যালোইন,	
lutherana,	লুথারান,	লুথেরান,	
saphallyar,	সাফল্যার,	সাফল্যের,	
mugdhata,	মুঘতা,	মুগ্ধতা,	
sahajlabhbhatar,	সহজাজভাতার,	সহজলভ্যতার,	
manbe,	মন্বে,	মানবে,	
meg,	মেগ,	মেগ,	
toufik,	তৌফিক,	তৌফিক,	
asietic,	অসিতিক,	এশিয়াটিক,	
elahabade,	এলাহাবদে,	এলাহাবাদে,	
seekkhagoto,	শিক্ষাগত,	শিক্ষাগত,	
kandey,	কন্ডে,	কাণ্ডে,	
saseja,	সাসেজ,	সসেজ,	
sorsa,	সর্সা,	সোর্স,	
toruner,	তরুণের,	তরুণের,	
shalook,	সালুক,	শালুক,	
duburyra,	দুবররারি,	ডুবুরিরা,	
starc,	স্টার্ক,	স্টার্ক,	
janalo,	জননল,	জানালো,	
clause,	ক্লাউস,	ক্লজ,	
asantosh,	অসন্তস,	অসন্তোষ,	
durgandha,	দুর্ঘান্ধ,	দুর্গন্ধ,	
ovidhanik,	অভিধানিক,	অভিধানিক,	
jackey,	জাকে,	জকি,	
sanatoni,	সনতননি,	সনাতনী,	
jaanate,	জানাতে,	জানাতে,	
andaman,	অন্দমমণ,	আন্দামান,	
duckten,	ডাউক্টেন,	ডাকতেন,	
ateeteo,	আতিতে,	অতীতেও,	
credit,	ক্রেডিট,	ক্রেডিট,	
udbodhani,	উদ্বধাধনী,	উদ্বোধনী,	
joqy,	জোকি,	জকি,	
byaboharkareeke,	ব্যবহারহারকে,	ব্যবহারকারীকে,	
janar,	জনার,	জানার,	
gananatya,	গণনত্যত্য,	গণনাট্য,	
janatey,	জনতেে,	জানাতে,	
bhognee,	ভগ্নী,	ভগ্নী,	
thailandsoho,	থালান্সহ,	থাইল্যান্ডসহ,	
aminool,	অমিনুল,	আমিনুল,	
hypar,	হিপার,	হাইপার,	
udbhabane,	উদ্ভাবনে,	উদ্ভাবনে,	
godamjat,	গদামজাত,	গুদামজাত,	
tatey,	তাতে,	তাতে,	
suparichita,	সুপুরিচিত,	সুপরিচিত,	
ghantiti,	ঘন্তিতি,	ঘাঁটিটি,	
gandhikey,	গান্ধিকে,	গান্ধীকে,	
ragkey,	রাগকে,	রাগকে,	
fol,	ফল,	ফল,	
treenda,	ট্রিন্ড,	ট্রেন্ড,	
bboponer,	বপরণের,	বপনের,	
mosjidtir,	মস্জিিত্রির,	মসজিদটির,	
madhobikey,	মধববীকে,	মাধবীকে,	
ancholsomuho,	অন্চসমূহ,	অঞ্চলসমূহ,	
brindaboner,	ব্রিন্বানের,	বৃন্দাবনের,	
eukalyptush,	একলাউপ্টিস,	ইউক্যালিপ্টাস,	
zoubonkal,	জবন্ালক,	যৌবনকাল,	
foxkon,	ফকক্ষণ,	ফক্সকন,	
nodiiti,	নদিিতি,	নদীটি,	
ragei,	রাগেই,	রাগেই,	
alankaron,	আলানকরণ,	অলঙ্করণ,	
gemi,	জেমি,	জেমি,	
platey,	প্লাটে,	প্লেটে,	
bhageri,	ভাগেরী,	ভাগেরই,	
rashider,	রাশিদের,	রশিদের,	
uinndos,	উইন্ডস,	উইন্ডোস,	
dharabahikotitey,	ধারাবাহিতিতে,	ধারাবাহিকটিতে,	
pleta,	প্লেট,	প্লেট,	
pleto,	প্লেট,	প্লেটো,	
shivraj,	শিভ্রাজ,	শিবরাজ,	
ishahak,	এসহাহক,	ইসাহাক,	
sangosthaner,	সংগ্ঠানের,	সংস্থানের,	
aasif,	আসিফ,	আসিফ,	
shringge,	শ্রীঙ্গে,	শৃঙ্গে,	
dwibidha,	দ্ববিধিধ,	দ্বিবিধ,	
jyaqa,	জ্যাক,	জ্যাক,	
naitikatabodh,	নৈতিতাবাবক,	নৈতিকতাবোধ,	
ponjeekaar,	পন্জীকার,	পঞ্জিকার,	
pachtar,	পাঁতার,	পাঁচটার,	
bujhechhilo,	বুঝেছিল,	বুঝেছিল,	
sucre,	সুক্রে,	সাকার,	
hafsa,	হাফস,	হাফসা,	
gonohotyar,	গণনত্্যার,	গণহত্যার,	
samudrotatey,	সমুদ্রতাতে,	সমুদ্রতটে,	
elakatike,	এলাকটিকে,	এলাকাটিকে,	
bastuvad,	বাস্তুভাদ,	বস্তুবাদ,	
doobate,	দবাতে,	ডুবাতে,	
jaanar,	জানার,	জানার,	
sqolastic,	সকলাস্টিক,	স্কলাস্টিক,	
seramiqs,	সারামমিক,	সিরামিকস,	
oteeteo,	অতিতে,	অতীতেও,	
ddheke,	ঢেকে,	ঢেকে,	
modeling,	মোডেলিং,	মডেলিং,	
moushumei,	মৌসুমেই,	মৌসুমেই,	
venkatesh,	ভেনকেটেস,	ভেঙ্কটেশ,	
holdeeng,	হলিিং,	হোল্ডিং,	
syutara,	স্যাটার,	শ্যুটার,	
moshjidshoho,	মস্জিদহহ,	মসজিদসহ,	
tofaat,	তফাট,	তফাৎ,	
ingrejeeteo,	ইংগেরিতে,	ইংরেজিতেও,	
meghnabodh,	মেঘাবাধ,	মেঘনাদবধ,	
