bomkesh,	বোমকেশ,	ব্যোমকেশ,	
nabhela,	নাভেল,	নভেল,	
scare,	স্কারি,	স্কোর,	
sumeetrar,	সুমিত্রার,	সুমিত্রার,	
choopi,	চুপি,	চুপি,	
kanader,	কানাডের,	কণাদের,	
troop,	ট্রুপ,	ট্রুপ,	
soundarjo,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
quartar,	কোর্টার,	কোয়ার্টার,	
kamiz,	কমিজ,	কামিজ,	
gripa,	গ্রীপ,	গ্রিপ,	
shomraatder,	সম্রাতদের,	সম্রাটদের,	
haran,	হরণ,	হারান,	
sikkhakbrindo,	শিক্ষাকৃন্দ,	শিক্ষকবৃন্দ,	
elgoridom,	এলগারিম,	এলগরিদম,	
hoila,	হেল,	হইল,	
bahati,	বাহটি,	বাহাতি,	
zzojyota,	যোজ্যতা,	যোজ্যতা,	
eeraner,	আইরেনের,	ইরানের,	
neelfamarir,	নিলফামারীর,	নীলফামারীর,	
baek,	ব্যাক,	বাইক,	
jaak,	যাক,	জাঁক,	
gatibege,	গ্যাবিবেগ,	গতিবেগে,	
ulcer,	উল্সার,	আলসার,	
pustir,	পুস্তির,	পুষ্টির,	
cholochchitroke,	চলচিত্রকে,	চলচ্চিত্রকে,	
senabahinike,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
protijogiir,	প্রতিযোগির,	প্রতিযোগীতার,	
expose,	এক্সপোজ,	এক্সপোজ,	
baagica,	বাগিকা,	বাগিচা,	
shorifer,	শরীফের,	শরিফের,	
ekirokom,	একিকরকম,	একইরকম,	
ducktickete,	ডাক্িটিকেট,	ডাকটিকিটে,	
uporzon,	উপরজন,	উপার্জন,	
heawy,	হেভি,	হেভি,	
muhit,	মুহিত,	মুহিত,	
jes,	জেস,	জেস,	
oviyojan,	অভিযোজন,	অভিযোজন,	
rigthter,	রিগ্েটর,	রাইটের,	
engineering,	এন্জিনেরিং,	ইঞ্জিনিয়ারিং,	
nathibhookto,	নথিভূক্ত,	নথিভুক্ত,	
soheensotar,	সহিষ্ণতার,	সহিংসতার,	
phiqsim,	ফিক্সিং,	ফিক্সিং,	
thaakte,	থাকতে,	থাকতে,	
sangharshik,	সংঘর্ষিক,	সাংঘর্ষিক,	
rahi,	রাহি,	রাহি,	
sedikei,	সিদিকেই,	সেদিকেই,	
lyaataa,	ল্যাটা,	ল্যাটা,	
poddhotitei,	পদ্ধতিইতেই,	পদ্ধতিতেই,	
maadhoobir,	মাধবীর,	মাধবীর,	
karpeeta,	কর্পিট,	কার্পেট,	
salphat,	সল্ফট,	সালফেট,	
joubankal,	যৌবনকাল,	যৌবনকাল,	
olympiker,	অলিম্পিকের,	অলিম্পিকের,	
sahabah,	সাহাবাহ,	সাহাবাহ,	
naitikatavodh,	নৈতিতাভাদ,	নৈতিকতাবোধ,	
mugdho,	মুগ্ধ,	মুগ্ধ,	
monchostho,	মন্চস্থ,	মঞ্চস্থ,	
krita,	ক্রিত,	ক্রীট,	
langhaner,	লঙ্ঘনের,	লংঘনের,	
bishasey,	বিশাসে,	বিশ্বাসে,	
nathivukto,	নথিভূক্ত,	নথিভুক্ত,	
dephineshana,	ডেফিনেশন,	ডেফিনেশন,	
spreadsheet,	স্প্রেন্সিট,	স্প্রেডশীট,	
abikal,	অবিকাল,	অবিকল,	
vittiow,	ভিট্টিও,	ভিত্তিও,	
birder,	বীরদের,	বার্ডের,	
sheo,	সেই,	সেও,	
durgatir,	দুর্গতির,	দুর্গটির,	
abotar,	অবতার,	অবতার,	
grambasider,	গ্রাবাবাসীদের,	গ্রামবাসীদের,	
dabarer,	দাবারের,	দাবারের,	
qor,	কোর,	কর,	
turkey,	তুর্কী,	তুর্কি,	
mausumei,	মৌসুমেই,	মৌসুমেই,	
protizogiider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
anisha,	অনিশা,	আনিস,	
mandander,	মন্দন্ডের,	মানদণ্ডের,	
ashonka,	আশঙ্কা,	আশংকা,	
norfolq,	নরফলক,	নরফোক,	
sahabikey,	সাহববিকে,	সাহাবীকে,	
thanvi,	ঠানভী,	থানভী,	
vaisaha,	বৈশাহ,	ভাইসহ,	
bondiira,	বন্দীরা,	বন্দীরা,	
fase,	ফেস,	ফাঁসে,	
jolatonko,	জলাটনক,	জলাতঙ্ক,	
bamoni,	বমমণী,	বামনী,	
sikkhakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
dover,	ডভার,	ডোভার,	
koilash,	কৈলাশ,	কৈলাস,	
shangkaloner,	সংকালনের,	সংকলনের,	
opohoron,	অপহরণ,	অপহরন,	
obie,	অবি,	ওবিই,	
heemi,	হিমি,	হিমি,	
chirakumari,	চিরকামুরি,	চিরকুমারী,	
shulke,	সালকে,	শুল্কে,	
allubokhara,	অলুব্ধারা,	আলুবোখারা,	
overview,	অভারভিয়,	ওভারভিউ,	
awatara,	অওতার,	অবতার,	
nischitvabe,	নিষ্চিতভাবে,	নিশ্চিতভাবে,	
shilvar,	শিলভার,	সিলভার,	
gobeshanagar,	গবেষণাগার,	গবেষনাগার,	
sangosthatir,	সংস্থাটির,	সংস্থাটির,	
korecha,	করেছা,	করেছ,	
khatgosher,	খাত্যসের,	খরগোসের,	
lishensh,	লিসেন্স,	লাইসেন্স,	
kk,	কি,	কেকে,	
edhdaning,	এড্ডেনিং,	ইদানিং,	
sotorkokaree,	সতকররকারী,	সতর্ককারী,	
bonduk,	বন্দুক,	বন্দুক,	
janaar,	জানার,	জানার,	
parikkhateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
keram,	কেরম,	কেরাম,	
pleney,	প্লেনে,	প্লেনে,	
eshtonia,	এ্্টোসিনিয়া,	এস্তোনিয়া,	
meghey,	মেঘে,	মেঘে,	
shaswata,	শা্বতা,	শাশ্বত,	
tukroke,	তুকরকে,	টুকরোকে,	
siddhantokey,	সিদ্ধান্তকে,	সিদ্ধান্তকে,	
fising,	ফিসিং,	ফিসিং,	
bharma,	ভারমা,	ভার্মা,	
chalai,	চলাই,	চালাবে,	
kadorer,	কাদরের,	কদরের,	
prapokkey,	প্রাপককে,	প্রাপককে,	
akik,	একিক,	আকিক,	
shilabhara,	সিলভার,	সিলভার,	
bibadey,	বিবাদে,	বিবাদে,	
tafsherer,	তাসরের,	তাফসীরের,	
dala,	ডলা,	দলা,	
oswastikor,	অস্বাসিতিকর,	অস্বস্তিকর,	
manabmoner,	মানবম্নের,	মানবমনের,	
moqam,	মোকাম,	মোকাম,	
gabeshakgon,	গবেষকগণ,	গবেষকগণ,	
zojjyota,	যোজ্যতা,	যোজ্যতা,	
aakkas,	আককাশ,	আককাস,	
gaddafee,	গাদ্যাফী,	গাদ্দাফী,	
janmat,	জন্মত,	জন্মাত,	
ivam,	ইভাম,	ইভিএম,	
ekghare,	একঘারে,	একঘরে,	
dacop,	ডাকোপ,	দাকোপ,	
dhhaby,	ধাবী,	ঢাবি,	
queri,	কুয়েরি,	কোয়েরি,	
craze,	ক্রেজ,	ক্রেজ,	
dakope,	ডাকোপে,	দাকোপ,	
radhanogor,	রাধানগর,	রাধানগর,	
oncholsomuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
spreadshiit,	স্প্রেন্সিট,	স্প্রেডশীট,	
rahie,	রাহি,	রাহি,	
ajeejer,	আজিজের,	আজিজের,	
uuipoka,	উউপপকা,	উইপোকা,	
guzober,	গুজবের,	গুজবের,	
siddhante,	সিদ্ধান্তে,	সিদ্ধান্তে,	
rah,	রহ,	রঃ,	
ewil,	এভিল,	ইভিল,	
beam,	বীম,	বিম,	
pouch,	পৌঁ,	পাউচ,	
gronthotike,	গ্রন্থটিকে,	গ্রন্থটিকে,	
minishtara,	মিনিস্টার,	মিনিস্টার,	
fokshkon,	ফক্ষক,	ফক্সকন,	
baibasthaar,	ব্যবস্থার,	ব্যবস্থার,	
booth,	বুথ,	বুথ,	
sansthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
aazadir,	আজাদির,	আজাদীর,	
abdoor,	আবদুর,	আবদুর,	
bafar,	বাফার,	বাফার,	
dologulo,	দলগুলো,	দলগুলো,	
rushod,	রুশদ,	রুশদ,	
shoya,	শোয়া,	সোয়া,	
taimas,	টৈমস,	টাইমস্,	
krush,	ক্রাশ,	ক্রুশ,	
chaiten,	চাতিন,	চাইতেন,	
cheshsh,	চেষ,	চেস,	
damodar,	দমদোর,	দামদর,	
paschimey,	পশ্চিমে,	পশ্চিমে,	
nagorikderke,	নাগরিকেরকে,	নাগরিকদেরকে,	
aansaareer,	আনসারীর,	আনসারীর,	
muhurtoti,	মুহুরতিটি,	মুহুর্তটি,	
ancholsomuho,	আঞ্চলসমূহ,	অঞ্চলসমূহ,	
abikaul,	অবিকুল,	অবিকল,	
panchashjan,	পঞ্চাশজন,	পঞ্চাশজন,	
kar,	কার,	কর,	
superhero,	সুপারের,	সুপারহিরো,	
reshidensha,	রেসিডেন্স,	রেসিডেন্স,	
ganona,	গণনা,	গণনা,	
jivjontu,	জীবন্যুত,	জীবজন্তু,	
badei,	বাদেই,	বাদেই,	
societyke,	সচিকটিকে,	সোসাইটিকে,	
saleha,	সালেহ,	সালেহা,	
vimshen,	ভিমসেন,	ভীমসেন,	
prajanankal,	প্রজননকাল,	প্রজননকাল,	
jackson,	যককশন,	জ্যাকসন,	
gronthotikey,	গ্রন্থটিকে,	গ্রন্থটিকে,	
shaswato,	শাসবত,	শাশ্বত,	
billah,	বিল্লাহ,	বিল্লাহ,	
chilona,	চিলনা,	ছিলনা,	
cn,	সিএননি,	সিএন,	
sten,	স্টেন,	স্টেন,	
sohokari,	সহকারি,	সহকারী,	
themey,	থেমে,	থিমে,	
idaningkale,	ইডেনিক্যালে,	ইদানীংকালে,	
laiseensim,	লেসনিসিং,	লাইসেন্সিং,	
amshtrong,	আমস্ট্রং,	আর্মস্ট্রং,	
joonsa,	জন্স,	জোন্স,	
venis,	ভেনিস,	ভেনিস,	
sahab,	সাহাব,	সাহাব,	
upobaser,	উপবাসের,	উপবাসের,	
shotodha,	শতধা,	শতধা,	
aagera,	আগেরা,	আগোরা,	
tarkarir,	তরকারীর,	তরকারীর,	
nabom,	নবম,	নবম,	
angkita,	অংকিত,	অঙ্কিতা,	
bruklin,	ব্রুকলিন,	ব্রুকলিন,	
onurbar,	অনুর্বর,	অনুর্বর,	
dwibidha,	দ্বিবিধা,	দ্বিবিধ,	
mashtersh,	মস্টার্স,	মাস্টার্স,	
qoda,	কোড,	কোড,	
shhikar,	শিকার,	শিকার,	
ramantik,	রামান্তিক,	রোমান্টিক,	
ghotlo,	গট্ল,	ঘটল,	
valobasa,	ভালবাসা,	ভালোবাসা,	
sahojlabhbhatar,	সহজক্্ভাতার,	সহজলভ্যতার,	
sarollo,	সরলো,	সারল্য,	
phareksha,	ফরেক্স,	ফরেক্স,	
dreeshtiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
meterey,	মেটারে,	মিটারে,	
nirbachakder,	নির্বাচকদের,	নির্বাচকদের,	
kloj,	ক্লোজ,	ক্লজ,	
anadhikar,	অনাধিকার,	অনধিকার,	
jatotaa,	যতটা,	যতোটা,	
weenis,	উইনিস,	ভেনিস,	
enamel,	এনামেল,	এনামেল,	
beam,	বীম,	বীম,	
baman,	বমন,	বামন,	
tolemyr,	তলিমির,	টলেমির,	
ddhake,	ঢাকে,	ঢেকে,	
koyartara,	কোয়াটার,	কোয়ার্টার,	
byaboharkareei,	ব্যবহারকারী,	ব্যবহারকারীই,	
thesiser,	থেসিসের,	থিসিসের,	
machder,	ম্যাডার,	মাছদের,	
ritesh,	রাটেস,	রিতেশ,	
bhalobass,	ভালবাস,	ভালোবাসা,	
chedon,	চেদন,	ছেদন,	
firti,	ফিরটি,	ফিরতি,	
lagto,	লাগত,	লাগতো,	
bharson,	ভার্সন,	ভারশন,	
abheedhaanic,	অভিধানিক,	অভিধানিক,	
utsahamulak,	উৎসামূলক,	উৎসাহমূলক,	
roy,	রো,	রায়,	
shangkulaan,	সংকুলান,	সংকুলান,	
eidin,	এদিন,	এইদিন,	
jibnagar,	জীবনগর,	জীবননগর,	
obhishangson,	অভিসাসন,	অভিশংসন,	
jibjontu,	জীবন্যুত,	জীবজন্তু,	
dhhaabi,	ঢাবি,	ঢাবি,	
babyloney,	ব্যাবলিনে,	ব্যাবিলনে,	
sayaneda,	সাইনেড,	সায়ানাইড,	
manonitoder,	মননিতদদের,	মনোনীতদের,	
abhidhanik,	অভিধানিক,	অভিধানিক,	
bocchoner,	বচ্ছনের,	বচ্চনের,	
pooshtir,	পুষ্টির,	পুষ্টির,	
aholyar,	আহলিরা,	অহল্যার,	
chalochchitragulor,	চলচ্যিত্রগুলোর,	চলচ্চিত্রগুলোর,	
parshwey,	পার্সে,	পার্শ্বে,	
manushsoho,	মানুসহ,	মানুষসহ,	
pleta,	প্লট,	প্লেট,	
shatokeo,	সতকেও,	শতকেও,	
doorotomo,	দূরোতম,	দূরতম,	
aziz,	অজিজ,	আজিজ,	
sutir,	শুটির,	সুতির,	
taigara,	টাইজার,	টাইগার,	
skoora,	স্কোর,	স্কোর,	
sina,	সিন,	সিনা,	
arke,	আর্ক,	আরকে,	
jonser,	জনসের,	জোন্সের,	
abhigomon,	অভিযমমন,	অভিগমন,	
thake,	থকে,	থাকে,	
bondhubhabapanno,	বন্ধভবর্ণ,	বন্ধুভাবাপন্ন,	
shringgey,	শ্রীঙ্গে,	শৃঙ্গে,	
grameryi,	গ্রামারি,	গ্রামেরই,	
vittio,	ভিটিও,	ভিত্তিও,	
grambaashi,	গ্রাম্বাসী,	গ্রামবাসী,	
wenice,	ভ্যানিসে,	ভেনিস,	
towraat,	তরুট,	তওরাত,	
arasie,	আরসি,	আরসিএ,	
lyata,	ল্যাট,	ল্যাটা,	
shithilotar,	শিথীলতার,	শিথিলতার,	
mohasova,	মহাসভা,	মহাসভা,	
promotione,	প্রমোশনে,	প্রোমোশনে,	
balaruma,	বলরাম,	বলরুম,	
sahazlabhbhatar,	সহজল্্ভাতার,	সহজলভ্যতার,	
trivuz,	ত্রিভুজ,	ত্রিভূজ,	
hol,	হল,	হোল,	
ekatto,	একাত্ম,	একাত্ব,	
manahputo,	মানাপতু,	মনঃপুত,	
shodhan,	সোধন,	শোধন,	
raeets,	রেটস,	রাইটস,	
rahee,	রাহি,	রাহি,	
drissogoolote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
kinsha,	কিন্স,	কিংস,	
youth,	যৌথ,	ইয়ুথ,	
shomrat,	সম্রত,	সম্রাট,	
conan,	কোনন,	কোনান,	
bishshash,	বিশ্বাস,	বিশ্বাস,	
oboshorer,	অবশরের,	অবসরের,	
dola,	ডলা,	দলা,	
texuser,	ট্যাক্সাসের,	টেক্সাসের,	
kunti,	কুনটি,	কুন্তী,	
madraser,	মাদ্রাসের,	মাদ্রাজের,	
tukrote,	তুকরোটে,	টুকরোতে,	
bayi,	বাই,	বাঈ,	
avijojan,	অভিযাজন,	অভিযোজন,	
manober,	মনোবের,	মানবের,	
jacksoner,	যককশনের,	জ্যাকসনের,	
ispredshiit,	ইপ্রেপ্ডিস,	স্প্রেডশীট,	
ameerica,	আমেরিকা,	আমেরিকা,	
carloos,	কার্লস,	কার্লোস,	
graambashi,	গ্রাম্বাসী,	গ্রামবাসী,	
gorrer,	গরের,	গোরের,	
firoze,	ফিরজে,	ফিরোজ,	
aziboner,	আজিবনের,	আজীবনের,	
motkey,	মোটকে,	মতকে,	
evaner,	ইভানের,	ইভানের,	
grambaaseeo,	গ্রাম্বাসীও,	গ্রামবাসীও,	
udbodhonee,	উদ্বধোনী,	উদ্বোধনী,	
badana,	বাদনা,	বদনা,	
sachetonvabe,	সচেতনভাবে,	সচেতনভাবে,	
juktarashtrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
laaiseens,	লাইনেস্স,	লাইসেন্স,	
jeevjontu,	জীবন্যুত,	জীবজন্তু,	
sangbadmadhyomgulote,	সংবাদ্যসমূলকে,	সংবাদমাধ্যমগুলোতে,	
thatchar,	ঠাচচার,	থ্যাচার,	
juktorashtre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
gyate,	গ্ঞাতে,	গ্যেটে,	
malish,	মালিস,	মালিশ,	
bu,	বু,	বু,	
meetar,	মেটার,	মিত্র,	
orthonitike,	অর্থনীতিকে,	অর্থনীতিকে,	
easter,	আস্টার,	ইস্টের,	
scolarship,	স্কলারশিপ,	স্কলারশিপ,	
embi,	এমবি,	এমবি,	
munshi,	মুনশী,	মুন্সী,	
samudratatey,	সমুদ্রতাতে,	সমুদ্রতটে,	
megh,	মেঘ,	মেঘ,	
ghatity,	ঘ্যাতিটি,	ঘাঁটিটি,	
rajbandir,	রাজবন্দীর,	রাজবন্দীর,	
chalachchitroi,	চলচিত্রেই,	চলচ্চিত্রই,	
ispredsiit,	এপ্রেপ্ডিস,	স্প্রেডশীট,	
laagche,	লাগছে,	লাগছে,	
hitoishi,	হিটাসি,	হিতৈষী,	
grontho,	গ্রন্থ,	গ্রন্থ,	
uinndo,	উইন্দ,	উইন্ডো,	
elaakati,	এলাকাটি,	এলাকাটি,	
jarul,	জারুল,	জারুল,	
musolmanderkey,	মুসল্মানদারকে,	মুসলমানদেরকে,	
vdp,	এডএিপি,	ভিডিপি,	
anchalgulote,	আঞ্চলবুলোতে,	অঞ্চলগুলোতে,	
qings,	কিংস,	কিংস,	
kande,	কাঁদে,	কাণ্ডে,	
rajtantre,	রাজনাত্রে,	রাজতন্ত্রে,	
ummool,	উম্লু,	উম্মুল,	
shekend,	সেকেন্ড,	সেকেণ্ড,	
difinishion,	ডিফিনিশন,	ডেফিনেশন,	
dule,	দুলে,	ডালে,	
kyantana,	ক্যান্টন,	ক্যান্টন,	
manohputa,	মনোনপুত,	মনঃপুত,	
prakalpoguli,	প্রক্লগুলুলি,	প্রকল্পগুলি,	
sloker,	স্লোকার,	শ্লোকের,	
directarate,	ডিরেক্টরেট,	ডিরেক্টরেট,	
qonfliqt,	কনফ্লিক্ট,	কনফ্লিক্ট,	
baaiq,	বাইক,	বাইক,	
arjara,	অর্জারা,	আর্যরা,	
byabaharkariderke,	ব্যবহারীকারীদে,	ব্যবহারকারীদেরকে,	
porissrom,	পরিস্রম,	পরিশ্রম,	
horidware,	হরিদ্রারে,	হরিদ্বারে,	
mangoleek,	মঙ্গলিক,	মাঙ্গলিক,	
akbakye,	একবাককে,	একবাক্যে,	
mulbhitti,	মুলভীতি,	মূলভিত্তি,	
nirvachokder,	নির্বাচকদের,	নির্বাচকদের,	
biplobir,	বিপ্লবির,	বিপ্লবীর,	
heris,	হেরিশ,	হ্যারিস,	
jestha,	জেষ্ঠ,	জ্যেষ্ঠা,	
jinsa,	জিন্স,	জিন্স,	
chitranattakar,	চিত্রনাট্যকর,	চিত্রনাট্যকার,	
jolbe,	জলবে,	জ্বলবে,	
faaser,	ফাঁসের,	ফাঁসের,	
daakticketer,	ডাক্তিকেটের,	ডাকটিকিটের,	
tarunke,	তরুণকে,	তরুণকে,	
farn,	ফরন,	ফার্ন,	
apohoron,	অপহরণ,	অপহরন,	
shantaa,	সান্তা,	সান্তা,	
kaalniir,	কালনীর,	কালনীর,	
bosobben,	বসবেবন,	বসবেন,	
wodka,	ভোঁকা,	ভদকা,	
musolmanera,	মুসল্মনের,	মুসলমানেরা,	
raits,	রাইটস,	রাইটস,	
bosoben,	বসবেন,	বসবেন,	
bagdadi,	বাগাডাদি,	বাগদাদী,	
cuti,	কুটি,	কিউটি,	
potocheetrer,	পটিচেত্রের,	পটচিত্রের,	
shoccar,	সোক্ার,	সকার,	
satarkabhabey,	সতকররভাবে,	সতর্কভাবে,	
plasse,	প্লেস,	প্লাসে,	
veenom,	ভিনাম,	ভেনম,	
goolen,	গুলেন,	গুলেন,	
provritir,	প্রভৃতির,	প্রভৃতির,	
inapharameeshana,	ইনফরিমেশন,	ইনফরমেশন,	
grauth,	গ্রুথ,	গ্রোথ,	
hoolding,	হোল্ডিং,	হোল্ডিং,	
chanje,	চাঁজে,	চেঞ্জ,	
tistaar,	টিস্টার,	তিস্তার,	
taaims,	টাইমস,	টাইমস্,	
vejano,	ভেজানো,	ভেজানো,	
andaman,	আন্দমান,	আন্দামান,	
uindoos,	উইন্ডোস,	উইন্ডোস,	
pannee,	পন্যী,	পন্নী,	
naitikata,	নৈটিকতা,	নৈতিকতা,	
tikto,	টিক্ত,	তিক্ত,	
vaticaner,	ভ্যিতেরণের,	ভ্যাটিকানের,	
vabook,	ভাবুক,	ভাবুক,	
shaakaar,	শাকার,	সাকার,	
fake,	ফেক,	ফাকে,	
songasthatike,	সংস্থাটিকে,	সংস্থাটিকে,	
bujhechhilo,	বুঝেছিল,	বুঝেছিল,	
tthela,	ঠেলা,	ঠেলা,	
prochondo,	প্রচন্ড,	প্রচণ্ড,	
baarbaadoj,	বার্বাডোজ,	বার্বাডোজ,	
falak,	ফলাক,	ফলক,	
uponeesoder,	উপনিষদের,	উপনিষদের,	
durgotsob,	দুর্ঘাস্ব,	দুর্গোৎসব,	
sahokari,	সহকারি,	সহকারী,	
bonnypran,	বন্ম্রীপণ,	বন্যপ্রাণ,	
maradeho,	মারাদেহ,	মরদেহ,	
shten,	স্টেন,	স্টেন,	
baraakpur,	বারাকপুর,	বারাকপুর,	
jyakasana,	জ্যাকান,	জ্যাকসন,	
chorchita,	চর্চিত,	চর্চিত,	
dayna,	ডেন,	ডায়না,	
sthapanar,	স্থাপনার,	স্থাপনার,	
pari,	প্যারি,	পেরি,	
heedgee,	হিড,	হেজ,	
chitronatyokar,	চিত্রনাট্যকর,	চিত্রনাট্যকার,	
gabeshanar,	গবেষণার,	গবেষনার,	
byabostho,	ব্যবস্থ,	ব্যাবস্থা,	
shikkhartheerao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
udbhabaney,	উদ্ভাবনে,	উদ্ভাবনে,	
hoj,	হজ,	হয,	
daada,	দাদ,	দাদা,	
samanwitabhabey,	সমানভিতভাবে,	সমন্বিতভাবে,	
nothibhooktir,	নথিভুক্তির,	নথিভুক্তির,	
protisthasoho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
shamook,	শামুক,	শামুক,	
kloud,	ক্লুড,	ক্লাউড,	
elakatite,	এলাকাতিতে,	এলাকাটিকে,	
lajek,	লজেকক,	লজিক,	
metropoliton,	মেট্রোপলিটান,	মেট্রোপলিটন,	
dhaleshorii,	ধালস্যবীরী,	ধলেশ্বরী,	
soorarop,	সুরারোপ,	সুরারোপ,	
teuning,	টিউনিং,	টিউনিং,	
alpoi,	আল্পই,	অল্পই,	
farna,	ফর্ন,	ফার্ন,	
madrasakey,	মাদ্রসাকে,	মাদ্রাসাকে,	
bosten,	বসতেন,	বসতেন,	
licensedharii,	লিটেন্ডারীভী,	লাইসেন্সধারী,	
munim,	মুনিং,	মুনিম,	
idipasa,	এডিপস,	ইডিপাস,	
shibraj,	শিবরাজ,	শিবরাজ,	
vool,	ভোল,	উল,	
duckticket,	ডাক্সটিকেট,	ডাকটিকিট,	
soommitrar,	সুমিত্রার,	সুমিত্রার,	
halding,	হ্লেডিং,	হোল্ডিং,	
madhumati,	মধুমতি,	মধুমতী,	
nilkuthir,	নিলকুষির,	নীলকুঠির,	
nirbachoker,	নির্বাচকের,	নির্বাচকের,	
bagichaar,	বাগিছার,	বাগিচার,	
murali,	মুরালি,	মুরলী,	
jonmat,	জন্মাত,	জন্মাত,	
plete,	প্লেট,	প্লেট,	
dhhaalur,	ঢালুর,	ঢালুর,	
debodebi,	দেবদেবী,	দেবদেবী,	
nitikotha,	নীতিকথা,	নীতিকথা,	
nirarthok,	নিরারক,	নিরর্থক,	
sangbadmadhyamgulote,	সংবাদ্যমসূলকে,	সংবাদমাধ্যমগুলোতে,	
soholovyotar,	সহলভাতার,	সহজলভ্যতার,	
direqtareta,	ডিরেক্টরিট,	ডিরেক্টরেট,	
sathik,	সাথিক,	সঠিক,	
dibbay,	দিব্বাই,	দিব্যা,	
tukrowti,	তুকর্টি,	টুকরোটি,	
naajii,	নাজি,	নাত্সি,	
kanuner,	কানুনের,	কানুনের,	
priimo,	প্রিম,	প্রিমো,	
tawnship,	টনসাইপ,	টাউনশিপ,	
kortam,	কর্তম,	করতাম,	
kodti,	কোদটি,	কোডটি,	
mausumeo,	মৌসমেও,	মৌসুমেও,	
clause,	ক্লাউজ,	ক্লজ,	
chhanake,	ছানাকে,	ছানাকে,	
shhow,	শো,	শো,	
arunima,	অরুণিমা,	অরুণিমা,	
chirokumari,	চিরকামারী,	চিরকুমারী,	
promothesh,	প্রমথেশ,	প্রমথেশ,	
karmosansthan,	কর্মসংস্থান,	কর্মসংস্থান,	
naditei,	নদিতেই,	নদীতেই,	
dokaangulote,	দকানগুলোতে,	দোকানগুলোতে,	
alauler,	আলালের,	আলাওলের,	
mondope,	মণ্ডপে,	মন্ডপে,	
janaalo,	জানালো,	জানালো,	
vromonkaley,	ভ্রমণকালে,	ভ্রমণকালে,	
sofyr,	সফির,	সোফির,	
poriikkhateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
moomtaj,	মুমতাজ,	মুমতাজ,	
bhenom,	ভেনম,	ভেনম,	
utpatti,	উৎপত্তি,	উতপত্তি,	
laaz,	লাজ,	লাজ,	
chirohorith,	চিরোররিথ,	চিরহরিৎ,	
daacktickete,	ডাক্িটিকেট,	ডাকটিকিটে,	
lakkheryo,	লক্ষ্রীরও,	লক্ষেরও,	
mmeloborrner,	মেলাবররণের,	মেলবোর্নের,	
govornorer,	গভর্নরের,	গভর্ণরের,	
musharraf,	মুশারফা,	মশাররফ,	
bage,	বাগে,	বাগে,	
bhalta,	ভল্টা,	ভল্ট,	
brindaabane,	বৃষ্ণবানে,	বৃন্দাবনে,	
longghon,	লঙ্ঘন,	লংঘন,	
srisri,	শ্রীস্রী,	শ্রীশ্রী,	
edii,	এডি,	আইডিই,	
akritakarjo,	আক্তরকার্য,	অকৃতকার্য,	
silwer,	সিলভের,	সিলভার,	
shhooter,	শুটের,	শ্যুটার,	
sikh,	শিখ,	শিখ,	
rudrake,	রুদ্রকে,	রুদ্রকে,	
pratiyogitamulak,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
oiteejyer,	ঐতিজ্যের,	ঐতিহ্যের,	
modelder,	মোডেলদের,	মডেলদের,	
hocker,	হকির,	হুকার,	
pratiyogira,	প্রতিযোগিরা,	প্রতিযোগীরা,	
vushi,	ভুষী,	ভুষি,	
shikshakke,	শিক্ষককে,	শিক্ষককে,	
proteestha,	প্রতিষ্ঠা,	প্রতিষ্টা,	
morathee,	মোরাঠী,	মরাঠি,	
vogiroth,	ভগিরোথ,	ভগীরথ,	
bachchaner,	বাচ্চানের,	বচ্চনের,	
ibhila,	এভিল,	ইভিল,	
seelbhee,	সিলভী,	সিলভি,	
harbor,	হারবর,	হারবার,	
shorif,	শরীফ,	শরিফ,	
diiptii,	দীপ্তি,	ডেপুটি,	
swartho,	স্বর্থ,	স্বার্থ,	
braille,	ব্রেল,	ব্রেইল,	
manjushree,	মানজুর্ষী,	মঞ্জুশ্রী,	
pathanirdeshona,	পথনির্দেশনা,	পথনির্দেশনা,	
dharavahikbhabey,	ধারাভিকভাবে,	ধারাবাহিকভাবে,	
susamo,	সুসম,	সুসম,	
deyl,	ডেল,	ডেইল,	
sangrahak,	সংগ্রহক,	সংগ্রাহক,	
valobasey,	ভালবাসে,	ভালোবাসে,	
patrol,	পাত্রোল,	পেট্রোল,	
sukumaree,	সুকুমারী,	সুকুমারী,	
daaktikite,	ডাক্তিকটি,	ডাকটিকিটে,	
nilphamarir,	নিলফামারীর,	নীলফামারীর,	
