leta,	লত,	ল্যাটা,	
oxfordey,	অক্সফোর্ডে,	অক্সফোর্ডে,	
nikate,	নিকেট,	নিকটে,	
mukhobandha,	মুখবন্ধ,	মুখবন্ধ,	
dharabahikbhabey,	ধারাবাবিকভাবে,	ধারাবাহিকভাবে,	
booroon,	বুরুন,	বোরন,	
rayalty,	রেয়লি,	রয়্যালটি,	
quartar,	কোর্টার,	কোয়ার্টার,	
muradke,	মুরাদকে,	মুরাদকে,	
loukikataa,	লৌকিকটা,	লৌকিকতা,	
chorbon,	চর্বণ,	চর্বন,	
grambaaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
bibhonno,	বিভন্ন,	বিভন্ন,	
foks,	ফক্স,	ফক্স,	
taalgachh,	তালগাচ,	তালগাছ,	
aamontrito,	আমন্ত্রিত,	আমন্ত্রিত,	
fartha,	ফরথা,	ফার্থ,	
scholarsip,	স্কলারশিপ,	স্কলারশিপ,	
mashtersh,	মাস্টার্স,	মাস্টার্স,	
proshadhoner,	প্রশাধনের,	প্রসাধনের,	
marketing,	মার্কেটিং,	মার্কেটিং,	
kormoke,	কর্মকে,	কর্মকে,	
parkasha,	পার্কস,	পার্কস,	
nabyota,	নব্যত,	নাব্যতা,	
silwar,	সিলভার,	সিলভার,	
himi,	হিমি,	হিমি,	
debdebeer,	দেবেবীর,	দেবদেবীর,	
bishnuu,	বিষ্ণু,	বিষ্ণু,	
guzober,	গুজবের,	গুজবের,	
songostha,	সংস্থা,	সংস্থা,	
hyarikena,	হ্যারিকেন,	হ্যারিকেন,	
phaltu,	ফলটু,	ফালতু,	
balbo,	বলব,	বলবো,	
matthews,	ম্যাথিস,	ম্যাথিউস,	
breqathru,	ব্রেকঠারও,	ব্রেকথ্রু,	
protizogiir,	প্রতিযোগীর,	প্রতিযোগীতার,	
patjata,	পাজাতা,	পাটজাত,	
cholochchitroi,	চলচিত্রটি,	চলচ্চিত্রই,	
dakteekit,	ডাকিতিক,	ডাকটিকিট,	
ashor,	আসর,	আসর,	
olympiker,	অল্মিপকের,	অলিম্পিকের,	
salapheta,	স্লাফেট,	সালফেট,	
sahazlabhbhatar,	সহজ্বলধাবর,	সহজলভ্যতার,	
udvabaker,	উদ্ভাবকের,	উদ্ভাবকের,	
potochitrer,	পতচিত্রের,	পটচিত্রের,	
palki,	পালকি,	পাল্কি,	
mangolic,	ম্যাঙ্গিলিক,	মাঙ্গলিক,	
cheento,	চিন্ত,	চিনতো,	
gonocheen,	গণচীন,	গণচীন,	
dhrubok,	ধ্রুবক,	ধ্রুবক,	
mag,	ম্যাগ,	এমএজি,	
bitloser,	বিটলসের,	বিটলসের,	
augustin,	অগুস্টিন,	অগাস্টিন,	
madrasake,	মদ্রাসকে,	মাদ্রাসাকে,	
toroni,	তরণী,	তরণী,	
rothin,	রথিন,	রথীন,	
bashite,	বাসিতে,	বাঁশিতে,	
breakthrough,	ব্রেকগ্রাউ,	ব্রেকথ্রু,	
zoubonkal,	যৌবনকল,	যৌবনকাল,	
gondhe,	গণ্ধে,	গন্ধে,	
labonaktatar,	লবণাক্তর,	লবণাক্ততার,	
phartha,	ফার্থ,	ফার্থ,	
ashamarthita,	অসমার্থিত,	অসমর্থিত,	
muhammader,	মুহাম্মাদের,	মুহম্মদের,	
harja,	হার্জ,	হার্জ,	
bojhaar,	বোঝার,	বোঝার,	
purohitke,	পুরহিটকে,	পুরোহিতকে,	
rajdhani,	রাজধানী,	রাজধানি,	
bager,	বেগার,	বাগের,	
asiatic,	অসিযাটিক,	এশিয়াটিক,	
biplobir,	বিপ্লবির,	বিপ্লবীর,	
zacksan,	জ্কাশন,	জ্যাকসন,	
rajtantre,	রাজনত্ত্রের,	রাজতন্ত্রে,	
shaahocharje,	শাহচচর্যে,	সাহচর্যে,	
aap,	আপ,	আপ,	
vobotarini,	ভবতরীনী,	ভবতারিণী,	
jaanate,	জানাতে,	জানাতে,	
byboshthar,	বিবস্থার,	ব্যাবস্থার,	
conservation,	কনসারভেশন,	কনসারভেশন,	
cholesi,	চলেশি,	চলেছি,	
cheerokumari,	চিরকমোমির,	চিরকুমারী,	
sbajan,	স্বাজ,	স্বজন,	
palbongser,	পালবংশের,	পালবংশের,	
karmosansthaner,	কর্মসংস্থানের,	কর্মসংস্থানের,	
udichi,	উদিছি,	উদীচী,	
siter,	সাইটের,	সিটের,	
nilabho,	নিলভ,	নীলাভ,	
ekpashe,	একপাশে,	একপাশে,	
anyoroop,	অন্যরূপ,	অন্যরূপ,	
vdp,	ডিএপি,	ভিডিপি,	
harano,	হারানো,	হারান,	
laiseensa,	লাইসেন্স,	লাইসেন্স,	
aksathe,	একসাথে,	একসাথে,	
dadar,	দাদার,	দাদার,	
dephineshana,	ডেফিনেশন,	ডেফিনেশন,	
bosten,	বসেেন,	বসতেন,	
tiner,	টিনের,	তিনের,	
seet,	সেট,	সিট,	
amitrakkhor,	অমিত্রকক্ষর,	অমিত্রাক্ষর,	
shaahaab,	সাহাব,	সাহাব,	
dakteekiter,	দাক্তিকিতের,	ডাকটিকিটের,	
bbiswashi,	বিশ্বাসী,	বিশ্বাসই,	
boshoborti,	বসবর্তী,	বশবর্তী,	
sabhanetri,	সভভনতত্রী,	সভানেত্রী,	
goori,	গুরি,	গোরি,	
shiqar,	শিকার,	শিকার,	
zonite,	জনিতে,	যোনীতে,	
floodlighter,	ফ্লুলগিদ্থের,	ফ্লাডলাইটের,	
protijogiira,	প্রতিযোগিরা,	প্রতিযোগীরা,	
udbhaboni,	উদ্ভাবনী,	উদ্ভাবনী,	
ponjjikar,	পঞ্জীকার,	পঞ্জিকার,	
gobeshona,	গবেষণা,	গবেষনা,	
ancholti,	অঞ্চলটি,	অঞ্চলটি,	
tusho,	টুষো,	তুসো,	
ekmot,	একমোট,	একমত,	
dharavahiktir,	ধারাভাহিক্তির,	ধারাবাহিকটির,	
sumeetrar,	সুমিতরার,	সুমিত্রার,	
dail,	ডেল,	ডেইল,	
ssahosikotar,	সাহসিকতার,	সাহসিকতার,	
ajeem,	আজীম,	আজিম,	
jaroori,	জরুরী,	জরূরী,	
kande,	কাঁদে,	কাণ্ডে,	
gajee,	গজী,	গেজ,	
harbour,	হার্বর,	হারবার,	
laaiseensh,	লাইসনন্স,	লাইসেন্স,	
pader,	পাদের,	প্যাডের,	
korleo,	করলেও,	করলেও,	
ketechila,	কেটেছিল,	কেটেছিল,	
taalaal,	তালাল,	তালাল,	
mojlishpoor,	মজলিশপুর,	মজলিশপুর,	
jibanjapon,	জীবাজাপন,	জীবনযাপন,	
minishtarer,	মিনিস্ট্রের,	মিনিস্টারের,	
lajek,	লাজেক,	লজিক,	
mukhobondho,	মুখবন্ধ,	মুখবন্ধ,	
babyloney,	ব্যাবলননে,	ব্যাবিলনে,	
durgotshob,	দুর্গৎসব,	দুর্গোৎসব,	
damone,	ডামনে,	দমনে,	
mittrota,	মিট্রোটা,	মিত্রতা,	
bhartuky,	ভার্তুকি,	ভর্তুকি,	
myathious,	ম্যাথিউ,	ম্যাথিউস,	
dobhar,	দোভার,	ডোভার,	
tyunar,	টুউনার,	টিউনার,	
blacker,	ব্লেকার,	ব্ল্যাকের,	
drishyoke,	দৃষ্যকে,	দৃশ্যকে,	
dorjee,	দর্জি,	দরজি,	
drissogoolo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
qings,	কিংস,	কিংস,	
janosangyog,	জনসংযাগ,	জনসংযোগ,	
horidbar,	হরিদবর,	হরিদ্বার,	
dibya,	দিব্য,	দিব্যা,	
hatodaridra,	হতোদিরিরা,	হতদরিদ্র,	
ved,	ভেদ,	বেদ,	
parswer,	পারস্বের,	পার্শ্বে,	
jaak,	যাক,	জাঁক,	
set,	সেট,	সিট,	
sectar,	সেক্টার,	সেক্টর,	
codey,	কোডে,	কোডে,	
surarop,	সুরারপ,	সুরারোপ,	
disney,	ডিজনে,	ডিজনী,	
moonim,	মুনিম,	মুনিম,	
manushder,	মানুষদের,	মানুষদের,	
tarunke,	তরণকে,	তরুণকে,	
monjhostho,	মঞ্জস্থ,	মঞ্চস্থ,	
hondooras,	হন্দুরাশ,	হন্ডুরাস,	
bondikey,	বন্দিকে,	বন্দীকে,	
gaddafee,	গডডাফি,	গাদ্দাফী,	
gajipur,	গাজীপুর,	গাজিপুর,	
shaahocharjo,	শাহচচর্য,	সাহচর্য,	
pujita,	পুজিতা,	পূজিতা,	
dijnii,	ডিজনী,	ডিজনী,	
uponisoder,	উপনিসোদের,	উপনিষদের,	
kkunti,	কুন্তি,	কুন্তী,	
nariikei,	নারীকেই,	নারীকেই,	
kemonay,	কেমনে,	কেমনে,	
shrimati,	শ্রীমতি,	শ্রীমতি,	
ekaar,	একার,	একার,	
tirmizi,	তিরমিী,	তিরমিজি,	
paira,	পায়ারো,	পাইরা,	
sahooseekotar,	সহহিকতার,	সাহসিকতার,	
devolapar,	ডেভলপার,	ডেভলপার,	
shansthatikey,	সংস্থাটিকে,	সংস্থাটিকে,	
jaubankal,	যৌবনকল,	যৌবনকাল,	
dienes,	ডিএনেস,	ডিএনএস,	
bhenisha,	ভেনিশা,	ভেনিস,	
gaze,	গেজ,	গেজ,	
birishiritey,	বিরিশীতের,	বিরিশিরিতে,	
bheenisa,	ভীনিশ,	ভেনিস,	
doonut,	দুণুত,	ডোনাট,	
manushey,	মানুষে,	মানুষে,	
jadrel,	জাদ্রেল,	জাঁদরেল,	
shaatjoner,	সাটনের,	সাতজনের,	
kor,	কোর,	কর,	
shniper,	শিপিপের,	স্নাইপার,	
metroopoolitan,	মেট্রোপুটালিন,	মেট্রোপলিটন,	
senabahinio,	সেনাবাহিনী,	সেনাবাহিনীও,	
barron,	ব্যারন,	ব্যারন,	
adhattik,	আধাত্তিক,	আধ্যাত্মিক,	
uthhaane,	উঠানে,	উঠানে,	
chattke,	ছটটকে,	ছাতকে,	
onupater,	অনুপতের,	অনুপাতের,	
tikta,	টিকটা,	তিক্ত,	
hyaloyin,	হ্যালিউন,	হ্যালোইন,	
onodhikar,	অনধিকার,	অনধিকার,	
longhon,	লঙ্ঘন,	লংঘন,	
hishabke,	হিসাবকে,	হিসাবকে,	
mododpusto,	মদদদ্পুৎ,	মদদপুষ্ট,	
hugeke,	হুগেকে,	হিউজকে,	
deobonde,	দিববন্দে,	দেওবন্দে,	
sangosthatike,	সংস্থাতিকে,	সংস্থাটিকে,	
kyashpar,	ক্যাস্পার,	ক্যাসপার,	
khuni,	খুনি,	খুনি,	
pacchen,	পাঁছেন,	পাচ্ছেন,	
potocheetro,	পটচিত্র,	পটচিত্র,	
obhijojan,	অভিযোজন,	অভিযোজন,	
shektor,	সেক্টর,	সেক্টর,	
vaabnar,	ভবনার,	ভাবনার,	
jaanaar,	জানার,	জানার,	
ashe,	আশে,	আসে,	
parshe,	পর্ে,	পার্শ্বে,	
nirbaahi,	নির্বাহী,	নির্বাহি,	
shitey,	শিতে,	শীতে,	
elakatey,	এলাকাতে,	এলাকাতে,	
neutrino,	নিউট্রিন,	নিউট্রিনো,	
vobtarini,	ভোবরিনী,	ভবতারিণী,	
oindreela,	ইন্ড্রিল,	ঐন্দ্রিলা,	
sabhanetree,	সভভনতত্রী,	সভানেত্রী,	
heejee,	হেজী,	হেজ,	
spredasita,	স্প্রেডাসিট,	স্প্রেডশীট,	
sachetonbhabe,	সচচেতনভাবে,	সচেতনভাবে,	
bondhukey,	বন্ধুকে,	বন্ধুকে,	
abhidhaaneeck,	অভিধানিক্ষ,	অভিধানিক,	
codeguli,	কোদাগুলি,	কোডগুলি,	
eucalyptus,	ইউক্সাপিটস,	ইউক্যালিপ্টাস,	
mojlis,	মজলিস,	মজলিশ,	
mitroder,	মিত্রোদের,	মিত্রদের,	
aabarto,	আবর্ত,	আবর্ত,	
nagarikata,	নাগরিকতা,	নাগরিকতা,	
janasangjog,	জনসংযাগ,	জনসংযোগ,	
augusteen,	আগস্টেন,	অগাস্টিন,	
shreeshree,	শ্রীশ্রী,	শ্রীশ্রী,	
ghesei,	ঘেষেই,	ঘেঁষেই,	
saramiks,	সারামিক্স,	সিরামিকস,	
conservetion,	কনসারভেন,	কনসারভেশন,	
tourisht,	টৌরিস্ট,	টুরিস্ট,	
beeswasi,	বিশ্বাসী,	বিশ্বাসী,	
nirbahi,	নির্বাহী,	নির্বাহি,	
kings,	কিংস,	কিংস,	
pratijogira,	প্রতিযোগিরা,	প্রতিযোগীরা,	
oitijjho,	ঐতিহ্য,	ঐতিহ্য,	
crescenter,	ক্রিসেন্সের,	ক্রিসেন্টের,	
sikar,	সিকার,	শিকার,	
nirikho,	নিরিখ,	নিরিখ,	
arthanitike,	অর্থনীতিকে,	অর্থনীতিকে,	
injiniyarsha,	ইনজাইন্স্স,	ইঞ্জিনিয়ার্স,	
panero,	পানেরো,	পনের,	
palbongsher,	পালবংশের,	পালবংশের,	
qoyartara,	কোয়ার্টার,	কোয়ার্টার,	
krus,	ক্রুশ,	ক্রুশ,	
keuyi,	কুউই,	কেউই,	
baek,	ব্যাক,	বাইক,	
ide,	এড,	আইডিই,	
bhoolapuka,	ভুলাপুকা,	ভোলাপুক,	
maroofer,	মারুফের,	মারুফের,	
gandhiike,	গানধিকে,	গান্ধীকে,	
turbiner,	টার্বিনের,	টারবাইনের,	
niranjan,	নিরাজ্ঞ,	নিরঞ্জন,	
gatrey,	গোত্রে,	গাত্রে,	
jerushalema,	জারোসামালা,	জেরুসালেম,	
hoeel,	হেল,	হইল,	
karlosh,	কার্লস,	কার্লোস,	
bouddho,	বৌদ্ধ,	বৌদ্ধ,	
abosare,	অবসারে,	অবসরে,	
sacheton,	সচেতন,	সচেতন,	
masazida,	মাসজিদ,	মসজিদ,	
torkarir,	তরকারীর,	তরকারীর,	
drissoi,	দৃশ্যই,	দৃশ্যই,	
bairer,	বারের,	বাইরের,	
norfolk,	নর্ফলক,	নরফোক,	
prashikkhane,	প্রশিক্ষণে,	প্রশিক্ষণে,	
anchalsaho,	অঞ্চলসহ,	অঞ্চলসহ,	
cholochchitragulor,	চলচিচিত্রগুলোর,	চলচ্চিত্রগুলোর,	
karadanda,	কারাদন্ড,	কারাদণ্ড,	
basakey,	বাসকে,	বাসাকে,	
noditei,	নদীতেই,	নদীতেই,	
dormetoree,	ডরমেটরি,	ডরমিটরি,	
grooth,	গ্রথ,	গ্রোথ,	
shangsthaner,	সংস্থানের,	সংস্থানের,	
farid,	ফরিদ,	ফরিদ,	
deefinishion,	ডিফিনিশন,	ডেফিনেশন,	
nothibhuktir,	নথিভূক্তির,	নথিভুক্তির,	
protimake,	প্রতিমাকে,	প্রতিমাকে,	
bardhitaanas,	বর্ধিতানাশ,	বর্ধিতাংশ,	
soommo,	সুম্ম,	সুমো,	
ssteit,	স্টেট,	স্টেইট,	
meyiler,	মেলের,	মেইলের,	
rejidens,	রেজিডেন্স,	রেসিডেন্স,	
swalpa,	স্বল্প,	স্বল্প,	
saabyastha,	সাব্যস্থ,	সাব্যস্থ,	
bondiira,	বন্দিরা,	বন্দীরা,	
raktaksharaner,	রক্তকরষণণের,	রক্তক্ষরণের,	
tofat,	টফা,	তফাৎ,	
baarnish,	বার্নিশ,	বার্নিশ,	
haryken,	হার্কিন,	হ্যারিকেন,	
bhittimul,	ভিত্তিমুল,	ভিত্তিমূল,	
foolkopi,	ফুলকোপি,	ফুলকপি,	
sur,	সুর,	সুর,	
ekoghoore,	একঘুরে,	একঘরে,	
upobaser,	উপবাসের,	উপবাসের,	
shangkulaan,	সংকুলান,	সংকুলান,	
billaho,	বিলহাহ,	বিল্লাহ,	
durga,	দুর্গ,	দুর্গ,	
floodliter,	ফ্লুল্িদের,	ফ্লাডলাইটের,	
restuarant,	রেস্টোর্যান্ট,	রেষ্টুরেন্ট,	
tanteera,	টানটিরা,	তাঁতিরা,	
dormitori,	ডরমিটরি,	ডরমিটরি,	
gobeshokgon,	গবেষকঙ্গন,	গবেষকগণ,	
dana,	ডানা,	ডায়না,	
upobaashee,	উপবাসী,	উপবাসী,	
satjon,	সাটন,	সাতজন,	
chaiten,	চাইতেন,	চাইতেন,	
emiretus,	এমিরেটাস,	এমিরেটাস,	
baarder,	বার্ডের,	বার্ডের,	
taufik,	তফিক,	তৌফিক,	
elakaao,	এলাকাও,	এলাকাও,	
safiin,	সফিন,	সাফিন,	
jomjomat,	জমজমাত,	জমজমাট,	
arekdal,	এরেকদল,	আরেকদল,	
jhankar,	ঝাঁকার,	ঝঙ্কার,	
anano,	অনন,	আনানো,	
jackshon,	জক্সন,	জ্যাকসন,	
nothivukta,	নথিভূক্ত,	নথিভুক্ত,	
korusher,	করুশের,	ক্রুশের,	
pathkrom,	পাঠক্রম,	পাঠক্রম,	
gabeshanar,	গবেষণার,	গবেষনার,	
taalgaachh,	তালগাচ,	তালগাছ,	
bopon,	বপন,	বপন,	
sattweo,	সত্ত্বেও,	সত্ত্বেও,	
foxcon,	ফক্কন,	ফক্সকন,	
torup,	তরূপ,	ট্রুপ,	
homeske,	হমেশকে,	হোমসকে,	
ancholsaho,	অঞ্চলসহ,	অঞ্চলসহ,	
avatar,	অভাতার,	অবতার,	
asavya,	অশাভ্য,	অসভ্য,	
gaafeeloti,	গাফোলোটি,	গাফিলতি,	
nirantar,	নিরন্তর,	নিরন্তর,	
teresha,	টেরেশা,	টেরেসা,	
vageroi,	ভাগেরই,	ভাগেরই,	
recondishon,	রেকন্ডিন,	রিকন্ডিশন,	
karo,	কারও,	কারো,	
roopa,	রোপা,	রুপা,	
gaiche,	গাইছে,	গাইছে,	
chowdhuryder,	চৌধুরিদের,	চৌধুরীদের,	
sarsa,	সর্ষা,	সোর্স,	
foloshrutite,	ফলস্রুতিত,	ফলশ্রুতিতে,	
zuktorastreo,	যুক্তরাস্ত্রে,	যুক্তরাষ্ট্রেও,	
arasie,	আরাশি,	আরসিএ,	
saya,	সায়া,	সোয়া,	
boring,	বরিং,	বোরিং,	
suparahiroo,	সুপারহহির,	সুপারহিরো,	
pratijogi,	প্রতিযোগী,	প্রতিযোগী,	
parker,	পার্কের,	পার্কের,	
gaichey,	গাইছে,	গাইছে,	
bhejano,	ভেজানো,	ভেজানো,	
depp,	ডিপ,	ডেপ,	
taffsherer,	টাফফেরের,	তাফসীরের,	
eexpreession,	এক্সপ্রেশন,	এক্সপ্রেশন,	
atarkitey,	অরাটকটিতে,	অতর্কিতে,	
bhaandare,	ভান্ডারে,	ভাণ্ডারে,	
anuchcheder,	অনুচ্ছেদের,	অনুচ্ছেদের,	
hurricane,	হারিকেন,	হ্যারিকেন,	
gudamjat,	গুদম্জাত,	গুদামজাত,	
neelkamal,	নিককামাল,	নীলকমল,	
nagorikderke,	নাগরিকদেরকে,	নাগরিকদেরকে,	
rooshod,	রুশদ,	রুশদ,	
chondrima,	চন্দ্রীম,	চন্দ্রিমা,	
janomukhi,	জনমুখুষী,	জনমুখী,	
suchorita,	সূচরিতা,	সুচরিতা,	
messengerer,	মেশজিঞ্জের,	মেসেঞ্জারের,	
messenjer,	মেশনজজর,	মেসেঞ্জার,	
plata,	প্লট,	প্লেটো,	
bbosontoke,	বসন্ততকে,	বসন্তকে,	
hitaishi,	হিটাই,	হিতৈষী,	
yanqee,	য্যাংকি,	ইয়াংকি,	
ganakantho,	গণকণ্ঠ,	গণকণ্ঠ,	
rushad,	রুষাদ,	রুশদ,	
angshogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
swatantrata,	স্বাতন্ত্রতা,	স্বতন্ত্রতা,	
shikkhartheerao,	শিক্ষার্থীর,	শিক্ষার্থীরাও,	
haraten,	হরতেন,	হারাতেন,	
dacope,	ডাকপে,	দাকোপ,	
animated,	অনিমমাইট,	এনিমেটেড,	
omanisha,	অমানিস,	অমানিশা,	
sanaktakaraner,	সনাক্তকরণের,	সনাক্তকরণের,	
naajii,	নাজী,	নাত্সি,	
byatari,	ব্যাটারি,	ব্যাটারী,	
bondira,	বন্দিরা,	বন্দীরা,	
jyakashana,	জ্যাকশন,	জ্যাকসন,	
barbe,	বর্বে,	বাড়বে,	
michhilti,	মিচিলটি,	মিছিলটি,	
asociatis,	অসোচোয়েটিস,	এসোসিয়েটস,	
claud,	ক্লাউড,	ক্লাউড,	
agamanke,	অগমানকে,	আগমনকে,	
laboni,	লবণী,	লাবনী,	
hotelti,	হটেলটি,	হোটেলটি,	
saurse,	সর্স,	সোর্স,	
hitoishi,	হিটশি,	হিতৈষী,	
somoshtike,	সমস্তিকে,	সমষ্টিকে,	
starcer,	স্টার্সার,	স্টার্কের,	
jonosomaj,	জনসমান,	জনসমাজ,	
zuboke,	যুবকে,	যুবকে,	
obolokon,	অবলোকন,	অবলোকন,	
superhera,	সুপেরহার,	সুপারহিরো,	
venkatesh,	ভেনকটেস,	ভেঙ্কটেশ,	
nebhate,	নেভাতে,	নেভাতে,	
lutherana,	লুথারন,	লুথেরান,	
chowdhurir,	চৌধুরির,	চৌধুরীর,	
rajbandi,	রাজবন্দী,	রাজবন্দী,	
mascat,	মাসকাট,	মাস্কাট,	
roshider,	রশীদের,	রশিদের,	
version,	ভার্সন,	ভারশন,	
shrichaitanyadev,	শ্রীচৈতন্যাদেযে,	শ্রীচৈতন্যদেব,	
vabanipur,	ভবাণীপুর,	ভবানীপুর,	
bipojjonok,	বিপজজ্জনক,	বিপজ্জনক,	
avinetar,	অভিনেটর,	অভিনেতার,	
kortaa,	কর্তা,	করতা,	
ssikkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
neemitto,	নিমিত্য,	নিমিত্ত,	
moogdal,	মোগল,	মুগডাল,	
pretty,	প্রেতি,	প্রিটি,	
mookhomaundoler,	মুখমনন্দলের,	মুখমণ্ডলের,	
byatikrami,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
otorkeitey,	অতরকেটে,	অতর্কিতে,	
phimeela,	ফাইমেল,	ফিমেল,	
aunty,	অ্যান্টি,	আন্টি,	
dharavahiktite,	ধারাভাহিক্তিতে,	ধারাবাহিকটিতে,	
emiratas,	এমেরাটা,	এমিরেটাস,	
gonocheener,	গণচীনের,	গণচীনের,	
faksa,	ফক্স,	ফক্স,	
asociatees,	অসোচোয়েটস,	এসোসিয়েটস,	
sbaajan,	স্বাজ,	স্বজন,	
deputi,	দেপুটি,	ডেপুটি,	
tinhazar,	তিনহাজার,	তিনহাজার,	
fimel,	ফিইমেল,	ফিমেল,	
songastha,	সংস্থা,	সংস্থা,	
bolechile,	বলেছিলে,	বলেছিলে,	
sanatani,	সনাতনী,	সনাতনী,	
musalmanra,	মুসলমগ্নর,	মুসলমানরা,	
eokee,	ওকে,	এওকি,	
rifleksa,	রেইফলক্স,	রিফ্লেক্স,	
chiroharit,	চিহরাতিত,	চিরহরিৎ,	
nadnadeer,	নদ্দাদীর,	নদনদীর,	
oncholti,	অঞ্চলটি,	অঞ্চলটি,	
doorotomo,	দূরতম,	দূরতম,	
shomostike,	সমস্তিকে,	সমষ্টিকে,	
ghatir,	ঘটির,	ঘাটির,	
karmakandeo,	কর্মকান্দে,	কর্মকাণ্ডেও,	
sampadankaree,	সম্পাদনকারী,	সম্পাদনকারী,	
gronthoty,	গ্রন্থটি,	গ্রন্থটি,	
sohingsotar,	সহিংসতার,	সহিংসতার,	
ishpredshheet,	ইস্স্রেপিস,	স্প্রেডশীট,	
panchashjon,	পাঞ্চাজজ্ঞান,	পঞ্চাশজন,	
phern,	ফার্ন,	ফার্ন,	
satarkatar,	সতর্কাতার,	সতর্কতার,	
moithili,	মথিলী,	মৈথিলি,	
oholya,	ওহল্য,	অহল্যা,	
bongobondhu,	বঙ্গবন্ধ,	বঙ্গবন্ধু,	
cocaine,	কোকেন,	কোকেইন,	
kanflict,	কাযাফলিক্ট,	কনফ্লিক্ট,	
ogrodoot,	অগ্রদুত,	অগ্রদূত,	
kattor,	কাট্টর,	কট্টর,	
ghateer,	ঘটির,	ঘাটির,	
modeley,	ম্যাদেলে,	মডেলে,	
turista,	তুরিষ্ট,	টুরিস্ট,	
gananatyo,	গণত্য,	গণনাট্য,	
qeyboard,	কেবোর্ড,	কীবোর্ড,	
shaluk,	শালুক,	শালুক,	
nuton,	নূতন,	নূতন,	
naubotom,	নবতম,	নবতম,	
eshtonia,	এস্টনিয়া,	এস্তোনিয়া,	
arekdol,	এরেকদল,	আরেকদল,	
sosar,	সসার,	সকার,	
santa,	সন্ত,	স্যান্টা,	
porishongkhyanbid,	পরিসংখ্যানিদ,	পরিসংখ্যানবিদ,	
choudhurio,	চৌধুরিও,	চৌধুরীও,	
platoo,	প্লোটো,	প্লেটো,	
stain,	স্টেন,	স্টেন,	
bharadwaja,	ভারাদ্যাজ,	ভরদ্বাজ,	
eshkol,	এসকোল,	এসকল,	
indr,	ইন্ডির,	ইন্দ্র,	
thaakte,	থাকেত,	থাকতে,	
bijito,	বিজিত,	বিজিত,	
goojober,	গুজবের,	গুজবের,	
lendol,	লেন্ডোল,	লেন্ডল,	
baffer,	বাফফার,	বাফার,	
tukroke,	তুকরকে,	টুকরোকে,	
sahocorrze,	সহকর্যে,	সাহচর্যে,	
bollov,	বলভ,	বল্লভ,	
spreadseet,	স্প্রিডসেট,	স্প্রেডশীট,	
hijri,	হিজরি,	হিজরী,	
postke,	পোষ্টকে,	পোস্টকে,	
omarjeeto,	অমর্জিত,	অমার্জিত,	
tet,	টে,	টেট,	
kash,	কাস,	কাস,	
itastata,	ইটস্তত,	ইতস্ততঃ,	
masjidtikey,	মাসিনদিত্কি,	মসজিদটিকে,	
mohiboor,	মহিবুর,	মহিবুর,	
fake,	ফাঁকে,	ফাকে,	
ddheke,	ঢেকে,	ঢেকে,	
taholei,	তহলেই,	তাহলেই,	
karmakarer,	কর্মকারের,	কর্মকারের,	
inshtol,	ইনস্টল,	ইন্সটল,	
pala,	পাল,	পোলো,	
chanu,	ছাুনু,	চানু,	
bidrup,	বিদ্রূপ,	বিদ্রূপ,	
jwalbe,	জ্বলবে,	জ্বলবে,	
ongkush,	অংকুশ,	অংকুশ,	
ganoporibahan,	গণপরীবহন,	গণপরিবহন,	
amarjito,	অমর্জিত,	অমার্জিত,	
sanaktakaroner,	সনাক্তকরণের,	সনাক্তকরণের,	
muhammada,	মুহমম্মাদা,	মুহাম্মদ,	
rananganey,	রানাঙ্গে,	রণাঙ্গনে,	
brindaaboner,	বৃণ্দুবনের,	বৃন্দাবনের,	
temonyi,	টেমনই,	তেমনই,	
sweety,	স্বীটি,	সুইটি,	
siddhantoi,	সিদ্ধান্তই,	সিদ্ধান্তই,	
gonohottake,	গণহত্তকে,	গণহত্যাকে,	
gheshe,	ঘেষে,	ঘেঁষে,	
beca,	বেকা,	বেচা,	
ramjaner,	রামজনের,	রমযানের,	
utsahe,	উৎসসে,	উৎসাহে,	
laisensim,	লাইসেন্স,	লাইসেন্সিং,	
mangalik,	মাঙ্গালিক,	মাঙ্গলিক,	
bolbo,	বলব,	বলবো,	
sampadon,	সম্পাদন,	সম্পাদন,	
rayyalati,	রায়োলটি,	রয়্যালটি,	
proman,	প্রমাণ,	প্রমান,	
vimshen,	ভিমসেন,	ভীমসেন,	
shaahoshikataar,	সাহশিকাতার,	সাহসিকতার,	
osamarik,	অসমারিক,	অসামরিক,	
chaudhuriyo,	চৌধ্রীর,	চৌধুরীও,	
sainyader,	সৈন্যদের,	সৈন্যদের,	
treend,	ট্রেন্ড,	ট্রেন্ড,	
inapharameeshana,	ইনফারমেশন,	ইনফরমেশন,	
thesiser,	থিসিসের,	থিসিসের,	
shtena,	স্টেন,	স্টেন,	
patthkrom,	পাঠ্রক্ম,	পাঠক্রম,	
arthonitike,	অর্থনীতিকে,	অর্থনীতিকে,	
janaganonar,	জনগণনার,	জনগণনার,	
shelina,	সেলিন,	সেলিনা,	
boikollyo,	বৈকল্য,	বৈকল্য,	
