estoonia,	এস্টুনিয়া,	এস্তোনিয়া,	
bamnii,	বামনী,	বামনী,	
panero,	পানেরও,	পনের,	
mahajote,	মহাজতে,	মহাজোট,	
bonkey,	বনকে,	বনকে,	
monjhoshtho,	মঞ্চস্থ,	মঞ্চস্থ,	
akatwa,	একাত্ব,	একাত্ব,	
qor,	কোর,	কর,	
neurolojy,	নেউরোলজি,	নিউরোলজি,	
tersa,	তের্স,	টেরেসা,	
dubaate,	দুবাতে,	ডুবাতে,	
iraner,	ইরানের,	ইরানের,	
akmato,	একমাত,	একমত,	
arthurer,	অর্থুরের,	আর্থারের,	
sacheton,	সচেতন,	সচেতন,	
idaning,	এডানিং,	ইদানীং,	
gavaskar,	গোবস্কার,	গাভাস্কার,	
hajarti,	হাজরটি,	হাজারটি,	
shapad,	শ্পাদ,	শ্বাপদ,	
udbodhoney,	উদ্বধনে,	উদ্বোধনে,	
nothibhooktir,	নথিযুক্তির,	নথিভুক্তির,	
sunagarik,	সুনাগারিক,	সুনাগরিক,	
bagdade,	বাগদদদে,	বাগদাদে,	
prodan,	প্রদান,	প্রদাণ,	
bishwaashshoi,	বিশ্বাসশই,	বিশ্বাসই,	
karmojog,	কর্যযোগ,	কর্মযোগ,	
mandondo,	মন্দন্ড,	মানদণ্ড,	
kayartara,	কায়ার্টার,	কোয়ার্টার,	
ooporoshtho,	উপরস্থ,	উপরস্থ,	
chashe,	চাষে,	চেস,	
gosthyi,	গোষ্ঠী,	গোষ্ঠীই,	
cholochchitreo,	চলচিত্রেও,	চলচ্চিত্রেও,	
songosthaner,	সংস্থানের,	সংস্থানের,	
sakar,	সকার,	সকার,	
banger,	বঙ্গের,	ব্যাঙের,	
abarte,	আবর্তে,	আবর্তে,	
zins,	জিন্স,	জিন্স,	
shreemoti,	শ্রীমতি,	শ্রীমতি,	
donata,	ডোনাতা,	ডোনাট,	
ting,	তিং,	টিং,	
relance,	রেলা্যাস,	রিলায়েন্স,	
bhejano,	ভেজানো,	ভেজানো,	
deubande,	ডাইবন্ডে,	দেওবন্দে,	
deaubande,	ডাইবন্ডে,	দেওবন্দে,	
mashajida,	মাসাইদ,	মসজিদ,	
adhyatmikatar,	অধ্যাত্তিবাকার,	আধ্যাত্মিকতার,	
sorting,	সর্টিং,	সর্টিং,	
pingna,	পিঙ্ন,	পিংনা,	
kanader,	কানাদের,	কণাদের,	
samajeek,	সামাজিক,	সামাজিক,	
ameerica,	আমেরিকা,	আমেরিকা,	
noditike,	নদীতিকে,	নদীটিকে,	
patka,	পাটকা,	পটকা,	
sinematographar,	সিনেম্তাররমরণ,	সিনেমাটোগ্রাফার,	
biswashi,	বিশ্বাসী,	বিশ্বাসই,	
michir,	মিচির,	মিচির,	
atarkitey,	অটরকিতে,	অতর্কিতে,	
haphej,	হাফেজ,	হাফেয,	
juktorastrey,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
nirbahe,	নির্বাহে,	নির্বাহে,	
spreadsheet,	স্প্রাডডসট,	স্প্রেডশীট,	
dhanchey,	ঢাঁচে,	ধাঁচে,	
chatoke,	চতকে,	ছাতকে,	
akpaase,	একপাশে,	একপাশে,	
kartana,	কর্তন,	করতনা,	
jhalkathy,	ঝালকাঠি,	ঝালকাঠী,	
soleel,	সলীল,	সলিল,	
gardena,	গার্ডেন,	গার্ডেন,	
shefard,	সেফার্ড,	শেফার্ড,	
sithilota,	সীহীতলাতা,	শিথিলতা,	
johor,	জোহর,	জহর,	
granthaty,	গ্রন্থাটি,	গ্রন্থটি,	
noitikatar,	নৈতিকাতার,	নৈতিকতার,	
jhankar,	ঝাঁকার,	ঝঙ্কার,	
imirgincy,	এমারিজেন্সি,	এমার্জেন্সি,	
pathkramer,	পথকর্মের,	পাঠক্রমের,	
poshchate,	পশ্চাতে,	পশ্চাতে,	
aashor,	আশর,	আসর,	
parks,	পার্ক্স,	পার্কস,	
chhooti,	ছুটি,	ছুটি,	
ganesher,	গণেশের,	গণেশের,	
bojhao,	বোঝাও,	বোঝাও,	
songosthatir,	সংস্থাটির,	সংস্থাটির,	
bohoodin,	বহুদিন,	বহুদিন,	
jolrong,	জলর্ঞ,	জলরঙ,	
antarvukto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
avijojan,	অভিযোজন,	অভিযোজন,	
notunatva,	নতুনত্ব,	নতুনত্ব,	
gonoporeebohoner,	গণপরিবহনের,	গণপরিবহনের,	
nathivukta,	নথিভুক্ত,	নথিভুক্ত,	
murali,	মুরালি,	মুরলী,	
heriken,	হেরিকেন,	হ্যারিকেন,	
eoki,	একোই,	এওকি,	
jotsna,	জৎস্না,	জ্যোৎস্না,	
akabar,	একাবার,	আকাবার,	
zyaka,	জ্যাক,	জ্যাক,	
karlosha,	কার্লস,	কার্লোস,	
ganonatto,	গণনাত্ব,	গণনাট্য,	
goteerodh,	গতিরোধ,	গতিরোধ,	
bossonto,	বসস্ত,	বসন্ত,	
bajhyo,	বাঝ্য,	বাহ্য,	
baharamporer,	বহরাপ্ররের,	বহরমপুরের,	
yathaarthabhaabe,	যথার্থভাবে,	যথার্থভাবে,	
up,	উপ,	আপ,	
neurooloogy,	নিউরোলোজি,	নিউরোলজি,	
timesh,	টিমেস,	টাইমস্,	
bandhuderke,	বা্ধুদেরকে,	বন্ধুদেরকে,	
bisshas,	বিশ্বাস,	বিশ্বাস,	
silbhi,	সিলভি,	সিলভি,	
aholyar,	আহল্যার,	অহল্যার,	
cholochchitrotike,	চলচ্তিত্রিকে,	চলচ্চিত্রটিকে,	
korush,	ক্রুস,	ক্রুশ,	
saatzon,	সাতজন,	সাতজন,	
male,	মালে,	মালে,	
shabnam,	শবনাাম,	শবনম,	
nirgamon,	নির্গামন,	নির্গমন,	
firozaa,	ফিরোজা,	ফিরোজা,	
kriita,	ক্রীত,	ক্রীট,	
saazanor,	সাজানোর,	সাজানোর,	
firoj,	ফিরজ,	ফিরোজ,	
anektayi,	অনেক্তাই,	অনেকটাই,	
komti,	কমটি,	কমতি,	
hughes,	হাগেশ,	হিউজেস,	
ganoporibohoner,	গণপরিবহনের,	গণপরিবহনের,	
kande,	কাঁডে,	কাণ্ডে,	
carpeter,	কারপেটের,	কার্পেটের,	
gananatyo,	গণনাত্য,	গণনাট্য,	
rohosyor,	রোস্যর,	রহস্যর,	
azimpur,	এজিমপুর,	আজিমপুর,	
shamuk,	সামুক,	শামুক,	
hames,	হামেশ,	হোমস,	
plane,	প্লেন,	প্লেন,	
taimash,	তেমস,	টাইমস্,	
karuna,	কারুনা,	করুণা,	
jamkalo,	জামকলা,	জমকালো,	
aamontrito,	আমন্ত্রিত,	আমন্ত্রিত,	
jolorong,	জলররঙ্গ,	জলরঙ,	
highcomissione,	হাইকোমিশনে,	হাইকমিশনে,	
digrio,	ডিগ্রিও,	ডিগ্রিও,	
seekkhokder,	শিক্ষকদের,	শিক্ষকদের,	
granthati,	গ্রন্থটি,	গ্রন্থটি,	
hul,	হুল,	হুল,	
nothivuktir,	নথিভুক্তির,	নথিভুক্তির,	
graambaasi,	গ্রামবাসী,	গ্রামবাসী,	
qibord,	কিবোর্ড,	কীবোর্ড,	
uru,	উরু,	উরু,	
thyachara,	থ্যাচারা,	থ্যাচার,	
weenis,	ভিনিশ,	ভেনিস,	
soundorjyo,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
byatasamyan,	ব্যাতসম্যান,	ব্যাটসম্যান,	
chapol,	চাপল,	চপল,	
samajeekotar,	সমাজিকতার,	সামাজিকতার,	
anchalke,	আঞ্চলকে,	অঞ্চলকে,	
aatok,	আটোক,	আটক,	
park,	পর্ক,	পার্ক,	
enginearing,	এঞ্জিনিরিং,	ইঞ্জিনিয়ারিং,	
manushtike,	মানুষ্টিকে,	মানুষটিকে,	
bishwash,	বিশ্বাস,	বিশ্বাস,	
aaireesh,	আইরিশ,	আইরিস,	
asthisandhi,	অস্থিশান্ডি,	অস্থিসন্ধি,	
marketin,	মার্কেটিং,	মার্কেটিং,	
manabsamajer,	মানসমাজের,	মানবসমাজের,	
soinyosaho,	সৈন্যসহ,	সৈন্যসহ,	
toroonra,	তরুনরা,	তরুণরা,	
ajeeboner,	আজীবনের,	আজীবনের,	
seshardhe,	শেষার্ধে,	শেষার্ধে,	
spredashita,	স্প্রাডেসিট,	স্প্রেডশীট,	
harza,	হার্জা,	হার্জ,	
prostut,	প্রস্তুত,	প্রস্ত্তত,	
nodiigulo,	নদীগুলো,	নদীগুলো,	
monjooshree,	মন্যস্রী,	মঞ্জুশ্রী,	
armstrong,	আর্সস্রোং,	আর্মস্ট্রং,	
suparichita,	সুপারিচিত,	সুপরিচিত,	
prokalpagulo,	প্রকল্পগুলো,	প্রকল্পগুলো,	
dharabahikvabe,	ধারাহিবিকভাবে,	ধারাবাহিকভাবে,	
mukhyo,	মুখ্য,	মুখ্য,	
ashok,	আশক,	আশোক,	
paikgachha,	পৈখকগছ,	পাইকগাছা,	
subader,	সুবাদের,	সুবাদে,	
beekaargrasta,	বিকর্গারস্ট,	বিকারগ্রস্ত,	
beeseshyer,	বিশেষ্যের,	বিশেষ্যের,	
mane,	মানে,	মানে,	
shekend,	সেকেন্ড,	সেকেণ্ড,	
rakibul,	রকিবুল,	রকিবুল,	
nathibhuktir,	নথিভুক্তির,	নথিভুক্তির,	
chondrimaa,	চন্দ্রীমা,	চন্দ্রিমা,	
durgatir,	দুর্গতির,	দুর্গটির,	
monjurul,	মঞ্জুরূল,	মনজুরুল,	
ashanka,	অসংকা,	আশঙ্কা,	
garden,	গার্ডেন,	গার্ডেন,	
aalkaatraa,	আলকার্তা,	আলকাতরা,	
purple,	পার্পল,	পার্পেল,	
bonyopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
upobaasher,	উপবাসের,	উপবাসের,	
tap,	টপ,	ট্যাপ,	
madol,	মদল,	মাদল,	
bamander,	বামান্ডার,	বামনদের,	
elakaatite,	এলাকাতিতে,	এলাকাটিকে,	
pacbar,	পাঁপার,	পাঁচবার,	
liceensing,	লিসেন্সিং,	লাইসেন্সিং,	
carzar,	কার্জার,	চার্জার,	
jubokra,	যুবকরা,	যুবকরা,	
iyutha,	ইইথথ,	ইয়ুথ,	
baik,	বাইক,	বাইক,	
mesenjjarer,	মেসেজজারের,	মেসেঞ্জারের,	
digreer,	দিগ্রীর,	ডিগ্রির,	
beem,	বিম,	বিম,	
elaakate,	এলাকাতে,	এলাকাতে,	
bafar,	বাফার,	বাফার,	
rubala,	রোবাল,	রুবল,	
grootha,	গ্রুথা,	গ্রোথ,	
heja,	হেজ,	হেজ,	
ooeepokar,	উপ্পকার,	উইপোকার,	
taranee,	তরনে,	তরণী,	
probeshkari,	প্রবেশকারী,	প্রবেশকারী,	
tukrowti,	টুকর্তটি,	টুকরোটি,	
seekkhokbrindo,	শিক্ষাক্রিন্দ,	শিক্ষকবৃন্দ,	
kkomatei,	কমাতেই,	কমাতেই,	
dap,	ডাপ,	ড্যাপ,	
modeel,	মোদিল,	মডেল,	
choudhurir,	চৌধুরির,	চৌধুরীর,	
sangosthagulo,	সংস্ঠাগুলো,	সংস্থাগুলো,	
commander,	কমান্ডার,	কমাণ্ডার,	
tarani,	তরণি,	তরণী,	
bibhinno,	বিভিন্ন,	বিভন্ন,	
sossar,	সশার,	সকার,	
bosturyi,	বস্তুরি,	বস্তুরই,	
ooporostho,	উপরস্থ,	উপরস্থ,	
shoshar,	শোষার,	সকার,	
somabesh,	সমাবেশ,	সমাবেশ,	
kloud,	ক্লোড,	ক্লাউড,	
amstrong,	আমস্ট্রঙ্গ,	আর্মস্ট্রং,	
kyandi,	ক্যান্ডি,	ক্যান্ডি,	
boorana,	বুরান,	বোরন,	
shamook,	সামুক,	শামুক,	
shaahocharjo,	সাহাচার্য,	সাহচর্য,	
laisensim,	লাইনসেইসিং,	লাইসেন্সিং,	
baaik,	ব্যাক,	বাইক,	
srichoitonyodeb,	শ্রীচৈতিন্ববে,	শ্রীচৈতন্যদেব,	
crecenter,	ক্রেসেন্টার,	ক্রিসেন্টের,	
jons,	জনস,	জোন্স,	
dalee,	দললী,	ডালে,	
favourite,	ফভভরিতে,	ফেভারিট,	
jinsa,	জিনস,	জিন্স,	
naraphoka,	নরফফক,	নরফোক,	
bonshi,	বংশী,	বংশী,	
shangsthatikey,	সংস্থাটিকে,	সংস্থাটিকে,	
sohopathike,	সহপাথিকে,	সহপাঠীকে,	
mayili,	মেইলি,	মাইলি,	
choopi,	চুপি,	চুপি,	
odhito,	অধিত,	অধীত,	
nirbaho,	নির্বাহ,	নির্বাহ,	
mascat,	মাস্কট,	মাস্কাট,	
dharavashyokar,	ধারাভাষককার,	ধারাভাষ্যকার,	
bhabotarini,	ভবততীরিণী,	ভবতারিণী,	
parshwey,	পার্শ্বে,	পার্শ্বে,	
superhera,	সুপারেহার,	সুপারহিরো,	
scorey,	স্কোরে,	স্কোরে,	
seconde,	সেকন্ডে,	সেকেন্ডে,	
parishkaron,	পরিষ্কারণ,	পরিষ্করণ,	
noteti,	নোটেটি,	নোটটি,	
nischitobhave,	নিষ্ঠিতভাবে,	নিশ্চিতভাবে,	
sabhanetri,	সভভানত্রী,	সভানেত্রী,	
olangkoron,	অলঙ্করণ,	অলঙ্করণ,	
messengerer,	মেসেনগরের,	মেসেঞ্জারের,	
direqtareta,	ডিরেক্টরেট,	ডিরেক্টরেট,	
oholla,	ওহল্লা,	অহল্যা,	
doorger,	দুর্গের,	দুর্গের,	
teksaser,	টেক্সাসের,	টেক্সাসের,	
armstronz,	আর্স্ট্রন্জ,	আর্মস্ট্রং,	
parishkaran,	পরিষ্কারণ,	পরিষ্করণ,	
pleto,	প্লেট,	প্লেটো,	
ghumachhilo,	ঘুমাচিল,	ঘুমাচ্ছিল,	
germanyteo,	জার্মানিতেও,	জার্মানিতেও,	
kompekt,	কমপ্কেক্ট,	কমপ্যাক্ট,	
boikalyo,	বৈকাল্য,	বৈকল্য,	
asammati,	অসম্তী,	অসম্মতি,	
roza,	রোজা,	রোযা,	
siddhantagulo,	সিদ্ধানতগুলো,	সিদ্ধান্তগুলো,	
semai,	সেমাই,	সেমাই,	
baaraak,	বারাক,	বারাক,	
mukhomondoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
joubankale,	যৌবনকালে,	যৌবনকাল,	
donut,	দনুত,	ডোনাট,	
akhandota,	আখা্দতা,	অখণ্ডতা,	
byaboharkareederke,	ব্যবহারকারীদেরকে,	ব্যবহারকারীদেরকে,	
site,	সাইটে,	সিটে,	
pretty,	প্রেটি,	প্রিটি,	
karmosampadan,	কর্মসম্পদন,	কর্মসম্পাদন,	
template,	টেম্পলেট,	টেম্পলেট,	
bolokarok,	বলকারক,	বলকারক,	
daja,	ডজ,	ডোজো,	
dinesh,	ডাইনেস,	দীনেশ,	
grambaseeo,	গ্রামবেশই,	গ্রামবাসীও,	
naajii,	নাজী,	নাত্সি,	
paramartha,	পরামর্থা,	পরমার্থ,	
janmato,	জন্মত,	জন্মাত,	
chomke,	চমকে,	চমকে,	
pulse,	পুলসে,	পালস,	
sattoki,	সত্তকি,	সাত্যকি,	
rajtantrey,	রাজ্তন্ত্রে,	রাজতন্ত্রে,	
iceberg,	ইকেভার্গ,	আইসবার্গ,	
bharson,	ভার্সন,	ভারশন,	
hiper,	হিপের,	হাইপার,	
uparzoner,	উপরর্জনের,	উপার্জনের,	
kando,	কা্ড,	কাণ্ড,	
olimpik,	আলিম্পিক,	অলিম্পিক,	
segulo,	সেগুলো,	সেগুলো,	
ganakantho,	গণকান্থ,	গণকণ্ঠ,	
turbiner,	তুর্বিনের,	টারবাইনের,	
dhanche,	ঢাঁচে,	ধাঁচে,	
michilti,	মিচিলটি,	মিছিলটি,	
dover,	ডাভের,	ডোভার,	
zealand,	জেলাযান্ড,	জিল্যান্ড,	
remacri,	রেমক্রি,	রেমাক্রী,	
toufiq,	তুফিক,	তৌফিক,	
judge,	জু,	জাজ,	
bishnuu,	বিষ্ণু,	বিষ্ণু,	
artilari,	আর্তিলারি,	আর্টিলারি,	
cheef,	চিফ,	শেফ,	
gonokantho,	গণকন্ঠ,	গণকণ্ঠ,	
kanasharabheshhana,	কনসারেশনশ,	কনসারভেশন,	
mookhomaundoley,	মুখমাউন্ডলে,	মুখমণ্ডলে,	
antarbhuttirmulok,	অন্তর্ভিত্রূমকল,	অন্তর্ভুক্তিমূলক,	
mitro,	মিত্রো,	মিত্র,	
krantikale,	ক্রান্তিকালে,	ক্রান্তিকালে,	
kalkarkhana,	কল্কর্ষণা,	কলকারখানা,	
nisad,	নিশাদ,	নিষাদ,	
engrejder,	ইংরেজদের,	ইংরেজদের,	
tusho,	তুশ,	তুসো,	
sangosthatike,	সংস্থাতিকে,	সংস্থাটিকে,	
sahojlovyotar,	সহজ্যমভততার,	সহজলভ্যতার,	
mukhamandoley,	মুখামন্ডলে,	মুখমণ্ডলে,	
tovnship,	টুভশিক,	টাউনশিপ,	
shithilotar,	শীহীতলাতার,	শিথিলতার,	
diiptii,	দীপ্তি,	ডেপুটি,	
chaber,	ছবের,	চাবির,	
pragresa,	প্রগ্রেস,	প্রগ্রেস,	
vagno,	ভা্জন,	ভগ্ন,	
foster,	ফো্টার,	ফস্টার,	
adwanced,	অড্যান্সেড,	অ্যাডভান্সড,	
dharabahik,	ধারাাহিক,	ধারাবাহিক,	
firoze,	ফিরোজে,	ফিরোজ,	
parker,	পার্কের,	পার্কের,	
aarekdal,	আরেকদল,	আরেকদল,	
shikarey,	শিকারে,	শিকারে,	
arasie,	আরাশী,	আরসিএ,	
neelfamarir,	নেলফামারীর,	নীলফামারীর,	
highcommissionay,	হাইকমিশনে,	হাইকমিশনে,	
muktume,	মুক্তুমে,	মাকতুম,	
toder,	তদদের,	তদের,	
chalchhee,	চলছি,	চলছে,	
cherechhe,	চেরেছে,	ছেড়েছে,	
pratijogider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
bikargrosto,	বিকর্গর্ষ্ট,	বিকারগ্রস্ত,	
bane,	বান,	বনে,	
farmat,	ফারমাট,	ফরম্যাট,	
nirdesika,	নির্দেশিকা,	নির্দেশিকা,	
dephinesana,	ডেফিনেশন,	ডেফিনেশন,	
ekghore,	একঘরে,	একঘরে,	
madhobi,	মাধবী,	মাধবীর,	
kromo,	ক্রোমো,	ক্রম,	
noitikotar,	নৈতিকতার,	নৈতিকতার,	
jemi,	জেমি,	জেমি,	
zibonto,	জীবন্ত,	জীবন্ত,	
ganonanatto,	গণনানত্ত্ব,	গণনাট্য,	
plate,	প্লেট,	প্লেটে,	
kormoi,	কর্মই,	কর্মই,	
sangkalaner,	সংকলানের,	সংকলনের,	
freedom,	ফ্রিডম,	ফ্রীডম,	
mozart,	মজার্ত,	মোজার্ট,	
chamsky,	চ্যাস্কি,	চমস্কি,	
dormetory,	ডরমেটরি,	ডরমিটরি,	
elaakaasoho,	এলাকাসহ,	এলাকাসহ,	
fishing,	ফিশিং,	ফিসিং,	
armshtrong,	আর্সস্রোং,	আর্মস্ট্রং,	
karim,	করিম,	করিম,	
alaoul,	আলাউল,	আলাওল,	
qota,	কোট,	কোটা,	
engineers,	এঞ্নিনার্স,	ইঞ্জিনিয়ার্স,	
brindaboney,	বৃণ্দবনে,	বৃন্দাবনে,	
armenan,	আর্মেনন,	আর্মেনিয়ান,	
duburyra,	দুবরিরা,	ডুবুরিরা,	
kaalki,	কালকি,	কালকি,	
cholocchitrigulor,	চলচ্চিত্রীগুল,	চলচ্চিত্রগুলোর,	
falak,	ফলক,	ফলক,	
janapoth,	জানাথ,	জনপথ,	
alpakichudin,	অল্পকিকাধুনি,	অল্পকিছুদিন,	
enjineers,	এঞ্জিনার্স,	ইঞ্জিনিয়ার্স,	
bhushi,	ভুষী,	ভুষি,	
conistho,	কনিষ্ঠ,	কনিষ্ঠ,	
stonehenge,	স্টোনেহেজ,	স্টোনহেঞ্জ,	
jubokera,	যুবকেরা,	যুবকেরা,	
ddheela,	ঢেল,	ঢিলা,	
uparjaner,	উপরর্জনের,	উপার্জনের,	
gasthike,	গাস্থিকে,	গোষ্ঠীকে,	
meetropolitan,	মেত্রপরিযান,	মেট্রোপলিটন,	
jansa,	জনসা,	জোন্স,	
proshtotto,	প্রস্তত্ত,	প্রস্ত্তত,	
taale,	তালে,	তালে,	
motkey,	মোককে,	মতকে,	
choudhoorider,	চৌধুরীদের,	চৌধুরীদের,	
dologulo,	দলগুলো,	দলগুলো,	
jolatongko,	জলাতংক,	জলাতঙ্ক,	
probhritir,	প্রভৃতির,	প্রভৃতির,	
hepataitisha,	হেপাটিটিস,	হেপাটাইটিস,	
aazan,	আজান,	আজান,	
modelgulo,	মডেলগুলো,	মডেলগুলো,	
eekbalke,	একবলকে,	ইকবালকে,	
embaed,	এমবাইদ,	এম্বেড,	
jonoika,	জননিকা,	জনৈকা,	
jothon,	যথোন,	যথন,	
kortaa,	কোর্টা,	করতা,	
gronthe,	গ্রন্থে,	গ্রন্থে,	
eucalyptush,	ইউকাল্টিপ্যাস,	ইউক্যালিপ্টাস,	
goodamjato,	গুদামজত,	গুদামজাত,	
phooloo,	ফুলো,	পোলো,	
papri,	পাপ্রি,	পাপরি,	
seet,	সেট,	সিট,	
koonti,	কোনটি,	কুন্তী,	
ide,	এড,	আইডিই,	
komandar,	কমান্ডার,	কমাণ্ডার,	
daankaan,	দানকান,	ডানকান,	
onucheeder,	অনুচিদের,	অনুচ্ছেদের,	
baruklin,	বারুকুলিন,	ব্রুকলিন,	
aagost,	আজস্ট,	আগষ্ট,	
swarnali,	স্বর্ণলী,	স্বর্ণালী,	
meghachchanno,	মেঘাচাঁন্য,	মেঘাচ্ছন্ন,	
gorib,	গরিব,	গরিব,	
homesh,	হোমেশ,	হোমস,	
shlok,	শ্লক,	শ্লোক,	
artilery,	আর্টিলির,	আর্টিলারি,	
homske,	হমস্কে,	হোমসকে,	
baireo,	বৈরেও,	বাইরেও,	
ganesh,	গেনেস,	গণেশ,	
monjeele,	মঞ্জিলে,	মঞ্জিলে,	
siropar,	শিরোপার,	শিরোপার,	
chhedon,	ছেদন,	ছেদন,	
addabaj,	আদ্যাবাজ,	আড্ডাবাজ,	
ched,	ছেড,	ছেদ,	
seat,	সেট,	সিট,	
nathibhooktir,	নথিযুক্তির,	নথিভুক্তির,	
naubom,	নবম,	নবম,	
hamasa,	হামস,	হোমস,	
alympic,	আল্মপিক,	অলিম্পিক,	
tahalei,	তাহালেই,	তাহলেই,	
motar,	মোটার,	মুতার,	
pack,	প্যাক,	প্ল্যাক,	
asantos,	অসন্ত্বস,	অসন্তোষ,	
leaders,	লিডার্স,	লিডার্স,	
chhatogalpe,	ছোটোগাল্পে,	ছোটগল্পে,	
balroom,	বাল্রম,	বলরুম,	
danaqana,	দানাকা,	ডানকান,	
diaraesha,	ডাই়ারশ,	ডিআরএস,	
pretishta,	প্রেতিষ্ট,	প্রতিষ্টা,	
nirgaman,	নির্গামান,	নির্গমন,	
halding,	হালডিং,	হোল্ডিং,	
eshoshiyetasha,	এস্সিশেটাস,	এসোসিয়েটস,	
charchito,	চর্চিত,	চর্চিত,	
fokser,	ফক্ষের,	ফক্সের,	
deqe,	ডেকে,	ডেকে,	
hili,	হিলি,	হিলি,	
obheegomon,	অভিযোগন,	অভিগমন,	
hol,	হোল,	হোল,	
teuning,	টেনিং,	টিউনিং,	
dweepkey,	দ্বীপকে,	দ্বীপকে,	
jyakasana,	জ্যাসনান,	জ্যাকসন,	
songostha,	সংস্ঠা,	সংস্থা,	
itostatoh,	ইতসততথ,	ইতস্ততঃ,	
uroor,	উরুর,	উরুর,	
kaferder,	কফরদের,	কাফেরদের,	
bulan,	বুলান,	বুলান,	
skalastik,	স্কালাস্টিক,	স্কলাস্টিক,	
estonia,	এস্টনিয়া,	এস্তোনিয়া,	
sidharther,	সিধার্থের,	সিদ্ধার্থের,	
chutite,	ছুটিতে,	ছুটিতে,	
israiler,	ইস্রাইলের,	ইসরাঈলের,	
grotha,	গ্রত,	গ্রোথ,	
koro,	কররও,	করো,	
satjan,	সতজন,	সাতজন,	
dhormee,	ধর্মী,	ধর্মী,	
primoo,	প্রিম,	প্রিমো,	
orghyo,	অর্গ্য,	অর্ঘ্য,	
abhiyojan,	অভিযোজন,	অভিযোজন,	
manahputo,	মানসপুত,	মনঃপুত,	
rooshod,	রুশদ,	রুশদ,	
satyaky,	সত্যাকি,	সাত্যকি,	
somaptir,	সমাপ্তির,	সমাপ্তির,	
asirbad,	আশীর্বাদ,	আশির্বাদ,	
karmoke,	কর্মকে,	কর্মকে,	
khalidke,	খালিদকে,	খালিদকে,	
sathikota,	সাথিকতা,	সঠিকতা,	
dayitta,	দৈত্যা,	দায়িত্ব,	
thakeni,	থাকানি,	থাকেনি,	
arakani,	আরাকানী,	আরাকানী,	
sho,	শো,	শো,	
groth,	গ্র,	গ্রোথ,	
bishad,	বিশাদ,	বিষদ,	
fixing,	ফিক্সিং,	ফিক্সিং,	
dharavahiktir,	ধারাহবিতিরির,	ধারাবাহিকটির,	
injiniyarsha,	ইনজিনাটিরাস,	ইঞ্জিনিয়ার্স,	
military,	মিলিটারি,	মিলিটারি,	
kriseenta,	কৃষেন্ট,	ক্রিসেন্ট,	
muhammod,	মুহাম্মদ,	মুহম্মদ,	
poromartho,	পরমমর্থ,	পরমার্থ,	
chalochchitroke,	চলচ্তিত্রকে,	চলচ্চিত্রকে,	
protyokkhovabey,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
jeebnagore,	জীবনাগরে,	জীবননগর,	
taruner,	তরুনের,	তরুণের,	
rushod,	রুশদ,	রুশদ,	
madrasi,	মাদ্রাসী,	মাদ্রাজি,	
niketoner,	নিকেতনের,	নিকেতনের,	
akeeb,	একেব,	আকিব,	
gazeetteed,	গেজিটেড,	গেজেটেড,	
mojlishpur,	মজলিসপুর,	মজলিশপুর,	
beam,	বিয়াম,	বীম,	
jeerusaleem,	জিরোসলেম,	জেরুসালেম,	
hotelti,	হটেলটি,	হোটেলটি,	
gronthoo,	গ্রন্থু,	গ্রন্থও,	
porishkaran,	পরিষ্কারণ,	পরিষ্করণ,	
rakkhanvag,	রক্ষণভাগ,	রক্ষণভাগ,	
samaveshti,	সমাভেষ্টি,	সমাবেশটি,	
phastara,	ফস্্টার,	ফস্টার,	
sothikota,	সথিকতা,	সঠিকতা,	
utkhaat,	উৎকাত,	উত্খাত,	
chirkoot,	চিরকুত,	চিরকুট,	
gonona,	গণনা,	গণনা,	
alpa,	অল্প,	অল্প,	
karmer,	কর্মের,	কর্মের,	
manee,	মানি,	মানে,	
dip,	ডিপ,	দীপ,	
shiropar,	শিরপার,	শিরোপার,	
bhorodwaj,	ভররদাজ,	ভরদ্বাজ,	
shrabosty,	শ্রবস্তি,	শ্রাবস্তী,	
shikshakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
bed,	বেড,	বেদ,	
candi,	ক্যান্ডি,	ক্যান্ডি,	
chitranattakar,	চিত্রনাটাককার,	চিত্রনাট্যকার,	
carpeet,	কারপেট,	কার্পেট,	
yuro,	ইউরো,	ইউরো,	
jerushalem,	জারোফোলেড,	জেরুসালেম,	
antorbhukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
phood,	ফুদ,	ফুড,	
fiksa,	ফিক্স,	ফিক্স,	
durgotsabe,	দুর্ঘতসভাবে,	দুর্গোৎসবে,	
ruvbla,	রোভ্লা,	রুবল,	
poste,	পোস্টে,	পোস্টে,	
aansaareer,	আনসারীর,	আনসারীর,	
huqar,	হুকার,	হুকার,	
wenom,	ভেনাম,	ভেনম,	
kara,	কোরা,	কারো,	
udvabone,	উদ্বাবনে,	উদ্ভাবনে,	
shomser,	সমসের,	সমশের,	
