naper,	নাপের,	ন্যাপের,	
bahyo,	বাহ্য,	বাহ্য,	
ukeliptash,	উক্লিপিটাস,	ইউক্যালিপ্টাস,	
pujita,	পূঁজিত,	পূজিতা,	
zeland,	জেল্যান্ড,	জিল্যান্ড,	
shaakaar,	শাকার,	সাকার,	
iraner,	ইরানের,	ইরানের,	
stoner,	স্টনের,	স্টোনের,	
prabhuder,	প্রভূদের,	প্রভুদের,	
itemer,	ইটিমের,	আইটেমের,	
iub,	ইউবিএ,	আইইউবি,	
harbourey,	হারবরে,	হারবারে,	
breqathru,	ব্রেকথ্রো,	ব্রেকথ্রু,	
ganochiner,	গণনচীনের,	গণচীনের,	
mulvitti,	মুলভীত্তি,	মূলভিত্তি,	
utsahi,	উত্সাহী,	উৎসাহী,	
sarolyo,	সরোল্য,	সারল্য,	
dhaleshorii,	ঢালেশরী,	ধলেশ্বরী,	
karmojog,	কর্মযোগ,	কর্মযোগ,	
unitgulo,	ইনিতগুলো,	ইউনিটগুলো,	
diares,	ড্যারেশ,	ডিআরএস,	
nathibhukto,	নথিভুক্ত,	নথিভুক্ত,	
tader,	তাদের,	তদের,	
debdebir,	দেবদেবী,	দেবদেবীর,	
karmopontha,	কর্মপন্থা,	কর্মপন্থা,	
sanaktakaran,	সনাক্তকরণ,	সনাক্তকরণ,	
kathmaandu,	কাঠমান্দু,	কাঠমান্ডু,	
okritokarjo,	অকৃতকর্য,	অকৃতকার্য,	
phund,	ফান্ড,	ফান্ড,	
pra,	প্র,	প্রো,	
aazaadeer,	আজাদীর,	আজাদীর,	
bronze,	ব্রাঞ্জে,	ব্রোঞ্জ,	
vaabnake,	ভাবনাকে,	ভাবনাকে,	
breil,	ব্রেইল,	ব্রেইল,	
somonwitobhabey,	সমানভীতভাবে,	সমন্বিতভাবে,	
lainde,	লাইন্ডে,	ল্যান্ডে,	
surakarder,	সুরকর্ডের,	সুরকারদের,	
kanisttha,	কানিস্ঠ,	কনিষ্ঠ,	
bandhutwo,	বন্ধুত্ব,	বন্ধুত্ত্ব,	
dale,	দলে,	ডালে,	
satarkota,	সতর্কটা,	সতর্কতা,	
jokrit,	যকৃত,	যকৃৎ,	
metropalitana,	মেট্রোপলিপান,	মেট্রোপলিটন,	
prrajanankaal,	প্রজাননাল,	প্রজননকাল,	
gajipur,	গাজীপুর,	গাজিপুর,	
purohitra,	পুরোহিত্র,	পুরোহিতরা,	
prokolpogulo,	প্রকল্পগুলো,	প্রকল্পগুলো,	
paite,	পাইতে,	পাইতে,	
lishensh,	লিসেন্স,	লাইসেন্স,	
lidars,	লিডার্স,	লিডার্স,	
bcci,	বিক্সি,	বিসিসিআই,	
chowdhurir,	চৌধধুরির,	চৌধুরীর,	
obhidhanik,	অভিধানিক,	অভিধানিক,	
norpholk,	নরফলক,	নরফোক,	
fix,	ফিক্স,	ফিক্স,	
billah,	বিলা,	বিল্লাহ,	
scall,	স্কল,	এসকল,	
karaa,	কারা,	কারো,	
engineers,	ইনগিনির্স,	ইঞ্জিনিয়ার্স,	
bisshasyi,	বিশ্বস্বী,	বিশ্বাসই,	
ameerica,	অ্যামেরিকা,	আমেরিকা,	
ruby,	রুবি,	রুবি,	
haitasa,	হাইটস,	হাইটস,	
booth,	বুথ,	বুথ,	
peethey,	পিঠে,	পীঠে,	
laaj,	লাজ,	লাজ,	
awatar,	অ্যাটার,	অবতার,	
dhyana,	ধ্যান,	ধ্যান,	
engineersh,	ইনগিনির্স,	ইঞ্জিনিয়ার্স,	
bechaa,	বেছা,	বেচা,	
provu,	প্রভূ,	প্রভু,	
musalmanyi,	মুসলম্নি,	মুসলমানই,	
phiksha,	ফিক্স,	ফিক্স,	
simmons,	সিম্নস,	সিমন্স,	
shudden,	সাদদেন,	সাডেন,	
mesenjarer,	মেসেন্জারের,	মেসেঞ্জারের,	
ostad,	ওস্তাদ,	ওস্তাদ,	
muhu,	মুহু,	মুহু,	
bandhuke,	বাঁধুকে,	বন্ধুকে,	
karu,	কারু,	কারো,	
footballerer,	ফুটবলের,	ফুটবলারের,	
definition,	ডেফিনিশন,	ডেফিনেশন,	
dhorer,	ধরের,	ধরের,	
taali,	তালি,	তালি,	
moshzidshoho,	মস্দিসহ,	মসজিদসহ,	
chomoski,	চমস্কি,	চমস্কি,	
hosain,	হোসেন,	হোসেইন,	
khaamba,	খাম্বা,	খাম্বা,	
baaraakpur,	বারাকপুর,	বারাকপুর,	
bhenis,	ভেনিস,	ভেনিস,	
sikkhakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
choudhoorike,	চৌধুরিকে,	চৌধুরীকে,	
ongshograhon,	অংশগ্রহণ,	অংশগ্রহন,	
ottacharito,	অত্মাচারিত,	অত্যাচারিত,	
buffer,	বাফের,	বাফার,	
nagorikderkey,	নাগরিকদ্রে,	নাগরিকদেরকে,	
plete,	প্লেটে,	প্লেট,	
tata,	তাটা,	তাতা,	
taalaal,	তালাল,	তালাল,	
bossontoke,	বসন্তকে,	বসন্তকে,	
tenisa,	টেনিস,	টেনিস,	
rajdhani,	রাজধানী,	রাজধানি,	
hobu,	হবু,	হবু,	
huk,	হুক,	হুক,	
dumaa,	দুমা,	দুমা,	
horidare,	হরিদারে,	হরিদ্বারে,	
sangastha,	সংস্থা,	সংস্থা,	
samratra,	সমর্ত্র,	সম্রাটরা,	
daqten,	ডাকতেন,	ডাকতেন,	
azibon,	অজিবন,	আজীবন,	
metrapalitana,	মেট্রোপলিপান,	মেট্রোপলিটন,	
upostheet,	উপস্থিত,	উপস্থিত,	
adarsho,	আদর্শ,	আর্দশ,	
retasa,	রেটস,	রাইটস,	
wenis,	ভেনিস,	ভেনিস,	
admiral,	এ্যামিরাল,	এডমিরাল,	
thesiser,	থেসিসের,	থিসিসের,	
gondho,	গন্ধ,	গন্ধে,	
chikitshar,	চিকিৎসার,	চিকিত্সার,	
pancbaar,	পাঁচবার,	পাঁচবার,	
agomonke,	অগোমনকে,	আগমনকে,	
abhigomon,	অভিগোমণ,	অভিগমন,	
vagna,	ভাগ্না,	ভগ্ন,	
bopon,	বোপন,	বপন,	
prakalpoti,	প্রকল্পটি,	প্রকল্পটি,	
gyate,	জ্ঞাতে,	গ্যেটে,	
spostotoi,	স্পষ্টতই,	স্পষ্টতই,	
shaddhi,	স্ধি,	সাধ্বী,	
bosanta,	বসন্ত,	বসন্ত,	
nishchitrupe,	নিশ্কীতপূপে,	নিশ্চিতরূপে,	
judge,	জজ,	জাজ,	
obhishangson,	অভিষাসন,	অভিশংসন,	
charger,	চার্জার,	চার্জার,	
kruser,	ক্রাসের,	ক্রুশের,	
prakalpoguli,	প্রকল্পগুলি,	প্রকল্পগুলি,	
sikkhakbrinda,	শিক্ষাপবৃন্ত,	শিক্ষকবৃন্দ,	
ghenshei,	ঘেঁসেই,	ঘেঁষেই,	
lutherana,	লুথেরনা,	লুথেরান,	
shoreefpur,	শরীফপুর,	শরিফপুর,	
bedke,	বেদকে,	বেদকে,	
nishader,	নিষাদের,	নিষাদের,	
lambaate,	লম্বাতে,	লম্বাটে,	
subader,	সুবাদের,	সুবাদে,	
ghomta,	ঘো্টা,	ঘোমটা,	
porishkoron,	পরিষ্কাণরণ,	পরিষ্করণ,	
turkey,	তুর্কে,	তুর্কি,	
kathmandute,	কথনমুদ্তে,	কাঠমান্ডুতে,	
mehnotti,	মেহনত্তি,	মেহনতি,	
skara,	স্কার,	স্কোর,	
conistho,	কনিষ্ঠ,	কনিষ্ঠ,	
korkotkraantee,	করককাত্রন্তি,	কর্কটক্রান্তি,	
moldova,	মোলদভা,	মলদোভা,	
ba,	বা,	বু,	
dubureer,	দুবুরের,	ডুবুরির,	
dhwajbhanga,	ধ্বজ্ঞাঙ্,	ধ্বজভঙ্গ,	
chalochchitreo,	চলচিত্রে,	চলচ্চিত্রেও,	
mathews,	ম্যাথেউস,	ম্যাথিউস,	
langhoner,	লঙ্ঘনের,	লংঘনের,	
chhatogolper,	ছোটোগল্পের,	ছোটগল্পের,	
mile,	মিলে,	মিলে,	
nirabata,	নীরবত,	নিরবতা,	
tigar,	তিগার,	টাইগার,	
noitikatabodh,	নৈতিতাবধ,	নৈতিকতাবোধ,	
panjikar,	পাঁজিকার,	পঞ্জিকার,	
shaaroker,	শারকের,	স্মারকের,	
zealand,	জিল্যান্ড,	জিল্যান্ড,	
moreecha,	মরিকা,	মরিচা,	
meshenger,	মেসেঞ্জার,	মেসেঞ্জার,	
bishnuke,	বিশ্নুকে,	বিষ্ণুকে,	
akhhunno,	অখুন্ন,	অক্ষুণ্ণ,	
aarakaner,	আরককেনের,	আরাকানের,	
karore,	কাররে,	কারোর,	
ghurchen,	ঘুরছেন,	ঘুরেছেন,	
diibug,	দিবুগ,	ডিবাগ,	
karechi,	করেছি,	করেছি,	
institutioner,	ইন্সটিটিউশনের,	ইনস্টিটিউশনের,	
aamor,	আমর,	আমর,	
ishan,	ইসান,	ঈশান,	
hepataitisha,	হেইপাটিস,	হেপাটাইটিস,	
kiuti,	কিউটি,	কিউটি,	
caaling,	কললিং,	কুলিং,	
durgotsav,	দুর্গটোসব,	দুর্গোৎসব,	
fooloo,	ফুলু,	পোলো,	
shiropar,	শিরোপার,	শিরোপার,	
foridi,	ফরিদি,	ফরিদী,	
hitakar,	হিতকার,	হিতকর,	
abhiyojan,	অভিযোজন,	অভিযোজন,	
asavyo,	অসভ্য,	অসভ্য,	
muzibur,	মুজিবুর,	মুজিবুর,	
durotamo,	দূরতম,	দূরতম,	
day,	দায়ে,	ডে,	
barbe,	বরবে,	বাড়বে,	
suraropeeto,	সুরারোপিত,	সুরারোপিত,	
mayili,	মেইলি,	মাইলি,	
astikra,	অস্তিকরা,	আস্তিকতা,	
herfer,	হার্ফের,	হেরফের,	
basalt,	বসলস,	ব্যাসল্ট,	
myat,	ম্যাট,	ম্যাট,	
dhojobhongo,	ভোবভঙ্গ,	ধ্বজভঙ্গ,	
janosangyog,	জনসংগোগ,	জনসংযোগ,	
reno,	রেন,	রেনো,	
associates,	অ্যাসোসিয়েটস,	এসোসিয়েটস,	
chalo,	চালো,	চলো,	
yukeliptas,	উউকিলিপ্টাস,	ইউক্যালিপ্টাস,	
duburyra,	দুবারীরা,	ডুবুরিরা,	
kanar,	কানার,	কণার,	
zyaka,	জ্যাক,	জ্যাক,	
jwor,	জ্র,	জ্বর,	
kibord,	কিববরর্ড,	কীবোর্ড,	
poroborti,	পরবর্তী,	পরর্বতী,	
israeler,	ইসরাইলের,	ইসরাঈলের,	
dighal,	দিঘাল,	দীঘল,	
cholocchitrotike,	চলচ্চিত্রীকে,	চলচ্চিত্রটিকে,	
pleena,	প্লেন,	প্লেন,	
transform,	ট্রান্সফর্ম,	ট্রান্সফর্ম,	
naitikata,	নাইটিকতা,	নৈতিকতা,	
khude,	খুঁডে,	ক্ষুদে,	
swapad,	স্বপাদ,	শ্বাপদ,	
aajij,	আজিজ,	আজিজ,	
laishensh,	লেইনেন্স,	লাইসেন্স,	
bolvodro,	বলভোদ্র,	বলভদ্র,	
remakri,	রেমকৃ,	রেমাক্রী,	
jesa,	জেস,	জেস,	
gejeteda,	জেজেটেড,	গেজেটেড,	
protijogiira,	প্রতিযোগীতারা,	প্রতিযোগীরা,	
karmosansthaner,	কর্মসংস্থানের,	কর্মসংস্থানের,	
sausaje,	সৌসাযে,	সসেজ,	
ralafa,	রালফ,	রালফ,	
gaj,	গজ,	গেজ,	
duncan,	দুঁচন,	ডানকান,	
uparjan,	উপরজন,	উপার্জন,	
taunasipa,	তাউসেপি,	টাউনশিপ,	
vimsen,	ভিমসেন,	ভীমসেন,	
osthishondhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
vabnake,	ভাবনাকে,	ভাবনাকে,	
taateo,	তাটেও,	তাতেও,	
ekai,	একই,	একাই,	
shten,	স্টেন,	স্টেন,	
chowdhuryder,	চৌধুর্দীর,	চৌধুরীদের,	
adhattikota,	আধ্যাতিকতা,	আধ্যাত্মিকতা,	
highcommissioney,	হাইকমিশনে,	হাইকমিশনে,	
treevuj,	ত্রিভুজ,	ত্রিভূজ,	
platee,	প্লেট,	প্লেট,	
ewil,	এভিল,	ইভিল,	
rights,	রাইটস,	রাইটস,	
onchalgulir,	অঞ্চলগুরির,	অঞ্চলগুলির,	
onnkita,	অনকীত,	অঙ্কিতা,	
preety,	প্রীতি,	প্রিটি,	
bagicha,	বাগিছা,	বাগিচা,	
brindaboner,	ব্রিন্দাবনের,	বৃন্দাবনের,	
roza,	রোজা,	রোযা,	
wool,	ভোল,	উল,	
mathieu,	মাঠিও,	ম্যাথিউ,	
sektara,	সেক্টার,	সেক্টর,	
sambhabonao,	সম্ভাবনও,	সম্ভবনাও,	
korleyi,	করলেই,	করলেই,	
jyeshthaa,	জ্যাস্থা,	জ্যেষ্ঠা,	
shringe,	শ্রীঙে,	শৃঙ্গে,	
chhattroraai,	ছাত্ররাই,	ছাত্ররাই,	
babyloney,	বাবলিনোে,	ব্যাবিলনে,	
atyacharer,	অত্যচারের,	অত্যাচারের,	
bastuvad,	বস্তুবাদ,	বস্তুবাদ,	
mookhomaundoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
ooeepoka,	ওপযাকা,	উইপোকা,	
jesh,	যেস,	জেস,	
potchitra,	পথ্চিত্র,	পটচিত্র,	
bishesyo,	বিশেষ্য,	বিশেষ্য,	
pituni,	পিতুনী,	পিটুনি,	
rupa,	রূপা,	রুপা,	
udbhaboker,	উদ্ভবকের,	উদ্ভাবকের,	
bujhleo,	বুঝলেও,	বুঝলেও,	
mookhomandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
atto,	আত্ম,	আত্ম,	
sucre,	শাক্র,	সাকার,	
sheekar,	শিকার,	শিকার,	
paripakey,	পরিপাকে,	পরিপাকে,	
bondhubhabapanno,	বন্ধুভূবন্ন,	বন্ধুভাবাপন্ন,	
lagto,	লাগট,	লাগতো,	
kumari,	কুমারি,	কুমারী,	
dormetori,	ডরমেটরী,	ডরমিটরি,	
kanda,	কান্ড,	কাণ্ড,	
neutrinoo,	নিউট্রিন,	নিউট্রিনো,	
shomraatder,	সম্রাতদের,	সম্রাটদের,	
gobhornorer,	গভর্নরের,	গভর্ণরের,	
sohojlovyotar,	সহজলভভাতর,	সহজলভ্যতার,	
vangey,	ভাঙে,	ভাঙ্গে,	
madraji,	মাদ্রাজী,	মাদ্রাজি,	
parqing,	পার্কিং,	পার্কিং,	
allahabade,	আল্লাহাদে,	এলাহাবাদে,	
zonite,	যোনিতে,	যোনীতে,	
elakatay,	এলাকাতে,	এলাকাতে,	
alngkoron,	অলংকরণ,	অলঙ্করণ,	
rothin,	রথিন,	রথীন,	
sahocorrze,	সহোকররজজ,	সাহচর্যে,	
nagarikkey,	নাগরীকে,	নাগরিককে,	
gronthoti,	গ্রন্থটি,	গ্রন্থটি,	
puzita,	পূঁজিত,	পূজিতা,	
sikkhakke,	শিক্ষককে,	শিক্ষককে,	
sumee,	সুমি,	সুমি,	
rahee,	রাহী,	রাহী,	
sovanetri,	সভানত্রী,	সভানেত্রী,	
eura,	ইউর,	ইউরো,	
gotibegey,	গতিবেগে,	গতিবেগে,	
hillse,	হিলসে,	হিলসে,	
parks,	পার্কস,	পার্কস,	
rilayensa,	রিলেয়েন্স,	রিলায়েন্স,	
ramonar,	রমনার,	রমনার,	
venis,	ভেনিস,	ভেনিস,	
nirbachakder,	নির্বাচকদের,	নির্বাচকদের,	
toroonke,	তরুণকে,	তরুণকে,	
capsul,	ক্যাপুল,	ক্যাপসুল,	
ancient,	অনিন্নেন্ট,	এনসিয়েন্ট,	
rajtantrakey,	রাজতন্ত্রকে,	রাজতন্ত্রকে,	
bondira,	বন্দিরা,	বন্দীরা,	
varote,	ভারতে,	ভারতে,	
rifleks,	রাইফেলস,	রিফ্লেক্স,	
welcome,	ওয়েলকম,	ওয়েলকাম,	
manzurul,	মানাুুুল,	মনজুরুল,	
sohingsotar,	সহিংসতার,	সহিংসতার,	
keyuyi,	কেউই,	কেউই,	
raia,	রইয়া,	রায়,	
rajpur,	রাজপুর,	রাজপুর,	
set,	সেট,	সিট,	
brail,	ব্রেইল,	ব্রেইল,	
nopdnodir,	নপপদনীর,	নদনদীর,	
dinara,	ডিনার,	ডিনার,	
chaalabi,	চালাবি,	চালাবে,	
gobeshokgon,	গবেষকগণ,	গবেষকগণ,	
sten,	স্টেন,	স্টেন,	
fartha,	ফরর্থ,	ফার্থ,	
ramantika,	রমমন্তিক,	রোমান্টিক,	
sobche,	সবচে,	সবচে,	
horipoor,	হরিপুর,	হরিপুর,	
shattoki,	শত্তকী,	সাত্যকি,	
jini,	জিনি,	যিনি,	
byaboharkariderke,	ব্যবহারকিরকেরী,	ব্যবহারকারীদেরকে,	
udvaboney,	উদ্ভবনে,	উদ্ভাবনে,	
carpeet,	করযারেট,	কার্পেট,	
songkulan,	সংকুলন,	সংকুলান,	
majlish,	মজলিস,	মজলিশ,	
dijijer,	ডিজিজের,	ডিজিজের,	
ghomtaa,	ঘো্টা,	ঘোমটা,	
deeyenes,	ডিএনেন্স,	ডিএনএস,	
radhanagar,	রাধানগর,	রাধানগর,	
rikondison,	রিকো্ডিশন,	রিকন্ডিশন,	
addabaj,	আদ্বাজ,	আড্ডাবাজ,	
sikkharrtheerao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
ghur,	ঘুর,	ঘুর,	
skalarasipa,	স্কলারশিপ,	স্কলারশিপ,	
shringa,	শ্রীঙ্গা,	শৃঙ্গ,	
mukhamandol,	মুখমন্ডল,	মুখমণ্ডল,	
injil,	এঞ্জেল,	ইঞ্জিল,	
monzooshree,	মন্যুশ্রী,	মঞ্জুশ্রী,	
bomkesh,	বকমেশ,	ব্যোমকেশ,	
achis,	এচিশ,	আছিস,	
ghatol,	ঘটল,	ঘটল,	
ekpaase,	একপাসে,	একপাশে,	
sabchey,	সবচে,	সবচে,	
bhenise,	ভেনিসে,	ভেনিসে,	
dokaneyi,	ডোকানেই,	দোকানেই,	
vushi,	ভুষী,	ভুষি,	
miari,	মিরি,	ম্যারি,	
samaveshke,	সমবেেছকে,	সমাবেশকে,	
ide,	ইড,	আইডিই,	
allah,	আল্লাহ,	আল্লাহ্,	
rajtantra,	রাজতন্ত্র,	রাজতন্ত্র,	
gronthati,	গ্রন্থাটি,	গ্রন্থটি,	
dharavahiker,	ধারাভিকের,	ধারাবাহিকের,	
fareksa,	ফরেককস,	ফরেক্স,	
valobasey,	ভালবাসে,	ভালোবাসে,	
bisheshya,	বিশেষ্য,	বিশেষ্য,	
matt,	ম্যাট,	ম্যাট,	
hijrite,	হিজরিতে,	হিজরীতে,	
songosthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
godabari,	গোদাবারই,	গোদাবরী,	
gatrey,	গাত্রে,	গাত্রে,	
shiqha,	শিখ,	শিখ,	
niurolazi,	নিউরোলজি,	নিউরোলজি,	
ashamorthito,	অসারম্্থিত,	অসমর্থিত,	
oitijhyey,	ঐতিহ্যে,	ঐতিহ্যে,	
joistho,	জৈষ্ঠ,	জ্যৈষ্ঠ,	
bondhuke,	বন্ধুকে,	বন্ধুকে,	
pari,	পারই,	পেরি,	
nirbachoker,	নির্বাচকের,	নির্বাচকের,	
grambaashee,	গ্রামবাসী,	গ্রামবাসী,	
ekmot,	একমত,	একমত,	
shosha,	শোষা,	শশা,	
brittakare,	বৃত্তকাারে,	বৃত্তাকারে,	
expose,	এক্সপোজ,	এক্সপোজ,	
sammatite,	সম্মাতিতে,	সম্মতিতে,	
laiseensim,	লাইসেন্সিং,	লাইসেন্সিং,	
edaning,	এডানিং,	ইদানীং,	
sbajan,	স্বাজন,	স্বজন,	
chalai,	চালাই,	চালাবে,	
mascat,	মাসকক,	মাস্কাট,	
joistha,	জৈস্ঠ,	জ্যৈষ্ঠ,	
artherer,	অর্থারের,	আর্থারের,	
phulkapi,	ফুলকাপী,	ফুলকপি,	
premo,	প্রেম,	প্রিমো,	
dajhyo,	দাজ্য,	দাহ্য,	
changee,	চাঙ্গী,	চেঞ্জ,	
notunotto,	নতুনত্ব,	নতুনত্ব,	
soource,	সার্ক,	সোর্স,	
pustio,	পুষ্টিও,	পুষ্টি,	
dael,	দেল,	ডেইল,	
antarktika,	আন্তর্কটিক,	অ্যান্টার্কটিকা,	
daakteekit,	দাক্তিক,	ডাকটিকিট,	
jockey,	জকে,	জকি,	
osthisondhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
hijriite,	হিজরিতে,	হিজরীতে,	
shringgo,	শ্রীঙ্গ,	শৃঙ্গ,	
canal,	ক্যানেল,	ক্যানেল,	
palashir,	পালসীর,	পলাশীর,	
torun,	তরুণ,	তরুন,	
japaanira,	জাপানীরা,	জাপানিরা,	
keyboarder,	কেববররদের,	কীবোর্ডের,	
plato,	প্লাতো,	প্লেটো,	
byaboharkari,	ব্যবহারকারি,	ব্যবহারকারী,	
sampadon,	সম্পদন,	সম্পাদন,	
vugorvey,	ভুগরভে,	ভূগর্ভে,	
nirgaman,	নির্গামান,	নির্গমন,	
phixing,	ফিকশিন,	ফিক্সিং,	
noitik,	নৈটিক,	নৈতিক,	
schedule,	স্কেডুলে,	শিডিউল,	
antarvuktimulak,	অন্তর্মূতিকমূক,	অন্তর্ভুক্তিমূলক,	
rupantor,	রূপান্তর,	রুপান্তর,	
utpotti,	উৎপত্তি,	উতপত্তি,	
polo,	পোলো,	পোলো,	
mastarsa,	মাস্টারস,	মাস্টার্স,	
leetteer,	লিটার,	লেটার,	
natneekey,	নাতনিকে,	নাতনীকে,	
shikhar,	শিখর,	শিকার,	
juktorastroshoho,	যুক্তরাস্থস,	যুক্তরাষ্ট্রসহ,	
nartakike,	নার্তকীকে,	নর্তকীকে,	
licensin,	লিকেন্সিং,	লাইসেন্সিং,	
mausumeo,	মসুমেও,	মৌসুমেও,	
michilti,	মিক্লিটি,	মিছিলটি,	
setio,	স্টিও,	সেটিও,	
rutina,	রুটিনা,	রুটিন,	
balakarak,	বলাকরক,	বলকারক,	
oiteejyo,	ঐতিহ্য,	ঐতিহ্য,	
paksenara,	পক্ষেনার,	পাকসেনারা,	
nederland,	নেডারল্যান্ড,	নেদারল্যান্ড,	
pooshteer,	পুষ্টির,	পুষ্টির,	
bhabatarini,	ভাবতরীণী,	ভবতারিণী,	
hotochokito,	হটচচিক,	হতচকিত,	
obdi,	অব্দী,	অব্দি,	
pathachari,	পাথাচারী,	পথচারী,	
krej,	ক্রেজ,	ক্রেজ,	
kana,	কানা,	কণা,	
chhon,	ছোন,	ছোঁ,	
doobhara,	ডোভার,	ডোভার,	
chaalke,	চালকে,	চালকে,	
srisri,	শ্রীশ্রী,	শ্রীশ্রী,	
puroheetder,	পুরোহিদদের,	পুরোহিতদের,	
keyboard,	কেওবার্ড,	কীবোর্ড,	
adhattik,	আধ্যাত্বিক,	আধ্যাত্মিক,	
assoociates,	অ্যাসোসিয়েট,	এসোসিয়েটস,	
kaantojir,	কান্তজীর,	কান্তজির,	
prabhura,	প্রভূর,	প্রভুরা,	
perry,	পেরি,	পেরি,	
shkolastic,	স্কলাস্টিক,	স্কলাস্টিক,	
kormoi,	কর্মই,	কর্মই,	
taffsher,	তাফসের,	তাফসীর,	
showtey,	শৌতে,	শোতে,	
otyachari,	অত্যাচারী,	অত্যাচারী,	
protijogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
gabeshanar,	গবেষণার,	গবেষনার,	
oncolsoho,	অঞ্চলসহ,	অঞ্চলসহ,	
samudrotatey,	সমুদ্রতে,	সমুদ্রতটে,	
dines,	ডাইনেস,	দীনেশ,	
hajjarer,	হাজ্ারের,	হাজারের,	
chirakumari,	চিরকমুারী,	চিরকুমারী,	
chandrima,	চান্ড্রিমা,	চন্দ্রিমা,	
bikretader,	বিক্রেটাদের,	বিক্রেতাদের,	
manjushree,	মানযুস্রী,	মঞ্জুশ্রী,	
shoilee,	শৈলী,	শৈলী,	
rooby,	রোবি,	রুবি,	
shikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
naazi,	নাজি,	নাত্সি,	
baibasthar,	ব্যবস্থার,	ব্যবস্থার,	
dwibidha,	দ্বিবিধা,	দ্বিবিধ,	
bonkey,	বোঁকে,	বনকে,	
janaar,	জানার,	জানার,	
upostheetir,	উপস্থিতির,	উপস্থিতির,	
khur,	খুর,	ক্ষুর,	
laabonii,	লাবণী,	লাবনী,	
ekaatto,	একাত্ব,	একাত্ব,	
bagichar,	বাযাগিচার,	বাগিচার,	
dologulo,	দলগুলো,	দলগুলো,	
nirvahey,	নির্বাহে,	নির্বাহে,	
ahollar,	আহলার,	অহল্যার,	
jatook,	জাটুক,	জাতক,	
dharabhashyakar,	ধরাভাষ্যকার,	ধারাভাষ্যকার,	
tiner,	টিনের,	তিনের,	
heja,	হেজ,	হেজ,	
antarbhuttirmulok,	অন্তর্ভূর্তূকূ,	অন্তর্ভুক্তিমূলক,	
muktilabh,	মুক্তিলাভ,	মুক্তিলাভ,	
chhotogalpe,	ছোটোগল্পে,	ছোটগল্পে,	
ishtara,	ইস্টার,	ইস্টার,	
irish,	ইরিশ,	আইরিস,	
elakao,	এলাকাও,	এলাকাও,	
pyatarna,	প্যাটার্ন,	প্যাটার্ন,	
saseeja,	সাসিজা,	সসেজ,	
bongshoke,	বংশকে,	বংশকে,	
ghatke,	ঘাঁকে,	ঘাটকে,	
promothesh,	প্রমোষেস,	প্রমথেশ,	
kodom,	কদম,	কদম,	
ramjaner,	রমজানের,	রমযানের,	
bima,	বিমা,	বিম,	
protista,	প্রতিষ্টা,	প্রতিষ্টা,	
soomita,	সমিতা,	সুমিতা,	
sangasthaner,	সংস্থানের,	সংস্থানের,	
neurooloogy,	নিউরোলজি,	নিউরোলজি,	
temontee,	টেমন্টি,	তেমনটি,	
narafoka,	নারাফক,	নরফোক,	
sharoker,	শররকের,	স্মারকের,	
pactar,	পাঁচটার,	পাঁচটার,	
oswastikor,	অস্বস্তীকর,	অস্বস্তিকর,	
chintaikaree,	চিনতাইকারী,	ছিনতাইকারী,	
sidharther,	শিদররেথের,	সিদ্ধার্থের,	
dharmantar,	ধর্মন্তর,	ধর্মান্তর,	
shakara,	শোকর,	সকার,	
zhalokatthi,	ঝালকাঠি,	ঝালকাঠী,	
brindaa,	ব্রিন্ডা,	বৃন্দা,	
kuntee,	কুনটি,	কুন্তী,	
chhotto,	ছট্টো,	ছোট্ট,	
monmotho,	মনমো,	মন্মথ,	
safiin,	সফিন,	সাফিন,	
digrio,	ডিগ্রী,	ডিগ্রিও,	
shiropadhari,	শিরোপাধারী,	শিরোপাধারী,	
mukhobondho,	মুখবন্ধ,	মুখবন্ধ,	
resort,	রেশরর্ট,	রিসোর্ট,	
mukhyo,	মূখ্য,	মুখ্য,	
mukhamandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
mane,	মানে,	মানে,	
drissogoolote,	দ্রীশ্োগুলোতে,	দৃশ্যগুলোতে,	
chomski,	চমকসি,	চমস্কি,	
huqa,	হুক,	হুক,	
boikalya,	বৈকল্য,	বৈকল্য,	
pattern,	প্যাটার্ন,	প্যাটার্ন,	
armenan,	আর্মেনান,	আর্মেনিয়ান,	
omanisha,	অমানিস,	অমানিশা,	
daaoon,	দাউন,	ডাউন,	
danaqana,	ডোনাকোন,	ডানকান,	
subir,	সুবির,	সুবীর,	
tanoo,	তানু,	তনু,	
cheess,	চিষ,	চেস,	
sofyr,	সফীর,	সোফির,	
gosthyi,	গোষ্ঠী,	গোষ্ঠীই,	
petenter,	পেটেন্টের,	পেটেন্টের,	
bosoben,	বসবেন,	বসবেন,	
madhyastha,	মধ্যস্থ,	মধ্যস্থ,	
brindabone,	ব্রিন্দাবনে,	বৃন্দাবনে,	
