mukhya,	মূখ্য,	মুখ্য,	
chalochchitrotike,	চলচ্চিত্রিকে,	চলচ্চিত্রটিকে,	
kushoomba,	কুষুম্ব,	কুশুম্বা,	
ssahocorzo,	সহ্রচর্য,	সাহচর্য,	
plena,	প্লেন,	প্লেন,	
futbolarra,	ফুটবালরা,	ফুটবলাররা,	
proshadhoni,	প্রশাধানী,	প্রসাধনী,	
itostatah,	ইতস্তাহ,	ইতস্ততঃ,	
dakteekite,	দাকতিকিতে,	ডাকটিকিটে,	
marmader,	মর্মাদের,	মারমাদের,	
upobaser,	উপবাসের,	উপবাসের,	
rudrake,	রুদ্রাকে,	রুদ্রকে,	
safi,	সাফী,	সাফি,	
bahal,	বাহাল,	বহাল,	
noteti,	নটটি,	নোটটি,	
samrat,	সমমর,	সম্রাট,	
jonsa,	জনসা,	জোন্স,	
jibnagore,	জীবনবগগে,	জীবননগর,	
allah,	আল্লাহ,	আল্লাহ্,	
baharampurer,	বাহারামুপের,	বহরমপুরের,	
ghumachchila,	ঘুমাচ্ছিল,	ঘুমাচ্ছিল,	
turkameena,	তুর্কমেন,	তুর্কমেন,	
messenger,	মেসেঞ্জের,	মেসেঞ্জার,	
dhos,	ধো,	ধস,	
nirbahi,	নির্বাহী,	নির্বাহি,	
edmeeral,	এড্িেরাল,	এডমিরাল,	
daacktickete,	ডাক্িিকিটে,	ডাকটিকিটে,	
kaareer,	কারির,	কারীর,	
ansarir,	আনসারির,	আনসারীর,	
khilafat,	খিলাফাত,	খিলাফত,	
ovishongshon,	অভিশংসন,	অভিশংসন,	
onnkita,	অং্কিত,	অঙ্কিতা,	
aporishodhito,	অপরিসোধিত,	অপরিশোধিত,	
asociatis,	অসযাসোটিয়াসিস,	এসোসিয়েটস,	
phutbolarder,	ফুটবললারদের,	ফুটবলারদের,	
elakati,	এলাকটি,	এলাকাটি,	
assastikar,	অস্বাস্তিকার,	অস্বস্তিকর,	
atmobishvashi,	আত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
uchchotara,	উচ্চতারা,	উচ্চতর,	
post,	পোষ্ট,	পোষ্ট,	
senabahineeow,	সেনাবাহিনওভ,	সেনাবাহিনীও,	
ruteener,	রুটিনের,	রুটিনের,	
choudhureeke,	চৌধুরিকে,	চৌধুরীকে,	
pratimake,	প্রতিমাকে,	প্রতিমাকে,	
estaniya,	এস্টেনিয়া,	এস্তোনিয়া,	
shikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
tourisht,	তরুষ্ট,	টুরিস্ট,	
jyaqasana,	জ্যাকসন,	জ্যাকসন,	
madhukooree,	মধুকুরী,	মাধুকরী,	
pathkromer,	পাঠকর্মের,	পাঠক্রমের,	
monzile,	মঞ্জিলে,	মঞ্জিলে,	
bim,	বিম,	বীম,	
sanaktakaroner,	সনাক্তকাণের,	সনাক্তকরণের,	
chirantan,	চিরন্তান,	চিরন্তন,	
superheira,	সুপারেরা,	সুপারহিরো,	
mmeloborrner,	মেলববর্নের,	মেলবোর্নের,	
samajikatar,	সমাজিকাতের,	সামাজিকতার,	
bosontey,	বসন্তে,	বসন্তে,	
arakan,	আরকান,	আরাকান,	
oiteejye,	ঐতিহ্যে,	ঐতিহ্যে,	
adarsho,	আদর্শ,	আর্দশ,	
blyaka,	ব্ল্যাক,	ব্ল্যাক,	
onektai,	অনেকটাই,	অনেকটাই,	
nirbaahe,	নির্বাহে,	নির্বাহে,	
ajijoor,	আজিজুর,	আজিজুর,	
shucharita,	সুচারিত,	সুচরিতা,	
siniyara,	সিনিয়ার,	সিনিয়র,	
meeseenjar,	মেশিঞ্জার,	মেসেঞ্জার,	
benish,	বেনিশ,	ভেনিস,	
addhatikota,	আধ্যািিতা,	আধ্যাত্মিকতা,	
dekhbaar,	দেখবার,	দেখবার,	
coda,	কোড,	কোডা,	
chorbon,	চর্বন,	চর্বন,	
leder,	লেডের,	লিডার,	
plack,	প্ল্যাক,	প্ল্যাক,	
chittronattokar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
fall,	ফল,	ফল,	
parjotaker,	পর্যতাকের,	পর্যটকের,	
tintikey,	তিনটিকে,	তিনটিকে,	
edaningkale,	এডনিনকালে,	ইদানীংকালে,	
kredit,	ক্রেডিড,	ক্রেডিট,	
chalaabi,	চালাবি,	চালাবে,	
aagera,	আগেরা,	আগোরা,	
proshtot,	প্রস্তত,	প্রস্ত্তত,	
bhootara,	ভোটার,	ভোটার,	
aansarir,	আনসারির,	আনসারীর,	
pratisthanik,	প্রতিষ্ঠানিক,	প্রাতিষ্ঠানিক,	
dharabahikbhabey,	ধারাবাভিকভাবে,	ধারাবাহিকভাবে,	
debdebyr,	দেবদদ্বীর,	দেবদেবীর,	
hud,	হুড,	হুড,	
superheiroo,	সুপারেরও,	সুপারহিরো,	
marmaara,	মর্মারা,	মারমারা,	
lobbytey,	লোববিতে,	লবিতে,	
patrol,	পাত্রোল,	পেট্রোল,	
nirbachakder,	নির্বাচকদের,	নির্বাচকদের,	
choudhoorike,	চৌধুরিকে,	চৌধুরীকে,	
falashruti,	ফলাস্রুটি,	ফলশ্রুতি,	
shotodha,	শতধা,	শতধা,	
manush,	মানুস,	মানুষ,	
aazaadeer,	আজাদির,	আজাদীর,	
poderthobid,	পদার্থবিদ,	পদার্থবিদ,	
surti,	শূর্তি,	সুরটি,	
sikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
marier,	মেরির,	ম্যারির,	
institutioner,	ইন্সটিটিউশনের,	ইনস্টিটিউশনের,	
bosstonto,	বস্তন্ত্ত,	বসন্ত,	
dinner,	দিন্নের,	ডিনার,	
ayantarqatiqa,	অ্যান্টারটিকা,	অ্যান্টার্কটিকা,	
mitro,	মিত্রো,	মিত্র,	
ancholgulir,	আঞ্চলগুলির,	অঞ্চলগুলির,	
nodiiteyi,	নদীতীই,	নদীতেই,	
starker,	স্টার্কের,	স্টার্কের,	
prokalpeo,	প্রকল্পেও,	প্রকল্পেও,	
foreks,	ফরেক্স,	ফরেক্স,	
cheenja,	চিঞ্জা,	চেঞ্জ,	
upostheetir,	উপস্থিতির,	উপস্থিতির,	
tottobar,	তত্ত্বাবার,	তওবার,	
bisnooke,	বিষ্ণুকে,	বিষ্ণুকে,	
russad,	রাশাদ,	রুশদ,	
trivuj,	ত্রিভুজ,	ত্রিভূজ,	
greep,	গ্রিপ,	গ্রিপ,	
koilas,	কৈলাশ,	কৈলাস,	
dankaan,	দানকান,	ডানকান,	
purbanchole,	পূর্বাঞ্চলে,	পূর্বাঞ্চলে,	
aieesa,	আইএসএ,	আইএএস,	
roshider,	রশীদের,	রশিদের,	
elakai,	এলাকাই,	এলাকাই,	
salil,	সালিল,	সলিল,	
kartana,	কর্তন,	করতনা,	
laiseensa,	লাইসেস,	লাইসেন্স,	
angshograhon,	অংশগ্রহণ,	অংশগ্রহন,	
gori,	গরী,	গোরি,	
granthe,	গ্রন্থে,	গ্রন্থে,	
nirvachokder,	নির্বাচকদের,	নির্বাচকদের,	
rutina,	রুটিন,	রুটিন,	
ottacharer,	অত্যাচারের,	অত্যাচারের,	
parshwey,	পার্সে,	পার্শ্বে,	
ajeempoor,	আজিমপুর,	আজিমপুর,	
gejetade,	গেজেটাদে,	গেজেটেড,	
chhatroraai,	ছাত্রাই,	ছাত্ররাই,	
diyares,	ডায়াযারিজ,	ডিআরএস,	
choudhurio,	চৌধুরিও,	চৌধুরীও,	
noveel,	নভেল,	নভেল,	
khelechen,	খেলেছেন,	খেলেছেন,	
tyuner,	টিউনের,	টিউনার,	
average,	অ্যাভারেজ,	এভারেজ,	
mosjidti,	মস্যিদটি,	মসজিদটি,	
resorte,	রিসর্তে,	রিসোর্টে,	
angurer,	অঙ্গুরের,	আঙ্গুরের,	
juktorastrosoho,	যুক্তরাস্তুর্ষ,	যুক্তরাষ্ট্রসহ,	
jatiinke,	জাতিনকে,	যতীনকে,	
somabeshti,	সমবেবষেটি,	সমাবেশটি,	
karlei,	কারলেই,	করলেই,	
amorendro,	অমরেন্দ্র,	অমরেন্দ্র,	
beekaargrasto,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
baasate,	বাসাতে,	বাসাতে,	
phutonta,	ফুটন্ট,	ফুটন্ত,	
sloker,	স্লোকের,	শ্লোকের,	
uindoos,	উইন্ডোস,	উইন্ডোস,	
prokolpeo,	প্রকল্পেও,	প্রকল্পেও,	
naobihar,	নৌবিহার,	নৌবিহার,	
paddhatiteo,	পদ্ধতিতেও,	পদ্ধতিতেই,	
cheelona,	চিলনা,	ছিলনা,	
valobasake,	ভালোবাসাকে,	ভালোবাসাকে,	
gandogol,	গণ্ডগোল,	গন্ডগোল,	
dhyanastha,	ধ্যানাস্থ,	ধ্যানস্থ,	
township,	তানশিপ,	টাউনশিপ,	
thesiser,	থেসিসের,	থিসিসের,	
phiqsim,	ফিকিস,	ফিক্সিং,	
vince,	ভিঞ্স,	ভিন্স,	
sikhar,	শিখার,	শিকার,	
phoxkon,	ফক্কোষণ,	ফক্সকন,	
kadam,	কাদাম,	কদম,	
phund,	ফাণ্ড,	ফান্ড,	
pattern,	পাটার্ন,	প্যাটার্ন,	
odoore,	অদূরে,	অদুরে,	
changee,	চেঙ্গি,	চেঞ্জ,	
bon,	বন,	বন,	
strigon,	স্ত্রীগণ,	স্ত্রীগণ,	
orunima,	অরুনিমা,	অরুণিমা,	
gronthotyke,	গ্রন্থিতিকে,	গ্রন্থটিকে,	
faad,	ফাঁদ,	ফুড,	
saahosikotar,	সাহিস্বতাক,	সাহসিকতার,	
diyi,	ডিই,	দিই,	
rephlex,	রাফলক্স,	রিফ্লেক্স,	
golakriti,	গোলাকৃতি,	গোলাকৃতি,	
thyachara,	থ্যাচার,	থ্যাচার,	
tikta,	তীকটা,	তিক্ত,	
durgondho,	দুর্গোন্ধ,	দুর্গন্ধ,	
venice,	ভেনিকে,	ভেনিস,	
hypar,	হাইপার,	হাইপার,	
subader,	সুবাদের,	সুবাদে,	
poripake,	পরিপাকে,	পরিপাকে,	
jonser,	জন্সের,	জোন্সের,	
natshi,	নাটসি,	নাত্সি,	
arop,	আরোপ,	আরোপ,	
poorohitder,	পুরিহতদদের,	পুরোহিতদের,	
nogonyo,	নগন্য,	নগণ্য,	
dosheeder,	দশীদের,	দোষীদের,	
taffsher,	তাফসের,	তাফসীর,	
diana,	ডিয়ান,	ডায়না,	
coolin,	কোলিন,	কুলিং,	
messenjer,	মেসেঞ্জের,	মেসেঞ্জার,	
mozlish,	মজলিস,	মজলিশ,	
charukala,	চারুকাল,	চারুকলা,	
modhyekar,	মধ্যাকার,	মধ্যেকার,	
kyantana,	ক্যান্টান,	ক্যান্টন,	
oitijhyo,	ঐতিহ্য,	ঐতিহ্য,	
idipasha,	এডিপাস,	ইডিপাস,	
kyapasula,	ক্যাপসলুলার,	ক্যাপসুল,	
asif,	আসিফ,	আসিফ,	
lagchhe,	লাগছে,	লাগছে,	
hiushtoner,	হাইস্টানের,	হিউস্টনের,	
taresa,	তারেস,	টেরেসা,	
ovarviu,	অভারভভিয়,	ওভারভিউ,	
oitihye,	ঐতিহ্যে,	ঐতিহ্যে,	
pachchi,	পাচ্ছি,	পাচ্ছি,	
leta,	লত,	ল্যাটা,	
bhuushito,	ভূষিত,	ভূষিত,	
shaaroker,	সারকের,	স্মারকের,	
bizit,	বিজিত,	বিজিত,	
keraam,	কেরাম,	কেরাম,	
osontos,	অসন্তস,	অসন্তোষ,	
mohasova,	মহাসভা,	মহাসভা,	
yak,	যা,	ইয়াক,	
mandondo,	মণ্ডন্দ,	মানদণ্ড,	
barder,	বর্ডের,	বার্ডের,	
neerbahe,	নির্বাহে,	নির্বাহে,	
anchalei,	আঞ্চালেই,	অঞ্চলেই,	
ucchosito,	উচ্চশিষিত,	উচ্ছসিত,	
plak,	প্লক,	প্ল্যাক,	
khargoser,	খার্গসের,	খরগোসের,	
shasonkarta,	শাসনকর্তা,	শাসনকর্তা,	
naaji,	নাজি,	নাত্সি,	
definisian,	ডেফিফিয়ানিস,	ডেফিনেশন,	
orthanitir,	অর্থনীতির,	অর্থনীতির,	
vromonkaley,	ভ্রমণকালে,	ভ্রমণকালে,	
birder,	বীর্ডের,	বার্ডের,	
sarsa,	সর্ষ,	সোর্স,	
surarop,	সুরারপুপ,	সুরারোপ,	
ishpredshheet,	ইসপ্রেসদিত,	স্প্রেডশীট,	
soros,	সরস,	সরস,	
torokareer,	তরকারীর,	তরকারীর,	
eenameel,	ইনামেল,	এনামেল,	
necker,	নেকার,	নেকের,	
teyt,	টেট,	টেট,	
sonali,	সোনালি,	সোনালী,	
gyandaas,	গ্যান্ডাস,	জ্ঞানদাস,	
gaddafi,	গাদ্যাফি,	গাদ্দাফী,	
chalochchitraeeo,	চলচিত্রেও,	চলচ্চিত্রেও,	
taale,	তালে,	তালে,	
obhishangsan,	অভিশংসন,	অভিশংসন,	
ganokantha,	গণকণ্ঠ,	গণকণ্ঠ,	
mookhomandol,	মুখমন্ডল,	মুখমণ্ডল,	
melborne,	মেলবর্ন,	মেলবোর্নে,	
wul,	উল,	উল,	
bbiswash,	বিশ্বাস,	বিশ্বাস,	
netarao,	নেতারাও,	নেতারাও,	
bosano,	বসন,	বসানো,	
vaphara,	ভাফার,	বাফার,	
lyaand,	ল্যান্ড,	ল্যান্ড,	
nutoner,	নতুনের,	নূতনের,	
jojyata,	যোজ্যতা,	যোজ্যতা,	
vugol,	ভুগোল,	ভূগোল,	
peeri,	পেরি,	পেরি,	
obiyi,	অবিই,	ওবিই,	
vumija,	ভূমিজা,	ভূমিজ,	
maail,	মেল,	মাইল,	
faltir,	ফলটির,	ফলটির,	
asiph,	আসিফ,	আসিফ,	
inastyanta,	ইনস্টায়েন্ট,	ইনস্ট্যান্ট,	
monmoth,	মনমথথ,	মন্মথ,	
mele,	মেলে,	মাইল,	
sahajlabhbhotar,	সহজোহল্ভতাব,	সহজলভ্যতার,	
phanda,	ফণ্ড,	ফান্ড,	
janagananar,	জনগণনার,	জনগণনার,	
prosadhoner,	প্রসাধধনের,	প্রসাধনের,	
xpresion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
sachetanatamulok,	শচেতনামূলক,	সচেতনতামূলক,	
zeebonnogor,	জীবনবগঞ্তর,	জীবননগর,	
ghosito,	ঘষিত,	ঘোষিত,	
aashtikota,	আস্তিকতা,	আস্তিকতা,	
yuk,	ইউক,	ইয়াক,	
dhache,	ঢাচে,	ধাঁচে,	
daackticket,	ডাক্িিকেট,	ডাকটিকিট,	
sahozlabhbhotar,	সহজোহল্ভবার,	সহজলভ্যতার,	
ancholsoho,	অঞ্চলসহ,	অঞ্চলসহ,	
durgandher,	দুর্গন্ধের,	দুর্গন্ধের,	
jonmato,	জন্মাত,	জন্মাত,	
krishenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
aembed,	আমবেদ,	এম্বেড,	
euro,	ইউরো,	ইউরো,	
jesthatar,	জেষ্ঠাতার,	জ্যেষ্ঠতার,	
durgotshob,	দুর্ঘট্বব,	দুর্গোৎসব,	
bhenis,	ভেনিস,	ভেনিস,	
kiibord,	কাইবর্ড,	কীবোর্ড,	
qor,	কোর,	কর,	
chaiten,	চাইতেন,	চাইতেন,	
kanagulo,	কানাগুলো,	কণাগুলো,	
chhatto,	ছত্ত,	ছোট্ট,	
shabnam,	শাবনাম,	শবনম,	
deeliveer,	ডিলিভির,	ডেলিভার,	
suri,	সুরি,	সুরি,	
militarite,	মিলিটারিতে,	মিলিটারিতে,	
chirokumari,	চিরকমাচারী,	চিরকুমারী,	
rahee,	রহি,	রাহী,	
brake,	ব্রাকে,	ব্রেক,	
saarbharer,	সার্বরের,	সার্ভারের,	
sunagarik,	সুনাগরিক,	সুনাগরিক,	
maudelgulo,	মদেলেলগুলো,	মডেলগুলো,	
rajtantrake,	রাজনত্ত্রকে,	রাজতন্ত্রকে,	
uporitoler,	উপরিতলের,	উপরিতলের,	
jounotar,	যৌনতার,	যৌনতার,	
korimke,	করিমকে,	করিমকে,	
chheelona,	ছিলননা,	ছিলনা,	
kishti,	কিষ্টি,	কিস্তি,	
ajeej,	আজিজ,	আজিজ,	
madhuri,	মধুরি,	মাধুরী,	
antarbhutto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
bhumija,	ভূমিজা,	ভূমিজ,	
bholapuqa,	ভোলাপুকা,	ভোলাপুক,	
abhishangsan,	অভিশংসন,	অভিশংসন,	
parishkaron,	পরিস্কারণ,	পরিষ্করণ,	
lokhindorer,	লো্িিখন্ডার,	লখিন্দরের,	
aamor,	আমর,	আমর,	
addhattik,	আধ্যাত্বিক,	আধ্যাত্মিক,	
byabaharkari,	ব্যবহারকারী,	ব্যবহারকারী,	
abasarer,	অবসারের,	অবসরের,	
primoo,	প্রিম,	প্রিমো,	
bheenama,	ভিনাম,	ভেনম,	
onurbor,	অনুর্বর,	অনুর্বর,	
onchalgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
bibhinno,	বিভিন্ন,	বিভন্ন,	
digree,	ডিগ্রী,	ডিগ্রি,	
phiksim,	ফিক্সিম,	ফিক্সিং,	
deenes,	ডানেস,	দীনেশ,	
aper,	অপের,	আপের,	
godamjat,	গদামযাত,	গুদামজাত,	
jomanor,	জমানোর,	জমানোর,	
udichi,	উদিচী,	উদীচী,	
nebhatey,	নেভাতে,	নেভাতে,	
iyanki,	এয়ানকি,	ইয়াংকি,	
bhimsen,	ভিমসেন,	ভীমসেন,	
chalta,	চলত,	চালতা,	
iksaprishana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
aairis,	আইরিশ,	আইরিস,	
kommppito,	কম্পিট,	কম্পিত,	
shfingtar,	সিফিন্টার,	স্ফিংটার,	
debug,	দেবুগ,	ডিবাগ,	
lambate,	লম্ববতে,	লম্বাটে,	
gudamjaato,	গুদমযাজ্ত,	গুদামজাত,	
lumbinee,	লুমবিনী,	লুম্বিনী,	
ched,	চেড,	ছেদ,	
bhushi,	ভুষি,	ভুষি,	
langhaner,	লঙ্ঘনের,	লংঘনের,	
konphlict,	কনফিল্ট,	কনফ্লিক্ট,	
barbaadoj,	বার্বাড,	বার্বাডোজ,	
goojober,	গুজবের,	গুজবের,	
thechar,	ঠেচার,	থ্যাচার,	
laiseensim,	লাইসেসিং,	লাইসেন্সিং,	
dharai,	ধরাই,	ধারাই,	
shten,	স্টেন,	স্টেন,	
riphleksha,	রাইফেল্সা,	রিফ্লেক্স,	
sperm,	স্পার্ম,	স্পার্ম,	
aachhis,	আচিশ,	আছিস,	
areek,	এরিক,	আরিক,	
motabolambira,	মতাবামম্বীর,	মতাবলম্বীরা,	
yuq,	ইউক,	ইয়াক,	
toroonra,	তরবণা,	তরুণরা,	
valobasakey,	ভালোবাসাকে,	ভালোবাসাকে,	
ashammatite,	আসাম্মিতিতে,	অসম্মতি,	
dologuloo,	দলগুলো,	দলগুলোও,	
wenice,	উইনিই,	ভেনিস,	
teknokryat,	টেকনোক্রিয়া,	টেকনোক্র্যাট,	
capsul,	কাযাসুল,	ক্যাপসুল,	
quary,	কাউরি,	কোয়েরি,	
chhilonaa,	ছিলননা,	ছিলনা,	
spashtatai,	স্পষ্টটাই,	স্পষ্টতই,	
beatleser,	বিটলসের,	বিটলসের,	
mach,	মা,	মাছ,	
kaleo,	কালেও,	কালেও,	
amarica,	অ্যামারিকা,	আমেরিকা,	
shoshoa,	শস্য,	শশা,	
elakatey,	এলাকাতে,	এলাকাতে,	
mosjidsoho,	মসজিদসহ,	মসজিদসহ,	
karecha,	করেছ,	করেছ,	
meghnabodh,	মেঘনাবোধ,	মেঘনাদবধ,	
astheesandhi,	অস্থিসন্ধ্বী,	অস্থিসন্ধি,	
probhuder,	প্রভূদের,	প্রভুদের,	
bunot,	বুনত,	বুনট,	
oshthad,	অস্থাদ,	ওস্তাদ,	
ispredshiit,	ইসপ্রেসদি,	স্প্রেডশীট,	
baasaate,	বাসাতে,	বাসাতে,	
pothon,	পথন,	পঠন,	
gandharir,	গান্ধারীর,	গান্ধারীর,	
bisshasi,	বিশ্বাসী,	বিশ্বাসী,	
vor,	ভোর,	ভর,	
sarollo,	সরল্ল,	সারল্য,	
ganohatyar,	গণহহ্যতার,	গণহত্যার,	
sorajur,	সরাজুর,	সরযূর,	
ganohotyake,	গণহত্যাকে,	গণহত্যাকে,	
tunaita,	টুনাইত,	টুনাইট,	
horiner,	হরিনের,	হরিণের,	
indrani,	ইন্দ্রানী,	ইন্দ্রাণী,	
spredashiita,	স্প্রেদশিিত,	স্প্রেডশীট,	
shpreadshheet,	স্প্রেসিড,	স্প্রেডশীট,	
maaktoome,	মক্তমে,	মাকতুম,	
footbalarder,	ফুটবললদের,	ফুটবলারদের,	
parqa,	পার্ক,	পার্ক,	
safiin,	সাফিন,	সাফিন,	
purbanchaler,	পূর্বাঞ্চলের,	পূর্বাঞ্চলের,	
deepei,	ডিপেই,	দ্বীপেই,	
hights,	হাইটস,	হাইটস,	
sakshatkarer,	সাক্ষাৎকারের,	সাক্ষাত্কারের,	
ispreedshit,	ইসপ্রেসিড,	স্প্রেডশীট,	
nodnadir,	নন্দাদীর,	নদনদীর,	
prakalpao,	প্রকল্পও,	প্রকল্পও,	
laaishensh,	লাইন্স,	লাইসেন্স,	
ejenda,	এজেন্দ,	এজেন্ডা,	
jaki,	জাকি,	জকি,	
niketan,	নিকেতন,	নিকেতন,	
baipass,	বাইপ্যাস,	বাইপাস,	
prasadhoner,	প্রসাধনের,	প্রসাধনের,	
bhaandar,	ভান্ডার,	ভাণ্ডার,	
parkasa,	পার্কস,	পার্কস,	
uroor,	উরুর,	উরুর,	
khele,	খেলে,	খেলে,	
nutan,	নূটন,	নূতন,	
nirapottamulok,	নিরাপত্মপুলক,	নিরাপত্তামূলক,	
rekhapat,	রেখাপাত,	রেখাপাত,	
brail,	ব্রেইল,	ব্রেইল,	
vaabna,	ভাবনা,	ভাবনা,	
qarpeta,	কর্পেট,	কার্পেট,	
jhalkathy,	ঝালকাঠি,	ঝালকাঠী,	
skyirt,	স্কার্ট,	স্কার্ট,	
protista,	প্রতিষ্টা,	প্রতিষ্টা,	
krisenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
naarsaari,	নার্সারী,	নার্সারি,	
guzon,	গুজন,	গুজব,	
jahar,	জাহা,	জহর,	
scall,	স্কেল,	এসকল,	
salmaner,	সলমানের,	সালমানের,	
elakatikay,	এলাকািিকে,	এলাকাটিকে,	
muscut,	মাসকাট,	মাস্কাট,	
porijoner,	পরিজনের,	পরিজনের,	
palkee,	পাক্ি,	পাল্কি,	
avishangson,	অভিশংসন,	অভিশংসন,	
heavy,	হেভি,	হেভি,	
sheo,	শিও,	সেও,	
sheekar,	শিবার,	শিকার,	
bamnii,	বামনী,	বামনী,	
manushsaho,	মননসহসহ,	মানুষসহ,	
kuary,	কাউরি,	কোয়েরি,	
horidbar,	হরিদবর,	হরিদ্বার,	
zohns,	জনস,	জন্স,	
horir,	হরির,	হরির,	
muhammod,	মুহাম্মদ,	মুহম্মদ,	
aansaarir,	আনসারির,	আনসারীর,	
highcommissioney,	হাইকোমিশনে,	হাইকমিশনে,	
tobe,	তবে,	টবে,	
edaning,	এডনিং,	ইদানিং,	
charjara,	চর্জারা,	চার্জার,	
deputee,	দিপুি,	ডেপুটি,	
octane,	অ্যাটনে,	অকটেন,	
shcholarshhip,	স্কলাশির্প,	স্কলারশিপ,	
jaaluk,	জালুক,	জ্বলুক,	
bang,	বং,	ব্যাং,	
kada,	কাডা,	কোডা,	
pathanirdeshana,	পাথিির্দেশনা,	পথনির্দেশনা,	
dana,	ডানা,	ডায়না,	
korkotkraanti,	কর্কত্রন্তী,	কর্কটক্রান্তি,	
jakkho,	যক্ষ,	যক্ষ,	
matrirup,	মাতৃর্ূপ,	মাতৃরূপ,	
rajbondir,	রাজবন্দির,	রাজবন্দীর,	
bulano,	বুলনো,	বুলান,	
aachees,	আচিশ,	আছিস,	
choity,	চৈতি,	চৈতি,	
satarkotar,	সতারকতার,	সতর্কতার,	
morodeho,	মরদদেহ,	মরদেহ,	
olpoi,	অল্পই,	অল্পই,	
sobche,	সবচে,	সবচে,	
cholochchitreo,	চলচিত্রেও,	চলচ্চিত্রেও,	
nazi,	নাজি,	নাত্সি,	
nesons,	নেসনস,	নেশনস,	
baikalya,	বাইকল্য,	বৈকল্য,	
sikkhagata,	শিক্ষাগত,	শিক্ষাগত,	
raagee,	রাগি,	রাগী,	
horippur,	হরিপুর,	হরিপুর,	
panchashjan,	পাঞ্চাশ্যান,	পঞ্চাশজন,	
ganachin,	গানাছিন,	গণচীন,	
cholochchitrotike,	চলচ্চিত্রিকে,	চলচ্চিত্রটিকে,	
ashe,	আশে,	আসে,	
ispreedshiit,	ইসপ্রেসিদ,	স্প্রেডশীট,	
kayartara,	কায়ার্টার,	কোয়ার্টার,	
basturyi,	বস্তুরী,	বস্তুরই,	
chitranattakar,	চিত্রনা্তাকর,	চিত্রনাট্যকার,	
charban,	চারবান,	চর্বন,	
quata,	কোয়াট,	কোটা,	
sothikata,	সথিকতা,	সঠিকতা,	
krej,	ক্রেজ,	ক্রেজ,	
tarunderke,	তরুন্দ্রকে,	তরুণদেরকে,	
ajeem,	আজিম,	আজিম,	
dhhaby,	ধববি,	ঢাবি,	
modeling,	মডেলিং,	মডেলিং,	
ishtone,	ইস্টোন,	স্টোন,	
probhritite,	প্রভৃতিতে,	প্রভৃতিতে,	
songbadmadhyome,	সংবাধধ্্মমে,	সংবাদমাধ্যমে,	
technocrat,	টেকনোচ্রা,	টেকনোক্র্যাট,	
bishshaashi,	বিশ্বাসী,	বিশ্বাসই,	
soource,	সার্স,	সোর্স,	
protizogii,	প্রতিযোগই,	প্রতিযোগী,	
footbalarer,	ফুটবলারের,	ফুটবলারের,	
chalochchitrake,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
vejaano,	ভেজানো,	ভেজানো,	
karu,	কারু,	কারো,	
mangalik,	মাঙ্গালিক,	মাঙ্গলিক,	
bafal,	বাফাল,	বিফল,	
corporation,	কর্পোরেশন,	করপোরেশন,	
nirarthak,	নিরার্থক,	নিরর্থক,	
udbodhoner,	উদ্বোধনের,	উদ্বোধনের,	
haze,	হাজ,	হেজ,	
prastutkarok,	প্রস্তুতাকুরক,	প্রস্তুতকারক,	
moqam,	মোকাম,	মোকাম,	
moshzidtike,	মোশজিদ্তিকে,	মসজিদটিকে,	
inafarameshana,	ইনফারমেশন,	ইনফরমেশন,	
sow,	স,	শো,	
dei,	দেই,	দিই,	
patjat,	পাজজাত,	পাটজাত,	
palteche,	পালটেছে,	পাল্টেছে,	
heerani,	হিরণি,	হিরানি,	
phiksha,	ফিক্স,	ফিক্স,	
kathmandute,	কাঠমান্ডতে,	কাঠমান্ডুতে,	
korimkey,	করিমকে,	করিমকে,	
guzob,	গুজব,	গুজব,	
abhiyojan,	অভিযোজন,	অভিযোজন,	
karmake,	কর্মকে,	কর্মকে,	
bihare,	বিহারে,	বিহারে,	
bopon,	বপন,	বপন,	
orbeet,	অর্বিত,	অরবিট,	
garden,	গর্ডেন,	গার্ডেন,	
deool,	দিওল,	দেউল,	
salmaaner,	সালামানের,	সালমানের,	
koyartara,	কোয়ার্টার,	কোয়ার্টার,	
byaran,	ব্যারান,	ব্যারন,	
bohudin,	বহুদিন,	বহুদিন,	
weelcomee,	উয়েলকমি,	ওয়েলকাম,	
daul,	ডওল,	দেউল,	
hilser,	হিলার,	হিলসের,	
akbakke,	একবাক্যে,	একবাক্যে,	
dhaloor,	ঢলুর,	ঢালুর,	
kanuner,	কানুনের,	কানুনের,	
garner,	গর্নের,	গার্নার,	
sina,	সিন,	সিনা,	
gemi,	গেমি,	জেমি,	
mukhamandol,	মুখমন্ডল,	মুখমণ্ডল,	
