vushi,	ভূষি,	ভুষি,	
makhmale,	মাখমালে,	মখমলে,	
arshie,	অর্সি,	আরসিএ,	
rautine,	রাউটিন,	রুটিন,	
surokarder,	সূরকদারের,	সুরকারদের,	
nickeel,	নিকিল,	নিকেল,	
phokshkon,	ফক্সকন,	ফক্সকন,	
ganohotyar,	গণহত্যার,	গণহত্যার,	
naitikbhabey,	নৈতিকভাবে,	নৈতিকভাবে,	
jaubanbati,	যৌনবাটি,	যৌবনবতী,	
twakei,	ত্বাকেই,	ত্বকেই,	
aameenar,	আমিনার,	আমিনার,	
betsman,	বেটসম্যান,	ব্যাটসম্যান,	
emarjensi,	এমারজেন্সি,	এমার্জেন্সি,	
gazetted,	গেজেটেড,	গেজেটেড,	
ajouno,	অযৌন,	অযৌন,	
trup,	ট্রুপ,	ট্রুপ,	
proteemar,	প্রতিমার,	প্রতিমার,	
slok,	স্লোক,	শ্লোক,	
sone,	সনে,	সনে,	
carymb,	কারিম্ব,	করিম,	
teemothi,	তিমথি,	টিমোথি,	
bollov,	বল্লভ,	বল্লভ,	
priti,	প্রীতি,	প্রিটি,	
shource,	সার্স,	সোর্স,	
carlas,	কার্লস,	কার্লোস,	
bodhirota,	বধিরতা,	বধিরতা,	
shreeshri,	শ্রীশারি,	শ্রীশ্রী,	
seat,	সেট,	সিট,	
ejenda,	এজেন্ড,	এজেন্ডা,	
patisapta,	পতিসপ্ত,	পাটিসাপটা,	
gosthigulo,	গস্ঠীগুলো,	গোষ্ঠীগুলো,	
sikh,	শিখ,	শিখ,	
daakope,	ডাকেপে,	দাকোপ,	
sarboporee,	সর্বোপরী,	সর্বোপরী,	
eeksapreeshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
bishwashoi,	বিশ্বাসীই,	বিশ্বাসই,	
karima,	করিমা,	করিম,	
shasheja,	শাসেজ,	সসেজ,	
diphinishion,	ডিফিনিশন,	ডেফিনেশন,	
hole,	হলে,	হোল,	
sookkho,	সুক্ষ্ম,	সুক্ষ্ম,	
tintir,	তিনটির,	তিনটির,	
nirbahey,	নির্বাহে,	নির্বাহে,	
licencedhari,	লিকেস্ডারি,	লাইসেন্সধারী,	
pouchute,	পৌঁছতে,	পৌঁছুতে,	
site,	সাইট,	সিটে,	
milea,	মিলে,	মাইলে,	
priitii,	প্রীতি,	প্রিটি,	
charger,	চর্গের,	চার্জার,	
ceramicer,	স্রামিসার,	সিরামিকের,	
pravuder,	প্রভুদের,	প্রভুদের,	
shrabosti,	শ্রবস্তি,	শ্রাবস্তী,	
saabyastha,	সাব্যস্থ,	সাব্যস্থ,	
fol,	ফল,	ফল,	
laaisensh,	লাইন্স,	লাইসেন্স,	
hosne,	হোসনে,	হোসনে,	
ateetkale,	অটীতকালে,	অতীতকালে,	
gatihin,	গতিহীন,	গতিহীন,	
mousum,	মৌসুম,	মৌসুম,	
pathanirdeshona,	পথনির্দেশনা,	পথনির্দেশনা,	
besirbhagei,	বেশীরভাগেই,	বেশিরভাগেই,	
muhurtati,	মুহুর্তাটি,	মুহুর্তটি,	
baasake,	বাসাকে,	বাসাকে,	
soorarop,	সুরাপ,	সুরারোপ,	
bachchaner,	বচ্চনের,	বচ্চনের,	
bonduk,	বন্দুক,	বন্দুক,	
debdebier,	দেবদেবীর,	দেবদেবীর,	
arekdal,	অরেকদল,	আরেকদল,	
qyanela,	ক্যানেল,	ক্যানেল,	
naazi,	নাজি,	নাত্সি,	
monu,	মনু,	মনু,	
modhyostho,	মধ্যস্থ,	মধ্যস্থ,	
ponjeekar,	পঞ্জিকার,	পঞ্জিকার,	
segulor,	সেগুলোর,	সেগুলোর,	
marodeha,	মারদেহ,	মরদেহ,	
bhowanipur,	ভবানীপুর,	ভবানীপুর,	
obosore,	অবসরে,	অবসরে,	
siropa,	শিরপা,	শিরোপা,	
badaghat,	বাদাঘাত,	বাদাঘাট,	
abhidhaneeck,	আভিধানিক,	অভিধানিক,	
porobortii,	পরবর্তী,	পরর্বতী,	
bbosontoke,	বসন্তকে,	বসন্তকে,	
prachurjer,	প্রাচুর্যের,	প্রাচুর্যের,	
overveu,	ওভার্ভিউ,	ওভারভিউ,	
folok,	ফলক,	ফলক,	
danakana,	ডানাকান,	ডানকান,	
shaajaanor,	সাজানোর,	সাজানোর,	
taims,	টাইমস,	টাইমস্,	
hajarer,	হাজারের,	হাজারের,	
ispreedshiit,	এস্পেরসিট,	স্প্রেডশীট,	
osoborno,	অসবর্ন,	অসবর্ণ,	
jaunotar,	যৌনতার,	যৌনতার,	
abhidhaanik,	আভিধানিক,	অভিধানিক,	
habu,	হাবু,	হবু,	
makong,	মকক,	মেকং,	
ancholgoolote,	আঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
eksapresana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
bodna,	বদ্না,	বদনা,	
tali,	টালি,	তালি,	
hugh,	হুগ,	হিউজ,	
baet,	ব্যাট,	বাইট,	
sosoa,	শসযযা,	শশা,	
niropeksh,	নিরোপেক্স,	নিরপেক্ষ,	
khelaphate,	খেলাফাতে,	খেলাফতে,	
beshirbhaagi,	বেশীরভাগই,	বেশিরভাগই,	
ghotol,	ঘটল,	ঘটল,	
siramiker,	শিরামীকের,	সিরামিকের,	
ray,	রে,	রায়,	
prakar,	প্রকার,	প্রকার,	
tirmiji,	তিরমিয়ী,	তিরমিজি,	
nesnosh,	নেশনস,	নেশনস,	
ishahak,	ইসহাকক,	ইসাহাক,	
bhandare,	ভান্ডারে,	ভাণ্ডারে,	
qonfliqt,	কনফলিক্ট,	কনফ্লিক্ট,	
doltyagi,	দল্্যাগী,	দলত্যাগী,	
kriseenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
zilyanda,	জিল্যান্ড,	জিল্যান্ড,	
gripa,	গ্রিপ,	গ্রিপ,	
brindabone,	ব্রিন্ডবনে,	বৃন্দাবনে,	
karmopantha,	কর্মপন্থ,	কর্মপন্থা,	
nanir,	নাীর,	নানীর,	
shoilee,	শৈলী,	শৈলী,	
chherechhe,	ছেরেছে,	ছেড়েছে,	
shikha,	শিখা,	শিখ,	
shommoteer,	সম্মতির,	সম্মতির,	
soochonakal,	সূচনাকাল,	সূচনাকাল,	
sanaktakaroner,	সনক্তকরণের,	সনাক্তকরণের,	
chamoski,	চামক্ষি,	চমস্কি,	
ikbalke,	একবলকে,	ইকবালকে,	
quata,	কোয়াট,	কোটা,	
postay,	পোস্টে,	পোষ্টে,	
nottee,	নটটি,	নোটটি,	
kada,	কাড,	কোডা,	
shuperheiro,	সুপারহাইর,	সুপারহিরো,	
domonmulok,	দনমনূলক,	দমনমূলক,	
byaboharkareederke,	ব্যবহারকারিদেরকে,	ব্যবহারকারীদেরকে,	
poscate,	পশ্চাতে,	পশ্চাতে,	
keengdom,	কিংগদ,	কিংডম,	
pravritir,	প্রভৃতির,	প্রভৃতির,	
bhenisha,	ভেনিস,	ভেনিস,	
chiraharit,	চিরাহিত,	চিরহরিৎ,	
shuknaa,	শুক্না,	শুকনা,	
utsahomulak,	উৎসাসমূলক,	উৎসাহমূলক,	
honduras,	হন্দুরাস,	হন্ডুরাস,	
bait,	বেট,	বাইট,	
paite,	পাইে,	পাইতে,	
loha,	লোহা,	লোহা,	
tuku,	টুকু,	টুকু,	
bosante,	বসন্তে,	বসন্তে,	
barron,	বারণ,	ব্যারন,	
patjat,	পাতজাত,	পাটজাত,	
musalmanyi,	মুসলম্নি,	মুসলমানই,	
rajtantra,	রাজতান্ত্র,	রাজতন্ত্র,	
vandare,	ভান্ডারে,	ভাণ্ডারে,	
notti,	নটটি,	নোটটি,	
gelo,	গেলো,	গেলো,	
hizrii,	হিজরি,	হিজরী,	
konagoolo,	কোনাগুলো,	কণাগুলো,	
shikkhakbrinda,	শিক্ষাবা্দিন্ড,	শিক্ষকবৃন্দ,	
sheekare,	শিকারে,	শিকারে,	
bohudin,	বহুদিন,	বহুদিন,	
shikshakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
bodhirta,	বধির্ত,	বধিরতা,	
qraima,	ক্রাম,	ক্রাইম,	
durgo,	দূর্গ,	দুর্গ,	
nisader,	নিষাদের,	নিষাদের,	
gitikobitar,	জীতিকাবিতার,	গীতিকবিতার,	
ponera,	পোনেরা,	পনের,	
purbancole,	পূর্বাঞ্চলে,	পূর্বাঞ্চলে,	
pakhirai,	পাখিরাই,	পাখিরাই,	
venish,	ভেনিস,	ভেনিস,	
sollalaho,	সল্লালাহ,	সল্লাল্লাহু,	
chess,	চেষ,	চেস,	
par,	পার,	পাব,	
tulechen,	তুলেছেন,	তুলেছেন,	
annarup,	অন্নরূপ,	অন্যরূপ,	
musalmanderkey,	মুসলমন্ডেরকে,	মুসলমানদেরকে,	
safalyer,	সফলের,	সাফল্যের,	
dhyanostho,	ধ্বনস্থ,	ধ্যানস্থ,	
bhenuser,	ভেনাজের,	ভেনাসের,	
dhyanastho,	ধ্যানস্থ,	ধ্যানস্থ,	
seet,	সেট,	সিট,	
saazano,	সাজান,	সাজানো,	
alubokhara,	অলুবক্ষর,	আলুবোখারা,	
oitijjhe,	ঐটিহ্যে,	ঐতিহ্যে,	
kathmandu,	কাঠান্দু,	কাঠমান্ডু,	
dephinition,	ডেফিনিশন,	ডেফিনেশন,	
ispredsiit,	স্পেসপ্রেড,	স্প্রেডশীট,	
stationer,	স্টেশনের,	ষ্টেশনের,	
thimke,	থিমকে,	থিমকে,	
aabarto,	আবর্ত,	আবর্ত,	
gajipur,	গজীপুর,	গাজীপুর,	
sektara,	সেক্টার,	সেক্টর,	
ghoomachhilo,	ঘুমাছিল,	ঘুমাচ্ছিল,	
biharey,	বিহারে,	বিহারে,	
dei,	দেই,	দিই,	
sepha,	সেফ,	শেফ,	
emeritus,	এমেরিটাস,	এমিরেটাস,	
ovidhaner,	অভিধানের,	অভিধানের,	
haridware,	হরিদ্বারে,	হরিদ্বারে,	
americar,	অ্যামিরিকার,	আমেরিকার,	
atmabiswasi,	আত্মশ্বাসী,	আত্মবিশ্বাসী,	
boikollyo,	বৈকল্য,	বৈকল্য,	
baikalya,	বৈকল্য,	বৈকল্য,	
ghoor,	ঘুর,	ঘুর,	
phoxkon,	ফক্কন,	ফক্সকন,	
jerakam,	জেরকম,	যেরকম,	
chalachchitrogulor,	চলচ্চিত্রগুলোর,	চলচ্চিত্রগুলোর,	
mmesenjarer,	মেশজন্জারের,	মেসেঞ্জারের,	
sosa,	সসা,	শশা,	
shrimati,	শ্রীমতি,	শ্রীমতি,	
lainde,	লাইন্ডে,	ল্যান্ডে,	
damodar,	দামোদার,	দামদর,	
hyaloyin,	হ্যালোইন,	হ্যালোইন,	
chhooteete,	ছুটিতে,	ছুটিতে,	
barakpur,	ব্যারাপুর,	বারাকপুর,	
mascat,	মাসকাট,	মাস্কাট,	
gononanatyo,	গণনাাত্য,	গণনাট্য,	
shelina,	সেলিন,	সেলিনা,	
tonight,	টনিঘট,	টুনাইট,	
paade,	পাদে,	পাড়ে,	
ajeeboner,	অজিবেনের,	আজীবনের,	
shkalastic,	স্কালাস্টিক,	স্কলাস্টিক,	
neurooloogy,	নিউরোলজি,	নিউরোলজি,	
horidar,	হরিদার,	হরিদ্বার,	
debagg,	দেবাগ,	ডিবাগ,	
bhaibonder,	ভাইবন্দের,	ভাইবোনদের,	
neerbachoker,	নির্বাচকের,	নির্বাচকের,	
indraa,	এন্ড্রা,	ইন্দ্র,	
janoganonar,	জনগণনার,	জনগণনার,	
nothibhukta,	নথিভূক্ত,	নথিভুক্ত,	
karlo,	করলো,	কার্লো,	
chenza,	চেঞ্জ,	চেঞ্জ,	
kaande,	কান্ডে,	কাণ্ডে,	
scall,	স্কল,	এসকল,	
raunanganey,	রওনাঙ্গণে,	রণাঙ্গনে,	
muhammadi,	মুহাম্মাদী,	মুহাম্মদী,	
bikargrosto,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
muhammada,	মুহাম্মাদা,	মুহাম্মদ,	
treevuj,	ত্রিভুজ,	ত্রিভূজ,	
harisher,	হরিশের,	হ্যারিসের,	
karadonde,	কারাদন্ডে,	কারাদণ্ডে,	
bibader,	বিবাদের,	বিবাদের,	
joisttho,	জৈষ্ঠ্য,	জ্যৈষ্ঠ,	
abdoone,	আবদুনে,	আবদুন,	
soorsa,	সোর্স,	সোর্স,	
eenameel,	এনামেল,	এনামেল,	
bronje,	ব্রঞ্জ,	ব্রোঞ্জ,	
sovanetri,	সোভেন্ট্রি,	সভানেত্রী,	
rubidium,	রুবিডিয়াম,	রুবিডিয়াম,	
nilphamarir,	নিলফামারীর,	নীলফামারীর,	
orthanitite,	অর্থনীতিতে,	অর্থনীতিতে,	
ahalyar,	অহল্যার,	অহল্যার,	
skolarseep,	স্কলারশিপ,	স্কলারশিপ,	
bedke,	বেদকে,	বেদকে,	
nodnadeer,	নদনাদির,	নদনদীর,	
prashikkhane,	প্রশিক্ষণে,	প্রশিক্ষণে,	
obie,	অবি,	ওবিই,	
songkoloner,	সংকলনের,	সংকলনের,	
playto,	প্লেট,	প্লেটো,	
chikitsar,	চিকিৎসার,	চিকিত্সার,	
romnar,	রম্নার,	রমনার,	
saahosikotar,	সাসসিকতার,	সাহসিকতার,	
prastutkarok,	প্রস্তুতারকা,	প্রস্তুতকারক,	
ghatiti,	ঘটিটি,	ঘাঁটিটি,	
khude,	খুঁদে,	ক্ষুদে,	
maroofer,	মারুফের,	মারুফের,	
durgoto,	দুর্গত,	দূর্গত,	
votar,	ভোটার,	ভোটার,	
proteestha,	প্রতিষ্ঠা,	প্রতিষ্টা,	
kadorer,	কাদরের,	কদরের,	
ancholke,	আঞ্চলকে,	অঞ্চলকে,	
phastara,	ফোস্টার,	ফস্টার,	
abahon,	আবাহন,	আবাহন,	
tukroti,	টুকরতি,	টুকরোটি,	
parqim,	পার্কিং,	পার্কিং,	
aaireshe,	আইরেশে,	আইরেসে,	
gadhaa,	গাধা,	গাধা,	
korush,	কররাশ,	ক্রুশ,	
tigre,	টিগ্রে,	টাইগার,	
nabyota,	নব্যতা,	নাব্যতা,	
meyiler,	মেলের,	মেইলের,	
horus,	হররাস,	হোরাস,	
iyaka,	ইয়ক,	ইয়াক,	
byaboharkari,	ব্যবহারকারি,	ব্যবহারকারী,	
format,	ফরমেট,	ফরম্যাট,	
imarjinsi,	এমারজিন্সি,	এমার্জেন্সি,	
soasage,	সুসাগে,	সসেজ,	
saarbhaare,	সারভারে,	সার্ভারে,	
matorom,	মাতরম,	মাতরম,	
bharson,	ভার্সন,	ভারশন,	
gate,	গেট,	গ্যেটে,	
shobnom,	শবন্যম,	শবনম,	
sonatani,	সোনাটানি,	সনাতনী,	
shepherd,	শেফার্ড,	শেফার্ড,	
rushod,	রুশদ,	রুশদ,	
romonar,	রোমনার,	রমনার,	
cool,	কোল,	কুল,	
nikot,	নিকট,	নিকট,	
gunje,	গুঞ্জে,	গুঁজে,	
firoze,	ফিরোজ,	ফিরোজ,	
janamukhi,	জনমুখী,	জনমুখী,	
skolarsip,	স্কলারশিপ,	স্কলারশিপ,	
ongshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
kushoomba,	কুশ্ম্ব,	কুশুম্বা,	
mulaadi,	মুলাদি,	মুলাদি,	
samoshti,	সমস্তি,	সমষ্টি,	
sukkhma,	সূক্ষ্ম,	সুক্ষ্ম,	
sadbi,	সদবী,	সাধ্বী,	
birishirite,	বিরিষিতে,	বিরিশিরিতে,	
cholochchitrei,	চলচিত্রেই,	চলচ্চিত্রেই,	
rudrer,	রুদ্রের,	রুদ্রের,	
veenis,	ভিনিস,	ভেনিস,	
dhonyi,	ধনই,	ধন্যি,	
asociates,	অসয়েসিটেস,	এসোসিয়েটস,	
kaptai,	কপ্টটি,	কাপ্তাই,	
sampadonkari,	সম্পাদনকারী,	সম্পাদনকারী,	
lyaanding,	ল্যান্ডিং,	ল্যান্ডিং,	
upobasee,	উপবাসী,	উপবাসী,	
seekkharthirao,	শিক্ষার্থীরও,	শিক্ষার্থীরাও,	
nek,	নেক,	নেক,	
joqy,	জোকি,	জকি,	
emgee,	এমগি,	এমজি,	
kona,	কোন,	কোনা,	
superhero,	সুপেরহার,	সুপারহিরো,	
senabahinike,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
laaishesh,	লাইসেস,	লাইসেন্স,	
aairis,	আইরিশ,	আইরিস,	
seekkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
nischoy,	নিশ্চি,	নিশ্চয়,	
jar,	যার,	জ্বর,	
karloosa,	কার্লস,	কার্লোস,	
jomkalo,	জমকালও,	জমকালো,	
akabar,	একাবার,	আকাবার,	
basinay,	বাসিনে,	বেসিনে,	
peterer,	পেটারের,	পিটারের,	
hoil,	হইল,	হইল,	
pratijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
lidars,	লিডার্স,	লিডার্স,	
thanvee,	থানভি,	থানভী,	
kaleo,	কলেও,	কালেও,	
besorkarikoron,	বেসরকারীকরণ,	বেসরকারিকরণ,	
definision,	ডেফিনিশন,	ডেফিনেশন,	
difinisian,	ডিফেনিশন,	ডেফিনেশন,	
premo,	প্রেম,	প্রিমো,	
silwer,	শিলভের,	সিলভার,	
surti,	সূর্তি,	সুরটি,	
shaswata,	শাসবতা,	শাশ্বত,	
choudhooreer,	চৌধুরীর,	চৌধুরীর,	
akkharke,	অক্ষরকে,	অক্ষরকে,	
sibiai,	সিবিয়ে,	সিবিআই,	
majuter,	মজুতের,	মজুতের,	
mandape,	মান্ডপে,	মন্ডপে,	
foxcon,	ফক্সন,	ফক্সকন,	
thakey,	থাকে,	থাকে,	
planeti,	প্লানেটি,	প্লেনটি,	
hisabke,	হিসাবকে,	হিসাবকে,	
qode,	কোড,	কোড,	
prasadhani,	প্রশাধানী,	প্রসাধনী,	
krisenter,	ক্রিসেন্টের,	ক্রিসেন্টের,	
hoteelti,	হটিলটি,	হোটেলটি,	
dholeshwari,	ধোলেশ্বরী,	ধলেশ্বরী,	
emarjenshi,	এমারজেন্সি,	এমার্জেন্সি,	
lampat,	লম্পাত,	লম্পট,	
ranodeep,	রণনীপ,	রণদীপ,	
vabna,	ভব্ন,	ভাবনা,	
coshon,	কোষন,	চোষণ,	
rca,	রা,	আরসিএ,	
tyuner,	টুনের,	টিউনার,	
forex,	ফরেক্স,	ফরেক্স,	
grambaasio,	গ্রামবাসিও,	গ্রামবাসীও,	
bloggerra,	ব্লগেররা,	ব্লগাররা,	
joonsa,	জনসা,	জোন্স,	
totenhaamer,	ততেহানের,	টটেনহামের,	
sovanetree,	সোভেন্ট্রে,	সভানেত্রী,	
baasaate,	বাসাতে,	বাসাতে,	
songhitar,	সংঘিতার,	সংহিতার,	
anchalei,	আঁচালেই,	অঞ্চলেই,	
macbeth,	ম্যাকেথ,	ম্যাকবেথ,	
shiropadhari,	শিরোপাধারী,	শিরোপাধারী,	
ganoparibahaner,	গণপরিবাহানের,	গণপরিবহনের,	
pratimake,	প্রতিমাকে,	প্রতিমাকে,	
ivir,	আইভির,	এভার,	
azim,	আজিম,	আজিম,	
peri,	পেযারি,	পেরি,	
nirabata,	নীরবতা,	নিরবতা,	
daul,	ডল,	দেউল,	
gaze,	গেজ,	গেজ,	
artilary,	অর্টিলারি,	আর্টিলারি,	
noitikatar,	নৈতিকতার,	নৈতিকতার,	
noren,	নরেন,	নরেন,	
janosonjog,	জনসসযোগ,	জনসংযোগ,	
kanai,	কানাই,	কানাই,	
sangkalaner,	সংকলনের,	সংকলনের,	
crescent,	ক্রেসেন্ট,	ক্রিসেন্ট,	
maladoobha,	মালাডুভ,	মলদোভা,	
shanstha,	সাস্থ,	সংস্থা,	
antarbhuttirmulok,	অন্তর্ভূতির্মূলক,	অন্তর্ভুক্তিমূলক,	
swalpa,	স্বল্প,	স্বল্প,	
faskari,	ফসসারি,	ফাঁসকারী,	
uul,	উল,	উল,	
muldhara,	মূলধররা,	মূলধারা,	
zones,	জোনস,	জোন্স,	
chalochchitreer,	চলচিত্রীর,	চলচ্চিত্রের,	
probeshkari,	প্রবেশকারী,	প্রবেশকারী,	
ghurchen,	ঘুরেছেন,	ঘুরেছেন,	
naditi,	নদীতী,	নদীটি,	
joubanbotii,	যৌনবত্তি,	যৌবনবতী,	
loukeekota,	লৌকিকতা,	লৌকিকতা,	
ranangane,	রণাঙ্গনে,	রণাঙ্গনে,	
uddhrita,	উদ্ধিত,	উদ্ধৃত,	
dharabhiko,	ধারাভিক,	ধারাবাহিকেও,	
jamanor,	জমানোর,	জমানোর,	
mojlishpur,	মজ্জিশপুর,	মজলিশপুর,	
vobani,	ভবনী,	ভবানী,	
iyanki,	ইয়ানকি,	ইয়াংকি,	
matrirup,	মাতৃরূপ,	মাতৃরূপ,	
abotar,	অবতার,	অবতার,	
nischitabhave,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
nothivukteer,	নথিভুক্তির,	নথিভুক্তির,	
mathews,	ম্যাথস,	ম্যাথিউস,	
suparahiro,	সুপারীহা,	সুপারহিরো,	
sahabike,	সাহাবিকে,	সাহাবীকে,	
addabaaz,	আদ্যাবাজ,	আড্ডাবাজ,	
tyunar,	টুউনার,	টিউনার,	
prokalpati,	প্রকলপাটি,	প্রকল্পটি,	
kathmandutey,	কাঠান্ডুতে,	কাঠমান্ডুতে,	
oedipush,	উদিদপুস,	ইডিপাস,	
horeener,	হরেনের,	হরিণের,	
carzer,	কার্জের,	চার্জের,	
shikhar,	শিখার,	শিকার,	
cocaine,	কোকেন,	কোকেইন,	
udichi,	উদ্দিছি,	উদীচী,	
purohitder,	পুরৌহিদ্বের,	পুরোহিতদের,	
shakara,	সাকার,	সাকার,	
korkatkranti,	কর্কট্রান্তি,	কর্কটক্রান্তি,	
siima,	সিমা,	সীমা,	
roktokshoroney,	রক্তকরণে,	রক্তক্ষরণে,	
conservetion,	কনজারভেশন,	কনসারভেশন,	
saaed,	সাইড,	সাইদ,	
kortona,	কর্তনা,	করতনা,	
mmehonoti,	মেহনোটি,	মেহনতি,	
anuchcheder,	অনুচ্ছেদের,	অনুচ্ছেদের,	
pachok,	পাচক,	পাচক,	
phiksa,	ফিক্স,	ফিক্স,	
beeswaske,	বিশ্বাসকে,	বিশ্বাসকে,	
poorohitra,	পুরহিত্রা,	পুরোহিতরা,	
nogore,	নগরে,	নগরে,	
stonahenja,	স্টোহেন্জ,	স্টোনহেঞ্জ,	
neptuner,	নিউপ্টনের,	নেপচুনের,	
rakkhanvag,	রক্ষণভাগ,	রক্ষণভাগ,	
naraphooka,	নারাফুকা,	নরফোক,	
firoza,	ফিরোজ,	ফিরোজা,	
cilahati,	চিলাহাটি,	চিলাহাটি,	
bishwasho,	বিশ্বাসও,	বিশ্বাসও,	
bondira,	বন্দিরা,	বন্দীরা,	
kolahal,	কলাহাল,	কোলাহল,	
pachhi,	পাছি,	পাচ্ছি,	
projononkal,	প্রজনক্কাল,	প্রজননকাল,	
cheenja,	চেঞ্জ,	চেঞ্জ,	
eesosiyeetasa,	এসোসিয়েটস,	এসোসিয়েটস,	
ispredsit,	এস্প্রেসিত,	স্প্রেডশীট,	
onkita,	অংকিত,	অঙ্কিতা,	
shqolastic,	স্কোলাস্টিক,	স্কলাস্টিক,	
alimpiqa,	আলিম্পিক,	অলিম্পিক,	
asar,	আসার,	আসর,	
ghursen,	ঘুরেেন,	ঘুরেছেন,	
panchashjan,	পঞ্চাশনন,	পঞ্চাশজন,	
chirkoot,	চিরকুট,	চিরকুট,	
graambasee,	গ্রামবাসী,	গ্রামবাসী,	
melborne,	মেলবোর্নে,	মেলবোর্নে,	
vool,	ভুল,	উল,	
mousumti,	মৌসমি,	মৌসুমটি,	
chotogolpe,	চটোগল্পে,	ছোটগল্পে,	
gonesher,	গণেশের,	গণেশের,	
madhobi,	মাধবী,	মাধবী,	
janapath,	জনপথ,	জনপথ,	
shomostigoto,	সমস্তিগত,	সমষ্টিগত,	
alympic,	অলিম্পিক,	অলিম্পিক,	
ingrezra,	ইংরেজরা,	ইংরেজরা,	
delibhara,	ডেলিভার,	ডেলিভার,	
dadar,	দাদার,	দাদার,	
nothivukta,	নথিভুক্ত,	নথিভুক্ত,	
sayeed,	সাইড,	সাইদ,	
juktarashtre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
pyaleshtainer,	প্যালস্টেইনের,	প্যালেস্টাইনের,	
seo,	সিও,	সেও,	
vittiteow,	ভিত্তিতেও,	ভিত্তিতেও,	
korta,	করতা,	করতা,	
ooeepoka,	ওপেকা,	উইপোকা,	
jinsha,	জিন্সা,	জিন্স,	
daacktickete,	ডাক্তিকেটে,	ডাকটিকিটে,	
dharavahikbhabe,	ধারাভিকভাবে,	ধারাবাহিকভাবে,	
ummul,	উম্মুল,	উম্মুল,	
kunntee,	কান্তি,	কুন্তী,	
sanbadmadhyamer,	সংবাধমাধ্যমের,	সংবাদমাধ্যমের,	
bhotara,	ভোটার,	ভোটার,	
prabhur,	প্রভূর,	প্রভুর,	
sithilotar,	সিথিলতার,	শিথিলতার,	
shahanara,	শাহনারা,	শাহানারা,	
treta,	ট্রেট,	ত্রেতা,	
qredita,	ক্রেডিড,	ক্রেডিট,	
economics,	ইকোনমিক্স,	ইকোনমিকস,	
jathaarthobhaabe,	যথার্থভাবে,	যথার্থভাবে,	
maley,	মালে,	মালে,	
manoharpur,	মনোহরপুর,	মনোহরপুর,	
antarctika,	অন্টার্ক্টিক,	অ্যান্টার্কটিকা,	
juboke,	যুবকে,	যুবকে,	
alexanderke,	আলেক্সানদেরকে,	আলেকজান্ডারকে,	
pudinn,	পুদিন,	পুডিং,	
qaferderke,	কাফেরেরকে,	কাফেরদেরকে,	
setan,	সেটান,	শয়তান,	
mashajida,	মাশজিদ,	মসজিদ,	
nothibhookto,	নথিভূক্ত,	নথিভুক্ত,	
bagicha,	বাগিচা,	বাগিচা,	
rudrake,	রুদ্রকে,	রুদ্রকে,	
besirbhaagi,	বেশীরভাগই,	বেশিরভাগই,	
baghdad,	বাঘ্যদ,	বাগদাদ,	
somoodrotote,	সমুদ্রতটে,	সমুদ্রতটে,	
karmakarer,	কর্মকারের,	কর্মকারের,	
aazaadeer,	আজাদীর,	আজাদীর,	
chaalkee,	চালকি,	চালকে,	
sobche,	সবছে,	সবচে,	
sunagarik,	সুনাগরিক,	সুনাগরিক,	
spreadseet,	স্প্রেসািট,	স্প্রেডশীট,	
cheentai,	চিন্তাই,	ছিনতাই,	
dipti,	দিপ্তি,	ডেপুটি,	
basate,	বাসাতে,	বাসাতে,	
daakticketer,	ডাক্তিকেটের,	ডাকটিকিটের,	
transformaarer,	ট্রান্সফোরার,	ট্রান্সফরমারের,	
dhaleshwari,	ধলেশ্বরী,	ধলেশ্বরী,	
nopdikey,	নপদিকে,	নদীকে,	
salmaner,	সালমানের,	সালমানের,	
megh,	মেঘ,	মেঘ,	
heights,	হাইটস,	হাইটস,	
billaho,	বিল্লাহ,	বিল্লাহ,	
chanu,	চানু,	চানু,	
pleena,	প্লেন,	প্লেন,	
himi,	হিমি,	হিমি,	
rajpurohit,	রাজপুরিহিত,	রাজপুরোহিত,	
leta,	লেট,	ল্যাটা,	
poscater,	পশ্চাটের,	পশ্চাতের,	
enginiiring,	এন্গিনিরিং,	ইঞ্জিনিয়ারিং,	
teta,	টেটা,	টেটা,	
jarusalem,	জারুলাসেম,	জেরুসালেম,	
marketim,	মার্কেটিং,	মার্কেটিং,	
vabani,	ভবনী,	ভবানী,	
shukranoo,	শুক্রাণু,	শুক্রানু,	
ashanka,	অশঙ্ক,	আশঙ্কা,	
garjon,	গর্জন,	গর্জন,	
wault,	উল্ট,	ভল্ট,	
eshiyatika,	এসিয়েটিক,	এশিয়াটিক,	
rajotwa,	রাজত্ব,	রাজত্ব,	
