jini,	জিনি,	যিনি,	
janogananar,	জনগণনার,	জনগণনার,	
dancan,	ডানকান,	ডানকান,	
samratra,	সমর্ত্র,	সম্রাটরা,	
samsher,	সমশের,	সমশের,	
asoociates,	অসোচিয়েটাস,	এসোসিয়েটস,	
footbalarer,	ফুটবলের,	ফুটবলারের,	
shombhobonao,	সম্ভবনাও,	সম্ভবনাও,	
vaisaha,	বৈইসহ,	ভাইসহ,	
postac,	পোস্টাক,	পোস্টকে,	
tempaleta,	টেম্পলেট,	টেম্পলেট,	
letara,	লাইটার,	লেটার,	
kona,	কোণা,	কোনা,	
lyaand,	ল্যান্ড,	ল্যান্ড,	
sahapatheekey,	সহপতিকে,	সহপাঠীকে,	
rabo,	রব,	রব,	
soource,	সুর্ছ,	সোর্স,	
bhenom,	ভিনম,	ভেনম,	
kraim,	ক্রেম,	ক্রাইম,	
provur,	প্রভূর,	প্রভুর,	
shorting,	শর্টিং,	সর্টিং,	
jyotsna,	জ্যস্ন,	জ্যোৎস্না,	
salmaner,	স্যামনের,	সালমানের,	
scholastic,	স্কোলাস্টিক,	স্কলাস্টিক,	
mosjidsaho,	মস্দিসসহ,	মসজিদসহ,	
noditei,	নদীতেই,	নদীতেই,	
elakashaho,	এলাকাহ,	এলাকাসহ,	
prokolpogulo,	প্রকল্পগুলো,	প্রকল্পগুলো,	
gonokantho,	গণকাণ্ঠ,	গণকণ্ঠ,	
brittakar,	বৃত্যাকার,	বৃত্তাকার,	
troup,	ত্রূপ,	ট্রুপ,	
moshjidti,	মশ্জিদটি,	মসজিদটি,	
nuton,	নুউটন,	নূতন,	
baasa,	বসা,	বাসা,	
gandhike,	গানধিকে,	গান্ধীকে,	
shanta,	সন্ত,	সান্তা,	
anchalgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
chirokoomari,	চিরকরমিরী,	চিরকুমারী,	
mekon,	মেকন,	মেকং,	
maniktola,	মনিক্তলা,	মানিকতলা,	
baghdad,	বাজদাদ,	বাগদাদ,	
asiph,	আশিফ,	আসিফ,	
hiper,	হিপের,	হাইপার,	
grameroi,	গ্রামারি,	গ্রামেরই,	
tafsherer,	তাসসরের,	তাফসীরের,	
mosan,	মসন,	মোশন,	
parka,	পার্ক,	পার্ক,	
siddhante,	সিদ্ধান্তে,	সিদ্ধান্তে,	
jhijhi,	ঝিঝ্,	ঝিঝি,	
sohokari,	সহকারি,	সহকারী,	
sotorkokaree,	সত্রকরাাী,	সতর্ককারী,	
vabnake,	ভব্নকে,	ভাবনাকে,	
bhaabaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
eshiyatiqa,	এসিয়েটিক,	এশিয়াটিক,	
gronthoo,	গ্রন্থু,	গ্রন্থও,	
jotsna,	যতসনা,	জ্যোৎস্না,	
koilas,	কৈলাস,	কৈলাস,	
judhahato,	যুধ্ধত,	যুদ্ধাহত,	
tomader,	তোমাদের,	তোমাদের,	
sitting,	সিটিং,	সিটিং,	
shikkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
temoni,	তেমনি,	তেমনই,	
totokhhon,	ততক্ষণ,	ততক্ষন,	
holdin,	হলদিন,	হোল্ডিং,	
soinyosaho,	সৈন্যসাহ,	সৈন্যসহ,	
breqathru,	ব্রেকাথরু,	ব্রেকথ্রু,	
muhammadi,	মুহাম্মাদী,	মুহাম্মদী,	
noveel,	নভিল,	নভেল,	
panchashjon,	পঞ্চাশন,	পঞ্চাশজন,	
basuki,	বাসুকি,	বাসুকি,	
hepataitisa,	হেপটাইটিস,	হেপাটাইটিস,	
chalochchitraeei,	চলচিত্রেই,	চলচ্চিত্রেই,	
ajauno,	অযৌন,	অযৌন,	
jar,	যার,	জ্বর,	
ala,	আল,	আলা,	
arekdal,	অরেকদল,	আরেকদল,	
dhaleshwari,	ঢালেশ্বরী,	ধলেশ্বরী,	
phutonta,	ফুটন্ট,	ফুটন্ত,	
shamooker,	সমুকের,	শামুকের,	
toruner,	তরুণের,	তরুণের,	
songostha,	সংগ্ষাঠ্য,	সংস্থা,	
niropekkhotaar,	নিরপেক্ষতার,	নিরপেক্ষতার,	
kaale,	কালে,	কালে,	
bhandaare,	ভান্ডারে,	ভাণ্ডারে,	
carzito,	কার্জিত,	চার্জিত,	
mohasova,	মহাসভা,	মহাসভা,	
modeley,	মোডেলে,	মডেলে,	
kaamla,	কামলা,	কামলা,	
sahazlabhbhatar,	সহজ্লভূলতার,	সহজলভ্যতার,	
olimpyc,	অলিম্পি,	অলিম্পিক,	
stanahenja,	স্টনহানিজ,	স্টোনহেঞ্জ,	
oshamonjosshoporno,	অসামজনস্্বর্পণ,	অসামঞ্জস্যপূর্ণ,	
bbiswasho,	বিশ্বাস,	বিশ্বাসও,	
shansthati,	সনস্থটাি,	সংস্থাটি,	
lajiqa,	লািক,	লজিক,	
silwer,	শিল্বের,	সিলভার,	
lendl,	ল্যান্ড,	লেন্ডল,	
formet,	ফরমেট,	ফরম্যাট,	
chowdhurir,	চৌধুরির,	চৌধুরীর,	
satarkakari,	সতরককারী,	সতর্ককারী,	
nickeel,	নিক্লেল,	নিকেল,	
protizogiitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
diaraesha,	ডির়েস,	ডিআরএস,	
aminar,	আমিনার,	আমিনার,	
pudding,	পুদিিং,	পুডিং,	
wrighter,	বৃঘের,	রাইটের,	
woter,	ওয়াটার,	ভোটার,	
baaraakpur,	বরাকপুর,	বারাকপুর,	
khaamba,	ক্ষমবা,	খাম্বা,	
shukna,	শুক্ন,	শুকনা,	
indrani,	ইন্দ্রানী,	ইন্দ্রাণী,	
grambaasider,	গ্রামবীশের,	গ্রামবাসীদের,	
mojlishpoor,	মজ্লিসপুর,	মজলিশপুর,	
qredita,	ক্রেডিট,	ক্রেডিট,	
futbolarder,	ফুটবলদরের,	ফুটবলারদের,	
zeebonjapon,	জীবন্যপন,	জীবনযাপন,	
kirkuk,	কীরুক,	কিরকুক,	
odhito,	অধিত,	অধীত,	
karu,	ক্রু,	কারো,	
zyakasana,	জ্যাকশন,	জ্যাকসন,	
shucharita,	সূচারিত,	সুচরিতা,	
dormitori,	ডরমেটরি,	ডরমিটরি,	
bondhubhabapanno,	বন্ধুবাত্যপ্ন,	বন্ধুভাবাপন্ন,	
babul,	বাবুল,	বাবুল,	
bhagerei,	ভাগেরই,	ভাগেরই,	
tyapa,	ট্যাপ,	ট্যাপ,	
governorer,	গভর্নরের,	গভর্ণরের,	
sahoocorzo,	সহসোর্য,	সাহচর্য,	
konaan,	কোনন,	কোনান,	
qraima,	ক্রাম,	ক্রাইম,	
sajja,	সাজা,	সজ্জা,	
shaakaar,	সাকার,	সাকার,	
bondhuderkey,	বন্ধুদেরকে,	বন্ধুদেরকে,	
primoo,	প্রীম,	প্রিমো,	
musalmankey,	মুসলমানকে,	মুসলমানকে,	
daloo,	দালু,	ডালু,	
motkey,	মত্কে,	মতকে,	
brander,	ব্র্যান্ডের,	ব্রান্ডের,	
debeting,	ডেবেটিং,	ডিবেটিং,	
kuery,	কুরি,	কোয়েরি,	
bufer,	বুফের,	বাফার,	
tet,	তত,	টেট,	
deputii,	দেপুটি,	ডেপুটি,	
cyphy,	সিফি,	সাইফাই,	
siddhanto,	সিদ্বান্ত,	সিদ্ধান্তও,	
rohoshyor,	রহস্যর,	রহস্যর,	
rooplal,	রূপলাল,	রূপলাল,	
boner,	বোনের,	বনের,	
aasif,	আসিফ,	আসিফ,	
silvee,	সিলভি,	সিলভি,	
armstronz,	আর্মসত্রোজ,	আর্মস্ট্রং,	
naajee,	নাজী,	নাত্সি,	
brittakare,	বৃত্যকারে,	বৃত্তাকারে,	
jworer,	জররের,	জ্বরের,	
sur,	সুর,	সুর,	
nirmaankaj,	নির্মাণকাজ,	নির্মাণকাজ,	
prabhu,	প্রভূ,	প্রভু,	
breq,	ব্র্যাক,	ব্রেক,	
prothakey,	প্রথকে,	প্রথাকে,	
scoree,	স্করি,	স্কোরে,	
zoonite,	যোনিতে,	যোনীতে,	
cholochchitraeeo,	চলচিত্তেরই,	চলচ্চিত্রেও,	
set,	স্বেত,	সিট,	
kanasharabheshhana,	কনসারভেষন,	কনসারভেশন,	
zozyota,	যোজ্যতা,	যোজ্যতা,	
aalaa,	আলা,	আলা,	
abheegomon,	অভিগমন,	অভিগমন,	
mohammadi,	মোহাম্মদী,	মুহাম্মদী,	
turkameena,	তুর্কমীনা,	তুর্কমেন,	
railliner,	রেলিনের,	রেললাইনের,	
sakshatkarer,	সাক্ষাৎকারের,	সাক্ষাৎকারের,	
saalsa,	সালস,	সালসা,	
cholo,	চোল,	চলো,	
mohajote,	মহাজতে,	মহাজোট,	
plainey,	প্লেনে,	প্লেনে,	
ovishangsan,	অভিসংসন,	অভিশংসন,	
shtonehenge,	স্ট্যানেং,	স্টোনহেঞ্জ,	
mohisho,	মহিশ,	মহিষ,	
ateeteo,	আতিতেও,	অতীতেও,	
caramics,	ক্যারিক্স,	সিরামিকস,	
prakalpatikey,	প্রকল্পকিকে,	প্রকল্পটিকে,	
becha,	বেচ্চা,	বেচা,	
shudden,	সুদ্দিন,	সাডেন,	
atyacarito,	অ্যাট্রোচিত,	অত্যাচারিত,	
zins,	জিন্স,	জিন্স,	
swarnali,	স্বর্ণলী,	স্বর্ণালী,	
konisttha,	কনিষ্ঠ,	কনিষ্ঠ,	
chondrimaa,	চন্দিরামা,	চন্দ্রিমা,	
shikhbe,	শিখবে,	শিখবে,	
gosthi,	গোষ্ঠি,	গোষ্ঠী,	
beam,	বিম,	বীম,	
hajat,	হজাত,	হজত,	
baaik,	বৈক,	বাইক,	
manmath,	মন্মাথ,	মন্মথ,	
ayantarkatika,	আয্নন্তরকিতিক,	অ্যান্টার্কটিকা,	
akbakye,	আকবকে,	একবাক্যে,	
ved,	ভেদ,	বেদ,	
vabanipur,	ভবানীপুর,	ভবানীপুর,	
norton,	নর্তন,	নর্টন,	
upobasher,	উপবাসের,	উপবাসের,	
bagichaar,	বাগিচার,	বাগিচার,	
masjid,	মসসিড,	মসজিদ,	
harysoner,	হারিসনের,	হ্যারিসনের,	
sahinsatar,	সহিনসতার,	সহিংসতার,	
jubokder,	যুবকদের,	যুবকদের,	
aatmobishwasi,	আত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
gezeteda,	গেজেটেদ,	গেজেটেড,	
oshamorik,	আসামরিক,	অসামরিক,	
koommatei,	কমাতেই,	কমাতেই,	
cakee,	কাক,	কেকে,	
onnyorup,	অন্যরূপ,	অন্যরূপ,	
gaddafee,	গদ্দাফি,	গাদ্দাফী,	
bahati,	বাহাতি,	বাহাতি,	
pack,	প্যাক,	প্ল্যাক,	
gobeshokgan,	গবেষকগণ,	গবেষকগণ,	
brindaboney,	ব্রিন্ববনে,	বৃন্দাবনে,	
plain,	প্লেন,	প্লেন,	
upobaaser,	উপবাসের,	উপবাসের,	
dower,	দাওর,	ডোভার,	
laishenshim,	লেসিংসং,	লাইসেন্সিং,	
bidghutey,	বিদ্ঘুতে,	বিদঘুটে,	
makang,	মকং,	মেকং,	
harisoner,	হরিসনের,	হ্যারিসনের,	
gaj,	গজ,	গেজ,	
labonaktotar,	লবনাক্ততা,	লবণাক্ততার,	
charjer,	চর্জের,	চার্জার,	
vagirath,	ভগীরথ,	ভগীরথ,	
bheenama,	ভীনামা,	ভেনম,	
alpakichudin,	আলপাকিছুদীন,	অল্পকিছুদিন,	
shource,	স্র্য,	সোর্স,	
atmabiswasi,	আত্মব্বিসাই,	আত্মবিশ্বাসী,	
baraakpur,	বরাকপুর,	বারাকপুর,	
jalarong,	জালারণ,	জলরঙ,	
meghnabodh,	মীঘনাবধ,	মেঘনাদবধ,	
mosjidkey,	মস্জিদকে,	মসজিদকে,	
pancbaar,	পাঁচবার,	পাঁচবার,	
bhabani,	ভবনী,	ভবানী,	
kampito,	কম্পিত,	কম্পিত,	
ayantarketika,	আয্নন্তরকিকিক,	অ্যান্টার্কটিকা,	
bondhutto,	বন্ধুত্ব,	বন্ধুত্ত্ব,	
shikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
queri,	কুরি,	কোয়েরি,	
vodqa,	ভোঁকা,	ভদকা,	
herfer,	হের্ফার,	হেরফের,	
saahosikotar,	সাহসিকতার,	সাহসিকতার,	
promotione,	প্রমোশনে,	প্রোমোশনে,	
gajano,	গাজান,	গজানো,	
karmake,	কর্মকে,	কর্মকে,	
karlei,	করলেই,	করলেই,	
maithili,	মাইথিলী,	মৈথিলি,	
basaalt,	বাল্ট,	ব্যাসল্ট,	
gaafeeloti,	গাইফিলটি,	গাফিলতি,	
transformerer,	ট্রান্সফররমের,	ট্রান্সফরমারের,	
vorodwaj,	ভররদাজ,	ভরদ্বাজ,	
obhishangson,	অভিসংসন,	অভিশংসন,	
taigara,	টাইগার,	টাইগার,	
ragee,	রাগি,	রাগী,	
tukrote,	তুক্রতে,	টুকরোতে,	
pothnatok,	পথ্ঠাটক,	পথনাটক,	
qirq,	কার্ক,	কার্ক,	
khanankaj,	খননক্যক,	খননকাজ,	
kushomva,	কুশম্ভ,	কুশুম্বা,	
pooroheetra,	পুরহিত্রা,	পুরোহিতরা,	
edhdaning,	এডদানিং,	ইদানিং,	
tata,	টাটা,	তাতা,	
karim,	করিম,	করিম,	
shphingtar,	স্ফিন্টার,	স্ফিংটার,	
uuipoka,	উইপোকা,	উইপোকা,	
suparahiroo,	সুপারহরিও,	সুপারহিরো,	
sukumaree,	সুকুমারী,	সুকুমারী,	
jeelyand,	জিল্যান্ড,	জিল্যান্ড,	
dhyana,	ধ্যানা,	ধ্যান,	
homasha,	হমাসা,	হোমস,	
ongshograhon,	অংশগ্রহণ,	অংশগ্রহন,	
abarta,	আবর্ত,	আবর্ত,	
heelser,	হিলসের,	হিলসের,	
uparjoner,	উপরজনের,	উপার্জনের,	
bharote,	ভারতে,	ভারতে,	
lakkhero,	লক্ষেরও,	লক্ষেরও,	
armstrong,	আরম্ত্রগ,	আর্মস্ট্রং,	
nogore,	নগরে,	নগরে,	
iyutha,	ইউয়েট,	ইয়ুথ,	
sithilotar,	সিভিলতার,	শিথিলতার,	
purbanchaler,	পূর্বনচলের,	পূর্বাঞ্চলের,	
monzeele,	মঞ্জিলে,	মঞ্জিলে,	
ceramiksh,	কেরমিক্স,	সিরামিকস,	
khaneker,	খানেকের,	খানেকের,	
protijogi,	প্রতিযোগী,	প্রতিযোগী,	
steeit,	স্টেইট,	স্টেইট,	
gondogol,	গণ্ডগল,	গন্ডগোল,	
tochnochh,	তচ্চ,	তছনছ,	
soores,	সুরেস,	সুরেশ,	
bedke,	বেদকে,	বেদকে,	
naditei,	নদীতেই,	নদীতেই,	
diana,	ডিয়ান,	ডায়না,	
nilkamal,	নীলকমাল,	নীলকমল,	
istonia,	ইস্টোনিয়া,	এস্তোনিয়া,	
jyeshthaa,	জ্যেস্থা,	জ্যেষ্ঠা,	
uponishod,	উপনিষদ,	উপনিষদ,	
sektara,	সেক্টর,	সেক্টর,	
venkatesh,	ভেনকেটাস,	ভেঙ্কটেশ,	
romancha,	রোমাঞ্চ,	রোমাঞ্চ,	
joni,	যোনি,	জনি,	
aansarir,	আনসারীর,	আনসারীর,	
deepon,	দিপন,	দীপন,	
jaksa,	যক্ষ,	যক্ষ,	
kampita,	কম্পিট,	কম্পিত,	
babona,	বাবনা,	বাবনা,	
soptahokal,	সপ্তাাকল,	সপ্তাহকাল,	
taholei,	তহলেই,	তাহলেই,	
sangasthatike,	সংস্থাটিকে,	সংস্থাটিকে,	
laagche,	লাগছে,	লাগছে,	
chitranattakar,	চিত্রনত্বকার,	চিত্রনাট্যকার,	
machgulo,	মাছগুলো,	মাছগুলো,	
bishesyo,	বিশেষ্য,	বিশেষ্য,	
byaboharkarir,	ব্যবহারকারির,	ব্যবহারকারীর,	
sahozlabhbhatar,	সহজ্লভূলতার,	সহজলভ্যতার,	
tenise,	টেনিসে,	টেনিসে,	
hepetaitisa,	হেপটাইটিস,	হেপাটাইটিস,	
osthisondhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
hamburgey,	হামবার্গে,	হামবুর্গে,	
texuser,	টেক্সিস,	টেক্সাসের,	
disney,	ডিজনে,	ডিজনী,	
basakey,	বসাকে,	বাসাকে,	
durgo,	দূর্গ,	দুর্গ,	
durvaggo,	দুর্ভাগ্য,	দূর্ভাগ্য,	
chaaltaa,	চালতা,	চালতা,	
ssikkharthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
nirmalata,	নির্মলতা,	নির্মলতা,	
kartona,	কর্তনা,	করতনা,	
dorun,	দরুণ,	দরুণ,	
saurse,	সার্স,	সোর্স,	
flask,	ফ্ল্ক,	ফ্লাস্ক,	
laala,	লাল,	লালা,	
soochonakal,	সূচনাকল,	সূচনাকাল,	
udbhaboney,	উদ্ভাবনে,	উদ্ভাবনে,	
naper,	নাপের,	ন্যাপের,	
tyunar,	টিউনার,	টিউনার,	
phormat,	ফরমেট,	ফরম্যাট,	
shikhar,	শিখর,	শিকার,	
bamnii,	বামণী,	বামনী,	
siramiqs,	সিরামিক্স,	সিরামিকস,	
panthaar,	পন্থার,	পন্থার,	
tiunar,	টিউনার,	টিউনার,	
dokkhinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
peoples,	পাইপলস,	পিপলস্,	
meshenjar,	মেশেন্জার,	মেসেঞ্জার,	
shourshe,	স্র্যে,	সোর্স,	
nartakike,	নার্টকীকে,	নর্তকীকে,	
doshider,	দশীদের,	দোষীদের,	
qlauda,	ক্লাউড,	ক্লাউড,	
sheekare,	শিকারে,	শিকারে,	
bondiira,	বন্দিরা,	বন্দীরা,	
itastatah,	ইতস্ততত,	ইতস্ততঃ,	
vishnuke,	বিষ্ণুকে,	বিষ্ণুকে,	
dephinition,	ডেফিনিশন,	ডেফিনেশন,	
nortoki,	নর্তকী,	নর্তকী,	
doojoo,	দুজু,	ডোজো,	
kompeeto,	কম্পিত,	কম্পিত,	
sastra,	সাস্ত্র,	শাস্ত্র,	
ceema,	সেম,	সীমা,	
janosanjog,	জনসম্গগ,	জনসংযোগ,	
muladee,	মুলাদী,	মুলাদি,	
ruplal,	রূপলাল,	রূপলাল,	
nathibhukta,	নথিভুক্ত,	নথিভুক্ত,	
shrabastee,	শ্রবব্ষিত,	শ্রাবস্তী,	
shomostigoto,	সমস্তিগত,	সমষ্টিগত,	
pleeta,	প্লেট,	প্লেট,	
bidghootey,	বিদ্ঘতে,	বিদঘুটে,	
timathy,	তিমাথি,	টিমোথি,	
charger,	চার্গের,	চার্জার,	
okhondota,	অখ্্দন্তা,	অখণ্ডতা,	
mutar,	মুটার,	মুতার,	
dajyo,	দাজ্য,	দাহ্য,	
rooby,	রোবি,	রুবি,	
zones,	জোন,	জোন্স,	
jerusaleme,	জেরুসলেমে,	জেরুসালেমে,	
bypass,	বিপ্স,	বাইপাস,	
jya,	জ্য,	জ্যা,	
neker,	নেকের,	নেকের,	
chapol,	চাপল,	চপল,	
dabhara,	দবারই,	ডোভার,	
seekkhokder,	শিক্ষকদের,	শিক্ষকদের,	
sheekarke,	শিকারকে,	শিকারকে,	
lyandeeng,	ল্যান্ডিং,	ল্যান্ডিং,	
bhangle,	ভাঙলে,	ভাঙলে,	
shahocharjo,	শহহচর্য,	সাহচর্য,	
janasangjog,	জনসঙ্গগ,	জনসংযোগ,	
horipur,	হরিপুর,	হরিপুর,	
sumitrar,	সুমিত্রার,	সুমিত্রার,	
aaminar,	আমিনার,	আমিনার,	
byatikramdharmi,	ব্যতিকর্মার্মী,	ব্যতিক্রমধর্মী,	
rajnaiteek,	রাজনীতিক,	রাজনৈতীক,	
mausum,	মৌসুম,	মৌসুম,	
pratul,	প্রতুল,	প্রতুল,	
ekirokom,	একিরকম,	একইরকম,	
bairer,	বৈরের,	বাইরের,	
dhhabi,	ঢববী,	ঢাবি,	
herpher,	হের্ফার,	হেরফের,	
aaminaar,	আমিনার,	আমিনার,	
surakarder,	সুরাকরদের,	সুরকারদের,	
voter,	ওয়েটার,	ভোটার,	
kaalaam,	কালাম,	কালাম,	
lesense,	লিজেন্স,	লাইসেন্স,	
porinoti,	পরিনতি,	পরিণতি,	
ajibonoer,	আজীবনের,	আজীবনের,	
morathi,	মারাঠি,	মরাঠি,	
shiqha,	শিখ,	শিখ,	
raagkey,	রগককে,	রাগকে,	
protizogii,	প্রতিযোগী,	প্রতিযোগী,	
siqar,	সিকার,	শিকার,	
cheelona,	ছিলনা,	ছিলনা,	
gosthyi,	গষ্ঠি,	গোষ্ঠীই,	
madhabike,	মাধবািকে,	মাধবীকে,	
xpose,	এক্সপে,	এক্সপোজ,	
augustin,	অগাস্টিন,	অগাস্টিন,	
muldhara,	মূলধারা,	মূলধারা,	
injiniyarsa,	ইন্জিনির্যা,	ইঞ্জিনিয়ার্স,	
neshhanasha,	নেশাসা,	নেশনস,	
modeeling,	মুডিলিং,	মডেলিং,	
taali,	টালি,	তালি,	
charchita,	চর্চিত,	চর্চিত,	
shaahaabiike,	সাহাবীকে,	সাহাবীকে,	
sawom,	সাওম,	সাওম,	
kansater,	কাঁসাতের,	কানসাটের,	
rupert,	রাপার্ট,	রুপার্ট,	
futbolarra,	ফুটবলররা,	ফুটবলাররা,	
aqram,	আকরাম,	আকরাম,	
baiqa,	বৈক,	বাইক,	
falak,	ফলক,	ফলক,	
melbourney,	মেলবর্্নে,	মেলবোর্নে,	
attaar,	আত্মার,	আত্তার,	
haryken,	হারিকেন,	হ্যারিকেন,	
shnaipara,	স্নাইপার,	স্নাইপার,	
seekkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
chalesi,	চলেসি,	চলেছি,	
anchalgulote,	আঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
kormozog,	কর্মযোগ,	কর্মযোগ,	
baibasthaar,	ব্যবস্থার,	ব্যবস্থার,	
brookoleen,	ব্রুকলীন,	ব্রুকলিন,	
pleena,	প্লেন,	প্লেন,	
grovth,	গ্রভ,	গ্রোথ,	
sachetanbhabe,	স্চাতনাভাবে,	সচেতনভাবে,	
dail,	ডাইল,	ডেইল,	
cholocchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
taffsherer,	টাফসিরের,	তাফসীরের,	
patthkrom,	পাঠ্ক্রম,	পাঠক্রম,	
prodiiper,	প্রদিবেপের,	প্রদীপের,	
avishangsan,	অভিসংসন,	অভিশংসন,	
kadorer,	কাদরের,	কদরের,	
superheroo,	সুপেরারও,	সুপারহিরো,	
graambaasee,	গ্রামবাসী,	গ্রামবাসী,	
majhari,	মাঝারি,	মাঝারী,	
hatodaridra,	হতাদাদির্য,	হতদরিদ্র,	
jwalbe,	জ্বলবে,	জ্বলবে,	
manushe,	মানুসা,	মানুষে,	
bitolser,	বিটলসের,	বিটলসের,	
khijir,	খিজির,	খিজির,	
kathmandute,	ক্্মান্দুতে,	কাঠমান্ডুতে,	
veedanta,	বেডান্ত,	বেদান্ত,	
nothibhukto,	নথিভুক্ত,	নথিভুক্ত,	
mahajote,	মহাজততে,	মহাজোট,	
ooporostho,	অপরস্থ,	উপরস্থ,	
gaphiloti,	গাফিলতি,	গাফিলতি,	
zubokshoho,	যুবক্ষ,	যুবকসহ,	
nogorey,	নগরে,	নগরে,	
gabeshakgon,	গবেষকগণ,	গবেষকগণ,	
madhobi,	মাধবী,	মাধবী,	
siiter,	সাইটের,	শীতের,	
pashchatey,	পাশ্চাত্যে,	পশ্চাতে,	
phising,	ফিসিং,	ফিসিং,	
naagaaland,	নগগাল্ড,	নাগাল্যান্ড,	
jyakashana,	জ্যাকশন,	জ্যাকসন,	
durbhagya,	দুর্ভাগ্য,	দূর্ভাগ্য,	
folokti,	ফলকটি,	ফলকটি,	
agamanke,	আগমনকে,	আগমনকে,	
machti,	মাচটি,	মাছটি,	
konader,	কোনডের,	কণাদের,	
madrasa,	মাদরাসা,	মাদ্রাসা,	
kale,	কালে,	কালে,	
fimel,	ফিমেল,	ফিমেল,	
raunanganey,	রানাঙ্গনে,	রণাঙ্গনে,	
nutan,	নুটান,	নূতন,	
deejeejer,	ডিজিজের,	ডিজিজের,	
bhangchur,	ভাঙচুর,	ভাংচুর,	
mg,	মাএনি,	এমজি,	
udiichii,	উডিচি,	উদীচী,	
monjooshree,	মঞ্জুষ্রী,	মঞ্জুশ্রী,	
shommotir,	সম্মতির,	সম্মতির,	
prabhritike,	প্রভূতিকে,	প্রভৃতিকে,	
nothivukta,	নথিভূক্ত,	নথিভুক্ত,	
mokhmoley,	মক্ষলে,	মখমলে,	
prosadhoner,	প্রসাধনের,	প্রসাধনের,	
awnurbor,	অনুর্বর,	অনুর্বর,	
betsman,	বেষস্মান,	ব্যাটসম্যান,	
taanteera,	তানটেরা,	তাঁতিরা,	
chani,	চানি,	ছানি,	
soundarja,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
nagoriker,	নাগরিকের,	নাগরিকের,	
bonyopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
ogovir,	অগভীর,	অগভীর,	
moshion,	মশিন,	মোশন,	
hundai,	হান্ডে,	হুন্দাই,	
sabbir,	সববির,	সাব্বির,	
neeshanasa,	নিশাসনা,	নেশনস,	
dearas,	ডিরাশ,	ডিআরএস,	
chalochchitreeo,	চলচিত্তেরও,	চলচ্চিত্রেও,	
ikbalke,	ইকবলেক,	ইকবালকে,	
spencer,	স্পেন্সের,	স্পেন্সার,	
the,	দি,	থাই,	
mele,	মেলে,	মাইল,	
artilari,	অর্টিলারি,	আর্টিলারি,	
janmato,	জন্মত,	জন্মাত,	
deliwer,	দেলিভের,	ডেলিভার,	
oncholshomuh,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
esiyatika,	এসিটেটিক,	এশিয়াটিক,	
thelyanda,	থেল্যান্ড,	থাইল্যান্ড,	
dembakriti,	দেমবক্রৃতি,	ডিম্বাকৃতি,	
tinej,	টিনেজ,	টিনেজ,	
ahong,	আহং,	অহং,	
addabaaz,	আদ্দাবাজ,	আড্ডাবাজ,	
definishian,	ডেফিনিশন,	ডেফিনেশন,	
cooda,	কোডা,	কোডা,	
byepass,	ব্যাপস,	বাইপাস,	
shepherd,	সেফার্ড,	শেফার্ড,	
ujobekeestaner,	উজবেকবেষ্ণার,	উজবেকিস্তানের,	
jhalkathee,	ঝালকাঠি,	ঝালকাঠী,	
yankee,	যানকে,	ইয়াংকি,	
bohorompurer,	বহরমপুরের,	বহরমপুরের,	
homeske,	হোমসসকে,	হোমসকে,	
leder,	লেডার,	লিডার,	
akhhunno,	অখ্নুন্ন,	অক্ষুণ্ণ,	
ponchaasjon,	পঞ্চাশকন,	পঞ্চাশজন,	
thishisher,	থিশিসের,	থিসিসের,	
thyachara,	ঠ্যাচার,	থ্যাচার,	
deobonde,	দিবন্দে,	দেওবন্দে,	
kemonay,	কেমনে,	কেমনে,	
norfolq,	নরফলক,	নরফোক,	
pacchi,	পাচ্চি,	পাচ্ছি,	
monzooshree,	মঞ্জুষ্রী,	মঞ্জুশ্রী,	
bhabatarini,	ভবতারীণী,	ভবতারিণী,	
taroni,	তরণী,	তরণী,	
valobasen,	ভালববেশন,	ভালোবাসেন,	
bosben,	বসবেন,	বসবেন,	
skalarasipa,	স্কলারশিপ,	স্কলারশিপ,	
loukikota,	লৌকিকতা,	লৌকিকতা,	
madla,	মদলা,	মাদলা,	
leta,	লাইট,	ল্যাটা,	
granthotike,	গ্রন্থটিকে,	গ্রন্থটিকে,	
uzobekeestaaner,	উজবেকবেস্নারে,	উজবেকিস্তানের,	
samajik,	সমাজিক,	সামাজিক,	
biseshyo,	বিশেষ্য,	বিশেষ্য,	
jeerusaleem,	জিরুসলাইম,	জেরুসালেম,	
jeebnagar,	জীবনগার,	জীবননগর,	
