juktarashtrasaha,	যুক্তরাস্ট্রসহ,	যুক্তরাষ্ট্রসহ,	
gripa,	গ্রিপ,	গ্রিপ,	
noditei,	নদীতেই,	নদীতেই,	
arekdal,	অরেকদল,	আরেকদল,	
imirgincy,	ইমার্জিন্সি,	এমার্জেন্সি,	
karleo,	কারেলও,	করলেও,	
eporjonta,	এপরজন্ত,	এপর্যন্ত,	
disney,	ডিজনি,	ডিজনী,	
zyakasana,	জ্যাকসন,	জ্যাকসন,	
dajyo,	দাজ্য,	দাহ্য,	
boudhher,	বৌদ্ধের,	বৌদ্ধের,	
bede,	বেডে,	বেদে,	
bocchon,	বচচন,	বচ্চন,	
somaazeri,	সমাজেরী,	সমাজেরই,	
byaboharkareer,	ব্যাবহারকারীর,	ব্যবহারকারীর,	
teemothy,	তিমথি,	টিমোথি,	
karmosampadon,	কর্মসম্পাদন,	কর্মসম্পাদন,	
nogonyo,	নগন্য,	নগণ্য,	
sheat,	সিট,	সিট,	
kadorer,	কাদডের,	কদরের,	
foxer,	ফোক্সের,	ফক্সের,	
angkush,	অ্যাককুশ,	অংকুশ,	
prastutkarok,	প্রস্তুতকারক,	প্রস্তুতকারক,	
edmeeral,	এডমিরাল,	এডমিরাল,	
soorarop,	সুরারপ,	সুরারোপ,	
roza,	রোজা,	রোযা,	
technocrat,	টেকনোক্রাট,	টেকনোক্র্যাট,	
hoteltite,	হটেলটিতে,	হোটেলটিতে,	
khanonkaj,	খননকাজ,	খননকাজ,	
torokareer,	তরকারীর,	তরকারীর,	
neelfamarir,	নিলফাঁমারীর,	নীলফামারীর,	
roopdan,	রূপদান,	রুপদান,	
varma,	ওয়ার্ম,	ভার্মা,	
ragi,	রাগী,	রাগী,	
model,	মোডেল,	মডেল,	
baibosthaar,	ব্যবস্থার,	ব্যবস্থার,	
shobnom,	সবনম,	শবনম,	
seekkhagoto,	শিক্ষাগত,	শিক্ষাগত,	
bishshaasho,	বিশ্বাসও,	বিশ্বাসও,	
nothibhookta,	নথিভুক্ত,	নথিভুক্ত,	
liceensee,	লিসেন্স,	লাইসেন্স,	
shahocharjo,	শহহার্য,	সাহচর্য,	
dephineshana,	ডেফিনেশন,	ডেফিনেশন,	
horiner,	হরিনের,	হরিণের,	
roy,	রো,	রায়,	
protijogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
potochitro,	পটচিত্র,	পটচিত্র,	
kaaleo,	কালেও,	কালেও,	
giitikobitar,	গীতিকীবিতর,	গীতিকবিতার,	
phiksa,	ফিক্স,	ফিক্স,	
rata,	রাতা,	রত,	
gaugee,	গৌগী,	গেজ,	
phirtee,	ফারতি,	ফিরতি,	
shyutara,	স্যুটার,	শ্যুটার,	
sarbhaare,	সার্ভারে,	সার্ভারে,	
soranor,	সরাার,	সরানোর,	
dokangulote,	দোকানগুলোতে,	দোকানগুলোতে,	
octane,	অচ্তনে,	অকটেন,	
evereste,	ইভারেস্ট,	এভারেস্টে,	
alpai,	আল্পই,	অল্পই,	
durger,	দুর্গের,	দুর্গের,	
edaning,	এডনিং,	ইদানিং,	
ancholgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
zeebonjapon,	জীবনজাপন,	জীবনযাপন,	
mulbhitti,	মূলভীত্তি,	মূলভিত্তি,	
banger,	বঙ্গের,	ব্যাঙের,	
basaake,	বাসাকে,	বাসাকে,	
abhidhaneeck,	অভিধানিক,	অভিধানিক,	
obhidhanik,	অভিধানিক,	অভিধানিক,	
abartey,	আবর্তে,	আবর্তে,	
sikarder,	শিকারদের,	শিকারদের,	
potocheetrer,	পটচচিত্রের,	পটচিত্রের,	
fastara,	ফাস্টার,	ফস্টার,	
swajan,	স্বজন,	স্বজন,	
upobashee,	উপবাসী,	উপবাসী,	
bhorkendra,	ভর্কেন্দ্র,	ভরকেন্দ্র,	
sikkhokbreendo,	শিক্ষাকৃন্দ,	শিক্ষকবৃন্দ,	
abdoor,	আবদুর,	আবদুর,	
biharey,	বিহারে,	বিহারে,	
chomoski,	চমমসি,	চমস্কি,	
bakhyateet,	বাখ্যাতিত,	ব্যাখ্যাতীত,	
nikela,	নিকেল,	নিকেল,	
saarbhaarer,	সার্ভারের,	সার্ভারের,	
mucus,	মুকাস,	মিউকাস,	
dayra,	ডায়র,	ডেরা,	
kushoomba,	কুসুব্ব,	কুশুম্বা,	
sompadoner,	সম্পাদনের,	সম্পাদনের,	
iukyaliptasha,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
lishenshe,	লিজেন্স,	লাইসেন্স,	
juddhahoto,	যুদ্ধাহত,	যুদ্ধাহত,	
nabyata,	নাব্যতা,	নাব্যতা,	
nirgoon,	নির্গণ,	নির্গুণ,	
ganohotyar,	গণহো্্যার,	গণহত্যার,	
bosontoke,	বসন্তকে,	বসন্তকে,	
nagarikera,	নাগরিকের,	নাগরিকেরা,	
siddhantokey,	সিদ্ধানটে,	সিদ্ধান্তকে,	
oitihyer,	ঐতিহ্যের,	ঐতিহ্যের,	
ustad,	আস্টাদ,	উস্তাদ,	
grambaasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
oncholke,	অঞ্চলকে,	অঞ্চলকে,	
sambhabanaow,	সম্ভাবনও,	সম্ভবনাও,	
angkita,	অংকিত,	অঙ্কিতা,	
okkhorke,	অক্ষরকে,	অক্ষরকে,	
sealvi,	শিলভী,	সিলভি,	
shikkharrthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
ghetu,	ঘাতু,	ঘেটু,	
torabgunj,	তরাাবগঞ্জ,	তোরাবগঞ্জ,	
godavari,	গদাভারী,	গোদাবরী,	
shartho,	স্বার্থ,	স্বার্থ,	
jamjamat,	জামজমত,	জমজমাট,	
titlee,	তিটল,	টাইটেল,	
modhyekar,	মধ্যকার,	মধ্যেকার,	
jerushalem,	জিরোশালাম,	জেরুসালেম,	
yatharthabhabe,	যথার্থভাবে,	যথার্থভাবে,	
marmaara,	মারমারা,	মারমারা,	
karmosansthaner,	কর্মসংস্থানের,	কর্মসংস্থানের,	
dhhaabi,	ঢাবই,	ঢাবি,	
drishyokey,	দৃশ্যকে,	দৃশ্যকে,	
jaanar,	জানার,	জানার,	
mozdoor,	মজ্দুর,	মজদুর,	
abheedhanick,	অভিধানিক,	অভিধানিক,	
canflikt,	কনফিলিক্ট,	কনফ্লিক্ট,	
fotanor,	ফটানোর,	ফোটানোর,	
chhatogolpe,	ছোটোগলপে,	ছোটগল্পে,	
cheerkoot,	চিরকুট,	চিরকুট,	
edmiral,	এডমিরাল,	এডমিরাল,	
probeshkari,	প্রবেশকারী,	প্রবেশকারী,	
iura,	ইউরা,	ইউরো,	
pharanyeta,	ফরণ্যাট,	ফরম্যাট,	
noitikvabe,	নৈটিকভাবে,	নৈতিকভাবে,	
naran,	নরন,	নরেন,	
karadandey,	কারাদন্ডে,	কারাদণ্ডে,	
ganokontho,	গণকণ্ঠ,	গণকণ্ঠ,	
advut,	অ্যাডভোট,	অদ্ভুত,	
asommati,	আসম্মতি,	অসম্মতি,	
tooni,	তুনি,	টুনি,	
niutrinoo,	নিউট্রিন,	নিউট্রিনো,	
narafoka,	নরফোকা,	নরফোক,	
bharatey,	ভারাতে,	ভারতে,	
heena,	হেন,	হেনা,	
dokan,	ডোকান,	দোকান,	
ekhate,	এখাতে,	একহাতে,	
vatar,	ভাতার,	ভাতার,	
shaarok,	স্বারক,	স্মারক,	
kingdam,	কিংদাম,	কিংডম,	
sadeena,	সাদেন,	সাডেন,	
dito,	দিবিত,	দিতো,	
goora,	গোর,	গোর,	
ranadeep,	রানাডিপ,	রণদীপ,	
sanaktokaroner,	সনাক্তকরণের,	সনাক্তকরণের,	
qindama,	কিন্ডম,	কিংডম,	
cholochchitrer,	চলচচিত্রের,	চলচ্চিত্রের,	
nir,	নির,	নির,	
sangkulaan,	সংকুলন,	সংকুলান,	
gatihin,	গতিহীন,	গতিহীন,	
proshtot,	প্রস্তত,	প্রস্ত্তত,	
bibhinno,	বিভিন্ন,	বিভন্ন,	
danaber,	দানবের,	দানবের,	
songasthatike,	সংস্গাতিকে,	সংস্থাটিকে,	
koonti,	কুনটি,	কুন্তী,	
abhidhaner,	অভিধানের,	অভিধানের,	
ptolemir,	পটলমির,	টলেমির,	
ajeej,	আজিজ,	আজিজ,	
satarkabhabe,	সাতরকতভাবে,	সতর্কভাবে,	
rifleks,	রাইফেক্স,	রিফ্লেক্স,	
chilahatee,	চিলাহাতি,	চিলাহাটি,	
nodiigulir,	নদীগুলির,	নদীগুলির,	
bohubar,	বহুবার,	বহুবার,	
spreeadshiit,	স্প্রেডশিট,	স্প্রেডশীট,	
caramics,	ক্যারেমিক্স,	সিরামিকস,	
shfingtar,	সিফ্যার,	স্ফিংটার,	
okhondota,	অখন্দতা,	অখণ্ডতা,	
jacksonke,	যাকশনকে,	জ্যাকসনকে,	
sovanetree,	সভানেত্রী,	সভানেত্রী,	
majdur,	মাজদুর,	মজদুর,	
aarmstrong,	আর্মেস্ট্রাং,	আর্মস্ট্রং,	
ragke,	রাগকে,	রাগকে,	
hoilo,	হইল,	হইল,	
sammatite,	সম্মতিতে,	সম্মতিতে,	
laisensa,	লাইসেন্স,	লাইসেন্স,	
seekkhokke,	শিক্ষকে,	শিক্ষককে,	
bolkarok,	বলকারক,	বলকারক,	
prakar,	প্রকার,	প্রকার,	
hunayin,	হুনাইন,	হুনাইন,	
protimar,	প্রতিমার,	প্রতিমার,	
temanti,	তেমাটি,	তেমনটি,	
saalsa,	সালস,	সালসা,	
lajika,	লজিক,	লজিক,	
capshule,	ক্যাসপুলে,	ক্যাপসুল,	
hepatitish,	হেপাটিটিস,	হেপাটাইটিস,	
militarite,	মিলিটারিতে,	মিলিটারিতে,	
sorboshoktiman,	সর্বস্তিক্ষণ,	সর্বশক্তিমান,	
grameroi,	গ্রামেরিও,	গ্রামেরই,	
krantee,	ক্রান্তি,	ক্রান্তি,	
sangosthatir,	সংস্থাটির,	সংস্থাটির,	
soomo,	সুমো,	সুমো,	
chalachchitra,	চলচচিত্র,	চলচ্চিত্র,	
donat,	ডোনাত,	ডোনাট,	
agrodut,	অগ্রাদুত,	অগ্রদূত,	
janasamaj,	জনসমাজ,	জনসমাজ,	
expression,	এক্সপ্রেশন,	এক্সপ্রেশন,	
madhookori,	মাধুকরী,	মাধুকরী,	
juktarashtrosaha,	যুক্তরাস্ত্রসহ,	যুক্তরাষ্ট্রসহ,	
pratijogi,	প্রতিযোগী,	প্রতিযোগী,	
hunine,	হুনিনে,	হুনাইন,	
sibiai,	সিবিআই,	সিবিআই,	
karmopontha,	কর্মপন্থা,	কর্মপন্থা,	
qiuti,	কিউটি,	কিউটি,	
ashanka,	আশংকা,	আশঙ্কা,	
vaabnar,	ভাবনার,	ভাবনার,	
firojer,	ফিরোজের,	ফিরোজের,	
qarima,	করিমা,	করিম,	
sahokari,	সহকারী,	সহকারী,	
pooding,	পোডিং,	পুডিং,	
bhashik,	ভাষিক,	ভাষিক,	
bloggerra,	ব্লগ্রেরা,	ব্লগাররা,	
mehonoti,	মহননীতি,	মেহনতি,	
mozdur,	মজদুর,	মজদুর,	
karmokandeo,	কর্মকান্ডে,	কর্মকাণ্ডেও,	
kanasharabheshhana,	কনসারেশন,	কনসারভেশন,	
aanish,	আনিশ,	আনিস,	
bhyaatikaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
direectoratee,	ডিরেক্টরিট,	ডিরেক্টরেট,	
macho,	মাচ,	মাছও,	
eder,	এডের,	এদের,	
chilahati,	চিলাহাতি,	চিলাহাটি,	
sansthaner,	সংস্থানের,	সংস্থানের,	
ajij,	আজিজ,	আজিজ,	
eesa,	এস,	আইএএস,	
abhidhaneec,	অভিধানিক,	অভিধানিক,	
sanaktokaran,	সনাক্তকরণ,	সনাক্তকরণ,	
kota,	কোট,	কোটা,	
makong,	ম্যাকাং,	মেকং,	
bronze,	ব্রঞ্জ,	ব্রোঞ্জ,	
akhaate,	আখাতে,	একহাতে,	
graambaasee,	গ্রামাবাসী,	গ্রামবাসী,	
jees,	জিস,	জেস,	
grambaasio,	গ্রামবাসিও,	গ্রামবাসীও,	
unitgulo,	আনিতগুলো,	ইউনিটগুলো,	
aazaadeer,	আজাদীর,	আজাদীর,	
baraak,	বারাক,	বারাক,	
groth,	গ্রথ,	গ্রোথ,	
laaj,	লাজ,	লাজ,	
ponnee,	পন্য,	পন্নী,	
eenameela,	ইনামেল,	এনামেল,	
bodna,	বদনা,	বদনা,	
quary,	কোয়ারি,	কোয়েরি,	
nirbahi,	নির্বাহী,	নির্বাহি,	
ahalyar,	আহল্যার,	অহল্যার,	
drishtiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
modelkey,	মোডেলকে,	মডেলকে,	
akib,	একীব,	আকিব,	
bhittiei,	ভিত্তিই,	ভিত্তিই,	
shtonehenge,	স্টোনেনহেগে,	স্টোনহেঞ্জ,	
everage,	এভারেজে,	এভারেজ,	
cholesi,	চলেসি,	চলেছি,	
boother,	বুথের,	বুথের,	
lokeshon,	লোকেশন,	লোকেশন,	
romancha,	রোমাঞ্চ,	রোমাঞ্চ,	
palteche,	পালটেকে,	পাল্টেছে,	
grootha,	গ্রুথ,	গ্রোথ,	
karmasampadan,	কর্মসম্পাদন,	কর্মসম্পাদন,	
meiler,	মেলের,	মেইলের,	
shasankarta,	শাসনকর্ত,	শাসনকর্তা,	
nongra,	নংরা,	নোংরা,	
shkolashtic,	স্কোলাস্টিক,	স্কলাস্টিক,	
totokkhon,	ততক্ষণ,	ততক্ষন,	
peterkay,	পেটার্কে,	পিটারকে,	
babylon,	বেবিলন,	ব্যাবিলন,	
stalin,	স্ট্যালিং,	স্টালিন,	
tukrowti,	ত্কুত্রটি,	টুকরোটি,	
mododpusto,	মদদ্যুস্ত,	মদদপুষ্ট,	
madrasake,	মাদরাসকে,	মাদ্রাসাকে,	
uindoos,	উইন্ডোস,	উইন্ডোস,	
evil,	এভিল,	ইভিল,	
drisser,	দৃশ্যের,	দৃশ্যের,	
enimeted,	এনিমাইটেড,	এনিমেটেড,	
antorvukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
faranyata,	ফরণ্যতা,	ফরম্যাট,	
paikgachha,	পাইকগাঁচ,	পাইকগাছা,	
gojano,	গজানো,	গজানো,	
jeellool,	জিল্লুল,	জিল্লুল,	
omarendro,	অমেরেন্দ্র,	অমরেন্দ্র,	
atohar,	আতোহার,	আতহার,	
durvagyo,	দুর্ভাগ্য,	দূর্ভাগ্য,	
hoomes,	হোমেস,	হোমস,	
fixing,	ফিকিন,	ফিক্সিং,	
ongshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
ganjona,	গঞ্জনা,	গঞ্জনা,	
engineering,	এঙ্গিনিরিং,	ইঞ্জিনিয়ারিং,	
thawre,	থাওরে,	থরে,	
golpokar,	গল্পকার,	গল্পকার,	
palbongser,	পালবংশের,	পালবংশের,	
moshzidshoho,	মস্জিদসহ,	মসজিদসহ,	
kormosompadon,	কর্মসম্পাদন,	কর্মসম্পাদন,	
cholochchitraeeo,	চলচচিত্রেই,	চলচ্চিত্রেও,	
karo,	কর,	করো,	
kanshat,	কাংসাত,	কানসাট,	
futbolarer,	ফুটবলের,	ফুটবলারের,	
gaziipur,	গাজীপুর,	গাজীপুর,	
hossne,	হোসসন,	হোসনে,	
piora,	পিওরা,	পিওর,	
osthisandhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
onkita,	অঙ্কিত,	অঙ্কিতা,	
machsoho,	মাচসহ,	মাছসহ,	
karlo,	কার্লো,	কার্লো,	
harisher,	হারিশের,	হ্যারিসের,	
dakkhinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
bikretader,	বিক্রেতাদের,	বিক্রেতাদের,	
bongsho,	বংশ,	বংশ,	
nothivookto,	নথিভুক্ত,	নথিভুক্ত,	
rothin,	রথিন,	রথীন,	
jubokera,	যুবকেরা,	যুবকেরা,	
udbodhoner,	উদ্বোধনের,	উদ্বোধনের,	
soundorjyo,	সৌন্দর্য,	সৌর্ন্দয্য,	
institutione,	ইনস্টিটিউশনে,	ইনস্টিটিউশনে,	
obdee,	অব্দী,	অব্দি,	
muhurtoti,	মুহূর্ত্তি,	মুহুর্তটি,	
pretty,	প্রেটি,	প্রিটি,	
sanghorsheek,	সাংহর্ষিক,	সাংঘর্ষিক,	
songhitar,	সংঘীতার,	সংহিতার,	
ala,	আল,	আলা,	
treenda,	ট্রেন্ড,	ট্রেন্ড,	
yukeliptas,	ইউক্লিপালাস,	ইউক্যালিপ্টাস,	
kiirti,	কীরটি,	কীর্তি,	
mandondo,	মানদন্ড,	মানদণ্ড,	
heavy,	হেভি,	হেভি,	
veda,	বেদ,	বেদ,	
august,	অগাস্ট,	আগষ্ট,	
arjara,	আর্জার,	আর্যরা,	
vromoner,	ভ্রমণের,	ভ্রমণের,	
keyu,	কেয়ু,	কেউ,	
garmanyteo,	জার্মানিতেও,	জার্মানিতেও,	
teuning,	টাইনিং,	টিউনিং,	
monhputa,	মন্পুত,	মনঃপুত,	
poscater,	পোস্কেটার,	পশ্চাতের,	
angshogragon,	অংশগ্রহণ,	অংশগ্রহন,	
itostato,	ইতস্তত,	ইতস্ততঃ,	
mookhomaundoley,	মুখনসমুলে,	মুখমণ্ডলে,	
iqbalke,	একবলকে,	ইকবালকে,	
jerujalem,	জিরোজালেম,	জেরুসালেম,	
sarboshokteeman,	সর্বসমক্তিকান,	সর্বশক্তিমান,	
mane,	মান,	মানে,	
isosiyitasa,	ইসসিয়েটিস,	এসোসিয়েটস,	
shukraanoo,	শুক্রাণু,	শুক্রানু,	
shikshakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
bhartuky,	ভার্তুকি,	ভর্তুকি,	
jerakam,	জেরাকম,	যেরকম,	
shamooker,	শামুকের,	শামুকের,	
rupantar,	রূপান্তর,	রুপান্তর,	
anchalgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
mahish,	মহীশ,	মহিষ,	
protijogiider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
prastutkarak,	প্রস্তুতকারক,	প্রস্তুতকারক,	
windos,	উইন্ডোস,	উইন্ডোস,	
laaishheshh,	লাইসিস,	লাইসেন্স,	
haldim,	হালদিম,	হোল্ডিং,	
mugdhata,	মুগধধতা,	মুগ্ধতা,	
shithilata,	সিথিলাতা,	শিথিলতা,	
shringge,	শ্রীঙ্গে,	শৃঙ্গে,	
nagnyo,	নাগ্ন,	নগণ্য,	
bhittimool,	ভিত্তিমূল,	ভিত্তিমূল,	
chalachchitrei,	চলচচিত্রেই,	চলচ্চিত্রেই,	
jubokti,	যুবকতি,	যুবকটি,	
nilabha,	নিলাভা,	নীলাভ,	
phokshkon,	ফকশকন,	ফক্সকন,	
codeguli,	ক্যাডেলুলি,	কোডগুলি,	
somratra,	সম্রাত্রা,	সম্রাটরা,	
steit,	স্টেট,	স্টেইট,	
phorex,	ফরেক্স,	ফরেক্স,	
ovinetar,	অভিনতের,	অভিনেতার,	
shahanara,	শাহানার,	শাহানারা,	
tistar,	টিস্টার,	তিস্তার,	
karlei,	কারেলেই,	করলেই,	
lutharan,	লুঠরাণ,	লুথেরান,	
thaanobhi,	থানবী,	থানভী,	
sahab,	সহব,	সাহাব,	
nirorthak,	নিরার্থক,	নিরর্থক,	
digrir,	ডিগ্রীর,	ডিগ্রির,	
bhenuser,	ভানাউজার,	ভেনাসের,	
marpit,	মার্পিত,	মারপিট,	
foxcon,	ফ্যাকচন,	ফক্সকন,	
harbor,	হার্বর,	হারবার,	
sitting,	সিটিং,	সিটিং,	
sylvi,	সিলভি,	সিলভি,	
bocchoner,	বচচনের,	বচ্চনের,	
apohoron,	অপহহরণ,	অপহরন,	
achis,	অচিস,	আছিস,	
bahaal,	বহল,	বহাল,	
oitijje,	ঐতিজ্যে,	ঐতিহ্যে,	
gori,	গরি,	গোরি,	
jwor,	জোর,	জ্বর,	
tenis,	টেনিশ,	টেনিস,	
foloshruti,	ফলস্রুতি,	ফলশ্রুতি,	
chalchhee,	চালছি,	চলছে,	
black,	ব্লক,	ব্ল্যাক,	
gobeshonagar,	গবেষণাগার,	গবেষনাগার,	
chhuti,	ছুটি,	ছুটি,	
nilkamol,	নিলকমল,	নীলকমল,	
summi,	সামি,	সুমি,	
kalnir,	কলনির,	কালনীর,	
protizogiira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
plack,	প্লক,	প্ল্যাক,	
horidware,	হরিড্বার,	হরিদ্বারে,	
boponer,	বোপনের,	বপনের,	
zubokder,	যুবকদের,	যুবকদের,	
bhittow,	ভিত্ত,	ভিত্তিও,	
kirkuk,	কিরকুক,	কিরকুক,	
agovir,	আগভীর,	অগভীর,	
agamaner,	আগামানের,	আগমনের,	
romancho,	রোমাঞ্চ,	রোমাঞ্চ,	
bandhutwo,	বন্ধুত্ব,	বন্ধুত্ত্ব,	
mozlishpoor,	মজিলসুপুর,	মজলিশপুর,	
kantajir,	কান্তাজীর,	কান্তজির,	
saajano,	সাজানো,	সাজানো,	
heje,	হেজে,	হেজ,	
podarthobid,	পদার্থবিদ,	পদার্থবিদ,	
chalachchitrogulor,	চলচ্চিত্রগুলের,	চলচ্চিত্রগুলোর,	
popeke,	পপকে,	পোপকে,	
ganonanatto,	গণনানত্ব,	গণনাট্য,	
buffar,	বুফফর,	বাফার,	
engrejra,	ইংরেজারা,	ইংরেজরা,	
harj,	হার্জ,	হার্জ,	
meshenger,	মেশেঙ্গের,	মেসেঞ্জার,	
the,	টি,	থাই,	
koro,	কর,	করো,	
beshirbhagi,	বেশিরভাগই,	বেশিরভাগই,	
protistha,	প্রতিষ্ঠা,	প্রতিষ্টা,	
sita,	সিট,	সিট,	
gujaber,	গুজাবের,	গুজবের,	
kunntee,	কুন্তি,	কুন্তী,	
aastikotaa,	আস্তিকতা,	আস্তিকতা,	
utsahe,	উৎসাহে,	উৎসাহে,	
petenter,	পেটেন্টর,	পেটেন্টের,	
phormat,	ফরমেট,	ফরম্যাট,	
rubi,	রুবি,	রুবী,	
hamburger,	হাম্বার্গের,	হামবুর্গের,	
songbadmadhyamgulote,	সংবাদপদ্মগুলোকে,	সংবাদমাধ্যমগুলোতে,	
sikh,	শিখ,	শিখ,	
chalochchitrogulor,	চলচ্চিত্রগুলের,	চলচ্চিত্রগুলোর,	
saccar,	স্কাকার,	সকার,	
mirakeela,	মিরাকেল,	মিরাকেল,	
ghur,	ঘুর,	ঘুর,	
gunjey,	গুঞ্জে,	গুঁজে,	
raiter,	রাইটের,	রাইটের,	
protijogi,	প্রতিযোগী,	প্রতিযোগী,	
hitokor,	হিতকর,	হিতকর,	
popke,	পপকে,	পোপকে,	
ramantika,	রামান্তিকা,	রোমান্টিক,	
license,	লিকেন্স,	লাইসেন্স,	
amarjito,	অমর্জিত,	অমার্জিত,	
gandhir,	গন্ধীর,	গান্ধীর,	
shektore,	সেক্টরে,	সেক্টরে,	
cakee,	কেক,	কেকে,	
mekbeth,	মেকব্যাথ,	ম্যাকবেথ,	
shefard,	সেফার্ড,	শেফার্ড,	
oncholsoho,	অঞ্চলসহ,	অঞ্চলসহ,	
tala,	তলা,	তালা,	
gootano,	গুটানো,	গুটানো,	
dhojovongo,	ধ্যভগঙ্গ,	ধ্বজভঙ্গ,	
farid,	ফরীদ,	ফরিদ,	
debdebie,	দেবদববী,	দেবদেবী,	
venis,	ভেনিস,	ভেনিস,	
byte,	বিটে,	বাইট,	
kaushalgata,	কৌশলগাত,	কৌশলগত,	
meghkey,	মেঘকে,	মেঘকে,	
confliqt,	কনফিলিক্ট,	কনফ্লিক্ট,	
kodti,	কোদটি,	কোডটি,	
ganaparibahaner,	গণপরিবহনের,	গণপরিবহনের,	
gasthike,	গাষ্টিকে,	গোষ্ঠীকে,	
karle,	কালে,	করলে,	
advanced,	অ্যাডভান্সে,	অ্যাডভান্সড,	
uparzoner,	উপারজনের,	উপার্জনের,	
dorgaho,	দরগাহ,	দরগাহ,	
bishasey,	বিশাসে,	বিশ্বাসে,	
dokangoolote,	দোকানগুলোতে,	দোকানগুলোতে,	
salil,	সালিল,	সলিল,	
madhoboir,	মাধবীর,	মাধবীর,	
coner,	কোণের,	কনের,	
aoki,	আকি,	এওকি,	
khudey,	খুদে,	ক্ষুদে,	
sadbi,	স্বাদবি,	সাধ্বী,	
bihare,	বিহারে,	বিহারে,	
ponchasjon,	পঞ্চাশসন,	পঞ্চাশজন,	
moshzid,	মসজিদ,	মসজিদ,	
jemy,	জেমি,	জেমি,	
shuparahiro,	সুপাহহীরা,	সুপারহিরো,	
ajiban,	অজিবান,	আজীবন,	
transfarm,	ট্রান্সফার্ম,	ট্রান্সফর্ম,	
flag,	ফ্ল্যাগ,	ফ্লাগ,	
neshanasa,	নেশানাসা,	নেশনস,	
bolatkar,	বলাকতার,	বলাৎকার,	
gronthei,	গ্রন্থেই,	গ্রন্থেই,	
suraropeeto,	সুরারপিত,	সুরারোপিত,	
madrajer,	মাদ্রাজের,	মাদ্রাজের,	
behrampurer,	বেহরামপুরের,	বহরমপুরের,	
ghenshe,	ঘেন্স,	ঘেঁষে,	
rekhapat,	রেখাপাত,	রেখাপাত,	
firti,	ফারটি,	ফিরতি,	
nirbahe,	নির্বাহে,	নির্বাহে,	
jotinkey,	যোতিনকে,	যতীনকে,	
nagarikkey,	নাগরিককে,	নাগরিককে,	
dipke,	ডিপকে,	দ্বীপকে,	
basaa,	বাসা,	বাসা,	
jameser,	জমিশের,	জেমসের,	
shhcholashtic,	স্কোলাস্টিক,	স্কলাস্টিক,	
dormetori,	ডরমেটরি,	ডরমিটরি,	
kata,	কাতা,	কোটা,	
saphallyar,	সাফল্যার,	সাফল্যের,	
sathikata,	সাথিকতা,	সঠিকতা,	
byaboharkarir,	ব্যাবহারকারির,	ব্যবহারকারীর,	
besuro,	বেশুর,	বেসুর,	
muktume,	মুকতুমে,	মাকতুম,	
twakei,	ত্বাকেই,	ত্বকেই,	
jamjomat,	জাযমমাত,	জমজমাট,	
patishapta,	পটিশপ্ত,	পাটিসাপটা,	
japaanira,	জাপানীরা,	জাপানিরা,	
beshirbhaagei,	বেশিরভাগেই,	বেশিরভাগেই,	
graambaasir,	গ্রামাবাসীর,	গ্রামবাসীর,	
diibug,	দিবুগ,	ডিবাগ,	
metroopoolitan,	মেত্রোপুলিাটান,	মেট্রোপলিটন,	
pratishthanik,	প্রতিষ্ঠানিক,	প্রাতিষ্ঠানিক,	
bagichaar,	বাগিচার,	বাগিচার,	
akhhunno,	অখুন্ন,	অক্ষুণ্ণ,	
manohar,	মননহর,	মনোহর,	
kriita,	কৃত,	ক্রীট,	
shiropadhari,	শিরোপদারী,	শিরোপাধারী,	
seekkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
jaj,	জাজ,	জাজ,	
temas,	টেমাস,	টাইমস্,	
moolgoto,	মুলগত,	মূলগত,	
loha,	লোহা,	লোহা,	
definition,	ডেফিনিশন,	ডেফিনেশন,	
shrabostee,	শ্রবস্তি,	শ্রাবস্তী,	
teter,	টেটের,	টেটের,	
footbalarra,	ফুটবলারা,	ফুটবলাররা,	
aazadeer,	আজাদীর,	আজাদীর,	
shikshakbrindo,	শিক্ষাকৃন্দ,	শিক্ষকবৃন্দ,	
bosturoi,	বস্তুরই,	বস্তুরই,	
majuter,	মজুতের,	মজুতের,	
preti,	প্রতি,	প্রিটি,	
transformerer,	ট্রান্সমার্টর,	ট্রান্সফরমারের,	
mukhamandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
naubihar,	নৌবিহার,	নৌবিহার,	
sthapanatir,	স্থাপতনির,	স্থাপনাটির,	
bhogni,	ভগ্নি,	ভগ্নী,	
rites,	রাইটেস,	রিতেশ,	
